8/5k2/2R3p1/6P1/5P2/1r2B3/4K3/b7 b - -,a1b2
3rr1k1/2q2ppp/p1p5/2Pb4/2pNn3/4B3/P1P2PPP/3RQRK1 w - -,f2f3
8/4R1pk/1p3bpp/p2p4/Pq1p2Q1/1B1P3P/1PP2PP1/6K1 b - -,b4e7
r2rb1k1/1q2pp1p/6p1/7n/p2bP3/PnN1BP2/1PRNB1PP/1R2Q1K1 w - -,e3d4
1qr2rk1/1b1nbppp/pp1ppn2/5P2/2PNP3/2N1B1P1/PP2Q1BP/2R1R1K1 b - -,e6e5
3r2k1/1p2q3/p2bbp2/3p3p/P2P1P1P/1Q1BP1p1/1B3nP1/2R1N1K1 w - -,d3e2
3rr1k1/pp2bpp1/1qp1pn1p/4N3/2PP1B2/P2R4/1P2QPPP/4R1K1 w - -,e2d2
8/5r2/6R1/8/5kp1/4p3/5K2/8 w - -,f2g2
5k2/1b3pp1/pp2p2p/4p3/PP1rP3/2rBNPPn/2P4P/1R1R3K w - -,h1g2
r1bq1rk1/p4ppp/2p1p3/3nb3/8/2N3P1/PPP2PBP/R1BQ1RK1 w - -,d1e2
r3k2r/pp1qbppp/4pN2/8/Q2P4/5N2/PP3PPP/R3K2R b KQkq -,e7f6
2r1k3/7p/p1P1p3/B3pp2/PP1br3/5KP1/2R4P/3R4 w - -,c6c7
2k3rr/4qp2/1p1b1n2/p3p1pp/QnP1P3/B1N3PP/5PBK/1R3R2 w - -,a3b4
2r2rk1/p1n3pp/1p1q1p2/n4N2/Q7/6P1/4PPBP/2R2RK1 b - -,d6e6
2rqk2r/pp1bppb1/3p1np1/4n1Pp/3NP2P/2N1BP2/PPPQ4/2KR1B1R b k -,f6h7
rnbqr1k1/ppp2ppp/3p1n2/3Pp3/2P5/P1B1PN2/1PQ2PPP/R3KB1R w KQ -,f3d2
3q1rk1/p4ppp/1n6/3p4/2rQ4/5BP1/P3PP1P/R3R1K1 w - -,d4d3
2rr4/pp4kp/6p1/5nq1/8/P1N4Q/1P4PP/3R1RK1 b - -,h7h5
rn1qkb1r/1p2npp1/p1p1p2p/3p3b/P2PP3/1BN1BN1P/1PP1QPP1/R3K2R b KQkq -,e7c8
N5k1/ppRb3p/3P2n1/3Pp3/4P3/3NbPrq/PP2BR1Q/7K b - -,g6f4
r1bq1rk1/pp1pbppp/2n1p3/2p5/4PP2/3P1BP1/PPP1N2P/R1BQ1RK1 b - -,d7d5
2r2rk1/1b1n1pp1/pq2pb1p/1p1p4/2nP4/P1NBPP2/1PR1QBPP/1N1R2K1 b - -,f8d8
8/p3k2p/4p2b/1p2P1p1/3P2r1/PB1K1R2/1P5P/8 b - -,h6g7
1r2rk2/p4ppp/3p4/2pP4/PpN5/1P2RP1b/5P1P/R5K1 b - -,e8e3
rnbq1rk1/pp2b1pp/2p1p3/3p1p2/2PPn3/2N2NP1/PPQ1PPBP/1RB2RK1 b - -,b8d7:a7a5
8/7k/1p1p1qp1/p1pP3p/PnN1P2P/1P4P1/5QK1/8 b - -,f6e7
r1bq1rk1/p2p1ppp/2p1pn2/8/1bP1P3/2N5/PP1B1PPP/R2QKB1R w KQ -,e4e5
2r1r1k1/2q1bppp/3p1n2/1b2pP2/2R1P3/4B3/BPP1Q1PP/5R1K w - -,c4c7
r1bq1rk1/pp3pbp/3p2p1/4p3/2PnP3/2NBB3/PP3PPP/R2Q1RK1 w - -,a1c1:d1d2
rn2k2r/ppqbnppp/4p3/1BppP3/3P4/P1P2N2/2P2PPP/R1BQK2R w KQkq -,a3a4
r2qbrk1/3n1ppp/p3p3/1p1pP1b1/3P2Q1/2NBP3/PP4PP/2RRB1K1 w - -,g4h3
2b5/2Bn1pkp/4p1p1/pp6/3bPP2/1P4P1/6BP/4K3 w - -,c7a5
4rrbk/pp4p1/1qnbpn1p/3p4/3P4/2BQ1NN1/PP3PPP/1B2RRK1 w - -,f3h4
r3kb1r/p4pp1/2p1pn1p/1p1q3P/P2P3R/5N2/1PPBQPP1/R3K3 b Qkq a3,f8d6
8/7p/2k2bp1/3p1p2/p1bP4/P4P2/1K3BPP/2N5 w - -,b2c3
r1bq1rk1/1pp1bppp/p2p4/4P3/3Q4/1nN1B3/PPP2PPP/R4RK1 w - -,c2b3
rnbqkbnr/ppp4p/3p4/5pp1/3Pp3/6P1/PPPNPPBP/RNBQK2R w KQkq f6,c2c4
1r1rn1k1/1pbbqpp1/p1n1p2p/2p5/2P1N3/P2BPN1P/1PQ2PP1/2RRB1K1 w - -,c2b1
8/1p1r2k1/2rn2p1/p3p1q1/N3P2p/1P5P/P2RQ1P1/3R2K1 b - -,d7d8
8/8/4k1pp/2p1pp2/1pP2P1P/1P2P1P1/5K2/8 w - -,f2g2
r3k2r/pp1q1ppp/2n1pn2/3pP3/1b1P4/2N2N2/PP3PPP/R1BQR1K1 b kq -,f6g8
r5k1/p1q1bppp/1pb1p3/2p1P3/4PBQP/2Pr2P1/P4PB1/2R1R1K1 b - -,a8d8
1R6/5rpk/7q/7Q/P2P4/8/K7/8 w - -,h5f7
r1bq1rk1/pp2bppp/2p1p3/2P5/3PQ3/1P4P1/PB3PBP/R4RK1 b - -,e7f6
rr4k1/pp3p2/2bP2pb/5q1p/2BP4/1Q2PN1P/P5P1/R4RK1 w - -,a1e1
1r3bk1/5pp1/4p2n/p2pP3/3P1BP1/nP1B1NK1/5P2/2R5 w - -,c1c3
r1b2k2/1p2np2/p1n1p3/1BPpP3/6r1/P1P2NP1/5P1P/2R1R1K1 w - -,h2h3
r2r2k1/pp3p2/2n3pN/2p1P3/2P2P2/2P1K1Q1/q5PP/3R3R b - -,g8f8
2krr3/p5pp/2p2b2/4pb2/2P5/BP1N1p1P/P3KPP1/1R1R4 w - -,g2f3
2n1r3/1pk4p/2b2pp1/2p5/4PP2/1PN1R1P1/3K2BP/8 w - -,g2f1
R7/2pkr1pp/1p1r1p2/8/2PR4/4PKP1/4P2P/8 b - -,d7c6
r2bnrk1/pp4pp/2p1b3/8/4p3/P1N4N/1PPB2PP/2KR3R w - -,c3e4
7R/2k5/6p1/8/1P4rp/3K4/8/8 b - -,g4b4
2r3k1/r2q2pp/3bpp2/1p1b4/1PpPpPN1/2P1P2P/1BQ3P1/R4R1K b - -,c8a8
6k1/6b1/7p/5N2/P4Pp1/3p2K1/4rP1P/1R6 w - -,b1b8
3r1rk1/pp1n1ppp/2pb4/3p1Nq1/3Pn3/PP2P1P1/1B2BP1P/R2Q1RK1 w - -,f5d6
2rqr1k1/5ppp/P1n5/3p4/1pnP1B2/bN4P1/5PBP/RQ1R2K1 b - -,c8a8
1r1qr1k1/1b5p/p2p2pb/R1nN1p2/2PpP3/1P6/R1BNQPPP/6K1 b - -,d4d3
2r1r3/1p2q1k1/p1pnb1p1/2np1p1p/PP1P1P2/1R1NP2P/2Q3P1/4RBK1 w - -,b4c5
7r/4b3/p1kprp2/2p3p1/2K1P1P1/P1P2PB1/1R6/1R6 b - -,e7d8
2q5/1r4k1/pB1b2p1/Pn3b2/1p3Q2/8/1P3PPP/R3R1K1 w - -,f4h4
r1bqkbnr/pp1p1p1p/2n3p1/2p1p3/2P5/2NP1NP1/PP2PP1P/R1BQKB1R b KQkq -,f8g7
2b3k1/1p2qpp1/pBn2n1p/P1N1p3/2P5/7P/2PQBPP1/6K1 b - -,c6d4
8/2r2pkp/2N1p1p1/1B1p4/P7/7P/1r3PP1/2R3K1 w - -,c1c3
r1bqk2r/2p3b1/pn1p2pp/1p1Ppn2/7P/P1N1BP2/1PPQ2P1/1KNR1B1R w kq -,e3f2
r1bqk2r/p2n1pb1/1pn1p1pp/2ppP3/3P3P/2P1NN2/PPB2PP1/R1BQK2R b KQkq -,a7a5
5k2/5p2/7Q/8/4P1K1/5P2/4q3/8 b - -,f8e7
1r3r2/5pk1/2BR3p/2p3p1/4b3/6P1/1P4PP/5RK1 b - -,b8b6
r4rk1/4q2p/p2p1p2/1p1Ppn1Q/4N3/P1P4P/1P3PP1/3RK2R b K -,f5g7
rr4k1/2pn1pp1/7p/1q1pp3/1BnP4/2RNPPP1/Pp2Q2P/1R4K1 b - -,a8a2
Qnk5/p1q3p1/1p2R1Pp/2p1p2P/2P2P2/1P6/P7/2K5 w - -,e6e8
r2q1rk1/1p1bppbp/p2p1np1/n1pP4/2P4N/2NQ2P1/PP1BPPBP/1R3RK1 b - -,b7b5
r1b5/p3p1k1/2q1P2p/3p1rpQ/3R1p2/2N5/PP3PPP/4R1K1 w - -,h5e2
r1bq1rk1/ppp2pbp/5np1/3P4/3QP3/2N5/PP2BPPP/R1B1K2R b KQ -,c7c6
4rk2/5ppp/pR6/4P3/3p4/8/P5PP/5K2 w - -,b6a6
r1bqnrk1/1p5p/p2p3p/5p1Q/3N3b/1PN5/PP3PPP/3R1RK1 w - -,c3d5
2r1r1k1/1p2bppp/p1qppn2/8/P2BPP2/2N5/1PP1Q1PP/R2R3K b - -,c6c4
r2r4/pbqpbpkp/1pn1pN1p/4P3/Q1Pp4/5NPP/PP3PB1/3RR1K1 w - -,f6h5
r3r1k1/p3qpp1/2p5/4nP2/N2pP1n1/7Q/PP4BP/R4R1K w - -,f1f4
4Rb2/pp3k1p/5pp1/2B1p3/4P3/6P1/PP3P1P/6K1 b - -,f7e8
6R1/3k4/6p1/4P3/6Pp/7K/5r1P/8 b - -,d7e6
8/6kp/1r6/4R1P1/pp3KPP/P7/1P6/8 w - -,e5a5
8/1r3k2/3n2p1/2pppq2/8/P6P/4QPP1/2B2RK1 w - -,e2a6
1nqb2k1/1r2rp1b/p2p1n1p/2pPp1pP/N1P1P1P1/RP3PB1/3NB1K1/Q4R2 w - -,a4b2
8/pp5k/8/2ppr3/3R2P1/8/PPP2K1P/8 w - -,d4a4
3r2k1/p1R2p1p/1b4p1/8/8/1P1p1P1P/P4P2/3R1K2 w - -,c7c3
2r2rk1/p1n3pp/2p5/2Ppp3/1P2p3/P3P2P/1K1N1P1P/4RR2 b - -,c7e6
4kn1r/pp4b1/4np2/r2p2p1/2P1N1Kp/6P1/PP3B1P/3R3R w k -,c4d5
4r1k1/3N1ppb/4p2p/1p1p4/rP6/1n1PP1P1/5PKP/2R1RB2 w - -,c1c3
r1b1k2r/p6p/1pn1pppn/2p5/2P1PP2/2P1BN2/P5PP/R3KB1R w KQkq -,e1c1
r1bq1rk1/pp1pbppp/5n2/8/2PQ4/2N3P1/PP3PBP/R1B1K2R b KQ -,f8e8
r4rk1/1ppnp1bp/pn1q2p1/3PP3/3B1p2/1QN2P2/PP2BP1P/3RK2R b K -,d7e5
5rk1/3q2bp/1p1N2p1/p2pP3/Pn6/4QNP1/1P3P1P/R5K1 b - -,b4c2
3k4/5R2/6pp/pBp1p3/P2pP2P/3Pn1PK/2r5/8 b - -,h6h5
2r2rk1/pp1b3p/5n2/3pq1p1/2P4R/3B2N1/P2Q1PPP/5RK1 w - g6,h4d4
2kr1b1r/1p3p2/p1p1pp2/P2n1b2/R2P4/1NP2BPp/1P1B1P1P/2R3K1 b - -,e6e5
2r2rk1/1p3ppp/p1b1p3/1n6/3RPP2/6PB/1B5P/4R1K1 w - -,d4d3
r1bqk2r/pppn1ppp/5n2/2b1p3/4P3/2P2N2/PPQ1BPPP/RNB1K2R b KQkq -,e8g8
1n1q1r1k/3r4/pp1p1pQp/3Bp3/2P5/6P1/PP5P/3R1RK1 w - -,d5e4
r1b2rk1/pp1nb1pp/2p1p1q1/3n1p2/3P4/2NB3Q/PPP1NPPP/R1B2RK1 w - f6,c3d5
r4r1k/1pp4p/n3bp2/p2NP2q/4P1n1/4QN2/PPP3B1/R4RK1 w - -,e3f4
2b2rk1/r5pp/p3pp2/3pP3/2pK1P2/2P5/PPB3PP/R6R b - -,a7f7
3brk2/3r2p1/2qp1p1p/3NpPPQ/pRP4P/P3P3/8/1R4K1 w - -,g5h6
3r3k/1ppq2bp/p1n3p1/P3pp2/R7/1N2P2P/1PP2PPB/2Q3K1 w - -,a4a1
1r3bk1/1q3ppp/r7/p2ppN2/2p5/P1PnQ2P/BP2RPPK/R7 b - -,a6f6
r1bqr1k1/3nbpp1/pp1p1n1p/2pPp3/P3P3/2N1B3/1PPNBPPP/R2QR1K1 b - -,d7f8
8/p4pkp/6p1/3r4/2R5/7P/P5PK/8 w - -,c4a4
4r1k1/1p3pp1/2p1bnnp/3q4/Q7/2P1B2P/1PBN1PP1/4R1K1 w - -,a4b4
2rr2k1/1b4p1/pp1n1q1p/2p2p2/2P1p3/4P3/PP1NQPPP/1BRR2K1 w - -,d2f1
3r2k1/3Pp2p/1pKb2p1/p2Pp3/8/8/P4PPP/1R6 b - -,g8f7
6k1/p1p3pp/3rnp2/1P2p1q1/2PrB1P1/P2PR1Q1/5P1P/6RK b - -,e6f4
5k2/7p/7K/n2B1NP1/P7/8/8/2b5 w - -,f5d6
3rrbk1/1Q3ppp/p2p4/n2R4/4q3/1P3N1P/PB2BPP1/2R3K1 w - -,b7f7
r2q1rk1/5pbp/1n2pnp1/8/p2P4/1BN1BQ1P/PP3PP1/R4RK1 w - -,b3c2
2rr1bk1/p4bpp/3pqp2/2p1n3/4PQ2/BP2NPNP/P5P1/2RR2K1 w - -,e3d5
r2r2k1/1p2qb1p/2p3p1/pPPpbp2/P7/2NQPB1P/2P3P1/R4RK1 w - -,a1d1
r1bqk2r/ppp1bppp/2n1pn2/3p4/2PP4/2N1PN2/PP3PPP/R1BQKB1R w KQkq -,f1d3:a2a3
rnb1k2r/pp3ppp/2pp1n2/q7/2PNP3/2P1BP2/P5PP/R2QKB1R b KQkq -,a5c3
1rr3k1/4pp1p/3p2p1/8/4P3/4qP2/PP1Q2PP/R2R3K b - -,e3b6
7k/2r1b1pP/p2p1p2/1p6/7P/1P1p1P2/P2B4/3KR3 w - -,d2a5
3r4/4bk1B/pqp1pp2/1p2n2Q/5P2/6P1/PP2P2P/3R3K b - -,f7f8
r4rk1/pp1b1ppp/2n1pn2/q2p4/2PP4/P1P2P1N/1BQ3PP/1K1R1B1R w - -,h3f4
3r2k1/p3bpp1/1q2nB1p/2r5/3p2P1/P4B1P/NP1R1P2/1R1Q2K1 b - -,e7f6
r1qr1nk1/pb2ppbp/1p1p1np1/2p5/2P5/1P1P1NP1/PB1NPPBP/Q1R2RK1 b - -,f8e6
1k6/pp6/3b4/2p1p1B1/P2pR2P/6K1/1r6/8 b - -,d4d3
1r2r1k1/pp3p1p/1np2p2/2q5/2N1p3/bP2P1PB/P1QP1P1P/3R1RK1 b - -,b6c4
r1b1k1nr/pp2ppbp/2n3p1/q7/3P4/4BN1P/PP1Q1PP1/RN2KB1R b KQkq -,a5d2
r1bq1rk1/4ppbp/pnpp2p1/4P1B1/3P4/P1n2N1P/BP1Q1PP1/3RK2R w K -,d2c3
3r3r/1bb2ppp/pnk2n2/Bpp1pP2/4P1P1/2PB1NNP/PP1R4/2KR4 b - -,h7h6
r1bqk2r/1p3ppp/p1p1pn2/b7/P1PPQB2/5N2/4BPPP/1R3RK1 w kq -,e4e3
r1b2rk1/pppp1pp1/1b4qp/4P3/8/2P2N2/PP3PPP/RN1QR1K1 w - -,b1a3
3k4/1b2rpn1/pp2p1p1/3pP2p/PP1K1PP1/7P/2R1B3/2R5 b - -,h5h4
8/7R/4k1p1/4n3/2p1N3/7P/r5PK/8 b - -,a2e2
r1bqk2r/ppn1b1pp/2n2p2/2p5/3P4/P1N2NP1/1P3PBP/R1BQ1RK1 b kq -,c5d4
5r2/6bk/q3p1pp/1bRp4/1p1P1P2/1N2P1P1/rB3R1P/1Q4K1 w - -,c5b5
1n2r3/3nk3/p4q1p/1p2p1p1/1P2Q3/PB3N1P/5PP1/3R3K b - -,e8g8
r3r1k1/1p3ppp/8/p1b5/2P5/PP1p1QPq/1B5P/RN1R3K b - -,e8e2
8/pp1r4/4bk1p/5pp1/3n1P2/2N3P1/PP3K1P/1B2R3 w - -,e1d1
r1b2r2/5pk1/pnn3p1/1p1pPp1p/5N1P/3B1N2/PPP3P1/2KR3R w - -,h1h3
r1bqkb1r/pp1n1ppp/1n1pp3/4P3/3P4/3B1N2/PP3PPP/RNBQ1RK1 b kq -,d6e5
r4rk1/1q1bbn1p/p1npppp1/1p6/4PB2/P1N1RN2/BPPQ1PPP/3R2K1 w - -,c3e2
4r1k1/2qn2b1/2b3pp/1pP1pp2/1B2P3/1Q3N1P/5PP1/R3R1K1 b - -,g8h7
r4rk1/pb1pb1pp/1pn1p3/3n3q/3PB3/P4NB1/1PQN1PPP/2R2RK1 b - -,e7f6
r1bqk1nr/1p3ppp/pbnpp3/8/2P1P3/1NN5/PP2BPPP/R1BQ1RK1 b kq -,h7h6
r1br2k1/1p3pbp/pNp1n1p1/4p3/2P1P3/4B1PP/PP3PB1/R3R1K1 b - -,a8b8
1nk3r1/1bp1q1rp/1pn1p3/p2pPp2/PP1P1N2/2P2N2/3QBRPP/1R4K1 w - -,f3e1
rnr3k1/pbp1qpp1/1p2p2p/3n4/3P4/2N1PN2/PPQ1BPPP/R4RK1 b - -,c7c5
rnq1kbnr/pp3pp1/2p1p3/3pPbPp/2PP3P/2N2P2/PP6/R1BQKBNR w KQkq -,c1e3
8/8/5k2/3B1p2/1PPP1b1p/8/5K2/8 b - -,f4d2
2r2rk1/3b2b1/p1nq3p/1ppNp1p1/2P1Pp1Q/PP1P1N1P/4B1P1/1R3RK1 w - -,h4e1
r7/5pk1/p1pp1qp1/4b3/P3Pp2/1P1R3P/2P1NPQ1/5K2 b - -,a8b8
rnbq1rk1/pp3pbp/4p1p1/3n4/8/1NN3P1/PP2PPBP/R1BQ1RK1 b - -,b8c6
1r6/5pk1/6p1/p1n3p1/2p1P3/2P2P1P/PR3KP1/3R1N2 b - -,b8b2
r7/2p2p2/2k1p3/5p1p/p1K2P1P/2R5/2P2P2/8 b - -,c6b6
r1b1kb1r/ppqnppp1/2p2n1p/8/3PP3/2N2N2/PP2BPPP/R1BQ1RK1 w kq -,d4d5
rnbqk1nr/pppp1ppp/8/2b5/4P3/2PB1N2/PP3PPP/RNBQK2R b KQkq -,d7d6
r3r1k1/p2p1pbp/np4p1/1N6/1P6/4BqP1/P2Q1P1P/2RR2K1 b - -,h7h5
8/6n1/ppk1n1B1/3p3p/P2P1p1P/1P3P2/3K1B2/8 b - -,c6b7
3rr1k1/1ppb1p1p/3p1qp1/p7/PnP1PPPP/2N2B2/1P1Q4/1K1R3R b - -,d7c6
1r2rnk1/2q2ppp/b1npp3/1p6/p1P1PPPQ/2P1B2R/P2N2BP/1R4K1 w - -,e4e5
r1b2r1k/p3qpp1/1pn4p/2pp1B2/3P4/2P1PN2/P1Q2PPP/R4RK1 w - -,f1e1
r1bqk2r/pp4b1/2p2n1p/3pBppP/3P4/2NQP3/PPP2P2/R3K1NR b KQkq -,e8g8
r2qkb1r/1p1bnppp/p3p3/3pP3/3B1PP1/2N2Q2/PPP4P/R3KB1R w KQkq -,e1c1
2R3R1/3k4/1p2p3/3pPn2/5P2/r4KPP/Pr4B1/8 w - -,f3g4
r1bq1rk1/pppnbppp/4pn2/8/2pPP3/2N2NP1/PP3PBP/R1BQ1RK1 b - e3,c7c5:d7b6
1qrbr1k1/1b1n1ppp/pp1ppn2/8/NPP1P3/PN2BP2/4B1PP/2RQ1R1K w - -,e3g1
r4rk1/p2b1ppp/1qp2n2/2bp4/Q2P4/3B4/PP2RPPP/R1B3K1 w - -,d4c5
r4rk1/pp1nn1pp/2pqb3/1P1p1p2/3P4/2NBPN2/P1Q2PPP/R4RK1 b - -,c6c5
4k1r1/pprb1p2/3ppp1b/5P2/2P1P2p/1P1N1B2/P3R1PP/1K1R4 w - -,f5e6
3r2k1/5pb1/p6p/1p1b1Bp1/2pP4/PP2P1BP/5PP1/2R3K1 w - -,b3c4
1rbr4/ppp1n1kp/5pp1/2Nn4/2BP4/2P2N2/PP3PPP/2R1R1K1 w - -,e1e2
r3kb1r/3q1ppp/p1n1pn2/1p1p4/3P4/2P5/PPBN1PPP/R1BQK2R b KQkq -,a8c8
8/3N1pk1/6p1/4P3/1B1n3r/8/5K2/8 b - -,d4e6
r1b3k1/1pq2pbn/3p2p1/2pP2Pp/Pp3P2/7P/RPQNP1B1/5RK1 b - f3,b7b5
1R6/P7/1K1k4/8/8/8/4q3/8 b - -,e2e3
r1b2rk1/1pp1qpb1/1n1p1npp/p2Pp3/2P1P3/2N1B2P/PP1NBPP1/R2QK2R w KQ a6,e3b6
r2qk2r/1b1nbppp/p3pn2/1Pp5/3P4/2NBPN2/1PQ2PPP/R1B2RK1 b kq -,b7f3
r1b2rk1/p2n1ppp/2p1pq2/1p6/P1pP4/2P1PN2/4BPPP/R2Q1RK1 w - -,a1b1
4r1k1/2Np1pbp/3prnp1/1p6/3n4/6P1/PP3PBP/1RBR1K2 b - -,f6g4
8/Bp3k1p/4r3/5pp1/4b3/6P1/P2R3P/6K1 w - -,g1f2
rnbq1rk1/pp3ppp/3ppn2/8/1pPPP3/3B1N2/PP1N1PPP/R2QK2R b KQ -,b8c6
3q2k1/pb5p/1p2p1p1/4Np2/2P1pP2/bP2P3/P1Q3PP/B6K w - -,h2h3
6k1/8/p2p2p1/n1p1p1b1/P3P2p/B1P5/5P2/1B3NK1 w - -,b1d3
2kr1b1r/1p3ppp/p1n1p3/q1PpP3/8/2N1BQ1P/PPP2PP1/R3K2R w KQ -,e3d2
r1q1r1k1/1ppn1ppn/1b1p2bp/p2Pp3/1PP1P2B/P3NN1P/2B1QPP1/R3R1K1 b - -,d7f6
8/2p3r1/1p1p2k1/3Ppp2/2P5/2Nn1P2/Pp6/1K5Q w - -,b1c2
8/3k2pp/b7/6N1/8/7P/6P1/7K w - -,g5h7
5k2/3R2p1/4p2p/1r5P/4PKP1/5P2/8/8 b - -,b5a5
r4rk1/2p3b1/p2p1q1p/3P1np1/1p6/1P1Q1NB1/R4PPP/4R1K1 w - -,a2c2
3r4/3P3p/2B3p1/k4p2/3b1P2/5KPP/2R5/8 w - -,c2c4
8/p4p2/1p2p2p/4Pp1k/PP3P2/4P1K1/2N4P/1n6 b - -,b1c3
R7/4b3/4kp2/P3p2p/4N3/r4P2/6PK/8 w - -,a5a6
r2q1rk1/1b1nbppp/p1p1p3/3pP3/5B2/2NQ1N2/PPP2PPP/3RR1K1 b - -,c6c5
br1b2k1/R4ppp/4p3/3p4/1BnP4/3NP1P1/5P1P/5BK1 b - -,d8b6
r1bq1rk1/pp2b1pp/4n3/2p1p1N1/3n1p1P/3PBNP1/PP1QPPB1/2R2RK1 w - -,e3d4
rnbq1rk1/pp1pppbp/5np1/8/2PN4/2N3P1/PP2PP1P/R1BQKB1R w KQ -,f1g2:d4c2
1r4k1/3n1pbp/p3p1p1/4P3/N1P2B2/7P/P5PK/4R3 b - -,b8b4
r2q1rk1/pp1n1pp1/2pbpn1p/3p1b2/2PP4/1P2PN2/PB1NBPPP/R1Q1K2R w KQ -,e1g1
2r1b2k/4qpp1/p3p2p/3pP3/3NnP2/1rP1Q3/1P4PP/R2B2K1 w - -,d4b3
rn1qkb1r/pp2pppp/2p2n2/3p4/2P3b1/5NP1/PP1PPPBP/RNBQK2R w KQkq -,e1g1:f3e5:b1c3:c4d5:d2d4:h2h3
r1n1bn1k/7p/r2p1qp1/p1pPp1N1/2P1P2P/1P1BB3/5P1K/R2Q2R1 w - -,g1g3
r2q2k1/pb4pp/1p6/2nPNr2/P3pP2/8/2BQ2PP/R2R2K1 b - f3,g7g5
rn2k2r/1bq2pb1/pp1p1npp/2pP4/P7/2N3PN/1P2PPBP/R1BQ1RK1 w kq -,e2e4
4r3/pb2n1k1/1p1b4/3Pp3/2P4P/3B4/P5P1/R3R1K1 b - -,b7c8
2rq1rk1/pp2ppbp/2npbnp1/8/2P5/2N1N1P1/PP1BPPBP/R2Q1RK1 b - -,f6d7
1n1qbrk1/rpb3pp/2p1pn2/p1Pp1p2/N2P4/1Q3NP1/PP2PPBP/1RB2RK1 w - -,c1f4
1r3rk1/p3bppp/2pp4/3n4/q7/1N2BQ2/PPP2PPP/R3R1K1 w - -,e3d2
5rk1/2R2p2/4pb2/3p2p1/1r1P2P1/4PN2/5P2/R5K1 b - -,b4b8
4k2r/2q3pp/b1prp3/PpQnNp2/8/4P1P1/5PBP/R2R2K1 w k f6,f2f3
8/1r6/1P4p1/BRpkPpP1/p2p1P2/P7/4Kn2/8 b - -,d5c4:f2e4
r3r1k1/1pq2pp1/p6p/3pP2R/R1n5/2PB4/1P3QPP/6K1 w - -,d3c4
r1bqrbk1/pp3pp1/1n2p2p/3pP3/1nP2B2/1N3N2/PP2QPPP/RB3RK1 w - -,c4c5
