8/6k1/4r1p1/1R1p4/8/2P4K/PP3r2/6R1 w - -,b5d5
r2r2k1/pp1bn1pp/8/1P1pqp2/3N4/1Q2P3/P3NPPP/3R1RK1 b - -,d7e8
r4rk1/ppp3p1/3b2qp/3pPn2/3P1Bb1/1QP3N1/PP4PP/R4RK1 b - -,f5g3
8/7p/3k2P1/2p5/2R1P1P1/3K1P2/8/r7 b - -,h7g6
1k2r3/ppq1rpp1/2pnpnp1/3p2N1/3P1P2/2PB2PP/PPQ1RP2/2K1R3 w - -,c1b1
r2q1rk1/ppp1nppp/2nb4/3p4/3P4/P1N1PPB1/1P3P1P/R2QKB1R b KQ -,f7f5
6k1/pq3p2/5rpp/1p2n3/3R3P/4QNP1/PP3PK1/8 w - -,d4f4
rn1q1rk1/2p1b1pp/1p2pn2/p2pNp2/P2P1P2/3bP3/1PPNQ1PP/R1B2RK1 w - -,e2d3
1r1qk2r/Bb3ppp/p2p4/1p1Bp1b1/8/1P6/1PP1QP1P/1K1R2R1 b k -,b8a8
r1b2rk1/4qp1p/pnp3p1/2b1p3/4N3/P5P1/1PQBPP1P/RN3RK1 b - -,b6d7
r2q1rk1/pp4bp/2bppnp1/3N1pB1/2P5/1Q4PP/PP2PPB1/2R2RK1 w - -,d5f6
3r2k1/1q3p2/1pR1p1p1/p6p/P2b4/8/5PPP/2QR1K2 w - -,c1c4
1r1q3r/p1p1bk1p/3pb1pP/5p2/3N2n1/6P1/PPP1PPB1/R1BQK2R b KQ -,b8b6
1rr1b1k1/pp2ppbp/2np1np1/q7/3NP3/PBNQB2P/1PP2PP1/3RR1K1 b - -,c6e5
1r1q1rk1/pp1bbppp/1nn1p3/2ppP3/8/2PP1NP1/PP3PBP/R1BQRNK1 w - -,h2h4
rq2r1k1/3b1pb1/1n1p1npp/2pPp3/p3P3/NBP3BP/1P1N1PP1/R2QR1K1 w - -,b3c2
8/8/4bk2/1p6/1P3pPN/P1R1n2K/3r2B1/8 b - -,e3g4
r2q1rk1/ppp1bppp/8/8/1nBP2b1/2n1BN2/PP3PPP/R2Q1RK1 w - -,b2c3
1n6/1Pk5/8/1K4p1/6P1/1P6/6P1/8 w - -,b5c5
5r1k/pp6/2p4p/2P5/PP1N4/4p3/7P/6RK w - -,d4f3
8/1p3nk1/p5p1/1PP5/P3Q2P/7P/1q4BK/8 w - -,c5c6
2kr1b1r/pppq1bpp/2n2p2/3p1p2/1P1P4/P1NBP3/2PQNPPP/R3K2R b KQ b3,c8b8
rnbqk2r/pp3ppp/2pbpn2/3p4/3P4/5NP1/PPP1PPBP/RNBQ1RK1 w kq -,c2c4
3r2k1/BBr1bppp/5n2/4N3/8/P5P1/4PP1P/1R4K1 b - -,e7a3
6k1/5p2/6p1/7p/qp1N3P/2rnP3/3Q1PP1/5RK1 w - h6,g2g3
8/2k5/6R1/1p1B4/1b1P4/2r1PP2/8/2K5 w - -,c1d1
rnbqkbnr/ppp1pppp/8/3p4/8/P3P3/1PPP1PPP/RNBQKBNR b KQkq -,g8f6
r7/p1Br1kbp/b3ppp1/5n2/P2nNP2/3P3R/B4QPP/4N1K1 w - -,a2e6
r1bqkb1r/pp2np1p/2np2p1/2p1p3/2N1PP2/3P2P1/PPP1N1BP/R1BQK2R b KQkq -,b7b5
br1r2k1/3q1pp1/pp1pp1n1/4n3/NPPRP2p/P1R1QP2/6PP/1N3B1K w - -,a4b2
1n5r/5k1p/p1rNRp2/8/5p2/P7/2P3PP/2K1R3 b - -,f7g6
r1bq1r1k/ppp1n1bp/3p2p1/1P2pp1n/2P5/1QNP2P1/P2NPPBP/1RB2RK1 b - -,f5f4
r6r/1p2k3/p2pq2b/3N3p/4P1n1/1Q4PB/PPP4P/1K3R2 b - -,e7d8
8/R6k/1p4r1/2pNb3/2Pn2p1/1PB2pP1/5P1K/8 b - -,e5g7
2r2rk1/1p2ppb1/pqnp1np1/3P3p/1PP2P2/P7/1BN1B1PP/1R1Q1R1K b - -,c6b8
2r3k1/1R3p1p/6p1/4p3/4P2P/3Q2P1/qBr3B1/7K w - -,d3b5
Q7/p3p1qk/1p2P2p/n7/3r2B1/8/P4P1P/3R2K1 w - -,d1d4
rr3k2/4ppnp/3p2pQ/2pP1b2/8/2N2PPP/Pq3PB1/2RR2K1 b - -,f8g8
r5k1/1p2n1p1/1p1N3p/p3pr2/2P2p2/P2P3q/4PP1P/R2Q2RK b - -,f5h5
r3r1k1/pp3p1p/3p2p1/2pP4/P2bP1b1/2N2NPq/1P2K3/R1BQ3R b - -,h3g2
8/1K4k1/P4p2/8/8/1P6/6B1/2r5 b - -,c1a1
2r3k1/1b2qpp1/p5r1/1p1Pp3/2p1P3/PPR3P1/B3QP2/2R3K1 b - -,e7a3
8/2Qn1r1k/7p/3Pqn2/2p1pR2/6PB/7P/7K w - -,h3f5
r1bq1rk1/4bppp/p4n2/np2N3/3pp3/2P4P/PPBN1PP1/R1BQR1K1 w - -,d2e4
8/6k1/3bpp2/3p4/3P2p1/1P2NqP1/1PQ2P1K/8 b - -,d6g3
2r3k1/5p1p/6p1/pR6/N3n3/6P1/1P3P1P/6K1 b - -,c8c1
r1b2rk1/2q1bppp/p2pp3/2n2PP1/1p1NP3/6Q1/PPP1N2P/2KR1B1R w - -,f5f6
r3r1k1/pp3pbp/6p1/6q1/8/1P2PpPb/PBPQ1P1K/R5R1 w - -,b2g7
8/2N1r2p/1pR2pp1/pP1k4/n4P2/6P1/5P1P/5K2 b - -,d5d4
4r1k1/6pp/5n2/1p1P1q2/2p5/2P1Q1B1/1P5P/4R1K1 w - -,e3d4
7k/R1B3b1/5Pp1/7p/5K1P/3b4/8/8 b - -,g7f6
8/pBp1k3/8/7p/7P/2P2RP1/PP3b1r/2K5 b - -,e7d6
r1r4q/1p2ppbk/2bpn1p1/p6p/2P1P3/1P2BP2/P1R1N1PP/3RQB1K b - -,g7e5
1r1q1rk1/pp2npb1/2npb1pp/2pNp3/P1P5/2BP2P1/1P1NPPBP/R2Q1RK1 b - -,d8d7
rn1qk2r/1b2bppp/p2p4/3Pp3/1p4P1/7P/PPP1NPB1/R1BQK2R w KQkq -,e2g3
1n5k/4r1p1/p5bp/1p3p2/3Pp2P/1B2P3/1P1N1PP1/R5K1 b - -,g6f7
2r5/pp1n2r1/4k3/3p4/1n1PP3/qP4N1/P5Q1/R4RK1 b - -,d7f8
r1bq1r2/pp1np1bk/2pp1npp/5p2/1PPP4/2NQ1NP1/PB2PPBP/R4RK1 w - -,d4d5
8/5pk1/1r2p1p1/2pp3p/3b1P1P/3B2P1/1r3P2/3RBK2 b - -,d4f6
1rb2r2/2p2pbk/2nq2pp/1pNnp3/3P4/1BP2N2/1P3PPP/R1BQR1K1 b - -,e5d4
1rq2rk1/2n3pp/p2p1pb1/1pnPpN2/P1p1P1P1/2P3NP/1PB1QP1K/R2R4 b - -,b5a4
8/5pkp/2N3p1/8/8/4P1P1/4rPKP/8 w - -,g2f3
6k1/1pRn1rp1/4q3/5bQ1/P3p3/4P2P/1B3PB1/6K1 w - -,c7c8
2R5/8/p4k2/1p2p1p1/1n1p4/5PP1/1P1K4/8 b - -,g5g4
8/8/3n3p/5Bp1/6P1/7K/5k2/8 w - -,f5d7
5rk1/1p1b3p/p1n1p1p1/3p4/3P4/5PK1/PP5P/1B1R2R1 w - -,g3f2
4r3/r3q2k/1p1p2p1/p2Pn2p/2P1B3/PP2Q3/6PP/4RR1K w - -,e3b6
8/p4p2/1p2pk1p/7p/1P6/P2BnPPK/8/8 b - -,e3f5
r4k2/6pp/1p2pp2/N1n5/1P2P3/P4P1P/2R1K1P1/8 b - -,c5e4
8/1p4p1/p3kp1p/3b4/2n5/P1BK1P2/1PB3PP/8 b - -,c4d6
8/3kP3/3P2K1/3R3p/7P/5rP1/8/8 w - -,d5e5
6rk/ppb2p2/2p2rqp/2P3p1/PP1BPp2/3P2R1/3Q1P1P/5RNK w - -,d4f6
4b3/6p1/3kp2p/2ppNp2/3P1P2/1P2P3/3K2PP/8 w - -,d2c3
2rqkb1r/3n1p1p/p2Pb1p1/8/Q3P3/1N5P/PPP3P1/1K1R1B1R b k -,f8g7
2r3k1/6p1/5p1p/3P4/2q1P3/1Rp4P/2Q3P1/7K b - -,c4b3
r2q1r2/pp4bk/3ppnpp/2p5/3BP3/P1N4P/1PPQ1PP1/R3K2R w KQ c6,d4e3
r3kb1r/p1pnp1pp/2p5/3pNb2/1q1P1B2/8/PPP2PPP/RN1Q1RK1 w kq -,b2b3
1R6/2n1k3/4p3/5p2/5P2/pR4PK/8/2r5 b - -,a3a2
rnb1k2r/ppp1bppp/3p1n2/8/8/3P1N2/PPP2PPP/RNB1KB1R w KQkq -,b1c3
3r1rk1/pp2ppbp/2q3pn/2NpP3/3P1BP1/8/PP1Q1P1P/2R2RK1 b - -,b7b6
5B2/6R1/2k2p1p/1p3P1r/1P6/2P1KP2/8/1b6 w - -,g7g6
7k/2r2pp1/p2Np2p/4P3/2pK1P2/3b4/PP4PP/2R5 b - -,c7d7
rnbq1rk1/5ppp/2pp1n2/p1b1p1B1/1p2P3/P1NP4/BPP1QPPP/2KR2NR w - -,c3a4
r4rk1/pp1qbppp/2nppn2/8/2PNP3/1PN5/P4PPP/R1BQR1K1 b - -,a7a6
r1bqkb1r/pp1p1ppp/2n1pn2/8/3P1B2/4PN2/PP3PPP/RN1QKB1R b KQkq -,f8e7
2bq1r2/r3npbk/pp1p2pp/2p1p3/1PPnN3/P2P1NP1/3BPPBP/1R1Q1RK1 w - -,e4c3
5rk1/1p4pp/2p1bb2/p1q2p2/P1P1p3/1P2P1P1/2Q1NPBP/5RK1 w - -,f1d1
8/8/p5k1/5Rp1/P5P1/5PK1/2r5/8 w - -,f5d5
r4rk1/6pp/2b1p3/p2p1p1P/2pP2P1/2P1PP2/P5R1/1BK3R1 b - -,f5f4
3r2k1/5pp1/7p/8/1P3Q1P/2r3P1/2qp1PK1/3R1R2 b - -,c3c4
8/1p3kpp/p2p4/8/P2pP3/3P4/3K2PP/8 w - -,d2c2
rn1qkb1r/pbpp3p/1p2p1pQ/4Pp2/3Pn3/3B4/PPP2PPP/RNB1NRK1 w kq -,h6e3
Qbb2rk1/p2n2pp/1q2p3/1p1p1p2/1P1P4/5NP1/P3PPBP/1RB2RK1 w - -,f3g5
5r2/r2n1Bkn/pp2Q1p1/2b1pNB1/P3q3/8/1P4PP/R4R1K b - -,g6f5
r3r1k1/1pqn1pp1/2p1bn1p/p1b1pN2/2P1PP2/1P4PP/PBQN2B1/R3R1K1 w - -,g1h1
2brk3/p1q2p1n/1pnN3p/4p3/2P1P3/B1P3P1/P4PBP/R2R2K1 b - -,d8d6
r1b2rk1/p2nq1pp/1ppbp3/3p1p2/P1PPn3/1PNBP3/2QN1PPP/R1B2RK1 w - -,f2f4
4r1k1/p5p1/1p6/4rp2/1B4p1/1P3nPP/P5K1/R4R2 b - -,a7a5
8/8/6k1/2pP4/p1P2QpP/P2q2K1/8/8 w - -,g3g4
8/8/1bk4p/1p1p2p1/1P3p2/2K2P1P/2N3P1/8 b - -,b6d8
rnbq1rk1/ppp2p1p/3p2p1/3Pp1bn/2P1P1P1/2N2P2/PP3B1P/R2QKBNR b KQ g3,h5f4
r1bqnrk1/1pp1bppp/p3p3/3n4/3P4/5NP1/PPQBPPBP/RNR3K1 w - -,e2e4
r3k3/1ppnbpp1/3q2p1/p1pPp1P1/P1P1P2r/1P2B2P/2Q2PB1/2KR3R b q -,e8c8
5k2/4Rp2/2b5/8/3P3p/1r2N2K/8/8 w - -,e7e5
r4nk1/pp3p2/2pb1np1/3p3p/3P1N1P/2PN2P1/PP1BRPK1/8 w - -,f2f3
r1b1k2r/2qpbpp1/p1n1pn1p/1p6/3NPPP1/P1N1B3/1PPQB2P/R3K2R b KQkq f3,b5b4
3r1k2/1pq3pp/p2p1p2/3R4/3QP3/5P2/1P3PKP/8 w - -,f3f4
7r/p3k1bp/4p3/3b4/2N5/1r6/1P2BPPP/2R2RK1 w - -,c4e3
rnbq1rk1/1p2p1bp/2p3p1/1P1p1p2/p1PPn3/N4NP1/PB2PPBP/R2Q1RK1 w - d6,c4d5
2k4r/p2b2p1/1pnb1q2/2p1p1N1/2PpPp2/P2P1N2/1PQB1P2/2K3R1 b - -,c6d8
7r/1pB1pnkp/2p3p1/8/2P3P1/5P2/P1R1BK1P/7R b - -,h8c8
r2q1rk1/pb2bppp/1p2p3/3pP3/1nP1n3/P4NP1/1P1N1PBP/RQB2RK1 b - -,e4d2
5rk1/p1rq2pp/1p2p2n/3pPp2/1b1P1PP1/4BN1P/PP3RQ1/3R2K1 b - -,g8h8
r4rk1/p2bppbp/2q3p1/2p5/3P1B2/2PQP3/4NPPP/R4RK1 w - -,d4d5
4R3/8/p2p1k2/P2b3p/2rP1KpP/2B5/1P4P1/8 b - -,d5g2
r1b1kb1r/1pp1nppp/p1p2q2/4p3/4P3/3P1N2/PPP2PPP/RNBQ1RK1 w kq -,c1g5
2r3r1/p3kpb1/1p2p2p/3q1p2/3p1Q2/PP1P2B1/1P4PP/2R1R1K1 b - -,e7f6
r1q3k1/7p/2pb2p1/p1Np1b2/3P2p1/1PQ2N1P/P4PP1/4R1K1 w - -,h3g4
8/1p4R1/8/p3k2b/P3p3/1PP4r/3KB3/8 b - -,e5f6
r1b2k1r/pp3ppp/3bp3/1B1P4/1n6/5N2/Q2B1qPP/2KR3R w - -,a2b3
2kr3r/ppqn1p1p/2pbp1b1/P4p2/3P3N/2P3P1/1P3PBP/R1BQ1RK1 w - -,a5a6
r1b1n1kr/3q1pb1/1p4p1/pBpPp3/P3P1P1/1PN1BP2/6R1/2RQ2K1 b - -,d7d8
r1bq1rk1/1pp2ppp/p1n1p3/8/Q1BPn3/4PN2/PP3PPP/R3BRK1 b - -,c8d7
r1bqr1k1/pp4bp/2p1npp1/2Nnp3/P7/3PBNP1/1P2PPBP/2RQ1RK1 w - -,c5e6
3r1rk1/2q1npp1/p2p3p/1p2p3/2P3PN/1P4Q1/P2R1P1P/3R2K1 w - b6,c4b5
3rr1k1/1pp2pp1/2q4p/p2nn3/P1P1B3/BP4P1/2Q3PP/3R1RK1 b - -,c6b6
r3k2r/pbp1q2p/1p2pp2/1N2n3/1P6/P7/2PQ1PPP/2KR1B1R w kq -,d2c3
3r1rk1/p3q3/2bb2p1/2p1pp1p/2P1p3/1PB1P1P1/P2RQP1P/3R1BK1 w - -,a2a3
3r1nk1/p3rqpp/1pn1p3/2p5/2P1NPQ1/3PPN2/P5RP/3R2K1 w - -,g4h4
8/8/7K/5k1P/8/8/3pB3/8 b - -,f5f6
r1bq1rk1/pp1pppbp/2n2np1/2p5/4P3/2PP1NP1/PP3PBP/RNBQ1RK1 b - -,d7d6:d7d5:a8b8
4r3/pp5p/3k2p1/2pp4/8/2PPn3/PP2NKPP/4R3 w - -,h2h3
6k1/1n1q1pbp/pB2p1p1/1p1P4/4P3/5P2/P1Q1BP1P/6K1 w - -,c2c6
r1bqk2r/1pp1bppp/p4B2/n2p4/P1p1P3/2N2N2/1P3PPP/R2QKB1R b KQkq -,e7f6
r2q1rk1/pp1nbppp/1n6/2pP4/4PB2/2NQ1R2/PP2N1PP/R5K1 b - -,e7f6
5rk1/1p3p2/3Nn1p1/Q6p/P2qP3/8/1PP4P/1K5R w - -,e4e5
3rr1k1/1bq2pp1/p2ppnnp/2p5/2P1P3/1P2QN1P/P2RNPP1/1B1R2K1 w - -,e2f4
8/1pR5/1P1k1p1p/p6r/P7/2P5/2K5/8 w - -,c7b7
4r1k1/1pq1pp2/p4np1/2P2b2/1PP1p2p/1N2P2P/PQ2BPP1/3R2K1 w - -,d1d4
r2r2k1/1pqbbppp/p2ppn2/8/2PNP3/1PN1BP2/P3Q1PP/2RR2K1 b - -,a8c8
2r3k1/p3pp1p/1n4p1/4b3/2p1N3/2P2P1P/PPK1B3/3R4 b - -,g8g7
5r1n/pp6/2bk3n/3p2NP/PR2pPP1/6R1/2P5/3K1B2 w - -,g5h3
r5r1/5QPk/3p4/P1p1p2P/2P5/8/P7/1R4K1 b - -,g8g7
r1bqr3/1p4kp/nnp2pp1/p3p3/8/2NP1NP1/PP1QPPBP/R2R2K1 b - -,c8e6
r2q1rk1/2np2pp/2p1pb2/4Np2/1PpP4/3Q2P1/1B2PPKP/2RR4 w - -,d3c4
2n1kb1r/pr1b1p1p/Rp2p1p1/3p4/1P1P1N2/2PB1NP1/1P2KPP1/7R b k -,c8d6
5r1r/1p2p3/p2kP3/3p2pp/2q5/7P/P1P3P1/1R1QR2K b - -,b7b5
2r5/2Pr3k/2R4p/R6P/P2p4/3K4/8/8 b - -,c8c7
8/7p/3bk1p1/3p2B1/3P4/1KR5/5r2/8 b - -,f2g2
4r1k1/5p2/4q1p1/4P2p/4QP1P/6P1/4R1K1/8 w - -,e2f2
5bk1/pp3ppp/2p1nn2/q7/4PB2/2N3PP/PP3PB1/3Q2K1 w - -,e4e5
1rbqk2r/2p2ppp/pbnp1n2/1p6/P2pP3/NBP2N2/1P3PPP/R1BQ1RK1 w k -,c3d4
1qr1r1k1/p4ppp/1p3n2/5P2/2pN3Q/5R2/PP4PP/4R2K w - -,h2h3
7r/p4kb1/2bP2p1/2P4p/r6P/4B1P1/P4P2/3RR1K1 b - -,h8d8
r2q1rk1/pb1pnppp/1p2p3/3n4/P2P4/2PB1N2/1P1N1PPP/R2Q1RK1 w - -,f1e1
r4rk1/2qn1p1p/p3P1p1/1pp3N1/2P2P2/1Pb1B3/P3Q1PP/R4RK1 b - -,c3a1
1qrbr1k1/1b3ppp/pp3n2/3pn3/P3P3/1PN1BP2/4NQPP/2RR1BK1 w - -,c3d5
r1b1kb1r/p5pp/n1p1p3/q2p1P2/1p1PnB1Q/7P/PPP1PP2/1NKR1BNR b kq -,e6f5
r5k1/R2b2pp/4pp2/3pP3/1PpK1P2/2P3P1/2B4P/1R6 b - -,a8a7
8/6p1/p1p5/3kP3/1P2pP2/4P3/4K3/8 w - -,e2d2
r6r/pp2kppp/3pbn2/1B2p3/4P3/P1q1BP2/1PP3PP/2KR3R w - -,b2c3
2r2r1k/pp2pp1p/7P/4bB2/8/8/1PP3P1/1K1R3R b - -,c8d8
r5k1/p1R2pp1/1n3b1p/3p4/8/1P2P1P1/P2R1PbP/6K1 w - -,g1g2
r2q1r1k/2p1n1bp/3p2p1/BP1Ppp1n/4P3/6P1/3N1P1P/R2QRBK1 b - -,g7h6
8/4n3/pb3kp1/1p2pp2/7p/1PNKPP2/P2B2PP/8 w - -,d2c1
6R1/6p1/5p1p/1k1r1K1P/6P1/8/5P2/8 w - -,f5g6
1B2k3/1p4nr/p6p/PnNN1pp1/3P2P1/1P2KP2/7P/8 w - -,h2h3
1r2b1k1/2n1Qp1p/2p1p1p1/ppP1P3/4P3/qB5P/P4PP1/2R1R1K1 b - -,b8c8
8/2q2pbk/r1N3p1/p2Q3p/PpR1P2P/1P4P1/5PK1/8 w - -,c6b4
3r1rk1/5p2/pq2p1pP/1p2P2Q/3N1P2/PnP1R3/1P5P/3R2K1 w - -,h5g5
r1bq1rk1/pp1nbpp1/2p4p/3p4/3P1B2/P2BPN1P/1P3PP1/2RQK2R b K -,d7f6
4r1k1/pp1r1pp1/4pbp1/2P5/b1PP1P2/P3QBPq/1B3R1P/5RK1 b - -,e8d8
8/p3k3/1p1n1b1p/2pB4/2P2PP1/8/P3KB2/8 b - -,e7f8
1r6/1pk3pp/pn2bp2/N3p3/8/2P1K3/PP1R1PPP/3B4 w - -,d1b3
3Q4/p1pp2pk/b5q1/2pP4/8/P4r2/1B4PP/2R3K1 w - -,d8d7
4rrkb/1p2pp1p/p2p2p1/q2nPN2/2P2P2/2R1B3/P4RPP/3Q3K w - -,f5h6
8/8/8/2P2R2/4pp2/1K2k3/6r1/8 b - -,g2g6
8/4B3/p7/1p3kpp/1P1K4/2P3Pb/1P6/8 w - -,d4c5
1rnb2k1/1p3r2/3p4/NN1Pp2p/1n2Ppp1/5P2/P4BPP/5RRK w - -,a5c4
5k2/5P2/6P1/7K/5R2/8/8/7r w - -,f4h4
rn1q1rk1/pb2bppp/1pp1p3/3p3n/2PP1B2/5NP1/PPQ1PPBP/RN1R2K1 w - -,f4c1
8/5kp1/pp6/2b3R1/5r2/2P5/P4p2/3R1K2 b - -,f7f6
r2qr1k1/1p3pbp/pn4p1/3n1b2/8/2NBBP2/PPNQ2PP/3R1RK1 w - -,c3d5
r5k1/4bppp/4p3/1N2P3/5P2/3p2P1/P6P/2R3K1 w - -,c1d1
2r2r2/1p2q2k/7p/p2N1bp1/6P1/1B6/PP3P1P/5RK1 w - -,d5e7
1r6/p2b2k1/2p2p2/6p1/2NP1b2/8/PP2BKP1/R7 w - -,a1h1
r4rk1/pbqnbppp/1pp1p3/8/2NP1P2/2N5/PPQ1PPBP/R2R2K1 w - -,e2e3
2kr3r/1pp2p2/p1pb1q2/6p1/2PNP2p/2PPP2P/PB4P1/1R1Q2K1 b - -,d6g3
8/1pR3p1/2n2k2/pr6/7p/1N6/PP4KP/8 w - a6,g2f3
8/8/1b2k3/5pp1/8/5QPP/5P2/2q3K1 w - -,g1g2
1rrq1k2/n2n1p1p/3Pp1p1/1b1N4/N7/1P2Q1P1/4PPBP/2RR2K1 w - -,e3h6
r1bq2k1/p1b2rpp/2p1p1n1/2p1P3/3p2P1/NP1P1N2/P1P1Q2P/R1B2RK1 w - -,a3c4
3q2k1/3r1pp1/2rP2p1/p3PnN1/1p5P/1Q6/1P1R1PP1/3R2K1 w - -,e5e6
q5k1/5p1p/3bp1p1/8/2rP4/P4NP1/1Q3PKP/1R6 b - -,c4a4
4rnk1/r2b1pb1/p1p2qpp/NpP1p3/1P2Pn2/P3RN1P/1BQ2PP1/R4BK1 w - -,a1d1
1k1q1r1r/1p1nb2p/p1p1npp1/P1Ppp3/1R1P2P1/1N1BP1BP/1PQ2P2/4K2R b K -,e6c7
3r2k1/5p1b/1p2pp1p/1P6/8/1r4P1/5PBP/2R1R1K1 w - -,g2c6
8/4p3/6P1/8/2Q5/p7/1b6/1k5K w - -,c4b3
8/5n2/8/1p1k2p1/8/4K3/P7/5R2 b - -,f7d6
r4rk1/1p3qp1/2p1p2p/p1Nn3n/P2P4/5P2/1P1QBP1P/2R3RK b - -,d5f4
r1bq1rk1/p2nbpp1/2p1pn1p/1p6/2BP3B/2N1PN2/PP3PPP/R2Q1RK1 w - b6,c4d3
1k6/2p5/2pp4/4n3/1P2PB2/PKQB4/2P5/6qr b - -,e5d3
r4rk1/p3bppp/1qp1bn2/3p4/Q2P4/3B4/PP1N1PPP/R1B1R1K1 w - -,d2b3
6r1/1k3p2/2p2p2/p3pP2/Pp2B3/2b2N1K/2P2B2/8 b - -,g8d8
5nk1/4b1pp/3p1r2/P2Pp2q/4Q3/1N4R1/1P1B1PpP/6K1 b - -,f6g6
6K1/8/3k4/8/2Q3p1/1B6/8/6q1 w - -,c4f4:c4e6
3q1rk1/p1rpbppp/bpnNpn2/8/2P2B2/1N4P1/PP2PPBP/R2Q1RK1 w - -,c4c5
3rn3/1p4kp/p1p2p2/3p1P2/5BP1/1PPP4/7P/4R1K1 b - -,g7f7
8/pQ1n2pk/7p/3N1P2/3p2PP/8/q5K1/8 w - -,g2g3
