8/8/2Q5/1p6/k7/8/r1K5/8 w - -,c2c3
r2r4/1pp1kp1p/p1n1b1p1/4p3/4P3/2P2N2/PP3PPP/R2R1NK1 w - -,b2b3
8/5k2/8/4p3/6K1/4rPP1/7R/8 b - -,f7f6
r2q1rk1/5pbp/1np1bpp1/pp6/3P4/P4NBP/1PPQBPP1/3R1RK1 b - -,f8e8
r2r2k1/1p2q1bp/p2p2p1/4pb2/2P5/1P3NP1/nB1Q1PBP/3RR1K1 b - -,a6a5
r3kb1r/pp1q1ppp/4pnb1/3P4/2PQ2P1/7P/PP2BP2/RNB1K2R w KQkq -,b1c3
r1bq1rk1/1pp2pbp/2np2p1/p7/2PpP3/1P1P2PP/P3NPB1/R1BQ1RK1 b - -,c8d7
1rb2rk1/p1qn1pbp/1pp2np1/P3p3/4P3/2P2N2/1PQNBPPP/R1B2RK1 w - -,b2b4
2rr4/p3k1pp/Np2p3/3n4/5P2/PP6/5PPP/R1R1K3 b - -,d5f4
5k2/R7/P2p4/8/4p1P1/4nn2/8/5BK1 w - -,g1f2
4r1k1/p4ppp/8/2p1q3/2Q5/1P2P1PB/P1pr1P1P/5RK1 w - -,a2a4
r1bk1b1r/1p2nP2/p1n4p/2P3N1/P1p1PB2/2N5/1PP3PP/3R1RK1 b - -,c8d7
rn2kb1r/p1p2ppp/1p2pq2/6B1/3P4/3B4/PPPQ1PbP/R3K2R w KQkq -,g5f6
5n2/8/2Q2p2/6p1/2k5/2q3P1/p4P2/3K4 b - -,c4b3
8/5r1p/1k1b2pB/1Rp2P2/2Pp2P1/1P1K4/2P5/8 b - -,b6c6
8/1p4Q1/p1b3p1/3pPp1k/4q3/1R6/P4PP1/6K1 b - -,f5f4
rnbqkbnr/p1p2ppp/1p2p3/8/4P3/8/PPP1QPPP/RNB1KBNR w KQkq -,c2c3:g1f3
1rbq1rk1/pppn1ppp/3bp3/6B1/3P4/5NP1/PPP1QPBP/R3R1K1 b - -,d8e8
r4rnk/pb2pq1p/1p1p2p1/2pPn1Q1/2P1P3/2N2PN1/PP2B1P1/R3K2R w KQ -,g5h4
8/3b1p2/p2P1k1p/1pKB1p2/1P3PpP/P5P1/8/8 b - -,h6h5
8/5p2/3nkP2/1p4PR/p3p3/6r1/2PK4/5B2 b - -,a4a3
r1bqkb1r/pp3ppp/2n1pn2/2pP4/8/1PN1PN2/P2P1PPP/R1BQKB1R b KQkq -,e6d5
4r1k1/pb3ppp/4Rq2/2pp4/5B2/2P2P2/PP1Q2PP/3R2K1 b - -,f6e6
b4rk1/2r1qppp/pQ1Rp3/Np4P1/4PP1P/8/PpP5/1K2R3 w - -,e1e3
rn2k2r/p3bp1p/2p1b1p1/q7/8/1PpB4/P1P1QPPP/R1B1K1NR w KQkq -,g1f3
8/7p/pk6/7R/2P5/2K4P/8/3r4 w - -,h5h7
8/5k2/p2b4/1p1P2P1/5p1P/1P1B1K2/8/8 b - -,f7g8
r1bq1rk1/pp1nppbp/2p3p1/3nP3/8/2NB1N1P/PPP2PP1/R1BQ1RK1 w - -,d1e2
rn2kb1r/pp2pppp/2pq1nb1/4N3/3P2P1/2N4P/PPP2P2/R1BQKB1R w KQkq -,f1g2
1r6/1N3kp1/p1n5/Pp1P2p1/8/2K2PP1/1P6/3R4 b - -,c6e5
r3kb1r/pp1qpppp/2n1bn2/3p2B1/2PP4/P1N5/1P3PPP/R2QKBNR w KQkq -,g5f6:f1e2:c4c5
r2r2k1/pp1n1pp1/1q1pb2p/4p3/2P1B3/PPN1P3/2Q2PPP/R2R2K1 w - -,c3d5
8/6k1/2RR1pp1/4p3/1pP1P3/1P4PK/r4r2/8 b - -,a2e2
8/6kp/6p1/1pq5/8/2R2PP1/Q5KP/8 b - -,c5c3
r3k2r/ppp2ppp/4p1b1/3n4/6P1/3n1P2/PP1Q3P/R3K1NR w KQkq -,e1f1
8/4pk2/1R3p2/4nPp1/r7/3p2K1/7P/4R3 w - -,b6b3
2R2rk1/1B3p1p/3rn1p1/8/8/6P1/5P1P/4R1K1 b - -,f8c8
5k2/1p1qpprp/p2pb1p1/8/3Q1N1P/4R3/PPr2PP1/4R1K1 b - h3,f8g8
r3rbk1/1bqn1ppp/p1npp3/1p4P1/4PP2/PNN1BR2/1PP1Q1BP/3R2K1 b - -,g7g6
8/2r1k1p1/2P1p2p/8/2R1K3/r4P2/P1R3PP/8 w - -,e4e5
r4rk1/pp2q1bp/n1p1bnp1/2P1pp2/1P2P3/2N2NP1/P3QPBP/1RB2RK1 b - -,a6c7
r1bqkb1r/pppn1ppp/3p1n2/4p1B1/3P4/2P2N2/PP1NPPPP/R2QKB1R b KQkq -,f8e7
8/5n2/2k2B2/4p1p1/1K1p1pP1/3P1P2/4P3/8 w - -,b4a5
r1b1Q3/p6q/1k2p3/1p1pP3/2p4P/2P2P2/PP2K3/3R2R1 w - -,h4h5
2r3k1/pp2bppp/4b3/q2p4/N2Bn3/6P1/PP2PPBP/3Q1RK1 w - -,a2a3
r1n3k1/2p3p1/P4p1p/3Pp3/R3P3/1N5P/6P1/6K1 b - -,c8b6
r1rq2k1/4bppp/4p3/p3n1PP/bp2P3/3B4/PPPBN1Q1/1KR4R w - -,e2f4
2r1r3/7k/p1Np3p/Bp1P2p1/5b2/PK6/1PP5/7R w - -,a5c3
r2q1rk1/p3bppp/bpn1p3/8/3PPB2/5NP1/P4PBP/R2QR1K1 b - -,c6b4
r4rk1/1b2nppp/pq2p3/1p2P3/1n6/P1N2NP1/1P3PBP/R1QR2K1 b - -,b4d5
r2r2k1/3nbppp/pqb1pn2/1p6/1P1NPB2/P1N5/B3QPPP/2RR2K1 b - -,a8c8
b1r1k3/2P1nppp/p3p3/BpR1P3/3N4/P4PK1/5P2/8 b - -,e8d7
q2rr1k1/1b1nbppp/pp2p3/n1p3P1/2P2P2/3PP2P/PB2Q1B1/1N1RNRK1 b - -,b7g2
r1b1k2r/ppp2pp1/2nq1n2/4p2p/3P4/2PBP1N1/P2B1PPP/R2QK2R b KQkq -,h5h4
7k/1b2r1bp/p2Nnn2/Pp1p2pB/3Ppp2/4P2P/1P1N1PPB/2R3K1 w - -,h5f7
rnbq2k1/pp3pbp/3p1np1/2pP4/2P5/2NBPN1P/PP4P1/R2QK2R b KQ -,d8e7
2r5/p3p1k1/1p1p2pp/4p3/2P1Pr1P/1P1R1P2/P5P1/1K5R w - -,b1b2
7R/8/8/3K4/8/2k5/4n3/8 w - -,d5e4
r4rk1/Bppqnpp1/p2pbn1p/4p3/4P3/2PP1N1P/PPB2PP1/R2QRNK1 b - -,a8a7
6k1/5p2/6pp/p1r5/4P3/3K1P2/6PP/3R4 b - -,c5b5
4r3/p1q1Ppk1/3r1npp/2p5/2P3P1/4R3/P3QP1P/4R1K1 b - -,d6d4
2rr1k2/1p1n1p1p/p1p1b1p1/8/NPPpP3/3B4/P4PPP/2RR2K1 w - -,a4c5
1k1r3r/1bqnbp2/p2ppn1p/1p4p1/3NPP2/P1NB2Q1/1PP2BPP/1K1RR3 w - g6,f4g5
1rr3k1/2qbbnnp/3p1pp1/Np1Pp3/1Pp1P3/2P1BP1P/R1B2QP1/R4NK1 b - -,e7d8
2rn1kb1/pp2p1b1/7q/3pPP2/3P1P1Q/2PB3P/P6K/2R2R2 w - -,h4g4
8/5pk1/8/p2PR1Pp/Ppp1K2P/1q2N3/8/8 w - -,d5d6
r1b1kb1r/pp2pppp/1qn2n2/3p4/3P1B2/2PB4/PP3PPP/RN1QK1NR w KQkq -,d1b3
3rk2r/1p2qppp/p1p2nb1/8/Q2Pp1P1/2N1P2P/PP1N1P2/R3K2R w KQk -,e1c1
8/7k/R6P/P4r2/1K6/7P/8/8 b - -,f5f4
2k5/ppp1b3/4p3/4P3/2P3rp/1P2R3/1K4P1/6R1 b - -,e7c5
rnbqkbnr/ppppp1pp/8/5p2/1PP5/8/P2PPPPP/RNBQKBNR b KQkq b3,e7e5
r3r1k1/pp3p1p/2b2np1/3p4/P2N4/1P1B3P/2P2PP1/1R3RK1 b - -,c6d7
r1r3k1/3n1p1p/2p1p1p1/p1Pn4/Bq1bNB2/1P3Q1P/5PP1/3RR1K1 w - -,f4d2
r1b2rk1/2Bn1ppp/p1p1p1q1/8/2NPP1P1/2P3Q1/P4P1P/R4RK1 w - -,f2f3
2rrb1k1/4bppp/p2ppn2/1p6/2qNPP2/P1NQ3P/1PP2BP1/3R1RK1 b - -,d6d5
2r2b2/1q4pk/3p2p1/pr1Np2p/1P2P3/R2P4/Q4PPP/2R3K1 w - -,c1c8
6k1/1p2nr1p/p2Q4/5p2/P1B1pP2/5qP1/7P/1R1R2K1 b - -,f3e3
r1b1k2r/ppq2p2/2pp1b2/3Pp1pp/P3PB2/2N2Q1P/1PP2PP1/R3RBK1 b kq -,g5f4
8/8/6PK/8/1k6/7P/p7/8 w - -,g6g7
b7/P7/8/2K3N1/5p2/5Pk1/8/8 w - -,c5d6
6k1/8/5R1P/5P1K/6P1/8/8/6r1 b - -,g8h7
rn1qk2r/pp2bppp/2p1pn2/6B1/3Pp3/2N4P/PPP1QPP1/3RKB1R b Kkq -,b8d7
2r1k2r/3pbpp1/2q1p3/ppB1Pn1p/1P2NP2/P4Q2/2PR2PP/5R1K b k -,a5b4
4r1k1/pp3pp1/2pr4/3p4/7b/2P1PP2/PP1B1P2/3R1RK1 w - -,f1e1
r1bqkb1r/pp1n1p2/3ppp1p/1B6/3QP3/2N2N2/PPP2PPP/R3K2R w KQkq -,e1c1
1r1q1rk1/1p2ppbp/p1np1np1/8/P2PP3/5NPP/1P3PB1/R1BQR1K1 b - -,f6d7
8/p7/4Rp2/2P5/r2P4/6k1/8/3K4 w - -,e6d6
1r1qr1kb/1bn2p1p/3pp1pB/1PpPnP1P/4P3/2N2N2/1P1QB1P1/R4RK1 w - -,b5b6
r1bqk2r/pp2n1bp/2np2p1/2p2p2/1PP1p3/P1N3P1/1B1PPPBP/R2QNRK1 b kq -,c8e6
r3k1r1/pp1bnn2/4p1pp/q2pPp2/P1pP1N1P/B1P3R1/2P2PP1/R2QKB2 b Qq -,e7c6
r3r1k1/pp2bppp/5Bn1/3p1q2/3N4/1NP5/PP3PPP/R4RK1 w - -,d4f5
r1br2k1/pp3pbp/2n2np1/4p1q1/8/1BN1P2P/PP1N1PPB/2RQ1RK1 w - -,f2f4
8/8/2k5/2P5/1K5p/pP6/P7/2n3N1 w - -,b4a3
1nbb3k/r5rp/1q1p1p2/p1pPp1p1/2P1P1P1/RP1BN2P/2Q2PK1/R5N1 b - -,b8a6
r1bqk2r/1ppn1ppp/5n2/p3p3/1bP5/5NP1/PP1BPPBP/RN1Q1RK1 w kq -,b1c3
6k1/2rqr1pp/2p2p2/1p1p4/1P1P4/Q3P1PP/R4P2/R5K1 b - -,e7e6
k4r2/p2R4/Pp6/4N3/8/R2pK3/4bPP1/2r5 b - -,e2f1
r1b2rk1/p1q2pbp/1n1p1np1/p1pPp3/2P1P3/3B1N1P/1P1N1PP1/R1BQR1K1 b - -,a5a4
r2qr1k1/p2n1pbp/2pp1np1/1p6/4P3/2NBB2P/PPPQ1PP1/3RR1K1 b - -,a7a5
r2q1rk1/pp2bppp/1n6/3pNb2/1npP4/1PN1B1P1/P3PPBP/2RQ1RK1 b - -,f7f6
5k2/5pp1/1R2N2p/p2p4/8/4P1KP/r4PP1/8 b - -,f7e6
r2q1rk1/pppbbppp/2np1n2/8/2PNP3/2N1BP2/PP4PP/R2QKB1R w KQ -,f1e2
r3kb1r/pp1n1p1p/2p1p1p1/7n/4P3/4BP1P/PPP2P2/RN1K1BR1 w kq -,b1d2
5rk1/pbqnrp1p/1ppp1np1/8/P2NP3/2N4P/BPPQ1PP1/3RR1K1 w - -,d4f3
r2nrnk1/ppqb2p1/6p1/4PpN1/1pPp1B2/3P4/P3QPB1/RR4K1 w - -,g2d5
7r/1pk1bppp/1N2b3/1P1p4/P2P4/R7/5PPP/3R2K1 w - -,b6d5
7k/6pp/5pn1/2B1r3/1P6/8/6PP/5RK1 w - -,g2g3
rr4k1/p4pbp/2p1b1p1/4p1B1/4P3/5N2/PP3PPP/R1R3K1 w - -,b2b3
2rq1rk1/pb1nbppp/1pp1pn2/P7/2PP4/5NP1/2QBPPBP/RN1R2K1 b - -,c6c5
r1bq1rk1/pp2n1bp/2p3p1/2B1p3/2P1Pp2/2NB1P1P/PP3P2/R2Q1RK1 b - -,c8h3
5Rk1/5q1p/3p3r/1p1Qn3/2p1P1b1/2B2p1P/1P3RP1/5B1K b - -,g8f8
8/8/p1p5/P2r1kp1/1P6/5P2/5K1P/2R5 b - -,d5d6
1r1r2k1/2q2p1p/p1bbp1p1/2p5/P1P2P2/2B1Q3/1PB3PP/4RR1K b - -,d6f8
5rk1/1pn2pb1/1qp3p1/p3P1Bp/3P3P/1P1Q2P1/6BK/5R2 w - -,g5e7
r3r1k1/1p1bq2p/2pp1pp1/p1n1n3/2PNPP2/1PN1Q1PP/P5B1/R4RK1 b - f3,e5f7
rr4k1/1p3pbn/q1n3p1/1R2p1p1/3pP3/NQ1P3P/5PP1/2B1RBK1 w - -,a3c4
8/p3R1k1/2b5/7n/3p3P/P5P1/2r5/1N4K1 b - -,g7f6
r2qrbk1/3n2pp/p1p1b3/3pPp2/N4P2/1P4P1/PB4BP/2RQ1RK1 b - -,a8c8
2r1r1k1/bp3pp1/p1bp2np/3np3/PP6/2NPPNPP/1B3PBK/2RR4 w - -,c3d5
5rk1/ppq5/2p3p1/1PPp1p1p/P2Pr1nP/2Q1PN2/4R1P1/5RK1 b - -,f8e8
rn1q1rk1/pp2b1pp/2p1bp2/3np3/8/P1NP1NP1/1P1BPPBP/R2Q1RK1 w - -,d1c2
rn2k2r/p1q2p2/1pp1p1pb/3p3p/3PP2P/BbN2N2/PPP2PP1/1K1RQ2R b kq -,d5e4
8/5k2/3K4/4P3/3P1n2/8/8/8 w - -,d6d7
r2qk1nr/pp2ppbp/2n3p1/1B1pP3/3P4/5Q1P/PP3PP1/RNB1K2R b KQkq -,e7e6
3r3k/1pp1qppn/pb1p3p/3P1B2/2P4P/1PB3P1/P4PK1/4R3 w - -,e1e7
r4rk1/pp2ppbp/1qnpbnp1/8/2P5/1PN1N1P1/P2BPPBP/R2Q1RK1 b - -,c6e5
4r3/pp1r1kpp/8/5PP1/3p1K2/1P1R3P/P1R5/8 w - -,c2c4
r2q1rk1/3nppbp/b2p2p1/2pP4/6n1/2N2NP1/PPQ1PPBP/1RB2RK1 b - -,g4e5
r3k2r/pb1nqpp1/1pp1p2p/3p4/1b1PPNPP/2NB1P2/PPPQ4/2KR3R w kq -,a2a3
r1bq1rk1/p4ppp/1p1bpn2/3pN3/1n1P4/1P1B4/PBPNQPPP/R4RK1 b - -,b4d3
2kr2r1/pb3p2/2qbp2p/2p2p2/1PP5/P2B1NP1/4QP1P/R2R2K1 w - -,g1g2
1rbqk2r/pp2npb1/3pp1p1/2p4p/4PP2/2PPBnP1/PP1Q2BP/R2NK2R w KQk -,g2f3
5r2/3b2kp/p3p1p1/2rpR3/Pp6/1P4P1/2P1NP1P/4R1K1 w - -,e2d4
8/2b1k3/2R2p2/p1p1p1p1/P1P1P1P1/1PK2P2/7P/8 b - -,c7d6
8/8/R7/P5kp/1P1r2p1/6PP/5PK1/8 b - -,g4h3
5k2/6p1/8/Pr3P2/7p/1P2P2P/3p1K2/3B4 w - -,f2e2
r2q1rk1/1b2bppp/p2p1n2/n1p1p3/Pp2P3/3PNN2/BPP2PPP/R1BQR1K1 b - -,b4b3
2Bk4/7p/2p3p1/2npPp2/5K2/1P4PP/P1P5/8 w - -,b3b4
rn2k1nr/ppqb1ppp/4p3/3pP3/1P1p1P2/P7/2P3PP/R1BQKBNR w KQkq -,f1d3:g1f3
4k3/p1b5/P4P2/1P2N3/4K2p/8/8/8 w - -,f6f7
8/5k2/2p1b3/1pPp2K1/p2P3N/P1P5/8/8 b - -,e6d7
7r/8/1P3k2/1KR3p1/8/8/8/8 b - -,f6g6
8/8/6p1/2k2p1p/p1P2P1P/2K3P1/8/8 b - -,a4a3
rnbr2k1/pp3pp1/4pn1p/2b1N1B1/2p5/2N3P1/PP2PPBP/R4RK1 w - -,f1d1
8/6kp/8/1R4P1/8/3r1K2/5P2/8 w - -,f3e4
8/r7/3p1kp1/P1p4p/2P5/7P/5P2/R4K2 b - -,f6e5
4rrk1/pp1q1nb1/3p1np1/2pP1p1p/2P2P2/2N2BP1/PPQB3P/R3R1K1 w - -,g1g2
1b3r1k/3R2pp/4Q3/4pp2/1q5P/6P1/5P2/6K1 b - h3,f5f4
r1br2k1/2q1bppp/p2p1n2/np6/3NP3/7P/PPB2PP1/R1BQRNK1 b - -,d6d5
rnbq1rk1/4bppp/p1p1pn2/1p6/3PP3/2NB1N2/PP3PPP/R1BQ1RK1 b - -,c6c5
5R2/8/8/2p2P2/2k1bK2/3p4/8/8 b - -,d3d2
5rk1/5ppp/1Q1N4/p1n1q3/2P5/PP2P1P1/8/2KR4 w - -,d1d5
5rk1/p5p1/b1p5/P7/5P1P/8/PB1P1n2/RN1K4 w - -,d1c2
8/8/2k5/1p6/3KP3/1R1P4/4r3/8 w - -,b3c3
r1b1r1k1/1pp2pb1/p1n2npp/4p1B1/2P5/2N3P1/PP1NPPBP/R4RK1 w - -,g5f6
6k1/1R6/2r3P1/8/1p1p2K1/p2B4/P7/4b3 b - -,c6c3
1r6/6pk/7p/2PpPq2/p2P4/2R1BP2/3NK3/5R2 b - -,f5c8
3r1r1k/6p1/2B4p/5p2/PP2p3/3p4/5PPP/R1R3K1 b - -,d8d4
r1bq1rk1/1p1nppb1/p2p1npp/8/3NPPPB/2N5/PPP1Q2P/2KR1B1R b - -,e7e5
r4rk1/1bq2pbp/pp3np1/2n1p3/P2NP3/2N2B2/1PP1QBPP/R4R1K w - -,d4b3
r1b2r2/pp3pkp/6q1/2p1n1B1/2n2Q2/7P/P4PP1/2RR2K1 b - -,f7f6
3rrk2/2q4p/p4Np1/4N3/2PQ2P1/7P/5P2/R5K1 w - -,f6e8
5r2/pB5p/6pk/8/3p2b1/3P4/PPP1p2P/R5K1 b - -,f8b8
4r3/1p1R1b2/p1p2k2/5P2/PPP3B1/3K3P/8/8 b - -,e8b8
4rr1k/1R1Qb1p1/5p1p/p1q5/2P5/1P2P1P1/PB3P1P/5RK1 w - -,a2a4
r3kb1r/1q1p1ppp/p1n1p3/3bP3/Pp1N2Q1/3B4/1PPB1PPP/R4RK1 w kq -,d4c6
r1bq1rk1/pp1nppbp/5np1/3p2B1/3P4/2NBPN2/PP3PPP/R2QK2R w KQ -,e1g1
2Q5/4r1k1/3b4/P6p/4Bp1q/5P2/6PP/6RK b - -,h4f6
5k2/R7/6K1/8/P5P1/8/8/r7 b - -,a1f1
rn1qkb1r/pbpp1ppp/1p2pn2/8/3P4/1P3N2/PBP1PPPP/RN1QKB1R w KQkq -,e2e3
8/p2r1kp1/1p1P2p1/1P2Rp2/1BPn4/2K5/6PP/8 b - -,d4e6
r7/P6p/2n1k1p1/R7/3B4/5P2/7P/7K w - -,a5a6
8/b7/8/P2pB1k1/3P3p/5P1K/8/8 w - -,f3f4
r2q1rk1/5ppp/p2pb3/np1P4/3P4/2N5/PP2BPPP/2RQ1RK1 b - -,e6f5
3r4/R1n1qpk1/4p1p1/4P1Pp/1p1P4/5QP1/1P3PK1/8 w - -,f3f6
5bk1/R5pp/5p2/Pr3N2/2n1NP2/8/4P1KP/8 w - -,f5h6
r4rk1/p1pp2pp/1pn1pq2/8/2P1Q3/2P3P1/PP2NP1P/R3K2R w KQ -,e1g1
r5k1/1p4pp/p1n1p3/1b1pN3/5P2/1B6/P5PP/3R2K1 w - -,e5f3
4r1k1/p3q3/bpp1p3/4P3/3b1Q2/PB6/R4PPP/4R1K1 b - -,c6c5
8/6pk/1p3p1p/1ppPnN2/1P3p2/2P2P1P/6PK/8 b - -,h7g6
r1bq1rk1/3nppb1/2pp2pp/pp6/3P4/P1PBPNP1/1PQN1PP1/R3K2R b KQ -,f8e8
r4bk1/2R2p1p/p3p1p1/4B3/5r2/3R3P/2N3PK/8 b - -,f4f5
2rqkb1r/1b1n1ppp/pp1ppn2/6B1/2P5/1PN2NP1/P2QPPBP/R4RK1 b k -,f8e7
8/8/8/8/1kp4p/5R2/7r/3K4 w - -,f3e3
4rrk1/pp4p1/2ppq2p/P1P3nn/1P1p4/3P2Pb/3Q1PBP/1RB1NRK1 w - -,f2f4
r5k1/p2Rrppp/1pP5/2b1q3/4B3/1Q4P1/PP3P1P/R5K1 w - -,d7e7
r1bq1rk1/1ppn3p/p2p1ppQ/4pn2/2PP4/2N2NP1/PP2PPBP/R4RK1 w - -,h6d2
6k1/r3ppbp/3p2p1/3P4/2p1P3/P2r1P1P/RP1BR1P1/7K b - -,a7b7
r2q1rk1/1b2bpp1/ppn1pn2/2pp3p/5PP1/1P1PPN1P/PBPNB3/R2Q1RK1 w - h6,g4g5
r3r1k1/1pq2pbp/p2p1np1/2pPn3/P3P1P1/2N3QP/1P3P1B/R3RBK1 b - -,g6g5
r4rk1/1bpqnpbp/pp1p1np1/3P4/P7/1BN1BN1P/1PP2PP1/R2QR1K1 w - -,b3c4
4R3/pp4kp/2p2np1/1PP5/3Q4/P4rq1/8/4R2K w - -,e8e7
8/2p3Bp/8/1k1P1n2/1p3b2/3K4/2N5/8 w - -,g7f6
r1bq1rk1/1p2ppbp/p2p1np1/n1pP4/2P5/2N3P1/PP1NPPBP/R1BQ1RK1 w - c6,a1b1:d1c2:h2h3
2r1r1k1/p4p2/5np1/3p3P/5BP1/1q1BP1Q1/5PK1/3R4 w - -,d1d2
r1b1r1k1/ppqn1pbp/2p3p1/4p2n/1PP1P3/2N2NP1/P1Q1BP1P/1RBR2K1 b - b3,d7f8
2r5/2PR4/p3k2p/2K2pp1/5P2/8/P6P/8 w - -,d7d6
4b3/p7/2p2k2/2Pp1p2/3K1Pp1/2P1P2p/P6P/7B b - -,f6e6
4R3/6k1/3p4/2pPbpn1/2P5/6p1/P5K1/8 w - f6,a2a4
8/4q1rk/p2pQ3/1pp3bB/8/3P2PP/PPP4K/5R2 w - -,e6f5
r1bqkb1r/1p1n1pp1/p2p1n2/2pPp2p/2P1P3/2N2P2/PP2N1PP/R1BQKB1R w KQkq h6,h2h4
8/pp2k3/4pr2/4R1bp/PPPN4/3K2P1/8/8 b - -,g5h6
8/8/8/2k3p1/2P1K2p/6rP/2R3P1/8 w - -,e4f5
6R1/8/8/8/2k2b2/2r5/2K5/8 w - -,c2d1
3R4/8/4p3/5p2/1P2k1p1/P5P1/1r3P2/5K2 w - -,d8d1
1rr4k/1p1q3p/p1p1pp1b/N2n1p2/PP1Pn3/4P1P1/4QPNP/1RR1B1K1 b - -,d7f7
3r2k1/2q2ppp/5n2/2p1p3/P4n1P/1PB5/2Q1BPK1/R1R5 w - -,g2g1
r1bqkb1r/p1p2ppp/8/3nP1N1/2p5/8/PP1P1PPP/RNBQK2R w KQkq -,d1a4
r4rk1/1b1nqpp1/pb2pn1p/1p6/4NP2/P1NBP3/1P2Q1PP/R1B2RK1 w - -,g1h1
r1bq1rk1/pppp1ppp/1bn2n2/8/4P3/1NN1B3/PPP1QPPP/R3KB1R b KQ -,d7d5
r1bqk2r/4bpp1/p3pn1p/1p2N3/7B/1B1P4/PP2QPPP/R4RK1 b kq -,d8b6
