3k4/8/1PBp4/2n1p3/2P2p2/8/2PK1P2/8 b - -,d8c8
r3k3/4bp2/rpq1p1p1/1N1pP1Pp/P1pP1Q2/1nP5/R2N1P1P/R6K w - -,d2b3
r3kb1r/ppp1pppp/2n2n2/3q4/3P2b1/2P2N2/PP2BPPP/RNBQK2R b KQkq -,e8c8
r2qk1nr/1b2bppp/p1n1p3/1ppp4/4PP2/3P2P1/PPP1Q1BP/R1BNK1NR w KQkq -,c2c3
4r1k1/2p1q3/2n3p1/p1Pp3n/3P3p/P2QPP2/3BNK1P/8 w - -,d3g6
2nrk2r/pp1qb2p/2p1R1p1/P2pP1n1/1P1B2Q1/2NB4/2P4P/1R5K w k -,e6e7
8/p5Bp/1p2R3/5ppk/P3b3/1P5P/4q3/5RK1 b - -,e2g2
2k2b1r/ppp2ppp/1nn5/8/2P5/4Bb2/PP3PPP/2KN1B1R w - -,g2f3
r1b2rk1/1p2nppp/p2p1q2/4p3/2PnP3/1PNB4/P2Q1PPP/R1B1K2R b KQ -,f6g6
6k1/4ppb1/1Bn3p1/3r4/5P2/6NP/8/5RK1 b - -,d5b5
8/8/p1r3pK/7p/1k5P/6P1/8/R7 w - -,a1b1
2r1rbk1/3N2pp/p3p2B/q6n/1p5P/2N5/PPP3Q1/1K1RR3 b - -,b4c3
2r5/p2qpk2/1p1rn1p1/5p2/P1QP4/1P4Pp/5P1P/3RR1KB w - -,c4f1
rn1qkb1r/p2n1ppp/bp2p3/2ppPP2/8/3P1NP1/PPP1Q2P/RNB1KB1R b KQkq -,e6f5
7r/1pqrb1k1/p1n2n2/P1p1pBp1/2N2pP1/1QPP4/1P1B1P2/R3R1K1 b - -,e5e4
8/2RP3p/p3Bn2/4p1k1/3rP1P1/5P2/6P1/6K1 w - -,e6d5
r1bq1rk1/ppp2ppp/2n5/4p3/2B2n2/2PP1N1P/P1PB1PP1/R2QK2R w KQ -,d2f4
8/8/p5p1/2p2p2/3k4/3Pr3/1r6/5K2 b - -,g6g5
r1b2rk1/1p2nppp/p3pn2/8/N1N5/6P1/PP2PPBP/R2R2K1 b - -,e7d5
r2q1r1k/6pp/2p2b2/1PP1p3/p1b1Np2/P2B1N2/1Q1K1PPP/R7 w - -,e4d6
r1b1k2r/pp1nbpp1/2p5/q2N4/3P2p1/3BP1B1/PPQ2PPP/2R1K2R w Kkq -,d5c3
r4rk1/ppp2pbp/3qb1p1/6B1/2RP4/5N2/PP3PPP/3Q1RK1 w - -,c4c3
rn1qkbnr/pb1ppp1p/1p4p1/2p5/2P1P3/2NP1N2/PP3PPP/R1BQKB1R b KQkq -,f8g7
3r2k1/2pq1pp1/1p3n2/p3r2p/1pPp2b1/P2P1BP1/3NPP1P/RQ2R1K1 w - -,a3b4
5r1r/4k3/1p1pnpp1/p3p3/P1P1P2P/1P1B2P1/1K5R/5R2 b - -,h8h6
5rk1/1r1qb1pp/pp3p2/2p1Pp2/P1P1p1P1/2B1P3/2P3QP/R4RK1 w - -,g4f5
8/7p/8/3K4/1p1R4/8/3kp3/8 b - -,d2e3
1rb2rk1/2q2p1p/p1nppbp1/1p6/P3P3/2P1B1P1/1P2NPBP/R2Q1RK1 w - b6,a4b5
rnb1kb1r/p4ppp/2p2nq1/8/3Np3/1PP5/P2P1PPP/RNBQKB1R b KQkq -,f8e7
q7/3brkp1/p4n1p/1pRnBP2/3P4/P2Q3P/1P4P1/2R4K b - -,d5b6
r2qk2r/pb2bppp/1pn1pn2/3p4/3P4/1P1B1N2/PBPN1PPP/R2Q1RK1 w kq -,f3e5
8/4bk2/p3pp2/1p4p1/r2P2P1/1RP2PBr/P7/K5R1 b - -,f6f5
6k1/p7/1p2rqpR/3r1p2/4pQ2/6P1/P4PK1/4R3 b - -,e6d6
5B2/ppp4k/4PRb1/6p1/1P4P1/2P1R2K/2q5/8 w - -,e6e7
r5k1/1b4pp/p1q5/1pb5/3p1P2/P1BQ4/1PP1N2r/2KR1R2 w - -,c3d4
2bbr1k1/r1q2ppp/p2p1nn1/2pPp3/Q1P1P3/P1NN1BP1/3B1P1P/1R3RK1 b - -,e8f8
3r2k1/2q2pp1/7p/1Pn1N3/4B3/4Q1PP/7K/1R6 b - -,d8e8
8/5pkp/4p1p1/3pP1P1/P2B1P2/KPQb4/7P/1q6 w - -,d4c5
1r4k1/p4pp1/4qn1p/2pp4/8/1P1B3P/P1P1QPP1/3R2K1 b - -,b8e8
r7/kp2rNR1/p1b4P/3p4/4pp2/8/PPPR1P2/2K5 w - -,h6h7
r2q1rk1/pp1n3p/2p1pp2/3pPp1Q/5P2/2N1P3/PPP3PP/R4RK1 w - -,g2g4
r4rk1/pp1nppbp/2pp1np1/7q/2PP4/1PB2NPb/P2NPPBP/R2Q1RK1 w - -,e2e3
8/7p/p4k2/1p1n2p1/3N4/1K6/5PPP/8 w - -,d4c6
2kr1bnr/ppqb3p/4p3/3pP1p1/1Pp2P2/P1P5/2B3PP/RNBQ1RK1 b - -,f8g7
3rr1k1/p3nppp/1p3n2/2pp2P1/q2P4/P1PQPPN1/7P/2B1RRK1 b - -,f6d7
2r5/1n2k3/1r3pb1/pp1Pp1p1/2p1P1Pp/P1P2K1P/1PNR4/4RB2 w - -,c2e3
8/5pkp/4p1p1/p1p5/1r2P3/2r2P1P/1n1R1KP1/R1N5 w - -,c1e2
r1bq1rk1/pp1pppbp/2n2np1/1B6/3pP3/2P2N2/PP3PPP/RNBQR1K1 w - -,c3d4
r1bqk1nr/pp1p1pbp/2n1p1p1/2p5/2P5/2NP1NP1/PP2PP1P/R1BQKB1R w KQkq -,c1g5
4r3/5p1p/1p3k2/pPp1p3/2P1P1R1/P2P4/5KPP/8 b - -,e8d8
2n3k1/ppp4p/2n1p1p1/2Pp4/3P1R2/3B2P1/PP5P/6K1 w - -,d3b5
3b2k1/1p1P1rp1/p5qp/P1p2p2/N3nB2/5Q2/1P4PP/3R2K1 w - -,a4b6
8/3Q3k/4p3/2q1P3/8/6P1/1r3PK1/8 b - -,h7h8
3rr1k1/1p2bppp/p1p1pnq1/8/2PP1B2/P4N1P/1PQ2PP1/3RR1K1 w - -,c2b3
6k1/7p/6p1/1p1P2P1/4pr2/2Pq4/PP3R2/6QK b - -,f4h4
6k1/5p2/4p1p1/4P1Pp/1Q5P/p2r4/5PK1/8 w - -,b4a4
8/8/4rk2/6p1/2R3Kp/8/8/8 w - -,c4a4
8/5pk1/1R4pp/1pr5/p4KPP/P4P2/1P6/8 b - -,h6h5
2rq3k/1p2p1bp/p2pB3/6P1/1Pn1P3/4B3/P2Q2PP/2R3K1 b - -,c4d2
r1r5/p2nppk1/R2p2p1/1P1P4/2p1P3/2N5/1P2R1PP/7K b - -,c8b8
r1b1k2r/1p1q1pb1/p2p4/4p1B1/4n2P/2N5/PPP2P2/R2QK2R w KQkq -,c3e4
r1bqk2r/ppp1b1pp/2np1n2/1B2p3/4P3/5N2/PPP2PPP/RNBQR1K1 w kq -,c2c3
r5k1/1p3pp1/p1p4p/R7/2P5/1P2R3/2q2P2/6K1 w - -,a5e5
2r3k1/1pq2ppp/p3pn2/3rN3/3P4/P6P/1P1R1PP1/1Q1R2K1 b - -,c8d8:d5d8
r1bq1rk1/5pbp/p2p2p1/P1pPpP1n/1pP1P3/1P2BN1P/2BQ1P1K/R5R1 w - -,g1g4
4b3/8/7p/2p2ppk/p1p2P2/R1P2KPP/P7/8 b - -,e8d7
5rk1/5pbp/r2p2p1/pppq4/3P1Q2/2P2N1P/PP3PP1/2R1R1K1 w - -,d4c5
8/r2k3p/3p1pp1/p3p3/2R1P1PP/PP1K1P2/8/8 b - -,a7b7
1r4k1/1p3p1p/p2R2p1/8/8/2r2NPb/P3P2P/1R4K1 w - -,g1f2
r2q1rk1/4ppbp/5np1/p2bN3/1nNP4/Q7/PB2BPPP/2R2RK1 w - -,a3a4
8/ppq1r1kp/5pp1/3Q4/2P1p3/1P6/1P3PPP/3R2K1 w - -,b3b4
6k1/R5p1/2p1p3/7p/5r2/5P2/PP4KP/8 b - -,g8h7
8/p4pkp/8/r2RP1p1/rp6/5PK1/P1R3PP/8 w - -,d5a5
5rk1/5pp1/2B5/1P5p/3R1Qn1/6PP/5PK1/1q6 b - -,g4f6
8/ppp4N/3b2p1/3p1kB1/5P1P/2P2P2/PP6/1K2n3 b - -,e1f3
3r2k1/4q1pp/1rnpbp2/p7/2PpP3/1P3P2/R2Q1BPP/3B1RK1 b - -,b6b4
2r3k1/1qr1pp2/pp1p1np1/7p/2P5/1P1NQ1PP/P3PP2/2RR2K1 b - -,c7c6:f6e4
1r6/1n3pkp/p4Np1/1pp1b1B1/8/7P/PP3PP1/3R2K1 w - -,f6d7
5r1k/p5bp/1p4p1/2pnN3/4RPP1/2P4P/1P6/2B3K1 b - -,g7e5
2r5/p3k3/1p2b2p/2P2pp1/1P1R1P2/P4B2/3K3P/8 w - -,c5b6
1n1q1rk1/rp2ppbp/p2p2p1/2nN4/2Pp1P2/1P3PP1/PB5P/2RRQBK1 w - -,e1e7
8/1b2kppp/p3p3/1p6/7P/4P1P1/2B2P2/6K1 b - -,a6a5
2r3k1/1p3qbp/3pb1p1/1P3r2/5P2/p3R1PP/P4BB1/4R1QK b - -,e6a2
1r6/3n4/1p1pk2p/p3p1p1/P7/3qBQ1P/1P3PP1/2R3K1 b - -,d3f5
r4k1r/1pp2ppp/1pp2n2/8/3N4/1KP4P/PP4P1/1R2R3 b - -,h7h5
r2qr1k1/1b3ppp/3p1bn1/p2PP3/Ppp2P2/5N1P/1PBQ1BP1/1R2R1K1 b - -,d6e5
rn4k1/1q2bpp1/4p2p/p1pnP3/P1N5/1P5P/3N1PP1/BQ1R2K1 w - -,d2e4
8/5Q1k/6p1/p3p3/3p4/KP5P/P3q3/8 b - -,h7h6
4rr2/2p4k/1p1pNpqp/p2P4/P1P2p1B/2P5/6PP/3QR2K b - -,f8g8
8/8/6p1/2R1pk1p/4r2P/5KP1/8/8 b - -,e4b4
r1r3k1/pb1nq1bp/1pn1ppp1/1B1pP3/3P1PQ1/P4N2/1P1BN1PP/2R2RK1 b - -,f6f5
r2r1k2/1p3p2/3p1np1/1NbPp2p/p1P1B3/P2R1P2/1P4PP/3K3R b - -,f6d7
8/pp3k2/1b3p1N/7p/8/7P/P3K1P1/8 b - -,f7g6
5rk1/6q1/3Q3p/p2P1b2/1p4P1/4RPN1/PPr1N1KP/8 b - -,f5g6
r4k1r/4p3/6p1/1Bp3N1/1p1b3P/4n2R/PP6/2K5 w - -,h3f3
6k1/5p2/4p2p/4P3/1R3K1P/6P1/r7/8 b - h3,a2f2
rnq1kb1r/p1ppp2P/1p3n2/8/3P1PQ1/3B4/PPP4P/RNB1K1Nb w Qkq -,g4g6
r1bqk2r/1p3ppp/p3pn2/8/1b1N1P2/1PN1BQ2/1PP3PP/2KR3R b kq -,d8c7
q1r3k1/3pbppp/2b1pn2/p7/Pn1P4/BQ4P1/3NPPBP/1R2N1K1 b - -,f6d5
2r3r1/4kp2/3qp3/1Q6/3N1nP1/6RP/2P5/1R2K3 w - -,b5b4
2b2bk1/p1p2q1p/2P3p1/QN1Pp3/4np2/Pr3N1P/5PP1/2R1K2R w K -,a5c7
1q6/8/K6R/2p1k3/2P5/1P6/8/8 w - -,h6b6
6k1/5p2/p1R3p1/P6p/3p1P1P/5r2/2P4K/8 w - -,c6a6
1r6/1p2k3/3ppp2/1Pp1n1p1/2PPB3/4P1P1/r4n2/1NRR2K1 w - -,b1c3
4k2r/1p1bbpp1/p2ppn2/1P5p/Pqr1P3/1N2BP2/N2Q2PP/1R2K2R b Kk -,b4d2
8/5pk1/2q2np1/3p4/Np1PpQP1/1P2P3/5PK1/8 b - -,f6d7
6k1/1r3p1p/4pbp1/8/1Prp1PP1/2P2R2/4N2P/3R2K1 w - -,e2d4
r1bq1rk1/p3bpp1/1pn1pn1p/8/2BP3B/2N2N2/PP1Q1PPP/R2R2K1 b - -,c8b7
r3n2r/5pk1/3p2q1/p1p1p1p1/1p2P3/1P1P1PB1/P1PQ1KP1/2R4R b - -,h8h1
3r1bk1/R4ppp/8/1b4P1/8/2B3P1/5PB1/6K1 b - -,b5c4
8/5pk1/2K2bp1/4p3/3r3p/4Q2P/8/8 b - -,g6g5
r1b2k1r/1p2pp1p/p2q1b2/P1nP2p1/1P2P3/2NB4/4NPPP/R2QK2R b KQ b3,c5d7
r1b2rk1/4bppp/pp2p3/6N1/2PpQP1N/1P6/Pq1P2PP/R1R3K1 b - -,e7g5
2kr3r/pp3b1p/2np3b/5p2/3P1Nqp/3BPN2/PPPQ1KPP/R6R b - -,h8g8
r1b2rk1/ppp3b1/4p2p/N5p1/3P4/2P1n1P1/PPQ1NB1P/R4BK1 b - -,e3c2
r3k2r/4bpp1/2p1pn1p/pp1qN2P/2PP4/8/PP1BQPP1/1K1R3R b kq c3,b5c4
3r4/4k2p/r1qp1pp1/p1p1p3/n1Q1P3/2P1BP2/P5PP/R2R2K1 w - -,a1b1
2b1n1R1/5r2/p4P1k/3p3p/3N4/1PP4P/1P5K/6R1 b - -,c8d7
2r2rk1/pbq2pbp/2n1p1p1/1pp1Pn2/3p2PP/2PP1N2/PP1BQPB1/R3RNK1 b - -,d4c3
3br1k1/3R2pp/prq2pn1/4p3/P3N1B1/6P1/1PP2Q1P/3R3K b - -,c6e4
r5k1/1pq1brpp/2p1p3/p1p1P3/P1P2n2/4QNNP/1P3PP1/R3R1K1 w - -,g3e2
3r1rk1/p1q1bppp/4p3/8/P3B3/2Pn1PP1/3BQ1KP/RR6 b - -,c7c4
6r1/1p3r1k/p2pb2b/q3p1pp/1NP1Pp2/3P1P1P/P3Q1PN/1R3R1K b - -,a5d8
4r1k1/2p3p1/R4p2/8/P4Pb1/2B3P1/1N6/6K1 w - -,b2c4
r3b1k1/pp4p1/2nrpqnp/3p4/3P4/2R2N2/PP1QNPPP/1B2R1K1 b - -,e8f7
4n3/1p3k2/p6p/1b2R1p1/6P1/P1P4P/5B2/6K1 w - -,f2c5
2r1r1k1/5ppp/p2p4/3P4/P2N1PP1/q4B2/1p1B2KP/1Q6 w - -,f3e4
1r2rbk1/3b1p1p/6PP/p1pp2P1/nqPpP3/R2P2N1/1P3RB1/2BQ2K1 b - -,f7g6
8/5p1k/R7/2r2p2/8/2b1P1N1/4KP2/8 w - -,f2f4
r1r3k1/1pqbppbp/3p1np1/p3n3/P1PNP3/1PN1BP2/3QB1PP/R4RK1 b - -,e5c6
rnR1bk2/6pp/4pn2/3p1p2/p2P1P2/Pp2P3/NP3P1P/2R2BK1 b - -,b3a2
1r3rk1/1p1q2bp/p2p1np1/P1pPpp2/4P3/1P1B4/2P2PPP/R1BQK2R w KQ -,a1a4
r2qk2r/1b1n1p1p/pppb1npB/8/3Pp2N/PQN3P1/1P3PBP/R4RK1 b kq -,d6f8
rnb1kb1r/pp2pppp/1q3n2/3p4/3P1B2/2N5/PP2PPPP/R2QKBNR w KQkq -,e2e3:a1c1:d1c2:d1d2
1r4k1/p5p1/4pb1p/8/B1p5/6P1/r4P1P/2R1B2K w - -,a4d7
8/r7/1K1k4/p3n2R/P3B3/1P6/8/8 b - -,a7e7
1kb1r3/2pq1p2/1p1p2p1/p2PB3/P1P2RP1/1P1Q2N1/K4P2/8 b - -,d6e5
r4rk1/4bppp/p1ppbn2/1p2pP2/P3P3/2NPB3/1P2N1PP/R4RK1 b - -,e6d7
4q1k1/4b2p/3pP3/5R2/4n2r/P3Q1p1/6P1/2R3K1 w - -,c1c4
rn2kb1r/ppqn1pp1/6p1/2p3P1/2PBN3/1Q3P2/PP5P/R3KB1R w KQkq -,b3e3
5rk1/2p2pp1/1p2p3/p3P1bp/1n1P4/NP3qPP/PQ3P2/3R1RK1 b - -,h5h4
r1bq1rk1/p3npbp/1pn1p1p1/2ppP3/5P2/N1PP1NP1/PP4BP/R1BQ1RK1 b - -,a8b8
r1bqkbnr/1pp2ppp/p1p5/4p3/4P3/5N2/PPPP1PPP/RNBQ1RK1 b kq -,f8e7:d8f6:c8g4:c8e6:g8e7:f7f6:d8d6:f8d6
2r1r1k1/pp1bppbp/1q1p1np1/3P4/8/1nN1B1PP/PPPQ1PB1/3RR1K1 w - -,a2b3
4r2k/p3q2p/6pP/2p1rp2/1p3Q2/1P4R1/P1P2PP1/2K1R3 w - -,g3e3
r4k2/ppR1p1bp/3p2p1/3P1q2/8/1Pn1B1P1/5PBP/3Q2K1 w - -,d1f3
6k1/3b2pp/8/5p2/5N2/3rP1P1/5P1P/5RK1 b - -,d3d2
1r2r1k1/2q4p/p2p2p1/Pp1P1p2/1P6/2BQ2P1/2N2P2/5RK1 b - -,b8c8
8/2B5/p7/Pb1kp1pp/1P1p4/6PP/8/4K3 b - -,g5g4
4N3/8/5pp1/1p6/5PPP/p1kb4/8/K7 b - -,b5b4
r3k2r/2pb1p2/Bp1p2nn/2PPp1q1/1P2P1pp/1NN1P3/P3Q1PP/2R1R1K1 b kq -,e8g8
4rbk1/1q3p1p/1p1p2p1/p2P1PP1/3B2B1/1Q6/PP5P/4nRK1 b - -,a5a4
8/1p3k2/p3p2Q/5p2/P2Pp3/1q2P1KP/5P2/8 w - -,h6h7
3r2k1/2q3p1/5p1p/2n1pB2/8/2P1QP1P/3r2P1/R3R2K w - -,f5g6
2b2rk1/2q5/1p1bp1pp/3p1n2/P5N1/2PQ1R1P/1PB1RPP1/6K1 w - -,e2e1
3Q1b2/2P2pk1/qB2p1p1/3pP3/2r2P1p/7P/P5PK/1R6 w - -,b6e3
6r1/4nk1p/2pq1p2/8/2QN4/8/5PPP/4R1K1 b - -,e7d5
rn3rk1/4ppbp/3p1np1/q1pP4/P3P3/2N2NP1/1P3PKP/R1BQ3R b - a3,b8a6
8/1p2R3/6p1/6p1/2k2r2/8/5RPP/4q1K1 w - -,e7e1
8/7p/3pk1p1/p1r2p2/P4P2/1P5P/1R2K1P1/8 b - -,c5c3
2rr2k1/pq4pp/1p2pp2/8/R1PnP3/3N1PP1/Q5KP/5R2 w - -,a4a7
2r3k1/1pn2ppb/2p1p2p/8/1b1PP3/1q2R1P1/1B2BP1P/Q2R2K1 b - -,b3c2
r5k1/p3ppbp/6p1/2nr4/2R5/3nPP2/P3Q1PP/5RK1 w - -,e2c2
r3r1k1/1p2qpb1/p1p3pp/1n1Bpn2/N7/3PP1P1/PPQB1P1P/2R1NRK1 b - -,c6d5
4r3/1bp2k2/1p1pr1pp/p4p2/2PB2P1/1P2PP1P/P2R1K2/2R5 w - -,g4f5
r1bq1rk1/1p1nppbp/p2p2p1/2pP3n/2P1P3/2N1BN2/PP2BPPP/R2Q1RK1 w - -,a2a4
4r1k1/5pp1/2Np4/3Qp1bp/p3P3/P1R2P2/1PP1q3/1K6 w - -,d5d6
r3n1k1/2pb1pbp/2np2p1/rp1P4/8/1P1NBPP1/P1R3BP/2N2RK1 b - -,c6d4
6k1/2r2p1p/1R4p1/p7/P7/1P4P1/7P/6K1 w - -,b6b5
4R3/2k4p/8/1B1p4/3bp3/7b/5P1P/5K2 w - -,f1g1
3n4/2pk3p/2p2pp1/2Pp4/3P3P/1P2K1P1/5P2/4N3 w - -,g3g4
4r3/7p/1R4p1/2N1kp2/4p3/7P/8/6K1 w - -,g1f2
1r1r2k1/pp1b1p2/5n1p/2R3p1/3N4/4P1P1/PP3PP1/1B1RK3 b - -,g8f8
5k2/1R6/5p2/6p1/4B1P1/6K1/8/5r2 w - -,e4d3
R7/8/3p1k2/4r1p1/5pP1/8/P4K2/8 b - -,f6e7
rnb1kb1r/pp3ppp/1q2pB2/2pp4/3P4/2P3P1/PP2PPBP/RN1QK1NR b KQkq -,b6b2
1rbq1r2/1p2n1bk/p1np2pp/2p1pp2/2P5/1PNPPNP1/PB1Q1PBP/2RR2K1 w - -,a2a3
2r2r2/1p2Q2k/7p/p2N1bp1/4q1P1/1B6/PP3P1P/5RK1 b - -,e4e7
8/5kp1/q3pp2/8/2bP3p/5P1P/pQ4PK/R7 b - -,f7e7
2r5/8/1p3p2/p4R2/P5pP/1P2P1P1/2K1kP2/8 w - -,c2b2
8/2k5/P1n5/8/1K6/8/8/8 w - -,b4c5
r4rk1/pp1nbppp/2p1pn2/q2p4/3P4/PP1QPN2/1BPN1PPP/R4RK1 w - -,c2c4
4k3/3r1R2/4p3/4P2B/p1p3P1/1b6/5PK1/8 w - -,f7f6
r4r2/pp2q1kp/4bpp1/Q2pp3/8/1P4P1/P1PNPP1P/3R1RK1 w - -,c2c4
rnbqk2r/ppp2ppp/3b1n2/3p4/3P4/2PB4/PP3PPP/RNBQK1NR w KQkq -,g1f3
4nbk1/3b4/2p2pp1/1pP1q3/pN2P1Pp/P3B2P/1P3QB1/7K w - -,b4d3
r7/p4k1p/1p2p1p1/1N1pn3/5bP1/1P5P/P1P3B1/4RK2 b - -,f7e7
r4rk1/1ppqp1bp/1n3pp1/p2pP3/P2P1N2/2P3P1/1P2P2P/R1BQ1RK1 w - -,e5f6
8/5kpp/p7/8/PP2K1P1/4N3/2P5/6r1 b - -,g7g6
6B1/8/2n4p/2k5/P4p2/1P1K4/5P1P/8 b - -,c6e5
1r3rk1/2q1bppp/pn1pp3/2p5/PnP1PP2/1PN1BB2/3R1QPP/2R3K1 b - -,b6c8
1r3rk1/5qb1/1n4pp/RpN1pp2/1P1p4/3P2P1/3BPPKP/2RQ4 b - -,b6d5
2b1r1k1/5pb1/p2Q1nq1/3P2p1/NPr1p2p/6NP/2P2PP1/B2RR2K w - -,g3e2
5k2/5p2/3q1r2/3P2R1/3QB2p/6Pb/1P3P1P/6K1 w - -,g5e5
5R2/6k1/4p3/7p/3r3P/8/r4RP1/6K1 w - -,f8f7
4k3/8/6p1/1R1p1pP1/2pP1P1p/2P1P3/r7/3K4 w - -,b5b8
5k2/2p2r2/p1p3p1/2p3Pp/2P1R3/P5r1/4K3/3R4 w - -,d1d8
6k1/pp1n1pp1/4bb1p/3p4/3P4/1P3NPP/P2N1QPK/1Bq5 w - -,f2e3
2kr4/1p3Bbp/p1np2p1/4p3/2P3b1/1N4P1/PP2P3/R2R2K1 w - -,d1f1
6k1/5p2/p5p1/2PpPp2/qp1P3Q/7P/P4PP1/6K1 w - -,h4d8
3r1rk1/p3q1bp/1ppn1p2/4pRP1/P3P2P/1PN1Q3/2P5/R1B3K1 w - -,f5f2
5rk1/1p2b1q1/pBn1p3/P2pPn2/6p1/1N4P1/1P2QPB1/R5K1 w - -,a1a4
rn1qk2r/pp2bppp/4pn2/3pN3/6b1/3P2P1/PP2PPBP/RNBQ1RK1 b kq -,e8g8
3r2k1/2pq4/p1Rb1r1p/8/3NQPp1/4B2b/PP3P1P/2R3K1 b - -,d7f7
2b5/2r1qpk1/1Qp3p1/1pNp3p/3P2P1/4PP2/R5KP/8 w - h6,h2h3
8/r2k2p1/1b1p3p/1n3p2/RN6/6PP/3B1PK1/8 w - -,b4d5
rnbqk2r/4pp1p/p1pp1npb/1p6/2PPP3/2N2P2/PP1Q2PP/R3KBNR w KQkq -,d2h6
3r2k1/5p1p/4p1p1/p1p5/2P3P1/4P2P/P2q1PK1/Q1R5 b - -,a5a4
5rk1/p4pp1/7p/1P4qP/8/2P3r1/P4QN1/R5K1 b - -,f8d8
4rb2/pb1p4/1pp2k1p/4p3/3PPp2/2PB1P2/P4PRP/6RK w - -,g2g6
r2r4/pp4k1/2b1qpp1/4p2p/2Pp4/1P3PP1/PQ1NP2P/3R1RK1 w - h6,d2e4
8/1b6/1p1Bnk2/5p1p/B4P2/4K1P1/P7/8 b - -,b7d5
rn1q1rk1/1p1nppbp/p5p1/2p5/2P1P3/1NN5/PP2QPPP/R1B2RK1 w - -,c1e3
8/5pk1/p1rp1p1p/1p1N3P/1P2K3/P2B4/2P5/8 b - -,f6f5
r2r2k1/3b1qbp/2pB1np1/p4p2/n1P1p3/1P2P1P1/P1Q1NPBP/3R1RK1 w - -,b3a4
1r3rk1/2q3b1/4p2p/P2n1p2/1p1Pp3/5P1N/1P2Q1PP/R1BR2K1 b - -,e6e5
1r4qr/5k2/1pBpbp2/p1p1pp1p/1PP2P2/P1BPP1P1/3Q3P/1R2R1K1 w - -,b4a5
r4r1k/pp4bp/1q1p2p1/3PPn2/8/2BN4/PP3QPP/4RRK1 b - -,b6b5
r3r1k1/1p4p1/pqp2p1p/3ppP2/1P2P1Q1/2PP2P1/1P3P2/R4RK1 b - -,a8d8
rnbqk2r/ppp2ppp/4p3/3pP3/3P4/P1P5/2P2PPP/R1BQKB1R b KQkq -,e8g8
8/p4pk1/6p1/1p2rn2/2p5/2P4P/PP1N4/5RK1 w - -,g1f2
5rk1/p1pq2b1/1r4p1/3p1p2/3P3p/BP2P1P1/P3QP1P/R4RK1 b - -,f8f7
