8/5p2/P3p2k/4Bn2/r7/3B4/r6P/4R2K b - -,f5d4
2b1rr1k/6pp/p1R1p3/8/2pP4/P3B2P/5PP1/4R1K1 w - -,e1b1
6k1/p4pp1/1p2p2p/8/4R3/P3P1P1/1P2rPP1/6K1 w - -,e4a4
2rqr2k/p5bp/1p4p1/2pQ1n2/2Pp1B2/3P2PP/PP4B1/3R1RK1 w - -,d1e1
rnbqk2r/1p2npbp/p2p2p1/2pPp3/2P1P3/2NB1N1P/PP3PP1/R1BQK2R b KQkq -,b8d7
r2r2k1/p3qppp/1p2pn2/2b5/2P5/1P3N2/PB2QPPP/R4RK1 w - -,f3e5
rnbqkbnr/ppp1pppp/8/3p4/2P5/4P3/PP1P1PPP/RNBQKBNR b KQkq c3,e7e6
8/R4p2/1p3kp1/3p4/3P4/P3n3/6PP/6K1 w - -,a7b7
6k1/2R5/1P3Kp1/6P1/4r2P/8/8/8 b - -,e4d4
8/5kN1/2p5/p2pP2p/1r1K1p2/1P3P1P/P7/2R5 w - -,d4d3
r3r1k1/1pqn1ppp/p4n2/2b1pP2/4B3/2P2Q2/PP1N2PP/R1B2R1K b - -,a8b8
3k1r2/p3p2p/1p1p2p1/3Qp3/6P1/2qB4/4K2P/1R6 w - -,d5a8
1r3rk1/p5pp/2p1pq2/n1Pp4/3Pp3/6Q1/P3PPBP/1R4K1 w - -,b1b8
r2qr1k1/ppp2pp1/2np1n1p/2b5/3pP1bB/1N3N2/PPP1BPPP/R2Q1RK1 w - -,f3d2
r2qr1k1/4npbp/1pn3p1/p2p4/P2P4/BQPb1NP1/3N1PBP/R3R1K1 b - -,a8b8
5rk1/3q3p/3p2pb/2rPp2n/4Pp2/2N3P1/PQRN1P1P/1R4K1 w - -,c3d1
r1b2rk1/pp3pp1/1qp2n1p/3n4/3P3B/P1P2N1P/2BQ1PP1/R3R1K1 b - -,b6a5
r1b3k1/1p4pp/p3p3/3p4/B4PN1/3n4/PP1r2PP/R4RK1 w - -,b2b4
8/B4kb1/3p4/3Ppnp1/6N1/7P/6PK/8 b - -,e5e4
2rr2k1/1b1q1pp1/1pnp3p/p2Bp3/P2PP3/2R1QNP1/1P3P1P/4R1K1 b - -,c6b4
2r3k1/pp1r2p1/7p/3R4/3Q2Pq/1P3R2/P4PK1/8 b - -,c8c1
r1b2rk1/ppq1bppp/2n1pn2/2pp4/3P4/1PPBPN2/PB1N1PPP/R2Q1RK1 b - -,f8d8
7r/2p1k1p1/3b1p1p/1p2p3/2n1P2B/3R1P2/1PP1R1PP/rNK5 w - -,h4e1
1br2rk1/pb2qppp/1p2p3/2pn4/3P4/PP3NP1/1B2PPBP/1QRR2K1 b - d3,c5d4
rn1q1rk1/pp3ppp/1b6/3N1b2/1P1P4/P4PB1/3QN1PP/R4RK1 w - -,d5b6
r1b1k2r/pp1nqp1p/2pp1npQ/4p3/3PP3/2N2N2/PPP2PPP/2KR1B1R w kq -,h2h3
4rrk1/1q1nppbp/b1Np1np1/3P4/P1p1P3/2N1B2P/1PB2PP1/R2Q1RK1 w - -,a1b1
r1b2rk1/pp2ppbp/2n3p1/8/3N4/1Pq1BB1P/P1P2PP1/R2Q1RK1 w - -,d4c6
8/3Q1pkp/5rp1/8/8/4q2P/6P1/3R3K b - -,e3e5
r2r2k1/3n2pp/2p2p2/p3n3/Pp1BPP2/1N6/1P2K1P1/2RR4 b - -,e5g6
3k3r/p5pp/1r2Bp2/2p5/3b4/1P3PP1/P6P/2R1R2K w - -,f3f4
8/p1k5/4q3/2p1pN2/1P2p1rP/2PbP3/5QP1/3R2K1 b - b3,c5b4
4Qr2/6k1/5p2/4nP2/6pK/6P1/7P/8 w - -,e8e7
3k4/1R6/4Kp2/6p1/6Pp/7P/5P2/6n1 w - -,b7b3
8/2p5/n1p3p1/2Pk3p/1P5P/2BK4/5PP1/8 b - h3,a6b8
r4rk1/pp4p1/2n1bq1p/2P2p2/3pp3/1N4P1/PQ2PPBP/1R1R2K1 w - -,b3d4
4r1k1/p4ppp/4q3/3b1n2/1PNp4/P2B1P2/1Q1B2PP/2R3K1 b - -,f5e3
3R4/1p2rpk1/4ppp1/1P1n4/6P1/7P/5P2/R5K1 b - g3,b7b6
r1b1kb1r/3p1pp1/p1q1pn2/1p5p/4P3/2NBB2P/PPP2PP1/R2Q1RK1 w kq -,d3e2
8/p4p2/1p3knp/4p3/1P2B3/P4PK1/8/8 b - -,f6g5
8/8/8/2R1pk2/8/2B1r3/2K5/8 w - -,c2d2
2rq1rk1/1p1nbp1p/p2p2p1/3Pn3/5B2/3B2N1/PPP1Q1PP/4RR1K b - -,e7g5
3b4/8/6p1/p2k1p1p/5P1P/1P1K1N2/P7/8 b - -,d8e7
3q4/2p2rk1/2p3pp/P1R1pr2/QPRnN2P/6P1/5PK1/8 w - -,a5a6
2brR3/p1r3kp/2pq1pp1/3p4/3Q4/1P1B3P/P1P2PP1/4R1K1 w - -,e8d8
8/8/b4k2/P1pBp1p1/4PpP1/2B2Pb1/6K1/8 b - -,g3h4
r1b1k2r/bpp2pp1/p1nq1n1p/4p3/3pP3/1BPP1NNP/PP2QPP1/R1B1K2R w KQkq -,f3h4
8/p4pk1/1p2b1pp/3p4/3Nn1P1/1P2P2P/P4PB1/6K1 b - -,a7a6
8/1b4kp/p5p1/rp2n3/3R1K2/2P4P/3NB3/8 b - -,e5f7
1br2rk1/ppq2pp1/2b2n1B/3p4/8/P1N3PP/BP1Q1P2/3R1RK1 b - -,g7h6
3rr3/ppq2pkp/2ppbnp1/8/4PQ2/1PN4P/1PP1BPP1/3RR1K1 b - -,c7e7
8/1q5k/6p1/8/8/6PP/p7/Q6K w - -,h1h2
3r2k1/4bpp1/4pn1p/2q1B3/1pN2P2/1P3Q1P/6P1/3r1R1K w - -,f1d1
r1b1k2r/1p1nqppp/p1n1p3/2PpP3/5P2/2N2N2/PPP3PP/R2QKB1R w KQkq -,f1d3:d1d2
8/k7/1p6/p2QpK2/P1p1P3/1P1P4/8/8 w - -,d3c4
r6r/ppq1kp2/4b2p/4n3/4NP2/P1pB4/2P3PP/R2QR1K1 b - f3,e5g4
2r2rk1/pp2ppbp/1qnp1np1/8/2PN2b1/1P2P1P1/PB1Q1PBP/RN3RK1 w - -,h2h3
4bk2/1B4pp/1p2rp2/4n3/1R6/2N3PP/PP2PK2/8 w - -,c3d5
4k3/4n3/1p1r1b2/p1pn1p2/5P2/P2PPB2/1P2KP2/1RR5 b - -,e8d7
r1b1r1k1/2p2pp1/2pq4/p1b1p1p1/2P1P3/1P4NP/PBQ2PP1/2R1R1K1 w - -,g3f5
3r4/pp2Rn1k/4p1p1/1b1p1p1p/3P1P2/4P2P/PP4P1/2R4K b - -,b5e8
r6r/pQ4pp/4bpk1/2q5/3p1P2/8/PPPB2PP/2KR3R w - -,d2b4
8/4ppk1/5rpp/1pP5/1P6/5B1P/1Q3PPK/1nr5 b - -,c1e1
2rr2k1/1p4pp/q3pp2/p3P3/N2b4/PP1b2P1/5PBP/1R1QR1K1 b - -,d3c2
R7/6b1/4p1k1/1r1pP1p1/1P1P4/5pPP/1R3P2/6K1 w - -,a8a5
2k5/p1p2p1p/1pn1r3/3p1np1/3P4/2PN4/PP1N1PPP/2K1R3 b - -,e6e1
8/5kpp/5p2/1pB1p3/4p1KP/8/r1b2PP1/2R5 b - -,g7g6
r4rk1/ppb1qppp/2p1bn2/2Pp1p2/3P4/4P1P1/PP1NNPBP/2RQ1RK1 w - -,b2b4
r1bq1rk1/pp1pnpbp/2n3p1/2p1p3/P7/N1PP1NP1/1P2PPBP/R1BQ1RK1 b - -,f7f5
6k1/q2n1p1p/1pp1pbp1/2Pp4/1P1P1P2/R4NP1/N1Q2PKP/8 b - -,a7a3
3r1r2/pp2b3/1qp2N1k/3b3P/2BP1n2/8/PPQ5/1K1R4 w - -,c2h7
r3kb1r/pp1npppp/1qp2nb1/8/2B2P2/2NP2N1/PPP3PP/R1BQ1R1K b kq -,h7h6
5k2/p6R/r7/3N3p/2PB4/1PK5/8/5r2 b - -,f1f5
r3r1k1/pp2qp1n/2pp2pb/3P1b1p/PPP1p1n1/1QN1P3/1B1N1PPP/3BRRK1 w - -,c3e2
8/8/1p1k4/5p2/3PbP1p/PB4pP/8/6K1 b - -,d6c6
4rrk1/pb3qb1/3p1n2/1pp1pPB1/7Q/2P5/PPN3BP/R4R1K w - -,f1g1
r2q1rk1/pb2bppp/1pn1pn2/7N/2BP4/P1N1B3/1P3PPP/R2Q1RK1 b - -,a8c8
r2q1rk1/pp2pp1p/3n2p1/3P1b2/3R1P2/2N2N2/PP3QPP/4K2R b K -,d8b6
2r1r1k1/2qnbppp/p3pn2/1p1b4/2pN4/1PP4P/PBBP1PP1/1N1RRQK1 b - -,d7e5
8/p3kp1p/3b1p2/1r2p3/1P2PP2/3N2P1/5K1P/2R5 b - -,e5f4
5k2/1N3pp1/n6p/Pr2p3/3p4/5PP1/R3K3/8 w - -,b7d6
4k3/1p2rrb1/p1b1qpQ1/4pR2/4P2P/P1N3R1/1PP3P1/7K w - -,g3d3
8/1p1rk1pp/p7/6P1/8/PP1Br3/K1P5/5R2 w - -,d3h7
6B1/8/3k2pp/2bp4/1n1n1P2/6P1/7P/2R2K2 b - -,d4f5
r1bq1rk1/pp2bppp/2nppn2/8/3NP1P1/2N1B3/PPP1BP1P/R2QK2R w KQ -,g4g5
4k3/2b3p1/3nppNp/7P/2p1P3/2B2PP1/2P2K2/8 w - -,c3d4
8/6pp/p1k1p3/Pp6/3PP3/r7/2R1K1PP/8 b - -,c6d6
r1b2rk1/pp2pp1p/2n3p1/1Qp1q3/5B2/2P3P1/P3PPBP/R4RK1 b - -,e5c3
1r3rk1/pPp1qpp1/Bb2bn1p/8/Q6B/5N2/PP3PPP/3R1RK1 b - -,g7g5
r1b1r1k1/1pqnbp1p/p2p2p1/4p2n/1PP1P3/P2B1NP1/1B1NQP1P/R4RK1 w - -,f1c1
8/p4qk1/1p2p1p1/n2r4/3P2QP/P4P2/2B2P2/4R1K1 b - -,d5d6
1knrr3/pp2bppp/2qp4/P7/2PN1P2/3QB3/1P4PP/R2R2K1 b - -,c6d7
2k2r2/pp1r1p2/1np1pQp1/7P/2PP2P1/1B4q1/PP4P1/2KR3R b - -,g3g4
3q1rk1/1p2npbp/r1npb1p1/2pNp3/2P5/pPNPP1P1/PB1Q1PBP/R4RK1 w - -,b2c1
6k1/rp4p1/2p2p1p/2P5/2nP4/pR4P1/P1N2PKP/8 w - -,b3b4
2kr1r2/pp2qp1p/1np1p1p1/8/2PPP3/1B3Q1P/PP1R2P1/1K1R4 b - -,c8b8
3r2k1/5pp1/5n1p/8/8/3qRPPB/5PKP/Q7 b - -,d3d6
r1br2k1/1pp1qpbp/p5p1/4p2n/P1B1P3/1PP3P1/3NQP1P/R1B2RK1 b - -,c8h3
r1b2rk1/1p1n2pp/1q2pb2/pB1p4/P4BQ1/2P5/1P1N1PPP/1R3RK1 b - -,f8f7
2kr4/pp1r2pp/5p2/4p3/2P5/P3B1P1/1PbN1P1P/4K2R w K -,e1e2
8/8/P1R3pk/r4p1p/7P/P5P1/5K2/8 w - -,f2e3
r2qkb1r/pp1b1ppp/2n1pn2/2P5/Q1p5/5NP1/PP2PPBP/RNB2RK1 b kq -,c6a5:f8c5
r2rb1k1/1p3pp1/2pbpq2/8/1PQP3p/3NP1P1/5PBP/2RR2K1 w - -,d3c5
r1r5/1b1nqp1k/pp1p1np1/3Pp2p/NP2P2P/P3Q1PB/4NP2/2RR2K1 b - -,e7d8
4R3/1p1r1pk1/2p5/5RN1/3n3P/3r1P2/6P1/6K1 w - -,f5f4
6rk/1p1r1b1p/p1Pp1q2/P2Pnp2/1P1Np1p1/Q7/4BPPP/3RR1K1 b - -,b7c6
3q1rk1/rb1nbppp/pp2p3/8/P1NpPB1P/1Q1P2P1/1P3PB1/R2R2K1 w - -,g2f1
3r2k1/1p1nqp1p/2p2bp1/4p3/PP2P3/2Q2NBP/5PP1/R5K1 w - -,a1d1
3r2k1/p3pp2/6p1/5b1p/N2rn3/KP1BR3/2P3PP/2R5 w - -,a4b2
6r1/Pp3p1p/1Bn1k3/1R3p2/5P2/6P1/6KP/8 b - -,g8a8
6k1/1p2Rpp1/6q1/3Q3p/1P5P/6P1/7K/2r5 b - -,c1c2
rn2qrk1/p1p2pp1/1p1ppn1p/8/2PPP2B/2PQ1N2/P4PPP/R3K2R w KQ -,e1g1
rnbqk2r/1p2bppp/p1p1pn2/3p4/P1PP4/2NBPN2/1P3PPP/R1BQK2R b KQkq -,a6a5
8/5r2/2kp3p/1pp2p2/2nP3B/2PK1PPP/8/R7 b - -,c4b2
1rqr2k1/1p1bppbp/p2p2p1/8/2PQP1n1/1PN3P1/PB3PBP/2R1R1K1 w - -,d4d1
8/3n3p/p1p1k1p1/3p2P1/P1pb2P1/BP1P4/2P3K1/3N4 w - -,d3c4
3r4/2r1kp2/1p1pn1p1/p3p3/2P1P2p/PP2KP1P/1R4P1/3R1B2 w - -,b3b4
1r6/1n1rbk1p/1PR1ppp1/3P4/1PN2P2/5K1P/6P1/R3B3 b - -,e6d5
b1rqr1k1/3n1pbp/p5p1/2Ppp3/PP6/2NQBN2/5PPP/2R1R1K1 w - -,d3a6
rn2kb1r/pb1p1ppp/5n2/2pPq3/2B5/5Q2/PP1NNPPP/R1B2RK1 b kq -,b7d5
8/2b1k1p1/2p4p/p1Pp3P/P2P2P1/2B2K2/8/8 b - -,e7f6
R7/4bppk/4p2p/1qp2n2/4N3/3P1QP1/2P2PKP/8 w - -,a8a7
4r2k/1ppbr1pp/1nn5/p3pp2/8/PP1PPN2/1B2BPPP/2RR2K1 w - -,b3b4
1rbq1rk1/4bppp/2n1pn2/pp1pP3/3P4/5NP1/PP3PBP/R1BQRNK1 b - -,f6d7
1kr5/pq1bQ3/8/8/4Pp1p/P2P1B1P/1P6/2bNK2R b - -,c8c2
2rr2k1/1p1b1ppp/pq2pb2/8/1n3Q2/1NN5/PPP2PPP/3RRBK1 w - -,c3e4
8/5kp1/1p4p1/pQb1pp2/P1Pq3P/4N1PK/5P2/8 b - -,d4e4
rnbq1rk1/pp3pbp/2p1pnp1/3pN3/2PP4/2N3P1/PP2PPBP/R1BQ1RK1 b - -,b8d7
r4rk1/1bqnnpp1/p2pp3/6P1/Np2PB2/3P4/1PP3BP/R2Q1RK1 b - -,e6e5
4r3/1p4pk/p2q1p1p/3P2n1/6Q1/1P4P1/P4PK1/2BR4 b - -,g7g6
8/5k2/2R2p2/6p1/4K3/1p3PBp/1P4nP/3b4 b - -,d1c2
8/4k1Q1/5p1r/1p6/3bP3/1B4P1/Pqp2PK1/5R2 b - -,e7d6
5k2/pr1rppbp/Rp4p1/1Pp5/2N1P3/2P3P1/1PK2P1P/R7 w - -,c4b6
r4rk1/5ppp/1pn1p3/p7/P2P4/B3P3/5PPP/R4RK1 b - -,f8c8
6k1/r4p2/6b1/p1p2nq1/2PpB3/PP1P1Qb1/2N5/R4RK1 b - -,f5h4
8/8/1bb3pk/p4p1p/P1B2N1P/5PP1/4K3/8 w - -,c4b3
r2q1rk1/pb1nbpp1/1pp1pn1p/3p4/2PPP3/1PNB1N2/PBQ2PPP/R4RK1 b - -,d5e4
8/p2rk3/1p2p2p/n4p1P/P1b2N2/4PP2/2B5/2R1K3 b - -,e7f6
2r5/6pk/2r2b2/p2p3P/3P3P/2p2N2/P1R2K2/1R6 b - -,c6c4
3qr1k1/2nb2bp/pr1p1np1/2pP1p2/N1P5/5N1P/RPBQ1PPB/5RK1 b - -,d7a4
5rk1/7p/4n3/8/8/3pN2P/1P4P1/3RK3 b - -,f8b8
6rk/2p2R1p/p2p4/3Pp3/2p1Pr2/2N4q/PPKQ1R2/8 b - -,f4f7
5r2/4npk1/2pq2p1/3pp2p/1p2P3/1P1PPQN1/2P3PP/5R1K b - -,e7g8:d6e6
r1r1q1k1/p2b1pbp/Pp1p1np1/4p3/1P2P3/2NPB2P/3QNPP1/2R2RK1 b - -,d7b5
4r3/p7/2p2bk1/2p2p1p/1pP2B2/1P1P1KP1/P6P/2R5 w - -,c1d1
2rr2k1/1b1n1ppp/1p1qpn2/p1pp4/3PP3/P1PB1NP1/1P1N1PP1/1QR1R1K1 b - -,d5e4
r4k2/5p2/5bp1/p2R3p/8/5K1P/6N1/8 b - -,a5a4
8/3K1k2/6p1/5rP1/4RP2/8/8/8 b - -,f5d5
2r1r1k1/ppq2p1p/1n4p1/1bbpP3/P4P2/2PQB1PP/8/R1R2BK1 w - -,a4b5
8/p1p1k2p/b1pp2p1/2P5/8/1PN1K3/P5PP/8 w - -,e3d4
8/8/1k3p2/1n5p/1p2K2p/5P2/6P1/2N5 b - -,b5d6
8/r4pp1/7p/8/1kpR4/6P1/PK3P1P/8 b - -,a7a6
q1r3k1/5ppp/4pb2/3p4/r3n3/P1N1P1P1/RQ2BP1P/2R3K1 b - -,e4c3
1rb1k1r1/2q2p2/p3pb2/1p1Bn1P1/5Q2/1N6/PPP5/2KRR3 w - -,f4f6
2rq1rk1/pb2bppp/1pn1pn2/8/3PN3/P1BB1N2/1P3PPP/2RQ1RK1 b - -,d8d5
1nbq1rk1/r6p/p1p1pppb/3pP3/1P1P1P2/1NPB2PN/4Q2P/R3R2K b - -,f6e5
6k1/p2nbp2/1p2P2p/1Pp5/P1B2P2/3KB3/7r/2R5 b - -,f7e6
5rk1/1q1nppbp/3p2p1/p1p1nPN1/4PQ2/P1PbB1NP/1r4P1/2RR2K1 b - -,h7h6
8/5pk1/6p1/1R6/7N/r5PK/r7/8 b - -,a2c2
r2r2k1/1p1b1p2/1p2p1p1/n3N2p/7P/P3P3/1P3PP1/1BRR2K1 b - -,d7a4
8/3knp2/2pB2n1/p2b1PP1/8/P7/8/5K1R b - -,d5h1
r3r1k1/p4q2/1p2ppp1/3p3p/3P1Q2/2P1R2P/PP3PP1/4R1K1 w - -,f4h6
r2qkbr1/2p2p1p/bp2pn2/p2p1p2/3P4/2PNPNP1/PP2QPBP/2KR3R b q -,f8d6
4k3/2pb2pp/2pp4/p1N5/3N4/PP2KP2/6PP/8 b - -,d6c5
1rb4r/2p2pk1/1b3qn1/4P1pp/5pP1/1BPQ1N1P/1P1B1PK1/4RR2 b - -,f6e7
5r1k/1pQ3bp/5np1/1q2Pp2/4p1P1/6P1/2R1N1B1/5R1K b - -,f6g4
5rk1/2q5/3pP1pp/1p4b1/2n1pp2/1NR4P/2B1QPP1/2B3K1 b - -,d6d5
r3kr2/1p1bp2p/1q4p1/p1n5/2Q5/2P3N1/PPB2bPP/2KR3R b q -,b6e6
1k6/p1rr3p/R2bp1p1/1Rp2pP1/5P1P/2B1PK2/P7/8 b - -,c7b7
2r2rk1/p3p2p/1q1pP1p1/2pQ1p2/5P2/2bP3P/PP4P1/1RB2RK1 w - -,c1e3
r3kb1r/pppqpppp/1n2b3/2N1P3/3P4/3n1P2/PP2N1PP/R1BQK2R w KQkq -,d1d3
8/2R3p1/3R3p/3p1p1k/2pP1P2/6P1/1p5r/1K6 b - -,g7g5
q4rk1/r1p1bppp/p4n2/3bN3/1p6/4P1P1/PP1N1PBP/R1RQB1K1 b - -,d5g2
1rnq1rk1/1b3ppp/3p3b/pp1Np3/4PP1P/2PN2P1/PP4B1/R2Q1RK1 b - -,b7d5
r2q1rk1/pp3ppp/2n1b3/3p4/3Nn3/2BQP3/1P3PPP/RB3RK1 b - -,d8h4
2r2k2/1p5p/p7/6R1/5p2/2P1bN2/Pr4PK/3R4 w - -,d1d7
2r3k1/5p1p/1pPr2p1/3p4/8/5P2/3R1P2/2R3K1 w - -,c6c7
8/3rkpp1/2qp1n1p/1p2p3/1Pr1P3/P4PQP/1B1R2PK/3R4 b - -,e7f8
R4k2/2b2p2/2p3q1/1rPpPp2/3P1B1p/7P/6PK/Q7 b - -,f8g7
8/5rp1/2P1k2p/2B1b3/4Bn2/7P/6P1/5R1K w - -,e4c2
6r1/p3kp2/3pb3/1pp1n3/P1P5/1KP1N3/3RB2r/3R4 b - a3,b5b4
1r3rk1/ppq2ppp/2n1p1b1/2b2P2/3N2P1/2P1B2P/P1P3B1/1R1Q1RK1 b - -,e6e5
2q4k/6b1/7p/2p5/2B1Q2P/6BK/8/8 w - -,h3h2
2r1r1k1/p4ppp/1p2p3/8/2bNn3/B3PP2/PP4PP/R2RK3 b - -,e4c5
r3kbr1/1bqn4/p2pp2p/1p4p1/2pP2PP/2P1PN2/PP1NQ3/1BKR2R1 b q -,b5b4
2rr2k1/pb2bpp1/1p2pn1p/q3N3/2BPP3/4BP2/P3Q1PP/2RR2K1 b - -,f6d7
r2q1rk1/pp1bbppp/2n1pn2/1N4B1/1P6/2P2N2/P1Q1BPPP/R4RK1 w - -,a1d1
1kr5/3n1p2/2q1p1p1/R1p1Pn1p/1pPpNP2/1P1P2P1/3B1K1P/4Q3 w - -,e1a1
5k2/p5pp/2p1P3/3b2P1/1P4B1/P1n1K2P/1B6/R6r b - -,h1a1
5rk1/3np2p/p7/1p6/4Q3/6P1/2Rq3P/2R4K b - -,d2g5
2rq1rk1/pp3pb1/2n1b1pp/5n2/1Pp5/P1N2NP1/3BPPBP/1RQ2RK1 w - -,f1d1
2q2rk1/1p2pp2/p2p2p1/4n2p/b1PbP3/1N3P2/P1P1Q1PP/3R1RK1 w - -,d1d4
8/6R1/p1PK4/7p/8/7k/8/2r5 b - -,c1d1
4k3/5p2/4pP2/1b1p1r2/pPqQ1NN1/P2R2Pp/2r4P/3RK3 b - -,c4d4
4k2r/3b2p1/pB1b1nP1/3Ppp2/1p6/1R5P/2PK2B1/R7 b k -,d7b5
1Q1r2k1/4q2p/6p1/3b1P2/3p4/5P2/6PP/B2R2K1 w - -,b8g3
6r1/kb2Q3/8/1q1p2B1/p1pP2B1/2P3K1/RP6/4n3 b - -,e1d3
r4rk1/p1p2ppp/1p6/2bPp3/2B5/P2R4/1PP2PPP/5RK1 b - -,g7g6
2q3k1/1p2rpp1/p2b2p1/3p2P1/Qn6/1P2PN1P/3RNPK1/8 b - -,c8c6
3r4/2RPkp1p/p5p1/1p3B2/8/5P2/4r1PP/K2R4 b - -,g6f5
4r2r/1kpbqp2/1p1n2p1/p1pPp1p1/P1P1P3/1P3P1P/2B1NQP1/1K2RR2 b - -,f7f5
r5k1/1p2p2p/6p1/1Pq1Pb2/2P5/4r1P1/4R1BP/3RQ2K b - -,a8a3
3r3k/1p5r/2p1R3/p7/1PB1Kp2/P7/5P2/8 b - b3,h7d7
6k1/8/p7/P5rp/1N3p2/1P2bP1b/4R2P/4R2K b - -,g5a5
rnbqk1nr/ppp2pbp/3p2p1/8/2Pp4/2N2NP1/PP2PP1P/R1BQKB1R w KQkq -,f3d4
rnbq1rk1/ppppb1pp/5n2/3p1p2/2P5/5NP1/PP2PPBP/RNBQK2R w KQ -,c4d5
8/2p2kp1/1n6/p2P1p1p/5P1P/P5P1/4K3/8 w - -,e2d3
2b3k1/2p5/8/p2Nqp1B/2p4p/P6P/6PK/8 w - -,h2h1
r3r3/6k1/p4p1p/2q2p2/P7/4P2P/5PP1/2RR2K1 w - -,c1c5
5r1k/p1p3pp/3n4/1P1B4/2PQ4/6PP/P4PK1/2qR4 b - -,c1a3
r1b2rk1/pp3ppp/2n2n2/3q4/3p1N2/P2B4/1PP2PPP/R1BQ1RK1 b - -,d5d6
r2qnrk1/pp2ppbp/1np3p1/4N3/3PP3/2N1B3/PP2QPPP/R4RK1 b - -,e8d6
r4rk1/1p1bn1p1/p1n1p1P1/3pP2p/5q2/3B1N2/PPN3QP/1K1R3R w - -,d1f1
r2qr1k1/bpp2pp1/p3bnnp/4p3/4P3/2P2Q1P/PPB2PPN/R1B1RNK1 w - -,f1e3
2r3k1/1p3p1p/p3p1p1/P7/1Pr5/R1Pq2P1/7P/3RQ1K1 b - -,d3f3
6n1/1B3pkp/1p2p1p1/p3P3/2r3P1/7P/PP6/4R1K1 w - -,e1e2
8/p3k3/1pp2p1p/6p1/P7/2P4P/1b1K1PP1/1B6 b - -,e7d6
r2q1rk1/1p2ppb1/p1p1bnpp/8/3PP3/2N2N1P/PP3PP1/R1BQR1K1 w - -,c1e3
1k5r/pp2q1p1/1b6/3p2Np/2rP2nP/1Qp3P1/P1R2PB1/1R4K1 b - -,c4d4
8/p1p1k3/1p5p/2PP1ppn/1P3P2/4K3/P5BP/8 w - -,f4g5
b7/p4pk1/1p5p/3p1B2/5P2/2P3P1/P6P/6K1 w - -,g1f2
7n/8/p3pp2/3k4/3P1BP1/1P2K3/8/8 w - -,f4h6
8/8/7k/6pP/P2p1r2/3R1PK1/8/8 w - -,g3f2
4r1k1/5b1p/1p6/2p2pP1/3n1NBP/6P1/4P3/1R2B1K1 b - -,f5g4
7r/p4pk1/1p2p1pr/2qnP3/4B3/5QP1/1P3PK1/3R3R b - -,h6h1
2r2rk1/1p3ppp/p2pbn2/4q3/3QP3/2N4P/PPPRB1P1/3R3K b - -,c8c3
4k2r/6bp/1p3np1/1PpBpp2/8/5NP1/P2PPP1P/2B1K2R b Kk -,f6d5
