8/5K2/1p6/8/P3p3/5k2/8/8 w - -,f7e6
2rr1bk1/p4p1p/2p1pp2/8/2PpP3/1P1R4/PB1q1PPP/3R2K1 w - -,d1d2
8/p3k3/1p2b3/5pn1/r7/2P1RP1P/P5PK/1R6 w - -,e3e2
1r6/3kb3/2n1p3/3p1p2/2pP1Pp1/4P1P1/1R1NK1P1/7R b - -,b8b2
r1bQ1rk1/1pp3bp/p1n2ppn/4p3/2P5/2N2NPP/PP2PPB1/R1B2RK1 b - -,c6d8
r5k1/3qn1b1/Bp4b1/3Pp1pp/4N3/BP4PP/P5QK/2R5 w - -,a3e7
6k1/3p1rp1/p1b1p2p/P1P5/5p2/r4P1P/3B2PK/5Q2 b - -,f7f5
r1bq1rk1/pp2p1bp/2p3p1/3NPp2/1n2BP2/5N2/PPPB2PP/R2Q1RK1 b - -,f5e4
r1bq1rk1/ppp2pbp/3p1np1/2n5/2PNP3/2N5/PP3PPP/R1BQRBK1 b - -,f8e8
2k3r1/p4r1p/1p4p1/4p3/8/R1P1Bq2/PQ1p1P1P/3RK3 w - -,d1d2
r1b1k2r/pp1nqppp/2p2n2/3P4/5P2/2PQBN2/P1PK2PP/4RB1R b kq -,c6d5
r5k1/pp4b1/3q2Np/8/8/8/PPQ3PP/5R1K w - -,c2f5
1rb1r1k1/2qn1pbp/3p2p1/p1pP2Bn/4P3/2N2NPP/RP3PBK/3QR3 b - -,c8a6
3r4/5p2/r3p2p/1N4Pk/p1P4P/Rn1n2P1/4R1K1/6B1 w - -,g5h6
r3n1k1/1pp1r1b1/4p1P1/np1pP3/3P1P1N/1PP4P/P6K/R4R2 w - -,a1b1
r3r1k1/1bpnqpbp/1p3np1/p3p3/2P5/P3PN1P/1PQNBPPB/2R1R1K1 b - -,a5a4
r2q1rk1/1bpnbppp/pp6/3pB2n/3P4/2N1PN2/PPQ1BPPP/R4RK1 w - -,f1d1
r6k/np2qprn/p2pb3/4p2p/2B1P3/1NP2PPp/PP1N4/R3Q1RK w - -,h1h2
6k1/2qb1p2/p2p2pb/n1pPp3/2P1P1p1/2B3P1/P2N1PBP/1Q4K1 w - -,g2f1
r2q1rk1/pp2n1bp/6p1/2p1n3/3pP3/1P4P1/PBPNQ1BP/R4RK1 w - -,f1f8
3r1rk1/1ppq1pp1/1p1p3p/4n1n1/3NP3/1P1P2BP/1PP2QP1/4RRK1 w - -,g3f4
r2r4/1p2kp2/2pp1npp/P3p3/1PP1P3/4NP1P/3R2P1/3R2K1 b - -,h6h5
2B5/8/7p/p5k1/P4p1P/1p3K2/8/8 b - -,g5h4
4r3/1p1q2k1/p4pp1/2pP3p/2P1R2P/4Q3/PP4P1/6K1 b - -,e8e4
r1bqkb1r/p2n1ppp/2p1pn2/3p4/Np1PPBP1/5P2/PPPQ3P/R3KBNR b KQkq -,d5e4
2r4r/3b1k2/4pP2/1pnp1n2/p4P2/P2P2P1/2RB2BP/2NK3R w - -,g3g4
2r4r/1p1k1ppp/p1n1pb2/3p4/8/1P2P1B1/P3BPPP/2R2RK1 b - -,c6b4
r1b1k2r/1p1pppbp/pqn2np1/2p5/Q2PP3/2PB1N2/PP3PPP/RNB2RK1 b kq -,c5d4
2r2rk1/1p1n2pp/p3p3/R1p1p3/4P3/5N2/1PP2PPP/4RK2 b - -,h7h6
1k6/1b6/1b1pN2p/1Q4p1/6P1/5r1P/1PP5/1K6 b - -,b8a7
8/1p4kp/2p1r3/q2rP1p1/P2P1p2/1Q1R1P1P/6PK/3R4 b - -,b7b5
8/1rnk3p/1pp3p1/3p1p2/3P1B2/R2P1PP1/P6P/5K2 w - -,f4e5
2r2rk1/3b1pp1/p1p4q/Pp2PPPp/1PpPN3/7P/5Q2/1R2R1K1 b - -,h6h7
r2qnrk1/4b1pp/bp2p3/p1ppP3/P4P2/2P1B1P1/1P4BP/RNRQ2K1 b - f3,e8c7
4n1k1/1p5p/2r1bPp1/3p4/8/3R1P2/PBP4R/K7 b - -,h7h5
6k1/1p3pp1/2p1n3/p3P2P/P1P1qPQ1/1P4P1/8/6K1 b - -,e6d4
rnbqkb1r/ppppp2p/5np1/5p2/3P1B2/4P3/PPP2PPP/RN1QKBNR w KQkq -,h2h4:h2h3
r7/8/5R2/2k1pP2/p2p4/3K4/8/8 b - -,a4a3
5n2/3r3p/pR1p4/2pP1k1p/P7/6BP/1P4P1/7K w - -,b6a6
r3k2r/pp1b2pp/4p3/4nn2/7P/P1P4N/2P2BBP/2KR3R b kq -,e8c8
8/5k2/8/6K1/5n1P/2B5/8/8 b - -,f4e6
1k4rb/1p2pp2/p3b3/P2n2p1/8/2P1BPP1/1P1NBK2/R7 w - -,e3c5
8/P3R3/6pk/5p2/4n3/4p3/4B1PK/r7 w - -,e2f3
rn1qk1nr/pp2bpp1/2p1p3/4P2p/2BP2bP/6N1/PP3PP1/RNBQK2R w KQkq -,d1d3
r4rk1/p3b2p/1pq1p3/2p2p2/2PPnPp1/PQ1NP1P1/3BK2P/2RR4 w - -,d3e5
8/7p/4pkp1/p1R5/4Pp2/2K2P2/1P3P1P/3r4 w - -,c5a5
r1bq1rk1/pp1n1pbp/3p2p1/1N6/5P2/2N5/PPP1B1PP/R2QK2R b KQ -,d7f6
3r2r1/4q2k/2p2p2/p1N2P1p/Ppb1P2P/4QK2/1P6/4R1R1 w - -,b2b3
rn1q1rk1/2pnbppp/p2p4/1p1Pp3/3P4/PB3N2/1PP2PPP/R1BQR1K1 b - -,e7f6
8/1p1kb3/p5p1/4p2p/Pr2N2P/1PRK1PP1/8/8 b - -,b7b5
r4rk1/p2qn1p1/1Pp1ppp1/8/2QPP3/2P2PP1/3B3P/R4RK1 b - -,a7b6
6k1/p5bp/3Np1p1/3P2r1/8/1P1R1P1P/P4P2/6K1 w - -,g1f1
8/3k4/3P4/2K1P3/8/4n3/8/8 w - -,c5d4
3Q4/8/7p/1k2K1p1/6P1/7P/8/q7 w - -,d8d4
5r2/2p2kp1/pp1pR3/3P3p/2P2Pp1/1P4P1/P6P/6K1 w - -,g1f2
r2q1rk1/1b3pp1/pp2p2p/3n4/Q7/4PN2/PP2BPPP/2RR2K1 b - -,d8e7
8/6p1/6k1/p3QpP1/3P3P/3q4/5PK1/8 w - -,f2f3
4r1k1/2q2p1p/2p3p1/4pP2/1pPb4/1P5Q/2B1R1PP/r3R2K w - -,h3g4
rnbq1rk1/4ppbp/3p1np1/p1pP4/1pP1P3/5NP1/PPQ2PBP/RNB2RK1 w - a6,b1d2
3q1rk1/1b3pb1/4p1pp/1p1nN3/3B4/3B4/1P1NQPPP/2R3K1 b - -,d5f4
r2qr1k1/1b1n1pbp/np2p1p1/p2pP2P/3P4/2N1B1P1/PP1QNPB1/R3K2R w KQ -,c3b5
8/8/1r6/R5KP/4k3/8/8/8 b - -,b6b1
4rnk1/6pp/1b1q1p2/p2Pp3/P1r5/1PB3PP/3Q2BK/2R5 w - -,b3c4
6k1/1p3pP1/7P/1p1p1q2/5N1P/P2pr3/1P4K1/5Q2 w - -,f1f2
8/5pk1/5pbp/8/R2N3P/5PK1/6P1/2r5 w - -,d4e2
1r2b1k1/p1R3p1/3p3p/Pr1P1p2/3P4/8/3B1PPP/4R1K1 b - -,b5b1
8/p1r1k2p/2P2pp1/3Rp3/1K6/1P2P3/5PPP/8 w - -,b4c5
2B5/p1bb3p/1p2k3/5pp1/1P3P2/4B3/P2K3P/8 w - -,c8d7
2r2rk1/p4ppp/b7/q1nB4/3b4/4BQP1/P4P1P/2RR2K1 w - -,e3d4
1r4k1/p1pnqrbp/2Q2n2/6N1/2p5/2P5/P2BBPPP/R3K2R b KQ -,d7e5
r3k2r/1p1bbp2/p2ppnp1/2q5/2PNP1Pp/1P2N2P/P3QPB1/3RR1K1 b kq -,e8g8
1r1rn1k1/4qppp/p1Rp1b2/1p1p4/4PP2/6P1/P2QBB1P/3R2K1 w - -,e4d5
8/8/8/8/4Q3/1kq3P1/1p5K/8 w - -,h2h3
1rbqr1k1/3nbpp1/pppp1n1p/4p3/P2PP2B/2N2N1P/1PPQ1PP1/R3RBK1 b - -,d7f8
r5k1/4qbpp/2pn1p2/p1N1p3/Pp2P3/1P2Q3/2PRBPPP/6K1 b - -,a8d8
r2r2k1/1p1q1p2/2n4p/p4b2/2P2p2/PNRp1NP1/1P3KBP/2Q5 w - -,c1f4
rnbqkb1r/pp1p1ppp/2p2n2/4p3/2P5/P5P1/1P1PPPBP/RNBQK1NR b KQkq -,d7d5
r4rk1/pp2nppp/6q1/4Pb2/Q1B1p3/2B5/PP3PPP/R4R1K b - -,a7a6
6k1/1p5p/3p2p1/1P2p3/2p1pn2/r7/1R3P1P/2NB1K2 w - -,b2a2
6rk/p1Q2p2/1p2p3/7p/3P3P/2P2qP1/P4P2/R5K1 b - h3,h8h7
r2q1rk1/p4ppp/1pnbpn2/2pp1b2/3P1B2/1QP1PN2/PP1NBPPP/R4RK1 w - -,b3a4
6k1/4pp1p/P2p2p1/r2P4/8/2b5/4BPPP/3R2K1 w - -,g2g3
1qr1r3/Rb5k/1p5p/1PnP1R2/2pbp2N/6PP/2QB2BK/8 w - -,c2c4
2kr2r1/pp3p1p/1npbp3/5p2/3P3q/1BP2Q1P/PP1B1PP1/2KR3R b - -,c6c5
5bk1/1p2r1p1/p1b5/P1pN4/2P1pP1q/2Q3R1/1P4RP/7K w - -,g3h3
6k1/pp3pp1/2p2n2/7p/2P1P3/1P2P3/P3R1PP/3rN1K1 w - -,e4e5
4k2r/pp3p1p/2p3p1/2b5/1PP1PP2/P3N3/4KP1P/R7 b k -,c5e3
8/p7/3p1k2/1b1P3p/2npB3/3Qq2P/P4NK1/8 w - -,h3h4
2r1k2r/1bq2ppp/pb2p3/1p1pP1PP/8/1N1B1P2/PPP1Q3/1K1R3R b k -,b7c6
r1b1k1r1/pp2np1Q/2n1p3/q2pP1B1/8/P1p2N2/2P2PPP/R3KB1R b KQq -,c8d7
r1bq1rk1/ppp2nbp/3p2n1/3Pppp1/2P1P3/2N2NBP/PP1QBPP1/1K1R3R w - -,e4f5
r3k2r/p1qbnpbp/2npp1p1/1pp5/P3PP2/3P1NQ1/1PPNB1PP/R1B2RK1 b kq -,b5a4
2k2r2/Q1p2pp1/n2n4/1P5r/3R4/4qNP1/P6P/5R1K w - -,a7a6
2kr3r/pppq4/2nb1p2/3p2pp/1P1P4/1NPQ1NP1/P4PP1/R4RK1 w - g6,a2a4
rnb1kb1r/1pqp1ppp/p3pn2/8/3N4/2N3P1/PPP1PPBP/R1BQ1RK1 b kq -,b8c6
1r1q1rk1/pb4bp/1p1p1P2/3Nn3/7p/PN6/1nP1BQPP/4RRK1 b - -,b7d5
6k1/R4R2/1p6/1r2PKP1/1Pr5/2p5/8/8 w - -,f7g7
2kr1b1r/1pp1pppp/pq3n2/8/8/1Q4PP/PPP2PB1/R1B2RK1 w - -,b3f7
q1r1rbk1/1b3ppp/1p2p3/p2n4/1P1Nn3/P2BPN2/1B3PPP/Q1RR2K1 b - -,e4f6
3Q2k1/1b6/2q4p/pp3pp1/8/1PPP1N2/P5PP/6K1 b - -,g8g7
r1b1k2r/1p1n1pb1/1ppB2p1/3Pp1qp/2P1PP2/1R6/P1B1N1PP/3Q1RK1 b kq -,e5f4
r1bqk2r/ppppnpbp/2n3p1/1B2p1B1/4P3/3P1N2/PPP2PPP/RN1Q1RK1 b kq -,h7h6
rnbq1rk1/ppp1bppp/8/3p4/3Pn3/3B1N2/PPP2PPP/RNBQ1RK1 w - -,c2c4
4r1k1/1b5p/p5p1/3pB3/3p2P1/qP5P/n1Q2PB1/R5K1 w - -,a1a2
5r2/p1pq2k1/3bb1p1/1p1p1n1n/3Pp3/1BP1B2P/PP1NQPP1/1K1R2R1 b - -,a7a5
2rq1rk1/pp2npbp/1n2p1p1/8/b2PP2P/N4NP1/P2Q1PB1/1RB1R1K1 b - -,h7h5
r1bqr1k1/pp3pbp/2p2np1/2n1p3/2P1P3/2N2NPP/PPQ2PB1/R1B2RK1 w - -,c1e3
r1b2rk1/ppq1pp1p/2n3p1/2p1P3/8/1QP3P1/P3PPBP/R1B2RK1 w - -,b3b5
8/8/pp1k2p1/3n1p1p/1P1K1P1P/3N2P1/8/8 w - -,b4b5
8/5pp1/4p3/R3k3/3rP3/4K2P/6P1/8 b - -,d4d5
4b1k1/p5pp/N3pp2/8/R4P2/5B1P/2r3PK/8 b - -,e8a4
3r2k1/pp2rpp1/2p3qp/5R2/1P1Pp3/1Q2P3/P5PP/5RK1 b - -,d8d6
rn1qkb1r/p1pppppp/1p6/4P3/4b3/5N2/PPPP1PPP/R1BQKB1R w KQkq -,f1c4
4k3/5p2/p3p3/1p2Pp2/3P1P2/4BK2/1P6/4b3 b - -,e8d7
3rr3/2pnqpbk/1p1p2pp/pP1Pp3/P1P1b3/1Q2P2P/5PPB/2RRNBK1 b - -,d7c5
7r/5kp1/p1p1pb2/PpP2p2/1P1PpP2/2B2q1r/1K1R1Q2/7R b - -,e4e3
2r2rk1/pp1bpp2/1q1p1npQ/4n2p/3NP2P/2N2P2/PPP1B1P1/2K3RR w - -,d4b3
bq2rbk1/3n1pp1/2pp3p/1p2p2n/1P1PP3/2PB1NPP/2QN1P2/B1R3K1 b - -,h5f6
8/6k1/3pp1p1/R6p/P6P/6P1/5PK1/r7 w - h6,g2f3
3r1r1k/ppp5/6pp/7P/5pR1/2P1Q3/PPBN2P1/2K5 b - -,f4e3
2r3k1/r2q2p1/1R2b2p/p1P2p2/1n2p3/Q5P1/5PBP/1R3NK1 w - -,b1c1
5r2/3b1rpk/p6p/P1p1q2P/1pp1p3/3nB1N1/1PQ2PP1/1R3RK1 b - -,d7e6
3r2k1/Bp4b1/2p1b1pp/8/1P2nP2/P7/2N4P/4RBK1 b - -,e6f5
8/6k1/4Q1p1/3n3p/1p1qN3/1P5P/P5PK/8 w - h6,e6d7
5bk1/8/2Br3P/p5PK/P1R5/8/8/8 b - -,d6d2
8/2r3k1/2P1p2p/4P1p1/2p2nP1/PR3N2/1P3P2/4K3 w - -,b3b7
1k6/p4N2/BnR5/5K2/8/5PP1/P1P5/2b1r3 b - -,e1e8
2krn2r/ppqn1pb1/4p1p1/2pp3p/3P1PP1/2PBPQ1P/PP1B4/R3KNR1 w Q -,f4f5
3rr1k1/1p3ppp/2p2b2/p1p5/P1B1P1b1/2NP4/1P3PPP/R3RK2 w - -,f2f4
1q4k1/p2R2b1/1p6/2p2B2/2P2P2/2P2b2/PPK3p1/4R3 b - -,b8f4
8/r6p/2kb4/1p2p1p1/6P1/PR2PP1P/1P1BK3/8 b - -,a7f7
1r6/1p3kbB/3p1r2/2pPp2R/p1P5/5P2/PPK3P1/7R w - -,h7d3
5rk1/3b3p/p2pp1p1/2pPb1Bn/1qN1P3/2N4P/PP2Q1P1/4R1K1 w - -,c4e5
2R5/8/1p4r1/5pk1/2P4p/5K2/7P/8 w - -,h2h3
1r2n1rk/1p1b1p1p/1q1p2p1/1P1Pp3/1Q2P3/2N2P2/3B2PP/R4R1K b - -,b8c8
R6R/6p1/5p2/6kP/4p1r1/5b2/5K2/8 w - -,h5h6
2rr4/p3npbk/1pq1p1pp/6B1/2PPN3/P4PPQ/7P/3R1R1K b - -,d8d7
6k1/3r1pp1/5b1p/p7/P1QnBq2/7P/5PP1/3RR1K1 b - -,d7c7
r1r3k1/1ppq1pp1/p3b2p/n2p4/P2P4/B1PBPP2/2Q3PP/R3R1K1 w - -,a1b1
1r2qn1k/r1p3p1/1p1pbp1p/4p3/pPP1P1P1/P2BPP2/1B1R3P/2R1Q1K1 w - -,h2h4
2r2rk1/1b2Np2/p1p2q1p/Pp2n1p1/1P6/1NQB2P1/5PP1/3R1RK1 b - -,f6e7
1krr4/1pq2p2/p1bppbpp/8/4PP2/1NP1Q1P1/PP1R3P/1KNR4 w - -,b3d4
r3r1k1/pp1nq1bp/1np1p1p1/3pP3/5P2/2N3PP/PPP1Q1BK/R1B2R2 b - -,g8h8
3r1rk1/1pq1nbb1/p2p2pp/2p1p3/2P1n2N/1P4P1/P1Q1PPBP/2BR1RK1 w - -,g2e4
r4rk1/ppq2ppp/2p5/3B1p2/P2P4/4PP2/1P1b2PP/R2QR1K1 w - -,d5f7
r3r1k1/pp3p1p/5np1/1PPp3q/3PnQ1P/P4N2/6K1/1R2RN2 b - -,h5g4
r2q1r1k/pp1bb1pp/4p3/2npPp2/7P/3B1NQ1/PPP1NPP1/R4RK1 b - h3,c5e4
8/4R3/p1kr2pp/1p5P/1P6/P1P5/2K5/8 w - -,h5g6
r4rk1/1bq1bpp1/pp1p1n1p/4p3/2P4N/2N1P3/PPQRBPPP/3R2K1 b - -,f8d8
8/p4pk1/1p2p3/1P1p2p1/Pb1P2P1/1B1KPP2/8/q2Q4 b - -,a1c3
k2rrb2/ppq5/2p1p1Qp/2Pn1p1P/3P4/5N2/PP1B1PP1/1K1R3R w - -,h1e1
r4rk1/1p4b1/pP1p4/3P4/P3Ppqp/R4QPp/5P2/2B2RK1 b - -,h3h2
8/6pp/1N2k1n1/p3p3/8/1PK1P2P/5PP1/8 b - -,g6h4
8/7R/8/4kp2/2p5/2r2P2/4KP1P/8 b - -,c3c2
6k1/5p1p/4p3/2R1P1p1/p2nB3/P4P2/r4PKP/8 w - -,f3f4
rn1q1rk1/pbpp1ppp/1p2pn2/8/2PP4/P3PN2/1P1B1PPP/R2QKB1R w KQ -,f1d3
8/3R4/8/2k1p3/P1p1P3/5P1p/6r1/7K w - -,d7c7
rn3k1r/p1q1nppp/bp2p3/2ppP3/P2P2Q1/B1P2N2/2P2PPP/R3KB1R w KQ -,f1a6
r7/pp1b1nk1/1qn1p3/3p1p2/1b1P1Q2/BP3NP1/P3BPK1/RN6 b - -,b4a3
8/8/8/4k1KP/6P1/8/5r2/8 w - -,h5h6
r1b1kbnr/1pp3pp/p1p2pq1/6B1/3QP3/2N2N2/PPP2PPP/2KR3R b kq -,f8e7
4k3/p4n1p/1qp5/6p1/3ppB2/1P4P1/P1R1P1KP/2R5 w - g6,f4d2
5rk1/3n1p1p/4pPp1/1p6/3B4/PP4Q1/2q3PP/5R1K b - -,c2e2
2r2rk1/2p3b1/p4ppn/1p1q3p/3PnP1N/N3B3/PPQ3PP/4RRK1 b - -,g8h7
1q3rk1/5p1p/p3p3/2p1bp2/2B5/6P1/PP2QP1P/5RK1 b - -,b8b2
r4rk1/1pp1q1p1/2n1p2p/p1b1p2P/2PpP1n1/PP1P1NN1/R4PP1/2BQ1RK1 b - -,b7b6
r1r3k1/5pp1/p2bpn1p/n2pN3/1q1PbBP1/5N1P/PP3PB1/R2QR1K1 w - -,e5d3
r4rk1/pbqnbppp/1p2pn2/4N3/P7/1P1B4/1BPNQPPP/R4RK1 b - -,d7e5
3r2k1/pp3pp1/1bnq2b1/4p2p/2B5/1PB1P1NP/P4PP1/R3Q1K1 b - -,h5h4
6k1/3qnrpp/4p1b1/4B3/r2N1P2/5R1P/5QPK/4R3 b - -,e7c6
