8/6k1/1R3p2/7P/5PK1/1p1r2P1/8/8 w - -,b6b7:h5h6
8/6K1/7p/p6P/P5k1/8/8/8 b - -,g4h5
r1b1rnk1/p2nq1pp/2pb1p2/3p4/1p1P1P2/2NBPN1P/PPQ3PB/2KRR3 w - -,c3a4
8/1p6/1kp2p2/8/1p2Q2P/1Pq1P3/P3R1K1/3r4 b - -,b6a7
1brr4/1b2R1p1/1p3pk1/1p4p1/P1P5/8/1B3PPP/4R1K1 w - -,e7b7
r1r3k1/pp1b1qpp/n1p1p2b/3pPp2/2PP4/BP1NPRP1/P3Q1BP/2R3K1 b - -,d7e8
r3k2r/pp1bqppp/2n1pn2/8/1b2P3/1NNB4/PP1B1PPP/R2QK2R w KQkq -,e1g1
2r2b2/p1r2k2/5n2/1p1p4/3P1Pp1/P1N1PK1P/1P6/R4R2 w - -,h3g4
8/1R3p1p/p3p1p1/4k3/4N3/5PK1/rn4PP/8 w - -,b7f7
r3n3/1p4p1/1p1kpp2/3p4/3P1pP1/PKP1P2P/R5B1/8 w - -,e3f4
6k1/pp3ppp/2r1p3/3q4/3PpB2/bP2P2P/P3QPP1/2R3K1 w - -,c1c6
rn3r1k/pp1q3p/1n1P1p2/4pN1Q/5p2/8/PPP2PPP/2KR1B1R w - -,f5e7
3rr2k/pb4pp/1p3q2/5p2/2B1nN2/P1N1P1P1/2Q2P1P/2R3K1 w - -,c3d5
4q1k1/8/p5pP/1p1p2P1/1P1br3/P4Q2/4p3/4B1RK b - -,d4g1
8/2N2pp1/2b2k1p/P7/8/7P/5PP1/6K1 w - -,a5a6
r6r/1p5p/pkn2p1b/3Rp3/4B1P1/1N6/PPP4P/2K2R2 w - -,c1b1
4k3/5p2/5P1K/5r1p/1R6/1P6/8/8 w - -,b4b8
6rk/p3npbp/1p2pq2/3bN3/2B2P2/3R4/PP3Q1P/R5K1 w - -,d3g3
6k1/1pq3pp/2p1p3/p2rp3/P4r2/2P1Q2P/2P2PP1/3RR1K1 w - -,e3a7
3q2k1/1rpb1ppp/p2p2n1/3P2P1/1pR2P1P/1N6/PPP3B1/1K2Q3 b - -,d8b8
4q3/1p4kp/p1nRprp1/2N1p3/2P1P3/1P3P1P/PQ4K1/8 w - -,c5d7
8/p2q4/1p4k1/2p3p1/2P1R3/1P3PB1/P3K3/8 b - -,d7h3
r4rk1/2p4p/1n4p1/1P6/pR1R1P2/5p1P/P1B2P2/6K1 b - -,a4a3
5rk1/1p2bpp1/rn2q3/p2pP2p/3P1B2/1N1Q3P/PP3RP1/5RK1 b - -,b6c4
8/8/p1rr1k1p/Pp2R1pP/2p2P2/2Pp4/1P1K4/3R4 w - -,d1f1
r1b1k2r/1pq2ppp/p1n1pn2/3p4/QbPNP3/2N1BP2/PP4PP/R3KB1R w KQkq -,d4c6
2r1r1k1/2bq1ppn/p3bn1p/Pp2pN2/1P1pP1PP/3P1Q2/1N1B1PB1/2R2RK1 b - -,e6f5
rnbqkb1r/pp1p1ppp/4pn2/8/3P4/5NP1/PP2PP1P/RNBQKB1R b KQkq -,d7d5
8/1p2k2p/p1bppp2/4r3/1P2P1P1/PKN5/2P2bB1/7R w - -,h1h7
rnbqkb1r/p1pp2pp/1p2pn2/5p2/2PP1B2/5N1P/PP2PPP1/RN1QKB1R b KQkq c3,c8b7
rn1qkbnr/pp2pppp/2p5/8/4N1b1/5N2/PPPP1PPP/R1BQKB1R w KQkq -,h2h3:f1c4
r2q1rk1/p3ppbp/2p2np1/5b2/2Pp4/2N1P1P1/P4PBP/R1BQ1RK1 w - -,e3d4
r5k1/p1R5/3p2pp/5pN1/8/6PP/P3rP2/6K1 w - -,g5f7
1rr3k1/3bp2p/3p1np1/p3q3/2pQP3/1PN2P2/PKP1N1P1/3R3R b - -,e5d4
rn1qkb1r/pbpp1ppp/1p2pn2/8/3PP3/3B1P2/PPP3PP/RNBQK1NR w KQkq -,g1e2
r4rk1/1b3ppp/2p5/p2n2q1/PpB5/1Q3N2/1P3PPP/R4RK1 b - -,g5h5
r1b2rk1/pp1nq1pp/2pbp3/2P2p2/3Pp3/1P2P3/PBQNBPPP/R3K2R b KQ -,d6c7
8/3k1pp1/R3p1p1/1p1rP3/1P2R2P/6P1/1r3P2/5K2 b - -,d7e7
r4rk1/2q3pp/2p1bbn1/p7/1p2pP2/1N2B1PP/PPP1NQ2/1K1R3R w - a6,e3b6
r2qrnk1/pp3pp1/2pbb2p/3n4/3P4/2NQ1N1P/PPBB1PP1/R4RK1 w - -,a2a3
5b2/1pNb1k2/3p4/3P2B1/1KP5/1P6/8/8 w - -,b4a5
r2q1rk1/pp2bppp/1np5/4n2b/4P1P1/2N1NP2/PP4BP/R1BQ1RK1 b - -,e7c5
r1b2rk1/pp1n1ppp/4pn2/q2p4/1bPP1B2/2N5/PPQNBPPP/R3K2R b KQ -,f8e8
1r4k1/rB1b1ppp/4p3/3pP3/nR3P2/2N5/2P3PP/R5K1 w - -,c3a4
1k1r3r/p3bppp/1p2p3/4P3/5P2/2NnB2P/PP2K1P1/R6R w - -,a1b1
6k1/5p2/5K2/1N3P2/pBb5/8/8/8 w - -,b5c3
rnb2rk1/1pq1bppp/p2p1n2/4p3/P3PP2/2NB1N2/1PP3PP/R1BQK2R w KQ -,e1g1
2Q2n1k/6q1/3p3p/3P4/1p2Pp2/1P3P2/n5rP/3R1N1K w - -,f1g3
1r6/2b3k1/1p1nB3/2p1p2p/P3P1p1/2KPB1P1/5P2/1R6 b - -,g7g6
6k1/p5p1/1p2p2p/5p1P/2P3P1/P3nP2/1P1N4/1K6 w - f6,g4f5
n1rqrbk1/5p2/p2p1n1p/3PpNpP/Pp2P1P1/1P2BP2/4Q1K1/R1RN4 b - -,a6a5
r1bq1rk1/ppp1b1pp/2n1p3/3pPp2/3Pn2P/5N2/PPP1NPP1/R1BQKB1R w KQ -,g2g3
8/p2q1pk1/1p6/4r1pB/2Pp4/P2P2PP/1R2P3/R4K2 w - -,f1g2
5rk1/p5pp/R3pr2/8/8/6PP/R4P2/6K1 b - -,f8f7
1r1q1rk1/pb1n1ppp/2nppb2/2p5/2P5/P1BP1NP1/3NPPBP/1R1Q1RK1 w - -,c3f6
r4r2/2pnq1bk/pp1pp1pp/8/P1NPp1Q1/2P1P2P/1P3PPB/R4RK1 w - -,c4d2
3r2k1/2r5/p2Np2p/1P2n1p1/2PR1p2/7P/3B1K2/8 b - -,e5c4
8/6kp/3r2p1/1p2p3/Np6/1P3R2/6PP/2K5 w - -,a4b2
q1rr1nk1/p3npbp/1pp3p1/2P1p3/PP2P3/1QN1BPP1/4N1KP/2RR4 b - -,a8b7
3r2k1/pp3pp1/1q2p1p1/3bP3/P2R1P2/B7/PQ4PP/6K1 b - -,b6b2
r1r3k1/p3Bp1p/6p1/8/P2PP3/3Pn3/6PP/R4RK1 w - -,f1c1
r4rk1/1pp1qpp1/2n1bn1p/p1b1p3/2PpP3/3P1N1P/PPBN1PP1/R1BQR1K1 w - a6,d2f1
7r/1p6/4pp2/2P1k1p1/4PnR1/5P2/3R3P/2r2BK1 w - -,d2b2
r3r1k1/1pq1bppp/p2pbn2/8/P1nNP3/2N1B3/1PP1B1PP/R2Q1R1K w - -,d4e6
2rr2k1/Q3bp1p/1p6/2p3p1/1P1pB3/P5P1/3q1P1P/1R2R1K1 b - -,e7f6
2b3k1/2K1p3/3p2p1/P4p2/4P2P/2n5/P1PN4/8 b - -,c8a6
1r1qrn1k/ppp3p1/2npb2p/3N4/4NP2/2R5/PPB3PP/2RQ2K1 b - -,e6d5
2kr3r/ppp2ppp/1n2p3/4P3/1bPn4/2N2P2/PP1KBB1P/R5R1 w - -,f2d4
r4rk1/pp3ppp/2p1p3/q2nP3/8/2PN1Q2/PP1R1PPP/R5K1 w - -,b2b4
rn1qk2r/1b1pbppp/p3pn2/1p6/3p4/2P2NP1/PP1NPPBP/R1BQR1K1 w kq -,c3d4
r1nq1rk1/pp3ppp/2n3b1/3pPNb1/3P4/2N1B3/PP1QB1PP/R4RK1 b - -,g5e3
8/b7/4p1k1/1p1pP2p/p2P1K2/P1B3P1/1P6/8 w - -,g3g4
r2q1r1k/1pp1n1pp/p1pb1p2/8/2Q1P3/4BN2/PPP2PPP/R4RK1 w - -,f3d4
8/1pb2pk1/p2rp2p/3p4/P2P2P1/2P2RP1/K1P1B1P1/8 w - -,a2b3
2rq1rk1/1p1nbppp/p1n1p3/3p3b/3P1B2/P1N1PN1P/1P2BPP1/2RQ1RK1 w - -,f3e1
5r2/pb2qpk1/5npp/2pp4/1r6/1P1B2NP/P1P2PP1/3RR1K1 w - -,e1e7
6rk/5p1n/q7/2pP1N1p/1p6/3B3P/1P3QP1/4R1K1 b - -,a6d3
2rn1k1r/1p2npp1/4p2p/p1PpP2P/b7/P1PBBN1R/5PP1/1R2K3 b - -,f7f5
3b4/5k1p/2pB1p2/2PB1P1K/pp1P4/7P/P7/8 b - -,c6d5
rnbq1rk1/pp3pp1/7p/2pp4/3Pn3/P1B1PN2/1PQ2PPP/R3KB1R b KQ -,c8f5
2r2rk1/p3ppbp/1p4p1/2n1B3/2P1N3/5B2/PP1R1PPP/3R2K1 b - -,g7e5
4R3/8/7P/6r1/8/8/4p2K/4k3 b - -,e1f2
3N4/8/3p2pk/2pP4/1p1n2p1/1P2q3/6bP/5Q1K w - -,h1g2
8/1R6/2P4p/k4P2/7P/PN6/K7/5rr1 b - -,a5a6
4r1q1/p5k1/n4pp1/1p1QB1N1/1PpP2p1/2n5/7P/R5K1 w - -,d5b7
r2r2k1/pb2qpbp/2p3p1/4p1B1/2NnP1n1/2NB4/1PP2PPP/R1Q2RK1 b - -,f7f6
1r2r1k1/1bqn1pbp/2pp1np1/1p2p3/3PP3/1P3NNP/1BPQ1PP1/3RRBK1 w - -,b2a3
r7/8/2Pp2p1/4Ppk1/1P1n3p/8/2R2KPP/8 w - -,e5d6
nr3rk1/1pqbppbp/p2p1np1/2p5/P1PP4/1P1NP1P1/1B2NPBP/R2Q1RK1 w - -,a1c1
r3r1k1/p4ppp/Rp2q3/2ppN3/3Pn3/1P1QP1P1/5P1P/5RK1 b - -,f7f6
r3k2r/p1q2pp1/2pb1n1p/n4b2/8/2PN3P/PP2BPP1/RNBQK2R w KQkq -,b1d2
5rk1/p4p2/2R3p1/6qn/2B5/1P2PpP1/PQ5P/6K1 b - -,g5e3
8/6p1/7p/5B1P/3k2P1/4p3/4R1K1/r3b3 w - -,f5g6
rn1qrbk1/3p1ppp/3P4/NppQ4/8/2P1BP2/1P3KPP/R4B1R b - -,a8a5
3B4/5p1p/6k1/3p2p1/3P2P1/3BPb1P/4nP1K/8 b - -,g6h6
8/1p1bk1p1/p3p3/P1PpPpNr/3P1K2/4P1PR/8/8 b - -,h5h3
rnbqkb1r/ppp2p1p/5pp1/3P4/8/1P6/P2PPPPP/RN1QKBNR b KQkq -,d8d5
r1b1k2r/1p3ppp/pbnpp3/8/2P1P3/3B4/PPN2PPP/RN3RK1 w kq -,b1c3
3r2k1/p4ppp/1p1rb3/2b1q3/2nNP3/P1Q2PP1/R3NKBP/3R4 w - -,f3f4
8/3P1k2/6pQ/1p3p2/4P1qb/2P5/r5P1/1R5K w - -,h6h7
r2qk2r/1b1nppbp/p1np2p1/1p1N2P1/4P3/1N2B1QP/PPP2P2/2KR1B1R w kq -,c1b1
r4rk1/pppq1pbp/2np1np1/4P3/2PPP3/2N3P1/PP4KP/R1BQNR2 b - -,d6e5
3r4/6k1/1r2npp1/R3p3/1pR1P1p1/1P4N1/P5P1/6K1 w - -,g3f1
r1b2rk1/ppnnqppp/3p4/2pPp3/P1P1PP2/1PN3PB/3QN2P/R4RK1 b - a3,c7a6
8/6p1/p2r1pk1/1nR4p/4K2P/6P1/8/2B5 b - -,d6d4
r4rk1/1bqnbppp/pp1ppn2/8/P2NPP2/2NB4/1PP3PP/R1B1QR1K w - -,e1g3
6k1/7p/2pb2p1/1p1n1pP1/qP1PpP1P/4P3/r2B4/1R1QKB2 w - -,d1c1
2b2r1k/3q1p2/1pNp1Ppp/2nP4/4P3/3B2Q1/6PP/5R1K w - -,d3c2
3k4/R7/8/pr4p1/6Kp/7P/6P1/8 b - -,d8c8
r4rk1/3p2pp/1p2p3/p1n2P2/2P5/PP1p1KP1/2B2P1P/3RR3 w - -,c2d3
5rk1/1pp1qppp/B1n1b3/3rP3/8/P1Q2N1P/1P3PP1/2R1R1K1 b - -,c6e5
r1b1k2r/1p3pbp/1qpNp1p1/3n2P1/p6P/3P1PN1/PPBBQ3/2KR3R b kq -,e8f8
r2qk2r/ppp1bppp/2npb3/8/5B2/2P2N2/PPPQ1PPP/2KR1B1R b kq -,e6a2:d8d7
2r1q3/p5k1/bp3p1p/5rp1/PRpPp3/2P1PPB1/4Q1PP/3R2K1 b - -,e8e6
1rr3k1/p2n1ppp/3Qpn2/2Pp4/8/2NqP3/PP3PPP/R1BR2K1 b - -,d3c4
r4r1k/pp4pp/2pN4/2q1PnN1/2P5/3Q3b/P5P1/R4R1K b - -,c5e3
r3nk2/1p2rp1p/p3b1p1/3p4/3P4/2N1R1PP/PP3PB1/2R3K1 b - -,e7c7
8/5k1p/1N6/4PR2/p2Pn3/8/Pnr4P/6BK b - -,f7g6
r1b3k1/1p3pb1/p5pp/4p3/8/1PPn1B2/PBN2PPP/R5K1 w - -,b2a3
r4bk1/p1q3pp/4pp2/R1n5/2P5/2B3P1/3NPP1P/Q5K1 w - -,c3d4
r4rk1/ppp3pp/3b4/3PP3/8/8/PPP3PP/R1B1R1K1 b - -,a8e8
r2q1rk1/1b2bppp/p7/1ppnN3/8/1NPP4/PP3PPP/R1BQR1K1 w - c6,c1d2
8/5R2/1p2p1n1/8/P3Npk1/7p/1PP4r/4K3 b - -,h2c2
2r3k1/7p/6b1/3R1p2/PP2pP2/6R1/7P/r4BK1 w - -,d5c5
2k4r/pppb2pp/5p2/3Q4/3P4/2N2P2/PPP3Pq/2K1R3 b - -,h2g2
r2r2k1/1p3pb1/6pp/1PPp4/1QnPp2q/4BP1P/2R1NPK1/3R4 w - -,f3f4
2kr3r/pp2qp2/4b2p/2PpP1p1/n7/P2B2P1/1PQN1PP1/2KR3R b - -,e7c5
4k2r/1br1bp2/pq4p1/1pN1R1Qp/1Pp1P3/P5P1/2P3BP/R5K1 b k -,e8f8
8/4kBp1/2p4p/p3qP2/n5P1/5P1P/3Q2K1/8 b - -,e7f7
2q1rr1k/1p4pp/pP1b1nb1/P1p1ppB1/2Pp4/3P1BPP/4PP1K/1R1QNR2 w - -,e2e3
1k2rR2/3q3p/pp1p2pQ/2p5/P2n4/1P1R3P/4r1P1/7K b - -,e2e1
6k1/p4p2/6pp/2b5/B1br3P/PP1p1QP1/3R1P2/4rNK1 b - -,c4d5
4nrk1/q4ppp/r1p1p3/p1QPP3/N4P2/8/PP4PP/R4R1K b - -,c6d5
4Rr1k/1n4bp/pp3p2/2q3p1/2p3Q1/P1Pn1NB1/2B3PP/5R1K b - -,f8e8
5qk1/1pp5/r2P1b1p/2n2RnP/p1P1p1Q1/P7/1PK1B3/1R6 b - -,f8d6
5k2/5p2/1p1p1b1p/p2B2p1/P2p1P2/1P6/2P2KPP/8 w - -,f4f5
3r3k/4Npb1/4b1Pp/ppR1p3/4P3/1P4N1/P2r1P2/5RK1 w - -,g6f7
r3k2r/3n1pb1/p3p2p/1qpp2p1/N2P4/3QPNP1/PP3PP1/R4RK1 w kq -,d3b5
6k1/1r3p2/3p2pb/4p3/1p2P3/2r3P1/P4PK1/3RNR2 w - -,d1d6
r2qk2r/np1b1ppp/4p3/3pP3/1b1P4/pP1BNN2/P1R2PPP/2RQ2K1 b kq -,a7c6
2rr2k1/1b5p/1ppbppp1/8/3PB3/5N1P/PP3PP1/2RR2K1 w - -,a2a3
r4rk1/ppp2p1p/3p2p1/4n3/4P3/2P2PP1/PP4K1/R1B1R3 b - -,e5d3
r1b2rk1/pp3p1p/2q3p1/3PB3/8/P1n2Q2/2P2PPP/R3R1K1 b - -,c3d5
r4rk1/pp1nqbpp/2p5/4pp2/2PPn3/3NPNP1/P1Q2PBP/R4RK1 b - -,e5d4
8/2r2p2/6kp/3B4/6KP/8/8/5R2 w - -,h4h5
3q1rk1/p4ppp/1p2p3/n2nQ3/5P2/1PB3P1/P1rN1PBP/1R3RK1 b - -,d5c3
r2qk2r/bpp1nppp/p1np4/4pb2/1PP5/P1NPP1P1/4NPBP/R1BQK2R b KQkq b3,d8d7
r3kb1r/ppp1pppp/2nq1n2/8/2pP2b1/4PN2/PP1NBPPP/R1BQK2R w KQkq -,d2c4
1r3rk1/pp2qppp/b3p3/4b3/3N4/4QBN1/PPR2P1P/3R2K1 b - -,e7f6
r1b1kb1r/1p3ppp/p1n1pn2/2P5/2p5/5NP1/PP1NPPBP/R1BR2K1 b kq -,c4c3
r2q1rk1/2p2pbp/p1pp2p1/3P4/2P2B2/6P1/PP2PPbP/2RQ1RK1 w - -,g1g2
1r4k1/3n2pp/1p1Pp3/P3B3/3RbP2/1R6/2rN2KP/8 w - -,g2g3
r1bqkb1r/3p1pp1/p1p1pn1p/6B1/4P3/2NB4/PPP2PPP/R2QK2R w KQkq -,g5h4
rnq2rk1/5ppp/p3p3/QB1n1b2/3R4/2P2N1P/PP1B1PP1/4K2R b K -,c8c5
8/p3k1p1/1pp1p1Bp/2n1P3/n1P5/P4P1P/2PK1B2/8 b - -,c5d7
6k1/5pb1/2p3pp/p1r5/2p1R1P1/4P2P/P1P1NP2/7K w - -,a2a4
N1k3nr/B2b2b1/1p2n1pp/5p2/2P1p3/6P1/PP2PPBP/2KR3R b - -,d7c6
2r2k1b/2B5/5p2/4pPp1/1p2B3/1P6/P4P2/1K6 w - -,c7d6
r1bqk2r/pppnppb1/3p1npp/6B1/3PP3/5N2/PPPN1PPP/R2QKB1R w KQkq -,g5h4
2r1qrk1/p7/1p1Qpp1p/6p1/2bRP3/P4P2/1P2NRPP/6K1 w - -,h2h3
r1b2rk1/2qn3p/pp1p2pb/3Ppp2/1PP5/2NB1PP1/P3QB1P/1R3RK1 w - -,b1b2
8/8/p7/7p/1kN3b1/1P4K1/P5P1/8 b - -,g4e2
r3bq2/1pb4k/2p1p1pp/p3Pp1P/2P2B2/P3Q1P1/1PB2PK1/3R4 w - f6,e5f6
R7/8/3npkpp/8/4K1PP/8/8/8 w - -,e4f3
r1bqr1k1/pp3pbp/2p3p1/3n4/3N4/BP4P1/P2QPPBP/3R1RK1 w - -,e2e4
r1bqkb1r/pppnpppp/8/8/3P4/4Bp2/PPP3PP/R2QKBNR w KQkq -,g1f3
r3rnk1/1p3q1p/p3p1p1/3p4/3N1PP1/1PPPR3/7P/4QRK1 b - -,a8c8
r3qrk1/1p1b1pb1/n2p3p/p1npp1pP/2P1P1P1/1NN1B3/PP2BP2/R2QK1R1 w Q -,b3c5
8/8/8/1pK5/kPbQ4/8/8/8 w - -,d4c4
6k1/1bq3pp/r3pp2/8/2p2PN1/2B4P/1P1QB1P1/6K1 w - -,d2d4
3n4/8/1k6/7R/1K6/P7/8/8 w - -,h5h6
2b3r1/2p2pk1/2Pp1n2/r2PpPq1/pp2P2p/5R1P/1P3NB1/R3Q2K b - -,g7f8
8/5p2/2r1p1kp/R7/4p3/6P1/5PKP/8 w - -,h2h4
3r1r1k/1pp1qpp1/2n1p2p/p1b1P2P/2P3R1/PP3N2/1Q2NPP1/R5K1 b - -,d8d3
1r2k2r/1p3ppp/2b1pq2/8/1bp1n3/4PN2/PPQN1PPP/R3KB1R w KQk -,e1c1
2br1r2/p5kp/1p1n1pp1/2qPp2P/2p1P3/2P3N1/P1BQ1PPK/2RR4 w - -,d1h1
1r1q2k1/2n1rpbp/2Pp1np1/1pp5/4P3/2NQN2P/1P3PP1/R1B2RK1 b - -,c5c4
r1b2rk1/pp1q1pbp/n2p2p1/1N1Pp1B1/1P2P2P/5PnN/P2QB1P1/2R1K2R w K -,h1g1
r2r2k1/p4ppb/B1pB1b1p/3p3P/6P1/RnN1PP2/1P6/4K1NR w K -,a6b7
r1bqk2r/ppp3pp/2np1n2/4pp2/2P5/2N1P1P1/PP1P1PBP/R1BQK2R w KQkq -,e1g1
3r2k1/1p2p2p/2p1Pbp1/p7/8/PR2P1B1/5PP1/6K1 w - -,g3c7
rq2k1nr/1b1nBpp1/p1p1p2p/1p2P3/P2PN3/1Q3N2/4BPPP/R4RK1 b kq -,g8e7
r3r1k1/pp1n1pp1/2p4p/3p4/2nPP3/P1PK1PB1/4N1PP/R3R3 b - -,d7b6
r1bqkb1r/1p3ppp/p3p3/2Ppn3/8/2N1B1Q1/PPP2PPP/R3KB1R b KQkq -,e5c6
rnbqkbnr/ppp3pp/3p4/4pp2/3P4/5NP1/PPP1PPBP/RNBQK2R b KQkq d3,e5e4
1r2r1k1/1p3ppp/2nq2n1/p1p2b2/2Pp4/P2P1NP1/1PQB1PBP/R3R1K1 w - a6,a3a4
2r3k1/4qp2/2p1p1p1/1nP3p1/p7/P3QBP1/1P1R1PKP/8 w - -,f3d1
r5k1/p2p1pb1/np4p1/1N2r2p/1P6/P3BqP1/3Q1P1P/2RR2K1 w - -,b5d4
r1bqkb1r/pppp1ppp/2n2n2/1B2p3/8/1P2P3/PBPP1PPP/RN1QK1NR b KQkq -,d8e7:f8d6:d7d6
2r2b2/5knQ/p4Bp1/1p3bP1/8/2P2P2/1P1K3P/1q1R3R b - -,b1d3
4n3/N2k1ppp/1p2p3/4B3/1b6/1P1KP1P1/P4P1P/8 b - -,f7f6
2rqr3/1p1nbpk1/p3p1p1/2pnP1B1/2P1Q2P/3B1N2/PP3PP1/3RR1K1 b - -,d5b4
8/8/3Q4/2pPp3/2P5/8/3q1K1k/8 w - -,f2f1
8/1p6/4k3/p1pN3p/1PP2K2/P7/2b5/8 b - -,c5b4
8/6k1/r5Pp/5p2/pR6/P2K4/1P4P1/8 w - -,d3e3
1q1rk3/p4p2/1pnRpQ2/3bP3/8/8/PP3PPP/5BK1 w - -,f6h8
r1b3k1/pp2b1pp/2p5/8/3PN3/4Br2/PP3P1P/2KR3R w - -,d1g1
r3k2r/p1qbbp2/1p1npnpp/3pN3/2PP1PP1/PP1B1Q2/1B1N3P/4RRK1 b kq c3,c7b7
5rk1/1pn1r1bp/3p1pp1/P1pP4/1p2PP2/1P2B1PB/7P/R3R1K1 w - -,e3f2
1qrrb1k1/1p1n1ppp/3Qp3/1P6/2P5/2N3P1/4PPBP/2RR2K1 b - -,b8d6
6k1/6pp/3b4/p2npp2/1p6/3NPPP1/PP5P/4BK2 w - -,e3e4
