8/8/5kp1/1p5p/1P2KP2/4N1PP/4b3/8 b - -,f6e6
r4rk1/1pn1qpBp/6p1/2pP4/p3p3/PP2P1P1/R2PR1BP/3Q2K1 b - -,g8g7
r2qk2r/pp1n1ppp/2pbpnb1/8/2PP3N/2N1B3/PP2BPPP/R2Q1RK1 w kq -,g2g3
r2qr1k1/1p1nbppp/2pn4/p3p3/P3PP2/4NBPP/1PP1Q3/R1B2RK1 b - -,d8c7
8/5n2/1pp5/5p1P/p2P4/k1PKBp2/8/8 w - -,c3c4
r2qk2r/pb2nppp/1p2pb2/3pn3/2PP4/1P1B4/PB1N1PPP/R2QR1K1 w kq -,d4e5
r1r5/4k2p/p1b1p3/1pRnBpp1/3P4/1P2PB1P/1P1K1PP1/2R5 b - -,e7d7
1r1k4/3p1ppp/3Npn2/1p6/8/6P1/PP2PPKP/3R4 b - -,d8e7
r3r1k1/2qbbppn/1pp3np/p3p3/2P1P3/P4NBP/1PQ1NPP1/2RR1BK1 b - -,h7g5
2r1brk1/pp2b1pp/4p3/q1NpPp2/3B1P2/P4R2/QP1N2PP/R5K1 b - -,e7c5
r1b1k2r/bpp1q1pp/p2p1n2/P3p3/2Q1P3/1N3N2/1PP2PPP/R1B2RK1 w kq -,c1g5
2rrb1k1/1pq1bppp/p3pn2/2np4/PB1N4/1PP3P1/2QNPPBP/2RR2K1 w - -,c2b1
r3k2r/pp3p2/5q1p/2Pp1bp1/1b6/P1n3B1/1P1QPPPP/R3KBNR b KQkq -,b4a5
7R/8/p1pPkB2/1pP2b2/1P6/3r1p2/5K2/8 w - -,f6g5
r1bqk2r/1p1n2pp/p1p1pp2/3pP3/1bPP4/P1N2N2/1P1Q1PPP/3RKB1R b Kkq -,b4a5
2r2qrk/1ppn1ppn/3p3p/pPbPpP2/2P1P1RB/P4P1P/2N3RK/2QB4 w - -,h4e1
r1b1k2r/pp1np2p/3p1np1/q1pP1p2/2P5/2P2PP1/P1Q1P1BP/R1B1K1NR w KQkq -,c2b3
r3rk2/2p2ppp/8/3RP3/p2NbP2/8/1RP2KPP/8 w - -,d5c5
2rr2k1/p6p/b5p1/4Np2/8/2B4P/PPP2KP1/1R6 w - -,f2e3
2k5/p4p2/2p3pr/4P2p/1R1Nb3/6P1/1P3PP1/6K1 w - -,d4b3
r6r/1p1kbpQ1/q3p3/3pP2p/p2n4/P1N5/1P1B1PPP/R2R2K1 b - -,d4f5
3r4/3q1ppk/p3bn1p/1pb1p3/2p1P3/P1PrNPNP/1P2Q1PK/R1B1R3 w - -,g3h1
r2qnrk1/4b1pp/pp6/2pPpp2/2P5/3QBP2/PP2B1PP/4RRK1 w - -,e2d1
r2q1rk1/pb2bppp/1p2p3/n2n2N1/2BP4/P4N2/1P2QPPP/R1BR2K1 w - -,c4d3
r2q1rk1/3b1ppp/p1nQpb2/1p6/4P3/1NN5/PPP1BPPP/1K1R3R b - -,a8a7
8/4k2p/p4p1B/5Pp1/7P/1P6/6P1/2b3K1 w - -,g1f2
4r1k1/pp1b1ppp/6q1/3p4/3QnP2/PP2P2P/1B2B3/3RR2K b - -,e4g3
2r2bk1/1p3qp1/3pb3/4p3/4Pn1p/2N2P2/PP3Q2/1KNR1B2 b - -,f8e7
2kr3r/1pqb2b1/4Q1p1/1p1p1p1p/P2P4/B1P2N1R/6PP/4R2K w - -,e6g6
8/3n1k2/p2p2p1/B1pP4/2P1pPP1/8/P4K2/8 b - -,d7f6
8/6K1/1Bk3P1/P2n4/6r1/3R4/8/8 w - -,b6d8
2N5/3k2p1/5pp1/2PKp3/1n5P/6P1/5P2/8 w - -,d5c4
2k5/1b6/p2n1p2/R1p1r1pp/2Pp4/N6P/1P1N1PPK/8 b - -,c8c7
8/7p/1k3p2/p2P2p1/2K1P1P1/7P/8/8 b - -,h7h6
r2qk2r/1pp2ppp/pb1p4/4p2n/4P2n/1BPP2QP/PP3PP1/R1BR1NK1 w kq -,g3g4
6k1/1p3p1p/8/p7/P3P3/5RPb/8/2R1KBrr w - -,e1e2
3R4/r4p1p/1p2pkp1/8/PP6/3B3P/1r3PP1/1R4K1 b - -,b2b1
r1b2rk1/pp3pbp/1q4p1/4p3/8/1NP1PB2/PP4PP/R2QR1K1 b - -,a7a5
r2qk2r/ppp1bppp/2n2n2/4p3/4P1b1/2P2NP1/PP1N1PBP/R1BQ1RK1 b kq -,d8d3
r1bqr1k1/1p1n1pbp/p2p1np1/2pP4/P3PP2/2N5/1P1NB1PP/R1BQ1RK1 b - f3,a8b8:d8a5:c5c4
r1bq1rk1/pp1n2pp/2n1pb2/2pp4/3P1P2/2NBBN2/PPPQ2PP/R3K2R w KQ -,d3b5:d3e2
rn1qkbnr/ppp2ppp/4p3/3p4/2P5/4PQ2/PP1P1PPP/RNB1KB1R w KQkq -,c4d5
2kr3r/1p4pp/pnpn1p2/3p1b2/1P1P4/2N1PP2/1P1N2PP/R3KB1R w KQ -,h2h4
5k2/pppb1r2/3p3p/3P2p1/2B5/6P1/PP3P2/4R1K1 w - -,g1g2
2q5/3r2kp/2Qn2p1/1ppP1pB1/3b3P/5BP1/P3RPK1/8 w - -,e2e6
2k5/1p6/PKp5/2P2p1p/b2P3P/6P1/3B4/8 b - -,b7a6
r4k1r/ppq1npp1/3b3p/1B6/8/2P5/P4PPP/R1BQR1K1 w - -,d1f3
r1bqkb1r/1p1pnp1p/p1n1p1p1/8/2PNP3/2N1B3/PP3PPP/R2QKB1R w KQkq -,f1e2
r3r2k/1p4bp/2pp2p1/p1n5/2P4q/P1N4P/1P1B2B1/1R3QK1 b - -,e8f8
r1br2k1/pp2bppp/2nqpn2/6B1/3P4/2N2N2/PP1QBPPP/R2R2K1 b - -,b7b6
r2r2k1/ppqnppbp/1np1b1p1/4N3/3P1P2/2N3PP/PPP1QBB1/2KR3R b - -,b6d5
r3k2r/1bq2pp1/p1nppn2/1pb4p/4PB2/P2B1N1P/1PP1NPP1/R2Q1RK1 w kq -,b2b4
r3r1k1/5ppp/pqb2n2/2p1p3/4P3/P1N2N1P/1P2QPP1/R4RK1 w - -,f1d1
8/8/3b4/5p2/R5p1/3r2P1/1k2NK2/8 w - -,a4a5
b2q1rk1/p2r1pbp/Bp2p1p1/2n5/8/BPN1P2P/P3QPP1/2R2RK1 w - -,a6b5
r4rk1/1p2bpnp/1qp1p1p1/p3R3/2PNnP2/BP1P2P1/P2Q1PBP/R5K1 w - -,e5e4
r2qk2r/1b1nppbp/p2p1npB/1pp5/3PP3/2N2PP1/PPPQN1BP/R3K2R b KQkq -,g7h6
r6r/1pq1kpp1/pn2p2p/4P2P/1PbN4/3B2Q1/2P2PP1/R3R1K1 b - -,h8d8
r5k1/p2r3p/B3p1p1/B2b1pP1/PP1P3n/2R2P2/5K1P/3R4 b - -,f5f4
2n5/5k2/1p2p3/1P1pPp2/3P1P2/1K6/4N3/3Nb3 w - -,d1e3
6k1/3R3p/3N4/3Pp3/4PbP1/3K1r2/8/8 w - -,d3c4
8/6k1/8/2n2p2/5P2/p2NK3/2r5/7R w - -,h1a1
R4Rbk/4n3/6p1/7p/1P5P/5P2/6PK/2r5 w - -,f8e8
r1bq2rk/pp3n1p/2p1p2b/3p1p2/2PPP1n1/1P1B2Q1/PB1N2PP/R3RNK1 w - -,e4d5
7r/pp4kp/2p5/3npp2/5rPQ/2P1P2R/q4PKP/3R4 w - -,e3f4
rr4k1/2qbppbp/3p2p1/2pP4/P3P3/1P3P2/3BB1PP/1R1Q1RK1 b - -,d7c8
2r3b1/pp4rk/1q2p2p/3pN3/3P1Pp1/P3R2P/1P1R3K/4Q3 b - -,g8f7
8/6p1/2p5/3p4/3P1k1K/Qp6/p7/8 b - -,g7g5
1nr2r1k/6pp/1pn1pq2/p2p4/P2P1P2/3BB3/1P3QPP/3RR1K1 b - -,c6e7
k4b2/1pn5/p1pq2p1/2Nn1p2/2Q5/P3PB2/1P3P2/1KB5 w - -,c5d3
2r2rk1/1pqb1ppp/p7/4p3/1b6/2NRQP2/PPP1N1PP/2KR4 b - -,d7e6
8/R5p1/7p/4k1r1/6P1/5K2/8/8 w - -,a7a6
8/R3n2B/4k1pb/2p5/2P5/8/PPK5/8 b - -,h6f4
r4rk1/1bq1bppp/p2ppn2/8/1n2PP2/1NNB2Q1/1PP3PP/R1B2R1K b - -,g8h8
r2qk2r/pp1nbppp/2p1pn2/3p1b2/5P2/1P2PN2/PBPPB1PP/RN1Q1RK1 w kq -,a2a4
3rr1k1/p2qbpp1/1p2b2p/8/3pN2P/P2Q2P1/1PP2PB1/3RR1K1 b - -,d7c7
r1b1k2r/1pqpbpp1/p1n1pn1p/8/2PNP3/P1N5/1P2BPPP/R1BQ1RK1 w kq -,c1e3
rnbqk1nr/pp2ppbp/3p2p1/2p5/4P3/2NPB3/PPP2PPP/R2QKBNR w KQkq -,d1d2
1rq2rk1/R4ppp/8/1ppPp3/8/1P1PQ2P/2P2RP1/6K1 b - -,c5c4
r3k2r/p1ppq1bp/b1p3p1/4Pp2/2P1nP2/1P3Q2/P3B1PP/RNB1K2R w KQkq f6,b1d2
2rq1rk1/5pbp/p1n1p1p1/1pnp4/3P4/1P2P1P1/PB2QPBP/R1R3K1 w - -,c1c5
2n3q1/3b1k2/1p1p4/3P1p1n/1P2PB2/3B4/7Q/4N1K1 w - -,e1g2
3r4/1k3ppp/2b1n3/1p2p1PP/1P2P3/P3BP2/1K1R4/3B4 w - -,d2d8
5rk1/R4p2/4b1p1/2ppb2p/2p5/8/P1q1NQPP/4R1K1 w - -,f2c5
2rq1rk1/p2bppbp/1p1p1np1/n7/2P1P3/1PN1BP2/P1NQB1PP/R4RK1 b - -,d8c7
6k1/5ppp/pb6/4pb2/P7/5PP1/3BK2P/4N3 b - -,a6a5
r2qkb1r/p2npppp/2pp4/2p5/4P1b1/3P1N2/PPPN1PPP/R1BQ1RK1 w kq -,c2c3
2R5/8/3K4/8/5k2/7p/8/8 w - -,c8c3
2r2rk1/2qnbppp/p2p4/Pp1N4/1P1RP3/1B1R1Q1P/5PP1/6K1 b - -,d7e5
2r3k1/1b2bppp/p6r/2Pp4/3B4/N4Q2/PP3KPq/2RR1B2 b - -,h6e6
1rr3k1/3n1pbp/p2pp1p1/qp6/2PB4/1P2PB1P/P3QPP1/2RR2K1 b - -,b5c4
6k1/5p2/p2rnp1p/1pb5/6pP/2B3P1/RPP1RPK1/2r1N3 b - -,b5b4
3r1k2/p4p2/2p1b1rp/8/2pPP2R/2P3N1/P6P/2K1R3 b - -,c6c5
r1bq1rk1/pp2ppbp/2n2np1/2p5/4PP2/2NB1N2/PPP3PP/R1BQ1R1K w - -,e4e5
r1bq1rk1/pp3ppp/2n1pb2/3n4/3P4/2N2N2/PPB2PPP/R1BQ1RK1 w - -,d1d3
r1b1k2r/ppp2ppp/4q1n1/3pP3/1P1n1P2/2PQ4/P3B1PP/RN3RK1 w kq -,c3d4
5r2/Q1k1n2R/3qBb2/5P2/8/4p3/PPP5/2K5 b - -,c7c6
8/2p3k1/1p1b2pp/p1pPpr2/P1P1N3/1P2R1P1/5PKP/8 w - -,e3f3
r4r1k/1b2qp1p/p2p2p1/1pp1p2Q/4P2N/1PPP4/1P3PPP/R4RK1 w - -,h5h6
6rk/1p1b3p/p1p1pq1b/2Pp1p2/PP1P1N2/3BP2P/2Q3P1/5RK1 w - -,f1f3
rnbq1rk1/pp2bppp/2p1pn2/3p4/2PP1N2/P1N1P3/1PQ2PPP/R1B1KB1R b KQ -,b8d7
r5k1/1qpn2bp/1p1p1np1/4p3/1PP1P3/2B2NP1/2QN1PKP/R7 w - -,a1a8
rn1qkb1r/pb2pppp/1p3n2/2pp4/2P5/3P1NP1/PP2PPBP/RNBQ1RK1 b kq c3,e7e6
4rbk1/1q1n1p1p/pprp2p1/3Qp3/2P1P1N1/1P3PP1/PB4KP/2RR4 w - -,d5d2
2r2rk1/1b2pp1p/pn4p1/3P4/1p2P3/5P1N/Pb2B1PP/1N1RK2R w K -,h3f2
8/8/pkp5/8/1K1P4/1P4N1/P5b1/8 w - -,a2a4
r1bq1rk1/pp3pbp/4pnp1/3pn3/3P1B2/2N3P1/PP2PPBP/R2Q1RK1 w - -,f4e5
8/2rk3p/2pb1pp1/1P6/3N2P1/7P/3R1PK1/8 b - -,c6c5
r1b1kb1r/1pq2ppp/p2p1n2/2n1pP2/4P3/3BBNQ1/P1PN2PP/1R3RK1 b kq -,b7b5
8/5P2/4k1BK/1p6/nP4b1/4B3/2p5/8 b - -,e6e7
2k4r/5p2/2p1p1p1/1pNpPn2/pP1P1q2/P1PR3p/2Q2P1P/2K5 w - -,c1b2
r1b1k2r/pp1nbppp/1qn1p3/3pP3/3P1P2/5NP1/PP5P/R1BQKBNR w KQkq -,f1h3
r3kb1r/1p3p1p/p5p1/3pN3/2nP4/8/PP1B1PPP/R3K2R w KQ -,b2b3
8/1p1k4/8/b2p2B1/3P2Kp/6pP/8/8 b - -,a5d8
8/K7/6Q1/8/8/6p1/4q3/6k1 b - -,e2e3
1n4r1/1bk5/1p3p1p/3p4/3PpP2/R1P1R1rP/1P4P1/5BK1 w - -,e3g3
8/8/2R1nk2/R5p1/8/1r3K2/6P1/8 w - -,f3e4
rn1q1rk1/ppp1bppp/4b3/3n4/3P4/2N2N2/PP2BPPP/R1BQK2R w KQ -,e1g1
6k1/1R3pb1/2B1b1p1/p1B1P2p/5P2/6PP/r6K/8 w - -,h2g1
rnbqk2r/ppp1bppp/3p4/6n1/3P4/3B1N2/PPP2PPP/RNBQ1RK1 b kq -,c8g4
2r2rk1/1p1nbppp/p2ppn2/q7/2PNP3/1PN5/PB1Q1PPP/R3R1K1 b - -,f8d8
2q2k2/6p1/6n1/p2B1pP1/5P2/P7/1R1K4/7R w - -,h1c1
8/3n4/1p1kbpn1/p1p3pN/N1P1P1P1/PP2KP2/8/5B2 w - -,f1e2
4rrk1/2p2qpp/R2b4/1p1p4/2n5/1BPQ2P1/1P3P1P/2B2RK1 w - -,b3c2
3r2k1/pbq2p2/1pn1p1p1/2p4p/2PrPP1P/1R1PRNP1/P5BK/4Q3 b - -,d4d7
2br1rk1/4qppp/1p2p3/p7/2P3Q1/PP1B3P/5PP1/R2R2K1 w - -,g4h5
r1bqr1k1/1p3pp1/2p1pn1p/p3n3/PbpPPB2/2N3P1/1PQ2PBP/R2R2K1 w - -,f4e5
8/4kp2/8/2p1p3/r1Pr2n1/P3R2R/2KN3P/8 w - -,e3e2
r5k1/2pn2p1/2n1q3/1p1pp1P1/1P6/P2PP3/Q5B1/2KRB3 b - -,c6e7
r3r1k1/5pp1/p1n1q3/1ppnp3/3pR3/2PP1Q1P/PPBB1PP1/R5K1 b - -,d5f6
r4rk1/1p2ppbp/1qp1bnp1/p7/P2PP3/BP1Q2P1/4NPBP/R4RK1 b - -,b6b3
r1bqrbk1/pppn2pp/2p2p2/4p3/1PN1P3/3P1N2/P1PB1PPP/R2Q1RK1 w - -,a2a4
3r1r2/pp2qpkp/1np1b1p1/4p3/3n4/1PNP1NPP/P2QPPBK/2R2R2 b - -,e6c8
5r1k/6b1/3p2p1/2pPp1Pp/1p2P2P/pP2B1Rq/P4P1K/8 w - -,h2h3
r1bqr1k1/pp3ppp/2n1pn2/2b5/2Pp4/NP3NP1/PB1P1PBP/R2QR1K1 w - -,d2d3
8/3kp3/1r4b1/2pPK1Pp/2P4P/1P4R1/8/8 b - -,b6a6
r7/6p1/7k/8/p7/R2K4/8/8 b - -,g7g5
6k1/p4p1p/6p1/3rn3/3p4/P2B3P/1P3PP1/3R1K2 w - -,f1e2
r1bq1rk1/p3ppbp/2pp1np1/8/4P3/2N1BB2/PPP2PPP/R2Q1RK1 b - -,f6d7
r3k2r/pp2bpp1/2p1pn1p/7P/3PQB2/5N2/PPP2PP1/1K1R3R b kq -,f6e4
r2r2k1/ppp2ppp/4b3/3nq3/6P1/P6P/1P1BPPB1/R1Q1K2R w KQ -,e2e4
8/8/2n1k1p1/2B1p3/2b1P2P/4KP1N/8/8 b - -,c4b5
r2qk2r/pp1n1ppp/2p1pn2/2Pp1bB1/3P4/P1Q1PP2/1P4PP/R3KBNR w KQkq -,g1e2
8/2p5/3p1k1p/3P2p1/r1N1KPP1/3B2P1/8/8 b - -,a4b4
5rk1/2q2ppp/4pn2/p7/8/P1b1P1P1/Q4PBP/2B2RK1 w - -,a2c2
6k1/p1n2rb1/1p2b1pp/1Pp2p2/4p3/B3P1P1/Q2N1P1P/2R2BK1 b - -,e6a2
8/p1r1kp2/Qp1bpp1p/3p4/1P1N4/P2PP3/q4PPP/5RK1 b - -,d6b4
r1b1rbk1/pp1n1p1p/2q1p1p1/n2p4/N2P4/PP3NP1/3BPP1P/1R1QRBK1 b - -,b7b6
3r2k1/5pp1/6P1/1r6/3P2Q1/4P3/5P2/6K1 b - -,b5d5
r1r2bk1/1b3p1p/pn1p2p1/1p1Pp3/4P2N/1PP3P1/2BKNPPR/R7 w - -,a1h1
r4rk1/p1q2pbp/np4p1/2pPp1B1/4P3/2P1QN2/P4PPP/R4RK1 w - e6,e3e2
8/8/8/P1RK2p1/q4k2/8/8/8 b - -,a4d7
r3k1nr/pp1q1ppp/2p1p3/3p3b/1bPP4/2N3P1/PP2PPBP/R1BQK2R w KQkq -,d1b3
8/5n2/4k3/1Bp2p2/4p1p1/1P2P1P1/3K1P2/8 b - -,f7e5
r1n2rk1/q4p2/p2p1p1P/1p1P1b2/2nNRP1P/P7/1PP1Q1B1/1K5R b - -,f5e4
r1b2rk1/ppq1n1pp/2n1p3/3pPp2/3P4/P1P3QN/4BPPP/R1B1K2R b KQ -,c8d7
r3r1k1/p4pp1/2p2n1p/2n1pb2/2P5/2N1PN1P/P4PP1/R2R1BK1 w - -,d1d6
5r1k/6p1/2p1P2p/1bP2P2/1P2q3/2p4Q/r5PP/2R2R1K w - -,f1e1
5k2/B2n3p/4p1p1/2p5/P7/1PP4P/8/7K b - -,f8e7
4r1k1/6p1/4rp1p/P1p1B3/2N5/1P3bP1/R3nP1P/1R3K2 w - -,e5a1
8/8/2pk2B1/2n1r1p1/4P3/2K5/8/6R1 b - -,c5e6
2k5/ppp3p1/7p/5p2/1P3P2/P3K3/8/8 b - -,g7g5
4B3/1kp3p1/pp3p2/7p/5P1P/2P2b2/PPK2P2/8 b - -,c7c5
r2q1rk1/2p4p/bp1n2pb/p2Ppp2/P3P3/2NQ1P1P/1P2NBP1/R4RK1 w - -,c3b5
1r6/8/3k4/3n4/5p2/KP6/3R4/8 b - -,d6e5
2rn1r2/pp2n1kp/1q3bp1/4ppNb/1B1pP3/P2P2P1/QP3PBP/R3R1K1 w - -,h2h4
8/p7/4p3/1p4k1/1P1P3p/2r5/5K2/R7 w - -,a1a7
2r2r2/2qbk2n/p2p2p1/Pp1Pp3/1Q2P2p/3BB3/P4RPP/5RK1 w - -,b4d2
rnb2rk1/p4ppp/2p1pn2/2N5/1Pp1P3/4B1P1/P4PBP/R2R2K1 b - -,f6g4
3r3k/p2P2pp/8/1r2n3/8/6b1/P3B3/2BR1R1K b - -,b5b8
1r4k1/6p1/q1pp1bPp/4n2N/3BP3/1P2Q2R/r1P5/2K3R1 b - -,f6g5
r1b2bk1/p1p2r2/1nNp1qnp/3Pp1pB/4Pp2/7P/PPQB1PPN/2R2RK1 b - -,f7h7
q4rk1/3n1ppp/2bbpn2/1p1p4/3P4/1QP2NP1/1B1NPPBP/R5K1 b - -,a8b7
8/5k2/3R2p1/8/2B1p2P/4r3/5b1K/8 b - -,f7g7
8/8/kp2p2p/3pP1p1/3P2P1/n1N4P/3K4/8 w - -,c3e2
r4rk1/1p1b2pp/pq2p3/4P3/5Pn1/PP5Q/1B5P/2R3RK w - -,h3g4
3r1rk1/ppb1q1p1/2p2npp/2n1p3/2N1P3/2P1BQP1/PP3PBP/R3R1K1 w - -,e3c5
4rk2/p1p2p2/2pp4/6pN/3P4/2b5/P4PPP/R5K1 w - -,a1d1
1r3rk1/p1q1p2p/1npp1pp1/2p5/2P3Q1/P2P3P/1P1B1PP1/1R2R1K1 b - -,e7e5
8/pR3k1p/p1B2bp1/3Nr3/3r4/7P/3n1PP1/2R3K1 b - -,f7e6
5n2/3r3p/pR1p2k1/2pP3p/P6B/7P/1P4P1/7K w - -,h4g3
r1b1kbnr/pp3ppp/1qn1p3/3p4/3P1B2/2N1P3/PPQ2PPP/R3KBNR b KQkq -,c8d7
3r1rk1/pp2bppn/2p1p2p/3qP3/1P2NB1P/2P4R/P3QPP1/R4K2 b - -,f7f6
r1bq1rk1/pp1n2bp/3p4/2pP1p2/5PP1/2N1B3/PP2B1P1/R2Q1RK1 b - -,d7f6
K1k4R/P7/8/8/8/8/8/1r6 b - -,c8c7
r4k2/pp2bppp/2b1p3/4P3/6P1/P3B2P/1P3P2/2R2BK1 w - -,f1g2
1r4k1/2q1bppp/2p3n1/2PpP3/1P3pQ1/r1B2N1P/2P1RPP1/4R1K1 w - -,c3d2
8/5k2/1Q2b3/8/8/6K1/1pr5/8 b - -,c2c3
r2q1rk1/p1pn2pp/1p1pp3/5p2/2PP3P/P3PP2/1PQB1P2/2KR3R b - -,d8c8
3r2k1/5pp1/1pb3qp/4P3/2Bp4/1P3P2/5QPP/3R2K1 w - -,f2e2
2n3k1/1p4pp/4b3/4Pp2/Pp1P4/1P2BNP1/6KP/8 w - -,f3d2
8/1k3Q2/2pp4/4r2P/8/8/P2qBKP1/8 b - -,b7c8
1r5k/p4rp1/7p/8/N1p3Rn/P6P/1P3P1K/3R4 b - -,g7g5
2rqk2r/pbpnbppp/1p2pn2/8/3PNB2/P1NQ4/1PP2PPP/2KR1B1R w k -,d3f3
r7/3P2pp/1k3p2/4N3/8/B7/PP4PP/6K1 w - -,e5f7
2r2rk1/4pq2/3p1npR/p3p1Q1/Pp2P1P1/1P3P2/2P1N3/R3K3 b Q -,f6h7
2b5/5k1p/1R5P/nP1p1p2/3P1P2/4P1P1/1r2B3/5K2 b - -,a5c4
6k1/5r1p/1qP3p1/p7/3PQ3/5P2/2R2K2/8 b - -,b6c7
6k1/5p1p/1p2p1p1/8/2rb1P2/1nN3P1/1P2P1BP/3RK3 w - -,g2f3
3r1k2/R2P1ppp/pr6/8/8/P6P/5PP1/3R2K1 b - -,f8e7
4r3/pp2r1pk/2p1Pn1p/2N2P2/1P6/P5PP/8/4RRK1 b - -,h6h5
2Q5/6pp/5pk1/4p3/p3P3/Pp1q1P1P/1P4PK/8 b - -,d3c2
8/ppk3p1/2p1nn2/6qp/P1N1p3/1B4Pb/1PP2P2/4Q1K1 w - -,g1h2
2rr2k1/pbq2ppp/1p2p3/2Pn4/3P4/3B1N1P/P4PP1/2RQR1K1 b - -,c7e7
r3k2r/1b3pp1/pn2q3/1pppP3/3P1BQP/1P4P1/P5B1/R4RK1 w kq -,g4g7
2rq1rk1/1b2bppp/4p3/pp2P3/2pB1P2/2P1P3/P1Q1B1PP/R4RK1 b - -,d8c7
r1b2rk1/ppqnbppp/2p1pn2/3p4/2PP4/2NBPN2/PP3PPP/R1BQR1K1 w - -,d1e2
3r2k1/pp2rpbp/1q4p1/3pP3/3NbP2/P5PP/1P2R1B1/3QR1K1 b - f3,g8h8
