8/8/8/4k1Nb/6p1/4PP2/5K2/8 w - -,f3f4
3rk3/1p1b1p2/p1n5/2pR1PPB/4P3/2P5/P1P5/2K5 b - -,b7b6
r1bq1r1k/p1p5/1p1n3b/2pPp1N1/2P1Np2/2Q2P2/PP5P/2KR1BR1 b - -,d8e7
8/p2Bk2p/3p2p1/n4p2/1R6/6KP/r7/8 w - -,d7c8
rn1qkb1r/pb1ppp1p/1p4pn/2p1P3/2P5/2NB1N1P/PP1P1PP1/R1BQK2R w KQkq -,e1g1
8/3rqp1k/6p1/8/1p2P1Qp/1Pb2P2/3pr1PP/1R1R1N1K w - -,g2g3
r3rnk1/2p4p/pq4pB/1p1bNp2/3P1Q2/P7/1P3PPP/R3R1K1 b - -,f8e6
rn1q1rk1/4ppbp/p1pp2p1/1p3PBn/3PP3/P1NB1P1P/1PPQ4/R3K2R b KQ -,g7d4
r2q1rk1/pp2ppbp/2n2np1/5b2/NPB1PB2/P4P2/3N2PP/2RQK2R b K -,f6h5
2b1r1k1/2q2p1n/3p2p1/p1p4p/PpP1P2P/1P4b1/1B2B3/R2Q1R1K w - -,d1d3
6k1/1p6/p4b2/3Pp2p/6p1/PP6/2KN4/8 w - -,c2d3
8/2Q3p1/7p/8/3k3P/2p1q3/P5PK/8 w - -,c7d6
7R/1p1b2p1/p3p1k1/2p1P3/5P2/P5P1/1P4K1/8 w - -,g3g4
r2qk2r/pp2ppbp/2n3p1/3nP3/5Bb1/3B1N2/PP3PPP/RN1QR1K1 w kq -,f4g3
1r4k1/2q4n/3p4/3P1p1p/Rpp5/8/1b2B1PP/1Q3RK1 b - -,c4c3
6k1/3r3p/3q2p1/bp1P1p2/2b1pP2/4Q1P1/1PR3KP/2RN4 b - -,d6d5
6R1/8/8/5p2/7p/4p1k1/r5P1/5K2 b - -,g3h2
r1bq1rk1/1pp2p1p/p1np3p/4p1b1/1PBPP3/PQP2N2/3N1PPP/R3K2R w KQ -,a1d1
r2qk2r/pp1nppbp/2p2n2/3p1pB1/2PP4/4PN2/PP1N1PPP/R2Q1RK1 b kq c3,f6e4
r1bq1rk1/ppp1ppb1/2np2pp/1B5n/3PP2B/2P2N2/PP1N1PPP/R2Q1RK1 b - -,c8d7
k7/8/1K6/8/5b2/8/8/3R4 w - -,d1d3
2rq1rk1/pp1bppbp/2np1np1/6B1/2P1P3/2N5/PPN1BPPP/R2Q1RK1 w - -,a1c1
8/pp1k2pp/8/8/4R3/2P5/PP3KPP/3r4 b - -,d1d2
r1b2rk1/1pppqppp/2n2n2/p7/4P3/P1N5/1PPNQPPP/2KR1B1R b - -,d7d6
2n2r2/Rn2qppk/3p3p/2p1p3/4P3/2PPB2P/3N1PP1/3Q2K1 w - -,a7a6
3r4/1pq3k1/p2p2p1/3Bp3/4PnP1/2P1Q1K1/PP5r/7R w - -,h1h2
1r2r1k1/b3qpp1/6bp/1p2n3/2p1n3/P1N1P1P1/2N2P1P/1RRQB1KB b - -,e4c3
6r1/8/8/4R3/4B3/4K1k1/8/8 b - -,g8g7
r2qk2r/pppn1ppp/3b1n2/3pp3/8/NP2PB2/PBPP1PPP/R2Q1RK1 b kq -,c7c6
8/8/3k4/P2b2K1/5RP1/8/8/r7 w - -,f4f6
1q1r2n1/ppk3b1/7p/1bPp4/Q2Pp1B1/4P3/P2N1rP1/KR5R w - -,a4b5
4r2k/7p/p4q2/1p4p1/4p3/P1P2p1Q/1P1R3P/5K2 b - -,e4e3
5k2/8/5K1p/p3P3/8/1B5P/P6b/8 b - -,h2g3
2r5/1p3k1p/8/P4p2/1PP5/4B1PK/5P1P/8 w - -,c4c5
r2r2k1/1b3ppp/p3pn2/2b1N3/R7/6P1/1P2PPBP/2B2RK1 b - -,b7g2
8/1pR1rk2/1P1p3p/2pP4/1p2PK2/1P6/7P/8 w - -,f4f5
rnbq1rk1/pp3pb1/3p1npp/2pP4/4P3/2N1B3/PP1QBPPP/R3K1NR b KQ -,f8e8:g8h7
8/6p1/3kp2p/p4p2/P1B2P2/1P3KP1/7P/4b3 b - -,g7g5
6R1/8/3p3k/4b3/5r1K/6p1/8/8 w - -,h4h3
1n2k2r/r4p2/pp1ppR1p/2q5/2PN3P/4Q1P1/PP2P3/3R2K1 w k -,f6f5
r1bqkb1r/pp3ppp/2n2n2/8/3p4/2N3P1/PPP2PBP/R1BQK1NR w KQkq -,c3e2
8/8/8/3p1k2/3P4/1r1N4/3K4/8 b - -,b3a3
r1b2nk1/pp2bpp1/4p2p/4P3/2qr3P/P1N2N2/1PQ2PP1/RBB3K1 w - -,b2b3
r4rk1/1bqpbppp/p1n1p3/1p4Pn/3NP3/2N1BP2/PPPQ3P/1K1R1B1R w - -,c3e2
1rb2r2/p1q2pkp/2p2np1/3pp3/8/1PNB1P2/P1PQ2PP/R4RK1 b - -,f8e8
4b3/4kp2/4p1p1/6P1/pp1PPn2/5P2/1P1K4/2N2B2 b - -,e6e5
8/1r5p/5R2/1P2p3/PK2k2P/3r4/8/5R2 b - -,d3d4
4r1k1/p1b3pp/2p1brq1/3n1pP1/3Pp2P/1PN1P3/P4BQ1/2RB1RK1 b - -,f6f8
8/8/1pk3p1/p2p1p1p/P3rP1P/3KP1P1/R7/8 w - -,d3e2
rnbqkb1r/1p1pnppp/p3p3/2p5/4P1P1/2NPB3/PPP2P1P/R2QKBNR b KQkq -,e7g6
2rr1k2/pb3p2/1p1p1p1p/2n1p3/2PR4/P3PP1N/1PB3PP/2K4R w - -,d4h4
r1r3k1/4qpp1/4p2p/p1N1P3/PpQ5/2n2N2/5PPP/R3R1K1 b - -,e7c5
2k4r/pp1b1p2/1qn1p3/3pP1p1/1P1P4/P2BB3/5PP1/R2Q1K2 w - -,f1g1
rnbq1rk1/pp4pp/2pbpn2/3p1p2/2P5/1PN1PN2/PBQPBPPP/R3K2R b KQ -,c8d7
rnbqk2r/pp2bppp/4pn2/2pp4/3P1B2/3BPN2/PPP2PPP/RN1QK2R w KQkq c6,c2c3
r6r/pp2kpp1/1Pp1p3/8/3PP3/6P1/Q1bq1PB1/R3R1K1 b - -,a7b6
r2qk2r/ppp1bppp/2n1bn2/3pp1B1/8/2NP1NPP/PPP1PPB1/R2QK2R w KQkq -,e1g1
2b2rk1/rn3qb1/2Q5/3p1p2/3P2pp/8/1P3PPP/R1B1NNK1 w - -,a1a7
6k1/5pp1/1Q6/3qp2P/7n/7P/5P2/R5K1 w - -,b6b8
r3rnk1/4p1bp/6p1/2pP1p2/1q3P2/2N3PP/PP1QRB2/1R4K1 b - -,a8d8
3q2k1/1p3pbp/p2p1np1/2rPn3/8/1NP5/PP1QB1PP/3R1R1K b - -,c5c7
r3k2r/1pq1pp1p/p1p2n2/2p2Q2/8/3P2b1/PPPN1PPP/R3K2R w KQkq -,h2g3
5bk1/5q1p/4Q1p1/2p5/NpPr4/1P6/6PP/4R1K1 w - -,e6e5
2N2rk1/p2qn1pp/1p2pb2/5p1Q/3P4/1P4P1/PB3P1P/3R1RK1 b - -,f8c8
1r4k1/3Q1p1p/pq2p3/6p1/4P3/2r2B1P/1P4P1/1R5K b - -,c3c2
r2rn1k1/1q3p1p/p2pbbp1/1p3N2/3BP3/PP1Q3P/2B2PP1/3RR1K1 b - -,a8c8
5N2/4p3/6p1/3P1k1p/2r4P/5B2/5KP1/8 w - -,f2g3
rr4k1/p1q1bppp/4pnn1/Qp1p2B1/7P/1NP1PP2/PPB2P2/2KR2R1 b - -,c7b7
1k5r/1pp3pp/1b1rqp2/pP1N4/P7/5QP1/5P1P/2RR2K1 w - -,d5b6
4r1k1/7p/R2p2nB/1p6/5p2/3p2P1/1P3P1P/4rBK1 w - -,a6d6
4rrk1/1pbBqpp1/p6p/2p5/P2pP3/1P1P1nP1/2PBQ2P/4RRK1 w - -,e2f3
6rk/2bb3p/2p1p2q/1pP1P3/pP1ppP2/P7/B5PQ/1R3RK1 b - -,h6g6
rn3rk1/1pqb1pbp/p2p2p1/2pP4/4PBn1/1QN2N1P/PP2BPP1/R4RK1 b - -,g4e5
3q1rk1/4ppbp/2Pn2p1/1p1N4/5p2/7P/1PP1B1P1/Q4RK1 w - -,f1d1
4r1k1/p6p/1p1p4/1P2p3/2PpP3/P4b2/2R5/3NK3 w - -,d1f2
8/4k3/8/5KP1/8/5PN1/5n1p/8 b - -,e7f7
2kr1b1r/ppp2Ppp/8/4p3/8/4PP1P/PP3P2/R1B1K2R w KQ e6,e3e4
6k1/6p1/2p5/5PP1/4r3/B1p5/1p6/3R2K1 b - -,g8f7
1k1r4/1pp3p1/p1p2p2/Q5p1/3P1bPn/P2RBq1P/1PP1KP2/4R3 w - -,e2d2
2r2rk1/1pq1bppp/p2pb3/4n3/P2BPR2/1PN5/2P1B1PP/R3Q2K w - -,e1g3
8/5pp1/p3p1k1/3bP2p/PB6/3K1P2/2P3PP/8 b - -,g6f5
r4rk1/pp1nbppp/2pp1n2/q3p3/3PPPP1/2NBBQ1P/PPP5/R4RK1 b - g3,e5d4
r4rk1/1pp2pp1/3p1q1p/p1bPp3/8/2BPPBPb/PP3P1P/R2QR1K1 w - -,f3h1
rnb1kbnr/ppq1pppp/2pp4/8/3PPP2/2N5/PPP3PP/R1BQKBNR b KQkq f3,b8d7:e7e5
r2r2k1/pR2ppbp/6p1/4n3/2p1P3/B1P3P1/P2PBP1P/2R3K1 b - -,d8d2
r2r2k1/p4pbp/1p1pp1p1/1Pp5/2P2PP1/P2PB3/6KP/1R3R2 b - -,f7f5
r1q1k2r/ppp2pb1/2n2npp/4p3/2P3P1/2N1PQ1P/PP1B1P2/2KR1BR1 b kq -,c6e7
5k2/7p/p2q1np1/1p1Pp3/8/3Q1B1P/PPP5/7K w - -,f3g2
r4rk1/p1q1ppbp/bpn3p1/4P3/3p1P2/1P3NP1/P1P2RBP/R1BQ2K1 b - -,a8d8
2b2rk1/5pbp/1pnq2p1/p2p4/P2p1PPQ/1B1P1N2/1PPBr2P/4R1K1 w - -,e1e2
r1b2rk1/p4p2/4p1pQ/q2pP3/2pp1P2/5N2/P5PP/R4RK1 b - -,a5c7
N2q1rk1/Qp1b1pbp/4p3/2Pp1n2/5p2/6P1/PP3PBP/R4RK1 b - -,d8a8
8/6k1/5p2/4n1p1/1R6/r5P1/4BPK1/8 b - -,a3a2
3r2k1/p4pp1/5r1p/2P5/4b3/P1Rp4/1R3P1P/4KB2 b - -,d8e8
2b3r1/4qr2/4p2k/1B1pPp1P/1p1P1K1Q/4P3/P5R1/8 w - -,h4e7
rnbqkb1r/1pp2ppp/p3pn2/3p4/2PP4/1P2PN2/P4PPP/RNBQKB1R b KQkq -,f8e7:c7c5
1B6/5k2/8/6R1/5pP1/4n3/5r2/7K w - -,h1g1
r2qkbnr/pp1b1pp1/2p1p2p/3pP2P/2PP1P1N/2N3P1/PPQ1B3/1K1R3R b kq f3,g8e7
3q4/p1p3kp/1r1p1rp1/3Nnb2/2Q2N2/6P1/PP3P1P/R3R1K1 w - -,c4e2
r1bnk1r1/p4p2/1p2pQp1/2npP1Np/qB6/P2B4/2P2PPP/R4RK1 w q -,a1b1
2r2rk1/pp3b1p/5p2/2b1p1p1/2PpB3/3NPP1P/4K1P1/R1R3B1 b - -,d4e3
r1bqrbk1/pp3ppp/5n2/2pPp3/2P1P3/2NB4/PP4PP/R1BQ1RK1 b - -,c8d7
1r4k1/1q1Pb1pp/4Qp2/p6P/P3p3/1r2B3/1PP3P1/1K2R3 b - -,g8h8
2rqr1k1/pb3pbp/1p1pp1p1/5n2/2PP4/PP1B4/1B1NQPPP/3RR1K1 w - -,d3f5
r1bqkb1r/pp3ppp/2np1n2/1N2p3/2P5/6P1/PP2PP1P/RNBQKB1R w KQkq -,f1g2:b1c3
3b1rk1/1pp3p1/3p3p/3Pp3/pP3q2/P4B2/2bNQPPP/1R4K1 w - -,b1c1
6k1/3n1rp1/2q4p/2b1p3/1pP4P/n4PP1/R1P1Q2N/4B1NK b - -,c6b6
6k1/7p/4p1p1/p7/4P2P/r4PP1/1p1rK3/1R6 w - -,e2d2
r2q1rk1/pp2ppbp/2npbnp1/8/4P3/1NN1B2P/PPP1BPP1/R2Q1RK1 b - -,a7a5
3q1r1k/4Q1bp/6p1/3B1p2/p1P2P2/2n3PP/3R1K2/4R3 w - -,e7b4
5R2/8/8/4k3/2K5/8/P7/3r4 b - -,d1a1
1r1q1rk1/1p1n2b1/p1npb2p/3Npp2/1PP5/P3BN1P/2Q1BPP1/4RRK1 b - -,e5e4
3r4/8/p1nr1k1p/1p3pp1/3P4/1P3PP1/P2RN2P/3RK3 b - -,c6e7
r1b1k2r/1p2bppp/p3p3/4n3/3N2P1/5B2/PPPB1P1P/2KR3R w kq -,f3e2
br2r1k1/5ppp/p2pp3/2n3B1/3N1PP1/2P1Q3/1qP2R1P/3RK3 w - -,d4c6
r3kb1r/pppq2pp/1nn1b3/5p2/3Pp3/1PN3P1/PBN1PPBP/R2Q1RK1 b kq -,e8c8
4b3/4k3/6p1/5p2/p1BK1P1p/P4P1P/8/8 b - -,e7f6
2Q5/5p1k/6pp/4q3/8/8/6K1/8 b - -,e5g5
2kr1bnr/pp3p1p/6p1/2P2b2/1P1Pp3/8/P2N1PPP/R1BK1B1R w - -,c1b2
5n2/5k2/8/1p3p2/2rB2P1/2PKR3/2P5/8 w - -,e3f3
7Q/p2b1p2/5P2/2k5/8/6P1/2p2P2/R2q2K1 w - -,a1d1
r1bqkb1r/4nppp/p1np4/3Np3/1pP1P3/N7/PP3PPP/R1BQKB1R w KQkq -,a3c2
r5k1/3q1ppp/3p4/1BpPb1P1/Pp2Pp2/1P3P2/3Q3P/6RK b - -,d7h3
r1b3r1/pp2qp1k/1Npp1n1p/4p3/4P2p/1P1P1N1P/1PP2PP1/R2Q1RK1 w - -,b6c8
3r1k2/pp3p1p/2p2n2/3b1P2/6P1/2N2B2/PP5P/3R2K1 b - -,f8e7
8/8/6k1/1R6/4pPP1/r7/5K2/8 w - -,b5g5
8/8/r1b1R3/5k2/3K4/2N3P1/8/8 w - -,e6d6
8/1pk2p2/p1p3p1/2P2p2/4P3/2P2R2/PP5r/1K6 b - -,h2h5
rn1q1rk1/pb1n1ppp/1p2p3/2bpP3/3N1P2/6P1/PPP1N1BP/R1BQ1RK1 w - -,g1h1
2b1r1k1/R6p/4p1p1/3pN3/5PPP/4P3/8/6K1 b - -,e8f8
4rrk1/p1pp1qpp/1p6/2PQR1P1/3P4/2P2P2/P5P1/5RK1 b - -,f7d5
6q1/4Q1b1/2k4p/4p1p1/R5P1/PP3PP1/K7/8 b - -,g7f8
8/p4Qbp/1p5k/4q3/6PP/P3p3/1P2B3/4K3 b - -,e5g3
8/2n3k1/pr1p3p/2pP2p1/2BbP3/RP4P1/6KP/3N4 w - -,g2f3
6k1/r3ppb1/3p2p1/2pP3p/2q1PP2/1RP3P1/P1QB1K1P/8 w - -,b3b2
r1bq1rk1/1p2n1bp/2n2pp1/pNp1p3/P2pP2N/3P2P1/1PPB1PBP/R2Q1RK1 b - -,g6g5
2r3k1/pp3p1p/5qp1/3B4/8/3N4/P1K2R2/5R2 w - -,c2b1
r4r2/pp2ppkp/6p1/2pB1b2/8/6P1/PPP1qP1P/R1QR2K1 w - -,d5b7
6k1/6p1/4P3/3Q4/7P/6PK/8/4q3 b - -,g8h8
8/8/1p5p/p3k3/P4p1K/5P2/8/8 w - -,h4g4
1n1r1rk1/1pp1qpbp/1n2b1p1/p1N1p3/8/PP1PP1PP/1BQ1NPBK/1R3R2 b - -,c7c6
rn1kr3/pp1n1ppp/2p1b3/4p3/2P2P2/1PN3P1/P3P1BP/R3K1NR w KQ -,g1f3
1b2b3/6k1/1p2p1p1/1P1p1p2/1B1P1P1P/4P3/3KB3/8 w - -,b4e7
3r1b1k/1p1r2pp/1pn2p2/4p3/p1P5/P1RPP1N1/1B3PPP/3R2K1 w - -,g1f1
rn1qk2r/pbpp1ppp/1p1bp3/8/2P1P2N/P7/1P1PNPPP/RBBQK2R b KQkq -,d8h4
r2q1rk1/pp1n1ppp/2pbp1b1/8/2PPn3/3B1N2/PPQ2PPP/R1BR2K1 w - -,d3e4
r1bqnrk1/1p2p2p/2npP1p1/pN3p2/P4P2/1Bb1B3/1PP3PP/R2Q1RK1 w - -,b5c3
r5k1/1p2bpp1/3p3p/N2n4/P7/1P4PP/3B1P1K/2R5 b - -,b7b5
5rk1/1prn1bpp/p2p1q2/P2P1p2/1RN1pP2/2P5/1P4PP/2Q1RBK1 w - -,e1d1
r1bqk2r/pp3ppp/2np1b2/2p1p3/2B1P3/5N1P/PPPP1PP1/R1BQK2R w KQkq -,e1g1
3r1r2/p6k/1p2p1pp/2p2p2/2Pb1P2/2NR1NP1/PP4KP/R7 b - -,d4c3
r4rk1/2q2ppp/2p2n2/p2p4/1b3P2/2N2Q2/PPPBR1PP/5R1K w - -,a2a3
5b2/3B1kp1/p3p2p/5p1P/4b3/4B1P1/PP3P1K/8 w - -,d7c8
7r/4b1pk/r4n1p/1pp5/8/P4NB1/1PP2PPP/3RR1K1 b - -,h8e8
5rk1/p5bp/8/6R1/3p4/P4r1P/1B6/2R3K1 b - -,g8h8
8/p5k1/2p3p1/2p1Qn1p/8/3P3N/qPP4P/6K1 b - -,g7h7
8/4k3/1rp1p1p1/4Pp1p/p2P1P2/2R1K1P1/P6R/6r1 w - -,e3f3
r1bq1rk1/pp2bppp/2n1p3/3N4/3P4/3B1N2/PP1B1PPP/R2Q1RK1 b - -,e6d5
3b2k1/p4pp1/3p1B2/3P1P1p/q1r2R2/6PP/P3Q1BK/8 b - -,c4f4
8/b4k2/b2p1pr1/P1pNp2p/2P1P1P1/6KP/3N4/5R2 w - -,g3h4
2r2k2/4pp2/3p2pp/1b1P4/pP6/P5P1/5PBP/R4K2 w - -,f1e1
8/1q2k1p1/7p/2P1nQ1P/8/2P3P1/5P2/5K2 b - -,b7b5
r2qr1k1/1p1n1nbp/p1p1b1p1/3pp3/P3P2P/BPNB2P1/2P2P1N/1R1Q1RK1 b - -,d7f6
r7/4ppkp/3n1bp1/pp1P4/q7/3Q2PB/P1R2P1P/3R2K1 w - -,h3d7
3r2k1/5pp1/1P5p/8/P1bb4/4R3/4nPPP/3R3K b - -,d8b8
b3r1k1/Q1pp1qpp/4Pn2/P3np2/1BP5/3B1PP1/2N4P/5RK1 b - -,f7e6
r5k1/2q4p/1pp1pQp1/p1n5/2P2b2/1P3P1P/P3B1P1/2RR2K1 w - -,c1c2
1k6/1n5p/R5p1/3Pp3/QPr5/7P/4NqPK/8 w - -,a4e8
1r4k1/2q2pbp/R3p3/4r3/2p5/2P1P3/1P2Q1PP/3BR1K1 b - -,e5b5
2r2k2/p3pp2/8/2qPQ3/6p1/6P1/P4RKP/8 b - -,f7f6
rnbqr1k1/ppp2pb1/3p1npp/4p3/2P1P3/2NP2P1/PP2NPBP/R1BQ1RK1 w - -,a1b1
r2qk3/2n1pp1Q/3pb1P1/8/2PB4/6P1/P7/R3R1K1 b - -,f7g6
r2r2k1/p3bppp/R1p1p3/2p5/3P4/1P2P3/1PRBKPPP/8 b - -,c5d4
r3kb1r/1bqn1pp1/p2pp2p/1p6/3NP3/4BP2/PPPQ2PP/1K1R1B1R w kq -,f1d3
r1br2k1/ppb1qpp1/2p1pn1p/8/N1PP4/1P3QP1/PB3PBP/R3R1K1 b - -,a8b8
r3r1k1/1p1b1pbp/p5p1/8/3NN3/1P6/qB2QPPP/2KR3R b - -,a8c8
3r1rk1/p3npbp/bp1p2p1/1Nq1P3/P1nQ1p2/2P3P1/1P2N1BP/2BR1RK1 w - -,d4c5
r1b1k2r/ppp2ppp/3p1n2/2q5/2P1PP2/3B4/P1P1Q1PP/R1B1K2R w KQkq -,c1e3
8/8/8/8/7p/6pP/2k1prP1/R5K1 b - -,f2f8
r1b2rk1/1pq1bppp/p1nppn2/8/P2NPP2/2N1B3/1PP1B1PP/R2Q1RK1 w - -,d4b3:e2f3:g1h1
8/1p2r1kp/8/3n4/8/1B5P/1n1BKPP1/7R w - -,e2f3
3R4/5pk1/6p1/1b5p/p6P/1r2N1PK/5P2/8 w - h6,g3g4
r1b1k2r/2q2pbp/p2p2p1/4npP1/pP1NP3/4B1Q1/P1P1B2P/R4RK1 w kq -,e4f5
8/1pp2kpp/2n1qp2/1bP5/4PP2/P5P1/1B1R2BP/2R4K b - -,c6a5
rnbq1rk1/pp1pbppp/4pn2/8/2PP4/2N2N2/PP3PPP/R1BQKB1R w KQ -,f1d3
7r/1pq2k2/4p1pp/1Q1pP3/1R1P1P2/8/6PP/6K1 w - -,b5b7
2r3k1/6pp/2r5/5p2/1P1Pp1n1/2N1P1q1/P1KBQ1Pb/R6R w - -,c2b2
1rbqnrk1/1p1nbppp/p2p4/P1pPp3/2N1P3/2N1B2P/1PP1BPP1/R2QK2R w KQ -,d1d2
2r1r1k1/2qnbppp/p2p4/1p1P4/1P6/NQ3B2/P1P2PPP/R3R1K1 b - -,e7f6
6k1/8/p7/1b2pPbp/1p6/4N2B/PPPK3P/8 w - -,h3g2
2k4r/p2q4/1pn1r2p/3p1p1P/3P2Q1/b1RPB3/P5PN/5RK1 w - -,g4f5
1rbq1rk1/np2ppbp/3p2p1/pPp5/8/P2P1NP1/1PQBPPBP/1R3RK1 w - -,a3a4
3Rr3/p1q1ppbk/1p2n1pp/8/2P5/1P2BN1P/P4PP1/2Q1R1K1 b - -,e8d8
1qrr2k1/pb2b1pp/1pn2p2/2pnp3/4N2P/1P1P1NP1/PB2PPB1/Q1R1R1K1 w - -,h4h5
rnb1kb1r/ppp1pppp/1q3n2/8/3P4/2N5/PPPB1PPP/R2QKBNR w KQkq -,g1f3
8/1p3k1p/2r2pp1/4p3/2bBP3/2P3P1/1K3P1P/7R w - e6,d4e3
r2q1rk1/1p4bp/4bpp1/p1pnp3/3n4/PQNP2P1/1P1BPPBP/1R2NRK1 w - -,g2d5
1r1r2k1/p4pp1/2bNpq1p/2p1n3/2P5/P5Q1/1P1R1PPP/1BK4R w - -,f2f4
r2qkb1r/1p3ppp/p1npbn2/4p1B1/P3P3/1NN5/1PP2PPP/R2QKB1R w KQkq -,g5f6
