8/4r3/2p4p/5Bp1/P4kP1/1P6/2P2K2/8 w - -,f5c8
7r/3kbppp/rpp1pnb1/3p4/4P3/2NP2P1/PP1B1PBP/R4RK1 b - e3,h8a8
r2q2k1/1p4bp/2p3p1/2pPp1P1/p1P1Pr1P/P2Q4/1P2B3/2KR3R b - -,c6d5
1r4k1/b4ppp/P2p4/4p3/2P1P3/5P2/R2QK1qP/3N4 w - -,e2e1
r7/1p1b1kpp/rn1b1p2/p1pPp3/2P1P3/RP1BBP1P/3N2P1/R5K1 b - -,f7e7
r2q1rk1/pp3pp1/1bn2B1p/3p4/3N4/1NP3P1/PP3PKP/R2Q1R2 b - -,d8f6
8/pr2bk2/2R5/7p/1P5P/3P2P1/3B1P2/6K1 b - -,b7d7
r2q1rk1/1p2p1bp/4p1p1/p7/1nPp4/6P1/PB3PBP/R2Q1RK1 w - -,g2b7
1q1rr1k1/1b3p1p/pNn2npb/2Pp4/1P1B4/1NR2P2/P4QPP/3R1BK1 b - -,f6h5
r1b1kb1r/1pqp1ppp/p1n1pn2/8/4PP2/1NNBB3/PPP3PP/R2QK2R b KQkq f3,f8b4:d7d6:h7h5
8/7k/8/2B4p/p3q1pP/4P1R1/6PK/8 b - -,h7g6
5k2/5p1p/2b1pp2/1p6/1P6/8/2P1BPPP/6K1 w - -,g2g4
r3r1k1/pp3pbp/1qn1pnp1/3p4/2pP1B2/QPP1PN1P/P3BPP1/R4RK1 b - -,c4b3
r2q1r2/1p1b1n1k/2pp2pb/3P1p2/1P2PP1p/p3B3/P2QBNPP/R4RK1 w - -,e2c4
3q1rk1/5pb1/5n1p/pR1p1PP1/P1rPp3/2P5/Q3NBP1/5RK1 b - -,h6g5
6k1/5p1p/3p2p1/3n4/6P1/7P/1R3PK1/8 w - -,b2d2
r6k/2qbb1np/6p1/1ppPp3/4PBP1/2P3QP/1P2B3/4R1K1 w - -,f4e5
2rq1rk1/pb3pbp/1p2pnpn/2pp4/3PPP2/2PBBNQ1/PP1N2PP/4RR1K w - -,e4e5
4r1k1/1p3pp1/p1b5/3p2p1/8/2R1P2P/P4PP1/5RK1 w - -,f1d1
4r1k1/R4p1p/bpp3p1/2b5/4P3/2N2P2/P3N1PP/3n1K2 w - -,c3d1
r1b1r1k1/3q4/pp1p1pn1/2pP2p1/PPP1PpPp/3B1P1P/2N3K1/R1Q2R2 b - -,g6e5
3rr1k1/pp3ppp/2bp4/8/3RPP1N/1P3KP1/P6P/3R4 b - -,g7g6
r1bq1rk1/1pp1npbp/2np2p1/p3p3/2P5/2NP1NP1/PP2PPBP/1RBQ1RK1 w - a6,a2a3
5r2/1p4kp/p5p1/2r5/P1Bp4/1P1RbP1P/2R3P1/7K b - -,b7b5
r4rk1/pbpnbq1p/1p1pp3/6p1/2PPp3/4P2P/PP1NBPPB/2RQR1K1 w - -,e1f1
rnbqkb1r/pp1ppp1p/5np1/2p5/3P4/2P2N2/PP1NPPPP/R1BQKB1R b KQkq -,f8g7
r1bqk1nr/ppp2pb1/2np3p/6p1/2BPP3/5NB1/PPP3PP/RN1QK2R w KQkq -,e1g1
r2qr1k1/p2n1ppp/2p1b3/3p4/5Q2/3BN2P/PPP2PP1/R2R2K1 b - -,d8f6
8/2R5/p5p1/1b6/4pk1p/P3N2P/3r2P1/6K1 w - -,e3g4
r1b1kb1r/1p1nppp1/p2p1n1p/q7/3NP2P/2N2Q2/PPPB1PP1/R3KB1R b KQkq -,e7e6
6k1/4R3/5K1p/5P2/r5P1/8/8/8 w - -,g4g5
r3r1k1/p1p3bp/2p2qp1/2Bb4/5P2/1P6/P3B1PP/2RQ1RK1 b - -,a8d8
1rbr2k1/pp2qpb1/6pp/8/1P1p4/P2N2P1/3QPPBP/2RR2K1 w - -,d2f4
rn1qk2r/1bppbppp/p3pn2/1p6/2P5/1P1P1NP1/P3PPBP/RNBQ1RK1 b kq -,e8g8
3r1bk1/7p/6p1/P3P3/2p2P2/5NP1/1r5P/R4R1K b - -,c4c3
1r2k3/5p2/3r2p1/1pRPN1Pp/p3KP1P/8/PP6/8 b - -,f7f6
r1q1k2r/ppp1bppp/3p4/3Q1b2/8/2P1BP2/PPP2P1P/2KR1B1R w kq -,h1g1
8/6k1/4P3/2PK4/3P3R/5r1p/8/8 b - -,g7f6
2r1r1k1/pp1q1pp1/n3p2p/P2pP3/1b1P4/1Q3N1P/1P1B1PP1/R1R3K1 b - -,b4d2
r1b1k2r/ppq2pp1/1npbpn1p/3p4/3P1BPP/1PN1PP2/P1P4Q/R3KBNR b KQkq -,d6f4
r4rk1/2p2pbp/n1Bp1np1/3Pp3/1Pq1P3/4BP2/4N1PP/R2Q1RK1 b - -,a8d8
2r3k1/3R1p1p/8/r3P2P/1p3PR1/1Pp5/8/7K b - -,g8f8
4r3/1pk3p1/p3p2p/4n3/3P1RP1/P6P/1P6/1K6 b - -,e5c6
r2q2k1/pp1r1ppp/n2p4/1Nn1p3/b1P5/B1P1Q1P1/P2RPPBP/1R4K1 w - -,g2h3
5rk1/2B1pp1p/p5pb/5b2/P1QP4/7P/1p1qRPP1/1R4K1 b - -,d2c1
4b1k1/2r1b2r/1qp1p3/1p2Np2/1P1P1PpP/P1R1Q1K1/6B1/2R5 w - -,c1h1
r2b2k1/p1q2ppp/4p3/3nNbB1/1p3P2/4R3/PPP1Q1PP/2KN4 w - -,g5d8
2kr1b1r/ppqb2p1/2n1p1p1/3pp3/3p1B1P/P4NQ1/1PP2PP1/RN2R1K1 w - -,f3e5
2b1n3/3r1k2/3p2pp/2pP4/1p2NPP1/4N1KP/1P6/R7 w - -,f4f5
8/1p2k3/p2p2p1/PP6/2P2K2/1R6/2n5/8 w - -,f4e4
2b3k1/p2nqr1p/4p1pP/3pPpQ1/2pP4/2P2N2/P1B1KPP1/1R6 b - -,e7a3
5k2/p2r1pp1/2pn2B1/4B1P1/8/5P2/PP6/2K4R b - -,f7g6
r1bq1r1k/ppp1n1bp/3n2p1/3Pp3/4Pp2/2N2P2/PP1NBBPP/R2Q1RK1 b - -,g6g5
3b1k2/8/2p2pp1/2P3p1/2NP4/6PP/5PK1/8 b - -,f8f7
5rk1/p3qp1p/8/1P1nbB2/2R2p2/4pPP1/P1QpP2P/5RK1 b - -,f8d8
8/8/7p/5p1k/3K1Pp1/R5P1/6r1/8 b - -,h5g6:g2e2
r1b2rk1/1pbn3p/p1p1pq2/2Pp1pp1/1P1Pn3/P2BPNP1/1BQN1P1P/R4RK1 b - -,f6h6
4rrk1/p1q3p1/1p3n1p/2pb4/3p3P/3P2PB/PPQ2P2/R3RNK1 b - -,c7f7
r1bqkb1r/1p3pp1/p1n1p2p/3pPn2/3P4/P1N2N2/1P2BPPP/R1BQ1RK1 w kq -,b2b4
r7/5pkp/1Q4p1/2p5/P1q5/6P1/5P2/R5K1 b - -,c4c3
r3k1nr/pp1qppbp/3p2p1/2p2b2/2Pn4/2N2NPP/PP1PPPBK/R1BQ1R2 w kq -,e2e4
3r1rk1/pp2pnbp/q1b3p1/2R2p2/1P1P4/P3BNP1/5PBP/3QR1K1 w - -,c5a5
r3r1k1/pp3ppp/2n1b3/2p4q/8/P1bBP3/1PQ1NPPP/1K1R3R w - -,c2c3
r1bQ1rk1/pp3pbp/4n1p1/4p3/8/1NP4P/PPB2PP1/R1B1R1K1 b - -,f8d8
rnb3k1/pp4bp/4p1p1/3pP3/8/1Nq2P2/P1PQ1P1P/R3KB1R b KQ -,c3f3
3rrqk1/1pb2pp1/2p1pn1p/p7/2PP4/PPQ3PP/1B3PB1/R3R1K1 w - -,d4d5
2r2rk1/p2q1ppp/n2p4/1ppP4/8/PP1QP1P1/1B3P1P/1R3RK1 b - -,f7f5
r5k1/1b1qr2p/2pN2p1/p1Pn1p2/4p2Q/5P2/PP4PP/2R1RBK1 b - -,e4e3
5k2/6p1/5pK1/7P/1p1n1P2/6P1/2B5/8 w - -,c2d3
8/pp6/2bpknQ1/4q3/P5p1/2N5/1PP5/1K3R2 b - a3,g4g3
6rk/p2b3p/3p2r1/1PpP3n/P2qpPp1/2N1N2P/1P3QRK/6R1 w - -,h3g4
3q2r1/2p2rk1/1p1p2pR/1P1N2P1/2P1Pp2/2BQ1P2/6K1/8 b - -,g7f8
6k1/5rp1/2q2r1p/1pp1pR2/3pP1PP/1P1P1Q1K/2P5/5R2 w - -,f3g3
3r1rk1/6p1/ppnNR2p/2bR4/P7/6B1/1P3PPP/6K1 w - -,h2h4
5rk1/1prbq1bp/pR1p2p1/P2P4/4Pn2/1QN2P2/1P3P2/2B1KB1R b - -,d7c8
2r4r/8/1p1k1p2/2nPppp1/1p6/B1R4P/P4PP1/3R2K1 w - -,a3b4
1r3b2/1p1k1p2/p5np/4pNp1/4P1P1/6BP/PP3P2/1KR5 b - -,b8c8
r3r1k1/1pq2n1p/p2pn1p1/4pb2/2P5/2P2QP1/P3BP1P/R1BRN1K1 w - -,h2h4
r2q1r1k/1p2p1bp/2p1b1p1/pPnp1p2/3Pn3/2N1PNP1/P1Q2PBP/1RB2RK1 w - -,b5c6
2r3k1/p4pb1/1pr1q1p1/1R6/P1NpP2p/3P2P1/2Q2PKP/4R3 w - -,c2e2
1r1q3k/Q1R3pp/5r2/8/3pBP2/1p1P2PP/6K1/8 b - -,f6a6
4k2r/1q1r1p1p/pB2p1p1/N5P1/P1b5/5Pb1/2P2Q2/3RR1K1 w k -,f2c5
rn1q1rk1/ppp2ppp/5n2/3p4/1bPP2b1/2NB1N2/PP3PPP/R1BQK2R w KQ -,e1g1
2r2rk1/ppq2pbp/1n2p1p1/3p3n/P2P4/1QPBB2P/1P1N1PP1/R3R1K1 w - -,a4a5
8/6k1/r7/8/5PP1/5K2/7R/8 w - -,g4g5
8/8/5k2/5pR1/5K2/5PP1/6r1/8 w - -,g5f5
8/8/2k5/p3K3/P3nP2/8/8/3N4 b - -,e4g3
3r2k1/2p3b1/4b3/p3p2p/4n2N/P3Pp2/2B5/R3K2R b - -,f3f2
2rr2k1/p1q1pp1p/1p4p1/2n5/8/Q1P1PB2/P4PPP/R4RK1 w - -,a1d1
r2q1rk1/pp3pp1/3pbn1p/2p1p3/2B1P2B/3P3P/PPP2PP1/R2Q1RK1 w - -,d1e2
rnbq1rk1/1p2bppp/p2p4/1N1Pp3/2P5/3B4/PP3PPP/R1BQ1RK1 w - -,b5c3
rnbq1rk1/ppp1ppbp/5np1/8/2P5/5NP1/PB1PPPBP/RN1QK2R b KQ -,b8d7:c7c5
6k1/p4p1p/1pp1n1p1/2B1p3/2P1P3/P4P1P/1P2N1P1/6K1 b - -,e6c5
3rr1k1/p4ppp/2n5/1ppq4/5P2/2PP2P1/P1Q4P/2N1RRK1 w - b6,c2g2
8/5ppk/2n1p2p/B1PpP3/3P1PP1/4K1NP/2b5/8 w - -,a5e1
8/1p6/1pk2n2/4pBp1/PPP1P1P1/5KP1/8/8 b - -,c6d6
r4rk1/7p/p2p2p1/q1pPp3/npP1P3/3Bb3/P1Q1N1PP/K4R1R w - -,f1f3
1r6/1p1b1rk1/2p1p1pp/2P1P1q1/Pp1Q3P/5B2/5PP1/1R1R2K1 b - h3,g5f5
8/6kp/p4pp1/3b4/P1P5/2B4P/4rPPK/8 w - -,c4d5
8/p2k4/2prn1pp/1p3p2/1P3P1P/P5P1/B3R3/4K3 w - -,e2e5
rnb2rk1/pp2ppbp/2pp1np1/7q/2PP1B2/2N2NP1/PP2PPBP/R2Q1RK1 w - -,f1e1
rr4k1/3qp1b1/b3R3/p2p1pNp/3P4/P3B2P/2P2QP1/R5K1 b - -,b8f8
1k1r2r1/1pqb1p2/p1n1p3/3pPn2/5P2/P1N5/1BP2QPP/2KR1B1R w - -,f1d3
r3r1k1/1p3p1p/6p1/5b2/1P5R/1B6/2PR1PPP/2K5 b - -,h7h5
7r/Rp2k3/3pp2r/1p2n3/4PRp1/2P3P1/1P2B1K1/8 b - -,e5d7
r1bqk2r/pp1nbppp/2p1p3/3pN2n/3P1B2/3BP3/PPPN1PPP/R2Q1RK1 b kq -,h5f4
r1r3k1/1b2bppp/p3p3/1p6/3P1q2/PQ3N1P/4BPP1/R2R2K1 w - -,f3e5
r3kb1r/1p1bpppp/p2p4/q1p1P3/3P4/2N2N2/PPPQ1PPP/1R2K2R b Kkq -,c5d4
8/5pk1/6p1/4p2p/2bpP2P/R4BP1/3r1PK1/2N5 b - h3,g7f6
7r/5pp1/p1N1k2p/8/P5P1/1PK4P/5P2/3r4 w - -,c6b4
r3qr2/6k1/3p4/p1pPb2p/5B2/7Q/1P4PP/4RRK1 b - -,e5d4
r1r3k1/pb1q1ppp/1p2pn2/8/1ppP4/1P1Q2P1/P2NPPBP/R4RK1 w - -,b3c4
3k4/3n3p/1p1R1p2/1P2pP2/1rB1P3/8/6K1/8 w - -,c4d5
2r2rk1/1bq1bppp/pn2p3/1p1pP3/3NnP2/2P1B2Q/PP2N1PP/1BR2RK1 w - -,e2g3
2qr1bk1/1b3pp1/1np1p2p/r3N3/p2P1B1P/P5P1/1P2QPB1/3RR1K1 b - -,b6d5
8/8/1P6/5p2/4p3/1r2kr1Q/8/3K4 w - -,h3h6
6k1/p3b2p/3rp3/2p5/6p1/1PB1P1P1/P3KP1P/R7 b - -,g8f7
rnbq1rk1/pp4p1/2pbpn1p/3p1p2/2PP1B2/2N1PN2/PPQ1BPPP/R4RK1 b - -,g7g5
8/p2r4/Pp3p1B/1Pb1nk1p/2P4P/5P2/4K3/4R3 b - -,e5c4
8/4N3/8/1k4Pb/3K4/8/8/8 w - -,d4d5
r5k1/1bqnbrpp/pp1p4/2p1ppP1/2PnPP2/2NPBN1P/PP1Q2B1/R4RK1 w - -,c3d5
r4rk1/pb1n1ppp/2p1p3/1p4q1/3P2n1/2NBP3/PPQ2PP1/R1B2RK1 w - -,f2f3
r1b1kb1r/pp2pppp/5n2/1N2p3/3N4/8/PPP2PPP/R1B1K2R w KQkq -,b5c7
8/1p4p1/p6p/4k2B/4n3/3K4/P5PP/8 b - -,b7b5
8/3k1p1p/1p1b3P/p1pP1pP1/P1P1rP2/1P2B3/4K3/5R2 b - -,d7c7
8/1p6/8/5k1p/P2Bp2b/1P6/4P1K1/8 b - -,f5e6
8/8/4R3/p1p5/2r1b3/4kpK1/PP6/1B6 b - -,c4d4
3r3b/3k1p2/3Prp1p/4pb1N/2R3P1/8/1PP1N2P/1K1R4 b - -,f5g6
4b1r1/r6k/2p1p2p/1pPpPpqn/pP1P2p1/P3P1P1/3QNRBP/6RK b - -,a7g7
2r3k1/1p3pp1/p6p/6bP/P2qb3/1P1B2PK/2P2r2/R2QR3 b - -,e4g2
8/p2Rk2p/2p3p1/1p2p3/1Pn1PnPP/PKN5/2P5/6N1 b - -,e7d7
8/4k3/p7/P1p1B2P/1p1p3P/1P1P1b2/2P5/5K2 b - -,f3h5
rnbqk2r/1p2n1pp/p2p4/P1pPpp2/4P3/3B4/1PPBNPPP/R2QK2R w KQkq f6,e4f5
3b1rk1/p2p1pp1/b2P3p/n1pqPQ2/2N5/P7/3NBPPP/1R4K1 w - -,c4e3
r1bq1rk1/ppp3pp/2n5/2P1pp2/4P3/2R2N2/PPQ2PPP/4KB1R w K -,f1c4
1r4kr/p7/3pP1p1/2q2pp1/2pN4/2Q5/PPP5/2K4R w - -,h1h8
5rk1/3rbp1p/2R1p1p1/4P3/1P3P2/P3B3/6PP/5RK1 b - -,f8a8
r2q1rk1/2p1bpp1/p6p/1p1b4/8/1P2RN2/1PPP1PPP/R1BQ2K1 b - -,d8d6
4R3/2k5/8/4p3/3p1P2/3K4/1r6/8 b - -,b2b3
3r2k1/3r1ppp/1pp1p3/2b1P3/2R3Q1/2B2RPP/1Pq2PK1/8 b - -,c2g6
7k/1bq2r1P/p2p1n1Q/P3p3/1P3r2/3BR2P/2P2PP1/R2N2K1 b - -,f6h7
2q3k1/5p1p/4p1pP/4P1P1/Q3BP1b/2p5/P5K1/8 b - -,c8b8
8/8/5R1N/1p6/4k1p1/7p/4KP1P/3r4 b - -,d1g1
4r1k1/q1pb1ppp/p1p1p3/P1Q5/3P4/2N3P1/4PP1P/1R4K1 b - -,a7a8
r1b1r1k1/1pq2pbp/p1p3p1/3nN3/3P1P2/1PB5/P2QB1PP/4RRK1 w - -,c3b2
3r4/pp2rpkp/3p1p2/n1p5/q1P1P3/2PQ1PP1/P2R3P/R4BK1 w - -,a1d1
r2qk2r/3nbppp/p3p3/1ppb4/3P4/1P1BPN2/PB2QPPP/R4RK1 w kq -,f1d1
r5k1/p3r1bp/1pp3p1/4p3/2P1Pp2/2N2P2/PP3P2/R4RK1 w - -,f1d1
2r3k1/p4ppp/1n2p3/3p4/1B1Pq3/1Q2P1P1/P4P1P/5RK1 w - -,b4c5
4r3/2q2pkp/3p1np1/1pp2P2/1n6/6P1/1P2P1BP/R1Q2RK1 b - -,c5c4
rn1qk1r1/pp3p1p/2pbpp2/8/3P4/5bB1/PPP1BPPP/R2Q1RK1 w q -,e2f3
1rr3k1/p2n1ppp/2pqp3/3p1b2/3P4/2Q1PN2/PP1N1PPP/R1R3K1 w - -,d2b3
6k1/p1q2p1p/1p1np1p1/8/Q7/2P1PBP1/P4P1P/6K1 b - -,d6c4
5rk1/2P3p1/6p1/7Q/P2P4/5pBP/5P1K/4R3 b - -,g6h5
r7/1p3k1p/2q2pp1/4p3/1RP5/1P5P/4QPP1/6K1 b - -,a8d8
r1b1k2r/ppq1bppp/2n1pn2/3p4/3PP3/2PB1N2/3N1PPP/R1BQR1K1 b kq -,d5e4
8/5p1B/1p1kp3/8/Pn4p1/6P1/4KP2/8 w - -,h7e4
2kr3r/ppb5/2n3qp/3p1pp1/3P4/2P2NPb/PP1B1Q1P/R2B2KR w - -,b2b4
r1bqk1nr/2pn1pbp/3pp1p1/p7/PpBPPN2/4BP2/1PPQ2PP/R3K1NR b KQkq -,c7c5
8/5pk1/3R2p1/K1P5/8/2r4P/8/8 w - -,c5c6
4r3/pp2rpk1/2pp1np1/7p/2PP2PP/1P3P2/1PNR2R1/3K4 w - h6,g4g5
2B2k2/5ppp/1p2p3/p7/2P5/2N1P3/P4PPP/2n2K2 b - -,f8e7
rnbqkb1r/pp3ppp/2p1pn2/3P4/3P4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,c6d5:e6d5
r4rk1/p2n1ppp/1q2pn2/2p5/1P2b3/P4NP1/1Q2PPBP/R1B2RK1 w - -,b4c5
r1bqkbnr/pp2pppp/2np4/8/4P3/B4N2/2PP1PPP/RN1QKB1R w KQkq -,d2d4:f1c4
rnbq1rk1/ppppp1bp/5np1/5p2/3P1N2/6P1/PPP1PPBP/RNBQK2R w KQ -,h2h4
2bqnrk1/rp1pb1p1/pNn1p2p/2P2p2/3N1B1P/5BP1/PP3P2/2RQR1K1 w - -,f3c6
r1bqkb1r/pp3ppp/8/3n3Q/2Bp4/8/PPPP1PPP/R1B2RK1 b kq -,c8e6
2r5/5prk/p6p/8/2pRn3/4B2P/PPR2P2/5K2 b - -,c8e8
r2r2k1/ppqn1pbp/2pp1np1/4p3/2PPP3/2N1B2P/PP1QBPP1/R4RK1 w - e6,d4d5
8/6k1/5p2/1p4pP/1Q2KPP1/P7/8/2q5 b - -,c1f4
rr3n2/2p2kp1/4b2p/2p2p2/p1PB1P2/P2NR3/1P4PP/2R2BK1 b - -,c5d4
r6k/ppp3pp/8/2p2r1q/5P2/2P1nNP1/PPQ4P/R4B1K w - -,c2f2
8/1p2k3/2b2r1p/1p6/2p5/P5P1/1P1R3P/5BK1 b - -,e7e6
8/8/4b3/8/3K4/1k6/6R1/8 w - -,g2g3
3qr1k1/r3bp1p/n3p1pB/p3P1N1/P2p1R1P/2Q5/5PP1/R5K1 w - -,f4d4
k3r2r/ppq5/3p1R2/2pP2p1/2P5/P3PQPp/1P5P/5RK1 b - -,c7b6
r1bqkn1r/4ppbp/2p2np1/ppP5/3P4/P2B1NNP/1P3PP1/R1BQK2R b KQkq -,c8e6
r1bqk2r/pp3pb1/3p2p1/4pn2/1RPn4/P1NP2P1/2N1P1BP/2BQ1RK1 b kq -,e8g8
3rr1k1/1p2q1pp/2b2p2/1p6/2pRPP2/P1Q3PP/1P4BK/3R4 w - -,c3a5
3rr3/3q1k1p/1p1pp1p1/p1n5/2P2P2/1PQ3PB/P3R2P/4R2K b - -,e8e7
1rbq1rk1/3nppbp/pp1p1np1/2pP4/P1P1P3/2N2N2/1PQ1BPPP/R1B2RK1 w - -,c1f4
6rk/pp5n/2pQ4/8/2PPN2R/8/PP6/2K3q1 w - -,c1c2
1k1r1bnr/pp1n1pp1/1q1p2b1/3Pp1Pp/7P/2N1BN1B/PPP1QP2/R4RK1 b - -,b6a6
8/r7/2k2Bp1/2nRP3/1p4KP/4P3/8/8 w - -,d5d1
r5k1/1p4p1/3p1n1p/p1pPn3/P1P1Pp2/1P3P1q/4QR1P/5R1K b - -,f6h5
8/2Q3k1/5qp1/7p/2pp3P/5P2/1P4P1/5K2 b - -,f6f7
2r3k1/5p2/2P3p1/p2p3p/Pb5P/1P2BqP1/2R4K/2Q5 b - -,d5d4
3q1r1k/4p2p/2Pp1n2/1Pp2Q2/P2b1P2/8/4B1PP/4BR1K b - -,d6d5
2r3k1/4p1bp/5pp1/8/3PPBP1/2p4P/R4P2/6K1 w - -,a2c2
8/pk6/p1b1Np2/P7/2P4P/2R4K/5Pr1/8 b - -,g2f2
r1bq1rk1/4bppp/p1npp3/1p2n1P1/3NP2P/2N1B3/PPP1BP2/R2QK1R1 w Q b6,a2a3
8/pppr4/7p/3Pk3/1P4P1/P4RK1/7P/8 w - -,h2h4
1qr3k1/3bpp1p/6p1/3P4/1p1RPP2/1P4P1/P1r2Q1P/4RBK1 w - -,d4d2
8/2p3p1/pp1n1p2/3P1k2/3K4/3P4/P4PPB/8 w - -,h2g3
rn1qkb1r/pp3ppp/2p1pn2/3p4/2PP4/2N2P2/PP2BPPP/R1BQ1RK1 w kq -,f3f4
r5k1/1pp4p/3p2p1/p1nPpbN1/2P5/2N3P1/PP3r1P/K2R2R1 w - -,g3g4
1rbqr1k1/5pp1/2pp1nnp/1pb1p3/4P3/1BPPNN1P/1P3PP1/R1BQR1K1 w - -,b3c2
r2r4/1b2kppp/pbn1pn2/1p6/1P6/P1N1PN2/BB3PPP/2RR1K2 b - -,a8c8
1r6/3n1p1k/pp1p4/3P4/P1Pq1P1p/6NP/6P1/2B1Q1K1 w - -,c1e3
7r/2k3pp/R1p2p2/1n1p4/1P1B4/1PP1P3/5KPP/8 b - -,h8b8
r1b1k1nr/pp2qpbp/2n3p1/2p1p3/8/3PBNP1/PPP1P1BP/RN1Q1RK1 w kq -,b1c3
r4rk1/p4pp1/bn2p2p/qp1n4/3P3B/PQP2B2/3N1PPP/2R2RK1 w - -,h4g3
r1b1k1nr/ppp2ppp/2p2Q2/2b5/4P3/8/PPP2PPP/RNB1KB1R b KQkq -,g8f6
r2r2k1/2q2pp1/4p2p/1p6/p1bR4/2P2PN1/PP4PP/R3Q1K1 b - -,d8d4
r1b1r1k1/p1Rn1ppp/1p3n2/1B1p4/3P4/4PN2/PP1B1PPP/5RK1 b - -,a7a6
1k5r/1p2R1bp/pr2Ppp1/8/P4P2/2P5/6PP/5RK1 w - -,e7g7
r1b2rk1/pp2bppp/3p1n2/q7/4PB2/2NQ4/PPP1B1PP/2KR3R b - -,c8e6
r1bq1rk1/p5bp/1pn1ppp1/3pP3/3P2P1/4PN2/PP4BP/RN1Q1RK1 w - -,e5f6
r1bq1rk1/p1pn2bp/1p1p2n1/1N1Pp1p1/2P1Pp2/5P2/PP2BBPP/2RQNRK1 w - -,b2b4
8/8/2p5/3nk1pp/4p3/6PP/2PK2N1/8 w - -,h3h4
8/1p5p/p2k1pp1/4p3/3K1PPP/1P6/8/8 w - -,f4e5
