8/1p6/pB2n1p1/P2k3p/1P3P1P/3K4/8/8 w - -,b6e3
r3k2r/ppqb1pp1/2n4p/3pPp2/1P1B1P2/P4N2/2P3PP/R2Q1RK1 b kq -,c6d4
8/3b4/4K3/8/3k4/P3p3/8/8 w - -,e6d7
5rk1/pp5p/1q2p1r1/3pPp2/3P3Q/P5R1/1P3PP1/2R3K1 b - -,g6g3
r5k1/1p2pr1p/p1qp1bpB/2pQ4/3p4/7P/PPP2PP1/4RRK1 w - -,d5e6
r6r/1p1nkppp/1p1bpn2/1B1p1b2/3P4/2N1PN2/PP1BKPPP/R6R w - -,h1c1
3q1rk1/3pppbp/b1r3p1/3QP3/3B4/3B4/P4PPP/R2R2K1 w - -,f2f4
4r1k1/5pp1/2b5/3p4/2rP4/4P1PB/4NP2/4R1K1 b - -,e8b8
5k2/5p1p/pb4P1/2n5/8/7P/2B1K1P1/2B5 b - -,f7g6
1nbqr1k1/2r2pbp/p2p2p1/1ppP3n/1P2P3/P1NB1N1P/3B1PP1/2RQR1K1 b - -,b8d7
3b1n1k/1p4pp/4p1b1/p1p1Pp2/1qP2N2/1P3QP1/PB3PBP/6K1 w - -,f3b7
r1b1k2r/pp1nnppp/1bp5/1BN5/1P6/P3B1N1/2P2PPP/3RK2R w Kkq -,b5c4
r4r1k/1pp1q1pp/2n1b3/p2npp2/8/PP1PPN2/1BQ1BPPP/R4RK1 b - -,e6g8
4k3/1p2bp2/p3pp1Q/P6N/1q4P1/5P2/4P1KP/8 b - -,b4e1
3rr1k1/qp3pp1/1Q4p1/2p1n3/P7/4P1P1/1R2BP1P/1R4K1 b - -,a7a4
8/p5p1/1p2rp1p/2k5/2P5/P2KP3/5RPP/8 b - -,e6d6
2r1k2r/Q2nqp2/2p1p3/2P4b/3P2Pp/3BP3/P3NPP1/1R3RK1 b k -,h5g4
r2q1rk1/1p3ppp/p1npbb2/3Np3/2N1P3/8/PPP2PPP/R2QKB1R b KQ -,b7b5
r3r1k1/1p3pb1/6pp/p7/7P/2P1Bb2/1P3PP1/3R1RK1 w - -,g2f3
7b/7P/3k1p2/3n1B2/3P1P2/5KN1/8/8 b - -,d5e7
4q1k1/p2r2p1/3pr2p/R7/7P/5PB1/P5PK/3Q4 w - -,d1d3
r3kb1r/1pq3pp/p1b1pp2/4p3/4P3/2N1B3/PPPQ1PPP/3RR1K1 w kq -,f2f3
r1bq1rk1/bp3ppp/p1n2n2/8/N2p1B2/5NP1/PP2PPBP/2RQ1RK1 w - -,f3e5
r4rk1/p1p3p1/1p1p1n1p/n2Pp3/2P5/P1P1B3/3N1PPP/1R3RK1 w - -,h2h3
3q3k/1b3pb1/p1n1p3/1p2P1p1/1P4N1/6B1/P2Q1PP1/5BK1 w - -,d2d8
6n1/6pk/2pp3p/Rb2pP2/1P6/2qP2P1/5P1P/1Q3BK1 b - -,g8f6
2b1rq1k/5r2/3p2Qp/p1pPp1pP/PpP3P1/1P2RP2/5N2/2K4R w - -,f2e4
1r5k/1p6/pPp3qP/3pRb2/P2P1r2/2Q2P2/1P4B1/5RK1 w - -,c3e3
r3b1k1/pp6/2p4p/4bP2/2P2N2/1P3K2/P4P1P/6R1 b - -,g8f7
2r2rk1/p3p3/1p2bpp1/P1n4p/3Bp2P/2P1P3/4BPP1/1R1R2K1 b - -,b6a5
1r6/r3kppp/b3p3/2n5/2p5/P1N1PP2/1PR1B1PP/1R4K1 b - -,c5d3
rn1q1rk1/pp3ppb/2p1pn1p/2bp4/4P3/1NNP2P1/PPP1QPBP/R1B2RK1 b - -,c5b4
rnbqk2r/p2pbppp/1p2pn2/2p5/3P4/1P1BPN2/P1P2PPP/RNBQ1RK1 b kq -,b8c6
4rk2/1p1r2b1/p6p/P4Pp1/R2PN3/7P/1P3PK1/4R3 b - -,g7d4
r1bq2k1/pp1n1pbp/3p2p1/2pP4/4PP2/8/P2N1PBP/1R1Q1RK1 w - -,f1e1
r1bqkb1r/pp1n1ppp/4p3/3p4/3P1P2/3BBN2/PPP3PP/R2Q1RK1 b kq -,f8d6
2r3k1/5ppp/4p3/1pq5/8/1P1Q4/2P2P2/5KR1 w - -,c2c4
rn1qkbnr/3b2pp/4pp2/p2PP3/3p4/P4N2/5PPP/RNBQKB1R b KQkq -,f6e5
6k1/7p/p3rp2/4N1q1/1P2R3/6rP/P2R1QP1/7K b - -,e6e5
R4bk1/8/1r6/8/1p5P/p7/3B2P1/7K w - -,d2c1
8/1p3p2/5k2/4p1p1/2P1KpP1/1P6/5P2/8 w - -,c4c5
2r5/Q2bp3/p2q1rpk/2pP1p2/2R5/3B3P/P4PP1/3R2K1 w - -,d1e1
rn1q1rk1/pbp1b1pp/1p1ppn2/5p2/3P1B2/3BPN1P/PPPNQPP1/R4RK1 b - -,f6e4
r1r5/3k3p/p1b1p3/1pR1B1p1/1n1P2B1/1P2P2P/1P1K1P2/2R5 w - -,f2f3
8/8/8/3kp3/1p3n1P/2p5/2R4P/3K4 b - -,d5d4
8/pp1bk3/3p2pp/3Pppn1/4P3/1P1B1P2/P1N2KPP/8 w - f6,h2h4
r4rk1/pp2q1pp/5p2/3pN2b/3Q4/7P/PPP2PP1/R3R1K1 w - -,e5g6
rnb2r1k/p4pbp/1pq1p3/2p2p2/2PP1B2/2PB1N2/P2Q1PPP/3RR1K1 w - -,d4d5
r4rk1/1q1nbppp/8/8/Rp1Nb3/4PN1P/1P1B2P1/3Q1RK1 b - -,a8a4
1k6/1p3p2/2p1p3/p1PnP2p/7P/1P4r1/N7/2K2R2 b - -,g3g7
6k1/6p1/p6p/P2P1p2/3b4/1p1N4/7P/3K4 w - f6,d3f4
r2qk2r/1p1nbppp/p1n1p1b1/2ppP3/6P1/1BPP1N1P/PP2QP2/R1B1KN1R w KQkq -,f1g3
r1bq1rk1/1p4pp/p1n1pn2/2bpN3/5B2/2NB1Q2/PPP2PPP/R4RK1 b - -,c5d6
1r3r2/3b2kp/3p1pp1/1ppP4/2P1P3/1P3B2/2R3PP/3R2K1 w - -,c2a2
rn3r1k/pp2p2p/5bp1/q1p3N1/2B2Q2/8/NPP3PP/1K1R3R w - -,g5f7
1rb2rk1/4bppp/p1np2q1/4p3/2P1P3/1p2BB2/PPN2PPP/R2Q1RK1 w - -,c2e1
6k1/p3bppp/4p3/3n4/1p6/4P1P1/PP3P1P/2N1B1K1 b - -,f7f5
8/3n2p1/3r1nPp/PP1p1k2/3R1P2/K3PB2/8/8 w - -,a3b4
rn4k1/4b1pp/p1pp2q1/1p6/3PprN1/2N4P/PPPQ1P2/2KR3R w - -,d1g1
r2k2nQ/7p/3N1pp1/8/p2P4/Bq6/2RK1PPP/8 b - -,b3d5
8/1n4pk/2Q1p2p/1P2Pp2/8/2pq1PPK/2R4P/8 w - -,c6c3
r4rk1/bpp1qpp1/p1npbn1p/4p3/4P2B/2PP1N2/PPB1QPPP/RN1R2K1 b - -,g8h8
3r4/1p4kp/p2pqnp1/2p5/P3PQ2/5P1P/1P4P1/R2R2K1 b - -,f6h5
4N3/6p1/7p/p1n2k1K/1r6/8/7P/1q2R3 w - -,e8g7
rnb2rk1/pp2ppbp/3p1np1/q1pP4/2P1P3/2N4P/PP1B1PP1/R2QKBNR b KQ -,a7a6
8/5p1p/5k2/6p1/PR6/r7/5PK1/8 b - -,h7h5
2r2k2/3n2p1/1p2Q1p1/1q1p2P1/3P4/4R3/5PKP/8 b - -,b5c6
2rq1rk1/1p2b1p1/2nn4/p1p1p3/P1P3Pp/2P1B3/1P2QNBP/R4RK1 b - -,b7b6
8/pRQ5/2B1P2p/kp6/2pqP1Kp/8/P6P/8 b - -,a5b4
2rq2k1/pp2R3/3n1Pp1/7p/7P/4Q3/PPP5/1K6 w - -,e7g7
2br2k1/1pbn1pp1/3p1q1p/3Pp3/4P3/1P1B1N2/N2Q1PPP/R5K1 b - -,d7c5
8/8/b3N3/8/3pK3/k1bN4/8/8 b - -,a6b7
4r3/p2q1k2/4r1p1/4bp1p/2p4P/3P1QP1/P1PBR1K1/5R2 w - -,d3c4
r1r5/p1R2p1p/3n1kp1/3b4/3N4/4P1P1/P2N1P1P/R5K1 w - -,c7d7
2kr3r/ppq2pp1/3bpnp1/2Pn4/2B5/2P2Q1P/PP1BNPP1/2KR3R b - -,d6c5
rnbqk2r/1p4b1/p2ppn1p/6P1/3NP2p/2N5/PPP1B3/R1BQ1RK1 b kq -,h6g5
8/8/8/6K1/7r/4k3/8/8 w - -,g5h4
6r1/1p2kp2/p1pR2p1/P1P1P2p/1P3P1P/4PK2/8/8 b - -,g8g7
r4r1k/pb3p1p/1p2p3/2pnN1pq/3P3b/7R/PPPBBP1P/2K2QR1 b - -,h5h6
8/8/pP1k1R2/Pr6/3K4/8/6b1/8 b - -,d6d7
r1b2rk1/p1pnqppp/1p1p1n2/4p3/1PPP4/P3PN2/1BQ2PPP/R3KB1R w KQ -,f1e2
3rr1k1/pp1qnpb1/2pp3p/4p1p1/1P1PP3/2P1RNPb/PBQ2P1P/R5KB w - -,a1d1
1rr3k1/5pp1/5n2/1n5p/1P6/3RNPP1/5PK1/1B3R2 w - -,e3d5
rn1qkb1r/pbpp1ppp/1p2p3/4P3/2P1N3/5N2/PP1P1PPP/R1BQKB1R b KQkq -,b7e4
r1b1kb1r/1pq2pp1/p3pn1p/4N3/3B2PP/2NR1Q2/PPP2P2/2K1R3 b kq h3,f8d6
3r4/3rbp1k/pq2bnpp/1p2p3/2PpP3/P2PNQ1P/2B2PP1/RRB3K1 w - -,e3d5
r4rk1/pb1nqpbp/1p1p1np1/2p1p3/2PP4/P1N1PN1P/1PQ1BPPB/R4RK1 w - c6,a1d1
r4k2/1p3Pp1/p3b2p/2p4r/5RP1/2P2N2/PP2K3/3R4 b - g3,h5d5
r5k1/2q1bppp/p3p3/1pp1P1P1/1nb1NP1P/P3B3/1PP2QB1/K2R4 b - -,a8d8
8/7k/8/3Pp3/2r1P3/8/8/1K1R4 b - -,c4e4
5rk1/ppB1p2p/2p1P1p1/8/4Q3/P1b1P3/4qPP1/5RK1 w - -,c7g3
7r/8/P4K2/1R5P/6k1/8/8/8 w - -,f6g7
r5k1/p3r1pp/2p5/n4p2/3PpB2/P1P3PP/2P3P1/1R2R1K1 w - -,g1f2
8/5k2/p7/1pp2pPN/2P4P/PP6/6K1/4r3 b - -,b5c4
8/R1kr2pp/1n3p2/1P2p3/4P3/2KN1P2/6PP/8 b - -,c7d6
rn2k2r/1b2qppp/p3p3/1pnpP3/5P2/2NB1N2/PPPQ2PP/R3K2R w KQkq -,e1g1
rnb2rk1/ppq1ppb1/2pp1npp/8/P2PP2B/2N2N2/1PP1BPPP/R2Q1RK1 b - -,e7e5
6k1/1p1q2p1/5p2/p3n2p/1PP1p2P/P3P1P1/1Q4K1/4N3 w - -,c4c5
1r1q1rk1/2p1n1p1/Rn1pp2p/1p6/3PP3/1P3N1P/2PN2P1/Q4RK1 b - -,d8c8
rnbqkbnr/ppp1pppp/3p4/8/4P3/6P1/PPPP1P1P/RNBQKBNR b KQkq -,g7g6:c7c5:g8f6
4q3/pb1r3k/1p1r3p/6p1/1P2n3/PBN1P2P/1Q3PP1/2RR2K1 b - -,e4d2
3rr1k1/p2q1pb1/7p/1P4p1/P1RnP3/3N1PP1/3B1N1P/3Q1K2 w - -,d2a5
2r3k1/ppr1qp1p/3bp1p1/3p4/3P1PP1/2PN1R2/PP2Q2P/5R1K w - -,f4f5
r5k1/2qn1ppp/p4n2/1pb1pP2/8/1B3NB1/PP1Q1P1P/3R2K1 w - -,f3g5
r2q1rk1/pp3pp1/1b1p1n1p/2p1pP2/7N/P2P3P/bPP2PP1/R1BQR1K1 w - -,a1a2
8/p1r2p2/3k2p1/1Kp4p/1nP2p2/5B1P/3R1PP1/8 b - -,d6e7
4kb2/5p1p/pq3np1/5p2/2P5/2N1P1P1/5PBP/3Q2K1 w - -,c3a4
r4rk1/1p3ppp/1p2pn2/2bp1b2/3N4/P1NP2P1/1P1BPPBP/R4RK1 b - -,c5d4
1n2r1k1/7p/p3p1p1/1b2Np2/Nb1PpP2/4P3/1P3KPP/R1R5 b - -,a6a5
2q1kn1r/3bbn2/p2p1p2/2pPp1pp/P1P1P2P/1RNBBPP1/3QKN2/8 b k -,c8c7
1r1q3k/p2b2p1/n1p4p/Pp2pr1B/4P3/8/1P1Q1PPP/2RR2K1 w - -,e4f5
r1b1kbnr/1pq2ppp/p1p1p3/8/4P3/3B4/PPP1QPPP/RNB1K2R w KQkq -,e4e5
6k1/pp4bp/3p4/2pP1b2/2q2P2/2N5/PP1Q1BP1/4r1K1 w - -,f2e1
2qr1b1k/1p3bpp/5p2/1p6/Q3P2N/P5P1/3B1P1P/4R1K1 w - -,a4a5
rnb2rk1/pppp2pp/4p3/5p2/2PP4/P4PPN/1PQ1P2q/R1B1KB2 w Q -,c1f4
5k2/6pp/4Rn2/1r2p3/2N1P3/5P2/6PP/6K1 b - -,b5c5
6k1/1R6/6P1/5K2/1p1p4/p1r5/P1B5/4b3 w - -,c2b3
k2r2r1/ppq2p2/8/4p3/2BBPnn1/2P2Q1p/P1PR3P/1R5K w - -,b1g1
r6r/pp1k3p/3Pp2Q/3p1p2/3P4/7P/PP3PP1/6K1 b - -,d7d6
1r6/p2b2k1/1p5p/P1pPn3/2P1Bp2/4N3/7P/1R4K1 w - -,e3g2
r4rk1/pp1nppbp/2p2np1/q2p4/2PP1B2/2NBPQ1P/PP3PP1/2R2RK1 b - -,d5c4
8/3b4/3n1kp1/2pPp2p/2P1p2P/4N3/2B2KP1/8 w - -,g2g3
1rb1k2r/1pq2ppp/p2pnn2/2pBp3/4P3/NQPPB3/PP3PPP/R4RK1 w k -,f2f4
r2qkb1r/3bpp1p/p1np1np1/1pp5/4P3/2P2N2/PPBP1PPP/RNBQR1K1 w kq -,d2d4
r3kb1r/1q1Bnp1p/p3p1p1/3p4/3P1B2/P1N2Q2/1P3PPP/R4RK1 b kq -,b7d7
4r1k1/2p2p2/3p4/3PbQpp/1pP3Pq/5P2/P5KP/5RB1 b - -,e5h2
1r2k2r/p1q2p1p/n1p2Pp1/4p3/2P1Q3/b1B5/P5PP/1B1R1R1K b k -,a3b2
3b1r1k/1R3ppp/P5q1/3Bp3/1P2P3/3Q2P1/5P1P/2rR2K1 b - -,c1d1
8/8/ppr1pkp1/7p/PP6/3R4/1KP4P/8 b - -,e6e5
rq1r2k1/pp2bppp/2n1pn2/1N6/3Pb3/P3B1P1/1P1NBP1P/2RQ1RK1 b - -,e4f5
3r2k1/R1pq2bp/6p1/3Pp3/6P1/1P6/P2Q2BP/6K1 b - -,g7f8
8/pp5p/5p2/2p1b3/P1P1K1Pk/1P5P/8/6N1 w - -,e4f5
8/8/3Rrn1p/3pBk2/2pP3K/2P2P2/8/8 w - -,d6d8
8/3R4/8/6P1/k4P2/1n6/3p2K1/2r5 b - -,c1c4
8/8/8/8/1Rb1k3/6P1/5K2/2r5 w - -,b4a4
r1b1k2r/2qp1ppp/p3pn2/1p6/1bn1P3/1NN1BP2/PPP3PP/2KRQB1R w kq -,e3d4
5b2/8/3p3p/5k2/8/1P3K1P/1B4P1/8 w - -,g2g4
8/1p1n2bk/1P1p4/3q3p/4p1P1/3nP2P/4B2B/5Q1K b - g3,d7b6
r1bq1rk1/b3nppp/2pp1n2/1p2p3/3PP3/P1N3PP/1P2NPB1/R1BQ1RK1 b - -,c8a6
1r1qr1k1/1pb2ppp/p1p1pn2/2Pp1n2/N2P1P2/1P4P1/PB2QPBP/2RR2K1 b - -,f6d7
1kr4r/1p3ppp/pq2p3/3pP3/PP1QnP2/2P4P/B5P1/R4RK1 w - -,g1h2
b7/6pk/2p1p2b/2Pp1q2/3Pn1NP/1P2PP2/1B4QP/6K1 b - -,e4f6
5k2/p1p1r3/2B2np1/p3pPp1/8/2P2PP1/P4K1P/4R3 w - -,f5g6
2k4r/ppp1rqp1/4bp2/1Bp4p/3B3P/1P6/P1PQ1PP1/1K1R3R b - -,c5d4
r1b2rk1/pp2ppbp/2n2np1/1Nq5/2B2B2/1Q2P3/PP2NPPP/2R1K2R b K -,c5h5
r3k2r/1bpnqpb1/pp1pp2p/6pn/2NPP3/2PB1NB1/PP2QPPP/2KR3R w kq -,f3d2
8/5pkp/p1qpn3/1r4P1/1p3P2/1N2Q3/PPP5/1K1R4 w - -,b3d4
6k1/1p3p1p/4bbp1/r3p3/3nPP2/pPNB4/P1P2B1P/1K5R w - -,f2d4
r1b1kb1r/p4pp1/4p2p/q2pP3/3P1P2/5Q1N/P2B2PP/R4RK1 b kq -,a5d2
8/5p2/8/8/4k3/8/6K1/8 b - -,e4e3
8/7p/k5b1/3N1p2/3KpP2/8/7P/8 b - -,a6b5
3rr1k1/1bqnbppp/pppp1n2/4p3/P2PP3/1PN2NPP/1BPQ1PB1/3RR1K1 b - -,d7f8
8/1k6/1pr5/5N1P/1bP1RR2/4P1P1/2r5/6K1 b - -,c6c7
r4rk1/pp1bbppp/nq2pn2/1N1p4/P1pP1B2/2P1PN1P/1PB2PP1/R2QK2R b KQ -,d7b5
6k1/R7/6P1/4Kp2/p6P/8/8/1r6 b - -,f5f4
r2q1rk1/1b2bppp/p3pn2/2n5/R7/1N1Q1NP1/1P2PPBP/2B2RK1 w - -,b3c5
4q1rk/pp2bp2/2p1pp1p/4P2P/8/6Q1/PPPK4/4R1R1 w - -,g3g8
r1b2rk1/pp2pp2/3p3p/q1pP2p1/2PbP1n1/2N2NP1/PPQ1BPP1/R3K2R w KQ -,e1g1
r1b2rk1/1pp1qppp/5n2/2n1p3/p1P1P3/P1N2N2/1PQ1BPPP/R3R1K1 b - -,c7c6
r1bq1rk1/ppp1bppp/5n2/3p4/1nPP4/2NB1N1P/PP3PP1/R1BQ1RK1 w - -,c1e3
r6r/1p1qnkb1/2np2pp/p1p1p3/2P3P1/P1NP2P1/1P2PPB1/1RBQ1RK1 w - -,e2e3
2rq1rk1/1p3p1p/p1b1p1p1/4P2n/P3N3/8/1PBQ1PPP/R3R1K1 w - -,e4d6
2krr3/pp5p/1q4p1/1N1p1n2/2n3P1/2P5/PP2QP2/2KR2NR w - -,e2c2
8/6pk/6rp/2b5/1p2q3/1P2pRB1/2P1Q1PP/7K w - -,h2h3
8/p1r3p1/1p2k2p/4Pp1P/8/P1P2KP1/1P6/3R4 b - -,e6e5
2r5/p1PR4/7p/2kP2p1/8/7P/3K4/8 w - -,d5d6
r2qk2r/1b1nbppp/pp1ppn2/8/2PN4/1PN1P3/PB2BPPP/R2Q1RK1 b kq -,e8g8
8/8/3R4/1q3p1k/5RpP/6P1/5PK1/8 w - -,d6d8
4b3/8/4pk2/7p/5P1K/7B/8/8 b - -,e8f7
8/p4kp1/1p1b1pnp/1P1p4/P2P3P/5NP1/1r1B1P2/R4K2 w - -,d2c1
4B2n/1k5P/8/PK6/8/5P2/8/8 w - -,a5a6
r2q1rk1/1p2nppp/3p4/1Bp1p3/2PbP1b1/P2P4/R1Q2PPP/1NB2RK1 w - -,b1c3
3b2k1/p2n3p/1p1np3/1Pp2p2/2P2P2/P1N1N1P1/1B5P/6K1 w - -,c3d1
r2q1rk1/p2n1ppp/1p2pn2/6B1/3Pb3/P1PB1Q2/5PPP/R3K2R w KQ -,d3e4
r1bq1rk1/2ppbppp/p1n2n2/P3p3/1p2P3/1B3N2/1PPPQPPP/RNB1K2R w KQ -,e1g1
rnbqk2r/pp3ppp/2p1pn2/8/2PPp1Q1/P1P5/5PPP/R1B1KBNR w KQkq -,g4g7
r3k1r1/1pp2p1p/p1np2n1/8/4P3/1BB2P1b/PPPN1R1P/R2QK1q1 w Qq -,d2f1
5R2/8/6k1/3p4/3P3K/p1P4N/5P2/r7 w - -,f2f3
8/3bk1p1/R2n2P1/1p1B1p1p/3K3P/P7/8/8 b - -,f5f4
8/4k3/1bPp4/R2Pp1pp/2K2p2/5P1P/6P1/3B4 b - -,b6a5
r1b1k2r/1p2bppp/p1n1pn2/2P5/8/4BN2/PPP2PPP/RN1R1BK1 b kq -,f6g4
1k5r/ppn1q3/2p2bp1/3n1p2/7P/PQ2PN2/1P2BP2/1KB4R b - -,f6h4
rnbqk2r/1p1p1ppp/p4n2/4p1B1/1b2P3/1NN5/PPP2PPP/R2QKB1R b KQkq -,d7d6
8/p3q1kp/1pn3p1/1b6/P4Q2/3p3P/3N2P1/5RK1 b - -,b5a6
2qr2k1/p4rp1/1p2Qb1p/8/2pP4/B1P3P1/P6P/4RRK1 w - -,e6e4
1r6/3b1k1p/2p3p1/1rB1p3/p5P1/R3KP1P/PPR5/8 w - -,a3a4
8/1pPbqpk1/3p3p/2rPpP2/4P1Pp/3P4/1R6/4QBK1 b - -,b7b5
8/8/p7/1p3k2/5P2/r5PP/P4RK1/8 b - -,b5b4
8/1p1k1r2/p1bP3r/1N4R1/P7/8/2P2P2/2KR4 w - -,b5d4
r4rk1/pppq1pp1/3pb1np/2b1n3/4P3/2P2NBP/PPQNBPP1/1K1R3R b - -,d7c6
rnb1kb1r/pp1ppp1p/5np1/q7/3N4/2N3P1/PPP1PPBP/R1BQK2R b KQkq -,f8g7
2r2rk1/1bqp1ppn/p7/5PQ1/1p1p4/3BR3/PPP4P/2KR4 w - -,g5g4
1Q6/7k/4PK1p/3q4/8/6P1/8/8 w - -,b8c7
r4r2/ppq2p1k/6p1/2p1nb1B/4P2P/2B5/PP2QP2/2KR2R1 b - -,f5e6
1rb4r/1p2kppp/p7/2bR3n/1P6/2P5/P4PPP/2K2BNR w - -,d5c5
8/8/8/6b1/6k1/6P1/2r1R3/5R1K b - -,c2e2
rn2k2r/ppp1ppbp/1B4p1/8/2q1P3/1QN2B2/PP3PPP/R3K2R b KQkq -,c4b3
r1bqkb1r/pp1npp1p/5np1/1BpP4/2P2P2/8/PP1P2PP/RNBQK1NR w KQkq -,g1f3
6k1/1p1r1rp1/4Q3/7K/6P1/7P/P7/8 b - -,g8f8
8/8/2B3p1/6k1/p5p1/2bP4/P4RKP/1r6 b - -,c3d4
5rk1/pbq3bp/1p4p1/2p1pp1n/PPNpP3/3P2PP/2P2PB1/1RQ1R1K1 w - f6,b4c5
5nk1/1p1P1ppp/p7/b7/4qPP1/3R3P/2Qp2K1/8 w - -,g2g3
3rr1k1/ppp2pbp/6p1/2B5/8/1P3KP1/P1P1PP2/3R1R2 w - -,d1d3
r1bqr1k1/1pp2p1p/2n2np1/4p3/1bPpP3/P2P3P/1BBNQPP1/R3RNK1 b - -,b4c3
4nrk1/1p2qpbp/pNp1b1p1/2Pp4/3P1PP1/8/PP2BP1P/R2QK2R b KQ -,e6g4
rnbb1rk1/ppp3pp/4Nn2/4pp2/2P5/2N3P1/PP2PPBP/R1B1K2R b KQ -,f8e8
3r2k1/p3bp1p/Pp2p3/2r2p2/2p5/2P3P1/1PN1PPKP/R2R4 b - -,c5d5
r6k/p6p/2pNp1pP/3b4/1p3r2/5P2/PPP3P1/2KRR3 w - -,d6e4
2kr1bnr/1bpq1ppp/pp2p3/n2pP3/3P2QP/P2B1N2/1PP1NPP1/R1B1K2R w KQ -,e1g1
r1bq2k1/pp3pbp/1n4p1/3p4/8/1PN3P1/1P3PBP/R1B1Q1K1 w - -,c1f4
6k1/4pp2/4n1p1/2p1q2p/2P5/1PN2Q1P/6P1/7K w - -,c3d5
r1b2rk1/pp1pqppp/2nQpn2/1N6/4P3/2N5/PPP2PPP/R3KB1R b KQ -,e7d8:f6e8
rn3rk1/p2qbppp/2p2n2/1p6/2BP1B2/2N5/PP3PPP/R2QR1K1 w - b6,c4b3
rnbqk1nr/pp2ppbp/3p2p1/2p5/4PP2/2P2N2/PP1P2PP/RNBQKB1R w KQkq -,d2d4
1rb1k1nr/p3ppb1/1qpp2p1/7p/2pPP2P/2N1BP1N/PPPQ2P1/1K1R3R w k -,c3a4
8/7p/p3k1p1/4pp2/1n6/1P4PP/1R1NKP2/2r5 w - -,d2f3
2r1k2Q/p1q2p1N/1n2p1p1/1p5p/1P5P/8/P4PP1/4R1K1 b - -,e8e7
8/r7/P3pk1p/4p1pP/4PpP1/5P2/2R1K3/8 w - -,c2a2
2bq1r1k/r2n1pp1/pp3b1p/4p3/4N3/4QNPB/PP3P1P/2RR2K1 b - -,a7c7
4rr1k/pp4pp/2p5/4n3/1P1QPP1q/2P4P/P5B1/4RRK1 b - f3,f8f4
r1b1kb1r/pp1nppp1/1qp2n1p/3p4/3P1B2/2NQ1N2/PPP1PPPP/2KR1B1R b kq -,f6g4
