8/8/8/6k1/5p2/5P2/2Q3P1/q5K1 w - -,g1f2
1rr3k1/bpp1n1p1/3pp2p/P3p3/2N1P3/2PP1N2/5PPP/RR4K1 w - -,b1b5
r1bq1rk1/pp1n1ppp/3b1n2/1N1pp3/3P4/1P1BPN2/P4PPP/R1BQ1RK1 b - -,d6b8
2rr4/5pk1/p4qbp/1p1p2p1/3N4/1PR2P2/1P1Q2PP/R5K1 b - -,d8e8
8/pp5p/5kp1/8/3pK3/7P/PP4P1/8 b - -,f6g5
r4knr/ppN2ppp/1qn1p3/3pP3/1P1P4/1Q3N2/5PPP/2B2RK1 w - -,c7a8
r5k1/pb2rpbp/3q2p1/2p1P3/3p1P2/1P1B4/P3Q1PP/B1R2RK1 b - -,d6d5
8/pp6/3rk2p/2b2p2/2P1p3/1P3PP1/P1R1K3/4N3 w - f6,f3e4
4r1k1/1qp2pbp/1p1p2p1/p7/P1PNrB2/5QPP/R3PP1K/5R2 b - -,g7d4
5r2/p5R1/1p4p1/2p2nkp/1n6/7P/P3QBK1/8 b - -,b4d5
r1b1k1nr/ppqnppbp/2pp2p1/6B1/3P4/2PBP3/PP1N1PPP/R2QK1NR w KQkq -,f2f4
8/6k1/6pp/8/P3R3/7P/6PK/2r5 w - -,h2g3
r3k2r/1pq1bppp/p1npbn2/4p3/4P3/1NNQB3/PPP1BPPP/R4RK1 w kq -,a2a3
r1bqr1k1/pp1nbpp1/5n1p/2p5/8/1B3N2/PPP2PPP/RNBQR1K1 w - -,c1f4
r2q1rk1/pp2n1bp/2bp1pp1/2pNpn2/2P5/1QNPB1P1/PP2PPBP/R4RK1 b - -,g7h6
r1n2rk1/2qb2bp/p2p2p1/3Ppp1n/4P3/1PN1QPP1/2B1NB1P/R4RK1 b - -,f5f4
k5q1/2pbr3/6p1/Q2p1p1p/3P1B1P/2P3P1/PP3P2/6K1 b - -,a8b7
2kr3r/1ppnqpp1/p5b1/2p3Pp/2N1PP2/1N1PQ2P/P1P5/R4RK1 w - -,b3a5
r2qrbk1/pb3ppp/1pn2n2/2pp4/3P4/PPN1PNP1/1BQ2PBP/R4RK1 b - -,c5d4
1r4k1/3n1pbp/p3qnp1/2p5/NpP5/1P1B1Q1P/P4PP1/2BR2K1 w - -,f3e3
r2q4/1p4pk/p2N4/5b2/2Q2P2/3P4/PPP4r/2K3N1 w - -,g1f3
3r1r1k/p5pp/2p3n1/5b2/2B5/P1Q4q/1PPB2RP/2K3R1 w - -,c3h3
1kr5/1pqrb1R1/pn1pQ2p/4p3/4P2P/1NN1P3/PPP5/2K4R w - -,g7g2
r3kb1r/pp3pp1/3ppq1p/1b6/4P3/2N5/PPP2PPP/R2QK2R w KQkq -,c3b5
8/R4p2/8/6p1/8/4P3/p3kPKP/r7 w - -,h2h3
8/P2q4/7P/4K3/3Q4/8/2k5/8 b - -,d7e7
3r2k1/1pqbrppp/p1p1p3/2Pn4/PPNP4/6P1/2Q2PBP/1R2R1K1 b - -,d7e8
6k1/5b2/r6p/3n3P/6PK/8/3R4/8 w - -,d2d4
r1q2rk1/ppnbppb1/2pp2p1/7p/2PPP3/1NP1B1PP/P3QPBK/2R2R2 w - -,f2f4
8/8/5k2/5p2/2R5/1r6/5K2/8 w - -,c4a4
r2q1rk1/2pbbppp/1p1p1n2/p2Pp3/2P1P3/PP6/2Q1BPPP/1RB1RNK1 b - -,f6e8
2r3k1/1b1qp1b1/p2p2Rp/1p2r3/3N3p/2PB4/PP4PP/R2Q2K1 w - -,d1d2
r3kb1r/pb1n1ppp/2p1pn2/q5B1/Np1PP3/1P1Q1N2/P4PPP/R3KB1R b KQkq -,c6c5
4R3/8/4n3/3kp3/8/r2P4/2K5/8 b - -,e6d4
4n3/2p1qk2/1p1r2pQ/p3p3/P5Bp/5PP1/2R3KP/8 w - -,h6h7
r1bq1r2/pp3pkp/2n1p1p1/8/3P1n2/P1NB1N2/1P2QPPP/2R2RK1 w - -,e2e3
rnb2rk1/pp2b1pp/2p1p3/3pN2q/2PPp3/1P4P1/P1Q1PPBP/R1B2RK1 w - -,f2f3
8/pp1krp2/2p1n1pp/P6P/2P2P2/1N3K2/5P2/1R6 b - -,d7c7
8/1p1n1k2/p1p1n1p1/P2pNp1p/1P1P3P/2P1KPPB/8/2R5 b - -,d7e5
8/1p2k3/p1b2R2/8/2PB2P1/4K3/6r1/8 w - -,e3f4
r3k3/pp3p1p/4pp2/3n4/5brN/1P4B1/P4PPP/R3R1K1 w q -,a1d1
r3k2r/pppq1pp1/5bp1/4n3/8/2N4P/PPPBQ1P1/2KR3R w kq -,d2f4
r4rk1/2nq1pbp/pp1p1np1/2pPp3/P1P1P3/3B1N1P/1P2QPP1/R1B1R1K1 w - e6,f3h2
7k/1R5p/6p1/p7/2r1B2P/6P1/bP6/6K1 w - -,e4d3
7r/4kb2/p4p2/P1p1pPp1/2npP1P1/P4BN1/1N1B2K1/8 w - -,b2c4
8/6pk/4p2p/2N2p2/4n3/1P4P1/P1Q2PKP/4q3 b - -,e4c5
r1b1qrk1/ppp1n2p/3p4/5pp1/2PPp1n1/B1P1P1PP/P3NPB1/R2Q1RK1 b - -,g4f6
1r1q1rk1/p4ppp/2n2n2/2pp2N1/2P3b1/P2BP3/2Q2PPP/R1B2RK1 b - -,h7h6
r2q1rk1/1b1p1pbp/p1n3p1/2pB4/1pP2N2/6P1/PP2PP1P/R1BQK2R b KQ -,d8c7
rn3rk1/p3pp1p/b2p2p1/1qpP4/8/2PQ1N1P/P1P2PP1/R1B1K2R w KQ -,d3b5
r4rk1/1pq1bppp/p3p1b1/n1Pp1P2/3B2P1/2P5/1P2B2P/R2QNRK1 w - -,f5g6
r1q2kr1/1p1nnp2/2p1p1pb/pPPpP2p/P2P1P1B/1R1BN1QP/6P1/4R2K w - -,h4g5
1r6/r4pk1/6p1/2pqR2p/1PN4P/P4Q2/6P1/1R4K1 b - -,d5c4
2R5/2n5/2r1p2R/pp2kp2/8/P4PP1/1P1K4/8 w - -,d2e2
r1b2rk1/ppp1qnb1/4p1pp/1P1p1p2/3P3P/1BP1PN2/P1QN1PPR/R3K3 b Q -,c7c5
2rk1b1r/3bp1p1/pNBnp3/2p4p/5P2/4BN2/PPP3PP/3RK2R b - -,c8c6
8/p4k2/7R/1r5p/1bK4P/2B3P1/5P2/8 b - -,b4f8
3r1bk1/pB3p1p/4p1p1/1bp5/1P4Pq/P1P2Q1P/5P1N/3R2K1 w - -,d1d8
r5k1/p3qpbp/2p1b1p1/1pB1p1P1/4P2P/2N5/PPP2PNR/2KQ4 b - -,e7c5
8/5k2/r7/1R2KP2/8/8/8/8 w - -,b5b7
8/7p/1n1k1N2/1p6/1PpP4/P5P1/3K1P1P/8 w - -,f6e4
1k1q3r/pb3p2/4pP1P/1pR5/8/3pB3/PP3PP1/2Q2K2 b - -,d8f6
4k3/1p4p1/1rpRb1r1/p1n1PpBp/3R1P2/1P5P/P5PK/3B4 b - -,g6g5
r3r3/7k/1N1b1qbp/p1pp2p1/3pp1P1/1P1P3P/P2B1PQ1/3RR1K1 b - -,d6h2
7r/5pk1/3p1bp1/2q5/1pPpP1B1/1P1Q2P1/r4PK1/3R1R2 w - -,d1d2
r3k2r/1b1q2pp/p2pp1n1/npb3NQ/4P3/2N1B3/PP3PPP/2R1R1K1 b kq -,e8c8
r5k1/2qbbppp/3p1n2/1pnPp3/1Np1P3/2P1BP2/1PB1Q1PP/3R1NK1 w - -,e2e1
8/4r3/p1B5/5k2/2PBp3/1P2K3/P7/8 w - -,b3b4
6B1/8/6k1/p4pp1/Pb6/1P3K1P/8/8 w - -,g8c4
8/R7/7k/3b3P/P4nPK/8/8/6r1 b - -,d5e6
r3kb1r/1bqn1p2/pp1ppnpp/8/P2NPPP1/2N2B2/1PP1Q2P/R1B2RK1 w kq -,c1e3
1kr4r/1p2bpp1/p2p3p/q7/5p2/1Q3B2/PPP3PP/1K1RR3 b - -,a5c7
rnbqk2r/pp1nppbp/3p2p1/P7/2PP4/2N2N2/1P3PPP/R1BQKB1R b KQkq -,e8g8
8/5p2/1p4p1/6k1/8/4P1KP/1r3P2/2R5 b - -,b6b5
8/r5kp/5pp1/8/1pB1P1P1/2bP4/5RKP/rR6 w - -,f2f1
r1bqr1k1/pp1nppbp/2pp1np1/6B1/3P4/3BPN1P/PPP2PP1/RN1Q1RK1 b - -,e7e5
5r2/2pb2k1/3p3p/2pP4/P1P1B2P/1P6/2p2P2/2K4R w - -,f2f3
2r1r1k1/1q1b1ppp/p7/2bn4/3N4/PPp2NBP/2Q2PP1/R3R1K1 w - -,b3b4
3q1r1k/rp2nbpp/2n2p2/1Q2p3/P1NpP3/2BP1NPB/5P1P/R1R3K1 b - -,d4c3
8/5nk1/4p1pp/8/6PP/6K1/8/5R2 b - -,f7d6
8/5pk1/6p1/p1R4p/2R4P/1r4P1/4KP2/4b3 b - -,e1b4
8/6p1/1kP4p/bP6/2B5/6P1/5P1P/6K1 b - -,b6c5
5k2/4r1pn/1pp3p1/p3p3/P1B1P2P/1PN1P3/6K1/8 w - -,c3d1
3Q4/4rkq1/3p2p1/3P1p2/1pB2N2/1P5P/6P1/7K w - -,d8d6
2rq1rk1/1b2ppb1/p2p1npp/1p6/2nPPB2/P1NB1N1P/1P2QPP1/2RR2K1 w - -,d3c4
r1b2rk1/ppb1qpp1/2p4p/8/2PB4/8/PPQ1BPPN/R4RK1 b - -,c7h2
2k1r3/1ppq2p1/p1np1p2/5b1p/7P/1PP2P2/PKPQ1BP1/3RrB2 w - -,f2e1
rnbqk1nr/pp1pppbp/6p1/8/3pP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,f3d4
6k1/pp1q2pp/3b1p2/3p4/1P1P4/P4NPP/5P2/4Q1K1 w - -,g1g2
6k1/pb1n1pp1/3q3p/r2p4/3B4/P1RBPN2/5PPP/R5K1 w - -,f3h4
r2q1rk1/1p1nbppp/2p1pn2/8/p1PP4/1P1B1QN1/PB3PPP/R4RK1 w - -,a1d1
8/5pk1/4p1p1/3qP2p/p6P/P1Q5/1P4PK/8 b - -,d5e4
8/5pk1/ppr1bp2/8/1PnQ4/P6P/4B1PK/8 b - -,b6b5
8/3n4/2k5/2P5/pK4p1/P7/5N1P/8 w - -,f2d3
1r5k/p2b1r1p/3Pp1p1/1pp5/5P2/3PNR1P/PbP3B1/4R1K1 b - -,b8b6
2r3k1/R4pp1/2p1p3/2Pr4/3P2p1/8/P4PK1/3R4 w - -,a2a4
3b4/4k3/6pp/1p3p2/3P4/Np2P3/rP1R1PPP/2K5 b - -,b5b4
r4k2/2R5/6p1/8/ppB2r1p/1P3P2/P1P5/1K1R4 b - -,a4a3
8/1pp2kp1/5p1p/p1PQ4/P7/1P4P1/3r2PP/5RK1 b - -,d2d5
2r1r1k1/p1B4p/p3ppp1/2R5/3PbP2/P3P3/1P1K3P/2R5 b - -,e8e7
r1bq1rk1/1p2bppp/p2ppn2/4n3/3NP3/2N1BB2/PPPQ1PPP/R4RK1 w - -,f3e2
6k1/5ppp/4p3/4P3/p2P3P/N2n4/5PP1/6K1 w - -,g1f1
r3k3/1pb5/4pp2/2Pp1b1r/p2P2pP/P4N2/1P1R1B2/2K3R1 b q -,c7f4
4r1k1/5pp1/7p/8/P2p4/6PP/4QP1K/3R4 b - -,e8e2
1rb1k2r/2q1bppp/p1nppn2/1p6/3NPP2/2NBBQ2/PPP3PP/4RRK1 b k -,c8b7
r4rk1/p2q1pbp/2bppnp1/1p6/1n1PPP2/2N1BN1P/PP4P1/1BRQ1RK1 w - b6,d1b3
1R6/5p2/6k1/1p4pp/8/2r2K1P/6P1/8 w - -,f3f2
8/3B4/5k2/6p1/8/8/7K/6r1 b - -,g1d1
1B6/p5p1/Bp1n1k1p/5p2/PPn5/7P/5PP1/6K1 w - -,b8a7
8/pp2n1p1/8/4pp2/2Pk4/6PP/PP1NKP2/8 w - -,d2f3
3r4/3Pk3/1p3np1/1Bp4p/P6P/8/1P6/5RK1 w - -,f1e1
4rr1k/pppbqnb1/3p3p/1P2p2n/P1NPP1p1/1NPB4/2Q2PPB/2R2RK1 b - -,f7g5
r5k1/1p3r1p/2pp1bp1/p7/1PPp1N2/P2P2P1/5PKP/R4R2 b - -,f6g5
8/4qrkp/Q2R4/5p2/4p2P/4PpP1/PPr2P2/3R2K1 w - -,a6a4
1qbrk3/5p2/3p2P1/Q7/2PpP2p/1P4PP/P5B1/3R2K1 b - -,f7g6
rnb2rk1/ppq1ppbp/2pp1np1/8/3PP3/2N2N2/PPP1BPPP/R1BQR1K1 w - -,e4e5
8/8/3n4/1pN3K1/1P1P4/2P1k3/8/8 b - -,e3d2
8/5ppk/7p/3p4/r7/P4PP1/5P2/R4K2 b - -,g7g5
3r2k1/1p3ppp/6n1/p2Pp3/1bn1P3/3N1PPB/6KP/1RB5 b - -,b4c3
2n2r1k/1bqn2bp/3pBrp1/1ppP4/2N2B2/4R3/1PP1N1PP/3Q1R1K w - -,c4d2
2k1B3/1p6/p4p1n/2pp4/3P3P/2P3P1/PP6/2K5 w - -,c1d2
5bk1/p4n1p/1pp1q1p1/2p1p1B1/4P1NQ/1P1P3P/P1P3P1/6K1 b - -,h7h5
8/2n1r1k1/1p1b2pp/1Bp1p3/P1R4P/3P2P1/3BPPK1/8 w - -,b5c6
3r1r1k/1p2q1pp/n1p5/4p3/PpQ5/1N1P2PP/4P3/R4RK1 w - -,g1g2
rn1qkb1r/5p1p/p2p1np1/1ppP4/4P1b1/P1NB1N1P/1P3PP1/R1BQK2R b KQkq -,g4f3
1r4k1/3nqbp1/2p2p1p/p3pP2/2p1P3/P2p1NPP/1r1R2B1/R1NQ2K1 w - -,g1h1
2r5/5pkp/1p6/3Bn3/R7/5pK1/PP3P1P/8 b - -,c8c2
5rk1/p1r1pp1p/3p2p1/q2P3n/2R5/1P4P1/P3QPBP/2R3K1 b - -,c7c4
r2q1rk1/pp1n2pp/2p1pB2/3p3b/5P2/1P4PP/P1PNP1B1/R2Q1RK1 b - -,d8f6
b5k1/7p/3p2p1/1pnPp1Q1/1Np1Pq2/2P2P2/1PBK2P1/8 w - -,g5f4
8/5ppk/4r2p/2P5/8/3R3P/5PPK/8 b - -,e6c6
2r2bk1/5p2/3p2pp/2n1q3/1p4P1/3QN2P/PPP1R3/3KB3 w - -,d3d5
5rk1/p5pp/4p3/4n3/4B3/Pp4P1/1P1rR2P/6K1 w - -,e2d2
r1bq1rk1/pp2nppp/2nb4/3p4/3N4/3B1N2/PPP2PPP/R1BQ1RK1 b - -,g8h8
br5k/p5r1/2p4p/3n1pq1/N1B1p3/1P4P1/PQ3P1P/3RR1K1 w - -,b2e5
8/5kp1/5p2/8/3B2PP/6K1/2b5/8 b - -,c2b1
8/5p1p/2R1p1p1/p5Pk/P4P2/2Qr4/5K1P/1q6 w - -,c3c2
4rrk1/1pp1n1pp/p2b4/3p3b/8/2P1BN2/PP1N1PPP/2R1R1K1 w - -,f3d4
3r1n1k/5pp1/p3p2p/1p1n3q/3P4/P4PRP/P1QB1P1K/1B6 b - -,f8g6
3r1rk1/5p1p/1P1p1qp1/p1nQp1b1/4P1P1/5N1P/PP3P2/1B1R1RK1 w - -,f3g5
r2qrbk1/pp1b1pp1/2pp1nnp/8/P2NP3/2N2P2/1PPQ1BPP/R3RBK1 b - a3,d8c7
8/5pp1/7p/R2Pk3/P7/3r2PP/5PK1/8 w - -,h3h4
rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/6P1/PPP2PBP/RNBQK1NR b KQkq -,g8f6:c7c5:b8d7:b8c6
2r2rk1/pq2bppp/1pn1p3/PQpp2Bn/3P4/2P1PN2/1P1N1PPP/R4RK1 b - -,e7g5
2r5/2P1k3/4P3/1p1p3R/pP6/P5P1/1K6/8 b - -,e7e6
rnbqk2r/pp1pbppp/8/2pQ4/8/5N2/PPP1PPPP/R1B1KB1R w KQkq -,c1g5:e2e4
1r6/1PRB3p/P2k4/3p4/6P1/5P2/5K1P/8 w - -,c7c8
8/6bk/3p3p/3P1q1P/1p6/1P3P2/P5K1/3Q4 b - -,f5g5
r1bqnrk1/ppp1n1bp/3p4/3PpPB1/8/2N2N1P/PPPQ1P2/R3KB1R b KQ -,c8f5
8/n6p/4k3/2P2p2/p2R1B2/1b4K1/8/8 b - -,a7b5
rnbqr1k1/1p3p2/p2p3p/2pP2p1/P3P1n1/2NB2BP/1P3PP1/R2Q1RK1 b - -,g4e5
2r5/pp6/8/2k2b1p/8/2P3P1/PP3P1P/2K1R3 b - -,c5d6
r2qkb1r/pp1bpppp/2np1n2/1Bp5/P3P3/5N2/1PPP1PPP/RNBQ1RK1 w kq -,f1e1
1br1r3/1p3pk1/p1b1p1pn/3pP3/3N2P1/1PPBPKB1/1P6/R3R3 b - -,h6g8
8/3q1nk1/3p1n2/1p1Pp1pp/1P2Pp2/5P1P/1Q1BB1P1/3K4 b - -,d7a7
8/Bp3p1k/4rbp1/7p/6q1/1P3RP1/P2QPP2/6K1 b - -,h7g7
8/3r4/1p6/pR2pk2/P7/1P3P2/5KP1/8 b - -,d7d2
4r1k1/pb3pp1/1p3n1p/6q1/1P6/1Q2N2P/P4PP1/1B1R2K1 w - -,b3c2
2r3k1/5p1p/5Bp1/2pR4/8/1n5P/5PP1/5K2 b - -,c5c4
2kr4/pp1n1p2/2b1pq1p/2p5/3P2r1/P1PBQPN1/2P3PP/R3K2R b KQ -,c5d4
6k1/2pn1pp1/p2q3p/1rr2P2/3pPP2/1B1P2QP/P1R3K1/2R5 w - -,b3c4
r4rk1/ppp1qppp/2pb1n2/4p3/4P3/3PNQ2/PPPB1PPP/R3K2R b KQ -,f8d8
3q4/p1p2rrk/1p1p3p/PP1Pnp2/1P2pP2/4Q1P1/2R1B2P/2R4K b - f3,e4f3
r1b1kb1r/3n1ppp/1pp1p3/2Pp2B1/qp1PP3/P1Q2N2/5PPP/1R2KB1R w Kkq -,a3b4
2bqnrk1/4rpbp/p2p1np1/1PpP4/2P2P2/1P1B2NP/1BQN1RP1/5RK1 b - -,a6b5
8/3b4/B2Pkpp1/Pp6/1P6/6P1/5K2/8 w - -,a6b7
r4rk1/1bqnbppp/2n1p3/ppp1P3/8/P1PP1NP1/3NQPBP/R1B1R1K1 w - -,a1b1
rnbqkb1r/p2p1ppp/5n2/2pp4/2B1P3/8/PPQ2PPP/RNB1K1NR w KQkq -,e4d5
r1q2rk1/pp2bppp/2n1pn2/3p4/3P1Bb1/1QPB1N2/PP1N1PPP/R3R1K1 b - -,a7a6
5rk1/8/p1p1p3/1n2P2p/r1NP2p1/3RK1PP/1P6/2R5 w - -,h3g4
r2qk2r/2pbbppp/p1pp1n2/8/3NP3/8/PPP2PPP/RNBQR1K1 w kq -,d1f3:b1c3
k5r1/1p5n/p3qP1P/3pP3/3PpRp1/P1P1B1K1/1P2Q3/8 w - -,f4g4
5r1k/4q1np/p2p4/3B1p2/P1P5/3PpQ1P/1r2N3/5R1K b - -,f8b8
3qk3/5p2/p2ppp1b/1p5N/4bPrP/2r5/PPPQ2P1/1K1R1B2 w - -,d2c3
6r1/2R3P1/8/8/8/Pk5K/1p6/8 w - -,c7b7
r1r3k1/1b1n2p1/1p4qp/pPpP1p2/P1N1p3/Q1N1P3/3R1PPP/2R3K1 w - f6,c3e2
4r1k1/1p3pb1/p4Pp1/q1p4p/P1P1PP2/2N5/1P1R1KP1/5B1R b - -,g7f6
8/8/pp1k1p1p/3ppB2/1P3P1P/P1K1P1P1/8/5b2 b - -,d6e7
4B3/8/1k6/5pp1/1K6/6P1/8/8 w - g6,e8g6
1qr2rk1/p2p1ppp/bpnP1n2/4p1B1/8/1N4PP/PP2PPB1/R2Q1RK1 b - -,a6b7
8/1RNq1pk1/1p4p1/r2p3p/P2Pn3/7P/2Q2PP1/6K1 w - -,b7b8
R1b1r3/1p2qpk1/1Qp3p1/7p/7P/4P1P1/5P2/5BK1 w - -,f1g2
8/R7/8/p3rkp1/3n4/3B3K/P4P2/8 b - -,f5f4
3r4/3P3p/1r3k2/1B1Rp3/4K3/1P6/8/8 b - -,b6e6
8/8/3RK3/8/1r2bk2/8/8/8 w - -,d6a6
r1rq2k1/1p3pb1/2bpp1p1/p1n4p/2P1P3/1PN1BP2/P1RQB1PP/1R5K b - -,g7e5
8/7k/8/R2B3p/PpP4P/6K1/2b1r3/8 b - -,b4b3
4n3/pp2P1p1/5k2/5N2/6p1/7P/PP1K4/8 w - -,h3g4
1k1r4/5p2/2b5/pp3PPp/4P2P/1P6/1PPQ4/2K5 b - -,d8d2
4rrk1/1p2qp2/p1bppbp1/5P1p/4PQ1N/2N4R/1PP3PP/5R1K b - -,f6h4
r2q1r1k/1pp2pbp/p2p1np1/3P4/3BP3/1P4PP/P1Q2PB1/3R1RK1 b - -,f6e8
r3r1k1/2q1ppb1/1npp2pp/p7/4PP1B/1NN4P/PPP1Q1P1/3R3K w - a6,f4f5
r1bqnrk1/2p1n1b1/3p2p1/p2Ppp1p/2P1P3/1NN1BP2/4B1PP/R2Q1RK1 w - -,c4c5
8/1Q6/P4r2/4p1k1/8/4K2p/8/8 b - -,f6f1
r1b1k2r/1p1n1p2/p3p3/3pP2p/Pq3Pp1/2NB4/1PP2P1P/1R1QR1K1 w kq -,c3e2
rnbqk2r/p5pp/3bpn2/1Ppp4/8/5NP1/PP1NPP1P/R1BQKB1R b KQkq -,e8g8
1r3rk1/ppb1qpp1/5n1p/1Q6/2N1p3/P5P1/1P2PPBP/2RR2K1 b - -,f8d8
2rqkbnr/1p1b1pp1/p2p3p/4p3/2N1P3/2NQ4/PPP2PPP/R1B1K2R b KQk -,d7e6:d8c7
4r3/pp6/1b3nk1/1P3p2/2QPp3/4P1P1/1B3P2/7K b - -,e8d8
3r2k1/7p/p5pb/4p3/1B6/P1PpK3/6PP/R7 w - -,e3e4
r1b1r1k1/pp2qppn/2p4p/4n3/1PPN4/P1Q1Pp1P/1B2B1P1/R2R2K1 w - -,d4f3
r3k1nr/pppqppb1/3p2p1/3P4/2P2P1p/6P1/PP2QPBP/R1B1K2R w KQkq -,g3g4
8/p3Qpkp/1p2n1p1/2p1P3/7P/2P3P1/Pq4BK/8 w - -,e7a7
8/5k2/2R4p/8/8/1p3PK1/1r4P1/8 w - -,c6h6
4k3/5R2/4P3/2b5/1p5p/1B3pr1/P7/5K2 b - -,h4h3
8/Rp6/3p2p1/3Pk3/prP5/6P1/5K1P/8 b - -,e5d4
5r2/2q2pkp/b3pnp1/p1p1N3/2PR1P2/6P1/PPQ3BP/4R1K1 b - -,c5d4
4r3/2r2pk1/p1p2bpp/PpPp3q/1P1N2b1/4PBP1/2QR1P1P/4R1K1 w - -,f3g2
r1bqk1nr/ppp2ppp/2nb4/1B6/2pP4/5N2/PP3PPP/RNBQK2R w KQkq -,e1g1:d4d5
2kr4/p1p2prp/2b5/1pb3N1/2p2B2/2N2P2/PP2R1PP/R6K b - -,b5b4
4r3/1p1q1pkp/2pB2p1/p1P5/Pb2P3/7P/1P1rQ1PK/2R2R2 w - -,e2f3
r3k1nr/pp1qppb1/2np2p1/2p4p/2P5/P1NP1NPB/1P2PP1P/1RBQ1RK1 b kq -,d7h3
r3kb1Q/pp1npp1p/1qp1b1p1/8/2p1P2B/2P2P2/P3B1PP/R3K2R w KQq -,h8d4
2r2rk1/1p1bbppp/p1n2n2/q2p4/3N4/4BP2/PPPQN1PP/1K1R1B1R w - -,d4c6
4r1k1/p4pp1/3q2p1/2p5/2QnB3/4R2P/PP3PP1/6K1 b - -,e8e5
r2q1rk1/1b1nbpp1/p1p1pn1p/1p6/3P3B/P1N1PN2/1P2BPPP/2RQ1RK1 b - -,c6c5
1nbq1rk1/r3p1bp/p1p2Pp1/1pPp4/3P4/2N1P3/PP1BB1PP/R2Q1RK1 b - -,f8f6
r4rk1/pp1q2bp/3p2p1/2pNp3/2PnPP2/P3B1P1/1P3QBP/1R4K1 b - -,e5f4
2r5/3b1k2/4p1p1/1pPPbp1p/1B5P/3B4/1pK2PP1/rR2R3 b - -,e5d4
