8/8/pr4pK/7p/7P/4k1P1/8/R7 w - -,h6g5
8/1pk4p/3p2p1/rp1P1bp1/3KR2P/1B6/1P3PP1/8 w - -,e4e7
1R6/5rp1/1R6/2p5/2k5/1p3K2/1r2P3/8 w - -,f3g3
2b1r3/5k2/p6R/2KP1p2/5p2/2N4P/6P1/8 w - -,h6h7
5rk1/p3bppp/1pr1p3/1Np1n3/P1P5/4P1P1/1B1Q1P1P/R4RK1 b - -,e5f3
r2r2k1/pp1q1pb1/2nppn1p/6p1/2P1P3/2N2PB1/PP2N1PP/R2Q1R1K b - -,d6d5
3R4/5kpp/1p6/p7/P1r1p3/5rP1/1P3PKP/3R4 w - -,d1d7
r3n1k1/1p3pp1/1qp1n3/N2p4/1P1P4/2Q2PP1/3R2KP/5B2 w - -,a5b3
3r1r2/1p2p2p/5k2/pPn2p2/8/P1N4P/5PP1/1R1R1K2 b - -,e7e6
1n1q1rk1/1rp2ppp/4pn2/p3N1B1/RbpP4/6P1/1P2PP1P/1N1Q1RK1 w - -,b1c3
5r1k/p2q2p1/2pb1r1p/1p6/3QNP2/2P4P/PP4P1/R4R1K b - -,f6f4
8/5k2/1R2r3/5n2/7p/7K/8/8 w - -,b6b7
1r1r1n1k/2q2pb1/p6p/1p1pPB1P/P1pP1pQB/8/1P4P1/R3R1K1 b - -,c7b6
3rrnk1/p4p2/6pp/2pN3b/Q4P1q/P2BP1R1/1P1K3P/6R1 w - -,a4c4
r1r3k1/pR4b1/2pp1npp/4pp2/2P1P3/P1NP2PP/3B1P2/1R4K1 b - e3,a7a6
r3k1nr/1pqb1pb1/p1npp1pp/2p5/P1B1PB2/2NP1N2/1PPQ1PPP/R4RK1 w kq -,h2h4
r1b2rk1/pp2ppbp/6p1/2pP4/2P2n2/2N2N1P/PP3PP1/2R1RBK1 b - -,e7e6
1rn5/1Bqb1pk1/1p5p/p2Pp1p1/P1p1P3/R1P2PP1/1R3BKP/5Q2 b - -,b8b7
7r/3R1pkp/4p1p1/4P3/5bP1/P2B1n1P/KPP5/8 w - -,d3e2
8/5pkp/6p1/1p1pP3/1P3P2/2P2NP1/3R1K1P/rn6 w - -,d2d5
r1bqr1k1/pp4bp/2pp1nn1/5p2/2PP1P2/2N1BB1P/PP1QN2K/3R1R2 w - -,e2g3
r2qk2r/pp2bppp/1nn1p3/3pP3/3P2b1/1B2BN2/PP1N1PPP/R2Q1RK1 b kq -,e8g8
2r3k1/1b2pp1p/3q2p1/1Pp5/2B1P3/2Q2P2/6PP/2R3K1 w - -,c3b3
r2qk2r/pp2bppp/2n1pn2/2pp3b/4P3/2PP1N1P/PPB2PP1/R1BQKN1R w KQkq -,f1g3
8/1p1k2R1/p4p2/r2p1P2/3P4/1pPK4/1P6/8 b - -,d7c8
3rr2k/p4ppp/3B4/3BP1b1/1p3P2/6P1/PP5P/3R2K1 b - -,g5e7
r2q1rk1/pp1nBpp1/2p1p2p/3nP3/3P4/2NQ1N2/PP3PPP/R4RK1 b - -,d5e7
r1bq1rk1/pp2nppp/2n1p3/3pP3/3N4/2P2N2/PP1Q1PPP/R3KB1R b KQ -,e7g6
1k6/1b1q4/pn3RP1/2bp4/8/8/NPP1Q3/1KB5 w - -,f6f7
8/6kp/R5p1/P3pp2/r7/8/5PPP/5K2 w - f6,g2g3
r1bqkb1r/1pp3pp/n4n2/p2p1p2/1P2pP2/PBN1P3/1BPP2PP/R2QK1NR w KQkq -,b4b5
rnbqkbnr/1p1p1ppp/p3p3/2p5/P1B1P3/2N5/1PPP1PPP/R1BQK1NR b KQkq -,b8c6
6k1/5ppp/p3n3/3N4/2P5/1r4P1/7P/R5K1 w - -,a1a6
r2q1rk1/pb2bppp/1pp1pn2/8/2PP4/4BN2/PPB2PPP/R2Q1RK1 w - -,f1e1
1q3n2/1pQ2pk1/pB1ppbp1/P2P4/1P2PPB1/7P/6K1/8 b - -,b8c7
5B2/3n1pR1/p3p1k1/8/r6p/7P/5KP1/8 b - -,g6f6
2b2rk1/Q4pb1/5n2/3p2q1/1P1N2pp/4P3/PB1N1PPP/2R3K1 w - -,a7b8
rn1q1rk1/ppp2p1p/5n2/3B2p1/4PpbP/2bQ4/PPPPN1P1/R1B1K2R w KQ -,e2c3
7r/3k1ppp/2pbp3/5q2/3Q1nN1/3p1P1P/PP1P4/R1B2KR1 w - -,g4f2
8/4k3/8/6Rp/7P/5PK1/4r3/8 b - -,e7f6
1rb1k2r/1pqn1ppp/p3pn2/2b5/2N5/6P1/PP2PPBP/RNBQK2R w KQk -,e2e3
5r2/2p2rk1/4Rpb1/4p1p1/4P3/2P2P1Q/5K2/8 w - -,e6c6
2kr3r/pppnbppp/2n5/4p3/4P3/2P2NP1/PP3P1P/R1B1RBK1 w - -,b2b4
8/1n4k1/3p1pp1/p1pP4/1rP2PP1/RP3K2/3N4/8 b - -,b4b6
r4rk1/1n2bppp/pq2bn2/1pp1N3/4PB2/2P2N2/P1Q1BPPP/1R1R2K1 w - -,a2a4
r1bq1rk1/1pp2ppp/1b1p1nn1/pP2p3/P3P3/1BPP1N2/3N1PPP/R1BQ1RK1 b - -,d6d5
2rr2k1/5p2/4p1p1/p3P2p/Ppp1NP1P/1P2n3/6P1/2R1R2K b - -,c4b3
R7/6pB/p2r1k2/1p6/P2n4/1P4P1/5PKP/8 w - -,h7g8
8/8/3k4/4p3/1P2B3/7r/2K5/2B5 b - -,d6c7
r1b1r1k1/ppq2pp1/2n2n1p/2p1p3/2N2P2/2PP2P1/P3P1BP/1RBQ1RK1 b - f3,e5e4
r1bq1rk1/pp2bppp/2n1p3/3pP3/3Pn3/5N2/PP3PPP/RNBQRBK1 w - -,b1c3
r1br2k1/1pp2ppp/p1n1pn2/1q6/3P4/1Q3NP1/PP1NPPBP/2R1K2R w K -,a2a4
4k3/4bp2/p2p4/6P1/2P1PB1p/8/P4Q2/2KN1q2 b - -,f1c4
8/1p2k3/p2pN3/2pP1p2/P1P2Ppp/1P6/1b1K2B1/8 w - -,d2c2
4r1k1/2p1qp1p/1p1p1bp1/p1r5/P1P2B1P/4P1PQ/2R2P1K/2R5 b - -,f6g7
r6r/3b2p1/p2N1nkp/1Pq1p3/4P3/3Q4/PP3PPP/2R2RK1 b - -,c5b6
3r1rk1/bpp1qp2/p1n1bn1p/4p1p1/2N1P3/1BP2NB1/PP2QPPP/3R1RK1 b - -,f6h5
2rq1k1r/p2p2p1/4pbQ1/2p4p/2Pn4/4B1P1/PP3PBP/R3R1K1 w - -,a1d1
2r3k1/2r2ppp/p7/1p1QN3/1bP5/1q3P2/2R3PP/2R3K1 w - -,h2h3
1r6/3P2kp/p5p1/2p5/4Q3/6qP/PP6/1K1R4 b - -,g3c3
2rr4/4kpp1/4b2p/ppqpP3/3R1Q2/P1P5/1P1KB1PP/7R b - -,b5b4
r2qr1k1/1b1nbp1p/3p2p1/p2Pp3/R1p1P3/2P1BNNP/1P1Q1PP1/4R1K1 b - -,d8c7
4k2r/1ppr1npp/p3bp2/2B5/2p1P3/4KP2/PPP1N1PP/R2R4 b k -,f7e5
r4rk1/1p1bqpbp/2n3p1/p1n1p3/2Pp4/P2P1NP1/3NPPBP/BR1Q1RK1 w - -,d1c2
3r4/3r1pkp/pp1n2p1/2pP4/8/P1R2B1P/1P3PP1/3R2K1 w - -,d1e1
r1bq1rk1/np3pp1/1p1p4/3N2p1/3Q4/6P1/P3PPBP/R3R1K1 b - -,b6b5
1QR5/pp1r1kbp/4q3/3pn3/1B2p2p/1P2PpP1/P4P1K/5R2 b - -,h4g3
3n1k2/pp3pb1/7p/5Bp1/3P2P1/2P2K1P/PP6/4B3 b - -,f8e7
r2q1r2/1p2ppbk/p2pb3/7Q/7P/2N2P2/PPP5/1K1R1B1R b - -,g7h6
r1bqkb1r/pppnpppp/5n2/8/Q1pP4/5N2/PP1NPPPP/R1B1KB1R b KQkq -,e7e6
8/1p1k2p1/p1br4/6pP/1P4K1/P1R5/4B3/8 b - -,d6d2
8/1p3pk1/p2Q3p/4p3/8/1P2P1P1/6K1/q7 b - -,a1c3
8/4k3/7p/4PB2/5K2/1b5P/8/8 w - -,f5g4
q3rrk1/1p3p1p/1npp2p1/1pn2PPP/4P3/P1P3N1/1PB2Q2/3R1R1K w - -,d1d6
rnb1k1nr/ppp1qppp/8/4b2Q/2BPp3/8/PPP2PPP/RNB1K2R w KQkq -,h5e5
rnbqkb1r/3p1ppp/pp2pn2/2p5/3P1B2/2N1PN2/PPP2PPP/R2QKB1R w KQkq -,d4c5
8/8/3k4/p2r4/K3Q3/8/8/8 w - -,e4e8
2r3k1/p2n1pbp/bp2p1p1/1N6/2PnP3/B1N2P2/PP2B1PP/4K2R w K -,b5a7
4B1k1/8/4NK2/1r2P3/8/8/8/8 b - -,b5e5
3r1bk1/1q4p1/r3pp2/p1p4p/PnN5/3PB1P1/4PP1P/1QRR2K1 b - -,h5h4
8/p7/5k2/1PR5/3p4/8/r3KP2/8 w - -,e2d3
r2q3r/1bp2kpp/p1nbp3/1p2p1N1/8/2P5/PP3PPP/RNBQR1K1 b - -,f7g8
8/3r2p1/1pp1kp1p/1b5P/pP1pN1P1/P2P1P2/4PK2/2R5 w - -,e4g3
1b6/3q2kp/ppp2pp1/8/1P2PP1P/PNQ2KP1/8/8 w - -,b3d4
2kr3r/ppqn1pp1/2pbpnp1/6B1/3P4/5NP1/PPP2P1P/R2QRNK1 b - -,h8h5
r1b1k2r/1pq1bppp/pN6/2pQ4/8/4P1P1/PP1B1PBP/R3K2R b KQkq -,c7b6
8/2k2ppp/p3p3/n1p3N1/n1P5/1P5P/5PP1/6K1 w - -,b3a4
r2q1rk1/p2nbpp1/1p2p2p/3b4/3p4/4PNB1/PP2BPPP/2RQ1RK1 w - -,g3c7
2r2rk1/p4p1p/2p1bp2/q7/2pP4/b1N1P1P1/P1RQ1PBP/R5K1 b - -,f8d8
8/1pbn3p/8/p1Pk2p1/PPN1pp2/7P/3NKPP1/8 w - -,c5c6
1r5r/pB1bkppp/2n1p3/8/2Np4/6P1/PP1KPP1P/R1R5 w - -,b7c6
8/p7/7p/bP6/2BK2P1/3pp3/3k4/8 b - -,e3e2
3rr1k1/2pb1pq1/1pnp2p1/p3P2p/2P2P2/1P3BP1/P2Q1N1P/3RR1K1 w - h6,e5d6
1rbq1rk1/3nppbp/pn1p2p1/2pP4/8/2N2NP1/PP2PPBP/1RBQR1K1 w - -,f3d2
1k1r3r/1p3ppp/1pp1p3/3NPb2/1P6/6P1/P3PPBP/R1R3K1 b - -,e6d5
r1b5/pp3q1k/4p1p1/3pP3/2p2bpP/2P2P2/PPB1K1Q1/1R5R w - -,g2g4
8/2R5/4kpp1/3b3p/4p2P/8/5PP1/6K1 w - -,g1f1
3r2k1/ppR3pp/4p3/3bn3/8/4RP2/PP4KP/8 w - -,e3e5
r6r/pp2ppkq/3p2p1/2pPb3/2P1P3/4N1Pb/PP2QPBP/R3R1K1 w - -,g2h3
r6k/4q1pp/3pBb2/1p1Pn3/3B4/2P4P/1P4Q1/5R1K b - -,e7b7
6k1/5pb1/r2p2p1/4n1P1/4P3/1R3P2/2rB2B1/5RK1 w - -,d2f4
1r3k2/2R2ppp/4p3/1p6/p3b3/P3N2P/5PP1/6K1 b - -,b8b7
2r1r1k1/pp2q1bp/2p3pn/1P1p4/Q2P4/3BP1RP/P2B2P1/5RK1 b - -,c6c5
2R2b2/pp3pk1/5pp1/8/2pp4/8/PP3PPP/6K1 b - -,b7b5
r2r2k1/pp1b1p1p/2n1pp2/8/1PB5/P3PN2/4KPPP/2RR4 b - -,d7e8
q4rk1/4bp1p/p3pp2/2n5/PpQ1b3/1N2PN2/1P2BPPP/R5K1 b - -,c5b3
r1b2rk1/pp4bp/3q2p1/n2Pp3/2p1Pp2/2P2P2/P1BQNBPP/RR4K1 b - -,c8d7
r3k2r/1bp1ppb1/p1n3p1/3PP2p/1p3B2/2QB1N2/qPP3PP/2KR3R w kq -,c3c5
rq2k2r/pp1n1ppp/2pbp3/3p4/2PP4/1P4P1/PB1nPPBP/R2Q1RK1 w kq -,d1d2
rnbqkb1r/pp1ppp1p/5np1/2pP4/8/6P1/PPP1PPBP/RNBQK1NR b KQkq -,f8g7:d7d6
1qrr2k1/1p2npbp/p3bnp1/2Np4/3B1N2/1P2P1PP/P4PB1/2RRQ1K1 b - -,e6d7
1r6/3kpp1p/pr1p2p1/R7/PP6/4K1PP/4PP2/1R6 b - -,d7c7
r2r2k1/ppqnbppp/2p1p3/4Pb2/1PP2B2/P1N2B1P/4QPP1/R2R2K1 b - b3,a7a5
2rqr1k1/1p1n1pbp/p2p1np1/P1pP4/8/2N3P1/1P2PPBP/R1BQ1RK1 w - -,g2h3
4rn1k/6b1/1Bn3p1/p3p1q1/4P1B1/2P2Q2/PP4PP/3R1R1K b - -,e8b8
r4rk1/1Q3pp1/1Bp1q2p/8/pP3R2/Pn4P1/1b2PPBP/3R2K1 b - -,b2a3
2bq1r1k/2r4p/1p3p2/p1n1pPp1/PnBpP1P1/QP1P1R2/4N2P/2R1N1K1 b - -,c8b7
4r1k1/ppn1P1b1/q6p/2p1pBBQ/8/P5P1/1P3R1P/7K b - -,a6c6
1r4k1/3b1pp1/p2r3p/2pPN3/2P2bP1/5p1P/PPB2P2/R3R1K1 w - -,a1b1
2rr2k1/1p2ppbp/nqp2np1/p2p1b2/2PB4/PP1P1NP1/2QNPPBP/1R3RK1 b - -,c6c5
2q5/1b6/pp1bp1k1/5p2/P1BPpNp1/1P2P1Pp/5P1P/5QK1 b - -,d6f4
R1n1r3/6Rk/3p1K2/3P3p/7P/6P1/8/8 b - -,h7h6
4r1k1/8/2p2pp1/R7/PnNPrnq1/6P1/3R1PK1/3Q2N1 w - -,g2h1
2R5/8/4k1b1/7p/8/2Br3P/6P1/6K1 b - -,g6e4
r5kr/pp1qppb1/2n1bnp1/1BPp4/1P1P1NP1/P1N1BP2/3Q2R1/4R1K1 b - -,f6e8
1rb3nk/p1pq1rpp/1N1p1p2/3Np3/1B2P1P1/Q1P2P2/PP1R3P/2K4R b - -,a7b6
2b5/4k3/8/pRp1PPp1/6P1/P5K1/8/7r w - -,b5c5
2r1r1k1/1pq1ppbp/p2p1np1/P2Pn3/3B4/2N2BPP/1PP1RP2/R2Q2K1 w - -,d4e5
1r1r2k1/2q2ppp/p1np1n2/3Pp3/8/B1PP2P1/5PBP/R2Q1RK1 b - -,c6e7
2r3k1/p1qb1pp1/2p3np/P1Qp4/1P6/2PNRN1P/5PP1/6K1 w - -,c5d4
r4rk1/1p2b1pp/1q2p1p1/pP1pP3/PB1P4/3NQ3/5PPP/R4RK1 b - -,a5b4
rn2k1nr/pp1b1ppp/1q2p3/2b1P3/2B5/P4N2/1P1Q1PPP/RNB1K2R b KQkq -,b8c6
8/8/k7/2r1PN2/1p3Pp1/6P1/3K4/8 w - -,f5e3
rnbqkb1r/1p1p1ppp/p3pn2/4P3/3N4/2N5/PPP2PPP/R1BQKB1R b KQkq -,f6g8
2r1r1k1/1p1nbpp1/p1p1pn1p/2Pp4/1P1P1BPP/2N2B2/1P2PP2/R3R1K1 b - h3,e7d8
8/p2k1p2/4n3/4n2p/4P2K/8/8/2R5 w - -,h4h5
2r3k1/pp3p1p/2r1p2p/3pP3/q2P4/4KN2/3Q1PPP/5B1R b - -,c6c1
r2qk2r/pp2ppbp/n1p1bnp1/8/3PP3/P1NQ4/1P3PPP/R1B1KBNR w KQkq -,g1f3
2r3k1/1p1n1p1p/b3p1p1/2b1P3/5P2/NB4PP/PP3B2/3R2K1 b - -,c5f2
r1br1nk1/pp3ppp/2pb1n2/8/1qPP4/1QN2NP1/PB3PBP/3R1RK1 w - -,f1e1
r2qr1k1/ppp2pp1/3pB2p/4b3/4P3/2N1QP2/PPP3PP/1K1RR3 b - -,e8e6
8/1b3pk1/1p2p2p/pB1p4/Pq1PnPP1/5N1P/1P6/2Q2K2 b - -,b4d6
r4rk1/p4ppp/nq3n2/2p5/Q1Pp4/P3P3/4NPPP/R1B2RK1 w - -,f1d1
4r3/6kp/2p5/p4R2/8/8/PPP1p3/4K3 w - -,f5a5
6n1/1b2p1k1/p2p2pp/1ppP4/4P3/3K4/P7/1R6 w - -,a2a4
r1bqk2r/ppp1bppp/2n5/3np3/8/3P1NP1/PP2PPBP/RNBQK2R w KQkq -,e1g1
rn1qkb1r/pb1p1ppp/4pn2/2pP4/2p1P3/5N2/PPQ2PPP/RNB1KB1R w KQkq -,c1g5
2bq2k1/n4p1p/1p1np1p1/pP1p4/3P4/P1NBP2P/1Q1N1PP1/6K1 b - -,c8b7
3rq3/pbr2npk/1p3pNp/1Pp1p3/P3PP1P/3P2R1/1Q2B1P1/5RK1 b - h3,c5c4
2r3k1/ppB2p1p/5bp1/2pr4/8/3PP1P1/PP3PKP/1R1R4 w - -,c7a5
2r1k3/3b1rBQ/p3p3/1pqp1p1B/4n3/P1P5/2P3PP/1R3R1K b - -,e4g5
rn2k2r/pp3ppp/5n2/4q3/1b1Pp1b1/2N3P1/PPNB1P1P/R2QKB1R b KQkq -,e5e7
rnb1kbnr/pp2pp1p/6p1/3q4/3Q4/2P1B3/PP3PPP/RN2KBNR b KQkq -,g8f6
7r/8/4pk2/4p1Rp/4P2P/4KPP1/8/8 b - -,h8h7
rnb2rk1/pp4pp/2pq1n2/3pNp2/3P4/6P1/PPQ1PP1P/RN2KB1R w KQ -,b1d2
8/p4kr1/8/6p1/P1R5/2P5/KP6/8 w - -,c4g4
r1bq1rk1/pppnbppp/4pn2/8/2BPP3/2N2N1P/PP3PP1/R1BQ1RK1 b - -,a7a6
8/kp6/2p5/p5Rp/2P2K1P/5N1r/8/8 b - -,a7b6
8/4pp2/3p1kpp/3P4/pP3P2/Pr4P1/R3K2P/8 b - f3,f6f5
2knr1r1/5p2/p1b1p2p/p2pP3/2pP1P2/B1P2B2/2P3P1/R4RK1 w - -,g1f2
5rk1/2R3b1/3q3p/Qp1P1b2/3p2p1/5N2/PP3PP1/3B2K1 w - -,c7c6
2R5/8/6K1/6P1/1rb1B3/8/1p6/2k5 w - -,g6h6
6k1/5p2/6p1/p1bP3r/2N1R3/8/PPK5/8 w - -,e4e5
8/2K3k1/p1n2r2/1p1R4/8/1P6/P7/8 w - b6,a2a4
5r1k/2p3b1/pp1p1Nqp/4pn2/2P1Q3/6P1/PP3P2/2B2RKR b - -,g6f6
r1b1k1nr/pppp1pp1/1bn3p1/3Np3/2B1P3/5N2/PPPP1PPP/R1B1K2R w KQkq -,c2c3
8/6K1/7P/Rpk3P1/2p4r/8/8/8 w - -,h6h7
3r2k1/4q1pp/pr1p1pn1/1p6/3RP3/2P3QP/PP2B1P1/3R3K w - -,d1d2
3k4/1P4p1/2P1P3/3K4/3B2Pp/8/4r3/8 b - -,d8c7
r1b1k2r/ppp1n1pp/1b1p1p2/1P1B4/P3P3/8/1Q3PPP/1N3RK1 w kq -,b2e2
rnb2rk1/pp2n1pp/4p3/3pPp2/2pP4/P1P2N1Q/2qBBPPP/R3K1R1 b Q -,b8c6
2r1k2r/1b2np2/pB3qpp/4pP2/1p2P1PP/8/1PP2QB1/1NK4R w k -,b6e3
r1q2rk1/1p1b1ppp/p3pb2/8/2PPQB1P/1B6/P4PP1/2RR2K1 b - h3,f8e8
8/8/6R1/1Pp3P1/2P1Pp2/4k3/2r1b2N/6K1 w - -,g6f6
r1bqkbnr/ppp2p1p/2np4/6p1/2BPPp2/3Q1N2/PPP3PP/RNB2RK1 b kq -,c8g4
r1bqr1kb/pp2ppn1/1np3p1/4B3/6P1/2NP1N2/PP2PPB1/R1Q1K2R b KQ -,f7f6
4r2k/R5p1/2P4p/3Q4/8/7P/pq4P1/4R2K b - -,e8e1
r1b1nnk1/4qp1p/2p2bp1/p1P1p3/PpB1P3/1Q1RBN1P/1P3PP1/5NK1 b - -,f8e6
2b4r/r1B2ppk/p2P4/6Pp/5N1P/5Pn1/PPP5/2K1R3 w - -,c2c4
r2q1r2/1p2ppkp/2bp2p1/p1n5/2P1P3/2NB3R/PP1Q1PPP/5RK1 b - -,h7h5
5r2/p3p3/1pk1P3/6N1/1P4P1/4p1B1/2r3bK/4R3 b - -,f8h8
2r3k1/4bp2/1r2p2p/pp2np2/8/1PP3P1/P3NPBP/3R1RK1 w - -,d1d2
2r5/6k1/p2Rpb1p/1qp2pp1/2R2n2/PP6/6PP/3Q3K b - -,c8c7
r3kb1r/1bqp1ppp/p1n1pn2/1p6/4P3/PNN3P1/1PPB1P1P/R2QKB1R w KQkq -,f1g2
r7/2p2r1k/p1Pp2pb/1p1Pp2p/1P2P3/1P2B3/R1K3PP/2R5 w - -,c2d3
r7/3k3p/1pp1p1pP/1n1b1pP1/3P1P2/3PK3/1P1B4/2RB4 w - -,b2b3
r3r1k1/5pp1/5n2/p1qp1Q2/1p4P1/3B4/1PP4P/3RRK2 b - -,c5c7
1qrr2k1/pb2ppbp/1pnp1np1/8/4PP2/1NN1BB2/PPPR2PP/3RQ1K1 b - -,c6b4
r3k2r/1pbnqpp1/2ppbn1p/p3p3/P3P3/2PP1NNP/1PB1QPP1/R1B1K2R b KQkq -,d6d5
rnbqkb1r/pp2pppp/2p2n2/3p4/2P5/6P1/PPQPPPBP/RNB1K1NR b KQkq -,g7g6:e7e5
2r1R2k/6p1/7p/p1P5/1p5P/1Pq1Q1P1/5PK1/8 b - -,c8e8
r3r1k1/3b1ppp/pp1q1nn1/1Pp1p3/P1PpP3/3P1NPP/1B3PB1/R2Q1RK1 w - -,d1b3
