8/2KPBk2/p7/1br5/8/7P/8/8 w - -,e7c5
2k5/1pp2p2/1p1p4/1P2r1p1/P4rPp/2P5/5PP1/R4R1K w - -,f2f3
rn1qk2r/p1pp1ppp/1p2pn2/8/2PP4/2P2PP1/P4P1P/R1BQKB1R w KQkq -,f1g2
1rbr1nk1/p1q3pp/1p2pp2/4b2Q/8/2P2NP1/PP3PBP/R1B1R1K1 b - -,e5d6
r1n1kb1r/ppqb1ppp/4p3/n2pP2P/2pP4/P1P2NP1/1P1N1PB1/R1BQ1RK1 b kq -,f8e7
5qk1/6bp/p2p2b1/1prPP3/8/1P1B3Q/PB4PP/3R3K w - -,d3g6
r2q1rk1/pp3ppp/2nbpn2/2ppNb2/3P1PP1/2P1P3/PP2B2P/RNBQ1RK1 b - g3,f5b1
8/4qpk1/2Q3pp/4p3/4P2P/6P1/5PK1/8 b - -,h6h5
8/2n2pp1/p1k4p/Rp1r4/NKp1P3/5PP1/7P/8 w - -,e4d5
r2q1rk1/pp2N1b1/n1bP2pp/4np2/P1p5/2N1BPP1/1P4BP/R2Q1RK1 b - -,g8h7
1r1q1rk1/p3ppbp/bpn2np1/2p5/P2pP3/2PP1NP1/1PQN1PBP/R1B1R1K1 w - -,d2c4
8/2b2pk1/4p1p1/pRN5/P1r4p/7P/8/5K2 w - -,f1e2
1kr1b2r/1p2npRp/pq2p3/3pP3/3N1P1P/1N6/PPPQ2P1/1K5R w - -,h4h5
r1bq1rk1/pp2ppbp/2n2np1/2p5/3pPP2/3P1N2/PPP1B1PP/RNBQ1RK1 b - -,f6g4
3r4/p1k1bp2/1p2p3/4P2R/2p2P2/1P2RK2/P1r2B2/8 w - -,f2h4
r4rk1/1R2Qppp/2p1p3/p1Pp4/5q2/5N2/P4PPP/5RK1 w - a6,f1b1
8/1k2n1r1/pp1p2b1/3Pp3/2P1PpP1/1P6/P2N2K1/1B5R b - -,g6e8
r1r3k1/1Nqbb1pp/pp2p3/5p2/Nn1P4/1Q2P1P1/PP3PBP/2R2RK1 b - -,c7c1
3R4/p7/B5pk/4p3/4N2r/1PN5/PKP4q/8 b - -,h2f4
2kr3r/ppqn1ppp/2pb1n2/5R2/2BP4/3Q4/PPP1N1PP/R1B3K1 w - -,d3h3
2r2rk1/4ppb1/3p2pp/qN2n3/4P1n1/1P2Q1P1/PB2BP1P/R3R1K1 w - -,e3a7
1r1q1rk1/3nbppp/2bp1n2/1p2p3/4P3/2P2N1P/1PBN1PP1/R1BQR1K1 b - -,d8c7
r2qr1k1/1b1n1ppp/pp1ppb2/6N1/3P3P/2PB4/PP1NQPP1/1K1R3R b - -,d7f8
2kr3r/2pnq1p1/1pn2p2/2b1P2p/1pPpPP1P/P2B1NPb/3B1R1N/R3Q2K w - -,a3b4
rr3bk1/1bqn1p1p/p2p1np1/1p1Pp1B1/P1p1P3/2P2NNP/1PBQ1PP1/R3R1K1 w - -,a1a3
2rr2k1/1b2qppp/4p3/pN2n3/Pp2P3/3BQ2P/1P1N1PP1/R2R2K1 b - -,d8d3
r1bQkb1r/pp2pppp/2n2n2/2p5/4P3/2P2P2/PP4PP/RNB1KBNR b KQkq -,e8d8
2r1rbk1/1b6/pq2N2p/3p1pp1/PP1P4/3Q2P1/1B3P1P/3RR1K1 w - -,d3f5
8/3n2P1/p2k4/1p2p3/1P2K2N/8/P7/8 b - -,d7f6
r4rk1/p3ppb1/5np1/3p4/1P1q4/P7/1P1NQ1PP/R1B2RK1 w - -,g1h1
1rq1k2r/3bnpb1/pp1p1np1/2pPp2p/P1P1P2P/2N1N1P1/1P2BP2/R1BQK2R w KQk -,c1d2
r3r1k1/pp3p1p/6p1/3pn3/5N2/1P1PQ1P1/P2K1RBq/2R5 b - -,e5c4
2kr1bnr/ppqn1p2/4p2p/1PP3p1/7P/3Q1NN1/P1PB1PP1/R4RK1 b - -,f8c5
5rk1/p1B3b1/2q4p/2Np1np1/1Pb1p3/8/P4PPP/R2QR1K1 w - -,c7g3
3k4/7R/3PK1p1/4P3/1p5p/1P6/8/3r4 b - -,d8c8
q4r2/5pkp/4bbp1/8/1P1p1Q2/P5P1/5P1P/2RR2K1 w - -,b4b5
rnb1k2r/3p1ppp/p3pn2/1p6/2PNP3/4BP2/P1P3PP/R3KB1R b KQkq -,b5c4
r2qk2r/ppp1nppp/2nb4/3p4/3P2b1/3BBN2/PPPN1PPP/R2Q1RK1 b kq -,d8d7
rq3rk1/pp2ppbp/6p1/nN1n4/6b1/2P1B3/PP1N1PPP/R1Q1RBK1 w - -,e3g5
2r2rk1/1p2bpp1/p2q1n1p/3p4/3N1PbB/2NQP2P/PP1R2P1/R5K1 b - -,g4d7
1rq1r1k1/p1nbbppp/1p6/2n5/3N4/2N1BPP1/PP3QBP/2RR2K1 w - -,b2b4
1k1r4/ppqr3p/4pp2/2pP1p2/Q1PBnP2/6P1/PP5P/1KRR4 w - -,d4c3
2r1r1k1/pb3ppp/1q2pn2/3p1n2/1P6/P2PPN2/1Q1BBPPP/R4RK1 w - -,f1c1
r2r2k1/ppqnbpp1/4pn1p/2p4P/2PP4/P4NN1/1P1BQPP1/R2R2K1 w - -,d2c3
2r1k1r1/1bqn1p2/p2np3/6P1/2NB4/P3P3/1Q2BP2/2R1K1R1 b - -,d6f5
8/1pk1p2p/5rp1/2n5/4P1PP/P3RPK1/8/8 b - -,e7e5
8/8/4kp2/5Npp/2R4P/6P1/4KP2/q7 w - -,f5e3
r1bqk2r/ppp2ppp/2n5/2b1p3/8/2N2N1P/PPPP1PP1/R1BQK2R w KQkq -,e1g1
1rbqr1k1/5p1p/p1p3pB/2p5/3pp3/3P3P/PPPQ2P1/1R1N1RK1 w - -,d2f4
8/6k1/8/6p1/7p/4r2P/1R5K/8 b - -,g7f6
rnbqkb1r/p4p2/2p1p3/4N2p/NppPn1pP/6B1/PP2BPP1/R2QK2R w KQkq -,e2c4
1kr3r1/pp1b1pbp/3pp3/q1pP4/2P1PpnN/2NB2PP/PPQR1P2/K6R b - -,g4f6
8/3q2pk/4p2p/4Pp2/5P2/1Q3R2/r2r2PK/6R1 w - -,f3g3
rn1qk2r/pp2bpp1/2p1pnp1/3p4/2PP2P1/2N1P2P/PP1B1P2/R2QKB1R b KQkq -,b8d7
5k2/5pp1/1p4p1/1Pp1P1P1/P1B3K1/8/3b4/8 w - -,c4d5
r2q1rk1/1bpnbppp/3ppn2/p7/1pPP4/PP3NP1/1BQNPPBP/R4RK1 b - -,c7c5
r3kb1r/pp1q1pp1/1np1p3/4PbBp/3P3P/1Bn3N1/PP3PP1/2RQK2R w Kkq -,b2c3
2r3k1/5p2/1r2p3/1p1p1np1/pP1P3p/P1PN1P1P/2R2KP1/2R5 w - -,d3c5
8/7p/P4kp1/2b2p2/2Bp2P1/5K2/7P/8 b - -,f5g4
rn1qk2r/1R3ppp/p2p1P2/2pPn3/2P1NR2/6PP/P5B1/3Q2K1 b kq -,e8g8
3k4/5R2/1P1p4/1K1P1Pp1/6P1/8/8/4r3 b - -,e1b1
r3r1k1/2qn1pp1/5n1p/p1Pb4/1pNP4/3B1P2/1BQ3PP/R1R3K1 b - -,e8b8
8/1p2k3/4pb2/p1P2p1p/1Pn4P/2P1B1P1/4K3/3B4 w - -,e3g5
8/3r3k/3N1p1p/2R3pP/1p2r1P1/3R2K1/P7/8 w - -,d6e4
r3r1k1/1p1qb2p/3pNnp1/p1pPpb1n/P1P5/1P4PP/1B1NQPBK/4RR2 b - -,f5e6
r2q1rk1/pbpn1ppp/1p1pp3/8/2PPn3/P3BNP1/1P2PPBP/R2Q1RK1 w - -,f3g5
2r1rbk1/1pqn1pp1/p2pbn1p/4p3/1PP1P3/2NBB2P/P2NQPP1/2RR2K1 w - -,a2a3
2r5/1pq2pk1/4pb1p/3r1p1b/1pN5/PQ4P1/1B1P1P1P/R3R1K1 w - -,b2f6
4r3/R4b1p/2N1k3/2p3p1/2p1P3/1n2P1P1/5R1P/6K1 b - -,e8f8
r2q1rk1/4ppbp/1n4pB/1pp5/p1bPP3/2P5/P1B1NPPP/R1Q1R1K1 w - -,h6g7
8/3k1ppp/p3r3/2bp4/5P2/3K4/PP1B2PP/4R3 b - -,h7h5
5rk1/1b5p/3p3n/1p1P4/1P1N1P2/2p2BPP/8/4R1K1 b - -,h6f5
5n2/1b4k1/p5pb/1p3p2/4rN1p/1BP4P/PP4PN/5RK1 w - -,b3d5
4nr2/p2bppk1/1q1p2p1/3RP2p/1pr1N2P/1N3PQ1/PPP3P1/2K1R3 b - -,c4c2
8/2pB4/1pPp1bk1/3P3p/1P1p1P1P/3K2P1/8/8 b - -,g6f7
2rq1rk1/pbpnbppp/1p3n2/3pN3/3P4/1PNBP3/PB3PPP/R2Q1RK1 b - -,a7a6
3R1n1k/6p1/2p2n2/p4B1r/pb2p1P1/2N5/1P3P1P/4R1K1 b - -,h5h3
1r3rk1/p1pq1ppp/2np1n2/1pb1p3/4P3/1QPPBN2/PP1N1PPP/R4RK1 b - -,c5e3
8/4B1Nk/6pp/2PB1p2/8/6P1/1r3P1P/n6K b - -,h7g7
3r1r2/1p2npbk/p3p1pp/3pP3/2qR1B1P/2P5/PPB1QPP1/4R1K1 b - -,c4e2
r6r/qp2kbp1/2pp1p1p/2b1pP2/p1PnP1PP/3PB1KB/PP3Q2/2RNR3 b - -,a8c8
3r1k1r/2p1Qp2/p6p/1p3B2/3p1P2/6q1/PP6/1K2R3 b - -,f8g7
5r2/8/8/2pp4/P7/1N1P4/1PP2k2/1K6 b - -,c5c4
8/K2k4/3p1p1P/B1p1b1r1/2PpP3/3P3P/2P5/7R b - -,d7e6
8/1p2rn1k/p2p1qp1/P2Prp1p/2P2R2/3B3P/1P3QP1/5R1K b - -,f7h6
1r1q1b1k/p4B1p/2n1bP1Q/1p1pp3/3P4/4P3/PP1B1RPP/5RK1 w - -,h6h5
r2qr1k1/2p2ppp/b1pb1n2/p2pp3/P3P3/1P1P2N1/1BPN1PPP/3QRRK1 b - -,d8d7
rq4k1/5pbp/1pnN1np1/2N3B1/8/1P6/1P2QPPP/3R2K1 w - -,c5a4
6rk/2p5/3pp2p/P2b4/N2P1P1P/KPQR2P1/8/6q1 b - -,g8b8
r4k1r/p1p2p1p/b1p2Np1/4P3/1bp2P2/1P1Q4/Pq4PP/R2K1B1R w - -,a1b1
6k1/5pp1/4pb1p/R7/Pr6/4B1P1/4PPKP/8 w - -,a5a8
r2q2k1/5pbp/3p2p1/3N4/4PP2/2P2QPP/rP2R2K/3R4 w - -,d5b4
5k2/4b3/6R1/3pP1N1/3P2K1/8/8/7r w - -,g5f3
8/3k4/2R5/3Np3/4r3/2P2K2/8/8 b - -,e4e1
8/5p1p/5kp1/3p4/b7/2K1PPP1/7P/5B2 b - -,f6e5
r2r2k1/1qpnbpp1/p2pb2p/8/PpNnP3/1B2B2P/1PP1QPP1/3RR1K1 w - -,e3d4
4r1k1/p3bpp1/B1p1n1p1/B1Pp1nP1/3P3P/1r3P2/1P2N3/1K1R3R w - -,a5c3
r3r1k1/ppp2ppp/2n2n2/3qp3/6b1/2BPPN2/PPQ1BPPP/R4RK1 b - -,a8d8
r2q2kr/2p1npp1/1pn1p2p/3pP3/3P2Q1/B1P3N1/2P2PPP/R4RK1 b - -,g8h7
2r2rk1/pb1nqppp/1p1pp3/8/1PP5/1NQ1PP2/P3B1PP/R4RK1 w - -,f1c1
1r4k1/1q6/r3p1p1/1Nppb3/P1Q1P2R/5RP1/1P3PK1/8 w - -,e4d5
r1bq1rk1/4bppp/p2ppn2/1p4B1/3QP2P/2NB1P2/PPP3P1/2KR3R b - -,d8c7
r1bq1rk1/pp2bppp/2pp1n2/3Pp3/2Q1P3/2N1BN2/PPP2PPP/R4RK1 b - -,c6c5
r4rk1/p1pbq1p1/2p4p/3npp2/4N2P/2NP1PP1/PP2P3/R1Q1K2R w KQ f6,c3d5
8/1bqn2R1/3p1k2/p1p1p3/2P5/7Q/PP3PPP/6K1 w - -,g7d7
5bk1/pp6/2p4p/2P1pN1n/4np2/BP5P/P3K1P1/3N4 w - -,f5d6
5rk1/p1BR1p1p/4p1p1/6b1/P5Pr/1P5Q/4PP1P/3R2K1 b - -,h4h3
5k2/4pp2/p2p1b2/2rP4/P3NP2/2PR4/1P5r/2K3R1 b - -,c5c4
r4rk1/1bqpnppp/p2b4/1p4B1/4P3/1BN2Q1P/PP3PP1/R4RK1 b - -,b5b4
r1bq1rk1/1p1pbppp/p1n2n2/4p3/1PP5/P1N1P3/2N2PPP/R1BQKB1R w KQ -,c1b2
1r1qr1k1/pp4pp/2pnbp2/P2n4/3P1Q2/3N1N2/1P3PPP/R3RBK1 w - -,f4c1
5rk1/pp4pp/3nbq2/3p4/3PpP2/N1P1P2P/P5BK/1R2Q3 b - -,f8c8
2r1qrk1/p2n2p1/4p2p/NPb1P1p1/8/3Q1PB1/1P3P1P/2RR2K1 b - -,d7b6
8/6R1/8/8/r7/7p/4K2k/8 w - -,e2f1
4r1k1/3r2qp/p1pPn1p1/1p3pP1/4NP2/4P2P/PPQ5/1K1RR3 w - f6,e4f6
r1bqk2r/pp2npbp/2np4/2p1pp2/4P3/2NP1NP1/PPP3BP/R1BQ1RK1 b kq -,c6d4
3k4/8/1PBp4/2n1p3/5pK1/2P5/2P2P2/8 b - -,d8c8
4kbR1/3n2p1/r4pP1/p1p1pP2/2N1P3/1PPKB3/8/8 w - -,c4b2
2r4k/5p2/4P1pp/3p4/1p1n4/1BQ5/PK4PP/4R3 b - -,b4c3
2kr4/pp2R1p1/2pq1n2/8/7r/3B2P1/PPP1QP2/R5K1 b - -,h4h5
1k2r3/1B2r3/pp4pp/2p5/PnN4P/1P2P3/2P2N2/2R1nK2 b - -,e1c2
2b4r/5p2/p1k5/R4N2/2P2K1p/1P5P/8/8 w - -,b3b4
r4rk1/pp3pp1/2pb1np1/3n4/3P3q/1BN2Q2/PP1B1PPP/2KR3R b - -,h4h5
8/5p2/1R4p1/p3k2p/3r3P/6P1/P4PK1/8 b - -,d4b4
r7/3k1pp1/2p1p2p/3n3P/3qb1P1/B6R/B1P1QP2/1KR5 w - -,c1d1
rn1qk2r/pp2ppbp/2pp1np1/8/2PP2b1/2N1PN2/PP2BPPP/R1BQK2R w KQkq -,h2h3
8/4r1k1/pq3bp1/1p3p2/nP5p/P1P2N1P/2BQ1PP1/3R2K1 b - -,a4c3
4q1k1/1r1b2bp/pp1Bp1p1/2p1P3/N2P4/1P1P1R2/1P3QPP/7K b - -,d7c6
3r4/p5k1/1p3R2/6p1/P1B1N1K1/1P4P1/7P/3r4 b - -,d8e8
8/1p6/4kp2/2P1p1p1/1P2KpP1/8/5P2/8 w - -,b4b5
r1bq1rk1/1p2bppp/p4n2/3p4/2nN4/1QN1B1P1/PP2PPBP/R4RK1 w - -,e3f4
6k1/p3B1bp/1p6/1N3p2/2P3n1/2N2bn1/PP6/3R2K1 w - -,d1d3
8/5kp1/5p1p/4nP2/4R1P1/4K3/8/8 b - -,f7g8
1bq3k1/5pp1/pBp3b1/2Pp3p/3Q1P2/2N3P1/PP5P/4K3 w - h6,d4e3
8/6pk/R3ppp1/8/5P2/1r5P/2n2KP1/8 b - -,c2d4
r4rk1/1bqnbppp/pp1ppn2/8/2P1P3/1NNBBP2/PP1Q2PP/R1R3K1 w - -,b3d4
2kr2r1/ppp2pPp/2n5/6N1/8/3p4/P1bB1PPP/4R1K1 b - -,g8g7
r2r4/pp5k/1b5p/5bp1/1P3p2/2Pn4/PNB1RPPP/R1B3K1 w - -,e2d2
6k1/6p1/8/8/3pQP2/6P1/5K2/3q4 b - -,d1d2
4r3/1p1brq1k/1p1p2pp/2p5/P1PpPPpP/1P1P2P1/5R2/2BQR1K1 w - -,d1d2
r2k3r/pppn1pp1/3bbn1p/1N2p3/4P3/3B1N2/PPP2PPP/R1B1K2R w KQ -,b5d6
3r4/p1r1kppp/4p3/1p6/1Pp2P2/2RbK1P1/P5BP/3R4 b - -,d8d6
8/3B4/8/5n2/5kpp/8/7K/8 w - -,d7c8
3rq2k/3r2pp/1pp2p2/p1b1pN2/P3P3/3R3P/1PP1QPP1/3R2K1 b - -,g7g6
2k3rr/1p2qppp/p1pbpn2/P2p4/5P2/1P1PPN2/1BP1Q1PP/R4RK1 w - -,a1b1
r1b1k2r/3qbppp/p1pppn2/8/4P3/2NQ1N2/PPP2PPP/R1BR2K1 w kq -,c1g5
r1bq1rk1/ppp1ppbp/5np1/3n4/3P4/1BN2N2/PPP2PPP/R1BQ1RK1 w - -,c3d5
3n4/pp1k4/3P4/4P1r1/1P3RP1/2K5/8/8 w - -,f4e4
3rrn2/1bq2pbk/p1pp1npp/1p2p3/P2PP3/BPP2NNP/2B2PP1/1Q1RR1K1 w - -,e1e2
2rr4/5p2/2b1p1Pk/2pnP3/3p2QP/1P1P4/1q3PB1/R3R1K1 w - -,g4g5
8/6p1/2P5/pB2k2n/P4p2/5K2/8/8 b - -,e5d6
5rk1/pp1q1pp1/4p2p/7P/2P3P1/5P2/PP2Q3/1K1R4 b - -,d7c7
8/8/8/p2B1k1p/P4P2/bP1NK3/8/3b4 w - -,d5e4
r1b2rk1/1p4pp/p2qpn2/3pNp2/3Pn3/2PB1N2/PP2QPPP/R3K2R w KQ -,a2a4
1rq2r2/pp1bnpkp/2pp1np1/2P1p3/8/2NP1NPP/PP2PPBK/1RQ1R3 b - -,c8c7
r4rk1/1p1nbpp1/p1p1pn1p/2Pp1b2/1P1P1B2/2N2NPP/1P2PPB1/R4RK1 w - -,g3g4
2r1r1k1/ppq2pp1/4bn1p/2pp4/8/2P1PN1P/PPQ2PP1/R3RBK1 b - -,e6f5
r4rk1/pp1qnpp1/3np1b1/1PRp2Pp/3P1B1P/4PP2/P2Q4/4KBNR w K -,d2b4
7R/6r1/3k2pp/1P3p2/5P2/4P1K1/5P1P/8 b - -,h6h5
1rrq2k1/3b1pb1/2npp1p1/p6p/2ppPP1P/PP1P2PB/3BQ1N1/1RR3K1 w - -,b3c4
r2qkb1r/1p3ppp/2p1pn2/p7/Pn1PP3/2N2N2/1P2QPPP/R1B2RK1 w kq a6,c1e3
4r3/6R1/6p1/8/8/1P6/1K1n2PP/4k3 b - -,e8e6
6k1/p3bpp1/1p2pn1p/1b2N3/5PP1/1P6/P2BPKBP/8 b - -,e7d6
1r6/p1k1bp1p/4p1p1/n1p1P1P1/2P2P2/2PB3P/P1KB4/R7 b - -,b8h8
5qk1/8/6p1/7P/p1PQ2p1/3B4/r4P1K/8 w - -,h2g1
rn1qkb1r/ppp4p/5pp1/3p1b1P/3Pp1P1/2N5/PPP2P2/R2QKBNR b KQkq g3,f5e6
8/p1p4p/3b1k2/2PR1p2/4p3/1B2K3/PP5r/8 b - -,d6f8
3R4/5pk1/p5p1/1p2b2p/8/PP3P1n/1q4P1/5Q1K b - -,h3f4
1r4k1/5pp1/p1R1p2p/4P2P/q4B2/5Q2/5PPK/8 w - -,c6c7
8/1R4pk/p6p/r7/2p5/2P5/1P4PP/6K1 w - -,g1f2
8/6k1/7p/5Q2/1q6/4P1KP/5P2/8 b - -,b4e1
rn2k2r/p3bppp/1p2pn2/3q4/3P4/3B1N2/PP3PPP/R1BQ1RK1 w kq -,d1a4
3r2k1/p2q1pbp/4b1p1/1rp1p3/2Nn4/1P1PBPP1/P2QP1BP/2R1R1K1 w - -,e3g5
1n1r2k1/1p1rbp2/p2pp1pp/4P3/PqP2P2/1PNR2NP/3Q2P1/3R3K w - -,c3d5
8/8/8/6KR/6BP/2kP4/5br1/8 w - -,g5f4
8/8/8/2k5/2r2p2/5B2/1K4P1/8 w - -,f3e2
r3r1k1/pp1q1bbp/2p1n1p1/4p3/1nPpN1P1/1P1P3P/P3QPB1/R1B1NRK1 b - -,a7a5
r4rk1/pp4pp/7q/3pp3/5nnP/3P3N/PPPQN3/1K3R1R w - -,h3f4
8/8/7p/p7/8/K7/3qk3/7Q w - -,h1h5
1r6/1R6/5pk1/2p1p2p/2P1P1pP/3P2P1/2K2P2/R2Nb3 b - -,b8b7
r1bb1rk1/1pq3p1/2p1pP1p/p2n4/P2PR3/3N1NPR/1PQ2PBP/6K1 b - -,d5f6
3r2k1/2n2ppp/4b1n1/4P3/Nq1B3b/4QP2/1PP4P/1K1R1B1R w - -,b2b3
rnbqk2r/pp2ppbp/3p1np1/3P4/2B1P3/2N2N2/PP3PPP/R1BQ1RK1 b kq -,e8g8
2r1q1k1/pbr2np1/1p3pNp/1Pp1p3/P3PPR1/3P4/1Q2B1PP/2R3K1 w - -,c1f1
r3rqk1/1b1n3p/2R2np1/1N1p1p2/3P4/3BP1NP/2Q2PP1/5RK1 w - -,c6c3
2q2rk1/p4ppp/1p2p3/3p4/2nP1N2/1PP1P2P/4QPP1/5RK1 b - -,c4a5
