8/k4p2/P5p1/4p2p/4r3/2RK2P1/4P2P/8 b - -,e4d4
r4rk1/pp1nbppp/4p3/1pPp1b2/3P1B2/2P1PN1P/5PP1/R3KB1R w KQ -,f1b5
8/8/5k2/8/1P6/7r/2K1R3/8 w - -,c2b2
r3r1k1/1b1nqpbp/p4np1/1pppp3/PP2P3/1BPP1NNP/1Q1B1PP1/R3R1K1 w - -,a4b5
8/8/6Q1/5pP1/1KP1k3/8/8/5q2 w - -,g6e6
8/8/8/4pk2/5p2/R4P1K/5r2/8 b - -,f2e2:f5g5
r2r1k2/pp3p2/4N2p/8/4B1P1/Pb3P2/1P1R2K1/7R b - -,b3e6
1r6/6bk/6pp/2Bqp3/P3N3/7P/4nPQK/R7 b - -,e2f4
r2qr1k1/pp2bpp1/2n2nbp/2p1p3/4p3/2PP1QNP/PPB2PPN/R1B1R1K1 w - -,d3e4
1r6/4n1k1/pp1p3p/2pPrp2/P1P1P3/2PBN3/6P1/5RK1 w - f6,e3f5
8/4kp2/1p1p1np1/1BpPn2p/2P4P/2N1PP2/P3K3/8 b - -,e7d8
rnbqk1nr/pppp1pbp/4p1p1/8/3PP2P/2N5/PPP2PP1/R1BQKBNR b KQkq h3,b7b6
r4rk1/1p3pp1/p2pp2p/8/4Q3/P1qP1PP1/7P/R4RK1 w - -,a1c1
r4rk1/pq1nbpp1/1p2p2p/2p5/P1P1P3/5NP1/1P1NQPP1/R4RK1 w - -,a1d1
r1bqr1k1/pp3pbp/3p2p1/2pPn3/2P1N3/3BB2P/PP1Q1PP1/4RRK1 w - -,e3g5
r2r4/ppR1bk1p/3np1p1/8/1P6/P3P2P/1B2BPP1/3R2K1 w - -,b2e5
6R1/4p3/4k1p1/4p2p/6rP/4K1P1/5P2/8 w - -,g8h8
r1bq1rk1/pp1nb1pp/2p1p3/3pNp2/2PP4/2N1P2P/PP2BPP1/R2Q1RK1 w - -,f2f4
3B4/2p2p2/1p1kp3/6Pp/b1P5/P3K1P1/8/8 w - -,e3d4
2kr1b1r/pp3ppp/2n1pn2/3q1b2/3N4/N1P1B2P/PP3PP1/R2QKB1R w KQ -,a3b5
r1b1k2r/1pqp1ppp/p1n1p3/2b5/P3P1n1/N1PB1N2/1P3PPP/R1BQ1RK1 b kq -,c6e7
r1bq1rk1/1p3pbp/p2ppnp1/n1pP4/2P5/P1N3P1/1PQNPPBP/R1B2RK1 b - -,e6d5
6k1/6p1/6bp/2pPq3/pp6/P5P1/1P4BP/2Q3K1 w - -,c1c5
6k1/p3np2/2b1pp2/1p6/4P3/1P2QNP1/1q2BPKP/8 w - -,g2h3
r6k/1p3rpp/2p1qpb1/1p3R2/4P2P/1PBPQ1R1/P5P1/6K1 w - -,f5f2
4r3/1p4qk/p1bB2p1/3Q4/1P1bR3/7P/5PP1/5RK1 w - -,e4h4
5k2/3b1n1Q/3p1qp1/2pP1p2/1pP2P2/1P3B1P/3NK1P1/8 w - -,h3h4
2r2knr/pp3pp1/2q1p2p/3pP2P/2nP1PQ1/P5N1/P5PK/R1BR4 b - f3,f7f5
r1b2rk1/1pqp1ppp/p1nbpn2/2p5/P1B1P3/2NP1N1P/1PP2PP1/R1BQR1K1 b - -,h7h6
r7/Np3pk1/3p1qp1/3Pp3/1n2P3/5PQP/7P/R6K w - -,a1b1
8/1p2R3/p7/P3P1k1/5pn1/5K2/1r6/4B3 b - -,b2b3
1r5r/p1q3kp/2P2p2/4p1P1/3pQ3/1P6/1P3PP1/2R2RK1 b - -,f6g5
1r1r4/p4ppp/Bpp2k2/2P2n2/8/P2R4/2P2PPP/4R1K1 w - -,d3f3
r3k2r/p1p2pp1/np2p2p/n2pP3/3P4/P1P1B3/2PN1PPP/1R3RK1 w kq -,f2f4
r3kb1r/pppnpppp/8/q7/3P4/2nQ1N2/PPPB1PPP/R3K2R b KQkq -,e7e6
r3n1k1/pp3pbp/2p1r1p1/2n2b2/1q1B4/1PN3PP/P2QNPB1/3R1RK1 w - -,g3g4
3rrbk1/1b3n2/p3p1p1/3pp3/1BB1P2q/P2R2N1/1P2QPP1/3R2K1 w - -,e4d5
r4rk1/pbp1q1bp/1pnp1np1/5p2/1PPPp3/PNN1P1P1/1B2BP1P/R2QK2R b KQ -,c6d8
r1q1r1k1/pb1n1pbp/1pp1p1p1/8/2PP1B2/5NP1/PPQ2PBP/R2R2K1 b - -,e6e5
r3kb1r/ppp2ppp/2n5/4Pb2/2B1p3/2B5/PPP2PPP/RN3RK1 b kq -,e8c8
8/6k1/P7/6K1/3q4/8/6B1/5Q2 b - -,d4d8
r2b1rk1/3qn1p1/3p3p/p1pPp3/2N1Q2P/PP2R1P1/3B1PK1/2R5 w - -,c1c3
rn2kb1r/pp4pb/1np1Pp1p/8/3qPNPP/2N2Q2/PP3P2/R1B1KB1R w KQkq -,c1e3
b1q3r1/3nkp2/p1p1Pr2/N1Pp3p/BP1P2p1/P3Q3/6PP/4RRK1 b - -,f7e6
5r1k/p3npb1/b1n1pNp1/2p1P2P/2Pp1B1P/q2P4/Pr2QPBN/R3R1K1 w - -,e2f3
r1b2rk1/p1Q2pp1/1p1p3p/3P4/3nN1P1/3B3P/1q2PP2/2R1R1K1 b - -,f7f5
r7/ppp2kb1/3p1npp/1P1P1q2/5p2/3P1QP1/PB1N1PKP/1R6 w - -,b2f6
2rq1rk1/1p1bppbp/p2p1np1/8/3BPPP1/2N4P/PPP3Q1/2KR1B1R b - -,d8a5:e7e5
5r1k/1p4b1/pq4pp/5n2/5P2/1P1R3Q/4NP1P/3R1K2 w - -,d3d7
2brrbk1/2p3pp/1pp2pq1/2P5/1P2Pn2/1NB1NP2/2Q3PP/4RR1K b - -,c8a6
5qk1/3r2b1/6pp/2p2p2/Pn3B2/1P3Q1P/5PP1/3RR1K1 b - -,d7d1
4rbk1/2p5/3p3p/2pP1Np1/4B1P1/r3NP2/3RK1P1/8 w - -,d2b2
R7/5pk1/3p1b2/2pP4/2P2p1p/5Kp1/P4n2/6N1 w - -,f3f4
1r4k1/1b1n1pb1/3N2pp/1PppP3/5q2/3B1NPP/1PQ2P2/R5K1 b - -,f4f3
r4rk1/7p/3p1np1/2PP1p2/4P2P/1R1B2P1/8/4R1K1 b - -,f5e4
r5k1/5ppp/1B3r2/P3p3/1Pb1P3/2P3K1/4nPPP/1R5R w - -,g3h4
8/7p/2b2kp1/8/N2bp2P/6P1/4K3/3B4 w - -,e2d2
8/p7/7p/3bk3/1K5R/4n3/P7/8 w - -,h4h6
r4rk1/2qb1p1n/1B1p2p1/p2Pp1b1/1pB1P1Pp/1P1N1P1P/PK3Q2/3R2R1 b - -,c7b8
8/8/3R2P1/4pn2/3b3P/3k1P1K/8/8 w - -,d6d7
r5k1/3bqrpp/2p1p1nb/1pPpPp2/pP1P4/P2BP1PQ/3BNR1P/5RK1 w - -,g1h1
r3k2r/1p1bBp2/pqnpp1p1/8/4PP2/1NN5/PPPQ4/R3KB2 b Qkq -,c6e7
r2qr1k1/ppp1ppbp/2np2p1/8/2PPb3/4PN1P/PP2BPPB/R2QK2R w KQ -,e1g1
2k5/8/n1N4p/p5p1/P7/6P1/5PK1/8 b - -,a6c5
2b5/2k3p1/6n1/1N1P4/3KP3/5P2/6Pr/1R6 b - -,c7d8
r5k1/5ppp/p1nB1b2/1p6/2p2P2/8/PPP1B1PP/2K4R b - -,a8d8
8/7k/8/1pp3P1/3r4/3pK3/3R3P/8 b - -,h7g6
6r1/1p4r1/p7/3P4/3QpBk1/4P1P1/PPqR1K2/8 b - -,c2c1
4b3/4k3/p3pp2/p2p4/1P4PK/3PP3/2B5/8 w - -,b4a5
1rb3qk/p3n1rp/2npp1pQ/1pp3N1/4P3/2NP2P1/PPP2PBR/2KR4 b - -,b5b4
1r2r1k1/p2nbpp1/q1bp1n1p/2pp4/2P4N/P1Q1P3/1BBN1PPP/1R1R2K1 w - -,c4d5
8/3n1pkp/4b1p1/p2Nn3/3KP3/2R2PP1/P6P/8 b - -,f7f5
6k1/p4p2/7R/2pr2p1/3b4/5KPP/1PP2P2/8 b - -,d5f5
r1bq1rk1/5pbp/1n1p2p1/pP1np3/1P2P3/1Q1B1N1P/P2B1PP1/R3K2R b KQ -,d5b4
r3kb1r/1n3ppp/ppq1p3/4B3/4P3/2N5/PPPQ1PPP/3RR1K1 w kq -,e5f4
r1bqkb1r/3pnppp/p3p3/1p4B1/2BpP3/3P4/PPP2PPP/RN1Q1RK1 w kq b6,c4b3
4r2k/1p4Rp/p1nn2pB/6N1/8/5P2/PKP3PP/5b2 w - -,g7h7
r1br2k1/pp1p1pbp/1qn1pnp1/8/2PN4/1PN1P1P1/P4PBP/R1BQ1RK1 w - -,d4c6
8/1N2b1kp/4p1p1/5p2/1n6/1P2P1P1/5P1P/1B4K1 w - f6,g1f1
r1bbnnk1/3q3p/2p1p1p1/1pPpP3/1p1P3P/1N2B1P1/P1Q3N1/R4BK1 w - -,f1d3
5rk1/3nq1pp/r1p1pp2/2P5/1p1P1Q2/5N2/P4PPP/R4RK1 b - -,e6e5
2r1r1k1/1q2ppbp/3p2p1/Np1P4/4P3/1P3P2/P1RQR1PP/6K1 b - -,c8c2
rb3r2/1p3p1k/2p1pp1p/5b2/2PP1q2/1P2QN2/5P1P/3R1BRK w - -,f1d3
q1rr2k1/1b1nbppp/4pn2/p1p5/Pp2P3/1P1PBNPP/1Q3PB1/1RNR2K1 b - -,d7b8
1r1q1rk1/2N1ppbp/1n1p2p1/2pP4/4P3/2N1BP2/PP1Qb1PP/1R3RK1 w - -,c7e6
r2r2k1/1p2qpbp/2p2np1/p3n3/2p5/1P2P1P1/PBQN1PBP/1R3RK1 w - -,b3c4
r1b1kbnr/ppp2ppp/2n5/3qp3/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq e6,b1c3
rnb1k1nr/ppb2pp1/2pp1q1p/4p3/1PBPP3/P1N1BN2/2PQ1PPP/R3K2R b KQkq -,c8g4
r2q1rk1/1b1pppbp/p4np1/1p6/3BP3/1BN2P2/PPPQ2PP/R4RK1 b - -,d7d6
r4rk1/pp1n2qp/2p1p1b1/4Ppp1/2p1n3/PP1N1PP1/1BQ1P1BP/4RRK1 w - -,c2c4
8/8/3k1np1/2n1p3/7P/4NK2/8/8 w - -,f3g3
1rb2r2/pp3pbk/6pp/1N2p3/2B1Pn2/5N1P/PP3PPK/2RR4 b - -,f7f5
2rr2k1/1b3p1p/p2pp1p1/1p2q3/3NP3/1P5P/1PP1QPP1/3RR2K w - -,e2g4:e2d2
r1bqk2r/pp2ppbp/2np2p1/8/2BNP1n1/2N1B3/PPPQ1PPP/2KR3R b kq -,g4e3
r1br2k1/4qpp1/p1n1pb1p/1p1p4/1P1N4/P1N1P1PP/2P2PB1/1R1Q1RK1 b - -,c8b7
8/8/2Np4/1k1Pp3/4Pn2/4K3/P7/8 b - -,f4g2
rnbqk2r/1p2bppp/p2ppn2/6B1/3NPP2/2N5/PPP3PP/R2QKB1R w KQkq -,d1e2:f1e2:d1f3:d1d2
r1qr3k/pp1nbpp1/1np1p1P1/N6p/1P1P3P/P2QPNB1/5P2/R4K1R b - -,f7f6
r1q2rk1/p2p1pbp/1pn1pnp1/2p5/3P4/2PQPN1P/PP1N1PP1/R1B2RK1 b - -,c5d4
r1br2k1/3n1pb1/p5p1/1p1p2N1/2q1p3/BRP3P1/P1B1PPK1/1Q5R b - -,c4e2
5rk1/bR1Rnpp1/p1p1p2p/2q1P2P/6Q1/6B1/P4PP1/6K1 b - -,c5c1
r4rk1/p5pp/1p3n2/2pp4/P2Pnqb1/QP3N2/2R1BPPP/3R1NK1 b - -,g4f5
3r4/2p3k1/5bp1/p2Bq3/P1Q1P3/1P4P1/5PK1/4B3 b - -,d8d7
r3br1k/ppp1n1pp/8/2bPNp2/5B1R/2P4P/P1B2PP1/4R1K1 w - -,c2b3
8/p4p1p/1p2kb2/7r/PRN3p1/3rP3/2RP1PKP/8 b - -,f6e7
8/8/1R1bk3/3p3p/1P1P2pP/3pP1Pb/1r1N4/4B1K1 b - -,e6d7
r3k1nr/1p1q1pbp/p2pp1p1/2p5/P3PP2/2NP1R2/1PP3PP/R1B1Q1K1 w kq -,f4f5
3RQ3/pp3pbk/4b1p1/2r1p1qp/7P/2P3P1/PP2PPB1/R5K1 b - h3,g5g4
2rq1rk1/1bpnbppp/1p2pn2/p7/3PPB2/2N2NP1/PPQ2PBP/R2R2K1 w - -,a1c1
r1br2k1/p2nppbp/2p3p1/3qP3/8/2pN1QP1/5P1P/R1B1RBK1 w - -,f3e3
1r6/7k/2r4p/P4pp1/1P2Nn2/5P1P/3R2P1/1R5K w - f6,d2d7
3r1r1k/p1b3pp/2p2n2/1pPq4/3Bp1R1/1P2P3/P2N1Q1P/2K2R2 b - -,f6g4
3k4/3B3r/3Qpb2/8/8/4P3/PP3P1P/4K3 b - -,h7d7
8/4k3/2p5/2Pp4/1N1Pp1bp/4P3/5KP1/8 b - -,e7d7
r2q1rk1/pb1nbppp/2p1p3/8/1p1PBB2/4PN2/PP2QPPP/R4RK1 b - -,d8b6
r3kb2/6pQ/pq1p1r1p/1p2p3/8/1B5P/PP1R1PP1/R1B3K1 b - -,d6d5
8/8/1r6/5KP1/4R3/3k4/8/8 b - -,b6b5
8/6bp/1p1k2p1/p2p1p2/1P5P/4P1P1/1P1R1PK1/r7 w - -,d2c2
r4rk1/b2n2p1/p6p/1p3n1N/1PPp1PQq/7P/P1B3PK/R1B2R2 b - -,h4g4
r1b2rk1/p1qpppbp/2p3p1/3nP3/Q1N2P2/2P5/PP4PP/R1B1KB1R w KQ -,f1e2
r6r/2p1k2p/2n1p1p1/p7/2N1P3/1P1P1P2/3K2PP/R6R b - -,h8b8
r1bq1rk1/ppp2pbp/2np1np1/4p3/2P5/1P1P1NP1/PB2PPBP/RN1QK2R w KQ e6,e1g1
3q1rnk/pp2br1p/2n1bpp1/2p1p1P1/3pP2P/P2P1PN1/1PPB2BN/R1Q2RK1 b - -,f6g5
r2qr1k1/ppp2pb1/5np1/3pnb1p/8/1P2PN1P/PBPNBPP1/R2Q1RK1 b - -,e5f3
rnbqkb1r/ppp1ppp1/3n3p/3p2P1/5P2/2NPP3/PPP4P/R1BQKBNR b KQkq -,h6g5
3r2k1/pp1qnrb1/2n3pp/2pppp2/2P4P/PP1PPPP1/1B2N1KN/R1Q2R2 w - -,f1d1
2rq1rk1/5ppp/3pbb2/p2Np3/1pPNP2P/5QPB/PP3P2/R3K2R b KQ -,e5d4
4q3/r5pk/P1p2p1p/R1P1p3/QP1pP1PP/3K1P2/8/8 w - -,b4b5
r5k1/1ppq2bp/3p2p1/1P5n/2Pp1Nb1/3P2P1/4P1BP/1RB2QK1 b - -,a8f8
5q2/4b3/p1k1p3/1p1pPp1r/b1pPnPp1/P1P1K1P1/2P1NBBr/R1Q3R1 w - -,c1b2
8/5r2/1rpkp2p/3p4/3P1P2/1PR2K2/2R4P/8 b - -,f7c7
r1bqk2r/p3bppp/2p2n2/3pp1B1/1p2P3/1P1P1Q2/1PP1NPPP/R2NK2R w KQkq -,d1e3
8/8/3PQ1k1/7p/1P6/6PK/3q4/8 b - -,g6g5
r2r2k1/1bq1bppp/p1p2n2/1p2pP2/P1P1P3/3BB3/1P1NQ1PP/R4RK1 w - -,d3c2
8/2KR4/6pk/4P2p/5P1P/8/8/3r4 b - -,d1c1
rnbqk2r/pp2ppbp/3p1np1/2p5/2B1P3/2PP1N2/PP3PPP/RNBQ1RK1 b kq -,e8g8
r3k2r/pb2qpp1/1pp2n1p/8/Q1pP1N2/3BP3/P4PPP/R4RK1 w kq -,a4c4
r1bqk1nr/p3ppbp/1n1p2p1/2p5/1p1PP3/1P2BP2/P1PQN1PP/R2NKB1R w KQkq -,d1b2
6k1/5pp1/2n1p2p/q1Pr4/p7/5N1P/P1Q3P1/2R3K1 b - -,a5b4
3rrnk1/1pq2pb1/p2ppnp1/8/2P1PPP1/1PN2NR1/PB2Q1K1/3R4 b - -,d6d5
2rq2k1/1p3ppp/p1b1nr2/P2p1N2/8/2P1BPP1/1P3Q1P/3RR1K1 w - -,e3b6
4R3/pp3k2/1nr2p1b/3p3p/1Pbp3P/P1N3R1/3N1PP1/6K1 w - -,e8h8
8/1K3p1p/P1nk2p1/8/8/6PP/3B1b2/8 w - -,d2f4
6k1/pr4pp/1p2pp2/3R4/8/P3P1P1/1Pr2PBP/3R2K1 b - -,e6d5
2rn2k1/2NRb3/1p5p/4p1pP/2P1B1P1/5P2/P5K1/8 b - -,g8f8
5rk1/pQ3p1p/3P2p1/q7/8/1B2PN2/P3KPPP/2r5 b - -,a5c5
8/1p3k2/p1p1n1p1/P2pnp1p/1P1P3P/2P1KPPB/8/2R5 w - -,d4e5
8/5k2/8/3K2p1/2P1R1P1/8/8/3r4 w - -,d5e5
3q1rk1/Rp3ppp/1P1Qp3/2p5/2Nn4/1P6/3P1PPP/6K1 b - -,d8h4
3rq1k1/5ppp/p2Bp3/2P5/3Q4/2N5/Pr3PPP/3R2K1 b - -,e8c6
3kn3/8/6Q1/2p1q2p/2B5/1P4P1/5K1P/8 w - -,g6e6
8/8/pp2pkp1/8/2P5/5K2/PP1rR2P/8 b - -,d2d4
r2r2k1/pp3pp1/4p1p1/2pn4/6Pb/P1PP1Pq1/1P2BR2/RN2Q1K1 w - -,g1h1
r1qb1rk1/pp3ppp/3Ppnb1/1BP3B1/3Q2P1/2N4P/PP3P2/R3K2R w KQ -,e1g1
5bk1/5R1p/q3p1p1/3n4/3Bp3/P7/1Q2N1PP/6K1 b - -,g8f7
2R5/7P/1p6/1k1K4/8/2p4r/8/8 b - -,h3h7
1r4k1/1pp3p1/5nqp/1pQ1R3/2P5/3P2Pb/P5B1/5RK1 w - -,g2h3
rn1q1rk1/pb2bppp/1pp1p3/3n4/2NP1B2/2N3P1/PP2PPBP/R2QR1K1 b - -,b8a6
rnbqkb1r/pp3p1p/4p3/2P2p1Q/4p3/2N5/PPP2PPP/3RKBNR b Kkq -,d8f6
r1bqk2r/p1p2pbp/2pp1np1/8/4PB2/2N5/PPP1BPPP/R2QK2R w KQkq -,e4e5
2r2rk1/1p4np/p2qp1p1/8/2B2PP1/1P6/P1P4P/2KR3R w - -,d1d6
Q7/2q2ppk/2p2nbp/1pPp4/1P1PpB2/5PP1/4P1BP/6K1 b - -,c7d7
r1bqk2r/1p3p2/p1pp3p/2b3p1/P1BpP1n1/2PP2B1/1P1N1PPP/R2Q1RK1 b kq -,h6h5
r1bq1rk1/ppp1n1bp/3p2p1/2PPp3/PP2n3/2N5/4BPPP/R1BQ1RK1 w - -,c3e4
r1b1k2r/1p3qbp/pn4p1/2p1pPB1/3nP1P1/2N2N2/PP3Q2/2KR1B1R w - -,f2g3
5k2/6pp/1q2p3/1p6/n1r5/P1P3P1/3QN2P/3R2K1 w - -,g1g2
kb1r4/pp1r2p1/7p/8/2qBQ2P/3R4/PP4P1/1K1R4 w - -,d3d2
8/8/4p3/6k1/6P1/8/1K6/8 w - -,b2c3
2r5/k4r2/1n6/1p1p2Pp/pPqP1P1P/P1P1Q3/K3R3/5R2 w - -,a2a1
8/8/p7/Pp1p4/1BpP4/2P5/KPk5/1r6 w - -,b4a3
2q1rbk1/1br3pp/pn1p4/1p2pPNn/1P6/R1P4P/1BQN1PP1/R4BK1 b - -,h7h6
5k2/5p2/4p1p1/8/PR4P1/2b2P2/r1B5/3K4 w - -,b4c4
6r1/1bk5/1pn1Qp1p/3p2r1/3Pp2q/R1P4P/1P3PP1/4RBK1 b - -,g5g7
r1bq1rk1/p2nbpp1/1p3n1p/2pp4/3P3B/2P2N2/PP1NBPPP/R2Q1RK1 w - -,f1e1
2r5/2N3k1/6p1/P1p2p2/1p1nP3/1P1BKP2/2P5/8 w - -,c7d5
r2r1n2/1p2k1p1/1bp2p1p/4pB2/pP4P1/P3P3/1B1R1PP1/2KR4 w - -,f5c2
8/6k1/1p6/p4pr1/3P2P1/P1P2B2/1PK5/8 w - f6,g4f5
r2q1rk1/pb2npp1/1p2p2p/3p4/1P1Pn3/P2BPN2/2QN1PPP/R4RK1 b - -,a8c8
7k/pp1b2p1/4pnQp/4R3/P4q2/1B5P/1p3PPK/1Rr5 w - -,g6g3
r2q1rk1/pb3ppp/1p2p3/2p1P1b1/2PPp3/2B1P3/PP1QB1PP/R4RK1 b - -,f7f6
2r2rk1/pp4bp/2n3p1/q3pb2/8/P1N1BN1P/1PP1QPP1/3R1RK1 b - -,h7h6
rn2r1k1/p5bp/2PQp1p1/4p3/Np2q3/8/PP3PPP/R1B2RK1 w - -,c6c7
r1bq1r2/P1p1bpk1/1p5p/3pP1p1/P1nP1p2/2PB1NnP/2Q3P1/RNB1R1K1 b - -,a8a7
2r2rk1/1pqnbpp1/4p1p1/pB1pPn2/P2P1B1P/5NP1/1P3PK1/R2Q1R2 b - -,d7b6
5rk1/pr2bppp/1p2p3/2p1P3/2P2B2/6P1/PP3P1P/3R1RK1 w - -,g1g2
3r4/p4pk1/5p2/1Q1P3p/7P/5qP1/P4P2/2R3K1 w - -,c1c5
8/R3b3/4k1nB/1p2pr1p/1P1p2p1/3P4/5PK1/R7 w - -,a1a6
2r2rk1/1p1nqppp/p1p1pn2/1b6/2NPP3/4Q1P1/PP1N1PBP/2RR2K1 w - -,b2b3
5rk1/pp3ppp/2p3n1/q2r4/3PQ3/P1R2N2/1P3PPP/4R1K1 b - -,h7h6
r4rk1/pb1qnpbp/1p1pp1p1/n7/3NPP2/2P1B1P1/PP2N1BP/R2Q1RK1 w - -,d1d3
8/6p1/2p2k2/2P1n2p/pp2K2P/4P3/1PN5/8 b - -,b4b3
8/7R/4kp2/P3n3/r5P1/6P1/6b1/4R1K1 w - -,g1g2
r3r1k1/pp1q1pp1/2p2b1p/3n1b2/1P1P1B2/NBP2Q2/P4PPP/R3R1K1 w - -,f4d2
8/2b3pk/2p4p/Pq1p4/2nBp3/4P2P/2Q2PP1/2NK4 w - -,c1e2
8/4k3/7R/Pp3K2/8/r7/8/8 b - -,a3a5
r4b1k/3Q2pp/3p4/7q/1P1B2RP/8/5PPK/8 b - -,h5h6
4Q3/4b1k1/4p2p/3pqp1B/8/7P/8/6NK b - -,e5f6
6k1/b4p2/P1p3p1/7p/3r4/R6P/1PP1K1P1/8 b - -,g8g7
2rr2k1/1p3ppp/p3pbb1/4Nq2/P1BP1n2/1P2Q2P/1B3PP1/R4RK1 b - -,f5e4
r1bq1rk1/pppnppbp/2np2p1/8/3P1B2/4PN1P/PPP1BPP1/RN1Q1RK1 w - -,f4h2:c2c3:e3e4:c2c4
2k5/7p/pPp3p1/P2p1nN1/3P3n/8/2N2P1P/6K1 w - -,g5e6
5k2/1p3p2/p2B3p/5r2/3P1Rqn/1P6/5K2/3R3Q b - -,f8g7
rn1q1rk1/pbp1bppp/1p2p3/3p4/3Pn3/1P1BP3/PBPN1PPP/RN1Q1RK1 w - d6,f2f3
3R4/8/p1k2r2/3n4/8/1P3P2/PK6/8 w - -,d8c8
1q4k1/3bppbp/p2p1np1/n1pP4/2P1P1P1/B6P/P1QNNPB1/6K1 w - -,f2f4
r7/7p/6p1/p2k1p2/8/3pP1P1/5P1P/R3K3 w - -,a1a4
r2q1rk1/2p2pb1/ppn1b1pp/4p2n/P3P3/1NP2NPP/1PB1QP2/R1B1K2R w KQ -,f3h4
8/8/4bRP1/pp1k4/2r2B2/4K3/8/8 b - -,c4c2
r5k1/1p5p/pBbq1bp1/3ppn1r/1P6/P2Q2N1/B4PPP/3R1RK1 b - -,f5g3
r4rk1/pp3ppp/2nq1n2/2bp4/6b1/2N1PN2/PPQ1BPPP/R1BR2K1 w - -,a2a3
2bqr2r/5pk1/2np1np1/p1p5/1pP1PP1p/1P1B4/P1NQ1NPP/R3R1K1 w - -,a1d1
2r4r/pp1bkp2/4p2p/4b3/4N3/1NP4R/PP3KP1/7R b - -,d7c6
r1b2rk1/1p3pb1/1qp1p2p/p4np1/P2PNQP1/1B3N1P/1PP2P2/3RR1K1 w - -,f3g5
2rrb1k1/1pq2ppp/8/1P1pPn2/1b3P2/5B2/R1P1Q1PP/4BR1K w - -,e1b4
r1bqrbk1/1p3p2/1np2np1/p2p3p/3P4/PPNBP1N1/1BQ2PPP/3R1RK1 w - h6,f1e1
Q7/5ppk/4p2p/5n2/3qN3/5PP1/6PK/8 b - -,d4e5
rn1q1rk1/1pp1ppbp/1n4p1/p7/P1PP2b1/1Q3N2/1P2BPPP/RNB2RK1 w - -,f1d1
5r2/5q2/6k1/1p1p2pp/p3p3/P1P3RP/1PN1Q1K1/8 w - -,c2d4
r1bqk2r/2p1bppp/p2p1n2/1P2p3/4P3/1P3N2/1P1PQPPP/RNB2RK1 b kq -,c8b7
rnb2rk1/pppp1ppp/8/3PP3/8/4P3/PP4PP/RNB3KR b - -,f8e8
8/4kb2/7p/p2p1p2/3P3P/P4BP1/3K4/8 w - -,d2c3
5r2/pr5k/3p2pp/2pP1q2/1pQ2pbP/3P4/PPP5/2K1RB1R b - -,g4f3
r1bqkb1r/1p2pppp/pn6/3pP3/1n1P4/3B1N1P/PP3PP1/RNBQK2R w KQkq -,b1c3
r3b3/4qnk1/p2p1pp1/1p1P4/3P3Q/4NBP1/PP3P2/2R3K1 w - -,h4e4
4r1k1/1b5p/pp1pp1p1/3N3n/1PN5/P4qPQ/5P1P/2RR2K1 b - -,b7d5
8/ppr1pn1p/4Bkp1/4R3/5PPP/1P6/1P6/1K6 w - -,e5e3:e5e2
4r3/3b2kp/p3p1p1/3pR3/Pp1N4/1Pr3P1/2P1RP1P/6K1 w - -,f2f4
