4k3/1p3r1n/p6P/3Q4/P7/1P5K/8/8 w - -,d5e6
r5k1/1p4b1/pP2r1pp/4p3/4p3/4B3/P4PPP/R3R1K1 b - -,g7f6
r1r3k1/4pp1p/1n1p2pQ/2pP4/2b5/2B3P1/qP2PPBP/1R1R2K1 b - -,f7f6
2r2rk1/p2q1pbp/1p1pp1p1/2p1nb2/1PP2N2/PR1PP1P1/3BBP1P/3QR2K b - -,b6b5
2rr2k1/1p3pp1/p6p/6P1/2qBQb1P/8/PPP2P2/1K1R3R b - -,c4c7
r5r1/4kppR/2n1p3/pp1pP1N1/5PP1/P1P5/1P4K1/5R2 b - -,b5b4
rr4k1/4n1b1/1q1p3p/p2Pp1pP/1pPpBpP1/PP1P1P2/2QBK3/R6R b - -,b6c5
r2q1rk1/ppp2p1p/1n1p1bn1/3Pp1p1/2P1P1B1/1PN1B1PP/P4P1K/R2Q3R b - -,f6e7
r1bqk2r/ppp1ppbp/1nn3p1/8/8/P1N2NP1/1P1PPPBP/R1BQ1RK1 b kq -,a7a5
rnb2rk1/pp2ppbp/6p1/q1p5/3PP3/2P2N2/P2BBPPP/R2QK2R b KQ -,b8d7
2k1r2r/p1pp1ppp/bnp1q3/4P3/1bP2P2/1PN2Q2/PB4PP/2KR1B1R b - -,a6b7
6k1/5p2/4r2p/5K2/7P/2Q5/8/8 w - -,c3d2
3rr1k1/4bpp1/2n1b3/1ppqp1pQ/4N3/2PP3P/1PB2PP1/R1B1R1K1 b - -,f7f6
2R3k1/5p2/3N1rp1/7p/7P/6P1/6K1/8 b - -,g8h7
rn1qkb1r/ppp1pppp/1n6/4Pb2/3P4/1B6/PP3PPP/RNBQK1NR w KQkq -,c1e3
3rb1k1/R4pp1/4p3/4B1P1/p3P3/P3KP2/8/8 w - -,e5c3
r4rk1/pbqpb1pp/1pn1p3/5p2/3P1P2/2PBBN2/PP4PP/R2Q1RK1 b - -,e7f6
rnbq1rk1/1p3ppp/p2bpn2/8/P1BN4/2N1P2P/1P3PP1/R1BQ1RK1 b - -,e6e5
3rr1k1/pbq2ppp/1ppb1n2/2n1p1N1/2P4P/3PP1P1/PB1N1PB1/Q1R1R1K1 w - -,g2f1
8/b6R/6p1/4B3/4K1k1/4p3/r6p/8 b - -,e3e2
1rbq1rk1/2n2pb1/pp1p1npp/2pP4/P1P4B/2NB3P/1P1N1PP1/R2Q1RK1 w - -,f2f4
r1bkr3/1pp2ppp/p2p1n2/6q1/1n1NP3/2N3P1/PPP1QPBP/R3K2R w KQ -,e1g1
8/1p1knQ2/pqprp3/3n4/P2P1p2/1P6/3R1PPB/1B4K1 w - -,b1c2
7r/p1qr1k2/P2ppn1p/1Pp2p2/2P2P2/3R4/3Q1NPP/3R2K1 b - -,h8d8
r1b1kb1r/pp1ppppp/1qn2n2/8/4P3/1NN5/PPP2PPP/R1BQKB1R b KQkq -,e7e6:d7d6
1brqr1k1/pb3ppp/1p3n2/2p1pN2/2PBP3/1P3PP1/P2NQ1BP/2RR2K1 b - -,c5d4
8/1R1N4/5p2/k2B1n2/8/P5r1/7r/4RK2 w - -,b7a7
3r4/1pR1pkb1/4p1pp/p3P3/4RB1P/6P1/1rP2PK1/8 b - -,b7b5
r5k1/ppp1rpbp/2qp1np1/8/4PP2/PPN2Q2/1P1B2PP/2R1R2K b - -,c6d7
r1bq1rk1/1pp1bppp/2n2n2/p3P1B1/2p5/P3PNP1/1P3PBP/RN1Q1RK1 b - -,f6d7
3r4/4kppp/1Nb1pn2/8/BR6/4P3/1P3PPP/6K1 w - -,g1f1
r1r2bk1/5p1p/p1q5/5RP1/1p3P2/8/PPP1Q2P/1K2R3 w - -,f5e5
Rn5r/1pk1p1b1/5npp/1B1pp3/1P2P3/2P1BP2/3K2PP/R7 w - -,e4d5
4rr1k/pp2b1pp/2q1b3/3R1p1Q/8/4B3/PP3PPP/1B3RK1 w - f6,b1f5
8/8/p5k1/BpNnp3/3p2pP/P2P2P1/4K3/8 w - -,c5a6
8/1n5p/8/5B2/1p1k4/5P1P/PP2K3/8 b - -,h7h6
8/5k2/6p1/3K2P1/8/6R1/3b4/8 b - -,d2c1
r1b2rk1/1p2bpp1/p2ppn1p/n7/1q2PP2/1NNB4/P1PQ1BPP/1R3RK1 b - -,a5c4
1rbq1rk1/2p2pbp/3pnnpB/1p2p3/1P6/2NP1NP1/P3PPBP/1RQ2RK1 b - -,c8b7
r3k2r/4npp1/p6p/1P1p4/1q2n1PN/R3Q3/6PP/1N2R2K b kq -,e8g8
6k1/5p2/2P1p2b/1B2P2p/3B1p2/4n1PP/8/6K1 b - -,e3d5
8/5pk1/4p2p/8/3n1P2/r3N3/1R2P2P/6K1 w - -,e3c2
rnbqkb1r/pp2pp1p/1n1p2p1/8/P1PP4/2N5/1P3PPP/R1BQKBNR b KQkq a3,f8g7:a7a5
8/1n1k2pp/p1p2p2/5p2/1PP5/2BK2P1/P4P1P/8 b - -,h7h5
5k2/p1R1b3/1p1pp2p/r7/3P1p1P/P4N2/1P3PP1/6K1 w - -,g1f1
2rr2k1/3nbpp1/pq2p2p/1p1b4/1P1NP3/P4PN1/5QPP/2RR1BK1 b - -,d5c4
r1bq1rk1/1p4b1/2npp2p/p4pp1/2PP4/1NN3P1/PPQ1BPP1/3RK2R w K a6,a2a4
r1b3k1/1p4pp/pBnbp2q/P1Np4/N4r2/R7/1PPQB2P/5RK1 w - -,f1d1
r1bqr1k1/pp1n1ppp/2p2n2/3p4/2PP4/P1b2N1P/1P2BPP1/R1BQ1RK1 w - -,b2c3
r2q1rk1/p4pbp/2pp2p1/2p1n3/Q1b1PN2/4BPP1/PP3RBP/3R2K1 b - -,c4b5
r2qkb1r/1b1n1ppp/p2ppn2/1p6/3NP1P1/2N1BP2/PPPQ3P/2KR1B1R b kq g3,d7b6:h7h6
8/7p/4p1p1/1knpPp2/5P2/2K1B3/6PP/8 b - -,c5e4
r1b1k2r/ppp1qppp/3p1n2/1N2b3/2B1P3/BQ6/P4PPP/2R2RK1 b kq -,c7c6
rnbqk2r/ppp2pbp/3p1np1/8/2P1P3/4BP2/PP1Q2PP/RN2KBNR b KQkq -,c8e6
r1bq1rk1/pppp1ppp/2n2n2/1Bb1p3/4P3/5N2/PPPP1PPP/RNBQR1K1 w - -,c2c3:h2h3
r3r3/p2k4/3B1p2/R1Pb1ppp/2p5/P3PP2/3K2PP/1R6 w - h6,b1b4
r4r2/pp3qbk/2np3p/2p1pbpP/8/2PPQNP1/PP3PBN/R3R1K1 w - -,g3g4
2kr3r/1p6/p2q1p2/2p1p1p1/4Pn1p/2PPQ3/1P2NPPP/3R1R1K w - -,e2f4
8/5k2/2b3p1/7p/2r5/P3R2P/5Bp1/6K1 w - -,g1h2
1r3rk1/4bpp1/B3q2p/1Pp1Pb2/P7/2Q1N1P1/5P1K/B3R3 w - -,a4a5
r6k/3q1pp1/1p5p/2p1b2n/1PP1P3/1Q5P/2B3P1/2BR3K b - -,h5g3
2b1r1k1/1p2bp1p/8/p2P2r1/3NB3/2R3P1/PP6/5RK1 b - -,e7b4
r4rk1/pppbqpp1/2nbp2p/8/3P4/1QN1PN2/PP2BPPP/R4RK1 b - -,e6e5
8/5k2/4p2Q/5p1P/5P2/8/6PK/4q3 w - -,h6g6
8/4Qk2/5p1p/p2n1p2/1P6/8/3N4/3K4 b - -,f7e7
r2r2k1/ppq1bppp/2b1pn2/4N1B1/7Q/2N5/PPP2PPP/2KRR3 w - -,d1d8
r2q1rk1/pnp4p/1p1p2p1/3P4/1PP1bP2/2Q5/PB5P/1R3RK1 b - -,d8d7
r4rk1/1bp1npb1/1p4pp/p3p3/q3n2N/2P1B1PP/PP2QPB1/R2R1NK1 w - -,f1d2
rn1qkb1r/pbp2ppp/1p3n2/3pp3/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq d6,f3e5
r1b1r1k1/pp1n1pb1/1qpp1npp/8/2PpP2B/1PN5/P3NPPP/1BRQ1RK1 w - -,e2d4
2rr2k1/4qp2/p1pbbnp1/1p5p/3PN3/1N3B2/PPQ2PPP/3RR1K1 b - -,f6e4
5k2/p4b1p/1p3pp1/1p2p3/P3P1P1/b5NP/2P2PK1/3N4 w - -,a4b5
5n1k/1p3Q1p/4p1p1/8/4R1Pr/qB6/5PKb/1R6 b - -,g6g5
r1r5/3b1kq1/pp1p4/1PpP1p2/2BbpPp1/P3B1P1/1P1Q1R1P/3R2K1 w - -,b5a6
rnbqk2r/p3ppbp/3p1np1/2pP4/2P1P3/2N5/P2B1PPP/R2QKBNR b KQkq -,b8d7
8/1p2kpp1/p3q2p/2P1b3/1PN1Q3/P4PPP/6K1/8 b - -,e5c7
r1b2rk1/6p1/p3pn1p/1p2N3/4pPB1/PP5Q/2q3PP/R4R1K b - -,f6g4
1b6/1b3p2/5Pk1/1p1N2p1/4K1Pp/1P2BP1P/8/8 w - -,e3b6:e3c5
r3qk2/8/p3pQ2/8/4B3/2P5/1P4PP/7K b - -,f8g8
8/4kp2/5R2/3pPp2/8/1r5P/4K1P1/8 b - -,d5d4
2k5/2p4p/pp1rprp1/2p1N1Rn/4P1RP/4PP2/PPP1K3/8 w - -,e5g6
r3kb1r/1bqn1ppp/p2ppn2/1p6/3NPP2/P1NBB3/1PP3PP/R2Q1RK1 b kq -,f8e7
r4r1k/2p1bppp/2pq4/4p3/p3P3/P1BP3P/2Q1KPP1/R1R5 b - -,c6c5
4rrk1/pbp3pp/1p1p3q/n3p3/2P1PpB1/2PP1PP1/P6P/1RBQ1RK1 b - -,h6g6
qrb1r3/2Qn1pkp/p5p1/4p3/1PP1P3/2N5/4B1PP/1R1R2K1 b - -,b8b7
r6r/1p4p1/p2pk2p/4np2/4n3/6PB/PP1BPP1P/R4RK1 w - -,d2e3
2R5/3nk1pp/r2p1p2/1N6/4P3/Pb3P2/1P4PP/6K1 w - -,b5d4
2R2R2/1p6/6k1/B2p2p1/8/2P5/2Kq4/2b5 w - -,c2b3
r1b2rkb/pp1qp2p/2p1n1p1/3pP1P1/5P2/2N1B1Q1/PPP4P/2KR2NR b - -,e6g7
r2q1rk1/4ppbp/bn1p1np1/2pP4/8/NP4PN/PB2PPBP/R2Q1RK1 b - -,a8a7
8/8/p4R1p/3kp1p1/2N3P1/8/2P2K1P/r7 w - -,c4e3
r3r1k1/1p1qbp1n/2p3pp/p1n1P3/3N1P2/PP3RP1/1BQN2KP/R7 w - -,d2c4
r4rk1/1pqbnp2/p3pb2/2Pp3p/PP1N1Pp1/1NP5/4Q1PP/R1B2R1K w - -,c1e3
4k3/1p1r4/BRn3p1/5p1p/P7/1P6/5KP1/8 b - -,d7d2
8/6k1/R4ppp/4n3/3BPP2/6P1/6Kr/8 w - -,g2h2
1kr5/pp2b3/2np3p/4p3/8/2P1Nq2/PP1R1Pr1/R3B1K1 w - -,e3g2
rn1qr1k1/5pbp/pp1p4/3p2p1/3PP3/4BP1P/PP1QB2P/R3K2R b KQ -,d5e4
r6k/pp5n/2pp2q1/8/2PP1Q1R/2N5/PP6/2K5 w - -,c3e4
6k1/5p1p/1pq2np1/3p4/3P4/4PP2/2Bb2PP/3Q2K1 w - -,d1d2
r4rk1/p2b2bp/3n4/2pP1p2/2p4B/P1NR3P/BP4PK/R7 w - -,d3d2
8/1r6/2K3k1/3R4/4Nb2/8/8/8 b - -,b7b4
3rrbk1/pp3qpp/2b5/8/P3p3/1P2N1PP/1BQ2PB1/3R2K1 w - -,g2f1
r1b2rk1/2qnppbp/p4np1/1p2P3/8/2NB1N2/PPP3PP/R1B1QR1K b - -,f6g4
r1b2rk1/ppqnppbp/3p1np1/2p5/2PP4/1P3NP1/P1Q1PPBP/RNBR2K1 b - -,a8b8
8/4rk1p/1p1p1q2/p1nP2p1/P3Bp2/2P2P2/2Q3PP/4R1K1 w - -,e1b1
r2q1rk1/pp2ppbp/nnppb1p1/4P3/2PP1P2/1PN1BN2/P3B1PP/2RQK2R b K -,a6c7
3r1kr1/p5bp/b1pn2p1/3p4/NQ2pP2/1P1P4/P1P3PP/R4RK1 w - -,a1d1
8/2K5/4Bk2/2P2P1b/8/1r6/8/2R5 b - -,h5f3
rn1qr1k1/pp3pbp/3p1np1/2pP4/2P3b1/2NB1N1P/PP3PP1/R1BQ1RK1 b - -,g4f3
3rr1k1/1p3ppp/p1p3n1/3p3n/PP1P2q1/2N1P3/5PPP/1R1QNRK1 b - -,g4g5
5b2/7p/4k1p1/1pp5/2p5/6P1/1P4KP/3R4 w - -,g2f3
1rb2rk1/4ppbp/1q1p2p1/n2P4/1p3P2/5RPP/1PP1N1BK/R1BQ4 b - -,c8f5
rnb1k2r/pp3p2/4pp1p/q1pP4/3P4/4P3/P2N1PPP/2RQKB1R b Kkq -,b8a6
8/8/8/p5kp/1p6/1B1N4/1b3PK1/8 w - -,d3b2
8/r6p/4k3/1P1n4/4N3/1K1R3P/6P1/8 b - -,a7a5
2n5/pp1n2pp/8/3k4/5N2/PP2B2P/3K1PP1/8 b - -,d5e5
4b3/2p2p2/pp2k1p1/7p/P1PP1P1P/2P1K3/2B3P1/8 w - -,e3e4
r2qk2r/ppp2ppp/3bp3/3N1b2/3P4/1B3P2/PPP3PP/R1BQK2R b KQkq -,e6d5
5rk1/7p/1p1Qp1q1/1p2p1b1/3p4/5PN1/P5K1/5R2 w - -,f1h1
8/7p/3pk1p1/p1q1p3/Pp1nP2P/1P1P4/1Q2NPP1/5K2 b - -,d6d5
7R/8/8/pK3kp1/8/7P/r7/8 w - -,h8f8
8/3q2kp/2p2pp1/1p2p3/2p1P3/r2r1N1P/R3QPPK/R7 b - -,a3a2
6k1/5pp1/4pb1p/pp1q4/3PR2P/P3QPP1/1r1B2K1/8 w - -,e3c3
r5k1/b2q1pp1/5nbp/2p5/p2p1BP1/2P2P2/PPNQ2BP/4R2K w - -,f4e5
4r1k1/1b1nqrpp/pppb4/3p1p2/1P1P4/P2BPNn1/1BR2PPP/Q4RK1 w - -,h2g3
r1rk4/3b1ppp/3Bpn2/3p4/pR1N4/3PP3/P2K1PPP/1R6 w - -,b4b7
7R/R4p2/4b1pp/3rP2k/8/2b5/8/2K5 w - -,c1c2
6k1/2nn3p/3p2p1/1ppPpp2/2P1P3/1PB1bP2/N5PP/1N3K2 b - -,b5c4
3k4/8/2KBr3/8/8/8/R7/8 b - -,d8e8
r7/pp2rk2/2p2b2/3p1p1p/1P1P1Pp1/3KP1P1/RP1N3P/2R5 b - -,a7a6
4rr2/2p2ppk/1nQpq2p/1P1n4/1P1Pp3/1B2P2P/3B1PP1/R1R3K1 b - -,e8e7
4r1k1/1pp3pp/2q1P3/p7/P2b4/1QNb4/1P6/K3R2R w - -,e6e7
2B4k/8/7p/p1b5/P2n1p2/3PN3/7P/3K4 w - -,e3f5
8/1R3pk1/P4b2/6p1/2B5/6r1/4K3/8 w - -,b7f7
1rb2r1k/4q1bp/p3Pn2/2Nppp2/1PB5/1Q6/R2B1PPP/4R1K1 b - -,d5c4
3n4/1p2r3/p2p1k1p/P1pP1ppP/2P2q2/2P2B2/1R3PK1/5Q2 w - -,f3d1
1kb4r/1pb3q1/p1P5/P1N2p2/1P3np1/3BQ1P1/7r/1KR1R3 w - -,e1e2
4r1k1/p4p2/1qpp2p1/4n2r/Q1P1P3/5NP1/P6P/3R1R1K b - -,e5f3
2r2rk1/4p1bp/pq4p1/3b1p2/4N3/PPp1P3/R1B2PPP/2R1Q1K1 w - f6,e4g5
8/2R5/6nk/4p3/2p1P3/2P1PQPK/1P6/q7 b - -,a1b2
2R3kn/5pp1/7p/2pPr3/1q2P2P/4P1PB/1PQ4K/8 b - -,g8h7
r1bq1rk1/bp2nppp/p1pp1n2/4p3/2P5/P1NPP1PP/1P2NPB1/R1BQ1RK1 w - -,e3e4
8/8/3k4/1r1p3K/8/8/8/2R5 w - -,h5g4
2r5/6k1/Q5p1/1pq1pp2/7p/P4P1P/1P4P1/K3R3 b - -,c8d8
5rk1/ppr1qpp1/5n1p/4pQ2/2BbP2B/1P6/P2R1PPP/1R4K1 b - -,e7d7
5k2/8/5r2/2R5/7P/5PP1/b7/6K1 w - -,g1f2
6k1/2B3p1/8/p7/1b6/1K1n3P/6P1/8 w - -,h3h4
r1bq1rk1/pp2ppbp/5np1/3P4/8/1NN1B3/PPP2PPP/R2Q1RK1 b - -,b7b6
4r1k1/q4p2/3n2p1/1p1Pb3/3pPB1Q/1B1P3P/6P1/1R4K1 w - -,f4e5
8/4p3/4Pk2/pbq3pp/1p1p1r2/1P3P1P/P3Q1P1/1B2R2K w - -,e2f2
r3r1k1/ppq2pp1/2p2n1p/5P2/1PP1p1PP/2N1Pn1K/P1Q1B3/1R1R4 w - -,d1h1
3q1rk1/pb2n1p1/1p1np2p/3pN3/3P1p2/P3PP2/1PQN2PP/1B3RK1 b - -,e7f5
r2q1rk1/1b2bppp/p2p1n2/1pp5/4P3/P1N1B2P/1PPQBPP1/R3K2R w KQ -,e2f3
r1b2rk1/pp2bppp/2n1pn2/7q/2N5/N3B1P1/PP2PPBP/R2Q1RK1 w - -,f2f3
k7/1p1n3P/8/p3pQ2/1P4K1/P3q3/1B4P1/8 b - -,e3e2
6k1/p2r2pp/4p3/P3Pp2/4pP2/q1PnQ1PP/4N3/3R2K1 w - -,e2d4
6k1/5p1p/2p1P1p1/Q4p2/2PKn3/Pr4P1/3r3P/8 w - -,d4e5
r2q1rk1/pp2ppbp/2np2p1/8/2PNP1b1/2N1BP2/PP4PP/R2Q1RK1 b - -,g4d7
8/7k/r1K1R2P/5pB1/4nP2/8/8/8 w - -,c6d5
r4rk1/pp1q1ppp/2p2N2/4R3/3P4/1B2P3/PPQ2PPP/5bK1 b - -,g7f6
r4rk1/2qn1pp1/pp1ppb1p/8/2P5/1P1Q2P1/PB1NPPKP/2R2R2 w - -,b2f6
r4b2/p4k2/3qbn1p/4p3/4P3/2Q2N1P/P4PP1/B3R1K1 w - -,f3e5
r4bk1/2R2p2/4p1pp/p2pP3/3P3P/PN6/5PP1/6K1 w - -,b3c5
8/8/6K1/4r3/3k2Bb/4p2P/1R6/8 b - -,h4e1
8/8/p4kp1/3K1p2/r6P/8/8/5R2 w - -,f1h1
1r1q1rk1/3nppbp/3p2p1/1p1N4/3pPP2/3P4/PP1QB1PP/1R3R1K b - -,e7e6
r1r3k1/pp3bpp/1npb4/3p1p2/1P1P3B/1BP1PN2/1P4PP/R3R1K1 b - -,h7h6
8/1p6/p2p1kpn/P1nP1p1p/1BPb1P1N/5KPP/2B5/8 b - -,h6f7
rnbq1rk1/p2nppbp/3p2p1/2pP4/1pP1P3/3B1N2/PP1N1PPP/R1BQR1K1 w - -,a2a3
r2q1rk1/pbpn1pbp/1pnp2p1/4p3/2PP4/2N1PN1P/PP2BPPB/R2Q1RK1 w - -,d1d2
5rk1/1pr1bppp/1q2p3/np2P3/3pP3/3R2B1/PP2QPPP/1N3RK1 b - -,f8c8
8/5nkp/4Q3/6p1/3PN1P1/2P5/5PK1/2q5 w - -,e4g3
r2r2k1/1p2ppb1/p1b3pp/2Nn4/3P2P1/4P1BP/1P1KBP2/R1R5 b - -,a8c8
2rqkb1r/1p1b1p2/p2ppn1p/4n3/3NPBP1/2N4P/PPP1Q1B1/2KR1R2 b k -,b7b5
8/6k1/p1r2r2/4Q2p/P5pP/8/6PK/8 w - -,e5h5
2r2rk1/p2q1pbp/1p2p1p1/3p1n2/8/Q2PP1P1/PP1B1PBP/1RR3K1 w - -,g2f1
r1br2k1/1nq1bppp/3p1n2/pp1Pp3/2p1P3/2P4P/PPB2PPN/R1BQRNK1 w - -,h2g4
2r3k1/pp1b1pbp/2n1p1p1/6B1/3PP3/3B1P2/P1R1N1PP/6K1 w - -,g5e3
r1bq1rk1/1p2bppp/p1n2n2/2p1p3/P1BpP3/3P1NN1/1PPB1PPP/R2Q1RK1 b - -,f6e8
1r1q1rk1/N1n1ppbp/pp1p1np1/2pP4/P3PP2/5B1P/1PP3P1/R1BQ1RK1 b - -,d8d7
r3k2r/1p1bnpbp/pqn1p1p1/3pP3/1P1P1P2/2BBNN2/P3Q1PP/R4R1K b kq b3,a8c8
r4rk1/2pbq1pp/4p3/p2pP3/nPp5/P1P1QNN1/3R1PPP/3K3R b - -,c7c5
2r2r2/3npk2/R3bpp1/p6p/p1PBp2P/4P3/5PP1/R2B2K1 b - -,e6c4
r2r2k1/p4ppp/q3p3/B1p5/P1P3P1/4P3/4QPP1/R4RK1 b - -,a6a5
r1bq1knr/p1p2pb1/2p1p1pp/2NpP3/3P1BP1/5N1P/PPP1QP2/2KR3R b - -,g8e7
2rqr1k1/1b2bppp/p1p1nn2/1p1pB3/3P4/PQN2NPB/1P2PP1P/2RR2K1 b - -,c8a8
8/6k1/1R4p1/1p3p1p/p4P1P/8/Pr3PK1/8 w - -,b6b7
rn2kb1r/pp3ppp/1qp1pnb1/4N3/2BP2P1/2N4P/PPPBQP2/R3K2R b KQkq -,b6d4
3r4/7p/pp2pkp1/4R3/2P2P2/6P1/P1K4P/8 b - -,d8d4
5k2/r1p2p2/p2p3b/Pp1Pprq1/1Q6/2N2PPp/1PP2K2/3R1R2 w - -,d1d3
2r3k1/5p2/2q3p1/2pp2Qp/p6P/P4P2/1PP3P1/2K1R3 w - -,g5e5
r4rk1/pp2p2p/3q1pp1/3P1b2/1P1R1P2/5N2/P4QPP/4R1K1 b - -,a8c8
k5r1/8/P7/1P6/2P4R/7K/8/8 w - -,b5b6
2R5/5k2/7p/1P2bp2/4q3/8/2P2B2/4K3 w - -,e1f1
r3r1k1/1pp1bp1p/1qn2np1/p3p3/4P2N/1PP5/1P1NQPPP/R1B1R1K1 w - -,g2g3
r2q1rk1/p2pbp1p/bpp3p1/n2Pp2n/2P1P3/1PNBBPP1/P3N2P/R2QK2R w KQ -,d1d2
8/6b1/1r2k1Bp/pPp1p2P/P2pK1P1/3P4/8/5R2 w - -,f1f7
5b1k/5p2/p1Q3p1/1p1N3p/1P6/8/5PPK/q7 b - -,a1e5
8/3q1pk1/5bpp/p7/4QP2/1Bp1PK1P/P4P2/8 w - -,f3g2
rn5r/p1pk1pp1/1p6/3pP2p/3P4/P1P2P2/2P2P1P/R1B1K2R b KQ -,b8c6
3rr1k1/Q2R1pbp/1p4p1/4p3/8/1q1P2P1/4PPBP/5RK1 w - -,g2d5
r4rk1/pp2Rppp/1n2p3/4P3/1P6/4BN2/P3nPPP/R4K2 b - -,e2c3
8/8/4n3/3k4/p5Pp/2P1K2P/1P1N4/8 w - -,d2f3
2rq1rk1/pb2ppb1/1p5p/3pNQp1/3P4/2P3P1/PP1N1PP1/3RR1K1 b - -,e7e6
7r/pk1n4/1p2pbrp/n2p4/2pP1B2/1PP2NP1/P4PN1/R3R1K1 b - -,f6g5
3r1qk1/1b1r3p/p4pp1/3P4/1pp1P1N1/2b2Q2/P1B2RPP/3R3K b - -,f6f5
r4rk1/pp1q1ppp/2nb1n2/2p3N1/4PB2/2N3Q1/PPP3PP/R4RK1 b - -,d6f4
2rqk2r/1p2bpp1/pnn1p3/3pPb1p/3P1P2/P1N4P/1P1NBQP1/R1B2RK1 b k -,c6a5
3r2k1/q2n1pp1/pbR1p1bp/8/2NPPQ2/5NP1/r4PBP/5RK1 b - -,b6d4
8/1pp5/1b4p1/pP1P2kp/P3p1P1/6BP/3K1P2/8 w - h6,g4h5
r1bqkb1r/pp1p1ppp/2n2n2/4p3/2P5/1NN5/PP2PPPP/R1BQKB1R b KQkq -,d7d6
4k3/8/3B3N/2pB3p/2b1PK2/p5P1/8/2r5 w - -,d5c6
4r1k1/5pbp/p2p2p1/1q1P4/4rP2/2P4P/R1Q3P1/5RBK w - -,f1f3
2b5/2q1n1pk/4pr1p/p2pNp2/1p1P1P2/3BP2R/PP4PP/4Q1K1 w - -,g2g4
8/pp6/2p1pk2/6pb/3P4/P1PB2K1/7P/8 b - -,h5g6
1q1rr1k1/pb3p1p/1p1ppbp1/8/1BP1P3/1P1Q2P1/P4PBP/2R1R1K1 w - -,c1d1
r2r2k1/pp2pp2/5bp1/5b1p/3p4/1PN3PP/1P1BPPB1/R1R3K1 b - -,d4c3
r3kb1r/1ppqpppp/p1n2n2/3p4/5P2/1P2Pb2/PBPPB1PP/RN1QK2R w KQkq -,e2f3
6k1/1p3pp1/4pqp1/pP6/4Q2r/P1r1b3/6PB/3RR2K w - -,e4b7
r2q1rk1/1b2ppbp/pn1p1np1/3P4/2B5/2N1BN1P/PP2QPP1/3R1RK1 b - -,b6c4
2rqkb1r/1p1n1ppp/p2pbn2/4p3/2P1P3/2N1BP2/PPN3PP/R2QKB1R w KQk -,c2a3
4b1rk/2n3qp/1p1r1pp1/p1pP4/2P1B1P1/P1QN3P/1P3R2/5R1K b - -,g8f8
8/7p/p7/1p6/1Pk5/P4RP1/r1K5/8 w - -,c2c1
r3k2r/pbq1bpp1/1pn1pn1p/2p1N3/P2pPP2/N2P4/1PP1B1PP/R1B1QRK1 b kq -,a7a6
r2q1rk1/pb3ppp/1n1b4/3PN3/p1pP1B1P/6P1/1PQ2PB1/3R1RK1 b - -,b7d5
2q2rk1/1Q3pbp/2p3p1/4p3/2rpP1b1/2nN2P1/1R2PPBP/2B1R1K1 w - -,b7c8
8/8/K3k3/1P6/8/5p2/8/8 b - -,f3f2
r2qk2r/1b2bpp1/p3pn1p/1pnp4/5B2/P1NBPN1P/1PPQ1PP1/R3K2R w KQkq -,d3e2
