8/5r2/2k5/4p3/1PK5/5P1P/8/3R4 b - -,f7f4
2q3k1/3b1ppp/1p2pn2/1P1p4/PQ6/6P1/3NPP1P/5BK1 b - -,c8f8
r2qkb1r/pp1n1ppp/2p1pn2/3pN3/5P2/1P2P3/PBPPb1PP/RN1Q1RK1 w kq -,d1e2
7K/5P2/8/8/8/8/2p5/1k6 w - -,f7f8q
r3kr2/5q1p/p1p1p1p1/3p4/7Q/7P/PPP2PP1/2KRR3 w q -,e1e3
8/p3kp1p/4p1p1/1p2q3/8/1B3K1P/P4N2/3R4 b - -,g6g5
3rkb1r/pp3p2/1qn1p1p1/2p1Pn1p/3P1P2/1PN2N2/P4BPP/R2Q1RK1 w k -,d4d5
rn1qk1nr/ppp2pbp/3pp1p1/3P4/2P5/2N2PP1/PP3P1P/R1BQKB1R b KQkq -,e6e5
r2qk1nr/pp1bb2p/2n1p1p1/3pPp2/3P1P2/P1NB4/1P1N1BPP/R2QK2R b KQkq -,g8h6
r1bq1rk1/ppp1bppp/2n2n2/4p3/2Pp4/1P1P1NP1/PB2PPBP/RN1Q1RK1 w - -,b1d2
1r2b3/1NRn1pk1/3P2p1/7p/p2K1P2/7P/1P4P1/8 w - -,d4d5
1rq2rk1/2n3pp/p2p1pb1/2nPpN2/p1p1P1P1/2P3NP/RPB1QP1K/3R4 b - -,c8d7
rnbqk2r/ppp1bppp/1n6/3Pp3/2P5/1QN2N2/PP3PPP/R1B1KB1R b KQkq -,b8d7
q4rk1/1brnbpp1/1p1ppn1p/pPp5/P1PP4/4PP2/1B1NB1PP/1QRRN1K1 b - -,c5d4
1n6/p3qpk1/1p2p1p1/2p1P1P1/4BP2/1P3Q1r/PKP5/8 w - -,f3h3
3r1rk1/1p3bp1/p2qp2p/3nNp2/2BP4/P7/1P2QPPP/3RR1K1 w - -,h2h3
5rk1/3R1p1p/p1q1pbp1/1pP5/2n2P2/6P1/P5BP/3R2K1 w - -,g2c6
4qrk1/1n2r1pp/5b2/1p1bNP1P/2pP1BR1/2P3Q1/2B4K/4R3 w - -,h5h6
r3kb1r/1bqp1ppp/ppn1pn2/8/2PNP3/P1N1BP2/1P4PP/2RQKB1R b Kkq -,c6e5
2r2bk1/5p1p/p1p1p1p1/2PpP3/1q1P1P1P/2N1K1P1/P1Q5/4R3 w - -,e1b1
rr4k1/1pq2pbp/pn4p1/2B1p3/1R2P3/N1P4P/P1B1QPP1/3R2K1 b - -,c7c5
6k1/2r2pp1/p1Np3p/2rnp3/2P5/P4P1P/3R2P1/2R3K1 w - -,c6b8
4rbk1/3R3p/pN4p1/2p1Bpn1/8/1P5P/P4PP1/6K1 w - -,f2f4
r1b2rk1/1pq1ppbp/1np2np1/p7/P2P4/2PB1NN1/1P3PPP/R1BQ1RK1 w - -,f1e1
r4rk1/pp2npp1/4pb1p/7P/2P2B2/5N2/PP3PP1/1K1R3R b - -,f8d8
6k1/p4p2/6p1/1p6/8/P7/1PpQ3P/2R1K2q w - -,e1e2
1R2nk2/1p5p/p2pP1p1/3Pp1q1/P2r4/1P5P/4B1P1/4Q2K b - -,g5e7
3r1n2/p2P1Q1k/Pp3p2/1Pp3pp/2P2BqP/8/6P1/3R2K1 b - -,h7h8
8/4kp1p/B5p1/8/4P3/2r4P/5KP1/8 w - -,a6e2
1r1qr1k1/1b1n1ppp/2pp1b2/1p6/3PP3/1BN1BP2/1P3QPP/R2R2K1 b - -,b5b4
2rq1rk1/3nbppp/p3p3/1p1pP3/5P2/P1N1P3/1P2Q1PP/R3BRK1 w - -,e2g4
2r3k1/4R3/8/2PK2B1/8/8/6b1/8 w - -,d5d4
6r1/1p4pk/2p1N2p/p4p2/8/P3P1P1/6BP/3b2K1 w - -,e3e4
r3kb1r/1p1b1ppp/pqn1p3/3pPnB1/N2P4/5N2/PP2BPPP/R2Q1RK1 b kq -,b6a7
8/8/7p/4pp2/2k2b2/2N2P1P/6K1/8 w - -,c3a4
2rqk2r/3nbpp1/4b3/1p1Np3/p1n1P2p/3B3P/PPPN1QP1/1KBR1R2 b k -,e7c5
2rr2k1/p4ppp/1pN3n1/2b1p3/2P1Q3/1P4P1/PB3PKP/3R4 b - -,d8d1
4r3/2q2ppk/p2p4/3P3p/p1PQr3/R6P/5PPK/R7 w - -,d4d1
r1bq1rk1/pppnppbp/5np1/3p4/3P4/5NP1/PPPNPPBP/R1BQ1RK1 w - -,f1e1:c2c4
r2q2k1/1p4p1/3n2b1/2RP1p1p/pQ2p3/P5PB/5P1P/2R3K1 b - -,g6f7
4b3/2q3k1/2p3pp/1pPprp2/8/P1Q1P3/5RPP/2R4K b - -,c7e7
2r1r1k1/pp1b1p1p/4pbpB/q3n3/3P4/P1PQ4/2B2PPP/3RR1K1 w - -,d4e5
r1b2rk1/B3p1bp/2q2np1/1N1p4/5P2/5B2/2P3PP/1R1Q1RK1 w - d6,a7d4
6r1/1pk3pR/p4p2/3PpPp1/4P1P1/1P6/1P6/2K5 w - -,c1d2
r1bqkb1r/ppp1nppp/2n5/4P3/2PpPP2/5N2/PP4PP/RNBQKB1R b KQkq -,e7g6
8/p3p1kp/3pBbp1/1P1P4/2P1P1P1/3K3R/8/5r2 w - -,d3d2
5k2/6Rp/2p3pB/3b1p2/2p5/P1P4P/5rPK/8 w - -,g7g6
r7/1b2kp2/p3pp1r/1pbNq2p/4P2Q/3B1R2/PPP3PP/5R1K b - -,b7d5
rnbq1rk1/pp1p1ppp/4pn2/8/2Pp4/P4NP1/1P1QPPBP/R1B1K2R b KQ -,d8c7
r2q1rk1/2pb1pb1/1p1p2pp/p1NPp1n1/2P1P3/2N1B2P/PP1QBPP1/R4RK1 b - -,b6c5
1k4r1/1bpq1p1p/1pr5/n2p4/PQ1Pp3/6BP/2P1BPP1/RR5K b - -,c6g6
r1bqr1k1/1pp2pp1/p1np1b1p/4p3/P1B1P3/2PP1N2/1P2QPPP/R3KN1R b KQ -,c6e7
3R4/2r2p1k/4p1p1/4q2p/3nP2P/4QBP1/5PK1/8 b - -,d4f3
6k1/5p2/4n3/P2q2p1/1P6/2Q2PP1/3p1K2/3B4 b - -,g5g4
6r1/p1pkB2p/3bp1r1/1p1p1b2/3P3P/2P1P3/PP3PB1/3RNK1R b - -,d6e7
8/8/4rnR1/5k1P/PR6/r7/6PK/8 w - -,b4b5
8/p1rR1pk1/1p2p1p1/1q5p/2r4P/P1P1Q1P1/1P1R1PK1/8 w - -,d7d6
r6r/1p2qk2/p1p2pp1/2Pp1b1p/3PB3/P3P3/2QN1PPP/R4RK1 b - -,d5e4
r2qr1k1/pppn1p1p/5np1/3p2B1/3P4/P1b3Q1/1PP1BPPP/R3K2R w KQ -,g3c3
2r2rk1/pb2ppbp/1pn3p1/3P4/2P2nq1/PN1B1N2/1BR2PPP/3Q1RK1 w - -,g2g3
5k2/p7/7p/1p1N2p1/1Pp5/P1P1K1Pn/8/8 w - -,d5c7
2rr2k1/5pp1/4p2p/p2n4/1p1P4/1P2P2P/3N1PP1/1RR2K2 w - -,d2c4
5nk1/1r1rn2p/p3qpp1/3Rp3/1p2P1PP/3QNP2/PP2N3/1K1R4 w - -,d5d6
6k1/5pp1/R3n2p/p7/4p3/P5PP/1r2PP2/5BK1 b - -,b2b5
rn2kb1r/pp1qpp1p/3p1np1/2p5/2P1P3/2N2N2/PP1P1PPP/R1BQ1RK1 b kq -,f8g7
1k4r1/4b3/p2pbp2/1p6/q1rNP2p/P1P2Q1R/6PP/3R3K w - -,d4e6
6r1/p3k3/1pp1n3/6pp/4Pp2/3N3P/PPPB4/3K2R1 b - -,g8d8
r1bqk2r/pp3ppp/1bn2n2/3p4/3N4/5N1P/PPP2PP1/R1BQKB1R b KQkq -,d8e7
q4r1k/6pp/1p2Q3/3pR1P1/P2P4/1P4P1/5P2/6K1 b - a3,a8a5
2rq1rk1/1p1nbppp/p1npb3/4p1P1/4P2N/2N1B2P/PPPQ1P2/2KR1B1R b - -,c6d4
1r1q1rk1/2pb1pbp/3p1np1/4n3/1p1NP3/1P2BPP1/P2Q2BP/2RN1RK1 w - -,d1f2
4nr2/2p1q1k1/1pQp2p1/2PPp2n/1P2P3/4R1PP/5PK1/2R5 b - -,b6c5
5n2/2k2P2/3p2p1/2pB2P1/2P5/1K6/P7/8 w - -,b3c3
rnbq1rk1/1p2npbp/p3p1p1/P1p5/3pPPP1/1B1P1N2/1PP2N1P/R1B1QRK1 w - -,e4e5
3r1r2/pbq1bpkp/1ppp2pN/4p3/P1BPQ3/4B2P/1PP2PP1/3R1RK1 b - -,f7f5
r1b3k1/2pp1rp1/p1n2b1p/1p6/5P2/1B6/PPP1K1PP/RNB4R w - -,c2c3
6k1/5p1p/1pB1p1p1/1P6/8/5P1P/6P1/3n3K w - -,h1g1
3r4/3P4/4R1bk/1p3q1p/5p2/1Br2PpP/P3Q1P1/4R2K w - -,e1d1
r3k2r/1R1n1ppp/2p1qn2/p1b1p3/2N1P3/2P2BPP/P3QP2/2B2RK1 b kq -,e6h3
r1bq1rk1/pp2ppbp/5np1/2Pp4/3P1B2/2Nn1N1P/PP3PP1/R2Q1RK1 w - -,d1d3
R7/6pk/7p/p4r2/4n3/7P/P1P3PK/8 w - -,a8e8
r1bqkb1r/pppp1ppp/5n2/4P3/3Q4/8/PPP2PPP/RNB1KB1R b KQkq -,d8e7
2r1r1k1/p3ppbp/1p2b1p1/nN2N2n/2P5/1P2B2P/P2R1PP1/1B3RK1 w - -,f2f4
r1b1k2r/1ppnqpbp/3p1np1/pP6/P1PPp3/4P3/1B1NBPPP/RN1QK2R b KQkq c3,e8g8
r3k2r/p5pp/bpn1p3/2P2pN1/2P1p3/1P4P1/P2K1PBP/R6R w kq f6,g5e6
3k4/1p1P1pp1/p1p5/4bPp1/3qP3/P6P/1P2Q3/1K3B2 b - -,b7b5
3R4/2r2p1k/pp6/8/6R1/7P/PP2r1P1/7K w - -,g4b4
rnbqkb1r/pp2pp1p/2pp1np1/6B1/3PP3/2N5/PPP2PPP/R2QKBNR w KQkq -,g5f6:g1f3:d1d2
8/p2Q2pk/6pp/2q1p3/P3P3/1b5P/6P1/6NK b - -,b3c2
r2qk2r/pp1nppbp/3p1np1/2p5/4PP2/1P1P1N2/PBP3PP/RN1QK2R b KQkq -,e8g8
2rq1rk1/1n2np1p/p2p2p1/1b1P4/1R2P3/5N2/2BN1PPP/Q4RK1 w - -,f1c1
5rk1/1p3ppp/p1r1pnb1/P1b4q/2B1P3/1PN1BP2/4Q1PP/R2R3K w - -,e3c5
r1b1kb1r/pp3p1p/1q2pp2/8/3pB3/5N2/PPP1QPPP/R4RK1 w kq -,f1d1
r4k2/pp3p1p/4r3/4n1Q1/3Pbp2/1P5P/P1P1B1P1/5K2 b - d3,f4f3
3r1rk1/pp4qp/3p2pQ/2n1p3/2P3N1/1P1b1P2/P3N1PP/3RR1K1 b - -,g7h6
2r3k1/6p1/7p/R7/p1r4P/P5PK/1B6/8 b - -,c8c7
8/8/1p2kn2/p1p1b3/b7/2P5/1P6/1K2R3 w - -,b1a2
3b4/p4ppp/2rkp3/8/1p1PKP2/3B2P1/PPR4P/8 b - -,c6c2
r1bqkb1r/pppppppp/2n2n2/8/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq d3,e7e6:d7d5
r2r2k1/1b2qpb1/pp1pp1pp/2p5/P2PP1P1/2PB1N2/1P2QPP1/R3R1K1 b - -,c5d4
2r2bk1/1q1n1p1p/pn1p2p1/1ppP2P1/5P1Q/1PBP4/P2N2BP/4R1K1 b - -,c5c4
3r2k1/q4pnp/B1p2p2/1PP1p3/P2rP3/5QPP/3p1P2/1RR3K1 w - -,c1d1
8/1q3p1k/4p1p1/4P2p/1r6/1P1Q2PP/1R3P1K/8 w - -,h3h4
2b3k1/4rp2/3R2p1/p1rPp3/1pP5/1P1B3P/P4RP1/6K1 w - -,f2f6
r3nrk1/p2p1ppp/bpq1p3/n1p1P3/Q1PP1B2/P1PB4/4NPPP/R4RK1 w - -,a4c2
8/1r5k/4Q1R1/P4p2/1P4p1/8/6PK/2q5 b - -,c1f4
7r/pR1nk2p/3ppnp1/8/3NP3/4P3/PPP3PP/5RK1 w - -,f1f6
r5k1/Npp2r1p/3p3b/3Pp2n/2P5/5P2/PP3B1P/R4RK1 w - -,a7b5
2kr3r/p1pq2p1/1p2p1Q1/n2pP2p/3P1N1P/P1P5/2P3P1/R4RK1 b - -,h8h6
r4r2/p3n1kp/3R1pp1/1pq1pb2/8/1BP2N1P/PP2QPP1/3R2K1 w - -,f3h4
r1b2rk1/ppq2ppp/2p1nn2/2b1pN2/2P1P3/2N5/PPQ1BPPP/R1BR2K1 w - -,c1e3
2r3k1/8/2n1R1P1/2P5/2KB4/8/2P5/8 w - -,d4e3
r1bq3k/1pp1b1pB/2np4/p2N4/2P2r2/P4N2/1PQ3PP/R4RK1 b - -,f4f8
2rq1rk1/p5p1/1pnnb2p/2p1p3/2PpN1Pb/1P1P1B1P/P2BQP1N/R4RK1 b - -,c6e7
8/2R2pk1/p1p1r1p1/1b5p/7P/1Pb2B2/2P3P1/1K5R w - -,h1d1
2r3k1/p5p1/1p5p/5p2/7P/1P1nbN2/P4P1P/R4K2 w - -,f2e3
8/2N2kpp/1p1p4/3P1b2/1PP2K2/r7/7P/2R5 b - -,f5d7
r1q2rk1/p4pbp/1n1p2p1/3pp1Pn/1p2P3/4BN2/PPPQ1P1P/1NKR2R1 w - -,d2b4
r2r4/pb2ppkp/1p1p1np1/2q1n1N1/4P2Q/N1PB3P/PP3PPK/3RR3 w - -,f2f4
8/8/2PR4/5k2/1P1bp2r/8/2K5/8 w - -,d6d4
2q3k1/3bn2p/p2p3r/3P2b1/3BPpP1/5B1P/P2QN3/6RK w - -,e2f4
8/1Q3ppk/7p/8/1pq5/4P1P1/1r3P1P/4R1K1 b - -,b4b3
2R2r2/pp2p3/3pk3/4p1pp/4P3/1P2RP1P/PKP3P1/8 b - -,f8c8
rn2k2r/ppp2ppp/1q2pn2/8/2BPb2N/P1B5/1PP1QPPP/R3K2R b KQkq -,b8c6
8/2r2p2/4pkp1/3n3p/7P/R4P2/2R3PK/8 w - -,c2c7
1rb2k2/pp2np1p/8/3pP1rN/3P4/3R1NP1/PPP5/2K4R b - -,g5g4
r1bq3k/pp3rb1/3p3p/2pN4/2P2P2/4PB2/PP1Q2P1/3R1RK1 w - -,f1e1
1k1r4/pp5p/3pqP2/8/1P3RP1/2Q5/1KP4P/8 b - g3,d8c8
6k1/8/p1q1r1pp/P4pb1/8/1QP2R1P/6P1/5N1K b - -,g8g7
2r5/r1p1p1kp/2R2pp1/8/8/2QPqPP1/4P2P/2R2K2 w - -,c3c4
3r1r2/qn4bk/1p4pp/2pPp3/P3Pp2/2Q2P1P/1P2BBP1/R2R2K1 b - -,d8c8
1Bb2k2/1p3ppp/p1p2bn1/P1N5/1PB5/5P2/5KPP/8 w - -,c5e4
r1bq1rk1/p3ppbp/6p1/2Pp4/4n3/2P2N2/PP3PPP/RNBQR1K1 w - -,c1e3
8/4k3/7R/2pP4/4K3/2r4P/8/8 b - -,c5c4
8/1p2rk1p/p2Rb3/2n1p3/2P2ppP/5PP1/4N3/2R3K1 w - -,f3g4
8/6p1/1pk2p2/3p4/1pnP2PP/3K4/8/5N2 w - -,f1g3
r1b2r1k/p4pp1/2pbp3/q7/3P4/pP1QP3/3B1PPP/R3K1NR b KQ -,a5b5
7r/8/1kp1P3/p3q3/Pb1N4/2pQP3/6PP/1R4K1 w - -,h2h3
6k1/5pp1/5n1p/5b2/Q5P1/2p4P/2N1PP2/2bq1BK1 w - -,g4f5
r1bq4/1pp1n1k1/5pr1/p6p/2P3pP/1PQP2P1/P1N2P1N/R4BK1 b - -,c8f5
4r1k1/5pp1/2p2n2/3nB3/5P2/6PP/2B4K/4R3 b - -,f6d7
r1b1k2r/3qNpbp/p2p2p1/2n3B1/Pp2P1n1/3B2N1/1PP2PPP/R2Q1RK1 b kq -,h7h6
6k1/p5pp/1q6/1pp5/2nrP2Q/P1K2P2/7P/R2R4 b - -,b6a5
r2q2k1/p4rpp/1p6/8/3N1PPb/4B2P/PPPQ4/2K4R b - -,d8d5
2rr1k2/pp3p2/3p1ppp/7P/4P3/1P3P2/PP1R2P1/1K5R b - -,g6g5
2r3k1/q2r1pp1/4b3/P3p3/3P4/5BP1/3Q1P2/RR4K1 b - -,e5d4
r2r2k1/5p1p/ppn1qbp1/2P1p3/8/1NB2Q2/PP3PPP/3R1RK1 b - -,c6d4
r1b2rk1/ppp2pbp/1n3qp1/6B1/2BP4/5N2/PP3PPP/R2Q1RK1 b - -,f6d6
r5k1/1rnnqpb1/1p1p2p1/p2Pp2p/2P5/PPN1BP2/3QB1PP/2R2RK1 b - -,f7f5
rn1q1rk1/pbp1bppp/1p1ppn2/8/2PP1B2/2NBPN1P/PP3PP1/R2QK2R b KQ -,c7c5
8/6pk/P5np/3Q4/3R4/5P1P/2r3r1/6K1 w - -,g1f1
r4r1k/1ppq2pp/p2p1p2/3QnP1B/4P3/6R1/PPP3PP/R5K1 w - -,g3h3
r4rk1/pp1b1ppp/2n1p3/b2pP3/3P1BPq/8/PPN1BP1P/R2Q1K1R w - -,a2a3
3r1rk1/ppp2ppp/8/b1NPn3/8/4PP2/PP2B2P/2RR2K1 b - -,a5b6
r2q1rk1/bp3pp1/p1p1bnnp/3ppN2/4P1P1/1BPP1N1P/PP1BQP2/R3K2R b KQ -,d5e4
6k1/1b2bpp1/2qpp2p/Pp5P/1P2P3/2B1Q1P1/5P2/5BK1 w - -,e3d3
1r6/8/2p1k2b/P3pp2/8/2P1N3/P1K3P1/4R3 b - -,h6e3
3rnrk1/pp2qppp/8/3p4/3Bb3/1P4P1/P2RPPBP/Q4RK1 b - -,e4g2
8/5pk1/3r1p1p/2pb1B2/p2p1RP1/1P5P/P1P1K1P1/8 w - -,f5e4
4r1k1/Q4p1p/2NqpPp1/8/1P3b2/7P/4bPB1/R5K1 w - -,a7a4
8/6kP/p7/2n5/4pPB1/3r4/p4K2/R7 b - -,d3a3
8/3k4/8/3K4/8/4R3/7b/8 w - -,e3h3
1k1r4/1pq2p1p/p1b1p1p1/4P3/4pPPP/4Q3/PPP1B3/1K2R3 b - -,c7d7
8/p1r5/2pkpp2/Nb4p1/1P1P4/2R2P2/P4KP1/8 b - -,c7h7
3r4/5k2/2p3pp/p2bRpP1/Pp3N1P/1P2KP2/2P5/8 b - -,h6g5
8/5p1k/3b1p1p/5N2/5qPP/5Q2/5PK1/8 w - -,f3d3
r1r3k1/pbqn1ppp/Bp2pn2/8/1P6/2P1PN2/1B2QPPP/R4RK1 w - -,f1c1
3r4/2p2p2/2brk1pp/3p4/1P1R2PP/2P1NPK1/3R4/8 b - -,d8a8
2k5/ppp5/4Rp2/3r3p/1Pn2P1K/2P3P1/8/8 b - -,d5f5
6q1/4Q2k/r5p1/4B2p/7P/6P1/5P1K/8 b - -,h7h6
r5k1/p3b1p1/2p1p1p1/2ppP3/3P2P1/P1P1P3/6QP/RN1q2K1 w - -,g2f1
r1bq1rk1/1p1n1ppp/p2p4/2PPp1b1/8/1N1QB3/PP2BPPP/R4RK1 b - -,g5e3
8/8/3n4/3P4/1P1K4/5k2/8/8 w - -,d4c5
8/2p2pkp/3p2p1/3P4/2P2RPr/8/P7/1KNBr3 w - -,f4d4
3rq2k/1b1r2bp/p5p1/1p1N4/3pP3/1Q3N1P/PP3PP1/3RR1K1 w - -,b3b4
r2q1rk1/pb2ppbp/1p3np1/3nN3/2BP4/1QN1B3/PP3PPP/R4RK1 b - -,h7h6
3r2k1/bp2Rpp1/p1p4p/P1n5/2PP4/1PB2N1P/3K2P1/8 b - -,g8f8
r2q1r1k/p2bb2p/1pp1p3/2Pp1p2/1P1P1p2/P1N1P1P1/2Q1B2P/R3K2R w KQ -,g3f4
2r2bk1/p5q1/2Bp4/3Pp3/1PN1Pn1p/4BPn1/2Q3P1/5RK1 w - -,f1e1
r1b2r1k/2p1q2p/np1p2p1/p2Pp3/1PP1B3/P4PP1/4Q2P/1R1N1RK1 b - -,a5b4
3R4/8/4k2p/4p1p1/7r/5PKP/8/8 b - -,e6e7
r3n3/5k1p/1R2p1p1/1B1pPp2/p2B1P2/4P1P1/nP5P/6K1 b - -,a2c1
r1bqk2r/1pp1bppp/2n2n2/p3p3/2Pp4/NP1P1NP1/P3PPBP/R1BQ1RK1 b kq -,f6d7
4r1k1/p5p1/1p3p2/n1pPp3/P1b1P3/2P3R1/6p1/1RB3K1 w - -,b1b2
3q1rk1/pp1Bbppp/6b1/3Q4/8/4BN1P/PPr2PP1/3RR1K1 w - -,d5b7
r2q1rk1/4ppbp/1pnpb1p1/p1n5/2P1P3/1PN1BP2/P1NQB1PP/3RK2R w K -,e1g1
1r4k1/p2bppbp/3p2p1/2rP4/5P2/2P3PP/P5B1/2RN1RK1 w - -,f1e1
r1b2rk1/pp3ppp/3q1n2/2pp4/8/2P1PB1P/PP1N1PP1/R2Q1RK1 b - -,c8f5
8/8/4R1pk/pr2P2p/5P2/2P3KP/8/8 b - -,b5c5
8/4bk2/6pp/1p2p3/p1b1PpP1/P4P1P/1P1B4/2N1K3 w - -,c1e2
r1bqr1k1/ppp2pbp/3p1np1/3Pp3/2PnP3/2N1B1P1/PP2NPBP/R2Q1RK1 b - -,d4e2
2rr2k1/pp3p1p/4b1p1/1P2PpR1/5P1q/3BQ3/P7/5KR1 w - -,d3e2
4R3/8/p1r3p1/8/P2pp2P/3k4/5P2/5K2 w - -,e8d8
k7/1p2bpp1/p6p/P1nP4/2B1qQP1/2P4P/KP6/8 w - -,f4f1
r1r3k1/p2qbppp/4pn2/4P3/8/P2QN3/5PPP/1RBR2K1 b - -,d7d3
3b1rk1/1p4pp/p2p4/P7/1P1B4/2N2bP1/2q2P1P/4RQK1 w - -,f1c4
3r2k1/pp1q1pbp/6p1/2P5/2n5/P1N2P2/1P2BP1P/2Q1K2R b K -,c4d2
6k1/4p1bp/p3n1p1/1p1N1p2/2p2P2/2P5/P3N1PP/7K b - -,g8f8
r2br1k1/1b1n2pp/p2Bpp2/Pp6/6n1/4PNP1/1P1N1PBP/R1R3K1 w - -,h2h3
3b4/8/7k/pK6/3P4/2P5/P7/8 w - -,c3c4
r1b2rk1/p1qnppbp/1p3np1/2P5/1PB5/Q1N1PN2/P4PPP/R1B1K2R w KQ -,c3b5
8/4k3/4P2p/5K1P/6N1/8/8/2b5 w - -,g4e5
8/2k2B2/1b3p2/P1n1p3/2N5/4K3/8/8 b - -,b6a7
2n2rk1/p2b1qp1/1p5p/1P3p2/1BPp1P2/P2B1Q2/6PP/4rRK1 w - -,f1e1
4k3/1pp4p/p5pb/6n1/P2B2N1/1P2r3/1KP2PPP/8 w - -,f2e3
4rbk1/2pr1pp1/3n3p/3Pp3/2P1N1P1/4B2P/5P2/R2R2K1 w - -,e4c5
r1bqk2r/4ppbp/p1p2np1/3p4/3PP3/5N2/PP2QPPP/RNB2RK1 w kq d6,e4e5
5rk1/p5p1/7p/1P6/P1N5/3p1bP1/1R2rP1P/R5K1 b - -,e2b2
r1bqkn1r/4bpp1/pp1p1n2/2pPp2p/1PP1P3/2NBBP2/P3N1PP/R2QK2R w KQkq -,d1d2
6k1/3N3p/p3p1p1/3p4/1P1R4/r5P1/3R1PKP/4q3 b - -,a3a1
4r1k1/p2n1ppb/Ppq2n1p/4p3/1P2P3/1Q1B1PPP/1B1N4/3R2K1 b - -,b6b5
4rrk1/1ppq2np/p1pNbpp1/8/3P1P2/1PP2N2/P3QBPP/3RR1K1 b - -,d7d6
3qr1k1/pp1bppB1/3p1np1/7p/2rNP2P/2N2P2/PPPQ2P1/1K1R3R b - -,g8g7
1r3bnk/p2q3r/2bp1p1p/2p1pP2/2P1P1PR/4BBN1/PP1Q2K1/7R b - -,a7a5
2r1n1kr/p1q1n1bp/1p2p1p1/2p1P3/2PpBPP1/1P1P3R/P1NB3Q/5R1K w - -,h1g2
r5k1/1ppb2pp/p2b2n1/3Pp1qN/4P3/1B2PP1P/PP4Q1/R2R2K1 b - -,g5h5
1r1q2kb/5p1p/5Pp1/2p3B1/1p4P1/3P2Q1/1P5P/5BK1 b - -,b8b6
5k2/5ppp/4pb2/p7/Pp6/1Pr1P3/4BPPP/3R2K1 w - -,e2c4
6k1/8/p3bppB/1p2p3/4P2P/1Nr2P2/Pn3K2/5R2 w - -,f1b1
r3k2r/pbqnbppp/1pn1p3/2p1P3/2Pp3P/3P1NP1/PP1NQPB1/R1B1R1K1 b kq -,h7h6
r2qkb1r/2p3pp/p1p2n2/4p3/4Ppb1/2N2N2/PPP1QPPP/R1B2RK1 w kq -,e2c4
2b1r3/1pQ3pk/4p2p/1P1p3P/3P2P1/5P2/7K/8 w - -,c7f7
r1bqr1k1/pppnppbp/3p1np1/8/3P4/1P1BPN2/PBPN1PPP/R2QK2R w KQ -,e1g1
r2q1rk1/5pbp/1pbpp1p1/p1nN4/P1P1P3/3BBP2/RP1Q2PP/5RK1 w - -,d5c3
1rq1nrk1/p2bpp1p/1p1p2p1/2pP4/PnBbPP2/2N3NP/1PP1Q1P1/R1B2R1K w - -,f4f5
r1bqk2r/ppp1ppbp/2np1np1/8/3PP3/2N1BP2/PPP1N1PP/R2QKB1R b KQkq -,e7e5
r7/P7/8/8/6p1/R2K2k1/8/8 w - -,d3e3
1r1qb1k1/4br1p/p3pnpB/3p4/2pP4/2N1P2P/PPQ2RP1/1B3RK1 b - -,b8b7
