R7/2k5/2B5/P1p3p1/2P2b2/8/1PK5/8 b - -,c7c6
5rk1/pp5p/3pq1pb/2p1p1n1/2P1P3/1P1BP3/P1NBQ1KP/R7 b - -,e6h3
3q2k1/5p2/1p1p2p1/p2P1n2/P1b1N2p/7P/1P1Q1BP1/6K1 b - -,d8e7
2r4k/5p2/p1pQ1Pp1/3P3p/5pP1/7R/P1P2K1P/3q4 b - -,c6d5:d1d2
3R4/k6r/2r3pP/p2p1pK1/3P1P2/8/6P1/8 w - -,d8d5
r1r5/3N1pk1/4p3/1p6/p1nN1bP1/P1P4P/1P2R1P1/3R2K1 w - -,d4b5
rnbq1rk1/1p2npbp/p2pp1p1/2pP4/P3P3/2NB4/1PPN1PPP/R1BQ1RK1 b - -,b8d7
7R/p2r1k1p/5p2/3n4/P2NK3/1P3P2/6P1/8 b - -,f7g7
5k2/R7/6nN/8/7p/5K1P/1r4P1/8 b - -,g6e5
5k1r/pp2pp2/n2p4/2pP4/2Pb4/2N4q/PP2P2B/R2Q2RK w - -,g1g2
8/8/4B3/4b3/8/1pkp4/8/1K6 b - -,b3b2
r4rk1/1bq2pb1/pp3n1p/2p1p1p1/P3P3/2PB1NP1/1P1NQ1PP/3R1RK1 w - -,f3e1
2r3k1/pp1n1ppp/r2Pp1b1/2P1P3/PRRB4/5q2/3N2PP/6K1 w - -,g2f3
r3r1k1/1pp2pp1/2nqb2p/p1b1p3/2PpP1P1/P2P1N2/1PB2P2/R1BQRNK1 b - -,e6g4
2rqr3/1p1k1Q2/p3p3/3pP3/P2n4/6P1/1PB2PK1/2R4R b - -,e8e7
r1bqr1k1/ppp2ppp/1b3n2/3Pp3/P7/2N1P1P1/1PQ2PBP/R1B2RK1 b - a3,a7a5
1k1r1r2/ppq4p/2pb1np1/8/2BPn3/1QB1PN1P/PP3PP1/2R2RK1 b - -,h7h5
r3Rr2/2n3pQ/2p2k1p/p1Pp3B/Pp1b4/7P/1P3PP1/5RK1 b - -,a8e8
2r2rk1/pp4pp/3bqn1n/5p1b/2pP4/4PN1P/PB1QBPPN/4RRK1 b - -,c4c3
3r1qk1/pp2p1b1/2p3pp/2Nn4/3r3P/1P4PB/P1Q1RP1K/5R2 b - -,d5f4
rn3rk1/pbppqppp/1p2pn2/6B1/1bPP4/5NP1/PP2PPBP/RN1Q1RK1 b - -,h7h6
8/8/8/3p1p1p/3k2r1/6PK/5R2/8 b - -,d4e5
r3k2r/1p1b1ppp/1q2pn2/2n5/p6Q/1BP2N2/PP1NKPPP/1R5R w kq -,b3c4
2k5/pbq3b1/1p2p1pp/2p1Np2/2P1rP1P/1BQ3P1/PP3P1R/2K5 w - -,f2f3
r4rk1/1b1nbpp1/1qp1p2p/pp6/3PN3/P2BP3/1PQ2PPP/R1BR2K1 w - -,c2e2
3r2k1/5pp1/7p/3r4/4q2P/5QP1/3p1PK1/3R1R2 b - -,e4c4
rn6/ppp3Rp/1b2k1p1/4N3/1P2P3/2P5/P1K3PP/5R2 b - -,e6e5
2q5/1p6/2r3kp/5p2/3Q1Pp1/8/P3R2P/5RK1 w - -,f1e1
5B2/1p6/p1b4p/P2q1kp1/1P3p2/7P/4Q1PK/8 w - -,f8c5
3r1k2/p4p2/2Brpq1p/1n4p1/QPRP4/P7/5PPP/3R2K1 b - -,b5d4
rn1q1rk1/pb2ppbp/1p4p1/3N4/3p4/4PNB1/PP2BPPP/R2Q1RK1 b - -,d8d5
1r3r1k/1p4pp/pNnp2q1/3Npbb1/P7/R1P5/1P2BPPP/3Q1RK1 w - -,e2h5
2r1kb1r/1p1bpp2/p2p1p1p/q2N4/3QP3/5N2/PPP2PPP/2KR3R w k -,c1b1
r1bqkbnr/1p3ppp/p1B5/2pp4/3P4/2P2N2/PP3PPP/RNBQK2R b KQkq -,b7c6
b1r2rk1/3qbpp1/p2p1n1p/1p1PpN2/4P3/2N4P/PP1B1PP1/2RQR1K1 b - -,g8h7
2r2rk1/1p1b1ppp/p1n1pn2/3pN3/3P1q2/2PB3P/PP1N1PP1/R2QR1K1 w - -,d2f3
3r2k1/pp1rqpb1/1np1p2p/3nP1p1/3P4/1BNR1QBP/PP3PP1/3R2K1 w - -,c3e4
r3nrk1/2q1bppp/1p1p4/p1nPp3/2P5/4B3/PPQ1BPPP/RN3RK1 w - -,b1c3
rn2kbnr/p2q1ppp/1p2p3/2ppP3/3P4/2PQ1P2/PP2N1PP/RNB2RK1 b kq -,g8e7
r4rk1/p1p2ppp/1bnqbn2/1p2p3/4P3/PN1P1N1P/1PB1QPP1/R1B1K2R w KQ -,c1e3
3n4/1p2k1p1/p1r1p3/P1P1P3/2KB2P1/4P3/8/5R2 b - -,e7e8
2br2k1/5p2/pq1pp1p1/6Pn/4P3/2N2N1P/2PQ3K/5R2 w - -,f1b1
r1b1r1k1/p1p1qppp/2p2n2/4p1B1/2P5/P1Q3P1/1P2PP1P/3RK1NR w K -,g1f3
2kr2r1/pb3p2/2qbp3/2p2p1p/1PP5/P2B1NP1/4QPKP/R2R4 w - -,b4c5
r1r3k1/1p1bppbp/p1np1np1/q7/1PPN4/P3PN2/1B2BPPP/R2Q1RK1 b - -,a5d8
2k2b1r/pp3pp1/2p1bp2/q6p/5PP1/2NB1Q2/Pr5P/2R2RK1 w - h6,g4g5
r4rk1/2p3pp/3pp1b1/1pPn4/pP1P2q1/P1B3P1/1Q2PP2/R1R2NK1 w - -,f2f3
8/4qpk1/5n1p/2p1p1p1/P7/1P2QBPP/2P2PK1/8 w - -,f3e4
5r2/6bk/1p1r2pp/p7/3p1N1P/3R2P1/PP3PK1/4R3 b - -,g6g5
4b1nR/1kq2rR1/1p1p2p1/p1pP1pP1/P1P1pP2/1PN1P3/3K2B1/7Q b - -,f7g7
7b/8/7P/p2p1k2/1p1p1Pp1/1P1K2P1/P2N4/8 b - -,h8f6
2r1nrk1/pp2n1bp/1qb1p1p1/2ppP3/5PP1/1PPP1N2/P1N3BQ/R1B2R1K b - -,d5d4
r1k2q2/p2bR3/1pp2P1p/8/3PQ3/1P3N2/P6P/7K w - -,e7d7
r1b2k2/ppp2pp1/3n3p/3p4/3P4/2PB1P2/PP1N1KPP/4R3 b - -,a7a5
8/8/4k3/2K2p2/5P2/7P/8/8 b - -,e6e7
r4rk1/1p1nppbp/p1q3p1/2pp4/5P2/1P1PP3/PBPN2PP/R3QRK1 w - -,b2g7
r1bq2k1/1pp2rb1/p2p1n1p/2PPp1p1/1P2Pp2/2N2n1P/P2BBPP1/2RQ1RK1 w - -,e2f3
r1b2k2/pp2q1p1/2p2n2/3p1p2/7r/2N2B1P/PPPQPP2/R3K2R b KQ -,d5d4
r4rk1/2pq2bp/p1npb1p1/1p1N3n/2P1PP2/1P2B2P/P3N1BK/1RQ2R2 b - -,b5b4
2qr1bk1/3r1pp1/p2pn2p/2p5/2P1PPP1/1P1RNQBP/P6K/3R4 w - -,e3c2
8/4b3/6k1/8/5BP1/1K6/8/8 b - -,e7g5
1rb2rk1/2qnbppp/2pp1n2/1p2p3/1P1PP3/2N1BN1P/B1P1QPP1/R4RK1 w - -,a2b3
r1b1r3/pp2qpbk/2p2npp/2B1p3/2P1P3/2N5/PP1NBPPP/R1QR2K1 b - -,e7c5
8/1p3rp1/2p4p/p1k1pB1P/2PbK1P1/1P3P2/8/3R4 w - -,d1d3
r4rk1/ppqbbppp/2nppn2/8/2P2N2/1P4P1/PB1NPPBP/R2Q1RK1 w - -,e2e4
8/2r3pp/1Rpk1p2/1p1p4/1P1P1PP1/4P2P/5K2/8 w - -,b6a6
2b2rk1/5pp1/5n1p/1q1p4/5QP1/1P1P3P/1P6/1K1R1R2 b - -,b5b3
r2qr1k1/2pb1pbp/p2n1np1/1p1Pp3/1N2P3/4BP2/PP1QN1PP/2R1KB1R w K -,e2g3
r3rb1k/ppq3pp/3p1nb1/4p3/2P5/1Q2BP1B/PP1N2PP/2R2RK1 b - -,b7b6
3rr1k1/5pp1/pq5p/1pn1PP2/6R1/P1Qp1N1P/1P4P1/R6K b - -,h6h5
r3r1k1/1p1nqppp/2p2n2/p2p3b/Pb6/1PBP1NPP/3NPPB1/2RQR1K1 b - -,b4c3
8/6k1/3p1p2/2pP1P2/2P1q2p/1PQ5/8/6K1 w - -,c3h3
1r5k/Q4pp1/3P1n2/4q2p/2P1p3/8/1r2B1PP/3R1R1K w - h6,a7f7
r1b1k2r/pp1pppbp/2n2np1/qN6/2P1P3/2N1B3/PP3PPP/R2QKB1R w KQkq -,f2f3
r2q1rk1/1bpp1ppp/p1nb1n2/1p2p3/4P3/PB1P1N2/1PP2PPP/RNBQ1RK1 w - -,c1g5:b1c3
4r3/5k2/P7/2R2B1P/2P2K2/8/8/3b4 b - -,d1h5
4rrk1/pppqn1bp/1n1pbpp1/4p3/3PP3/1PN1B1P1/P1PQNPBP/3RR1K1 w - -,a2a4
r1bqk2r/1p1nbppp/p2ppn2/8/4PP2/1N1BB3/PPP3PP/RN1Q1RK1 w kq -,d1f3
2rqrnk1/pp2pp2/3p2pB/4P3/1n4b1/1NN5/PPP4Q/1K1R1B1R b - -,g4d1
r2qkb1r/ppp1p2p/2b2np1/3pN3/3P4/8/PPP2PPP/RNBQ1RK1 w kq -,b1c3
r3qrk1/1pp1pp1p/1n2P1p1/4b3/pn2P3/2N1B3/PP3PPP/2QRKB1R w K -,f2f4
8/8/5pk1/8/5RpP/3r4/3p4/3K4 w - -,f4g4
2r2rk1/5ppp/p3pn2/1pb4q/5Q2/1P2PNP1/1P3PBP/R1R3K1 b - -,h5d5
1rb1r1k1/2q1pp1p/6pB/1pPPb3/2nN2P1/1R5P/5PB1/2QR2K1 b - -,e5d4
1r4k1/5p1p/P5p1/q3p3/2Q1P3/p5P1/5P1P/3R2K1 w - -,d1d7
4k2r/p5p1/5p1p/2brpP2/1np1R3/2B2N2/1P4PP/5R1K b k -,e8g8
3r4/1pq3pk/p3Rr1p/3p3Q/8/2P4P/PP3PPb/2B1R2K b - -,f6f2
6k1/5p1p/5bp1/2R1R3/pP6/P2r2PP/5P2/6K1 b - -,f6e5
r3k2r/2qpbpp1/p3p3/2p4p/2PPb1n1/P1B2N2/1P2BPPP/R2Q1RK1 w kq -,f3e5
8/6N1/5p1p/5P2/5kPP/pK6/1b6/8 w - -,g4g5
8/2N5/1R4kp/5pp1/7r/5P1P/8/3K4 b - -,g6f7
r1b1k2r/ppppq2p/2n2p2/6B1/6n1/2PB1N1P/PP2QbP1/RN3K1R b kq -,g4e5
1r4k1/pNqpb2p/Bpn1p1p1/3r4/1P6/2P3P1/P2Q1P1P/3RR1K1 w - -,d2f4
8/4k3/p3ppn1/2N4p/1r3P2/6P1/1P2K2P/2R5 w - -,c5d3
8/5p1k/2q4p/pp1R3p/3Q4/Pr2P1P1/5PK1/8 w - -,d4e4
8/K3R3/1P3rp1/7p/7P/3kp1P1/8/8 b - -,e3e2
2kn3Q/pp2b1B1/2r3p1/2pnNq1p/3pN3/P2P4/1PP3PP/4R1K1 b - -,c6b6
1q4rk/6rp/5Q2/2B1pp2/8/2P2P2/PP6/2K3R1 w - -,g1g7
r5rk/pRR4p/6pb/4p1n1/N7/5BP1/P1Q2PK1/4q3 w - -,a4c5
6k1/5p2/p6p/2rp4/3Nq1P1/4QR2/6K1/8 b - -,c5c4
r5k1/ppq1nrp1/4Qp1p/8/P2P2N1/2P4R/5PPP/R5K1 b - -,c7c8
r4n2/5pk1/6pp/p1bP4/4p3/5NP1/P4PBP/1R4K1 w - -,f3e5
1brr2k1/1p3p2/p1q1p1n1/2P2p2/7p/PN2R1PP/1PQN1P2/4R1K1 b - -,h4g3
6rk/1bp2q1p/prp1p3/4PPQp/1P1p4/2PB4/1P3RP1/4R1K1 w - -,g5f6
3r1rk1/1pq1npp1/p1nNb2p/4p3/2P5/2N3P1/PP1RQPBP/3R2K1 w - -,c4c5
r2r2k1/1q1nbpp1/1pp4p/3p1b2/P2P1B2/1Q2PN2/R3BPPP/2R3K1 b - -,a8a5
8/p2r2kp/5pp1/8/8/1P6/P4PPP/5BK1 w - -,g2g3
8/8/1r1p4/4p1p1/1pRpP1kP/1P1P4/2P3PK/8 b - -,g4h4
4rnk1/1p3rp1/p1p1p2p/P1Pp1p2/3PbPP1/2N1P1BP/1P3K2/R4R2 b - -,f8d7
r1bqr1k1/pp1n1pbp/3p2p1/2p4n/1PPNP3/2N1BP2/P3B1PP/R2Q1RK1 w - -,d4b5
7b/8/3k4/8/2Pp1K2/1N1P4/8/8 w - -,f4e4
4q1k1/n3r2p/rp1p2p1/3P1p2/PR3P2/8/1R3BPP/3Q2K1 b - -,a7c8
5n2/1p4p1/pNpbkp1p/P3p3/4P3/1PP1BP1P/5KP1/8 w - -,f2e2
2r5/4kp2/8/1pp3P1/p7/P1B1P3/1PR2PPK/3r4 w - -,f2f4
r1b2r1k/2qn1ppp/p1npp3/1p3P2/4P3/1N1B2Q1/PPP1N1PP/4RRK1 b - -,e6e5
r1b1k2r/ppqn1ppp/2pbp3/8/2PPB3/5N2/PP3PPP/R1BQK2R w KQkq -,e1g1
r4rk1/4qppp/1pbp4/p1n1p3/P1P1P1P1/2Q1BP2/1P5P/RR1B2K1 b - -,h7h5
4kb2/1r6/4pp1p/2p4R/R1p1PP2/2P5/1P2KP2/8 w - -,a4a2
2k2b1r/ppp2ppp/8/8/3n4/7P/PP3RP1/RN4K1 w - -,b1c3
8/8/8/7p/P2p1p1P/1P4k1/4K3/8 b - a3,f4f3
8/8/4P2p/p7/8/6p1/2K3k1/8 b - -,g2h1
r2q1rn1/ppp3bk/3p2pp/3Pp3/2P5/2NQ1P2/PP1B2PP/R4RK1 b - -,g8e7
5rk1/7p/8/6p1/1P1Q4/2P2NbP/q2R4/6K1 b - -,a2a8
r1b2rk1/1ppp1ppp/p1nqp3/1P6/P2P4/5NP1/3QPPBP/1RR3K1 b - -,a6b5
8/5n2/ppb5/8/P3pp1k/1PP5/5P2/3BKN2 w - -,f1d2
r3k2r/1p3ppp/pqb1pn2/4N3/2Pb1Q2/8/PPB2PPP/2KR3R w kq -,d1d4
r3kb1r/pp1n1pp1/2pqpnp1/8/2BP2P1/2N1B2P/PPP2P2/R2QK2R w KQkq -,d1f3
2rr4/4npk1/1pqp1b2/p3pPp1/4P1P1/2PQNN2/PP4K1/3R3R w - -,d1d2
8/1R6/1p3Npk/p4n1p/P1P1p2P/6n1/3K4/8 b - -,f5h4
r2qk2r/1p1bbppp/p3p3/4n3/1P1NB3/P1R1B3/5PPP/3Q1RK1 b kq -,a8c8
3r2k1/4b1p1/1pr1n3/p3P3/2P3R1/5N2/P1P2PK1/1R2B3 w - -,e1d2
1r1n2k1/2R2p2/1p1N2bp/2bBP1p1/2P1Np2/7P/5PPK/8 b - -,g6e4
r4rk1/pb1n2pp/1p1ppq2/2p2p2/1PPP4/P1BBPP2/2Q3PP/R4RK1 b - -,f6g6
8/ppp3kp/3p2p1/3P1q2/4Q3/5P2/PPP2P1K/8 w - -,e4f5
6k1/pprn1ppp/4p3/4q3/2p5/6P1/PPQ2P1P/2NR2K1 w - -,c2d2
2R5/pp3kb1/5p1p/2B3p1/P6n/2P2PKP/1P1r1P2/5B2 b - -,f7g6
rn1q1rk1/1bpp1ppp/1p1bpn2/p2P4/2P1PN2/P1N5/1P3PPP/R1BQKB1R w KQ -,f1d3
3r1qk1/1b1n1ppp/4pn2/Q1pp4/2P5/3PPN2/1B2BPPP/5RK1 b - -,d8a8
1r2r1k1/3b1p1p/3qp1p1/p1p3P1/1p1b1P2/3P1Q2/PPP3BP/2RN1R1K w - a6,c2c3
2q3k1/1p1b1ppp/1Q1N2n1/2BP4/r3n3/2P2N1P/PP4P1/R5K1 b - -,c8c5
r4rk1/pp1bbppp/3ppn2/q7/4PPP1/2N1BQ2/PPP4P/2KR1B1R b - g3,d7c6
3r2k1/p1q2p1p/1np1rbp1/3b4/1P6/P1pBBN1P/2P2PP1/R2QR1K1 w - -,f3d4
6k1/p5p1/6np/5p2/8/P4KP1/5P1P/2B5 b - -,g8f7
r1q2kr1/1b2bp2/1B1Np2p/p3n1p1/1n2P1P1/1N3P2/1PP2Q1P/1K1R1BR1 b - -,c8b8
2r1k2r/1pqbbppp/p1n1p3/3pP3/7P/P2BBN2/1P3PP1/2RQR1K1 w k -,h4h5
r1bqr1k1/pppn1ppp/3p1n2/6N1/2P5/2PP2P1/P4PBP/1RBQ1RK1 b - -,h7h6
R7/2r2pk1/3Rp3/5nPp/2P4P/4N3/7r/5K2 w - -,e3f5
4r1k1/7p/1R4p1/p7/3q4/4P1P1/5PKP/8 w - -,e3d4
8/2pk1p1p/3p1p2/1P6/3pP3/2r3P1/2P1KP1P/1R6 w - -,b1b2:e2d2
r3r1k1/1q1nbppp/p2ppn2/8/1p1NP3/P3BPN1/1PP3PP/R2Q1RK1 b - -,a6a5
r1bqr1k1/1p1n2bp/2p3p1/p4p2/1nP1p3/BPN2NP1/P3PPBP/R1QR2K1 w - -,f3e1
8/1p3kp1/p3pn1p/5p1P/2PB4/5P2/PP1K2PR/4r3 b - -,e1a1
8/2B1k1p1/1pP4p/1P1N4/2nn2PP/8/5K2/8 b - -,e7e6
3k4/ppr3R1/2p3np/6q1/3P2P1/1BP1N3/PP1K2P1/5R2 w - -,g7g8
r2q1rk1/ppp1n1pp/1bn2p2/3p1b2/3P1N2/P1NBB3/1PP2PPP/R2QR1K1 b - -,d8d7
r4rk1/pp1n2pp/2n2b2/3pp3/1p1P3P/1N1PBNP1/P4P1K/R4R2 b - -,c6d4
2bqr1k1/4r3/pp1p4/2PnbpB1/P4n2/R1NB1P2/2NQ2P1/5R1K w - -,g5e7
r5k1/5pb1/2qp2p1/2p5/1p1pr3/1P1R1R1P/2Q2PK1/5N2 b - -,d6d5
2r5/5Rp1/3p4/3B1Pk1/2P2b2/3p4/4R2P/7K w - -,e2g2
8/1p6/1P5p/8/3nk2P/4N3/4pK2/8 b - -,e2e1b
r1bqkb1r/pp1n1ppp/3p1n2/1Bp1p3/4P3/2PP1N2/PP1N1PPP/R1BQK2R b KQkq -,f8e7
3r1bk1/p4p1p/1rp1p1p1/q2n4/P2P1P2/1P1Q1BP1/7P/R1R3BK w - -,g1f2
6Br/p7/1p1k1R1B/n1p1p3/2P1b3/2P3P1/8/6K1 b - -,d6e7
2r3k1/p5pp/1qr1p3/1p1p1p2/3P1P2/2P4P/PP4P1/2R1QRK1 b - -,b5b4
2kr3r/1p3n1p/p3b1q1/2Bpp1P1/7P/2P2Q2/PP3R2/R3KB2 b Q -,f7d6
r2r2k1/1b1nb1pp/pq2pp2/1pp5/P2PP3/2P2NP1/2Q2PBP/R1BR2K1 w - -,a4b5
r4rk1/1pp2pbp/p1n2np1/4p1B1/2N1P3/2N2P2/PPP3PP/3RK2R b K -,b7b5
1q3r2/5pk1/1nB3p1/Q3p2p/3p3P/3P2P1/PP1NPP2/6K1 b - -,f8c8
2rr2k1/pbpq1ppp/1n2p3/2Q5/2pPPB2/P5P1/P4PBP/1R3RK1 w - -,f1d1
3r1rk1/pb6/1p1qpP1p/2pp2PB/2P1p2P/1P2P3/PBQ3P1/R5K1 w - -,f6f7
r3kb1r/pp2pppp/1qn2n2/2pp4/3P1Bb1/2PBP3/PP3PPP/RNQ1K1NR w KQkq -,b1d2
8/p5pk/7p/P7/8/bp1r3P/1R3PP1/6K1 w - -,b2b1
r2q1rk1/1ppbb1pp/2n1p3/p1Pp1p2/3Pn3/PP1BPN2/1BQN1PPP/R4RK1 w - -,d3b5
Q7/7p/4Ppp1/7k/p1rP1b2/2q2P2/7P/3RR2K b - -,c4c6
q5k1/4bppp/r1p1Pn2/3p4/1P1P4/4P1N1/3B2PP/3Q1RK1 b - -,f7e6
r2qrbk1/pppn1pp1/3p2bp/PP6/2PP4/1Q2BB1P/3N1PP1/R4RK1 b - -,a8b8
r2qk2r/pp3ppp/1np1pn2/5b2/1bpPP3/2N3P1/PP1N1PBP/R1BQR1K1 b kq e3,f5g4
r2q1rk1/2pb1pb1/3p2pp/p1pPp1n1/2P1P3/2N1B2P/PP1QBPP1/R4RK1 w - -,h3h4
1r2rbk1/4qp2/3p1npp/B1nPp3/b3P3/5NNP/4QPP1/1R2RBK1 b - -,e8c8
2brn1k1/5ppp/8/1PB1p1P1/p3p3/5P2/K1P4P/5B1R w - -,f3e4
2r3k1/q2rpp1p/p2p1np1/1p1b4/4P3/P2Q1B1P/1PP2PP1/3RR1K1 w - -,e4d5
r1bqr1k1/1p1n1pbp/p1pp1np1/4p3/2PPP3/2N1BNPP/PP3PB1/R2QR1K1 b - -,b7b6:b7b5
3r1rk1/p1q1b1p1/2pP4/5p1p/4pP2/1P2P1P1/PB4QP/2RR2K1 b - -,d8d6
3r2k1/1rp2pb1/2nq2pp/1R6/3pP3/2P1B1PP/2Q1BP2/3R2K1 b - -,b7b5
r7/5k2/2R5/2pp1r2/p3n3/1P6/PB4PP/4R1K1 w - -,c6c7
rnbqkbnr/pppp1ppp/8/8/3pP3/5N2/PPP2PPP/RNBQKB1R b KQkq -,g8f6:b8c6:f8b4:d7d6:g8e7
1nbq1rk1/r1p2ppp/4pn2/pp2N1B1/1bpP4/6P1/PP2PPBP/RN1Q1RK1 w - -,a2a4
rnb1kbnr/ppq2ppp/4p3/2P5/3P4/Pp3N2/3B1PPP/RN1QKB1R w KQkq -,b1c3
r4rk1/ppqbnpb1/2np2pp/P1p1p3/2N1P3/2PP1NP1/QP3PBP/R1B1R1K1 b - -,a8b8
1r6/3k1R1P/2p5/4pN2/2P1P3/1r6/3p1PPK/8 b - -,d7e6
r7/4rk1p/pq1n1p1P/Rb1P1P2/1Np1p3/2P5/2B1Q1P1/R4K2 b - -,e7e5
