1n6/1P6/4N3/6p1/5Pk1/8/5K2/8 b - -,g5f4
6k1/5ppp/1r1b4/2p5/2P1b3/1PB5/1K5P/6R1 b - -,g7g6
r1bqr1k1/ppp2pb1/1Nn3pp/4p3/8/3P1NPP/PPP2PB1/R1BQR1K1 b - -,a7b6
5bk1/p6p/3p2p1/1q6/7P/2P2Q2/bnRNN1B1/4K3 b - -,b2d3
r3k2r/ppp2ppp/5n2/2bPp3/Qn4Bq/P1N5/1P3PPP/R1B2RK1 b kq -,c7c6
3r1rk1/pp2bpp1/2pn3p/4q3/3N4/1B1RP3/PPQ2PPP/2R3K1 b - -,e7f6
6k1/pp2b1np/3p2p1/1qpPp1P1/4P2P/2P3NN/PP4K1/3Q4 w - -,b2b3
8/P6p/4pkp1/2r5/6R1/5P1P/r1pK2P1/2R5 w - -,h3h4
k2r4/1b1q2p1/p7/1p1P3p/2pb1B2/P2r2PP/1PQ1R1B1/5R1K w - -,a3a4
8/2B2kp1/1p5p/pP6/3P4/1Pn2K2/7P/8 b - -,c3d5
8/5r1k/P2P3P/2p1p2Q/4Pn2/5PK1/q7/3R4 w - -,d1d2
3rk2r/ppp2ppp/2p5/2bbP3/3N1B2/8/PPP2PPP/R2R2K1 w - -,d4f5
4rrk1/pp2n1bp/5pp1/2p1n3/3pP1q1/3P1NP1/PPP3BK/R1BQR3 w - -,e1f1
r3r1k1/1p1b1pp1/p5qp/2pp4/4P3/2P1QPPn/PPB1N2P/R3R2K w - -,e2f4
2r1r1k1/p2n1pp1/4pn1p/1qP5/R2P4/Q2b1BB1/3N1PPP/4R1K1 b - -,d3f5
4k3/R7/8/5p1P/p3n3/6r1/7K/8 b - -,g3g5
r1bqkb1r/1p3ppp/2n2n2/p3p3/2Pp4/P3PNP1/1P3PBP/RNBQ1RK1 b kq -,c8g4
8/p1r5/4kp2/R7/3P4/1K1nB3/8/8 b - -,f6f5
rnbq1rk1/p2pppbp/1p3np1/2p5/3P1B2/2PBPN2/PP1N1PPP/R2QK2R b KQ -,c8b7
rnbq1rk1/p1pp1ppp/4pn2/1P6/8/P1Q2N2/1P1PPPPP/R1B1KB1R b KQ -,c7c6
4R3/1kp5/8/PP6/3P2p1/2P1KbP1/7r/4R3 b - -,h2g2
8/p3R2p/2pp1r1k/5qP1/2P5/1P4P1/P3Q2P/7K b - -,f5g5
1r6/4pk2/p1pp1pr1/7p/4Pp1P/2P2P2/PPKR2P1/7R w - -,h1e1
r1r3k1/p1Pb1ppp/4pn2/3p1n2/P5P1/B1PB1N1P/2P2P2/R4RK1 b - g3,c8c7
5rk1/1b3rbp/3PB1p1/1pq1p3/1Np1P3/2P4P/1P4P1/3Q1R1K b - -,g7h6
5r2/4Rp2/1pr2k2/5Pp1/6Pp/1B2K2P/P7/8 w - -,e7d7
r1b1k2r/ppp1qp2/1nn1p1p1/3pP2p/3P2P1/2N2N2/PPPQBP2/2KR3R b kq g3,h5h4
3q3k/pp3pbp/2p3p1/8/5n2/1BP2P2/PPQ3PP/4B1K1 b - -,d8d3
8/p4pkp/3p2p1/3P4/1pK3P1/1P5P/1b2N3/8 b - -,g7f6
5rk1/1p3pb1/5r2/p3pQ2/7P/2q5/B1P2PP1/5RK1 w - -,f5g5
r3r1k1/5ppp/p3b3/1p1nPp2/q4P2/P3B1Q1/1PPRB1PP/3R3K b - -,d5e3
4b3/5k1p/3n2p1/rp1NK3/1R5P/P5PB/1P6/8 b - -,d6c4
4r1k1/Q2n2q1/3Pp3/2p4p/5r2/2P2pBP/P4PPK/3R1R2 b - -,h5h4
r2bnrk1/1b4qp/pp2pp2/3p4/1P1P4/P3BB1N/2Q2PPP/R4RK1 w - -,h3f4
r2qk2r/p1pbbppp/2p5/3pP1n1/3N4/5P2/PPP3PP/RNBQ1RK1 w kq -,f3f4
r1b1k2r/pppnqppp/8/2bpP3/6n1/1P2PN2/PB1P2PP/RN1QKB1R w KQkq -,b1c3
r1b2r2/ppp2pkp/1nn3p1/1N6/4P3/5N1P/PP3PP1/3RKB1R b K -,c6b4
8/6k1/B2p4/2pP4/Pp3b1P/1P6/5P2/7K b - -,c5c4
4b3/1p5p/5k2/p1p1b1p1/P1P3P1/1P3P1P/4R1K1/8 b - -,e8g6
r7/6kp/P1Rp4/5p2/8/4b3/5PPP/5K2 w - -,f2e3
r1r1n3/1q3pkp/1pNnp3/1P2N1p1/3PP1P1/pR1Q1P2/6KP/2R5 b - -,a3a2
r1bq1rk1/pp2ppbp/2np2p1/2n5/3NP1P1/2N1B2P/PPP2PB1/R2Q1RK1 w - -,d1d2
1r1b2k1/5p2/2Bp1n1p/1P1Pp3/R3P1p1/5P2/5BPP/6K1 b - -,g4f3
r1bq1rk1/2p2ppp/1ppp4/4n3/4PB2/P6P/1PP1BPP1/R2Q1RK1 b - -,d8f6
3q1rk1/1b3ppp/p3n3/1p1Np1P1/4P2P/8/PPPQ2B1/2KR4 b - -,b7d5
r3k1Q1/pb1n4/4p1Np/1pPn1q2/2p4P/2P5/P3BPP1/R3K2R b KQ -,d7f8
r1bq1rk1/pp2bppp/2nppn2/8/2BNP3/2N5/PPP2PPP/R1BQR1K1 w - -,d4f3
r2q1rk1/1pp1bpp1/p1n1b2p/4p3/1P6/P1n1PN2/1BQPBPPP/R4RK1 w - -,b2c3
rnbqk2r/1p2npb1/p2pp1pp/2pP4/P1P1P3/2N3N1/1P2BPPP/R1BQK2R b KQkq a3,e8g8
2r2bk1/5p2/4p1pp/1QBq4/p6P/3P2P1/P1R1PP1K/8 w - -,d3d4
3r2k1/1p2pp1p/3p2p1/r1nP4/1p1RPP2/1P3B2/P1R3PP/6K1 b - -,d8a8
r1bqr1k1/ppb2ppp/2p1nn2/3p4/3P1P2/2NBP2P/PPQ1N1P1/2BR1RK1 b - f3,d8d6
4k2r/pp3p2/6p1/q2p1b2/1b1PpN2/1P2P1P1/P1Q2PB1/5RK1 w k -,a2a3
3r3k/p2r3p/2p2p2/4Q1p1/2B1Ppb1/1PP5/P5PP/4RR1K b - -,f6e5
8/4k3/5p2/5P2/4P3/3RK3/8/5r2 b - -,f1e1
r1b2rk1/4q1bp/p2p1np1/1ppPnp2/2P1p1P1/1PN1P2P/PBQNBP2/2KR3R w - -,g4g5
8/pp6/6rp/8/2P1p1k1/1P2K1b1/P1N3R1/8 b - -,h6h5
3r2k1/5pp1/2R4p/pp6/2b2N2/P5P1/7P/6K1 w - -,a3a4
8/2pnk3/2P5/p2Pp1p1/4P3/P1N1K1P1/6b1/3B4 b - -,d7c5
rn1q1rk1/p4ppp/bpp5/4P3/8/2PB3P/P4PP1/R1BQ1RK1 w - -,d3a6
4rrk1/1p4bp/pq2ppp1/1P1p4/R2P4/2P2N2/1P2QPPP/4R1K1 b - -,a6a5
r3k2r/ppp1qp2/2n1p1bp/2Pp2p1/1P1P4/P3PP1P/4B1PN/R2Q1RK1 b kq b3,e8g8
2r1r1k1/3n1ppp/b3qn2/p2p4/Np3B2/1B3P2/PP1Q2PP/2R2RK1 w - -,c1c8
3r2r1/1R6/2p1k2q/3b3p/8/Q5p1/PP4PP/R5K1 w - -,a3e7
rn1qkb1r/pb1p1ppp/5n2/2pp4/P1p1P3/2N2N2/1P3PPP/R1BQKB1R w KQkq -,e4d5
r1b2rk1/pp1nqp1p/3p2p1/2pP3n/Q7/2N1PN2/PP3PPP/R3KB1R w KQ -,f1e2
r3kb1r/pp3p1p/2p2p2/3p1b2/1n1P3N/1PN1P3/1P1K1PPP/R4B1R b kq -,f5e6
8/6k1/2r5/7R/5PK1/8/8/8 w - -,f4f5
r1qr2k1/p3R1bp/b1pB2p1/2P2p2/P1pP4/2Q2N1P/1R3PP1/6K1 w - -,e7c7
rnbq1rk1/pp2ppbp/3p1np1/2pP4/2P5/2N1PN2/PP3PPP/R1BQKB1R w KQ -,f1d3:f1e2
rr4k1/2qnbppp/2p1p3/p2nP3/1p5P/P4NP1/1PP1QPB1/R1B1R1K1 w - -,h4h5
3r2k1/pp1r1nb1/4q1p1/P1p1p2p/2NpP3/1P1P2BP/4QPP1/R2R2K1 b - -,e6f6
4r1k1/2pnrp2/pp1q2pp/3Pp3/QPP5/P4N1P/4RPP1/4R1K1 b - -,b6b5
r3q1bk/6p1/2p2r1p/N1Qn1p2/P2R4/4PBP1/5PP1/5RK1 b - -,a8a6
8/5p2/2k2K1p/4P1p1/3n4/3N3P/8/8 w - -,f6f7
rnb1qrk1/ppp1b1pp/3p1n2/4p3/2P1P3/2N2NP1/PP3PBP/R1BQ1RK1 w - -,c4c5
1rbq1rk1/p3np1p/6p1/2ppp3/1p1nP3/3PNPP1/PPPQN1BP/R4RK1 b - -,d5e4
r2q1rk1/p3ppbp/2p1b1p1/3p3n/3P1B2/2N3P1/PP2PPBP/R2Q1RK1 w - -,f4e3
4k2r/6p1/p3p3/2BbP2p/p1p5/P1P5/2PK1RPP/8 b - -,h5h4
6k1/1p3pp1/1b1Pp2p/1n2P3/1Bp4P/P5P1/5rK1/3RN3 w - -,g2h3
5r2/1p3pkp/pQb3p1/4p1q1/8/1BP4P/P1Pn1RP1/4R1K1 w - -,e1e3
8/rp4kp/2p2Pp1/2p1b3/2r5/PR3B1P/4R1K1/8 b - -,e5f6
8/1p1nkp2/p2p4/P2PpPP1/1P6/5B2/3BK3/6b1 w - -,f5f6
2r1r1k1/5ppp/p1n5/1p6/1P1p4/K2B1P2/3P1P1P/3R3R b - -,c6e5
r2b1rk1/2p3pp/2n1b1q1/1p1pp1Nn/1P5P/P2PPNP1/Q5B1/2KRBR2 b - -,d8g5
r3qrk1/p2n2p1/1p1n3p/2pP1PP1/2P4N/2P1p3/P2BQ2P/R4RK1 w - -,e2e3
6k1/q4p2/3n2p1/1p1Pr3/3pP2Q/1B1P3P/6P1/1R4K1 w - -,h4d8
r2q1rk1/pb2nppp/1p1b1n2/2ppN3/3P1P2/2N1P3/PPB3PP/R1BQ1R1K w - -,d1f3
8/8/8/p7/N2N2K1/8/6k1/8 b - -,g2f2
2qr1bk1/1p3ppp/n2Pr3/1Npn2B1/2P5/6PP/5PBK/1Q1R4 w - -,g5d8
r2qk2r/1p1nbppp/4pn2/pP5b/3p4/P1N1PN1P/1B2BPP1/R2QK2R w KQkq -,f3d4
r2q1r1k/pp1nbppp/2bp4/4p3/4PP2/2NBB3/PPP1Q1PP/3R1R1K b - -,a7a6
r1b2r2/pp2qpbk/2pp1npp/4pP2/3PP3/2PB1R2/PPQNN1PP/5RK1 b - -,c8d7
r1b2rk1/ppqn1pbp/2pp2p1/3Pp2n/2P1P3/3BBN1P/PPQ1NPP1/R4RK1 w - -,a1c1
r2q1rk1/p1pnppb1/1p4p1/6Bp/3PQ2P/2P2N2/PP3PP1/R3K2R b KQ -,d7f6
7R/5pp1/p3p1k1/3pP1P1/P1rBn3/2P3P1/1r3PK1/7R b - -,c4d4
4B3/5p2/4b1p1/7P/2p4P/3k1P2/8/2K5 b - -,g6h5
4k3/8/4K3/4P3/2p5/2R5/4r3/8 w - -,c3c4
2r5/5pkp/3Rn1p1/2q1p3/4P1P1/N4P2/PP1Q3P/1K6 b - -,e6d4
r3k2r/pp1n1pp1/q3p2p/3pP3/1bPB4/1P1Q4/P2N1PPP/R4RK1 w kq -,d4c3
8/5p2/4k2p/1R4p1/1pP3P1/5PK1/6P1/1r6 b - -,b4b3
8/8/8/pp6/4pk2/1PPr4/P1R2K2/8 b - -,e4e3
r1bq1rk1/ppp1bppp/2n5/3np3/8/3P1N2/PPP2PPP/RNBQRBK1 b - -,e7f6
8/6k1/3Kppn1/4r3/8/8/8/7Q b - -,g6f4
r1bqk2r/pp1n1ppp/2pbp3/3p4/2PPN3/5N2/PPQ2PPP/R1B1KB1R b KQkq -,d5e4
R4rk1/2p2pp1/1rnqbn1p/1p2p3/4P3/2P2N2/1PBN1PPP/3QR1K1 w - -,a8f8
8/1p1b4/8/p3k3/P1B1p2r/1PP1K3/8/4R3 b - -,h4h3
r2r2k1/p3b1pp/4qp2/5p2/1pPPb3/1Q3NB1/P4PPP/R2R2K1 b - -,a7a5
5rk1/p3Bppp/1p1bq3/1B1p4/8/1P2Pb2/P2N1PPP/5RK1 w - -,e7f8
r5k1/1N3p2/5Qpp/pp1q4/2p5/P6B/1Pn2PPP/2R3K1 b - -,a8e8
8/7p/1bk1ppp1/p2p3P/5PK1/2P3P1/8/1R6 w - a6,h5g6
8/5pkp/P2pp1p1/3q4/2Q5/4B1PP/r4P1K/8 w - -,e3d4
2r1k3/6pp/4p3/2BpP3/pp3r2/1P3N2/P5PP/2R3K1 b - -,a4b3
5rk1/2p3p1/1pNp4/pPnP3p/P1P1p3/4R1P1/4Pq1P/2Q4K b - -,f2f1
r4rk1/p2bqpbp/5np1/Npp1p3/1P2P3/2P2P2/P5PP/R1BQRBK1 w - c6,a2a3
r3k2r/ppqbnppp/2n1p3/3pP3/2pP4/P1P2N2/2P2PPP/R1BQRBK1 b kq -,f7f6
r1bq1r1k/1p2n1pp/2nb1p2/p1pp4/2P5/P2P1NP1/1P1N1PBP/R1BQR1K1 w - -,f3h4
5k2/7R/6p1/r2p4/6P1/7P/5P2/5K2 w - -,h7d7
r1b1k2r/pp3n1p/2pp4/3P4/4Pp2/2N1b2N/PPP1B2P/1K1R3R w kq -,h3g1
r1b1k2r/pp1pbppp/2n1pn2/q1p5/4P3/2N3P1/PPPPNPBP/R1BQ1RK1 b kq -,a7a6
2krnb1r/p3qp2/1n2p2p/1p1pP2P/2pP1R2/2P3Q1/PP2N1PN/R1B3K1 w - -,g3f3
2r5/r4kp1/3BR3/p1Pn1pp1/3P3q/P4Q1P/5PP1/3R2K1 b - -,f7e6
2b1k2r/1p3ppp/2p1pn2/2bp4/1n6/4P2N/1B1PBPPP/1N3RK1 b kq -,c5d6
3k4/1b1r1p2/pp2pP2/3pP3/PP1K3P/3B2p1/8/2R5 b - -,d8e8
r1b1k2r/pp2bp1p/1qnppp2/8/P3P3/1NN5/1PPQ1PPP/R3KB1R b KQkq a3,a7a6
r2qk2r/pbpn1p2/1p1pp2p/6p1/2PPn3/P4NB1/1PQ1PPPP/R3KB1R w KQkq -,f3d2
r2q1rk1/1p4np/p5pB/2pPpb2/P7/2N2B1P/1P1Q1PP1/R5K1 w - -,d5d6
K7/2P5/1Q6/7k/8/8/8/q7 w - -,a8b7
1r3k2/Rrp3pp/2b5/2P2p2/1pBPpP2/4P3/1P5P/R5K1 b - -,f8e7
r3q1k1/5pbp/2p1r1p1/1b6/3Pn3/1Q4P1/2N2PBP/1R1RB1K1 w - -,b1a1
r2r2k1/1p4pp/3b1n2/p2PNb1q/3P4/PP4P1/1B2Q1BP/R3R1K1 b - -,h5e2
4r3/p2r1kb1/2N1pp2/1p1p4/1PbP1BPp/P3RP1P/5K2/4R3 b - g3,h4g3
r2qk2r/pp3pp1/1npbpn2/8/2BP1P2/2N1B1P1/PPQ4P/R3K2R w KQkq -,c4e2
rn1qkb1r/pbpp1ppp/1p2pn2/8/2PP1B2/P1N5/1P2PPPP/R2QKBNR b KQkq -,d7d6
r1bq1rk1/2p2pbp/1p3np1/2pPp3/N1P1P3/P7/1P1NBPPP/R2QK2R w KQ -,a4c3
r1bqk2r/pp2bppp/2n2n2/8/3p4/1PN2N2/PB1PQPPP/R3KB1R w KQkq -,c3e4
r1b1qrk1/pp1n1pbp/2pQn1p1/4p3/2P1P2B/2N2N1P/PP2BPP1/2R2RK1 w - -,h4e7
8/pp2rk1p/2p3p1/2P2p2/1P3Q2/q5P1/5P1P/3R2K1 b - -,a3c3
r4r2/p2qp1kp/2pp1pp1/3n4/3N3Q/1Bn5/P4PPP/2R2RK1 w - -,c1c3
3rr1k1/5p1p/p5p1/8/1PRbnB2/5N1P/qPQ2PP1/1R4K1 b - -,e4c3
8/3r1ppk/1B1P1qr1/1p2p2p/p3Pbn1/PpPR2NQ/1P3P2/3R1NK1 w - -,f2f3
8/3b1k2/8/8/3B1K2/5P2/6P1/8 w - -,f4g5
2r1r1k1/4pp1p/p2p2p1/qp6/3QP3/2P5/PP3PPP/R3R1K1 b - -,c8c4
2r5/6p1/p3kb1p/1p3p2/3p1P2/P2NpKP1/1PP1R2P/8 b - -,a6a5
6k1/1R3Rp1/r6p/p7/P7/1P5P/2r2PK1/8 b - -,a6g6
5b2/7B/2R4p/4k3/4p3/2p1KP2/3r3P/8 b - -,d2d3
1r2n3/Rp1b1q1k/1P1p2p1/3P1pPp/2BBpP1P/1Q2P3/6K1/8 b - -,f7e7
6b1/1R6/5P2/8/k7/p1K5/8/8 b - -,g8d5
5r2/p2k4/3Q2p1/1p1P3p/4KP2/1P1R4/1P4P1/8 b - -,d7d6
8/R6p/5Kp1/5p1k/7r/8/8/8 b - -,h5g4
r1bqrbk1/1pp1n1n1/p6p/3p1pp1/1P1PP3/P1NB1PB1/2Q1N1PP/3R1RK1 b - -,f5f4
k7/1p1r3p/rbp1ppp1/8/P1RPP3/4BP1P/4KP2/1R6 b - -,b6a7
r1b2rk1/ppq1ppbp/1np3p1/5n2/3PN3/1BP2N1P/PP1B1PP1/R2QR1K1 b - -,b6d5
2br3k/pp2Rrqp/2pP1Np1/6P1/P4n2/2Q4P/1P4B1/3R2K1 w - -,d1e1
2R2bk1/5p2/1B1p2p1/1B1P2P1/4PP2/5K2/1r5P/8 w - -,b6d8
r1bqnrk1/1p1nbp1p/p2p2p1/2pPp3/P1P1P3/2N2NP1/1P3PBP/R1BQ1RK1 w - -,c1h6
r1b2rk1/1pqnbpp1/p2ppn1p/8/3NPPP1/2N1BB2/PPP4P/R2Q1RK1 w - -,d1e2
8/7k/3R3P/6K1/6P1/8/8/7r b - -,h1a1
2k5/1p6/1Br1p2p/PR2P1pP/2p3p1/2Pr1n2/5PK1/2R5 b - -,f3h4
8/4k3/4b3/8/2pK1P1p/8/8/5B2 w - -,d4c3
6k1/p1p1npp1/8/bQ1r3p/3PbP1q/P3B3/6PP/R5RK w - -,b5e8
2r2bk1/5pp1/1q1p3p/pN2n3/Pp2PB2/1P4QP/5PP1/4R1K1 b - -,c8c2
5rk1/1P3pp1/6p1/b1P3n1/3P4/5BP1/2Q3KP/4r3 w - -,d4d5
r1bq1rk1/1p1nbppp/2n1p3/2p1P3/p1BP4/PN3N2/1P3PPP/R1BQR1K1 w - -,b3c5
2r2rk1/pbqp2pp/1p2p1n1/2b2p2/2P1P3/1P5P/PBBNQPP1/R4RK1 w - f6,a1e1
6k1/r1p2p1p/6p1/2R4P/8/5P2/2P1r1P1/1K4R1 b - -,g8g7
6k1/4Qpp1/4n3/8/p2q2P1/5P1P/6K1/5B2 b - -,g7g5
r3r1k1/ppqbbpp1/3p3p/2pPp2n/P1N1PB2/2NQ3P/BPP2PP1/R3R1K1 b - -,h5f4
6k1/1pn1bpp1/7p/8/1nP1pPP1/pP2B3/P6P/1KNB4 w - -,c1e2
5rk1/1p1q1pbp/r1ppb1p1/p1Pn2B1/N2P4/P5P1/1P1Q1PBP/1R3RK1 b - -,b7b5
2kr3r/ppp2pp1/2p1qn1p/2b1p3/4P3/1N1P3P/PPP1QPP1/R1B2RK1 b - -,c5b6
5r2/4qnk1/3p2pn/2pPp2p/1pP1P2P/rP2Q1P1/5RKN/3B1R2 w - -,g2g1
2r4r/1b1pkp1p/p3pp2/1p2q3/P3P3/2P2B1P/1P3PP1/R2QR1K1 w - -,a4b5
1rb2rk1/pp2bppp/8/q3p3/1P1NB3/2P5/P3QPPP/R2R2K1 b - b3,a5c7
8/R5pk/P6p/r6P/5PK1/8/8/8 b - -,h7g8
r3k2r/q2b1p2/1b2pPn1/3pP3/pPpP2p1/P3B1Pp/3QN2P/1R1R1N1K b kq -,a8c8
6k1/5pp1/2q2b2/2B5/4r2p/1P1Q3P/2P3P1/3R3K b - -,f6e5
N1bq1r1k/pp4b1/3p2p1/2p3p1/3nPp1P/3P2P1/PP3PB1/R2Q1RK1 w - -,h4h5
8/8/8/1R1k1pK1/6p1/5rP1/8/8 b - -,d5e4
r1bqk2r/pp1nbppp/4p3/4P3/4N3/5N2/PP2QPPP/R1B2RK1 w kq -,c1g5
