8/1p2r1pp/3k4/1P6/2P3P1/2KR3P/8/8 b - -,d6c7
r1bq1rk1/1pp1n1b1/3p2pp/4n3/1PP1pN2/2N3P1/4PPBP/1RBQ1RK1 b - -,g6g5
4rr1k/1n4q1/3p3p/p1pP1bp1/1pP1pP2/PP2P1NP/2Q3B1/R3R1K1 b - -,f5h3
2rr2k1/pb3p1p/1pn1p1p1/3P4/2P4N/PN4P1/4RP1P/5RK1 b - -,e6d5
r1b1kb1r/pp1n1p2/2p1pqpp/8/2pP4/2N2NP1/PP2PPBP/R2Q1RK1 w kq -,e2e3
3q1r2/r3npbk/pp4pp/2p1p3/1PP5/P1N1P1P1/3B1PKP/1R1Q1R2 b - -,a7d7
4q3/6K1/7P/6Q1/8/k7/8/8 b - -,e8d7
8/8/8/6k1/p6r/2K5/R5PP/8 w - -,g2g3
r1b2rk1/pp3pp1/nqp2b1p/3P4/8/P1NQ2P1/1PP1NP1P/2KR1B1R b - -,c8g4
6k1/3n4/p2P1P2/2r4R/7B/1r4N1/7K/8 w - -,f6f7
2br1qk1/p3bp1p/1r4p1/2pBp3/4N3/P5P1/1P2QP1P/2RR2K1 w - -,e4c3
1r6/7k/5rpP/5n2/1p2R3/pP6/P1P5/2K4R b - -,f6c6
8/6pk/4q2p/3p4/2pQ3P/5P2/1P4P1/5K2 w - -,f1f2
2r1k3/8/p2ppPpb/8/2PNb2r/BP1R2RP/8/1K6 w - -,a3d6
r1b1r3/2qnp1bk/2p3pp/pp1p1p2/3P3N/P1PBP1P1/1PQN1PP1/R3K2R b KQ -,d7f6
3k4/7p/4p1p1/2p5/4B3/P3P2P/6P1/2n2K2 w - -,e4c2
r2q1rk1/pppb1ppp/2n1pn2/3p4/QbPP4/2N1PN2/PP1B1PPP/R3KB1R w KQ -,a4c2
r2q1rk1/pp1bpp1p/1n4p1/2p1P3/1nP1PP2/N5P1/PBQ3BP/R4RK1 w - -,c2e2
3R4/5p2/1p2p1p1/1P2k2p/1r6/7P/5PP1/5BK1 w - h6,d8b8
1R6/P7/6p1/6k1/7p/r7/6K1/8 b - -,a3a7
1kb5/1p6/p3p3/4p1P1/4PrBp/1P1R4/1PP1R3/7K b - -,f4g4
8/6pk/1KP5/3p4/7P/8/5r2/2R5 b - -,f2f6
1rb2rk1/pp2q1pp/8/2p1p3/3n4/3PBN2/PP2PpBP/R2Q3K b - -,f2f1q
3R4/1r2q1kp/4ppp1/Q5P1/p4P2/P7/1PP5/K7 b - -,b7d7
8/8/1k6/4b3/1p6/5R1P/6K1/8 b - -,b6c5
r2q1rk1/pp1nbppp/2p1p3/7b/3PBB1P/5P2/PPPQN1P1/2KR3R w - -,g2g4
2b1rr1k/ppp1q1pp/2np4/1N3p2/1PP1n3/P3P1P1/1B3PBP/2RQ1RK1 b - -,c8e6
1rn3kr/5p2/Rb3P1p/1P5P/3pN3/5P2/1P4P1/4R1K1 w - -,e1a1
R5B1/4k3/8/1n2n3/5r2/2K5/7P/8 w - -,c3d2
2r5/6p1/p3p3/kp1p1b1p/2rP1P2/2N1K1P1/PP1R3P/4R3 w - -,a2a3
8/3kb3/2r1p3/p6R/4NP2/3K4/PP6/8 b - -,c6b6
r1b1k2r/pp2ppbp/2pq1n2/3p2Pp/NP1P1P2/2PB1P2/P3N3/R2QK2R b KQkq -,f6g8
r2q1rk1/pppnppb1/3p3p/6pn/2PP4/2NQPNB1/PP3PPP/R4RK1 w - -,a1d1
8/3r2pk/B4pp1/PnR1p3/7P/3P2P1/5P2/6K1 b - -,b5d4
6k1/2p2p1p/1p1p2p1/2q5/P7/2P2RQP/2r2PPK/8 b - -,g8g7
8/2p5/5p2/p2Pb1p1/2k1B1P1/5P2/8/2K5 w - -,c1b1
6k1/3bp2p/6p1/1p6/1Pn1pPP1/1r4KP/2N5/2B1R3 w - -,g3h4
8/5k2/5p1p/1R1K2b1/8/8/6P1/8 b - -,f7g6
r4rk1/1b5p/p2b4/1p1P1p2/2p1P3/2P5/PPB3KN/R4R2 b - -,a8e8
r1q1k1b1/p1n5/5Q1R/2p2P2/4P3/7P/PP4P1/6K1 w - -,f6g7
8/R3k1p1/5p1p/3K3P/6r1/8/8/8 b - -,e7f8
8/3k1p2/1p2pPp1/1K1pP1Pp/1P5P/4P3/8/8 b - -,d7c7
8/6pk/8/7p/3qpp2/7P/2Q2PPK/8 b - -,h7h6
2kr3r/2qnbpp1/bp1p1n2/p1pPp2p/P1P1PP2/1PN1B1PP/3QN1B1/2KR3R b - -,d8f8
3r2k1/4qpbp/2p2np1/p3pPB1/Pp2P3/1P4NP/1P2Q1P1/5RK1 b - -,e7c5
5b2/5k1p/pp2bp2/1p4p1/1P1N2P1/2P1N3/P2K1P1P/8 b - -,e6a2
rn2k2r/ppp2ppp/1q2pn2/5b2/2BP3N/P1B5/1PP2PPP/R2QK2R b KQkq -,f5e4
4r3/p2npk1p/3p2p1/1prP1p2/6P1/2P2P2/PPB1R2P/1K2R3 b - g3,f5g4
2kr4/ppq2ppp/2p1p1b1/3n4/1P6/2N2Q2/P1P1B1PP/1R4K1 w - -,c3a4
1rR2k2/3b1p2/pp3pp1/3p4/N2P4/PP6/5PPP/4RK2 b - -,d7c8
2r1rk2/1p1bq1b1/p2p1n2/P2P1p2/1P1B1P2/2N3RP/3QB1P1/5RK1 b - -,g7h8
3r4/p2rn1kb/2p1p2p/qp2P1pP/2PP1pP1/1P3B2/P2RQB1K/2R5 w - b6,d4d5
r5k1/1p3pb1/2p3pp/1Pq1p3/p1b1P3/5NP1/P3BPP1/1R1Q2K1 w - -,b5c6
2rr2k1/pnq1bppp/1p2pn2/1Pp1N3/3P4/P3P3/BB2QPPP/2RR2K1 b - -,b7a5
6k1/p2r3p/6p1/8/5K2/7P/P1R3P1/8 b - -,d7d4
r7/1p2bkpp/2n5/1p1rpp2/8/PN1PB1P1/1P2KP1P/R2R4 w - -,f2f3
3r2k1/5pp1/1p3b1p/8/1R1p3P/P2n2P1/5PK1/2R2N2 w - -,c1d1
4r1k1/p4p2/6p1/1p2PnPp/4NQ1P/8/PP1Bq2K/8 w - -,h2g1
r1bqkb1r/1p3ppp/p1n1pn2/8/3P4/2NB1N2/PP3PPP/R1BQ1RK1 b kq -,f8e7
r2q1rk1/pp2ppb1/3p2np/3P4/2P2p2/2NB1N1b/PP3P1P/R2QK1R1 b - -,e7e6
r2q1r2/2p1ppkp/p1np2p1/1p1n4/3PP1b1/2QB1N2/PPP2PPP/R3K2R w KQ -,e4d5
5kr1/ppp5/2np2p1/2b1p3/4P2N/2PP2B1/PP2KPP1/R7 b - -,c6d8
1q4k1/p2n1pp1/7p/Q2RPP2/6P1/5N1P/1r3K2/8 w - -,f2g3
5k2/8/5Bp1/7p/R1B5/3bbPP1/5r2/7K b - -,d3c4
7k/p5p1/1q6/7p/1PP5/P7/2Q5/1K1R2r1 w - -,c4c5
r1r3k1/1p2q1p1/1b2b2p/4p3/p1PpP3/P3PRPP/1B4BK/2RQ4 b - -,d4e3
r5k1/p3p2p/1p2N1p1/2p1P3/2nP4/2P5/P5PP/2R3K1 w - -,c1e1
rn1qkb1r/ppp2ppp/4pn2/3p3b/2PP2P1/4PN1P/PP3P2/RNBQKB1R b KQkq g3,h5g6
3q1rk1/rp1b1pp1/p2p2p1/3P4/3N1R2/8/PPP1Q1PP/5RK1 b - -,a7a8
8/p2k4/1p3ppp/1P6/1R1B1rP1/Pn1P1P2/3K2P1/8 w - -,d2e3
r1b1k1nr/pp3qpp/2n1p3/3pPp2/1b1p4/3B1NQ1/PPP2PPP/RNB1R1K1 w kq -,e1e2
8/p3Rpkp/6p1/8/8/5P2/B1r2KPP/8 w - -,e7e2
r2q1rk1/1p1nbppp/1np1p3/8/4B3/PN1PQ1P1/1BP2P1P/RR4K1 b - -,b6a4
2r3k1/1b1q1pp1/p2p1n2/1p1P3p/1P2pP2/PB2P2P/3Q2P1/2N2RK1 b - -,d7f5
4k3/5p2/pp2b1pp/2np4/P2N2P1/1P2P2P/5P2/3B2K1 b - -,a6a5
4b3/8/6p1/5p1p/2k2K1P/6PN/8/8 b - -,c4c5
1kr4r/pp1b3p/1qn1pp1b/3p4/1P1P2P1/P1NQPN2/1K2B2P/3R3R w - -,d1b1
5K2/8/1Q5k/5pq1/8/8/6p1/8 b - -,h6h5
6k1/Q3pp1p/2p3p1/5b2/P7/2q2PP1/P4K1P/3B4 b - -,c6c5
b4r2/p4rk1/Pp1q2pp/2pPppb1/4P3/1P1B1PP1/4QBKP/3R1R2 b - -,g5e7
r1b2rk1/pp4p1/4p2p/2P1qpb1/1PN5/2P1P1P1/P3Q1BP/R4RK1 b - -,e5c3
8/1R6/Q1bk1p2/7P/4P3/P1p3P1/7q/4nK2 b - -,h2h1
r3kb1r/4npp1/p3p3/q2pPb1p/1p1B3P/3N4/P1PQNPP1/R3K2R b KQkq -,e7c6
2r4r/pp2Qppk/2b2n1p/4p3/2B1P3/7P/PP3PP1/2RR2K1 w - -,c4f7
5k2/4pp2/1n1p3p/2pPbP2/1pP3P1/1P1N3r/8/3B1RK1 w - -,f1f3
7q/8/6Q1/6K1/7P/8/8/k7 b - -,h8e5
4rr2/pp1n2pk/2p3p1/2P5/1PBpPqP1/5N2/P5Q1/2R1R1K1 w - -,g2h3
r2r2k1/pp1q1pp1/n3pn1p/2b5/3N1B2/2P2N2/PP2QPPP/R4RK1 w - -,a1d1
8/6kp/1pR3p1/5p2/2P4P/2r3P1/5P2/5K2 b - -,c3c2
8/8/6K1/8/1pR1rk2/1P6/8/8 w - -,c4c8
1r2r1k1/1bqn1pb1/2pp1npp/p2Pp3/2P1P3/5NNP/P1BBQPP1/R1R3K1 b - -,d7c5
8/5pkp/R5p1/8/p1P5/7P/2qNK1P1/8 b - -,h7h6
8/pn1kn2p/1p3Qp1/4p3/1P2P3/8/P1q3PP/2B2RK1 w - -,f6e5
r1b2rk1/1pq1bpp1/p1nppn1p/8/P2QP3/1NN1B2P/1PP1BPP1/R4RK1 w - -,d4d2
6k1/1R4p1/2p4p/b2r1P2/6P1/4BR2/r6P/5K2 w - -,f3f2
3r4/R2nbpk1/1pBp1np1/3Pp2p/KPN1P2P/4BP2/6P1/8 w - -,a4b5
r1bqkb1r/pp1p1ppp/4p3/P1p5/2BnP3/2NP4/1PP2PPP/R1BQ1RK1 b kq -,f8d6
r6r/3k4/bqn2p2/4pP2/1p1nP2p/1Pp1BB1P/2P3RK/R3Q1N1 w - -,a1d1
r5k1/1q4p1/3R4/p3Q3/r3p3/5P1P/bP1R4/K7 b - -,a2c4
3rr1k1/ppp2ppp/2nb4/7q/3P4/P1Q1BN2/1PP2PPP/R4RK1 w - -,f1e1
r3k1nr/ppp1qppp/2n5/4pb2/2Pp4/1P1P1NP1/P2NPPBP/R2Q1RK1 b kq -,g8f6
3q2k1/5pp1/1p4b1/p1p5/1n3B2/1Q3B2/5PP1/6K1 w - -,b3a4
3r1rk1/ppp1bppp/1nn3q1/4p3/8/2PbB2P/PPB2PP1/RN1QNR1K w - -,c2d3
2r1k3/p1q2p1N/1n2pQp1/1p5p/1P5P/8/P4PP1/4R1K1 w - -,f6h8
5b2/8/p1k1bp1p/1p2p1p1/1Pn1P2P/P1NB1PP1/5K2/2B5 w - -,h4g5
2rr1k2/5p2/1p2pnn1/p2p3p/3P2pP/4P1P1/PP1BKPN1/2RR4 b - -,f6e4
r4rk1/pp1n2pp/2p1p3/6Nb/1PPPp3/1N2p3/P4PPP/R1R3K1 w - -,f2e3
r4rk1/pbp3pp/1p1p1nq1/3P1p2/1PP1pP2/P3P3/1BQ1B1PP/3R1RK1 b - -,a7a5
r4rk1/p2q4/4pp1n/3p3Q/7P/P2R4/5PP1/4R1K1 w - -,d3g3
4r1k1/p2q1pb1/2bB3p/1p3pp1/2P5/1P2N2P/1P1Q1PP1/4R1K1 w - -,c4c5
6k1/8/6p1/pp2p3/6Np/1P1nK2P/P5P1/8 b - -,d3c1
3R4/2r2pkp/R5pn/8/6P1/5P2/6K1/8 w - -,a6a8
3rk2r/1pq4p/p1p1bp2/4p1p1/2P1Pn2/PP2QN1P/2B2PP1/R4RK1 w k g6,a1d1
8/4kpp1/1R2p3/8/P6r/4P3/4KP2/8 w - -,a4a5
1rb1r1kb/1pq2p1p/p2p2pB/2pPn1Nn/P3N3/6PP/1P1QPPB1/2R1R1K1 b - -,b7b5
1R6/5ppk/7p/8/1p5P/1r4P1/5PK1/8 w - -,h4h5
7K/8/4k1PR/8/8/8/6rp/8 b - -,h2h1q
r2q1k1r/1bp2pb1/pn1pp1p1/Bp2Pn1p/3PNP1P/3B1N2/PPP2QP1/2KR3R b - -,b6c4
8/3kp3/3p2BB/7p/r7/5qPP/5PK1/8 w - -,g2f3
1q1b2k1/5p2/3p1pnQ/1r5N/1P6/2R4P/4B1PK/8 b - -,b5h5
r1b2rk1/ppqn1pbp/2pp2p1/4p2n/3PP3/2N1BN1P/PPPQBPP1/3R1RK1 b - -,f8e8
1Q3K2/8/5pk1/8/4q1p1/8/8/8 b - -,e4e5
3r2k1/1b1rn1p1/pb2p2p/1p2Pp1q/1PpP1P1P/P3BNP1/2R2K2/Q2R2N1 b - -,b7e4
r1bqkb1r/pppn2pp/2n1p3/3pPp2/2PP4/1P3N2/PB1N1PPP/R2QKB1R b KQkq c3,c6e7
8/4k3/3p1b2/2pPn3/2P1K3/1P5B/8/4B3 b - -,e5g6
8/p3r1k1/Pb4p1/5p2/2R2P2/1B2P3/5P2/5K2 w - -,c4c6
6k1/1p3pp1/p2r4/3r3p/P1Rp4/6P1/P3PP1P/3R2K1 w - -,c4c8
1r1qr1k1/1b1n1ppp/pP1b1n2/2pP4/2P5/2N2NP1/2Q2PBP/R2RB1K1 b - -,d7b6
r1b1rbk1/5ppp/pq3n2/4pN2/P1p1P1P1/2B4P/BPP4K/R2Q1R2 b - -,f6e4
rn2kbnr/1pqb1ppp/p2pp3/8/3NP3/2N3P1/PPP2PBP/R1BQK2R w KQkq -,e1g1
rnb2rk1/ppp1ppbp/6p1/4P2n/5P2/2N2N2/PPP3PP/R1BK1B1R w - -,f1d3:d1e1
r1bqk2r/1p1pbppp/p1n1pn2/2p5/4P3/2N3PN/PPPP1PBP/R1BQ1RK1 w kq -,h3f4
6k1/1p2qppp/5n2/p1b5/1P1p2b1/P2P2P1/2Q2PBP/R1B1rNK1 b - -,a5b4
6k1/5pb1/1p4q1/p5N1/PpPp4/1r4PN/6Q1/7K b - -,g7f6
2Q5/5q2/7k/1p1p2p1/p2Pp2n/2P3N1/7K/8 w - -,c8h8
1Q4R1/5p1p/5bpk/8/5Q2/6Pb/4r2P/6K1 b - -,f6g5
7r/4ppk1/7p/q3p1p1/8/2rQ3P/2PR1PP1/3R1K2 w - -,d3e2
6k1/n1B4p/4rbp1/2R5/K7/P4N1P/5PP1/8 w - -,c7e5
r4rk1/p1pqb2p/1pN2pp1/3n4/P2P4/8/3BQPPP/1R3RK1 w - -,e2c4
3r1rk1/1bq1bp1p/p3pp2/2p2P2/4N3/1P1B1Q2/P1P3PP/4RRK1 w - -,f3h5
r1q2rk1/ppp1n1bp/3p1np1/1PP1p3/8/Q1NP1Np1/P2BPPKP/1R3R2 w - -,h2g3
3q3k/5p2/r2p1Pp1/1b1NnB1p/p1Pp3P/P2P2P1/8/2Q3K1 b - -,d8f8
