8/8/7p/5k2/1pB5/1P4PP/b2K4/8 b - -,f5e4
r2q1rk1/1p2p1b1/p2p1p1p/3Pnbp1/2PN3P/1P2B3/P2QBPP1/2R2RK1 b - -,f5d7
4r1k1/5p1p/6p1/1R2Bb2/8/1P6/P2b2PP/3R2K1 b - -,d2e3
4r3/5pk1/1ppr2p1/p4p2/P2P3P/1PRB2P1/4NK2/8 w - -,d3a6
r4rk1/1p2bppp/p2p1n2/q3p3/4PPb1/1BN1BQ2/PPP3PP/R4RK1 w - -,f3f2
2br2k1/p1p3p1/1p2p2p/8/2P1N3/3BpP2/PP4PP/2K1R3 b - -,d8d3
4k3/4bp2/8/3QPR1r/1PpP3p/P1q5/6PP/5RK1 b - -,h5f5
4r3/1p3kp1/7p/8/8/8/PP3bPP/3R1K2 w - -,f1f2
4r1kB/p1n1pq1p/1p4p1/3b1p2/PP6/5B1P/1Q3PP1/3R2K1 w - -,f3d5
2R5/8/7r/2n5/2k5/8/4K3/8 w - -,c8d8
2r2rk1/1q3pp1/1p1ppn1p/p7/3P1N2/3Q2P1/PP2PP1P/2RR2K1 w - -,d3b5
2R3k1/5p1p/6p1/3p4/3P4/q3P2P/4BPP1/6K1 b - -,g8g7
r2q1bkr/pppn2p1/6p1/3pp1Pp/3Pn2P/3BPQ2/PPPN1P2/R1B1K2R w KQ e6,d2e4
6k1/2Q3pp/4p3/1r2p3/8/1n6/P2qK1PP/2R4R w - -,e2f3
2rqr1k1/pb3pb1/1n1p1npp/1ppP4/P3PP2/4B1P1/1P1N1NBP/R2QR1K1 b - a3,b5a4
6k1/5n1p/p2p2p1/3n4/N2b1PB1/7P/1P4PB/7K b - -,d5b4
4B3/4p3/4Pkp1/3p3p/1b5P/1P2P1P1/4K3/8 w - -,e2f3
r1b2rk1/5pbp/ppQ2np1/P1n5/1B4q1/1B1p1NN1/1P3PPP/R3R1K1 w - -,b4c5
8/1p1Q2kn/2p2bq1/p3p3/P3P3/2N3P1/1PP2PK1/8 b - -,g6f7
1k1r3r/pp1q1p2/3bp3/5n2/1P1P1Pp1/PQN1B1Pp/7P/2R2RK1 w - -,c3e4
rn1q1rk1/pbp1bppp/4pn2/P3N3/1pBP4/4P3/1P1N1PPP/R1BQ1RK1 b - -,a7a6
1rb3k1/2p3pp/4p3/p1ppN3/5P2/P3K2P/1q4P1/3Q1B1R w - -,d1h5
1r6/8/6k1/R5P1/6K1/8/8/8 w - -,a5a6
4r3/n2kp2R/2p1Nr1P/p1Pp4/3N1P2/PP1b2P1/8/4R1K1 w - -,f4f5
1r1b1rk1/5ppp/p2p2n1/1q1NnR2/4P3/1BB4Q/1PP3PP/5R1K w - -,f1a1
5rk1/p1n3qp/1b2P3/3p4/Q2P1p2/P4R1B/4K3/8 b - -,g7d4
r1r3k1/p6p/6p1/1bPP2q1/8/P3nR1B/6R1/2Q3K1 b - -,g5d5
r1b1r1k1/1pqnbp1p/2pp1np1/p3p3/2PPP3/2N1BN1P/PPQ1BPP1/2R2RK1 b - -,f6h5
8/2B2k1p/2n2p2/5P2/n3P3/Pb4P1/1P1K2BP/8 w - -,g3g4
2kr3r/pp5p/2p1bqp1/2B1pp2/4P3/3PQ1PP/PPP1N1B1/R5K1 w - -,c5a7
3rq3/p5pk/1p3p1p/1P2r1nP/P1P1bN2/Q3R3/4B1P1/5RK1 w - -,f1e1
2r3k1/5p2/p5pp/1p1Q3P/1q2r1P1/5P2/P1P4R/K2R4 w - -,d5e4
3r2k1/1r1nbppp/p1qp4/1p2p3/4P3/BPPR2P1/P2Q1PBP/R5K1 w - -,a1d1
r1bq1rk1/p3n1bp/3p1n2/1NpPp1p1/2P1Pp2/3N1P2/P3BBPP/2RQ1RK1 b - -,g5g4
q1b1r1k1/5Rp1/1QR1p2p/pp2P2P/1P3p2/P4N2/5PP1/6K1 b - -,g8f7
8/r4pk1/P4qpp/R1pp4/1n3Q2/1P4PP/5P2/5BK1 b - -,f6f4
2r2r1k/pb1q3p/1p1p1p2/3N1P2/nP6/5N2/2P1RPPP/R2Q2K1 w - -,e2e7
2r3k1/1pN3pp/p7/2b2P2/P2R4/7K/1PP2R2/8 b - -,c5d4
3r4/1p1n2kp/p2P2p1/8/PPBb4/2N4P/6P1/5R1K w - -,f1f7
2rr2k1/1bq1bppp/p3pn2/1Pp5/3n1P2/P1NPP2P/1B2B1P1/R2QNRK1 b - -,d4b5
rn1q1r2/pp3pkp/2pp1np1/4p3/3PP2P/2N2P2/PPPQ1P2/R3KB1R w KQ -,e1c1
8/8/5k2/B2p3p/2bP4/3nNpP1/8/5K2 w - -,f1g1
1B6/7p/6p1/3kpp2/2n4P/4K1P1/5P2/8 w - -,e3d3
1r1q1rk1/pp1bppbp/3p1np1/2pP4/PnP1P2N/2N3P1/1P3PBP/R1BQ1RK1 w - -,h2h3
q1bk1b1r/p2ppp1p/1pn2p2/8/8/6P1/PPP1PP1P/R1BQKB1R w KQ -,f1g2
rnb2rk1/ppp1qppp/4p3/2n1P3/2P5/5N2/PPBN1PPP/R2QK2R b KQ -,b8c6
8/8/pB6/Pp1p4/2pP4/2Pkr3/KP6/8 b - -,d3c2
5r2/3b1pkp/pr1p2p1/1ppPb3/2P1P3/1P1BNR1P/P5P1/1R4K1 w - -,g1f1
2r4r/pp6/3k1pp1/2nPpp2/8/BP6/P4PPP/2R1R1K1 w - -,c1c3
8/4b3/4n3/p2kp3/Pp2NpP1/1P3P2/2N1K3/8 b - -,e7d8
r3k2r/1pqn1pp1/p1pbbn1p/4p3/P2PP3/2PB1N2/1P4PP/RN1Q1RBK b kq a3,e8c8
1R6/6pk/2NKN2p/8/5P2/4n1P1/3r3P/3b4 w - -,d6c5
4r2r/p1p2bkp/3pqpp1/2p5/2P1PP2/2QB2R1/PP4PP/4R1K1 b - -,e8e7
r1bqr1k1/2n2ppp/pp1p1n2/2pP4/4P3/P1N2P2/1P1BB1PP/1R1QK2R w K -,e1g1
2kq1b1r/1b3ppp/1n2p3/p1p1P3/PpN1P3/1Q4P1/1B3PBP/2R3K1 w - -,c4a5
2r1r1k1/p3q1pp/1p2b2n/3pPp2/2pP4/2NBP2P/PP3QP1/R3R1K1 w - -,d3e2
r1bq1rk1/1p1nbppp/p1p1pn2/8/2PPN3/3B1N2/PP3PPP/R1BQ1RK1 w - -,d1e2
r1b2r2/2pn1p1k/3p1qpp/p7/1p2PPPP/4Q3/PPP1B3/1NKR3R b - -,f6e6
r1bq1rk1/pp2bppp/2n1pn2/2pp4/4P3/2PP1N2/PPQNBPPP/R1B1R1K1 b - -,b7b5
4R1k1/3q2n1/3p2p1/3P4/1p3PP1/6K1/4Q3/5B2 b - -,d7e8
2R5/6pk/1Np5/p6p/Pr6/2b1B2P/2b2PP1/6K1 b - -,b4b1
r7/p3Q2p/6bk/8/8/2Pq4/5P1P/1R3RK1 w - -,e7h4
3rr1k1/1b2qppp/pp3n2/4p3/P2nP2B/2N2B2/1PP2QPP/R4R1K w - -,f3e2
3k3r/1bp2pp1/p4n1p/1p2p3/4P3/1PN2P1P/1PP1B1P1/2KR4 b - -,d8e7
8/5pk1/2pp2p1/2b1p2p/2P1P2P/3B2P1/P3QPK1/q7 b - -,g7f8:a1d4
8/6k1/4R3/6P1/4pK2/6P1/8/5r2 w - -,f4g4
4rrk1/p1qb2pp/1ppb4/3p1p1Q/2PP4/3B4/P1PB1PPP/1R2R1K1 w - -,h2h3
r1b4r/ppk1p1bp/2p2ppn/4P3/5P2/2P2NP1/PP1NK1BP/R1R5 w - -,e5f6
6bk/4q3/1p1p2pP/p1pPp3/P1P1n1p1/1P1B2P1/6K1/3R1R2 w - -,d3e4
2k4r/1pp2ppp/p7/q1nN1b2/8/7P/PPP1Q1B1/R5K1 w - -,d5e7
3rk1r1/4b1p1/2q2pP1/2p1nP2/2PpNB2/8/1P2Q1K1/2R4R w - -,f4e5
r6k/p5pp/2p5/4p3/8/2P2r2/PP1R1P1P/1K5R w - -,h1e1
8/4pk2/3p4/1r1P2r1/1p2R3/1PbR4/2N1KP2/8 w - -,d3f3
8/1p2Bpk1/pN1p2p1/5P2/2P3n1/1P1p3P/1Pr5/R5K1 b - -,g4f2
r4r1k/2n1b1pp/3p4/q2Ppb2/8/P1NBP2P/1P1NQ3/1K3R1R b - -,f8b8
8/5pk1/6p1/p3b2p/3pKN1P/1b1B2P1/1P6/8 b - -,f7f6
4r3/R1R3pk/7p/5r2/8/5P2/6PP/6K1 b - -,f5g5
rn1q1rk1/pp3ppp/4bn2/4N3/Pb1p4/2NBP3/1P3PPP/R1BQK2R w KQ -,e3d4
8/r7/P1KP4/2p2k2/8/2P3p1/8/4R3 w - -,c6b6
3r2k1/q3pp2/7p/4b1p1/b1Q1B3/2p3P1/2K1RPP1/1R6 w - -,b1b3
r1bq1rk1/pp1p1pp1/2n1pn1p/2b3B1/2P4P/P1N2N2/1PQ1PPP1/R3KB1R b KQ h3,d7d5
8/1pk2r2/3p1n2/2pP1P2/PpP5/1P2q3/3NKR2/8 w - -,e2e3
r1b4r/1pq1bkpp/p2ppp2/2n5/2PQP3/BP3N2/P3NPPP/R2R2K1 w - -,e2c3
8/pq2pp1k/6pp/4b3/4n3/2PQP2P/P1R2PP1/7K w - -,f2f4
r7/r4p2/1pbNp1kp/p4p2/1PP2P2/R6R/P4KPP/8 w - -,b4b5
8/8/6K1/8/7P/6k1/8/r7 w - -,h4h5
8/8/2rk4/1Bp1b2R/4Pp2/5K2/5P2/8 b - -,c6b6
2k3rr/8/b4P2/N3qp2/Pp1p4/2P4P/1P3RP1/R2Q3K b - -,e5a5
r1b2rk1/pp1nqpbp/3p1np1/2pPp3/2P1P3/P1N2N2/1PQ1BPPP/R1BR2K1 b - -,f6e8
1k5r/ppq2p2/2p1p3/2P1P2p/5n2/1Q2NB1b/PP3PrP/2R2RK1 w - -,e3g2
r2qr1k1/1ppbppbp/1n4p1/3P4/p2N4/P3P1P1/1P1QNPBP/R4RK1 b - -,b6c4
r3r1k1/2q1bppp/p2p1n2/1p6/P2pP1b1/1B3N2/1P3PPP/R1BQR1K1 w - -,h2h3
r3kb1r/p4ppp/q3p3/8/P7/1Q3P2/1P3P1P/R1B1K2R b KQ -,a6a5
1r6/1P1kb2R/B1p1ppp1/B2n4/8/8/5P2/6K1 w - -,g1f1
8/R6p/6pk/5r2/5PK1/8/8/8 b - -,f5f8
qr4k1/3nppb1/r2p1npp/2pP4/4PB2/2N2NPP/PP3PK1/R2QR3 w - -,e1e2
6r1/pp1b1k1p/2p1p3/4Pp2/1BPPQR2/P3P1r1/1P3KPq/6R1 b - -,f7e8
8/8/1R4p1/3P2k1/1p2K1P1/4P3/8/1r6 b - -,b1b3
rn3rk1/1pq3bp/2ppbnp1/4pp2/1PP5/2NPP1P1/4NPBP/1RBQ1RK1 w - -,b4b5
r1bq1rk1/pppn1pb1/3p3p/3Pp1pn/2P1P2P/2N2NB1/PP2BPP1/R2QK2R b KQ h3,h5g3
6k1/3r1p2/1pN1rb2/1P4p1/3p4/5PP1/R3P1K1/3R4 w - -,e2e4
1r4r1/p3pk2/3p2p1/2q1P3/1p2bP2/8/PPPQ2PP/1NK1R3 w - -,e1e4
r2qr1k1/pbpn1pbp/1p3np1/4p3/2P2B2/2N1PN1P/PPQ1BPP1/R4RK1 w - -,f4h2
8/8/8/4p2k/8/4rPP1/R5K1/8 b - -,h5g5
8/4Rpkp/1p1r2p1/p2P4/r4p2/5P1P/P2R2P1/6K1 w - a6,g1f2
1r1q1rk1/2p1npp1/p2p1n1p/2bP4/P2p4/2P2N1P/B4PP1/R1BQ1RK1 w - -,f3d4
6k1/3r1p2/5npQ/2pqp2p/3b4/P5NP/5PP1/2B1R1K1 b - -,d5d6
8/5ppk/r4n1p/8/rp6/4PBP1/PR1R1P1P/6K1 b - -,g7g6
1rbq1r1k/p3n1bp/6p1/1pp5/3PP3/P4NP1/4QPB1/1RB1R1K1 b - -,c5d4
5k2/5p2/2R5/2P5/2r5/6Pp/5PK1/8 w - -,g2h3
8/2R5/4pk2/5pp1/8/1b1BKPP1/r1p4P/8 w - -,c7c5
1b6/6Q1/P2k3p/8/5q2/1p5P/8/5B1K w - -,h1g2
8/R6p/1p1p2pk/8/Pr5P/6P1/5P2/6K1 w - -,g1g2
8/3r4/4bk2/1p3p2/1P1n3N/P3R1Pp/2R4K/5B2 b - -,d4c2
6k1/R7/4p2P/6PK/5P2/8/8/6r1 w - -,h5g6
1rb2rk1/pp2qp1p/3p2n1/2pPb1pN/Pn2P1P1/2N4P/1P2QP1B/RB2R1K1 w - -,h2e5
6k1/Q4pp1/3q3p/3Rp3/p3P3/2P3P1/5P1P/1r4K1 w - -,g1g2
8/pp4pk/2pb1np1/8/3P4/4R2P/PBq5/6QK w - -,g1g2
r1b2r1k/1p2b1pp/n1n3q1/p3p3/2PpN3/PP1P3P/2N1QPB1/1RB1R1K1 w - -,g1h2
rnbq1rk1/ppp1bppp/5n2/3p4/3P4/2N3P1/PPP1QP1P/R1B1KBNR w KQ -,f1g2
r2q1rk1/ppp1bppp/2n5/8/3n4/1B2BQ1P/PP3PP1/RN3RK1 w - -,e3d4
4r3/1R3ppk/2p3bp/1p6/5P2/1BP5/P4KPP/8 b - -,f7f6
2r2rk1/1bqp1pp1/p3pn1p/5P2/1p1N3Q/3BR3/PPP3PP/2KR4 b - -,e6e5
1r1rb1k1/4pp2/1q4p1/ppN4p/8/bP1PQ1PB/2R2P1P/4R1K1 w - -,d3d4
3R4/8/8/4k3/PK6/8/1r6/8 w - -,b4c5
4r1bk/pp3r1p/3R4/4np2/2P1p3/1P2B1PP/P5BK/5R2 b - -,h8g7
r3r3/pp3pk1/4q1n1/P2p1pRp/7P/3B4/1P1Q1PP1/2R2K2 b - -,a8c8
4k3/r1B2p1p/p2P2pb/Pp2Pb2/8/5PP1/R3BK1P/8 w - -,f3f4
2r3k1/5pp1/1p1Q3p/p1nRP3/q6B/2P2P2/P5PP/6K1 w - -,h4f2
q6k/r2np3/P2p1p1p/3P2p1/3QPP2/R5PP/7K/5B2 b - f3,d7c5
4R3/3r4/p5p1/2KP3p/5k2/3b3P/6B1/8 w - -,d5d6
8/2R5/1rpbkp2/2p1p2n/p1P1P2N/P1B5/1P3PPK/8 w - -,c7h7
r4rk1/2p1ppb1/6p1/p2q3P/P1pNb1P1/4B3/1PP1Q3/2KR3R w - -,d4f5
2r3k1/1b4q1/p2ppr2/4n3/Pp1N4/4R3/1PPQ2PP/R4BK1 b - -,f6g6
4k2r/ppp2p2/2p1b3/4P1p1/7p/P3N2P/1PPR1PP1/6K1 b - -,e8e7
r2qkb1r/pp1bnppp/2B1p3/2ppP3/5P2/2N2N2/PPPP2PP/R1BQK2R b KQkq -,d7c6
r4rk1/1pq1ppbp/p1p1b1p1/2Pn3n/Q2P4/2N2NPP/PP1B1PB1/R4RK1 w - -,f3g5
r1q3k1/pp1np1bp/3pp1P1/8/4P1P1/2N1Br2/PPPQ4/2KR3R b - -,h7g6
8/5pk1/6p1/5b1p/5P2/5BP1/3rR2P/6K1 b - -,d2d3
4rqk1/bp3p1p/p2r1np1/3p4/1P1N1N2/P3P2P/1Q3PP1/2RR2K1 w - -,c1c7
r5k1/3p1rpp/2p1p3/2BnPp1q/1PQ2P2/6P1/4P1KP/2RR4 w - -,c1a1
4r1k1/2b3pp/q7/p7/R1pPrpP1/5Q1P/3B1P2/R4K2 w - -,d2a5
8/5p2/1R6/5k1p/2r5/1p6/5KP1/8 b - -,c4c3
1R2R3/p2r1k1p/1n3pp1/8/5p2/P6P/5PP1/6K1 b - -,g6g5
1r6/4P3/6K1/1p1p4/2kP4/p1P2R2/8/8 b - -,b8e8
8/1Pb5/k3r3/1R6/K1P5/8/8/8 w - -,b7b8q
2bq2k1/5pb1/p1p1p1p1/1r1pP1Nr/3P1P1P/3R2Q1/PPP2B2/2K3R1 b - -,d8c7
2r3k1/1p3p2/p5p1/3P3p/P6P/1P4P1/5R1K/8 b - -,c8d8
8/5k2/5pp1/7p/5P1P/2K3P1/8/8 w - -,c3d4
1n3rk1/2qb1p1p/3p2p1/3P3n/1p2P3/2b1B3/3NBPPP/Q4RK1 w - -,a1b1
r3k2r/pppqbppp/3p4/4n3/3N4/1PP1B3/P1P1QPPP/2KR3R b kq -,e8g8
3rr1k1/p4ppn/1p1n1q1p/2pPpP2/2P3PP/2PBB3/P6Q/4R1RK b - -,e5e4
8/8/1p1p2k1/p2Pp3/P2pP1PP/1P5K/3b4/5B2 b - -,d2e3
r3k2r/pp1bp3/1q3p2/4b2p/P3P1p1/3P2P1/R2B2B1/3QNR1K b kq -,h5h4
r2q1rk1/1p2p1bp/2p2pp1/p2p1b2/PPnP1P2/BQP2N2/5RPP/1N2R1K1 w - -,b4b5
k4nrr/1p6/p3pq1b/3p1pNQ/2pP3P/P1P3P1/1P4K1/2B1R2R w - -,h5e8
2r5/4ppkp/2r3p1/8/1P3P2/R1PR3P/6K1/8 b - -,g7f6
r1r2nk1/p5b1/3pb2p/Pp1npppN/8/3PPN2/PB2BPPP/R1R3K1 b - -,g7h8
5k2/1pR5/2b2p1p/5P2/2P3PP/4K3/4B3/6r1 b - -,g1h1
r3q1k1/bp1b3p/p2p2p1/3P1pP1/PP2rP1n/R2B4/2N4P/2BQ1R1K b - -,d7a4
6k1/7p/R5p1/2p2rP1/P4n2/3rB3/7P/4R2K w - -,a6a8
7k/2nb2b1/p2p3p/3Pnpp1/4p3/PBN1P1P1/3B1P1P/4N1K1 w - -,g1g2
rnb1kb1r/1pq2pp1/p2ppB1p/8/3NPP2/2N5/PPP3PP/R2QKB1R b KQkq -,g7f6
5r2/6kp/Bp3pp1/2Q5/1p6/8/P5P1/R5K1 b - -,b6c5
2r2rk1/1q2bppp/3p1n2/pp2nP2/5B2/P1N2B2/1PP3PP/3RQR1K b - -,e5f3
2br1bk1/4qp1p/p1p2np1/2p1p3/1rN1P2P/1PR3P1/PNQ2PB1/4R1K1 b - -,b4b8
1rq2rk1/2p2ppp/p1Pp1b2/3P4/1PQp4/R2P1N2/5PPP/5RK1 b - -,b8b5
3rn1k1/1q3p1p/2R1p1p1/pB1p4/Pr1P1QP1/1P3P2/7P/2R3K1 b - -,b4b3
5k2/p5p1/1p1b3p/8/1P1n1PP1/8/B2B2PK/8 b - -,d4c2
8/5pk1/3Q4/2p5/2P2pK1/PP5p/3P2q1/8 w - -,g4h4
2bq1rk1/5pp1/3n3p/3p4/PQ1N4/3BP3/5PPP/5RK1 b - -,d8c7
6R1/7p/7k/5P2/r6P/7K/8/8 b - -,a4h4
6k1/7p/8/2p2PP1/3p3P/bP6/2PK3R/5r2 w - -,f5f6
8/7R/5k1p/p2r4/6PK/8/8/8 b - -,f6g6
2r2rk1/pp3p2/4b1p1/2q1P2p/3p1Q1P/3B4/PPP3P1/1K1R1R2 w - h6,f4g5
8/p4q1k/4prp1/3pR3/P2P3p/1P1Q4/1KP5/8 b - -,f6f5
2r3rk/pp1n1ppb/q3p2P/2p1PnBP/3p2N1/2PP4/PP2QPBK/R2R4 b - -,g7h6
8/5p2/4p1k1/1p2P3/1p1P2p1/1P1R4/4R1P1/q2K4 w - -,d1c2
8/5k2/p3pb1r/P1Bp1p2/3P1P2/6P1/3Q2K1/1q3N2 b - -,b1e4
3r4/p5k1/1r5p/3B2p1/8/P7/1b3PKP/3R1R2 w - -,a3a4
1b1rr1k1/p4pp1/4p2p/1BnbP3/8/1qB3N1/1P3PPP/R3RQK1 w - -,a1a3
8/p1Bpq1k1/1pn1p1p1/6p1/1bPPn3/P1N3Q1/1P3PP1/R3KN1r w Q -,g3e3
6rk/1p3p1p/p1q2p2/4r3/4R3/5QP1/PP1B1P1K/8 w - -,e4f4
6k1/6p1/4bn2/1Pp4p/1bP1pq2/1N2N3/4BPQP/6K1 b - -,h5h4
r1b2rk1/1pqpppbp/2n3p1/p1n5/2P5/PP2PN2/R2NBPPP/2BQ1RK1 w - -,c1b2
5bk1/p4p1p/4pp2/1p3q2/P1N5/1P2P1P1/5P1P/3Q2K1 w - b6,a4b5
1r4k1/p4pp1/7p/q2p4/2bPp3/P1N1P1P1/Q2K1PP1/R7 w - -,a2c2
3r1rk1/pbp2ppp/1p2p3/4P3/5BQ1/2Pq4/PP3PPP/R4RK1 b - -,d3g6
8/p1p1k1p1/1p2p3/2p1Pr1p/3nR3/P5NP/1P3PP1/6K1 b - -,f5g5
1n1rkb1r/pp3pp1/2q1p3/3pPnN1/N1pP1P1P/P3B3/1P3K2/3Q2RR b - -,b7b5
1rb1r1k1/1pq1bpp1/p1nppn1p/8/P2NPP2/2N1B1PP/1PP1Q1B1/R2R2K1 b - f3,f6d7
r6r/2pk1pp1/p2b1n2/1p1p3p/1P1P2bP/1N2B3/NPP2P2/R1K3R1 b - -,f6e4
3qr3/r4k1p/1p2pbpB/p1np4/2P2P2/1P6/P3Q1PP/1BR2RK1 w - -,c4d5
3r4/p5pk/8/r2P2P1/4p3/1P4P1/P1K1B3/R7 w - -,e2c4
8/5p2/4p1p1/4P3/K4P1p/7P/1P4k1/8 w - -,b2b4
r1bq1rk1/p4ppp/2pb1n2/3p4/8/2NB1Q1P/PPP2PP1/R1B2RK1 w - -,f1e1:c1f4
r1bqkb1r/pp1ppppp/5n2/8/2PQ4/2N5/PP2PPPP/R1B1KB1R b KQkq -,g7g6
rnbq1rk1/4bppp/2p1p3/pp1p3n/2PP4/5NP1/PPQ1PPBP/RNB2RK1 w - b6,c4c5
8/6b1/p2k2pp/8/P7/1P1N3P/2nNKPP1/8 w - -,d2c4
8/2r2Bk1/6Pp/R7/1pP4P/6P1/3n2K1/8 b - -,b4b3
8/2P5/3Q1ppk/1p6/1P5p/7P/6P1/2q3K1 w - -,g1h2
2r5/3Rnpk1/p1rR1N1p/4p1p1/8/1P2B1PP/P3PP2/6K1 b - -,e7f5
5b2/3q2k1/3p1p2/pNpPp2Q/1nP1P2P/1P6/8/3B1K2 w - -,d1g4
1r1b1k2/p3nppp/4b3/1p1Np3/4B3/2P5/PP3PPP/R2R2K1 b - -,f7f5
5rk1/p1nq2p1/4p2p/1pp5/2Pb4/PPN1N3/1B2Q1PP/R5K1 b - -,b5c4
8/5ppk/6n1/1p1q4/7p/P1Q4P/1P1r2PB/6RK w - -,b2b4
rn1qk2r/1pp1ppbp/p2p1np1/8/3PP1b1/2NBBN2/PPPQ1PPP/R3K2R b KQkq -,b8c6
7k/6b1/p1bpr2p/6p1/1pq3p1/4P3/1PQ1NPPR/3K3R b - -,c4d5
2Q5/5p1p/P2pp2k/4q1p1/8/4B1PP/r4P1K/8 w - -,c8f8
8/8/6P1/4Qp2/1KP5/3k4/8/1q6 w - -,b4a5
7k/pp4p1/7p/3Q4/Pq5P/1P4P1/5P2/6K1 w - -,a4a5
rnbqkb1r/p1pp2pp/1p2pn2/5p2/2PP4/4PN2/PP2BPPP/RNBQK2R b KQkq -,c8b7
r2r2k1/pp4pp/5p2/4p3/8/P2P1P2/1P3P1P/2KRR3 w - -,e1e4
r5k1/p2b2pp/1qnbpr2/1p1p4/2pP1P2/2P2NP1/PPB1Q1P1/R1B2RK1 b - -,a8e8
8/5Q2/6pk/8/Pp1r4/1P1p4/KP6/8 w - -,f7f6
8/1R3p2/6p1/4P3/r2Pk1p1/6P1/6P1/5K2 w - -,b7f7
1r4k1/1p2pp1p/p2p1bp1/q1r5/P1P1QB2/1P4P1/4PP1P/2RR2K1 w - -,f4d2
2n2rk1/p6p/1p1p4/1PpPqP2/8/1P3Q2/6BP/5R1K b - -,f8f6
2rn2k1/bp1bqppp/p3p3/8/1P2Q3/P1B1PN2/4BPPP/2R3K1 b - -,d7a4
1k6/p1r4p/3Q4/1P6/p1r2PK1/7P/7P/8 b - -,c4c5
1qr1r1k1/1b1n1pbp/p4np1/1p1Pp1B1/4P3/1PRB1PN1/3Q1NPP/2R3K1 b - -,g7f8
8/8/4R1KP/8/8/7r/4pk2/8 w - -,h6h7
rnbq1rk1/ppp1bppp/1n1p4/8/2PP4/2N2N1P/PP3PP1/R1BQKB1R b KQ -,e7f6
rn1qkbnr/pp2pppp/2p5/3p4/2P3b1/5NP1/PP1PPPBP/RNBQK2R b KQkq c3,g8f6:e7e6
3R1rk1/p4pp1/1p5p/n7/2P1pP2/P3P1K1/1B5P/1R6 b - -,f8d8
