8/6r1/P2P1k2/2pKR3/8/2P3p1/8/8 w - -,e5e1
r1bqkb1r/pp2pppp/2np1n2/1Bp5/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 b kq -,c8d7
r3k2r/1bqnbppp/3ppn2/ppp5/4P2P/2PP1NP1/PP3PB1/R1BQRNK1 w kq a6,c1d2
r1r2bk1/1b3p1n/p5pp/1p2p3/P3P1P1/1BP1BPN1/5KP1/R3R3 w - -,g3e2
1rbq1rk1/1p4bp/p2ppnp1/n1p5/P1P5/1PN2NP1/3BPPBP/R2Q1RK1 w - -,d2f4
3r1q1k/p4pp1/1n2p2p/2rnP3/b3N1Q1/P5P1/3B1PBP/R2R2K1 w - -,d1c1
r5k1/pp1n1pp1/1b1p1n1p/3P4/1P1Nr2B/4P3/4NPPP/3R1RK1 w - -,h4g3
3r1nk1/5pp1/4pq2/6p1/p5P1/5Q1P/PP2RPB1/3R2K1 b - -,d8d1
8/8/1p6/p5p1/2P2p1p/1P1Qq2P/Pk2K1P1/8 w - -,d3e3
r3N2k/pbpp1pq1/1p1b2np/4p3/2BPP2N/2P2Q2/P4PPP/R3R1K1 b - -,g6h4
5k2/2R4p/1BB3p1/4p3/1p6/1q2P1P1/5PKP/8 w - -,b6c5
rn1q1rk1/4ppbp/3p2p1/1PpP4/8/2N1P2P/1P1N1PP1/R2Q1RK1 b - -,b8d7
8/8/2p5/2P1kp1p/3R3P/4PP2/7r/5K2 w - -,f3f4
r1b5/pp2k2r/1n4R1/2p1p2n/4P3/1B2R2P/PPP1NP2/2K5 w - -,b3g8
5k2/2R5/5b2/8/5N2/7K/2pr4/8 w - -,h3g4
1r4k1/p1p1qppp/1r6/2NpPb2/2pP1P2/P1Q5/1P3RPP/R5K1 b - -,g7g6
r4rk1/pb1pq1pp/1pn1pn2/2p2p2/2PP4/P1QBPP1N/1P4PP/R1B2RK1 w - -,b2b4
r4rk1/1p4qp/1P4p1/pnNPp3/6P1/P3Q2P/5PB1/5RK1 b - -,b5d4
3q1rk1/p4pbp/2Npbnp1/1P2p3/1P2P3/2r1B3/P3BPPP/R2Q1RK1 b - -,d8c7
r1bq1rk1/1pp1n1bp/3p2p1/p1PPp2n/1P2p3/B1N2NP1/P3BP1P/R2Q1RK1 w - -,c3e4
3r1rk1/pp3ppp/8/7b/8/PQ2PN1P/R3qPP1/5RK1 b - -,e2a6
6k1/3p2p1/2bN3p/2P5/3r4/7P/4RKP1/8 b - -,d4d5
6k1/4r1p1/1NpB2p1/p1P3np/p2n4/8/1P3PPP/6K1 w - -,d6e7
1nb3k1/4qpb1/1p4pp/pPp5/P1Pp3N/3P2P1/5PBP/2BQ2K1 w - -,c1f4
8/3k4/8/p2P4/4Kp2/5N2/P7/2b5 b - -,d7d6
4r3/1p4k1/p2p2p1/P2P1p2/1PP1r1p1/8/6PP/R4RK1 w - -,a1c1
8/6pk/2Q1p3/1pP2p2/1qbPp2p/8/8/1KN5 w - -,b1c2
r5k1/3bppbp/3p2p1/1p1Pn3/4NB2/1R1P2P1/2r2PBP/4R1K1 w - -,h2h3
8/8/P4R2/6pk/5p1p/7P/r5P1/6K1 w - -,g1f1
2b1r3/1p1p2kp/3q1np1/r3p3/2Q1P3/p2P1NP1/5P2/B1KR3R w - -,c1d2
r1bqk2r/pp4pp/2nbp3/3p1p2/3P1P2/2PBBNnP/PP4P1/RN1QK1R1 w Qkq -,b1d2
2r5/5p2/p2k2pp/2p1p3/P2rP1Pb/1P1B4/2R1K2P/5R2 b - -,f7f6
rnbqk2r/pppp1ppp/5n2/2b1p3/2P1P3/2NP4/PP3PPP/R1BQKBNR w KQkq -,g2g3:f1e2
rr4k1/pp1q1p2/2ppnbpp/1P2p3/2P5/3PPPPb/P5NP/1RBQR1KB b - -,c6b5
r1bq1rk1/pp3ppp/1bn5/3p4/8/P1B1P3/1P2NPPP/2RQKB1R w K -,e2d4
3qb3/5pk1/p2b1p1p/np1p1P2/3P3B/4rB2/P5PP/1Q2R2K w - -,e1e3
3k4/3r1ppp/rP1n4/2RP4/8/6PP/4KPB1/2R5 b - -,a6b6
3r3r/1p5p/p3k3/4pn2/4ppN1/2P4P/PP3PP1/2R1K2R b K -,h7h5
5r2/p4rkp/1b1p2q1/1PpNp1p1/2P1Q3/3P3R/R4PPP/6K1 b - -,h7h5
1k1r4/1pp2RQ1/p1b5/2q5/7P/2N5/PKP5/8 w - -,a2a3
r2qk2r/1p2bpp1/1np1p2p/p4bn1/P1NP4/1QN3P1/1P2PPBP/R1B1R1K1 b kq -,b6c4
1k2r2r/1p1bbR2/pq1pp3/4p2p/4P3/2N3P1/PPPQB2P/1K3R2 b - -,b6d4
k1r2b2/pb3p2/1p3P2/P2qP3/3p1BQ1/1R1N2Pp/1Rr4P/6K1 w - -,f4d2
6k1/R5pp/3p1n2/8/P2P4/3K4/3B2PP/5r2 b - -,f1f2
4r2k/pppq3p/3p4/4P3/5Q2/8/PPP4P/1K1R4 w - -,e5d6
r1bq1rk1/pppn2bp/3p2pn/3Ppp2/2P1P2P/2N2N2/PP1BBPP1/R2QK2R w KQ -,h4h5
2r2rk1/1bqp1ppp/p3pn2/4n3/Pp1NP3/6P1/1PP1BP1P/R1QNR1K1 b - -,c7b6
r4rk1/2nb1pbp/2q1p1p1/pp1pP1B1/2pPP3/2P2N2/PPB1Q1PP/4RR1K w - a6,e2d2
r1bq1rk1/1p1nbppp/2n1p3/p7/2Pp3P/P2P1NP1/1P1N1PB1/R1BQR1K1 b - h3,d7c5
2b2rk1/r3bpp1/ppqppn1p/8/2P1P2B/1BN5/PP2QPPP/2R1R1K1 b - -,a7c7
rnbqkb1r/pppppppp/5n2/8/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq -,b8c6:e7e5:e7e6:d7d5:d7d6
r1bqk2r/2pn1pb1/p2pp2p/6p1/2pP4/3BPNP1/PPQN1PP1/R3K2R w KQkq -,d2c4
2rq1rk1/1p2bppp/p3pn2/n2p4/N2P1Bb1/P2BP3/1P2NPPP/2RQ1RK1 w - -,a4c5
3rqn1k/6p1/1p3p1p/pb1p1B2/1B1P3P/P5Q1/1P3PP1/6K1 w - a6,b4d2
3q4/3p1pk1/b3n1p1/p2Np3/8/3P2Pp/P3PP1P/2Q3KB w - -,c1b2
r3r1k1/1pqbn1pp/p2b1p2/3pn3/3N4/2P3B1/PP1NBPPP/R2QR1K1 b - -,a8c8
1b3rk1/1p5p/5N2/2P1r1pN/1P6/5RP1/5PK1/8 b - -,g8h8
r2q1r2/2p3bk/1p1p1Npp/p2Ppn2/2P5/PPN2P2/2Q2BPP/R4RK1 b - -,g7f6
r1b2rk1/1p2ppbp/3p1np1/q7/p1P1P3/2N1B3/PP1QBPPP/3R1RK1 w - -,e3d4
r2qr1k1/p2n1ppp/1ppppn2/8/2PPb3/PP3NP1/1B2PPBP/R2QR1K1 b - -,d8c7
5k2/p4p1p/6p1/4Pp2/5P2/r5PP/P3R1K1/8 b - f3,f8e7
5rk1/6p1/3p3p/2pPp1nq/1pP3P1/1P2P3/Q2NK3/4NR2 b - -,h5g4
r1bkr3/pppn2pp/8/5p2/1b1PPn2/5P2/PPBQ2PP/R3K1NR b KQ -,f4g2
5k2/8/1R4P1/6r1/p7/P7/KP6/8 w - -,a2b1
1r3rk1/4ppbp/1q1p2p1/n1pPn3/1p2P3/4B1P1/PPQN1P1P/R2N1RK1 b - -,b4b3
r1bq1rk1/pp3p1p/2n1p1pb/8/2BPN3/4PN2/PP3QPP/R4RK1 b - -,d8e7
r4rk1/pbppqpp1/1p2pn1p/n7/1bPP4/1PN2NP1/P1QBPPBP/R4RK1 w - -,a2a3:f1d1
r2q1rk1/pb1nppbp/1p1p1np1/2p5/3PPB2/2PB1N2/PP1N1PPP/2RQ1RK1 b - -,a8c8
rnbqk1nr/pp1pppbp/6p1/2p1P3/8/2P2N2/PP1P1PPP/RNBQKB1R b KQkq -,b8c6
r5k1/1p2rpbp/3Nb1p1/2p1P3/1QP2P2/p1n1B1PP/P6K/1R2RB2 b - -,c5b4
5r1k/bpp3p1/p1np1r2/4p1p1/2P5/3P2BP/PPNR1P2/2K2R2 b - -,f6f3
rnbqkbnr/pp3ppp/4p3/2p5/2PP4/1P3N2/P2P1PPP/RNBQKB1R b KQkq -,c5d4
r1bnnrk1/ppp1qppp/3p4/3Pp3/2P1P3/P1B2NP1/1PQ2P1P/R3KB1R w KQ -,f1g2
4b3/2k2p2/p3p3/2b3p1/1pP3Pp/1P3B1P/P3KPN1/8 w - -,g2e1
8/2p3bk/qpP4p/3p1p2/8/3QBpP1/2P2K2/8 b - -,a6d3
8/pp6/5kr1/1p6/8/5K2/PPP2P1P/4R3 w - -,h2h4
1k3r2/8/4K1R1/8/P2P2Pn/2n5/8/8 w - -,g6h6
2r5/1b2kp1p/5p2/p7/2p5/R3PN1P/P2K1PP1/8 b - -,b7f3
1n6/5rpp/pkp1p3/3pPp2/1P1P1P2/P1R4P/4K1P1/2R5 w - -,e2e3
rnb2rk1/pp3ppp/3bpn2/7q/3P1B2/2NB4/PPQ1NPPP/R4RK1 b - -,d6f4
6r1/p3krpn/Pp2p2p/1Pp1P2P/2PpNPP1/5RK1/8/R7 w - -,a1h1
r5k1/Np3pp1/4q3/1P4Q1/3pr3/6P1/R3PP1P/R5K1 w - -,g5d2
2k5/R7/3B4/4K3/8/8/8/2r5 w - -,e5e6
8/1pB5/3pkb2/4p3/2PPPp2/5K2/6P1/8 b - -,e5d4
r2qr1k1/p2nbppp/3pp3/2p5/1n1PP3/4BNN1/PP3PPP/R2QR1K1 b - -,b4c6
8/8/p4n2/2k4p/3p1NpP/P5P1/2P1K3/8 b - -,c5c4
r4rk1/1bq2pp1/p1n4p/1p6/3pP1QB/1B1Pb3/PPP3P1/RN3R1K w - -,h4f6
r1b2r1k/pp2bp2/2nNp2p/8/P2P1qRp/3B4/1P2QPPP/3R2K1 b - -,f4d6
1Rb5/6k1/1Pr2pp1/P1Np3p/3P1K1P/6P1/8/8 w - -,b6b7
r1bqr1k1/ppbn1ppp/3p1n2/3pp3/1PP5/P1NBP1N1/2Q2PPP/R1B2RK1 w - -,c4d5
8/5pkp/2N1p3/1B1p4/P5p1/r1b3P1/5PKP/2R5 w - -,h2h3
3q1r2/1p1b1k2/4p1p1/1P1pB3/4nPQP/3B1R2/8/2r2R1K b - -,c1f1
rnbqkb1r/pp1ppppp/2p2n2/8/2P5/2N2N2/PP1PPPPP/R1BQKB1R b KQkq -,d7d6:d7d5
3nr3/2p1r1k1/2p1Pp2/p2p1Bpp/5P2/PPR2KP1/2PR3P/8 b - -,d8e6
r1b1k2r/pp2pp1p/1qnp1npQ/8/8/2N2N2/PPP1PPPP/2KR1B1R w kq -,e2e4
5rk1/pp1q2pp/6p1/3pBb2/1P3R2/2P4P/P2N1PP1/5RK1 b - -,f8e8
k2r1r2/pp6/5p1P/3p3P/1q1P2Q1/1Pp5/P1B5/K4R1R w - -,g4f4
5rk1/4qppp/8/4p3/Qb6/1R2B1P1/Prb2PBP/2R3K1 w - -,a4b4
3r2k1/p4rpp/8/1p6/2bP2nP/P2NB2R/5PP1/3R2K1 b - -,a7a5
r1b1r1k1/1p2qppp/p1pp2n1/2n2P1Q/2P5/P3P2P/1PBB2P1/2KR2NR b - -,g6f8
r1bq2k1/ppp2rbp/6p1/3pn3/8/5NNP/PPP2PP1/R1BQ1RK1 w - -,f3e5
3r1k2/p4p2/1p4rp/1R6/3N1p1q/2PQn3/P1P1B1b1/2K3R1 b - -,g2e4
8/R3nkp1/3B1p2/4rP2/3ppP1p/7P/8/5K2 b - f3,e4f3
1r6/7k/2Qp2p1/2pP2PP/8/1r6/2K5/8 b - -,b3b2
2Q1n3/p3qk1p/1p1p2p1/2pP1p2/2P1nPP1/P1PBN2P/5K2/8 w - -,d3e4
rn1q1rk1/pbpp2pp/1p2pn2/5p2/2PP4/2b1PNP1/PP1B1PBP/R2QK2R w KQ -,d2c3
2rq1rk1/pb1nbppp/1p2p3/2pPP3/8/1P2P1P1/PB1N1PBP/R2Q1RK1 b - -,b7d5
4r3/5k2/4rpp1/N1p1n2p/P2p3P/1P4P1/3R1P2/1R3K2 b - -,g6g5
8/8/6p1/4rk2/8/5K1R/8/8 w - -,h3h8
3r4/p3r1kp/PpRpB1p1/3P2P1/1P3p2/2PKbP2/8/7R w - -,d3c4:h1h2
r2qkb1r/pp1n1pp1/2p1pn1p/8/3P4/2P2NN1/PP2QPPP/R1B2RK1 b kq -,f8e7
2r3k1/1bq1bppp/p3p3/3n2PP/1p1Bp3/5P1B/PPPQ4/1K1R3R b - -,d5f4
6k1/pq3bp1/3p3p/3p1p1P/2nPnN2/3BPNP1/1r3PK1/2Q2R2 w - -,f3h4
2r2rk1/1pq1nppp/p3pb2/3p4/3P2Q1/P3B2P/1PP1NPP1/1RR3K1 w - -,c2c3
3N4/6kp/3p4/3Ppp2/p7/b1P2KP1/P6P/8 w - -,g3g4
5R2/p7/1p5k/4B1p1/3P2rp/8/PP2K3/8 b - -,h6g6
1r3rk1/bpp1n1pp/p2p4/8/1PP1Pp2/P1NQqPP1/1B1R2KP/R7 w - -,a1f1
r1b1kn1r/pp2bp2/1q2p2p/3pP1p1/1n1P4/1P2BN2/P3NPPP/RB1Q1RK1 b kq -,c8d7
rn1q1rk1/p4ppp/b3pn2/b2p4/1P1P4/2N1P1P1/1PQ1NPBP/R1B1K2R b KQ -,a5b4
3r1r2/q5kp/3p2b1/3Ppp2/1Q6/P1R3PB/5P1P/2R3K1 b - -,f8f7
2r1r3/2qb3p/1pn2k1P/p1b1ppp1/P1N2PP1/1P2P3/1B5Q/1BRR2K1 b - f3,f6e7
3b4/1p6/p1p3p1/P1P2p1P/1P3K2/3k1P2/8/4B3 b - -,g6h5
8/3k4/pp1p2p1/3Pn1Pp/P3K2P/1P6/2N5/8 b - -,d7e7
3r4/1p2kp1p/2Bqp1p1/8/3r4/P1R4P/2Q2PP1/2R3K1 b - -,b7c6
2rq3k/4n1rp/p2pQ3/1p1Pp2P/5p2/2N5/PP2B3/R3K2R w KQ -,e6f6
4r1k1/6bp/p1Q3p1/1p1P1q2/4p3/1P6/P5BP/4R2K b - -,e8f8
rnbq1rk1/ppp1ppbp/1n4p1/8/8/2NPB1P1/PP1QPPBP/R3K1NR b KQ -,c7c6:f8e8:b8c6
6k1/1p2r1bp/3N2p1/p1P5/2R5/PP2p1PP/4K3/8 b - -,g7e5
