3k4/R2n4/3p3q/2p5/4Q3/2P4P/6PK/8 w - -,e4g4
6k1/1p1nNrp1/p1b4p/8/1B2B1P1/P7/1P2Pb2/3R1K2 b - -,g8h8
8/1p6/1prbkn2/3p1ppp/3P4/P2RPPP1/1P2N1K1/4B3 b - -,c6c2
6k1/1p2q1p1/rp1pp2p/4n3/rR2P3/2P1Q3/5PPP/2B2RK1 w - -,e3g3
7Q/3q1k1p/3P1p2/pp6/2p1p3/2P4P/6P1/7K b - -,f7e6
1r1q1r2/1p2npkp/p2pb1p1/4p3/P2pP3/2PP1PP1/1P1QN1BP/R4RK1 b - -,e7c6
2r3k1/p3rp2/2P1n1p1/3BP3/8/6Kp/P4P2/3RR3 w - -,d5h1
4r3/ppp2k1p/2n2p2/6p1/5R2/3P4/PPP3PP/4BK2 w - g6,f4c4
r5k1/p1nq1p2/1p4pp/2pPbb1n/P7/2P1B2P/1P1Q2BK/R3RN2 w - -,h2g1
2r2rk1/1p1q1ppp/p3p3/n2P2P1/Pbp2P2/2NbB3/1P2Q1BP/3RK2R w K -,e2g4
8/5B2/7p/P3k1p1/6P1/2b2P1P/4K3/8 w - -,a5a6
r3kb1r/1p3pp1/2n1pn1p/3p1b2/2pP1B2/PpP1PN1P/1P1N1PP1/R2B1RK1 b kq -,f8e7
1b6/3q2kp/ppp2pp1/8/1P1NPP1P/P1Q2KP1/8/8 b - -,c6c5
2br4/1p3pkp/p1q1p1p1/7r/P1PPN3/8/1P1RQPPP/R5K1 b - -,b7b6
5rk1/1pp2r2/p2p2p1/1P1Pp2p/2P1P1bq/2N2Pb1/P3QNP1/1RR3K1 w - -,c3d1
3R4/5pkp/4p1n1/6p1/1p2P3/2r1PK2/4B2P/8 b - -,g6e5
1r1q1rk1/pp4bp/2npp1p1/2p4n/P3PP2/2N2NP1/1PP1Q2P/R1B2RK1 w - -,e2c4
3rq1k1/1np3bp/1p3pp1/3Pp3/2P1P3/7P/1BQN1PP1/r2R2K1 w - -,d1a1
r1q2rk1/b3nppp/2pp1n2/1p2P3/1Pb5/P1N1P1P1/1BQ1NPBP/R2R2K1 b - -,d6e5
r1bk3r/1ppn1ppp/p2b1n2/4p3/2B1P3/2N1BN2/PPP2PPP/2KR3R b - -,d8e8
5R2/8/2K3k1/7p/8/8/8/3r4 w - -,f8g8
r1bqk2r/ppp1bppp/2n2n2/2Pp4/3P4/5N2/PP2BPPP/RNBQ1RK1 b kq -,e8g8
2r3k1/R2n1ppp/p1p1b1n1/3pp3/1B6/3P2PP/P1PN1PB1/6K1 w - -,a7a6
4Qnk1/3bb1r1/p3p3/6P1/7r/1BN1B1q1/PPP5/1K1RR3 w - -,e8a8
2rr2k1/pp3R1p/4pqp1/3bN3/1P1P4/8/P2Q1PPP/3R2K1 b - -,f6f7
2q1r1k1/R5pp/1P2p3/3pPp2/3QnP2/1r6/6PP/R5K1 b - -,c8c2:b3d3
r1bq1rk1/pp1nppb1/2pp1npp/8/2PP3B/2N1PN2/PP2BPPP/R2QK2R w KQ -,e1g1:d1c2
2kr3b/p2bp3/1p4p1/q2pnpN1/2B2B2/1QP5/P4PP1/1R3K2 w - -,c4e2
2r5/1p1rk2p/p2p2q1/4p1p1/2P1Q3/8/PP3PPP/2R2RK1 w - -,e4e3
r1b1kb1r/4pp1p/p1pp2p1/q2Nn3/4P3/8/PPPBBPPP/R2QK2R b KQkq -,a5d8
8/3b1pk1/6p1/3P4/3R3P/4r3/6B1/6K1 w - -,g1f2
8/2b2pk1/1p6/p2B3p/5q1P/P1P5/KP3Q2/8 w - -,d5f3
r4rk1/2pnqppp/p2p4/1p1Pp3/P3P1b1/RnP1PN2/1P2Q1PP/1B2BRK1 b - -,b5a4
5r2/p3b2p/2k5/4p1p1/4N3/6PP/PPP2P2/2KR4 w - -,c2c4
2r1r1k1/1p3pbp/p1q1pnp1/4p3/2P1P1P1/1PN1B2P/P3QP2/2RR2K1 w - -,f2f3
1q2n3/7k/5p2/1B1R1P1p/PB2P2P/6r1/K1R5/8 b - -,g3g7
kb6/3R4/1P5p/r5p1/2b1pp2/7P/5PPK/1R6 w - -,b1b4
r3r1k1/1p4p1/p1pn1q2/3p1p2/PP1P2p1/3QP3/3N1PPP/R3R1K1 b - -,g7g6
3b2k1/3R1pp1/p3r2p/1p2p1q1/1Pp1P1P1/2P2QP1/P1B2PK1/8 b - -,g5f6
1n6/4n1pp/p3kp2/Np2p3/1P2P3/P5PP/4KP2/2B5 b - -,e7c6
r1bq1rk1/2pnb1pp/np1p4/3P4/1PPBPp1P/2N5/2QNBP2/1R2K2R w K -,d2f3
6k1/R7/5p2/5K2/5Pr1/8/8/8 b - -,g4h4
2K5/2Q5/8/2P4k/q7/8/8/8 w - -,c5c6
2r2rk1/ppqb1ppp/4pn2/2p1N3/3P4/1QPBP3/P4PPP/1R3RK1 b - -,b7b6
7r/7P/3p2k1/p2P3R/P1p1KN2/1pP5/1P6/8 b - -,g6f6
4rr1k/pp1b1qp1/1bp4p/5p2/5P2/P2BPRN1/1PQ3PP/4R2K b - -,d7e6
rq3k1r/1b1nnpp1/p1pNp2p/1p2P3/P2P4/1Q3N2/4BPPP/R4RK1 w - -,f3h4
8/2nk4/pR6/P7/KP6/8/8/2r5 b - -,c1c3
8/8/8/8/pbk2B2/2n5/1K6/8 b - -,a4a3
4r1k1/R6p/3P1qpQ/2p5/3r4/3p2P1/5P1P/6K1 w - -,h6h7
3N2k1/2p3pp/5p2/1n2p3/3P4/4P1P1/5PKP/8 w - -,d4e5
5B2/7p/6p1/3kp3/1p4PP/r2n4/4K3/1R6 b - -,d5c4
8/6p1/3pbp1p/kPp1P2P/2Pp1PP1/5K2/4B3/8 b - -,f6e5
1n4k1/5pp1/2p1p1qp/p7/2PPR3/P4PP1/7P/2Q3K1 w - -,d4d5
r1bq1rk1/pp2ppbp/2n2np1/2pp4/4P3/2PP1NP1/PP1N1PBP/R1BQ1RK1 b - e3,d5e4:d5d4
1r2q1k1/p1p2ppp/1n3bb1/2pP4/2B5/2N3P1/PP2QP1P/R1B3K1 w - -,c4b5
8/p1r2qk1/1p1bprp1/3P1pRp/7P/3B1RP1/PP2QPK1/8 b - -,g7f8
8/5p2/1p1Np1k1/3nP1r1/4R3/7K/8/8 b - -,d5e7
r2q1rk1/1bp1bpp1/p1n1pn1p/1p6/3P3B/P1NBPN2/1P3PPP/R2Q1RK1 w - -,d3c2
rnb1k2r/1pq1bppp/p2p1n2/4p3/4PP2/2NB1N2/PPP3PP/R1BQ1RK1 b kq -,b8c6:e8g8
3Rr3/pbq2pkp/4p1p1/1p2P3/2p1B3/2P5/PP2QPPP/4R1K1 b - -,e8d8
6R1/8/8/kr6/p6K/8/8/8 b - -,a4a3
8/5k2/8/2p1K1P1/2Pp3R/3P3P/1p3r2/8 w - -,h4h7
r4rk1/p4ppp/1Q2b3/3p4/8/8/PP2BPPP/R4RK1 b - -,a7b6
5R2/8/1p2r1p1/1Pp4p/2N2nk1/3P4/5P1P/5K2 w - -,c4e3
r3r1k1/pp2q1b1/2p1b2p/5P2/2P5/PnN3PN/2R1Q1BP/3R2K1 b - -,e7c5
3qr1k1/2Rp2bp/p2Bp1p1/1p2p3/8/1P3Q2/1P3PPP/6K1 w - -,h2h4
1q3rk1/3n1ppp/1b1p1n2/4pP2/4P3/2N1BB2/1P1Q2PP/3R1K2 b - -,b6e3
2r1r1k1/1p3pp1/p3b3/2bp2p1/2B5/P1P3BP/1P2NPP1/3RR1K1 b - -,d5c4
r1b2rk1/pp1nqnbp/2pp1pp1/4p3/2PPP2B/P1N2N2/1P1QBPPP/R2R2K1 w - -,b2b4
4k3/5p2/3P2p1/3P4/5r1p/4N2P/6PK/8 w - -,e3g4
8/4p1bp/4k1p1/2p2p2/2NP4/2P1P3/K4PPP/8 w - -,a2b3
r2qrnk1/3b1ppp/p3pn2/1pbpN1B1/8/1NPBP2P/PP2QPP1/R4RK1 b - -,c5e7
2r1rbk1/1q3pp1/pp1p3p/P2Np3/1PP1P3/3Q1P2/6PP/R2R2K1 b - -,b6a5
8/2n3pp/PR3p2/7k/7P/8/5K2/8 w - -,a6a7
3r1k2/4np2/4p2p/1p6/p1b5/P2N1P2/1PP2K1P/1B4R1 b - -,e7f5
4rr2/pp2qp1k/2p1pN1p/4Bn2/8/5P1P/PPPQ1P2/3RR1K1 b - -,h7g6
8/p2r1k2/2rnn1p1/1p1Npp2/1P2P2P/2P2RP1/R2N1K2/8 w - -,e4f5
8/pp1k4/3bp1R1/5p1p/P1Pr3P/3P1P2/2P1KP2/5N2 w - -,g6h6
1k1rrb2/3q3p/pp4pn/3pPp2/2pP1PP1/PnN2N1P/1PQ2B2/1K1R2R1 w - -,f2h4
br4k1/2nq3p/p2p2p1/2pP1pP1/P1B2B2/2P5/4RPP1/3Q2K1 w - -,g1h2
4r3/1p6/5kp1/p1P2n2/4p2P/1PK2N1P/P3R3/8 w - -,f3h2
1r6/1P6/1R2k2p/6p1/4Kp2/8/8/8 b - -,e6d7
rnbqk2r/1p1p1ppp/p4n2/4p1B1/1b2P3/2N2N2/PPP2PPP/R2QKB1R b KQkq -,b4c3:h7h6
r4r2/1bknbp2/ppq1p1pN/2p1P2p/5B1P/2PQ1N2/PP3PP1/R3R1K1 b - -,a8d8
3rr1k1/1p3ppp/p2P1Rb1/2B1b3/P3P3/2N3PB/1P5P/R5K1 b - -,e5f6
r1bq1rk1/ppp3bp/3p1np1/4np2/2P5/2N1P1P1/PP2NPBP/R1BQ1RK1 w - -,b2b3
rr6/2pk2pp/p2bpn2/1p2p3/P3P3/1BN2P2/1PP3PP/2KR3R w - -,c3e2
r3r1k1/1ppq1pp1/p1n1bn1p/2bpp3/4P3/1BPP1NNP/PP2QPP1/R1BR2K1 b - -,a8d8
4rk1r/pp1b2pp/1qnb1p2/3pn3/3p4/1NPB1N1P/PP1BQPP1/1R2R1K1 b - -,f8f7
rn1qk2r/pb2npbp/1pp1p1p1/1B1p4/3PPP2/2N1BN2/PPPQ2PP/R3K2R w KQkq -,b5d3
8/5pk1/1p1Q2p1/3Pn2p/1PPq3P/6P1/6K1/8 w - -,c4c5
5rk1/1bqp2pp/p3p1n1/1pb5/3p1PQ1/PB1P2N1/1PP4P/R1B2RK1 b - f3,g8h8
8/6pk/7p/2Rp1p2/8/3r2P1/4KP1P/8 b - -,d3d4
r2qkb1r/pp2ppp1/2n2n1p/2pp1b2/5P2/2PP1NP1/PP2P1BP/RNBQK2R w KQkq -,e1g1
8/1p3rk1/p1p3pp/P3R3/1P1PKP2/2P4P/8/8 w - -,c3c4
3r4/N4pk1/6pp/1pp1r3/5n2/7P/PP3P2/2KR1B2 w - -,d1d8
1r3k2/6pp/2p1rp2/1p6/pPbPP2P/2R2KP1/1P4B1/2R5 w - -,g2f1
r1bq1bk1/ppp5/4ppp1/5n1p/2PPp1N1/1Q2P3/PP2BPPP/R4RK1 b - -,h5g4
r1b1kb1r/pppq1ppp/1n1p4/3N2B1/3QP3/5N2/PPP2PPP/R3K2R w KQkq -,f3e5
2r5/pb1rnkpp/1p2p3/5pBP/2PP4/3B1P2/P5P1/2R1R1K1 w - -,d4d5
2r3k1/2b3pp/bp6/p7/3BpN2/PP2P1P1/7P/2R3K1 b - -,c7d8
8/8/1p1pk1r1/pPp1b2p/P1P1Pp2/3P1P2/5R1K/4B3 w - -,f2g2
2r3k1/p5p1/1p5p/2b2p2/7P/1P1r1N2/P2BnPKP/R2R4 w - -,d2e3
8/p7/1p2kp2/2pr3p/4R3/4BK2/PP4P1/8 b - -,e6f7
2k1r3/Qp6/2b1qp2/3n3P/8/P1p2PP1/2P1B3/1R2K2R w K -,h1h2
r3qb1k/p1r2pp1/2n1p2p/1p1pP3/3P1Q1P/P4R2/1P1B1PPN/4R1K1 w - -,h2g4
5k2/1p3r1p/p1n1b3/2b1p3/P3R2P/2P2P2/6PK/5R2 b - -,e6f5
8/r4ppp/nk6/R7/8/5P2/R4P1P/6K1 b - -,g7g6
r6k/1ppb1r1p/p2p4/3P3R/2P1pqPR/5P2/PPQ3B1/1K6 w - -,f3e4
6k1/1B3pp1/1p6/5b2/1Pr4p/P2p2P1/4nP1P/3R1R1K w - -,g3h4
r4r1k/2p2pp1/3qP1np/1pN5/pP1R2P1/P2Q3P/5P2/3R2K1 b - -,d6e7
r2qr1k1/pbpnbppp/1p3n2/3p4/3P4/2N2NP1/PP1BPPBP/2RQR1K1 w - -,d2f4
3r1n1r/1bb1kp1p/p1p3pR/PpP1p3/1P2P3/2BBN1P1/4KPP1/7R b - -,b7c8
3B1bk1/p4p2/4p1p1/1p2P2p/5P1P/qP1QP3/8/1K6 b - -,a3c5
8/5p2/6pp/1k6/1P3p2/5K1P/5PP1/8 b - -,b5b4
3r2k1/3q1p1p/1p4p1/pPn1P3/5P2/1P2R1PP/3RQ1BK/8 b - -,d7d2
r1bq1rk1/1pp2pbp/2np1np1/p3p3/2P5/2NP1NP1/PP2PPBP/1RBQ1RK1 w - a6,a2a3:f3e1
r1b2rk1/1pp1qppp/p1n1p1n1/3pP3/3P4/P1NB1NQ1/1PP2PP1/R3K2R w KQ -,e1c1
2rr2k1/p7/2p1p3/6pp/1PN2p2/5P1P/P2BK1P1/2R3b1 w - -,c1g1
r1b2rk1/1pqn1pbp/p1pp1np1/8/2P1PP2/1NN3PP/PP6/R1BQRBK1 w - -,c1e3
r4rk1/pq2ppb1/1pn1b1pp/1B1p4/N2P1B2/4P2P/PP3PP1/R2Q1RK1 w - -,b5c6
8/p1n3p1/2kp1b1p/1p3P2/3PK3/2N2NP1/PP5P/8 w - -,g3g4
8/4k3/1p6/1P2BKp1/3NN1P1/8/8/4r3 w - -,e5f6
5r2/1p6/2P3k1/7p/6PP/P3K3/1P6/3R4 b - -,b7c6
r2qkb1r/pQpb1ppp/6n1/3Pp3/4P3/2P2N2/P4PPP/R1B1KB1R b KQkq -,f8c5
3rr1k1/p5b1/B5pp/4pp2/3q1n2/2N2Q2/P1PP1PPP/3RR1K1 b - -,d4c5
6k1/B3ppbp/p2r2p1/2K1n3/1P6/PN4PP/5P2/7R b - -,e5d3:e5c6
3q2k1/r1pr1p1p/1p1p2p1/p2P4/2R1P3/1P3P1P/P2Q2P1/2R3K1 b - -,d8e7
3r4/8/p1pr1p2/4p2R/1P2Pkp1/P2P4/4KP2/6R1 b - -,d6d3
8/3k4/8/2K5/p3P3/Bb1R4/8/1r6 b - -,d7e6
2qrr1k1/6pp/5b2/2p1pn2/ppP1Q3/3PP3/P4P1P/BR1R1N1K b - -,f5d6
5R2/8/8/8/2K5/4k3/4n3/8 b - -,e2f4
2bqrbk1/3n1pp1/r6p/pp1PpN2/1Pp1P3/P1P1B2P/2BQ2P1/3R1RK1 b - -,d7f6
6k1/2p5/r1Pp3p/p2P2p1/Pp3N2/1Pn4P/6PK/4R3 w - g6,f4e6
r4rk1/1ppbqpbp/p1np1np1/4p3/B3P3/2PP1N2/PP3PPP/R1BQRNK1 w - -,f1g3
rn1qkb1r/pp2pppp/2p2n2/3p4/2PP2b1/5NP1/PP2PPBP/RNBQK2R b KQkq c3,e7e6
r7/1p4pN/1knQ2p1/4P3/p1R5/7P/5PK1/1q6 b - -,b1b5
r2q1rk1/pbp3pp/1p2p3/3pPp2/3P4/5P2/PPPQP1BP/R4RK1 b - -,c7c5
r1b1k2r/pp2qp1p/1np3p1/3p3n/3P4/2NBP3/PPQ1NPPP/1K1R3R b kq -,h5g7:c8d7
r1bq1rk1/1pp2pbp/2np1np1/4p3/1pP5/P1N2NP1/3PPPBP/1RBQ1RK1 w - -,a3b4
8/1R6/3k1pp1/8/8/2b1P1P1/r4P2/5K2 w - -,b7b3
8/8/2N2k1p/5p1P/P7/2b3K1/8/8 b - -,f6g5
2r3k1/1b2qpp1/1pB4p/8/1P6/6P1/P1Q2P1P/1R4K1 w - -,b4b5
8/5pk1/6p1/r5P1/3KPP2/1R6/8/8 b - -,a5a4
4k2r/1n3ppp/2r5/p3p3/Pp2P3/1n3P2/1PR3PP/2R3K1 w k -,c2c6
r1bq1rk1/1p1n2bn/2pp2p1/p5Pp/P2PPp2/2N1B3/1PP1N1B1/R2Q1RK1 w - -,e2f4
r5k1/1q2pp1p/3p2p1/2pP4/4P3/rPQ3P1/P1R2PKP/R7 b - -,a8a6
r2qr1k1/1bp1bpp1/p3pB1p/1p6/P2PP3/2NQ1N2/1P3PPP/2R2RK1 b - -,e7f6
r2q1rk1/pb1nbppp/1pp1pn2/3pP3/2PP4/5NP1/PPQN1PBP/R1B2RK1 b - -,f6e8
2rr2k1/1bqn1pbp/pp1ppnp1/8/2P1PB2/1PN2N1P/P3QPP1/1BRR2K1 b - -,d7e5
r4rk1/1p2bppp/1pb5/3p4/3P1B2/2R3P1/PP3PBP/R5K1 b - -,f8e8
1q1r2k1/p3bppp/b1p2n2/8/3pP3/1N3P2/PP3KPP/RN1Q3R w - -,b1d2
r2qr1k1/1p1nbp1p/2p3p1/p5B1/3Pp3/4PN2/PPQ2PPP/1R1R2K1 w - -,g5e7
r1b1kb1r/1p1p1ppp/p3pn2/8/2PqP3/1BNp4/PP1P1PPP/R1BQK2R w KQkq -,d1f3
4r3/p6k/p3rbpp/5p2/3p4/3Q3P/PP2pPP1/2N1R1K1 b - -,f6g5
1q3rk1/p1p1nppp/2n1p3/2Q1P3/1r1P4/2N2N2/PP3PPP/2KR3R w - -,d1d2
r1b1r1k1/1pp2pp1/p1np3p/4p1q1/4P3/1BPP2NP/PP3PP1/R2QR1K1 w - -,d1f3
r1b2rk1/1pqpbpp1/p1n1pn1p/8/2PNP3/PQN1B3/1P2BPPP/R4RK1 b - -,d7d6
rnr3k1/p2p1ppp/bp1Qpq2/1N6/2P1P3/5P2/PP4PP/1K1R1B1R b - -,c8c6
2r5/3k2pp/4p3/2Bp4/1p2r3/1P1N4/5KPP/R7 b - -,c8c7
2rq1rk1/1p2pp1p/2bp2p1/p1n1b3/2P1P3/PPN1BP2/3QB1PP/1R1R2K1 b - -,b7b6
1r5k/1p5p/p1bq2p1/Q1p4r/2PpPp1P/3B1P2/PP3KP1/2R4R w - -,a2a3
8/6p1/5p1k/2R4P/6K1/r6P/8/8 b - -,a3b3
r1b2rk1/ppq4p/2nb4/4pp2/2PP4/PP1B3N/3N2PP/R2Q1RK1 b - -,e5e4
r3r1k1/1pq1nppp/p1nb4/3p4/3N4/1NP1B2P/PP2QPP1/3RR1K1 b - -,h7h6
r4rk1/1q2bppp/p3pnn1/P2b4/1p1P4/1P3N1P/3N1PP1/R1BQRBK1 w - -,c1b2
2kr3r/pp6/4R2p/1q1pP1p1/2pPbPP1/P1P4Q/1RPn4/2K2B2 b - -,b5d7
2r1r1k1/1N1b1p1p/p1n2qp1/1pb5/3pPP2/3B4/P3Q1PP/1R3RK1 w - -,b7c5
r2q1rk1/1p2bppp/5n2/1p2B3/2P1P3/1Q1p2PP/PP1Nb1B1/R3R1K1 b - -,d8b6
1rbq1rk1/1pnn1pbp/p2p2p1/2pP4/P3P3/2N1BPN1/1P1QB1PP/R3K2R w KQ -,a4a5
r2q1rk1/1b1nbppp/p3pn2/2p5/Pp6/4NNP1/1PQPPPBP/R1B2RK1 w - -,b2b3
r1bq1rk1/5ppp/p1np1b2/1p1Np3/2P1P3/N7/PP3PPP/R2QKB1R w KQ -,c4b5
r3k2r/1bpn1ppp/p2b4/1p2p1B1/4P3/1NN2P2/PPP3PP/2KR1B2 b - -,f7f6
8/R4rk1/2r1p1p1/3pP3/5P1P/5RK1/8/8 w - -,f3a3
2b1rrk1/1p4pp/2pq4/p2pNp2/P2Pn3/1P1QP1P1/5PBP/R1R3K1 w - -,f2f3
r1q3k1/2pbnppp/3p4/pN1P4/PpP2P2/3Q2B1/1P4PP/4R1K1 b - -,d7b5
3qrr1k/2pb2bp/1pnp2p1/pN3pn1/1P6/Q1P1P2P/P2NBPPB/4RR1K w - -,a3b3
r1bqk2r/pp3ppp/2n1p3/3n4/1b1P4/1QN2N2/PP3PPP/R1B1KB1R w KQkq -,f1b5
b2r2k1/p2r1ppp/1p1Np3/2b1P3/7n/1P1R4/PB3PPP/1B3RK1 w - -,d3h3
8/kp4Q1/2q5/2b5/8/8/5P2/5K2 w - -,g7e5
2r1n1k1/r1p2ppp/1p2p3/pP1qP3/8/P3P3/1B2QPPP/R4RK1 w - -,a1c1
8/p1pnk1pp/1p2B3/8/8/2P5/P1P3PP/3R3K w - -,e6d7
3r1bk1/5p1p/p5p1/1p2p3/1n2P3/NP2RB2/P4PPP/6K1 w - -,a3b1
1k6/6p1/1p2np1p/4p2P/6P1/3PKP2/2R5/1r1B4 w - -,c2c6
5R2/1p4kp/pPb2pp1/4p2q/8/2P2p2/BP3BP1/6K1 w - -,f8g8
3r3r/p1pk2pp/Bp1q2n1/4n3/7P/P1B2RP1/1PP1Q3/R3K3 w Q -,f3e3
1q1rr1k1/p4ppp/1pbb1n2/4p1Q1/1PP5/P4NP1/1B3PBP/2R2RK1 w - -,f3h4
4r3/2p3bk/6p1/p3q2p/P1B1np2/B1P1Q2P/1P3PP1/3R2K1 w - -,e3d3
3r2k1/2q2p2/2P1p1np/1pRrP2p/1P6/5N2/4Q1P1/2R3K1 b - -,g8g7
4r1k1/pbpp1qpp/1p2p3/3P3r/1PP1Q3/4N1P1/P3PP1P/2R2RK1 b - -,e6d5
B5k1/2b1rpp1/1p5p/1Pp5/2N1bP2/4P2P/6P1/2Q4K b - -,e4a8
r2r4/p5pk/5qNp/1p6/5P2/1Q6/PPn3PP/4RRK1 w - -,b3c2
8/1p3pr1/p2kn2p/2p5/1P2P2P/P3KP1N/6P1/6R1 w - -,b4c5
3Q1r1k/1p4b1/p1p1p3/P3Pqp1/1PP2p2/5P2/1B1R2KP/8 w - -,d8e7
R7/P2k4/5p2/8/r5P1/6K1/8/8 b - -,d7e7
5b2/p3n2k/1pn1b3/PN2p1qp/4Pp2/1N3PpP/1P2B1P1/3QB1K1 w - -,a5b6
8/5k2/4pp2/pp4p1/3PP2p/1r3P2/2RK2PP/8 b - -,a5a4
r4rk1/1p3ppp/2pb1B2/5b2/Np1P4/1B6/PP3PPP/R3R1K1 b - -,g7f6
rn3rk1/pp2ppbp/1qpp2p1/8/3PPPb1/3BQN2/PPP1N1PP/R3K2R w KQ -,e4e5
2r2rk1/1b3ppp/pp2p3/4N3/Pq6/3R1PP1/4Q2P/3R3K b - -,b4a4
4r1k1/2Q2pb1/1p1p1q2/6pp/2PNPnP1/1P4B1/r4PP1/3RR1K1 w - -,g4h5
r1bq1rk1/1p2bppp/p1n1p3/3n4/2BPN3/5NB1/PP3PPP/R2Q1RK1 w - -,e4c3
8/5pk1/4pnp1/q7/2R3Pp/3Q3P/5P2/r4BK1 w - -,d3c3
r4rk1/1p2q2p/2n1b3/p3pppP/2Q5/1NPB4/P1P2PP1/1KR4R w - -,c4b5
