8/1p5P/p5k1/6N1/4p3/P1P3n1/1P1K4/8 b - -,g6g7
8/1p3p2/6p1/2k4p/4PP2/1PB2K2/8/2b5 w - -,f3g3
8/r2b1pkp/6p1/rp6/2p5/P1R1P2P/R3BPP1/6K1 b - -,d7e6
4N3/7p/6p1/KP1n1kP1/7P/8/8/8 w - -,e8f6
5rk1/p2q1p1p/bprb1p2/3Q4/1P2B3/6P1/P3PP1P/2R2RK1 w - -,c1c6
r2qkb1r/p2p1ppp/np2p3/3bP3/3P4/3B1N2/PP3PPP/R1BQK2R w KQkq -,e1g1
r7/1b4b1/p1q1rk2/1p2p1p1/1Q6/1BP2P1P/PP4P1/3RR2K w - -,b3e6
5k2/rR2bppb/2p4p/7P/1nB1PN2/2B2PP1/6K1/3R4 b - -,a7b7
5rk1/rp3pp1/p1p4p/4R3/QP4b1/P2q2N1/5PPP/R5K1 w - -,b4b5
8/pp1k3p/2p1b1p1/2b1Pp2/3N1P2/2P3P1/PP4BP/1K6 w - -,b2b4
r3k2r/3bpp1p/p5pb/1p6/3N1n2/2P3BP/PP3PP1/1K1R1B1R w kq -,g3f4
3rr1k1/p1q1ppb1/1p2n1pp/8/2P5/1P2BN1P/P1Q2PP1/3RR1K1 w - -,c2c1
r1bqr1k1/1p3pbp/pn1p2p1/2pP4/P5n1/N1N3P1/1P2PPBP/R1BQ1RK1 w - -,a4a5
r4rk1/1b1n1p1p/pp1p2p1/2pP2qn/2P1P3/3B3P/PPRN2PN/3Q1RK1 w - -,h2g4
8/p5p1/4kn2/2P2p1p/P2K4/4NP2/8/8 b - -,h5h4
8/5k2/p1p1r1p1/1p3b2/2PB1r1p/8/P4N1P/3R1BK1 b - -,e6d6
8/rB3R2/Pb6/3pkp2/P1p5/8/2K5/8 w - -,f7e7
r3k2r/1p1b1pp1/p2qpn1p/3p4/1n1P1PP1/2N1PQ2/PP2N2P/1BR1K2R b Kkq -,d7b5
1r3rk1/p3ppbp/2npb1p1/7q/2P1P3/1PN1B1PP/P3QPB1/2R2R1K b - -,e6h3
2b2nkb/5p2/q1p1p2B/1pPpN2N/1P1Pn1P1/3B3P/1Q6/6K1 w - -,d3e4
r1b2rq1/pp4k1/2n3pR/4PpQ1/8/2PB2B1/P4P2/2R1K3 b - -,c6e7
8/6k1/4K1Pp/7P/8/8/2B5/8 b - -,g7g8
8/r7/3p4/6P1/2PkP1KP/5R2/1P6/8 b - -,d4e4
R7/8/p1r1k2p/4P1p1/1p6/3K2P1/P7/8 w - -,d3d4
3r1k2/4n1b1/R3b2p/5p2/4pP2/2P5/1P5P/4RK2 w - -,a6e6
r1bq1rk1/p3b3/1pn1p2p/2pp1pp1/2PPn3/P2BPNB1/1P2NPPP/R2Q1RK1 w - -,f3e5
r3nrk1/pbqpb1pp/1pn1p3/2p1P3/2P1NB2/5NP1/PP3PBP/R2QR1K1 b - -,a8d8
6k1/pp1R1p1p/4r1p1/8/1b6/5K2/PB3PPP/8 b - -,g8f8
3r1rk1/pppqbppp/2n1bn2/4p3/4P2N/2P3P1/PPQN1PBP/R1B2RK1 w - -,f1e1
r1b3k1/1pq1bppp/p3p3/2N1n3/8/1P4P1/PBP1QPBP/3R2K1 b - -,e5g6
2k4r/1p1r1pp1/p3p2p/2qb4/3n1P1B/3BQ3/PPPR2PP/1K3R2 b - -,d7c7
7r/6p1/3k4/4pK2/2p1R2p/P6P/6P1/8 w - -,e4c4
r2r2k1/1p2n1pp/p2b1p2/3p1q2/3P1PN1/PP1Q2PP/1B4K1/2R2R2 w - -,d3f5
r3kb1r/pp1q1ppp/2p1pn2/3p4/2PP4/1P1QP3/P4PPP/RNB2RK1 b kq -,f8d6
5rk1/5qbp/3p2n1/3Pp1p1/2B1P1P1/1P2Q3/4KB1P/3N4 b - -,g6f4
rn1bk2r/pb1q1p1p/1ppPp2B/2P1p3/Q3N3/P7/1P2PP1P/R3KBR1 w Q -,g1g7
6k1/1pp1q1b1/3n2p1/p1pPp1P1/P1P1Pp2/1PN2N1Q/5P2/2K5 w - -,c1c2
4r1k1/pp3ppp/2n5/3q1n2/3Pr3/4BN1P/PP3PPQ/R3R1K1 w - -,f3d2
4k3/1p4p1/p1p1p3/P6P/1PPP1K2/8/8/8 b - -,e8f8
3r1rk1/1pqbnppp/p2bp3/8/5P2/2P2BP1/PP1N1B1P/R2Q1RK1 b - -,d6c5
1r1q1rk1/pb3p1p/1p1pp1p1/2p5/1PPbPP2/P2P2P1/3B2BP/1R2QR1K b - -,d8e7
4k2r/ppp1n1pp/5p2/4n3/4PB2/P7/1PP3PP/3K1B1R b k -,e8f7
3r1rk1/pbqn1pp1/1p3n1p/2pPN3/5P2/1PN2B2/P1Q3PP/3RR1K1 b - -,a7a6
2r3k1/7p/p5p1/6q1/4Rn2/PQ1p1P2/6PP/1R5K b - -,g8h8
5k2/8/4b3/p2Np1PB/2pnPp1P/P4P2/3K4/8 w - -,d2c3
4r1k1/1p2rbp1/p6p/P1N5/1PP1pq1n/1R5P/3R2P1/4QBK1 w - -,b3e3
r1b2rk1/ppp2pp1/2nb2qp/4p3/3PNP2/2PB4/PP4PP/R1BQ1RK1 b - f3,c8f5
8/ppp3kp/2n1r1p1/1q6/1Pnr1P2/P5PP/4Q1BK/2R1R3 w - -,e2e6
4r1k1/pp3pp1/4rb1p/3p1q2/3P4/2P1BN1P/PP3PP1/3Q1RK1 w - -,d1b1
rnb2r1k/pp2p1bp/1q4p1/4Pp2/3Pp2P/4B1P1/PP1N1P2/1R1QKB1R b K -,h7h6
2b2r1k/1p4pp/2p5/3p1p2/P2P1B2/q3PPK1/2nQ2PP/1R5R b - -,a3a4
8/3k1p2/2q1p3/2BpPp1p/1QbP1P2/Np5P/2rN2P1/3K4 b - -,c2a2
1r1q1r1k/2n1b1pp/1n1p4/B1pPpp2/4P3/3B1NPP/1PQ2PK1/R3R3 w - -,e1d1
8/pR6/3p4/3P1rk1/8/8/PP4P1/6K1 b - -,f5d5
2r3k1/5pb1/4p2p/p1P1P1pP/1r6/3N4/PPR2PP1/R5K1 b - -,b4d4
r1b2rk1/p1p2pbp/5qp1/3Q4/8/4B3/PPP2PPP/2KR1B1R w - -,d5d4
3q1rk1/rpnb2pp/2p5/p1Pp1p2/N2P4/PP3PP1/3Q2BP/1R3RK1 w - -,f1e1
r1br2k1/pp1qppbp/6p1/8/3P4/4B1P1/PP3PBP/R2Q1RK1 w - -,d1b3
3r1k2/3rpn2/1p1p1pq1/p1n5/P1P1PPp1/1PN1N1Pp/2Q1R2P/1R5K w - -,e3f5
1r2r1k1/p3Bpb1/2p1p1p1/q6p/1PQ3b1/5N2/P3B1PP/3R1K1R b - -,a5a4
5k2/p4p2/1p6/1R4R1/3P3P/r3P1P1/5PK1/r7 w - -,h4h5
2rr1nk1/pp1b2p1/2n1p2p/3pP3/5P1q/4B1N1/PPB3PP/R2QR1K1 w - -,a1c1
3r2k1/pb3pp1/1q2nb2/2p5/2B3R1/P3P2P/2Q2PP1/1R4K1 b - -,b6c7
r2q1rk1/1b1nb1p1/2p1p2p/1pPp1p2/1P1P4/2NBPNP1/2Q2PP1/1R3RK1 w - -,c3b5
r3r3/p3kppp/1qp1bn2/3p4/3N4/1P6/P1P1QPPP/RN1R2K1 b - -,e7f8
r2r2k1/pbq1nppp/1p1bpn2/3pN3/3P1P1P/1PPB2P1/PB1NQ3/R3R1K1 w - -,h4h5
r4r2/1p2ppkp/2bp2p1/4n3/2B1P3/2N2P2/PRP3PP/5RK1 w - -,c4b3
r1bqk2r/pp2ppbp/2p3pn/2p1P3/8/2N2N1P/PPPPQPP1/R1B1K2R w KQkq -,g2g4
r3r1k1/ppq2ppp/2p1b3/3n4/2N5/PP4P1/2QRPPBP/4R1K1 b - -,b7b5
3r2k1/1bq2p1p/4r1p1/pBpnb3/Pp6/7P/RPPBNPP1/3Q1RK1 w - -,d1c1
6k1/1p3pp1/p1q2n1p/b3pN2/4P3/1P1r4/P1P2PPP/R2R2K1 w - -,f5e7
6k1/2q1ppb1/3p4/2rP1bQ1/2P5/5NB1/5PP1/2R3K1 b - -,f5e4
r1b1k2r/pp3ppp/2q1pn2/2b5/2B5/1P3N2/P1P2PPP/R1BQ1RK1 b kq -,e8g8
r3n3/5k1p/1RB1p1p1/3pPp2/p2B1P2/4P1P1/1P5P/2n3K1 b - -,a8c8
5rk1/4qppp/4r3/1pbn4/2p5/2Bp2QP/PP1N3P/R4R1K b - -,d5c3
r4rk1/pp1R2pp/8/5p1q/8/6P1/PPQ1bPBP/R5K1 b - -,f5f4
8/p2q2pk/Pr2p2p/1PQbPp2/2pP4/2P1P3/5RPP/1R4K1 w - -,h2h3
8/1p6/kP2K3/2p5/8/6r1/8/1R6 b - -,g3d3
5qk1/5p2/pp3rp1/3b3R/3PpQP1/P3P3/2r1BPK1/7R w - -,h5h8
r3k2r/p1qb1ppp/2pbpn2/8/4Q3/3B1N2/PPP2PPP/R1B1K2R w KQkq -,e4h4
1R4k1/7p/8/5p2/6n1/6P1/r7/6K1 b - -,g8g7
5bBk/8/5PR1/2p1P3/3p1K2/2r5/8/8 b - -,d4d3
r5k1/2p1q1pp/1p2br2/2n1p3/p1P1Pp2/P1R4P/1PBNQPP1/3R2K1 b - -,f6g6
6k1/6p1/2p2p2/1p1nBP2/r7/1p4P1/1Pp2PBP/2R3K1 w - -,e5f4
r4rk1/1pqnbppb/2p1pn1p/p2p4/2P5/PPBP1NP1/2QNPPBP/R4RK1 w - -,c2b2
8/8/1R6/p1p2p2/P1P1k2p/4P1rP/1P4K1/8 w - -,g2f2
r3k2r/pp2ppb1/n2nb1p1/3N2P1/8/3P4/PP1BN1BP/R3K2R b KQkq -,g7b2
8/5p1R/8/p3k3/2P3r1/P2K4/7P/8 w - -,h7f7
8/8/p2k4/2p2p1p/P4P1N/1P1K2P1/7P/5n2 b - -,f1h2
r2q1rk1/pp1n1p1p/2p2np1/5p2/PbBP4/2N1PP2/1PQ3PP/R1B2RK1 b - -,a8c8:d7b6
2b1rrk1/p2q2bp/1pn2np1/2p5/3pRPP1/P2P1NBP/1P1Q2B1/4RNK1 w - -,e4e2
2r1r1k1/1bq2pb1/pp1ppnp1/4B2p/2P1P3/2NQ1B2/PP1N1PPP/R4RK1 b - -,d6e5
1r2kb1r/pp1q1p2/n1p1pp2/8/2PP3p/PQ1bBN1P/1P3PP1/2KR3R w k -,d1d3
8/p2rr2k/1p4p1/3Qpp1p/P7/3P1PP1/4P1KP/2R1R3 b - -,d7d5
r5k1/1p4bp/p1p5/P3r3/1N1pp3/1P3bP1/2PB1P2/2R1R1K1 b - -,e5h5
8/8/1bk2p2/6p1/1P1p1P2/1B1N1K1P/5P2/8 w - -,f4g5
2k2brr/1bpq1p2/1pn1pP1p/1B1pP1p1/1p1P4/P1N3B1/2P3PP/R2Q1R1K w - -,a3b4
6rb/pp2k3/2npbn2/1B2p3/5p2/P1N1P1P1/1PPN2PB/2K4R b - -,f4e3
r2qk1nr/pp1n2pp/2pb4/3p1p1b/3P4/4PN1P/PPQNBPP1/R1B1K2R b KQkq -,g8h6
8/2q3kp/3p2p1/3Q4/4P3/5P1P/6PK/8 b - -,g7f6
r1bq1rk1/ppp2pbn/2np2p1/4p2p/2P1P3/2NP2PP/PP2NPB1/R1BQK2R w KQ -,c1e3
1rb1k2r/1p1nqpbp/p2p1np1/2pPp1B1/P1P1P3/2NB1N1P/1P1Q1PP1/R3K2R b KQk -,h7h6
r2q1rk1/pbpnppbp/1p4p1/8/1PBPN3/4PN2/P4PPP/1RBQ1RK1 b - -,b7e4
5rk1/1p1qp1rp/p2p1pp1/3P4/P1PQ3P/1P2R3/5PP1/4R1K1 w - -,e3e6
5rk1/p1pq2pp/1ppnbpr1/8/PP3Q2/3PNP2/1BP3PP/R4RK1 w - -,f1e1
1rbq1rk1/2p1npbp/p2p2p1/2p5/2P5/1PN3P1/P1Q1PPBP/R1BR2K1 b - -,c8f5
3r4/1p2rpkb/pPp3pp/3p1P2/1P2P1P1/3B1K1P/P2R4/2R5 w - -,d2e2
2kr4/1p3P2/1qb4p/3p1N2/p3RPrp/P7/1P1Q2PK/2R5 b - -,d5e4
r1bqkb1r/pp2nppp/2n1p3/2pp2B1/4P1P1/2NP4/PPP2PBP/R2QK1NR b KQkq -,f7f6
8/8/1p3rp1/8/1P4R1/k1K5/8/8 w - -,c3c4
r1b2rk1/2q1bppp/pn1p1n2/1pp1p3/4P3/1BPP2NP/PP3PPN/R1BQR1K1 b - -,c5c4
2rqkb1r/pp1n1ppb/2p1p1np/3pP3/3P1B2/1NP2N1P/PP2BPP1/R2QK2R w KQk -,f4h2
r3rqk1/1b1n1pb1/p2p1npB/1ppPp2p/4P3/1PP3NP/P2Q1PPN/R2BR1K1 w - -,h6g7
q1rr1nk1/1b3pb1/pp1pp1p1/6np/P2PPP1P/1P4N1/1B2Q1P1/RB2R1K1 w - -,f4g5
8/5p2/4r2p/8/6k1/P1K2pP1/3R1P2/8 w - -,d2d3
r1bq1rk1/ppp2pbp/n2p1np1/3Pp1B1/2P1P3/2N2N1P/PP3PP1/R2QKB1R b KQ -,h7h6:d8e8
1rr3k1/3qppbp/b1n3p1/2Rp4/1p1P4/4BNPP/PP3PB1/3QR1K1 w - -,d1c2
r1bqr1k1/2p1bppp/pp3n2/3pP1B1/8/2NBP3/PPQ2PPP/R4RK1 b - -,f6g4
4r1k1/5p1p/3p2p1/1qpPb3/1n3B2/R2P2PP/1P1Q2BK/8 b - -,e5f4
rn2kb1r/3ppppp/6q1/1Bpb4/P7/4PN2/1P1B1PPP/R2QK2R w KQkq -,e1g1
3r1rk1/1p1qnppp/p1n5/2bp4/P4Bb1/5NP1/1PP1NPBP/R2QR1K1 b - -,d5d4
rnb1kb1r/pp3ppp/2p2n2/4p3/2B1P3/2N1BP2/PPP3PP/R3K1NR b KQ -,b7b5
r6k/1p3rb1/pN1p3p/6p1/2P5/8/PP3P1P/3RR1K1 b - -,a8f8
8/6k1/5b2/5Rp1/6Pp/2p4P/1pK5/8 b - -,g7f7
3rr3/pb3qpk/1ppPp2p/4Bp2/1PP4P/6Q1/P1B2PP1/4R1K1 w - -,c4c5
4rk2/pp1n1pbp/3P2p1/2r5/5B2/1P3N2/P5PP/3RR1K1 w - -,f3g5
1r6/6pk/6q1/P1R1pp1p/4b3/2B3rP/3QR1PK/8 b - -,b8b1
r3r3/1kp3pp/1ppn1q2/3p4/P2P4/R3B3/1PQ2PPP/2R3K1 b - -,d6c4
r1r3k1/4q2p/3Rb1p1/4p3/pp2P3/1N3P2/PPPQ2P1/1K5R w - -,b3c1
6k1/3b1pb1/3n2p1/rpqPp3/2r1P2p/PQ2PB2/N3RNPP/5RK1 w - -,a2b4
r6r/1pk1b1pp/2n2p2/p2Bp3/P5P1/1N2P3/1PP1K2P/6RR b - a3,c6b8
r1bq1rk1/1p3ppp/p1n5/2bN4/3p4/6P1/PP1NPPBP/R2Q1RK1 w - -,a1c1
8/8/p3k2B/P2p1p2/3P4/4r3/2p3K1/R7 b - -,e3a3
8/1p1nk3/p2p2pn/P1pP1p1p/2Pb1P2/1PN2KPP/2B5/4B3 w - -,c3d1
r2qkbnr/1pp2ppp/p1np4/4p3/2B1PPb1/2N2N2/PPPP2PP/R1BQ1RK1 b kq -,d8d7
2r2rk1/pp1qbppp/2n1pn2/2p5/Q7/2NPB1P1/PP2PPBP/R4RK1 b - -,f8d8
r2q1rk1/1p1bbppp/2n5/p1p1p3/Q1Pp4/P2P2P1/1P1NPPBP/R1B2RK1 b - -,g8h8
1r2bk2/2r2p2/5p1R/pp6/3RB3/3P4/1P2PK1P/8 b - -,c7c2
r2q1rk1/pb4pp/1pp5/3p1p2/3P1P2/2Q1P3/PP3PBP/3R1RK1 b - -,d8h4
8/6pk/P4p1p/1K2pP2/2R5/8/8/r7 b - -,a1a6
5b1r/p2q1kp1/6nr/PppPpp2/2P4P/5PB1/1P4QP/R4NRK w - -,b2b3
rn1qk2r/pb1pbppp/1p2pn2/8/2PP4/1P1B1N2/P4PPP/RNBQ1RK1 b kq -,e8g8
r2q1rk1/4bppp/p1n1pnb1/1pp5/4PB2/2P2N1P/PPBN1PP1/RQ2R1K1 w - -,e4e5
1r2r1k1/5pnp/p2p2p1/q1pP4/2Q5/1P4P1/P4PBP/R4RK1 w - -,a2a3
2rq1rk1/pb2nppp/1p1bp3/2p5/2NPpPP1/PP2P3/1BPN3P/R2Q1RK1 b - -,d6b8
2rrqbk1/p4p1p/P5p1/1p1pN3/1p1P1P1P/1P1QP3/6P1/2R1R1K1 b - -,f7f6
2rqr1k1/1b3ppp/ppn1pn2/1B6/Q2P4/B1P2N2/P4PPP/1R3RK1 w - -,b5e2
r4rk1/3q1pbp/2npb1p1/1p2p3/1P2Pn2/3PNN1P/2BB1PPK/R2QR3 w - -,h3h4
4r3/B2q2bk/n5pp/1N3p2/P1p2P2/5QP1/1n5P/R4R1K b - -,b2a4
8/8/8/8/pp4p1/P5Pk/1r6/R4K2 b - -,b4b3
r1b2rk1/bp1n1ppp/p3pn2/6B1/8/5NP1/PP1NPPBP/2R2RK1 b - -,f6d5
4rr2/pp1q2kp/2p1p1p1/3n1p2/3P3P/2PQ1BP1/PP3P2/3RR1K1 b - -,d5f6
5rk1/1p1bqppp/1p6/r4P2/Pp1pP3/1B1P2Q1/6PP/R4RK1 b - -,e7e5
5k2/1p4pp/1p1P4/6qP/2R5/5p2/P4PP1/4R1K1 w - -,g2g3
4rrk1/p2qn1pp/1p2bp2/2p5/3pP3/PP1P2NP/2PN1RP1/R4QK1 b - -,d7c7
3r1r1k/ppp1p1np/4Pp1b/6p1/5P2/4KBPP/PPP1N3/R6R b - -,g5f4
8/8/R7/P4k2/8/5PK1/8/r7 w - -,a6a8
8/1p2k2p/2npp1p1/PB4P1/4PP2/2B2K2/7P/4b3 w - -,c3f6
r2qk2r/pbppn1bp/1p2p1p1/5p2/2P1PPn1/2NP2P1/PP1QN1BP/R3K1BR b KQkq -,e7c6
r1bq1bk1/pp3r1p/2n1p2p/3pP3/NP6/P2B1N2/5PPP/2RQR1K1 b - -,a7a6
r2qr1k1/pp3pp1/2pb3p/3p4/PPnPb3/2B1PNPP/5PB1/R2Q1RK1 b - -,d8e7
8/7p/4p3/3p1pp1/1k1P2P1/1P2PP1P/1K6/8 b - -,h7h6
4rbk1/1pqb1p2/r1p2n1p/p1pPp3/2P1P1p1/1QN1N1PP/PP2RPB1/3R2K1 w - -,h3g4
8/8/4k2p/2b2Np1/4K1P1/5P1P/8/8 b - -,c5f8
4rrk1/ppp2p1p/3pBnpb/Q7/4PP1q/2P1B2P/PP1N2P1/4RRK1 b - -,f7e6
r4rk1/1qp3b1/3p2pp/p2Pp3/4R3/1PNQ4/P4PPP/2R3K1 w - -,e4c4
2r3k1/p3bpp1/4b2p/q3p3/NrP4P/1P3PP1/Q3R1BK/2R5 w - -,g2h3
5b2/8/2k4p/5N2/5pPP/8/6K1/8 w - -,g2f3
1n1r2k1/r1pqn1b1/pp2b1pp/4pp2/1P6/P2PPNP1/1BQ1NPBP/2RR2K1 b - -,d7d6
r1q1r1k1/pp1Nppbp/1n4p1/2p5/2p1P3/2N1n1P1/PPQ2PBP/R2R2K1 w - -,f2e3
r1bq1rk1/pppnbpp1/3p1n1p/4p3/2BPP3/1PN2N2/P1P2PPP/R1BQ1RK1 w - -,c1b2
3r4/1p6/1pn1k3/p7/PbNPB2p/4P3/1P6/2R4K b - -,c6e7
2r5/1p3p1k/3R1B1p/4pP2/PpP5/7B/2b4P/6K1 b - -,b4b3
rn1qkb1r/pp2pppp/2p1b3/3n4/2B5/2N2Q2/PPPPNPPP/R1B1K2R b KQkq -,d5c7
r3k1nr/pb2ppbp/1pp3p1/3q4/3PN3/2P4P/PP1N1PP1/R1BQ1RK1 w kq -,f1e1
6k1/2rr1p2/4pRpQ/pp5p/3P3P/P1P5/6P1/1q3RK1 b - -,b1e4
2kr3r/pp3p2/2p2n2/4qN1p/P2b2n1/4P1P1/1PQ2PB1/R2R2K1 w - -,f5d4
r4rk1/pb1n1ppp/1ppqp3/8/2PPn3/1P3NP1/P1Q2PBP/R2R2K1 w - -,c2e4
1nr1kb2/1Q6/3p1q1p/1Pp1pPp1/2P1P3/5P2/1K1BB2R/8 b - -,f6d8
1nrr2k1/4qp2/6pQ/p3p2p/PbppPP1P/1N3RP1/1P5N/5RK1 b - -,c4b3
5r2/p3qrbk/1p1pn1pp/4p3/1PPpN3/P2P1pP1/1B2PPQP/4RRK1 w - -,g2h3
1k4r1/p7/bp2p3/3p1pq1/3P4/P4Nr1/1P1R1QP1/3R2K1 b - -,g5h5
4k3/ppp4p/2bp1q2/4np2/2P2B2/3Q1PPB/PP5P/6K1 w - -,f4e5
8/p4pk1/8/2R1P3/2p3p1/P1r3P1/5P1P/6K1 w - -,c5a5
1r2b1kr/p6p/1q1pPppR/6P1/2pN4/2Q2P2/PPP5/2K4R b - -,f6g5
3n2k1/1p2rpp1/7p/8/Pp2p3/1P3NP1/5P1P/4R1K1 w - -,f3d4
4r1k1/5pp1/p4qp1/1p1N4/4n3/1P1R3P/P1Q2PP1/6K1 b - -,f6e5
8/p6R/4k1p1/6P1/8/2nP2P1/r3PP2/5K2 b - -,c3e2
5k2/1R3ppp/8/3p4/7P/3K4/1P3PP1/4r3 b - h3,g7g6
rnbq1rk1/5ppp/p3pn2/1p2N3/1b1P4/2N5/PP2BPPP/R1BQ1RK1 b - -,c8b7
8/p7/2b1k1p1/1pp1p1r1/8/PPP1N3/3KR3/8 b - -,g5g1
4Nk2/5p1p/4p1p1/1n6/1P6/P4B2/5PPP/6K1 b - -,f8e8
r4rk1/1R3ppp/5q2/1p1Bp3/Pb6/4P3/1P2QPPP/3R2K1 w - -,e2b5
3r4/q4ppk/p2r3p/1p2p3/2p1P3/P1PnNP1P/1P2R1PK/R4Q2 b - -,d3b2
rn1qkb1r/ppp2ppp/4p3/3n3b/2BP4/4BN1P/PPP2PP1/RN1QK2R b KQkq -,d5e3
3qr1k1/2p2pp1/5n1p/p2P4/1bP2B2/r3NQ1P/P4PP1/1R1R2K1 w - -,b1b2
r1bq1nk1/5p1p/pp1p1p1Q/3P4/2P1R3/6P1/PP3PBP/6K1 b - -,a8a7
r2q1rk1/pb4pp/1p2pb2/2np4/8/1P1B1PB1/P1PNQ1PP/R4RK1 w - -,a1d1
2n1k3/4p3/p2p1p1p/1p1P1P2/1P2PPK1/P7/5B2/8 b - -,e8f7
8/R3nk2/4r2p/6pK/6P1/5P2/8/8 w - -,a7a4
r1b1kb1r/1pq2ppp/4pn2/p1P5/2P5/P4N2/1PQ2PPP/R1B1KB1R w KQkq -,g2g3
3rr2k/7p/6pB/n3np2/1p1q1Q2/1Pp3P1/P3R1BP/5R1K b - -,d4f4
r1b2rk1/p2nq1bp/2p1ppp1/3pP3/N1P2P2/4B3/PP2B1PP/R2Q1RK1 w - -,e5f6
4r1k1/2b2ppp/3n4/5bP1/4nB2/Pp6/1P4BP/K1N1R3 w - -,h2h4
8/1p1rb3/2p1k1pp/3r4/p3pPP1/P1B1R2P/1P2K3/2R5 b - -,e6f7
