8/p2Rrk1R/4p3/1p2P3/8/1P2q3/P5PK/8 b - -,f7g6
1k1r3r/pbpn1p2/1p1pq3/4pNp1/2PPPn1p/2P2P1P/P1QR1BP1/2K1RB2 w - -,e1d1
4B3/8/7k/5K2/1P2P2p/8/5b2/8 w - -,e8c6
4k3/p1rnpp1p/2Rp4/3P2p1/PP4P1/6KP/5PB1/8 b - -,e8d8
2qbb1k1/1pP2rp1/p1p2r1p/B1Pp1p1P/3PpN2/P3P1P1/1K1Q1P2/3B2RR b - -,d8c7
8/p7/4ppk1/3n3p/8/r7/PR1BKPPP/8 w - -,b2c2
4r1k1/p5p1/1pp1b1pp/8/P3P3/7P/1PPr1PPB/4RBK1 w - -,f1d3
r3k2r/pp2bppp/4pn2/4N3/2P5/4B3/PP3PPP/R2R2K1 b kq -,e8g8
2rq1rk1/p3ppbp/3p2p1/5P2/1pb1n3/4Q3/PPPBB1PP/3NRR1K b - -,e4d2
8/p1p3k1/5p2/2P2P2/2Krr1p1/8/PP6/3RR3 w - -,d1d4
5k2/2Rn1ppp/1p1r4/P7/8/3bBBP1/P4P1P/6K1 b - -,b6a5
5b2/4k3/pr2p2p/5p2/5P2/1P2P3/4KN1P/3R4 w - -,d1a1
r3k2r/p2b2pp/1ppQpp1n/2n5/2P1q3/2B2N2/PP2BPPP/2KR3R w kq -,h1e1
r2r2k1/ppqnbpp1/4pn1p/7P/2Pp4/P1B2NN1/1P2QPP1/R2R2K1 w - -,f3d4
r2qkb1r/pp1b1ppp/2n1p1n1/2ppP3/3P4/2P2NP1/PP2BP1P/RNBQ1RK1 b kq -,f8e7
r7/5pp1/2k1b2p/p7/2Pp3P/P1RN2P1/2P1KP2/8 w - -,c3b3
r1bq1rk1/pp3ppp/3b1n2/2p5/3pB3/2PP2P1/PP2NP1P/R1BQ1RK1 w - -,e4g2
1r3rk1/3qnpbp/p1npb1p1/1ppNp3/2P5/P1NP2P1/1P2PPBP/1RBQR1K1 b - -,g8h8
r3k2r/pp2bp1p/2pnbp2/3p4/3P3N/3BP1N1/PP3PPP/2KR3R b kq -,e8d7
5k2/1p5p/1P4p1/5p2/8/3pPb2/7P/5NK1 b - -,f8e7
r3r1k1/4ppbp/1q1p2p1/p1p5/1pP1P3/P2P3P/1P1QNPP1/1R1R2K1 b - -,e8b8
r1b2rk1/p3ppbp/1p4p1/4n2n/NP2P3/PN2BP2/4B1PP/3RK2R w K -,b3d4
8/6pp/5n2/3p1P2/k1pK4/6P1/3N3P/8 b - -,a4b4
r5k1/1bpq3p/pn3rp1/3p2N1/1n1PB1P1/R5BP/1P3P2/2QR2K1 w - -,e4g2
Q4n1k/4q2p/3p4/6p1/P3Pp2/2R4P/6P1/6K1 w - g6,c3c8
rnb1kb1r/pp3ppp/1q2pn2/2p5/3P4/4BB2/PPP2PPP/RN1QK1NR w KQkq -,b2b3
5k2/5p2/5npp/p2p4/Pr1N4/1P3P1P/r5P1/3R1RK1 b - -,f6d7
r1r3k1/pp1nb1pp/n2p2q1/1P1P1p2/2PppP2/P3P2P/1BQN2P1/R4RK1 w - -,b5a6
5q2/4r1kp/2R3p1/1p6/8/1P3BP1/5P1P/3R1K2 w - -,f1g2
rnbqkb1r/p2ppppp/8/2pP2N1/1p2N3/8/PPP1PPPP/R2QKB1R b KQkq -,h7h6
r2qr1k1/1b1nbppp/p3pn2/1pp5/2P1p3/1P1P1NP1/PBRN1PBP/3Q1RK1 w - -,d3e4
r1r3k1/5pp1/3Q3p/8/1P2P1qP/p2R4/P1P2PP1/1K5R w - -,d6d4
3k4/P6p/8/2R3p1/2N3P1/4K3/2r4P/7b w - -,h2h3
3N4/1p2p3/p2p3p/P2Pk1p1/1P4P1/3b1K1P/8/8 w - -,d8f7
3r2k1/R2np2p/3p2p1/2p5/5nP1/2N5/7P/2R3K1 b - -,g6g5
4r1k1/3Q1p1p/1p4p1/p3q3/8/1P2P1P1/P4P1P/2R3K1 w - a6,d7d4
r5k1/3q1pbp/rn1p1np1/1p1PpP2/1Pp3P1/P3B1RP/2B2PQN/R6K w - -,a1d1
5n2/1p2rpb1/2pk2p1/p2p2P1/P2P1N1r/4PR1B/1P1K1P2/2R5 w - a6,b2b3
r4rk1/1pq2ppb/2p2n1p/p1b1p3/P3P3/5PP1/1PP1QNBP/R1B1R2K b - -,f6d7
5k2/1p1q1pp1/p1p2bbp/2P5/1PNp1P2/PB1P2P1/4QK1P/8 w - -,f2e1
r2rb1k1/pp2bppp/2n1p3/7q/3P4/P1NBQN2/1P3PPP/3RR1K1 w - -,d3c4
8/4kp1R/1n2p3/KP6/p7/3B4/P1P2r2/8 b - -,b6d7
1r1qnbk1/1pp2pp1/7p/1p1P1b2/2NQ4/P1N3P1/5PBP/2R3K1 w - -,c3b5
1b6/p6p/5kpP/1P1bp3/3B1P2/3B2P1/2K5/8 w - e6,d4c3
8/p4pk1/1p4pp/1P2r3/8/4b3/4B1PP/5R1K w - -,g2g4
r1bqkbnr/pp1npppp/2p5/3p4/3P4/5NP1/PPP1PPBP/RNBQK2R b KQkq d3,g8f6
3nQbk1/4Rp2/q2p2p1/2pP4/8/7P/5PP1/6K1 w - -,e8d8
3rr3/5pkp/pnqp1np1/1p2p3/2p1P3/P1P2NPP/1P2QPKN/2RR4 w - -,d1e1
4kb1r/pp1b1ppp/5n2/q2Rp1B1/2Q1PP2/2P5/P1P3PP/2K2B1R b k -,f6d5
2b1r1k1/5ppp/1bp2q2/pp2pN2/1P2P3/P1P2N1n/2B2PPK/3RQ3 b - -,c8f5
3r1b1k/1p3p1p/p2p1pp1/2rNqP2/3RP3/1P1Q3P/1PP3P1/3R3K b - -,f8h6
8/p3npp1/1ppk3p/3p4/P2P4/1PPBK2P/5PP1/8 w - -,f2f3
r1b2r2/pp3p2/2ppnkpp/8/1PP1P3/5NQ1/P5PP/1B4K1 b - -,f8d8
3r2k1/5pp1/4p2p/q1P1n3/p7/5N2/P1Q3PP/1R4K1 b - -,e5c6
r3r1k1/1bqn1pbp/p1pp1np1/1p1Pp3/2P1P3/1P2BNNP/P1B2PP1/2RQR1K1 b - -,b5c4
7k/1b2p2p/2q1p1pb/pp2P3/5P2/P6P/1PR2QPB/3r1NK1 b - -,c6e4
8/5p1k/6p1/5r2/7p/6qP/3Q2P1/3R2K1 b - -,g6g5
r2qrnk1/ppp2pb1/3p1np1/1P3b1p/2PPp3/2N1P3/PBQNBPPP/R4RK1 b - -,h5h4
3rr1k1/1pp2pq1/1n1p1nbp/pP2p1p1/P2PP3/2P2QB1/B2N1PPP/R3R1K1 w - -,a2b3
8/1p6/p3k3/2B2pbp/2P1p3/1P2K1P1/P4P2/8 w - -,e3e2
7k/1p3p1p/p3rpr1/8/8/2B2RPK/PP3P2/8 b - -,h8g7
R7/8/8/6p1/P3kp2/r5PP/5PK1/8 w - -,g3f4
8/k7/4K3/3P4/1p6/1P4b1/P7/8 w - -,e6e7
8/2r2p1k/1p2nn1p/pB1pN1PP/P2P4/4P3/5PR1/2r3RK b - -,c1g1
r2q1rk1/pb3ppp/1p1p4/2pP4/2PnNb2/3P2P1/PP4BP/R2Q1RK1 w - -,f1f4
r1b2rk1/pp5p/2p1P1p1/2bppP2/P5P1/7P/1PPK4/R2N1B1R w - -,b2b4
2qr1rk1/pb2ppbp/1p3np1/2pPN3/2P5/3B3P/PP3PPB/R2Q1RK1 b - -,e7e6
3q1rk1/2b1pp1p/p1p1b1p1/1rPp1P2/N3P3/1P4P1/P2Q2BP/2RR2K1 b - -,g6f5
r1b2rk1/p2nppbp/3p2p1/3P4/1qp1PP1Q/5N1P/PPB3P1/R1B2RK1 b - -,c4c3
rn3rk1/p3pp1p/6p1/qpPB1b2/5B2/2b1PN2/P3QPPP/R4RK1 b - -,b8a6
r3kb1r/pp1qppp1/2bp1n1p/6B1/3QP3/2N2N2/PPP2PPP/2KR3R w kq -,g5h4
r1b2rk1/ppqpbppp/2n1pn2/2p1P3/5P2/2N2N2/PPPPB1PP/R1BQ1R1K b - -,f6d5
rn1qk2r/pp2bppp/3p1n2/2pPp2b/2P1P3/2N2PP1/PP4BP/R1BQK1NR b KQkq -,b8d7
r2q1rk1/pp3ppp/1npbpn2/4N2b/2BP1P2/1Q2P2P/PP1N2P1/R1B2RK1 w - -,d2f3
2r5/p4pk1/4p2p/1q3p2/4n3/1P2QNP1/P4PKP/4R3 w - -,g2g1
rn1qkb1r/pbp1pp1p/1p3np1/3p4/5P2/5NP1/PPPPP1BP/RNBQ1RK1 w kq -,b2b3
r4r2/1ppbqppk/1p1p2np/4p3/4P3/PB1P2PP/1PPN1P1K/R2Q1R2 b - -,a8e8
r5k1/p2qbr2/2p1bp2/2p1p2p/5n1p/1PNPNQ2/PBP2PP1/4RRK1 w - -,g2g3
7k/8/3K4/6pP/8/7P/8/3B4 w - -,d6e7
4r2k/6bp/B5p1/p1r5/P2n1PP1/2R5/1Pp4P/2B2R1K b - -,c5c3
r3kn1r/pp1b4/2nbpq1p/3p2p1/3P4/P2Q1N2/1PBBNPPP/R3K2R w KQkq g6,h2h3
8/p2Rppkp/6p1/2p5/2P5/r5P1/5P1P/6K1 b - -,g7f6
r1bq1rk1/pp2ppbp/2n3p1/3p3n/3P4/PP1B1N2/1BPN1PPP/R2QK2R w KQ -,e1g1
5rk1/q1r3bp/b3p1p1/1p1pP3/pNnP2PP/P1NR1B2/1P2Q2K/2R5 w - -,c1f1
r2q1rk1/p1pn1ppp/3b1p2/8/3P4/5Q2/PPP2PPP/R1B1K1NR b KQ -,c7c5
2r2rk1/pbqnbppp/4p3/1Pp5/2B3n1/P3PN1P/1BQN1PP1/4RRK1 b - -,g4e5
1r4k1/5b2/r2b1Q2/2p1p2p/p1PpP2P/BP3P2/K1P5/1R6 b - -,a4b3
rnbqkbnr/pp2pppp/3p4/1Bp5/4P3/1P6/P1PP1PPP/RNBQK1NR b KQkq -,b8d7
2R2rk1/6b1/3qp1p1/3p3p/3p4/3P2P1/3QPPBP/1R4K1 b - -,f8c8
2r2k1r/1p2pp2/3qb2p/pB1p2p1/P2n2P1/3QN3/1P3PP1/R3KN1R b KQ -,d6b4
r4rk1/pR4pp/4p1n1/3pp3/7P/2PBRQ2/q4PP1/6K1 w - -,f3g3
r2qr1k1/pb1n1pbp/1ppp1np1/4p3/2PPP3/2N1B1PP/PP1QNPB1/3R1RK1 b - -,d8c7
3rr1k1/pp2qp1p/3pB1p1/4p1b1/4P3/1NP2Q2/PP3PPP/R2R2K1 b - -,f7e6
2bq1rk1/4pp1p/1pPp2p1/bP6/8/8/3BBPPP/3QK2R w K -,d2a5
3r1rk1/pbqnppbp/1p1p2pB/2p5/2PP4/5NP1/PP1QPPBP/2RR2K1 b - -,d7f6
3rr3/3q1kb1/p1b1n1p1/1p1pPp2/3P1P2/1BN1BRQP/PP4P1/5RK1 b - -,b5b4
r2qk2r/pppb1ppp/2nbpn2/3p4/3P4/4PNB1/PPPN1PPP/R2QKB1R w KQkq -,c2c3
8/2k1b3/p6p/2p1p1pP/P1P1Pp2/5P1K/6P1/8 b - -,c7d6
3r2k1/pp3pp1/4p2p/8/PB2P3/5P2/1P2Kb1P/1R1r4 w - -,b1d1
8/2r3k1/R5p1/3Bp1b1/2P1P3/2PK4/5P2/8 b - -,g5h4
r6r/2q1nkb1/1np1ppp1/pp1pP3/3P1PP1/2N5/PPP1BBQ1/2KR3R b - -,h8h1
2r1kb1r/pp3ppp/4p3/3p4/n4B2/4PN2/PPP1KPPP/1RR5 b k -,f8e7
rn1qkbnr/pp3pp1/4p2p/2ppP2P/3P4/2PQ2N1/PP3PP1/RNB1K2R b KQkq -,d8b6
8/6k1/1R4n1/6K1/8/8/7P/8 b - -,g6e5
rnbqkb1r/pp2pppp/8/2p1P1N1/3Pp3/8/PPP2PPP/R1BQKB1R b KQkq -,c5d4
3rr1k1/pp1nqpp1/2pbp2p/8/2PP4/2N1B1PP/PP3PQ1/2R1R2K b - -,d7f8
r1br2k1/2q1bppp/p2p1n2/np6/3pP3/P4N2/1PBN1PPP/R1BQR1K1 w - -,f3d4
r4rbk/1p2n1b1/p2p4/P2P1pP1/1PB1p1nq/1Q2P1NP/1B2N2P/R2R2K1 b - -,h4h3
8/3b4/p5p1/P2k2Pp/1Pp1r2P/2Pp1K2/3B3R/8 b - -,e4g4
r2q1r2/ppnb2kp/2p3p1/3p4/P1P1NP2/6PP/1P1Q2B1/3RR1K1 b - c3,d7f5
8/p4pkp/6p1/1P6/P7/r2pK2P/3R4/8 w - -,d2d3
r2qr1k1/p1p2ppp/1p3n2/n2P4/3Pp3/P1P1P1N1/Q3bPPP/R1B2RK1 w - -,g3e2
r1b1kb1r/ppq2ppp/2p2n2/3pN3/8/2N3P1/PPPBPPBP/R2QK2R b KQkq -,c7e5
3r2k1/3r1ppp/pq2p3/1pb1P3/2pNQP2/2P5/PP1R2PP/3R2K1 b - -,b5b4
r2q1rk1/2p2pp1/p1np1nbp/1pb1p3/4P1PN/1BPPB2P/PP1N1P2/R2Q1RK1 b - -,g8h7
r2qk2r/1bpnnpb1/p2pp1pp/1p6/3PP3/P1N1BN1P/1PPQBPP1/R4RK1 w kq -,a1d1
r3r1k1/1bb3pp/p4p2/2QpnP2/N1p5/q1N5/2BB2PP/3R1R1K b - -,a3c5
r5k1/5pp1/2N2n1p/pQ1p4/P3rq2/1P5P/5PP1/2R1R1K1 w - -,c1d1
6rk/1pp5/n3N2p/p2Pp3/6n1/8/PPP3B1/5RK1 w - -,f1e1
1r2r2k/3nb2p/1p3pp1/p1pPp3/P1N1PP2/1PR1B3/4R1PP/6K1 w - -,f4e5
8/pp6/2p3R1/4k3/P7/8/1r5P/7K b - -,c6c5
2k5/1p4pp/p1nB1p2/8/2P5/1PK5/4rPPP/7R b - -,e2f2
8/6pk/4Qb1p/3p1N2/2p1q1P1/4N2P/2b2P2/7K w - -,e6e4
rn1qk2r/5p2/4p1p1/pp1bP1Pp/2pP1Q1R/2P5/4BP2/1RB1K3 b kq -,d8d7
2rr2k1/1b3pp1/p1n1p1p1/1p6/3P4/P3B3/BP3PPP/R2R2K1 b - -,c6e7
2r3k1/1p3p1p/6p1/1P3P2/3pq3/8/PQ3R1P/6K1 b - -,e4e3
3N4/8/p3k3/1p2p2p/1B2np2/3R3P/2r5/6K1 b - -,e6f5
5r1k/6pp/1p1r4/1Pbp3q/3Np1b1/4P1P1/3R1PBP/2RQ2K1 w - -,d1b3
rnbqkbnr/pp2pppp/2p5/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq d3,g8f6:e7e6
r4rk1/1p2bpp1/2p1pn1p/3qN2P/p2P4/4BP2/PPP1Q1P1/1K1R3R b - -,a8d8
3r1rk1/1b3pb1/p1n4p/q2p2pP/2p5/P4P2/1PPNNBP1/1R1QR1K1 w - -,d1c1
r4rk1/ppqb1pp1/2pNp2p/2Pn4/P2PB3/R5P1/1PQ2P1P/3R2K1 w - -,a4a5
8/5k2/8/2r1K3/1R4p1/1P1P1bN1/8/8 w - -,e5d4
r3r1k1/5p1p/6p1/p2pP1n1/3B1R2/6P1/P5KP/3R4 w - -,d4b2
8/8/5RP1/8/2p5/2P3r1/2K1p3/4k3 w - -,f6e6
2rr2k1/1p1nb1p1/pnp1p1p1/4Pp2/1P1P1PP1/P5N1/3B2BP/2R2RK1 b - -,g8f7
r1b1r1k1/pppnbppp/3p1n2/8/3N4/2NP3P/PPP1BPP1/R1B1R1K1 b - -,a7a6
r2q1rk1/pb1p2bp/npp1pnp1/3P1p2/2P5/P1N1B1PN/1P2PPBP/R2Q1RK1 w - -,d5e6
1k1rr3/ppq2ppp/1n1b4/1Q2p3/4B3/2P2b1P/PP1B1PP1/R4RK1 w - -,e4f3
8/3b3R/4k2P/3p4/3P1Pp1/6P1/5K2/7r w - -,f4f5
6k1/1pp3pp/5p2/p2P4/2P1r1P1/4PR2/PP1K3P/8 w - -,f3f4
2r4k/5qpp/1r1Bp3/1p2P3/pPn1Q3/6PP/5P2/2RR2K1 w - -,c1c3:d6c5
r1br1nk1/ppq1bpp1/4p2p/4N3/3P4/2PB4/P2BQPPP/R3R1K1 b - -,e7d6
8/6pk/8/4P2p/p1q5/Pb2QP1P/6PK/4B3 b - -,c4c6
8/1p6/p1p1b2p/2P3p1/1P6/k1K5/6PP/3N4 b - -,a3a4
rnrb2k1/1qp4p/3n1pp1/p1RPp3/1p2P3/3BBP2/PP2Q1PP/2R2NK1 b - -,b8d7
3r1r2/1b2b2k/4q2p/QNpp1pp1/P3nP2/1P2P1P1/1B4BP/2R1R1K1 w - -,b5c3
8/kp5r/pn3pp1/3Bp1p1/4P1P1/PQ3P1P/1P3q2/1KR5 b - -,f2d2:f2d4
8/1B4pp/1p1P4/8/3k4/2p3bP/6P1/1r3RK1 b - -,b1f1
r3k3/1b1pqpp1/pb2p3/1p5r/1P1NP2p/P2P3P/B2Q1PP1/R1B2RK1 b q -,b6d4
8/5bkp/2pq2p1/p1N1p3/Pp2Q3/1P5P/2P2PPK/8 w - -,c5d3
r3r1k1/pp2qppp/8/1Nbp4/4nP2/1P2P3/P1QB2PP/2R2RK1 w - -,b5d4
4r1k1/1p2qpp1/7p/8/P3p3/4P2P/2Q2PP1/3R2K1 w - -,d1d4
6k1/p4r2/6pp/bP6/8/5NK1/P4PP1/5R2 w - -,f1c1
3r1r1k/3qnpb1/1Rpp2p1/4p2p/2P5/1QNPP1P1/3B1P1P/1R4K1 w - -,c3e4
r1bqk1nr/pp2bppp/8/2pp4/2NPP3/2P5/PP3PPP/RNBQK2R w KQkq d6,e4d5
3q1rk1/rb1pbpp1/ppn1p2p/8/2P1N2P/P2QP1B1/1P2BPP1/3RK2R b K -,b7a8
3r1rk1/p4p1p/Np1npbp1/3p4/3P4/1P2PBP1/P4P1P/2RR2K1 b - -,d8c8
3Rr3/8/1N1nk1p1/5p1p/4pP2/4P1P1/3K2P1/8 w - -,d8e8
8/p6p/1pp2r1k/7P/2P1R3/P3P3/4KP2/8 b - -,h6h5
2r2q1k/ppn4n/3p4/2pP1N2/2P3Q1/7P/PP3PP1/5RK1 w - -,f5e7
r7/1r2p1bk/2p5/3bpN1p/nP1P2p1/P1p1B1P1/4BP1P/R1R3K1 b - -,e5d4
4rr1k/pp4pp/2b2n2/3pp3/1P6/1N1B1P2/1PP3PP/1K1RR3 b - -,e5e4
8/8/8/5pk1/5r2/R5K1/8/8 b - -,f4g4
2b5/1p2rk1p/3K1pp1/P1N5/4P3/8/1R4PP/8 b - -,f7e8
2k5/p1p1bpp1/2p4p/5b2/4rP2/1NP1B1P1/PP3K1P/4R3 b - -,a7a6
1r1q1rk1/2pbbppp/2np1n2/pp2p3/3PP3/2P2N2/PPBN1PPP/R1BQR1K1 w - -,d2f1
6Q1/p2r4/1p2p3/3k1rp1/3P4/P7/1P3P2/6K1 w - -,b2b4
r1b1k2r/1pp1ppbp/p5p1/5q2/3P1B2/3Q1N1P/PPP2PP1/R4RK1 w kq -,d3d2
4rrk1/B2B2pp/2pn1q2/3p4/P3p3/1P4P1/4Q1KP/6NR b - -,e8e7
1r6/2r1ppk1/1p1q2n1/1QpPbBp1/1P2P2p/5PP1/2R2BKP/2R5 b - -,h4g3
b1r2rk1/3nq1bp/p1p1n3/NpP1pp2/1P6/P1N1B1PP/2Q2PB1/3RR1K1 b - -,f5f4
rn1qk2r/pbpp1ppp/1p2pn2/8/2PPP3/2b2P2/PPQ3PP/R1B1KBNR w KQkq -,b2c3
5k2/3K1p2/5p2/7P/1p6/1P1BN3/3b4/8 w - -,e3f5
2r1k2r/3q1pp1/Q1n1p1p1/p6r/3PP3/2B2PP1/1P4K1/R4B2 b k -,c6b4
2rq1rk1/4ppBp/p1pp2p1/3B4/2P5/1P2P1Pb/P4P1P/R2Q1RK1 b - -,g8g7
r3qrk1/p5pp/2p2p2/2Ppp3/3Pb3/P5B1/1P3PPP/R2Q1RK1 w - -,f1e1
r4rk1/1p3pbp/n1pN2p1/p7/P1P5/4q2P/1P2BPP1/3R1RK1 w - -,f2e3
2N3n1/2b2k2/8/p5pp/R7/5P1P/P5K1/8 w - -,a4c4
r4rk1/b1qn1ppp/n1p1b3/P3p3/N3P3/P5P1/2QBNPBP/1RR3K1 b - -,a8b8
4k2r/pp1b1p2/3ppp2/q3n2p/4Pb2/2PBN3/P1P1QPPP/3R1R1K b k -,a5c3
r1bq1rk1/ppp2pb1/2np1npp/4p3/4P3/1BPP1N2/PP3PPP/RNBQR1K1 w - -,b1d2
r2q1rk1/4ppbp/PpR3p1/3pnb2/3P4/BQ2P3/P2N1PPP/R5K1 w - -,d4e5
r4rk1/4q2p/4P1pQ/2ppBpP1/8/1p1b2P1/1P3P2/R3R1K1 b - -,f8e8
5rk1/3pqp1p/6p1/1Np1n3/1nQ1PB2/6P1/1P3PP1/5RK1 w - -,c4c3
2qrr1k1/pb2ppbp/1p1p1np1/2n5/PNP1P3/1PN1BP2/2Q3PP/2RR1BK1 w - -,b4d5
8/1p5p/2p1k1p1/p3r3/PP1R1KP1/4P3/7P/8 b - -,g6g5
5rk1/5qp1/p6p/3p2p1/3P2P1/P1N1Rr1n/1P1R1P1Q/6K1 w - -,h2h3
2r1qrk1/1N1nppbp/2p3p1/1b6/1n1PPB2/1Q3NPB/1P3P1P/2RR2K1 b - -,b5e2
r3rbk1/1p3qp1/2p1pn1p/p3pP2/P1Q1P1P1/2N1B2P/1PP5/R2R2K1 b - g3,f8b4
7n/6pk/1p2Q2p/p2pN2P/P2q2P1/1P3P1K/8/8 w - -,e6f5
rn2kb1r/ppq2ppp/5n2/4p2b/8/2P1BN1P/PP2BPP1/RN1Q1RK1 b kq -,f8e7
r1bq1rk1/p3bppp/2p2n2/3pp3/4P3/2PB2N1/PP2QPPP/R1B2RK1 b - -,d8c7
r1bqk1nr/1ppnppbp/p2p2p1/8/3PPP2/2N1B3/PPP3PP/R2QKBNR w KQkq -,g1f3
2r3k1/pp1b1pb1/7p/n2p2p1/3P4/P2BPNBP/1P3PP1/4R1K1 b - -,a7a6
2k2nrr/pp2n2q/4p3/3pP1pp/b1pP1PB1/P1P2N2/2PQ2P1/2R1BRK1 w - -,f3g5
rr4k1/q3bpp1/2p1pnp1/3p4/1p1P2P1/1Q2PP2/PP2N2P/2R1KB1R w K -,c1c6
8/p1p1bp1p/2p5/3kPP2/1p2r1Pp/1P5K/P1P1R3/4B3 w - -,e2e4
r2qkb1r/pp1npppp/2p2n2/3p1bB1/3P4/2N2P2/PPPQP1PP/2KR1BNR b kq -,b7b5
r1b1kb1r/p3pppp/2p2n2/qp1P4/1Pp5/2N2N2/P3PPPP/R1B1KB1R w KQkq -,b4a5
8/2r2p1k/2r5/3pP3/1p1P1R1P/6R1/6PK/8 w - -,f4f5
r2q1rk1/ppp2ppp/8/n4b2/4np2/1BP2N2/PBPP2PP/R2QR1K1 w - -,d2d3
8/2p2p2/2p2Pk1/P2p4/1P6/3b4/1B4P1/4K3 w - -,e1d2
r3k2r/pbpnqn1p/1p1b1pp1/4p3/1PNpP2N/P2P2P1/1BP2PBP/R2Q1RK1 w kq -,c4d6
3qr2k/p1r1b1n1/1pn4B/2p1Pp2/2Pp4/PP1P1N1B/4R1NP/1Q5K b - -,e7f8
3r1rk1/4np1p/p5p1/2BB2q1/1P2P3/P1b3P1/4Q1KP/3R3R w - -,e2f3
5nk1/p3Rppp/B7/1p6/1Bb5/P3P3/3r1PPP/4K3 b - -,d2d8
1r4k1/p6p/n1PNp1p1/4b3/8/BP4P1/P6P/1K2R3 b - -,e5d6
6k1/1p3r2/p6P/4B3/nP1R4/5p2/8/5K2 w - -,d4d6
1rq3k1/3p1p1p/1pn3p1/p1p2b2/5Pn1/1P3QPP/P2R2B1/B3R1K1 b - -,g4h6
6rk/5p1n/q4n2/2pP1N1p/1pP5/3B3P/1P3QP1/4R1K1 b - -,f6d5
r1b2rk1/5ppp/p3p3/2bp4/1Q4PP/6B1/PP2BP2/R3K2R b KQ -,c5b4
8/q4pbk/1p4pp/1p2p3/1Pb1P3/P4PP1/4N2P/3Q1BK1 w - -,d1c1
