8/2pR4/2Nb1k2/1K6/1P6/8/2r5/8 w - -,d7h7
8/3r1pkp/p7/8/b1p2P1B/3n4/3bN1PP/1R3RK1 w - -,b1b8
2n1rrk1/p6p/1p1p1q2/1PpP1P2/8/1P1Q4/4R1BP/5R1K b - -,e8e5
3rr3/1p3pk1/p3q1p1/3p4/1P3R2/P1P2Q2/7P/R5K1 b - -,e6e3
3r4/R6p/1p6/8/3kbpp1/P2p4/1P1R1KPP/8 w - -,a7a4
r1bqk2r/p3bpp1/2p2n1p/n3N3/B3p3/8/PPPPQPPP/RNB1K2R b KQkq -,d8d5
3r4/pp2kppp/4p3/3qNb2/1b1P4/4Q3/PP2BP1P/2K2R2 w - -,e2d3
r2qkb1r/4n3/4Q2p/pp1pP3/2pP4/1PP5/P4PPP/R1B2RK1 w kq -,a1b1
r2qr1k1/1bp1bpp1/p2p1n1p/np1Pp3/4P3/2P2N1P/PPB2PP1/RNBQR1K1 w - -,b1d2
4n3/p1n2p2/4k1p1/P3p2p/4PP1P/4K1P1/8/2R5 w - h6,c1c6
r2qkb1r/pp1n1pp1/2p1p1np/3pPb2/3P4/1N3N2/PPP1BPPP/R1BQ1RK1 w kq -,f3e1
8/1p2k2p/1p4p1/1B6/5pP1/2P2PbP/PP2K3/8 b - -,g6g5
r2q1rk1/1p3ppp/p1nbpnb1/3p4/3P1N2/2NBPPB1/PP4PP/2RQ1RK1 w - -,d3g6
1q1r1k2/p4p2/1pnRp2p/3bP3/7Q/8/PP3PPP/5BK1 w - -,h4h6
2r2b1k/5bp1/2q1pp1p/pp1p3P/1PrP1B2/P1P1QP2/4NKP1/2R2R2 b - -,f7h5
r5k1/1p3ppp/6n1/2p1p3/1nP1P3/1P1P2P1/1B2NPK1/4R3 w - -,e2c1
8/pp3k1p/5pp1/n2r4/P2N4/4B3/3p1PPP/1RrR3K b - -,a5b3
8/p7/7k/6qP/1P6/P4R1P/5K2/8 b - -,g5d2
2k4r/ppp3pp/8/2b2p2/3n4/2N4P/PP3RP1/R4K2 w - f6,a1e1
4r1k1/1p3bpp/2n5/1N3p2/1qPp1Q2/1P3PP1/6BP/1R5K w - -,h2h4
r2q1rk1/pp2pp1p/1np2npQ/2N5/6bP/3P1NP1/PP2PPB1/2R1K2R b K -,b6d7
8/1N2b3/2p1pp2/1b1p1kp1/1P1P4/2P1B1P1/r4P2/2R3K1 w - -,g1g2
rn1qr1k1/4bpp1/p2p1n1p/4p3/2N1P3/2P2N2/1P2QPPP/R1B1R1K1 b - -,b8d7
2r1r3/1p2bpk1/p1b1p1pn/2ppP3/3P2P1/1PPBPNK1/1P3B2/R3R3 w - -,d4c5
2r2rk1/1bq2ppp/pb2p3/1pnpP1B1/7P/3B1PQ1/PPP1N1P1/1KR2R2 b - -,f7f5
r2qkb1r/pp2pppp/2p2n2/3n4/2PP2b1/5N2/PP2BPPP/RNBQ1RK1 b kq c3,d5b6
8/p1k2p2/1pp1p3/2b1Pp1p/5P1P/P2N1RP1/1PP3r1/1K6 b - -,c5g1
5r2/3pk1pB/p1n1p3/1p6/5P2/6P1/PP5P/2R4K w - -,h7e4
3R4/6pk/2P1Kp2/4p2P/4P2P/5r2/8/8 b - -,f3c3
2kr2nr/ppp2pbp/2np4/3N2p1/2BPPpbq/3Q4/PPPB2PP/R4KNR w - -,c2c3
5k2/3Q4/4P2p/8/5P2/1P6/8/1K2q3 w - -,b1b2
3r3k/2p2p2/p3p2p/1b3p2/1P3P1P/2P2B2/2r3P1/R3R2K w - -,a1c1
8/2r5/p3R3/1p1B1k2/5p2/P1P2b1P/5P2/6K1 w - -,d5a2
3B4/8/5k2/pnp4P/4B1K1/8/3b4/8 b - -,f6g7
r4r1k/p1b3pp/2p1bn2/1pPq4/3Bp1p1/1P2P3/P2NBQ1P/2K2RR1 b - -,a8d8
8/6k1/R4n2/6p1/6P1/4K3/8/8 w - -,a6f6
8/p1R4p/3r2pk/P5P1/8/R2nr1PK/8/8 b - -,h6g5
3r1rk1/pbq2p1p/1p2ppB1/8/3P4/P1N4Q/1P3PPP/3RR1K1 b - -,h7g6
r1bq2k1/ppp2rb1/3p2pp/2PPpn2/1P2N1B1/2N5/P4PPP/R2Q1RK1 w - -,a2a4
2r5/1p1rb1k1/p2pppp1/P6p/1PPBPP2/1K1B2PP/4N3/5R2 w - -,e2c3
r2q1rk1/pbpnppbp/1p1p1np1/8/3P1B2/4PN1P/PPPNBPP1/R2Q1RK1 w - -,f4h2:a2a4:c2c4
rnbq1rk1/1pp2ppp/4pn2/3p4/p1PP4/P4NP1/1P1NPPBP/R2QK2R w KQ -,e1g1
8/5pk1/p5p1/6P1/1rb1P2P/2R2K2/8/2R5 b - -,c4e6
r1bqkb1r/2p2ppp/p1pp1n2/8/3pP3/5N2/PPP2PPP/RNBQ1RK1 w kq -,d1d4:f3d4
6k1/4qpp1/3p3p/1p2r3/2pRP3/2P1PQ1P/1P4P1/7K w - -,f3g4
5r1k/3r1ppp/pB6/P3p3/1Pq1n3/8/1P1p1PPP/R2Q1NK1 b - -,c4b4
1r6/r4kp1/2p1p1p1/2Nn4/p1RPP3/R7/4KP2/8 b - -,d5f6
r1b2rk1/2pn1pb1/p2p3p/1p1Pq3/2P1P1PQ/2N2P1P/PP1RB3/2K4R w - -,h4f2
r1bq1rk1/1pp2pp1/2np3p/p1bPp3/8/2BP1NP1/PP2PPBP/R2Q1RK1 b - -,c6d4
2r3k1/1b4pp/1p4r1/pPq1p1B1/P1Pbp2P/3p2P1/5PBK/2R1QR2 b - -,c8f8
rqbr2k1/pp2bppp/2nppn2/1N6/P3PP2/2N5/1PP1B1PP/R1BQ1R1K w - -,d1e1
4r3/1k6/1p4p1/p2p1p1p/P4P1P/R2KP1P1/8/8 b - -,e8e4
r1b1k2r/2q1b1p1/p3p2p/2p2p2/2Pp1P2/P2B2N1/1P1Q2PP/4RR1K b kq -,e8g8
r2r2k1/pp1bbpp1/1qn1p2p/2N5/3P4/P2B1N2/1P2QPPP/2RR2K1 w - -,b2b4
nr1qr1k1/1p1bppbp/p1np2p1/2PN4/4P3/1P2B1PP/P2QNPBK/2RR4 b - -,d6c5
5rk1/6rp/3p4/R2Nppp1/8/8/PPP4P/2K2B2 w - -,b2b4
r3k2r/1b1nbp2/pp1p1n1p/2q1p1p1/P1B1P2B/2N5/1PPNQPPP/R4RK1 w kq g6,h4g3
4b3/8/1p2kpp1/7p/2N1KP1P/P5P1/1P6/8 b - -,b6b5
6rr/1p3pk1/n1p1b2p/p1q1PP2/8/P1Np3P/1PQ3P1/1BR2R1K w - -,c2d3
3q1rk1/1b1rbppp/pp2p3/n3P3/2PP4/3Q4/PB2B1PP/1NR2RK1 w - -,d3g3
r1b2Bk1/1pR2p1p/p3p1p1/4P3/4P3/3BK3/P4PPP/8 b - -,g8f8
8/3r2kp/1r1pp1p1/p3P3/5P2/1P5P/1R4P1/1K1R4 w - -,d1d6
r2r4/2pbqpbk/p4npp/np1Np3/4P3/1B2BN1P/PPPRQPP1/5RK1 b - -,f6d5
r5k1/2b2p1p/p1r1pnp1/3p4/3P4/2B1PP1P/RP2B1P1/R5K1 b - -,a6a5
2R5/4p1bk/3p2pp/3P4/2Q1P3/6P1/5PKP/1qq5 w - -,c4c1
3rr1k1/5pp1/p1pp1n1p/1p2q3/2P1P3/4NP1P/PP1Q2P1/3RR1K1 w - b6,b2b3
r2nk2r/1ppq2b1/p2Pb2B/8/2P1N1p1/1P5P/P7/R2QR1K1 w kq -,e4c5
r1bq1rk1/pppnb1pp/4p3/3p4/2PPp3/4BPP1/PP2P1BP/R2QNRK1 b - -,d5c4
r3k2r/pp1bnppp/1qn1p3/3pP3/3P4/3B1N2/PPNb1PPP/R2QK2R w KQkq -,d1d2
6k1/8/5p2/Bpn5/4PP2/6K1/2P5/8 w - -,g3f3
8/8/2p2k2/8/4P2p/1N1n4/5KP1/8 w - -,f2e2
2q1r1k1/p4pbp/1pp1n1p1/4p3/1PP1P3/4Q1PP/PB2NPK1/3R4 w - -,a2a3
8/2r2p2/4pk2/R1P3p1/6P1/3r2K1/5P2/2R5 w - -,g3g2
1n1r2k1/p1r2p1p/1pB1pbp1/1P5n/2PP4/4N3/1B1R1PPP/3R2K1 w - -,c6f3
r4rk1/pbq2pbp/1p1p1np1/4p3/4P3/PP1B4/1BPN1PPP/R2QR1K1 b - -,d6d5
r4r1k/p2b1pq1/3pp2n/2p2p2/1p2P3/1n1P3P/PPPQNRPN/6RK w - -,a2b3
rnbqkb1r/pp3p1p/3p1np1/2pPp3/2P1P3/5P2/PP2N1PP/RNBQKB1R b KQkq -,h7h5
2r3k1/3q2pp/1p3Pb1/3pp3/p2PnB1N/P3Q3/1P4R1/1K5R b - -,e5f4
1nbqkbnr/r1p2ppp/p3p3/1p2N3/2pP4/6P1/PP2PPBP/RNBQK2R w KQk -,e1g1
8/4b3/4k3/2p2b2/R2p3p/3P4/P1P3K1/8 w - -,a4a8
2rq1rk1/4bppn/p1b1p2p/Pp1pP3/3p4/7P/BPPBQPPN/R4RK1 w - -,h2f3
8/2k5/1p4p1/2P2p2/K1Pbpn1p/7P/2R3P1/5B2 b - -,d4c5
2kr4/pp1r2pp/2n2p2/1BBnpb2/8/1NP5/PP3PPP/R3K2R w - -,f2f3
8/p1R3pk/5p1p/3p4/3Pb1P1/1r4BP/5P1K/8 b - -,b3b1
8/2p2r2/1p1p1k2/1P1P2p1/3KP3/2R2P2/8/8 w - -,c3c6
r1bqk2r/pppp1ppp/2n2n2/2b1p3/4P3/5NP1/PPPPQPBP/RNB2RK1 b kq -,e8g8
r1b1kb1r/1p2pppp/1pn2n2/3p4/2pP1B2/2P1PN2/PP3PPP/RN2KB1R w KQkq -,f1e2:b1a3:b1d2
2r2kr1/p2b1pp1/1q2p2p/3pP3/3P1Q1P/P1pB2R1/2P2PP1/R3K3 b - -,b6b2
rnb1kbnr/pp4pp/2p2q2/3p4/3Pp3/1B2N3/PPP2PPP/RNBQK2R b KQkq -,c8e6
r1bq2k1/ppNnbrpp/3p1n2/4p3/3PP3/2N5/PPP2PPP/R1BQK2R w KQ -,c7a8
r1bq1rk1/2p2ppp/p1np1n2/1pb1p3/4P3/2N3PP/PPPPNPBK/R1BQ1R2 w - b6,a2a3
1k1r4/pp4p1/2nr1p1p/P1p1nP1B/4R3/2B5/1PP3PP/5RK1 b - -,c6d4
6k1/p4n2/1p2Q1pp/5q2/5B2/2Pr1P2/P5PP/4R1K1 b - -,d3c3
4k2B/1p5p/4bQ2/1PP2pP1/4pn2/8/2q3PP/5BK1 w - -,f6e5
6k1/p5np/1pq1pPpP/8/P1pr1PP1/3r2R1/1P2Q2K/2B2R2 b - -,d4e4
rn2kbnr/pp2pppb/2pqP2p/3p4/3P2PP/5P2/PPP5/RNBQKBNR w KQkq -,e6f7
3q1b1k/1p1r2p1/p1rpb2p/3Np2Q/P1P1N3/1P6/3R1PPP/3R3K b - -,e6f7
r4rk1/3nppb1/b2p1np1/q1pP4/4P3/2N5/PP1BBPP1/R2QK1NR w KQ -,g1f3
8/7R/2p2k2/8/5P1p/p7/7r/1K6 b - -,h4h3
1r5r/3kbp1p/2n1p3/pp1pP1P1/q1pP2PP/P1P4K/2PQ4/RRB4N b - -,b5b4
3r1q1k/1p2Rb2/3n4/3P1pQp/p3p1p1/P5P1/5P1P/2R2BK1 b - -,f8g7
rn1q1rk1/pb2bppp/1p1ppn2/2p5/2PPP3/2N2NP1/PP3PBP/R1BQR1K1 b - d3,c5d4
R3n3/2r1k3/2P5/pBKP1p1p/4pPp1/6P1/7P/8 w - -,a8e8
1r1r2k1/p1p1qppp/2B2n2/3Ppb2/2p5/2N3P1/PP1QPP1P/R2R2K1 w - -,d2g5
r3r1k1/p4pb1/6p1/2pP1N2/1n2pPpq/NQ6/1P2B1P1/R1B2RK1 b - -,g6f5
r2q1r2/1p3pbk/2n3pp/p1pn4/5B2/P2P1NP1/1P3PBP/1RQ2RK1 w - -,f4d2
8/pp2RRbk/6pp/6q1/3p4/1P6/P2K1P2/8 w - -,f2f4
6k1/q5p1/3p4/2pPp3/4PnPp/1PQ4P/2N4K/8 b - -,a7a6
8/p4kp1/2r1pp2/8/5p2/7P/6PK/1R6 w - -,b1b7
4r3/p1p3p1/2k4p/3p4/PP6/2P1pP1P/7P/4R1K1 b - a3,a7a5
7k/8/1R5p/pP2b3/P7/7r/1P1p4/3B1K2 w - -,f1e2
r1b2rk1/ppp2ppp/1n6/4P3/3N4/8/PP3PPP/R1B2RK1 b - -,f8d8
6k1/pp1b3p/3p2n1/2pPq3/4P3/2N4P/PP3QB1/6K1 b - -,g6f4
rnbqkb1r/pp3ppp/4pn2/2pP4/8/2N1PN2/PP1P1PPP/R1BQKB1R b KQkq -,f6d5:e6d5
8/5pbk/1pr1p1pp/2n1P3/2P2B1P/6P1/r7/1R1R1BK1 w - -,f1g2
6r1/4k3/3p1n2/pB3P1p/P1PK3R/8/7P/8 w - -,c4c5
2kr1b1r/ppp3pp/2N1bn2/q7/2P5/2N5/PP2QPPP/R1B2RK1 b - -,b7c6
3q2k1/6p1/2p1r2p/1p2pp2/p7/P2P2P1/1PRBPP1P/4R1K1 b - -,h6h5
8/8/8/2k3Kp/7P/8/8/8 b - -,c5d6
rn1q1rk1/pp1bppbp/5np1/3P4/2BP4/2N5/PP3PPP/R1BQK1NR w KQ -,g1e2
2Q5/3K4/4p3/2P2p2/3PpP2/4P3/3B1bk1/7q b - -,h1h3
8/8/2r3p1/R4pp1/3k4/5KPP/8/8 w - -,a5a4
2r1rbk1/1b3p1p/p2pp1p1/2n3P1/1p1BP2P/3P4/PP2NPB1/1KR3R1 w - -,d4c5
r1b2rk1/pp2nppp/2p2n2/2qpp1B1/1b2PP1N/1BNP4/PPP3PP/R2Q1R1K b - -,f6g4
8/5qbk/3BN1pp/2P2p2/p7/6P1/1rn1RPBP/5R1K b - -,a4a3
8/8/p7/PR6/KP6/8/1kr5/8 b - -,c2c3
2r2rk1/pbqn1ppp/1p2pn2/8/2PP4/PQ3N2/1B2BPPP/R3K2R w KQ -,a1c1
8/p7/P1K4p/1P2k2P/n7/8/6B1/8 b - -,a4b6
3rr1k1/5pp1/n2p4/2pPq2p/Pp2P1PP/5P2/P1Q3K1/2RR1N2 w - -,g4g5
r1bqk1nr/pppp2b1/2n4p/5pp1/2PP4/2N2P1N/PP4PP/R1BQKB1R w KQkq -,c1e3
1r3bk1/pb3p1p/4pPp1/4q1P1/1pP1P2P/1P1r4/P2NQ1B1/1R4K1 w - -,e2d3
r1bq1rk1/4bppp/p7/1p1pP3/1n6/5N2/PP1BQPPP/RB3RK1 b - -,c8g4
1r4k1/p2qnpp1/Prn1p3/3pPbPp/Q2P3P/4BP2/8/2R1KBNR w K -,a4d1
r1bk3r/pp1n3p/2n2bp1/2P1ppB1/2B5/2N5/PP3PPP/2R1K1NR w K -,g1f3
r1b2rk1/1p2bppp/1q1pp3/2p1n3/p1PNPB2/P2P4/1PN1BPPP/1R1Q1RK1 b - -,c5d4
r1b1k1nr/2p1q2p/p1pp1pp1/4p3/3PP3/2N1QN2/PPP2PPP/R4RK1 b kq -,e7g7
r2qk2r/1p1n1ppp/2p1p3/p2nP1B1/PbBPN1b1/5N2/1P3PPP/R2Q1RK1 b kq -,d8b6
4k3/p4pp1/5n2/1Pr1p2r/P5pP/1P2R3/4NK2/7R b - -,h5f5
1k6/1p5R/p4B2/1br1n2P/4ppB1/8/4PP1K/8 w - -,h7h8
r1q2rk1/p2n1ppp/1p2p3/8/3p4/1BQ1PP2/PP1R1P1P/2R3K1 w - -,d2d4
1r4rk/1pq2p1p/pnpp1PpB/4n1Q1/1PP1P2P/R5PB/8/5RK1 w - -,h4h5
5k2/1pb5/p3pN2/n6p/8/3NP3/P4P1P/6K1 b - -,h5h4
1r6/1pn1r1p1/p1p2pk1/2N4p/PP1P2P1/1R2P1K1/5PP1/2R5 w - -,g4h5
2rr2k1/pp3pb1/6pp/2n5/1PPNp3/P2nB3/4NPPP/3R1RK1 b - -,c5a4
rn1qk2r/4ppbp/3p1np1/2pP4/4P3/2N2N2/PP3PPP/R1BQ1K1R w kq -,g2g3:h2h3
2qr2k1/4bpp1/b3p2p/3pB1P1/1p1P3P/2nNQ2B/4PP2/R5K1 b - -,h6g5
3r2k1/pp1r1pp1/2b1pbpq/2P5/2PP1P2/P3QBP1/1B1R3P/3R2K1 w - -,b2c3
2rr1qk1/p3b2p/1pn3p1/3pBp2/2N1P3/5P2/PQ4PP/2RR2K1 w - -,e4d5
8/R6p/6r1/3p1k2/3Pp3/7K/5P2/8 b - -,g6h6:e4e3
2r1k2r/1b3p2/4p1p1/3pPn1p/PqpP1P2/5NP1/2Q4P/RR3BK1 b k -,b4e7
r1b2rk1/pp1nqppp/2p2n2/4b1N1/2P1N3/8/PPQ1BPPP/R1B2RK1 b - -,h7h6
8/5p1k/6pp/1P6/3p3P/2b3P1/2QNKP2/q7 w - -,c2b3
r1bqkb1r/ppp3pp/8/3npp2/8/3PPNP1/PP3PBP/R1BQK2R b KQkq -,f8d6
1r3Rk1/3q2b1/1pb1p1p1/pN4B1/2P4Q/8/P5PP/5R1K b - -,b8f8
2r2r1k/1R4bp/2Pp2p1/4pp2/1Q6/3qP1P1/2bB1PBP/R5K1 b - -,f8g8
rnbqkbnr/pp2pp1p/3p2p1/2p5/4P3/2N3P1/PPPPNP1P/R1BQKB1R b KQkq -,f8g7
2r3k1/6pp/p7/1p6/2b1B2P/P5R1/1PPK2P1/8 b - -,c8e8
3k4/1p3pp1/p7/4p2P/2P2p2/P7/1Pn2PP1/1K6 w - -,b1c2
2kb1q1r/pp6/4p3/3pPp2/b1pPnPp1/P1P1K1P1/1QP1N1Br/4BRR1 w - -,e1f2
1bbr1rk1/5ppp/p1p4q/2Np4/1P6/P3P1P1/1B2Bn1P/2RQR1K1 w - -,d1d4
8/6K1/1r6/5k2/5n2/8/5R2/8 b - -,f5g5
2qr3k/3r2pn/pN1P1p1p/4pP2/Pb5P/3R4/1BP1Q1P1/3R3K b - -,c8c6
8/p1k1r3/1p2BR2/2pP2p1/2Pp1b2/3K4/PP3P2/8 b - -,e7h7
8/5kp1/2b2p2/2N5/P7/8/5K1P/8 b - -,f7e7
r3k2r/1bq2pbp/pn1p1np1/1p2p1B1/4PPP1/PNNR4/1PP1Q1BP/2KR4 b kq -,b6c4
2r3k1/6pp/4R3/4p3/5q2/5P2/2r4P/4R1QK w - -,g1g3
r1b1r1k1/pp1nBpp1/2p1p2p/7q/1PPP4/P2B1N2/4QRPP/2R3K1 b - -,e8e7
rnb1k1nr/pp3ppp/2pb4/4q3/3p1p2/2PP4/PP2Q1PP/R1BNKBNR w KQkq -,c1f4
8/6pk/2q1b3/4P2p/p7/P3QP1P/3B2PK/8 w - -,e3d3
8/8/8/p1k5/8/1P4K1/3n4/3B4 b - -,c5b4
3n4/4k3/4P3/4K2p/1p1N3P/8/8/8 w - -,d4f5
rnbq1rk1/1p2bppp/2n1p3/p7/2Pp4/3P1NP1/PPN2PBP/R1BQ1RK1 w - a6,f3d2
3rk2r/2q2pbp/pp1P2p1/4p1Pn/b1B1N3/BP3P2/2PQ3P/1K1R3R b k -,c7d7
5rk1/6p1/p3Q2p/8/3R2n1/4P1P1/4q3/2R3K1 b - -,g8h8
rn1q1rk1/pp3ppp/4pn2/2p5/Pb1P4/2NQPN2/1P3PPP/R1B2RK1 w - -,c3e4
r4knr/1p3pp1/p2p1n2/2pPp2p/P3P3/2N3qP/1PP1BPP1/2R2RK1 w - -,f2g3
3b2r1/3q2rk/3p1p2/p1pPpP1p/1nP1P1pP/1PN1Q1R1/5P2/3B1KR1 b - -,d8e7
1r5r/2q1ppbk/b1np1np1/1pp3B1/4PQ2/pPPP1N1P/P4PBN/2R1R1K1 b - -,e7e5
r3qrk1/1bpn1pbp/pp1p1np1/4p3/PP1P4/2P1PN1P/3NBPPB/R2Q1RK1 b - b3,e8e7
r3r1k1/pp3ppp/1bnq1n2/3p4/6b1/1NP2NB1/PP2BPPP/R2Q1RK1 b - -,d6d7
8/p5p1/8/2p1p2p/3k3P/4pKP1/PPP1R3/3r4 b - -,e5e4
r1b2rk1/ppq3pp/5p2/2P1p3/8/6P1/P3QPBP/1R3RK1 w - -,b1b5
2r5/5p2/6p1/4k2p/K3P2P/1p3RP1/8/8 b - -,b3b2
4r1k1/1p1r1pb1/p1nppnpp/8/PqP1PP1B/1PN2R1P/3QN1P1/3R3K w - -,f3d3
r1b1r3/4qpkn/pn4p1/2pPp2p/1pP5/1P4NP/P1BQ2PN/4RRK1 b - -,b6d7
r1nq1rk1/pp2bppp/2p1pnb1/P7/3PP3/1BN2N2/1P1BQPPP/R4RK1 w - -,a1a4
r2r2k1/1q1nbppp/p2p1n2/PbpPp3/1pN1P3/1PPB1N1P/4QPP1/R1B1R1K1 w - -,c1d2
r4rk1/2pbq1pp/1n6/p1ppP3/P7/1NP3B1/1P3PPP/R2Q1RK1 w - -,b3c1
r3k2r/pbpq1ppp/1pNbpn2/3p4/Q1PP4/6P1/PP1NPP1P/R1B1KB1R w KQkq -,c4d5
r4rk1/1pp1b1pn/p1n1p2p/P1p1p3/4P3/2P1NN1P/1P3PP1/R1B1R1K1 w - -,e3c4
2R2k2/1p3r2/1P1p1p2/3P1P1p/7P/4KP2/8/8 b - -,f8g7
r3r1k1/q4pp1/3p1np1/2pNp3/1PPnP3/1N3P2/3Q2PP/1R1R3K w - -,b4c5
1b2r1k1/5ppp/8/2pP4/2B3P1/2P2P2/P3NK1P/1R6 w - -,b1b7
3rN1k1/q4p1p/6pb/8/1PQ1R3/1K2p3/2P3PP/8 b - -,d8a8
rnbqkb1r/pp1p1p1p/4pnp1/2pP4/2P5/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,e6d5
2rr2k1/p4pp1/1pnqbb1p/3p4/3P4/1QN2NPP/PP3PB1/3RR1K1 b - -,g8h8
r2r1k2/pp3pbp/1n1pbnp1/1B1P2B1/8/2N5/PP2NPPP/3RR1K1 b - -,e6d7
rr1qkn2/4b3/1p1p1p1p/pNnPp1pP/2N1P1P1/5PK1/PPR1QB2/R7 w - -,c4e3
6k1/5p2/p1nnb2p/Pp1p2p1/1P1P2P1/5P1P/2BBN3/6K1 w - g6,d2c3
1Q6/4k1p1/5bqp/3B4/8/1p3PPK/7P/8 w - -,b8b4
r1r2b2/1p5k/6pp/1q2pp2/2R1P3/p2P2P1/2Q2P1P/B4RK1 b - -,b5d7
1k1r3r/1b2bpp1/1p6/2p1PPqp/2Pp4/1P5Q/3NB1PP/3R1R1K b - -,b7c8
r3r1k1/4bpp1/p1qpbn1p/1p2pN2/4P3/1PP3NP/1P3PP1/R1BQR1K1 b - -,e7f8
8/5kpp/p1R2r2/3q4/2P5/7P/P4PP1/6K1 w - -,c4d5
r3r1k1/1p3pbp/2p3p1/p1n1p3/P1P5/1Q1BP2P/5PPB/3R1RK1 b - -,c5b3
2r1r1k1/3q1ppp/p4b2/Ppnp4/1B1NnQ2/1P3NP1/2R1PP1P/2R3K1 b - -,c5e6
r1bq1rk1/pp1pn1bp/2n3p1/2p1pp2/2P5/P1NP1NP1/1P2PPBP/R1BQ1RK1 w - f6,e2e3
r3r2k/ppqn1bp1/2p1p2p/2Pp4/1P3P2/PQ1P1NPP/4R1B1/4R1K1 w - -,d3d4
r1bq1rk1/pppn1pbp/3p1np1/4p1B1/2PP4/2N1PN2/PP2BPPP/R2QK2R w KQ -,g5h4
7r/1R5P/6b1/4K1N1/8/8/p1k5/8 w - -,b7a7
2rr2k1/pp1nqppp/1n4b1/8/1P1Bp3/PQ2N1P1/4PPBP/R2R2K1 w - -,g2h3
2rr4/1q3ppk/p3pb1p/1pp5/8/PP1P2P1/2RNPP1P/Q1R3K1 w - -,a1b1
q4rk1/5pbp/3p2p1/1QpPn3/4P3/7P/2B2PPB/1R4K1 b - -,a8a2
6k1/5r2/4B3/1p2b2p/5P2/2P3PP/8/6K1 w - -,f4e5
r1b2r1k/pp1pNpbp/3n2p1/q7/1nBN4/4BP2/P1P3PP/R2Q1RK1 w - -,c4b3
r1b1kb1r/ppppqppp/5n2/6N1/2Q1PB2/8/PPP2PPP/RN2K2R b KQkq -,h7h6
2r5/2P1k3/5p2/5Kp1/6PP/8/2R5/8 w - -,f5g6
5r1k/1p4pp/p1bb4/P1pN1q2/4pP2/4Q3/1PP3PP/R2R3K w - -,c2c4
r1bq1rk1/pp1nbppp/2pppn2/8/2PP4/2NBPN2/PP3PPP/R1BQ1RK1 w - -,a2a3
3rr1k1/2qnbppp/2p1pn2/p7/1pPP4/1P3NN1/PBQ2PPP/3RR1K1 w - a6,c4c5
3q1rk1/1br2ppp/pp1ppn2/8/P2NPP2/2NP4/1P2Q1PP/3R1RK1 w - -,g1h1
3r2k1/2qrbpp1/p1npp2p/2p5/N1P4P/1P1NP1P1/P2R1PQ1/3R2K1 b - -,e7f6
2r5/7p/p1R5/1p1P4/2p1pk2/P6P/1P1K4/8 w - -,c6c8
2rqk2r/pp1b1pp1/4p3/2bpP2p/6n1/PP1B1N2/1BP1QPPP/R4RK1 b k -,d7c6
r4rk1/ppq1npbp/2p1bnp1/2B5/4P3/2N2N2/PPPQB1PP/3R1RK1 w - -,c5d6
3rr1k1/pb4bp/npp1pnp1/5pN1/2P5/P1N1B1P1/1P2PPBP/3R1RK1 b - -,a6c7
4n1k1/5p2/4pbp1/3r3p/8/4PNBP/3R1PP1/6K1 b - -,d5d2
3n1b1r/3k1ppp/1Bn1p3/1B6/8/8/PP3PPP/2K4R w - -,b6d8
8/4K3/6r1/4nk2/8/8/8/R7 b - -,g6e6
