8/7p/6B1/1p4PP/pPkp4/Pb3K2/8/8 b - -,c4c3
r2q1r2/p4pbk/1pn3pp/3p1n2/3B2b1/2P2NP1/PP1QNPBP/R2R2K1 b - -,c6d4
8/5p2/4p1kp/1p2P1p1/1Nb2P2/P1r3P1/1R3K1P/8 w - -,b4c2
r1b2rk1/1p3pbp/2p3p1/p3p3/P2qP3/3P2P1/1PQB1PBP/1R3RK1 w - -,d2e3
r1n1r3/pp2qnpk/2p2p1p/2Pp1P2/1P1PbQPP/P1N3N1/4B2K/2R2R2 b - -,e7d7
8/4k2p/1p2P1p1/2r2r2/Pp2R3/8/6PP/4R1K1 w - -,e4b4
r5k1/2R1Npb1/b5p1/2B4p/8/5PK1/2r3PP/7R b - -,g8h7
2r1k2r/1b2qp2/p1n1p1p1/1p1pP1Qp/4nP1P/3B1N2/PPP1N1P1/1K1R3R w k -,d3e4
2k5/8/8/pRKP2p1/8/8/PP4r1/8 b - -,c8d7
5r2/1b2kr2/3p1p2/pp2pP2/2q1P3/P1NR4/1PP3QP/2K3R1 w - -,g1d1
r1bqr1k1/1pp2ppp/3p1n2/p1b5/3NPn2/1P1B1Q1P/PBPN1PP1/R4RK1 b - -,f4d3
6k1/7p/8/6p1/5p2/3p1N1P/2rB2P1/5K2 b - -,h7h6
r2q1rk1/ppp1bppp/2np1n2/4p3/P1B1P1b1/3P1N2/1PP2PPP/RNBQR1K1 w - -,h2h3
4r3/r5p1/p2kNp2/1p6/4Q3/1BqP4/P1P3PP/5R1K w - -,e4f4
r4rk1/pb1nqppp/1p1b1n2/2pPp3/P1P1P3/2N2N2/1BQ1BPPP/R4RK1 b - a3,f6h5
8/4p3/4k1p1/8/pK2P1P1/P3B3/1b6/8 w - -,e3f4
r1br1nB1/pp3P2/4p3/3pk1Np/P7/1P6/2P2PPP/3RK2R b K -,c8d7
1r6/2pk2pp/p2nbp2/N1p5/2P5/1P1RN2P/P4PP1/6K1 w - -,e3d1
r2q1rk1/pp2bpp1/2p1pn1p/8/3P4/2PQ1NN1/PP3PPP/R3R1K1 w - -,a1d1
r5k1/p1pq2pp/5pn1/2pP1b2/2P5/P1Q5/1BB2PPP/R5K1 w - -,a1e1
6k1/1p3pp1/p6p/2p5/4r3/2P2KP1/PP5P/3R4 b - -,e4e7
r4rk1/pp1bq1np/2p1p1p1/2PpP3/6P1/4BP2/PP1QK1BP/2R4R b - -,f8f7
6k1/1p3n1p/3prqp1/2p5/PpP2P2/1P3NP1/3Q2KP/3R4 b - -,f6f5
2r1k2r/pp1n1ppp/6b1/4p3/4p1P1/1PP4P/P1P2KB1/4R1NR w k -,c3c4
6k1/5pp1/5r1p/3P4/3p4/5NP1/5PKP/8 b - -,d4d3
r1bq1rk1/p2n2b1/2pp1n1p/4p3/4Pp1B/2PB1P2/PPQNN2P/R3K2R w KQ -,e1c1
6Q1/3q4/r4kp1/5p1p/3B1P2/p1P4P/6P1/6K1 b - -,f6e7
2kr3r/ppp1npq1/2nbb1p1/6B1/3PN2p/2PB3P/PP2QPP1/R4RK1 w - -,g5f6
r1bq1rk1/p3bpp1/1pn1p2p/8/4N3/2PB1N2/PP3PPP/R2Q1RK1 w - -,d1c2
8/1p4k1/p1p1b3/2P2p1p/3P4/4B1PP/PP4K1/8 w - -,a2a3
8/2K5/1B6/2P5/1k6/8/3R4/2r4b w - -,d2h2
4nr2/1p4k1/3pb1p1/pPrNpp2/P1P1P3/5P2/7P/1R1R1BK1 w - f6,e4f5
r2qk2r/p2nbpp1/np2p3/2ppP3/3P3p/2P2NN1/PP3PPP/R1BQ1RK1 w kq -,g3e2
r3k2r/1p2b1pp/1n2p3/1n1pPp2/pP1P1P1P/P2RBNP1/4NK2/R7 w kq -,e2c3
2k3r1/1p6/p1b1p1qn/3pPn1p/2pP1B1P/2P2BP1/2PQ3K/R5R1 w - -,f4h6
1r1q2k1/3brpbp/4nnp1/1pp1N1B1/2P5/2N2B2/1P1Q1PPP/R3R1K1 w - -,g5f6
8/8/p5p1/1r4Pp/4kP1P/4P3/K4B2/8 b - -,e4f3
r5k1/1q1pbr1p/4ppp1/2p5/PnB1P1Q1/2B2P2/1P4PP/R2R2K1 w - -,d1d2
rn2nr1k/p1p1N1bp/1p4p1/4p3/2BP3P/5P2/PP3P2/R1B1K2R w KQ -,h4h5
2krr3/1p2qp2/p2p2p1/3Pp1Pn/1p2P3/4Q3/1PP1NP2/2KR2R1 w - -,e3b6
1r4k1/p2bbrpp/3p2q1/2ppp3/8/1P1P3P/P1PBQPPN/R3R2K b - -,b8f8
5rk1/2r4p/3p4/R2Nppp1/8/8/PPP4P/2K2B2 b - -,c7g7
rnbqk2r/pp2bppp/3ppn2/2pP2B1/4P3/2N2N2/PPP2PPP/R2QKB1R b KQkq -,e8g8
8/2R4p/3q1pp1/p3pk2/P1Q5/1P4P1/2Pr1P1P/6K1 b - -,d6d4
2rq1rk1/pn1p2p1/1p1Pp1Np/8/2PBn2P/P7/1P2BPP1/3QK2R b K -,b7d6
rn1qkbnr/pb1p1ppp/1p2p3/2p5/4P3/5NP1/PPPP1PBP/RNBQK2R w KQkq -,d1e2:d2d3:b1c3
1rn1r1k1/1ppq1ppp/p3p1n1/8/3PP2P/B1P3P1/P3QPB1/1RR3K1 w - -,e4e5
2br4/p3nrp1/4p2k/2NpP1pP/P2P2P1/1P5B/2RR3K/8 b - -,f7f4
r3n1k1/r1q3b1/3p1p1p/p1pP2p1/R1N1P3/2PQ3P/1P4PB/R6K b - -,g7f8
r1b1r1k1/1p3npp/2p2p2/p2pq3/P7/1P2PPP1/1BBQ1KP1/R4R2 b - -,e5g5
8/1p1R3p/8/p1k2P2/3pK1PP/8/4r3/8 w - -,e4d3
6rk/5q1p/pb1p1pnQ/1p1P1N2/8/P4B1P/1PP3P1/5R1K b - -,f7d7
5r2/1p3P1k/p4QpP/3p4/2q1p3/7P/PPP5/2K2R2 b - -,h7h6
3r2k1/pR1B1p1p/1p3p2/8/1P2P3/n2K1P2/5r1P/R7 w - -,d3e3
3r1rk1/p5p1/1pn3qp/2pN4/2P4P/PP2RP2/1K3Q2/6R1 b - -,g6f7
3r1rk1/pp3pp1/2p1p2p/3nN1q1/2BP4/2P2Q1P/PPb2PP1/2R1R1K1 b - -,c2h7
8/8/8/8/Q6K/1r6/k7/1q6 b - -,a2b2
rn2rbk1/1bq2ppp/pp1ppn2/8/2PNPPP1/2N1B3/PP4BP/2RQR1K1 b - -,f6d7
2R5/8/5KP1/P7/2pk4/r7/8/8 b - -,a3f3
bB4k1/p4ppp/Pp2p3/1r6/n4P2/5N1P/5K2/4N3 w - -,b8a7
3k4/3nq1p1/1p4b1/p1pPp1Pp/2P1P3/1P1BK1Q1/PB6/8 w - -,d3e2
8/2q3k1/1p4p1/1PpB1nQ1/r4P1P/7P/1R5K/8 w - -,h4h5
2r5/8/3k3p/1p1pn3/pN1N4/7P/3K2P1/8 w - -,g2g4
1n3bk1/5q2/p1p1p1p1/3p1pP1/1P1P1P2/P2BP3/2KB4/7Q b - -,f7b7
6k1/3r2p1/p1p5/1pP2PQ1/5P1P/6R1/b1PK4/q2N4 w - -,g3d3
r1bq1rk1/pp1pbppp/2n1p3/2p5/4P3/N1P2Q2/PP1P1PPP/R1B1RBK1 w - -,a3c2
3r3r/q2kbp2/p3p3/1b1pP2p/1p1P1NpP/1P4B1/P2Q1PP1/2R1R1K1 w - -,f4d5
r1k3r1/pp3q2/2p5/4R3/3N4/P2Q4/1P3P1P/1K6 b - -,f7d7
5rk1/1pnbq1b1/3p2p1/1P1P1pPp/n2NpP1P/1Q2P3/1B6/3R1BK1 w - -,b3a4
rn3rk1/1p3pp1/p1p2nbp/1P1P4/7P/2N1B3/1P3PBP/R3R1K1 b - -,c6b5
8/p2K4/5r2/7R/4k3/8/PP5P/8 w - -,h5a5
rnbq1rk1/pp3pbp/3ppnp1/2pP4/2P1P3/2NB4/PP2NPPP/R1BQ1RK1 b - -,f6g4:e6d5:a7a6
3r3r/2p2pk1/p6p/1p2QB2/3p1P2/6q1/PP6/1K2R3 b - -,g7g8
8/2R1Bp1k/p2P3p/1b4p1/8/P5KP/3r2P1/8 w - g6,g3f3
8/1pR1p2p/4Pbpk/1P3p2/3B1P2/7P/Q5PK/3q4 b - -,f6d4
r1bqkb1r/pppnpppp/3p1n2/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,e7e5
1R6/3k1K2/8/5P2/8/8/8/6r1 w - -,b8b2
r1bqk2r/pp1nbppp/2p1pn2/3p4/2PP4/1P1BPN2/P4PPP/RNBQ1RK1 b kq -,e8g8
8/8/6pk/5p2/p1q4p/K6P/1R3RP1/8 w - -,f2c2
8/r7/3p1p1p/1PkB1P2/P1P1P1P1/1K6/7P/8 w - -,h2h3
1r3r2/3bn1kp/p1nq1pp1/1pp1p3/2PpPP2/1P1P1NP1/P2Q2BP/1R2RNK1 b - -,b8b6
8/7k/5bpp/1p1qpp2/1Q2R2P/4BK2/5P2/8 w - -,b4f8
rn4k1/pb2b1pp/1pp5/8/2PP1q2/8/PPQ2PBP/1K1R3R b - -,b8d7
r2q1rk1/1p2ppbp/2p1bnp1/8/p7/2BP1NP1/PPQ1PPBP/R4RK1 w - -,b2b3
1br2r1k/pp5p/2n2p2/5q2/3p4/P3P1P1/1P1BB1KP/2R2R2 w - -,f1f5
8/2N1Pk1p/3P4/4Kp2/7r/P7/8/8 b - -,h4e4
8/8/p1p2pk1/PrN2p1p/1n1P3P/1R2PKP1/8/8 b - -,g6f7
r2q1rk1/pp2bppp/2npbn2/8/4PB2/1NN5/PPP1B1PP/R2Q1RK1 b - -,d8b6:a7a6
8/1pp5/p1k5/7p/1P3N1P/4K1Pb/8/8 b - -,h3g4
2rr2k1/3q1pp1/1pp1p2p/p7/PbPPQ2P/1P4P1/1B2RP2/3R2K1 b - -,b4e7
8/1p6/1prbkn2/3p1ppp/3P4/P1BRPPP1/1P2N1K1/8 w - h6,c3e1
rn2k1nr/ppq1ppbp/2pp2p1/8/2PPP1b1/2N1BN2/PP2BPPP/R2QK2R b KQkq -,b8d7
N2k4/pp6/2n2bPq/1B1p1p2/3P4/5N2/PPP2PP1/3KR3 b - -,h6g6
3r4/5b2/2kppp2/1p3P2/p3P2p/1PPRKB1P/P7/8 w - -,d3d2
8/6k1/pn1n4/2N4p/1P5P/6K1/8/7B w - -,c5a6
2rq1rk1/pp2ppbp/1n6/3P1p2/2B3n1/1QNP4/PP3PPP/R1B1R1K1 w - -,c1f4
2nn3r/p3qrk1/1p1p1pp1/2pPp3/2P1P2P/1P2NRPN/P4QK1/3R4 w - -,e3g4:g3g4
r1r3k1/n2qbppp/p3p3/1p1pP1N1/3P4/P2Q4/1PRB1PPP/2R3K1 b - -,e7g5
4r1k1/5pp1/3R4/p2P2Q1/1p2q3/1P5P/P5PK/8 w - -,d6d8
8/5p2/2K2k2/5P2/2N1P3/6b1/8/8 b - -,f6e7
rnbqk2r/4ppbp/p2p1np1/1PpP2B1/4P3/2N2P2/PP4PP/R2QKBNR b KQkq -,e8g8
2q3k1/p1r2pb1/1p2b1p1/3p3p/3P3P/1P2B1P1/PQ3PB1/2R3K1 w - -,c1c7
r1bn2k1/2p2rqp/3p2p1/1B1Pnp2/1p1NpN1P/1P2P1P1/PQ3P2/1K1R3R b - -,a8b8
rnbqkb1r/p2ppp1p/1p3np1/2p5/2PP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq d3,d7d6
r3kbnr/ppp1pppp/2nq4/7b/8/2N2N1P/PPPPBPP1/R1BQ1RK1 b kq -,e8c8
2r2k2/3b4/p6n/1p1pRp1P/6BN/7P/P1r5/1K3R2 b - -,d5d4
r5k1/3nqppp/p1p4r/4P3/N2p1P2/1P3Q1P/P5P1/2R2RK1 b - -,a8c8
3r3k/p4Rbp/8/1QB2p2/1P6/P4K1P/3r4/8 w - -,b5b7
r4rk1/pp2ppbp/2p5/5p2/3P4/1P2PB1P/P1P3P1/R2R2K1 b - -,f8d8
3R4/8/3P2k1/2K2pp1/5b1p/7P/6P1/8 b - -,g6f6
8/pbk1p3/3p4/1p1P1N2/2pPBp1b/P1P2P2/1P2K3/8 b - -,h4f6
r3k2r/pp3p1p/2n1qn1b/2p5/3pP2N/3P2B1/PPP1Q2P/R2NK2R w KQkq -,e1g1
6k1/3R3p/6p1/3B2P1/3p1P1n/8/3r4/6K1 b - -,g8f8
r2q1rk1/ppp2ppp/2n2n2/8/1bBP2b1/2N1BN2/PP3PPP/R2Q1RK1 b - -,d8d6:d8d7:g4c8
8/7p/1K6/1P6/8/5pQ1/4p2P/5k2 b - -,f3f2
r1bq1rk1/pp2bppp/2np1n2/4p1N1/2B1P3/2N4P/PP2QPP1/R1BR2K1 b - -,c6d4
r1q2rk1/1p1bbppp/2n5/pNn1p3/2Pp4/P2P1NP1/4PPBP/1RBQ1RK1 w - -,f1e1
1r2r1k1/1b1n1ppp/pp1ppb2/5P2/P1q1P3/2N1B3/1PPRNQPP/5RK1 b - -,c4c6
2r1r1k1/1p2qppp/p4nb1/3p1N2/4P2Q/3P3P/PP3RPB/5R1K b - -,g6f5
7k/8/8/5Q1P/5P2/4K3/6q1/8 b - -,g2g1
5k2/8/5R2/p4N2/P7/5r2/1KP1p3/4b3 b - -,f8e8
r1b1k2r/pp1nbppp/1qnpp3/6P1/4P3/1NN5/PPP1QP1P/R1B1KB1R w KQkq -,f1g2
rnb2rk1/1pqnbppp/p2pp3/8/3NP1P1/2N1B3/PPP2PBP/R2Q1RK1 w - -,f2f4
6k1/6p1/r5Np/4K3/7P/6R1/8/8 w - -,g6e7
3r1rk1/pq1nppbp/6p1/1p2P3/1n3P2/1B2B1NP/PP2QP2/R4RK1 w - -,f1d1
3r3r/pp1kbppp/2p1p3/5b2/2PPN3/P2B1P2/1P4PP/R4RK1 w - -,a1d1
8/4k2p/8/pP1R1K2/P1Pp3P/r7/8/8 w - -,b5b6
r1b2r1k/2q1b1pp/p2pppn1/2p5/2B1P3/N1P2N2/PP1RQPPP/5RK1 w - -,f1d1
8/4k3/2R5/3K1bP1/7P/5P2/2p2r2/8 b - -,f2f1
4R3/6b1/kp5p/2p1P1pP/1p1n2N1/4K3/PP3B2/5r2 b - -,f1b1
5rk1/ppNb1ppp/4p3/q2pP3/3Pn2P/2R5/PQ3PP1/2R1KB2 b - -,a7a6
r3k2r/1p1bbp2/1q2p1p1/3pP1N1/1n1P2P1/pP6/Pn1QNRKP/RBB5 b kq -,h8g8
5bk1/p2r2pp/1p3P2/3p2R1/3Q2K1/1P2P3/PB6/7q b - -,h1g2
r1b1k2r/ppp1qppp/2n1p3/3pP3/3Pn3/2NB1N2/PPP2PPP/R2QK2R b KQkq -,e7b4
3nb1k1/5r2/pr1p2p1/3P2P1/2Pp4/1P4N1/1B4B1/4R1K1 w - -,e1e8
3r4/5p2/p1Rp4/P2Pk1p1/8/2p4P/5PPK/8 w - -,c6c3
rn1q1rk1/pQ4pp/2p2n2/2Pppp2/8/4BBP1/PP2PP1P/R4RK1 b - -,d8d7
8/5p2/1b2p2p/2k1P1p1/4K1P1/5N1P/8/8 b - -,c5c4
n4rk1/Q3ppbp/4q1p1/3n4/2N5/3P1PPb/PPR1PB1P/R5K1 b - -,a8c7
3r1rk1/pp1n1ppp/2p5/q1Pn1R2/2BB1QP1/P6P/8/R5K1 w - -,f5g5
r2q1rk1/pbp1bppp/np2pn2/3pN3/2PP4/6P1/PP2PPBP/RNBQR1K1 w - d6,c4d5
r2qrbk1/1pp2ppp/3p1nb1/p3p3/2PnP3/PPNP1N1P/1B2BPP1/R2QK2R b KQ -,c7c6
8/8/8/3p1k2/3P4/r2N4/3K4/8 w - -,d2e3
2r3k1/pqr2pp1/4p2p/1p2P3/2PP2P1/P1R4P/4Q2K/2R5 w - -,c4c5
r3r1k1/ppp2pp1/1n3q1p/3pNb2/3P4/1QPBP3/P4PPP/R4RK1 w - -,c3c4
2rq1rk1/4bpp1/p1p2n1p/3p4/N4Bb1/6P1/PP2PPBP/2RQ1RK1 w - -,f4e3
2rqk2r/pp1bbppp/4p3/3pP3/3P2P1/PP2n3/R3BP1P/1N1Q1RK1 w k -,f2e3
8/8/1p6/p1p2pk1/2P3p1/1P4P1/P3RK2/3r4 b - -,d1d4
r5k1/pp1Nn1pp/2n1pr2/3p3b/3q1P2/2NB4/PP1Q1RPP/R5K1 b - -,f6h6
rn2kb1r/ppp2pp1/4b2p/3qN3/8/3P4/PPP2PPP/RNBQR1K1 w kq -,b1c3
r1bq1rk1/pppp1ppp/5n2/8/3PPPB1/2P5/P1P3PP/R1BQ1RK1 b - -,f6e4
3r1k2/ppqB2pp/4Q3/8/5b2/8/P5PP/4R2K w - -,e6f5
8/8/3r1k2/1p4p1/p1n5/P4K2/NP2R3/8 b - -,f6f5
r1b2rk1/pp1n1pbp/2pp1np1/q3p3/3PP3/2NBBN1P/PPPQ1PP1/R3R1K1 b - -,e5d4
8/1p1k4/p1p3Q1/P2p4/1q1P1PR1/4r3/8/5K2 w - -,g6f5
4k3/7R/p7/8/8/6KP/r4PP1/8 b - -,a6a5
r3r1k1/1pq2ppp/p2p2n1/2pP4/2PbNB2/1P1P4/P2Q2PP/4RR1K b - -,g6f4
8/8/6K1/6N1/1k5P/6P1/8/8 b - -,b4c5
8/8/8/8/6k1/6P1/3br3/3R3K w - -,h1g1
4k2r/3n1ppp/r1n1p3/p1qpP3/1p3P2/5N2/PPPQ1NPP/R4R1K w k -,f4f5
r1b1k2r/ppq1bppp/2nppn2/2p5/4P3/2P2NP1/PP1PQPBP/RNBR2K1 b kq -,d6d5
rnb2rk1/1pp1qppp/3p1n2/p2Pp3/2P1P3/6P1/PP1N1PBP/R2QNRK1 w - a6,e1d3
3r1rk1/pb4pp/1p2p1q1/8/2Pp4/P1P1QnP1/5B1P/R1K2B1R w - -,c3d4
2r5/1p2b1k1/1qn1n1p1/p2pP1p1/3N4/P4NB1/1P1Q1PP1/K2R4 b - -,c6d4
1rbq1rk1/4bppp/2np4/p2Np3/1pP1P2P/1P4P1/P1N2P2/R2QKB1R b KQ -,c8e6
2r1r1k1/1p1nbppn/pq2p1p1/2p1P3/P1BPN3/4B2P/1P2QPP1/2RR2K1 w - -,d4c5
7R/3r4/2p3p1/pp2pk2/P7/2P3P1/1P2KP2/8 w - b6,h8f8
7k/p5p1/7p/2bqP3/8/2B2PPb/1P2Q2P/7K w - -,c3e1
8/3r3p/p1kr2p1/1p2R3/P1p4R/7P/6P1/6K1 w - -,g1f2
1r2b2k/1r5p/3p1n2/3Pqp2/p1P1p2N/P1N1Q1PP/KP1RBP2/8 b - -,e8d7
5k2/8/3n2p1/4p2p/4P3/4qPPP/r2p1NK1/1R3Q2 b - -,a2c2
2rq1rk1/pp1b2Bp/2n1p1p1/3p4/3P4/2PQ1N2/P1B2PPP/R3R1K1 b - -,g8g7
r1b1qrk1/1p1n1pb1/p2p1np1/2pP2Bp/P3P3/2N2PN1/1P1QB1PP/R3K2R b KQ -,f6h7
