8/5pp1/K5k1/1N1n2P1/1P6/8/8/8 w - -,a6a5
6k1/p4p1p/1p2p1p1/n7/P1B5/1P2P3/3r1PPP/2R2K2 b - -,d2b2
r1b5/p1k2p2/p2p1np1/3Pp2p/2P1P2P/1P2KBP1/3NP3/R7 w - -,e3d3
r1bq1rk1/p3bppp/1pn1pn2/2p5/4pP2/2NP1NPP/PPP3B1/R1B1QRK1 w - -,d3e4
r2qrnk1/p4ppp/1ppbpn2/3p1b2/2PP1B2/PQN1PN1P/1P2BPP1/R2R2K1 w - -,f3e5
6k1/5pbp/1p1B2p1/8/2rp4/6P1/4PP1P/R5K1 b - -,h7h5
R7/8/4k2p/pr1n4/3pB2P/3P4/5PK1/8 b - -,h6h5
r1bq1rk1/pp3ppp/1n2pn2/6B1/2B4Q/2b1PN2/PP3PPP/R2R2K1 b - -,d8e7
5rk1/r5p1/1p1p3p/1BpPp3/P1N1P3/2PKq3/8/5R2 w - -,c4e3
2br4/5N1k/pb2p2p/1P1n1p2/p5p1/B3P3/B3KPPP/2R5 b - -,c8d7
2r2bk1/p4ppp/1n6/1pp1Pb2/8/2PP2P1/PP1B1NBP/R5K1 w - -,b2b3
4rrk1/1p1b2pp/p1n1pq2/3p4/2pP4/P1P2NN1/1P2QPPP/R3R1K1 w - -,a1d1
5r2/4b1k1/3pP1p1/2pQp3/p1q1B2n/2P2PNP/1P3R1K/8 b - -,c4d5
rn1qkb1r/pp2ppp1/2pp1np1/8/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq -,e2e4
8/6k1/6p1/3p4/P2P4/2P1PR2/q2K1P2/8 w - -,d2d3
8/8/6k1/2Bp4/p1p2p2/P1P2P1b/1r6/3R2K1 b - -,b2g2
1rbq4/p3n1k1/2n1pr1p/1p1p2pP/3P4/5NP1/PPNQ1PB1/R3K2R b KQ -,d8f8
8/2p1kr2/2Ppn1R1/5p1q/4pP2/PB4Q1/KP6/8 b - -,f7f6
5k2/2p5/1b4p1/pKpB2Bp/P4P1P/1P6/8/3b4 w - a6,b5c6
3N4/6k1/pp1b1ppp/4p1n1/1P4PN/P3P2P/3r4/2R3K1 w - -,c1c6
r1bqkb1r/1p3ppp/p1n1pn2/2pp4/2P5/1P2PNP1/PB1P1P1P/RN1QKB1R w KQkq -,f1g2
rn1qkb1r/pp2pppp/2p2n2/5b2/2Q5/6P1/PP1PPPBP/RNB1K1NR w KQkq -,g1f3
r1b2rk1/4b1pp/p1pppn2/6B1/4P3/q1N5/P1PQB1PP/1R3RK1 w - -,b1b3
1rbq3r/1p2k3/pN1pnnp1/P3p3/4P2b/4B1NP/1PPQ1PB1/3R1RK1 w - -,b6c4
r3rbk1/2pq1ppp/bp1p2n1/p2Pp3/3PP3/P3B1PP/1PQ1NPB1/R3R1K1 b - -,f8e7
8/2q3k1/Rr2Bbp1/2pP3p/2Prp2P/Q5P1/R4P1K/8 b - -,d4c4
8/1p2k3/5p1p/2np3P/5KP1/P7/8/1B6 b - -,c5e6
4B3/7k/1p4R1/5p1p/2P5/4p1P1/P4RKP/4q3 w - -,f2f5
6R1/4kpB1/1Rr3p1/4p3/3n4/PBq2P1P/6PK/8 w - -,g7f8
8/8/R7/p1r1k1p1/8/5BPK/8/8 w - -,h3g4
r2q1rk1/1bp1bppp/p3p3/1p1n4/3PNP2/5N2/PP2PPBP/2QR1RK1 b - -,e7d6
r6r/q1b2pk1/1p2p1pp/1Pp1Pn2/p1PpR2P/3P1NP1/1P1Q1PK1/2B4R b - -,a7b7
4k3/6R1/p1b1r1p1/3pBp2/2pK3P/2P5/P5P1/8 w - -,g7a7
2kr2r1/1pp1qnb1/p1b1p1p1/Q2pP2p/3P1P1P/5N2/PPP1BN2/2KR2R1 b - -,g7h6
r1b2rk1/1p3pp1/1np4p/p1q5/P2pP3/1P1B3P/N1P1QPP1/3R1RK1 b - -,f8e8
r2q2k1/ppp3rp/3bbnn1/3Pp1p1/4Pp2/2N2P2/PPR1BBPP/3Q1RK1 w - -,d5e6
r4rk1/1pp3pn/p1n1pb1p/P1p1p3/2N1P3/2P2N1P/1P3PP1/R1B1R1K1 w - -,c1e3
r1bq1rk1/ppp1bppp/2n2n2/4p3/4P3/2P2NP1/PPQN1PBP/R1B1K2R b KQ -,c8e6
1kr5/p2r3p/1p2pp2/1P6/P1pPq2P/2Q2NR1/5P1K/6R1 w - -,g3g8
8/1p4p1/2p3R1/2Pp1P1k/7P/3r2PK/8/8 w - -,g6g7
1kr4r/pp1q1pp1/4p3/2P1Pn1p/1n1p1P2/P4NPP/1P2QBK1/R4R2 b - -,b4d5
2r1k2r/p4ppp/2p2n2/2Pp4/3Pp3/NP6/PB1P1PPP/n4RK1 w k -,f1a1
4r3/p1k4p/1pp3p1/5P2/P1P2P2/1PbN1KB1/7P/8 b - -,g6f5
r2qk2r/p2n1ppp/bpp1pn2/3p4/2PP4/1P3NP1/P2QPPBP/RNR3K1 b kq -,e8g8
r2b1r2/1bq2pkp/3p1np1/1p2p3/4PP2/1NBB4/1PPQ2PP/4RR1K w - -,d2e3
r3r1k1/ppp2pp1/2n2b2/5q1p/2QP4/2P3BP/P4PP1/R3RNK1 b - -,f5a5
4r2k/6pp/3r4/5b2/4p3/P1B2p2/1PP3PP/1K2RR2 w - -,g2f3
6k1/pp5p/2q1npp1/4p3/2P5/3QP2P/P2N1PP1/6K1 w - -,d2e4
r1r2nk1/p4ppp/4b3/qp1p2P1/3P1P2/2NB3P/PP1Q4/1K1R3R b - -,b5b4
rn1r2k1/p3ppbp/q1p3p1/1p6/2NP4/1P1Q2PP/PB2PPK1/R2R4 w - b6,c4a3
8/1B5p/8/4kpp1/8/2n1K1P1/7P/8 b - -,c3d5
1rq2n2/p1r3k1/6p1/2pB1pPp/1p3P1P/4Q3/PPP4K/4RR2 w - -,f1f2
k1n2b2/p1p5/2P5/P1p1r1p1/4Pp2/5PP1/8/1R2BBK1 b - -,c8d6
7r/2k3pp/p1pb2q1/1p1p4/3Pr3/1B5Q/PPP3PP/R1B2RK1 w - -,c2c3
2r1r1k1/1Rbn1pp1/q3p1p1/pN1p2Pn/2PP4/3Q2BP/P4PB1/4R1K1 w - -,b7c7
2kr4/pp3p2/2nbp1p1/3n3p/5P2/1NP3P1/PP1BB1KP/R7 w - -,a1d1
rn1q1rk1/pbp1bppp/1p2pn2/3p2B1/2PP4/P1N1PN2/1P3PPP/2RQKB1R b K -,b8d7
rn1q1rk1/pb1pbppp/1p2pn2/2p5/Q1PP4/2N2NP1/PP2PPBP/R1B2RK1 w - c6,d4c5
1r2kb1r/1b1pp1pp/n5q1/P1p5/4p3/2N2N2/1P1B1PPP/R2QR1K1 w k -,f3e5
3R1kr1/1p3p2/p4p2/P1r5/1P3q2/6p1/4N2R/4K3 b - -,f8e7
3rk1r1/1pp1nppp/p1p5/6B1/4P3/2b2P2/PPP1KP1P/R5R1 w - -,b2c3
2b2r1k/1p2r1pP/8/pPpp1p2/P2p1B2/R1nB1R1P/2P3P1/7K b - -,f8e8
k2r2r1/ppnbqpb1/3p2pp/3Pp3/1RP1P2N/2NB2P1/P1Q2PP1/KR6 b - -,d8b8
3r3r/1pN2k1p/6p1/p1n1p3/4nb2/B5PB/PPK4P/3R3R b - -,f4e3
8/8/p1p2p2/1kb1p1p1/2p1P3/1PP2P2/P1K3P1/4B3 w - -,e1d2
r1bq1rk1/pp2bppp/2n1pn2/3p4/3P4/P1N2NP1/1P2PPBP/R1BQ1RK1 b - -,c8d7
1rb2rk1/p1q1bp1p/2p2np1/1pn1p3/4P3/1BP1NN2/PPQB1PPP/R4RK1 w - -,f3g5
5rk1/1p3ppp/pN2bnn1/Pr2p1q1/2NpP3/3P1PP1/1PR4P/R3QBK1 b - -,h7h5
r1r3k1/1p2bppp/p3pn2/4Nb2/Q1BPpB2/2N5/Pq3PPP/2R1K2R b K -,e7b4
8/8/8/4K3/8/p7/8/1k1Q4 b - -,b1b2
rnbqk2r/ppp1ppbp/5np1/3p2B1/3P4/2P2N2/PP2PPPP/RN1QKB1R w KQkq d6,b1d2
r2r3k/1b2p1bp/p3B1p1/P1p1n1Bn/1p6/4NP2/1PP3PP/R3K1NR b KQ -,h7h6
rnbqk2r/ppp1p1bp/3p1np1/3P1p2/2P5/6P1/PP2PPBP/RNBQK1NR w KQkq -,g1h3
r2qnrk1/ppp2pbp/2n3p1/3Pp3/2p1P1b1/4BNP1/PP2NPBP/R2Q1RK1 b - -,c6e7
rr4k1/1p1bq1bp/p2p2p1/2pPp3/2P1PpP1/3B1P2/PP2QB2/1KR3R1 w - c6,g4g5
3r1rk1/pp1n1pp1/2p1pnp1/q7/PbBP2P1/2N1PQ1P/1P1B1PK1/R6R w - -,h1d1
4q1k1/r6n/p1b1p2p/1pp1Pnp1/2P2QP1/3B4/PP5P/2B2RK1 w - -,f4d2
7r/pk1q1pp1/2p5/1p1nPb2/8/PB3Q2/1PPB4/2K2R2 w - -,f3f5
3r2k1/3b2pp/p1n1p1q1/Ppb2N2/7R/1QN3PP/1P2PP2/5RK1 w - -,e2e4
4r1k1/1p4p1/8/PPB5/5b2/4nP1p/4R3/6K1 w - -,a5a6
5k2/pbp3pp/4P3/6P1/1P6/P1n4B/5K1P/R1Br4 w - -,h3g4
1r1q1r1k/1b2p1bp/pn1p2p1/2pP1p1n/P3P3/2N4P/1PQN1PPB/R3RBK1 w - f6,a4a5
3r2k1/1q3pp1/1p1p3p/p1r2N2/P3P3/2R1Q1P1/nP3P1P/2R3K1 w - -,e3d4
rnbqk2r/pp2ppbp/2p2np1/3P4/8/2N2NP1/PP1PPPBP/R1BQK2R b KQkq -,c6d5
1rr2k2/1p1np1bp/p2pbpp1/3N2B1/2P1P3/1P3P2/P3B1PP/2RR2K1 w - -,g5e3
8/8/8/1n6/8/k7/1pBK4/8 w - -,c2b1
8/p2B2k1/2Q1Ppp1/3q1n1p/8/4rRP1/6K1/8 b - -,d5c6
8/8/4k3/8/2K5/2P5/8/8 w - -,c4b5
r2qr3/p2p1k2/1p1Bp3/5pp1/2PRb3/P1Q1P3/1P3P2/2K3R1 b - -,e6e5
rn1q1rk1/pb2bppp/1p1pp3/3nP3/2BP4/2N2N2/PP1BQPPP/R4RK1 b - -,d5c3
r3k2r/p4ppp/q1p1p3/2P1P3/1np5/1P1b1NP1/P4PBP/R2QR1K1 w kq -,f3d4
r1b1k2r/pp3ppp/2n1pn2/1Bb5/8/4PNP1/PP3P1P/RNBK3R b kq -,c8d7
r1bqk2r/ppp1b1pp/2np1n2/3Npp2/2P5/1Q2P1P1/PP1P1PBP/R1B1K1NR w KQkq -,g1e2
4qrkn/1p4b1/p4p2/P1pPpQp1/2P1P1P1/6P1/3B1R2/5RK1 w - -,f2h2
4r1k1/pr2b1np/R2P4/4Ppp1/N7/4B2P/P1R4K/8 b - -,f5f4
8/1p4kp/1bn3p1/p4r2/8/PB1R2P1/5P2/4R1K1 w - -,e1e2
r3k2r/p1pbqppp/2p5/3pP3/1b6/2P5/P1P1NPPP/R1BQ1RK1 b kq -,b4c5
1r3r1k/3n2np/pq1Q2p1/4p3/1N2p3/P4P2/6PP/2RR1B1K b - -,b6d6
1r2k3/1p3p2/p2p1n2/2pPn3/P3P1q1/2N1B3/1P5Q/2KR4 b - -,e8d7
r4rk1/ppqb1pp1/2np1b1p/2pBp3/P3P3/2PP1N1P/1P1B1PP1/R2QR1K1 w - -,f3h2
2r4k/1pN1n1pp/5p2/7P/4r3/R7/P1P3P1/2KR4 b - -,e4c4
r1bqnrk1/pp2bppp/2n5/2p1p3/3pPP2/3P2PP/PPP1N1B1/R1BQNRK1 b - f3,e8d6
3q1rk1/5rp1/2p5/p1PpP2p/Pp1P2P1/1P3pKP/3Q1R2/5R2 b - -,h5h4
r2q1rk1/1b1nppbp/p1p3p1/1p6/1P1P4/P1QBPN2/5PPP/R1BR2K1 b - b3,a8c8
8/1p1bk1pp/p3pr2/3p4/3P1P2/3B4/PP1K2PP/5R2 w - -,d2e3
8/8/3k4/8/2P2p2/7b/5PBP/6K1 b - -,h3e6
5r1k/2q1b1pp/p3Br2/1ppn4/5P2/P3B2Q/1PP3PP/4RRK1 b - -,d5f4
5rk1/p2n1pbp/2Np1np1/4p3/8/4P2P/1q3PPB/2RQ1RK1 w - -,d1d6
r1b4r/pp1nkpbp/2pN2p1/2q1p3/4PPn1/2P2NP1/PP4BP/R1BQK2R w KQ -,d6c8
4r1k1/pppnP3/4N1p1/7p/7Q/1Pq4P/P5P1/5R1K w - -,h4g5
1r6/1p2kp2/p1pRP1p1/P1P4p/1P1KPP1P/8/8/8 w - -,e6f7
rn2k2r/pp1q1p1p/4bp2/3p4/3Ppb2/1QN1P1P1/PP3P1P/R3KB1R w KQkq -,g3f4
2k1rr2/pp3p1R/1np2bp1/3p4/3P4/3BPR2/PP2NPP1/2K5 b - -,b6d7
6r1/8/2R1k2p/1p1b1p1n/4pP2/2B1P2B/1P5P/5R1K b - -,d5c6
1k2r2r/1p2q3/p4b2/3bpP1p/3p3P/1P1Q2NR/P1PB4/1K1R4 w - -,g3e4
8/5p2/2p5/1p4kP/1P2P3/4K3/8/8 b - -,g5h5
6k1/6pp/1p2pp1b/1P6/3P4/2R2NPP/r3rP2/1R4K1 w - -,c3c8
2r3k1/5pp1/5n1p/2n1pP2/1q2P3/2N1QB2/3R2PP/6K1 b - -,c5b3
1r5k/7P/1p1p1q2/3P4/P3r3/4B3/1P3P2/2RQ1K2 w - -,d1d3
r1bqr1k1/pp1nppbp/2p1n1p1/4P3/2P5/2B2N1P/PPB2PP1/RN1Q1RK1 b - -,d8c7
r2qr1k1/pppb1pb1/3pnnpp/8/1PPNP3/2N3PP/P4PB1/1RBQR1K1 w - -,d4e6
r2q1rk1/1b1n1ppp/p1pb1n2/1p2p3/3PP3/2NB1N1P/PPQ2PP1/R1BR2K1 b - -,d8c7
r5k1/5pp1/1rPRb2p/p3p3/4P3/1P2R2P/2B3PK/8 w - -,e3c3
8/bP6/8/3K4/8/4k3/2r1p3/1R6 w - -,b1a1
b1r1qk2/p3bppp/1pnrpN2/2p2nP1/2P2P1P/2BPPN2/P2RQ2K/6RB b - -,e7f6
8/8/8/8/1bk2B2/p1n5/8/K7 b - -,c3e2
r1bqr1k1/ppp2pb1/2n2npp/3pp3/4P3/2PP1NP1/PPQN1PBP/R1B1R1K1 w - -,d2f1
8/2R5/6r1/1kPKBb2/8/8/8/8 w - -,c7b7
8/p2rk2p/3b2p1/3B4/Pp2Kp2/1P2P1P1/6P1/2R5 w - -,g3f4
r7/4qpk1/2p1pnp1/p1R4p/Pr1P1P1P/1P4P1/2BR1Q1K/8 w - -,h2g2
1rb1r1k1/3nqpbp/pp1p2p1/2pPp2n/1PP1P3/PRN1B1PP/3N1PB1/3Q1RK1 b - -,e7f8
8/kr5p/1r6/KPQ5/8/7P/8/8 w - -,h3h4
6k1/5p1p/4p1p1/4P3/1n3PP1/8/1P1r2NP/R6K w - -,f4f5
rr4k1/p4p1p/2R1pbp1/B7/1PK5/8/1P1R1PPP/8 w - -,b4b5
r1bqr1k1/p2nbpp1/1p3n2/3p3p/2pP1N1P/2NBPP2/PPQ2BP1/2KR3R w - -,d3f5
8/6k1/6Pp/1r3p2/1P3R2/4P1P1/r4P2/1R4K1 b - -,g7g6
3rr2k/pp1q1Qp1/1np3pp/2b1p3/4N3/3PNPP1/PP1BP2P/5R1K w - -,f7g6
1qr3k1/2r1bpp1/pp3n1p/3PpP2/1PP3PP/4BB2/P1RQ4/2R3K1 b - -,e5e4
r1bq1rk1/p2nppbp/1p1p2p1/2pPn3/8/2P1P2P/PP1NBPPB/RN1Q1RK1 b - -,f7f5
b3r1k1/5ppp/np1rp3/p7/3PP1N1/P5P1/1R3PBP/3R2K1 b - -,a6c7
3rr2k/7p/Q3p1p1/8/3q1P2/1Pn1RBPP/P7/4R1K1 b - -,c3d5
r2r2k1/1q1n1ppp/4p3/1pbpP3/p2N1P2/P1P3P1/1P1N3P/1QR2RK1 w - -,d2f3
8/2n4p/4K3/4NP2/1p1k4/1P5P/8/8 w - -,e6d6
r3qrk1/1b2bpp1/4p2p/ppnnP3/2NN3P/P5P1/1PQ2PB1/R1BR2K1 w - -,g2d5
8/8/8/3K1pk1/4r3/8/8/6R1 b - -,g5f6
2r3k1/1RN1ppb1/2p3pp/r7/8/P1nPP1P1/4PKBP/2R5 w - -,d3d4
rq2k2r/3nbppp/p1p1pnb1/1pPp4/PN1P3N/1Q2PP2/1P2B1PP/R1B1K2R b KQkq -,b8b7
2b5/r4qkp/6p1/pp1pR3/3P4/1P5P/P2Q1PP1/4R1K1 w - -,d2g5
4r1k1/7p/pp3q2/3r1N2/n4P2/6PP/P4Q1K/2R2R2 w - -,f5e3
5rk1/1bp1q1p1/3p4/3PrP1R/p3P1p1/P1N3P1/3Q2K1/7R w - -,d2f4
8/p6r/1p1p1k2/1PpPnb2/2P5/4RPB1/P3BK2/8 b - -,f5b1
r2qrbk1/1bQn1ppp/pp2pn2/3p4/3P1B2/P3PN2/NP2BPPP/2R2RK1 b - -,d8c8
rnbqk2r/1pp1bppp/p4n2/3p2B1/3P4/2NBP3/PP3PPP/R2QK1NR b KQkq -,b8d7
1rbqk1nr/p4pbp/2npp1p1/1pp5/3PP3/2N1B1P1/PPPQNPBP/R3K2R b KQk -,b5b4
rn1qk2r/pp2bppp/2p1pnb1/8/2BPP1P1/2N1BN1P/PPQ2P2/R3K2R b KQkq -,d8a5
8/8/7P/3p2R1/4k1K1/8/8/7r w - -,g5h5
7r/2k2p2/1pp2p2/p3pP2/2n4p/R2N1PbP/PP2B1P1/1K6 w - -,a3c3
r2qk2r/1p2bpp1/p2p1nn1/2pPp3/P3P3/2N1NQP1/1PP4P/R1B1R1K1 b kq -,f6h5
8/p2r2k1/5qp1/5p1p/PP1p4/3Q2P1/5P1P/2R3K1 b - b3,a7a6
6k1/1b3ppp/p2p4/1p1n4/3Pp3/1P2P3/P3BPPP/2B3K1 w - -,c1d2
8/1p6/2p1p3/6P1/p2n4/3B2K1/1k3P2/8 w - -,g5g6
2rq1rk1/3nppbp/2np2p1/1pp5/4PP1P/2PPBQP1/1P1N2B1/R4RK1 b - -,b5b4
r4r1k/3b3p/2n1pnp1/1p1p4/1p1P1q2/1B1Q1NNP/PP2RPP1/4R1K1 w - b6,d3d1
3r1k2/Q7/bp3qp1/3p2N1/2p1P2P/2P1P3/PP1N2P1/1K5n b - -,f6e7
1br1k1r1/1p3p2/p3pB1p/3b1p2/3N4/P1P3P1/1PP4P/1K1RR3 w - -,d4f5
r4rk1/5pqp/bp2p1p1/p1n1P3/2pn1P2/6P1/PPBN2KP/3QRR2 w - -,f1f2
r4r1k/1b3pp1/3bp3/pp6/1P1P4/p3PN2/3B1PPP/R3K2R w KQ a6,a1a3
r3rnk1/ppq2pb1/2ppbnpp/4p3/P3P3/2PPNNPP/1P3PB1/R1BQR1K1 w - -,f3h2
1k1r3r/pp1q1p2/3bp3/8/1P1PNPp1/P3Q1Pp/7P/2R2RK1 b - -,d6e7
r4rk1/p2nppbp/2p1b1p1/q2p4/N2P1B2/6P1/PP2PPBP/2RQ1RK1 b - -,a8c8
8/1p1b4/8/p7/8/6K1/1k6/6B1 w - -,g3f4
2r5/5ppk/q3p2p/P2pP3/2rPb3/R1B5/3Q3P/2R3K1 w - -,c1f1
r1bqk2r/1p1nppbp/p2p1np1/8/3NP3/2N5/PPP1BPPP/R1BQR1K1 w kq -,e2f1
rn2kb1r/pp2qppp/2p5/8/2nP4/8/PP2BPPP/RNBQK2R b KQkq -,c4b6
8/8/4B1k1/4K1p1/1p3r2/2P1R1R1/8/3r4 w - -,c3c4
r4rk1/p4pbp/4qnp1/npp1p3/8/2P2N1P/PP1N1PP1/1RBQR1K1 w - -,e1e5
2k3r1/1pp5/5q1p/3p1P2/N1n1P2P/Pr4P1/KP2Q3/4RR2 b - -,g8g3
6k1/1p2rppp/3p1bBB/p1qPr3/2P4P/1P4P1/P2Q1RK1/5R2 b - -,h7g6
2r5/5pk1/6p1/5b1p/p2q1P2/4Q2P/P3R1PK/8 b - -,d4e3
r3k2r/4bp2/pqppbp1p/8/4PN2/8/PPPQ2PP/2KR1B1R b kq -,e6a2
r1bq1knr/pp2b1pp/2n1pp2/2PpP3/8/6Q1/PPPN1PPP/R1B1KBNR w KQ -,d2f3
r3kbnr/ppq1pppp/2n5/3p4/3P4/1QP5/PP2BPPP/RNB1K2R b KQkq -,e7e6
8/8/8/4p3/2b3P1/2k1K3/1R6/8 b - -,c3b2
rn1q1rk1/pp2bppp/2p2n2/3pN1B1/3P4/3bP3/PP1N1PPP/R2QK2R w KQ -,e5d3
8/p7/4nn2/2pp1kp1/7p/1P1NKP2/P6P/2R5 b - -,f6d7
rn1q1rk1/pp3pbp/2p1pnp1/3p4/1PP3b1/NQ2PN2/PB1PBPPP/R4RK1 b - -,f6e4
r1b2k2/5p1p/2p3p1/p3p3/N7/P5P1/1P2PP1P/R5K1 b - -,a8b8
r4r2/1p1qk3/p2b2p1/3Pp1Pp/4P3/3QBP2/1P5K/R4R2 w - -,f1f2
5R2/8/r6k/4NK1n/7P/8/8/8 b - -,h5g7
rn1qkb1r/pp3ppp/2pppn2/6B1/3PP1b1/2N2N2/PPP1BPPP/R2QK2R b KQkq -,f8e7
r1bq1rk1/p1p1bppp/1p1p1n2/4n3/4PB2/1NP5/PP1NBPPP/R2Q1RK1 w - -,b3d4
r3k2r/1bqn1pb1/pp1ppnpp/8/P2NPPP1/2N1BB2/1PP1Q2P/R4RK1 w kq -,f4f5
1r2r2k/2q1N1bp/1pp1b1p1/p1n1p1B1/P1P1P3/6PP/1P1Q2BK/2RR4 w - -,d2d6
8/1p4p1/2nk1q2/2n1pP2/p2pP3/P2P1NQ1/1PB1K3/8 b - -,b7b5
6k1/p4p2/1pn1p1p1/2b1P3/2q2B2/5PQ1/6PK/3B4 w - -,g3g5
8/r4p2/3R4/k1pQ4/1p6/1P3P1P/6PK/4q3 b - -,e1c3
1R6/3k1p1p/4p1p1/3n4/P7/6P1/1P3PKP/2r2B2 b - a3,c1c8
r1b1kb1r/2q2ppp/p2ppn2/1p6/3NPPn1/PBN5/1PP3PP/R1BQ1RK1 b kq -,e6e5
8/b4p1p/2k1p3/8/P2r1N2/6P1/R1K2P2/8 w - -,c2c3
1r3bk1/pq4pp/2r2p2/B1p5/P4Q2/2R3P1/5P1P/2R3K1 w - -,c3c4
r7/3q2bk/3Br1pp/1p1b4/5QNN/P1P4P/5RP1/6K1 w - -,d6e5
8/5pk1/2p2p2/p1bprB2/P7/6P1/1rP2P1P/R4RK1 w - -,f5d3
r2qrbk1/5p2/bp2pnpp/p1ppB1N1/3P4/2P1PQ2/PPB2PPP/R3K2R b KQ -,f8g7
4k3/ppp2b1p/5p1r/3p1p1P/3P1N2/P4PR1/1PPK1P2/8 w - -,b2b3
rn1qk2r/ppp2ppp/5n2/3p4/3P4/P1PQP3/5PPP/R1B1K1NR b KQkq -,e8g8
r1b1k1nr/p2ppp1p/p5p1/2qN4/4P3/2b5/PPP2PPP/R2QK1NR w KQkq -,d5c3
rnbqr1k1/pp1pp1bp/5np1/2pP1p2/2P5/5NP1/PP2PPBP/RNBQ1RK1 w - -,c1f4
r2r2k1/2qn1p1p/4pnp1/pp1pN3/2pP1P2/2P3P1/PP1NQP1P/2R1R1K1 w - a6,d2f3
6k1/5pp1/p2p1q1p/8/1p1NRPb1/2P3P1/1P5P/R6K b - -,b4c3
r1b1r1k1/2q1bpp1/p2p1n1p/npp1p1B1/4P3/2PP1N2/PPB2PPP/R2QRNK1 w - -,g5h4
2b1r1k1/5pb1/p2p1npp/2pP4/R7/1rN3PP/1P2PPB1/2B2RK1 w - -,a4a2
r1bq1rk1/p2nbppp/1pp1pn2/3p4/2PP4/1P1BPN2/PB1N1PPP/R2Q1RK1 b - -,c8b7
6k1/4R3/4pR2/8/4r1P1/5K2/4rP2/8 b - -,e2e1
2Q5/4r1b1/R3p1pk/3pq2p/3p3P/3P1BP1/4PPK1/8 b - -,h6h7
3r3k/1p3rpp/3p2q1/n2Npbb1/P3N3/2PB1PP1/4Q2P/3R1RK1 w - -,d3c2
5rk1/1p1nppbp/3p1np1/q1p5/2PPP1b1/rRN1BN2/P1Q1BPPP/1R4K1 b - -,a3b3
2k3r1/pp3p2/1q1np3/2np4/7P/PB3Q2/1PP2P1B/1K1R4 w - -,f3f4
r2qkb1r/pb1ppp1p/1pn5/5p2/8/6P1/PPP1PPBP/RN1QK1NR w KQkq -,e2e3
2r1r1k1/1bqn1ppp/p2bpn2/8/N1Pp4/5NP1/1BQ1PPBP/2RR2K1 w - -,b2d4
8/5R1p/4p3/6P1/3rkp1r/8/8/1R4K1 b - -,e6e5
r3k2r/1p1bnp2/1pn1p1p1/3pP1Pp/5P1P/2P5/PP1NN3/R3KB1R b KQkq -,e8g8
