5rk1/1pR5/2b2KBp/7P/8/8/8/8 w - -,g6f7
r1b2rk1/pppn3p/3pp3/5p1q/2PP1B2/P4PPN/1PQ1P3/2KR1B2 w - -,f1g2
r5k1/5p1p/Rn1q2p1/2pP4/5P2/5BPP/3Q4/6K1 w - -,a6a8
rnb1kb1r/pp3p2/2p1pqpp/3p4/2PP4/2NBPN2/PP3PPP/R2QK2R b KQkq -,f8g7
1q1r1rk1/1B3ppp/p3p3/4N1b1/Pn1P4/1P6/3R1PPP/2Q1R1K1 w - -,b7e4
4rbk1/1q1b1pp1/3p1nnp/r2Pp3/1Pp1P3/2N1BN1P/2BQ1PP1/R5K1 w - -,b4a5
r3k2r/1npqbppp/p7/1p1pPB2/3P1P2/8/PP1N2PP/R1BQ1RK1 b kq -,d7f5
r7/8/4kpp1/3p3p/3P3P/4PKP1/4RP2/8 w - -,e2b2
2rr4/1p3pk1/p1bp1np1/2q1p2p/PnP1P3/1PN2PP1/1Q1R2BP/2NR3K w - h6,h2h4
r6r/3q2k1/2p1p1p1/p3P2B/PnpPR3/7P/1P1Q2PN/7K w - -,h5g4
r2q1rk1/2p1bppp/p1np1n2/P3p3/1p2P1b1/1B1PBN2/1PP2PPP/RN1QR1K1 b - -,d6d5
8/5pk1/2qp2p1/4p2p/4P2P/3Q2P1/5P2/6K1 b - -,c6d7
3R4/8/8/8/1p2K3/1r6/2k5/8 w - -,d8h8
5r2/6kp/pp1p1np1/2pP2N1/P1P2P2/1P4PP/8/1B2K3 b - -,f8e8
1rb1k2r/p1pp1ppp/1np1q3/4P3/2P1Q3/2bB4/PP1B1PPP/R3K2R w KQk -,d2c3
8/3k4/2n1p3/3p1p2/1bpP1Pp1/4P1P1/1r1NK1P1/2R5 w - -,c1d1
r7/1p3p1p/2nnpkp1/r2p4/8/3PP1P1/P1RNBP1P/R5K1 w - -,c2b2
8/1p6/pB2k2p/1b3pP1/8/4K3/PP3P2/8 b - -,h6g5
8/pr6/3p2k1/p1pPb3/P1PpPp2/1P1K4/6P1/3B3R b - -,b7h7
3r1rk1/2p2ppp/ppp1b3/4P3/3nNP2/2N1R3/PPP3PP/2R3K1 w - -,g1f2
r2r2k1/5ppp/p2bp3/1q6/1n1Q4/1NB3P1/PP3P1P/R3R1K1 b - -,e6e5
r1q2rk1/ppp2pbp/2np1np1/4pb2/2P5/2NP1NP1/PP2PPBP/1RBQR1K1 w - -,c1g5
r1bqr1k1/pp1n1pbp/2p3p1/4p3/8/2PP1NP1/P1QBPPBP/1R3RK1 b - -,h7h6
8/6p1/3pp3/p1n4P/4kP2/5N2/7R/K7 b - -,e4f3
r2q1rk1/3nbppp/1p6/p1pp4/3PnB2/P4NP1/1P2PPBP/2RQ1RK1 w - -,d4c5
1k1r4/ppp2p1R/5qp1/4p3/4Pb2/1BPP1Q2/PP2K3/8 b - -,d8f8
r1bqk2r/4bpp1/p2ppn1p/1p6/3BP3/2N2P2/PPPQ2PP/2KR1B1R w kq b6,c1b1
b2nrr2/pq2n1kp/1p1p2p1/1Pp2p2/2P1PP1P/P1NP3B/3Q3N/1R3RK1 b - -,d8e6
2rbkr2/1p1b1p1p/p3p3/2P1Pp2/8/2N2B2/PPP3PP/R3K2R w KQ -,f3b7
2r4r/p1qnkpp1/4p1p1/3p4/1PnP4/2P2PN1/P1Q2KPP/RN5R w - -,h2h3
r3k2r/p4p2/1p1pp2p/3qn3/3Q3N/2P1P1P1/P4PP1/R3K2R b KQkq -,d5d4
r4rk1/pp4bp/2nq2p1/5p1n/P1p2P2/3B3Q/1P1BNP1P/R4RK1 w - -,d3c4
2rq1r2/2nn1pkp/2pQp1p1/p7/P3PPPP/1BN5/1PP5/2K3RR b - -,d7b8
2rrn1k1/p4pp1/1pq2B1p/3p4/7P/1QN2PP1/PP1R1PK1/3R4 b - -,e8f6
5rk1/2pb1rbp/1p1p2p1/p1nPpp1q/2P1Pn2/1PN2P1P/P1QN1BPK/R4B1R w - -,h2g1
8/4P1kp/6p1/8/8/4N1P1/3p1P1P/r4BK1 b - -,g7f7
r1b2rk1/2qn1pbp/p1n1p1p1/1p1pP3/5B2/N1PBQN2/PP3PPP/2R1R1K1 b - -,c8b7
rnb1k2r/pp1nqppp/4p3/3pP3/3p1P2/5N2/PPPN2PP/R2QKB1R w KQkq -,f1d3
r4rk1/p4ppp/1pQ1pq2/8/2P5/6B1/Pb3PPP/3R1RK1 w - -,d1d7
4r1k1/2q3bp/p1p1r1p1/1pR1Pp2/1P3Q2/1P3N1P/5PP1/4R1K1 w - -,h3h4
r1bqk1nr/pp2bppp/2p5/n3p3/Q3P3/2P2N2/P3BPPP/RNB1K2R w KQkq -,f3e5
8/7R/4pk2/p2b1p1P/8/4RP2/1r6/6K1 b - -,f6g5
8/3b1k2/1p1p1p2/p1pP4/P1P1P2p/1P2BPK1/8/8 w - -,g3h4
1r4k1/1r1q1pbp/pp2p1p1/2p1n3/P1P1NB2/1R1P2PP/4PP2/1RQ3K1 w - -,c1e3
4r3/2R4p/p4pp1/6k1/Pp5R/3rP1P1/1P5P/6K1 w - -,c7h7
rnbq1rk1/ppn1ppbp/2p3p1/3pP3/3P1P2/2N1BN2/PPPQB1PP/R3K2R w KQ -,e1c1
8/5k1R/2r5/5PK1/1p1B4/8/8/3b4 b - -,f7f8
1rn5/2B2pp1/2nk3p/2Np4/5P2/P5P1/6P1/1R4K1 b - -,d6c5
1rb2r2/2p2pbk/2nq2pp/1pNnp3/8/1BPP1N2/1P3PPP/R1BQR1K1 w - -,d3d4
4nrk1/1r4bp/1q1p2p1/1p1Pp1B1/2p1P1nQ/2N4P/1PP3P1/R4R1K w - -,h4g4
2r5/5k1p/3b2p1/1B1p4/Pnp4P/4RP2/5PK1/2R5 b - -,d6f4
r3r3/pp5k/4q1pp/1P3p2/3Bp2N/1Q4P1/P4P1P/2R4K b - -,e6d7
1k6/1p5p/p2p4/3Pr1b1/1P6/4pK2/P1R5/3R4 b - b3,h7h6
8/2N5/1p6/3N1k2/2nK3r/P5R1/8/8 w - -,d4c3
r1bqk1nr/pp2ppbp/6p1/1Npp4/4PP2/5N2/PPPP2PP/R1BQ1RK1 w kq d6,e4e5:e4d5
1r2r1k1/1b1q1ppp/1B1p1n2/p7/PpR1PP1b/1P4N1/2P2QBP/2R3K1 b - -,b7e4
rn1qkb1r/pp1n1ppp/4p3/2ppP3/3P1P2/2N2N2/PPP1Q1PP/R1B1K2R b KQkq -,b8c6
1br1r1k1/5pp1/p3b1np/1p1pNN2/3Pn3/P1B4P/1PB2PP1/2R1R1K1 w - -,c2e4
r2qk2r/pbpnbpp1/1p2pn1p/3p2B1/2PP4/P1N1PN2/1P3PPP/2RQKB1R w Kkq -,g5h4
br6/R4p1k/3p2pn/1p1Pp1p1/P3P3/4N1NP/P4PP1/6K1 b - -,b5a4
r2q1rk1/pbpn1ppp/1p1bpn2/3p4/3P4/1P1BPN2/PBPN1PPP/R2Q1RK1 w - -,d1e2:a1c1:f3e5:d2b1
2bq1rk1/1ppn2bp/3p2p1/3Ppp2/1PP1P3/1nNNBP2/1Q2B1PP/5RK1 b - -,b3d4
r1bq1rk1/pp3pbp/n2p1np1/2pP4/2P5/2N2N1P/PP2BPP1/R1BQ1RK1 b - -,a6c7
2rrq1k1/3b1pp1/p1pBp2p/1pPn4/P2P4/6P1/1PQ2PBP/R3R1K1 w - -,g2e4
2rr2k1/p1q2pp1/1p2pn1p/4Q3/3P2P1/PB5P/1P3P2/3RR1K1 b - -,f6d5
8/3R1p1p/3P1kp1/1P2p3/3r4/7P/6PK/8 b - -,f6e6
r1q2rk1/ppp2pbp/bn4p1/3P4/3pP3/P1N3P1/1PQ2PBP/R1BR2K1 w - -,c3a2
3r4/7p/p2pk3/1p1Rp1P1/4P2P/P1P1p3/1PK5/8 w - -,c2d3
1k1r4/1p2r2p/1pp2p2/3p3B/PP2bP2/6P1/4P2P/R1R3K1 w - -,a4a5
r1b1r1k1/1p3p1p/2p3p1/p7/2BR4/1P2P3/P4PPP/R5K1 b - -,b7b5
8/4ppk1/p5pp/Nrn1P3/7P/1P3P2/RPnB1PK1/8 b - -,c2d4
8/8/4k3/1ppR3p/2r1PKp1/P3P1P1/8/8 b - -,c4c3
r5nk/2pbq3/1p1p1b2/p2Pp2B/2P1Pp1P/5N2/PP2QB1P/6RK w - -,h5g4
4r1k1/5pp1/6qp/p2R4/4r1P1/1P3Q2/P6P/5RK1 b - -,e4g4
1r4k1/5R2/7p/2r3p1/1n2P3/2B2P2/6PP/R5K1 w - -,f7g7
r1b1qrk1/1ppn2b1/p2p2pp/3Pppn1/1PP1P2B/2N2P2/P2NB1PP/R2Q1RK1 w - f6,g1h1
rb3rk1/1p3p1p/p1p1b2p/P2P4/1P5N/3B4/5PPP/4RRK1 b - -,c6d5
r1bqkbnr/ppp2p1p/2np2p1/8/2PN4/2N5/PP2PPPP/R1BQKB1R w KQkq -,e2e4
5rk1/5bbp/6p1/1qnPp3/1p3PP1/3P3P/1PQBN1B1/5RK1 w - -,f4e5
r1b1qrk1/4p1b1/2pp3p/p4pn1/2PN4/1PNQPp2/PB1R2PP/3R2K1 w - -,d4f3
4R3/P7/8/6K1/8/r3p2P/4k3/8 b - -,a3a7
8/1nnN2kp/3p2p1/p1pP1pPP/2P2P2/1P3B2/3K4/8 b - -,c7a6
r2q1rk1/3bbppp/p1nppn2/8/3NPP2/2NBB3/1PP1Q1PP/R4RK1 b - -,c6d4
r1bqk2r/2pnnpb1/1p1p2p1/p2Pp1Pp/2P1P3/2N1B3/PP1QBP1P/2KR2NR w kq -,f2f4
2rr2k1/1p2qppp/4bn2/pP6/N1pN4/P3PP2/6PP/R1Q2R1K b - -,f6d5
r1b1k2r/ppppq1pp/2n2n2/5p2/2PPp3/2N1P3/PP3PPP/R2QKBNR b KQkq -,e8g8
2r5/p1r3p1/kp2p2p/3pP2P/b1nPpBPN/P1P4R/R1P2P2/4K3 w - -,h4g2
rnbqkb1r/ppp1pp1p/5np1/3p4/3P1B2/3BP2P/PPP2PP1/RN1QK1NR b KQkq -,f8g7
r5k1/pp3rbp/3Q2p1/qB2p1B1/4P1P1/5P2/1PP5/1K1R3R b - -,a5b5
r2qr1k1/pb1nbp1p/1n1p2pB/1ppPp3/4P1P1/2P2N1P/PPBN1P2/R2QR1K1 w - -,d2f1
8/5k2/5p2/p1n2P2/2r3P1/P3R2P/2p1K3/2B5 w - a6,e2f3
8/6p1/1Q5p/2pq1P2/8/8/P3KP1k/8 b - -,d5e5
r1bq1rk1/1pp2pbp/3p1np1/p1nPp3/2P1P3/P1N1B3/1P1NBPPP/R2QK2R b KQ -,a5a4:c8d7
5rk1/p2b1pp1/7p/3p2q1/3Pp3/P1Q1P1P1/5PP1/1N2K2R b K -,f8c8
4k2r/5ppp/3bp3/8/3Q4/4BP2/P1q2PKP/1r1R3R b - -,c2g6
3R2k1/1b3p1p/pn2p3/2b1P1p1/4pPP1/1P6/P1r3BP/5Q1K b - -,g8g7
r2q1rk1/6pp/pp1n1b2/2pPpp2/2P5/3QBP2/PP4PP/3BRR1K w - -,b2b3
2r1rk2/1b4p1/p2p1p2/4q2p/1Pp1P2P/2N1R2Q/P2R1PP1/6K1 b - -,c8d8
r1bq1rk1/1p1n1pbp/p1p1p1p1/2Pp4/3P1P2/2NB1N2/PP3PPP/R2QR1K1 w - -,c3a4
r3r1k1/3q1ppp/2pb4/1p1p2P1/1P1P1P2/4PQ1P/3B4/R4RK1 w - -,f4f5
8/4k1rp/5p2/3Qp3/1p6/3R4/1Pq3PP/5K2 w - -,d5d6
r3r1k1/2pq1ppp/b1pb1n2/p2pp3/P3P3/1P1P2N1/1BPN1PPP/3QRRK1 w - -,d1a1
8/Q4pkp/2p1p1p1/8/2P2q2/7P/6B1/6K1 w - -,g2f1
r2qk2r/pp2b1pp/1np1pn2/3pP3/1P3P2/2N1B3/P1PQB1PP/1R2K2R b Kkq -,f6g8
3r3k/ppq2pr1/3bpn1p/5p1B/3PpP2/2P1N1P1/PP2Q2P/2R2R1K b - -,c7c6
8/8/8/8/1kp5/7R/2p1r3/2K5 b - -,e2g2
3r4/5bkp/2p2pp1/p3p3/4N3/1P2PP2/P1R3PP/6K1 b - -,d8d3
1r1qr1k1/ppp2pp1/3p1n1p/4n2b/3NP3/PP3PP1/2Q1P1BP/2R1BRK1 b - -,c7c6
2r2rk1/p3pp1p/3qn1pb/B1Np1b2/8/1P2PP2/P2QB1PP/2R2R1K w - -,c5b7
3r2k1/1p3pp1/pb5p/5b2/8/3K1N2/PPR3PP/4R3 w - -,d3c3
8/3k4/2N5/4K3/7p/8/8/8 w - -,e5e4
8/8/2Qnk1p1/2p1p3/3B1r2/P6P/2q3P1/5RK1 w - -,d4f2
r3k3/4bppp/r1p1pn2/1p1p3b/4P3/P1NP1PP1/1P1B2BP/3R1RK1 w - -,g3g4
8/p1R1nk1p/5pp1/1P1rp3/8/6P1/4PP1P/4N1K1 w - -,c7a7
2r2rk1/1bq1bp1p/pp1ppnp1/5P2/2PNP3/1PNQ4/P2B2PP/4RRK1 b - -,e6f5
r3r1k1/ppbq1pp1/2p4p/2PPp3/6b1/1P4P1/PB1N2BP/R1Q2RK1 b - -,c6d5
2rb1rk1/p2n3p/n2p1pp1/1p1PpPP1/7P/PPq1B1N1/2P3BK/2RQ1R2 w - -,f1f3
1qr3k1/3b1pbp/4p1p1/3pP3/2r5/P3Q1P1/1P3PBP/1RB1R1K1 w - -,c1d2
r1r2bk1/pb1n1pp1/1qn1p2p/1pppP2P/6N1/3P1NP1/PPP2PB1/R1BQR1K1 w - -,c1f4
4k3/1r2B3/pP1PK1p1/6P1/1P6/8/8/8 w - -,d6d7
rnbqkb1r/pppp2pp/4pn2/5p2/2P5/5NP1/PP1PPPBP/RNBQK2R b KQkq -,c7c6:f8e7:d7d5
rq4k1/p3Qpp1/2p3b1/3p3p/P1r5/1N3R1P/1P3PP1/4R1K1 b - -,a7a5
5rrk/1p1bppb1/7p/p1qPp3/P2N3P/2P2P2/1PB1Q3/2KR2R1 w - -,d4f5
3r1rk1/1bq3bp/pp2p1p1/4p1Qn/2P1P3/1PB2R2/P1BR1NPP/7K w - -,f3f8
r1bqkbnr/pp1ppppp/n1p5/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq -,a6c7
6r1/pp6/3p3p/5k2/1P2np2/2PBbN1P/PK4P1/4R3 w - -,g2g4
8/3k2p1/6p1/4P2p/r1PB4/3K3P/1P4P1/8 w - -,d4c5
rn1qk2r/pb2bppp/1pp1pn2/8/2PPN3/1PB2NP1/P1Q2P1P/R3KB1R b KQkq -,b8d7
5rk1/p4ppp/1p6/5R2/2PBP1r1/P2P4/1P2P3/5K2 b - -,f8d8
r1b2rk1/ppp2pp1/2n2q1p/2b1p3/2P5/2NPPNP1/PP4BP/R2Q1RK1 w - -,d1e2
r2n3k/1b4p1/4pn1p/2pqr1PQ/3pNBP1/8/PP4BP/R3R1K1 w - -,h5g6
7k/r2n1Q1n/pp5B/2b1pp2/P5q1/8/1P4PP/R4R1K w - -,f1f5
3r1b2/1p3p2/p1p3k1/3r1p2/2RP1K1P/P3P1P1/1P3P2/2R5 b - -,g6f6
8/2r5/PR6/3k4/8/3K4/8/8 w - -,b6b7
r1bqkb1r/ppp1nppp/8/3Pp3/2B1p3/2P5/PP3PPP/R1BQK1NR w KQkq -,f2f3
r1bqr1k1/pp1nbp2/2p5/6pQ/3PN3/6PP/PP1B2B1/R4RK1 b - -,d7f8
r2qk2r/ppp1bppp/4pn2/6B1/3P4/3B1b2/PPP1QPPP/2KR3R w kq -,e2f3
8/1kp2pp1/1p6/5P1p/2P2R2/4r3/PP1K3P/8 b - -,e3h3
1r4k1/p2n1ppp/q1pNb3/8/3P1Q2/Pr4P1/2B2P1P/R3R1K1 b - -,b3a3
8/1n4pk/2Q1p2p/1P1qPp2/8/2p2PPK/2r4P/2R5 w - -,c1c2
5bk1/5p2/4p1p1/7p/1pP2P2/nPr3PP/3N4/1K1R2N1 w - -,b1a1
r2q1rk1/pp1nppbp/2p3p1/2Pp4/1Q1Pb3/5NPP/PP2PPB1/R1B2RK1 b - -,b7b6
6r1/1p6/2b1k3/4B3/p2p3P/P7/1P1K4/2R5 b - -,e6e5
8/5p1k/6p1/5p2/2q4p/pP6/P7/1KB5 w - -,b3c4
3R4/8/6pp/2k2p2/7P/2P2PK1/2r5/8 b - -,c2c3
3r2k1/5pp1/4p2p/pq1n4/4R3/2P4P/PPB2PP1/1RB3K1 b - -,d8c8
8/1PR5/r2pk3/4p3/1K3p2/6p1/2P5/8 b - -,a6b6
1r3r1k/p1p3p1/3pq2p/Q5p1/2P5/2P1PPR1/PP6/2K3R1 w - -,f3f4
r1bqrnk1/1p2b1pp/p4p2/2p1p3/2P1P3/1PN1BN2/P4PPP/R2QR1K1 w - -,d1d8
3qkn1r/p1r1bppp/5n2/2p5/2Pp4/B2P2PB/P4P1P/RN1QR1K1 b k -,d8d6
8/2k2ppp/p7/5P2/1P4P1/4K3/2b4r/2R5 b - -,c7b6
3rr1k1/3q1ppp/p7/1n1P4/1p3N2/4P1P1/PP1Q2bP/R3R1K1 w - -,g1g2
