8/p7/1q3k2/5pp1/R7/5BP1/PP3PK1/8 b - -,g5g4
r1q1nrk1/p4p2/1p2p1pp/4B3/1P2b3/2P2P2/P2RQ1PP/3R3K w - -,e2e4
q1r2bk1/1b1r1ppp/4p3/2p3P1/1p2P2P/pPBP4/P4PB1/Q1RR2K1 w - -,c3e5
1q2r1k1/1b3p1p/1p2pnp1/8/1PP1PB2/5n2/P2QB1Pb/2RR1K2 w - -,g2f3
rn3rk1/pb2bp1p/1p2pnp1/4N1B1/q7/3B3Q/PP2NPPP/2R2RK1 b - -,a4a5
6k1/p4pb1/6p1/2rBp1Pp/8/1P3P2/P1P3P1/2K4R w - -,c2c4
8/8/2q5/5pk1/5Rp1/1B4P1/P4P2/6K1 w - -,b3c4
1rq2rk1/4p1b1/p1ppb1pp/4Pp1n/1P1P1P1N/2N4P/2P2RPK/R1B1Q3 b - -,g8h7
r3k2r/pp2q1pp/2nb1p2/4p3/2b5/1QP1BN2/PP3PPP/R3K2R w KQkq -,b3c4
1q1r2k1/r4p2/p2b2p1/1p1p3p/3Q3P/5BP1/PP3PK1/2R1R3 w - -,f3d5
1r1rb3/1p2q1kp/p1n1p1p1/2p2p2/2P5/1PN1P1P1/P3QPBP/2RR2K1 b - -,d8d1
1r4k1/8/1NR3pp/p2Pp2q/1p2PrbP/6Q1/PP4P1/1K5R b - -,f4e4
2k2r2/pb6/1P6/2p2p2/4pB2/2P2P1r/2P2P1P/R4R1K b - -,a7b6
r2qk2r/ppp3bp/2npbnp1/4pp2/2P5/P1NPP1P1/1P2NPBP/R1BQK2R w KQkq -,e1g1
3b2k1/1p3pp1/2q1p2p/1n1pP3/pB1P3P/P3QNP1/1Pr2PK1/3R4 w - -,b2b3
r3qrk1/pp4bp/n1p3p1/4P2n/2P1P1b1/P1N2N2/1PQ2PBP/R1B1R1K1 w - -,c2e2
r3rbk1/1bqn1p2/p2p1np1/1p1Pp2p/P1p1P2P/2P2NN1/1PBB1PP1/R2QR1K1 w - -,f3h2
r3k1r1/pp3p1p/3p2N1/3P1q2/1PP5/2QP4/5PPP/n3R1K1 b q -,e8d7
r2q1r1k/6pp/2pN4/1bP1Q3/p4p2/P7/3K1PPP/R7 w - -,a1e1
8/4k1p1/2b1p1Bp/2P1p2P/2P5/3K2P1/8/8 w - -,g6e4
8/pb5p/5kp1/2rn4/8/1P3P2/P2R1KPP/3R4 w - -,d2d4
3r2k1/2r3p1/5p2/1Bn1p2p/2P1P2P/R3BP2/6PK/8 b - -,g8h7
r2qk2r/pb1nbppp/1p1ppn2/2p5/4P3/2PP1N2/PP1N1PPP/R1BQRBK1 b kq -,e8g8
4r1k1/8/2p5/2PpB1p1/1P1P2P1/5n2/1R2r2P/5RK1 w - -,f1f3
rnb1k1nr/pp2ppbp/1q1p2p1/8/3N4/4B1P1/PPP1PPBP/RN1Q1RK1 b kq -,b6a5
rn1q1rk1/pbp2ppp/1p1b1n2/3p4/3P4/P1NBPN2/1PQ2PPP/R1B2RK1 b - -,a7a6
3r2k1/3Q1p2/6p1/p6p/4q2P/1P4P1/P4P1K/8 w - -,d7d8
3q1n2/1p1r1bk1/p1p1npp1/P3p2p/1PB1P2P/1NP1N1P1/4QP2/R5K1 w - -,a1f1
6R1/8/5N2/3Kp3/3bP2k/8/r7/8 b - -,a2a6
8/n4k1p/6p1/np1K2B1/4N1P1/P6P/8/8 b - -,h7h5
r1b2rk1/1p2q1pp/p1n1pp2/2npP3/5P2/3B1N2/PPP1N1PP/R2Q1RK1 w - -,c2c3
2k1r3/1pb2p2/1np3pp/4P3/5P2/2P1NQ1P/qP4N1/2KR4 w - -,f3e4
r1bq1rk1/ppp2ppp/2np1n2/2b1p3/2P5/P1NPP1P1/1P3PBP/R1BQK1NR b KQ -,a7a6
8/8/3r2k1/p2P2P1/PnB2p2/8/1P3K2/3R4 b - -,g6g5
r3r1k1/3nqpb1/6p1/p1n1p2p/1p1pP2P/1P1P2PB/P2BRPN1/1QR3K1 w - -,f2f4
1R6/1p3r2/p2p3k/3N1p2/P3p3/4K3/8/8 w - -,e3f4
r4rk1/p2pqpbp/bp4p1/8/3NP3/1P1nB1P1/P2Q1PBP/R2R2K1 b - -,f8e8
3b4/3P4/1p6/p2bN3/P2pk3/1P4B1/8/4K3 w - -,e1d2
rr4k1/2nbqpnp/3p2p1/2pPp3/p1P1P3/P1QBNNP1/5P1P/1R2R1K1 w - -,b1b8
6k1/5b1p/4r1p1/4q3/R7/2Q3PP/5PBK/8 w - -,c3d2
r3r1k1/5pb1/2p1p1p1/2B4p/1R2Q1b1/5N2/q3BKPP/7R b - -,a2d5
4rnk1/1rq5/p2b1np1/P1pPp2p/2P1P2P/3N2PB/1Q1BK3/1R6 w - -,b2b7
r1r3k1/3nbppp/1q2p3/pb1p4/3P1B2/2P4P/RPBN1PP1/3QR1K1 w - -,e1e3
8/8/4k3/1p1b4/1P3K2/3N1p2/8/8 w - -,d3f2
2r2rk1/pp3pp1/4b2p/3pN3/3n1B2/1P6/P1P2PPP/2R1R1K1 w - -,c2c3
2k5/5R2/pK1P2p1/P2p4/2rP1p2/8/6n1/8 b - -,g2e3
r1bq1rk1/pp3ppp/4pn2/2b3B1/1n6/1QN2N2/PP2PPPP/2R1KB1R b K -,e6e5
8/pk2ppbp/1p4p1/8/3P4/PP2B2P/5PP1/6K1 w - -,g1f1
4r2k/1b3Q2/p2p1R1p/1npPq1p1/1p4P1/1P5P/P5B1/2B3K1 b - -,e5d4
8/2p2p2/4k2p/p5p1/P3n3/2P3PP/4KP2/3N4 b - -,e6d5
rn1qkb1r/pp3ppp/2p1pn2/8/4N3/2PB1Q1P/PP3PP1/R1B2RK1 b kq -,b8d7
6k1/p3pn1p/5bp1/1r3p2/3P3P/1P3BR1/P1N2P2/4K3 w - -,h4h5
r1bq1rk1/ppp2ppp/3p1n2/b7/1PP1P3/P1pP2P1/5PBP/R1BQK2R w KQ -,b4a5
8/2k5/2n1PK2/8/8/5N2/8/8 b - -,c7d8
8/2r1b3/3pk3/1R2p2p/1P2Pp2/3K1P2/3B3P/8 b - -,c7a7
2kr2r1/1pqb1p2/p3p3/n2pPn2/5P2/P2Q3P/2PBN1P1/R3KB1R w KQ -,g2g4
2n2r2/5p1p/6p1/2bRk3/8/1B3PP1/5PKP/8 b - -,e5f6
rn1q1rk1/p3ppbp/1p4p1/8/3PP3/5N1P/P3QPP1/R1B2RK1 b - -,b8c6
1rr3k1/p4ppp/2p1b3/2Rp4/8/2Q3P1/PP2qPBP/2R3K1 w - -,c5c6
5rk1/pp2p1N1/1np4p/4q3/8/8/PP3QP1/R1B2K1R w - -,f2f8
4rr2/1B4bk/p3Qp1p/1pq2Pp1/6N1/8/PP4PP/3R1R1K b - -,e8e6
r4knr/1p3pp1/p2p1n2/2pPp3/P3P1Pp/2N4P/1PP1B1P1/2R2RK1 b - -,g8e7
3k2r1/1bq1p3/p3P1nQ/1p4B1/2pb4/2N5/PPP3PP/5RK1 w - -,g5e3
rnbqk2r/ppppppbp/5np1/8/2P1P3/2N2N2/PP1P1PPP/R1BQKB1R b KQkq e3,c7c5:e8g8:d7d6
rn1qk2r/ppp1bppp/3p1n2/4p3/2PP4/2N1BP2/PP3PPP/R2QKB1R w KQkq -,f1e2
5r1k/2pqr1pp/1pR5/p2Pp3/2Q5/6P1/PP3P1P/4R1K1 w - -,e1c1
rn2k2r/1b1p3p/p4p2/1Ppn2p1/2B5/2N2P2/PP4PP/R3K2R w KQkq -,c3d5
8/1p6/p5k1/2p2p1p/2p3nP/P2P4/1P2K1P1/2B5 w - -,d3c4
rnb2rk1/p1p1qppp/1p2p3/3n4/3P4/2N1PN2/PP3PPP/R2QKB1R w KQ -,c3d5
1r2r1k1/1b1qbppp/p2p1n2/N3p3/1P4P1/3B1N1P/3Q1P1B/R1R3K1 w - -,a5b7
r2r2k1/pp3p1p/4b1p1/3NP3/3BP3/1P1P4/6PP/4R2K w - -,d4b2
r2q1rk1/3np1np/3p1Pp1/p1pP3b/2P1P3/RPQ2N1B/3N1P1P/4K1R1 b - -,e7f6
8/pkp1Qn2/1p6/3q4/4p3/1P2P2P/PB1P2P1/6K1 w - -,b2c3
5rk1/5ppp/p2rq3/4p3/PP6/8/4Q1PP/R4R1K b - b3,f8b8
r1q3k1/ppb1Rbpp/2p2p2/6r1/1N1P4/P5P1/1PQB1P1P/4R1K1 b - -,g5h5
6k1/4bpp1/6r1/P1p2b2/2q1pP1p/2B1P2P/3RN1PK/Q7 b - -,f5c8
r4rk1/p5pp/1pn1qn2/1R2p1B1/3pP3/6P1/PP3PBP/3Q1RK1 w - -,d1b3
3r2k1/1bq2pp1/p3p2p/1p1nN3/3Q4/4PB1P/PP3PP1/3R2K1 b - -,d8c8
r3k2r/1pp1qpb1/p2p2np/1b1Pp1pn/4P3/4BPP1/PPPQNNBP/1KR4R b kq -,b5d7
7k/1b2p2p/4p1pb/pp2P3/4qP2/P6P/1PR2QPB/3r1NK1 w - -,c2d2
r4rk1/pb1qppbp/1pN2np1/3P4/2QP4/2N5/PP3PPP/R1B2RK1 b - d3,f8c8
2r1k1nr/1p2qp2/p1n1b1p1/3pPp2/P6p/1P1B1N1P/2P1N1P1/1KQRR3 w - -,e2f4
r2q1rk1/1p2ppbp/6p1/3p1b2/p2Pn3/1P2PNP1/P3QPBP/R1R1B1K1 w - -,b3a4
r5k1/1p3pp1/3p3p/1P1Pp3/8/1q3P2/n2QB1PP/R5K1 b - -,a8a3
4n3/1p1qbp1k/p2p2pp/1b1Pp3/1PN1P1P1/P2BB2P/2Q2P1K/8 w - -,c4b6
8/pprb2k1/7p/6p1/8/1BbN3P/P4PP1/3R2K1 w - -,d3c5
rnbqk2r/2pp1ppp/1p2pn2/p7/2PP4/P4N2/1P1QPPPP/RN2KB1R w KQkq -,b1c3
8/pp4p1/2p2k1p/4p2P/2B1P1P1/2P2P2/PPK3n1/6b1 b - -,g2e1
r1b1k1r1/p1q2p1p/1pn1pB2/3pP2Q/N7/8/PP3PPP/R4RK1 w q -,h5h7
r4r2/1pq2pkp/2p1Bnp1/p3p3/P3P3/2N1Qb2/1PP2PPP/R3R1K1 b - -,f7e6
6k1/5p2/5qp1/8/3R4/1p2n3/1Q5K/8 w - -,d4d2
rq3rk1/p2n1ppp/1p6/2p1n3/4N3/4PP2/PPBRQP1P/R5K1 b - -,c5c4
8/6kp/6p1/4N1n1/p4rP1/3R1P1P/8/6K1 b - -,g7f6
1r5r/2Rb4/3qp1k1/1p1p1pb1/1P1P2p1/1Q2P1P1/2RB3P/5BK1 b - -,b8a8
r4rk1/pbq1bppp/1p2nn2/2ppN3/3P4/3BB2P/PPP1NPP1/R2QR1K1 w - -,f2f4
8/3b2k1/p2N2p1/3K3p/2P4P/7r/P5R1/8 b - -,h3h4
5k2/p4p1p/4p2P/p3P1P1/6K1/P1R3P1/4r3/8 w - -,c3c8
5r2/p1pk4/1p1p3p/1P2r3/P3Rp2/2P2P2/6PP/4R1K1 b - -,d7e6
r1bqr1k1/3nppbp/p1p3p1/3p4/N2P1B2/8/PPPQBPPP/R4RK1 w - -,d2b4
1rr3k1/ppq1bppp/2bppn2/6B1/3NPP1P/2NQ4/PPP3P1/1K1R3R w - -,g5f6
4r1k1/3n1pp1/pp1Bq2p/1b2p3/4P1P1/4QB2/5P1P/3R2K1 w - -,d6a3
r1b2rk1/2qn1pbp/ppnpp1p1/8/2P1P3/2NBBN1P/PP2QPP1/R2R2K1 w - -,a1c1
2r3k1/6p1/r3pb2/p1pq1p2/PnN5/R2P1PP1/4PBQP/1R4K1 w - -,g2f1
8/3rbR2/P3k1B1/1p1p4/2p5/3n2P1/P4P1P/3R2K1 w - -,f7e7
8/B5pp/2k2p2/p4n2/P1P1K3/5P2/5P1P/8 b - -,f5e7
r4rk1/bq1n2pp/p2Bpn2/1p6/1P2P3/6P1/3Q1PBP/RN3RK1 b - -,f6g4
5k2/2R5/5B2/8/1pp5/3n1bP1/1P5P/2r2NK1 w - -,f6g5
b2r2k1/p4pb1/1p1Bp2p/4P1p1/q2PB1Q1/6P1/P4P1P/1R4K1 w - -,e4a8
3R1B2/p4k1p/4b1r1/4P3/1P2p3/5r2/P6K/5R2 b - -,f3f1
8/1ppk1pb1/1rn1p1pp/r7/p2P1BPP/P3P3/1PRN1PK1/2R5 b - -,a5b5
r1q2r2/np5k/p2p3p/4p3/PPN1Ppnb/1BP5/1B2QPP1/2RR2K1 w - -,c4d6
1rb2rk1/pp1nqppp/2p5/4p3/2PpBP1P/3P2PN/PP1QP3/2KR3R b - -,f7f5
8/p4p1k/1p5p/1N2p3/P3Pn2/5pq1/1Q1R2P1/5KB1 w - -,d2f2
r2qr1k1/pp4bp/2pp2p1/4pP1n/1PPn4/2NPB1PP/P4PB1/1R1Q1RK1 b - -,d4f5
r1b1r1k1/pp1nppbp/2pq2p1/4N3/3P4/2PB3P/PP2QPP1/R1B2RK1 w - -,f2f4
8/3k1pp1/6p1/p2Pp3/PpP1P1P1/7P/4KP2/8 b - -,d7d6
2Rr2k1/1Q3ppp/4p3/4P3/8/5N1q/1PP2P2/5K2 w - -,f1e2
Q7/1rk2ppr/1p2p1n1/p2pP3/P7/6P1/1P1B1P1P/6K1 w - -,a8g8
8/7r/8/1k6/5p2/8/3p4/3K4 w - -,d1d2
5rk1/pp3p2/2p1n1pp/P3q3/1P2R3/6P1/4PPKP/3R4 w - -,e4e5
7k/p1rB2r1/1p1n1q1p/1P1P4/2p1pP2/4P2Q/P7/2R3RK w - -,g1g7
2bq1rk1/1ppn2bp/3p2p1/3Ppp2/1PPnP3/2NNBP2/1Q2B1PP/5RK1 w - -,e2d1
r1b2rk1/1p4b1/3pp2p/5Bp1/p1Pq4/6P1/PP2QPP1/1NKR3R b - -,d4e5
3r1rk1/2p3pp/p2B4/Pp1p3b/8/1NP5/1P3PPP/2R1R1K1 b - -,d8d6
6k1/p3pp1p/4n2b/4PQ2/3q4/4N2P/1rp3P1/2R1R1K1 w - -,f5f2
r1r3k1/pp4pp/1n1qp1b1/2R2p2/3Pp3/1P2N1P1/5PBP/1QR3K1 b - -,d6d4
r2br1k1/ppp1qpp1/3p1n1p/8/2PQPN2/1P3PP1/PB1R2KP/5R2 w - -,f1d1
r4rk1/1b1nqppp/p3p3/P1pp4/3Pn3/1NP2NP1/4PPBP/2RQR1K1 b - -,a8c8
rnbq1rk1/1pp1ppbp/p2p1np1/8/3PPP2/2N1B3/PPP1B1PP/R2QK1NR w KQ -,e2f3
3r4/3rbpk1/1p2q1pp/2pn4/p2p3P/P2P1BP1/1PRBPPQK/4R3 b - -,d8c8
4k3/8/4PP2/2p3N1/2n2K1P/8/6P1/8 w - -,f6f7
rRr5/2P5/p2B2p1/P3p1b1/1PR3Pk/5P2/6K1/8 b - -,g5d8
1r1q1r1k/1p2p1bp/3p2p1/nP3b2/PQ3N2/4B1PP/5PB1/1R3RK1 w - -,g2e4
r1bq1rk1/pp1nb1pp/2ppp3/5p2/2PPP3/2P2NP1/P1Q2PBP/R1B2RK1 w - -,f1e1
8/1R6/1p3pk1/4p1p1/P5P1/1r2BK2/3bPP2/8 b - -,d2e3
8/3R2p1/pr3pk1/1p5p/1P2P2P/P4KP1/8/8 b - h3,b6c6
2R5/8/8/5Kp1/8/8/1pkb4/8 b - -,c2b1:c2b3
r1bq1rk1/p2nbp1p/2n1pp1B/1p1pP3/2pP4/2N2N2/PPPQ2PP/2KR1B1R b - -,f6e5
8/4R2p/6pk/1r6/1p2P2P/1P3PK1/P7/8 w - -,g3g4
rnbqkbnr/ppppp2p/6p1/5pB1/2PP4/8/PP2PPPP/RN1QKBNR b KQkq c3,f8g7
2q3k1/1ppb1pbp/3p2p1/8/1PP1r3/r3PNPP/3Q1PBK/2R2R2 b - -,h7h6
3r3r/p4k2/1pqpp1np/5p1Q/P1PR2P1/1P2N3/4PP2/3R2K1 b - -,f7f6
1r1q1rk1/p1p3bp/2p1ppp1/4P3/3PN3/1P2P2P/P5P1/R2Q1RK1 w - -,e5f6
1q4k1/7n/p2P3p/2p3p1/2B1r2n/2Q1N2b/6P1/4RNK1 b - -,h3e6
rnbqkb1r/ppp2ppp/4pn2/3p2B1/3P4/5N2/PPPNPPPP/R2QKB1R b KQkq -,f8e7:h7h6
r2q2k1/1pp2p2/3p2p1/PB1P3p/3Pb2P/2Q2P2/6P1/4K2R b - -,e4d5
8/p7/P7/3Bn3/2p5/2k5/8/2K5 w - -,d5e6
r1bqk1nr/ppp1n1bp/3p4/3Ppp1Q/2P1P3/2N1B3/PP3P1P/R3KBNR b KQkq -,e8f8
3b2k1/6np/r7/1b1P4/1BN3p1/P5P1/2B2P2/4R1K1 w - -,c4e5
5rk1/p2b3p/1p4p1/2p2p2/2Pp4/1Q1PnPq1/PP2P2R/R6K w - -,a1g1
3r2k1/p1p2ppp/1pp5/3rP3/1P1P4/1P6/3R1PPP/3R1K2 b - -,g8f8
r4rk1/3nq1bp/p1p1b1p1/1p1p1p2/PP1P4/1Q1BPN2/4NPPP/1R3RK1 w - -,a4a5
2b1nrk1/4qpbp/p2p2p1/2pPn3/1r6/2N1P1BP/RP1NBPP1/3QR1K1 b - -,f7f5
6kr/8/p2n1Pp1/1p1P4/2p1pP1Q/2P5/PP6/3R3K w - -,h4h8
R7/8/8/2kPK3/4P2P/8/p5r1/8 b - -,g2h2
8/8/8/p5N1/P7/4K1k1/7p/8 w - -,g5e4
2rq1rk1/4bp1p/p1n1P1p1/1p6/3p1Bb1/P4N2/BP2QPPP/R2R2K1 b - -,f7f6
1r4r1/p2b1p1p/3kp2b/2p2p1N/5P1P/4P2B/P4K1P/1R1R4 b - -,d6e7
r4r2/pp5k/5p2/5R2/2Pp4/7P/PP4P1/3R3K b - -,a8e8
r2q1rk1/1b1nppbp/p1np2p1/3N2B1/Pp2P3/1N6/1PP2PPP/R1Q1RBK1 b - -,f8e8
4rbk1/5ppp/p2Nn3/1pn1p1P1/6q1/2P1B1P1/1PQ2P2/2RR2K1 b - -,f8d6
rn1qkb1r/pb3ppp/1p2pn2/2pp4/2PP4/1P2PN2/P3BPPP/RNBQ1RK1 b kq -,b8d7
r1b1k2r/ppn1q1pp/2pp1n2/5p2/2PPpN1P/2N1P3/PP2BPP1/R2QK2R w KQkq -,d4d5
rnbqk2r/pppp1p2/4p2p/6p1/1bPPn3/2N3B1/PP2PPPP/R2QKBNR w KQkq -,d1c2
8/6p1/4k3/P2p2K1/5PN1/8/8/6r1 b - f3,g1a1
R5k1/3q1p1p/1pn3p1/1N1ppb2/1b1P4/4P2P/3NBPP1/2R3K1 b - -,g8g7
2r3k1/5ppp/p3p3/1pBnN3/1P6/P1n3P1/4P1KP/R7 w - -,g2f3
r5k1/p1p1rpp1/2pb1q1p/8/Q3N3/7P/PP3PP1/R3R1K1 b - -,f6g6
r1b3k1/ppq1p1bp/2n2rp1/3p4/3Pn3/4BNPP/PP3PB1/RN1QR1K1 w - -,b1c3
r2qk2r/1p1nbpp1/2p1pn1p/p6b/P1QP4/2N2NP1/1P2PPBP/R1B2RK1 w kq a6,e2e4
r2q1rk1/2p2pp1/p2p3p/1p2pP2/5P2/1PNP2P1/1PP2b1P/R1BQ3K b - -,d8d7
1k1rr3/p6q/1p1b1pRp/Q2p3P/4nP2/1P2B2B/PK3P2/7R w - -,a5a4
1r1q2k1/1b1n1pb1/p2n2p1/4p3/1PBpP3/6N1/3B1QPP/2RR2K1 b - -,d8h4
rn2k1nr/pp3ppp/2pbp3/7N/3P4/2P5/PP3PPP/R1B1KB1R b KQkq -,g7g6
rn1q1rk1/pbpp1ppp/1p2p3/8/2PPn3/2N2NP1/PP1QPPBP/R3K2R w KQ -,d2d3
6k1/p4p2/7p/6p1/bp2B3/5P2/1B1r2PP/5K2 w - -,b2e5
r2rb2k/p2n3p/1p1b1pp1/1BpPp3/P3P3/1PR1BN2/3R1PPP/6K1 b - -,d7b8
r1bq1r1k/pp1p1pbp/6p1/5n2/2Bp4/3P4/PPP1N1PP/R1BQ1RK1 w - -,g2g4
8/8/2kN2p1/7p/5K1P/6P1/8/1b6 w - -,d6f7
6rk/7p/3N1pn1/p1Rb4/5P2/P5P1/2P4P/KR6 b - -,g6e7
r3k3/pp3pp1/2b1p3/2p1P2r/3pN1np/3P1N1P/PPP2PP1/R3R1K1 b q -,g4h6
r3nrk1/p2pq1pp/bp6/2pPPp2/5P2/P1PB3N/4Q1PP/2R2RK1 b - -,c5c4
r2qkb1r/pp1npppp/5n2/1B1p4/3P2b1/2N2N2/PPP2PPP/R1BQ1RK1 b kq -,a7a6
3r1rk1/1p2p1b1/p1n3pp/4Pp2/2RP3P/4BNP1/P3KP2/7R b - -,d8d7
2r4k/1pr2ppp/p2p1q2/P1nPp1b1/4P3/3BN3/1P1Q1PPP/R4RK1 w - -,a1c1
3R1bk1/8/5r1p/6p1/3R2P1/3N2KP/3r1P2/8 w - -,h3h4
3q1rk1/2nbppBp/p2n2p1/2pP4/PrB5/1PN2N1P/4QPP1/R4RK1 b - -,g8g7
8/1r3p2/Bp2nn1k/p2pN1pP/P2P4/4P3/5P2/1R5K b - -,b7b8
6k1/3R3p/4p3/PP2Pp2/8/8/3p1PPK/1r6 w - -,b5b6
r2q1rk1/pb2bpp1/1p2p2p/2p5/3PnB2/2PBPN2/P3QPPP/2R2RK1 w - -,f3e5
4rrk1/1p2qnbp/p2p2p1/2p1nb2/5N2/1BP1B2P/PP1N1PP1/R2Q1RK1 w - -,f1e1
rn2k2r/pp3p1p/2pb1pp1/8/3P4/5P2/PPP1BP1P/R1B1K1R1 w Qkq -,h2h4
2r2rk1/pp2ppbp/2n2np1/3p1b2/1q1P1B2/1PN1PN1P/P2QBPP1/2R2RK1 w - -,f1d1
2rqr1k1/p2n1ppp/bpp2n2/3p4/1bPP4/1PN1PQP1/PB1N2BP/2RR2K1 w - -,e3e4
2N5/R5pp/3k4/3pp3/8/3B3r/3K4/8 b - -,d6c5
2r1r1k1/3q2bp/1p3pp1/p2pP3/3PQP2/P6P/1P1B2P1/2RR3K w - -,e4d3
8/2k4p/1p2p1p1/1PpbPpPP/2P1pP2/p1R1P3/4BK2/r7 w - -,h5h6
8/pp1R4/2p3r1/3pk3/4b3/4N3/PP3KPP/8 b - -,b7b5
3q2k1/1B4pp/Q4p2/p1rbp3/1p6/2n1P1PP/7K/R3B3 b - -,d5b7
rnbq1rk1/pppnB1pp/4p3/3pNp2/3P1P2/4P3/PPPN2PP/R2QKB1R b KQ -,d8e7
8/8/k6p/3KB1p1/8/6PP/1P6/2r5 b - -,c1h1
4Q3/5p1p/6pk/5q2/4p2b/1KP1N3/P4P2/8 b - -,f5e6
rn2r1k1/pp2ppbp/2p1qnp1/3p1b2/2PP4/BPN2NP1/P3PPBP/2RQ1RK1 w - -,c3a4
1r4k1/2R5/4p1pp/p3P1p1/6P1/4BP2/8/6K1 b - -,b8b5
4R3/r5kp/8/8/1p2pP2/1Bb5/P3K1PP/8 w - -,e8e4
7k/Qp1qr1p1/2p4p/8/2P2P2/1P2pnP1/P4P1P/5B1K w - -,a7c5
3r1rk1/pp1q2bp/3p1n2/2p3p1/2P1P1b1/1PNnB1P1/P2Q2BP/2R2RK1 w - -,d2d3
2r3k1/p2r1pp1/1pp1b1n1/6p1/1NP1P3/1P3P1P/PNR3P1/5BK1 b - -,f7f6
1nbr2k1/r4ppp/p2b1n2/1p4q1/3NP3/1P3B1P/PB2N1P1/R1Q2RK1 b - -,g5e5
1r1br1k1/1B3ppp/3p4/4p1P1/R1n1P3/5P2/PPP4P/1KB4R b - -,c4b2
r5k1/2p3bp/pp1r1pp1/3n4/3N4/1PP5/1P1N1PPP/R3R1K1 b - -,c7c5
6k1/3n1p2/6p1/pbpP4/5P1B/5B2/5KPP/8 w - -,f2e3
2r3r1/1p1nkppp/4p1b1/p7/P2RP3/2N2P2/BP2K1PP/R7 w - -,a1d1
r3r3/1p3pkp/p1pn4/3p1PB1/4p1P1/1PPP4/2P4P/R3R1K1 w - -,g5f4
8/p4pk1/1N2r1pp/8/5Q2/3q2PK/5P1P/5R2 w - -,f4c4
8/2p5/pk1p4/1p1nb3/2P4R/PP1K4/8/8 b - -,d5f4
