8/8/p3k3/Pb2Bp2/1P1K2p1/4P1P1/8/8 w - -,e3e4
2r3k1/1pB3pp/5p2/pPn1pN2/4BnP1/2P4P/PK3b2/3R3R b - -,c8c7
1n2nbk1/1r3rpp/pp2qp2/2pNpN2/Q1P1P3/P3B1P1/1P3P1P/3RR1K1 b - -,h7h5
2r2rk1/pp1qb1pp/2b1pp2/2p2n2/4N1Q1/1PPP2P1/PB3PBP/R3R1K1 b - -,f8e8
8/6kp/8/1R6/p4K1P/1Br2P2/8/8 w - -,b3a2
2Q3k1/1p2qpp1/p4n1p/P7/2N1p3/1Pr4P/5PP1/3R2K1 b - -,g8h7
2k3r1/pp6/2p1b3/7p/3q4/4N1PP/PPQ5/1K5R w - -,e3f5
2rb1rk1/pp3ppp/4qn2/3Np3/bPN1P3/P5P1/1Q1R1PBP/2R3K1 w - -,h2h4
rnbqk2r/ppp1ppbp/3p1np1/8/3PPP2/3B4/PPP3PP/RNBQK1NR w KQkq -,g1f3
k2rr3/ppq2pp1/4pn1p/4b2P/2P2P2/2BR2P1/PP2Q3/1K5R w - -,c3e5
4r1k1/2qn1pp1/br1pp2p/p1p5/2P1B2B/PP2PP2/3Q2PP/1R3RK1 w - -,d2a5
8/4P3/3k4/4R3/3P3p/7r/2K3p1/8 b - -,g2g1q
r5k1/p1pn1ppp/2p5/3pr3/5R2/1PN1P3/P1PP2PP/R5K1 w - -,a1f1
2rqr1k1/3bppbP/3p1n2/4n3/1p1NP1P1/1p2BP2/PPPQN3/1K1R3R b - -,g8h8
2r2r1k/1p2p3/p1p1Pnqp/4Q1p1/1P1RB3/P4PP1/6KP/3R4 w - -,d1d2
rn1qk2r/pp2bppb/2pnp2p/8/3P1BPP/2N1QN2/PPP5/2KR1B1R w kq -,f1d3
r5k1/ppq2rpp/2p5/5p2/P2P4/4PP2/1P1Q2PP/R3R1K1 b - -,a8d8
4r1k1/3nrp2/pq1p2pb/1ppP3p/2PpPP1P/3Q1BP1/PP1NR2K/4R3 w - -,a2a3
4r3/p4pp1/1bk5/5r2/PR1p4/3Rp1B1/1P2K3/8 b - a3,e8h8
2b1r1k1/3n1n1p/pr1p1qpb/2pP1p2/8/R1N1P2P/1PQNBPPB/R6K b - -,d7b8
r2r4/1pnnpkb1/2p1p1pp/1p2P3/3PNP2/1P2B1PB/7P/R4RK1 w - -,g1f2
1n3k2/p3bpp1/1p6/1Pp4P/P1BrPP2/5K2/8/2R1B3 b - -,b8d7
6k1/1B1b2pp/3rpb2/8/p2p1P2/6P1/P3P2P/1R2R1K1 w - -,b7e4
2r5/8/2P1k1p1/PPK5/4np2/8/8/3R4 w - -,c5b4
5rk1/5pp1/p4qn1/3R3p/1P6/P1r1Q1PP/B3R2K/8 w - -,d5d3
8/pp6/5r2/5P2/2kp4/P7/1P3R2/4K3 w - -,e1d2
2r3k1/1q3p1p/pp1b2p1/3p4/3Nn3/4PN2/PP2QPPP/5RK1 w - -,f1d1
8/8/8/5n2/4rk1p/8/1R5K/8 b - -,f4f3
r1b3k1/pp1p1p1p/2n1p1p1/2qnP3/1b6/2N3Q1/PPP1NPPP/R3KB1R w KQ -,e1c1
r4rk1/1R3ppp/5n2/3p1q2/4p3/1R5P/6P1/1Q3B1K w - -,f1e2
r2qk2r/pp1b1pbp/3ppn2/2p2p2/2BnPB2/2NP1N2/PPP3PP/R2Q1RK1 w kq -,f3d4
r3k1nr/pp1q1pb1/2npb1pp/2p1p3/4PP2/2NPB1PN/PPPQ2BP/R3K2R w KQkq -,h3f2
1b1r2k1/1b3ppp/8/8/1P2PP2/r2B1RNP/6P1/2R4K w - -,d3c4
8/5kpp/p2bp3/1p3p2/8/1P4P1/P3PPKP/5N2 w - -,g2f3
8/pr5p/2pk1np1/3p1p2/1P1P4/R1K2P2/P3B1PP/8 b - -,f6e8
6k1/6p1/3bpn1p/B4p2/2RP4/4PN2/Pq3PPP/6K1 w - -,a2a4
2r3k1/4bppp/p1n1p3/1p2P3/1P1r2Q1/P5P1/2q2PNP/2RR2K1 w - -,c1c2
r3k2r/ppq2pp1/2p1n1b1/3pnP1p/1P5P/P1N1P1N1/3QBKP1/3R3R w kq -,f5g6
6k1/3bppb1/p2p2p1/2r3Pn/4P3/1P2KP2/2PRN3/7R w - -,h1b1
6k1/pb2r2p/1p4p1/2p2pP1/2Pq1B2/P2P3P/4RK2/3QN3 w - -,f2g3
r7/4kp1p/6bN/3P2P1/P3p3/2P3Q1/4q2P/1R4K1 b - -,a8a7
1n2r1k1/1P3ppp/p1Rq4/3p4/8/5PPB/PQ5P/3R2K1 b - -,d6c6
6k1/2R3pp/1p2R1b1/8/3K4/1r6/6PP/8 b - -,g8f8
r1bq1rk1/1pp2pbp/3p1np1/p1nPp1B1/2P1P3/2N4P/PP1NBPP1/R2QK2R b KQ -,c7c6:c8d7
5r2/pp5k/2n1prp1/2Ppbnqp/8/2PQ3P/PPB1NBP1/4RRK1 b - -,e5c7
8/8/1R6/1p6/1P2k3/r7/3K4/8 w - -,d2c2
r2q1rk1/pp1bbppp/2p1pn2/4N3/PnBPP3/2N3P1/1P3P1P/R1BQ1RK1 b - -,d7e8
2rqr1k1/1p1b1pbp/2Pp1np1/8/p2NPP2/6PP/PP4B1/2RQR1BK b - -,b7c6
rq4k1/pp1n1rpp/3bp3/1P1p4/3P4/3B2N1/P4PPP/2RQ1RK1 w - -,f1e1
rnb1r1k1/pppq1pbp/3p2p1/6B1/3P3P/2P1N3/P1P2PP1/R2QKB1R w KQ -,f1d3
4r1k1/p3qp1p/1p1r2p1/2p1b1P1/2P1pNQP/3nP1B1/PP3P2/1R1R2K1 b - -,e5f4
3r1kr1/1p1bnpp1/p1q4p/2bp1P1B/7B/P1NQ4/1PP3PP/4RR1K w - -,f5f6
r1b2rk1/pp2ppbp/6p1/6q1/Q7/2N1PB2/PP3PP1/2R2RK1 w - -,f1d1
1rb2rk1/2qnppb1/p2p1n1p/1ppP2p1/P1N1PP2/2N5/1PP1B1PP/R1BQ1RK1 w - b6,a4b5
r3k2r/pp2qp1p/1np3p1/3p3n/3P4/2NBPP2/PPQ2P1P/1KR4R b kq -,e8g8
6R1/8/1p2r1p1/3k1p1p/5P1P/1P1K2P1/8/8 w - -,g8c8
2kr2r1/qpb2pp1/p1p1pn1p/7P/2PP4/QNB3P1/PP2RP2/1K2R3 w - -,e1c1
8/R3bk2/6p1/4K2n/8/p7/P7/8 w - -,a7b7
1r1qr1k1/2pb1ppn/p1pp1b1p/2P5/B3P3/BPN2Q1P/P4PP1/3R1RK1 b - -,h7g5
8/5kp1/8/3P4/p7/3KP1PR/r4P1P/8 b - -,a2f2
r1bqkb1r/p3n1pp/2p2p2/2p1p3/2N5/1P6/PBPP1PPP/RN1Q1RK1 b kq -,e7g6
r1q2rk1/pp1bppbp/2np1np1/2p5/4PP2/2NPBNPP/PPP3B1/R2QK2R w KQ -,g3g4
1rbq1rk1/1pNn1ppp/p4n2/3p4/3Pp3/1P2P3/P1QNBPPP/R4RK1 w - -,f2f3
8/p2r1k1p/6p1/3P4/R3B2P/5P2/Pr4PK/8 b - -,f7f6
2qr1rk1/pb2bpp1/1pp1pn1p/4N3/3P4/2PB2B1/PPQ2PPP/R3R1K1 w - -,a1d1
8/8/2p5/4k1p1/2K1P1P1/8/7N/8 w - -,c4d3
2r5/2r3bk/Q7/3p3p/5p2/BP2PPPK/P1q5/6R1 b - -,c7c6
r1bqk2r/pp1nppbp/2pp1np1/8/2PPP3/2N3N1/PP2BPPP/R1BQK2R b KQkq -,e8g8
r4rk1/pp1b2bp/3q2p1/n2Pp3/2p1Pp2/2P2P2/P1BQNBPP/RR4K1 w - -,b1b4
8/8/p4R2/7r/1p6/1P1kb1B1/6K1/8 w - -,f6a6
r1b1qrk1/4p2p/2np1ppQ/2p1P3/p1P5/1PR2N1P/P4PP1/1B3RK1 w - -,e5d6
8/pppb1pkp/3p4/5P2/7p/2PB3K/PPP2P1P/8 b - -,g7f6
r2r2k1/1b1nqpbp/p1pp1np1/1P2p3/3PP3/2PBBNNP/1P1Q1PP1/R3R1K1 b - -,a6b5
r2qrbk1/2pp1p1p/bp3np1/pNnP4/P7/1P2P1P1/4NPBP/R1BQ1RK1 b - -,f8g7
q3r1k1/2pn1ppp/1p1pp3/8/r1PPR3/P1B3PB/1Q3P1P/R5K1 b - -,a8e4
r5k1/ppb2pp1/1np4p/8/1P2r3/P4BPP/3B1PK1/2R2R2 b - -,e4e7
5R2/8/4k3/6p1/3b4/5PK1/4P3/4r3 w - -,f8e8
2rr2k1/p2n1ppp/4p3/qp2P3/3PQN2/P1pB1P2/5KPP/2B4R b - -,d7f8
8/8/5k2/4p3/1rN3bp/1PR1K3/6P1/8 w - -,c4d2
r1bqr1k1/ppp1bppp/2n1pn2/8/3PN3/2PB1N2/PP3PPP/R1BQR1K1 b - -,a7a6
r2qnrk1/pp4bp/3pp1p1/8/3B2P1/5P2/PPPQ3P/2KR1B1R w - -,d4g7
2r3k1/3Q1pb1/2rR2pp/p3p3/q7/1bP1BP2/1P2N1PP/1K2R3 w - -,e3b6
6r1/8/8/p2k4/1p1P4/3K2p1/PP4R1/8 w - -,d3e3
2r5/4kp2/pp1p4/3P1P2/3pN3/P3b1p1/1P5P/5R1K w - -,h2g3
8/2B2kp1/2n1pp2/2b4p/1pB1PP1P/1P4P1/2P3K1/8 b - -,f7e7
2k5/2pq4/r3p1Q1/1P2R2p/3P1P2/2P4P/6K1/8 b - -,a6a2
r1r3k1/pp2q1p1/2n4p/b4p2/4p1P1/2P5/PP3PBP/R1BQK2R b KQ -,f5g4
8/p1q3k1/1pn3p1/4p1Q1/2PPp3/P1P5/6P1/R3KN1r w Q -,d4d5
3q4/PK6/2B3pk/1Qp5/2Pb4/7P/8/8 b - -,d8e7
3r1rk1/1b1n1ppp/1q6/p2pP3/1p3P2/6P1/PP1QN1BP/2RR3K w - -,d2d4
b1Rr2k1/8/P2p4/q2Pp1bp/4P3/5P2/2Q2BP1/5BK1 w - -,c8d8
1r6/p1k1n3/3b2b1/1pp1ppN1/q1Pp4/P2P1QN1/1P1B2B1/2K1R3 w - -,g5e6
r1b2rk1/bp3p2/p2p1qpp/2p1p3/2nPPn2/2P2NNP/PPB2PP1/R1BQR1K1 w - c6,b2b3
r1br2k1/p2n1p2/1pq1pbpp/3p4/2PP4/1P1QPNB1/2B2PPP/R4RK1 w - -,f1c1
8/2b3kp/1p6/1n4P1/p3BP2/4PK1P/8/1N6 w - -,e4c2
1k1r3r/1p5p/p1p1pp2/q4b1Q/2BPn3/2P2NP1/PP3PP1/K2R3R b - -,b7b5
2r1bbk1/r4pq1/p3p1p1/Pp1p4/3P4/1PBN1R2/2PQ1PP1/2R3K1 w - -,c1e1
q5k1/p2b1pp1/3p3p/4pP2/PPPp2P1/6Kn/2QB4/R7 w - -,a1f1
rn1q1rk1/pbp1bppp/1p2p3/3n4/8/1P3NP1/PB1PPPBP/RN1Q1RK1 w - -,d2d4
2rq1rk1/p1n1ppb1/1p5p/3P2p1/P1B3bB/1QNP4/1P3PPP/R4RK1 w - -,h4g3
r1b2rk1/pp3ppp/2n1pn2/8/2p5/2P2P2/PN1BP1PP/R3KB1R b KQ -,e6e5
3r4/2p1nk1b/pppb2pp/8/2P2P2/1P4NK/PB6/2RR4 w - -,b2e5
2k5/1p6/1P1R1K2/P5P1/8/8/8/4r3 b - -,e1f1
8/p4p2/4nk1p/2p3p1/2Nr3P/P4RP1/1P3P2/5K2 b - -,f6g7
8/5pp1/p1k4p/1pn1p1b1/2p1P1P1/P1P2P2/1P5P/2NK2N1 w - -,g1e2
2r5/4k3/1p2p3/p1Nb4/6R1/1P6/1PP3P1/5RK1 b - -,c8c5
2r5/5k1p/5pp1/1R6/pB4P1/P1b4P/5PK1/8 b - -,f7e6
2r3k1/p6p/2p3pb/2B1n3/8/3B2P1/PPK4P/5R2 w - -,c5a7
r2q1r2/1ppbb2n/p1np2k1/3NpPp1/1PB4p/P2P3P/1BP2PPN/R2QR1K1 b - -,d7f5
r1b2rk1/1p3pb1/1qpp2np/3P2p1/1pPpP3/P4N1P/2B2PP1/1RBQR1K1 w - -,a3b4
r1b2rk1/1pq1bppp/p1Nppn2/6B1/4PP2/2N5/PPPQ2PP/1K1R1B1R b - -,b7c6
8/4n1p1/1p1k4/7P/1p2K1B1/3P4/1P3P2/8 b - -,e7g8
2r3k1/1pq2pp1/p3r3/4bQ1P/3B4/2P5/PP3P2/1K1R2R1 b - -,e5d4
5rk1/pp3ppb/5q2/3pR1Q1/8/PN3P2/1Pr4P/K1R5 b - -,f6g5
2r4r/1b1k1p1p/p4p2/R2P4/8/5K1N/P4PPP/4R3 b - -,d7d6
5k1r/1p3p2/p4Np1/5pQn/4q3/8/PPP4P/1K1R4 b - -,e4e6
r2q1rk1/p2n1ppp/bp1ppn2/6B1/2Pp4/P1N1P3/1PQ2PPP/R3KB1R w KQ -,e3d4
5rk1/p2b1p2/1pn2q1Q/2p5/4r3/2P3P1/PP5P/R3R1K1 w - -,h6f6
rnbqkb1r/pp3ppp/2p1pn2/3P4/3P1B2/2N5/PP2PPPP/R2QKBNR b KQkq -,e6d5
r2q1rk1/4b1p1/4p2p/2p2p2/1pP5/1P4P1/1BQ1PPKP/R4R2 w - -,f2f3
1r1qk2r/1ppbppbp/p1np1np1/8/2PPP3/2N1BP2/PP1Q2PP/R1N1KB1R b KQk -,e7e5
4r3/1ppk2B1/p2p4/P1PP3p/1P2P1p1/3K2P1/7P/8 b - -,c7c6
r4rk1/3bppbp/3p2p1/qp1P4/n1p1P2N/2P1R1P1/P1QB1P1P/1R3BK1 w - -,g1h1
r2q1rk1/1bp1bppp/p1np1n2/4p3/Pp1PP3/1B3N1P/1PP2PP1/RNBQR1K1 w - -,c2c3
4k3/7R/R6p/3r2b1/8/1P1K4/8/8 w - -,d3c4
6k1/3b1pp1/7p/1r2B3/4P3/p3RPP1/5K1P/8 w - -,e5a1
8/1r1k2p1/KP1Bnp1p/1R6/6P1/5P2/6P1/8 b - -,d7c6
r3kb1r/pp1n1pp1/2p1pn1p/q6P/3PNB2/3Q1N2/PPP2PP1/R3K2R w KQkq -,f4d2
2rr2k1/1q2bppp/p4n2/1p2p3/2P5/1Q4P1/PN1NPP1P/2RR2K1 w - -,d2f3
r1b2rk1/pp2pp1p/2np2p1/q7/4PP2/2N1Q3/PPP3PP/2KR1B1R b - -,c8e6
8/2B5/8/5p2/6p1/r5P1/4kPK1/8 b - -,a3f3
8/p1r2pkp/5Rp1/2pPr3/4N3/P7/6PP/5RK1 b - -,e5e4
8/p3kp2/1p4pp/8/4PP2/1P3P2/P2R2KP/2r5 w - -,g2g3
8/pp1rbpkp/4p1p1/8/N2P4/Pr2P1P1/1PR1K2P/2R5 w - -,c2c3
r6r/pb4k1/1pPbpp2/2p4p/1nP5/1P3NP1/PB2BP1P/R4RK1 b - -,b4c6
2rq1rk1/1p1nbpp1/p3p2p/1b2N3/2pPPP2/2P1Q1B1/P3B1PP/1R3RK1 w - -,e5g4
1rb2rk1/3n1pbp/p2Q2p1/q3p3/2p1P3/2N1BP2/PP4PP/1K1R1B1R w - -,d1c1
r7/2r1pp2/p1kp3p/2b5/R3PP2/PR6/1PP3P1/1K3B2 b - -,c7a7
r1bq1rk1/1pp1n1bn/p2p3p/2PPp1p1/1P2Pp2/P1NQ2P1/3N1PBP/1RB2RK1 w - -,d2c4
8/pr2n1p1/1k3p1p/2R5/3P4/8/2N2PPK/8 w - -,c2e3
r3k2r/1bq1bppp/p1nppn2/1p6/4PP2/PNN1B1P1/1PP1Q1BP/R4RK1 b kq -,e8g8
8/2p1r1kp/5pp1/p7/P1pB4/2P4P/1P2B1PK/8 w - -,e2c4
5k2/5np1/p2bb2p/1p1p4/3B1PP1/1P1N1B1P/P7/6K1 b - g3,g7g6
r2q1rk1/1p1bppbp/3p1np1/p7/2PBP3/1PN5/P2QBPPP/R4RK1 b - -,d7c6
8/4K3/2r5/1R5P/8/6P1/1pk5/8 w - -,g3g4
r4bk1/P2R1p1p/5q2/4rp2/Q3p3/2p1P1P1/R1B2P1P/6K1 w - -,a4b3
6R1/2pk1p2/1p1p1P2/2p3P1/2P1P1b1/4K1r1/2P5/5B2 w - -,e3f2
r2qr1k1/pp1n1ppp/2p2n2/3p4/2PPp3/P1P1P2P/4QPP1/R1BR1BK1 b - -,a8c8
r1b5/pp4bk/2p3pp/5r2/2q2P2/2N4P/PP1Q2PN/R2R3K w - -,d1f1
1n1k4/pr5p/6p1/RBP5/1PK1pp2/8/5PPP/8 w - -,a5a2
8/2Rn1k2/5pp1/8/5P1p/7P/3r2PN/6K1 b - -,f7e6
8/1p3kpp/p1p2p2/7P/1n1N1PP1/P5K1/1P6/8 b - -,b4d3
4n3/p3P2p/5kp1/2R1p3/2B1Pp2/3K1P2/1r4PP/8 b - -,f6e7
r1bqkb1r/pppn1ppp/4pn2/3p4/3P4/1P2PN2/P1P2PPP/RNBQKB1R w KQkq -,c1b2
8/5pk1/2rp1pp1/1r5p/1P1RPP2/6P1/3R2KP/8 w - -,d2b2
6R1/p1r5/7k/3B1Pn1/r1p3Pp/4R2P/P3K3/8 w - -,g8g6
2rr2k1/1p4bp/1B4p1/4pp2/P7/4PNP1/P3bPKP/R1R5 b - -,d8e8
6k1/2p3p1/3b2rp/6q1/4Q3/1PB2RPb/P2PP1R1/6K1 b - -,h3g2
8/8/8/3pk3/R4p2/P4P2/3K2P1/5b2 b - -,f1g2
8/5pkp/6p1/8/6P1/2p2P2/3qr2P/5RQK b - -,c3c2
8/6B1/6p1/3k3p/1Pb2P2/2K4P/3P4/6b1 w - -,d2d3
3r3k/pp4pp/2b1q3/8/3Q1R2/K2p1PR1/PP3P2/1B6 b - -,d8d4
r2r2k1/p3bppp/1p2n3/2p1P3/4NP2/4B1P1/PP2P2P/R4RK1 b - -,e6d4
rnb2rk1/1pqpbppp/p3pn2/8/3NP3/P1NBB3/1PP2PPP/R2Q1RK1 b - -,b8c6
8/5k2/1p2n1p1/pP6/P5KP/2B5/2B2b2/8 b - -,e6d4
r1b2rk1/pp1nqpp1/4p2p/2p5/1n1P4/P1NBPN2/1P3PPP/R2Q1RK1 b - -,b4d3
2r1k2r/pp3ppp/1B2b1n1/8/2P5/2P5/P4PPP/R3KBNR b KQk -,a7b6
8/p4k1p/2R1p3/6p1/4nrP1/1P5P/P5K1/5B2 w - -,c6c7
r1b2r2/1p6/p3kbQp/8/4p3/5P2/P1P3PP/1K2R3 w - -,e1e4
rnbq1rk1/pp3ppp/2pb1n2/3p4/3P4/2NBPN2/PP3PPP/R1BQK2R w KQ -,e1g1
r2qrbk1/1b1p1pp1/p4n1p/n1p1p3/Pp1PP3/2P2NN1/BP3PPP/R1BQR1K1 b - -,e5d4
r1bq1rk1/p3ppbp/2p3p1/3p4/2B1N3/4B2P/PPP2PP1/R2Q1RK1 w - -,c4d3
r1bqkb1r/1p3ppp/p1n1p3/2ppPn2/5P2/2N2NP1/PPPP2BP/R1BQK2R w KQkq -,e1g1
r5k1/q2b2pp/3Qp3/Pp1pPp2/5P2/P2P4/4N1PP/2R3K1 w - -,g1f1
4k3/5RK1/4P3/8/7P/8/8/5r2 b - -,f1g1
1r1r2k1/p1q3pp/1p2nN2/3b4/P1pP3P/2P3P1/Q4PB1/R3R1K1 b - -,g7f6
r1bqkb1r/pppp1ppp/2n5/4p3/2B5/2n2N2/PPPP1PPP/R1BQ1RK1 w kq -,d2c3
2N3n1/5k2/8/p1R3pp/8/5P1P/P2b2K1/8 w - -,c5d5
r2q1rk1/ppp3bp/2n1p1p1/3pP3/3P2bP/2N1QN2/PPP1B1P1/2KR3R b - h3,c6e7
r1bqkb1r/ppp2ppp/2n5/4p3/2BPp3/2P5/PP3PPP/R1BQK1NR w KQkq e6,d4d5
rn2kb1r/pp1b1ppp/1q2p2n/2ppP3/3P1P2/2PB1N2/PP4PP/RNBQK2R b KQkq -,d7b5
8/8/1b6/4k3/pP5P/R5P1/6Br/5K2 b - -,e5f5
5k2/1p1b1r2/5p1R/2Pp1Bp1/3P1PP1/8/6K1/8 b - -,d7f5
