R7/p2k2pp/5p2/8/1NP5/1PK5/6rP/8 b - -,f6f5
1n6/rb2k1p1/p6p/1pN5/4p2P/1B6/P1P4P/4R1K1 w - -,c5b7
r4rk1/p2n1ppp/2p5/3p1b2/Nq1P4/1P4P1/4PPBP/2RQ1RK1 b - -,f8c8
8/7R/8/5K2/8/8/1p3r2/1k6 w - -,f5e4
1k1r2r1/pp3p2/5q1n/2P4P/3p1N2/4PQN1/PP3P2/2K4R b - -,d4e3
6k1/5p1p/2n1q1pb/1pP1p3/1P1pP3/r2P2P1/rR2NNKP/1R1Q4 b - -,h6e3
2r2rk1/pb2qpp1/1p1pp2p/2n5/2P1n3/2N1PN2/PP3PPP/1BRQR1K1 w - -,d1c2
5r2/p2k3p/1b1PpBp1/4K3/P1p5/2P5/6PP/1R6 b - a3,f8c8
r4rk1/3qbppp/p2p1n2/P1nPp3/1pQ5/1N2B3/1PP1BPPP/R2R2K1 b - -,f8c8
8/8/3p4/8/2p1p3/3r4/2K1k2Q/8 b - -,e2e3
2n2k2/pp1bbp2/2p3p1/2B4p/4PP1P/1P1N2P1/P5K1/5B2 b - f3,b7b6
8/7k/6p1/Q4p2/5Pp1/1K4P1/p5qP/8 b - -,g2h2
2r5/1p4k1/5p2/PP1qp3/3p4/2R3Pp/PQ3P1P/5RK1 w - -,f2f3
8/p1kn1Q2/4p3/7P/8/4P1P1/5P2/1q1n2K1 w - -,g1g2
8/R5p1/7k/6p1/P3B1P1/7P/4nPK1/2r5 b - -,e2f4
2rr1bk1/5p1p/3P2p1/2P4q/5p2/3Q1P2/5B1P/2RR3K w - -,c1c3
r1bq1rk1/3nbp1p/1pp1p1p1/p1Pp3n/1P1P4/P1N1PN1P/5PPB/R2QKB1R w KQ -,f1e2
1r2qrk1/1ppb1pb1/p2p1np1/3Pp1Bp/2P1P3/1P3PN1/P2QB1PP/2R2RK1 b - -,f6h7
r1b1r1k1/ppqn1pp1/2pp1b1p/5N2/P2pP3/2N5/1PP1BPPP/R2QR1K1 w - -,f5d4
r1bqk2r/pp1p1pbp/2n1pnp1/2p5/2PP4/2N2NP1/PP2PPBP/R1BQK2R b KQkq -,c5d4
1n2r1k1/1B3pbp/1B2p1p1/3p4/1P1Pn3/r3PN2/P4PPP/2R2RK1 w - -,c1c2
R7/5pkp/4b1p1/2B5/2p1PP2/1n6/4B1PP/6K1 b - -,b3c5
r1b2rk1/ppq1bpp1/4pn1p/4N1B1/3P4/P1PB1Q2/5PPP/R4RK1 w - -,g5d2
rnbq1rk1/p4pbp/1p1ppnp1/2p5/4P3/2PP1N1P/PP1NBPP1/R1BQ1RK1 w - -,f1e1
rnb1k3/pp2np1Q/4p3/3pq3/7P/P1pB4/2P1NPr1/R1B2K1R b q -,g2g8
r2qkbnr/1b1p1p1p/p1n1p1p1/1pp5/4PP2/2NP1NP1/PPP1Q1BP/R1B1K2R b KQkq -,b5b4
3rrqk1/pp1b2pp/1N2pn2/5p2/3pP3/P1N3P1/1P2QPBP/3RR1K1 b - -,d4c3
r4rk1/pb1n1ppp/1qp5/2bpP3/1pnN1PP1/7P/PPP1N1BK/R1BQ1R2 b - -,f8e8
r2q1bk1/2p2ppp/pn1p1n2/1p1P4/3B1P2/PPN2B2/2P2QPP/4R1K1 b - -,b6d7
q7/8/6pp/2R2p1k/1P4nP/3p2PK/8/3Q4 b - -,a8e4
r3k2r/pp2qppp/1np5/3p3n/3P2b1/2NBPN2/PPQ2PPP/2KR3R w kq -,c1b1
1r4k1/p3ppbp/1pP3p1/8/4b3/B4N2/P2RBPPP/6K1 b - -,e4c6
r6k/2p4q/1p1p1Np1/2n1p1Q1/p1b5/P3P1P1/1P4BP/7K b - -,c5e6
8/1R1k1p2/5p2/p4r1p/P2K1P2/4PP2/8/8 b - -,d7e6
2r5/7p/P5p1/2p1pp2/2K1k3/8/3R1P1P/8 w - f6,d2a2
8/4n3/1Rn5/1K1k4/1p6/1P6/8/8 w - -,b5a4
r1bq1rk1/pp3pbp/2np1npB/2p1p3/4P3/2NP2P1/PPPQ1PBP/R3K1NR w KQ -,h2h4
r2q1rk1/1p1nppbp/p1p3p1/n7/P1pPPPb1/2N1BN2/1P2B1PP/R2Q1RK1 w - -,h2h3
r1b2rk1/1p3pb1/2pp1qpp/p1nPp3/2P1P3/1NN4P/PP2BPP1/R2QK2R w KQ -,b3c5
r2q1rk1/pp2ppbp/3pb1p1/2n5/2P1P3/2N1B3/PP3PPP/1BRQ1RK1 w - -,b2b4
8/2K2kr1/1P6/7R/8/8/8/8 w - -,h5h6
4r3/1pr5/p1pk2p1/P2pNb1p/3P1PpP/1R2P1P1/3K4/2R5 b - -,f5e4
r3r1k1/pp1bbpp1/2pp1nnp/q4N2/2P1PPP1/1P1B1Q1P/PB1N1R2/R5K1 b - -,e7d8
r3r1k1/pp2Bppp/8/2q1nb1Q/2Pp4/6PP/PP3PB1/R3R1K1 b - -,e8e7
r1bq2k1/ppp2ppp/1n6/1N2r3/8/P3P1P1/3P2BP/R1BQ1RK1 b - -,e5b5
1r4rk/3P1pnp/1pB1p3/1P2Ppq1/3Q4/6P1/5PNP/3R2K1 w - -,f2f4
2r3k1/2R1nppp/4p3/pB1p4/1b1P1B2/1P2P2P/5PP1/5K2 b - -,c8c7
8/2r2ppp/2k5/1p2P3/3R4/2P5/5KPP/8 b - -,c7e7
5q2/5pk1/2bpr1p1/4p3/4P2Q/4NP2/2P2KP1/1R6 b - -,f8h8
4r1k1/pp1q1pbp/6p1/3p4/3N4/1P2QPPP/P4PK1/R7 w - -,e3d2
4r1k1/1pq3bp/6p1/4np2/p1PB1Q2/5b2/PP4PP/2R2R1K w - -,f1f3
r3r1k1/2qn1pbp/p2p2p1/1p1P4/2p1P1P1/P4PBP/1PQ3B1/3RR1K1 w - -,g4g5
r1bqk2r/p1p2ppp/3p1n2/2b1p3/N1pNP3/3P4/PPP2PPP/R1BQK2R w KQkq -,d4f3
4r1qk/1pp5/pn1prnpp/8/5Q2/2N1R1P1/1P3PBP/4R1K1 w - -,f4h6
2rq1rk1/1p1npbbp/2np4/P4p2/2P2N2/N3BP2/P2QB1PP/2RR2K1 b - -,c8a8
8/1p3rpk/2n4p/6r1/p7/5N2/P5PP/2B1R1RK b - -,g5c5
8/p7/1p4p1/3k1pP1/3PpP2/1P5N/P2r1R1P/6K1 b - -,d2d4
r3b2k/pp2b1p1/1q2p2p/3p4/1n1P4/2N1BP2/PP1Q1P1n/RB2R1K1 w - -,g1h2
8/1pk2p1p/2p2p2/8/2P1K2r/PR6/8/8 w - -,e4f5
r1bq1rk1/pp3pbp/2n3p1/2pnp3/1P6/P1N2NP1/1B1PPPBP/R2Q1RK1 b - -,e5e4
r2qkb1r/pp1bpp1p/5np1/n2p4/3P1B2/2PB1N2/PPQ2PPP/RN2K2R b KQkq -,f8g7
r3rnk1/1bq2pbp/p1pp1npB/1p2p3/P2PP3/2PB1NNP/1P1Q1PP1/R3R1K1 b - -,f8e6
1k3nrr/1b3p2/1q2p2b/1p1pPp2/pPpN1P2/B1P1N2P/P2PK2Q/1R3R2 b - -,b8a7
8/8/4K3/8/8/1kpp4/3Q4/8 w - -,d2d3
2r3k1/1q3p1p/ppb1p1p1/3p4/3P1B1P/1Qn2PP1/PP6/5RK1 w - -,b2c3
r4rk1/pp1qppnp/6p1/3P4/8/2Q3P1/PP3PBP/R3R1K1 b - -,a8c8
r4rk1/pb1nq1pp/1p1b1n2/2ppNQ2/3P1B2/1P3NP1/P3PPBP/R4RK1 b - -,c5d4
8/7p/8/NK1knpp1/8/1P4P1/7P/8 b - -,f5f4
1r3r1k/p2p3p/3N2p1/1bP2p2/Q2Pp2P/3q2P1/5P2/R4RK1 w - -,d6b5
5rk1/bbq2pp1/p4n2/P1p1pP2/2N1P3/3RB1Pp/1P2Q2P/5RK1 b - -,b7e4
r2q1r2/1pp1bppk/p3b2p/3pB3/3P1P2/P1NQ3P/1PP3P1/4RRK1 b - -,g7g6
4rrk1/1b2bppp/p2q4/1ppn4/8/1BPP4/PP1N1PPP/R1BQR1K1 w - c6,d2e4
r3r1k1/p1p2p1b/5q2/2ppn3/8/3BB2Q/PP3P2/3K3R w - -,h3h7
3r1r1k/8/p2pB3/1bp4P/4p3/8/Pb1RPP2/4R1K1 w - -,d2b2
5b2/3r1ppk/2R4p/8/1PRp1B2/3P2PP/4rP2/6K1 b - -,g7g5
8/3b4/6pp/p1K5/3Nk3/P3P1P1/5P1P/8 b - -,e4d3
5rk1/6qp/rp1n4/2pP1pb1/2P1p3/1PN3P1/2Q3BP/4RR1K b - -,g7e5
2k5/2b2p2/1p4pp/1P2p1n1/N3P3/1N3PP1/1P4KP/8 b - -,g5e6
r1bq1rk1/pp1p2bp/4p1pn/5p2/2BpP3/3P1Q1P/PPP1NPP1/R1B1K2R w KQ f6,f3g3
r3k2r/2q1npp1/p1n1p2p/3pP3/b4P2/P2B1N2/2P3PP/1RBQ1RK1 w kq -,d1e2
1q3rk1/1b1n1ppp/4pn2/2b5/2pN4/2N1B1P1/1P2PPBP/2Q2RK1 w - -,g2b7
8/6k1/1p1p1br1/pPp4p/P1P1Pp1B/3P1P2/7K/5R2 w - -,h4f2
r2r2k1/2Q2p2/3p1Pp1/3Pp1Pp/4Pb1P/5B1K/8/8 w - h6,g5h6
r1q3k1/1b2p1bp/1p1p2p1/2n2r2/1QP5/N3BP2/PP2B1PP/1R1R2K1 w - -,b4b6
r4rk1/1bp3b1/1p1pq1pp/pP2p3/P1P1pn2/B1P1N2P/2QNRPP1/3R2K1 w - -,e2e1
r2qbrk1/1p2bppp/p3pn2/2PpN3/3P1B2/2N5/PP3PPP/R2QR1K1 b - -,f6d7
r3kb1r/pp1npp2/2p3p1/7p/4PB1P/2P2P2/PPK2P2/R4B1R w kq -,a1d1
2r1n1k1/6pp/p2p4/N7/2pR4/P1K3B1/1PP1r2P/8 w - -,a5c4
2rqk2r/1p3ppp/p2pbb2/4p3/P1BnP3/N1NQ4/1PP2PPP/R4RK1 b k -,e8g8
r5k1/5pp1/2N2b1p/p7/8/3RB1P1/P3PPKP/1r6 w - -,a2a4
r2q1r2/3bp1kp/3p1pp1/2pP4/p3P3/4N2P/1PPQ1PP1/1R2R1K1 b - -,d8a5
r1bqk1nr/ppp2pbp/2np2p1/8/4P3/2N1Q3/PPPB1PPP/R3KBNR w KQkq -,e1c1
rnbqkb1r/pp3ppp/5n2/2p1p1B1/2Pp4/P2P2P1/1P2PPBP/RN1QK1NR b KQkq -,h7h6
rnbqkb1r/pppppp1p/5np1/8/2P5/1P2P3/P2P1PPP/RNBQKBNR b KQkq -,f8g7
3r4/4n1p1/n3kp2/p1prp2p/4N2P/1P2B1P1/3RPK2/3R4 w - -,d2d5
8/4Nppk/r6p/1R1p4/4n3/2P3P1/P4PK1/8 w - -,b5d5
8/5Rp1/1p2ppk1/7p/1P5P/6P1/1r1r1P2/5RK1 w - -,f7b7
r1bq1rk1/5ppp/p1pb4/1p6/3P4/1BP3Pn/PP3PKP/RNBQR3 b - -,d8f6
r3r1k1/ppp1qppp/4b2n/4P3/2Q2P2/P1P1P2P/4N1P1/R1B2RK1 w - -,c4b4
rn1q1rk1/pb3pp1/1p1pp2p/8/2P2Q2/2P2NP1/P3PPBP/R4RK1 w - -,f1d1
r1bq1rk1/p3npbp/4p1p1/1p6/3pPP2/1B6/PPP3PP/R1BNQRK1 w - b6,a2a4
1R6/r2q4/2p1pk1p/2Pp2p1/3P4/4P2P/6P1/5QK1 b - -,f6g6
r1rb2k1/3b1p1p/2p1nnp1/RpPp4/1N1Pp3/1N2P3/1P1BBPPP/5RK1 w - -,a5a1
4b1rk/7p/3p1R2/1p1P4/4PNPp/2P4P/8/7K b - -,e8g6
5rk1/2pq1ppp/8/rp1pP3/2nP2P1/3R3P/P3QP2/R1B3K1 b - -,d7e6
3r3k/pp5p/2pbp3/8/2NP4/1P3R1P/P7/7K b - -,h8g7
rnbq1rk1/1ppp1pbp/5np1/p3p3/2P5/2NP2P1/PP2PPBP/1RBQK1NR w K a6,a2a3
8/8/2B2kp1/4p2p/Pbr5/6K1/4R3/8 w - -,c6b5
r4rk1/2pqbppp/p1np4/1p1Bp3/4P1b1/P2PBN2/1PP2PPP/R2Q1RK1 b - -,g4e6
r5k1/1p3p1p/3Nb1p1/2P5/1P3P2/1q6/3Q2PP/3R2K1 w - -,d6e4
r2q1rk1/1b4bp/p2p4/1p1Pp3/3nNpB1/P1N5/1P3PPP/2RQ1R1K w - -,f2f3
r2qk1nr/pp2ppbp/n1ppb1p1/8/4P3/2NP2P1/PPP1NPBP/R1BQK2R w KQkq -,c1e3
8/8/8/3k4/6p1/6P1/4rP2/5K2 w - -,f1e2
3r1rk1/pppqb1pp/1nn1bp2/4p3/1P6/P1NP1NP1/1B2PPBP/R2QR1K1 w - -,f3d2
8/8/1p6/p5pk/P6p/1P3R2/6K1/8 w - -,f3f5:f3c3
1r6/8/p1p2pk1/2Nn1p1p/PP1P3P/1R2P1P1/5K2/8 b - -,d5b4
1rq1k2r/3b1pb1/pp1p2pn/2pPp2p/P1P1PP1P/2N1B1P1/1P2B3/R2QK2R w KQk -,f4f5
1r1qrbk1/p4ppp/2pnp3/3p4/5PQ1/1PB2NP1/P1P1RP1P/R5K1 w - -,a1d1
1rr3k1/5pp1/ppbp1qn1/4p3/1PP1P2p/PB1NQP1P/3R2P1/3R2K1 b - -,c8d8
rn1qk1nr/pp3pbp/4p1p1/3p4/8/1QN2BP1/PP1PPP1P/R1B2RK1 b kq -,d8d7
r5k1/1p2pp1p/b5p1/1N6/Pp6/1Pn2PP1/2Pr2BP/R3R1K1 b - -,c3e2
1k1r3r/pppnbpp1/4pn1p/8/1P1PP3/3B1N2/P2BKPPP/1RR5 w - -,a2a4
4rbk1/2p2ppn/4q2p/4p3/P3N3/2N4P/4QP1K/1R4R1 w - -,a4a5
r4rk1/4pp1p/p2p2p1/2nP4/2PBnP2/5B1P/P1R3P1/2R3K1 b - -,f7f5
r1bq1rk1/1p1pnpbp/p1n3p1/1Bp1p3/4P3/N1P2N1P/PP1P1PP1/R1BQR1K1 w - -,b5f1
5rk1/pQ5p/3pr1q1/5p2/8/4B2P/P4PP1/3R2K1 w - -,e3f4
r2r2k1/1q3ppp/2b1p3/1p2P3/3bp3/PQ2N2P/1PR1BPP1/5R1K b - -,d4e5
r3qr1k/p5pp/Pp2bn2/2pp4/3Pn3/1P2NN2/2R1BPPP/2QR2K1 w - -,c1b2
2b1rrk1/p1p4p/2pnpp2/2Np4/3P4/PPP5/5PPP/R1B2RK1 w - -,c1h6
r4rk1/1p4pp/4b3/3Ppp1Q/1q2N3/p2B3P/PP2RPP1/1K1R4 b - -,e6d5
r1b2rk1/pp2qppp/2pb1n2/3p4/3Pn3/1PN2NP1/PBQ1PPBP/R4RK1 w - -,e2e3
r1bqr1k1/pp1n1pb1/2p2npp/3Pp3/1P1P3B/4PN2/P2NBPPP/R2Q1RK1 b - -,g6g5
r4rk1/4b1pp/p3q3/1pppPpn1/P7/2P2P2/1PB3PP/R1BQ1RK1 b - a3,g7g6:a8d8
5rk1/3B2bp/4p1p1/q7/Nrb5/p5P1/P1QR1P1P/3R2K1 b - -,c4d5
3rr1k1/1pq2pbp/p5n1/2pPpQ2/P4P2/2N4P/1P4PB/3RR2K w - -,c3e4
r3k2r/2qb1ppp/p1nRpb2/1p6/4P3/2N1QN2/PPP2PPP/1K3B1R w kq -,d6d2
r4rk1/pR3p1p/2n3pb/8/2BP1qb1/N4N2/PP3PPP/R2Q2K1 b - -,a8d8
8/5k2/4p3/1Bp3BP/1bP1P3/1K1b1P2/8/8 b - -,d3e2
r1bqr1k1/pppnppbp/5np1/3p2B1/3P4/2P1PN2/PP1NBPPP/R2Q1RK1 b - -,c7c6
8/4p2p/2kn2p1/3R4/r3P2P/pR2K1P1/P7/8 w - -,d5d4
r1q2r1k/pb2b3/2p1p1Q1/2PnNp2/8/6P1/PP3PBP/R2R2K1 w - -,g2d5
8/2p1br1k/2b3pp/p1N5/P5P1/1R2B2P/2P2P2/6K1 w - -,b3c3
2b3k1/8/pb2p1p1/4p3/1P2Pp1P/P3qN1K/2Q3PN/8 b - -,c8b7
2RR4/1r3p1k/2p3np/1p2p1p1/4P1K1/4BP2/5P1P/r7 b - -,g6e7
b1r1r1k1/5pb1/p3p1p1/1qp1N2p/2P1PP2/4R3/P1B2QPP/3R3K b - -,b5b2
r3r1k1/1pq2p1p/b2p1bp1/p1p5/Pn2P3/1P4PP/2PQ1PB1/1NNRR1K1 w - -,c2c3
r1b1k2r/4qppp/p2p4/1p2p1b1/4P3/2P5/PPN2PPP/R2QKB1R w KQkq -,a2a4
7k/pp4pp/8/2P5/5q2/P1Q5/7P/3r2RK b - -,f4e4
2r1k2r/1b2bp2/p3p2p/1p2p3/3R4/P1N3P1/1PP3P1/4RBK1 w k -,d4d3
r4rk1/pp1n2p1/2p1b2p/4Pp1n/3PN1q1/2NQ2P1/PPB4P/R4RK1 w - f6,e5f6
8/8/7p/3k3P/1PR5/7r/2K5/8 w - -,c4c3
8/3R1ppk/2p4p/1b6/p1p1P3/R1P1B2P/P4PPK/5q2 b - -,h7g6
5k1r/p2qnpp1/8/1pb4r/3N4/2PQ2Pb/PP4BP/R3RNK1 w - -,d3e4
r3n1k1/3qp1bp/1pp1b1p1/p2pP3/Pn1P2P1/1NN1BB1P/1PPQ4/5RK1 w - -,c3e2
2r1r2k/p5bp/1p4P1/2N5/b7/BR1B1P2/P1K3PP/7R w - -,c2b1
2r2rk1/1b3p2/p4np1/1p1pqP1p/1P6/P2BP1NP/4Q1P1/2R2RK1 w - -,c1c8
8/2p5/1p4pn/pPpPp1k1/2P1P1P1/1P6/5KB1/8 b - -,g5f4
r6r/1p1kb2p/np3p2/3p2p1/3P4/P2N2P1/1P1B1P1P/R4RK1 w - -,f2f4
4r1k1/n2q1bpp/1p1Bp1n1/pP2PpN1/P2P4/4Q1PB/5P1P/2r1R1K1 w - -,e1c1
r3k2r/ppqn1p2/2p1p1p1/5n2/3PB2p/5Q1P/PPP1NPP1/1K1R3R w kq -,c2c4
8/1k3pb1/p5p1/1p6/rN5P/8/3N1PP1/2RK4 w - -,b4d5
r2qrb1k/pp5p/2p3p1/7n/3Nn3/1Q2B2P/PPP2PP1/R4RK1 b - -,d8b6
r2qk2r/pp2n1bp/2npb1p1/2p1pp2/3PP3/2P1B1P1/PP1NNPBP/R2Q1RK1 b kq -,c5d4
8/pp3p1k/2p3p1/2P3r1/4Pp2/3P1P2/P1P2KPr/1R2R3 b - -,h2g2
8/N2k2p1/R4p1p/4p3/1Pn1P3/7P/3r1PP1/6K1 b - -,c4d6
8/3k4/7R/2p5/1pP2r1p/1K6/8/8 w - -,h6h5
2k5/4r3/5q1P/1p2R1P1/1Pp5/2Q5/2P5/1K6 b - -,f6f1
r3n3/1p2kppp/1rp1p3/p2p4/P2P1P2/1PRPP3/3NK1PP/2R5 b - -,e8d6
3rr2k/p1p2q2/2p2p1p/3n2p1/2P1B3/5QPP/PP3P1K/3R1R2 b - -,d5e7
7k/5qpp/p4p2/B3p3/3pP1P1/bPpP3P/P3QP2/6K1 w - -,e2c2
8/8/6K1/8/1pR2k2/1P2r3/8/8 b - -,e3e4
r3k1r1/p7/bppR1P2/7p/5p2/7P/PPP2PP1/R5K1 w - -,a1e1
4r1k1/p1R3pp/1p1r4/3p1p2/3R4/1P2P1P1/P4PKP/8 b - -,a7a5
r2n1rk1/p1qb1p2/2p3pp/3P4/4Q3/3BPN2/P5PP/1RR3K1 w - -,e4e5
8/8/7p/5p2/5P2/3K1k2/7P/8 b - -,h6h5
3Q1bk1/pp6/3q2p1/5pN1/4p3/2P4P/5PP1/6K1 w - -,d8c8
r2q1rk1/1pp1bppp/p1np1n2/4p3/B1P1P1b1/2NPBN2/PP3PPP/R2Q1RK1 b - -,c6d4
r2qrbk1/pb1n1ppp/1ppp1n2/4p3/4P3/1PPP1NP1/P1Q2PBP/R1B1RNK1 b - -,d6d5
3r1kr1/3n3p/1b3q2/1p6/1PpPQPB1/R1P1B3/6RP/6K1 w - -,e4h7
4rbk1/2q2pp1/pp3n1p/3r3n/4p1PP/1P2R3/PB3P2/1B1QR1K1 w - -,d1e2
4r3/1p3k2/p1pP1b2/3q4/8/5R2/6Q1/6BK w - -,d6d7
2kr3r/1b1q2pp/p2pp1n1/npb3NQ/4P3/2N1B3/PP3PPP/2R1R1K1 w - -,e3c5
8/4kpp1/2K1p3/p3P1P1/8/8/pr5P/R7 w - -,h2h4
3r3k/1b2q1bp/pr6/1p1Ppp2/4p3/1B6/PP2QPPP/1NRR2K1 w - -,a2a3
r4r1k/1p1Nb1pb/2p4q/2P1p1n1/1P2Pp2/5P1p/2Q3PP/2RR1BNK w - -,d7e5
5qk1/p1Q2n1p/1p3p2/4p3/3p1N2/5PP1/PP2P2P/6K1 w - -,f4d5
3rr1k1/1b1nq1bp/pp2p1p1/2pp1p2/3PnN2/BPP1PN2/P3BPPP/2RQ1RK1 b - -,g7f6
r1b1q1k1/3n2bp/pp1p2nr/1P1Pp1p1/4P3/2NN1PB1/P3B2P/2RQ1RK1 w - -,b5a6
3r2k1/4bp2/6pp/2np4/3B4/2P1N2P/1P4P1/5RK1 b - -,c5e6
3qr1k1/1p1rbpp1/2p1p3/p1P1n2p/2RPQ2P/PR4B1/1P3PP1/6K1 w - -,g3e5
3R4/8/8/5pp1/1p3k1p/p1b4P/P1P3P1/1K1Br3 w - -,d8d3
2b2rk1/7p/1P1Q1n2/2P2q2/2P1pN2/4PnP1/1B3PB1/5R1K b - -,f5g5
r7/pb2kpb1/2q1p1p1/1pp2n1r/4NPQ1/2PP4/PPB3PP/4RR1K w - -,c2d1
5r1r/1kpp4/1p1qp2p/6p1/PP1PR3/8/4QPPP/5RK1 w - -,a4a5
8/5pk1/3p1p2/q2BpP2/4P2P/2p5/2R5/1K6 w - -,c2a2
r2q1rk1/1R5p/2nNb3/2P5/3pP3/3Q1p2/6BP/2R3K1 w - -,d3d2
8/5k2/1P2p3/5p2/5b1R/6r1/5K2/5B2 b - -,f4e5
2r5/ppBb3k/4p3/3p1r2/5P2/8/PP5P/2R1R1K1 b - f3,c8g8
1r2r3/5bk1/3b1p2/1qp5/P2p2p1/1N1R4/1PPB1P2/1K1R4 w - -,a4b5
r1bqk2r/pp2npbp/2n3p1/2p1p3/2PpPP2/3P1N2/PP2B1PP/RNBQ1RK1 w kq -,f3e5
r4rk1/1b2qpp1/p1p4p/1pb1P3/P3PB2/3B4/1P2QPPP/R2R2K1 w - -,d3c2
r1q1r1k1/p2n1pbp/2pB2p1/2Ppp3/Q2P4/8/PP2NPPP/1R2R1K1 b - -,a7a5
8/2pn1k1p/1p1p2p1/p2Pp1P1/2P4P/PP2P3/2B4K/8 w - -,h2g3
Q7/p1q2ppk/1p1bp2p/4N3/3P2P1/P4P2/1P2RKP1/2r5 w - -,a8e4
r3k2r/pp1bnq2/2n1p2p/3p4/5Np1/P3B3/1PB2PPP/R2Q1RK1 w kq -,b2b4
rnbq1rk1/p3ppbp/2pp1np1/1p6/3PP1P1/2N1B2P/PPPQ1PB1/R3K1NR b KQ -,e7e5
b3r1k1/Q1pp1qpp/4pn2/P2Pnp2/1BP5/3B1PP1/2N4P/5RK1 w - -,d5e6
r1bqr1k1/pp3pbp/2n3p1/2pnp3/8/3P1NPP/PPPN1PB1/R1BQR1K1 w - -,d2c4
4r3/b4p1k/pq3n2/1pp1p1pp/4P3/1PQ1PPP1/PB3KBP/3R4 b - -,e8d8
4r1k1/1p2q1b1/p2p2Pp/3P1p2/3p1P2/3Pr3/PPPQ2B1/1R2RK2 b - -,e7h4
