8/8/1N5k/8/2R4P/4P1P1/2p1K3/1r6 w - -,c4c2
rn3rk1/5pbp/2pqpnp1/1p4B1/3P4/1QN2N2/PP3PPP/R3R1K1 w - -,g5f6
2k3rr/1bqnbp2/ppn1p2p/2p1P2P/2Pp2p1/3P2P1/PPNBQPBN/1R2R1K1 b - -,c6e5
8/6r1/kP5R/7p/2N1K2P/8/8/8 w - -,h6h5
rnb1k2r/1pq1bppp/p2ppn2/8/3NPP2/2N5/PPP1B1PP/R1BQ1RK1 w kq -,c1e3:g1h1:e2f3:f4f5:a2a4
r4rk1/2qnbppp/p3p3/1p1b4/3N4/P2BBP2/1PP2QPP/R4RK1 w - -,d4e2
8/8/6p1/6P1/6kP/2K2R2/8/8 b - -,g4f3
3qr1k1/1p3pb1/6p1/P1BP2np/2NnP3/1r6/RP3PB1/3QR1K1 b - -,g5f3
r3r1k1/1q3ppp/p4n2/1pp1b3/8/4P2P/PPQBNPP1/2RR2K1 b - -,f6e4
r3r1k1/pp1n1q1p/2pQ2b1/4Ppp1/8/PP1N1PP1/1B1nP1BP/4RRK1 w - -,f1f2
4rk2/2p2pp1/1p1p1n1p/1Pq1rN2/Q1PnP2P/4RB2/5PP1/1R5K w - -,f5g3
5rk1/pq1b2b1/3p2B1/RP1P4/1P3Bp1/7r/5PQ1/2R3K1 w - -,g2e4
r2qkb1r/1b1n1ppp/p2ppn2/1p6/4PB2/1BN2N2/PP2QPPP/R2R2K1 b kq -,d8b8
r3q2r/1b2b1k1/pp2p1n1/2p1Pp1p/P1P2P1N/2N3PQ/1B1P1K1R/6R1 b - -,e8d7
2k2r2/1p3p2/n1p1p2p/P3P1p1/8/5BP1/1qr2P1P/R1R2QK1 w - -,c1c2
rnbqkbnr/ppp2ppp/3p4/8/3p4/5NP1/PPP1PPBP/RNBQK2R b KQkq -,c7c5
3r2k1/1pR3p1/p3K1B1/1b1p2PP/1P1P4/P7/8/8 w - -,c7b7
rnbq1rk1/ppp1ppbp/6p1/8/3PN3/2P2N2/PP3PPP/R2QKB1R w KQ -,f1d3
r3k2r/1pqb1pp1/p2ppb1p/2n5/3NPP2/1BN5/PPP1Q1PP/1K1RR3 b kq -,e8g8:e8c8
Q2r2k1/5ppp/1p2p3/3bN3/1q4P1/5P2/5R1P/R5K1 b - -,d8a8
8/8/5kp1/3Rb2p/1p6/5K1P/P4P2/8 b - -,e5b2
r2qkb1r/pp2nppp/2b1p3/3p4/3QP3/2N1B3/PPP2PPP/2KR2NR w kq -,g1e2
r3kb1r/pbq2ppp/2nppn2/1pp5/4P3/3P1NP1/PPP2PBP/R1BQRNK1 b kq -,f8e7
kn6/p3bpp1/qp2p2p/2p1P3/P3bB1P/3R4/1PQ2PP1/1K5R w - -,h1d1
r1b2rk1/ppq1bppp/2n2n2/2ppP3/8/2PBPN1P/PP1N1PP1/R1BQR1K1 b - -,c6e5
4b3/5kp1/2p2p2/1pPp1P2/p2P2P1/P1PN2K1/8/8 w - -,d3b4
4r1k1/5p1p/1R4p1/2B5/1p1P4/4P1P1/4RK1b/1r6 w - -,b6b4
5rk1/1pqr1pp1/p6p/5p2/P1B1nB2/2P4P/1P2QPP1/R4R1K b - -,c7f4
8/3kb3/1p3n2/3p1p1p/3P1Pp1/1P2P1P1/4KN2/4B3 b - -,d7c6
r1bqr1k1/pppp1ppp/2nb1n2/1B2p3/8/1P2P1N1/PBPP1PPP/RN1QK2R w KQ -,e1g1
r2qr1k1/1p5p/2p2bpB/p2p3n/P3P3/2N2P2/RPPQ2RP/6K1 w - -,e4d5
1r6/5R2/2p2Ppk/1p6/4pK2/8/4B3/8 w - -,f7a7
8/p1r1kp2/1n6/4P1p1/3K1PP1/1B3R2/8/8 b - -,g5f4
3q1rk1/Q2nbppp/1pp1p3/1bPp4/1P1P4/2BNP3/4BPPP/5RK1 b - -,e6e5
5rk1/p2q2pp/2pp4/8/6N1/1P5P/PbP1Q1P1/5R1K w - -,f1e1
5r1k/p5pp/2p3r1/4p3/2Q5/2P5/PP3qPP/1R4RK b - -,f2c2
8/2B5/3p3p/1p1Ppkb1/p5p1/6P1/PP3K1P/8 w - -,c7d6
r2q1rk1/1bp2pp1/p1np1n1p/1pb1p3/4P3/P1NPBN2/BPP2PPP/R2Q1RK1 b - -,a8b8
r1bq1bkr/p5pp/2p5/n2nQ3/8/3B4/PPPP1PPP/RNB1K2R b KQ -,f8d6
r2qr1k1/1p1n1pb1/p2p1npp/2pP4/P3P3/2N1B3/1P1NQPPP/R4R1K b - -,a8c8
1r2r1k1/1bqnbppp/ppnpp3/8/2P1P3/NQN1BP2/PP1RB1PP/2R3K1 b - -,c6e5
6k1/ppp3Bp/2n1r2P/6p1/2P1q3/P3P3/1P2Q3/K5R1 w - -,e2f1
2kr2r1/pp1n1p2/4pq2/7R/5P2/2P1Q3/PPB5/2KR4 b - -,d7b6
6Q1/1q5p/3k2p1/3p1p2/7P/4P1P1/5P2/6K1 w - -,g1h2
3rr1k1/2p1qpp1/p1n2bbp/1p1np3/4N3/1BPP1N1P/PP3PP1/R1B1RQK1 w - -,b3d5
4rrk1/pp1bnpbn/2q4p/2p1p3/2PpP1NN/PP1P2P1/4B1KP/R1BQR3 w - -,e1f1
r2q1rk1/pb1n1ppp/1p2pn2/4N1B1/2BP4/2P5/P3QPPP/R4RK1 b - -,d8c7
4Q1k1/1pqr2p1/p3pr1p/3p4/8/2P4P/PP2RPPb/2B1R2K b - -,g8h7
r3k2r/pppqppbp/1n3np1/3P4/8/1PN2P2/PBPPN1PP/R2QK2R w KQkq -,c3e4
r1q2rk1/1pp1bppp/1nnpb3/7N/p1PP4/1PN1BQ2/P3BPPP/2KR3R w - -,d4d5
r1bq1rk1/pp2n1bp/3p1np1/2pPPp2/4P3/2P1B1PP/PP1NN1B1/R2Q1RK1 b - -,d6e5
6R1/p1r1r2p/1p4p1/2bBk3/2P2RKP/1P4P1/P7/8 b - -,c5e3
8/2r5/5p1p/4bB2/pP4P1/P1k5/K7/4N3 b - -,c3d2
8/3nb1pp/R3kpb1/1p1pPp2/1P1P1P2/8/3B2PP/6K1 b - -,e6f7
r2q1rk1/p3ppbp/Bpb2np1/3p4/P2P4/1QN1P2P/1P3PP1/R1B2RK1 b - -,e7e6
r2qk2r/pppnbppp/3p1n2/8/2PQ4/2N2PP1/PP3PBP/R1B2RK1 b kq -,e8g8
1nk4r/2r1n1b1/p2p2pp/1p1Ppp2/1N6/2PBBP2/PP4PP/R2R2K1 w - -,a2a4
r2q1rk1/1bpn1pbp/p1np2p1/1p6/3pPPP1/2P3NP/PP2N1B1/R1BQ1RK1 w - -,c3d4
2r1kb1r/3n1p2/p2p1Ppp/qp2p1PP/1n2P3/1PNBBQ2/1PP5/1K1R3R b k -,h6g5
2R5/6p1/P7/K2nk3/B1P2r2/8/3p4/8 b - -,d5c3
4rrk1/pb1nb1pp/1p6/1Pp5/2P1Pp2/P2P1N1P/1B3RB1/1R4K1 w - -,h3h4
3r2k1/q2nbpp1/4p1b1/p2pP1p1/N2P2Q1/1P5P/P1r3B1/R1B2R1K b - -,g6d3
1R3rk1/5pn1/6p1/2p1Q2p/2B3P1/2P1P2P/6PK/4q3 w - h6,b8f8
3r4/p7/2p2k2/1pP5/1P3p2/P7/3p4/3K3R w - -,h1h6
8/8/p2pr3/K7/2P3kb/2B5/4p3/6R1 b - -,g4f3
5rk1/2p1p2p/5bp1/8/2R5/6P1/r2BPP1P/4R1K1 w - -,d2f4
6k1/7p/1p1qp1pQ/5p2/p2Pn3/5N1P/5rP1/3R2K1 w - -,f3d2
1br1rq1k/1p3pp1/p1ppbnnp/4pN2/1P1PP3/P1P1BN1P/2B2PP1/2QRR2K b - b3,d6d5
r7/1b2krQ1/p3p3/qpb5/8/3B4/PPP2PPP/1K1R3R w - -,g7g5
8/8/pp4k1/5p2/1PP1b2p/4r3/P4KP1/5B2 w - -,f2e3
rn1qk2r/p2pbppp/2p1pn2/8/2PP4/2N2b2/PP2BPPP/R1BQ1RK1 w kq -,e2f3
2r5/4k1p1/p2Nn1pp/1p1K4/1P4PP/2PP4/1P6/5R2 b - -,c8f8
3r4/R5pk/1rp1qp1p/R3p3/1P2P3/2P4P/4QPP1/6K1 b - -,d8d7
5rk1/4pp1p/6pb/P2rp3/8/4PP2/1P2K2P/1RR5 w - -,b2b4
3R4/8/r4pp1/3p1k2/7P/5P2/4KP2/8 b - -,f5e5
r1bq1rk1/ppp1n1b1/3p2pp/3N1p2/1PPPp3/1Q2PN2/P3BPPP/1R3RK1 w - -,d5e7
r2r2k1/pp1qpp2/1n3bpp/3P4/3Pb3/1Q4P1/PP2NPBP/3R1RK1 w - -,g2e4
r1b2rk1/pppn1ppp/8/8/1b2P3/1BN1BP2/PPP3PP/R4RK1 w - -,c3d5
r1q2bk1/2p3p1/p1nppn1p/4p3/P3P3/2PPBN1P/Q2N1PP1/1R4K1 b - -,c6d8
2k5/8/8/6R1/1r2pp2/7P/4K1P1/8 b - -,b4b2
6k1/7p/pp2R1p1/2p5/2PbN3/5r1P/PP3P2/1K6 w - -,e6b6
5r1k/1p2q3/1P1pp2p/pP1p2p1/3bP3/Q3p1P1/2R3BP/2R4K b - -,d4b6
r1bqr1k1/p4pbp/1pn1pnp1/2pp4/4P3/2PP1NP1/PP1NQPBP/R1B1R1K1 w - -,h2h4
r5nr/2p2kpp/p2bbp2/Pp6/2pNP3/2N1BP2/1PP3PP/R2R2K1 w - -,f3f4
5rk1/p1p1bppp/brBqpn2/8/Q1pP4/2N1P1P1/PP3P1P/R1B2RK1 w - -,c6f3
r6r/5k2/2pq1p2/1p1p1bp1/p2P4/P1Q1PP2/1P2NKP1/3R3R b - -,h8h1
7k/R6p/6p1/2p5/p3BP2/8/5KPP/3r4 b - -,d1a1
8/5pp1/3k3p/3pp2P/6P1/5P2/1b2K3/4N3 b - -,e5e4
4r3/pp3pk1/b5pp/2P5/PR3B1P/2P2P2/2r3P1/3R3K w - -,b4e4
8/8/8/3N1k1p/3R1Pb1/2P3K1/8/7r w - -,d5e3
rnbq1rk1/ppb2ppp/4pn2/3p4/NPP5/P3P1N1/1B3PPP/R2QKB1R b KQ -,b8c6
8/6k1/2p2pbp/1pPp1p2/1P1P4/4KPPB/7P/8 b - -,g7f8
8/8/1Kp4R/2P5/2k5/8/8/6r1 b - -,c4d5
8/5r2/1pk2n1p/p1p1p3/R1Pn2pP/P1N1BP2/6P1/6K1 w - -,f3f4
6k1/5pp1/2r1p2p/1p2P3/p7/P4PP1/1P1R1K1P/8 w - -,f2e3
8/2N5/2p3k1/Pp3p1p/1n1P3P/5KP1/8/8 b - -,c6c5
r4rk1/1b1nbp1p/p2p2p1/1p2p3/3PP2N/2P3P1/1PBKNPP1/R6R w - -,d4d5
r1r3k1/p2n1pp1/2p3q1/1pPp1b1p/4nB2/PN1BP3/1PQ2PPP/2R2RK1 b - -,e4d6
1q4k1/5b1p/p3p1p1/3p4/2pP1R1b/2N1P2P/Pr4P1/1B1Q3K b - -,h4g5
rr3bk1/3q4/P4pp1/1p1Pp2p/1p6/5P1P/1P2QBP1/R2R2K1 b - -,f8d6
r1b2r2/1p1nqpkp/2pp2p1/p1n5/P2QP1P1/2N3NP/1PP2PB1/R4RK1 b - -,d7e5
rn2k2r/1p3ppp/1pp2nb1/3p4/1b1P2PN/2N1PP2/PP1K3P/R1B2B1R w kq -,a2a3
2r5/RR2pk1p/3p2p1/1P2r3/1P6/6P1/5P1P/6K1 w - -,a7a2
r2q1rk1/3n1pbp/p2p1np1/1ppP2B1/4P3/2N2P2/PP1Q2PP/2R1KB1R w K b6,b2b3
r2q1rk1/pp1nbpp1/2p1pnp1/8/3PP3/2P3PP/PP1N2B1/R1BQR1K1 b - -,e6e5
r2q1rk1/pb2bppp/1p1ppn2/2p5/2PnP3/2NP2PP/PP3PBN/R1BQ1RK1 w - -,f2f4
r1b2rk1/2qnbppp/p1n1p3/1pppP3/3P1P2/P1N1BN2/1PPQB1PP/R4R1K b - -,c8b7
4n3/1pk2pp1/2p5/p5p1/2P5/P1K1rPP1/1PBR3P/8 w - -,d2d3
r1bq1rk1/pp1pppbp/2n2np1/8/4P3/1NN1B3/PPP1BPPP/R2QK2R b KQ -,b7b6:d7d6:a7a5:a7a6
r4rk1/1p1nqp1p/p1p3p1/3p1n2/N2P4/4PN2/PPQ2PPP/R1R3K1 w - -,a1b1
rnb1kb1r/ppp1pppp/3q1n2/8/8/2N4P/PPPP1PP1/R1BQKBNR w KQkq -,d2d4
r5k1/pppb1nq1/4p2p/3p4/r6B/P1P1QP1R/2P1B1P1/2KR4 b - -,g7e5
r1bq1rk1/pp4bp/2pp2p1/4pp2/1PPnP3/P1NP3B/5PPP/R1BQ1RK1 w - -,c3e2
r5k1/1p2qpbp/2pp1pp1/p1n1r3/2P1P3/1PN2QPB/P1R2P1P/3R2K1 b - -,c5e4
r1bqkb1r/ppn2ppp/2p2n2/3p2B1/3P4/P1N1P3/1PQ2PPP/R3KBNR b KQkq -,f8e7
r2q1rk1/1b2bppp/p2p4/1pn1p3/4P3/2N3PP/PPPQNPB1/3R1RK1 w - -,c3d5
r2q1rk1/3nbppp/p2p4/2pPp3/2P2P2/2N5/PP4PP/R1BQ1RK1 b - -,f7f5
r1b3B1/pp2r1kp/2p3p1/2N5/2Qp4/3P2P1/PP1q1P1P/R5K1 b - -,d2b2
2rr1nk1/p3bpq1/1pPp2p1/4p2p/2P1PP2/1P1RBB1P/3Q2P1/3R2K1 w - -,f4e5
2r1k2r/1p1nbppp/np2p1b1/1N1p4/1P6/P1NPB1P1/4PPBP/R3K2R b KQk b3,e8g8
2rq1rk1/2p1bppp/p3pn2/1p1bB3/3P4/5NP1/PP2PPBP/R1QR2K1 b - -,c7c5
r1bqk2r/pp1nppbp/2p2np1/8/3PN3/2PB1N1P/PP3PP1/R1BQK2R b KQkq -,d8b6
8/4r1p1/1k5p/1P5P/PK4R1/8/6P1/8 w - -,a4a5
r1b2rk1/ppp1qppp/2np1n2/2b1p3/2B1P3/2PP1N2/PP2QPPP/RNBR2K1 b - -,a7a6
rq1b1rk1/3p1ppp/ppb2n2/5N2/4P3/4BP2/PP2B1PP/2RQ1RK1 w - -,e3d4
r2r4/p4pbk/2pBb1pp/1p2P3/6q1/2PN4/PP3QPP/R3R1K1 w - -,d3c5
5nk1/1Q3ppp/p3b3/8/1qr1B3/2N5/PP3PPP/5RK1 b - -,b4b7
2r1k2r/1bqnbp2/pn1p2pp/1p2p3/4P1PP/PNN1BP2/1PPQ3R/1K1R1B2 b k -,h6h5
8/2p3bk/p2p2p1/3P1p1p/2P2Nn1/3P2PB/4Q3/3q3K w - -,e2d1
6k1/pp1nppbp/2n1b1p1/2p3B1/4P3/P1N2N2/1PP2PPP/3B2K1 b - -,d7b6
r1b2r1k/p1n1bppp/1qp1p3/3nP3/1pBPN3/1P4Q1/4NPPP/R1B2RK1 w - -,c4d3
4r1k1/1q1b1ppp/2p5/3pbN2/4n3/2PBBQ1P/5PP1/1R4K1 b - -,b7c8
2b2rk1/2r3bp/p2qp1p1/3pN1P1/1p1N1P1P/P2PQ1K1/1P3R2/4R3 w - -,a3a4
4r3/4Pkp1/1pp4p/p3R2P/P3R3/8/4K3/1r6 w - -,e5f5
r1b2rk1/1pq1bpp1/p2p1n1p/4p3/4P3/1PN2n1P/PBP2PP1/R2QRBK1 w - -,d1f3
3qr1k1/1p3nb1/p2p2p1/2pP1n2/4NB1p/2N2P2/1PQ3PP/R6K w - -,c2b3
r1b2k2/2q3p1/2p1Rb1p/2Pp4/3P4/2N2NP1/5P1P/1Q4K1 w - -,e6e1
8/5Rpk/1p5p/4b3/4N3/1r2n3/2r2PP1/5RK1 w - -,f2e3
r4rk1/p4p1p/1qpn1np1/3p4/Q1pP2P1/2N1P2P/PP1K1PB1/3R3R w - -,d1b1
2rr2k1/pb2qp2/4p1pp/2Pnb3/1p2B3/1N4P1/PP2QP1P/1NR1R1K1 b - -,e7f6
8/8/8/6p1/2N2nP1/8/4pK2/3k4 w - -,c4e3
r1bq1rk1/1p1pnppp/2p5/p2Pp3/1b6/1Q2P1P1/PP1PNPBP/R1B1K2R w KQ -,a2a3
3Q4/5rkp/p2p4/P2P2P1/1p6/3BK3/P1P2p1q/5R2 b - -,h2e5
1r6/1r1n1pk1/2n1p1pp/p2pP3/q1pP1PP1/P1B2N1P/1P2R3/R3Q1K1 b - g3,c6e7
4b3/6pk/1r3p2/3B3p/3NP2P/6P1/5K2/8 b - -,e8d7
2r1r1k1/p4ppp/1pn2q2/3p4/N2Pn3/bP3NP1/P1RB1PKP/1Q1R4 w - -,d2e1
r3k2r/3p1p2/1b3p2/1pqPp2p/1p1NQ3/5PP1/PPP4P/1K1R3R w kq -,d4f5
rn1q1rk1/1bp2pbp/pp1ppnp1/8/P2PP3/2N1B3/1PPNBPPP/R2Q1RK1 w - -,d1e1
r5k1/3bbppp/p3p3/N2nP3/Pr6/1P3N2/1BR2PPP/5RK1 b - -,e7d8
4r3/pp3r1k/6p1/2p3Pp/P7/2P1n2R/1P1RN2P/7K w - -,e2g3
1r2r1k1/2p2ppp/p1pq1nb1/3pp3/4P1P1/1NPPBP1P/P1P3K1/R2Q1R2 w - -,e3a7
3kr2r/pp3p2/2pb1p2/3p1n1p/3P3P/1PN2RP1/P1P2P2/2KR4 w - -,f3f5
8/2p2p1k/3q1npp/2rP4/4p3/1Q3BP1/5P1P/3R2K1 w - -,f3g2
r1bqk2r/1p1nbppp/p3p3/3pP3/1n1N1B2/2NB4/PPP1QPPP/R4RK1 b kq -,d7c5
2br1rk1/1p2ppb1/1q1p2pp/p7/2p1P1n1/1NPN2P1/PP1R1PBP/R2Q2K1 w - -,b3a5
5rr1/4q1k1/3pPp2/2pP1RpP/ppP3P1/3Q4/P6R/6K1 w - -,h2f2
b1rr2k1/q2nbppp/4pn2/Npp5/pP2P3/P1BP1NP1/5PBP/1QR1R1K1 w - -,d3d4
6r1/1p2kpbp/2q1pn2/6Q1/1Pr5/P4NPP/4RPK1/1N1R4 w - -,b4b5
4r3/8/3p2kp/3R1p1N/4n3/7P/1P4P1/6K1 w - -,d5f5
7r/R1b1q1k1/2p1npp1/1p2p3/4P1N1/2P1B1Pn/1PB2P1K/5Q2 w - -,e3h6
2rqr1k1/p4ppp/b1pb4/2ppp2n/2P1PP2/1P1P2PP/PBQ3B1/RN3RK1 w - -,f4e5
r2qk2r/ppp1bppp/2n1bn2/3pp1B1/8/2NP1NPP/PPP1PPB1/R2Q1RK1 b kq -,h7h6
3rr1k1/pb1n1ppp/1pp1p3/6q1/1bPPQ3/1P6/P2NBPPP/2BRR1K1 b - -,g5g6
2brr1k1/5pbp/p2p1n2/qpp2PB1/P1PnP3/1PNR3P/4N1B1/3Q1RK1 w - b6,a4b5
r1b2rk1/p1qnppb1/2np2pp/1pp5/4P3/1BPP1NB1/PP1N1PPP/R2QR1K1 b - -,a7a5
5rk1/4pp2/p5r1/P2Q4/2pP4/2P1nR1K/1P3B2/R7 b - -,e3d5
8/8/R7/P4p2/1r1kp3/6P1/2K4P/8 b - -,b4a4
r5kr/pp3pp1/2q1b2p/4R3/1Q1P4/8/P4PPP/R1B3K1 b - -,a8d8
4r1k1/pbq1rpnp/1p1p2p1/2p5/P1P1P3/1P2NPP1/2Q2KBP/3RR3 b - -,g7e6
8/r7/4k1KP/8/8/8/8/5R2 b - -,a7a2
2r1k2r/p4ppp/2n1bp2/3N4/1b2p1P1/8/PPP2P1P/2KR1BNR b k -,b4c5
r4rk1/pp3pp1/5n1p/3qp3/1P6/P2PBQP1/5PKP/2R2R2 w - -,f3d5
r2qk2r/pb3p2/1pp1nbp1/8/3P3p/PP1B1P2/1B1QN1PP/R4RK1 w kq -,f3f4
r3nrk1/pp2q1pp/2ppb3/4p3/2P5/3RN1P1/PP1QPPBP/5RK1 w - -,b2b4
r3qrk1/1b2bpp1/pp2pn1p/2n1N3/2B4B/P1N1P3/1P2QPPP/2RR2K1 b - -,f6d7
3rrk2/2Rnpp2/3p2p1/3P3p/1P3P1P/6P1/1R4BK/8 b - -,d7b6
1r3k2/4pp1p/3p2p1/2pP4/4P3/PrP3P1/3R1P1P/2R2K2 b - -,b3a3
rn2k1nr/pp2b1p1/2p3qp/3p1N2/3P1B2/2N2P1B/PPPQ4/2KR3R b kq -,h8h7
r1b1rnk1/pp2bpp1/2p1pq1p/2P5/PP1P4/3B1N2/5PPP/R1BQR1K1 w - -,b4b5
r2qk2r/pp1nbpp1/2p1p1bp/3pP3/3P2PN/1N1B4/PPPB1P1P/R2Q1RK1 b kq -,g6d3
8/8/1pk5/2p4p/P1K4P/8/8/8 b - -,c6d6
8/1p2Q1kp/p1p3p1/P1P4q/3b1p2/5P2/1PB3PP/7K b - -,g7h6
5b2/1p5p/p1k1p1p1/P2pPpP1/1P2nP1P/4P3/2K1B3/4B3 b - -,f8e7
2k5/pp1r4/8/2Pp2R1/1P6/P1PK1P1r/8/R7 w - -,a1f1
r2q1rk1/pp2bppp/2p1pnb1/3nN3/3P2P1/1BN4P/PPP1Q2B/R4RK1 b - -,d5c3
4rr1k/p5pp/1n6/4P3/8/1PR2p2/PB4B1/3R2K1 b - -,f3g2
8/6pk/7p/8/P3r3/3qp1Q1/6PP/4R1K1 b - -,d3d2
1rb2rk1/2qnbppp/pp1pp3/2n1P3/P2N1P2/2N1BBQ1/1PP3PP/R4RK1 w - -,d4c6
2rr2k1/p3ppb1/1p4pp/n1n1P3/B3R2P/5N2/PB3PP1/R5K1 w - -,e4b4
5n2/7k/1p1n1pp1/p1pPp2P/P3q3/1P1NP1Q1/1BP4K/8 b - -,g6h5
r2q1rk1/ppp3bp/4p1p1/3pPnN1/3P2bP/2N5/PPPQB1P1/2KR3R b - -,g4e2
2r2rk1/p3bppp/Qpn2n2/1N2p2q/8/P3PNB1/1P3PPP/2RR2K1 b - -,f8d8
8/8/8/2K5/8/8/1k1Q4/q7 b - -,b2b1
r1b1k1r1/3nppb1/p2p3p/qppP4/4Pp2/P1N2PP1/1PPQBN1P/1R3RK1 w q -,g3g4
4r1k1/1p3ppp/2pq4/Q4n2/P4P2/2P4P/1P2R1BK/N7 b - f3,e8e2
8/3n1pp1/8/2bPp3/4Pk1p/1B3P1P/1pK3P1/5N2 b - -,c5d4
2rr2k1/p4ppp/4p3/8/1pR5/2n1P1P1/PP2KPBP/2R5 w - -,c4c3
2rr2k1/1pq1bppp/p2pbn2/4nN2/4PB2/2N5/PPPQB1PP/3R1R1K b - -,e7f8
3k2rr/4n1b1/3pR2P/pp6/2pP4/2P5/PP6/K1N4R b - -,d8d7
8/1p3p2/p1kp4/2p3p1/4q3/2P1NR2/5K2/8 b - -,e4e6
1r6/7p/p4r1k/3p3P/2nP1PRN/2PK4/P3RP2/8 b - -,b8b1
8/1p2k3/3pp3/p3b2p/P1P4P/1P1R1KP1/4r3/3N4 b - -,e2e1
r1b2k2/1p1p2b1/p3p1Q1/6P1/2q5/2N5/PPP3PP/R6K w - -,c3e4
r1b1k2r/pppnqpp1/3pp2p/7n/3PPP2/5N2/PPPN2PP/R2QKB1R w KQkq -,g2g3
8/7p/5Rpk/1p6/1r4Pn/8/7P/5R1K b - -,h6g5
3r2k1/1b2qp1p/6p1/4p1b1/P1B5/1R6/1P2Q2P/5KR1 b - -,e7f6
