8/4kp1p/3R3P/1p2P3/2bB3r/2P1K3/8/8 b - -,e7e8
r1bq1bk1/1pp3r1/p2p1n1p/2PPp3/1P2Ppp1/5B1P/PN1B1PP1/2RQ1RK1 w - -,h3g4
8/pr3qk1/6p1/2p1p1Bp/2Pp2nP/3P2P1/2Q1PP2/R5K1 w - -,f2f3
2rq2k1/p4rpp/5n2/Pppb4/3P1B2/2P2BP1/3Q3P/R3R1K1 w - -,f3d5
1r2q1k1/2rb3p/3Rp1p1/1p2P3/5Pp1/4P3/3Q2BP/3R2K1 b - -,d7c6
rnbq1rk1/ppp1bppp/4p3/3p4/2P1n3/1P2PN2/PB1PBPPP/RN1QK2R w KQ -,e1g1
rnbqrbk1/pp3ppp/4pn2/8/2pP4/P1NB2N1/1P3PPP/R1BQ1RK1 w - -,d3c4
3r2k1/p5pp/1p3p2/2r5/P3P3/5R1P/5PP1/4R1K1 w - -,f3a3
8/8/6b1/2r1k3/8/R3KP2/8/8 b - -,g6c2:g6h5
rnbqk2r/1pp1bppp/1n6/p3p3/P7/2NP2P1/1P2PPBP/R1BQK1NR w KQkq a6,c1e3
r1b2rk1/1pp2ppp/p1n2qn1/2p2N2/2B1P3/2P5/PP3PPP/RN1Q1R1K w - -,f5e3
4rbk1/2q2pn1/1p2r2p/pPN1P1p1/2NQ4/2P3P1/1P2RB1P/4RK2 b - -,f8c5
r3knr1/pp1q2p1/2n1b2p/3pPp1P/2pP1P1N/P1P3RB/2PBK1Q1/1R6 b q -,d7f7
3r4/ppk2p2/2p3p1/2R5/3P2pP/8/PP3PP1/6K1 b - -,d8d4
r2qr1k1/1pp3p1/p1n1bp1p/4p3/2N2n1N/2PP4/PPB2PPP/R2QR1K1 w - -,c4e3
2k1r2r/2p2pb1/1p2b1p1/p1p1n2p/4PB1P/P1P1NP2/1P1N2P1/2KR3R w - -,c1c2
2nr4/p1N2k1p/1pRbppp1/q2p4/3P2P1/P2BPQ2/1P3P1P/6K1 w - -,c7b5
8/8/2R5/1p1p1ppk/p2Prb2/P1B4P/1P3P2/3K4 b - -,f4h2
8/5p2/4p1k1/6pp/4KP2/r5P1/5R1P/8 b - -,g5g4
4k3/1R6/4p1p1/5pK1/1p6/6P1/r6P/8 b - -,a2h2
r5k1/3n1ppp/q3pB2/1p1p4/8/1P3NP1/P3PP1P/1QR3K1 b - -,d7f6
8/8/7p/3k4/7P/r4PK1/4R3/8 b - -,a3a8
4Q3/6k1/3p1qpp/2pP1b2/p1P2P2/P4NKP/8/8 b - -,g6g5
5k1r/1pr1qpp1/1R2p2p/P2p4/3Pb3/1P2P3/2PQNPPP/4K2R b K -,e4g2
8/6k1/1N6/1n1KP3/3P2p1/3R2P1/2r5/8 b - -,b5c3
r3kb1r/pppb4/2np1q1p/1B1Q1p2/6pP/2P1P1B1/PP2NPP1/R3K2R b KQkq -,a7a6
rnb1k2r/1pqpbppp/p3pn2/8/2PNP3/2N5/PP2BPPP/R1BQK2R w KQkq -,e1g1
6k1/1r1q2bp/p1pr4/1p3p2/1P1B1Pp1/2Q1P1P1/P6P/2RR2K1 b - -,g7d4
3r2k1/3r2p1/1R1n1p1p/2P5/p3p3/n3P1PP/3RBP2/6K1 w - -,c5d6
8/2kb2R1/p7/2PK4/8/8/8/8 b - -,c7c8
r1bq1rk1/3n1pbp/1pp1pnp1/p2p4/P1PP4/1QN1PN2/1P1BBPPP/R2R2K1 w - -,a1c1
r2qkbnr/ppp2ppp/2np4/4p3/4P1b1/5NP1/PPPP1PBP/RNBQK2R w KQkq -,h2h3
r2qkb1r/pppn1ppp/4pn2/8/3PB3/5N2/PPP1QPPP/R1B2RK1 b kq -,c7c6:f6e4
4r1k1/1R4pp/3p4/2nP4/4p1B1/6P1/5P1P/6K1 w - -,b7c7
7r/pr4p1/3bkp2/3pP2p/1P2b1P1/2P1PN2/P3NK1P/R2R4 b - -,e4f3
2r3k1/5p1p/6p1/3R4/2p5/2B1K2P/5nP1/8 b - -,f2d3
r5k1/1p4pp/p2ppq2/2p4b/P3Pr2/1PP1R3/3N1PB1/2R1Q1K1 b - -,a8f8
8/8/8/8/7K/R3nk2/8/8 w - -,a3a4
8/r6p/2k3pP/2p2pP1/2P1nP2/p1K5/4R3/B7 w - -,c3b3
r1b2r1k/ppq1b1p1/2n1pp2/3np3/3PB3/P4N2/1PQN1PPP/R1B1R1K1 b - -,c6d4
8/3R1pk1/1p4p1/2b1P2p/p1q4P/P4RB1/1P4PK/8 b - -,g7g8
r3r1k1/3q1pb1/p2n2p1/R2p4/8/3P1N2/1P1Q1BPP/5R1K b - -,d6f5
r1b2rk1/5ppp/p1p5/6B1/8/P4N2/Rb3PPP/3R2K1 b - -,a8b8
8/R3k1p1/4b2p/3p1p1P/2pP1P2/2P1N1P1/3B1K2/1rb5 b - -,e7f6
2r2rk1/1p1b1ppp/p2qpn2/3p4/Nn1P4/4PN2/PP3PPP/1BRQ1RK1 w - -,a4c3
r1b1kb1r/1p1q1ppp/p4n2/3Pp3/8/4NP2/PPP3PP/RNBQK2R b KQkq -,b7b5
2rq1r2/4p1bk/6pp/ppnp1p2/1P5P/B2PP1P1/P4PB1/1R1QR1K1 b - b3,c5a4
8/5k2/2R5/4p2P/P7/r1p5/5PK1/8 w - -,c6c7
r4rk1/2qnbppp/b1n1p3/2p1P3/p1P2B1P/1P3NP1/1P2QPBN/R3R1K1 b - -,a4b3
rnbq1rk1/pp2ppbp/3p1np1/2p5/3P1B2/2P1PN2/PP2BPPP/RN1QK2R w KQ -,h2h3
r1bq1rk1/pp2bppp/5n2/3pR3/8/3P3P/PP3PP1/RNBQ1BK1 b - -,e7d6
r2q1rk1/pb3pp1/1pnp3p/8/2Ppn3/B1PB4/P1Q2PPP/1R1R2K1 w - -,d3e4
r3kb1r/1pp2ppp/p2q1n2/3P4/5pB1/2N3P1/PPP2P1P/R2QK2R w KQkq -,d1e2
1r5k/pP4bp/2p1B1p1/2qp4/Q3bp2/8/P2R2PP/5R1K w - -,e6c8
r3kb1r/p2b1ppp/1qn1p3/2p1P3/2PpN3/3B4/PP2QPPP/R1B2RK1 b kq -,c6e5
2k2b1r/1p1r1ppp/p1n2n2/2p2b2/2B5/2N1BN2/PP3PPP/R4RK1 b - -,f8d6
r1b2rk1/1p4pp/1qn1p3/p1bp4/P1PN1Pn1/2P2NP1/1P4BP/R1BQR1K1 b - -,e6e5
7k/ppn1qr1p/4rp1R/5Q2/4N1P1/1P3P2/P3PK2/7R b - -,h8g8
r1bqkbnr/pppp1ppp/2n1p3/8/2P5/6P1/PP1PPPBP/RNBQK1NR b KQkq -,g8f6
r2r2k1/1p2qpb1/1Bp1n3/p3PBpp/2P5/1P4PP/P3R2K/4R1Q1 b - -,d8d7
6k1/1p3pp1/4b2p/4Pp2/1P1Q1P2/2N4P/6PK/5q2 w - -,b4b5
r2q1rk1/1p3pbp/3pb1p1/8/pPP5/P3BP2/3QB1PP/2R2RK1 b - -,d6d5
4r1k1/2p2qpp/1pbp1p2/2r5/2PQPP2/1P2RB1P/6P1/4R1K1 b - -,c5a5
7r/1pn1kp2/2p2pr1/4p2p/1PP1P2P/3BPRP1/R7/2K5 b - -,c7a6
2r3k1/2q1rpbp/b5p1/pN1pP3/P1n5/1BP2NQ1/6PP/R3R2K b - -,a6b5
r4rk1/1ppqbppp/2np4/5bN1/p4B1P/2PB4/PPPQ1PP1/2KR3R w - -,g2g4
1rbq1r2/1p2n1bk/2np2pp/p1p1pp2/P3PP2/NQPPB1P1/1P1N2BP/R4RK1 w - -,a3b5
8/2pbk3/1p2p3/p2p1p2/3P1P2/2P3P1/PP2B3/7K w - -,h1g2
1r1r2k1/pbpq1pp1/1pn1p2p/2P1P3/3P1PP1/1NP4P/P3Q3/R1B2RK1 b - -,c6e7
rnb1k2r/1p2qpp1/2p1pn1p/p7/2PPP3/5NP1/PPQB1PBP/R3K2R w KQkq a6,e4e5
6R1/8/8/8/4K3/7p/5k2/5r2 w - -,g8h8
5rk1/1p1qnpbp/p1r5/4p1B1/3p4/1QP3P1/PP3PBP/R3K2R b KQ -,c6c7
2k5/8/1R6/5ppp/P1P5/3P3P/6PK/4r3 w - -,b6h6
6k1/1p1b1pp1/p2p4/3n3p/4BP2/1P1Q2PP/Pq6/6RK b - -,d5f6
2rr2k1/qp3pbp/2n1p1p1/pQ1p4/P7/1BP1PP1P/1P4P1/R1BR2K1 w - -,g1h1
3r4/1b1P1pk1/4r1pp/1Bp4n/2R1p3/1P3N1P/2P3P1/3R2K1 w - -,f3h2
6k1/5p1p/6p1/8/2PB4/r2K4/pr3PPP/R7 w - -,d3e4
4rk2/5p1p/bp1P4/5P2/2pRN3/7P/P7/6K1 b - -,e8d8
r3r1k1/2q2ppp/p1bp4/1p1Np1b1/1P2P1P1/2P5/P1B2PP1/R2QR1K1 b - -,c6d5
r2qk2r/pp2bp2/5np1/2np2p1/6P1/2NBP2P/PP1B1PQ1/1K1R3R w kq -,d3c2
2r3k1/3q3p/1r2pbp1/1p1p1b2/1Q1P1B2/2P4P/B4PP1/2R1R1K1 w - -,f4e5
r1r5/p2k2pp/1p2pp2/3p4/1n1PnP2/1N5P/PP3PP1/R2RN1K1 w - -,a2a3
6k1/4ppbp/3p2p1/1p1P4/4P3/1P3PP1/P4RKP/2r5 b - -,c1b1
3R4/5pkp/6p1/p7/1b6/p1r3PP/5P2/R1n2K2 b - -,c3c2
2R2b1r/6pp/1k3p2/2p5/p1P5/1P4P1/P4PBP/2K5 b - -,a4b3
2r3k1/R4pp1/7p/1prp1P2/1q2p1P1/1Bb5/1PPQ1PP1/6K1 w - -,b2c3
r2qrbk1/1bp2ppp/p1np1n2/1p1Pp3/P3P3/1BP2N1P/1P3PP1/RNBQR1K1 b - -,c6a5
r1bq1rk1/2p2ppp/pb1p1n2/np2p3/4P3/1BPPBN2/PP1N1PPP/R2Q1RK1 w - -,e3b6
4bb1r/2k2p2/pp5p/2pBP1pP/2P2p2/6R1/PPKB1PP1/8 w - -,g3a3
2k3rr/5p2/p2bp3/3p3P/Pp1R2P1/5P2/NP6/1K5R b - -,a6a5
1rb1r1k1/p2q1pbp/2p3p1/1p2p3/P2P4/1QPBP1BP/5PP1/R2R2K1 b - -,a7a6
8/p4p1p/3k2p1/4R3/1p1K4/6P1/P1r2P1P/8 w - -,e5a5
r3r1k1/ppp2ppp/1bnp1n2/q7/4P3/1PN1B1PP/1PP1QPB1/1K1RR3 b - -,b6e3
3q3k/1pp4p/p2p2p1/3Pp3/1PPr1r2/5P2/P3Q1PP/2R1R1K1 w - -,e1d1
r7/np1k1pp1/n2Pp2p/3p4/PP1P4/5N2/3B1PPP/2R3K1 b - -,a8c8
8/1qpknp1r/p1n1p1p1/1pPpP3/3B1PP1/PPPQ2N1/1K6/3R4 w - -,g3h5
2r3k1/p1r2pp1/1ppq3p/4NQ1n/3P4/4P3/PP3PPP/2RR2K1 w - -,f5h5
1k1r4/1pp4p/p1b1q3/P3p2P/2P4K/3P4/1P2QBr1/R4R2 b - -,g2h2
r3r1k1/p3qpB1/1np4p/3p1bp1/8/2N3P1/PP2PPBP/R1QR2K1 b - -,g8g7
8/1b3p1k/p3q1pp/1p6/1P3RP1/P2QPP2/4N1K1/2r5 b - -,e6a2
6k1/5Nr1/p1q3r1/3pPQ2/2pb3p/5R1P/PP3PP1/4R1K1 w - -,g1f1
8/8/p1pk1p2/2b1p1p1/P1K1P1P1/2P2P2/1B6/8 b - -,c5g1
3r1r1k/2q5/1p1p4/p1p3pp/2P2P1n/PP1P2QP/2R5/3R2K1 w - -,f4g5
r4rk1/1b1nbppp/p3pn2/1pq5/5B2/1QN1PN2/PP2BPPP/2RR2K1 b - -,a8c8
2bq1rnk/1p3pbp/3p2p1/rNpPp2n/P1P1P2N/R5P1/5P1P/2BQRBK1 b - -,a5a6
r1bq1rk1/pp2bppp/5n2/3p4/4n3/1NPB1N2/PPQ2PPP/R1B2RK1 w - -,b3d4
r1bqrbk1/ppp2p1p/6pQ/3pP3/8/3B4/PPPB1PPP/4RRK1 w - -,h6f4
r1k1b2N/ppp3p1/2p1pb1p/8/6P1/1P6/P1P2P1P/1RBR2K1 b - -,g7g5
2rr1bk1/1bqn1ppp/pp1pp3/6P1/2PQP3/1PN3P1/PB3PBK/3RR3 w - -,f2f4
5rk1/1p4p1/p3p2p/1b1pN3/3P1q2/PP2Q3/5PPP/2R3K1 b - -,a6a5
r4rk1/ppqn1ppp/2pbp3/6P1/3P3P/2Q5/PPP2P2/1KBR1B1R w - -,c3f3
2k5/8/1p4q1/2p5/2P5/1P2RK2/5P2/8 b - -,g6f5
2rq1rk1/p2nbp1p/5np1/1p1p4/PP1P4/2P2B2/1B1N2PP/R2Q1RK1 b - a3,b5a4
r2qkb1r/pp3ppp/2n1bn2/3p4/3Q4/5NP1/PP2PPBP/RNB2RK1 w kq -,d4d1:d4a4
5r2/ppp1b1k1/4P2p/3n2p1/3r4/P2B2PP/1PP1RP2/5RK1 w - -,f1d1
r5k1/4pp1p/p5p1/1pq3N1/5Q2/1b5P/4BPP1/5RK1 w - -,f1c1
8/3k2p1/p4b1p/1p3P1P/1P4P1/P7/2K5/8 b - -,d7d6
rn1q1rk1/1b2ppbp/p5p1/1P1pN3/2pP4/2N1P2P/1P3PPB/R2QK2R w KQ -,b5a6
r1b2rk1/p1p2ppp/2p5/4p3/NbB1P2q/5Q2/PPP2PPP/R4RK1 b - -,g8h8
6k1/1Rn2p1p/6p1/5n2/2P5/8/6PP/6K1 b - -,c7e6
8/R1Q2pk1/2R1qn1p/3pp1pP/4P1P1/5PK1/1r6/8 b - -,e6e8
rnbqkb1r/pp3ppp/3ppn2/8/3PP3/3B1N2/PP3PPP/RNBQK2R b KQkq -,f8e7
r4rk1/p2nbpp1/1q2p2p/1p1p1b2/2pP4/P1P1P1BP/1P1NBPP1/R1Q1R1K1 b - -,f5h7
1r1q1rk1/p4p1p/3p2pQ/8/1p4PP/1b3P2/PPP5/2KR3R w - -,a2b3
3r1bk1/p2r1p1p/1p3P2/2p2NP1/8/2P1n2P/1P3KB1/4R3 w - -,e1e3
6k1/5p2/4p1pb/4P3/2PR3P/3N3r/4K3/8 b - -,h3e3
5bk1/5p2/6pp/p1p5/npN5/3R2P1/1P2rPKP/2R5 w - -,b2b3
2r2rk1/1p2qpp1/p1p2np1/P2nb3/8/2N1P2P/1PQB1PP1/R2R1BK1 w - -,d2e1
r2qk2r/1bp2pp1/pbnp1n1p/1p3N2/P2pP3/1BP5/1P3PPP/RNBQR1K1 b kq -,e8g8
1r6/p1p4k/1p3bR1/2nq1p2/7P/2B5/P3KP2/1R6 w - -,g6f6
5nk1/1r2q3/p1Q3p1/2B1P1b1/8/1P4N1/P6P/5RK1 b - -,b7c7
r1r3k1/4qp1p/2n1b1pb/1pP1p3/1P1pP3/3P2PB/1RQ1NN1P/5RK1 b - -,e6h3
4R3/5kpp/1pN2p2/p7/P1b5/7P/5PPK/2r5 w - -,e8c8
r4rk1/1pp1bqpp/4b1n1/p4p2/2PBp3/PP2P3/2Q1BPPP/1N1R1RK1 w - -,d1c1
2B1bk2/2n4p/pp4p1/5p2/1PNP4/P3P3/6PP/6K1 b - -,b6b5
r1b1kbnr/ppp3pp/8/5p2/8/2P3N1/PP2KPPP/2R2BNR b kq -,g8f6
3r1rk1/5pp1/p6p/1pnBP3/5PP1/P2R1R1P/8/6K1 w - -,d3d1
6k1/5p1p/B3p3/2p2p2/3r4/6P1/Pb3P1P/4R1K1 w - -,e1e2
8/1k3pp1/4p2p/7P/P7/2K3P1/5P2/8 b - -,b7b6
3nb1k1/3qb2p/2r1p1pP/1N1p2P1/PpnP1B2/6QB/5R2/5RK1 b - -,d8f7
r4rk1/1p3ppp/p7/4p3/1n6/2N3P1/PP2PPKP/R2R4 b - -,f8d8
1Rk5/3n1pp1/1p2p1p1/6P1/3P4/4P3/1P1BKP1r/6R1 b - -,c8b8
3r2k1/5p2/2p1p3/p3P3/P2r2p1/1P3P2/2P1RKP1/4R3 b - -,c6c5
5k2/1p3p2/p1b2qp1/P2p3p/5P1P/1PP1Q1P1/6B1/6K1 w - -,g2h3
r3k2r/p2qnpp1/2p1p1bp/2bpP3/Q7/1NP3P1/PP3PBP/R1B2RK1 b kq -,c5b6
r3qrk1/3nb1pp/2b1p3/2ppP3/2P2BQP/1p1P2P1/1Pn2PBN/2RR2K1 w - -,g4e6
8/8/3p1p2/k1p3pb/2P1P3/1K3PP1/4B3/8 b - -,h5e8
3qr1k1/1b1rbp1p/p2ppnp1/1p6/3BPP2/P1NR1BQ1/1PP3PP/3R3K w - -,g3f2
r1b2rk1/1p3ppp/1qn2n2/4pP2/4P3/pP3QP1/P1NB2BP/2KR3R w - -,d2g5
3r1r1k/ppqn1pp1/2p1pN1p/3nP3/8/6BP/PPP1QPP1/3RR1K1 w - -,f6h5
4r1k1/1pn1bq1n/p2p4/P1p2Pp1/R6p/1QN1B3/1P4PP/4R1K1 w - -,b3b7
3r1rk1/p1p2p1p/1p3bp1/3R4/3B2P1/3N4/Pp4P1/3R2K1 w - -,d5d8
r5r1/3q3k/4p1pb/1pp2p1p/3nPP2/1P1P3Q/2P2R1P/2B2NRK b - -,a8a2
5r2/N2b1P1p/3r1k2/3p2p1/8/5P2/PP3KPP/3RR3 w - -,e1e3
6r1/1pk2R1p/p1qNp1p1/4p1b1/P3P3/2Q5/1PP3PP/7K b - -,c7d6
8/1p2r1kp/3R4/5p2/p7/Pn3N2/5PPP/5K2 w - -,d6d5
3rr1k1/5pp1/4b2p/q3bN2/2ppP3/5B2/2P2PPP/2QRR1K1 b - -,d4d3
r2q1rk1/pp1nBppp/2p1p3/3pP3/3P4/2NQP3/PPP3PP/R4RK1 b - -,d8e7
2r1r1k1/pp1b2p1/1p1q3p/3Ppp2/PP2Pn2/4BP2/1Q4PP/R2R1BK1 w - f6,d1d2
rnbqk1nr/ppp2ppp/3B4/3p4/3P4/8/PPP2PPP/RN1QKBNR b KQkq -,d8d6
4r2k/5p2/5P1p/p4p2/2RPq3/2K4P/3Q1P2/8 b - -,e4f3
r2q1rk1/pb1nbppp/1pn1p3/3pP3/3N1P2/3BB3/PPPQ2PP/R2N1RK1 b - -,c6d4
rnbq1rk1/4ppbp/p1p2np1/1pPpN3/3P4/2N1P3/PP2BPPP/R1BQK2R w KQ -,f2f4
8/1R1bkp1p/4p1p1/1p1nPP2/4K1PP/8/8/8 b - -,e7d8
r2q1rk1/p4pb1/2pp2p1/4p1Pp/3nP3/2N1QN2/PPP2PP1/2KR3R w - -,c3e2
8/3nQ1B1/p1q2p2/3k2p1/4p3/6P1/5PK1/8 w - -,e7d8
r1bqk2r/1p1nbppp/4p3/1B1pPP2/1n1P4/5N2/PB2N1PP/R2Q1RK1 b kq -,e6f5
4k3/1p3p2/p4r2/P2rp1P1/8/5P2/1PR3K1/8 w - -,g5f6
3rrbk1/1p2qpp1/p3p2p/2Pn4/1P4Q1/P5P1/1BB2P1P/R2R2K1 w - -,c2a4
r2q1rk1/p5pp/1n1bp3/3p1p2/1P1P4/1Q2PN2/1B3PPP/2R2RK1 b - -,b6c4
r4r2/p5pk/1p2Q1b1/2qp1p1p/7R/P2B2P1/2P4K/5R2 w - -,h4h5
1rb1k2r/4n3/p1p1p1N1/3p2Pp/1qnPP2P/1P1Q4/2P5/1KBR1B1R b k -,a6a5
r4rk1/ppqbnpp1/2n1p2p/3pP3/P1pP3N/B1P5/2P1BPPP/R2Q1RK1 b - -,f7f6
3r1bk1/7p/6p1/P3P3/5P2/2p2NP1/1r5P/R4R1K w - -,a5a6
r2qkb1r/5p2/pp1p1np1/4p3/2P1P1bp/1PNQ4/P1B2PPP/R1B1R1K1 b kq -,f6h5
r1b2r2/p1p3bk/1p2p2p/3p1ppP/q2P4/2PQPN2/PP2NPP1/2KR3R w - -,a2a3
r3r1k1/ppq1bpp1/2n2nbp/2p1p3/4P3/2P2QNP/PPB2PP1/R1B1RNK1 b - -,b7b5
rnbqk2r/ppp1ppbp/3p1np1/8/2BP1B2/4PN2/PPP2PPP/RN1QK2R b KQkq -,e8g8
r4k1r/1pq1bpp1/p1bppn2/P7/4P3/2N1B1P1/1PP1QPB1/R3R1K1 b - -,a8c8
1r2r1k1/4nqb1/2n3pp/1p3p2/5P2/1NpPBQPN/2P3KP/1R2R3 w - -,e3c5
r5rk/1p1n3p/p1bb4/3p1p2/N2PpP2/1P2P2P/1PRB1KB1/2R5 w - -,c1g1
r1b2rk1/pp2bppp/2n1p3/q6n/2B2B2/P1N1PN2/1PQ2PPP/3RK2R w K -,e1g1
4k3/pprbnr2/2nR1Bpp/2pB1p2/2P5/2P4N/P4PPP/2K1R3 w - -,h3f4
2br2k1/rp3pp1/p3pn1p/2q1N3/2P2Q2/P1P2B1P/R4PP1/1R4K1 b - -,c5a5
5r2/8/4p2k/4N1pP/3R3b/4PP2/6K1/8 b - -,h4e1
r1bq1rk1/p3ppbp/1pp2np1/2p5/4PP2/2NP1N2/PPP3PP/R1B1QRK1 b - -,f8e8:d8c7:f6e8
4rbk1/5p1p/5Pp1/3P1b2/1p1N4/1P1n2BP/R5P1/3N3K b - -,f5e4
r3k1nr/pp3ppp/2n1p3/2qpPb2/8/2P2N2/PP1NBPPP/R2QK2R b KQkq -,g8e7
1k6/1pp5/p1p5/P4p2/2P2Pp1/1P1rn1Pp/4R2P/2R3K1 b - -,d3b3
r1b3k1/2qp1ppp/p1p2n2/4r3/4PR2/2N5/PPPQB1PP/5RK1 w - -,f4f6
2r3k1/5p2/6p1/2q1p1bp/1p1pP3/1Q3RNP/1Pr1RPP1/7K b - -,c2c1
rnb1k1nr/pp2ppbp/6p1/2q5/8/2P2N2/PP3PPP/RNBQKB1R w KQkq -,c1e3
8/5pr1/4pk1p/1R3P2/4P2P/5P2/7K/8 w - -,h2h3
r7/4p1kp/3p4/5p2/N1r2PnP/R1P3P1/2P5/5RK1 w - -,f1a1
r2q1rk1/ppb2ppp/1np2n2/2P1p2b/1P5N/P1N3PP/3BPPB1/R2Q1RK1 b - -,b6c4
r2qr1k1/ppp2p1p/3p2p1/1N1P4/1n6/1P2PB2/Pb3PPP/1R1Q1RK1 b - -,b2e5
rn1qkbnr/pbpppppp/8/1p6/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq -,e7e6
r2q2k1/pp1bb1pp/2n1p2n/3pP3/3P4/2PB4/4N1PP/R1BQ1NK1 b - -,g8h8
3rr3/p1q2ppk/2p1bn1p/1pb1pN2/4PnP1/5QNP/PPP2P2/R1B1RBK1 w - -,c1e3
2rr4/1p3pk1/1q2pb1p/2pnNp1b/1P6/P5P1/1BQP1PBP/R3R1K1 w - -,e5c4
6k1/pp3pp1/3bp2p/3p4/3P4/P2KP1P1/1r1N1PP1/7R w - -,h1a1
1q1r1rk1/1p1bbppn/p3p2p/4P3/PnB1Q2P/1P3N2/1B1N1PP1/2RR2K1 w - -,f3d4
r3kb1r/1bq2pp1/ppnppn2/2p4p/2P1P3/P1NPB1PP/1P2NPB1/R2QK2R w KQkq -,e1g1
