1r6/R5p1/2KP1kp1/4p3/8/1p5P/P5P1/8 w - -,a2b3
rnbqk2r/pp3ppp/2pb4/4p3/2PpP1Pn/3P3P/PP1NNPB1/R1BQK2R w KQkq -,h1g1
3r2k1/pp2qpb1/2n4p/2p2b2/2N1nBpP/1QP5/PP2BPPN/R5K1 w - -,c4e3
r4k2/pR3ppp/8/4P3/3p4/8/P5PP/5K2 b - -,a7a6
2b2k2/r4p1p/4pq2/p1P1b3/P7/3Q1BP1/1PR2P1P/3R2K1 w - -,d3d8
rn1qk2r/pbppppbp/1p4p1/8/2PP4/2Q2NP1/PP2PPBP/R1B1K2R b KQkq -,c7c5
r4r2/1pp1n1k1/2qp1p1p/4p1p1/PPPnP2P/5PP1/Q4NK1/R1B4R b - -,e7g6
8/2p1k3/1p1n1p2/p1pPp3/P1P1P1R1/1P2r3/2KN4/8 b - -,d6f7
3q1r2/3r1pbk/ppn3pp/1P6/2P1p3/2N1P1P1/1R1BQPKP/5R2 b - -,a6b5
1rr3k1/p2b1ppp/2q5/Q1p5/4p3/1NN1B2P/1PP3P1/5RK1 w - -,a5c5
7k/5Qp1/6Pp/1p2b3/p7/P7/1pq3K1/4R3 w - -,g2f3
r2qk2r/pp3p1p/2n2n2/2bbp3/2B3p1/P3P3/1P1NNPPP/R1BQK2R b KQkq -,d5g2
r1bq1rk1/pp1nBppp/2n1p3/8/2P5/2NB1N2/PP2QPPP/R4RK1 b - -,d8e7
6k1/4bp2/6p1/1p5p/3B1Q2/2P2P2/1P4PK/4q3 w - -,f4b8
r1b2rk1/1p2bppp/2n1p3/2P1P3/p1B5/P4N2/1P3PPP/R1BqR1K1 w - -,e1d1
8/4k1p1/p2rn2p/1p6/7P/8/P5P1/3R1RK1 b - -,d6b6
2rr2k1/1p3pp1/p3q2p/3n4/3B4/P3P2P/1P3PP1/1QRR2K1 w - -,c1c8
2r1r2k/6pb/3b1n1p/pP6/P1BPpP1q/2P2P2/3BQ2P/R3R1K1 b - -,e4f3
3r1rk1/1ppbqpb1/p1np3p/4p1pn/3PP3/P1P1B2P/1PBN1PP1/R1Q1RNK1 w - -,d2b3
4r1rk/1p1bq2n/3p1p1b/pN1P3N/Pn1BPp2/5R1P/1P2Q2K/3B1R2 b - -,d7b5
N2k2nr/ppR1pp1p/3pb1p1/1q6/1B2P3/5N2/P1Q2PPP/4K2R w K -,a2a3
2r3k1/p1r2pbp/1p2p1p1/2q1P3/P1P1Q3/5NP1/5P1P/R1R3K1 w - -,a4a5
8/p4R2/K7/4r3/P5k1/8/8/8 b - -,e5e6
6k1/p4p2/8/8/2PQ3p/4PNb1/1P2K1P1/1q6 w - -,d4d8
r1b1nbk1/1p2q2p/p1p1p1p1/2PpP3/PP1P4/2BB1N2/4Q1PP/5RK1 b - -,e8g7
8/2B2kb1/1P4p1/6Kp/5P1P/8/8/8 w - h6,b6b7
8/Q6k/6r1/2P5/5r2/7K/5b1P/8 b - -,h7h6
1r3rk1/2qb1pb1/2npp1pp/2n5/1R1NPN2/2P1B1PP/2Q2PB1/R5K1 w - -,b4b1
1r6/p3kp2/2p1b3/1pP1p1q1/3b2P1/3B1R1P/PPQ2P2/1K1R4 b - -,a7a5
5nk1/8/p1r3p1/4P1B1/8/1P4N1/P6P/5RK1 b - -,f8e6
r4rk1/1pp1n1pp/pb1p4/1q1Pp3/4P3/PP4N1/1B1Q2PP/2R2R1K w - -,b3b4
8/8/2k5/p1p5/PpP5/1P1RK1r1/8/8 w - -,e3e4
8/1p3r1k/1P1Kp1p1/3b2Q1/5PpP/8/8/8 w - -,h4h5
5Nk1/1p3p2/5Pp1/p2p4/P3r3/n5PP/R7/5R1K b - -,e4a4
rr2k3/2p4p/1pnbp1pP/6B1/1p2Pp2/8/PPP1N1P1/1K1R3R w - -,e2f4
r4rk1/p3p1b1/2p3pp/2N2p2/2b5/2B3P1/PP2PP1P/R3R1K1 b - -,g7c3
8/8/6R1/3kp3/3n1rp1/4K3/8/8 w - -,g6g8
r4r2/p5kp/1qp1bpp1/3np3/8/NP4P1/P3PPBP/R1QR2K1 w - -,a3c4
r7/1rk2pp1/2p1bn1p/ppn1p3/4P3/P1N1NP2/1PP1B1PP/2KR3R w - -,c3b1
8/1p1b1k1p/p3p1p1/3p4/8/1P3PN1/P4KPP/1Bb5 w - -,g3e2
2rrk3/pq3p2/1p2pQp1/4P3/8/P6P/1P3PP1/2RR2K1 b - -,c8c1
1r1r1k2/R2b3p/3p1pp1/2pP4/2P1P3/5B2/6PP/3R2K1 w - -,d1a1
5k2/R1N2p2/6p1/6Pp/1p3P2/1Pn1K2r/P7/8 w - -,e3d4
8/3k1p2/1p2p1p1/p1n1P2p/2PK1P1P/6P1/P7/3B4 w - -,d1f3
rn2k2r/p1q2ppp/1ppbpn2/5b2/3P1B2/1N3NP1/PPP2P1P/R2QKB1R w KQkq -,f4d6
8/5k1Q/1p1q2p1/2bb4/p3p3/P1B1P2B/1P5P/4K3 b - -,f7e8
2r3k1/pq2r1pp/1p1n4/2pP1p2/Pn3N2/2Q1PP2/1B1R2PP/R5K1 b - -,c8e8
r1b1q1rk/p3ppbp/2p5/5PN1/2P2p2/1P2B2P/P2Q3K/3R1R2 w - -,f1f4
4r3/6k1/p3qpp1/3p3p/1BpPn3/2P1P3/4Q1PP/R5K1 b - -,g7h6
6R1/8/8/3kp3/3p4/7r/4K3/8 b - -,h3h2
rnbqkbnr/pp2pp1p/3p2p1/2p5/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq d3,c5d4
8/8/4p3/8/2qk3Q/8/3p4/1K6 b - -,d4c3
4n3/4B3/8/3kp2p/7P/3K4/8/8 b - -,e8g7
6k1/1p3p1p/2pq2p1/5Q2/P4P2/2P4P/1P2r1BK/N7 w - -,f5g4
rn3rk1/pp2ppbp/1qp2np1/3p1b2/2P5/1P1P1NP1/PB2PPBP/RNQ2RK1 b - -,b8d7
1r6/4qbk1/1b4pp/1P6/3pB2P/3P1NP1/P2Q1P2/1R4K1 b - -,e7a7
2r1n1k1/5pbp/p2p4/1p2nR2/2q5/2N5/PPPQ2PP/5R1K b - -,g8h8
r1br2k1/1pq1bppp/p2ppn2/2pPn3/2P2N2/1PN1P1P1/PB3PBP/R2Q1RK1 b - -,a8b8
rnbqk1nr/pppp1ppp/1b2p3/8/1P2P3/P1N5/2PP1PPP/R1BQKBNR w KQkq -,c3a4
r2q1rk1/1bp2ppp/np2pn2/p2pN3/2PP4/P1Q3P1/1P2PPBP/R1B2RK1 b - -,c7c5
8/p4pk1/5npp/1p2P3/2p5/2P1p1P1/PP1rP1NP/1R3K2 b - -,f6g4
r3k2r/1pp1b1p1/4bN1p/2p5/p4P2/P6P/1PPBN1P1/3R1RK1 b - -,e7f6
r1b1r1k1/1p2qpbp/n1pp2p1/p3n3/2PNPP2/1PN1B1PP/P1Q3B1/3RR1K1 b - f3,e5d7
3rk2r/ppp2ppp/4N1n1/2p1P3/8/7P/PPP2PPB/R3R1K1 b - -,f7e6
3rr1k1/pb3ppp/8/q7/1b1N4/1P1BP3/P2n1PPP/2RQR1K1 b - -,d8d4
1r3r2/p5bk/1p3qpp/2pBp3/2P5/2NP2Pb/P1Q1PP2/1R2R1K1 w - -,c3e4
r4rk1/1p1nb1pp/1q2ppb1/p1p1P3/2P5/1P1NR1P1/PB2QPBP/5RK1 b - -,f6f5
r2q1rk1/1p2bppp/2npb3/1BnNp3/p1P1P3/4BP2/PP1Q2PP/R1N1K2R w KQ -,c1e2
r2q1rk1/p1pnbpp1/1p1pp2p/8/2PPb3/4PNBP/PP2BPP1/R2Q1RK1 b - -,f7f5
r6k/7p/7P/2Bp4/3P1P2/1PK5/q2R4/7R b - -,a2a5
3qr1k1/pp3p2/5pp1/2rpn2n/3NPBb1/1B6/PPPQ4/1K4RR b - -,g4f3
1r2r1k1/q1p2pb1/5np1/P1pP1b1p/8/NP4PP/2QB1PBK/1R2R3 w - -,c2c4
r1b1k2r/pp2pp1p/2p2bp1/3Q4/3P3P/5N2/PPP2PP1/2KR1B1R b kq -,c6d5
5rk1/2p3p1/3p1nbp/3Pp3/1PQ2qP1/3B1P1P/3R2K1/5N2 b - -,e5e4
8/5pk1/4p1p1/4P1K1/7P/2r3P1/4R3/8 w - -,g3g4
r1b1r1k1/pp2qpp1/2p2n1p/3p3n/3P4/3BP3/PPQ1NPPP/3NRRK1 b - -,c8e6
8/8/8/3q4/2Pkn3/1P6/4p3/1K2R3 w - -,c4d5
1r2k2r/2q1bppp/Q1b1p3/2P1p3/1p3P2/4B3/PP2B1PP/2R2RK1 b k f3,e8g8
4Q3/1p4pk/2p4p/1p2P3/4q3/6P1/5RKP/8 w - -,g2h3
8/p2k2r1/2p5/2Pp4/1P1Np3/P2n3P/8/5KR1 b - -,g7f7
8/4b3/pp2k3/2p1p1p1/P2pP1Pp/1P1P4/2P1KB2/8 b - -,e6d6
1nr3k1/4b1pp/1p1np3/p2p1p2/3P4/4PPP1/PP1B3P/3RNBK1 w - -,g1f2
4q3/p1pk4/1p6/3b3p/3P3Q/1P5P/P1P3PK/8 w - -,c2c4
r6r/1p4pp/pnp1k3/4p3/5P2/2N3PP/PPPR4/2KR4 w - -,c3e4
r2r2k1/1p1b1pb1/1qn1p2p/p1N5/1P1P4/P3QN2/5PPP/1BRR2K1 w - -,b4b5
rn1q1rk1/pp2ppbp/2ppbnp1/8/2PP4/1PN3P1/P3PPBP/R1BQNRK1 b - -,d6d5
2k4r/pp1n1p2/2p1pp2/2P5/3P4/1Q1R1BqP/PP6/2K5 b - -,h8h3
r4rk1/p2qppbp/1p4p1/n2P4/3NP3/4B3/P3QPPP/2R2RK1 w - -,e2b5
n7/1p3rkp/3p2p1/p1pP4/P1P2q2/2PB3P/1Q2RP1K/8 w - -,h2g1
8/8/6P1/5n1B/2k5/4p3/4K2P/8 w - -,h5g4
2brn1k1/2qp1ppp/8/1r2p1P1/p1P1P3/4BP2/K1P2Q1P/5B1R w - -,c4b5
r2q1nk1/5ppp/2pb3r/3p1b2/3P4/2N1P1P1/2QN1P1P/1R3RK1 w - -,c2f5
r4r1k/1pqbbppp/p2ppn2/8/Pn1NPP2/2NBB1Q1/1PP3PP/R4R1K b - -,b4d3
8/8/1R3k2/6p1/8/8/p4r2/K7 b - -,f6f5
r3kb1r/ppqn1ppp/2p1pn2/7b/4P3/5NPP/PPPNQPB1/R1B2RK1 b kq -,h5g6
8/5r2/1nP5/kP3Bp1/P2R2P1/5K2/5P2/8 b - -,b6a4
8/p2r4/8/2p1kp1P/7R/1P6/P5K1/8 w - -,h5h6
8/p6p/1p2p1pk/2n5/4N3/5KP1/P6r/3R4 w - -,e4f2
2R5/6n1/4p1k1/3p1p1p/2p2P2/4KN2/8/2n5 b - -,c1d3
2rr2k1/p6p/3nq1p1/4Np2/2N5/1P2P2P/P1Q2PP1/3R2K1 w - -,c2c3
2b5/2n5/1p1k1p1p/1Pp1p1p1/2P1P1P1/2K1NP2/4B2P/8 w - -,e3d5
r1br2k1/p3qp2/2n1p1P1/1p4b1/3P2p1/2P5/2Q2P2/RBB1R1K1 w - -,g6f7
4k3/1p2n1Pb/3R1K2/2P1p3/5p2/2P5/6P1/8 b - -,h7g8
8/pk6/3KR3/1P1P4/8/8/8/2r5 b - -,b7b6
r2r1bk1/p4pp1/1p5p/2pPpb1n/2P5/1PN3P1/PB3PBP/1R2R1K1 w - -,b1d1
8/5pk1/1b2p2p/6p1/2r1R1P1/5B1P/5PK1/8 b - -,b6d4
8/8/8/8/4K3/4p3/8/4k3 w - -,e4e3
8/6B1/p1p1k1p1/3p3P/PP2b3/2P4P/3R3K/5r2 b - -,g6h5
2br4/5pk1/2R4p/6p1/3r4/3B4/5PPP/3R2K1 w - -,h2h4
r1bqk2r/pp2ppb1/2p3pp/4n3/N2pPB1P/8/PPPQ1PP1/2KR1B1R w kq -,d2d4
r5k1/1b1qrppp/p7/2ppn3/p4N1P/2N3R1/PPPQ1PP1/R5K1 b - -,d5d4
3Q2k1/p2R1rb1/3R3p/2P2p2/p4Pp1/6P1/P3rNKP/4q3 b - -,f7f8
2r2r1k/p4ppp/bp2p3/1q6/P2P3P/2P3Q1/3B1PP1/R3R1K1 b - a3,b5b2
2rq3k/pb4bp/1pnp1r2/1Nn1pp2/2P2P2/1P2BB2/P1NQ2PP/3R1RK1 b - -,d8f8
r2nr1k1/1p1qbppp/p1pp1n2/P3p2b/1P2P3/1BPPBN1P/3N1PP1/R3QRK1 b - -,d8e6
r1br1nk1/pp1q3p/2p2p2/5Pp1/3PR3/2NB4/PP3QPP/5RK1 b - -,b7b6
r1b1k2r/1p1nppb1/pqpp1npp/8/P1PPPP1B/2N2N2/1P1Q2PP/R3KB1R b KQkq -,c6c5
r4rk1/1p3ppp/p1nqpn2/3p4/3P4/2N1P2P/PP1NQPP1/2R2RK1 b - -,a8c8
r1bqkb1r/pp2pp1p/2n3p1/3P2B1/3P4/2P2N2/P4PPP/R2QKB1R b KQkq -,d8d5
8/1p6/2p5/p1k4p/2P2Rb1/PPKB3r/8/8 w - -,b3b4
2r1r3/4qpk1/4p1p1/pp5p/2bP4/2P3Q1/P4PPP/1BR1R1K1 w - -,e1e5
r5k1/pbpn1ppp/7q/2p4B/2P4Q/2B3P1/P4P1P/1R2r1K1 w - -,b1e1
8/8/7K/1pp1k1P1/6B1/3b3P/5R2/6r1 w - -,g5g6
2r3k1/5rp1/P6p/5q2/1B6/3pp3/5bPP/R2Q1R1K w - -,d1b3
5bk1/8/5p2/1B5p/N1R1rPbP/P7/5K2/8 b - -,e4e2
1k6/5R2/1p1p1p2/p1pP4/B1P1K3/2Pn3r/7P/8 b - -,d3b2
r2r2k1/4bppp/p1nqpn2/1p3b2/3P4/PQN1BN1P/1P2BPP1/2RR2K1 b - -,c6a5
rn1qkbnr/pp3ppp/2p1p3/3pP3/3P4/3Q1N2/PPP2PPP/RNB1K2R b KQkq -,b8d7:c6c5:d8a5
r3k2r/p5pp/4bp2/4p3/2p1P3/2P3P1/P2N1P1P/R2R2K1 b - -,e8e7
8/6pp/4pk2/pB6/P7/Pr4P1/7P/6K1 b - -,b3a3
2qr1nk1/1bpr2pp/pp2pp2/8/2PP3P/1Q2BP2/PPB3P1/2KRR3 b - -,b6b5
1q4k1/p4ppp/4pn2/2P5/2pr4/6P1/P1Q1PPBP/2R3K1 w - -,e2e3
2rq1rk1/pb1nbppp/1p2pn2/3pN3/2PP4/1PN3P1/PB3PBP/R2QR1K1 b - -,e7b4
1R6/5pk1/1n3p2/1P1p4/8/4b2P/6P1/3B3K b - -,e3c5
r1bqr1k1/1p1n1pbp/p2p2p1/3P4/P4P2/7P/1PB1N1P1/R1BQ1RK1 b - -,d7f6
3r1rk1/p3b2p/2n1p3/1pp2pp1/8/P2PPNPP/1PPN2K1/1R3R2 w - -,g3g4
8/pp5R/4p3/8/4Krk1/8/PPP4P/8 w - -,e4e5
6rr/pppb1kpp/2n1p2n/b2pPp2/3P1P2/P1NBB2P/1PP1N1P1/2KR3R w - -,d1g1
r1b2rk1/5ppp/p2qp3/8/Pn3P2/2N1Q3/1P2B1PP/2R2RK1 w - -,c3e4
r1br2k1/1pqn1pb1/p2p1N2/4p1P1/7B/5Q2/PPP4P/2KR3R b - -,g7f6
1r6/2k3p1/2P4p/4R3/K7/3p4/6PP/8 b - -,d3d2
8/7r/B3kp2/3p1N2/P6P/2b5/2P1K1P1/8 w - -,g2g4
r1bq1rk1/1pp1npb1/p2p2pp/3Pp1B1/4P3/3P2P1/PP2NPBP/R2Q1RK1 w - -,g5e3
8/5p2/4bk2/p7/P6K/5P2/r5P1/3R1B2 w - -,d1d4
1r2rbk1/2qn2pp/p1n1bp2/1pp1pN2/3pP1P1/2PP1Q1P/PPBBNP2/R3R1K1 b - g3,d4c3
8/1Qnqkpp1/7p/1pp1pP2/4P3/1P1B1PP1/4K2P/8 w - -,f3f4
8/R4pk1/3n2p1/p1r4p/5P2/6PP/B4PK1/8 w - -,a7d7:g3g4
r1b2rk1/p2npp1p/3p1np1/qppP4/2P2P2/2PB4/P1QN2PP/R1B2RK1 w - b6,a1b1
4rr1k/1R2b1p1/5p1p/pQ6/P1P3q1/1P2P1P1/1B3P1P/5RK1 w - -,b5a5
r3r1k1/pp2qppp/2p1bn2/8/2B5/P4Q2/1B3PPP/R3R1K1 w - -,a1c1
8/6R1/3k2p1/1r2p3/8/7P/6PK/8 b - -,d6e6
rnbq1rk1/ppp1b1pp/8/3Ppp2/8/6P1/PP2PPBP/RNBQ1RK1 b - -,e7d6
r3k2r/1p3p1p/pqnbp3/2p3pn/3pP3/3P1B2/PPPB1PPP/R1Q2RK1 w kq -,f3h5
3n4/p4P2/1p1k2r1/4p3/1P1p4/6K1/P7/4RR2 w - -,g3h4
6k1/1b4pp/3r4/p1qpN3/4pP2/1P2P1P1/P2Q3P/3R2K1 w - -,d2d4
3R4/8/2p5/p1p1k3/P1P1r3/3K4/8/8 b - -,e4d4
q3r1k1/pbrn1pbp/5np1/2pp4/8/1P2P1P1/PB3PBP/QN1RRNK1 b - -,a7a6
3r1rkq/p4p2/1pp1b1p1/4P3/4PQp1/1PN3P1/P1P2R1P/3R2K1 w - -,f2d2
2r2r1k/6bp/p2R4/8/1Q3n2/2P1p3/P3Bp1P/K4R2 b - -,g7c3
8/2p2pk1/3p3p/1PbPrPp1/1p3pP1/r2B4/1R3PKP/3R4 w - -,d3f1
r1b3k1/1p6/p2N1np1/P1pP1p2/3b4/2N4P/1P4P1/R4R1K w - -,a1a3
r3k1nr/pp3ppp/4p3/3pPb2/1R1N4/8/P1P1BPPP/4qRK1 w kq -,f1e1
2kr3r/pp1bqp1p/2nb1n2/6p1/N7/1Q2PN2/PP2BPPP/R1B2RK1 w - -,e2b5
r2qk1nr/pp1n1ppp/2p1p3/3p4/1b2P3/2NP1QPP/PPPB1P2/R3KB1R b KQkq -,d5d4
4n3/8/2p1k3/6Q1/2P4r/P7/1P5P/7K w - -,g5h4
8/3nbk2/2Q1b2P/3pp3/8/PqNP2BP/1P4PK/8 w - -,h6h7
r3knr1/pp3pp1/4pn1p/3q4/1B1p1P1P/Q5N1/PPP3P1/2KR3R b q -,f8d7
1R6/2r3k1/R3n1p1/7p/4r2P/5NP1/5PK1/8 b - -,e4e2
8/8/5k1p/p4p2/1prpnN2/5B1P/PKP3P1/8 w - -,f3e2
3r1k2/p1q2pp1/4pn1p/8/2B5/1P1Q3P/P4PP1/4R1K1 w - -,d3e3
3r1r2/6k1/5pp1/1pq1p2p/p3P2P/PbP3QN/5PP1/R3R1K1 b - -,d8d2
2r3k1/2nr1p2/1p2b2p/p1pn2p1/6P1/P4PKP/1PNB4/2R1RB2 b - -,d5e7:c8d8
8/4kp2/1p6/p1p2KN1/P1P5/1P1P4/1b6/8 w - -,f5e4:g5f3
8/8/2n3p1/p1p1p2p/P3PpPk/1P3P1P/4B1K1/8 b - -,c6d4
3k3r/p2p2bp/1p4p1/3qp3/3n1p1P/3Q4/PP1P1PP1/R1B1R1K1 w - -,d3e4
2rr2k1/1q2bppp/p2p1n2/Pp1Pp3/nPP1N3/1Q2BP2/4B1PP/2RR2K1 b - -,h7h6
r3r1k1/1q2bp1p/2b1p1p1/ppP1p2n/4P3/4N1P1/PP1NQP1P/1BR2RK1 b - -,h5f6
r2qr1k1/pp3pb1/n1pB2p1/7n/2P1P3/2N2P1b/PPN1B2P/R2Q2RK b - -,d8h4
5rk1/pp4b1/4B1n1/P2Pp3/7q/8/1P1B1rR1/2RQ2K1 b - -,g8h8
8/3rkp2/4p3/8/P3q1pp/1PQ5/2R5/1K6 b - -,d7d1
1r2r1k1/p1q1bpp1/2bp1n1p/3Np3/2PpP3/3P2P1/P2Q1PBP/R1B1R1K1 b - -,f6d5
6k1/1b1r2p1/pP5p/P7/2R2PP1/7P/8/6K1 b - f3,g8f7
r6k/1bp1q1pp/1p1pBn2/3PnR2/p1P1p3/P1B3P1/1PQ4P/5RK1 w - -,f5e5
1r3rk1/1p4pp/1p1N2n1/2nR4/2P1Pp1P/2B2P2/2K5/6R1 b - h3,c5e6
3rkb1r/1bq2ppp/ppnppn2/8/2P2B2/2NQ1NP1/PP2PPBP/2RR2K1 b k -,c6a7
2bqk2r/r3npbp/p5p1/1ppN4/3n1P2/1B1P1N2/PPP3PP/R1BQR1K1 b k -,e8g8
1r6/1p5p/p1p2pk1/2Nn1p2/PP1P3P/1R2PKP1/8/8 b - -,h7h5
8/1p2p1rk/p3P2p/P1p3R1/3pP3/1P2p1PP/2P3K1/5R2 b - -,g7g5
r6r/ppp5/4Nkp1/3Pp3/8/8/PPP1N1K1/R7 b - -,a8c8
3r2k1/1b3pp1/1N2p3/P2pP3/P2Q3p/5PqP/r4NP1/3R2K1 b - -,b7a6
5rk1/pQ3ppp/P1R1pb2/3q4/r2P4/4B1P1/5P1P/3R2K1 w - -,c6c8
r1b1qrk1/1p2b2p/p3p3/3pPpp1/P1p1n3/2P1P2P/1PBN1PPB/R2Q1R1K w - -,d2f3
5n2/2R5/p4kp1/r4p1p/1r1p1P1P/1p1P1K2/4RB2/8 w - -,c7c6
r2qr1k1/p2b2pp/1p3p2/2pPN3/8/1Q3P2/PP4PP/3RR1K1 w - -,e5c6
r2qr1k1/pp3pbp/n2p1np1/2pP1b2/5B2/1QN2NPP/PP2PPB1/R3R1K1 b - -,b7b5
1q1rr1k1/2b2pp1/p3Bn1p/1p2p3/4Pn1N/P1B3NP/1P1R1PP1/3R1QK1 b - -,f4e6
r3r1k1/5p1p/ppb2bpB/3q4/P2p4/3B3P/1PPQ1PP1/R3R1K1 w - -,f2f3
2kq3r/2p2p2/Q2B1P2/1pP3P1/1P3p2/P1P5/1K6/8 b - -,c8d7
1r4k1/1p2r2p/pR2P1p1/2p2q2/P1Pb4/6P1/2R1QP1P/2N3K1 w - -,c1d3
6r1/4k2p/p7/1p1Rpp2/8/2P1PP2/PP3K1P/8 b - -,e7e6
2rr2k1/4qp2/p1pbb1p1/1p5p/3PB3/1N6/PPQ2PPP/3RR1K1 b - -,e7f6
8/2k5/p6p/PppB4/2pR4/2b5/4K3/8 b - -,c5d4
2r5/ppR1nkp1/2b4p/4PP2/8/8/PP4PP/5RK1 w - -,c7c8
