8/1Q3pk1/P6p/4p1p1/3q4/6PP/5P2/2K5 b - -,d4f2
2rr2k1/pb2n1p1/1p2ppN1/6p1/3P4/P5P1/1P3P1P/1B1R1RK1 b - -,g8f7
7r/7P/6k1/4P3/pK3PP1/8/P1p5/7R w - -,h1c1
8/7R/4k3/5p2/3Pp3/r6P/P4P1P/5K2 b - -,a3a2
rn1qkbnr/ppp2ppp/4p3/3p1b2/8/1P3NP1/PBPPPP1P/RN1QKB1R b KQkq -,g8f6:h7h6:b8d7
r4rk1/pp1qNpbp/3pbnp1/2p1p3/2P5/2NP2P1/PP2PPBP/R1BQ1RK1 b - -,d7e7
r7/1pn3kp/2p1p1p1/3p1p2/2P2P1P/1P2PP2/r1P5/1K1R1B1R w - -,b1c1
8/6k1/5p2/8/6PP/1nn4K/5P2/8 w - -,h3g2
1r2r1k1/1p2bpp1/pN2pn1p/n2pN3/3P4/4PP2/PPR3PP/2R1B1K1 b - -,a5c6
r1bqk2r/1p2bppp/p1n1pn2/2p5/P3NP2/3P1NP1/1PP4P/R1BQKB1R w KQkq -,f1g2
3r2b1/2RP3p/5p1B/p4P1k/3K2p1/P2N4/7P/8 b - -,h5h6
8/p2r1kp1/5p1p/2pq4/P1Nb1R2/1Q4P1/1P3P1P/6K1 w - c6,f4f5
7k/p6r/bppN1p2/2p2N2/3nPP2/1P1P1KR1/P1P5/8 w - -,f5d4
8/pR5p/3p2pk/P3p3/1P5n/6r1/4R3/6bK b - -,h4f3
8/5p1k/8/6Kp/8/1R4Pr/8/8 w - -,b3b5
r2r2k1/p1q1bppp/1p2pn2/6B1/8/2P2N2/PP2QPPP/R2R2K1 w - -,c3c4
r4k2/1bq3p1/2p1Rb1p/2Pp4/3P4/2N2NP1/5P1P/1Q4K1 b - -,b7c8
4r3/1pn1rk1b/p1p1p3/P1Pp1p1p/3P1P1P/2N3P1/1P1R1KB1/4R3 b - -,e8g8
r7/1p2kppp/p1p1b3/8/1P1RBP2/8/1P2PP1P/6K1 w - -,f2f3
4r2k/Rp1q2p1/2p2nQp/8/3Pp2P/4P3/5PBK/8 b - -,d7c7
2kr3r/1pqnbp2/p2Np1p1/2p1P2n/5P1p/2NQB2P/PPPR2P1/3R2K1 b - -,e7d6
8/PR3p2/5kp1/7p/5P2/1p4PP/r7/2K5 w - -,c1b1
5bk1/7p/1Br3p1/pR1p1p2/r2Pp3/2P1P2P/5PP1/2R3K1 b - -,a4b4
r1bqk2r/pp2bpp1/2n5/3p2P1/3N4/4B3/PPP2P2/R2QKBR1 b Qkq -,h8h4
r3k2r/p1ppqpbp/bnp3p1/4P3/2P2P2/BP6/P4QPP/RN2KB1R b KQkq -,e7e6
2r1b3/7k/pp2Pbpp/2pq1p2/P7/2PP2Q1/1PBB1K1P/4R3 w - -,g3h3
r7/4b1pk/1q2p2p/1p1p4/1P2p3/1Q2P1P1/4BPKP/2R5 w - -,b3c3
8/6pk/8/p2pPp2/1p3P2/3R2P1/PP3K1P/2r5 b - -,c1c2
3B2k1/5P2/7p/3n1b2/8/5K2/8/8 b - -,g8f7
r1bqnrk1/1p1nbppp/p2p4/2pPp3/B3P3/2P2N2/PP2QPPP/RNB2RK1 w - -,c3c4
r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2P5/P1N1P1P1/1P1P1PBP/R1BQK1NR b KQ -,a7a5
r1bqr1k1/pppnppbp/3p1np1/8/3PPP2/3B1N2/PPP1Q1PP/RNB2RK1 b - -,e7e5
2rqk2r/pb1nbppp/1pp1pn2/3p4/2P1P3/1P1P1NP1/PBQN1PBP/R3K2R b KQk e3,d5e4
r4rk1/pb3p1p/1pB3p1/2q1p3/3N4/1QP1P3/P4PPP/R4RK1 b - -,b7c6
r2qkb1r/3n4/p1pBppb1/2Pp1npp/P2P4/2NBPN2/5PPP/R1Q2RK1 b kq -,f8d6
R7/5pk1/8/8/P7/8/3r2PK/8 b - a3,d2a2
8/p1q1k1p1/1pP2p2/1P1Q3P/P7/5PP1/6K1/8 w - -,d5e4
4rr1k/1b3pn1/3p2p1/1p3qNp/1P2pNnP/1Q2P1P1/P2R1PB1/3R2K1 b - -,d6d5
7r/6p1/8/3kbP1P/Pp1p2K1/2pP4/P7/2B1R3 b - -,h8a8
8/5p2/R4Pk1/3P2p1/3r2P1/7K/8/8 w - -,a6d6
6k1/1p5p/1Nqb2rr/p2Npp2/Pn4p1/1P2P1P1/5P1P/2RR2KQ b - -,b4c2
8/2p3k1/1p1n1p2/p1pPp3/P1P1P3/1P6/2KN2r1/3R4 w - -,c2d3
4rrk1/p5pp/2pq4/3pn3/Q3n3/5NP1/PP2BPP1/2RR2K1 b - -,d6f6
rn1qkb1r/pp2pppp/2p2n2/3p4/4P1b1/2N2N2/PPPPBPPP/R1BQK2R w KQkq -,e4e5
8/5p2/6k1/1R4P1/4K3/1P6/5r2/8 w - -,b3b4
5r1r/2p1q1nk/1p1p1p1p/p2PpPp1/2P1P1PP/7R/PP2Q1NK/5R2 b - -,h7g8
rn1q2k1/1b1n3p/1p1RB1p1/4P1N1/1PP2P2/4Q2P/6P1/6K1 b - -,g8g7
2r2rk1/pp3p1p/4p1p1/2q5/8/P3Q1P1/1P2PP1P/1R3RK1 w - -,e3c5
1rbqr1k1/1p3pbp/p2p1np1/2p1n3/2P1P3/1PN3PP/P1Q1NPB1/R1BR2K1 b - -,b7b5
r4rk1/p1pb2p1/1pnp1qnp/5p1Q/3PPP2/2PB3P/P5PN/1RB2RK1 b - f3,f6h4
r1bqrbk1/pp3ppp/2n2n2/4p1B1/1P1pP3/P2B1N2/2PN1PPP/R2QK2R w KQ -,h2h3
5r1k/6qp/p5p1/2pP1nR1/5r2/3B4/PP5R/2K3Q1 w - -,g5g6
4r1k1/2p5/1q1p2pp/4r3/pP2P3/P3R2P/6PK/3QR3 b - -,d6d5
5r1k/1b4b1/7r/1pp1p1q1/5pP1/1P1P4/P1B2QP1/2BR1RK1 w - -,d1e1
1r6/2p2rk1/3p1pb1/p1pP2p1/2P1P3/1PN3P1/P3R1K1/4R3 b - -,f7e7
rn1q1rk1/pp3ppp/2pbpn2/5b2/2PP4/2N2B2/PP2NPPP/R1BQ1RK1 b - -,b8d7
r3nrk1/5ppp/8/1R3NP1/2nNP2P/b4P1R/1P6/1K6 b - -,a3b2
r3r1k1/1b1nqppp/1pp5/1P1pP3/p7/4P1P1/PBQ2PBP/2R2RK1 b - -,c6b5
4rr1k/p5pp/8/4q3/P2bP2B/5B2/1P4PP/R2Q3K b - -,d4b2
2r3k1/p1r2bb1/1p1q2p1/3pp3/8/1PP4P/P2QNBP1/2R2RK1 w - -,f2e3
3rr1k1/pp1b4/3q1pp1/3PNn1p/P1B2P2/8/4Q1PP/R3R2K b - -,e8e7
3r4/1bp1q1k1/1b2Ppn1/3P1Qp1/5pP1/5N2/1P1B1PK1/4RR2 w - -,d2c3
2B5/1p2kn2/p1p5/2Pp1K2/1P1P1P2/8/1P6/8 b - -,f7d8
2k1b1rr/ppp1qp2/1n2p3/3pP1Np/3P1Q2/2N3R1/PPP2P2/2K4R w - -,g5f3
6k1/5p1p/p3b1p1/2R1P3/P2p1P2/5BP1/6KP/1r6 b - -,b1b2
R7/6k1/8/5p2/5Ppp/6Pr/6K1/8 w - -,g3h4
r1b1k2r/pp1p1p1p/2n1p3/q5p1/8/3BP1P1/P2N1PP1/2RQK2R b Kkq -,c6b4
2r3k1/4pqb1/4b1p1/Q1ppP3/Pn5R/1BN2rB1/1PP2P2/1K5R w - -,a5b6
1k1rr3/ppb2Q2/2p5/2N5/3P4/2P1q1Pp/PP3R1P/5R1K b - -,e8e7
5r2/1rn2p1k/3p1n1p/1ppP1Pp1/6N1/2N4P/1PP3P1/R3R1K1 b - -,f6g4
1rbq1rk1/2n2pbp/pp1p1np1/2pPP1B1/P1N5/2N5/1P2BPPP/R2Q1RK1 b - -,d6e5
r2qk2r/pp1n1ppp/2pbpn2/3p4/2PP4/1P2PB2/PB3PPP/RN1Q1RK1 b kq d3,e8g8
3qr1k1/1pp2ppp/1p1pbnr1/8/2P1PR2/3PNQ2/P1PB2PP/R5K1 b - -,d8d7
1r3rk1/1B1nqppp/pp1b4/2p5/1P1Pp3/P3PN1P/Q2B1PP1/R4RK1 b - -,b8b7
2rq4/pp3brk/4p2p/3pN3/3P1PP1/P3R3/1P1R3K/4Q3 w - -,e3h3
4k3/2rpbp2/p1B3p1/4PpPp/3B4/5K2/P1P4P/6R1 b - -,c7c6
8/2r5/1k3K2/3Q1P2/8/8/4r3/8 b - -,c7c6
8/8/6p1/3n3p/3k3P/5PP1/5K2/2N5 w - -,c1e2
5q2/2Q3rk/pp1p1r1p/8/P7/3R2BP/1P4P1/7K w - -,c7b6
r1b1kb1r/pp3p1p/n3pp2/1N1p4/3P4/3B1N2/PPP2PPP/R3K2R b KQkq -,c8d7
3r2k1/2q1bppp/pn6/1p1bp1P1/n7/1NPQ1P1B/P1P4P/1KBR2R1 w - -,d3e3
rnb2k1r/p4ppp/1p2p1n1/2ppP3/q2P1Q2/P1P2N2/R1PB1PPP/4KB1R w K -,f4e3
4k3/6Rp/1b6/3B4/1pP3P1/7P/8/r6K w - -,h1g2
2rqk2r/1p2bpp1/p2pp2p/3b2n1/3N2P1/3QBP2/PPP3BP/2KR3R b k -,d8a5
1rbr2k1/p1p1qppp/2p2b2/8/4PB2/2PB4/PP2Q1PP/R3K2R b KQ -,f6h4
1r1r4/p4p2/N3P2p/2p1k3/8/8/PPP1n1PP/1K1R3R b - -,e2c3
r3r1k1/pb3pp1/1p3b1p/3p2P1/3P1q1P/2NQ1N2/PP3P2/1K4RR b - -,f6e7
8/5p1p/6p1/2nP4/2PkP3/5KPP/2B5/8 b - -,d4c4
r1b1k2r/p1qnpp1p/2p2npQ/1p1p4/1P1P2P1/P1N2N1P/2P1PP2/R3KB1R b KQkq g3,a7a5
r1bqr1k1/1p1nbpp1/p1p1pn1p/8/2pP1B2/P1N1PN1P/1PQ1BPP1/2R1K2R w K -,e2c4
8/2p3p1/3p1n2/p2P1p1k/2P2P1P/7K/P4N2/8 b - -,h5g6
rnbq1rk1/pp2p1bp/2pp1np1/5p2/2PP4/2NBPN2/PPQ2PPP/R1B2RK1 b - -,d8e8
rn1qk2r/pbppbppp/1p2pn2/8/3P4/1P3NP1/P1P1PPBP/RNBQ1RK1 b kq -,e8g8
8/8/2k1p3/2Pn1pBp/3PpP2/2K1P3/8/8 w - -,c3d2
2rq1r2/pp1b1pkp/3p1np1/2pPp3/3nP3/6N1/PPPQ1PPP/1NKR1B1R w - -,h2h4
r1b1qrk1/p6p/1p1n2p1/2pPppb1/2P1P3/PPNQ2P1/4N1BP/4RRK1 b - -,c8d7
8/5Rpk/7p/1BRN1p1P/3Pp3/PK2P1P1/5q2/8 b - -,h7g8
r3k2r/pbpqbppp/1p2p3/8/3PP3/1P3P2/P3NP1P/R1BQK2R w KQkq -,d1d3
3rb3/4N1k1/3PPR2/pP4Pr/P4B2/8/2p3K1/8 w - -,d6d7
1rr4k/4b2p/Q1P1q3/4p1P1/1p2N3/1N3P2/P1R3PK/8 b - -,c8c7
4r1k1/pp6/2pp1p1Q/4rP2/1PPq4/P1Nn2p1/6B1/R4K2 w - -,h6g6
2r2rk1/4qppp/p2pb3/1p1B2b1/3BP3/2P5/PP2QRPP/R6K w - -,e2f3
r1bqk2r/pp1pppbp/n4np1/3N4/1P2P3/2P1B3/P4PPP/R2QKBNR w KQkq -,e3d4
rn2kbnr/1bq2ppp/p2pp3/1pp5/4P3/2NP1NP1/PPP2PBP/R1BQ1RK1 w kq -,d1e2
r1b1r1k1/3q1pbp/1p4p1/p2pP1B1/Pn1P4/1PNR2PP/3QN1B1/R5K1 b - -,b4d3
5Q2/1pp2ppk/1b3r1p/4P3/8/2P4P/P2qbPP1/R4RK1 b - -,e2f1
2r3k1/2rq1p1p/R5p1/2pPp3/1pQ1P3/1P5P/5PP1/2R3K1 w - -,c1a1
4r3/p7/1p6/4k3/P4R2/2r3P1/4B1KP/8 b - -,c3c2
7k/p4r2/3q4/p1pP2p1/QnP3Pp/7P/4RPK1/1B6 b - -,d6f6
rnbqkb1r/pp2pppp/3p1n2/4P3/2B5/2P5/PP3PPP/RNBQK1NR b KQkq -,f6g4
2r2r2/N5kp/1p1Pp3/6Pb/8/1P1R1p1P/P2K1R2/8 b - -,c8c5
4k2r/p3npbp/6p1/Ppn1P3/8/5N2/1PP2PPP/R2R2K1 w - -,a5a6
2r2rk1/p3Rqpp/8/1p6/1Pb2P2/8/P2Q1PBP/4R1K1 b - -,f7g6
r1bq1rk1/1pp2p2/3p3p/p1nPp2P/2P1P1B1/2N3P1/PP4P1/R2QK2R b KQ -,d8g5
2r2r1k/1b1pb1pp/8/1qP1P3/pp1QNPp1/8/PP1B2BP/R6K w - -,d2b4
6k1/R6p/p2r2p1/1p3p2/1N5P/2P3n1/PPK5/8 w - f6,a7a6
r1bqk1nr/pp3ppp/2n1p3/3pP3/1bPN4/2N5/PP3PPP/R1BQKB1R w KQkq -,d4c6
3r1n2/1p6/1k2b3/6R1/7p/1P1BR3/1K5P/8 w - -,g5h5
r7/1p1kbp2/1p2b3/1n1pPp2/3P1Npp/P3B3/1P1KNPPP/2R5 b - -,b5c7
r1b1k2r/pp1n1pp1/2p2n1p/4p1P1/2B1P3/2N1RN1P/PPP2P2/2KR4 b - -,f6h5
8/pK4p1/1p6/1P6/2P3kP/8/8/8 w - -,b7a7
r5k1/3r1pp1/pp2bn1p/2pn4/4p1P1/P5KP/1PNBPPB1/2R2R2 b - -,a8c8
8/3k1p1p/1n2p1p1/pp2PPPP/2pKP3/P7/1P2B3/8 b - -,e6f5
4Q3/p1r5/kp6/n1r5/P1p1R3/K1P5/2P5/8 w - -,e8g8
rnbqk2r/ppp1bppp/8/3n4/2BP1p2/5N2/PPP3PP/RNBQ1RK1 b kq d3,e8g8
r1bq1rk1/ppp1ppbp/n4np1/8/2QPP3/P1N2N2/1P3PPP/R1B1KB1R b KQ -,c7c5
r2q1rk1/1b2bppp/pn1p1n2/1p1Pp3/P3P3/5N1P/1PB2PP1/RNBQR1K1 w - -,c1d2
r4rk1/p2nq1pp/1p1pp3/5p2/3PP3/1Q4P1/PP1N1PKP/R4R2 b - e3,f5f4
5rk1/1p5p/8/pPpPpp2/8/1P1P2P1/6K1/4R3 b - -,f8e8
3r1r1k/1n4bp/ppq1Rp2/6p1/2p3Q1/P1Pn1NB1/2B3PP/5RK1 b - -,c6c5
6k1/Q6p/3q2p1/1p1P1rP1/4pr2/2P4R/PP4RK/8 b - -,f4f3
8/1r1q2kp/ppR1bp2/3p4/1P1Q1P2/P4BP1/5P2/6K1 w - -,c6b6
4kb1r/3n1ppp/p3p3/3q2P1/1p5P/4B1N1/PPPK1P2/3Q2R1 w k -,d2e2
r1bq1rk1/1p2b1pp/1np5/p3Pp2/P2Np3/1P6/1BP2PPP/R2QRBK1 w - f6,f2f4:e5f6
r1bqr1k1/1p3pbp/2pp1np1/p1n5/2PNP3/2N1B1PP/PPQ2PB1/R4RK1 w - -,a1d1
8/Q5k1/P1b3pp/4P3/4n1PP/3p3K/8/8 b - -,g7f8
6k1/1p4p1/4p2p/p4p2/1N1RbP2/7P/PP3KP1/2r5 w - f6,b4d3
r6r/3pkppp/p1b1pn2/1p6/4P3/2N2P2/PPP3PP/R3KB1R w KQ -,a2a3
r1bqkb1r/pp2pppp/2nn4/8/8/2PB1N2/PP3PPP/RNBQK2R b KQkq -,e7e5
r4rk1/pppq1pbp/2npbnp1/3Np1B1/2P1P3/3P2P1/PP2NPBP/R2Q1RK1 b - -,f6e8
2r2r1k/pbqn1pp1/1p1bp2p/8/3PB3/2P2N2/P1QB1PPP/R3R1K1 w - -,c2c1
1k1r3r/ppp2ppp/5n2/4p3/3n3Q/2BP1q2/PPP2P1P/1K2RB1R w - -,h1g1
r3k2r/5ppp/pBq1p3/8/1b6/P7/1PPQ2PP/2KR4 w kq -,d2b4
r1br2k1/pp3ppp/2n1pb2/3q4/3P4/2BB1N2/PP3PPP/R2QR1K1 w - -,d3e4
5k2/pp1B1pp1/3P4/2P5/1P3P2/2r5/P6P/6K1 b - -,c3c4
rnb1k2r/ppp2ppp/5n2/3p2B1/1b1Pq3/2N2Q2/PPP1NPPP/R3KB1R w KQkq -,g5f6
2r3k1/5ppp/1Rn1pb2/2Pp4/3P4/r1NK1N2/5PPP/1R6 b - -,h7h6
r4rk1/1p2bpp1/2p1b2p/p7/4q3/P1N1P1P1/1P3PBP/R4RK1 w - -,g2e4
r1bq1rk1/pp1n1pp1/2p2n1p/3p4/1b1P3B/P1N2P2/1PPQ2PP/2KR1BNR b - -,b4e7
r7/8/8/8/P3p1K1/4k3/6R1/8 b - -,e3d3
q1r5/4bpkp/2p2np1/3p4/3P4/r1N1PN1P/2Q2PP1/1RR3K1 w - -,c2d1
8/p3k2p/bp1b2p1/4rp2/2P4P/3BP1P1/P1R1N3/5K2 w - -,f1f2
r3r1k1/pppn1p1p/2bp1p2/8/4P3/6P1/PPPB1PBP/3RR1K1 b - -,e8e7
b2r2k1/2p3p1/2nq1p1p/1p1np3/8/1BBP1N2/QPP2PPP/4R1K1 w - -,a2a6
r1bqkb1r/ppp2ppp/1nnp4/8/2PP4/5N2/PP3PPP/RNBQKB1R w KQkq -,f1e2:b1c3
rq3rk1/1b1pbppp/pp2pn2/8/2P1P3/P1NB1Q2/1P3PPP/R1B2RK1 w - -,c1f4
R7/2k5/4pK2/3r1b2/R7/8/8/8 w - -,a4c4
1k1r4/4r1bp/p1p5/Pq1ppQ2/1Pp3NN/2P1P3/6PP/5R1K w - -,f5g5
r2q1rk1/ppn1ppbp/1np1b1p1/8/2PP4/1B3N2/PP2QPPP/RNBR2K1 w - -,b1c3
5rk1/5Pb1/3Qp3/1q2p3/4P3/5NPK/8/2R5 b - -,g8f7
4b3/2k1b3/3p2p1/1PpPp1Pp/r3N2P/P1RB1P2/5K2/8 b - -,a4d4
5rk1/2qnbppp/ppNpp3/2r5/2P1Q3/1P1R2P1/P3PPBP/3R2K1 b - -,d7f6
r1b2rk1/1p3p1p/p2N2p1/8/4P3/3BbR1P/PP4P1/4R2K b - -,e3c5
2kr3r/ppqn1pp1/2p1pn1p/8/3P4/P1NQ1N1P/1PP2PP1/1K1R3R w - -,h1e1
r3rnk1/1bq1bppp/2n1p3/2ppP1N1/p4B1P/2PB4/PP2QPP1/R3RNK1 w - -,f1h2
5rk1/p2qprbp/1pnpb1pB/3N4/2P1N3/1P6/P2Q1PPP/2R1R1K1 b - -,c6e5
r2q1rk1/pp2ppbp/1nnp2p1/4Pb2/3P1P2/2N2N2/PP2B1PP/R1BQ1RK1 b - -,d6e5
1nr2rk1/pn2qppp/1p1p4/3Pp3/1P2P3/P3B1PP/5PB1/2RQ1RK1 b - -,e7d7
rnbq1rk1/pp3ppp/4pb2/2pp4/3PP3/2NB1N2/PPP2PPP/R2QK2R w KQ c6,e4e5
1R6/p1nr2p1/7p/1p1k4/8/3B3P/5PP1/6K1 w - -,d3b5
2rr2k1/pb2qpp1/1p2pn1p/2n5/2B4B/P1N1PP2/1PQ3PP/3R1RK1 b - -,c5d7
2brk1r1/1pq1p3/p2p1pn1/2n3p1/P2QP2p/2P2P2/2P1N1PP/R2R1BBK w - -,d4e3
rnbqk2r/p3bppp/1pp1p3/8/4PP2/6P1/PPP1Q1BP/R1B1K1NR b KQkq -,c8a6
8/3nq1kp/1p1r2p1/p1pPp1P1/P1P1P2P/2B3Q1/5R2/5K2 b - -,g7g8
1q4k1/1br1bp1p/p2pp1p1/1p5n/1P2PP2/PN1P4/N2BQ1PP/2R4K b - -,c7c1
2b2rk1/Bp1n1pbp/4n1p1/4p3/2P5/1PN2N1P/1P2BPP1/3R2K1 b - -,d7c5
1R6/8/8/8/5pk1/8/r7/5K2 w - -,b8b1
6r1/2p5/1p1r1kp1/2nPp2p/p1P2p2/P1R2PP1/1PB2K1P/4R3 b - -,g6g5
2r5/pp1bppkp/6p1/n2P4/4P3/3BKN2/P4PPP/7R b - -,f7f6
8/8/2p2p2/1n1kp3/1P4P1/1N2K3/8/8 w - -,e3d3
4k3/1R3ppp/8/p3pP2/P1r2b2/5PNK/3r3P/5R2 w - -,f1b1
r2q1rk1/1p2bp1b/p1n1p3/3pP2p/1P1P2p1/P1N1P1PB/3Q3P/R3NRK1 w - -,h3g2
8/4rk1p/p2R2p1/8/1PpN2P1/2PbpP2/7P/4K3 b - -,e7a7
r5k1/pR5p/4p1p1/3nP3/1b2RP2/7P/6PK/8 w - -,e4b4
1n2rb2/q2n2k1/p1p2ppp/2P1p3/NQ2P3/4B1PP/BR3P2/6K1 b - -,f8e7
r1b3k1/ppq1b1pp/1nn1pr2/2pp4/3P1N2/2PB1N2/PP3PPP/R1BQR1K1 w - -,d3h7
