8/4N3/3p2pb/3P4/5k2/8/4K3/8 b - -,g6g5
r4rk1/pp2ppbp/2npbnp1/q6P/3NP1P1/2N1BP2/PPPQ4/R3KB1R b KQ -,c6d4
r4r2/pppq2k1/3p2n1/3Nn2p/2B1Ppb1/P1Q2N2/1PP2PPR/2K4R b - -,c7c6
2q2r2/1pp2p1k/p4Pp1/3P3p/P3BQb1/1P4P1/5R1K/8 b - -,f8e8
2b5/2n4p/3p1p2/k3pP1N/1pPpP2P/KP1P4/8/3B4 w - -,a3b2
4kb1r/5ppp/2rppn2/1N6/4b3/2P2N2/P4PPP/1RB1R1K1 w k -,b1b3
r1bqkbnr/pp2pp1p/2np2p1/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq -,c1e3:g2g3
2r3k1/2r2pp1/3p4/1Q6/3NP2p/2N5/1PP4q/3KR3 w - -,b5g5
5k2/p3b1p1/1p2R2p/1n6/1P3PP1/8/B5PK/3rB3 b - f3,e7d6
r1bqkb1r/pp3ppp/2n2n2/3p4/3Pp3/5NP1/PP2PPBP/RNBQ1RK1 w kq -,f3e1
r3k2r/pbqnbppp/1p2pn2/2pp4/4P3/2PP1NP1/PPQN1PBP/R1B1R1K1 b kq -,e8g8
2N4k/1pq3p1/p3Qn1p/2b5/5B2/n4PP1/P5KP/5B2 b - -,c7d7
2k3r1/3nb3/2pp1p2/pp1Pp1p1/4P2r/2P1BPNb/PP5P/3RRBK1 b - -,c8c7
8/p4r2/3kp1p1/1p6/2pP2NQ/2P5/PPB3K1/8 w - -,g4e5
5r1k/6p1/5n1p/8/1pN2bP1/1P5P/8/4R1K1 w - -,g1g2
2r5/1p3b1k/p1p1q3/P2pPprB/1P1Q1P2/4P3/4K3/6R1 w - -,g1g5
1K6/4R3/6p1/7p/7P/6P1/4pk2/8 w - -,e7f7
r1nk1b1r/1p1b1ppp/p1n1p3/1N1pP3/3N1P2/1PP1B3/1P4PP/R3KB1R w KQ -,f1d3
2r1qrk1/1b2bppp/np2p3/pnp5/2Q1P3/PP1P1NP1/1B1N1PBP/3RR1K1 w - -,c4c1
r3n3/3bpnkp/3q2p1/p1pPp3/1rP5/1PQ1N2P/2BN2P1/R4RK1 w - -,d2e4
4b3/2p2k1p/p1n1pP2/1p4p1/6P1/2P2R2/P6P/5BK1 b - -,c6e5
r1b1kb1r/2q2ppp/p1pp1n2/4p3/2P1P3/1P4P1/PB3PBP/RN1Q1RK1 b kq c3,c8g4
rnb1r1k1/pp1q1pbp/3p1np1/2pP2B1/P1N5/2N1P3/1P3PPP/R2QKB1R b KQ a3,f6e4
4r1k1/5p1p/3Q1Bp1/1p2P3/5PP1/4K2P/PP2R3/5r1q b - -,h1f3
5k2/1R5p/4P1p1/2p5/4K2P/8/6r1/8 w - -,b7h7
r2q1rk1/1pp1bpp1/3npn1p/p7/2PP1B2/PQ3NP1/1P2BP1P/R2R2K1 w - -,f3e5
1rbqk1nr/pp2ppbp/2np2p1/2p5/2P5/2N1PNP1/PP1P1PBP/R1BQ1RK1 b k -,g8h6
8/1p5p/1p1k2b1/6P1/2PK1P2/P2pB3/1P6/8 b - -,g6f5
r2q1rk1/pp4pp/2np1n2/4pb2/2Pp4/3P1NPP/PP3PB1/R1BQ1RK1 b - -,d8d7
8/8/7p/3knBp1/1p4P1/1P4K1/8/8 b - -,d5d4
3r1nk1/pb1qbppp/1p2p3/1Pp1P3/P1P1N3/2Q2NP1/5PBP/4R1K1 w - -,a4a5
8/5k2/p2p2p1/P2Ppb2/2P5/2K1B3/5R2/r7 w - -,c3b4
8/3r1k2/p4p1p/1pRn1pp1/1P1PrP2/P2R1KPP/8/2B5 w - -,c5c6
8/7p/6p1/6k1/p5P1/2R2PK1/3r4/8 b - -,d2b2
r1bq1rk1/pp1n1ppp/2pb1n2/4p1B1/4p3/1BPP1N2/PP3PPP/RN1QR1K1 w - -,d3e4
1r4k1/r3qnpp/p7/P2B4/Rp6/1Q6/5PPP/1R4K1 w - -,a4b4
8/8/1pr1pk2/8/P4RKP/8/8/8 b - -,f6e5
r3rbk1/1bqn1p2/p2p1np1/1p1Pp2p/P1p1P2P/2P3N1/1PBB1PPN/R2QR1K1 b - -,f8g7
2r5/2r1pkn1/p2p1p2/3q4/1p2NPR1/1P6/P1P5/1K2R2Q b - -,d5f5
6kn/6p1/3B2r1/3K4/4Q3/8/8/8 w - -,d5c6
2rr4/pbp3k1/1p1n1p2/4p3/6pp/P2BB3/1PR2PPP/2R3K1 b - -,c7c5
5r2/8/8/8/8/3bk3/3R4/4K3 w - -,d2e2
r2r2k1/pp2ppbp/1qn2np1/2pp1bB1/3P4/1QP1PN1P/PP1NBPP1/R2R2K1 b - -,f6e4
1rbN1nk1/5qbp/3p2pn/1ppP4/5PP1/N2Q3P/1P3BB1/4R1K1 b - -,f7f4
r1b2rk1/1p2pp1p/2p3pb/p1q1P3/P2N1n2/2P3B1/1PQ2PPP/R3RBK1 b - -,f4e6
8/5k2/5Ppp/2p5/B3N1N1/5K1P/1r4P1/8 w - -,g4e5
2r5/5q1k/4p2p/p2bPpp1/P1p1p3/1PP1B1P1/1Q2P2P/5RK1 w - -,b3b4
8/1p1k2rp/1p6/b2Pp1p1/P3P3/B2K4/6PP/5R2 w - -,f1f5
r2qk2r/ppp2pp1/2npBn1p/2b1p3/4P2B/3P1N1P/PPP2PP1/RN1QK2R b KQkq -,f7e6
r3nrk1/1ppbqppp/n2p4/p2Pp3/1PP1PP2/P1N3P1/3QN1BP/1R3RK1 b - f3,a5b4
rn3k2/1bq2ppp/pp2pn2/4p3/P1P5/1NPB4/4QPPP/R4RK1 b - a3,a6a5
2r5/6p1/4pk1p/p2n4/1p1P3P/2rBP3/PR3P1K/3R4 b - -,c3c1
r5k1/1b1r1p1p/1nq1p1p1/2p1P3/p1P5/1PB5/P1B1QRPP/4R1K1 b - -,a4b3
1r3rk1/pq2pp1p/1p1p2p1/3Pb3/8/1P1Q2PP/P3PPB1/2R2RK1 b - -,e5b2
1rr3k1/1p1R1ppp/p3p3/n1B3b1/1P6/5B2/P1P2PPP/1K1R4 w - -,c5d6
r4rk1/5p2/p3p2q/1p1bN1bQ/3PnP2/1BPR4/P5PP/5RK1 w - -,h5g4
1r1q2k1/1pR2p2/p3p1p1/3pNnPp/3P1P1P/4P3/PPQ2K2/8 b - -,f5d6
2k5/R7/8/6p1/8/1b4P1/1K2nNP1/8 b - -,b3d5
3b4/5p2/5p2/p2k1P1p/P1p2P1P/2P2KP1/8/1N6 b - h3,d8b6
2rr2k1/1b1nbppp/pq2pn2/1p6/3N4/PPN1PB2/1B3PPP/2RQ1RK1 w - -,f3b7
1k2r3/1p4p1/3r4/7q/P4b2/2P2N1P/1PQp1PK1/3R2R1 w - -,f3h2
6k1/4p3/3p2p1/3P1p2/r3rP1p/4NKP1/5B2/3R4 b - -,h4g3
8/4qbk1/5pp1/2N4p/3p3P/1Q6/1P3PPK/8 w - -,b3b4
r1b2rk1/pp2q1bp/1n3pp1/1N1n2B1/8/5N2/PP2BPPP/R2Q1RK1 w - -,g5d2
1rbq1rk1/4ppb1/p2p1np1/1ppP3p/4P2P/2PnBP2/PPQ1B1P1/R2N1RK1 w - -,e2d3
4r1k1/q2b1ppp/1b1n4/1p1Pp3/pP2P1n1/N1BB2NP/1Q3PP1/5RK1 b - -,g4f2
r1bqkb1r/pp5p/2p2ppn/2p1p3/4P3/2NPB2P/PPPQ1PP1/R3K1NR b KQkq -,h6f7
3r2k1/1pq1r1p1/p1pNppbp/1PPn4/P2P4/1Q4P1/1R3PBP/4R1K1 b - -,a6b5
8/6k1/2R4p/5pp1/8/6P1/4r2P/6K1 w - -,c6a6
1r4k1/1r1R1p2/1p4pp/p7/6PP/P7/1P3PK1/3R4 b - -,g8g7
8/1p6/p6p/P4kp1/4R3/1r6/1P2K2P/8 w - -,e4e7
2r1r1k1/1p2qp1p/p2b1np1/P1np4/1P6/4P2P/1B2QPP1/R2RNNK1 b - -,c5e4
8/b4kp1/7p/3N1p2/7P/PR3PP1/6r1/3K4 b - -,a7f2
rnb2rk1/1pq1bppp/p2ppn2/8/2PNP3/2N1B3/PPQ1BPPP/R4RK1 b - -,b7b6
2r1k2r/qp1bnp2/p3p1p1/P2pPn1p/1P1N1P2/2PQ2PB/4NR1P/R5K1 b k -,f5d4
6rk/6r1/2p2p2/1pPp2bp/p2P1Q2/P1B4P/1P3PR1/6RK b - -,g5f4
r1q2k2/1R2p3/3p1pp1/2r4p/P3P2P/1Q4P1/1R3P1K/8 b - -,c5a5
2rr3k/p4pp1/1p5p/n1ppNq2/3P4/Q1P1P3/P4PPP/R3R1K1 w - -,a1c1
r1bqk2r/p2n1ppp/1pp1pn2/3p4/2PP4/5NP1/PP1QPPBP/RN3RK1 w kq -,f1c1
1rq3k1/4bppb/2Pp1n1p/1p1Pp3/4P1P1/4R2P/2BB1P2/1Q2N1K1 w - -,e3b3
r1b1kb1r/pp3p1p/1qn1p2p/3pP3/3P4/5N2/PP1QBPPP/RN2K2R b KQkq -,c8d7
r2q1rk1/ppp1b1pp/1n2bp2/4p3/N2B4/P2P1NP1/1P2PPBP/R2Q1RK1 b - -,e5d4
r1b1kb1r/3p1p1p/3qpp2/1B6/P4P2/2P1B3/3Q2PP/1R2K2R b Kkq a3,d6d2
r1b5/1p4k1/p3nb2/4Np2/5B2/1B6/PP4P1/3R2K1 w - -,f4h2
8/1p3k2/2b2b1P/2Pp1B2/3P4/8/4KB2/8 w - -,e2d3
r5k1/1pbr1pp1/7p/8/p1P4P/P4NP1/5P2/2R1R1K1 w - -,c1d1
r1q1k2r/pp1nbppb/2pppn1p/8/2PP2PB/1QN1PN1P/PP3PB1/R3K2R w KQkq -,e1g1
8/2R5/1P6/7p/3p2p1/3k2K1/1r4PP/8 w - -,b6b7
3r2k1/5ppp/8/p7/5P2/2R3P1/7P/6K1 b - -,a5a4
2rb1rk1/pb1n2pp/1p1P4/4pp2/2q5/P1N1R1P1/1B3PBP/R2Q2K1 b - -,b7g2
1r1q2k1/ppp2p1p/5b2/1Q1p2p1/3P4/2P3P1/PP3PP1/R4NK1 b - -,c7c6
rnbq1rk1/pp2b1pp/2pp1n2/4pp2/2PP4/2N1P1P1/PP2NPBP/R1BQK2R w KQ -,e1g1
r7/pp1b1nk1/1qn1p3/3p1p2/1b1P1Q2/1P3NP1/PB2BPK1/RN6 w - -,b2a3
r3k2r/pp1bppbp/3pn1p1/3N4/2P1P3/1P2B3/P2q1PPP/2R1KB1R w Kkq -,e1d2
r1b1k1nr/ppq2ppp/2p5/2b3BQ/3pp3/1B1P4/PPPN1PPP/R4RK1 b kq -,c8f5
r1r3k1/3n2p1/bppqp2p/p2p1p2/2PP4/1P2PN2/PQ2BPPP/2R1R1K1 w - -,f3d2
4n1r1/1r6/p2p1pk1/P1pP1N2/1pP1PRPP/1R5K/8/8 w - -,f4f2
r1bq1rk1/p2n1ppp/1p1ppn2/2p5/1PP5/P1Q1PN2/3PBPPP/R1B1K2R w KQ -,e1g1
2b1r1k1/p6p/2p1p3/8/2B2p2/1P2R3/P5PP/6K1 w - -,e3e4
rnbqkbnr/ppp2ppp/8/3pp3/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq d6,e4d5
rnbqk2r/1p3ppp/p2ppn2/8/2PNP3/2PB4/P4PPP/R1BQK2R w KQkq -,c1a3
b2r2k1/p7/2p1p3/2Np4/5P2/4P1P1/P4K1P/1R6 b - -,g8f7
6Q1/8/8/8/8/p4k2/K5q1/8 w - -,g8g2
r7/pr2knpp/4pp2/2RpP3/Rn1P2P1/2K2N1P/1P2BP2/8 b - -,a8b8
4r2k/ppq2pp1/2p2nbp/8/3Pp3/PB2P3/1PQN1PPP/2R3K1 b - -,f6g4
r4rk1/pbqpbppp/4pn2/2p5/Q1P2B2/1P3NP1/1P2PPBP/R2R2K1 b - -,d7d6
r3r1k1/pp3ppp/1q6/1Nbpnb2/4n2B/P2B1N2/1P3PPP/2RQ1RK1 w - -,f3e5
1kq5/2r2p2/1pPr1p2/3PpP2/1R1bB2p/P2Q4/K1R3PP/8 w - -,g2g3
8/5kp1/2R5/8/1p5P/5PK1/1r4P1/8 w - -,h4h5
6r1/4k3/1P2p3/5n2/2N1Nb2/1R5K/8/8 w - -,b6b7
rn1qkbnr/pp3ppp/4p3/3p4/8/5BP1/PP1PPP1P/RNBQ1RK1 b kq -,b8c6:g8f6
3r4/pp2k3/4p1pp/8/2NbnP2/6PB/Pr5P/R3R2K b - -,b2c2
r7/2q1kp2/n1p1p1pr/1pPpN1RP/p2P4/P3PP2/1PQ5/2K3R1 b - -,g6h5
8/pb2rpk1/1pp4p/3p4/2P2R2/1B6/PP2r1PP/5RK1 w - -,b3d1
6k1/p4p2/1prpp2p/6p1/2P1P3/1P6/P2R1PPP/5K2 b - -,g8f8
2r2bk1/R4p1p/p4rp1/Bpn1p3/7P/2P2PP1/PP6/1K1RN3 b - -,e5e4
1r4k1/3nppbp/3p2p1/3P4/nPN1P3/5PP1/3B2KP/1R1N4 b - b3,f7f5
8/3r4/2kp1p2/2pR2p1/2P3P1/3K1PB1/8/8 b - -,d7d8
3r1rk1/pp2qp2/1bp3pp/4P2n/3NPPB1/PQN5/1P4P1/3R1RK1 b - -,d8d4
8/1k6/1p1B1N2/1P4pp/4K1Pr/5N2/8/8 b - -,h4h1
8/2r3k1/6p1/4r3/4n3/R1P5/6R1/2K5 w - -,a3a6
r4rk1/1q1n1pbp/2p1p1p1/p1Pn4/B2P1B2/2N2Q1P/1P3PP1/3RR1K1 b - -,f8c8
8/5p2/4pB2/2pk2Pp/b7/P1K3P1/8/8 b - -,a4b5
r2qk2r/pp1nnpb1/2p1p1pp/3p4/4P1PP/2NP4/PPPBBPQ1/R3K2R b KQkq -,d5d4
3b1k2/1b3p1r/ppp2p2/2p2N2/P3P1pP/1P1PN1K1/2P5/7R b - -,d8c7
1r2r1k1/p1Rn1ppp/qp2p3/7b/1Q1PN3/P5PP/1P3PB1/R5K1 b - -,d7f6
1k1r3r/ppq2pp1/2pbn2p/5B2/PP6/2B3PP/2Q2P2/R2R2K1 w - -,b4b5
3r2k1/5p1p/p3p1p1/1pb1P3/2prBP1P/P4R2/1PPq2PK/4RQ2 b - -,c5e7
b1r1r1k1/2q1bppp/pn1ppn2/1p2P3/3N1P2/P1N2BB1/1PP3PP/3RQR1K b - -,d6e5
rnbq1rk1/p3bppp/1p2pn2/2pp2B1/3P4/2PBPN2/PP1NQPPP/R3K2R b KQ -,b8d7:b8c6
3q3k/6bp/1R5p/p1rNpQ2/4P3/7P/P5P1/7K b - -,h6h5
6k1/p2r1ppp/1p6/2bP4/5P2/6P1/6KP/3Q4 w - -,h2h4
3qN3/3r3k/bP4pp/p2RQ3/P7/7P/6P1/7K b - -,d7e7
2rr2k1/2nbbppp/pqn1p3/1pp1P3/2P1N3/P2P1NP1/4QPBP/1RB1R1K1 b - -,h7h6
2r3k1/1br1qpp1/1p1bpn1p/p2pN3/P1PP4/1PB2Q1P/2RN1PP1/1R4K1 w - -,f3e2
2rq1rk1/1b4R1/4p1pp/p2pn3/1p1N2Pb/3Q4/P1B4P/B1RN3K b - -,g8g7
r1b1rbk1/1p1n1pp1/p1p2q1p/3p4/NP1P4/P2BPN2/2Q2PPP/R4RK1 b - -,f8d6
rnb2rk1/1pqpbppp/p3pn2/8/2PQ4/1PN2NP1/P3PPBP/R1B2RK1 b - -,b8c6
8/8/5R2/8/4r3/8/3p4/3k1K2 w - -,f6c6
r2r2k1/1pp1qpbp/2nNp1p1/p4b2/3P4/PP2PN2/1B2BPPP/2RQ1RK1 b - -,e7d6
q1n1r1k1/3b1pb1/2N3p1/3Pp2p/4P3/2QB1N1P/5PP1/1R4K1 w - -,b1a1:b1b8
5B2/8/p4pp1/3k2p1/1Pb5/P6P/3r1PPK/2R5 w - -,h2g1
8/5p2/1p1kp2p/1P2n1p1/3K2P1/7P/6B1/8 b - -,e5g6
3rb1k1/p4ppp/1pn1p3/8/4B3/2P1B1P1/P3PP1P/R5K1 w - -,e4c6
8/5pk1/r2p1b2/p1pP2p1/P1P3P1/1R5P/6K1/4B3 b - -,a6a8
8/8/3k3p/2bP2p1/8/2r2PP1/K3R2P/8 b - -,c3e3
5rk1/p4rpp/1ppb4/3p1q1n/8/P3B2P/1PPQNPP1/3R1RK1 b - -,f5e5
6k1/2p2ppp/8/pB2q3/Pb4P1/7P/1P3B2/R5K1 b - -,b4c5
7Q/5q2/6k1/1p1p2p1/p2Pp2n/2P3N1/7K/8 w - -,h8h5
6rk/6qp/2p1p3/prPp1p2/3P2n1/RP2P2R/2B1Q1PP/6K1 w - -,e2d2
3r1rk1/p4ppp/1q2p3/2R5/8/4Q1P1/PP3P1P/5RK1 w - -,e3c3
8/5p2/6k1/1R6/p4Kp1/2P3P1/rP4P1/8 b - -,a4a3
r1b2rk1/1pbnqpp1/2p1p2p/p7/2QPN3/4PN2/PP3PPP/1B1R1RK1 b - -,d7f6
6k1/5pp1/1p2p1np/p1p5/2P5/2B1Q3/P4KB1/2q5 b - -,c1c2
1r2rbk1/1pp2p2/p1n1q1pp/4p3/Q3P3/P1R1BNP1/1P2PPKP/2R5 w - -,b2b4
2r2rk1/1bqp1ppp/p1n1p1n1/1p6/3NPb2/2P1B2P/PP1NQPP1/1BR2R1K b - -,c6d4
r3r3/1p2bk1p/2p1b1p1/1p1p4/4BP2/PP4PP/1BPR3K/R7 w - -,e4d3
8/R7/4p3/3k1rN1/6K1/8/8/8 b - -,f5f6
r4rk1/pp2ppbp/2bp1np1/q7/2P1P3/1PN1B1PP/P4PB1/2RQ1RK1 b - -,f8c8
1k6/2p2n1p/1p4p1/4p3/p3N2P/2P3P1/2KRRP2/q7 b - -,a1a2
rn1q1rk1/1b1pbppp/p4n2/1p2p1B1/4P3/PNNB4/1PP2PPP/R2QK2R w KQ -,e1g1
4n3/3q1k1p/1Qb2p2/1p2pP2/1Pp1P2P/2P3N1/2B5/4K3 b - -,f7g7
8/8/1N4p1/5p2/1PP3k1/P4r1R/7P/6K1 b - -,f3h3
6rk/p4p1n/1p2r1nQ/3pP2N/3P2P1/P2q1P2/3R3P/5RK1 b - -,d3a3
r1bqk2r/pp3p1p/3p2pQ/2pPp3/3n4/3P4/PPP1NPPP/2KR1B1R b kq -,d4e2
6k1/5R2/6K1/8/8/8/8/6b1 w - -,f7f1
n4r1k/7p/3r3p/PB1p1p2/1P1Nb3/2R3PP/7K/3R4 w - f6,d1f1
r3r1k1/p2n1pp1/1qp1bb1p/3p4/8/2BB1Q1P/PPP1NPP1/R3R1K1 w - -,c3f6
5rk1/1br2pbp/p3p1p1/1p1nN3/1P1P1P1q/PB6/1B1QR1PP/3R2K1 w - -,e2f2
kq1r2r1/pp2npp1/2p1p1p1/4Q3/2PP2PP/P7/1PB2P2/1K1R3R w - -,e5e3
5k2/8/5P1K/6p1/P3n1P1/6P1/1p6/1B6 b - -,e4c3
r1bq1rk1/1p1nbppp/2pp1n2/p3p3/P2PP2N/2N3P1/1PP2PBP/R1BQ1RK1 b - -,e5d4
rnbq1rk1/pp2ppbp/3p1np1/2pP4/2P1P3/2N2P2/PP4PP/R1BQKBNR w KQ -,c1e3:c1g5:g1e2
8/1b4kp/p5p1/5pn1/N1BPp3/1P4P1/P6P/6K1 b - -,g5f3
1R6/8/6pk/5p2/4pP1K/4P1P1/8/3b4 w - -,b8h8
5b2/pp3k1p/2pnnppB/3p4/3P2P1/1PPN3P/1P2KP2/4N3 w - -,h6e3
r1b2rk1/2qnbppp/p1pp1n2/1pP1p3/3PP3/1PN2NP1/PB3PBP/R2Q1RK1 b - -,f8d8
r1b1r1k1/1pq2pb1/p1n3pp/4p2n/1P1pP3/P2B1NBP/2PNQPP1/RR4K1 w - -,g3h2
1r2b3/5pkp/5p2/3R4/3p4/3B3P/2P2PP1/6K1 b - -,b8b4
3r2k1/6pp/4q3/2Pp4/1pnN1P2/6P1/7P/1R4K1 w - -,d4e6
r4rk1/pp1nqppp/2n1p1b1/2ppP3/3P1P2/2N5/PPPQN1PP/2KR1B1R w - -,h2h4
rn1q1rk1/pp2ppbp/2p2np1/3p4/1PPP2b1/2N1PN2/PB3PPP/R2QKB1R w KQ -,d1b3:h2h3
5r1k/8/P1R2P2/6N1/6Kp/8/5b2/8 b - -,f2d4
r1b1k2r/pp1n1ppp/4pn2/q1pP2B1/3P4/P1P5/3NPPPP/R2QKB1R b KQkq -,c5d4
rq3rk1/pp2bppp/2ppbn2/2P1n3/3QPB2/1PN3P1/P3NPBP/3R1RK1 b - -,f8d8
r1bq1rk1/ppp2ppp/2n1pn2/3p4/QbPP4/3BPN2/PP1N1PPP/R1B1K2R b KQ -,d5c4
r2qkb1r/pb1n1ppp/1p2pn2/6B1/3NP3/P1N5/1PQ2PPP/2KR1B1R b kq -,d8c7
r2r2k1/1bq1bppp/p7/3Pp3/2B3P1/P3BP2/1P3Q1P/3RK2R w K -,b2b3
3r2k1/3rppbp/qp1P2p1/p3P3/P1b5/1NR2QN1/1P4PP/3R2K1 w - -,f3c6
r1bqk2r/1p1n1ppp/p1nbp3/3pP3/3B4/5N2/PPP2PPP/R2QKB1R w KQkq -,e5d6
r5k1/5p1p/6pb/NR2p3/1pn1P1P1/2q5/Q4PP1/3R2K1 b - -,c4b2
5rk1/5ppp/2pNb3/4Q3/r3P3/3q4/5PPP/2R2RK1 w - -,c1c6
8/6r1/5p2/2p1k3/2p1PbKp/2P4R/1P2RP2/8 w - -,g4f3
r1b1k2r/1p1nppb1/pq1p1npp/2pP4/P1P1PP1B/2N2N2/1P1Q2PP/R3KB1R b KQkq -,a8b8
4r1k1/3R2bp/p2B4/1p3p2/rP4p1/4P1P1/5P1P/2R3K1 b - -,g7f6
r4rk1/p1B2p1p/B3p1p1/3b1n2/P2P4/2R5/1P3PPP/3R2K1 w - -,b2b4
1R6/1br1k3/1pp2p2/1P4p1/P3B1P1/4KP2/8/8 w - -,a4a5
4rr1k/pp1q3p/5bp1/2pp1n2/P3BP2/2PP2PP/1P1B2Q1/R4RK1 w - -,e4f5
8/8/8/4p3/5p2/1B2nP2/3k1KP1/8 b - -,d2c3
8/6k1/1p6/4bPP1/P3N3/8/1pK5/8 w - -,e4d2
8/7p/1R3pk1/2r5/5BKP/8/8/8 w - -,b6a6
r1bq1rk1/pp1nb1pp/2n1pp2/3pP3/3P4/3B1N2/PP3PPP/RNBQR1K1 w - -,e5f6
8/5p1p/p2kb3/1p2pp2/1P2P3/8/P4PPP/2R3K1 w - -,c1d1
4rbk1/1q3ppp/2bp4/1p2p3/1P2P3/P2B2PP/1B2QP1K/2R5 b - -,c6d7
r3r3/p2q2kp/2pn1pp1/2Bp2b1/3P2P1/1P3QNP/P4PK1/R3R3 w - -,f3d3
r3k2r/1pp1npp1/p1nqb3/2p1p2p/4P3/2PPB1P1/PP2NPBP/R2Q1RK1 b kq -,h5h4
rn1q1rk1/pbpp1ppp/1p2pn2/6B1/2PP4/P1Q5/1P2PPPP/R3KBNR w KQ -,e2e3:g1h3:f2f3:g1f3
3r4/3q1ppk/p2r3p/1pb1p3/2p1PnN1/P1P2P1P/1P4PK/R1B1RQ2 b - -,f4d3
rn2k2r/p1p1npQ1/bpq1p3/3pP2p/3P4/P1PB1N2/2PB1PP1/R3K2R b KQkq -,h8g8
8/3nkp2/4p3/2p4Q/1pB4P/6q1/1PP5/4R1K1 w - -,g1f1
r4rk1/pp1qb1p1/2n1pn1p/2ppp3/2P5/1P1PP1PP/P3NPB1/R1BQ1RK1 b - -,a8d8
6k1/1p1r1p2/p3b2p/B1bpp3/8/1PP3P1/P4PBP/3R2K1 w - -,c3c4
3r4/4kppp/3pbn2/4p3/1p2P3/1P4PP/P1N2PB1/3R2K1 b - -,d8b8
r4bk1/1p4r1/p2p1nn1/P2Pp2p/N3Ppp1/R2N1P2/1P3BPP/2R2K2 b - -,h5h4
r5rk/3qb2p/3p1p2/pP2pPp1/1p2PnR1/3PBN1Q/1P4PP/R5K1 w - -,e3f4
2b1r2k/1p4bp/2p2pp1/2P5/2BB2P1/7P/5P2/1R4K1 w - -,d4e3
