8/8/1b1p1k2/6pp/3NP3/3K1PPP/8/8 b - -,d6d5
2R5/8/1p3kp1/p1b2n2/P4K1P/1P6/8/8 b - -,f5h4
8/8/7p/p2Np1kP/P2b4/5P2/6K1/8 w - -,g2g3
1n4k1/3r1p1p/p1p1q1p1/1p2P3/1P1r1P2/B3bBP1/2R4P/Q4R1K b - -,d4d3
1r3rk1/1bpn1pp1/pp1bpq1p/8/P7/1QNP2P1/1P1NPPBP/R4RK1 b - -,b7g2
r2q1rk1/pb1nbp1p/1p3np1/2pp2B1/7N/2NP2P1/PPP2PBP/R2QR1K1 w - -,h4f3
r7/2n1rk2/1p1p2p1/p2p1pPp/3PpN1P/2P5/PP2RP2/2KR4 b - -,a5a4
r1bqk2r/4npbp/pp1pp1p1/2p5/P1B1PP2/2PP1n2/1P2N1PP/R1BQ1RK1 w kq -,f1f3
3r4/p3bk2/1p4p1/3P4/3BRPP1/1P6/P6P/K7 b - -,d8d5
3r1qk1/1pR1Qb2/3n4/3P1p1p/p3p1p1/P5P1/5P1P/2R2BK1 w - -,e7g5
1r3rk1/4ppbp/1q1p2p1/n1pPn3/4P3/1P2B1P1/1PQN1P1P/R2N1RK1 b - -,a5b3
1r2r1k1/p3qpp1/4b2p/2p1P3/2p5/1P1B1Q2/P5PP/4RRK1 w - -,d3c4
r3rbk1/5p1p/2p2np1/1bNq4/3Pp3/4P1P1/1RQB1PBP/4R1K1 w - -,e1c1
6k1/p4p2/1b6/7p/3N2p1/2PQP1qP/PP4P1/5K2 w - -,h3g4
2bq1rk1/rp1n1pp1/p4b1p/4p3/3pN3/1Q3NP1/PP2PPBP/R2R2K1 w - -,e2e3
1r1q1rk1/4bpp1/p1npbn1p/2p1p3/PpN1P3/2PP1N1P/BP1B1PP1/R2QR1K1 b - -,f8e8
5R2/2pk1p2/2Np1b2/3P1p1b/2P2P2/3K2P1/1P3B2/7r b - -,h1f1
2nq4/3n1k2/3p1pp1/p1pPp1p1/N1P1P3/NP3P1P/1K4P1/4Q3 b - -,d7b8
8/1k2Bp2/r3p1p1/4P2p/1PK2P1P/6P1/8/8 w - -,e7d6
r1b2rk1/p4pbp/2n2np1/qp2p3/3pP3/P2P1NP1/1P2NPBP/1RBQ1RK1 w - b6,c1d2
rn2kb1r/ppp2ppp/3p4/3P1bq1/2P3P1/2N1K3/PP2P2P/R1BQ1BNR w kq -,e3f2
r2r2k1/1p2bppp/4b3/p2np3/B1q5/PN2BP2/1PP2QPP/1K1RR3 w - -,e3b6
5bk1/1q2pp1p/p3n1p1/3pP3/PB1P4/Q4NP1/5P1P/6K1 b - -,b7c7
r3r1k1/p1qn1pp1/2pb1n2/1p1p1P1p/1P1P4/P1QB1PP1/3BN2P/4RRK1 w - -,d2f4
2q1k2r/r4pbp/p1np2p1/2p1pP2/1pB1P3/1P5Q/PBPP1RPP/4R1K1 w k -,f5f6
6R1/5pr1/3Rb1k1/1r5q/2p1PQ2/6P1/2P2PK1/8 w - -,g3g4
r6r/p1k5/n2p1pn1/1BpP2p1/4P3/2P1B1P1/3N1P2/1R4K1 w - -,b5a6
rnb1kb1r/2q2ppp/4pP2/1p4B1/1p1N4/8/PPP1Q1PP/R3KB1R b KQkq -,g7g6
1nkr1bnr/ppp2pp1/8/1P5p/Q1Pp4/B4NPq/P2NPP1P/R4RK1 b - -,h5h4
8/p4kpp/1pp2p2/8/r1PP1P2/P1R4P/3K2P1/8 b - -,f7e6
r1bqk2r/ppppppbp/2n2np1/8/3P4/5NP1/PPP1PPBP/RNBQK2R w KQkq -,e1g1
rnbq1rk1/pp2ppbp/3p1np1/2p3B1/2PPP3/2N5/PP1Q1PPP/R3KBNR w KQ c6,d4d5
4k3/2q2p2/p3p1p1/8/1p5Q/1P2P1P1/P4PP1/2rR2K1 w - -,h4d4
r1bq1rk1/p1n1p2p/2n2bp1/1p1p4/3P4/1N1B1N2/PP3PPP/R1BQ1RK1 b - -,f6g7
1r1k4/2n1ppbp/2Pp2p1/8/B3P1P1/1P2BP2/5K1P/3R4 w - -,h2h4
rnbqkb1r/pp1ppp1p/5np1/2p5/8/2N1PN2/PPPP1PPP/R1BQKB1R w KQkq -,a1b1
r4k2/2p1Rpp1/p6p/2N5/1PKP4/2P3P1/1P3nq1/4Q3 b - -,g2c6
1rb1r1k1/1pqn1pbp/p2p1np1/3P4/P1p1P3/2NBB1NP/1P3PP1/R2QR1K1 w - -,d3f1
2rq3k/1Q4pp/p1r2p2/4p3/2N5/1P4P1/P4PKP/2R5 b - -,d8c7
3r1rk1/p3npbp/1pp3p1/2p1p3/2P1P3/2PQ1N1P/P2P1PP1/R1B1R1K1 b - -,d8d3
1r5k/4pQ1p/p2p1bp1/8/4P1P1/3n4/P2N3P/7K w - -,h2h3
4r1k1/bpr2bp1/p1n1p2p/2Np1q2/NP1P1P2/P5P1/4QB1P/2R1R1K1 b - -,f7h5
4r2k/pr3pn1/1p4pB/1Np1b3/Pn6/1B6/1P3P1P/3RR2K b - -,b7e7
8/np3kb1/p1p3p1/P4pP1/BPP1pP2/B3P3/2K5/8 w - -,a4b3
r4rk1/pp1bnppp/5q2/1P1p4/3Qn3/P4NP1/R3PPBP/1N3RK1 w - -,d4f6
1r6/2kn1p2/Q1p1p1r1/4Pp2/1p1Pp3/6P1/3B3P/1K6 w - -,a6a5
6k1/3r4/1p2p1p1/p3P2p/P1p1RP2/2P4P/1P4K1/8 b - -,d7d2
2kr4/1p4b1/pBn1pr2/3p2pB/8/2P3PP/PP6/2KR3R b - -,d8h8
r4k2/ppp2prp/2n1b3/3N4/2p1R3/5N2/PP3PPP/3R2K1 w - -,d5c7
3qr1k1/pb1nbppp/1p3n2/1Nr5/2P2B2/5NP1/P1Q2PBP/R2R2K1 b - -,b7d5
5r1k/2p1n1b1/p2pq2p/4p3/2P1Q3/4B1P1/PR3PK1/1R6 b - -,c7c6
r4rk1/np1bqpp1/1n2p2p/p2pP3/3P3P/2NB1N2/PP3PP1/2RQ1RK1 w - -,d3b1
r1bq1rk1/pp2bppp/2np1n2/2p1p3/4P3/2P2NP1/PP1P1PBP/RNBQR1K1 w - -,h2h3
r7/4k3/BR2p2p/1P3pp1/1n6/4PP2/5P1P/6K1 b - -,b4d5
7R/4b3/4kp2/P3p2p/4N3/5P2/r5PK/8 w - -,h8a8
r2q1rk1/1b1nbp1p/pp1ppnp1/8/2PNP3/BPNB4/P3QPPP/3R1R1K b - -,f8e8
8/p3k2p/2B1p1p1/8/P7/4K1PP/3r1P2/8 b - -,d2a2
8/5ppk/6qp/3p1p2/3PbP2/2r3P1/4QB1P/4R1K1 w - -,e2d2
1k1r1b1r/pp1q1ppp/2n5/5b2/2P1pN2/3P2P1/PB2PPBP/R2QK2R b KQ -,f8b4
3k4/pr6/4p1p1/3PK2p/5P1P/3R1N2/P7/7r w - -,d5d6
8/p4ppp/2k5/3p4/PRpP2KP/2r2PP1/8/8 b - -,c3d3
2kr3r/pp2n2p/5p1b/2p4p/5Pb1/N1P1BN1P/PP2K1P1/R6R b - -,g4e6
6k1/1b1q1p2/p2pp1p1/1p4Pp/3QPP1P/P1NP4/1P6/1K6 b - -,b7c8
r1bq1rk1/5pbp/p2p2p1/1p1Pp3/4P3/3BB3/PPQ2PPP/R4RK1 b - -,c8d7
rnbq1rk1/p1pp1pp1/1p2pn1p/8/1bPP3B/2N2N2/PP2PPPP/2RQKB1R b K -,c8b7
8/2r2ppk/4p2p/2Qpq3/8/R5PP/5P1K/8 w - -,c5b5
r3r1k1/pbqnbppp/1p2pn2/2P1N3/2P5/1P1B2N1/PB2QPPP/R4RK1 b - -,d7e5
rn1qkb1r/1b3ppp/p3pn2/1p1pN3/3P4/2NBP3/PP3PPP/R1BQ1RK1 b kq -,f8d6
6k1/1r3ppp/B3p2b/P3q3/1P6/4P3/4Q1PP/2r2R1K w - -,f1c1
2r3k1/pp3ppp/3r4/3P4/q7/3Q2P1/P2R1P1P/3R2K1 w - -,d3f5
7k/8/5R1p/2K5/2B1P3/3n4/7P/3r4 w - -,c4d3
5r1k/2p2qp1/1p1p1n1p/p2Pp2P/P1P1NrP1/1P2RP1R/4Q1K1/8 w - -,h3g3
r5k1/2Br1p1p/p2P4/2pN1P1p/R1nbP2R/3b2P1/7P/7K w - -,a4c4
1R3bk1/2r4p/p3p1pP/1p1R2p1/2n2P2/1BP5/PP4P1/1K6 w - -,d5d8
3b1rk1/4rppp/3p1q2/pB1P4/2P5/8/1P1Q2PP/R4RK1 b - -,d8b6
r1bqkb1r/ppp2ppp/2nppn2/8/2PP4/P1N2N2/1P2PPPP/R1BQKB1R b KQkq -,g7g6:f8e7
1r1q1rk1/5pp1/p2p1n1p/1pp1pR2/1nP1P3/1PNPP2P/P5P1/RB2Q1K1 b - -,b4c6
8/5pk1/6p1/Q2p1p1p/P4P1P/4rqP1/6RK/8 w - -,a5d2
1rbq2r1/p2kpQ2/1p3n1B/2pp1P2/4P1P1/1P1P3P/2R5/5RK1 b - e3,d8e8
rq2N1k1/3n1pb1/p7/2pP3p/2N3pP/6Pn/RP1QPP2/4RK2 b - -,b8e8
r1b2rk1/pp2ppbp/2n3p1/q7/2BPP3/8/P2BNPPP/R2Q1RK1 b - -,a5c7
r1q2kb1/p7/n2R4/2p4Q/4P3/7P/PP3PP1/6K1 w - -,d6f6
r1b2rk1/pp3p2/1n1p1bqp/2p1p3/3PP3/2PB1NN1/PP4PP/R2Q1RK1 w - -,a2a4
6k1/p7/2p5/P2p1N2/1Q1P1P1q/1P2Pbr1/1KP4q/2R5 b - -,h4f6
r1q1k2r/2p1npb1/ppn1b3/4p3/4P1Pp/N1PNBP1B/PPQ5/1K1R3R b kq -,e7g6
4R3/5pk1/3p2p1/1PnP2Np/5P2/1rb4P/6K1/2B2B2 b - -,c3f6
8/p2B1p2/1p2pk1p/1Pp2p2/7P/6P1/P4P2/5K2 b - -,f6e7
r1b2r1k/pp1n2pp/1qnbpp2/3pN3/3P1P2/PPPB1R2/1B4PP/RN1Q3K w - -,f3h3
7k/p2b1r1p/2qn1N1Q/2p1pP2/3bP3/3P1B1R/P6P/2R4K b - -,d6f5
1rbq1rk1/4ppbp/p1np1np1/1pp5/2P1P3/1PNPB1PP/P3NPB1/R2Q1RK1 b - -,b5b4
4r3/3k1n2/2p5/1pBpPp1p/1P5P/P1R1PKP1/8/8 b - -,f7e5
r1bqk1nr/p1p2pbp/2pp2p1/8/2P5/2N3P1/PP2PP1P/R1BQKB1R w KQkq -,f1g2
1nb1k2r/r1p1qppp/p3p3/3n4/Pp1PN3/1B3Q2/1PP2PPP/R3K1NR w KQk -,a4a5
2r2rk1/1bqnbppp/pp1ppn2/8/2P1P3/1NNBBP2/PP3QPP/2RR2K1 b - -,e7d8
r1b1k2r/pp2bppp/2nqp3/8/1nPP4/2N2N2/5PPP/R1BQKB1R w KQkq -,c3b5
3r1bk1/5ppp/8/p3P3/Pnn2B2/2N3PP/6B1/5R1K w - -,c3b5
3r4/p5pp/1kbr1p1n/2R5/4P3/2P2N2/1P3PPP/1N2RK2 w - -,b2b4
2rr2k1/ppqnbpp1/2p1pnp1/3p4/2PP4/1QN1PPP1/PP1B3P/R2R1BK1 w - -,a1c1
4r1k1/p3pr1p/np1p2pB/8/2P1R3/1P4P1/P3RPKP/8 w - -,e4e6
r1bq1rk1/bpp2ppp/p1np1n2/4p3/B3P3/2PP1N1P/PP3PP1/RNBQ1RK1 w - -,f1e1
4rnk1/R4p1p/N2b1p2/3P4/8/P5P1/2r2PBP/5RK1 b - -,e8e2
8/4kp2/2bp1p2/p3pP2/2P3P1/PR2K3/r3B3/8 b - -,e7d7
5rk1/5rp1/1qp4p/3p1P2/1pnP1BP1/1R5P/P3RQK1/8 b - -,b6b5
2rq1rk1/1p1nbppp/p3p3/2p1B3/3pP3/2PP3P/PPB1QPP1/R4RK1 w - -,e5g3
r2k1bnr/pbppqQpp/1pn5/4N1B1/2B1P3/8/PPP2PPP/RN2K2R b KQ -,g8f6
8/1n6/3p4/1P3k1p/2PB4/5K2/8/8 b - -,h5h4
2b1rr1k/2q1b1pp/p2p4/1p6/2n1PNn1/P1N3Q1/1PP2BBP/4R1RK w - -,f2d4
r2q1rk1/4ppbp/pn4p1/1pP1P1N1/6b1/2NBn3/PPQ2PPP/2R1K2R w K -,f2e3
2rq1rk1/p4p1p/4p1pb/2p5/Q7/2N3P1/PP2PP1P/R4RK1 w - -,a4a7
6k1/p3pp1p/3p2p1/N2P4/3bP3/5P2/P1rBn1PP/5R1K w - -,d2h6
r4rk1/p1p2ppp/bnp3q1/4P3/2p4Q/1PB3P1/P4P1P/2R1KB1R w K -,f1e2
5nk1/8/2n4N/2ppP1r1/8/2P5/1R6/rBKR4 b - -,g8g7
2b1r1k1/4bpp1/1q5p/3pP3/1PpN4/3r1N2/2Q2PPP/1R1R2K1 b - -,d3d1
3r1rk1/ppq1bp2/2ppb2p/4n2Q/3NP3/P1N4P/1PP2PP1/3RR1K1 w - -,h5h6
8/p7/1p6/4kppp/1Pbr4/P3KPP1/5N2/1R6 w - f6,f3f4
2r5/1brRppkp/p5p1/1p6/8/P1N2P2/1PP3PP/1K5R w - -,h1d1
8/4r1k1/pr1P1pp1/2pP4/2P2PpP/RP2RK2/8/8 w - -,f3f2
8/5nnp/3p1kp1/2pP2P1/1pP2P2/1P3K2/2B3N1/8 b - -,f6e7
1r6/2p4k/3p2np/3Pp1p1/Q1P2qP1/4RP1P/Pr6/3K1N2 b - -,b2b1
1r1q1rk1/3bbpnp/p2p1npB/2pPp3/2B1P1P1/P1N1N2P/1P1Q1P2/2K3RR w - -,e3f5
8/8/2b4p/2P5/p2k2pP/6P1/1B3K2/8 b - -,d4d3
r2qkb1r/pb1npp1p/2pp1np1/1p6/3PP1P1/2N1BP2/PPPQ3P/2KR1BNR b kq -,h7h5
8/3r4/8/1K6/1P4kp/2NrR3/8/8 w - -,e3e4
rn2kb1r/pp1q1p1p/4pp2/3p1b2/3P4/1QN1P3/PP3PPP/R3KBNR w KQkq -,a1c1
1k1rq2r/1p1nbppp/pN2p1b1/4B3/2P3P1/4Q2P/PP3PB1/R2R2K1 b - -,d7e5
3b4/8/p3k3/4N2p/pP2b2P/P1K3B1/8/8 b - -,d8f6
4k2r/3n1ppp/bpB1pb2/p1p5/2P5/3P1NP1/PP2RP1P/n1B3K1 w k -,c1g5
r4rk1/pbqp2pp/4p3/2p1P3/2B2PQ1/8/PP2K1PP/R6R b - f3,c7c6
2k4r/1pp4p/p1n1q1p1/2P1pp2/2P1P3/P1P2N2/4QPPP/3R2K1 b - -,f5f4
5k2/1r2bp2/pq1pp1p1/3pP2r/2pP1PQP/P7/KPP5/2BR3R b - -,d6e5
b4rk1/2n3pp/3q1r2/3pp3/1pP4P/pP4P1/P3QPBN/3R1RK1 b - -,d5d4
6k1/ppr2pp1/7p/3pP3/3PbN1P/PP2R3/6P1/6K1 b - -,c7c2
8/5ppk/4b2p/1p1pPp1P/2pP1B2/2P2BP1/2PK1P2/r7 w - -,f3e2
8/p2R4/1p2k3/2p2p2/6p1/P3P1P1/1P3Pb1/6K1 b - -,e6d7
6rk/1p3n1p/3p1nr1/1Pq1p3/1QP1Pp2/5N1P/2N1R1P1/3R1K2 b - -,c5b6
r2q1rk1/p3b3/1p2p3/n2b3Q/3P3P/2P5/P4PP1/R1B2RK1 w - -,h5g6
8/1b6/p5k1/PpPpPppp/4pP2/2B1P1PP/5K2/8 b - -,g5f4
r1b2rk1/pp1pq2p/2n4Q/3p1p2/2P5/6R1/P2N1PPP/3K1B1R b - -,g8h8
r2q1rk1/pp3pp1/1np1pbp1/8/3P1B2/2P3N1/PP3PPP/R2QR1K1 w - -,g3e4
8/4kp2/2p1p1p1/3q3p/3P3P/2Q3P1/5P2/6K1 w - -,c3a3
r3qrk1/1ppb1pbp/6p1/p1pPp3/2P1Pn2/PPN3PP/3NBP2/R2QK2R b KQ -,f4h3
r4rk1/1p1bq2p/p2p1p2/P2P1P1P/5P2/2PQ1K2/8/R1B4R b - -,a8e8
2b2rk1/pr3ppp/2p1n3/8/2Pp3q/1P1BQ1NP/P4PP1/3RR1K1 w - -,e3e5
3R4/8/3p2p1/8/1P1kb3/6P1/1r2K2P/8 w - -,e2d1
3k4/1R3p1p/6b1/2P3p1/5r2/3P2KP/4B1P1/8 w - -,c5c6
r5k1/1p3ppp/p1r5/8/6n1/PP6/1B2PQ2/R4BK1 b - -,g4f2
rn2kb1r/pp3ppp/3qpn2/1bp5/8/1PN2N2/PBPP1PPP/R2Q1RK1 w kq -,c3b5
7R/5k2/8/3pp3/5r2/4K3/7P/8 w - -,h8h7
5rk1/1R3p1p/2r3p1/8/8/p4N1P/Pb3PP1/3R2K1 b - -,h7h6
8/8/6pK/2n2kBp/7P/8/8/8 b - -,c5e6
r2q1rk1/1p1b1pbp/3p1np1/p1nPp3/4P3/2NBBPN1/PP4PP/R2Q1RK1 w - -,d3b5
r4rk1/p5pp/1qn1p3/1N1pPn2/Pp3Q2/8/1P2NPPP/2RR2K1 b - -,a7a6
3rr1k1/4bpp1/1qn2np1/pp1p4/2pP2PP/4PP2/PP3BB1/R1NQ1RK1 b - h3,a5a4
r4k1r/5pp1/3p3q/pnPPpP2/4BbP1/1R1P1Q2/5B2/1R4K1 b - -,b5d4
8/1p3p1p/p1r3p1/k2pP1KP/Pb1P4/4B3/2r2PP1/R2R4 w - -,g5h6
r4rk1/pb1n1ppp/1p2pn2/3P4/6q1/P2B1N2/1B2QPPP/R2R2K1 w - -,h2h3
1r1qk1nr/pp2ppbp/2np2p1/2p5/4PPb1/2NP1NP1/PPP3BP/R1BQK2R w KQk -,h2h3
r2qk2r/pp1nbpp1/2p1p2p/3pP3/3P4/2PQBN2/PP3PPP/R4RK1 b kq -,d8b6
k2r1r2/1b3P2/7p/p1p4P/1pPp1R2/3B4/PP2R1P1/6K1 w - -,e2e6
3r4/4k1p1/3p4/1B2p1p1/P3PnPp/2r2P1P/3R3K/5R2 b - -,f4e6
8/p3kp2/4p3/5r2/2p3R1/2P1P3/P3K3/8 w - -,g4c4
2nrr3/3qn1bk/ppb3pp/2p1Np2/5B2/NPPP2P1/2Q4P/3RRBK1 b - -,g7e5
r4rk1/pbp1ppbp/1pn3p1/1B6/3PP1q1/1QP2N1P/P4PP1/R1B1R1K1 b - -,g4c8
7r/1k3p2/2p2p2/p3pP2/Pp2B2N/2b1B1QK/2P1q3/8 w - -,e4d3
3r2k1/2p4p/3b4/R2P1p2/3rp3/1P6/P3BPPP/3R2K1 b - -,c7c5
8/7k/3N3p/p5p1/3r1nPP/5RK1/5P2/8 w - -,h4g5
r2qk1r1/4b2R/p1bpp1p1/1p2p1P1/PP1BP3/2N3N1/2P2P2/R2QK3 b Qq -,e5d4
2k1b3/2prn1p1/1p1pqp2/1R5p/1PP5/2P2P2/1K1Q1BPP/5B2 w - -,f2b6
r1b2rk1/pp1nbppp/1q1np3/8/5B2/2P2N2/PPBN1PPP/R2Q1RK1 w - -,f4d6
6k1/3b3p/1p1p4/3Pp1pP/1p3rP1/3R4/PPP5/2K3R1 b - -,h7h6
5k2/p4p1p/1p4p1/3q4/5P2/P5P1/1P2Q2P/4K3 b - -,h7h5
5k2/3n1p2/p3p1p1/3pP3/3N2PP/1P3N2/P3RP1K/b1r5 b - -,d7c5
2k2r2/1p2qp2/4pnp1/2ppP1P1/3P1P2/QPP5/7R/1K6 w - -,g5f6
r3r2k/5p1p/p1qp1p2/1pp1nP2/P4BP1/2PP2KP/1P1Q4/R4R2 b - -,c5c4
8/3k2p1/3n2N1/5PP1/5K2/8/8/8 w - -,f4g4
6r1/4q2r/2pkb3/b1p1p1pp/N1PpP1P1/1P3P1P/P5K1/4QR1R w - -,e1a5
3rr1k1/pp3ppp/2n1b3/1q6/3pBB2/PP1Q3P/2P2PP1/R3R1K1 b - -,b5d3
r4rk1/1p2n1pp/5p2/3Pp3/p7/8/PPBq1PPP/3R1RK1 w - -,d1d2
2rqk2r/1p1b1pp1/p1n1P2p/3pP1b1/3P2P1/2N1B3/PP1QB2P/3R1RK1 b k -,d7e6
r1b2nR1/1p4b1/5k2/1p1B4/2p5/6P1/PPP2P2/R3K3 b Q -,c8f5
4q1k1/Q1pn2r1/2Nb4/2pPp1pp/2P1Pp2/5B1P/5PP1/1R4K1 w - -,c6b8
r1bq1rk1/2p1ppbp/Bp4p1/p7/Q2P1P2/4PN2/PP1B2PP/2R1K2R b K -,c8a6
2rr2k1/p3qppp/2np1n2/1Q2p3/4P3/B1P2N2/P2R1PPP/R5K1 b - -,f6e4
r7/5pkp/4p1p1/1b6/2NbP3/1B3P2/2K1R1PP/8 b - -,a8c8
8/2pk4/P4p1p/3P1K1P/2B1PP2/1p6/3b4/8 b - -,b3b2
r1b1kbnr/1pq2ppp/p1p1p3/8/2P1P3/3BB3/PP3PPP/RN1QK2R b KQkq -,e6e5
rq1r2k1/5ppp/5n2/2B1pP2/1Pb1P3/1n1BQ2P/6P1/1R1R2K1 w - -,d3c4
3r4/8/8/1p3R2/2k5/3n1K2/3P4/2B5 w - -,c1a3
r6k/ppB1p1bp/2p1b3/2n2PpB/4p3/2N5/PPr2P1P/1R2R1K1 b - -,e6f5
bqrr2k1/4bppp/3ppn2/1p6/4P3/PP2Q1PP/1B2NPB1/3RR1K1 w - -,e2f4
5r2/1p5k/p1pPp2P/4Ppp1/1P1P4/1P4K1/7R/8 w - -,g3f3
7k/p1p4p/1pb5/4prB1/7P/2N5/PPP3r1/2KBR3 b - -,h8g8
3r2k1/r1qn1p1p/4p1p1/1B6/3pP3/3R4/1P2QPPP/3R2K1 w - -,d3d4
r2qnrk1/1p1bbppp/1B1p4/1N2p3/2P1P3/pP1N1P2/P4QPP/R2R2K1 b - -,d8b8
3qrbk1/3n1p2/rpp2np1/3p3p/P2P4/1QN1P1NP/1B3PP1/R3R1K1 b - -,f8g7
r4rk1/1q2ppbp/1nb2np1/2p3B1/4P3/2NB1P2/PP1QN1PP/1K1R3R w - -,g5h6
2kr2r1/p3qpb1/n2pp2p/P1pP1p1Q/RpP1P2N/6P1/1P1N1P1P/1R4K1 w - -,d5e6
r1b1rbk1/pp3p2/2p1p1pp/2R5/3P4/4P1BP/PP1RBPP1/6K1 w - -,c5c1
r4rk1/1q1bnpbp/p2ppnp1/P7/1p1PPP2/1N1BBN2/1PQ3PP/R4RK1 w - -,e4e5
2b5/1kp2p2/1p1P4/4Bn1p/4NQ1q/5P2/1P6/2K5 w - -,f4h4
r4rk1/ppp1p1bp/2np1np1/8/3P2P1/2NBB3/PPP2PP1/R3R1K1 w - -,f2f3
1r2k2r/5pp1/5n2/p1Nqp3/1P6/P2P2P1/4QP2/2R1K3 b k -,a5b4
5rk1/p4p1p/1p2p1p1/1q2P3/1nr4P/8/1P2QPP1/1B1RR1K1 b - -,b5c5
8/5pk1/4b1p1/7p/1pBKP2P/6P1/3r4/4R3 w - -,d4e3
3k3r/1pb1r2p/p3Bpp1/2P5/4RP2/8/PP4PP/4R1K1 w - -,g1f1
r3k2r/1p3ppp/4p3/pPb1n3/5P2/2P1P3/P1K3BP/RN5R b kq -,e5g4
4r1k1/5ppp/2p5/2Bn2q1/4p3/6P1/PPP1Q2P/1K1R4 b - -,d5c3
4r1k1/1br2pb1/1p6/pP1q1Bpp/2pPp1P1/4P2P/P1Q2PK1/1R2RN2 w - -,f1g3
r1b2rk1/ppp2qb1/n2p2pp/2PPpp2/8/1PQ1BNP1/P3PPBP/2R1R1K1 w - -,c5d6
