8/3r1k2/3n4/2K2P2/8/3R4/8/8 b - -,d6e4
4rb2/pp5k/q3b1pP/3pBp2/2rN4/P6R/1P1Q1P2/1K1R4 b - -,f8e7
r1b2rk1/pp3ppp/2n1pn2/8/1PB5/P3P3/5PPP/R1BNK2R b KQ -,b7b6
r1r3k1/2qbbppp/3p1n2/pP1Pp3/1n2P3/1B2RN1P/1P1N1PP1/R1BQ2K1 b - -,d7b5
5k1r/2pq1pb1/1p1p1np1/r2Pp1Nn/p1P1P2P/P1N1BP1R/1P4Q1/1K4R1 w - -,h3h2
2r2rk1/p3bppp/4p3/3n4/1Pn1b3/P5P1/3NPPBP/R2NBRK1 b - -,c4d2
1r2k2r/1qbn1pp1/p2pb2p/4p3/2p1P1PP/P1N1BPN1/1PPQ4/KR1R4 b k -,b7c6
8/4R1p1/4p1k1/p3P2p/8/r5P1/6KP/8 w - -,e7e6
5rk1/2qn1pp1/3ppb1p/1rp5/3P4/2P2N2/1P2QPPP/2R1RNK1 b - -,f8b8
2r2rk1/pp1b1pbp/3p4/1P1P4/n2NPP2/4B2P/3K2B1/1RR5 w - -,c1g1
6k1/1R1n2p1/3p4/3P1pP1/3Q1Pn1/8/8/4qBK1 b - -,e1g3:g4e3
r1bq1rk1/p3bppp/1pn2n2/2pp4/3P4/1P1BPN2/PB3PPP/RN1Q1RK1 w - -,h2h3
3bqrn1/pp5k/4p2p/2p1N1pP/4P1Q1/2P3PK/PP3r1N/R6R w - -,e5g6
8/4k3/1pB1b3/4P1p1/3K2Pp/7P/8/8 b - -,e7d8:e6d7
4r1k1/ppr2Nb1/2n1P1Q1/8/4B2q/4P3/P1p4P/3R1RK1 w - -,e4c2
2r3k1/3bpp1p/2rp1bp1/1p6/4P1P1/pP1RBP2/P1P1N2P/1KR5 w - -,c2c3
5rk1/p2R3p/6p1/P1pnR3/5P1P/3q2P1/2p4K/2Q5 b - -,d3d1
5k2/3b1ppp/1p2p3/4P3/nPPN4/6P1/5KBP/8 w - -,f2e3
3r4/p1r1kppp/4p3/1p6/1Pp2P2/2Rb2P1/P4KBP/3R4 w - -,f2e3
b7/3R4/k7/1p1pp3/pP3p2/P1P4Q/4K3/6q1 b - -,g1g6
1B4k1/6b1/3p2p1/4p1P1/4P2P/3P4/3r4/2R3K1 w - -,b8d6
2kr3r/ppq1bpp1/2p1p2p/2n1P2P/5P2/4B1N1/PPP1Q1P1/2KR3R b - -,c7a5
rnbqkb1r/3n1ppp/p7/1ppPP3/8/2N5/PP4PP/R1BQKBNR w KQkq -,g1f3
3b1rk1/r4p1p/3p2p1/pN1qP2P/1p3P2/3B4/PPP4Q/1K5R b - -,a7d7
3r2k1/p4p1p/4b1p1/8/3np3/PPb1BP2/2P1BKPP/6NR w - -,e2d1
3r2k1/p1p1q2p/3b1pp1/3R4/8/4BQP1/PP3P1P/6K1 b - -,a7a6
6k1/3n1p1p/1q2rBp1/2p5/8/1P5P/6P1/2Q1R1K1 w - -,f6b2
8/5p2/3p1k1p/2bP2p1/5nPP/1b3BK1/3R1P2/8 b - -,f6e5
rn3rk1/4bppp/1qp1pn2/p3N3/1p2P3/1P4P1/PB2QPBP/2R2RK1 w - a6,e2c2
3b2k1/p5np/3P4/5K2/4P3/p3P3/6PP/1R6 w - -,f5e5
5q2/6pk/5nnp/2p1r3/3p3P/4BQPB/4RP2/6K1 w - -,h3f5
r3r1k1/p1p2ppp/bp6/3p4/3PnP2/q1P1Q1PP/P1P1N2R/R2K1B2 w - -,e3c1
5R2/2k5/4K3/b3PP2/7n/8/8/8 b - -,a5c3
r1bq1rk1/1p3pnp/1np3p1/p2pP1B1/P2N4/2N2Q1P/1PP2PP1/3RRBK1 b - -,d8g5
8/8/2k2p2/P3p1p1/1PKnP3/8/3N1P2/8 b - -,d4b5
6k1/8/r3pR1p/r2pP1p1/2pP2P1/n1P1N2N/1P4KP/2n5 w - -,b2a3
4rrk1/1p3pbp/p4n2/4B1pq/b4P1N/6PP/1P3Q1K/1BR1R3 w - -,f4g5
r1b1rbk1/1p1n1p1p/p1pp1np1/q3p1N1/2PP4/BPN1P3/P1Q1BPPP/2RR2K1 w - -,b3b4
r3qrk1/1pp1b1pp/2n1p3/3pPp2/pPnP4/P1NNB3/2P1QPPP/3R1RK1 w - -,d3f4
R7/2r3p1/1r2k3/8/1pp2RP1/4P3/1PK5/8 b - -,c4c3
5b1k/pBp4p/3p2p1/1q6/5P2/2P3P1/PP5P/R1B3K1 w - -,b7f3
5rk1/2RQ3p/3p2qb/2p1p3/2P1P3/6P1/4n1BP/6BK b - -,e2g1
rnbqk1nr/ppp2ppp/4p3/3p4/2PP4/P1b5/1P2PPPP/R1BQKBNR w KQkq -,b2c3
rn2k2r/pp2ppb1/1qpp3p/6p1/2PPb1P1/4BN1P/PP1QPPB1/3RK2R b Kkq -,b8d7
N1b2rk1/pp3qbp/2n2np1/5p2/2P5/5pP1/PPQ1PPBP/R1BR2K1 w - -,e2f3
4rr2/1p4k1/p2Q1nqb/3P1p1n/1P1BpP1R/6P1/4N1K1/1B5R b - -,g7g8
7k/p4rp1/1p6/4R1p1/8/2P2P2/P4P1P/6K1 w - -,g1g2
rnbqk2r/p3ppbp/3p1np1/1PpP4/4P3/2N5/PP2BPPP/R1BQK1NR b KQkq -,a7a6
8/8/2n5/6k1/3r4/4K3/8/5R2 b - -,d4a4
2N5/5r2/1P6/2b4p/6pP/3k4/1R3PK1/8 b - -,f7b7
6k1/3q1p1n/2p1b1pp/4Q3/2PpP3/P2r2PP/5PB1/R4NK1 b - -,e6c4
n7/P7/3nkP2/8/6P1/1N1K3p/8/6B1 w - -,g1h2
2rr2k1/5p1p/3ppp2/2n5/3N1P2/P4P2/2R1PK1P/2R5 b - -,g8f8
2r2rk1/4bppp/1q1p1n2/1p1Np3/1P1RP3/8/PB2QPPP/3R2K1 b - -,f6d5
rnb2rk1/pp3pp1/4pq1p/3p4/1PP5/1QP1PN2/5PPP/R3KB1R b KQ -,d5c4
r1b2rk1/qp3ppp/p1pRp3/3n4/8/2N3P1/PPP1QPBP/3R2K1 w - -,c3e4
4n3/3N4/2p2p2/p3p1pp/N1k1P3/P3KPPn/2P4P/8 b - -,g5g4
2rqrbk1/p2n1ppp/b1p5/8/2NQP3/2B3P1/P4P1P/R3RBK1 b - -,d7c5
r1qr2k1/pp2ppbp/2n2np1/3p4/2P3b1/1P2PNP1/PB1N1PBP/R1Q2RK1 b - -,g4h3
r2qr1k1/p2b1pbp/2p3p1/2Npn3/5B2/6P1/PP2PPBP/2RQ1RK1 w - -,b2b3
5k2/p2b4/3r1pp1/3p3P/3N1P2/7P/1PPK4/4R3 b - -,g6h5
3qrr1k/5ppn/p2p2np/1p1Pb3/7P/P1PBN1PQ/1P6/2BR1R1K b - -,h7f6
6k1/4n1b1/3p2p1/R2Pp1Pp/4Pp1P/2rQ1P2/1q6/3RNK2 b - -,c3d3
8/8/5kp1/4b3/P5R1/6PP/r7/7K b - -,f6f5
r2rn1k1/pb5p/1pn1pbp1/2p5/2P2P2/2N1BN2/PP2B1PP/3R1RK1 b - -,e8c7
8/3P1k1p/8/7P/8/2N5/PQ4K1/r7 b - -,f7e7
6k1/p4p2/1p1Q1np1/3P4/8/P2q1K2/6PP/4R3 w - -,e1e3
8/2k1B3/4K3/p3pP2/2rbN3/8/1p6/1B6 b - -,c4c1
3r4/p1b2p2/2B2kp1/1P1P3p/1P2R2P/6P1/4KP2/8 b - -,c7b6
r1b1k2r/pp1n1ppp/4p3/8/4B3/4bN2/PPP1KPPP/R6R w kq -,e2e3
2r1k2r/q4p2/2b1pP2/3pP1p1/pPpR2Pp/P1Q4P/2B4K/3R4 b k -,c6b5
5k2/5p1p/3p2p1/3Pb3/4P1P1/1N3P1K/6P1/1q6 w - -,b3d2
2q3k1/6pp/4p3/bp3p2/3P1B2/PQ2P3/1P2KPPP/8 w - -,b3b5
4r1k1/2n3p1/7p/5P1q/2pBp2N/2Pn2PP/P3R2K/5Q2 b - -,c7b5
2r3k1/1p3n1p/p2p2pq/3P4/P2b1N2/5PB1/2b1Q1PP/4RB1K b - -,d4e5
8/1pk2r1p/2p5/1p6/P2R4/5rPP/2R2PK1/8 w - -,a4b5
5r2/1p2kp2/3p1b2/1r1PpPpp/8/1N4P1/1PP4P/1K1R1R2 b - -,f8c8
1brq1rk1/1p4pp/p1p2nb1/3p4/3P1P2/1QN3PP/PP4B1/4RRBK b - -,d8d7
3r2k1/pp2rpp1/1qb1p2p/3nQ3/3PN3/6P1/PP1R1PBP/3R2K1 b - -,e7e8
5k2/6p1/5pb1/q1bprN2/6P1/1P1Q2N1/2P2PK1/3R4 w - -,d3d2
2b5/8/8/p7/5K2/P5pB/5k2/8 w - -,h3f1
2R5/pp2r2p/1r2pkp1/3p4/4nP2/1P3NP1/PPR4P/1K6 b - -,g6g5
1r4k1/BP5p/Q2p2p1/3Pb1q1/4p1r1/1PN2pP1/P1R2P2/6KR w - -,h1h3
r2q1rk1/1ppb1pp1/5n1p/p1p5/3P4/P5P1/1PQN1PBP/R4RK1 w - -,d4c5
r3k1nr/ppp2ppp/2n1b3/q7/1bP5/2N1B3/PPQ2PPP/R3KBNR b KQkq -,g8e7
r4rk1/p6p/4b1p1/5p2/3Rn3/4P2P/PP4P1/R1B3K1 w - -,b2b3
1r3rk1/1bq1bppp/pn1ppn2/N7/2P1P3/2N1BP2/1P2B1PP/R2Q1RK1 b - -,b7c8
r1b1kb1r/pp2pp1p/n1n3p1/4P3/2B5/P4N1P/1P3PP1/RNBK3R w kq -,b2b4
r1b1kbnr/1pqp1ppp/p1n1p3/2p5/4P3/2N2NP1/PPPP1PBP/R1BQK2R w KQkq -,e1g1
r1b1r1k1/pp4pp/8/3pqp2/4n3/1P2P1P1/P1QN1PBP/R4RK1 w - -,d2f3
3rk3/p3q1p1/1p2Pr1p/3P1P2/2pQ4/6R1/PP2R2P/6K1 b - -,h6h5
8/p2r1k1p/6p1/5p2/1P1p4/3R2KP/P1R2PP1/r7 w - -,a2a3
r5k1/qpr2pp1/2p2n1p/8/1QBP4/P3P3/5PPP/1N3RK1 b - -,c6c5
rnbqkb1r/4pppp/p2p1n2/1p6/3NP3/2N4P/PPP2PP1/R1BQKB1R w KQkq b6,a2a3:g2g4
r4rk1/p2n2pp/2QPbq2/4pp2/8/P1B3P1/1P2P1BP/R3R1K1 b - -,a8c8
r3k2r/2q1bpp1/p3p1p1/1pPpn3/8/1QB1PPP1/PP2B2P/1KR4R b kq -,e5c4
8/8/4P3/8/3k2Pp/7P/3nKp2/8 w - -,e2f2
3b4/B7/p2p1k1p/1p1Pp1pP/1P2P1P1/3K4/P7/8 b - -,d8c7
8/5kp1/2p3P1/r7/8/B1p1K3/1p6/6R1 b - -,f7e6
r1b2rk1/pppn1pp1/3q3p/4pP2/2PpP3/3P2PP/PP4B1/R1BQ1RK1 b - -,f7f6
1r3rk1/2qbbpp1/3ppn1p/8/1p2P2B/1N3Q1P/1PPR1PP1/R2N2K1 b - -,d7c6
r1b2rk1/pp2ppbp/2q2np1/2pp4/P4P2/1P2P3/1BPPB1PP/RN1Q1RK1 w - -,e2f3
8/1pP5/1P3k2/2K2p2/8/4r1p1/1r6/6R1 b - -,b2c2
7r/6pP/8/pp1kbP1P/3p4/2pP1K2/PP6/2B2R2 b - -,h8h7
8/p4R2/k6p/3r2p1/1B1b4/7P/5PP1/6K1 b - -,a6b5
6k1/p4p1p/6p1/P2p2P1/2b4P/3rp3/8/2K1R3 b - -,d5d4
8/8/6p1/3kp3/4R1PP/3r1pK1/5P2/8 w - -,e4a4
1rr3k1/5p1p/pq1p2pb/n2Pp3/2p1P1b1/PP1R2P1/2QN1PBP/1RB3K1 w - -,b3c4
5q1k/1pn3pp/2pbQ3/8/1p1p1r2/1P6/1B1N2PP/4R1K1 w - -,e6c4
8/7p/6p1/5q1k/8/8/7K/3Q4 b - -,h5g5
1qrr1bk1/5pp1/p3pn1p/1p6/1P1Pb2N/PB2B2P/4QPP1/2RR2K1 b - -,b8b7
8/3R4/6p1/1p4k1/6P1/4PK2/1r1P4/8 b - -,b2b1
2r3k1/Q7/p3p1p1/3bNq1p/1p3P2/7P/1P1R2PK/8 w - -,d2f2
5k2/4n1b1/2p3p1/p2r1pP1/2Q2P2/6P1/4K3/8 b - -,d5d4
r2qk2r/pb1p1ppp/1pn1pn2/8/2PPP3/R4NP1/1PQN1P1P/4KB1R b Kkq e3,c6b4
6k1/pQ3ppp/4p3/1bP1P3/1P3Pqn/P1B5/6PP/6K1 b - -,g4d1
r1b2r1k/2pn1ppp/1p1p1qn1/p2P1B2/1PP1PP2/P1N1N3/5Q1P/2R1R1K1 b - -,f6h4
r1b2rk1/1pp1qp1p/1n4p1/4b3/p7/1PN1P1P1/PB2QPBP/R4RK1 w - -,b3a4
bR1r4/P3kpp1/1N6/4p3/4P3/2PB3p/2K5/6b1 w - -,b6c8
2n3k1/rp2qpp1/p2np2p/2NpNb2/1Q1P4/P3P2P/1P2BPP1/2R3K1 w - -,b2b3
r1bq1rk1/1p1pbpp1/p1n1pn1p/2p5/2P5/2NP1NP1/PP1BPPBP/R2Q1RK1 b - -,a8b8
1r1q1rk1/pp1bnpbp/3pp1p1/2p5/3nPP2/2NPB1P1/PPPQNRBP/R5K1 w - -,a1f1
5bk1/1pR2p2/p3p3/1r2P3/5P2/1P6/P2B4/5K2 w - -,f1e2
6k1/2q4p/3bp3/1p1b1p2/1PpPpP2/2P4P/2Q2NP1/2B4K w - -,c2d2
r1B2nk1/p3R1b1/8/1p1p4/2p5/6B1/PP4PP/3R3K b - -,a8c8
r4rk1/1b1n1ppp/p1p1pn2/1p4q1/3PP3/2NB1P2/PPQ3P1/R1BR2K1 b - -,g5h4
r1b3k1/p2q2pp/1pp2r2/3p4/8/8/PPP1QPPP/RN1R2K1 w - -,c2c4
8/3n4/7p/p2k1pp1/N7/1PP4P/4K1P1/8 w - -,e2e3
8/8/5kp1/p2K1p2/r6P/7R/8/8 b - -,a4e4
3r1rk1/ppp2p1p/1n3qp1/4b3/8/1PN1PPP1/PB2Q1KP/2RR4 w - -,c3e4
8/2p2p2/p5kp/4R3/1Pr2P1P/6PK/8/8 w - -,e5a5
2r1r1k1/6bp/1p1pN1p1/1P1P4/p3q3/R3B3/1R1Q2PP/7K b - -,g7b2
r1bqnrk1/1p1n1pbp/p2p2p1/2pP4/P4B2/2N1PN1P/1P2BPP1/R2Q1RK1 b - -,d8e7:a8b8:d7e5
2rq1rk1/1p1nbp2/p3p2p/2Pp2p1/PP1P4/3Q1NB1/5PPP/1RR3K1 b - -,g5g4
r3k2r/1b1pqpp1/p1n1p3/1pb4p/3pP3/P2P4/BPPQNPPP/R1B2RK1 w kq h6,b2b4
r3kb1r/ppqn3p/2p2p2/4nbp1/P1N2B2/2N3P1/1P2PPBP/R2Q1RK1 w kq g6,f4e5:c4e5
5bk1/5p2/6pp/1r1p4/p3p2P/2B1P3/1PP2PP1/2KR4 w - -,d1d4
7k/2Rn2rp/6p1/p7/3P4/2PK4/BP6/8 b - -,d7c5
8/6k1/6p1/2pQp1q1/4P2p/2PP4/5K2/8 w - -,d5c5
r5k1/p1pp3p/1p2prp1/n6q/2PP4/2P2N2/P3QPPP/3RR1K1 w - -,c4c5
1n6/5ppp/1k6/1p6/1KnPPPP1/8/4R2P/8 b - -,b8a6
r3r1k1/pp3q2/2p1n3/3pP1pp/3N4/1PB1PbP1/P4P1Q/2R1R1K1 w - -,d4f3
r3qrk1/4b1pp/b1N1pn2/B2P1p2/2P1p3/6P1/P1Q2PBP/R2R2K1 b - -,a6b7
r1b2rk1/1pppqppp/p4n2/n3b3/3N4/1P2P3/PBP1BPPP/RN1QK2R w KQ -,b1c3
4rrk1/pp4bp/3pq1p1/2p1nP2/2P5/4B2P/PPQN1PP1/3RR1K1 b - -,e6f5
2r3k1/q5pp/2r1p3/bb1pPp2/3p1P2/pP1P2P1/PP2Q2P/1R1BNR1K w - -,f1f3
1r1rb1k1/4pp2/1q4p1/ppN1b2p/8/PP1PQ1PB/5P1P/2R1R1K1 b - -,e5b2
2r3k1/2r2p1p/p4bp1/5q2/4p3/1R6/PP1Q1PPP/KN3R2 w - -,b1c3
3r4/ppk2pp1/2prpb1p/q7/3P4/PQP2B1P/1P3PP1/K2RR3 b - -,a5f5
2b5/4k2p/p5p1/1p1Pp3/4Pp2/1B3P2/P3K1PP/8 w - -,e2d3
5kr1/p3bp2/2rNp1p1/4P1Pp/2P2P1P/2Q2R2/q1P5/2KR4 w - -,c3b2
rqb2rk1/3p1ppp/4p1n1/p7/B2pN3/3P4/1PPQ1P1P/1K1RR3 b - -,b8b4
6R1/1k4P1/1P6/8/8/5K2/8/6r1 b - -,g1g6
8/1pp2pk1/6pp/8/1Pr5/P4R1P/6PK/8 w - -,g2g4
rn2kb1r/pp2pppp/5n2/2pq1b2/3P4/2P2N2/PP3PPP/RNBQKB1R w KQkq -,c1e3
r3r1k1/1p1n1pqn/p2p1b2/P1pP2p1/R3PP1p/2N1B3/1PQ1B1PP/4R1K1 w - -,e4e5
r4rk1/2pqbppp/p1n5/1p1pP2b/3Pn1P1/1B2BN1P/PP1N1P2/R2QR1K1 b - g3,h5g6
rnbq1rk1/pp2ppbp/3p1np1/2pP4/4PB2/2PB1N2/PP3PPP/RN1QK2R b KQ -,f8e8
1r6/1p2k1r1/3Np2p/1PPbPp2/3K1PpP/1P6/8/R5R1 w - -,g1g3
2r2rk1/3n1ppp/Qp1qpn2/4N3/Pb1P1P2/2N5/1P4PP/3RBRK1 b - -,b4c3
7k/2p5/4r1p1/2R5/P6p/2P1PK2/1P6/8 w - -,c5c7
r1b2rk1/1pb1qp2/2p1p1pp/p3P3/3P4/5N2/PPQ2PPP/1B1R1RK1 b - -,c8d7
2r1kb2/1bq2pp1/p2pp2r/8/2p1PPn1/P1N3B1/1PPQ3P/1KNR3R b - -,g4f6
r4rk1/1b2qppp/pp1bp3/n2nN3/P2P4/N4BB1/1P3PPP/2RQ1RK1 w - -,a3c4
6k1/2R2n1p/3R2p1/8/b7/6NP/5PPK/1r6 w - -,d6a6
r1b1k2r/2qnbppp/p1npp3/1p4P1/4P3/1NN1BP2/PPPQ3P/2KR1B1R w kq -,f3f4
2rqr1k1/pb3ppp/1p2pn2/8/3PP3/5N2/P2Q1PPP/1B1RR1K1 w - -,d2f4
r1b1k2r/p2n1ppp/2Qbpq2/3p4/8/2NB2P1/PP3P1P/R1B2RK1 b kq -,e8g8
6k1/2rn4/2p5/p1Pp2p1/P2Pp1Pp/4Pn1B/1R3P2/2N4K b - -,g8f7
8/1b3n2/3kpp2/4p1pp/1P2P2P/3BP3/N3K1P1/8 w - -,g2g3
r2r2k1/ppqbbppp/3p1nn1/P1pPp1B1/4P3/2N2N1P/1PPQBPP1/R1R3K1 b - -,h7h6
8/8/3nk3/1rp4R/p2p3P/P1P2PK1/1P6/2B5 w - -,g3g4
7r/pb2k3/1p3n2/2p2ppp/2P1P3/PPN1P2P/4B1P1/3R2K1 b - -,f5e4
rn1q1rk1/1p2ppbp/5np1/pP1p1b2/3P4/4PN2/PB1N1PPP/R2QKB1R w KQ -,f3h4
2r1kb1r/pppnppp1/4q2p/6P1/2BPPn2/2N1N2P/PPPQ4/R3K2R b KQk -,e6g6
r5k1/pp1nq1pp/2p1pR2/3p4/3P4/2NQP3/PPP3PP/4R1K1 b - -,e7f6
3Q4/5p1k/6p1/1q6/p6P/5P2/6K1/8 w - -,d8f6
8/1p4k1/p2p4/2p3p1/2Pb2r1/3BR2P/PP4P1/7K w - -,e3f3
1r1qr1k1/5pbp/pP1p2p1/1NpPn2n/4P3/2N3PP/1P3PB1/R1BQ1RK1 b - -,a6b5
2kr1b1r/ppp2bpp/2nq1p2/1B1p1p2/3P1N2/2N1PQ2/PPP2PPP/R3K2R w KQ -,f4d3
r3kb1r/1bqp1ppp/p1n1pn2/1p6/3NP3/2NBB3/PPPQ1PPP/2KR3R w kq -,f2f4
r1bqkbnr/1p1p1ppp/p3p3/n1p5/4P3/2P2N2/PP1PBPPP/RNBQ1RK1 b kq -,g8f6
6k1/5p1p/4b1p1/p7/P1p5/2Nr1B1n/2R2PP1/6K1 w - -,g1f1
r5qr/2k2b2/2pbpp1p/3p4/p1pP1P1N/P1P2RN1/1P4PP/R3Q1K1 b - -,a8b8
8/1p6/p7/6Rp/3pk3/r5PP/4K3/8 w - -,g5h5
