4r3/4P3/7p/5pk1/6p1/8/K6P/4R3 b - -,g5f6
2r5/8/1Rnk2p1/1P2pp1p/4K2P/4P1P1/5P2/8 w - f6,e4d3
3r2k1/5p2/4p2p/pB4p1/PnR5/1p2P2P/1P2KPP1/8 w - g6,c4c5
r4rk1/1bq1bpp1/p2p2P1/1p2p3/3NP3/P1NnB2Q/1P2R2P/5RK1 b - -,f7g6
r1bqk2r/bp3pp1/p1pp4/4p2p/1PPnPP2/P1NP2PN/3K2QP/1RB2R2 w kq -,h3g1
1r6/4k1p1/4p2p/ppp5/5PP1/2P1K3/PP1R3P/8 b - g3,a5a4
2rqk2r/4bppp/pn1p1n2/4p3/1p2P1P1/1N2BP2/PPPQb2P/1K1N2RR w k -,d2e2
3qrbk1/1b1r1ppp/p2ppn2/1p6/3BPP2/P1NB3Q/1PP2RPP/5R1K b - -,e6e5
2rr2k1/1p4p1/1q1bpnBp/p2pN3/P1P1nB1P/1P2P3/2Q2PK1/3R3R b - -,d6e5
r1nqr1k1/pp1b2bp/n7/2pP1pp1/8/1PN2PP1/P2BN1BP/R2Q1RK1 b - -,c8d6
5rk1/p2p3p/1p2p1q1/3bP1p1/3N2P1/P3R1QP/1P3P2/6K1 w - -,e3e1
r4q2/ppn1r1pk/2p1b2p/2PpNp1R/5P1Q/8/PPB2P1P/6RK w - -,e5g6
1r3k2/6r1/p2nBp1p/n2P2P1/1ppN1P1P/8/P5R1/5RK1 b - -,h6g5
r6k/3B3p/3p2p1/3P4/PR1b1p2/4pP2/2r3PP/1R2B1K1 b - -,d4c5
8/1p1b1kpp/p4p2/3N4/8/1P2K2P/1PP3P1/8 b - -,d7c6
r5k1/2Br1p1p/p2P4/2pN1P1p/2RbP2R/3b2P1/7P/7K b - -,d3c4
8/4k1n1/p2p4/1ppPp3/2P1N1P1/8/PP1K4/8 w - b6,d2c3
1r2k2r/3bnpb1/2npp1p1/q1p2PPp/1p2P2P/p2PB1N1/PPPQ2B1/1R1N1RK1 b k -,g7e5
rnbq1rk1/5ppp/p3pn2/1p6/1b1P4/2NB1N2/PP3PPP/R1BQ1RK1 w - b6,d1e2
8/B3k3/1p1n2K1/6p1/6B1/1P2b2P/8/8 w - -,a7b8
rn1qkbnr/pp2pppp/3p4/2P5/6b1/4PN2/PPP2PPP/RNBQKB1R b KQkq -,d8a5
8/3q3k/8/6Q1/6PK/8/8/8 b - -,d7d1
3r1r1k/1pp2pp1/pnn1P1bp/8/5BPq/P1N4P/1P1Q1PK1/R3RB2 w - -,d2e3
2qrr1k1/pp3pb1/2p2n2/2P1n1pp/3Np3/1P2P1Pb/PB1R1PBP/R1Q1N1K1 b - -,h3g2
6k1/1R6/5rK1/8/P3pp2/1n5P/5P2/8 w - -,g6f6
rn1q1rk1/p2p1ppp/1p2pn2/2p5/2PP4/2PBPQ2/P4PPP/R1B2RK1 b - -,b8c6
4k3/8/3B1KPb/8/8/8/8/8 b - -,h6f8
2r1k2r/1bq1np2/p5pp/4pP2/1p1BP1PP/8/1PP2QB1/1N1K3R w k -,d4b6
r7/1rk3p1/1pp3n1/1p2p1P1/1P2Pp1p/2PP1N2/4KPP1/R7 w - -,a1a8
4r2k/p5b1/2pB1n1p/5bp1/1Q6/PB2qP2/1P4PP/3R2K1 w - -,g1h1
4rbk1/1q3p1p/1p1p2p1/p1nP1PP1/6B1/4BQ2/PP5P/5RK1 b - -,c5d3
r3rbk1/3b1p1p/2Np2p1/p2Pn3/q7/4B1PP/3QPPB1/R4RK1 b - -,a4c4
rnb1k2r/pp3ppp/2pb1n2/4p3/2B1P3/2N5/PPPBNPPP/R3K2R w KQ -,c4b3
r2q4/1pp1b1pk/p2pB3/P3P3/3p1B2/7P/1PP2PP1/R3R1K1 b - -,e7g5
r3qr1k/p2b2p1/1pp1nb1p/n2p1p2/3P1B2/1PNNPPP1/P3R1BP/3QR1K1 w - -,f4d6
r3r1k1/3npp1p/3p2pB/2pP4/1pP1PP2/1P1B4/q5PP/3Q1RK1 b - -,a2b2
1b3q2/r4pk1/5pp1/1p1B4/1P4P1/3R2QP/5PK1/8 w - -,g3e3
5rk1/p2n1pp1/4p3/3pP1NP/1Q3PN1/6P1/4q2K/8 w - -,h2h3
2r3k1/p1rb3p/p5p1/1n1Pp3/2p1Pp2/5P1P/PP1N2P1/1RRN2K1 b - -,b5d4
1q2r1k1/1brn1ppp/pp6/3N4/1P6/PN3P2/3QB1PP/2RR3K b - -,b7d5
8/6b1/1R3pkp/8/4bP2/8/1B3K1P/8 w - -,f2e3
2kbn3/B4p2/p2p2p1/3Np3/4P3/3K1P2/PPP4r/6R1 w - -,b2b4
2N5/p7/1p4k1/1P1K2p1/r7/3P4/8/8 w - -,d3d4
r3r1k1/1p3pbp/2p3p1/p1p5/PNn1P3/4B1PP/1P3P2/R3RBK1 b - -,c4e3
r4r1k/ppqn2p1/2pN2bp/4p3/2Q4P/6P1/PPP2PB1/3R1RK1 w - -,d6b7
8/8/1n3pkp/pBp5/4PP2/1P3KP1/P7/8 b - -,g6f7
r3kbnr/pp1q1ppp/2n1p3/2ppP3/8/5N2/PPPP1PPP/RNBQ1RK1 w kq -,f1e1
2b5/2b2pk1/2P1p1p1/4P2p/5P2/6PP/6BK/1R6 w - -,b1a1
1r2rk2/1p4pp/p1p1bn2/N4p2/PP3P2/4P2P/5PB1/2RR2K1 b - -,e8e7
r2q1rk1/p4ppp/5b2/8/1p6/3BPP2/PPR2P1P/3Q1RK1 b - -,d8a5
rnbqkb1r/pppppp1p/5np1/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -,g1f3:e4e5:b1c3
r1b1kb1r/ppq1nppp/2n1p3/3pP3/3p1B2/P2B1N2/1PP1QPPP/RN2K2R b KQkq -,c7b6
r5k1/5p2/p1n1b1pp/bpp1p3/2P1P3/NP3N1P/P3BPP1/2R3K1 b - -,c6d4
r2qk2r/4bpp1/p2p1n1p/P2Pp3/1p3PPn/4B2P/1PP1N3/R2Q1RKB b kq -,d8d7
6k1/3R4/r3K3/4P3/8/8/8/8 w - -,d7d6
r1bqk2r/5pbp/p1npp1p1/1p1pP3/3P1P2/1PPB1N2/P5PP/R1B1QRK1 b kq -,b5b4
8/6kp/1p2K1p1/8/3Q4/4P2P/8/1q6 b - -,g7h6
2rr4/p4p1k/1pn2q1p/3p4/6Q1/2R2N1P/P4PP1/3R2K1 w - -,c3d3
r1b1r1k1/ppqn1pb1/2pp1npp/4p3/2PP3B/2N1P3/PPQNBPPP/3R1RK1 b - -,e5d4
1r1rbk2/1pn5/pN1pp2p/1P2bPpP/P1P3P1/4BP2/2R2K2/1R3B2 b - -,e6f5
r3r1k1/p2n2bp/qppBpPp1/8/3PN3/2P1Q2P/P4PP1/R4RK1 b - -,d7f6
rn2k2r/4nppp/2p5/p3p3/PpR1P3/8/1P1BNPPP/4K2R b Kkq -,b8d7
r2qr1k1/2pn1p1p/1p1p2p1/p2Pp1b1/2P1P3/4BPP1/PPQ3NP/R2R2K1 w - -,e3f2
7r/6p1/P3pk1q/1p3p2/1P1P4/R4QPr/4P3/5RK1 b - -,h3h1
r1qr2k1/pp2ppbp/1nn3p1/4P3/5B2/1BNb1N1P/PP2QPP1/R3R1K1 w - -,e2e3
8/5pk1/8/5Bpp/q7/6P1/5PP1/3R2K1 w - -,d1f1
r3r1k1/ppbb1ppp/5q2/3pn3/8/1NP3BP/PPB2PP1/R2QR1K1 w - -,b3d4
rnb1k2r/pp3ppp/2p2n2/2b1q3/3Np3/2N1P1P1/PP1P1PBP/R1BQK2R w KQkq -,d4e2
rr4k1/2n2p1p/3bbqp1/2pp4/p4N2/P3P1N1/1PQB1PPP/1R2R1K1 b - -,c7b5
3qk2r/r2bb1p1/p1np1n2/2p2pNp/1p3P2/3P2PP/PPP1NQB1/R1B2RK1 w k -,d3d4
5r1k/1pR5/p2P2Bp/4pP2/3bPq2/4n1N1/PP2Q2P/7K b - -,d4b6
rnbq1rk1/1p2bpp1/p3pn1p/8/2BN3B/2N1P3/PP3PPP/2RQ1RK1 w - -,a2a4
2kr2r1/1b2qpb1/1n2p2p/1p1p2p1/2pPP1P1/2P3N1/1PN1QPP1/1BKR3R b - -,e7c7
8/5pkp/6p1/8/3N4/8/1pK3PP/8 w - -,c2b2
r2qk2r/ppb1nppp/2n1p3/3pP3/1P1p1P2/P2B1N2/2P3PP/R1BQ1RK1 b kq -,e7f5
rnbq1rk1/ppp1ppbp/3p1np1/6B1/3P4/4PN2/PPPNBPPP/R2QK2R b KQ -,b8d7:c7c5:h7h6
rn1q1rk1/pbp1bppp/1p3n2/3p4/3P4/2NBPN2/PP1B1PPP/2RQ1RK1 b - -,a7a6
r2qkb1r/pp1nnpp1/2p1p2p/3pPb2/P2P4/5N2/1PP1BPPP/RNBQ1RK1 w kq -,c1e3:a4a5
r1b1r1k1/pp3pbp/6p1/8/8/B5P1/PP2PPBP/R4RK1 b - -,e8e2
8/p1qn1pkp/1p2p1p1/2b1P3/2P1QP2/4B3/P1B2KPP/8 w - -,h2h4
r3k2r/ppbnqp2/2p1b1pp/4p3/2N1P2N/2P3PP/PPB2P2/1K1R1Q1R w kq -,h4g2
5rk1/p1pbp1qp/1p1p2p1/3P4/1PPbB3/3QB1P1/P4P1P/1R4K1 b - -,d4e3
6k1/4bp2/1n2p1pp/3rPn2/1p2r2P/3R1NP1/PP1RN1K1/4B3 w - -,d3d5
r1b2rk1/2R1npp1/3p4/p3p1q1/4P3/3P2B1/1P4BP/3Q1R1K w - -,d3d4
2r2rk1/4q2p/p2p1bpP/1p1Pn3/4p1P1/P3B3/1PP1B1Q1/1K1R3R b - -,e5f3
b5k1/5p2/1q1br1pp/1p1np3/1P2N3/2PB4/4QPPP/2B2RK1 w - -,c1h6
8/p4pk1/1p4pP/4R3/1P3P2/P4QK1/2rq4/8 b - -,g7h6
r2r2k1/3nqppp/p3p3/3n3b/P7/2P2N1P/3BBPP1/R2Q1RK1 w - -,c3c4
r4rk1/1p1b1pp1/p1np4/P1pBp1p1/4P3/2PP3P/1P3PPN/R3R1K1 w - -,h2f3
r2qk2r/ppbn1ppp/2p1p3/2P2b2/3Pp3/1P2P3/PB1NBPPP/R2Q1RK1 b kq -,d8h4
r4rk1/pp1nqppp/n1pbb3/4p3/4P3/1P3NPP/PBPNQPB1/R4RK1 b - -,f7f6
3k4/p1p4p/b3p3/2p1P3/6P1/1PB1K2p/P4P1P/8 w - -,f2f4
8/3r4/p2PB2p/Ppk1B3/4K2P/4r3/8/8 w - -,e4e3
1r6/2k1np2/q3pNBP/pp1pPnP1/b1pP2R1/2P5/R1P2Q2/2B2K2 b - -,e7g6
r3nr1k/2q1b1pp/p1b1p3/2p1Pp2/2Pp1P1B/1B1R3Q/PP2N1PP/5RK1 b - -,a8b8
7k/4R3/r7/5KP1/8/8/8/8 w - -,e7e6
6k1/8/6p1/2p5/2Pb1RK1/p2P4/8/6Q1 b - -,d4g1
4rr1k/3nq1bp/p3Q3/1pp2PP1/8/P1P1B2P/1P2N3/3R1RK1 b - -,f8f7
8/2Q3bk/N4pp1/P2Pp2p/4n2P/6q1/2R4N/5K1R b - -,g3h3
1qrr2k1/1p2b1pp/p7/3P4/2PB4/1P3Q1P/P5n1/2RR2K1 b - -,g2h4
r1bq1rk1/pp3p2/1bn2n1p/3p2p1/8/1N1B1NBP/PPP2PP1/R2Q1RK1 b - -,f6e4
2r2k2/5p2/1b1P4/1pN1P3/nP1K1P2/8/8/2R5 w - -,d4d5
3r1Nk1/5q1p/p4pp1/Pp6/4b3/4N1BP/1Q3PPK/8 w - -,e3g4
4r3/1P2R3/8/8/8/8/2K1kp2/8 b - -,e8e7
rnbqk2r/pp2nppp/4p3/2pp4/3PP3/P1bB1N2/1PP2PPP/R1BQK2R w KQkq -,b2c3
8/2b3pp/2p1k3/p2r4/2Np4/1P1K1P1P/P2R2P1/8 b - -,e6f5
5rr1/kpp1b3/p2p3p/1P1Pp2n/P1N3n1/3N2P1/1BP2PK1/R6R b - -,f8f5
1R4k1/3Pbp1p/6p1/3P4/8/6P1/5PKP/2r5 b - -,g8g7
2b1r1k1/1p4p1/p3p1qp/3p4/P1p1p1BQ/2P1B2P/2P3PK/5R2 b - -,g6h7
8/5r2/2p3KP/3pkp2/4p3/6P1/2P5/4R3 b - -,f7f8
6k1/q4pp1/1nB2n1p/3PB3/1b6/7P/r4PP1/3QR1K1 w - -,e1f1
4r1k1/1b3p2/p1p2p2/1p6/1P2P2n/2N2P2/P3BK2/3R4 w - -,d1d7
1r4k1/p2rqpp1/3pbn1p/Bp2p3/4P3/3QNP2/PPP3PP/R2R2K1 b - -,d6d5
2bRr3/2P2k1p/3P1np1/PN2b3/5p2/5P1P/6PK/8 b - -,c8a6
2rq1rk1/pp3ppp/5b2/4p3/3pPP2/3b2PB/PPPQ1R1P/R5K1 w - -,c2d3
2k3r1/1bqp3p/p3pn2/2p2r2/7Q/P2BBP2/1PP3PP/R4RK1 b - -,c7e5
5rk1/5p1p/5p2/pR1B4/n7/6P1/4PP1P/6K1 w - -,b5a5
1r3rk1/bpp1npp1/3p1q1p/PQ2p3/2N1P3/2PP1N2/5PPP/R3R1K1 w - -,b5d7
8/7P/8/pB4k1/P2b4/4pp2/8/4K3 b - -,d4c3
r2qr3/pbnnbppk/1p2p2p/2ppP3/5B1P/3P1NP1/PPPQ1PBN/R3R1K1 w - -,c2c3
8/5pk1/7p/8/5RpP/r7/5K2/8 b - -,a3f3
r4rk1/ppp3b1/3p1q2/3Pp2p/2P1BnnP/5RB1/PPQ3PN/1K5R w - -,g3e1
2br2k1/p1rN1np1/2P1p3/5p2/B5p1/6P1/P2R1PKP/3R4 b - -,c8d7
r1bqk2r/ppn1ppbp/1n4p1/8/3P4/1BN2N2/PP3PPP/R1BQ1RK1 b kq d3,e8g8
7k/1p3qp1/pn2rr1p/3pR3/3P4/P1N3RP/1P2Q1P1/6K1 b - -,e6e5
1k1r3r/ppp1b1pp/2n1p3/2P1Pb2/1PB3q1/2Q1BN2/P5PP/4RRK1 b - b3,d8f8
r1b1k2r/1p3p2/p3pn1p/2b3q1/3N3p/5P2/PPP3PP/1K1RQBNR b kq -,f6d5
rnbqkb1r/ppp2ppp/4pn2/3p4/8/P3PN2/1PPP1PPP/RNBQKB1R w KQkq -,c2c4
2Q5/5pbk/6p1/1R5p/4p2P/4PqP1/5N1K/8 b - -,f3f2
5N2/8/3k2p1/3n1pP1/p6p/8/1K6/8 w - -,f8g6
r2b1rk1/pp1Pnppp/4pn2/2B4b/8/1PN2N1P/1P2BPP1/R2R2K1 w - -,c3b5
r1b1kb1r/pp3ppp/1qn1pn2/2pp2B1/3P4/1QP2N2/PP1NPPPP/R3KB1R w KQkq -,e2e3
b5k1/4q2p/2n1prp1/1pPp2N1/1Pp2PB1/2P5/3Q2PP/5RK1 b - -,h7h6
8/8/1n3p2/2N1pp1k/p6P/P4KP1/8/8 w - -,c5e6
r1b1r1k1/p1p3bp/3qPp2/2pp4/3N4/8/PPP1QPPP/R1B2RK1 w - -,e2h5
3r2k1/5p1p/1q3bp1/3p4/4r3/1p3N1P/P1QR1PP1/3R3K w - -,a2b3
R4bk1/5p2/8/p5p1/2PNr3/7P/5PPK/8 w - -,d4f3
3rr1k1/pp1qbppp/8/2Pp4/1P1NnB2/2PQ1PP1/P6P/R2R2K1 b - -,e4g5
r4rk1/pbq3bp/1p1pppp1/1Pn5/1NP1PP2/4BB2/P1Q3PP/3R1RK1 w - -,f4f5
6B1/4k1K1/8/6P1/5r2/8/8/8 w - -,g5g6
r1bqkb1r/pp1pnppp/2n1p3/2p5/4P3/3P1NP1/PPP2P1P/RNBQKB1R w KQkq -,h2h4:f1g2:b2b3
1R6/P7/1p4k1/r6p/5pp1/3p1P2/3K1P2/8 w - -,a7a8q
8/7p/bB3k2/4p3/P4pPP/b4P2/2P2K2/8 b - -,a3b2
r1r3k1/1p1n1pp1/3p1q1p/p2Pp3/2P2n2/PP2BP2/3QB1PP/2R1R1K1 w - -,e2f1
1r6/2r5/2Bb1pkP/p2Pp1p1/1p2Pn2/PP2B3/2PR4/1K5R w - -,b1a2
rnbq1rk1/ppp1bppp/4pn2/3p2B1/2PP4/P1N2N2/1PQ1PPPP/R3KB1R b KQ -,h7h6
r1b2knr/pp3ppp/2n1p3/2ppP3/q2P2Q1/P1P2N2/2PBBPPP/R3K2R b KQ -,a4c2
rnbqk2r/pp4pp/2pbpn2/3p1pB1/2PP4/5NP1/PP2PPBP/RN1Q1RK1 b kq -,e8g8
r2qrnk1/pb1nbppp/3p4/1pp1p1P1/4P2P/3P2N1/PPP2PBN/R1BQR1K1 b - -,f8e6
8/1n1P1p1k/pQ4p1/P3q2p/7P/6P1/5PK1/8 w - -,b6b7
r2qrnk1/1pp2p2/p5p1/2PPPnNp/1P2B2P/2Q5/P7/4RRK1 b - -,f5h6
1r2qrk1/1p2ppbp/p2p2p1/2nP4/P2Nn3/RP4PP/1B1QPPBK/5R2 w - -,d2e3
6k1/p3r1pp/8/R7/1N2p3/6P1/P2r1P1P/5RK1 w - -,a2a3
6k1/2r2p2/B6p/6n1/8/b4P2/5P1P/3N2RK b - -,g8f8
2r3k1/pqrnbpp1/1p2pn1p/2p5/1P1PPP2/P3N1P1/1BR1Q1BP/2R3K1 w - -,b4c5
r1b2rk1/p3ppbp/n5p1/qppP4/4P3/2P1BN2/P2Q1PPP/2R1KB1R w K b6,f1e2
5rk1/6bp/1pr1p1p1/p2p4/3P2Nq/2P1Q2P/PP2RPK1/4R3 w - -,e3d3
r4rk1/pbp2pbp/1p4p1/2n5/6q1/6QP/2BN1PPB/R4RK1 w - -,h3g4
b3r3/R4pkp/6p1/3p4/1p1N1K1P/1P3P2/2P3P1/8 b - h3,g7f6
4r3/2pk2p1/1pR1p1N1/1n1p1pP1/R2P1P2/4P3/5K1P/8 w - -,c6c2
2rr3k/p3q1p1/bp2pp1p/2npP2P/5PP1/2P1BB2/PP4R1/R2Q2K1 w - -,e5f6
r2qnrk1/2pb2bp/np1p2p1/3Ppp2/1PP1P3/R1NNB2P/4BPP1/3Q1RK1 b - -,f5f4
r2q1rk1/pb1n1pbp/6p1/2p5/3p4/1P1BP3/P2NQPPP/B1R2RK1 b - -,f8e8
3rr1k1/p2qppbp/1p1p1np1/3P4/P1P5/1PN3Pb/1B3PBP/R2QR1K1 w - -,a4a5
8/1B5p/1K4p1/8/5k2/8/5n1P/8 b - -,h7h5
6n1/7p/2Pp1k2/1p3p2/rP3P2/1N5P/6P1/4R1K1 b - -,a4b4
8/5b1p/2pk1p1r/1p1p1p1P/1K1P1N2/1PP2P2/5P2/4R3 w - -,e1h1
qr4k1/4bpp1/3ppn1p/3b4/3P3P/4RNP1/1PQ2PB1/2B3K1 w - -,e3a3
rn1q1rk1/pp2ppbp/2p3p1/3bP3/8/6PB/PP1NPP1P/R1BQ1RK1 b - -,c6c5
4r1k1/ppb3pp/2p1b3/2Pq1p2/1P1P3Q/P2B3P/1B4P1/4R1K1 w - -,h4f2
8/5pk1/6pp/8/P7/2R4P/r5P1/5K2 b - -,a2a4
r3b1k1/4rp2/1Qp3pP/pp1p1P2/1q6/1PN4P/P1PP4/1K1R2R1 b - -,b4h4
8/5p2/1p1n2pb/1k2p3/4P1N1/1N1K1PP1/1P5P/8 b - -,b5b4:h6g7
5rk1/5p2/4pqpQ/3p3p/1prP3P/2P3P1/1P3P2/R3R1K1 w - -,h6e3
4n1k1/4B3/6p1/pp4p1/P7/P4b2/7P/1B4K1 b - -,g8f7
3rr1k1/1pb1qppp/pnp5/3p1BP1/1P1PnP2/P1N1P2P/6Q1/2BRR1K1 w - -,c3e4
2r2rk1/1b2qppp/p2p4/3P1P2/1p1Q4/1N6/PPP2RKP/R7 b - -,f8e8
8/5pk1/1n5p/pB1b2p1/Ppp5/6P1/1P3PP1/2R2K2 w - a6,f2f3
6k1/2qn2p1/2p2pp1/1pn3N1/p2Q3P/2P3P1/PP3P2/1K3B2 w - -,g5e4
r1bqk2r/pp1nbppp/4pn2/1N1p4/Q2P1B2/5N2/PP2PPPP/R3KB1R b KQkq -,e8g8
r5k1/ppp3p1/3pQ3/8/5P2/1PP3q1/P1P5/2K1R3 b - -,g8f8
8/7p/5k2/3p3Q/3Kb3/5rP1/8/8 w - -,h5h6
2b1r1k1/Q1p1rpp1/2pp2np/p5q1/N3P3/1P2R2P/P1P1BPP1/3R2K1 w - -,e3g3
r7/p1k1qp2/1pbRp3/4P3/N4P2/6P1/PPQ3P1/6K1 b - -,e7e8
1kq2r2/1pr2p2/p4p2/2PPpPbB/1R5p/P2Q4/K1R3PP/8 w - -,d3a6
6r1/pr2bk2/2R1pp2/R6p/3P3P/1P2B3/1P3P2/5K2 b - -,f6f5
8/8/8/6p1/2K5/1P2k1p1/8/7B w - -,b3b4
r1b1kbnr/pp3ppp/2n1p3/2pq4/3P4/2P1BN2/PP3PPP/RN1QKB1R b KQkq -,c5d4:g8f6
8/8/2k2R2/K7/P6r/8/2n5/8 b - -,c6c5
2kr1bnr/pppqpppp/8/3pP3/6b1/6P1/PPP1PPBP/RNBQ1RK1 b - -,g4h3
2r5/p2k4/Rr2R1p1/2p3Kp/5P2/6P1/7P/8 w - -,e6b6
1rbq1rk1/pp2bppp/P1pp1n2/8/2BNN3/8/1PP1QPPP/R1B2RK1 b - -,d6d5
r3kb1r/ppp1p1pp/2nq1n2/1B1pNb2/3P4/8/PPP2PPP/RNBQ1RK1 b kq -,f6d7
r3k1r1/ppB5/2n3q1/8/1b1PpP1R/1P5b/P1P1NK2/R2Q4 b q -,g6g2
2r2bk1/1pq5/p2p1p1p/3PpNp1/2r1P1QP/4R3/P4PP1/R6K w - -,h4g5
2rk4/B6p/pKp2pp1/P2p1b2/3P4/2P1R3/1P3PPP/8 w - -,b6a6
3r3k/pp1r3p/1nb2p2/8/Pb1P2Q1/1BN1qP2/1P4PP/R2R3K b - -,d7g7
2n5/3k2K1/4r1p1/1PQ1p2p/7P/5PP1/8/8 w - -,c5d5
