8/8/R7/6k1/pK6/1r6/1n6/8 w - -,b4c5
5k2/R7/8/p7/b4KN1/8/3r3P/8 w - -,h2h4
7r/4ppk1/p2p1np1/3P4/1q2R3/1N5P/1PP2QP1/5RK1 b - -,b4e4
4r2r/1kpb1pp1/1p1n1q2/p1pPp1p1/P1P1P3/1P2QP1P/2B1N1P1/1K1R1R2 b - -,g7g6
r2qkbnr/1p2pppp/p1np4/1Bp4b/4P3/5N1P/PPPP1PP1/RNBQR1K1 w kq -,b5c6
3q2k1/7p/5pp1/p1Q1b1P1/P7/2P1B3/1PK5/8 w - -,c5c4
5bk1/5n1p/5pp1/1QP2b2/1P1P1p1P/2B5/2qN1PP1/4R1K1 b - -,c2c3
8/5p2/pp5k/2p1P3/4BP2/P2KP2p/1P1R2b1/6r1 w - -,e4g2
1brq1rk1/pp1bnpp1/4p2p/4N3/1P1PB3/PQ2B3/5PPP/2RR2K1 b - -,c8c1
r1qbr1k1/1p1n1pp1/p1p1pn1p/2PpNb2/N2P1B2/1Q2P2P/PP2BPP1/2R2RK1 b - -,d8c7
r2qnrk1/ppp2pbp/2bp2p1/8/2P1P3/2N1B1PP/PP3PB1/R2Q1RK1 b - -,f7f5
6bk/pp5p/1q4p1/r3N3/5P1P/P7/1P3QP1/5RK1 w - -,f2b6
8/8/8/5k2/7K/8/5Nr1/8 w - -,f2h3
8/1R3p2/4p1k1/3r3p/1Brb2pP/6P1/4RPK1/8 b - -,c4c1
rnb1r1k1/4qpp1/p2p3p/1ppPp3/8/2PP1N2/PPB2PPP/R2QR1K1 w - -,d3d4
3b1rk1/p2b2pp/3p2r1/3R4/2P5/1P2N3/PB3PPP/5RK1 b - -,d7c6
2r1kb2/5p2/p2ppPp1/7r/2PN1P2/BP2R2P/6b1/1K1R4 w - -,d1d3
r1bqk2r/ppp2pbp/2n3p1/3np3/8/2NP1NP1/PP2PPBP/R1BQ1RK1 b kq -,d5e7
rnbqkb1r/ppnppp1p/6p1/2p1P3/2P5/1P3N2/PB1P1PPP/RN1QKB1R b KQkq -,f8g7
5rk1/2pb2p1/rp1p4/3P3q/P1P2p2/R1Q1pP2/1K2P3/R4B2 w - -,f1g2
2k5/pp3ppq/2p1p2p/2b1P2P/2P3Q1/P1B2P2/1PK3P1/8 w - -,c2b3
8/2R5/8/8/r5k1/7p/p7/K7 w - -,c7g7
8/5k2/2R5/3N1p1p/5P1P/3b1K2/8/8 w - -,f3e3
b4rk1/P5bp/RQ6/3p1p2/2q1p3/2P5/1P3PPP/3R2K1 w - -,b6e6
r1b2rk1/1pq1n1bp/p1npp1p1/2p2p2/4PPP1/2NPBN2/PPP3BP/1R1Q1RK1 w - f6,g4f5
1rR3bk/pr5p/4p1p1/1p2N1P1/1P1P4/P5P1/5P2/2R3K1 b - -,b8c8
r1b2rk1/1p1nnpbp/p3p1p1/q1pN4/2P1P3/3BB3/PP1QNPPP/3R1RK1 b - -,a5d8
r4r2/p2p2kp/bp1P1pq1/n4p2/2P4Q/2B3R1/P1P3PP/R5K1 w - -,a1f1
3q1rk1/5p1p/6p1/p2P1n2/1b4B1/1Q2B1P1/P6P/3R2K1 b - -,f5e3
3rr1k1/pbq2ppp/1p1bpn2/4N3/3P4/2PBQ2P/P2B1PP1/R3R1K1 w - -,e3g3
8/5B1k/5K1P/5N2/1p6/1P6/8/2b5 b - -,c1d2
r1b1kb1r/p2n1pp1/2p2n1p/qp2p3/4P3/1BNQBN2/PPP2P1P/2KR2R1 b kq -,c8a6
r2qk2r/1p2bppp/p1npbn2/4p1B1/2B1P3/2N2N1P/PPP2PP1/R2QK2R w KQkq -,g5f6
3r2k1/1br5/p3Rppp/2p5/P7/5N1P/2P3P1/5R1K b - -,g8f7
1r4k1/5p1p/3p2p1/2pP4/2nbP3/5P2/qPQ3PP/1RB2N1K w - -,f1d2
rn3rk1/pp2ppbp/2pp1np1/6Nq/2PPPB2/P1N3P1/1P3P1P/R2Q1RK1 b - e3,e7e5
3r2k1/1b2bppp/p3pn2/1p6/1P6/q1NQ4/2PB1PPP/3R1RK1 w - -,c3d5
2r2rk1/1pq2ppp/p3p3/8/1n1P4/5N2/PP2RPPP/1Q1R2K1 b - -,b4d5
5k2/5pp1/5b1p/pprp4/8/2P2N2/PP1KRPPP/8 w - -,f3e5
6k1/1p4pp/p1b1prr1/3pR1N1/1q1P4/6P1/P1Q2P1P/4R1K1 w - -,g5e6
r1b2rk1/p6p/npp2qp1/4pp2/2P1P3/2P1QNP1/P4PBP/1R1R2K1 w - -,b1b2
3rr1k1/pb4bp/1p1qp1p1/2p2pP1/3n3Q/2NP4/PPP3PP/R1BB1R1K w - -,c3e2
r3k2r/1b1n1pp1/p2Rp2p/1p4P1/4P3/2N2P2/PPP4P/2K2B1R w kq -,h1g1
r3k2r/1bqnbp1p/p2pp1p1/1pn1P3/5P2/2NB1NQ1/PPPB2PP/4RR1K b kq -,e8g8
2k4r/pp1b4/2n1pr1p/3p3P/q1pP1p2/P1P5/2PBB1P1/R2Q1RK1 w - -,d2f4
r4rk1/pp1nb1pp/Q3p3/3pPn2/5P2/1N2B3/PP4PP/R1N2RK1 b - -,b7a6
8/8/3R4/2K1nk2/5P2/8/3r4/8 b - -,d2c2
3brr1k/1p1q1ppn/p1n4p/2pN1P2/2PpP3/1P1P1N1Q/P6P/R1B2RK1 w - -,c1d2
r4rk1/pb3p2/npqP2p1/1P2p1b1/2P1P1B1/2N3N1/6PP/1R1Q1RK1 b - -,c6c5
2bq1k2/4n1p1/pp1r1n1p/3PQ3/P7/2N4P/1P3PP1/3RR1K1 w - -,d1d3
2r3k1/3b1ppp/5b2/pq2p3/1p2P3/5N1P/PP1Q1PP1/1B2R1K1 b - -,d7e6
r1q2rk1/1p2bppp/p2pbn2/2pN4/Pn2PP2/1N2BB2/1PP3PP/R2Q1RK1 b - -,f6d5
3r2k1/pb3p1p/6p1/2pPr3/2q5/2N4P/P2Q1PP1/3R1RK1 w - -,f2f4
r3r1k1/1pq2p1p/p2p2pB/P2P3n/4P3/N1b5/3Q1PPP/R4RK1 w - -,d2c2
8/4k3/6pp/pp1Pp3/4K3/1P4P1/P6P/8 b - -,e7d6
Q3n3/1Rr2k2/8/3p1P2/6P1/7K/8/4q3 b - -,e1e3
r1b1kb1r/2qn1pp1/p6p/3P2Pn/Np1B3P/5P1B/PPPQ4/2KR3R b kq -,f8d6
r1bqkb1r/pppn2pp/2n1p3/1B1pN3/3P4/2P5/PP1N1PPP/R1BQK2R b KQkq -,c6e5
r1bqkb1r/ppp2ppp/2n5/3n2N1/4p3/2N3P1/PP1PPP1P/R1BQKB1R w KQkq -,g5e4
r3k2r/2q1bpp1/2p1pnp1/p5B1/1pPP4/1P3Q1P/P3NPP1/R4RK1 b kq -,e8g8
4R3/1p3r2/1Pp5/6p1/1bP1nk2/1N6/5PK1/2R5 w - -,c4c5
2r3k1/p2R1p1p/1b2pp2/1p6/8/1P2P3/P2N1PPP/6K1 w - -,g2g3
8/8/1R5p/r5k1/P7/6PP/6K1/8 w - -,b6b5
r1bqr1k1/1p3ppp/p1nb4/3p4/1P1Pn3/PN3N2/1B2BPPP/R2Q1RK1 b - -,c8g4
4r3/7p/3r1kp1/1p6/1PpPp3/2P1K2P/6P1/2R2R2 b - -,f6g5
r4rk1/ppq2pp1/2pbpn1p/8/2PPb3/2N1B1PP/PP3PB1/2RQ1RK1 b - -,e4g2
r2r2k1/pp3pb1/2n5/3Pp1p1/4P1B1/6B1/P2R1PP1/5RK1 w - -,d2b2
1r3bk1/1rn1p2p/3p2p1/2pPPp2/P1N2P2/1P2B3/1R1R2PP/6K1 w - -,c4a5
8/5pkp/5B2/4b1P1/3p4/2P2R1P/3r2P1/6K1 b - -,e5f6
2rq1rk1/pp2bppp/3pp3/n2BP3/3P2Q1/P4N2/1Pb2PPP/RNB1R1K1 b - -,e6d5
r7/p1qn1pk1/Ppb3p1/3p3p/2pPr1n1/B1P5/2Q1BPPP/R3RNK1 w - -,f2f3
r4rk1/p4ppp/1p1q4/4pN1b/4P3/1P2P2P/1PP3P1/R4RK1 w - -,f5d6
6k1/5p2/6pp/pBn5/8/PP1pP1P1/1b3P1P/1N3K2 b - -,c5b3
r1b1k2r/pp3pp1/2n4p/q7/1b1pn3/6PN/PP1NPPBP/R1BQK2R w KQkq -,h3f4
2r3k1/3qbn1p/2n2p2/1pPbp1p1/1P1p4/3P1NP1/r4PB1/1RBQRNK1 w - -,f3h2
6k1/3q1p2/1p3Q1p/p7/1p6/7P/6P1/5R1K w - -,f1f3
8/pp3pkp/2b5/2P1p1p1/2BnP3/4KP1P/P5P1/3R4 w - -,c4d5
2kr2nr/pp1q3p/6p1/2pPbp2/3n4/4B2P/PP2BPP1/RN1QR1K1 b - -,g8f6
6k1/8/p5p1/4b2p/1PB2N2/4q1PP/P5PK/3RB3 b - -,g8g7
r5k1/1p1b2p1/p1p1pr2/2R2q2/3P1P2/P3Q1P1/BP4K1/7R b - -,f5g6
8/2R2pk1/1P1p1br1/p2P3p/q3r3/5Q1P/5B2/5R1K b - -,e4f4
r3rk2/1bpn1pp1/1p1pn2p/p7/2P1P3/PP2BP2/5NPP/1R2RBK1 w - -,f2d1
r5k1/2pR1R1p/8/1p6/4r3/B5P1/7P/1K6 b - -,a8a3
4R3/6pk/1p5p/p1p2P2/P1r5/3r3P/4RKP1/8 w - -,e8f8
4r2k/5pb1/3p3p/1p6/1P3Pb1/1Q2q1P1/P2R2B1/3R1K2 b - -,g7c3
r1bq1rk1/ppppbppp/2n2n2/4p3/4P3/1B1P1N2/PPP2PPP/RNBQK2R w KQ -,e1g1
rn1qk2r/pb2bppp/1p1ppn2/8/2PQ4/1PN2NP1/P3PPBP/R1B2RK1 b kq -,b8d7:e8g8:a7a6
8/1R2p2p/2n1k1p1/6B1/1p2P1PP/2r2PK1/8/8 w - -,g5d2
8/3nqpkp/r1p1p1P1/p2p4/Pr4P1/1N2Q3/1PP4P/2KR3R b - -,h7g6
1q1r4/5ppk/R2Qp2p/2ppP3/8/7P/5PPK/8 w - -,d6c5
6k1/5ppp/8/p7/1pR3n1/5PP1/3BK2P/7r b - -,h1h2
8/1p3rp1/2p4p/p2kp2P/P7/2P1KPP1/8/1R6 b - -,d5c4
r1b2rk1/ppp2p2/6p1/3pP3/8/2PN1q1P/PP1bKP2/R4B1R w - -,e2f3
8/4b2k/1p2P1p1/3Q1pPp/3N3q/8/PP6/1KB5 w - -,d5d7
2k5/r7/2R5/2PpPp2/3P1K2/7p/8/8 b - -,c8d7
4R3/pp1b3k/2pp3p/5p1B/1PPq2n1/1Q1P2P1/P2N3P/7K b - -,d7e8
r4rk1/1ppb1p2/n2p1np1/3Pp1q1/1PP1Pb1p/2N2P2/4BBPP/1R1QRN1K w - -,e2d3
4r1k1/1p3ppb/2pqpn1p/r3N3/P1P5/3P2P1/P4PBP/1QR1R1K1 w - -,b1b2
2r5/7r/4ppk1/b2p2p1/3P2P1/2PRBPPp/2K5/R7 b - -,h3h2
1r3r1k/4b1pp/5p2/3RpP2/1p4P1/1Q1p4/3Bq1BP/7K w - -,d5d3
8/5p2/p6k/1p1N1P2/1Pn4P/5p1K/5P2/8 w - -,d5c7
r1b2rk1/pp3ppp/4p3/3pP1q1/2PRn3/1QN5/PP2BPPP/4K2R w K -,c3e4
r1br2k1/pp1n2bp/5pp1/3Pp2q/P1B5/2B2N1P/1P2QPP1/R3R1K1 w - -,a4a5
r4r2/1p2ppkp/6p1/2R1Qb2/1q6/p5P1/P3PPBP/5RK1 b - -,f7f6
2r1r1k1/1p3pbp/p2p1np1/q1nP4/P1p1PP2/2N1BB1P/1P3QP1/4RRK1 w - -,e3c5
r4rk1/1b3pbp/pq4p1/3p4/2pP1B2/7P/PP2BPP1/2RQ1RK1 w - -,f4e3
rnbq1rk1/pp1pppbp/5np1/2pP4/2P5/2N1P3/PP3PPP/R1BQKBNR w KQ -,g1f3:e3e4
r1bq1rk1/pp2n1bp/6pn/3p1p2/3P2P1/1QN2N1P/PP2BP2/R1B1R1K1 w - -,g4g5
r3k2r/1p1b3p/pq2ppp1/3n1NQ1/2P5/3B4/PP2RPPP/4R1K1 w kq -,g5h4
2b2rk1/1rqnbppp/3p1n2/1ppPp3/1P2P3/1NP2N1P/2B1QPP1/R1B1R1K1 b - -,f6e4
2b1rbk1/1pq2ppp/2pp1n2/p3r3/P2NPP2/BPnB2QP/2P3P1/3RR1K1 w - -,f4e5
8/3k2N1/1p5p/p3P2P/P4n2/3r4/3K4/5R2 w - -,d2c2
7r/pppk2p1/5pb1/6Pp/2B4P/2B5/PPn2P2/5RK1 b - -,h8e8
rn1qk2r/pbpp1pbp/1p2pnp1/8/Q1PP4/2N2NP1/PP2PPBP/R1B1K2R w KQkq -,e1g1
r1bqkb1r/pp1ppp1p/2B2np1/8/3QP3/2N5/PPP2PPP/R1B1K1NR b KQkq -,d7c6
R7/8/8/8/6pk/8/3r2p1/6K1 w - -,a8a3
rnbqkbnr/pp2pppp/8/3p4/8/6P1/PP1PPP1P/RNBQKBNR w KQkq -,g1f3:d2d4:f1g2
r3r1k1/pp1R1pp1/2p1n3/4p1p1/P3P3/5Q1P/1Pq1NPP1/3R2K1 b - -,e8f8
8/8/7k/6R1/7P/6P1/r7/7K w - -,h1g1
8/p7/1p6/2p1kpPR/2P3r1/1P6/P6P/7K w - -,h2h3
8/8/pkp2p2/2b1p1p1/P1P1P3/1KP2PP1/8/2B5 b - -,c5f2
r2q1rk1/ppp1ppbp/2np1np1/3P4/2P1P3/2NB1Q1P/PP3PP1/R1B1K2R b KQ -,c6d4
6k1/2r2p2/p2Np1p1/2Pnq2p/1PR4P/6P1/5P2/3Q2K1 b - -,c7c6
1k5r/pp4Rp/2r2p2/2P4P/2R4N/3nP3/PP3P2/1K6 w - -,b2b4
r4k2/4pp1p/p2p2p1/2rP4/2Pb1P2/RR5P/4B1P1/7K w - -,h1h2
r2q1rk1/4bpp1/2p1pn1p/1p5P/2PP2P1/pP3N2/P2BQP2/1K1R3R w - b6,g4g5
6r1/8/5p1P/2k5/1p5R/5K2/P7/8 w - -,h6h7
3r4/pp1r1k1p/2p3p1/5p2/1PbP2P1/5P2/2BR1K1P/3R4 b - g3,f5f4
3r1k1r/5ppp/3N1q2/Q7/3R4/1N2n3/PPP3PP/2K5 w - -,d4f4
rn1q1rk1/pp2ppbp/2p2np1/8/2pPP1b1/2N2NP1/PP3PBP/R1BQ1RK1 w - -,h2h3
6k1/p5p1/1B3p2/8/2P5/Pq6/7P/4Q1K1 b - -,b3b6
3k2nr/4ppbp/1p4p1/p1Pr4/b3P3/3B1N2/P4PPP/1R4K1 w - -,e4d5
r3qrk1/1ppb1pbn/3p2p1/p1nPp1Pp/2P1P2P/1NN1B3/PP2BP2/R2QK1R1 b Q -,b7b6
8/pp3pp1/6k1/1q4r1/4pQ2/2P1P3/1P6/4R1K1 w - -,g1h1
r2q1rk1/3b2bn/p2p2p1/1ppPnP2/P7/2N1BPPp/RP1QBN1P/5RK1 b - -,d7f5
8/5k2/6p1/1pN3K1/7P/n7/8/8 b - -,b5b4
5rk1/2p2b2/p4Q2/2p2p1P/2p2P2/q1P5/P5P1/3R2K1 b - -,a3a4
r4rk1/1b1nppbp/p2p2p1/q1pP4/2P1P3/2NQ1N1P/P4PPB/2R2RK1 b - -,g7c3
8/2R3p1/p4pk1/rp4P1/4P3/1K3P2/rB6/1R6 b - -,g6g5
4r1k1/Qp3qb1/P1p4p/5pp1/2P5/P3P1P1/6BP/3R2K1 b - -,b7a6
r2qrbk1/5pp1/b2p1n1p/p2P4/PpN1PP2/6P1/1B3NBP/R2QR1K1 b - -,a6c4
8/8/2k5/1P3p2/p1KBr3/P7/8/8 b - -,c6b7
r1bq1rk1/p3nnbp/3p2p1/1p1Pp3/4N1P1/4B2P/PP1QNPB1/R3K2R w KQ b6,e4g5
2R5/1r2bppk/r3p3/P3P3/n7/1pB1P2P/5PP1/1R4K1 w - -,c3d2
8/6kp/6p1/N4p2/4n3/6P1/5PK1/8 b - -,g7f6
1n1q1rk1/1p3ppp/4b3/4p1b1/P2pP3/Q7/P1P3PP/1KNR1B1R b - -,b8d7
5rk1/pp1q2p1/n2ppn1p/N2b1p2/3P4/QP2BPP1/P3P1BP/2R3K1 b - -,b7b5
8/p4p2/5kp1/1P6/P1R5/r5P1/7K/8 w - -,h2h3
5r2/2p2r1p/p2bR3/2p2p2/2k5/3R1P2/5KPP/2N5 w - -,e6e2
3k4/7R/pp2p3/3pP3/3r2p1/1K4P1/5P2/8 b - -,a6a5
5rk1/1p3rbp/2q1p1p1/1pPpp3/1P2P3/3BQ1P1/5P1P/R4RK1 b - -,f7f3
r2q1rk1/pbpn1pbp/1p1pp1p1/6B1/2PPP1n1/2N2NP1/PPQ2PBP/R4RK1 b - -,f7f6
8/6p1/1R1pk3/4p1p1/3nP1Pp/3r1P1P/4B3/4K3 b - -,d3e3
3q1rk1/1b1rbppp/3pp3/nB6/1P2nB2/5N2/P3QPPP/2RR2K1 w - -,b5d7
3r3k/5ppP/3p1q2/p3nB1P/1pr1P3/8/PPPQ2R1/1K1R4 w - -,g2g3
r1bq1rk1/3n1pbp/2pp1np1/pp1Pp3/QPP1P3/2NB1N1P/P4PP1/R1B1K2R w KQ b6,c4b5
3q2k1/p4p2/3bp1p1/7p/1P1P3P/P1Q2BP1/5K2/8 b - -,d6c7
8/2r2kb1/2p5/NpP2p2/1P1p2p1/3K2P1/5P2/4R3 b - -,g7f6
r2q1rk1/pp2bppp/2p1pN2/5b2/2PP4/6P1/PP3PBP/R1BQ1RK1 b - -,e7f6
2r3k1/pb1q1p1p/6p1/1p1Pr3/2P5/Q3B2P/P2N1PP1/R5K1 w - -,a3a7
4R3/1kp5/8/PP6/3P2p1/2P1KbP1/6r1/4R3 w - -,e3f4
2r3k1/pp3ppp/2rqb3/3pR2n/3P2P1/P1P2P2/1B1Q3P/1K2R3 w - -,g4h5
2r3b1/1k3rP1/8/4Q2p/8/1P2N2p/P4P1K/8 w - -,f2f4
2rq1rk1/pp1nppbp/2bp2p1/8/2P1P3/2NQ1N2/PP1B1PPP/R3R1K1 w - -,a1c1
1r4k1/1brnqppp/pp1pp1n1/8/P2PP2P/1Q3NPB/1P1N1P2/2R1R1K1 b - -,e7d8
r2q1rk1/pp1n1pbp/2p1pnp1/8/1PQP1P2/2N1P3/PB2BP1P/R3K2R b KQ -,d7b6
8/5p1p/6p1/r3k3/8/5P2/4N1PP/4K3 b - -,f7f5
r5k1/5p1p/2p1rp2/p2p4/Pb6/2NR4/1PP2PPP/R4K2 w - -,c3a2
8/6Q1/8/1K6/5kpp/5r2/8/8 w - -,g7d4
r2qk2r/1p2bp1p/p1npb1p1/P7/4Pp2/1N1B3P/1PPNQPP1/R3K2R w KQkq -,d3c4
8/4np1p/1p2k1p1/p2p4/P4PP1/1P1NK3/5P1P/8 w - -,d3e5
8/3rn1k1/8/2R2p1p/3P2pP/5PK1/3RB1P1/7r b - -,e7d5
7k/5Bpp/2nB1p2/8/1p6/1P4P1/r4P1P/7K w - -,f7e8
3rr1k1/bp1q1p2/p3bnnp/2p3p1/3pP3/1B1P1NNP/PP1BQPPK/R3R3 w - c6,b3e6
