8/6K1/4kP2/6P1/8/8/8/5r2 b - -,f1f2
3qr1k1/1Q3p1p/pN4pB/P3pbb1/8/3P3P/1P3PP1/2R3K1 w - -,h6g5
r1b3k1/1ppr1pbp/6p1/1Np1P3/1nP2P2/1P4PP/4N1B1/1R1R2K1 b - -,c7c6
r2n2k1/p1q4p/2p3p1/2Qp1p2/3P1P2/1r1BP3/P3KP2/2R5 w - -,a2b3
r1b2rk1/1pq1bppp/p1nppn2/8/2P1PB2/2NB1N2/PP2QPPP/R4RK1 b - -,c6e5
6k1/5pp1/4b2p/R7/7P/pP2PBP1/P2r1PK1/8 b - -,d2a2
5R2/3k3r/3B4/3K4/8/8/8/8 w - -,d6e5
r4r2/1qpbb1kp/4P1p1/pp4N1/3P4/PB4QP/1P3PP1/4R1K1 w - -,e6d7
2q1r1k1/1N4b1/p3p1p1/1p5p/3P3P/2P3Q1/P1BR1P2/4n1K1 w - -,b7d6
1r6/7r/p2b1p2/2pkp1p1/1PR3P1/P1BP4/3K1P2/4R3 b - -,h7h2
1r1q1rk1/1bpnppbp/3p2p1/2n5/2P5/Q1N2NP1/P2PPPBP/1RB2RK1 w - -,d2d3
r1b1k2r/p1q2pp1/1pp2n2/4pPB1/2P1P2p/2Q4P/PP2B1P1/R4R1K b kq -,f6e4
r1bqk2r/pp3p2/2n1p1p1/2PpP2p/8/P1nBB2Q/2P2PPP/R3K1NR w KQkq -,g1f3
3r2k1/ppq2pp1/4n2p/3pN3/8/4P2P/PP2QPP1/3R2K1 w - -,e5d3
1q1rn1k1/pp1r1pp1/2p2bnp/5R2/2PP4/1P4PP/PBQ1N1B1/3R2K1 w - -,d1f1
5r1k/1b1rNppp/1pBBp3/1P6/1P6/6P1/P4b1P/3R3K w - -,c6b7
r1b1kb1r/1p1n1ppp/p2qpn2/2p5/3P4/2P1NN2/PP2BPPP/R1BQK2R b KQkq -,f8e7
6k1/3b1pb1/pp1np2p/3p2p1/1P1N1PP1/P1BPPK1P/8/3B4 b - -,d6b5
4k2r/p4pbp/b5p1/1N6/P1q1p3/B5P1/P3PP1P/3Q1RK1 b k -,a6b5
r4rk1/pp1Bp1bp/6p1/3P4/3npP2/4B3/P4P1P/2R2K1R b - -,a7a6
3q1rk1/1pp1p1bp/r1n5/p2b1pp1/2NPn3/PP2PNP1/1B2QPBP/2R2RK1 w - -,f3d2
r1bqr1k1/ppp2p1p/2np2p1/3Nb2n/2P1P3/4BP2/PPN1B1PP/R2Q1RK1 b - -,e5b2
rn1r1k2/p4ppp/5n2/2pb1N2/8/5P2/PP2N1PP/2KR1B1R w - -,e2c3
2b5/5r1p/7R/1pk2pP1/5P2/1P2K2P/P7/8 b - -,f7e7
r2r2k1/p6p/4pp2/1pPq4/1p1Pn1N1/4Q1P1/P3PP1P/R2R2K1 b - -,g8h8
1r6/2qb1kbp/3p1Bp1/p1pBpp2/2P5/Q1NP2PP/P3PP2/1r3RK1 b - -,f7f6
3r1rk1/ppp1qppp/5n2/3Pn3/2P2B2/4P2P/P4PP1/2RQKB1R b K -,c7c6
8/3R4/1K6/7P/4kr2/8/4p3/8 w - -,h5h6
8/5p2/p4k2/5P1p/r3PK2/8/PR5P/8 w - -,h2h4
r1bq1rk1/pp2npbp/2np2p1/2p1pP2/4P3/2NP1NP1/PPP3BP/R1BQ1RK1 b - -,g6f5
2r1k2r/3bbpp1/1n1p4/p1q1pPNp/1p2P1nP/1P1B1R2/PBPNQ1P1/3R3K b k h3,f7f6
4rr2/1bpq2k1/2np2pp/p1p1pn2/2P1NP2/P1NP2PQ/1P4BP/4RRK1 b - f3,b7c8
r1r3k1/2p1b1pp/3pNn2/3Pp3/2P5/PnN1B1PP/QPq2PB1/3R2K1 b - -,a8b8
rnb2rk1/1pp1b1pp/3ppnq1/p4p2/2PP4/P1N2NPP/1PQ1PPB1/R1B1K2R w KQ -,d4d5
r1b2rk1/2q1bppp/2p1p3/p2n4/3PN3/P7/1P2BPPP/R1BQ1RK1 b - -,c8a6
1rb1r3/1p1nqpkp/p2p2p1/2pPn3/P7/2N2NPP/1P1QPPB1/R3R1K1 w - -,b2b3
1rb1nrk1/1pq1ppbp/p2p2p1/2nNP3/2P2P2/4B1PP/PP2N1B1/R2Q1RK1 b - -,c7d7
7k/8/4r1p1/1B6/P7/4n1PP/7K/3R4 w - -,d1d7
r1bqkb1r/pp2pppp/2n2n2/2pp4/8/2PP1N2/PP1NPPPP/R1BQKB1R w KQkq -,e2e4
r2qk2r/4ppb1/p2p1npp/1p2n3/2b1P1P1/1NN1BP2/PPPQB2P/2KR3R w kq -,g4g5
r3k2r/ppp1ppb1/4q2p/4P1p1/8/2N1Qb2/PPP2PPP/2KRR3 w kq -,e3f3
r1b1r1k1/ppp2p1p/6p1/3q1P1Q/3Pp3/2P1B3/P1P3PP/R4RK1 w - -,h5h6
6r1/8/8/8/8/8/5k1K/8 b - -,g8h8
r1bq1rk1/ppp1ppbp/2np1np1/8/4P3/2NP2P1/PPP1NPBP/R1BQ1RK1 b - -,e7e5
r1bq1rk1/pppnppbp/3p1np1/8/3PP3/2N2NP1/PPP2PBP/R1BQK2R w KQ -,e1g1
2rr2k1/1p3ppp/p7/P3PpPq/1P1BpP1P/2P2bQ1/7K/2R1R3 b - -,c8c6
r3k2r/p3b1p1/1p1qpn2/3p1p2/1P1PNR2/P2BP1P1/7P/R1B2QK1 b kq -,f6e4
8/5rk1/1r3R2/4P1p1/8/1P5P/8/5R1K b - -,f7f6
3r2k1/2r5/4pR2/3b4/4p1PP/4P1K1/5P2/1R6 b - -,c7f7
2R5/5p1k/4pbqp/8/Q4P2/3rB1P1/5PK1/8 w - -,c8c7
r5k1/1p3pp1/5b1p/2Pr1b2/1P3P2/6P1/2Q1N2P/5RK1 w - -,c2c4
4r3/1kp4p/p4pp1/Qp2p1r1/1P1P4/2P1RPqP/P3R1P1/7K w - -,a5a3
8/2R2rkp/1p6/pP1p3p/3Pp3/6K1/1P3P2/8 w - -,c7c6
r3n1k1/3r1nbp/1BNp4/3Pp3/4Pp1q/1Q3PpP/PPN1B1P1/5RK1 w - -,f1c1
1r6/1r2bqnk/4p2p/1p1pPp1P/p2P1Pp1/PnP3P1/2NBNK2/3R2QR b - -,b8c8
2r1n3/5k1p/1RB1p1p1/3pPp2/p2B1P2/4P1P1/1P5P/2n3K1 w - -,c6d7
r3q1k1/p2b1ppp/1p3n2/3p3r/3N1Q2/1P1BP3/P4PPP/2R2RK1 b - -,f6e4
1rbqr3/1ppn1pbk/p2p1npp/8/1PPNP3/2N1B1PP/P2Q1PB1/3R1RK1 b - b3,c7c5
1rbqkb1r/3n1p1p/p3pp2/2p5/Pp1PB3/4PN2/1P3PPP/R1BQK2R w KQk -,e1g1
8/5Q2/8/8/3K1k1p/1P3bp1/1P2r2P/8 b - -,f4g4
8/3q1k1p/Q2b4/1p1Ppp2/2p1P3/2P2P2/5BP1/5K2 w - -,e4f5
8/5p2/1bB3kp/1P2P3/1B3PP1/8/6K1/3r4 b - -,d1g1
r1b1k2r/pp3pp1/2p1q3/3pPn1p/1P1P1P2/1N1Q4/P3B1PP/2R2RK1 w kq -,e2f3
7r/1kp2p2/1p2b3/p1p1P1p1/P1P2pP1/1P3P1P/3R2K1/2B5 w - g6,d2d3
5rk1/p3R2p/3p2p1/2pPn3/8/5NQ1/q4rPP/5RK1 b - -,e5f3
3q2k1/4bp1p/Q3p1p1/1pp1P2P/P7/2P2N2/1P3PP1/4r1K1 w - -,f3e1
1rbqk2r/4n1bp/pp1p2p1/2p2p2/P3PP2/2PP4/1P1N2BP/R1BQ1RK1 b k -,e8g8
r1b1k2r/pp1nb1pp/1qn1pp2/3pP3/3P1P1P/5NKN/PP4P1/R1BQ1B1R b kq -,d7f8
8/2r2p2/1K2pP2/4k2p/1P6/7R/7P/8 b - -,c7c2
8/bp3p1p/p3p3/4k1p1/1P1pPn2/P6P/3KNPP1/5B2 w - -,e2f4
2N3k1/6p1/P6p/1rb2p2/1p2p1PP/8/3R2K1/8 b - -,b4b3
8/5p2/1N3Pk1/4p2p/pR1rn3/8/PPP4P/2K5 w - -,b4a4
6k1/p4r2/P5p1/4p2p/1R1nPP2/6P1/2r5/4RK2 b - -,h5h4
3rr3/1p1bq1pk/p1p4p/P1RpPp2/1P1Q1P1P/4PBP1/5K2/6R1 w - -,c5c1
q6r/3bbk2/1pn1pp2/3pPp2/1P1P1P2/3NB1P1/r4RK1/1R1Q2N1 w - -,g1f3
rnbqkbnr/pppp2pp/4p3/8/2P1p3/2N5/PP1P1PPP/R1BQKBNR w KQkq -,c3e4
5nk1/6p1/1pQ3P1/1P3P2/3p4/6P1/q1B1K3/8 w - -,e2d3
r6k/4ppq1/P2p3p/2pPn1p1/4P3/1r4PP/4QPBK/R2R4 w - -,d1b1
r1bqkbnr/pppp1p1p/2n3p1/4p3/2P5/1P6/PB1PPPPP/RN1QKBNR w KQkq -,e2e3:g1f3
r3kb1r/ppqnppp1/2pp1n1p/3P4/4PBP1/2N2Q1P/PPP2P2/2KR1B1R w kq -,f3e2
rr4k1/p2bppbp/3n2p1/1P1PP3/8/4BN2/3KBPPP/1RR5 b - -,d6b5
8/5kb1/5p2/p1p1p1p1/P1P1P1P1/1P1K1PR1/7P/8 b - -,g7f8
8/4Nkp1/1p6/4R1Pn/3P4/2P2K2/2r5/8 w - -,g5g6
r5k1/5pp1/4bn1p/3p4/3Q2P1/1qRP3P/1P6/1K3R2 b - -,b3a2
rnb1r1k1/pp1q1pbp/3p1np1/2pP2B1/2N5/2N1P3/PP3PPP/R2QKB1R w KQ -,a2a4
6k1/7p/1p1n4/p2P2p1/2PqprP1/1P4R1/6KP/3BQ3 b - -,d6f7
5rk1/3q3p/p2p2p1/nppP4/4RrNP/1PP5/P1Q2PK1/7R w - -,e4f4
8/2B1k3/5p2/1pn2P2/3KP3/8/2P5/8 b - -,c5a4
1r4k1/1p1n2pp/2p1p1b1/p1P1P3/5r2/PP5P/1B2PPK1/R1R2N2 w - -,f1g3
r4rk1/1pbq2p1/2n4p/p1p5/2Pp1pb1/PP1P1NP1/2Q2PBP/2B1RRK1 w - -,g1h1
r7/2r1n3/2P1k2p/1b1pN1p1/1p3P2/1P3BPP/2R1PK2/3R4 w - -,c2c5
8/r1kp3p/p2Rp3/2P1Ppp1/1P6/6PP/5K2/8 w - -,d6d4
r2qkb1r/pb3ppp/1pn1p3/3N4/8/3BBP2/PPP3PP/R2QK1NR b KQkq -,e6d5
2kn4/p3b1Q1/1pr1q1p1/2pnB2p/P2pN3/NP1P4/2P3PP/5RK1 w - -,a3b5
3r1n1r/1p6/p1p2kp1/2P2p2/1P1P3P/P1K2BR1/8/7R b - -,f8e6
r3r1k1/ppp2ppp/2n1b3/3p4/3P1q2/2PB1N1P/PP3PP1/R2Q1RK1 w - -,d1d2
8/3kpp2/6pb/3P1n1p/RB3P2/3P2P1/1P6/1K6 b - -,f5g3
8/5kp1/7p/2R5/3n4/6BP/5PPK/3r4 w - -,g3e5
8/1p1r4/1pp2k2/3b2p1/3P1p2/P1P5/1P3KB1/4R3 b - -,d5g2
R7/pr2p2R/3pkp2/3N2b1/KPPn4/8/8/8 b - -,f6f5
1r4k1/p3q1p1/4p2p/2p5/Q2nR3/P6P/4bPP1/2R3K1 w - -,c1e1
2R2N1k/4q1p1/p2p4/P2Pb2p/6Q1/8/1P5r/2R3K1 b - -,e7a7
6k1/R7/7p/1r6/5P2/6KP/8/8 w - -,g3g4
3r4/R7/B4k2/P3p2b/1P6/4p3/2P5/2K5 b - -,e5e4
2rqr1k1/1p1bppbp/3p1np1/p1nP4/P4N2/2N1B1PP/1PPQ1PB1/R4RK1 b - -,d7f5
2r2rk1/4b1pp/8/p2b4/2R1NpP1/1P1P1N2/P1P4P/5RK1 b - -,d5c4
8/1p1bkp1p/1r1p2p1/3Pp3/4P3/P3nBP1/1P1N3P/1R4K1 w - -,g1f2
r3k2r/p3bppp/5q2/1PpPp3/Q7/2N2P1P/PP3P2/R4RK1 b kq -,e8g8
r3r1k1/1p4pp/2pn1pq1/p2p4/P4PbR/1P2PBP1/1B1Q1KP1/R7 b - -,g4f3
r4rk1/1bqnppbp/pp1p1np1/2p5/2PPP3/2NBBP2/PP1QN1PP/3R1RK1 w - -,b2b3
5k2/4r2q/5Q2/1p6/7P/2P5/1P4RK/8 b - -,f8e8
2r2rk1/p5pp/4b3/2Pp4/4pq2/P1Q4P/4BPP1/1RR3K1 w - -,c3d4
8/6R1/3p3p/3P3k/1p1b1p2/5K2/5P2/8 w - -,g7b7
3r2k1/p6p/2b5/3p4/2p1p3/2P5/PP3rPP/2NR2K1 w - -,g1f2
2bq1rk1/4ppbp/1pPp2p1/RP6/8/8/4BPPP/2BQK2R b K -,g7c3
r2q1rk1/pb1nbppp/1p1pp3/2p5/2P1P3/1P1P1NP1/PB3PBP/R2QR1K1 w - -,d3d4
8/4pk2/1r4p1/2pPp3/P2r3P/2N2PK1/1P2R1P1/8 b - -,d4b4
8/2P5/3K1pR1/5P2/3n1NP1/2r5/3k4/8 b - -,d4b5
1qr1r1k1/p5p1/4pn1p/3p4/N3p3/1P2P2P/PB2QPPb/2RR2K1 w - -,g1h1
r4rk1/pp1n1ppp/2pqp1b1/8/3Pn3/1B2Q1N1/PPP1NPPP/3RR1K1 b - -,d7f6
r3qrk1/1pp3p1/p1nbbnPp/P2p1p2/1P1Pp3/2P1P3/3NNPB1/R1BQK2R w Q -,d2b3
2kr1b1r/1pp2pp1/p1p5/4n2p/4P3/5N1P/PPP2PP1/R1B1R1K1 b - -,e5f3
8/5k2/2R2p2/2p4r/2P2P2/4N1K1/4b3/8 b - -,e2d3
2r3k1/1r1bppb1/1pn3pp/q2p4/3P1B1P/PQP2N2/4BPP1/R4RK1 w - -,f1e1
2r4k/1qrnbppp/p2ppn2/p7/N1PP1N2/1P1Q1P2/3B2PP/R1R3K1 b - -,c8g8
5k2/5P1p/4K3/8/8/8/7P/8 w - -,e6f6
r2r2k1/1pq2pp1/p3pn1p/8/2PR4/1P3N1P/P3QPP1/4R1K1 w - -,e1d1
r1b2rk1/ppq1n1pp/4p3/3pPp2/3n4/PQ1B4/2P1NPPP/R1B1K2R w KQ -,b3c3
8/5p1p/3P2pk/4Qp2/q7/7P/5PP1/6K1 b - -,a4d1
r4r2/1bpnq1kp/3p1pp1/2p5/2P1PP2/1PQN1R2/6PP/1B2R1K1 w - -,h2h4
5r2/p2q1k2/1bQ2p2/4pP2/4P3/2P5/P7/K7 w - -,c6d7
1k1rr3/1p5p/1pp2pb1/3p3B/PP3P2/6P1/4P2P/R1R3K1 w - -,h5f3
8/6pk/5p1p/2B1p2P/1P2P3/5P2/1r2b1P1/R5K1 b - -,h7g8
4R1b1/1pkB2r1/p2p1pPp/P2p4/3P4/5P2/1PPK4/7R w - -,d7f5
2rq1rk1/1p1bppbp/p2p1np1/8/3nPPP1/2N1B2P/PPP3Q1/2KR1B1R w - -,e3d4
8/2p3p1/5p1k/7P/2KP3P/3NnP2/8/8 w - -,c4c3
2r1k3/1q1b1p2/1b2pP2/3pr3/pP1P2N1/P1N3Pp/3Q3P/1R1R2K1 b - -,e5h5
8/1p2N2R/3k4/p2P4/Pr6/8/3K4/8 w - -,d2c3
r1b2rk1/pp1pnpbp/4p1p1/q1p5/4P3/2PPB1P1/PP1QNPBP/R3K2R w KQ -,e3h6
1r1q1rk1/pp1bppbp/3p1np1/n1pP4/2P5/1PN3PP/P1QNPPB1/R1B2RK1 b - -,a7a6
1r4k1/Q3np2/3bq1p1/3p3p/3P1P2/P1N1PR1P/3B2P1/6K1 b - -,b8b2
3k4/pp1np2p/2p3pB/q4B2/3PN1Q1/7P/1Pn3P1/3R3K b - -,g6f5
1r1qr1k1/Q1p2ppp/2p5/3pPb2/5P2/2B5/PPP2RPP/R6K b - -,e8e6
rn4k1/2qn2bp/1pp5/3p1p2/P7/3QB2P/1P4P1/2R2RK1 w - -,d3f5
6k1/5p1p/8/1p2Pp2/1Pr1q3/4RQP1/6KP/8 b - -,e4f3
6k1/pp5p/n2N2p1/2pP4/5rb1/8/PP3P1P/4RBK1 b - -,g4f3
rq3rk1/p5pp/4b3/2ppPp1n/5P2/P2B3N/1PQ3PP/1K1R3R b - -,b8b6
r5k1/pb2rpbp/1p4p1/2nN4/2N1p3/1P2P3/PB3PPP/R2R2K1 b - -,b7d5
r1b1k2r/1p1nppb1/p2p4/2q3B1/3NP1n1/2N5/PPPQ2PP/R3KB1R w KQkq -,d4b3
8/1b3kpp/1p1b1p2/8/1p1Prn2/5N1P/PP1K2PB/3RR3 b - -,e4e1
2kr3r/5ppp/bN1n4/8/1P3N2/4P3/P5PP/2KR3R b - -,c8b7
2rq1r2/1b3pbk/1pn1p1pp/p1p1Pn2/2Pp2NP/3P1NP1/PP2QPB1/R1B1R1K1 w - -,c1f4
5rk1/1N1bp2p/1n2p1p1/2r5/1q2PP2/2N3P1/PPP1Q2P/1K1R4 w - -,a2a3
r1r3k1/1q2bppp/2bR4/p3pP2/4P3/PPN1BQ2/1P5P/3R2K1 w - -,d6d3
1k6/pp3p2/1qn1b2p/3pP1p1/3P1p2/1PQN4/P3NPPP/4K3 b - -,e6f5
r1b1kb1r/pp1n1ppp/2n1p3/qNppP3/3P1P2/4BN2/2P3PP/1RQ1KB1R w Kkq -,e3d2
1R6/3k1B2/6p1/5p1p/b2r1P2/7P/1K4P1/8 b - -,d4f4
8/8/pb1B1k1p/4p1p1/PP2K1P1/7P/8/8 b - -,b6d4
8/8/p6p/P1N1k3/2b5/4K3/8/8 w - -,c5d7
2r3k1/4brpp/p1p5/3p4/8/3RB3/PPP2PPP/4R1K1 b - -,e7f6
3r2k1/pr3pb1/2p1b1p1/2p5/4p2p/2PPB3/PP3RPP/R4NK1 w - -,d3e4
r3kb1r/p2n1pp1/2q1p2p/1pPpP3/1Pp4B/2P2b1P/P3BPP1/2RQ1RK1 w kq -,e2f3
2k2rr1/pp4q1/2p1pn2/2PpN3/P2Pb2p/R4BP1/1P1Q1P1P/4R1K1 b - -,e4f3
5bk1/1q3p2/3p2pp/2n1p3/1p2P3/1P2QNP1/r1P1RP1P/4BK2 b - -,b7b5:f8e7
4r1k1/ppq3pp/2nb2r1/3p1N2/1P1P1P2/P2Q1R1P/1B3R1K/8 b - -,e8e4
r4kr1/pp3p2/3p4/2pP3q/2P1Q1B1/2P1P3/P4KP1/R5R1 b - -,h5g4
1Bb1r1k1/3p1pp1/p6p/1p1BP3/8/2r2N2/P1P2KPP/1R2R3 b - -,c3c2
6k1/R6p/6p1/1P3p2/5n2/2N4P/Pr4P1/6K1 w - -,a2a4
4b3/8/4P1k1/p2pK1Pp/2pP3P/P1P5/8/8 b - -,e8c6
8/8/8/4pk1p/7P/5K2/8/8 w - -,f3e3
r6r/1bpqbp2/p2p2k1/3P2pp/3Q4/2NN1P2/PP4PP/R3R1K1 w - -,d4e4
2kr3r/ppp2ppp/2n2n2/q2B2B1/1b4b1/2N2N2/PPP2PPP/R1Q2RK1 b - -,f6d5
4rnk1/p4pp1/q1p1b2p/8/4N1P1/2Q4P/PP3P2/1K1RR3 w - -,a2a3
1r2r1k1/Rb1nqppp/2pp4/6b1/1p1PP3/1B2BPN1/1P3QPP/3R2K1 b - -,g5e3
5rk1/1p2b1np/4p1p1/p1n5/2P5/1P3N2/P2R1PPP/3R1K2 b - -,e7f6
r4rk1/4qppp/2pb1n2/p2p1b2/P2P4/1NN1P3/4BPPP/R2Q1RK1 b - -,f8b8
8/7p/6P1/r3p2P/5pPK/3pkP2/P2R3R/4r3 b - -,h7g6
r1B2r1k/ppp3b1/3p1nqp/3Pp1p1/1PP1N3/4QPBP/P5P1/R4RK1 b - -,f8c8
kb6/6R1/K7/8/8/P7/8/8 w - -,g7d7
3r4/pb3pkp/1p4p1/2p5/2P3P1/P3PB1P/1PK5/5R2 b - -,b7f3
1n6/1B6/8/Pp2k3/4p3/2P3P1/3b1K2/8 w - -,a5a6
r2q1rk1/1p2bppp/p1np1nb1/4p3/4P1PN/1BN1B2P/PPP2P2/R2Q1RK1 b - -,c6a5
r4r1k/5ppp/p2R4/1p2p3/q3b3/P3N2P/1PP1QPP1/1R4K1 b - -,a8c8
4Bk2/1p2n1p1/3KP3/p2p1pP1/P2R4/1P4P1/7r/8 w - -,e8b5
3r1r2/p4pkp/4p3/5pP1/2pq3P/P2b1BQ1/5P2/2R1R2K w - -,h4h5
r1b1kb1r/pp1n2pp/1qn1p3/3pP3/3P4/2N2N2/PP4PP/R1BQKB1R b KQkq -,f8e7
5r2/2nk3p/1p1p2p1/p7/2P1KP2/2N4P/PP4R1/8 w - -,h3h4
5nk1/4r1b1/6pp/3r4/p1R5/P4NBP/5PPK/1R6 b - -,e7a7
3q1rk1/1p2ppbp/1nn3p1/r2pPb2/p2P1P2/1PNBBN2/P2Q2PP/R4RK1 b - -,d8d7
3rr1k1/6bp/q5p1/3n4/Ppbp2P1/1N5P/PB3PB1/1Q1RR1K1 w - -,e1e8
5Q2/p2q2pk/1p1P4/4R3/P1p1P2p/2P1K3/6rP/8 b - -,g2h2
r1bqk2r/ppp2ppp/2np1n2/b3p3/2P1P3/P1NP1N1P/1P3PP1/R1BQKB1R b KQkq -,c6e7
1rbqkb1r/p2n1ppp/4p3/1pp1P3/2pQ4/2N3P1/PP2PPBP/R1B2RK1 w k c6,d4e3
r2r4/1b2kpp1/p1n1p2p/P1n5/1p6/1B2P3/1P1N1PPP/R1BR2K1 w - -,b3c2
rnbqk2r/ppppnpbp/4p1p1/8/2PP1B2/2N2N2/PP2PPPP/R2QKB1R b KQkq -,d7d6
r2q4/pQp2k1p/3pb1p1/8/2P2P2/2N3P1/PP5P/n4RK1 w - -,f1a1
3r2k1/7q/2N1pr2/1P1n1ppp/3Pp3/Q5PP/P4P2/4RRK1 b - -,d8f8
6k1/4Bpbp/q2p2p1/3P4/4P2Q/1P6/2p1nPPP/4R2K w - -,e7g5
8/8/1p2kpp1/2p4p/P1n2KPP/5P2/2P5/4B3 b - -,c4a3
8/p3R3/k7/1p4p1/1Pq1B3/8/3B4/4K3 b - -,c4c8
2rq1rk1/1p1npbbp/p2p4/n4p2/2P2N2/N3BP2/PP1QB1PP/2RR2K1 b - -,a5c6
rn3rk1/ppq1bppp/2p1pn2/4Nb2/2BP1B2/2N5/PPP2PPP/R2QR1K1 b - -,e7d6
r1bqr1k1/b1p2pp1/p1np1n1p/Pp6/3PP3/1B2BN1P/1P3PP1/R2QRNK1 b - -,e8e4
8/5pk1/2bN4/2PnrP2/4R3/5P2/P4K2/5B2 b - -,g7f6
r2r2k1/pb1qbppp/1pn1p3/2pn4/Q7/P1NP1NP1/1P1BPPBP/2R1R1K1 b - -,a8c8
R7/2pr2k1/1p4p1/1P3p1p/2P4P/2nB1KP1/8/8 w - -,d3f1
5r2/p3k2p/1p1p4/1PrPn1p1/P1p1P3/5P1P/4B1K1/R1R5 w - -,c1c3
2rqbr1k/p3b1pp/1ppn1n2/3pNp2/Q2P1B2/2N1PPP1/PP2R1BP/2R3K1 w - -,a4d1
r2qkb1r/pp1n1ppp/2p1p1bn/3pP3/3P4/1N3N2/PPP1BPPP/R1BQK2R w KQkq -,e1g1
5R2/8/8/8/2K2n2/4k3/8/8 w - -,f8e8
3R4/1k5r/1p5q/p7/3R4/5P2/5BP1/6K1 w - -,f2g3
5r2/p2rq1bk/2R3pp/1R1np3/2Q1NpP1/2B2P2/P2PP1KP/8 b - -,d5b6
r3r1k1/ppq2ppp/5n2/2Pp4/1P2p1b1/P5N1/2BQ1PPP/R4RK1 b - -,a8d8
5rk1/pP1n2p1/1p2p2p/3P2n1/8/1PNQ2R1/PBK1B3/7q b - -,d7c5
r1bq1r2/ppp2pbk/n1p3pp/8/2P2B2/2N3P1/PP2PPBP/1RQ2RK1 b - -,d8e7
2rq1rk1/pp2bpp1/2n2n1p/8/3p1B2/1bN3P1/PP1RPPBP/3Q1RK1 w - -,a2b3
rnbq1rk1/pp2ppbp/2p3p1/3p4/2PP1B2/2P1PN2/P4PPP/R2QKB1R w KQ -,d1b3
8/1k6/6R1/4N3/5K2/8/4r3/8 b - -,e2e1
r1b1k2r/pp1n1ppp/2p1pn2/q2p2B1/2PP4/PQb1PN2/1P3PPP/R3KB1R w KQkq -,b3c3
b5k1/p4rpp/1p3n2/4p3/4P3/5P2/PPPq2PP/R3K2R w KQ -,e1d2
r4k1r/p2q1pp1/1p2p3/3pPn2/2pP3p/2P1NP2/PPQ2KP1/R6R b - -,f5e3
1rq5/1r1nkb2/1Pp1p1p1/P1Pp1p1p/3Q1P1P/3N1PP1/1RB3K1/1R6 b - -,b8a8
5k2/8/5r1R/7K/6P1/8/8/8 b - -,f6f1
8/8/3b3k/7P/7p/5P2/6K1/8 w - -,f3f4
8/3bk1N1/3b3p/p1p2pP1/p1B1q3/2PQ2P1/1P3K2/8 b - -,h6g5
3r1rk1/1p2bpp1/pNqpb2p/P3p3/4PnP1/1P2NP2/2PQ3P/R2RB2K w - -,e1g3
4rR2/4P3/2n3kp/6p1/8/7P/1P1B2P1/7K b - -,e8e7
r1bqr1k1/1p1n1pbp/2pp1np1/p3p3/2PPP3/2N2N2/PP3PPP/1RBQRBK1 w - -,d4d5
8/8/7p/4K3/6p1/8/5k2/5N2 w - -,e5f4
r2qk2r/1p1nbppp/p2p1n2/2pP4/2P2Bb1/3B1N2/PPQN1PPP/R3K2R b KQkq -,a8b8
6k1/2p2pbp/pp4p1/4p3/2P5/3nPNBP/P4PP1/6K1 w - -,g1f1
