8/p7/1p4p1/4kp2/PPP5/4K3/8/8 b - -,g6g5
r4b1r/1p1k1p1p/p5p1/3pP3/8/1P6/P2B1PPP/R3K2R w KQ -,d2c3
6k1/p2r3p/6p1/3P4/3RB2P/5P2/Pr4P1/7K w - -,d4a4
r2qnrk1/1b1nbpp1/pp2p2p/2pp4/2PP1B2/N3PN1P/PP3PP1/1BRQ1RK1 b - -,a8c8
1r2r1k1/1p2q1np/pN4p1/P1pP1p2/1R2b3/4P1PP/5P2/Q1R2BK1 w - -,b4c4
2b5/1p6/1kp1np2/p3p1p1/P1P1P1P1/1P2KP2/2N1B2r/3R4 w - -,d1d2
1qrr2k1/1b2bppp/2n1pn2/1p1p4/1P6/P2NP1P1/1BN1QPBP/2R2RK1 b - -,f6d7
rnb2rk1/pp2pp1p/1n4p1/2P5/5B2/2P1P3/P4PPP/2RqKBNR w K -,c1d1
3r4/1p4kp/p1B2qp1/2P1p3/1P3nbP/P4N2/1Q3PP1/4R1K1 b - -,f4d3
3n4/p2k4/1p1p2q1/1P1p1pN1/3P1B1P/2P5/P4PP1/4R1K1 w - -,a2a4
8/1P3p2/8/6k1/7p/Pr6/7R/K7 w - -,h2b2
rnb1kbnr/ppq2ppp/2pp4/4p3/3PPP2/2N5/PPP3PP/R1BQKBNR w KQkq e6,f4e5
br2r3/p2nqpkp/1p4p1/8/1PN1p3/Q5P1/P3PPBP/2R2RK1 w - -,a3a7
8/5rkp/5p2/3Q4/1Bn2qP1/P7/6P1/4R2K b - -,c4e5
1br3k1/1p1q1ppp/p4n2/3pn3/3N1N2/1P2P2P/PB2QPP1/3R2K1 w - -,d4f3
3R4/5p1k/5Pp1/1r2P1P1/2p5/2P5/1P6/6K1 w - -,e5e6
2r2rk1/pp1bbpp1/4p2p/n7/3PNq2/P2Q1N2/BP3PPP/3R1RK1 b - -,d7a4
3b1k1r/5p1p/3P1p2/2Q5/8/4P3/4q1PP/3R2K1 w - -,d6d7
2rr2k1/6bp/pq1P1pp1/Bpp1p3/8/1P2P1PP/PQ3PB1/R2R2K1 b - -,b6a5
r1bq1rk1/ppp3pp/2n1pn2/5p2/2BP1B2/P1N2Q2/1PP3PP/2KR3R b - -,c6e7
r1bqkb1r/p4ppp/2ppp1n1/2p5/4P3/BPP2N2/P2P1PPP/RN1Q1RK1 b kq -,f8e7
r2qr1k1/1n2ppb1/2p3pp/1p1nP3/p1bP4/P1N2N1P/1PBB1PP1/2RQR1K1 w - -,e5e6
r5k1/p4ppp/R3r3/1P6/2pPpPbq/1nP1P3/2Q3PP/1BB2RK1 b - -,a8e8
1q6/6k1/p1RpQ3/8/Pp5P/1P5K/6P1/5n2 b - -,d6d5
4rrk1/pp1q3p/3p2p1/2pPbp2/3nP3/3PB1P1/PP1QN1KP/R4R2 w - -,e3d4
r4rk1/ppqnbpp1/2p1pn1p/2Pp1b2/PP1P4/2Q1PN2/3NBPPP/R1B1K2R w KQ -,c1a3
2r5/1k2Q2p/1Pq3p1/8/2p5/6P1/5P1P/R5K1 b - -,b7b6
8/rp4kp/1p6/2p5/1P6/4R3/6PP/1B3bK1 w - -,g1f1
r1bq1rk1/pp1nppbp/2np2p1/2p5/3PP3/2PB1N1P/PP2QPP1/RNB2RK1 w - -,c1e3
1q1b1rk1/1b3ppp/p1rpp3/3nP3/N2B1PQ1/3P1N2/1P4PP/R4R1K b - -,c6c2
r4rk1/ppqb2p1/2n2n1p/3p4/8/1N1BBN1P/Pb3PP1/R2QR1K1 w - -,a1b1
r1q2rk1/pbpnppbp/1p4p1/2P5/8/1QP2NP1/P3PPBP/R1BR2K1 w - -,g2h3
5r2/1p1b1rbk/pP1p3p/2pN2Nq/2PpP3/P2P2P1/4Q1KP/1R3R2 b - -,h5g5
3B4/8/5pk1/P5p1/7p/4r2P/4B1PK/8 w - -,e2f3
8/8/3R3p/6p1/4p1P1/P1p1k2r/8/2K5 w - -,a3a4
4q1bk/1pb3p1/p4r1p/3r1p2/P3nP1Q/BP1RPN2/2N3PP/3R2K1 b - -,d5d3
1r4k1/p1pq2pp/b1p1np2/3p4/P2P4/1N3P2/1PQ2BPP/4R1K1 w - -,b3a5
6k1/p7/6pp/3N1p2/P3r2P/1P1R2P1/1b3P2/5K2 b - -,g8f7
8/3b1pkp/2N2bp1/4p3/8/1P3BP1/2r2P1P/1R4K1 w - -,c6b4
8/p4R2/8/4p3/P1p1P2p/4kP2/2r3P1/5K2 w - -,f1g1
r2r2k1/3q2bp/1p3pp1/p2Ppn2/8/1NB2Q1P/PP3PP1/R2R2K1 w - -,a2a3
7r/1p2rkp1/pBnRbp2/4p3/P3B1p1/2P2P1P/2P5/1R4K1 w - -,h3g4
4r1k1/5bp1/pr3p1p/2pp4/5N2/R7/2B2KPP/B7 w - -,a3a5
r2qr1k1/1ppb1pbp/3p2p1/3Pn3/p2NPP2/4B1P1/PP4BP/2RQ1R1K b - -,e5g4
8/8/5K2/8/1R6/1k6/8/8 b - -,b3b4
r1b2rk1/p3b1pp/2pq4/3ppp2/4N3/2P1BN1P/PP3PP1/R2QR1K1 b - -,f5e4
8/8/1r4k1/p1R4p/8/6PK/8/8 w - -,c5d5
6k1/1p2r3/p1p2pp1/3q3p/1PNPp1rP/P3PnP1/4KP2/R1R4Q w - -,c1c3
r1bqkb1r/pp1n1p1p/2n1p1p1/2ppP3/5PQ1/1PN2N2/PBPP2PP/R3KB1R b KQkq -,a7a6
r2rn3/2q2bkp/p1p2pp1/1pP1pP2/1P2P2P/P1QB4/4N1P1/3R1RK1 b - -,d8d7
3r1r2/ppR1np1k/3p1bpp/1B6/3pPB2/PQ6/1P3K1P/8 b - -,a7a6
r3kb1r/ppqn1p1p/2p1p3/5pN1/3Pb3/6P1/PPPB1PBP/R2QR1K1 b kq -,e4g2
2rr1k2/1qbbnpn1/p3p1p1/1pPpP2p/1P1B1PP1/P1NB1N1P/5Q2/2R3RK w - -,f2h4
6k1/7p/r1p3p1/3pr3/Pp3p2/1P1R4/5PPK/2R5 w - -,d3d4
r1bqk1nr/1p1nppbp/p2p2p1/2p5/2PPP3/2N1B1P1/PP2NP1P/R2QKB1R b KQkq -,a8b8
4B3/7p/8/3p1pk1/8/5pP1/8/3K4 w - -,d1e1
4r1k1/4np1p/p1qpp1p1/1p5P/2rPQPP1/P7/1P1B4/4RR1K w - -,d2c3
r2qkb1r/pb1n1ppp/4pn2/1ppp2B1/3P4/2P2NP1/PP1NPPBP/R2Q1RK1 b kq -,f8e7
2r2rk1/pp1qn1bp/2npb1p1/2pNpp2/2P1PP2/3P2PP/PP2N1BK/R1BQ1R2 w - -,a1b1
r2qk2r/pb1n1pp1/1p1pp2p/3P4/3P1P1b/3B1NP1/PP1NQ2P/R3K2R b KQkq -,h4f6
1r2k2r/p1nbppbp/3p4/qPpP1p2/8/2N1P1N1/PP1Q1PPP/1R2KB1R b Kk -,h8g8
r1b1k2r/pp2ppbp/1qp2np1/8/3P1B2/2PB4/PPQ2PPP/R3K1NR w KQkq -,g1f3
4r3/ppq2kp1/4pp1p/3p4/2nP1bP1/1R5P/PPP1QP2/1K2R3 w - -,b3c3
1rbqk2r/pp3p2/2npPb1n/2p3pp/4P2N/2NP2PP/PPP3B1/R1BQ1RK1 b k -,g5h4
8/8/8/pB6/P7/2P1k3/7r/2K5 b - -,h2h4
6k1/p2r1p2/b3p1p1/q2B3p/4PB1P/7Q/Pb4P1/1R4K1 b - -,b2d4
r1bq1rk1/pp2ppbp/2n2np1/3p4/3p4/1P2PNP1/PBP2PBP/RN1Q1RK1 w - -,e3d4
5k1r/2q2pp1/2rnp2p/p1Q1B3/Pp6/1B6/5PPP/3RR1K1 b - -,c6c5
b6r/5kb1/1n4p1/P2p3p/3Pn2P/2P1B3/4NPP1/R4RK1 b - -,b6c4
2rr2k1/3qnpb1/4p1p1/Bp2P2p/p2pQP2/P2P2P1/1P2RN1P/3R2K1 b - -,d8e8
6k1/5p1p/pn2pbp1/8/3P4/PB3N2/5PPP/2B3K1 b - -,g8f8
r3k2r/pb3p2/n1p1pq2/1p6/2pP4/2N3P1/PP3PBP/R2QK2R w KQkq -,c3e4
r3r1k1/1p2qpb1/p1p3p1/2p1P3/P3N2p/1nP4b/1P1Q1PP1/3RRBKN w - -,d2c2
r6k/6bp/p5p1/1p2pp2/2P2n2/1BB2P2/1qPQ2PP/3R3K b - -,b2a3
6k1/5pp1/2N3bp/1p6/p2NP3/r4PPP/8/4KB2 w - -,f1b5
rq3rk1/1b2bppp/p2p1n2/1pnPp3/P1p1P3/2P2N2/1PBNQPPP/1RBR2K1 b - -,f6d7
1rbq3r/5kpp/pn1P1p2/1p1Pp3/7Q/4B3/PP3PPP/R3KB1R w KQ -,f1d3
1r2k2r/1p1qb3/p2pRp1n/P1pP2pp/2N5/5NP1/1PP2PP1/R2Q2K1 b k -,h6f5
r2b1rk1/pp3p1p/4N1pq/1B6/6n1/1Q3P2/PP5P/1K4R1 w - -,e6f8
rn1q1rk1/ppp1bp1p/1n1p2pB/8/2PPQ3/2NB2P1/PP5P/R4RK1 b - -,b8c6
r5kb/R2R1p2/6p1/7p/p7/4B1P1/1r3P1P/6K1 b - -,a8a7
r4rk1/p3qppp/b7/2R1n3/N3p3/P1B1P3/1P3PPP/3Q1RK1 b - -,a8d8
3n4/pp2bk1p/1q2p3/4p3/4Pp1P/PNN5/1PQ2PP1/1K6 w - -,h4h5
2rq1rk1/1b3pnp/3p2p1/p1pPp3/PpB1P3/1P4P1/2P2P1P/1RNQR1K1 w - e6,d5e6
r7/8/P6p/8/1P4k1/3K3p/R7/8 w - -,b4b5
4r1k1/2pr1pp1/pb3q1p/1p2pP2/4P3/2P4Q/PP3PP1/R1B1R1K1 w - -,g2g3
8/1p2n3/p2k3p/P1p3p1/2B1K3/7P/6P1/8 w - -,c4f1
5rk1/pb3qpp/1p1r4/1Pbp4/1N2p3/PQ2P1PB/3R1P1P/2R3K1 b - -,g8h8
r3r1k1/pp1n1pp1/2nq3p/3pNb1Q/2pP1P2/2P4P/PP1N2P1/R3RBK1 b - -,d7e5
rq3rk1/1p1b2bp/1B1n4/p2Pp1p1/P3Pp2/2N2P2/1P4PP/2RQRBK1 b - -,f8f6
3rk2r/p4pb1/2p1p1p1/7p/1q4b1/4QN2/PP2B1PP/R1B2K1R w k -,e3b3
2r1r1k1/1R3pBp/p5p1/3Pp3/2p2P1q/7b/1P4P1/R1Q4K w - -,g7e5
8/2k5/1R3p1p/2P3p1/6P1/5PK1/1p4P1/1r6 w - -,g3h2
r2n1r1k/1p1q2p1/p1pp1b1p/4pp2/1PP4P/P2PP1P1/2QB1PBK/1R3R2 b - -,d8f7
2r3k1/pb1n2pp/1pPqp2r/5p2/3P4/1P1BPNn1/P1Q2PPP/R1R3K1 w - -,c6b7
4r3/6Pk/p7/1p6/3B1K2/2P5/PP5P/8 w - -,d4e5
8/1p4p1/pk6/2r1p3/3pR1pP/6P1/PPPK4/8 b - -,c5d5
r3k2r/1b1n1ppp/1qp1pn2/ppb5/3P4/3BPN2/PPQB1PPP/2R1K2R w Kkq -,d4c5
8/p2kr1p1/1p2p3/1q1p4/2nP2Q1/2PN4/PP2r3/1K1R4 w - -,g4e2
8/2k4p/2n1p3/1pP4p/5KP1/8/1B6/8 w - -,g4h5
8/p7/6p1/5kP1/8/3PR1P1/r4P2/2n2K2 b - -,f5g5
r4rk1/1b2qppp/1p2p3/p1n1P3/2PB4/P7/2BQ1PPP/R2R2K1 b - -,b7a6
r7/P4pkp/8/5p2/8/4P1P1/4PK1P/1qR5 w - -,c1b1
r2q1rk1/pp1bbppp/2P2n2/nB2p1N1/8/2N5/PPPPQPPP/R1B2RK1 b - -,a5c6
8/6k1/3p4/P2Pp3/4PpPp/8/8/5K2 b - -,h4h3
6k1/5p2/2p1q3/3b2p1/3Pp2p/2N1P2P/2Q2PP1/6K1 b - -,g8g7
8/p1r5/R6p/4p2K/4PkPP/2n5/8/7B b - -,f4g3
8/7N/8/p7/5k2/K7/5P1P/8 w - -,h7f6
8/5Rp1/3k4/4p3/2K1rp1P/8/8/8 w - -,c4d3
r1bqk2r/pp1nbpp1/4pn1p/2p5/3Pp1P1/P1N3NP/1PP2PB1/R1BQK2R w KQkq c6,c3e4
2r3k1/1b3pp1/7p/2q1p3/p1B1Pn2/5P1P/1Q1N2P1/3R2K1 w - -,g1h2
2rr2k1/1bpq2b1/1pn1p1np/p2p1p2/2PP2pP/BP1NP1P1/P2N1PB1/1QR1R1K1 w - -,h4h5
rnbq1rk1/pp2ppbp/6p1/2p5/3PP3/2P2N2/P3BPPP/R1BQK2R w KQ -,e1g1
3r1b1k/5Qq1/2pN3p/p4B2/Pn4P1/8/5P2/3R2K1 w - -,f7e6
8/pp4pk/4q3/8/1P1Rp3/1r3pP1/5P1P/5QK1 w - -,f1e1
r7/r1p1nqk1/1p1p1p1p/1Pn1p1pP/PNP1P1P1/4BP2/R1Q3K1/3R4 w - -,d1a1
r3k2r/1bq1npbp/pp2p1p1/n2pP3/3N1P2/1P2B1P1/P1PQN1BP/R3K2R b KQkq -,e7f5
8/8/2r2BK1/3R4/6k1/8/8/8 b - -,g4f4
8/1p6/8/2kb4/p7/P1K5/1P5r/6R1 w - -,g1g4
5k2/1R6/5pp1/p7/5r1P/1P1K3P/P7/8 b - -,f4h4
8/5R2/ppb3N1/k2pPnP1/2nP4/2P5/2P2P2/2K1B2r w - -,c1d1
4Br2/5P2/p1P5/1p6/3P2pp/1P4k1/P4R2/6K1 w - -,c6c7
2r2k2/5ppp/2r5/8/1p1PP3/1B4P1/P4P1P/3R2K1 w - -,g1g2
r2bk1r1/pp1n1pp1/q1p2P1p/1n1p4/P2P3Q/4B1PB/1P2P2P/RN3RK1 b - -,d7f6
8/7p/6p1/PK1k1p2/2N1p3/5P1P/5bP1/8 w - -,c4b6
rn5r/p2Nkppp/2p1p3/b1Pp1b2/3P4/2N1P3/PP1B1PPP/R3KB1R b KQ -,e7d7
2b2Q2/r5pk/pp3q1N/8/2P5/3r4/PP3PPP/R3R1K1 w - -,f8c8
r4rk1/1bbnqppp/pp1ppn2/6N1/2P5/1PN1P3/PBQ1BPPP/R2R2K1 w - -,e2f3
r2q1rk1/p4ppp/2p1p2P/2bp4/4P1P1/2PQ4/PP6/R1B1K2R b KQ -,d8f6
r1bq1rk1/ppp1ppbp/n2p1np1/8/3PPP2/2N2N2/PPP1B1PP/R1BQK2R w KQ -,e1g1
r1b2r1k/ppp3bp/3p2q1/3Bn3/1PP3p1/3PB1N1/P4P1P/1R1Q1RK1 w - -,d5e4
4rr1k/1q2b1pp/p1npbp2/2pNp3/2P1PP2/1P4Q1/P3B1PP/2BR1RK1 w - -,e2h5
r4rk1/8/2N3pp/1p1P4/8/PRb1P1P1/5PBP/6K1 b - -,c3e1
5k2/pR6/2p5/2P1b1p1/1P2B1KP/P7/7r/8 b - -,h2h4
r1b3k1/ppp1n1bp/5n1r/2PPp1pq/4Pp2/2N2P2/P3B1PP/2RQNRBK w - -,e1d3
r1bq1rk1/2p1nppp/p1np4/1pb1p3/3PP3/1BP2N1P/PP3PP1/RNBQ1RK1 b - d3,e5d4
1r4k1/2p1rppp/bqp5/p1NpP3/3Q3P/2P1R3/PP3PP1/4R1K1 b - -,b8e8
r3k2r/p1p1npbp/2ppq1p1/5P2/4P3/2NQ4/PPPB1P1P/2KR3R b kq -,g6f5
r6r/1p1bkp2/2p4p/p5p1/P1NPPn2/2N4P/1PP2K2/R6R w - -,h3h4
3q4/p2r1pkN/3pr3/3N1Q2/3bPR1p/1P6/P1P3P1/7K w - -,h7g5
rn1qr1k1/pb1p3p/1p1P1np1/2p3N1/5P2/2N3P1/PP4BP/R2Q1RK1 b - -,b7g2
1r4k1/4Bp1p/Bnr3p1/P1p5/3b4/8/5PPP/1R3RK1 b - -,b6d7
r1q2rk1/pppbn1bp/3p1np1/1P2pp2/2P5/2NP1NP1/P2BPPBP/1RQ2RK1 b - -,f5f4
5k2/ppq4p/2n3p1/3Bp3/2P5/6P1/P6P/1Q4K1 w - -,b1e4
R7/4kp2/4p1p1/4P2p/5P2/4PKPP/8/1r6 w - -,g3g4
r1bqk2r/pppp1ppp/2n2n2/6B1/2PN4/2b5/PP2PPPP/R2QKB1R w KQkq -,b2c3
r4rk1/5pb1/p2R1n1p/1p2pPp1/qP2P3/P4Q2/2P2BPP/2K2B1R b - b3,a6a5
1r4k1/1N1R1p1p/p1P1p3/5p2/5b1P/2r2B2/6P1/5K2 b - -,a6a5
6r1/pp3nqk/2ppRbp1/7p/2P2P2/1P2Q1PP/P5BK/3R4 b - -,g8d8
r1q2rk1/pp2bppp/2n1p3/3p1b2/3PnB2/PQN1PN1P/1P2BPP1/2R1K2R b K -,e4c3
r2q1rk1/pp2ppbp/2bp1np1/8/2PBP3/2N2P2/PP2B1PP/R2Q1RK1 w - -,b2b4:d1d2
r4rk1/1qpnbppp/p1pp4/8/1PQ1PB2/2N5/P1P2PPP/1R3RK1 b - -,e7f6
3rqrk1/pp4bp/n1p3p1/2P1N3/1P2p3/P5Pb/1B2QPB1/R4RK1 w - -,e2e4
r1bqk2r/pp2bppp/2nppn2/2p5/4P3/2PB1N1P/PP1P1PP1/RNBQ1RK1 w kq -,d3c2
r4b1r/1pk2np1/2p2p2/p1n1pb2/2P4p/PPN1P2P/1B1NBPP1/2KR1R2 w - -,e3e4
r2r2k1/pb1q1p1p/1p1pp1p1/2p5/1PPbP3/P1BP2P1/5PBP/1RQ2RK1 b - -,d4c3
6k1/3Brp2/R5p1/1p2p1b1/1p1pP3/3P1Q2/6PP/2q2NK1 w - -,d7b5
r2q1rk1/4n1pp/5p2/pp1P4/1np1P3/1PQ1B1P1/3NbRBP/R5K1 b - -,e2d3
8/pr2kppp/8/1P1p4/P7/8/1P3PPP/2R3K1 w - -,g1f1
r1q2rk1/1ppb1pbp/p2p1np1/3P4/2PQP2P/2N3P1/PP3PB1/R1B2RK1 b - -,f6g4
7r/1p1nkp1p/p2bp3/3p1p2/P1rP4/4P3/2PNNPPP/R1R3K1 b - -,c4c7
8/5p1p/2r1p1pP/pk1pB1P1/P2RbP2/2P5/2P5/2K5 b - -,b5b6
6k1/1p3pp1/2n3b1/3R3p/2B5/KPB1p3/7q/2R5 b - -,g8h7
4r2r/3b4/3k4/pp1pp2p/n1p2B1P/2P2BP1/2P2P2/R3R1K1 w - -,f4g5
2rr2k1/5pbp/1p2p1p1/8/5P2/1nN3P1/1P2P1BP/2RR2K1 w - -,d1d8
8/1p6/6k1/8/3rrB1P/6P1/8/1R3BK1 w - -,b1b6
r2qkb1r/pbp2ppp/1p2p3/3pP3/1PP1n3/6P1/P3PPBP/RNBQ1RK1 b kq b3,f7f6
r1bqk1nr/pp3ppp/2nb4/2p1p3/2NpP3/3P1NP1/PPP1QPBP/R1B1K2R b KQkq -,d6c7
2R1b3/5k2/r4Pp1/6Kp/3BP2P/5P2/8/8 w - -,c8c7
3r2k1/5p2/1p1pp1p1/pPr1b1Pp/P1P4P/3RNP2/4P3/3R2K1 b - h3,g8f8
r1rn2k1/1pp1nppp/2q1pb2/p7/3PP3/PP3NP1/1BQ2PBP/1R1R2K1 w - -,c2d3
rnbq1rk1/pp2bppp/4pn2/2p1N3/2pP4/N5P1/PP2PPBP/R1BQ1RK1 b - -,f6d5
8/5k2/2n1p1p1/bn1pP1Pp/p1pP3P/P1P2N2/1KNB4/8 w - -,d2e1
4B3/8/3pk3/4n1P1/4P3/2K5/8/8 b - -,d6d5
6k1/p4ppp/1n2p3/8/3n4/6P1/P2B1PNP/5K2 w - -,d2e3
4r1k1/pb3pb1/1p4p1/4p3/4Q2p/1NP1B2P/PP2nKP1/3R4 b - -,b7e4
r1bq1r2/2n1ppbk/pnpp2pp/1p2P3/2PP1P1P/2N1BN2/PP1QB1P1/2KR3R w - -,h4h5
5rk1/pp4b1/2pp2pp/2P1q3/3p4/1Q1P2P1/PP3PBP/5RK1 b - -,g8h8
4r3/4r1kp/1p3np1/4pP2/1qPpQ2P/3B4/4R1P1/4R1K1 w - -,e4f3
5k2/1b2r1p1/4P2p/p2p1P2/1p1R2P1/8/P6P/4R1K1 w - -,a2a3
8/6Q1/4k3/2p3p1/1p4P1/1P3PBK/r1q5/8 w - -,g7g8
r1b4r/1p2k2p/2p2pp1/p3p3/P1B1P3/1nP1R3/1PK2PPP/R7 w - -,c4b3
5k2/7p/p3n2B/7p/8/3K4/2B2bP1/8 b - -,f8e7
5rk1/r1q1bpp1/p1p2n1p/2Pp4/8/1P1Q4/PBP2PPP/RN2R1K1 b - -,f6e4
8/p2b2p1/1p5p/3k1p2/2B5/1P2K2P/P5P1/8 b - -,d5e5
8/3r3p/1k1p4/R2P4/2p2B2/1bK3P1/p7/8 w - -,a5a8
rnb1kbnr/ppq2ppp/4p3/3pP3/3p2Q1/5N2/PPP2PPP/RNB1KB1R w KQkq -,f1d3
8/R4p2/3k2p1/6n1/8/8/5N1r/5K2 b - -,h2h4
6B1/8/1p4pp/4k3/P7/1P4P1/1r5P/6K1 w - -,g8c4
1rbr2k1/p4pbp/2p3p1/q1Nnp3/2Rp4/PP1P2P1/1BQ1PPBP/5RK1 b - -,g7f8
8/2kR4/6p1/2P1N3/3p2r1/4p3/8/5K2 b - -,c7c8
4k3/p1p5/1pn1pbp1/8/1PPBKPP1/P4N2/8/8 b - -,c6d4
r1bq1rk1/1p4pp/p1n1pn2/2bpN3/5B2/2NB4/PPP2PPP/R2Q1RK1 w - -,d1f3
r1bq2kr/p1p1npb1/2p1p1pp/2NpP3/3P1BP1/5N1P/PPP1QP2/1K1R3R w - -,h3h4
r3rnk1/p1bbqp1p/1p4p1/2pPp2n/2P1P3/P1NB1P2/2Q1NBPP/1R3RK1 w - -,b1e1
1r1r2k1/5ppp/p4q2/PbB1p3/p1P1P3/8/4QPPP/R2R2K1 b - -,f6c6
rn1q1b1r/3k1ppp/p2p1n2/3b4/1p1N2P1/7P/PPP2PB1/R1BQR1K1 w - -,g2d5
r1bq1rk1/pp2npbp/2np2p1/2pNp3/2P5/2N1P1P1/PP1P1PBP/R1BQ1RK1 b - -,e7d5
r2qnrk1/p5bp/1pn2pp1/2p1p1B1/P1NpP1bP/1P1P1NP1/2P2PB1/R2QR1K1 w - -,g5d2
r1b2rk1/ppb1qp2/6p1/2pnn1PB/3NN2P/4P3/PPQB1P2/2KR2R1 w - -,e4f6
5rk1/2Rn1pb1/1n1p2p1/qN1Pp3/4P1PP/4B3/r7/1R1N1QK1 b - -,f7f5
8/3r1kp1/7p/3R4/2PK4/8/6PP/8 b - -,d7c7
1r6/5pp1/5k1p/1p1R4/2n5/8/5PPP/4R1K1 w - -,e1b1
r5k1/1p3ppp/2b1pn2/p1B5/2P5/PPR1PP2/3r2PP/1K3B1R w - -,c3c2
8/4k3/5r1p/8/4PR2/6PP/6K1/8 b - -,f6g6
r5k1/pp3ppp/2p4r/3p3n/3PPPq1/2NB1nPb/PP2NR1P/2QR3K w - -,c1e3
r7/1p2bp1p/p2p1k1P/3Pnp2/4p3/4B3/PPPKBP2/6R1 b - -,e7f8
5rk1/p1q1pp2/1p4pb/1Pn1P3/2P5/P3RNP1/5P2/5QK1 w - -,f1h3
6k1/1R6/5bp1/5p2/1p6/5NP1/2r1BK1P/8 b - -,c2b2
r7/1p1k1ppp/4pn2/r2p4/PbpP4/4PN2/1P2BPPP/R4RK1 w - -,e2d1
5n2/p1r3r1/3p1p1k/3PpP1b/1Pp5/P1B1KB2/6R1/7R b - -,g7g2
rnbqk2r/1p2ppbp/p2p1np1/8/3NP3/2N3P1/PPP2PBP/R1BQK2R w KQkq -,e1g1
8/4k3/3p1b2/2pPn3/2P1K3/1P6/8/3BB3 w - -,d1e2
6r1/8/8/8/R2n1p1p/3k1P1P/8/5K2 w - -,f1f2
r3kb1r/pp3ppp/2p1n1b1/q2pP3/6P1/2P1BN1P/PPP2Q2/1K1R1B1R b kq -,g6e4
r3k2r/1pqn1pb1/2p1p1p1/p2pPn1p/P2P1Pb1/1RNB1N2/1PP2BPP/3Q1RK1 w kq -,c3b1
8/8/4k3/1P6/1P6/1K6/8/8 w - -,b3a4
1r4k1/p1q1p1bp/3p2p1/3P2Pn/1p6/4Br1B/PPPQ4/1K1R3R w - -,h3e6
5r2/r2b1qbk/3p2pp/1ppNpp2/p1P5/PnBPP1P1/1PQ2PBP/1R2R1K1 w - b6,d5b6
