3k4/6p1/4p3/4Pp2/1R6/8/PPr3PP/6K1 b - -,c2c5
6rk/5p2/p2p3p/PppPnPq1/4P3/1P4PP/2B2Q2/6RK b - -,g5h5
2br2n1/p1Q3kp/2p2pp1/8/8/2q2N1P/P4PP1/4R1K1 b - -,d8d7
8/4q2p/p1b1pp1k/Np2p3/4P3/P1NR1BP1/1PP3PK/8 b - -,c6a8
r2qk1nr/1bpnppbp/p2p2p1/1p2P3/3P1P2/2NBBN2/PPP3PP/R2QK2R b KQkq -,c7c5:e7e6:g8h6
8/1pq2kp1/1p1p2np/2p2b1n/1PP2P2/P2PRN1P/1B4BK/5R2 w - -,f3d4
8/4ppk1/6pp/r1p2b2/P1RN1K2/7P/5PP1/8 b - -,g7f6
rn2k2r/p2bppbp/1q1p1np1/1BpP4/PP2PB2/1N3N2/1PQ2PPP/R3K2R b KQkq -,d7b5
8/7R/3rk1p1/4p3/7P/6P1/5P2/5K2 w - -,f1g2
8/1p1bkn1p/2pp3r/p7/P1P1N1P1/1P4K1/5PB1/3R4 b - -,h6g6
2r5/Q1b2p1k/6pp/1P2N3/4pP2/4P1qP/6P1/2R3K1 b - -,c7e5
r4rk1/2q2pbp/bpn1p1p1/p1pn4/P7/N1PP1NP1/1P3PBP/R1BQR1K1 w - -,a3b5
1r1b2k1/5p1p/1q1p2p1/n2Pp3/1p2P2P/1P2N1PB/1Q3P2/1R4K1 w - -,h3d7
1rbq1rk1/3nppbp/p2p1np1/2pP4/P1B1PP2/2N5/1P2N1PP/R1BQ1RK1 w - -,g1h1
3r4/p4p1p/1p3p2/2k2P2/P1P1r3/2RB2P1/3K1P1P/8 w - -,d2c2
r1r2k2/pp3ppp/4pn2/4N3/2P5/4K3/PP3PPP/2RR4 w - -,c1c3
r3k2r/1p2pp1p/p3b1pn/n2NN3/2P5/7P/PP3PP1/R3KB1R b KQkq -,a8c8
r4r2/pp1b1pkp/nq1pPnp1/2p5/2P1P3/2N2P2/PP1QN1PP/R3KB1R b KQ -,f7e6
5r2/1r6/1P1p3k/2pP1p1p/2P2K2/p1B4B/2P2P2/6R1 w - -,h3f5
1r3rk1/3q1ppp/2bp1b2/1pp1p3/4P1Q1/1PN4P/1BPP1PP1/R3R1K1 b - -,d7g4
r4r1k/1pp2pp1/pb1pqn1p/nP2PN2/P6B/2p2Q2/2B2PPP/R3R1K1 b - -,d6e5
r4r1k/pp4p1/1b1P3p/2p1PqN1/2Q4P/1PB1P1P1/P7/2KR4 w - -,g5e6
1r3rk1/ppq2pbp/2p1pnp1/2P5/3RP3/1Q2B2P/PP2BPP1/3R2K1 b - -,b7b6
5k2/1pp5/1p1p4/5qN1/2P4n/5PR1/PP2R2P/7K b - -,f5d3
r2q2k1/p2n2pp/3b1r2/2p1p1Bn/N2pP3/1P3P2/P3N1PP/R2Q1RK1 b - -,d8e8
rnbqkbnr/ppp2ppp/4p3/3p4/4P3/3P4/PPP2PPP/RNBQKBNR w KQkq -,g1f3:b1d2
2q1n3/1p1bbpk1/r2p2p1/2pPP3/p4P1P/1P3NP1/P1Q2KB1/2BR4 b - -,a4b3
5r2/p5k1/2q3p1/4p1Np/1p1b3P/1Pp3B1/P1R2r1K/7Q w - -,g3f2
4r1k1/1r1n1p1p/p2p2p1/2pP3b/N1PqPP2/1P4Q1/5N1P/1R2R2K w - -,e1e3
r2q1rk1/ppp2p1p/2n2pn1/4p1B1/8/1BPP1Q1P/PP3PP1/R3R1K1 w - -,g5f6
2r1n1kr/1p3pp1/pQ1pb3/3Np3/1PPnP1pq/3B4/P4PPP/2RR1NK1 w - -,b6b7
6k1/pp1b1p1p/1r3Qp1/8/2n3P1/qN1R1P2/P1P4P/1K5R w - -,f6c3
r2q1rk1/pp2bppp/3p4/3Pp2n/4P3/N3BPPb/PP1QB2P/R1R3K1 b - -,g7g6
6kn/2q1rpp1/p2p1n1p/NrpPp3/4P2P/3PP1PB/1PQ2R1K/R7 w - -,a5c6
r5k1/ppqb2pp/2n1p1p1/3pPrB1/2pP1PQP/P1P4K/R1P1N1P1/7R b - -,d7e8
3r2r1/pp2kp2/2p1pp1p/8/2PP3P/1P2QPq1/P5P1/3R1RK1 w - -,e3f2
Q7/3q1ppk/2p2nbp/1pPpB3/1P1Pp3/5PP1/4P1BP/6K1 b - -,e4f3
6k1/pbq3p1/1p1n1p2/4rP1p/P1NRPQ2/1P1P4/6BP/6K1 b - -,d6f7
r4rk1/p3qppp/np2p3/8/8/2Q1PN2/PP3PPP/R4RK1 b - -,a8c8
8/1p2kp1p/p5p1/P2pP3/1P1N1P2/4K1Pb/7P/8 b - -,h3d7
r1b1r1k1/3qnp2/pp1p1n2/2pPp1p1/P1P1P1Pp/1P1B1P1P/6K1/R1Q2RNN b - -,f6h7
5k1r/5ppp/p2q4/1p1P2PP/n1r1Q3/2b5/PPP3B1/1KBR1R2 w - -,e4e6
2r1k2r/3nppbp/p1p1b1p1/1p6/1P3B2/P1N3P1/2PQ1P1P/2R1R1K1 b k -,d7b6
1r4k1/2qnb2p/2Pp2p1/4pp2/1p6/6P1/1PP1QPBP/2B1R1K1 b - -,d7f6
4r1k1/2q2bbp/3p2p1/1R1P4/4BP2/3QP1P1/r1NB3P/6K1 w - -,d3b3
5r1k/3R1p1n/3p1q2/p1pP1Bp1/1pP3P1/1P3PK1/P3Q3/8 b - -,h8g7
2r1q3/p1r2pk1/Q1pRp2p/P3P1p1/2R5/6P1/1P3P1P/6K1 w - -,h2h4
r2r2k1/5p2/pp2qp1Q/3pb3/4p3/4P1P1/PP2NPKP/2RR4 b - -,f6f5
2r2b2/7k/p5qp/2n1p3/P7/4BP2/2Q3P1/2R3K1 w - -,c2c4
r1bq1rk1/pp2pp1p/3p2pb/8/2PP4/2N3PP/PP3PB1/R2QR1K1 b - -,e7e6
8/8/r2p4/4bk2/PB6/1PPR4/1K6/8 b - a3,f5e6
r2q1Bk1/1n3ppp/p3p3/8/Q2P4/5N2/P4PPP/5RK1 b - -,d8f8
r2q1rk1/pp3pp1/2ppbnnp/4p3/P1N1P3/1BPPPN1P/1P4P1/R2Q1RK1 w - -,a4a5
3r4/bp2kppp/p3p3/8/4R2P/2P2NP1/PP3P2/3rRK2 b - -,d1e1
8/4k3/1b1Np3/1P5p/4NKn1/8/2r4P/5R2 w - -,f4g5
2rq1rk1/p2nppbp/Bp1p2p1/n7/Q2PP3/N1P2P2/3B1P1P/1R2R1K1 b - -,c8a8
r3r1k1/pbpnqppp/1p1p1n2/4p1B1/2PP4/P1N1PP2/1P1QB1PP/R3K2R w KQ -,e3e4
1rq1nb2/1p3p1k/p2p1npp/2pP4/P1P2BbN/2NB3P/1P1Q1P2/4R1K1 w - -,h3g4
r3r1k1/1pq4p/2p1b1p1/p1n1N3/5P2/2P3P1/3R2BP/3Q1RK1 b - -,a5a4
r2qk2r/pp2npbp/2np2p1/2p1p1N1/1Pb5/P1NP2P1/4PPBP/R1BQ1RK1 b kq -,c4e6
8/pr3pk1/1pR3pp/3n4/1P6/P2P1QP1/q1N2P1P/6K1 w - -,c2e3
r5k1/1pp3bp/pnb1n1p1/4pp2/2P5/1PN1P1P1/P1NB1PBP/1R4K1 b - -,c6g2
3r4/1p3k1p/2p1b1p1/p4pB1/P1n5/2P3P1/1PB2P1P/4R1K1 b - -,d8d7
r2qkb1r/pp2p1pp/3pNn2/8/2Q1P1b1/8/PP3PPP/RNB1K2R b KQ -,a8c8
rnbqkb1r/pp1p1ppp/2p2n2/4p3/2P5/2NP4/PP2PPPP/R1BQKBNR w KQkq -,e2e3
8/8/pr4pk/5r2/7R/2P5/KP4RP/8 b - -,h6g7
5k2/7p/3p2p1/2pP4/2N2P1n/2P5/2q2Q2/6K1 b - -,c2d1
r3k2r/pp3ppp/8/b2N4/3n2n1/3B4/P4PPP/R1B2RK1 w kq -,c1b2
r3k2r/1b1pnp1p/pq3p1Q/1p2p3/1b2P3/2N2P2/PPP1N1PP/2KR1B1R w kq -,g2g3
r4rk1/pbq2ppp/1p1bpn2/2ppN3/2PP1P2/1P2PB2/PB1Q2PP/2R2RK1 w - -,f1d1
2k2qB1/pp3Q1p/2n2p2/1N6/4b3/8/PP3P1b/3R1K2 b - -,f8f7
5k1r/2r2pp1/bq2p2p/p2pP2P/3N2R1/3PP3/1P4P1/R2Q1K2 w - -,d1d2
1R2b1k1/p5pp/2p1r3/2P1N3/8/P4P1P/3r2P1/2R3K1 w - -,f3f4
5rk1/8/p3p3/1p1bN1P1/3Pn1p1/1BPR4/P5PK/8 w - -,e5g4
r1b2rq1/pp4k1/2n3p1/4PpQ1/8/2PB2B1/P4P1R/2R1K3 w - -,h2h6
r3k1nr/pp1q1pb1/2pp4/5P1p/2B3p1/1Q5P/PPPB1PP1/2KRR3 b kq -,e8f8
r2qr1k1/1p1n3p/pnp1p1p1/4Npb1/2PP1B2/2NRQ3/PP3PPP/3R2K1 b - -,h7h6
5R2/pppk1p1p/5pr1/3P1b2/2N2b2/2B2P1P/PPP1p3/7K b - -,f5h3
8/3p4/p1b5/7R/2P1p1k1/1P3r2/P3KB2/8 w - -,h5h4
r2qr1k1/1p1n1ppp/2pbpn2/p2p3b/2P5/1P1P1NPP/PB1NPPB1/2RQ1RK1 w - a6,e2e4
5rk1/3b2b1/1p1p3p/2pP2p1/2P1q3/1Q2PN1P/P2KR1PB/8 w - -,h2d6
r2r2k1/p1pb2pp/2pb4/3pNP2/P2P3q/2P1Q2P/3B2P1/R4RK1 b - -,d8e8
1rb5/3n1qbk/3R1p1p/4p1p1/4n3/4NNBP/P4PP1/2QR2K1 w - -,c1c2
8/4n3/3k3p/1p4P1/2pKB2P/2P5/1P6/8 b - -,h6h5
8/3bk3/1p1n2pp/p2p1p2/3P3P/1P1B1PP1/P4K2/2R5 w - -,f2e3
2r2k2/1p4b1/3p4/BN1Ppbn1/2B5/1P2K3/1P3P2/7R w - -,b5d6
2b1r1k1/2R4p/8/2NpP1p1/5P2/8/1r4PP/R5K1 b - -,g5f4
r2q1rk1/4ppbp/n7/1p4N1/1P1Pp3/p1B3P1/b3PPBP/2RQR1K1 w - -,d1c2
8/1ppr3p/p3k1p1/4p3/4R2P/2P3P1/PP2KP2/8 b - -,e6f5
6k1/4rn1p/1R4p1/2rp4/1p1npP2/1P4PB/1R5P/1N1K4 b - -,e4e3
r2qkb1r/3npp1p/b2p1np1/2pP4/8/2N3P1/PP2PPBP/1RBQK1NR b Kkq -,f8g7
2kr3r/1bq2ppp/p2pp3/2n3P1/1p1NPP2/3B1Q2/PPP4P/1K1RR3 b - -,g7g6
3r1k1r/pQ4pp/5p2/q7/1bP4P/3PB3/b2NBPP1/5RK1 b - -,b4d2
r3r1k1/3q3p/pNRb1n2/3Pppp1/4P3/1P3PP1/P3Q1KP/5R2 b - -,d7e7
r4r2/1ppb1qpk/1b1p1p1p/1P2p3/p1P1P1P1/P1BP1Q1P/4NPK1/1R1R4 b - -,g7g6
6r1/2R1bk2/p2p4/P4n2/5Np1/5nP1/1P2RB1P/6K1 w - -,g1f1
r1bqr1k1/p1pnppbp/1p3np1/3p4/3P1B2/2PBPN1P/PP1N1PP1/R2QK2R w KQ -,e1g1
1r6/ppk1bp2/2pNp1p1/3rP1Pp/2RN4/6P1/nP3P2/3R2K1 b - -,a7a5
r7/p4p1k/3n2p1/6Pn/6BN/6P1/P3r1KP/2R5 w - -,g4e2
r3kb1r/ppqn1ppp/2p1p3/3nN1B1/3P4/2N4P/PPP1QPP1/R4RK1 w kq -,c3d5
4rrk1/pb3pbp/1pq3p1/2pn1p2/2B1N1PB/2PP3Q/PP5P/4RRK1 w - -,g4f5
3rk2r/ppq1bpp1/4pn1p/2P4P/8/5N2/PPPBQPP1/1K1R3R b k -,c7c5
4k3/8/2rqp1Q1/1p6/1Pp3PP/8/2P5/1K2R3 b - -,e8d7
7k/1p3R1p/6P1/4P3/p7/P3K3/1Pq5/8 w - -,f7h7
r1bq1r2/ppp2pbk/1nn3pp/4p3/8/2NPBNP1/PP1QPPBP/2R2RK1 b - -,f7f5
r2qk2r/ppp2pp1/2npbn1p/4p3/4P3/1BNPPN2/PPP3PP/R2Q1RK1 b kq -,e8g8
rnb1k2r/1pqp1ppp/p2bpn2/8/3NP3/2NBB2P/PPP2PP1/R2QK2R b KQkq -,b8c6
r2qk2r/p2n1pp1/2pbpnp1/1p6/3P2P1/2NBP2P/PP1BQP2/R3K2R b KQkq -,a7a6
6k1/6pp/1p6/8/2nB4/1R6/r6P/7K w - -,d4b6
8/2p5/8/6p1/PK6/2P2k1b/5P2/8 b - -,f3f2
2rq1rk1/1b1nbppp/p3p3/P1p5/1p1PP3/3QB1P1/1P2NPBP/R2R2K1 w - -,b2b3
2bq1k1r/5pp1/2n1p2p/p2pP3/R1pP1Q1P/2P2N2/2PKBPP1/8 w - -,g2g4
r1q3k1/1b2p1bp/3p2p1/4r3/2P5/NQ3P2/PP2B1PP/1R1R2K1 w - -,e2f1
4r3/1pp2qkn/2np4/p5pp/P1PP4/2PQ2NP/3B2P1/R5K1 b - -,f7g6
r3k2r/1pqbbp2/p1npp1p1/5P1n/3NP2P/2N1B3/PPPQB3/2KR2R1 b kq -,c6e5
r1k4r/1p1n1ppp/p3p3/2Nn4/6P1/5P2/PPPB3P/2KR1B1R b - -,d7c5
r5k1/1R3ppp/4p3/4B3/8/3pbPP1/3NP1KP/8 w - -,e5f4
2k2r2/pp1r1p2/1np1pQpP/8/2PP2q1/1B6/PP4P1/2KR3R b - -,g4f5
3R4/p4ppk/2p1r3/7q/4P1n1/5Pp1/P5B1/3NR1K1 b - -,h5a5
r6r/pppkn1b1/3p2pp/3pp2P/2P5/2N1P3/PP1B1PP1/R3K2R w KQ -,c4d5
3r2k1/1p6/p2p1b1p/Pb1Ppq2/1PN4Q/5P2/2R3P1/2R4K w - -,h4h6
6k1/pp6/8/4R1PB/3pb3/3r4/PP6/6K1 b - -,e4c6
8/p1k3pp/2r5/1p6/3bNP2/5KP1/PP1R3P/8 b - -,d4c5
r5k1/2B1rp1p/6b1/3P2P1/P3p1N1/2P3Q1/4q2P/5RK1 w - -,g4h6
rnbq1rk1/p1p1ppbp/1p1p1np1/8/3PP3/2N2N1P/PPP1BPP1/R1BQK2R w KQ -,c1g5
3r1nk1/1b1qbppp/pp6/2pPP2P/3n1B2/5NP1/PP1RQPB1/6K1 w - -,f3d4
r2q1rk1/pp1bpp1p/3p1bp1/2n5/P2NP3/6P1/1PP2PBP/R1BQ1RK1 w - -,c2c3
1r1q1rk1/p1p3b1/3p2pp/PPpPpb2/8/3P1NP1/2Q2PBP/1R3RK1 w - -,f3d2
rnbqk2r/p1p1bppp/1p2pn2/3p4/2PP4/2N1PN2/PP3PPP/R1BQKB1R w KQkq -,c4d5:f1d3
8/4B2p/1R6/r1p2kP1/2P3r1/1P2K3/8/8 b - -,g4g3
4b3/p7/2p5/3Pkp2/2Bb2p1/1P4P1/P5K1/3N4 w - -,d5c6
6k1/1pR2ppp/p2qpn2/n2p4/N2P4/P2QPN2/1P3PPP/6K1 b - -,d6c7
r1bq1rk1/1p3pbp/p1n1p1p1/3n4/4BP2/PNN5/1PPBQ1PP/R4RK1 w - -,a1d1
r4k2/2R2pN1/p2bpp1r/3b4/2P1pP1p/8/PP2B1PP/1K1R4 w - -,c7d7
r1bqkb1r/ppp1pppp/5n2/8/3P1B2/P1NQ4/1PP1NPPP/R3K2R b KQkq -,c7c6
5n2/5kp1/7p/2Rp1p2/r2P3P/4B1P1/4KP2/8 b - -,f7e6
4r1k1/1p3pp1/2pq1n2/2nP2Np/p1P2NbP/P5P1/1PQ3B1/5RK1 w - -,g1h1
r3r1k1/1p3p1p/2ppq1p1/7n/p1P1nP2/2Q1B1P1/PP4BP/3RR1K1 w - -,g2e4
8/1n3k1p/pp1p2p1/4r1P1/1PPR2NP/8/P4K2/8 b - -,e5f5
r1b2rk1/6pp/pq2pp2/1p1p4/1b1P4/5N2/PP2BPPP/2RQ1RK1 w - -,e2d3
r2qrbk1/ppp2pp1/2npbn1p/3Np3/2B1P1P1/P2PBN1P/1PPQ1P2/R3K2R b KQ g3,e6d5
3r4/3nkp1p/4r1p1/ppPRp3/N7/1P4PP/P4PK1/3R4 w - -,a4b6
r3r1k1/1p3p1p/2pp2p1/2B2q1n/p1P2P2/2Q3P1/PP5P/3RR1K1 w - -,c5d6
4r3/1pb3p1/p2pkPPp/P1p5/1PPB3r/7q/B5R1/4R1K1 b - -,e6d7
r5rk/4BRbp/1p4p1/pn1Pp2q/4P3/3Q4/6PP/5R1K w - -,d3b5
r1q2rk1/1pp2pbp/1n4p1/pb1P4/3pP3/P5P1/NPQ2PBP/1RBR2K1 w - a6,c1f4
3rr1k1/1pq1bppp/p1np2b1/8/2PN4/4B2P/PP1QBPP1/2RR2K1 w - -,e2f3
r3r1k1/5pp1/1p3q1p/8/3N4/3QP1P1/1R3P1P/6K1 w - -,g1g2
r4rk1/ppqn1pbp/1n1pP1p1/2p5/2P5/1Q4PP/PP2PPB1/RNB2RK1 b - -,f7e6
2rqk2r/pp1nbpp1/2n1p1p1/3pP3/3P4/4BN2/PP2BPPP/R2Q1RK1 w k -,a1c1
r3rbk1/1bqn2pp/p2pp3/6pP/1p1BPP2/5QN1/PPP5/1K1R1B1R w - -,f4g5
1r1qk2r/3npp1p/p1B2bp1/1p2p3/8/2N2QP1/PPP2P1P/R3R1K1 b k -,d8c7
3r1rk1/pp1n3p/2pRp1p1/2P1pn2/1P2N3/5NP1/P3PPKP/2R5 w - -,d6e6
r1bq1rk1/pp1pppbp/2n2np1/8/2PNP3/4BP2/PP4PP/RN1QKB1R w KQ -,d1d2
2k3r1/2p2pp1/2n4p/3RP2N/P5P1/7P/P5K1/8 b - -,c6b4
2r3k1/qprb1pbp/3p2p1/2NPp3/4P3/1P3N1P/3Q1PP1/1R2RBK1 b - -,a7c5
8/4k3/1p1p1p2/1P3P2/r1P3PK/3R4/8/8 w - -,d3e3
r3kbnr/pp3ppp/2n1p3/3q3b/3P4/5N1P/PP2BPP1/RNBQK2R w KQkq -,b1c3
r2qk2r/ppp3pp/2nppn2/2b1p3/4P3/2PP1N2/PP2QPPP/RNB1K2R w KQkq -,c1e3
4Brk1/q5p1/p1b1p2p/2bpp2P/2n3P1/2P2N2/P3QP1B/4RRK1 b - -,c6e8
r1bq1rk1/4npbp/p5p1/1p2p3/2NnP3/P3BN2/1PPQ2PP/R3KB1R w KQ b6,f3e5
r2q1r2/2pb1pk1/3p1bp1/2pPp3/P1P1Pn2/R5QP/2B1NP2/2B1K2R b K -,d8b8
8/1p2b3/pk3p2/4p3/1P4P1/P4P2/1q3QKP/2R5 b - -,b2f2
r7/p1p1kq2/1p2b3/7p/4Q3/3P3P/PPP3P1/4R1K1 b - -,a8f8
2r3k1/5p1p/b3p1p1/1p2P3/nP3P2/N5PP/P1B2K2/3R4 w - -,c2a4
8/1R6/1p4pk/5r1p/p6P/4KN2/6P1/8 b - -,g6g5
1k6/pp1R2pp/5p2/2P5/8/2r3P1/5PKP/8 b - -,c3c5
3r1k2/1b1nq1pp/p4p2/P3p3/1p2P3/3BQN2/1Pr2PPP/2R3K1 w - -,c1c2
3r4/5pk1/4p2p/R3Pp1Q/p2Pq3/2r4P/5PP1/R5K1 b - -,e4d4
r2q1rk1/1p2bppp/1np1pn2/p4b2/P2P4/1QN2NP1/1P2PPBP/R1B2RK1 w - a6,f1d1
2rq1rk1/1p1bppb1/p1N4p/3p4/1P1P2p1/P1NBP1n1/2Q2PPP/R4RK1 b - -,c8c6
3k4/5p1n/1p1p2p1/1BpPn2p/2P1P2P/2N2PK1/P7/8 b - -,h7f6
4qrk1/2p1b1p1/brn1p2p/p1npP2P/8/1PP2NN1/2B2PP1/R1BQR1K1 b - -,c5d7
2kr1b1r/p2q2p1/1pn1pP1p/3p3P/3P1PQ1/3PB3/P5PN/R4RK1 b - -,g7f6
3rkb1r/ppp2pp1/2p4p/4P3/2PNb3/1P2B2P/P4PP1/3RR1K1 w - -,f2f3
8/8/1p2kpp1/p1p4p/P1PrP2P/3PKRP1/8/8 w - -,f3f1
rnb1kb1r/pp1ppppp/5n2/2q5/8/2P1BN2/PP2PPPP/RN1QKB1R b KQkq -,c5c7
2rr4/1b2qpkp/pp2p1p1/8/PP1Pp3/4P2P/3QNPP1/R3R1K1 b - -,c8c4
1k4r1/1p6/p3Rp1r/1q1p4/3P1P2/3QR1p1/PP4P1/6K1 b - -,b5b2
8/7p/2p3k1/5p2/4nR1P/4rB2/8/6K1 w - -,f3g2
r1bqk1nr/1ppn1pbp/p2pp1p1/8/3PP3/2NBBN2/PPPQ1PPP/R3K2R b KQkq -,h7h6
2r3k1/R3qp1p/3b2p1/3p4/2rBn3/1QnNP2P/1R3PP1/5NK1 b - -,e7e6
3rk2r/1p2bp2/p3p1p1/3nP1P1/P1RP4/3KBN2/5P2/8 b k -,e8d7
rn1qkb1r/pbpp1ppp/1p2pn2/8/4P3/P1N2N2/1PPP1PPP/R1BQKB1R w KQkq -,e4e5
5r2/pp2k2p/5Rb1/1n2P3/1R5P/1P6/6P1/6K1 b - -,g6d3
1rbq1rk1/2nnppbp/p2p2p1/2pP2B1/2p1PP2/1NN5/PP1QB1PP/R4R1K w - -,e2c4
r1bq1rk1/pp1nbppp/2npp3/6P1/3NP2P/2N1B3/PPP1QP2/R3KB1R b KQ -,a7a6
6k1/5pp1/1qN4p/p7/PpQ5/1Pn1r2P/5PP1/2R3K1 w - -,f2e3
2kbb2r/pp5p/2p1n1p1/2q2p2/7P/2N1P1P1/PPQ1NPB1/2K4R w - -,h1d1
2r4k/1p1r3p/3P4/3Rq3/p4pP1/5B2/P4QK1/8 b - -,e5e3
r6r/ppp1kppp/1b2bn2/4p1B1/2B1P3/2P5/PP1N1PPP/R4RK1 w - -,f1d1
r3k2r/ppq2ppb/2pBpb1p/7P/2B1P3/8/PPP1QPP1/2KR3R b kq -,c7b6
6rk/ppp1qp1p/1bn2r2/4p3/4P1P1/1NP2Q2/PPB2PP1/R4RK1 w - -,f3h3
3r2k1/p4pp1/1p1rp1p1/3b4/3P1q2/PBPR2R1/5PPP/4Q1K1 w - -,b3d1
8/1n4p1/p1k1p3/1Pp1Pp1p/2P2P1P/1P1K2P1/8/4B3 b - -,a6b5
r1bq1rk1/ppp2ppp/4p3/4P3/1bPn1Bn1/2N2N2/PP3PPP/R2QKB1R b KQ -,c7c5
r2qkb1r/pp1n1ppb/2p1pn1p/3p4/5P2/1P2PN1P/PBPPB1P1/RN1Q1RK1 w kq -,c2c4
rn1qkbnr/pb2pp1p/1p1p2p1/2p5/2P1P3/2N3P1/PP1PNPBP/R1BQK2R b KQkq -,f8g7
8/p4p1p/1pBkn1p1/8/P2r4/6P1/5P1P/2R2K2 w - -,c6e8
3r1rk1/1q2bp1p/p1bpp1p1/1p2Pn2/3B1PQ1/P1PB4/1P2N1PP/R2R3K w - -,d3f5
rnq2rk1/1b3pp1/pp1Bp2p/8/8/2PBP3/P1Q2PPP/3RK2R b K -,f8d8
r2kr3/pp2bppp/nq1p1n2/1NpP1b2/2P2B2/P4P2/1P1Q2PP/R3KBNR w KQ -,e1f2
r4rk1/pp1nbppp/2p1pn2/2P5/2NP4/2N1P3/1P3PPP/R1B1K2R w KQ -,c4a5
4r1k1/pp2qpPp/1n1p2n1/2pP1Q2/2P3P1/1PN3KP/P2B4/5R2 w - -,c3e4
r1r3k1/pp1n1ppp/1q3b2/8/3pQP2/3B4/PPP3PP/1KBR2R1 b - -,g7g6
5rk1/1p2q2p/2bpp1p1/p1n1b2r/2PN4/1P2BP2/P5PP/1R1RQBK1 w - -,h2h3
qr4k1/3nppbp/p2p1np1/1Pp5/5P2/P1NP2PP/1P6/R1BQ1RK1 b - -,a6b5
5rk1/pp3r2/2p1b2p/4b3/4Pp2/2NR1B2/PP3P1P/3R2K1 b - -,f7g7
r1bqk2r/1p2bppp/4pn2/p1pp4/1nPP4/1P2PN2/PB2BPPP/RN1Q1RK1 w kq a6,b1c3
3B4/8/6k1/1nbBP3/1p1p4/3P4/2P3K1/8 b - -,g6f5
r1bq1rk1/p3bppp/2nppn2/1pp5/4P3/1BPP1N2/PP1N1PPP/R1BQR1K1 b - -,c8b7:a7a5
2r1b1k1/6pp/2p2p2/2b1pP2/q1P1B3/1R1P1Q1P/4N1PK/8 w - -,b3b7
2r3k1/7p/p5p1/1pBpb1q1/1P6/PR4n1/2P3Q1/5RK1 w - -,g2d5
3r1rk1/1p3ppp/p1n3n1/8/P2P1qb1/1N3N2/4BPPP/2RQR1K1 b - -,g4f3
r3k2r/pp1qppbp/8/2ppPbB1/6n1/2NP2P1/PPP1P1BP/R2Q1RK1 b kq -,g7e5
r2q1rk1/pp1b2bp/n1pp1n2/5p2/2P2Pp1/2NPB1P1/PP1QN1BP/R3R1K1 w - -,a1b1
r7/pp2k3/2pq3Q/3pr3/3P1n2/2P5/PP2NP2/2K3R1 w - -,g1g7
r1b1k2r/1pq1bppp/p2ppn2/8/2PQP3/1P4P1/PB3PBP/RN3RK1 b kq -,e8g8
rnbqk2r/1p3pbp/2p1pnp1/p2p4/2PP4/QPN1P3/P2B1PPP/R3KBNR b KQkq -,b8a6
3r2k1/p5pp/4b3/r7/4p2P/1PP2NP1/P1K1B3/R7 w - -,f3g5
