8/8/pk2p2p/5ppP/1PK5/5P2/6P1/8 b - -,b6c6
5b1k/8/4BPR1/4P3/2p5/2rpK3/8/8 b - -,h8h7
3qrbk1/1p1n1p2/rPppb1pp/p3p3/N1P1N3/3PP1P1/PQ3PBP/1R3RK1 b - -,f7f5
r1bq1rk1/pp1n1pbp/3p2p1/2pP3n/4P1P1/2NB1N1P/PP3P2/R1BQ1RK1 b - g3,h5f6
8/3r1kpp/1p1P1p2/pNn1p3/P7/4P3/6PP/2R2K2 b - -,f7e6
8/8/5p1k/p2r4/4PKPp/5P1P/8/8 w - -,e4d5
5r2/1p4bk/3Nn1pp/8/4B3/1N4P1/4bP1P/5RK1 w - -,f1e1
6k1/3r1p1p/p7/8/P1p2N2/1bbn2B1/5PPP/1R3RK1 w - -,f4e2
1r1rbk2/2q2ppQ/p2n1b2/1p6/3pBBP1/1PP4P/P7/2R2R1K w - -,g4g5
1kr4r/1q1bbppp/4p3/np1p2P1/1N2PP1P/R7/1PP1Q3/1KBR1B2 w - -,c1d2
r2qrbk1/2pp1ppn/b1p4p/p7/B2BP3/2N4P/PPP2PP1/R2QR1K1 w - -,f2f4
2r3k1/p4p1p/3qp1p1/4Q3/8/1B3N1P/P4PP1/6K1 b - -,c8c1
1r6/ppk3pp/2p1b3/P4p2/2P1P3/2P1KP2/4B2P/1R6 b - -,f5e4
r2qk2r/1b1n1ppp/p3pn2/1pp5/P7/3Q1NP1/PB2PPBP/R4RK1 b kq -,e8g8
8/5pk1/3Bn1p1/7p/2Qb1P1P/4q1PK/6B1/8 b - -,d4f6
8/8/1R1b3p/p2r4/P2k4/5K2/5P1P/8 w - -,h2h3
8/8/2pk1p2/3b3p/r6p/2RN1P1K/6P1/8 b - -,d5e6
8/1k3p2/8/4B1p1/3P2P1/4P3/r4P2/4K3 b - -,b7c6
rnbqk2r/pp2bppp/2p2n2/3p4/3P4/2N3P1/PP2PPBP/R1BQK1NR w KQkq -,g1f3
8/1p1r2k1/p2q1n1p/Q4ppB/P3p3/2B1P1PP/1P3P2/6K1 b - -,d6d5
r1bqkb1r/1p3ppp/p1n1pn2/2p5/4pP2/2NP1NP1/PPP3BP/R1BQK2R w KQkq -,c3e4
r2k1b1r/p3pp1p/1PqP4/Q3nnp1/5B2/5P2/P3BP1P/RN3RK1 b - -,a7b6
3q1r1k/p5bp/b2p4/2pN1p2/5P1n/2PP4/P2Q1B1P/1R4KB b - -,f8g8
r2qkb1r/2p2ppp/p1nnp3/1p1p3b/P2P4/2P1PN1P/1PBN1PP1/R1BQK2R w KQkq -,e3e4
rn1qkb1r/ppp2ppp/8/3Pp3/4P1b1/2P2N2/P4PPP/R1BQKB1R w KQkq -,d1a4
r3kb1r/1pq3p1/p1p2p2/4p2p/2B1P1b1/2N1PQP1/PPP4P/3R1RK1 w kq -,f3f2
rn3r2/1bq2pkp/p3p1p1/1p1n4/3N4/P1N5/1PPQBPPP/R4RK1 w - -,e2f3
3q1rk1/pb3pb1/1p2p1p1/n5Bp/3PP2P/3B4/P2QNPP1/2R3K1 b - -,d8a8
8/5kp1/4p1pp/3p4/3P1KPP/r7/5P2/8 w - -,g4g5
8/p1r2k1p/bpp2np1/4R3/3P4/2P4P/PP3PP1/4R1K1 w - -,g2g3
8/4k1pp/1p3p2/1p3P2/1P1p1PP1/P1pP4/2K4P/8 w - -,c2d1
8/1p6/8/pk5p/5NbP/1K4P1/8/8 b - -,b5c5
r2q1rk1/pbppppbp/1p4p1/n7/2PP4/2P2NP1/P1Q1PPBP/R1BR2K1 w - -,c4c5
r2qr1k1/p4pbp/b2p2p1/2pR4/1pN1P3/5PP1/PPQ1n1BP/R5K1 w - -,c2e2
8/2k4p/2p5/P1P2p2/P2K1Pp1/6P1/7P/8 b - -,c7b7
rnbqkb1r/pp3ppp/4p3/2ppP3/8/2P1BN2/PPP2PPP/R2QKB1R w KQkq -,d1d2
3r1rk1/p1p2p2/Bp3bpp/3n1R2/3P4/P1P5/1P4PP/2BR2K1 w - -,f5f2
1n2r1k1/p4ppp/3R4/2Q5/2P5/4N1P1/4qP1P/6K1 b - -,h7h5
6k1/8/R5p1/6N1/3r4/4nPK1/8/8 w - -,a6a8
r1bq1rk1/pp1pppbp/2n2np1/8/2B1PP2/1NN1B3/PPP3PP/R2Q1RK1 b - f3,d7d6
r1b2rk1/1p1nq1pp/p3p3/3p1p2/3Pn3/P1NBPN2/1PQ2PPP/2R2RK1 b - -,b7b5
8/3r1p1R/1pk1p2K/p3P3/2P1RP2/8/6r1/8 b - -,g2h2
8/4b2p/p5p1/1p2p1P1/1P2p3/1kP1Bb2/3K1N2/8 w - -,f2h3
8/p1k3b1/P2Rr3/2P1pp1p/3np2P/6P1/3BBP2/5K2 b - -,e6d6
2r2rk1/1pq2ppp/p2pp1n1/8/2P1P2b/1PN3R1/PB2QPPP/5RK1 w - -,g3f3
3r4/pp3p2/2k2p1p/4p1b1/4P3/2N3P1/PPP4P/3K1R2 w - -,c3d5
r4rk1/pbp3bp/1pn1p1p1/q5N1/3P1PP1/2N1B2P/PPP5/R2Q1RK1 b - -,c6d4
4rk2/p1p5/r1pbb1p1/4p2p/2N1P1P1/1P5P/PB2RP2/R5K1 b - -,e6c4
3n4/p4ppp/5p2/4k3/4p1b1/2N5/PPP1Nb1P/2KR4 b - -,d8c6
8/1r1k3p/2p3p1/1p1p1p2/PR1P1B2/2nP1PP1/7P/5K2 w - -,a4a5
4k3/8/6r1/5N2/4K2P/1R2P3/8/2b5 w - -,b3b8
3rr1k1/pb2qppp/2nbpn2/Ppp5/2N5/1P3NP1/1BPP1PBP/R2Q1RK1 w - -,c4d6
6r1/1pr1pqk1/p2pRb2/P2P4/2Bp1Q2/1P1P4/2P3K1/7R b - -,f7g6
r4rk1/1pp3bp/p2p4/3Ppb2/q1P1Bp1B/5P2/PPQ3PP/2K1R2R b - -,a4c2
r3k2r/1pqbnpb1/p1n1p1pp/3pP3/3P3P/2N1BN2/PP3PP1/1BRQK2R w Kkq -,a2a3
1rq1k2r/p3bpp1/1Pp1pnp1/3p4/2nP1P2/1QN1P1P1/PP1B2BP/R3K2R w KQk -,c3a4
4k3/R7/5p2/p4P1K/4r3/8/8/8 b - -,e4e7
r1bq1rk1/ppp2pbp/2np1np1/8/4P3/2N1BP2/PPPQ2PP/2KR1BNR b - -,c8e6:a7a6
8/p4rk1/2pR2p1/1pNn3p/4P2P/1P4K1/P5P1/8 b - -,d5f4
r2qr1k1/1ppb1ppp/p2p1b2/3P4/8/2P1B2P/PP3PP1/R2QRBK1 b - -,d7b5
3qr1k1/p4pp1/1p3b1p/3N4/2rN4/5BP1/PP3P1P/3Q1K1R w - -,d4f5
8/8/7K/8/8/4k1pP/6P1/8 w - -,h3h4
2r3k1/p3n1p1/Ppnqpr1p/3p4/3P1PPb/1N5P/1PRBB3/3Q1RK1 w - -,d1c1
r2qk1nr/1bpn1pbp/p2p2p1/1p2p3/3PPP2/2P1BB2/PP1N2PP/R2QK1NR w KQkq e6,g1e2
3r2k1/5p2/2p1p3/p3P1p1/P2r4/1P3P2/2P1R1P1/R3bK2 w - -,a1e1
1r1q2k1/1n2pp1p/p7/1p1PP1b1/1Nn5/P1Q2BPP/1PR2B2/6K1 b - -,d8a5
8/pr3p2/4pk2/R4p1p/pr3P1P/5KP1/PP2R3/8 b - -,b4b2
6k1/1p1n1rp1/p1p1r2p/2P5/R2Rp1P1/4P1BP/1P3PK1/8 w - -,d4e4
6k1/5pbp/4b1p1/1P1p4/4QP2/3B4/q1N3PP/6K1 w - -,e4b4
r2qkn1r/5pb1/b1n1P1pp/pp1p4/5B1P/2P2NP1/PPB2P2/R2QR1K1 w kq -,e6f7
r4rk1/4qp1p/p2pb1p1/1p2p1PQ/1P2P3/1BP1R3/P4PP1/3R2K1 w - -,h5h4
1rb1k2r/5pp1/2n1p2p/3pP3/1ppP1P1N/q7/P1PQ2PP/1R2RBK1 w k -,h4f3
1rb2r2/2q1ppkp/pp3np1/2pP4/8/2QP2P1/P2NPPBP/R4RK1 b - -,g7g8
r5k1/2qnbp1p/1pp1p1p1/2Pp4/1P1P1P2/r4NP1/2Q1NPKP/1R3R2 w - -,e2c1
1r5k/5p1p/8/2P4p/3nN3/1P4P1/5PK1/3R4 b - -,b8b4
rnbq1rk1/p1p2ppp/1p1b1n2/3pp3/8/3P1NP1/PPPNPPBP/R1BQ1RK1 w - -,e2e4
rn1qkbnr/1b2pppp/p7/1pp5/8/4NNP1/PP1PPP1P/R1BQKB1R w KQkq c6,f1g2
8/5k2/5p2/5P1K/3bP3/3N4/8/8 w - -,h5h6
1r4k1/5p1p/3b2p1/p3p1P1/3B4/2Q2P1P/P1R3K1/1q6 w - e6,d4f2
2kr1bn1/pbppq3/1pn1p3/5p2/1PPP2P1/P1N1P1P1/3N4/R1BQK2B b Q -,e7g5
8/Np3p2/p1p2kp1/7p/3P4/1P5P/6P1/6K1 w - -,g1f2
6k1/ppqr1p1p/2p2np1/2b1p3/4P3/2P2BNP/PPQ2PP1/5RK1 w - -,f1d1
r1b3k1/ppprBp2/6p1/4p3/2P5/P1n4P/1P3PP1/R3KB1R w KQ -,e7g5
8/3k4/4p3/p3p1p1/1p4P1/1P2KP1r/P1R5/8 w - -,c2c5
3r1rk1/1p2q1pp/p5b1/3p1p2/Q2Pp1P1/4P1NP/PP3P2/2KR3R w - f6,g4f5
1n1r1qk1/p2P1b1p/1p3ppP/1Br1p3/P3P3/3RN3/1Q3PP1/3R2K1 w - -,d3d6
r3kb1r/pp1n1ppp/2pqpn2/6B1/3P2b1/2N2N2/PPPQBPPP/R4RK1 b kq -,d6c7
1r2r1k1/2bn1ppp/q1p3b1/p1p1p3/P1PpP3/1P1P1NNP/2QBRPP1/5RK1 w - -,f3h4
8/1R6/R2pnk2/P3b3/1PK4r/8/8/8 w - -,c4b3
r3r1k1/1bqn1pbp/pp2pnp1/2ppN3/2P2P1Q/1P1BP3/P2PN1PP/B2R1RK1 b - -,c7d8
r1b2r2/1p1nkpp1/1pp2n2/4p1N1/2B1PP2/P1N4P/1PP5/2KR3R b - f3,f6h5
3b4/8/2k4p/2p3p1/P1P3P1/5P2/2KN4/8 b - -,c6d6
r2qk2r/pp2bpp1/2np1n1p/2p1p3/4P3/P2P1N1P/NPPB1PP1/R2QK2R b KQkq -,d8b6
2br1r2/p3qpkp/1p4p1/n2Pp3/2p1P3/2P3Q1/P1B1NPPP/2R2RK1 w - -,f2f4
4b3/7p/p4k2/3p1p2/2nB1P1K/P1PB4/2P4P/8 b - -,f6g6
2bqnbk1/1pp1nr1p/3p4/Q1PPp1p1/1PN1Pp2/2N2P2/4BBPP/4K2R b K -,e7g6
1r3rk1/1P1b2bp/4p1p1/1p1p1p2/1n1N4/BP4P1/4PPBP/1R3RK1 b - -,g7d4
r1bq1rk1/pp2bppp/1n2pn2/4N3/3P4/P1NBB3/1P3PPP/R2Q1RK1 b - -,b6d5
2b2nk1/7p/R4pp1/2pP4/2P4P/3N4/2B2KP1/8 b - -,c8a6
k7/P4p2/4p2p/2bPP3/R5P1/1r5P/6B1/5K2 b - -,b3b1
r4rk1/pp3pp1/2n2q1p/8/7R/2Pb1NP1/P1Q2PP1/3RK3 w - -,d1d3
r1bqkbnr/ppp2ppp/2np4/8/4P3/2N1Q3/PPP2PPP/R1B1KBNR b KQkq -,g8f6
8/8/5kp1/2r2p1p/5N1P/5BP1/5PK1/8 w - -,f3b7
r3r3/1p1b1nkp/2p2qp1/pNn1pp2/2P2P2/1PN3PP/P4QB1/3RR1K1 b - -,b7b6
8/r6p/1Rp1p3/p1N1k3/P4n2/8/1PP2P1K/8 b - -,a7g7
r1b1qr2/p2pppbk/2p3pn/4P3/2B1NP1p/3QB2P/PPP3P1/2KR3R w - -,g2g4
r1bqk2r/pp2bppp/2n1pn2/2pp2B1/3P4/2PBPN2/PP1N1PPP/R2QK2R b KQkq -,e8g8:h7h6
8/1Q3nk1/3N1p2/2P1p1p1/q3P3/4B1P1/5P2/4nK2 w - -,b7f7
r1bqkbnr/pp2pppp/3p4/2p5/2B1P3/2N5/PPPPQPPP/R1B1K2R b KQkq -,e7e6
8/p6Q/8/6P1/PRn3k1/2K5/4q2P/8 b - -,e2e5
r3r2k/pppq2pp/2n5/5p2/2BPn1b1/2P2N2/PP2QPPP/R1B1R1K1 w - -,e2d3
r2q1rk1/1b3ppp/p2p1b2/1p2pP2/4P3/1PNQ4/1PP1N1PP/R4RK1 b - -,d8b6
6r1/p3k3/P3p3/1pp1p2p/1P2PPpP/2P1P3/4K3/1R6 b - -,g8c8
8/8/7p/4p1p1/1P1k2P1/6RP/5r2/2K5 b - -,e5e4
r4k2/1b2pp1p/3p1np1/1prP4/1N6/1P3PPP/P2R1K2/3R1B2 b - -,f6e8
r1bqkbnr/1p1p1ppp/p1n1p3/8/3N1B2/2N5/PPP1PPPP/R2QKB1R w KQkq -,d4c6
2r1r1k1/1R3p2/p2b1Ppp/P6q/4P3/P1QP1N1P/6B1/7K w - -,c3d2
4k2r/p2n1ppp/r1p1p3/qp1pP1Q1/1b1P4/5P1P/PPP1NP2/K2R1BR1 w k -,e2c1
8/6k1/1p5p/p1r1p2R/PnB1P3/1P2P1P1/6K1/8 w - -,h5f5
r2q1rk1/pp1nbpp1/2p1pnp1/3p4/2PP4/2NBP3/PP1B1PPP/R2Q1RK1 w - -,a1c1
8/3k1R2/R7/8/3P2K1/2pr4/P7/8 b - -,d7e8
1k6/8/2K5/R1P5/8/8/2r5/8 w - -,a5a1
8/5r2/2kp3p/1pp2p2/3P3B/2P2PPP/1nK5/R7 b - -,b2a4
4kr2/3r1p2/2pnp3/p2q2pp/2NPR3/1Q6/PP3P2/1K2R3 w - -,c4d6
4kb1r/1p1n1pp1/p3pnp1/8/r1P2B2/1N4N1/PP3PPP/2RR2K1 w k -,a2a3
r1bqnrk1/ppp1p1bp/1n1pp1p1/6N1/3P1P2/2NBB3/PPP3PP/R2QK2R b KQ -,e8f6
2r1k2r/pp3ppb/1q1Bpn1p/2P4P/4n3/4Q1N1/PP3PP1/2KR1B1R w k -,g3e4
2b2r2/6k1/3p1rp1/pBp1b2p/1pP1p2q/1P2P2P/P1RR1PP1/1N3Q1K b - -,f6f3
8/8/p3r3/1p3pk1/3R4/2P5/PP3KP1/8 b - -,g5f6
r1bq1rk1/ppp1nppp/1bn5/P2p4/3NP3/2P1B1P1/1P3PBP/RN1Q1RK1 b - -,c6a5
2kr3r/ppp1nppp/4b3/3QP3/4p3/2B5/PPP1BPPP/R4RK1 b - -,e7d5
8/1k2r1p1/6Rp/KP6/P7/8/6PP/8 b - -,b7a7
8/6p1/bp1kp2p/4p3/BPPbP1P1/N4K1P/8/8 w - -,a4b3
8/R5pp/8/3r4/1k5P/p5P1/5P2/4K3 w - -,a7b7
r4rk1/pp2qppp/2b1p3/3nN3/3QN3/8/PPP2PPP/2KRR3 b - -,a8c8
r3rk2/1p2qppB/p1p1bB2/7p/1bP2P2/1PQ1N1RP/P5P1/4RK2 b - -,b4c3
8/8/p5pk/2PB1r1b/3R3P/5p2/P4K2/8 b - -,f5e5
5r2/8/2bp2kp/1p2b1p1/1RP3P1/5P2/1P3RK1/8 b - -,f8f4
r2b1rk1/1q3ppp/3p4/pp1npP2/1P2N3/2PQB2P/P4PP1/R3R1K1 w - -,e4d6
rq1r2k1/2R1b1pp/3p2n1/pp1Pp3/1P2p3/1Q2B2P/P2N1PP1/2R3K1 w - -,b4a5
r7/7Q/3pkrp1/4p3/8/qpP5/3R4/1K5R w - -,h7h3
r3k2r/5pbp/p5p1/5P2/2p1n3/2N1B3/PP4PP/R4RK1 b kq -,g7c3
3q1rk1/1b1nRp2/pp1r2p1/3P3p/P2P4/1QN2B1P/5PP1/4R1K1 b - -,b7a8
1rb1r1k1/2q1n2p/pp1p2p1/2pPN3/P1P1P3/2NB4/1P1Q2PP/R4RK1 b - -,d6e5
3qrrk1/1pn1p1bp/pNp1R1p1/2P2pP1/3P3P/2BQ4/PP3P2/4R1K1 b - -,c7e6
8/p1p1k3/1pn1bbpp/5p2/2P1pPP1/P3P1KP/1P1NB3/3N4 b - -,a7a5
r1q3k1/p1p1Rbbp/1p1p1pp1/3P4/P1Q5/2B2B2/1PP2PPP/6K1 b - -,c7c5
3rr1k1/1pp1qppb/2np1n1p/p3p3/2P5/PP1PP3/1BQNBPPP/R4RK1 w - -,d2e4
1r1q1k1r/ppp1bnpp/3p4/4p3/3PP1n1/1QP2NN1/PP3P2/R1B1K2R w KQ -,c1e3
8/p5k1/1p6/1P2p3/P2r2P1/1P5R/6K1/8 w - -,g2g3
r2q1rk1/ppp2ppp/2n1pn2/8/1bBPP1b1/2N1BN2/PPQ2PPP/R3K2R w KQ -,a1d1
rnb1k2r/pppn1ppp/4p3/3pP1q1/3P4/2N4N/PPP2PP1/R2QKB1R b KQkq -,g5e7
2b2r1k/p5pp/1pQ1p2b/4Np2/2B5/8/PPP2q1P/1K1R3R b - -,g7g6
3q4/3r1pkp/1p1P1p2/pN4p1/8/1Q3BP1/PP3PKP/8 b - -,g7f8
5k2/2q3pp/pp6/4rB2/PP6/3R1P1P/5QP1/7K b - -,c7c1
r5nr/pp2kBpp/6n1/3R2b1/2p1p3/4q3/PPP1Q1PP/4NR1K w - -,e2g4
2brrk2/pp1n1p2/3p1q2/1Pp4p/2P1PP2/6RP/P1Q1N1B1/3R2K1 w - -,g3g5
3rn3/rp1nq1kp/1Np1b1p1/P1P1p3/1QB1P3/2N5/5RPP/5RK1 w - -,c4e6
rn1q1rk1/5p1p/2p1pNp1/1p6/3P4/1Q3N2/PP3PPP/R3R1K1 b - -,d8f6
8/1R4pp/P3k3/8/2pb4/7n/2K5/8 w - -,b7g7
r2qr1k1/pp1b1ppp/5n2/1B1pn1B1/8/2Q2P2/PPP3PP/2KR2NR w - -,b5d7
2r1r1k1/1npnq1pp/1p1p2b1/3Pp3/2P2PP1/1PB1Q2P/3N2B1/4RRK1 w - -,f4f5
r2q1rk1/pp1nb1pp/5p2/2pPp3/2P3P1/3Q1P2/PP1BN2P/R3K2R b KQ g3,d7b6
r1bqkb1r/1ppp1ppp/p4n2/4P3/B2p4/8/PPP2PPP/RNBQK2R b KQkq -,f6e4
2b1r1k1/r5qp/pp1Bp1p1/8/P4R2/7P/1P3QP1/5RK1 w - -,f4f8
2r1k2r/pp2bppp/1qn1p3/3p4/3PbB2/2P2N2/PP2BPPP/R1Q2RK1 w k -,c1d2
3k2n1/1ppb1p1p/8/Q1bp4/4P3/4qB2/PP4PP/3R3K w - -,a5a8
3b4/7k/2q4p/2Np1p2/Pp2pP1n/4P2P/4BQ1K/8 w - -,c5b3
rnbq1rk1/pp4pp/2pbpn2/3p1p2/2PP4/2N1PN2/PPQ1BPPP/R1B1K2R w KQ -,e1g1
4r3/3RP1pk/7p/p3p3/P1r1P3/1p2B2q/1KPQ3n/R7 w - -,c2b3
5k2/5pb1/8/2q1P3/bp1p2P1/pRrB4/P1P1Q2P/1K1R4 b - -,a4b3
3q4/3P1k2/3Qp1P1/2p5/p7/8/4K3/8 b - -,f7f6
r5k1/2pn1qpp/bp1p3r/5p2/p1PPpP1B/P3P3/1P2BQPP/2RR2K1 b - -,c7c5
r1bqnbk1/p4r1p/1pRp2n1/1N1Pp1p1/1B2Pp2/3N1P2/PP2B1PP/3Q1RK1 w - -,a2a4
rnbq1rk1/pp3ppp/2p5/4n1b1/4P3/P1NB2P1/1PPQN2P/2KR2BR w - -,e2f4
3r2k1/pbqr4/1pn1p1p1/2pp3p/2P2P2/PP1PP1PQ/1b1N2BP/3R1RK1 w - -,h3e6
r4b1r/3kpppp/5n2/1N1p1b2/3P1B2/4P3/P3NPPP/R4RK1 b - -,f5d3
2r1k2r/1b1nbppp/ppqp1n2/4pP2/1PP1P3/2NQN3/P2BB1PP/2R2RK1 b k -,e7d8
2r4k/1R3Bpp/p1nQ4/8/8/8/P1q3PP/6K1 b - -,c8d8
5k2/1p6/4qnQ1/p1p3R1/2P2P2/6P1/Pb3P2/6K1 w - -,g6h6
r3kb1r/pbpnqppp/1pn1p3/3pP3/3P1NQ1/2PB4/PP1N1PPP/R1B1K2R b KQkq -,e8c8
3rr1k1/p6p/3b1qp1/1P1P1p2/P1p1p3/2N2PQP/1P2RP2/4R1K1 w - -,g3g2
2r5/4bkpp/p2n1p2/4P3/1P1B1P2/2PR4/P1K4P/8 b - -,d6b5
2brr3/1pp3kp/p1p5/N5p1/4P3/1P3PP1/P1P2K2/3R1R2 w - -,f2e3
8/2p5/3p1k2/pPpP2n1/P3P3/6K1/1P6/8 w - -,g3f4
5bk1/2q2p2/2b1p2p/p1p1P1pN/p1B3P1/2P2P2/1P2K1P1/Q7 b - -,c7e5
5r1k/6p1/p3R2p/1p3P2/3qQ1K1/1P4P1/P6P/8 b - -,d4d1
5k2/5pb1/3p2p1/1p1P3P/1qp1Q3/5BP1/1P3PK1/8 b - -,b4b2
2k4r/pbp3p1/1p2p2p/1B2P2P/5PQ1/6P1/PPP5/2KN2q1 b - -,h8d8
r1bqkb1r/pp3pp1/1n2pn1p/2p5/3P4/3B1N2/PPP1QPPP/R1B1K1NR w KQkq -,d4c5:c1e3
r1bq1rk1/pn4bp/2p2pp1/2Npp3/1p1P2P1/3QPP1P/PPP1B2B/R3K2R w KQ -,c5b7
2r2rk1/pb1qn1p1/1p1npp1p/3p4/1P1P4/P2BPN2/3N1PPP/1QR2RK1 w - -,c1c8
r5k1/pp2pp1p/5bp1/8/6b1/2PB4/1P1Q2PP/q1KR3R w - -,c1c2
8/p7/4p3/1P1p1p1R/Pk4r1/4P1P1/3n2K1/7R b - -,d2e4
2b5/5kp1/p7/1p6/2p4P/4PK2/P1B3P1/8 w - -,a2a3
1r5r/3nqkb1/3Bp1pp/1B3n2/p1P1QP2/5N2/1P5P/2KR2R1 b - -,f5d6
r2q1rk1/2p1nppp/p1np4/1pb1p3/4P1b1/2PPBN2/PPB2PPP/RN1Q1RK1 w - -,b1d2
4r1k1/pp1r1ppp/4b3/2Pp4/1P1B4/5BP1/P1R2P1P/3R2K1 b - -,e8c8
1r2nk2/8/p2p3b/3PprBq/2P1Np2/5P2/1PQ2KR1/3R4 w - -,g5h6
5k2/R7/4K3/4P1p1/8/8/p4r2/8 w - -,a7a8
6r1/6P1/8/4B3/5R2/2K2k2/5P1p/8 b - -,f3g2
1r6/2kn1p2/2p1p1r1/Q3Pp2/1p1Pp3/6P1/3B3P/1K6 b - -,c7b7
rnbq1rk1/ppp1b1pp/3p1n2/4pp2/2P5/3PP3/PPQNBPPP/R1B1K1NR w KQ -,g1f3
r1k4r/p1p1bpp1/1p2b3/2p1Pn2/4NP1p/1P3N1P/PBP2KP1/3R1R2 b - -,a7a5
6k1/p5p1/1p2q1P1/1P6/2P2QK1/5P2/8/8 w - -,g4g5
8/2k5/P7/6p1/1bB1P2p/7P/6P1/3K4 b - -,b4c5
3q2k1/3n2bp/3P1p2/pQN2p2/1p1r1B2/8/1P4PP/5RK1 b - -,d8b6
r4rk1/p3ppb1/6pp/1p1q4/1Q5P/3PB1P1/P1R1PP2/5RK1 b - -,f8c8
r7/8/8/4k3/1p5p/1K6/P4R1P/8 w - -,b3b4
2krr3/pppqn1p1/2n2pp1/1Q1p4/1P1P3P/1NP2NP1/P7/2K2RR1 b - -,a7a6
3b4/5pk1/R5p1/3NBn1p/3p4/3P2P1/5PKP/3r4 b - -,g7h7
