4k3/2R5/pp1K4/8/4r2P/8/6P1/8 b - -,e4h4
6k1/rb2r2p/p1p1n1p1/P2pPp2/8/3NP1P1/R4P1P/1R3BK1 w - -,f2f4
4k3/1p5p/p3p3/2Pq4/Q5p1/3p2P1/P4P1P/5K2 b - -,e8d8
r4rk1/2pn1pqn/bp1p2p1/3Pp2p/1PP1P3/1NNBQ1PP/1R3P2/4R1K1 w - -,e1a1
3r1rk1/1bBnqppp/p7/2pp3n/8/P1NBPP2/1P1Q2PP/3R1RK1 b - -,d8c8
r7/1p1k2pp/r1p1pn2/5p2/P2P1P2/1P2P3/R3K1PP/4B2R b - -,h7h6
r2qnrk1/1p2bppp/p3b3/2ppP3/3Q4/1BP5/PP3PPP/RNB1R1K1 w - c6,d4d1
1r3rk1/p2bq1pp/3bp3/N1pn1p2/8/P5P1/1PQBPPBP/1R3RK1 b - -,f8c8
r2qk1nr/ppp2pp1/1bnpb2p/8/4P3/1NN1B3/PPP1QPPP/2KR1B1R b kq -,d8d7
2r3qk/pb1p1rpp/1pnB4/3N2Q1/4R3/8/PP3PPP/4R1K1 b - -,c6a5
r1b2rk1/3n1ppp/p3p3/2pnQ3/N7/8/PP1B2PP/2R1KB1R b K -,d7e5
r3kb1r/pp2pppp/1np2nb1/6N1/3q4/4NPP1/PPQPP1BP/R1B2RK1 w kq -,c2b3
r1bq1rk1/1p2b1pp/p1n1pn2/2pp4/3P4/2PB1N2/PP3PPP/R1BQRNK1 w - -,f1g3
3qr1k1/7p/2R3p1/1p1Bb3/8/1P4PQ/4rP1P/3R2K1 b - -,g8g7
3k1b2/5P2/1PB3K1/8/8/8/6P1/8 b - -,f8c5
3R4/p6p/3k4/6p1/P1np4/2r3PB/4P2P/4K3 b - -,d6c5
r2q1rk1/pb2pp1p/1p3npb/2np4/2P5/1P3NP1/PB1NPPBP/2RQ1RK1 w - -,b3b4
3r2k1/1p1n1ppb/1n2q2p/PNp5/1p2P3/4BPP1/1P2Q1BP/R5K1 b - -,b6c4
5rk1/2qbppbp/pr1p1np1/nppP4/2P5/1P4PP/PBQNPPB1/1RRN2K1 b - -,f8b8
2r1r1k1/1pqn1ppb/2pb1n1p/p2p4/3N3N/PP1P2PP/1BQ1PPB1/2R2RK1 w - -,h4f5
5rk1/2qnbppp/p3p3/1P2P3/4N3/PP4Q1/1B4PP/5RK1 b - -,a6b5
2r2b2/p4k1r/1p2pppn/2p1p2p/1PP1P2P/P1NPBPP1/8/1R1R2K1 w - -,c3a4
2br2k1/1pp1qpbp/3P2p1/Q1P2p2/3N2n1/2N1P1P1/5PBP/3R2K1 b - -,c7d6
3rr1k1/1pq1p1bp/p3bpp1/P3PP2/2p1B3/2N1Q3/1P4PP/R4RK1 b - -,c7e5
3r2k1/1B3p1p/5p2/p3p3/P2b4/1P4PP/4PP2/3R2K1 w - -,d1c1
2b2rk1/p3qp1p/1p4pP/n1p1P1B1/4P3/2Pr2Q1/P3N1P1/2R2RK1 b - -,d3g3
4rrk1/3n2p1/p4q1p/1p1P4/2pb1p2/7P/PPBR1PP1/3R1QK1 w - -,d2d4
8/3k4/p7/4Q3/p1P5/5q2/KP6/8 w - -,e5b8
8/1p6/5kb1/p1p4p/2P2K2/PP6/8/3N4 w - -,d1c3
3r2k1/1q1nbpp1/1pp4p/r2p1b2/P2P1B2/1Q2PN2/R3BPPP/2R3K1 w - -,b3c3
r1bqrbk1/pp3ppp/2p5/2n5/2PN4/2B1P3/P1QPB1PP/2KR1R2 b - -,c5e4
r3r1k1/ppq3bp/2p1bnp1/3p1p2/NBPPp3/1PQ3P1/P3PPBP/R2R2K1 b - -,a8d8
6k1/pr5p/1pn1p1p1/1B1p4/Pb3P2/2P5/5P1P/3R2K1 w - -,b5c6
r2q1rk1/1pp2pbp/2npb1p1/2n5/2P1PN2/1PN1BP2/3QB1PP/1R2K2R w K -,b3b4
r2r4/p1n1pk1p/1pp1npp1/8/1PNP4/2P2P2/1P3BPP/R3R1K1 b - -,c7b5
rnbqk2r/4bppp/pp1p1n2/2pP4/P3P3/2N2N2/1P3PPP/R1BQKB1R w KQkq -,h2h3
4R3/p3r2p/1p3kp1/1PpP1b2/2B2p2/P4P1P/1P4P1/7K w - -,e8e7
6k1/p5P1/8/P1p3K1/4p1p1/1P6/4br1P/B3R3 b - -,f2h2
1kb5/p7/p7/8/5p2/6rp/PPP1R3/4KB2 b - -,g3g1
3rb3/1p2k3/5r1p/1PPpp1p1/P7/6P1/3R3P/2R2BK1 w - -,a4a5
r1bq1rk1/1p3pb1/3p2pp/2pPp3/p1P1P3/6QP/PP1NBPP1/R4RK1 w - -,b2b3
8/5pkp/6p1/Q2Bp2P/1p6/6b1/1r6/3K4 w - -,a5a7
r2q1rk1/pb1nbppp/1pp2n2/3p4/Q2P1B2/2N2NP1/PP2PPBP/R2R2K1 b - -,a7a6
1k2rr2/pppb2q1/4p2p/2bp2p1/8/P1NB1P1Q/1PP3PP/1K1R1R2 b - -,c5a3
r4rk1/1bqp1ppp/p3pn2/1p2b3/2nBP3/PNN2BP1/1PP2P1P/R1Q1R1K1 b - -,a8c8
7r/p1p1brp1/1pk1p1n1/2p1P3/2P1NPp1/1P2B2P/P4R2/5RK1 w - -,h3g4
7r/p7/8/2Rpk3/4p3/1P2K1P1/2P4P/8 b - -,e5e6
5rk1/1p2qpb1/2ppn1p1/1Pn1p2p/2P1P3/r2PBBPP/5P2/1RNQR1K1 w - h6,c1b3
r1bq1rk1/pppn1ppp/3p1n2/4p3/2PP4/P1B1P3/1PQ2PPP/R3KBNR w KQ -,g1f3
r3kb1r/1bqn1ppp/pp1ppn2/8/3NPP2/4BB2/PPPN2PP/R2QR1K1 b kq -,a8c8
r1br2k1/pp2q1bp/1n4p1/4pp2/1nP2P2/1PN1B3/P1B1N1PP/2R1QRK1 b - -,e5e4
4r1k1/2q3p1/ppn1N1p1/2pQ4/2Pp3P/1P1Pb3/PB6/R5K1 w - -,g1g2
8/5p2/8/p4PP1/k1K1p3/8/8/8 w - -,g5g6
6k1/p7/1p3bp1/1P5p/3p1B2/P2b4/5K2/6R1 b - -,g8f7
4r1k1/p1Bp2p1/b2n3p/2pP1R2/2P1n3/3B3N/P5PP/6K1 w - -,f5f1
3r4/1p2r1qk/1N1p1n2/P2Pp2p/4PpP1/2R2P2/5QP1/2R3K1 b - -,h7g6
8/8/2p3k1/B2p1b2/3P2P1/2Pr4/5K2/4R3 b - -,f5g4
8/8/3nk1p1/p2p4/Nn1b1PP1/5K2/1P2B3/4B3 b - -,d6e4
rnbq1rk1/ppp2pbp/5pp1/3p4/3P4/2N2NP1/PPP1PPBP/R2QK2R b KQ -,c7c6
r4rk1/3qbpp1/p6p/3p4/P7/1P2BN1P/Q4PP1/2R2K2 b - -,a8c8
3r3r/Qbk2p2/3p1q1p/p2PpNp1/P1P1Pn2/2P2P2/3K2PP/6R1 w - -,g1b1
8/R7/1p4kr/8/8/1KP5/1P6/8 w - -,a7d7
7r/k3b2p/npq1p1rP/p2nP1P1/P2P1pPB/1B3N1R/4K3/2R5 w - -,c1c6
2r2r1k/1p3ppp/p3P3/3pb3/8/1PP4P/P3N1P1/3R1RK1 b - -,f7e6
4rn1k/2q3bp/p2p4/2pPpP2/PpP3RP/3N1P2/P2QK3/7R b - -,c7f7
r1rq2k1/3n1ppp/1pp2n2/3p4/1P1Pp3/P1B1P2P/5PP1/R1RQ1BK1 w - -,a3a4
4rrk1/p2qn2p/bpn1pbp1/2pp4/5P2/2PP1NP1/PP4BP/RNBRQ1K1 w - -,d3d4
8/7q/7P/4k1K1/8/8/8/8 w - -,g5h5
r3r1k1/pq3pb1/Bp2p2p/6p1/8/1NP3P1/PP2bP2/3RR1K1 w - -,a6b7
3rr1k1/p1q1bppp/2p3n1/2PpPQ2/1P1B1p2/P4N1P/2P2PP1/R3R1K1 b - -,e8f8
r4rk1/5pnp/3p3Q/1bqPnp2/Bpp1P3/7P/1P3PP1/2R2R1K w - -,a4b5
1rbq1rk1/p3ppbp/1n1p1np1/2pP4/2B1P3/2N2N1P/PPQ2PP1/R1B1R1K1 w - -,c4f1
rn1qkb1r/pp2pppp/5n2/1B1p4/8/2N2Q1P/PPPP1PP1/R1B1K2R b KQkq -,b8c6
6r1/8/2kp4/P7/1PP5/1KB5/5R2/6b1 w - -,b4b5
3r1r1k/pp2np2/1q2bN1p/3pPpp1/5Q1N/2PR4/PP3PPP/5RK1 w - g6,f4d2
1r4k1/pqp2pp1/7p/2R5/8/Q7/P2r1PPP/K1R5 b - -,d2b2
8/p3pk2/1p1r2p1/5p2/P2n4/1q4Pp/5P1P/4RQKB w - -,f1h3
3r1rk1/1bq1np1p/p3pQp1/1p6/4PP2/5NN1/P1P3PP/1R3R1K b - -,d8d7
rnbqkb1r/ppp1pppp/8/3p2B1/2PPn3/8/PP2PPPP/RN1QKBNR w KQkq -,g5f4
2Q5/4qpk1/1p4p1/p1bB3p/3p3P/1P1P2P1/P4PK1/8 b - -,e7f6
rnk4r/ppp2ppp/4bB2/4p3/1b2P3/2N3P1/PPP2P1P/2KR1BNR b - -,g7f6
1rb2rk1/1p2n1pp/p4p2/4p3/P7/1NP2B2/2P2PPP/R3R1K1 w - -,a4a5
r1b2k1r/ppp1qpb1/3p2n1/6p1/4P2p/1QP4P/PP1NBPPB/2KR3R b - -,a8b8
1r1r3k/pp3p2/3b4/5p2/1B1Pp2P/P3PBP1/5P2/1RR3K1 b - -,e4f3
2b2rk1/p4rbp/3p2p1/2pp4/2P1p1P1/1P1P1PN1/P2B2P1/1R3RK1 w - -,d3e4
r1bqr1k1/pppn1pbp/3p1np1/8/2PNP3/2N5/PP2BPPP/R1BQR1K1 w - -,e2f1
8/8/6k1/6pp/r7/4KP2/8/7R b - -,g6f5
1r1q2k1/5r1p/Rn1p2p1/3Pp3/8/4N3/5PPP/1RQ3K1 b - -,f7b7
r1bq1rk1/1p2npbp/1n4p1/N3p3/P7/6P1/1PNQPPBP/R1B2RK1 b - -,d8c7
1rb1kb1r/pp1ppppp/5n2/5q2/3p4/1NP2P2/PP2P1PP/R2QKBNR w KQk -,b3d4:d1d4
r5k1/pp4pp/3p1n1q/2pPn3/2P1Pp2/1P3P2/P3Q1RP/R6K b - -,h6h3
2rq1rk1/1p2bppp/p1n1pn2/8/3PNB2/P2Q1N2/1P3PPP/2R2RK1 w - -,f1d1
1r3bk1/p1q2p1p/3ppnp1/p4r2/3P3P/2PQ2B1/1P2RPP1/R3N1K1 w - -,c3c4
r2q2k1/pp1b1ppp/2nBp1n1/1N6/P7/2P5/4QPPP/R2R2K1 w - -,d6a3
1r6/qr1bppkp/3p1np1/1p1P4/2n1N3/2Q1N1PP/P3PPB1/1RR3K1 w - -,e3c4
1n3rk1/p1q1bppp/bp2p3/2p1P3/2Pr1B1P/6P1/PP1NQPB1/R4RK1 w - -,b2b3
r2r2k1/p2nqp1p/2pb2p1/8/2Q1PB1P/5PK1/PP2N1P1/2R4R w - -,c1d1
1r6/2R2p2/r2pbkpp/1p1B4/pP1RPK2/3P2P1/1P5P/8 b - -,g6g5
r2q2k1/5ppb/1p2p2p/p3Q3/2P5/PP3BP1/3r1P1P/R3R1K1 b - -,a8c8
r1bq1rk1/pppn1pb1/6p1/4p1p1/1PP1P3/2N5/P3BPPP/1RBQR1K1 w - -,c4c5
r3kb1r/1b3pp1/pqnppn1p/1p6/4P2B/P1NB1N2/1PPQ1PPP/R4RK1 w kq -,f1e1
1r6/8/p2k4/P2b4/1pp2p2/7B/1PPR1KP1/8 w - -,h3d7
rn1qkbnr/1p1Bpppp/p2p4/2p5/4P3/5N2/PPPPQPPP/RNB1K2R b KQkq -,d8d7
6r1/pp3nqk/2pp1bp1/5b1p/2P2P2/1P2R1PP/P2QN1BK/3R4 w - -,e2d4
2r1r2k/1bqnbppp/p2ppn2/1p6/4PP2/PNNBB1Q1/1PP3PP/3R1RK1 w - -,g3h3
r5k1/1p1q2pp/pnn1pr2/8/1P1pPb1Q/P4N2/1B1N1PPP/R4RK1 w - -,e4e5
2kr3r/1bq2pp1/2P1p2p/2b1P3/p2p3P/3Q1NP1/3B1PBN/4R1K1 b - -,c7c6
r1k3r1/2p2pp1/1p2b3/p1p1P3/P1P2pP1/1P5P/1B1R1P2/3R2K1 w - -,f2f3
1rbqk1nr/5pbp/p3p1p1/1pppP3/3n1P2/2NB1N2/PPPP2PP/R1BQ1RK1 b k -,d4c6
8/5pk1/1P3p2/1r6/4p1qp/4Q1PP/2R3K1/8 b - -,g4e6
8/2p5/p1B4p/4k3/1P4b1/6P1/P4K2/8 w - -,c6b7
3r2k1/pp3p2/5bp1/3q3p/3p3P/1P1Q2P1/PB2PP2/2R3K1 w - -,c1d1
r2qkb1r/1p3ppp/p3bn2/2pp4/1n1P4/2N1PN2/PP2BPPP/RQBR2K1 b kq -,d8c8
2b2r1k/6qp/1pp4r/6R1/1Q2Np2/PB1P3p/1P2PP2/4K2R b K -,c6c5
8/8/2R5/3P1p2/8/5k2/4r3/4K3 w - -,e1d1
r1b1k2r/pp1nbppp/1q2p3/3Pn3/3p4/P4N2/1P1N1PPP/RBBQ1RK1 w kq -,d5e6
6k1/3qp1bp/n3p1p1/1p1p2N1/p2P1P2/P6P/1P3BP1/4Q1K1 w - -,e1e6
3R1rk1/1p3bp1/p4p2/1q2p2n/2p1P2P/2P1BP2/PP2QN2/4K1R1 b - -,f8d8
1r1qr1k1/2pb1pbp/p1n2np1/1pRPp1B1/4P3/5P2/PP1QNNPP/4KB1R b K -,c6a7
3rrbk1/pb1q1ppp/2p2n2/2ppp3/2P1P3/1PNP2PP/PB1NQPK1/R4R2 w - -,d2f3
1r2r2k/7p/2bRq3/p4p1n/4P2B/2N3QP/PPP5/2K1R3 w - -,d6e6
7k/5pR1/5P2/4P2p/3K2bP/3p4/3B4/1rq5 w - -,d2c1
8/7p/2N5/1p3n2/1K6/6k1/PP6/8 w - -,c6e5
6R1/8/5k2/8/1r4pp/8/6P1/6K1 w - -,g1h2
r6r/1q2kb2/p1nn1p1p/bpp1pPp1/2PpP1PP/1P1P1BN1/P5K1/R1BQN2R w - -,c1d2
r1bq1rk1/ppbn1ppp/2p1p3/8/2BPNN2/4PQ2/PP3PPP/R4RK1 w - -,f4h5
r7/p2bkpp1/2p4p/1pPp4/3P2P1/P1P2P1P/1R3KN1/8 w - -,g2f4
6k1/1p4p1/5pbp/2P1p3/2n5/P2qP2P/NB3PP1/2Q3K1 w - -,a2b4
1k2r3/1b2r3/pp4pp/2p5/PnN4P/1P2PnqN/2P2QB1/2R1RK2 b - -,g3f2
1k1r3r/ppq2pp1/3bpn1p/8/3pN2P/2P3PN/PPQ2P2/2KR3R w - -,d1d4
rn1q1k1r/4Nppp/p2p1n2/2bP4/1p3Bb1/6P1/PPP2PBP/R2QR1K1 w - -,d1d2
2kr3r/pp1b2pp/1bn1pp2/2q5/P1N5/1QB3P1/3P2BP/1R3R1K w - -,a4a5
2r1k2r/pp3ppp/1q2pn2/1Qb1n3/8/2N3P1/PP1NPPKP/R1B2R2 b k -,b6b5
r2q1rk1/1p2bppp/p1np1n2/4p1B1/2B1P1b1/P1N2N2/1PP2PPP/R2Q1RK1 w - -,h2h3
4r1k1/1p3p1p/rBp3p1/p3P3/4P3/P1Nb2PP/6B1/1R4K1 w - -,b1b2
4rbk1/pb1r1pp1/1pp2q2/1P1p4/P2P3p/1QN1P1P1/5PBP/3RR1K1 b - -,f6g5
4r1k1/1p2bppp/p1Qr1n2/3p4/3B4/P1N4P/1PP2PP1/R4RK1 b - -,d6c6
8/1Nn1qpkp/6p1/P2p4/3N1P2/3b1QPP/6BK/4b3 b - -,d3a6
r1b1k2r/1p2npp1/2np1q1p/p3pP2/2P1P3/1N1BBQ2/P1P3PP/R4RK1 w kq -,c4c5
1q4k1/5pp1/2pb1nbp/p1Np4/6P1/2P2P1P/PP3BB1/4Q1K1 w - -,b2b4
8/8/8/R5p1/4rk2/PK6/8/8 w - -,a5a8
1rbq1rk1/p1p2pp1/1p3b1p/8/3P4/2PQ2P1/P1P1N1BP/1R3RK1 w - -,f1f2
8/8/5k2/r4pp1/P5P1/5PK1/R7/8 b - -,f6e5
8/3R1k1p/5p2/2p5/4N3/5K2/q7/8 b - -,f7g6
r2qr1k1/pp1n1ppp/2p1pn2/3p4/2PP4/P1PBPQ1P/5PP1/R1BR2K1 b - -,e6e5
8/6bk/1p4p1/3Bpp1p/1P2P3/P2q2P1/5QKP/8 w - -,f2f3
8/7R/6p1/3n4/P2N2P1/2Pk1P2/1P4r1/1K6 w - -,a4a5
3r2k1/3rbppp/p1q2n2/1p1p1P2/P2B3Q/2NP4/1P4PP/4RR1K w - b6,a4b5
8/2p2B2/KbPp4/p1kP4/8/1P1R4/7r/8 w - -,f7e6
r1bqk2r/p2nbppp/2pppn2/8/1p1PP3/3B1N2/PPPBNPPP/R2Q1RK1 b kq -,a7a5
rnb1qrk1/1ppn1pbp/3p2p1/p2Pp1B1/2P1P3/2N2N1P/PP2BPP1/R2QK2R w KQ -,g2g4
5rk1/p5rp/1pp1qp2/4P3/3p1QbR/1P1P2N1/P1P3P1/2K2R2 b - -,f6f5
8/8/1k4KP/1P3R2/5P2/8/8/3r4 b - -,d1g1
3rk2r/p1b2qp1/1pn1p2p/3pP1p1/6QN/2P5/PP1B1PPP/R3R1K1 w k -,g4a4
5k2/1p6/p3P1pp/3pP3/1P4P1/P7/6K1/2n5 b - -,f8e7
5nk1/1Bb2pp1/p3p3/2r1P1pq/7P/5PB1/4Q1PK/4R3 w - -,e2b2
8/5p2/1p2k2N/p1p5/2P1K3/1P1P4/P7/4b3 w - -,h6f5
r4rk1/p1b2pp1/1pp1p2p/8/8/P1R1BN2/1P2BPPP/3R2K1 b - -,c6c5
8/1p4rk/1p1R3p/1P2p3/pR6/r7/5P2/5K2 w - -,b4h4
7r/2pk1rp1/p2b1p1p/1p1PnN2/P7/7P/1PP3P1/1K1RRB2 b - -,h8b8
2r5/2rbkpp1/4p2p/p1p5/4BP2/1PR1K1P1/P3P2P/2R5 w - -,e4d3
r6k/1p1np1Np/8/3Pn3/rp3p2/4B2P/1P3PP1/2R1KB1R w K -,e3f4
r4rk1/3nppbp/bq1p2p1/n1pP4/4P3/2N3PP/PPQN1PB1/R1BR2K1 w - -,d2f3
8/8/8/1kp5/8/6R1/4r3/2K5 w - -,c1d1
r1b2rk1/pp2qppp/1np2n2/8/3P4/1BN2N2/PPQ2PPP/2R1R1K1 b - -,e7d6
3rk2r/pp2np2/2p1p1p1/2b1P3/2B1RP1p/7P/PPPB2P1/2KR4 w - -,d2e3
5k2/8/4KP2/p7/1p6/1Pn1B3/8/8 b - -,c3e4
2r3k1/p4bbp/2P3p1/8/2p1p3/2N1P2P/PB3RP1/5NK1 w - -,c3e4
5r2/3b2k1/1p1b3p/p2Pp3/P3P3/1P3P1p/7K/2R4B w - -,c1e1
rnbqk2r/pppppnbp/6p1/5p2/3PP2B/2N2P2/PPP3PP/R2QKBNR b KQkq e3,c7c5
6k1/8/7p/1pBKN3/p4PPP/P7/1r6/5b2 b - f3,f1h3
2r2k2/1p1bnpp1/p3p1nr/2qpP2p/3N3P/2PB1NQ1/PP3PP1/R4RK1 w - -,f3g5
3r4/p4pkp/6p1/3B1b2/1P6/6P1/P3rP1P/R2R2K1 w - -,d5c4
5rk1/2PR1p2/7Q/4p3/P3r3/2q2nPP/3p1P2/3R1BK1 w - -,g1h1
4r1k1/1p3p2/4p1p1/1PPp1q2/2nP1N1p/6PP/5P1K/Q4B2 b - -,f5c2
1rb1rbk1/2qn1p1p/pp1pp1p1/n5P1/P3PP2/1NN1B3/1PPQ2BP/R4R1K w - -,d2f2
5R2/p3k3/3r4/4KP2/1r5p/6pP/P3R1P1/8 w - -,f8h8
4r3/1p4kp/4p3/3P1p2/p7/Pn3N2/5PPP/1R3K2 w - -,d5e6
1R6/1P5k/5K2/1r3p1p/8/4P3/8/8 b - -,h5h4
8/6k1/r7/6PR/2K4P/8/8/8 b - -,a6c6
3r1r1k/2RB2bp/p3Q1p1/1p3p2/4bPP1/4P2P/P7/6K1 w - -,h3h4
1r5k/1r3ppp/p4NQ1/2b1P3/8/1P1R4/2P3PP/1K3R2 b - -,f7g6
1q2r1k1/6b1/2n1n1pp/2pQpp2/8/2pPN2P/1P2BPP1/2B1R1K1 w - -,d5c6
N1kr4/pp3p1p/2P1pq2/8/2P5/P4nPb/5K2/R2Q3R w - -,c6b7
8/1pk5/p4p2/3R3p/PP1N4/3K4/8/7r b - -,h5h4
rnb2rk1/ppqpppbp/5np1/2p5/3P4/2P1PNP1/PP3PBP/RNBQK2R w KQ -,e1g1
1r1r2k1/1bp1qp1p/1p4p1/p2P4/P1PB1P1b/N7/1P4QP/R2R2K1 b - -,h4f6
rnr2qk1/1b3pp1/1p2pn1p/p2p4/P2P4/2PB1NN1/1P2QPPP/3RR1K1 w - -,f3e5
1r6/ppp1k1p1/3p1p2/PP1BpPn1/4P3/2PPKP2/8/7R b - -,e7d7
rnb1q1k1/ppp3bp/5rp1/3Npp2/2P3n1/BP3NP1/P1Q1PPBP/R4RK1 b - -,f6f7
r3k2r/1p3ppp/1pn1p3/1B1pPn2/1b1P2b1/5N1P/PP1N1PP1/R1B2RK1 b kq -,g4f3
8/R7/6p1/3Bk3/4P2p/6P1/2r2K1P/8 w - -,f2f3
r2rb1k1/1p3p1p/2ppn3/4b1pn/2P1P3/pP2BPPP/P2RN1BK/3R1N2 b - -,b7b5
8/5p2/8/1b2pkPp/2p5/P1B3P1/3K4/8 w - -,d2e3
2r1r1k1/pp4bp/2p3p1/3qp3/PP2RP2/2B5/2Q3PP/4R1K1 b - -,c8d8
1r6/4kp2/1Q1p4/2bPp2p/B3Pp2/7P/4RPPK/8 b - -,b8b6
1r6/2R3p1/3ppk2/1B3p1p/Pn2b3/1P4P1/1K2R2P/8 w - h6,e2d2
2r2rk1/p2nbppp/1qb2n2/1Npp4/P7/4PN2/1PQ1BPPP/2RRB1K1 b - -,f8e8
4r1k1/1ppb1pbp/p2p1np1/3P3q/2P5/5N1P/PP3PP1/R1BQ1BK1 w - -,c1e3
3r1rk1/p1q1bpp1/2p1pn1p/1PPp1b2/P7/B1N3P1/3QPPBP/R3R1K1 b - -,f6d7
8/Q7/8/8/k2P3P/2p1P3/P7/2q2NK1 b - -,a4b4
2rn2k1/5ppp/3p4/1p1P4/4P3/2q2N2/5PPP/1Q3RK1 w - -,b1b5
r2qrnk1/1p1b1pp1/2p4p/pP6/P2P2n1/2NBPNP1/2Q2PP1/1R3RK1 w - -,b5c6
8/8/2p1Rp2/2p4P/2Pk4/1P3r2/r7/2R3K1 w - -,e6c6
6k1/1p4r1/3p1p1R/1B1P1P2/P2p4/6p1/5bK1/8 b - -,g8f7
r3rqk1/1p4p1/p1bn3p/P2pBp2/2pP1P2/2P2B1P/2P2QP1/R3R1K1 w - -,e1e3
r5k1/8/pBNp1qBb/3Pp3/4P3/7b/1PR3pP/3Q2K1 w - -,g6f5
1k2r3/1pp2p2/pn4p1/2q1b3/2n4Q/2PN2P1/PP3P1P/1KBR1B2 b - -,c5b5
r1br2k1/1p4pp/p7/q2pPp2/P1PQn1P1/4BB1P/5P2/R4RK1 w - f6,e5f6
5k2/p4p2/2p1p3/2Pb3p/5PpP/2K3P1/P7/3B4 b - -,f8e7
1r6/5pk1/6pp/2bBp3/p1P1P1P1/3KNq2/1P1Q3P/1R1R4 w - -,b2b4
1r1b1rk1/RB3ppp/3p4/4p1P1/p1n1P3/4BP2/PPP4P/1K5R w - -,e3c1
1qnrbr1k/2n1bBpp/pp1p4/6P1/2PN3Q/2N1B3/PP5P/2R2RK1 w - -,f7e6
8/5pkp/7P/2Rb2P1/3rp1P1/K7/1P3R2/8 b - -,g7f8
8/6pk/3p4/3Pp3/4P1p1/8/4R3/3KNq2 b - -,g4g3
r4r2/1b1n1pkp/pp3npN/2b1pP2/P1BqP3/2N4Q/1P4PP/R1B2R1K w - -,c4f7
5rk1/p2pn1pp/1ppbp3/8/2PPBP2/1PB1P3/P6P/3R2K1 w - -,g1f2
2q1rrk1/2p3bp/1pnpp1p1/p5N1/2PP1P2/6P1/PP2QB1P/3RR1K1 b - -,e6e5
8/8/5kPp/8/4K3/5N2/8/8 b - -,f6g6
rnbqkb1r/pppp1ppp/5n2/8/2Pp4/4P3/PP3PPP/RNBQKBNR w KQkq -,e3d4:g1f3
8/5p2/7p/4k1p1/1pb3P1/5P1P/1PBR3K/4r3 b - -,b4b3
2n2rk1/1p3p1p/2p2P2/2Pp2p1/1PnN4/6PB/5P1P/R5K1 b - -,h7h5
r2q1r2/ppp1k1p1/3p1n1p/2b1p2b/3BP3/1BNP1N1P/PPP2PP1/R2QK2R b KQ -,c5d4
3r1b2/p7/4k1p1/1p1pP2p/2pB1P2/6P1/PP3PKP/4R3 w - b6,g2f3
1r2bk2/2r1pp2/3p1b2/pp1P4/5R1p/PBP4P/1PN3P1/5R1K b - -,f8g7
5rk1/2pq2p1/p2b1rnp/1pBPp3/1P6/1Q4PP/P2N2K1/2R1R3 w - -,d2e4
2rq1rk1/pb2ppbp/1p3np1/2ppB3/P2P4/2PBPN1P/2P2PP1/R2QR1K1 b - -,c5c4
1rq1r1k1/2p3pp/2p1b3/p1BpPp2/3Q1P1P/2R3P1/PPP5/2K1R3 w - -,c5a3
r1bqkb1r/1ppn1ppp/p3pn2/8/3P4/3Q2P1/PP2PPBP/RNB1K1NR b KQkq -,a8a7
r2q1rk1/pp1b2pp/2n1pPn1/2bp4/8/2PB1NB1/PP1N1PPP/R2QK2R b KQ -,d8f6
2r3k1/pr2pp1p/q5p1/1N1Q4/2P5/1P4P1/P3PP1P/R5K1 b - -,b7b8
