7k/5K1P/6B1/5N2/1p6/1P6/3b4/8 b - -,d2c3
r1bqkb1r/1p1p1ppp/p1n1pn2/2p5/4P3/1P3NP1/PBPP1P1P/RN1QKB1R w KQkq -,e4e5
8/7p/1P5r/4p3/2K1P3/P4kP1/5P2/1R6 b - -,h6c6
1r1qrbk1/2pb1p1p/p4np1/np1Pp3/4P3/P1N1BPP1/1P1Q1N1P/3RKB1R b K -,a5b7
rnb1k1nr/ppq1pp1p/6p1/1N6/8/5N2/Pb1B1PPP/R2QKB1R b KQkq -,c7d8
2k1r2r/p2b4/1p2Np2/3B1n2/2P5/P5P1/8/1R2R1K1 w - -,c4c5
r3r1k1/1p3pbp/1qpp2p1/4n3/1PP1P3/p3N1PP/P2Q1PB1/3RR1K1 b - -,a8a4
r2qkb1r/pp3pp1/1np1p2p/3nPb2/3P3P/1BN2N2/PP3PP1/R1BQK2R w KQkq -,a2a3
r2q1rk1/1pp2pp1/p2bpn1p/8/P2P4/2N2QP1/1P2PPBP/R3R1K1 b - -,c7c6
k7/4b3/P3P1p1/8/3B2P1/2pK4/8/8 w - -,d3c3
4rrk1/pp1qb2p/2p1b1p1/3pPp2/6P1/1P1BPP1P/P1Q1N3/R4R1K w - -,e2d4
r1b1k2r/1p2pNbp/p2p2p1/6P1/8/7P/PPP1BP2/R1BnK2R b KQkq -,d1f2
r1bq1rk1/p2nppbp/2pp1npB/1p6/3PP3/2NB3P/PPPQ1PP1/R3K1NR w KQ -,g1f3
1R6/1r3pkp/n3p1p1/pp1p4/P2P4/1P1NP3/5PPP/2R2K2 b - -,b7b8
1r2rbk1/3b1ppp/1q1p1nn1/2pP4/2p2P2/1PNB2NP/2QB2PK/4RR2 w - -,b3c4
3rr1k1/pbq4p/5np1/2p1pp2/2P5/1P3PN1/P1BRQ1PP/3R2K1 b - -,d8d4
rn1qkbnr/pp2pppp/2p5/3p4/5P2/4PQ1P/PPPP2P1/RNB1KB1R b KQkq -,b8d7
8/1p2kp2/3bp1pp/p2p4/P2P2PP/3NP3/1P2KP2/8 b - -,f7f5
8/1r3pkp/2N1p1p1/PP1n4/2p5/R6P/5PP1/5K2 w - -,b5b6
r3k2r/3n1pbp/p2Ppn2/1p3p2/2pP1q2/2P2PN1/PPB1QB1P/R3K2R b KQkq -,e8g8
8/8/p1k1r3/3qP3/1pp1R3/4Q3/7P/4K3 w - -,h2h4
rnbqk2r/pp2ppbp/2p2np1/3p4/2PP4/4PN2/PP2BPPP/RNBQ1RK1 b kq -,e8g8
6k1/6pp/2q1bp2/Q1P1p3/4P3/4BP1P/2P3P1/6K1 b - -,g8f7
8/6pk/7p/PR6/8/r5PK/7P/8 w - -,h3g4
1r1r2k1/1b1q1pb1/pR2p1pp/p6n/3PP3/3BBN2/4QPPP/1R4K1 b - -,g7f8
5k2/5p2/1R4pp/4P3/p4PP1/2rr1RKP/P7/8 w - -,f3d3
6rk/1q4pp/3B4/3b1p2/p2P4/2Q5/5PPP/2R2K2 w - -,f2f3
rnbq1rk1/2p1ppbp/pp1p1np1/8/P2PP3/2N1BN1P/1PP2PP1/R2QKB1R w KQ -,f1d3:e4e5:f1c4
3R1b2/1p3rkp/pB4p1/4pp2/1Nb4P/P7/1P3PP1/6K1 w - -,b4d5
2qrr1k1/4n1bp/4b1p1/p2pp3/1p2Q1P1/1P2P2P/PB2NPB1/3R1RK1 w - -,e4b1
r3r1k1/p1p3p1/1p1p1nnp/3Pp3/2P5/P1PqBPP1/5NKP/R4R2 w - -,f2d3
3r2k1/pp3p1p/6p1/q2B4/1pPn4/2b1Q3/P4PPP/2R2RK1 b - -,a5a2
r1q2r1k/1ppbp1bp/n2p1np1/3P1p2/1PPN4/1QN3P1/1B2PPBP/1R3RK1 w - -,e2e3
8/8/3R1p1N/1p6/1Pr3P1/Pn1K4/5k1P/8 b - -,b3c1
rq1r2k1/3n1ppp/p3p3/1p2P3/3Q4/6P1/PP3PNP/R3R1K1 w - -,g2f4
3q1r1k/4b1p1/1r5p/p2pP3/Pn1Pb3/1BR2N2/4QP1N/2R4K w - -,c1d1
8/p3kpp1/1p2p3/6b1/2B5/2P1R1P1/PP3PK1/3r4 w - -,e3d3
r2q1rk1/2p1bppp/p2p4/np1Pp3/4P1b1/1PP1BN1P/P1B2PP1/R2QR1K1 b - -,g4d7
8/4bk2/2P3pp/4pQ2/8/PKN5/8/8 b - -,g6f5
1r1q1rk1/p3b1pp/3pbn2/2p1pNB1/1P1nP1P1/2N3R1/1PPQBP1P/R3K3 b Q -,c5b4
2r3k1/1r2pp1p/p3b1p1/3pP3/3P1b2/B4PP1/P6P/2RR2K1 w - -,g3f4
1r1r2k1/6pp/2nq1p2/ppNpp1n1/1P1P4/P1P2B2/2Q2PPP/R2R2K1 w - -,f3g4
1rb4k/bp2R1p1/p6p/8/2PrB1p1/3N4/P1P2P1P/1R4K1 b - -,c8d7
8/5k2/2P5/3K2p1/2R5/4r3/8/8 b - -,e3d3
8/pp3k2/2p2bb1/2P5/R4P2/1P4PP/1PPrN1K1/8 w - -,g2f3
r1b1kb1r/pp1nq1pp/2pp1n2/4p3/P1B1P3/1P3N2/2PN1PPP/R1BQ1RK1 b kq a3,d7b6
3k4/3P4/4K1p1/5rPp/7P/8/p7/3R4 b - -,f5a5
5r2/8/1R3p2/6kp/1pr5/6PP/P4RK1/8 b - -,c4d4
5k2/1b2np1p/p5p1/1p6/3bPN2/1B1K1PP1/P2B3P/8 b - -,e7c6
1k6/6P1/p1r2n2/5p2/7N/1p6/6P1/5RK1 w - -,f1b1
4rqk1/ppnr1pbp/1np3p1/8/1P1NPP2/P5P1/1B4BP/Q2R1RK1 w - -,d4b3
r5k1/pp6/4p1p1/2p1nr1p/P4p2/2P4P/1P1N1PP1/R3R1K1 w - -,d2b3
8/6kp/1R4p1/1p1r4/p6P/P5P1/1P3PK1/8 b - h3,h7h5
1r3rk1/3R1n1p/4n1q1/1Bp2p2/2P2Q2/5N1P/5PP1/5NK1 w - -,f4h4
r4rk1/pbpnqppp/1p1pp3/3P4/2P5/P1R2NP1/1P2PPBP/3Q1RK1 b - -,e6e5
2r3k1/1b2q2p/p1n1ppp1/1p1n4/7B/P3PN2/1P2QPPP/1B3RK1 w - -,b1a2
6k1/rp5R/5p2/p4P2/P1P5/1P2R2K/1r6/8 w - -,h7d7
2k3r1/pb6/1p5p/4P2B/1Pp2p1P/P1pn1N2/4RP2/7K w - -,e5e6
r2qk2r/pbp2ppp/1pn5/3pP3/1b1P4/1Q1B1NP1/PP1n1P1P/R1B2RK1 w kq -,f3d2
8/p4knQ/1p4p1/1P6/3p1r2/P4q2/6BP/2R4K b - -,f3h5
3n1Q2/p1p4k/1pbp2p1/4p1q1/2P1P3/1P4PB/P6K/5R2 b - -,c6e4
4k3/2R3p1/8/3P3P/2p1p3/1p2P3/1Pr5/3K4 b - -,e8d8
r4k1r/p1q1nppp/2n1p3/2ppP3/6Q1/P1PP1N2/3B1PPP/R4RK1 w - -,d3d4
2r3k1/np3pp1/pnr1pb1p/3p4/7P/P1NP2P1/1P1BPPB1/1RRK4 w - -,e2e4
5Q2/1Rp3rk/p5q1/4p3/3nPbB1/7P/P5P1/7K w - -,b7b8
2r5/kb3R2/1q3pp1/2p1b3/4P1P1/2pQ1P2/P1R5/2K5 w - -,f7d7
2r5/p3kpp1/4pn1p/1pq4P/1P3QP1/2P1N3/1P3P2/2KR4 b - -,c5c7
8/1p1r1pk1/2p1n1p1/p3q2p/P3P2P/2N2QP1/1PP5/5R1K w - -,f1f2
2r1r1k1/pbqn1ppp/1p3n2/2b2N2/2p5/1PQ3P1/PB1N1PBP/R3R1K1 w - -,g2b7
rn2kbnr/ppq2ppp/2b1p3/2PpP3/1P1p4/P4N2/5PPP/RNBQKB1R w KQkq -,f1d3
rn2rnk1/pp2qpb1/2p3p1/P3p1Pp/3P1NbP/1PN1B3/2P2QB1/4RRK1 w - -,d4e5
5k2/1p3p2/p1n1p1pp/3pP3/1P3PPP/Pr6/2R3K1/2B5 w - -,g2h2
4r2k/1bn4p/2Np1qp1/p2Pp3/2B3P1/6QP/P4P2/3R2K1 b - -,a5a4
6k1/3n1pp1/4p3/B2p3p/P7/4P1P1/r4P1P/1R4K1 w - h6,a5c3
2rq1rkb/p4p1p/1p4p1/2n2nPP/3p4/1PN1P3/PB1QBP2/1K1R2R1 w - -,e3d4
3q1k2/1Q2pp2/p7/8/6P1/2PbP3/P4PP1/6K1 w - -,b7c6
3r3r/5pbp/4k2n/2p1P1p1/P2p4/B3P3/3P1PBP/1R2R1K1 b - -,d4e3
br1r2k1/n1qnbpp1/pp2p2p/2p5/N1P3P1/3PPN1P/P3QPB1/BRR3K1 b - -,a8c6
8/3B2Pb/1p6/1K2k3/3p4/8/8/8 b - -,d4d3
r1b2rk1/p7/1pp2p1p/2q1p1p1/4P3/1QP2NP1/PP3PP1/R4RK1 b - -,g8g7
2r2rk1/qp2nppp/p3pn2/PP6/4P3/1N3B1P/1Q3PP1/2RR2K1 w - -,e4e5
7q/4kpbr/p1p1p1p1/Pp1pP1P1/1PnP1P1P/2P5/2K1BB1R/7Q w - -,h4h5
2r3k1/1q3ppp/p4n2/5Q2/8/1P4P1/PB2PP1P/5RK1 b - -,f6e4
8/6k1/pp1n2pp/8/P5P1/1Br1R3/5K1P/8 w - -,e3c3
1n6/8/8/PP6/8/3K4/4Nkp1/8 b - -,f2f3
4Rb2/p2r1pk1/1pp2p2/6p1/3P3p/2P2PBP/PP3P2/2K5 w - -,g3h2
8/R4k2/5p1K/5P2/1r4P1/8/8/8 b - -,f7g8
r1bq1rk1/pp4b1/1n1pp1pp/2p5/4PP2/2NBBNnP/PPPQ1RP1/3R2K1 b - -,c5c4
6k1/6p1/8/1pr4p/4P2K/2P5/4n3/2R5 w - -,c1c2
2r1r1k1/pp2ppbp/3p1np1/nq6/3PQ3/2P2N1P/PP1N1PPB/3RR1K1 w - -,e4c2
7q/r7/2b1p1k1/1pPp1p1r/3P2p1/3BP1P1/1B3R1P/3Q2K1 b - -,h5g5
1nrr2k1/1bq1bppp/pp1ppn2/8/NPP5/PQ3NP1/1B2PPBP/2RR2K1 w - -,b2d4
8/8/6pp/1P1k1p2/1r2pP1P/4K1P1/4B3/8 b - -,b4b3
1r3rk1/Q1p2pp1/3b1q1p/5n2/2B1N3/8/PP3PPP/R4RK1 b - -,d6h2
8/kp2n1p1/7p/5KnP/P7/8/1P6/2R5 w - -,f5e5
r1b2rk1/pp3pp1/2n1p2p/q2p4/1bPP3B/2nB1N2/PPQ2PPP/2R2RK1 w - -,b2c3
r2r2k1/3qbp2/2p1p1p1/p3Pn1p/Pp1P1P2/1Q1R1N2/1P3BPP/3R2K1 b - -,a8c8
rnq2rk1/pppbppbp/5np1/3p4/7P/1P1P1NP1/PBP1PPB1/RN1Q1RK1 b - -,d7h3
2r1r1k1/p4pbp/bp1q2p1/3p1p2/3P4/1P1NPPP1/P2Q2BP/2R1R1K1 w - -,f3f4
8/5p2/6pk/1P5p/4Pq2/2Q4P/6P1/7K w - -,b5b6
3Q4/5kbp/2q1pnp1/2p1P3/P7/1P6/4N1PP/4R1K1 b - -,f6d5
8/p2k1pp1/4p1p1/1p1pP1P1/1PbP3P/P3BPK1/2q5/7Q b - -,c4e2
6b1/R3B1P1/1r6/8/1p6/pk6/3K4/8 b - -,b6b5
2rr2k1/5ppp/P2pb3/1B2n3/Pq1N1P2/1Pn4P/1B1Q2P1/3R3K b - -,e5g6
rnbqk2r/pp2ppb1/6pp/2p5/3PP3/2P1B3/P4PPP/2RQKBNR b Kkq -,d8a5
r1b1r1k1/pp1n1pbn/1q1p2p1/2pP3p/2P2B2/2N3N1/PPQ1BPPP/4RRK1 b - -,d7e5
5r2/2p1n1kp/2b1B1p1/1pP1pPp1/1P2P3/6NP/8/1R4K1 w - -,b1f1
8/8/k2p4/2nPp1rp/Pp2P3/1Pp1K1PR/8/3B4 b - -,a6b6
r4rk1/3bqppp/p4n2/4p3/P3P3/1N1Q4/B4PPP/R3R1K1 w - -,b3a5
7r/1pqk1p2/2pbppp1/p6r/1P1P4/P1PQ2PP/5PB1/R4RK1 b - -,f6f5
r4r1k/1p2Nppp/p3bn2/3p4/8/2N2P2/PPPB2PP/1K1R1B1R w - -,d2g5
2rqr1k1/3bppbp/3p2p1/4n1Pn/p2NP3/NBP1BP2/PP1Q3P/1K1R3R w - -,b3c2
r1bq1rk1/pp3ppp/2nb1n2/1B6/3P1p2/5N2/PPP3PP/RNBQ1RK1 w - -,c2c3:b5c6
8/5r2/3Bp3/1p2Pk1p/pPb3p1/P3R1P1/6K1/8 b - -,f5g6
r1bqr1k1/pp3pb1/3p1np1/2pPn2p/4P2P/2N1BP2/PP1QBNP1/R3K2R b KQ -,c8d7
8/p5pk/8/5q1p/1P1Qpp2/1r5P/6P1/3R3K w - -,d1e1
2k1r1r1/ppq2p1Q/2n1bB2/3pPp2/3P4/P4N2/2P2PPP/R4RK1 b - -,c7a5
r1b1kbnr/1pq2ppp/p1npp3/2p5/4P3/1P3NP1/PBPP1PBP/RN1QK2R w KQkq -,d2d4
8/8/r5p1/5pK1/1p3P2/3k4/P4RPP/8 w - -,h2h3
6k1/8/4p1p1/1p2Q3/5P1q/P6P/6PK/8 b - -,g8f7
8/4p1kp/2Qp1pp1/3P4/4P3/1p3PPP/2q1B3/1b3K2 w - -,c6d7
r3r1k1/2q2pbp/2P3p1/p2Rnb2/2B1Q3/1N5P/1pP3PB/1K3R2 w - -,h2e5
rn2kb1r/pb2pq1p/2p3p1/3P1pn1/Ppp2N2/5BN1/1P3PPP/R1BQR1K1 b kq -,g5f3
8/8/2P2pp1/1P4k1/2q5/6Q1/2r2BK1/8 b - -,g5f5
3r1bk1/3r1ppp/q3p2P/2p1B1P1/1p2P3/pP1b1P2/P2R4/Q2R1BK1 b - -,c5c4
r3k2r/1p3pbp/1pn1pn2/3p1p2/3P1B2/2P3NP/PP1N1PP1/R4RK1 b kq -,h7h5
r1nqr1k1/pp1b2bp/n5p1/2pP1p2/5B2/1PN2PP1/P3N1BP/R2Q1RK1 b - -,g6g5
4rbk1/r5p1/3p3p/pp1PpRq1/3P4/1P1QP1P1/PB5P/2R3K1 b - -,e5e4
6k1/p2Q2p1/1p1nr2p/q2p4/1N1P3P/2P3P1/P4P2/6K1 w - -,d7e6
4r3/6p1/8/1kp2K2/8/P4RP1/1P6/8 b - -,e8e2
rnb1kb1r/ppq1pppp/2pp1n2/8/3PP3/2N1BP2/PPP3PP/R2QKBNR b KQkq -,e7e5
rn1qkbnr/1b3ppp/p2pp3/8/Pp1NP3/2NBB3/1PP2PPP/R2QK2R w KQkq -,c3a2
6k1/QqP2pb1/1n2r1pp/1N2p3/1Pp5/6PP/5P2/R3R1K1 b - -,b7c8
3q2k1/pQ3pbp/6p1/3r1p2/1P6/3B4/P4PPP/3R2K1 w - -,b7a6
8/6kp/p1R4b/1p6/1P2p3/P4p2/3rNP1P/4K3 w - -,e2g3
3Q2k1/p7/1pp3r1/8/3R4/P6P/1q4PK/8 b - -,g8f7
3R1rk1/p5pp/1p6/2n5/2N5/P1K2P2/6PP/4R3 b - -,f8d8
4b1k1/q4p1p/4ppn1/1P6/P3P3/3N1P2/1r2B1PP/4QR1K b - -,b2a2
4k3/1p3p2/p1p2r2/2B1p1pp/1K2P3/5PPb/PPPR3P/8 w - -,b4a5
bb3rk1/p4ppp/1n3q2/3p4/1B1Nn3/P3PN2/2Q1BPPP/2R3K1 b - -,e4d6
8/8/5p2/b2p4/3PkBp1/1K2P1P1/7P/8 b - -,a5d2
8/1p5p/2k3p1/B2b1pP1/P2P1P1P/1PK5/8/8 w - -,a5d8
2R5/5pkp/6p1/3Pr3/8/6P1/6KP/8 w - -,c8d8
8/8/8/R7/4kpK1/1r6/5P2/8 w - -,f2f3
r1bqk1nr/1p1pppbp/p1n3p1/2p5/B3P3/2P2N2/PP1P1PPP/RNBQ1RK1 b kq -,b7b5
r4rk1/ppq2ppp/3b4/3p4/4bB2/1NP2N1P/PP3PP1/R2R1QK1 b - -,d6f4
4b3/8/1p1k1n2/p2p1pp1/P2Pp3/1PN1P1P1/3KBP2/8 b - -,e8f7:d6e6
2k2r1r/pbqnnpb1/1p2p1p1/3pP1N1/P1pP1BP1/2PB4/1P2NP2/R2QR1K1 w - -,d3c2
1rbq1rk1/2p1bppp/2np1n2/1p2p3/4P3/1BPP1N2/1P3PPP/RNBQR1K1 b - -,h7h6
8/5k2/8/6KN/7P/6P1/8/3b4 w - -,h5f4
8/5k2/2p2p2/1pB2Pp1/1Pr1b2p/7P/5RP1/6K1 w - -,g1f1
2r1r1k1/pp1qbppp/2n5/2p2b2/2PpNP2/PQ1P2P1/1P4BP/R3NRK1 b - -,e7f8
r1r3k1/pp1bbppp/4pn2/nB1p4/5B2/2N1PN2/PPP2PPP/R1R3K1 w - -,f3e5
1r3rk1/1b2bppp/p1nq4/2p1pn2/2P2B2/3P1NP1/P1N1QPBP/R4RK1 w - -,f3e5
3r1r1k/1p4bp/2nqn3/p2N1p1Q/2R2p2/1P2B1PP/P5BK/3R4 w - -,g3f4
5nk1/5pp1/1p2p2p/p2pP1P1/Pb1P4/1P2QNP1/2q2PK1/2B5 b - -,h6g5
8/1R5p/2p3pk/p2P4/8/P1r5/6K1/rB6 b - -,c6d5
2kr1b1r/1pp2ppp/2n1p3/3q4/3PN3/P2QPN1P/2P3P1/R3K2R b KQ -,e6e5
3k4/pb3p1p/1p1q2p1/1B1Pp3/4P3/2Q1KPP1/P6P/8 b - -,f7f6
1r3rk1/ppp2p1p/2nP2p1/8/1b3P2/4B1P1/P4PBP/1R3RK1 b - -,b4d6
2r2rk1/pp1qn1b1/2npb1pp/2pNpp2/2P5/2NP2P1/PP1BPPBP/1R1QR1K1 b - -,g6g5
4r2k/p1p3n1/1p5p/1P1Bqpp1/P7/5PP1/3R3P/3Q3K b - -,e5e1
2rq1rk1/6pp/pb1p2n1/1p3b2/2pP4/4BN1P/PPB2PP1/2RQR1K1 w - -,d4d5
r1bq1rk1/pp4pp/2n1pn2/2bpN3/5B2/2NB4/PPP2PPP/R2Q1RK1 b - -,a7a6:c8d7
5r2/4qppk/pbprnn1p/1p2p3/P3P3/2P4P/1PB1QPP1/R1B1RNK1 w - -,g2g3
8/1kp1r2p/1p3R2/3rn1p1/4N1P1/2P2PK1/R7/8 b - -,e7f7
1r3rk1/1ppq2b1/3pn2p/NP2ppp1/1NP2Pn1/3PP1Pb/1B1Q3P/1R2R1KB b - -,b7b6
r1bq1rk1/p1pnbppp/1p2pn2/8/3PN3/3B1N2/PPP1QPPP/R1B2RK1 w - -,c1g5
r4r1k/2pq2b1/pp1p1n1p/8/P2P4/2N1BQ1P/1PP2P1K/3R1R2 b - -,a8e8
3R1r2/pb3r1k/1p2p2p/4Bqp1/2P1pPQ1/PP2P2P/7K/3R4 b - -,f5g4
r2q1rk1/pb2bppp/1pn2n2/2pp4/8/P1NP1NP1/1P2PPBP/1RBQ1RK1 w - -,d3d4
2r2rk1/pbqpbppp/1pn1pn2/2p5/3P1PN1/2PBP3/PP1N2PP/R1BQ1R1K b - -,f6g4
1b6/4k1p1/B2n1p1p/4pK2/1P2P2P/6P1/3B1P2/8 w - -,f5g6
1bb1r1k1/1p2qppp/2p3r1/Q1P1p3/2B5/1P2P1N1/P2R1PPP/R5K1 w - -,a1d1
8/pp3k1p/4b3/2p1r3/2P2PP1/8/PP3K2/3R1B2 b - -,e6g4
3R4/8/8/8/4k1P1/4p2P/p3K3/r7 w - -,d8e8
r2q1rk1/pp1bppbp/2np1np1/8/4P3/1NN1BP2/PPPQ2PP/2KR1B1R b - -,a8c8
r1bqkb1r/ppp1pppp/2n2n2/3p4/3P4/5NP1/PPP1PP1P/RNBQKB1R w KQkq d6,f1g2:c2c4
r1b2rk1/pp2b1pp/1n2pp2/n2pP3/2qP1P2/P3BN2/1PB1N1PP/R2QK2R b KQ -,c8d7
1r3rk1/2p1bpp1/p3P2q/1p1B2p1/8/2P3P1/P1Q2P1P/3RR1K1 b - -,f7f5
8/6R1/Bpb2k2/4pp1p/8/7P/3r2P1/6K1 w - -,g7g8
2k5/1p2Qpq1/2p4p/1p3p2/6P1/PP5P/KP6/8 w - -,g4f5
8/4P3/5k2/8/8/bR3K2/4r3/8 b - -,e2e7
4rr1k/5qpp/4p3/1pB1P3/pPn1Q3/P5PP/5P2/2R2RK1 b - -,f8g8
r1bqk2r/1pppbppp/p7/2n1P3/3Q4/1B6/PPP2PPP/RNB2RK1 b kq -,c5b3
3r4/1r2k3/1p2ppp1/4p2p/2P1PP1P/R2P2P1/4K3/1R6 b - -,d8c8
3B3r/1p2pkbp/p4pp1/3b4/1N1n2B1/8/PP3PPP/R1R3K1 b - -,h8d8
2knr2r/p1q2pp1/1p2p2p/3pPP1P/b1pPn1BN/P1P4Q/R1P3P1/2B2RK1 w - -,f5e6
r1bqkb1r/pp4pp/2n1pn2/3p4/3p4/N1P2N2/PP3PPP/R1BQKB1R w KQkq -,c3d4
r1b2rk1/p3q1b1/3p1n1p/2p2pp1/2P1p3/BPNnP1P1/P2Q1PBP/R1N2RK1 b - -,d3e5
8/8/p2rk3/Pp2p3/1Pp1K3/2P5/8/7R b - -,e6d7
r2q1rk1/1b1nbppp/p2ppn2/1p6/3NP3/PBN2P2/1PP1Q1PP/R1B2RK1 w - -,c1e3
r1b1kb1r/1p2pppp/p2p1n2/6P1/2q1P3/2N1BP2/PPPQ3P/R3K1NR b KQkq -,f6d7
r1b1k2r/pp1p1ppp/1qn1pn2/8/2P4Q/P7/1P2PPPP/R1B1KBNR w KQkq -,g1f3
rnq2k1r/pp1n1pb1/3P2pp/2p3N1/4pP2/8/PP4PP/R1BQKB1R w KQ -,g5e4
2rqr1k1/p2n1pp1/1pp1n2p/2Np4/1P1P4/3BP1P1/P1Q2PP1/1R3RK1 w - -,c5d7
8/p7/1pn1k1p1/2p3P1/P1P2K1P/2P2B2/8/8 b - -,c6e7
r7/1p2qpk1/1Ppp1br1/p6p/P1PPP3/5Q1P/5B2/1R3R1K w - -,b1e1
3q3k/p1rb3p/1p2p2n/1Pp1Pp2/P4P1b/3QBB1P/3NP3/6RK b - -,d7e8
1r4k1/3R1pp1/1p3r2/7p/1B6/P7/4P1B1/4K3 b - -,b8e8
8/3b4/1r3p2/1P4p1/1R1NK1k1/5P2/7P/8 b - -,g4h3
8/R4p2/2p3kp/2Pp4/1p1P4/2bK2PP/8/8 w - -,a7c7
8/8/8/5p2/5k2/5Bp1/3N1rP1/3K4 w - -,d1e1
2r5/4P3/k2n1N2/1p1P3p/2p5/2P2pPp/5P1K/1R6 b - -,a6b6
r3kr2/2pn1pp1/1pNp4/pPnPp3/2P1P1P1/5R2/P2N3P/4R1K1 b q -,f8h8
6k1/1p1r1ppp/p3p3/P2r4/R2P1R1P/2P5/5PP1/6K1 b - -,g7g6
5rk1/pppr1ppp/2qn1b2/P2p4/2P5/1P2B2P/2Q1NPP1/3R1K1R w - -,c4c5
r1bq1rk1/pp2bppp/8/2pn4/5N2/3P2P1/PP3PBP/R1BQ1RK1 b - -,d5f6
r4rk1/p2nb1pp/2p1bp2/1q2p3/2N1P3/1P3N1P/P1Q2PP1/R1B1R1K1 w - -,c1e3
3r1k2/pp3pp1/1bn4p/3p4/8/1NP2NP1/PP3PKP/3R4 b - -,f8e7
rqb1k2r/1p1p1nb1/p3pnB1/7p/2pN4/BPP5/P2PQ1PP/R4RK1 w kq -,d4f5
r4rk1/5p2/7p/p5p1/1nRPn3/4P1B1/4NPPP/R5K1 w - -,e2c3
5k2/8/3p1P2/5K2/2P5/2N2n2/1p5b/7R w - -,f5g4
8/7p/1p6/p2bk1K1/8/P5P1/8/1B6 b - -,d5e4
5r2/P3R3/7p/8/3kp3/8/4PK1P/8 w - -,f2g3
2kr3r/1p2Bpp1/pqb1pn2/7p/2P5/6P1/PPQ2P1P/R3RBK1 b - -,d8d4
1r4k1/4ppbp/2rp2p1/p5P1/3BPn1P/2P2N2/PP1R4/2K1R3 w - -,e4e5
r2k3r/1b1n4/p1nq1p1p/4pBp1/Pp1p4/5NB1/1P3PPP/2RQR1K1 b - -,a8c8
rq3b1r/1p1k1ppp/2nNp1b1/P2pPN2/3P1P2/1P2B3/6PP/R2Q1RK1 b - -,e6f5
2r4k/1r3p1P/6p1/8/4P1K1/b2N4/2p5/2R4R b - -,a3c1
2R1nk2/1r3pp1/8/4p2p/5P2/r1N1R1PP/5K2/8 w - -,e3e5
rn1qkb1r/ppp1np1p/3pp1p1/8/3P1P2/6P1/PPP2PBP/RNBQ1RK1 b kq -,c7c6
3Q4/p4R1k/1pp3r1/8/3p4/P3q2P/1P4P1/7K b - -,g6g7
r1bqkb1r/ppp1pp1p/1n3np1/3P4/2B3P1/2NQ1P2/PPPP3P/R1B1K1NR w KQkq -,g1e2
1r1qr1k1/5pbn/p5pp/4P3/1n1N1PP1/1P1bB1NP/3Q2B1/2RR2K1 b - -,g6g5
2r2b1k/2r5/2P4q/NQ1Rp3/1p6/5P1N/P5PK/8 b - -,c7h7
r5k1/pp4pp/1q2N1b1/3pPn2/2pP4/P1P1B2Q/2PK1PP1/R7 w - -,e6f4
