4k3/6pp/2NPK3/8/8/1r5P/p5P1/8 b - -,b3e3
r1bq1rk1/bpp2ppp/p2p1n2/n3p3/2B1P3/2PPBNN1/PP3PPP/R2QK2R w KQ -,c4b3
1r1q1rk1/1b2ppbp/2np1np1/2p5/1p2PP2/3PBNPP/1PP1N1B1/R2Q1RK1 w - -,b2b3
5rk1/p2nqppn/bp2p2p/3pN3/3P1PP1/1Pr1PB1P/P2N4/R3QRK1 w - -,f1f2
3q1r2/5pk1/p2p2pp/3p4/3Pr3/P1Q4P/1PRR1PP1/6K1 w - -,c3c6
6k1/2r1rpp1/7p/p7/1n1pP3/1PqP1QPP/4B3/R4RK1 b - -,c7c5
4r1k1/3N1p2/6p1/p5Pn/P4P2/8/Q3r2P/1R3R1K b - -,e2a2
2r2rk1/4bppp/p1N3b1/1p1p4/1q1P2P1/1Q4BP/PP3P2/2RR2K1 b - -,c8c6
r4k1r/1p1b1p1p/p4n2/2ppq1R1/7Q/2P1PP2/PP3P1P/R3KB2 b Q -,e5d6
rnb1k1nr/pp2ppbp/1q1p2p1/2p5/3P4/5NP1/PPP1PPBP/RNBQ1RK1 w kq -,d4c5
3R4/5ppk/4p3/pp3r1p/8/P1P4P/1P3PK1/8 w - -,d8c8
r2qk2r/3bbp1p/p1nppp2/8/5P1B/2Q2N2/PPP3PP/2KR1B1R b kq -,a8c8
4r1k1/1pp1qp2/3p2p1/3P3p/2P5/R2Q1R1P/3Nr1P1/7K b - -,e7g5
8/3rkp2/2pqp3/3r2pp/Q7/8/PP2RP2/1K2R3 w - -,e1c1
2r1rb1k/1p1q3p/p1n1bp2/3npNp1/P2p3N/2PB1Q1P/1P3PP1/R1B1R1K1 w - -,e1e4
r1r5/1p1k2p1/1pnnpp2/3p2p1/P2P4/1P2PN1P/2RB1PP1/2R2K2 b - -,b6b5
8/5p1k/6p1/p4q2/2Q4P/8/5PK1/8 b - -,h7g8
r1b2rk1/2qnbppp/p2pp3/1p4P1/3QP2P/2N2P2/PPPB4/2KR1B1R w - b6,c1b1
2k3rr/pp1qbp2/2npbp2/2pBp3/1P2P3/2PPB3/P2N1RPP/R2Q2K1 b - -,f6f5
1rb2rk1/2qnbppp/3pp3/1pp3P1/4PP2/3P3P/1PPNn1B1/R1BQ1RK1 w - -,d1e2
2kr3r/pp2bp2/4ppp1/4n3/4N3/1BP4P/PP3PP1/2KR1R2 w - -,f2f4
4r1k1/1q2r3/p1bp2p1/1p2pp1p/4Pn1P/P1NB2R1/1PPQ2P1/4R2K b - -,e7g7
Nn1kr3/1b1p3p/5p2/1pp3p1/2B5/5P2/PP4PP/R3K2R w KQ -,e1f2
2rr4/ppb1kpp1/4pn1p/3b4/2N5/1N2P3/PP2BPPP/2R2RK1 w - -,f2f3
1k1r1r2/ppq2pp1/3bpn1p/4N3/3P1P1P/8/PP1BQ1P1/1K1R3R b - -,d6e5
5rk1/p7/3R2p1/8/P1Pp1P2/3r1K1P/8/5R2 w - -,f3g4
2rqbk2/5p2/p1n1p1p1/1p1p4/2nP2P1/1P1Q1PN1/P5K1/1BN4R b - -,c4a3
rn2k1nr/ppp2ppp/3b4/5b2/8/2P2N2/PP2BPPP/RNB1K2R b KQkq -,b8c6
2rr2k1/1pq1b1pp/p2pp3/2n1N3/2P1P3/2N1B2P/PP2Q1P1/2R2RK1 b - -,d6e5
r1bb2k1/p4ppp/2p1pn2/8/4p3/2N1BP2/PPP1B1PP/2K4R w - -,h1d1
r1r5/4ppk1/b2p2p1/qN1Pn2p/P2QP2P/5P1N/6P1/1RR3K1 b - -,c8c1
8/8/1r4kP/n5P1/2b1N3/1p2P3/1R5K/5B2 w - -,f1g2
2r2bk1/p2n1pp1/1q2p2p/1p6/3P1B2/3QRP2/5KPP/1B6 b - -,d7f6
2kr3r/pq3p1p/2p1pPp1/8/P6Q/8/1P3PPP/2R1R1K1 w - -,b2b4
2r5/2PR4/p7/6pp/8/P5k1/4K3/8 w - -,e2f1
8/2B3p1/5p2/2nk1P1P/8/2P1K3/8/8 w - -,c7b6
rn1k1bnr/pp3ppp/2p1b3/4p3/2P5/1PN3P1/P3PP1P/R1B1KBNR b KQ -,b8d7
8/p7/P7/1R3p2/4k3/8/4K3/6b1 w - -,b5b4
1r2r1k1/5pnp/3p2p1/1q1P2P1/1p3bQ1/1B3P2/PBP4P/1K1RR3 b - -,g7h5
2r1k2r/pp1b2pp/4p3/2B2p2/5N2/1Pn5/P1BK1PPP/R3R3 b k -,c8c5
1Q3b1k/4q3/3p1n1p/2p1pPpP/2b5/3B1PN1/1P4P1/6K1 w - -,d3c4
8/2K5/1PQ5/8/5qk1/8/8/8 w - -,c6d6
1rbqk2r/5ppp/p2p4/4p1b1/1NP1P3/P7/1P3PPP/R2QKB1R b KQk -,a6a5
1r3bk1/1B3p2/4p1p1/q3Pn2/1p2Q3/1R6/PPP5/1K1R4 b - -,a5c7
8/5b2/4q1p1/kp6/5QN1/4p2P/6P1/7K w - -,g4e3
r1bq1rk1/p2nbpp1/1pp1p2p/8/2PPN3/1P4P1/PBQ2PBP/R4RK1 b - -,c8b7
r4rk1/ppq3bp/3pb1p1/3Npp2/2P1P3/5P2/PP1QB1PP/R4RK1 b - -,c7c5
6k1/5p2/4P1np/2K2pp1/2B1P3/6P1/2R4P/3r4 b - -,f5e4
8/5p1k/1R2p3/5r1p/R4p2/P3rK2/1P5P/8 w - -,f3f2
2rr2k1/1p1nbppp/1pp3b1/3pP3/5BP1/2N4P/PP2PPB1/2RR2K1 w - -,e2e4
r3k2r/1pp2pp1/p1p1q1n1/4p3/4P1N1/3PN3/PPP2pP1/R2Q1RK1 w kq -,f1f2
6k1/5p2/2q3pp/3bb3/4p3/1p2P1P1/1P1QBP1P/2B3K1 w - -,g1g2
5q2/1pr3pk/p2pP2p/P4p2/1P1Q4/6RP/5PPK/8 w - -,g3d3
8/6p1/5p1p/4pP2/4P2P/1k2K3/8/1N3b2 b - -,b3c2
8/8/3k1p1p/5B2/3KPP2/7P/2b5/8 b - -,c2a4
8/5R2/8/8/3Kp3/6k1/8/4r3 w - -,f7f8
r3k3/pp1qbppr/3p1n2/4p3/4P3/2N1B3/PPPQ1P1P/2KR3R b q -,d7c6
2rr2k1/1bq2pp1/pp2pb1p/8/P1nN4/2P5/1P2QPPP/2BRRBK1 w - -,e2g4
5rk1/p1Qb1ppp/4q3/1p6/4P2P/5PP1/P3B1K1/4R3 w - -,e1d1
3r4/1p1rkppp/p1nbpn2/8/1P6/P3PNP1/1B2KPBP/2RR4 b - -,d6b8
2r2rk1/pp1b2pp/4pn2/3p4/1n1P4/4KN1P/PP2NPP1/RB5R w - -,e2c3
r1bqk1nr/pp3ppp/2nb4/2p1p3/2Pp4/N2P1NP1/PP2PPBP/R1BQ1RK1 b kq -,g8e7
8/5pk1/6p1/r7/4p2p/4N2P/5PP1/2R3K1 w - -,c1c7
2R5/8/6b1/4k2K/2p5/8/8/8 w - -,h5g6
rnbq1rk1/pp3pp1/1B2p2p/1N1pP3/1P6/P7/2P2PPP/R2QKB1R b KQ -,d8b6
2rr2k1/3qbppp/1np1pn2/p7/P1PP4/3Q2PP/1B2NPB1/R2R2K1 w - a6,d3c2
r1bq1rk1/ppppn1pp/1bn5/8/4p3/1NN1B3/PPP1QPPP/2KR1B1R w - -,e3b6:c3e4
r1bq1rk1/1p3p2/p5p1/2pPb1n1/4PP1p/2N4P/PP1Q4/2KR1BR1 w - -,g1g5
8/8/1N5p/2pK3k/2Pb1R1P/4r3/8/8 b - -,e3e5
5bk1/5p2/4p1p1/n1p1P1P1/P2pB3/6BK/5P2/8 w - -,f2f4
4k3/2r1b3/4p3/p1p1Pp2/b1B2P1p/B1R1K2P/P7/8 b - -,e8f7
r1bqr1k1/1pn2pbp/p1p2np1/2Pp4/1P1N4/2N1P1P1/P4PBP/1RBQ1RK1 w - -,a2a4
2r3k1/4qppp/p2p1n2/1p1P4/3Q4/P1P2B1P/1P4P1/R6K b - -,c8c4
2r2rk1/3q1pp1/4pnbp/3p4/3N1P2/3PP2P/3QB1P1/2R2RK1 b - -,c8c1
r4rk1/p1p3pp/2pbb3/5p2/R7/2N1B3/PPP2PPP/R5K1 b - -,f5f4
8/2r4p/1k3pp1/p7/1K6/5P2/3R2PP/8 w - -,b4a4
8/7R/2K5/8/6k1/8/7p/8 b - -,g4g3
1r1qk2r/1b2bp1p/ppnp1p2/4p3/2P5/2N3P1/PPN1PPBP/R2Q1RK1 b k -,e8g8
r3r1k1/pppq1ppp/3b2n1/2p1p3/P1N1P3/1P1P2Pb/1BP2PNP/R2Q1RK1 w - -,d1d2
3r1rk1/pp3p1p/6pQ/4pq2/8/1PP2P2/PK4PP/3R3R w - -,h6e3
8/8/2p5/1p4p1/p5k1/P5P1/1P3K2/4R2b b - -,h1d5
r2r4/pp2bppp/2k1p3/2pnP3/4N3/1P5P/1PP1KPP1/R1BR4 b - -,h7h6
r1b2rk1/p5bp/2p3p1/1p1nq1B1/8/2PB1N2/PP1Q2PP/2KR3R b - -,e5c7
3n4/3P3K/5kP1/7P/8/2p5/2N5/8 w - -,g6g7
2rr4/pp3p1k/4pPpp/4Rn2/5QP1/1PBq4/P2P3P/6RK b - -,g6g5
8/p3k3/3b4/8/4r3/P2R4/3K4/3B4 b - -,e4e5
5rk1/pp3ppp/1qp1b3/2b1p3/2Pr2P1/3BB3/PPP1QP1P/1K1R3R w - -,e3d4
rnbq1rk1/1p1pppbp/p1p2np1/8/2P5/1PN2NP1/PB1PPPBP/R2QK2R b KQ -,d7d5
2brr1k1/pp3p2/1bn2q1p/3p2p1/3Nn3/1NPQ2B1/PPB2PPP/4RRK1 w - -,g1h1
8/6k1/p4p2/6p1/1p2P3/5PPK/PPR5/3r4 b - -,a6a5
1r1q1rk1/3nppbp/2np2p1/1R6/2PPP3/4BP2/Q4P1P/1R3BK1 w - -,e4e5
3r3r/p1p3pp/Bpq1k1n1/4n2P/8/P1B1R1P1/1PP1Q3/R3K3 w Q -,e3e5
R1b2rk1/5n1p/8/1P1Pn3/3QPpPq/5B2/6P1/5RK1 w - -,d4c3
r6r/p2n1pk1/1p2p1pp/2ppP3/2nP2N1/PqP1QN1P/1P2RPP1/4R1K1 w - -,e3c1
6k1/1q2pp2/3p1bpp/3P4/2n2PP1/2P2K1P/4N3/2BQ4 w - -,g4g5
3R4/p3Brbk/B7/2p1r2p/2n3pP/P5P1/1P3P1N/6K1 b - -,f7e7
r4rk1/pbq1ppbp/1pn2np1/2p5/4P3/2P2N2/PPQ1BPPP/R1B1RNK1 w - -,c1g5
r1bqk2r/pp1nbppp/2pp1B2/3Pp3/2P1P3/2N5/PP3PPP/R2QKBNR b KQkq -,d7f6
3r4/5pkp/1p2r1p1/1N6/3bN1P1/1P5P/P4PK1/3R4 w - -,e4g5
1k1r1b1r/pb2q3/5p1p/3pp1pP/8/1P1P1QP1/PBPN1P2/2KRR3 w - -,f3f5
5rk1/7p/3pp1p1/4q2Q/1pPnPr2/1P1R2NP/6P1/3R2K1 w - -,h5h6
8/5p2/4p3/p3PpPp/1p2kP1P/1PpP4/P3K3/8 b - -,e4f4
4k3/1R3p2/3P1Pn1/6N1/1p6/2r4P/5KB1/8 b - -,b4b3
rB3rk1/pp2bpp1/1qp1pn1p/3p1b2/3P4/1QP2NP1/PP1NPPBP/R4RK1 b - -,a8b8
q3b1k1/4b1p1/2p2n1p/1pPpNB1P/1P1P4/6P1/3B1P2/3Q2K1 w - -,f5g6
3rr1k1/2q2ppn/3p2np/pPp5/1pN1PP2/1P3QPP/1bP3BK/4RR2 w - -,c4b2
8/p1p5/3p2Kp/3P4/5P2/kP4P1/1b5P/3B4 b - -,a3b4
2b1rbkn/1p4p1/r1ppPn2/p5p1/P2N4/2N1R1BP/B1P3P1/4R2K b - -,f8e7
2b1k3/R7/p7/1pB2p2/1P2pP1P/P7/r7/7K w - -,h4h5
6k1/5Qp1/7p/p3N3/Pp6/1P5P/n5PK/2q5 b - -,g8h7
8/ppp5/5k2/8/3P2R1/1KP2n2/PP3rp1/6R1 w - -,g1g2
r6r/1p2kppp/p2bpnb1/4N3/Bn1P2P1/2N1B2P/PP3P2/2R2RK1 w - -,a4b3
8/p7/8/1pk3p1/1Nn3P1/8/4K3/8 w - -,b4a6
r3r1k1/ppp2ppp/2b5/4PnB1/5P2/2N5/PP3RPP/4R1K1 w - -,g2g4
8/8/2n2k2/p7/3p1pp1/1P6/3N1K1P/8 w - -,f2g2
r1bqkb1r/p1p2ppp/2pp1n2/8/4P3/3B4/PPP2PPP/RNBQ1RK1 b kq -,g7g6:f8e7
r3kb1r/1pp1np1p/p1n3p1/4p3/B3P3/2PP4/PP3P1P/RNB2RK1 w kq -,c1e3
r1bq1rk1/pp2nppp/2nb4/2p1p3/2Pp4/3P1NP1/PPN1PPBP/1RBQ1RK1 b - -,d8c7
r1bq1rk1/1pp2ppp/2n2b2/p2np3/P7/1B1P1N1P/1PPN1PP1/R1BQ1RK1 b - -,c8f5
r1b1k2r/2qnbppp/pp1ppn2/8/2PNPP2/2N1B3/PP2B1PP/2RQ1RK1 b kq f3,h7h5
2kr1b1r/1pp1pp2/p1q2n1p/6pb/8/1BNPRPB1/PPP2P1P/R2Q2K1 b - -,e7e6
2rr2k1/p3nppp/2p1pb2/8/N2P1P2/P3B3/1PR2P1P/2R3K1 w - -,c2c4
rn1qk2r/p1pp1ppp/1p2p1b1/4P3/1b1P4/2N2N2/PPP2PPP/R1BQ1RK1 w kq -,a2a3
rn2kb1r/ppq2ppp/2p1pn2/5b2/3P4/1BN2N2/PPPBQPPP/R3K2R b KQkq -,b8d7
r1b3k1/pp3p2/rn3n1p/3p2p1/2pP4/P1P1PPB1/3NB1PP/R4RK1 b - -,b6a4
Q7/2r2pkp/1p3qp1/4p3/2Bp4/1Pn2PP1/2P3KP/4R3 b - -,f6d6
r3r1k1/p1qb1pbp/1p3np1/2pP4/P1P5/1Q2BB1P/3N1PP1/3RR1K1 b - -,a8d8
r3r1k1/3b2pp/1ppp3q/5p2/2PP1NnP/P3PRP1/1BQ5/R5K1 w - -,a1e1
1b3rk1/p4pp1/1p1P3p/2n1pB2/8/5P2/PP3BPP/2R3K1 w - -,d6d7
4r1k1/5pb1/P5p1/3b4/4p3/3B2P1/3r1N1P/4RRK1 w - -,d3e4
6k1/5p1p/3p2p1/R2Pb3/8/6P1/1qr2P1P/3RQ1K1 w - -,d1b1
8/1p6/p7/P2p1k1p/1P1P4/7r/2K5/4R3 w - -,e1e5
r2q2k1/ppp2ppp/2nbrn2/3ppN2/5P2/1P2P3/PBPP2PP/RN1Q1RK1 w - -,f5d6
8/1p3k2/p1p3pp/P1K2p2/1P1R4/2P2P2/4r1PP/8 b - -,e2g2
3r4/2b3k1/2p2pp1/1bP1p2P/q3P1P1/3p4/2NQ4/BRK5 w - -,c2e3
8/8/6kp/8/5KP1/8/5P2/8 w - -,f4g3
6k1/8/4NK1P/6P1/8/8/8/1b6 w - -,g5g6
2r5/3nkpp1/p3b2p/2p1p3/NpP1P3/1P3PP1/P2RBK1P/8 b - -,c8c6
3rk3/p2prpbp/1p1R2p1/1Bp1P1KP/P4P2/1P4P1/8/3R4 b - -,h7h6
4k3/8/6N1/2K3Pp/p1P4P/P4P2/2n5/8 b - -,c2e1
2r2rk1/1pq2ppp/p2pbn2/2n1p3/P3P1N1/2B2B1P/1PP2PP1/R2QR1K1 b - -,f6g4
4Rbk1/1p3rpp/p1n3r1/8/6QP/1P6/PB3PPK/8 w - -,g4c4
r1bq1rk1/pp2bppp/2n1p3/2pn4/8/2N2NP1/PPPPQPBP/R1B2RK1 w - -,h2h4
3r1rk1/4Bpb1/7p/4n3/3pB3/P2P2P1/7P/1R3R1K b - -,d8d7
2r3k1/1pN2p1p/p2pp3/5b2/8/3P4/PP1R2PP/1K2R3 b - -,c8c7
8/4Q3/7k/6r1/8/5K2/8/8 b - -,g5g7
r1b2rk1/8/p2bp2p/1p1p2p1/B2P4/2R2PP1/PP2NP2/5RK1 w - b6,a4b3
4r3/5pkp/r3p3/p2p2P1/2nNn3/2P5/1P4PP/R1R3BK w - -,b2b3
8/1pk5/6R1/p7/8/PP4P1/2P3r1/1K6 b - -,b7b6
8/8/p2k2p1/1p1P4/4K3/P1P3P1/8/8 w - -,e4d4
4Rrk1/p5p1/1pq5/2pp1b1Q/5B2/2P2R2/PP4PP/6K1 b - -,c6e8
1r6/5pkp/6p1/p2p4/3P4/3r3P/PP3R1K/1R6 w - -,b1c1
rnbqkbnr/ppp2ppp/4p3/3p4/8/1P2PN2/P1PP1PPP/RNBQKB1R b KQkq -,g8f6
3rr3/2q2p1k/3b1P1P/p1p5/1p2p2Q/5b1R/PPP4P/1KB3R1 b - -,d6e5
2r3k1/5pp1/pn1qb2p/1p1p4/1PnN4/PQ1BPN1P/5PP1/2R3K1 w - -,d3b1
8/5p1p/4p1p1/p1k2rP1/2P2PBP/P3K3/2b5/5R2 b - -,c5c4
1r1q1r2/4n1bk/1p4pp/1Ppppp2/2P5/3P2P1/3BPPBP/1R1Q1RK1 w - -,d1c2
8/1r5p/1P1bk3/3n1pp1/3Bp3/6PP/1R2NP2/5K2 b - -,f5f4
r6r/p2Qnkpp/1q2p3/1p6/1n2P3/N5P1/PP3PBP/2R2RK1 b - -,h8d8
5R2/1n4pk/2K4p/pp6/7P/P5P1/1Pr5/8 w - -,c6b7
5k2/6p1/8/7p/R2K1P2/4P1r1/8/8 w - h6,e3e4
1qr1r1k1/5p2/pp2pPp1/7p/1PP4R/4Q2P/PB6/4nK2 b - -,b8d6
1rbqk2r/4npbp/3pp1p1/2p5/1p1nPPP1/2NP2NP/1PP3B1/R1BQ1RK1 w k -,c3e2
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2NP1/PPPP1P1P/R1BQKB1R b KQkq -,g7g6:f8e7:d7d5:f8c5:d7d6
1n4k1/1q6/p1pbp1p1/3p1pP1/1P1P1P2/P1B1P3/3KB3/5Q2 w - -,f1d1:d2c2:f1h1
R7/6p1/2p5/3k1r1P/2nP3P/B1P5/2P1K3/8 b - -,f5h5
8/6pk/7p/Q7/2P2P1P/p3K1P1/1q6/8 b - -,a3a2
2rqkb1r/pb1p1pp1/np2p2p/3nP3/2BPN3/8/PP3PPP/RNBQ1RK1 w k -,c4b3
r4rk1/1b3pbp/p3p1p1/q3P3/2pN1P2/2N1Q2P/PP1R2P1/2K4R b - -,g6g5
rn1q1rk1/pbp2ppp/1p2pb2/3p4/2PP4/1P1Q1NP1/P3PPBP/R1B2RK1 b - -,d5c4
r4rk1/p2nbp1p/1pp3p1/3p4/3P1B2/6P1/PP2PPNP/R2R2K1 w - -,a1c1
3r2k1/p1p1q2p/1p4p1/2PPpn2/2P1B3/P5Pb/4NQ1P/1R4K1 w - -,d5d6
5b2/p2B3p/1p4p1/3k1pPP/P1p1nP2/2P1BK2/1P6/8 b - -,e4d6
8/1B3k1p/4b1p1/3pp3/5r2/5P2/nP4P1/3RR2K b - -,d5d4
r2q1rk1/ppp2pbp/1n2p1p1/3PN3/4PP2/4B3/PPQ3PP/R3K2R w KQ -,d5e6
r4rk1/p2bp1bp/1pp2n2/3Pp3/2P3P1/2NBBP2/PP5K/4RR2 w - -,d5c6
8/5k1p/r1b1p2P/1nBpP1p1/2pP1PN1/2P5/2PK4/1R6 w - -,f4g5
r3qrk1/1pp3b1/n2p3p/p2Pp1p1/2P1Pp2/1PN5/P2NQPPP/1R3RK1 w - -,h2h3
r7/1q1P1p2/1b2rkp1/1p1R3p/1Q6/7P/5PP1/5RK1 w - -,b4b2
r4rk1/bppq1pp1/p1np1n1p/4pb2/1PP5/P1NP1NP1/1B2PPBP/2RQ1RK1 w - -,e2e3
r2bnrk1/pp1q1ppb/2p1p2p/3n4/3P4/NQ2P2P/PP1NBPPB/2RR2K1 b - -,d8c7
2r5/5pk1/p5p1/1p1p4/1P4KP/P1P1rR2/8/2R5 b - -,c8c4
2k5/1b1r3r/1B1pq2p/1p2nN2/5p2/2PQ1P1P/6P1/R2R2K1 w - -,f5d6
r3r3/1p4kp/pP1p1qp1/2p2p2/1PP1N3/1Q2R3/5PPP/4R1K1 b - -,e8e4
4k3/2R5/p2P3p/p5p1/Pn6/8/1Pb2PBP/6K1 w - -,g2h3
rnb1r1k1/pp3pbp/3B2p1/q1PNP3/6n1/5N2/PP1QBPPP/R3K2R b KQ -,a5a4
r3kb1r/ppqn1p1p/2p1pp2/5b2/2BP3N/2P5/PP1BQPPP/R3K2R b KQkq -,f5g6
2rr2k1/pp3ppp/8/1bn5/3pPK1P/P2P1N2/1P2BP2/2R4R w - -,f4g3
r1b1nrk1/3pppbp/pN4p1/4P3/P1p5/8/1P2BPPP/R2Q1RK1 b - -,a8b8
8/5p2/4pk2/R5p1/4P3/5PK1/8/7r b - -,h1h4
r7/p2k3p/2p1pp2/1r4p1/3P4/RP1bBP2/P5PP/2R3K1 w - -,c1c3
8/3b1k2/6p1/8/pN1p4/Pr1p1P1P/1P3b2/1R1KB3 b - -,f2e1
r1nq2r1/1p2p1k1/p1p1n1Pb/2PpPp1B/1P1P1P2/P1N1BQ2/8/R3K2R b KQ -,c8a7
3r1Rk1/Qpp3q1/1n2p2p/1N6/2Pbb1p1/1P6/P3B1PP/3RN2K b - -,g7f8
3Q4/1p4pk/p6p/4qp2/2b5/1NP3P1/PP5P/7K w - -,d8d2
8/7p/3k1pp1/1p1P4/p3P3/1P3PP1/7P/2R3K1 w - -,b3a4
3rr2k/p5R1/1p3p2/4n3/7p/P1PB3P/2P2P1K/6R1 b - -,e5f3
r2r2k1/1pq1bpp1/2p1p2p/2B1P2P/p1P2P2/6N1/PP2Q1P1/1K1RR3 b - -,e7c5
5r2/5p1p/p4k2/8/PpPP3P/1P3K2/7b/R7 w - -,a1e1
7k/5p2/pr2b2p/5Np1/4B3/7P/q1P1RPPK/4R3 w - -,f5e3
1rr1n1k1/3n1pp1/pqb1p2p/1pN5/1P1PB3/2NQ2P1/P1R2P1P/2R3K1 b - -,c6e4
8/1p1r2k1/p3bpp1/3p3p/3K1B2/1PP2P1P/P2R2P1/8 b - -,g6g5
2rq1rk1/pb2ppbp/1pn3p1/7n/2PP4/PN1B1N2/1B3PPP/2RQ1RK1 b - -,d8d7
r2q1rk1/1pbbn1pp/2p1pp2/p7/PnNPP3/1PB2NP1/1Q3PBP/R4RK1 b - -,c6c5
3q2k1/2p2ppp/8/p7/Pb3nP1/7P/1P2rBB1/RQ4K1 w - -,g2f1
r4rk1/1bp1qp1p/pp4p1/3pP3/5P2/2PBPR2/P5PP/2RQ2K1 w - -,f3g3
rn1q1rk1/2pn1ppp/bp1p1b2/pB1P4/4P3/P1N1BN2/1PQ2PPP/R4RK1 w - -,e3d4
2k5/1pr2ppp/3rp3/1R1n4/3P4/1RP2B1P/5PP1/6K1 w - -,c3c4
2r3k1/8/5b1p/p1P4P/3rp3/6p1/PPR2PP1/2R1NK2 w - -,f2f3
1r4k1/2R3b1/3p1q2/3Pp2r/1P2PpP1/p7/P2N2P1/2R3BK w - -,g4h5
2rqkb1r/pp1b1p1p/2n1p2p/3pP3/1P1P4/P4N2/2R1BPPP/1N1QK2R b Kk -,a7a5
2k5/pp1r1ppp/n3r3/2pN4/1PPq4/PQ5P/5PP1/1R2R1K1 b - -,e6e4
r1r2bk1/1p1n1p1p/2npb3/p3p1pq/P1P1P3/4BPP1/1P1N1NBP/2RQ1RK1 b - -,f8e7
2r2rk1/3q1p1p/1p2b1p1/pN1pPp2/P7/2P5/1P1Q1PPP/R3R1K1 b - -,g8g7
r3k2r/p1q2pbp/bpnppnp1/2p5/4PB1P/2PP1NP1/PP2QPB1/R3KN1R b KQkq -,c6e5
rn3rbk/1p5p/p2N4/2Pq4/3P1p2/3Q1R2/PP4PP/5RK1 b - -,b8d7
rn1qkb1r/pbpppp1p/1p3Bp1/8/8/1P2PN2/P1PP1PPP/RN1QKB1R b KQkq -,e7f6
r1bq1rk1/pppnp1bp/3p2pn/5p2/2P1P3/2NP2P1/PP2NPBP/R1BQK2R w KQ -,e1g1
8/8/2nppk2/1p2p2p/p3P2P/2PK2P1/PP3N2/8 b - -,c6a5
2r5/p3kpR1/2pn1r2/3p4/3P4/1P1NP3/4KP2/6R1 b - -,c8b8
