8/8/8/5ppp/P1Bp1k2/1P3P1P/3b1K2/8 w - -,c4f7
r4rk1/1pq1bppp/p1p1pn2/2Ppn2b/3P4/1P1BP2P/PBQN1PP1/R4RK1 w - -,d4e5
2r2rk1/1ppbb3/p2p1n1p/3Pnpp1/3N4/1P2P1PP/PB2NPB1/2RR2K1 w - -,b2a3
r1bq1r1k/p5bp/3p1n2/1pp1pP2/2PnN3/2NB4/PP4PP/R1BQ1RK1 w - -,c1g5
r5k1/6p1/b1RNpp1p/8/pr1PP3/P4P1P/6P1/6K1 w - -,a3b4
r1b2rk1/1p3pp1/2nqpn1p/p7/2Pp4/PP1P1NP1/3N1PBP/R2Q1RK1 b - -,e6e5
4r3/4r2k/p5pb/1pRP3p/1P2p3/4P1N1/P4PB1/q1Q3K1 b - -,a1a2
1r3rk1/np1qbppp/p1p1pn2/8/2PPPP2/5B2/PB1N2PP/R2Q1RK1 w - -,d1c2
8/3bkpp1/2n1p2p/3pPP1P/2pP2P1/R7/2PKN1B1/1r6 w - -,a3a8
r1q1kb1r/pb1n1ppp/1p2p3/2p5/3PP3/P1PB1N2/2Q2PPP/R1B2RK1 b kq -,f8e7
r1q1k2r/bpp1npp1/3pb2p/1P2pn2/8/P1NPP1P1/3N1PBP/R1BQ1RK1 w kq -,d2c4
4r2k/pq5p/3r2p1/3P4/5R2/1P1Rp1P1/1P2Q2P/1K6 b - -,b7b5
8/8/p3p3/P5N1/3b1P1k/6q1/3p1P2/3Q1R1K b - -,g3f4
r1r3k1/pp2ppb1/1q1pbnp1/4n2p/2P2P2/1PN1N1PP/P2BP1B1/2RQ1RK1 b - f3,e5c6
1rr5/p2b2kp/4p1n1/5p2/2p2P2/1P6/P3NRPP/3R2K1 w - -,d1d7
8/1rR2p1k/4p1p1/2p4p/p2b3P/1q6/1PR1Q3/1K6 w - -,c7b7
8/7p/4pk2/1p4p1/2pPp1P1/PPK1R2P/5r2/8 b - -,f2f3
r1bq1rk1/p1p1bppp/1p2p3/8/1nPPN3/4PN2/PP2BQPP/R4RK1 b - -,c8b7
r1b1k2r/2q1bppp/p3pn2/1p2p3/3N1P2/2N5/PPPQB1PP/2KR3R w kq -,f4e5
8/P1R5/r2k4/8/8/1K6/8/8 w - -,c7h7
8/2R3pk/4K2p/5P1P/3r2P1/8/8/8 b - -,d4e4
3r2k1/4pp2/p2b2pp/p7/1r6/1B4P1/PB3P2/4R1K1 w - -,b2c3
8/1pk1r3/2p5/p1r2pp1/3R2P1/PP1RPP2/5K2/8 w - -,g4f5
6k1/1R4p1/2Rp1P2/p1b5/6P1/8/P3r1K1/8 w - -,g2g3
r6r/3kppbp/n2p2p1/1NpP4/P1N1PP2/6KP/RP4P1/5R2 b - -,h8b8
r3r1k1/1b3p1p/p1qbpBp1/3p4/5PQ1/PP1pPR2/3N2PP/R5K1 w - -,f3h3
r5k1/bp1n1ppp/p3p3/Pb1pP3/NB3P2/R7/1PB3PP/5R1K b - -,b5f1
6k1/6p1/1r1p2pp/3PP3/2p2P2/7q/1P2QP1P/R6K b - -,h3f5
3r3r/pk2bppp/bp2p3/2n1P3/5P2/2N1B2P/PP3KP1/R2B3R w - -,d1f3
r4rk1/pbp2pp1/4p3/2p1q2p/2P1p3/1P2P2P/P1QN1PP1/3R1RK1 b - -,a8d8
8/r7/1Np1kb2/Pp4pR/1P2Ppn1/B2p4/5P2/3K4 b - -,f6c3
3rrnk1/pp3pp1/2p1bp1p/q4B2/2PP4/1P2B3/P1Q2PPP/R4RK1 w - -,f5e6
8/8/6P1/5K2/8/1k6/8/R5r1 b - -,g1a1
1r3rk1/4ppbp/bq1p1np1/5P2/1p2P2Q/3P1N2/1P2N1PP/R1B2R1K w - -,f5g6
1b1rr1k1/1p2qpp1/pP6/P6p/Q3P3/4pPPb/1B2B2P/3RR1K1 b - -,h5h4
1rbq1rk1/2pnbppp/p1n5/4p3/P3P3/1BP2N2/2QN1PPP/R1B1R1K1 w - -,a4a5
4r1k1/p1n1qpp1/8/2p1P2b/2QN4/2P3BP/P2r1PK1/R3R3 w - -,d4b3
r3k2r/pppbpp1p/2n5/2b5/2B5/5P2/PPPBN1PP/2KR3R w kq -,e2c3
2rr4/p3kpp1/b1qNp2p/8/2P3P1/Q7/PP3PKP/R6R w - -,d6e4
r2qr1k1/pb3pp1/1pp2n1p/3p2B1/1b1P4/2N3P1/PPQ1PPBP/3RR1K1 w - -,g5f6
3r2k1/np3pp1/p3p1p1/8/6P1/P1P2R1P/1P3QBq/5K2 b - -,d8d1
1r2r1k1/6bp/3pPqp1/1Np1n3/P4P2/1Q6/1P1B2P1/R2KR3 b - f3,e5c6
5rk1/1r3p2/4pn1p/2R5/3P1p2/6PP/2R1N1K1/8 w - -,g3f4
3r1rk1/1p2n1p1/pN1pbn2/4p2p/1NP1PpP1/5P2/PP1KB2P/R6R w - h6,g4g5
r4r1k/1pP3q1/p6p/2P1p3/1PQ3p1/P6n/2BR1PPP/3R1K2 b - -,g4g3
2r2rk1/pbqn1ppp/1p1bpn2/2pp4/2PP4/PPN1PN1P/1BQ1BPP1/R2R2K1 b - -,a7a6
R7/p5k1/1b4p1/2r3P1/2P2R2/8/6K1/8 w - -,f4g4
2Q3k1/6p1/7p/P1p5/1p1p4/1P2q2P/2P3PK/8 b - -,g8h7
3b4/5p2/5p2/p2k1P1p/2p2P2/5KP1/P1P4P/1N6 w - -,a2a4
3r2k1/p3pp1p/2pqn1p1/8/2PpP2P/1P1N1PP1/P4QK1/3R4 w - -,b3b4
5rk1/1p5p/2p2n2/2P1r1n1/1P6/2NR2P1/6B1/5RK1 w - -,f1f4
r1bq1rk1/1p2bppp/p1n1pn2/2p5/P2P4/N1P2N2/1P2BPPP/R1BQ1RK1 b - -,c5d4:b7b6
r3r1k1/1p3pp1/1qn4p/p2p1B2/6b1/1NP2NP1/PP3PP1/1R1QR1K1 b - -,g4f5
r2q1rk1/ppp2ppp/3b1n2/3P4/2Q5/2N4P/PP3PP1/R1B2RK1 w - -,c1g5
8/5p1p/4k1p1/4r3/6P1/pK5P/7R/8 b - -,e5e3
8/3k4/8/3KNb2/2P5/1P6/1P6/8 b - -,d7c7
2b4k/4rrb1/2P1pN2/pB1pP1p1/3P4/5pPP/1PR2P2/R5K1 w - -,f6d7
2kr2nr/pppq1ppp/2n1bb2/3p3Q/3P4/P1NBB2P/1PP1NPP1/R3K2R w KQ -,h5f3
2qrr1k1/pp2ppbp/1np1b1p1/4N3/2PP1B2/1BQ5/PP3PPP/3RR1K1 b - -,f7f6
2r2rk1/pp2ppbp/3pbnp1/q6P/3BP1P1/2N2P2/PPPQ4/R3KB1R w KQ -,a2a3
r4rk1/p3bpp1/3p4/3Qp2p/2P3q1/1P6/P4PPP/R1BR2K1 w - -,c1a3
r3n3/1p2qp1k/p2p1bpp/3Pp3/bP2P1P1/P1Q1B2P/3NBP2/2R3K1 w - -,d2f3
4r3/pR3r2/P1p1p1k1/2Pp1ppp/3P4/4PP2/3K2PP/1R6 w - -,b7f7
4b1k1/5pbp/r2pp1p1/q5Pn/1p1RP2P/1PrRBP2/B1P5/1KN1Q3 w - -,d3c3
1r4k1/6b1/1r1p2pp/RbpPp3/1p2P3/1P1PB2P/4K1B1/5R2 b - -,b6a6
r4r2/2q2pkp/bn3np1/ppp1p3/4P3/1P1B1PN1/P1PQ1NPP/R2R2K1 b - -,c5c4
5Q2/8/2Np4/P2P4/1P2k3/4b3/3r4/3K4 w - -,d1e1
r3k2r/1p2b2p/p3Qnn1/2p5/2P5/P7/1P3PPP/RNB3K1 w kq -,b1c3
8/2p3kp/4q2r/2p5/P1Np4/P2P1PP1/1R1Q2K1/4r3 w - -,g3g4
r4rk1/ppqb2pp/3bp3/1PppN3/3pnP2/P6P/4B1PB/RN1Q1RK1 b - f3,c5c4
5k2/p6p/1p4p1/8/1P1P4/P1B4Q/5q1K/8 w - -,h3g2
r2qk2r/1b1n1p2/p1p1pn1p/1p4p1/PbpPP3/2N2NB1/1PQ1BPPP/R2R2K1 b kq -,d8b6
rk2r3/1pq4p/p2N2p1/4P3/8/1QnP2PP/5PB1/6K1 b - -,e8e5
6k1/8/3p2pb/p2P1r2/3BR3/P7/6K1/8 b - -,f5d5
8/6b1/8/2n4P/p3n3/P4N2/2K2kP1/3R4 b - -,f2g2
8/p1r4p/6pk/5p2/4p2P/6P1/PP1R1P2/6K1 b - -,h6h5
8/8/5kpp/4r3/6P1/R7/6K1/8 b - -,f6g5
r1b1k2r/pp2b1pp/1qn1pP2/3p4/1P1P4/P2BPN2/6PP/RN1QK2R b KQkq -,e7f6
rnb1kb1r/1p3ppp/p3p3/6B1/4p3/P7/1PPN1PPP/R3KB1R b KQkq -,f7f5
r1qr2k1/pb1pbppp/n3pn2/2p5/2P2B2/1QN2NP1/PP2PPBP/R2R2K1 w - -,d1d2
8/4PR2/8/5pk1/6p1/8/6pr/5K2 w - -,f1g1
b2r1rk1/p1R1bppp/1p2pq2/8/2P1p3/4B1P1/PPQ1PPBP/R5K1 b - -,e7c5
2r2k2/RR2npp1/5b1p/1P6/P7/4P1P1/5PKP/8 w - -,e3e4
2br1r2/2q3kp/1pB2pp1/2p1p3/2Pp3P/3P2P1/1P1Q1P1N/R3R1K1 b - -,c7c6
5r1k/1q5p/3p2pb/1p2pN2/1P5R/P2Q1PP1/7P/7K w - -,f5d6
3r4/P3p2p/6p1/2kn1p2/8/3K1PP1/6P1/R3B3 b - -,d5c7
r2q1rk1/1pp2ppp/p1nbpn2/8/3P2b1/P1N1PN2/1P2BPPP/R1BQ1RK1 w - -,b2b4
3q2kr/p2r1pp1/5n2/2bp3p/3N4/1Q2p3/PPP1B1PP/3R1R1K b - -,f6g4
2r4r/1b2kppp/p3p3/1p2q3/8/P2B4/1P3PPP/RQ2R1K1 b - -,e5c7
2r2r1k/pb3pbp/1qn1p1p1/4PnP1/RP1pNPN1/3P3P/3B2B1/4QRK1 b - b3,c6e7
r2r2k1/pbq1bppp/1p2pn2/8/1P2P3/1QP3P1/1B1NRPBP/R5K1 b - -,a7a5
3r4/1p3pk1/p3bp1p/1p5R/3P1P2/3BK3/1P4PP/8 b - -,b7b6
1r4k1/5p1p/4p1p1/8/P4P2/4P2P/5P1K/R7 w - -,h2g3
r1br2k1/p4p1p/2p1n1p1/1p2b3/2B1P1P1/2N4P/PPPB4/2KR3R w - b6,c4b3
8/8/8/2KP4/8/p7/Pk6/8 b - -,b2a2
1r3r2/Qp5p/3p2pk/pP2nbq1/2P1BR2/2NP2P1/7P/3R3K w - -,e4f5
5rk1/1R1nppbp/3p2p1/8/2PBP1Pq/2N5/P1Q1BP1P/5K2 b - -,g7d4
r3r1k1/1p3pbp/p4np1/q7/8/N1N2P2/PP1Q2PP/3R1RK1 w - -,a3c2
rnbq1r1k/6pp/2p1p3/5pb1/1p1P1B2/1BR1PP1P/1PQ1N1P1/5RK1 w - -,c3d3
8/8/2R2k2/8/5K2/5P2/8/r7 b - -,f6f7
8/7p/3r4/1p4k1/1PpPr3/2P1K3/6P1/2R5 w - -,e3e4
8/3k4/4p3/P2pPp2/4n3/4PNPp/7P/5K2 b - -,d7c7
3r4/p1q1pk1p/1p1r1p2/n1p2Pp1/2P1B3/2QP2P1/PR2P2P/5RK1 w - -,c3c1
6n1/5pk1/6p1/p2pP2p/5N2/1pP2P2/1P4PP/2K5 b - -,g8e7
r3k1r1/1bq1bp1p/pp1ppn2/4n1p1/P3P3/1NNBBP2/1PP2QPP/3R1RK1 b q -,f6d7
rn1qkbnr/ppp2ppp/4p3/3p4/5Pb1/1P4P1/PBPPP2P/RN1QKBNR b KQkq -,g8f6
1r5r/1q2b1k1/2p3p1/p1p1p2p/N3P3/PP2QBPb/2P5/1R1R2K1 b - -,h8f8
7k/1R5p/1p6/8/3r4/6PP/5PK1/8 w - -,b7b6
r1bqr1k1/ppp1nppp/3p4/2bP4/3N4/1P2P1P1/P4PBP/R1BQ1RK1 b - -,b7b6
2r5/pppR4/2nr1b1p/7P/6k1/2P5/PP1N2P1/2K4R w - -,d2b1
7r/5p2/3pp1kp/pp2b1p1/P1r1P1P1/2PR1KP1/1P1N1P1R/8 b - -,h8d8
5bk1/1Rr2p1p/2P1b1p1/4p3/8/2N3P1/P2r1PBP/5RK1 b - -,c7c8
7r/2k3p1/6p1/2PBbpP1/1p5n/4K3/1P2N2P/R7 b - -,h8d8
r1b2Q2/1p1p3p/p1n1kpp1/3p4/5BN1/2q3P1/P1P2P1P/5K2 b - -,g6g5
3r2k1/2p3pp/qrp1b3/p1RpPp2/3Q1PPP/BP6/P1P5/2K1R3 b - -,d8f8
8/5Br1/7p/1P1Nk3/4n3/4K3/8/8 w - -,b5b6
r3k2r/pp1b1p1p/3p1qpQ/2pPp3/8/3P1B2/PPP2PPP/2KR3R w kq -,h2h4
r1bqrnk1/4bppp/p2p4/3PpN2/2p1P1PP/2N1BP2/PP3Q2/2KR3R b - -,a8b8
r1bq1rk1/p3bpp1/1pn2n1p/3p4/3P1B2/2NB1N2/PP3PPP/2RQ1RK1 b - -,c6b4
8/8/p2b4/1p6/2p1k3/P1P5/2K5/B7 w - -,a1b2
5k2/2R5/8/r4p2/8/5KP1/5P2/8 w - -,f3f4
8/6p1/1Bb2pk1/2P1p2p/4Pq2/5PQ1/2P3PK/8 b - -,g6f7
2n4k/1p2q1p1/p3P1Qp/3p4/7P/P1N5/1P4P1/6K1 w - -,h4h5
2Rr2k1/pp1bbppp/1q2pn2/8/1P1N4/P3P3/1B2BPPP/RQ4K1 b - -,d8c8
3rn1k1/pp1rb1pp/5p2/q3B3/3P4/1P3Q1P/P1R1NPP1/5RK1 w - -,e5f4
r3r1k1/ppp2ppp/2n5/3qp3/4Q3/2BP4/PPP2PPP/R3R1K1 b - -,d5e4
r5k1/pp2r2p/2p2pp1/3p4/3Pn3/1P2PNPP/P1R2P2/2R3K1 b - -,a7a6
8/8/8/7p/3kp3/2q5/7K/3Q4 b - -,c3d3
1b2r3/1p1k4/1p3n2/3p1p1p/3P2p1/P1NRPPP1/1P4K1/4B3 b - -,e8g8
2rn1rk1/4bppp/pq1p4/1p1Pp1P1/7P/1N1B4/PPPQ1P2/1K1R3R w - -,d2e2
5r2/r1p1n2p/2B3pk/2P1p3/1p3P2/6PP/1Q6/6K1 w - -,c6e4
2nr1rk1/p4p1p/2p3p1/2N5/2PpP3/1P4P1/P1P2R1P/5R1K b - -,h7h5
r1b2rk1/1p2bppp/p1nqpn2/6B1/P1Bp4/1N3N2/1PP1QPPP/R3R1K1 b - -,f8d8
6k1/7p/6p1/2B5/4KP2/p5P1/1b2P2P/8 w - -,c5a3
r4rk1/pp2q1b1/2p1bp1n/P3p1p1/2B1P2p/2P1N2P/1P2QPPB/R2R2K1 w - -,d1d2
5k2/5p2/8/2p3Q1/1p1q4/1P4P1/5PK1/8 b - -,c5c4
8/6k1/5p2/1R5P/6p1/7r/7P/6K1 b - -,h3e3
2r2rk1/R1p1npb1/1p1p1npp/1P2pq2/2P5/2NPPNPb/1BQ2P1P/4R1KB w - -,e1a1
r4rk1/1pq2pbp/2p3p1/p1n1pb2/2P1n3/PPN2N2/1BQ1BPPP/R2R2K1 w - -,c3e4
r1bqk2r/1pp3pp/3p4/p1nPpp1n/2P1P3/PP4P1/2QN1P1P/RN2KB1R w KQkq f6,b1c3
r2q1rk1/p1p1bppp/Q1p2n2/3p2B1/4P3/2N5/PPP2PPP/R4RK1 b - -,f6e4
3r2k1/pbqrbppp/1pnnp3/2p5/2P2PP1/2NPP3/P3Q1BP/BR1RN1K1 b - -,c7b8
2kr2r1/p2b1p2/4p2p/1p1pP1P1/n1pP1P2/q1P1Q2N/P1PKB3/1R5R b - -,h6g5
r1b1kb1r/1p3ppp/p1n1p3/2PpPn2/8/2N2N2/PPPB1PPP/R3KB1R w KQkq -,c3a4
r1bq1rk1/pppn1pbp/3p1np1/3Pp3/2P1P3/P1N2N2/1P2BPPP/R1BQK2R b KQ -,d7c5
3r1kr1/1p2bp2/p6p/1qP2Q2/4PP2/1N3Pp1/P1R5/5RK1 w - -,g1g2
3r2k1/pqr2ppp/5b2/p2Pp3/4Q3/4PN2/P2RBPPP/1R4K1 b - -,b7a8
4rr2/1p1q2k1/2np1p1p/p1p3p1/P1PpPPbR/1P1P2P1/3QNKB1/4R3 w - -,h4h2
3rr1k1/p1pq2pp/8/2P2p2/3pP3/P4PP1/1Q5P/3R1RK1 w - -,b2b3
r5k1/5pp1/2n3p1/3N4/1P6/3N1P2/r3R1PP/2R3K1 b - -,a2e2
8/p5rp/3kpb2/3p1r2/3P3P/1P5R/P1K1N3/7R w - -,h4h5
8/2p1rpkp/p1r3p1/1p2p3/8/1PPR1P1P/P2R2P1/3K4 b - -,e7e6
1q6/5pkp/1r4b1/2p5/2Pp3p/1P3P2/3R2P1/3Q1B1K b - -,b6b3
r1b3R1/1p6/3kp1Pb/1p1pn3/2p5/3B4/PPP2PP1/R3K3 w Q -,d3e2
2rqr1k1/1b3p1p/p1n3p1/3np3/8/PP3N2/1B3KPP/2RQRB2 w - -,f2g1
4r2k/1b2nppp/p4q2/1B2pP2/4P3/PN3r1P/2P1Q2K/3R4 w - -,b5e8
1r5k/5p2/3P1n2/2p1p3/p1P1P3/P7/3R4/5BK1 w - -,d6d7
1r1q1r1k/3nbp1p/2p1pp2/p2b4/N1NP4/1P4P1/P3QPBP/3R1RK1 w - -,d1c1
1r1q1rk1/p4pp1/3p1b1p/2nBn3/3N2b1/4B2N/PPPQ2PP/R4RK1 b - -,g4h3
2b1rq1k/p7/n6p/Q1pR1rp1/8/1P2PNPP/P1R2PB1/6K1 b - -,h8g8
6k1/p2r3p/3Pp1p1/2b1B3/2p5/2P3K1/P5PP/5R2 w - -,f1d1
r1bq1rk1/1p2npbp/4p1p1/p7/3ppP2/1BPP4/PP2N1PP/R1B1QRK1 w - -,d3e4
r3kb1r/pppbqpp1/2np1n2/1B1P3p/4p3/1P2P1N1/PBP2PPP/RN1Q1RK1 b kq -,c6e5
2bqr1k1/1p3pbp/3p1np1/1N6/2P1P3/1p1QBP2/r3B1PP/1R3RK1 b - -,f6d7
3b1rk1/3P1pp1/1r3q1p/2Q1N3/1p2R1PP/8/5P2/5RK1 w - -,e5c6
8/R6p/1p4p1/4p1k1/3p2P1/1PnBbP2/P6P/5K2 b - -,c3d5
2r3k1/6pp/8/4N3/2Pp4/7P/2b2PP1/5RK1 w - -,f1a1
rnbqk1nr/ppp2pbp/3p2p1/4p3/4P3/3P1NP1/PPP2P1P/RNBQKB1R w KQkq -,f1g2
5r2/8/P5P1/2p5/7P/8/6K1/3k4 b - -,c5c4
8/r4p1k/7P/1pP1NKP1/1P1PR3/r7/8/8 w - -,d4d5
r1bq1rk1/pp4pp/2p5/3pP3/3P1p2/2P1P3/P4PBP/R2Q1RK1 w - -,g1h1
8/1p6/2kB4/2P5/2N5/K7/7P/1r6 w - -,c4d2
r3k2r/pb1nqp2/1p1p1n1p/2p1p1p1/2PPP3/2PB1P2/P2N1BPP/R2QR1K1 b kq -,d7f8
r1r1b1k1/pp2bppp/3ppn2/4qP2/3NP1P1/2NQ4/PPPB4/2KR1R2 w - -,g4g5
r5r1/2pk2p1/p2b1pbp/1p1Pn3/3N4/P7/1PP1B1PP/1K1RRN2 b - -,g8e8
4rrk1/1pqb2p1/p1nb1n1p/3pp3/1P6/1NPPBNP1/4QPBP/R3R1K1 w - -,e3c5
r1bq2k1/p4r2/1bp4p/2B2pp1/4p3/1N5P/PPP2PP1/R2Q1RK1 b - -,c8a6
r1bqr1k1/p4ppp/1ppb2n1/8/2p1n3/1P1NP1P1/PB2NPBP/R2Q1RK1 w - -,b3c4
1rn5/p7/1p2brpk/PPp1p2p/2P1P2P/2QP2P1/4N1B1/6K1 b - -,c8e7
8/rp1n1rk1/2p3pp/q4p2/2PP4/pR2QBP1/P3PP1P/5RK1 b - -,d7f6
rn1qkb1r/1b3ppp/p3pn2/2ppP3/1p3P2/3P2P1/PPP1Q1BP/R1BNK1NR b KQkq -,f6d7
r1b2r1k/p1p1n1p1/q2b3p/1p3pN1/5P2/1B3Q2/1P1B2PP/2R1R2K w - -,d2c3
r4rk1/p4bBp/6p1/q3pp2/3p3Q/1B6/PPP2PPP/R4RK1 b - -,g8g7
8/8/p5k1/2p5/P4Pn1/1P1K2N1/8/8 b - -,g4f6
2r1n1k1/5p1p/pq1pp1p1/2n3P1/2P2P1P/2Q3N1/P3BP2/3R2K1 b - h3,c8b8
3r1r1k/1p4pp/p3Q3/8/P7/5P2/1q4PP/R2R2K1 w - -,e6e1
4r1k1/ppqbr2p/3p1p1b/P1PP4/2P1Ppn1/2NQ1N2/5PBP/1R1R2K1 b - -,c7c5
2br1k1r/4q1b1/p1n5/1p1p1p1p/2pP2p1/4PPP1/PP1NB1P1/1Q1NRRK1 b - -,c6d4
r4rk1/1q2ppbp/b2p1np1/1npP4/8/2N3P1/PPQNPPBP/R1BR2K1 w - -,d2b3
r1bq1rk1/p2pnpbp/1pn1p1p1/2p5/4PP2/N1PP1NP1/PP4BP/R1BQ1RK1 b - -,d7d5
r3k2r/pp1Nbppp/1qp1pn2/3p1b2/2PP4/1QN3P1/PP2PPBP/R1B2RK1 b kq -,f6d7
r1bqk2r/4npb1/p1n4p/1p1p2pP/2P5/NBP1BN2/PP2QPP1/R4RK1 b kq -,d5c4
r3r1k1/qp3ppb/5n1p/p1n1p3/2N1P3/QP4P1/P4PBP/3RNRK1 w - -,e1f3
r1br2k1/1pq3bp/n1p2np1/p3p1N1/P3p3/1PP3P1/1B1NQPBP/R3R1K1 b - -,a6c5
3qr1k1/2Q2pp1/2p5/1pPr1P2/pP4P1/P7/8/3RR1K1 w - -,c7d8
