8/4k1p1/4p2p/Pp2P3/3P1RKP/r7/8/8 b - -,a3a5
rnbqkb1r/1p3pp1/p2p1n1p/4p3/4P3/2N1BN2/PPP2PPP/R2QKB1R w KQkq -,h2h3:f1c4
4r3/7p/1p2qpk1/r2p1p2/P2R4/5P1P/3Q2P1/R5K1 w - -,g1h1
r4Qnr/ppqk3p/3pp1p1/4n3/4P3/2N1P3/PPP3PP/R4RK1 w - -,f8a8
6k1/8/6p1/5p2/2p2PP1/2B2K1P/2n5/8 w - -,c3b2
r1b1r1k1/3n1ppp/1pq2n2/2b1pNB1/2p1P3/2N3P1/1P1Q1PBP/R4R1K w - -,a1a8
3r1bk1/r4p1p/p2P2p1/R7/1pN5/P6P/1PP3P1/1K1R4 b - -,b4a3
8/7p/7R/p1P1kp2/4p3/1PK5/P4r1P/8 b - -,f2f1
8/1p6/2p2k2/3n1pp1/3P4/6P1/1r3PK1/2B1R3 b - -,b2c2
r1bqkbnr/pp4pp/2n1pp2/3p4/2Pp4/1P2PN2/PB3PPP/RN1QKB1R w KQkq -,e3d4
1r2q1k1/2Q2p1p/6pn/2p1n3/Np2P2P/1P4P1/P4PB1/3R2K1 b - -,c5c4
3k4/8/3b4/3p1b2/B1pP2p1/2K3Pp/5B1P/8 w - -,f2e1
4rk2/1R3p2/5Kpp/3p4/3N2PP/1P3P2/2P5/5b2 b - -,g6g5
r1b1k2r/1p3p1p/p1q1pbp1/2p1P2Q/8/2NP2P1/PPP4P/R1B2RK1 w kq -,h5e2
6rk/5p1p/p7/1pP5/1P3Pn1/P1qb1Q2/3R2PP/3R3K b - -,g8e8
r1b1k1nr/pp2ppbp/2n3p1/2q5/8/2PBBN2/PP3PPP/RN1QK2R b KQkq -,c5a5
r2r3k/1pp2pb1/2n1q1pp/p3p2n/P1N1P3/1PP1BN1P/2Q2PP1/3RR1K1 b - -,h5f6
8/p2r3p/1p4pk/1P1BR3/1b2PPK1/7P/8/8 b - -,d7e7
r1b1r1k1/2q2pbp/1p1p2p1/p2P1P1n/N1Pp4/1P1B3P/P2Q1BP1/1R3RK1 b - -,g7e5
5Q2/2q3p1/3kpp2/8/3P3p/5P1P/b5PK/8 b - -,d6d5
8/6b1/1k5p/2pK1P1P/3p1B2/3P4/8/8 b - -,b6b5
r4rk1/p4p1p/1p3Pp1/q2p4/6P1/PP2QP2/3pN2P/2R1R1K1 w - -,b3b4
3rr1k1/bp3qp1/2p1p3/p2pPpp1/2P1n1P1/PP2P2P/1BQ1KPB1/R4R2 b - -,d5c4
7k/1p4p1/5q1p/p7/Pnpp4/1B1P2QP/1PP2PP1/4K3 w - -,b3c4
8/5k2/7b/3K1N2/P5RP/8/1r6/8 b - -,h6f8
r3k2r/1p1nbpp1/2p1pnbp/q7/4P3/P4NP1/1BPN1PBP/R2QR1K1 b kq -,e8g8
8/8/1p1p4/p2Pp1Pk/P2pP2P/1P2b2K/8/5B2 w - -,f1e2
2rr2k1/1pb2pp1/1q2b1n1/pQ6/P1N1p3/BP4P1/4BP2/2RR2K1 b - -,b6a7
r5k1/pp1N1ppp/5b2/3b4/1nB5/4B1P1/1P3P1P/R5K1 w - -,d7b6
r2qr1k1/pppb1pbp/3p1np1/4N3/4P3/2N1B2P/PPPQBPP1/R4RK1 b - -,d6e5
r1r3k1/ppq2p2/1n2p1p1/6N1/3P1b2/PbPQ4/3B1PP1/RB2R2K w - -,g5e4
r3k2r/pp1n1pbp/2p1pp2/8/2PP4/7P/PP1B1PP1/2KR1B1R w kq -,g2g4
r3r3/1k4bp/ppnq2n1/6B1/3P4/PB1Q1N2/1P3PP1/3R1RK1 b - -,h7h6
7r/1p2kpn1/2p2pr1/4p2p/1P2P2P/3BPRP1/2P2R2/2K5 b - -,g7e8
r5k1/6b1/1q1p2p1/1B1b1pB1/P2P4/4QPP1/1Pr1R1K1/3R4 b - -,a8c8
2rr2k1/1p2p1bp/p5p1/P3P3/4pP2/2B1P3/1P3P1P/R3K2R b KQ -,c8c4
4n1K1/4r3/1P2k1Q1/4p2p/7P/5PP1/8/8 b - -,e8f6
3k4/3bp3/5r1p/1PRP1p2/p7/3B1P1P/8/1K6 w - -,b1b2
2R5/6p1/2n2p1p/pk6/4r1PP/1P3N2/5K2/8 w - -,g4g5
1R6/3q1pbk/r6p/4pNp1/2p1P1P1/2PnB3/5PPK/3Q4 b - -,d7c7
rnbqkb1r/p2p1ppp/5n2/1ppp4/2P2B2/5N2/PP2PPPP/RN1QKB1R w KQkq -,c4d5
r5k1/ppqrbpp1/2p1pn1p/8/2PP4/4BQ1P/PPB2PP1/R5RK b - -,a8d8
3r4/4ppkp/1p4p1/P5P1/P1qP3P/4Q3/5P2/R5K1 b - -,b6a5
r5kb/3nrp2/p3p1pB/1p2P3/q2pRQN1/1P1P2P1/P3RP2/6K1 b - -,a4a5
1r6/4p1k1/p1n1r1p1/2P2pB1/2b5/P3PNPP/3R1PBK/8 w - -,g5f4
7r/p1k1bp2/bpp1p1pp/3rP3/5P1P/3PB2R/PP2KNP1/R7 w - -,a1d1
3rrk2/1bp2ppB/pp3n2/3qN3/3P4/2P2P1Q/P5PP/R3R1K1 b - -,b7c8
2rq1rk1/3n1ppp/4p3/2p5/1pPPBP2/1R2P2P/5P2/3Q1RK1 w - -,e4b7
5R2/6pk/7p/1p6/2bB2P1/5P2/4P1KP/2r5 b - -,c1c2
4B1rk/2p3qp/3p1r2/8/2PPR3/4Q2K/PP4p1/6R1 w - -,e4h4
8/5R2/p4k2/P2r4/8/6p1/5r2/4K3 b - -,f6g5
6r1/2k3r1/1pp1P1p1/p2pKp1p/P1p2P1P/2P3R1/2P2P2/1R6 b - -,g8e8
8/6pp/4p3/1r6/3k4/P6P/1p3PP1/1R3K2 w - -,a3a4
8/6pk/4q3/8/4P1KP/3Q2P1/8/8 w - -,g4f3
5rk1/R4p2/6p1/7p/P2p3P/6P1/1P3P1K/8 w - -,a7c7
5r1k/5p2/1nn1p1pP/2p1P3/p1b2B2/P4NP1/1r3PB1/3RR1K1 w - -,f4g5
r4rk1/ppp2p1p/4b1p1/2P5/8/5B1P/Pb1B1PP1/R3K2R w KQ -,a1b1
r2qrbk1/1ppb1pp1/p1n2n1p/3pp3/4P3/1BPPBN1P/PP3PP1/R2QRNK1 b - -,d7e6
8/3r4/p3pk2/2Bn2R1/1P3p1r/P7/3R4/6K1 w - -,d2g2
r1bq1rk1/pp2ppbp/2n2np1/3p4/3P1B2/2P2N1P/PP1N1PP1/R2QKB1R w KQ -,f1e2
r5k1/p2q2bp/3p2p1/2p1Pb2/1n3P2/2N3Q1/PP3R1P/R1B3K1 w - -,f2d2
r2qr3/p7/1p1p1knQ/2p2p2/2P1p3/1P5P/P4PP1/1R1B1RK1 w - -,d1h5
5k2/7p/2p3p1/3p1p2/5Pnb/3B1Q2/PPP3PP/4q1BK w - -,g2g3
1qr2r2/p2nppkp/1p1p2p1/8/1PP1b3/P3PN2/1Q2BPPP/2RR2K1 b - -,d7f6
r3rk2/1bqn1pbQ/pp1pp1p1/6P1/P3PP2/1NN4R/1PnB2BP/5RK1 b - -,c7c4
8/1r5p/1P2k3/3nb3/3B1p2/5N1P/1R6/5K2 b - -,e5d4
rn1r2k1/p3bppp/1q1ppn2/2p3N1/2P2B2/2N3P1/PPQ1PPKP/R2R4 b - -,b6c6
2kr1bnr/ppp2p1p/q5p1/3Pp3/2Pn4/2N2P2/PP1BBP1P/R2QK1R1 b Q -,f8h6
r1bq1rk1/pp2npbp/2np2p1/2p1p3/P3P3/2PP1NP1/1P3PBP/RNBQ1RK1 w - -,b1a3
8/1p2k3/n4p1p/3p3P/5KP1/P2B4/8/8 b - -,a6c5
r4rk1/p5bp/1p1qp1p1/2Rp4/1P1n2QP/P2BB3/5PP1/5RK1 w - -,c5c1
1r1qr1k1/2nb1pbp/3p2p1/2pPn3/2p2B2/1PN4P/3Q1PPN/R3RBK1 w - -,b3c4
rn1qk2r/p1pbbppp/1p2pn2/6B1/2QP4/2N2N2/PP2PPPP/R3KB1R w KQkq -,e2e4
b5k1/4r2p/6pb/N1p2p2/2P1p2P/4P1PB/1n1NK3/1R6 b - -,h6g7
1n2nrk1/2R2pbp/3p2p1/1bpPP3/1p3P2/6P1/1P4BP/2B1R1K1 w - -,c7b7
r2qkb1r/1p1n1ppp/2p2n2/p2pN3/3P4/P1N1P2P/1P2QPP1/R1B1K2R b KQkq -,d7e5
8/8/4p3/8/2KB4/k4r2/8/1R6 b - -,a3a4
1rb2r2/4qpkp/p1p1p1p1/1pp2n2/2P1N3/3P2P1/PP1NPP1P/R1Q2RK1 w - -,c4b5
2r2rk1/1b4np/3pp1p1/p7/Pp1pP3/1P4P1/2P2P1P/1RN1RBK1 w - -,f1d3
r2q1rk1/pp2ppbp/1np2np1/5b2/2QP2P1/5N1P/PP1NPPB1/R1B2RK1 w - -,c4b3
2r2rk1/pb1n1ppp/1p2pq2/8/3PP3/1B3N1P/P2Q1PP1/3RR1K1 b - -,f8d8
r7/7p/4k1p1/3p2P1/1K1P3P/8/p7/R7 b - -,e6f5
8/1B1Rk3/2P5/4p3/2K1P3/5P1p/P5r1/8 b - -,e7f6
r1b2rk1/pp2qppp/2p5/3nb3/2N5/6P1/PPQ1PPBP/R1B1R1K1 b - -,e5f6
3r2k1/1q1nbpp1/1p5p/r1pp1b2/P2P1B2/2Q1PN2/R3BPPP/2R3K1 w - -,e2b5
1qr2r2/pb2ppkp/1pnp2p1/8/2P1PP2/1P2NB2/P2Q2PP/R4RK1 b - -,e7e5
r3r1k1/8/1q3R1p/2pp4/p5PQ/1P1P4/P2p2K1/3R4 b - -,e8e2
8/2B1k3/1p4K1/6p1/2n3B1/1P2b2P/8/8 b - -,c4d6
r7/5pk1/5b1p/1RBPp1p1/rP4P1/5P2/1K4P1/7R w - -,b5a5
6k1/p3b1pp/1pn5/3pP3/3p4/P2P4/1P3BPP/2N3K1 w - -,b2b4
rnbqkbnr/ppp1p1pp/8/3p1p2/2P5/3P1N2/PP2PPPP/RNBQKB1R b KQkq c3,c7c6
r3k2r/ppp2ppp/1nn1p3/4P3/1bPP1q2/2N2P2/PP1QBB1P/R3K2R b KQkq -,f4d2
r6k/pp1n1q2/3p1b1r/P1pP1p2/2P1pPpP/R3B1P1/1P1QB3/4R2K w - -,h1g2
1b2rnk1/p4pp1/1p3q1p/nP1Bp3/4P3/P1B1QN1P/5PP1/2R3K1 w - -,c3a5
2rr2k1/1q3pbp/2nppnp1/1p6/8/1P1NN1P1/PB2PP1P/2RRQ1K1 w - -,e3c2
5k2/1R6/3pp2p/1Pb4N/4n2N/7P/5rP1/5K2 w - -,f1e1
r3k2r/1pqb1ppp/p3p3/3pP3/1P1n4/P2B4/2P3PP/1RBQ1RK1 w kq -,d1g4
r2qkb1r/pp1n1ppp/3p1n2/2p1p3/4P3/1P3N2/P1PPQPPP/RNB1K2R w KQkq e6,c1b2
r3k2r/1pqbbp2/p2p1np1/4p1Bp/3NPPnP/2N3PB/PPPQ4/1K1R3R w kq -,h3g4
4n1k1/r1p2pp1/N5bp/1P6/3pP3/1P1B1PP1/7P/2R3K1 w - -,c1c4
6k1/5n2/R4B1p/1p3pp1/4b3/P7/1P4PP/6K1 b - -,g8h7
8/5p2/8/P7/1BR2p2/1K1prk2/6r1/8 w - -,c4d4
2rr2k1/4bppp/p2pbn2/4p1B1/q3P3/5B2/1PP2PPP/1R1QRNK1 w - -,f1e3
rn1qk2r/pb2bppp/1p1ppn2/8/2P5/1P3NP1/P1QNPPBP/R1B2RK1 w kq -,c1b2
r1b2rk1/ppq1bppp/4pn2/2p5/3PPB2/2P2NP1/P1Q2PBP/R2R2K1 b - -,c7b6
r3k2r/ppqbnppp/2nbp3/3p4/3P4/2PB1N1P/PP1N1PP1/R1BQR1K1 b kq -,f7f6
8/pr3p2/4rk2/R4R2/3P4/2P5/1PK5/8 b - -,f6e7
6r1/p1pk1r2/1p1b2p1/3P3p/2P1PpbP/2PBB3/PK3R2/4R3 w - -,e3d4
8/p4k2/1p4Rp/1Pp1b2P/2P1Bp2/3P4/5PK1/r7 b - -,a1a2
3N4/2p1kp1p/1r3p2/2n1p3/3R4/6P1/1PK1PP1P/8 w - -,d4c4
r2qk2r/pp3pbp/2n1bnp1/3pP3/4P3/2N1B1PP/PP2NPB1/R2QK2R b KQkq -,f6e4
3r4/4k3/4P3/pppB4/4K3/1P6/3b3R/8 b - -,d2c3
8/1p6/p2p4/P1pP2k1/2P1B1p1/5p2/2P2K2/8 w - -,f2g3
8/8/5p2/pp2k1pp/2p1P3/P2r1P1P/1PK3P1/4R3 b - -,h5h4
r2qk2r/pppb1p2/2np1n1p/6p1/1bPN4/P1N3B1/1P2PPPP/2RQKB1R b Kkq -,c6d4
8/2R1bk1p/4bp2/8/4P3/1p6/r5PP/1R5K w - -,h2h3
2q1k2r/3pbppp/2b1p3/8/1p4P1/4B3/PP1Q3P/K1R4R w k -,e3c5
r2q1rk1/pb1n1ppp/1p1bp3/4N3/2pP4/1P1B4/PB1RQPPP/5RK1 w - -,b3c4
3r2k1/pb3pp1/1p1rp2p/2qnP3/4B3/P4P1P/1P1Q2P1/R3R2K w - -,e5d6
1rbq1rk1/2p1nppp/3p4/4p3/1p2P3/1B1PPN2/1PP3PP/R2Q1RK1 b - -,e7g6
1rb2rk1/2q2pbp/p1npp1p1/1np5/4P2P/P2PN1P1/2PB1PBN/1RQ2R1K b - -,b5c3
6k1/p5p1/3Bp1p1/1p3r2/1P2NP2/P2K2P1/1b5P/8 w - -,d3c2
8/6p1/7p/2k5/3b1qP1/5P2/4Q2P/3B1K2 b - -,f4e3
3r1k1r/1b2qpb1/p1n4p/1p1p2p1/2pP4/2N1PNP1/PP2BPP1/3QRRK1 b - -,f7f5
8/p4pp1/1p1k1n1p/2p5/3r4/P5PP/1PR2PB1/5K2 b - -,a7a5
rr4k1/3qbp1p/p2p1np1/2p1p3/2P1P3/2NQ1P2/RPPB2PP/5RK1 b - -,g8g7
2kr3r/pppb1pp1/1b3nq1/7p/1P1p4/2NP1PPP/P1PB2B1/1R1Q1R1K w - -,c3e4
3r1rk1/1b1nbppp/pq2p3/8/2PpNP2/PP4P1/1BQ3BP/R3R1K1 w - -,b3b4
4r3/pr4k1/6p1/P2P1p1p/1p2p3/1PR1P1P1/4QPP1/6K1 b - -,b4c3
1qr1kb1r/5ppp/2bpp3/1Nn3P1/pp2PP1P/4BQ2/PPPR4/2K2B1R w k -,e3c5
r1b2rk1/1pp1qppp/3p1n2/p1nPp3/2P1P3/1P4PP/P2N1PB1/R2QNRK1 w - -,a2a3
r1b2rk1/pp1n2p1/3qp2p/2b2p2/2B3N1/2P5/PP2QPPP/R1B1R1K1 w - -,e2e6
1r2r1k1/p1np1p1p/1pq2np1/2p5/P1P5/2PQ1NPP/4PPB1/R3R1K1 b - -,c6e4
r3b3/2q1p1kp/3r1np1/2pPN3/P1P2QN1/7P/2B3P1/5RK1 b - -,g7g8
r1b1k2r/p2nq1pp/1ppbpn2/3p1p2/2PP4/1P3NP1/PBQNPPBP/R4RK1 b kq -,c8b7
5bk1/4r3/2R1p2p/3p2pP/2p3N1/5P2/5KP1/8 b - -,f8g7
r1bq1rk1/pp2bppp/2n2n2/3p4/N2N4/6P1/PP2PPBP/R1BQ1RK1 b - -,d8a5
r2q1rk1/1p1b1pb1/pn1p1np1/3Pp1Bp/4P2P/2NB1PN1/PP1Q2P1/R3K2R w KQ -,b2b3
rn1qkb1r/pp3ppp/2p1pn2/3p4/2P5/1PN1PQ1P/P2P1PP1/R1B1KB1R b KQkq -,b8d7
r2q1rk1/pp1n1pbp/5np1/3ppP2/2p1P3/1P1P1N2/PBPNQ1PP/R4RK1 b - -,c4d3
q4rk1/pb4pp/1p1Q4/5pn1/4P3/8/PPP3BP/R4R1K w - f6,d6d2
5K2/8/8/5pqk/8/8/6p1/6Q1 b - -,g5g3
2r1r1k1/1b3ppp/p5Q1/1n2p3/1P2P3/4B1N1/5PPP/R3R1K1 b - -,h7g6
2r1q2k/1p2bp1p/p2p4/2p2P1n/P2nN3/1B2BP2/1PP1Q2P/6RK w - -,e3d4
8/p1r2p2/4n1pp/2pBk3/2P2p2/3K3P/5PP1/4R3 b - -,e5f5
r3kb1r/p2npppp/1p3n2/1N1p4/3P1B2/4P3/P2qNPPP/1R2K2R w Kkq -,e1d2
rnb1kb1r/ppp2ppp/5q2/4p3/2PP4/2P2N2/P4PPP/R1BQKB1R b KQkq -,b8c6:e5d4
2k5/2p5/p2p4/1p6/1P6/5r2/P1P5/1K1R4 w - -,b1b2
5N2/4n3/2k2pp1/7p/4K2P/6P1/8/8 w - -,f8h7
3r1rk1/pp3pbp/2n1p1p1/1B1q4/3P4/4BQ2/PP3PPP/2RR2K1 w - -,f3d5
3r1k2/Q7/1n6/1Pb1r1p1/2p4P/2P3P1/1P4BK/2B5 b - -,e5e7
r1bqnrk1/ppp1n1bp/3p2pB/3Ppp2/2P1P3/2N2P2/PP1QN1PP/R3KB1R w KQ f6,e1c1
r1bqkbnr/2p4p/p1pp1pp1/4p3/3PP3/2N2N2/PPP2PPP/R1BQK2R w KQkq -,d1d3
3R4/6pk/5r1p/8/P2b4/3N2P1/5PKP/8 b - -,d4b6
rr6/4p2p/p1p1k3/2B1P3/RP4P1/7P/2K3b1/5R2 w - -,f1a1
r2qk2r/p1pb1ppp/1b6/3pP3/2pN1P2/2P1B3/P1P3PP/R2Q1RK1 b kq -,c7c5
1r3r1k/1R3qb1/3pbn1p/4p1p1/2P2p2/1QNP2P1/3BPPBP/5RK1 b - -,b8b7
5rn1/1pp2pk1/p2p3p/3P1Q2/3P4/2P2R1P/1P4P1/q5K1 w - -,g1h2
8/3Qr1k1/3n1p1p/1p1q2pP/3P4/2P5/1PB3P1/6K1 w - -,d7e7
r4k1r/3n3p/p2R1pq1/2p1pb2/2B3QB/1P5P/3P1PP1/R5K1 w - -,g4g6
6k1/1R6/4p3/3n4/6PK/2B2P2/4b3/8 w - -,c3e5
2r1r1k1/1p3p1p/pq1p2p1/3Pn3/P3BQ2/8/1PP3PP/R4R1K w - -,a1a3
8/5pk1/3n2p1/3Pp1q1/4P1P1/3N1Q2/4KP2/8 w - -,f3g3
8/6pk/b6p/5p2/NbqB4/3n1PP1/4N1KP/3Q4 b - -,c4d5
6k1/5R2/6K1/2b5/8/8/8/8 b - -,c5g1
2k3rr/1pqb1p2/p3p2n/3pP2P/P1n2PP1/2N4R/2P1B3/1RBQK3 b - -,c7c5
1rb4r/2kn2pp/pNR2p2/4p3/1R6/6P1/1P2PPBP/6K1 b - -,c7d8
8/5p1k/6pp/1P1Q4/3r2P1/7P/1P2RPK1/8 b - -,d4d5
2r3k1/p4pp1/4p2p/2q4P/2p3P1/1P6/P1Q5/1K1R4 b - -,c4c3
r1bqkb1r/1ppp1ppp/p1n5/8/B2pn3/5N2/PPP2PPP/RNBQR1K1 b kq -,d7d5
r1b2rk1/1p3pb1/p2p1npp/q1pPn1B1/P3P3/2N2PN1/1P2B1PP/R2Q1RK1 w - -,g5e3
3r1bk1/5p1p/ppQ5/3B2p1/8/2P1N1BP/qP3PPK/8 b - -,a2a5
r4r2/pp2p1kp/2p1q1pP/3bP3/2pP1R2/2P3P1/P2Q2B1/5RK1 b - -,g7g8
2r3k1/pp3pb1/3p2p1/7p/3N1Bb1/2PR4/q1P4Q/2K1R3 b - -,g7d4
2rq1rk1/3b2p1/2p1pb1p/p2pPp2/1pP5/PP4P1/1BQ1PPBP/2RR2K1 b - -,f6e7
1r1r2k1/2nqbpp1/p2p3p/P2Bp3/4P3/1P4PP/1BP2P2/R2QR1K1 b - -,d7h3
2kr3r/pppqbppp/1nn1p3/4Pb2/2PP4/2N1BN2/PP2B1PP/R2Q1RK1 w - -,d4d5
8/8/5Rp1/p2k3p/7P/6P1/r4PK1/8 b - -,a5a4
2r1rbk1/3q1p1p/p3p1p1/1pRp4/1n1P4/1P2P1P1/PB3PBP/1QR3K1 w - -,c5c8
2Q3k1/5pp1/1p5p/3p4/3Pq1P1/1RP3bP/PKn5/2B5 b - -,g8h7
1r3r1k/pp2qp2/3b2p1/6n1/1B1Pp3/1Q2P1P1/P4PBP/1RR3K1 w - -,a2a3
r7/pp4k1/n2n2pp/2pNp1q1/4P3/6PB/PP1Q3P/5RK1 w - -,d2f2
r2qkb1r/p2n1p2/1pp1p1p1/1b1pPn1p/3P1N2/1BP2Q2/PP2NPPP/R1B2RK1 b kq -,f5h4
3r1k2/pp2pp1p/1bp3p1/6B1/8/1PPn2P1/1P3PKP/R2R4 b - -,f7f6
3qr3/3b1k1p/4np2/2p3p1/1p4P1/1P2R2P/rB1Q1P2/4RBK1 w - -,f1c4
4r1k1/1b2bp2/6pp/p1np4/Pp1Nn1P1/1P2P2P/2R1NPB1/3R2K1 b - -,e7h4
1r5k/6pp/3p3b/n3p3/1N2PpBP/1PR5/P4PP1/4K3 b - -,g7g6
5r2/1p3pbk/p1n1p1pp/4P3/3R1B1P/8/PPB1RPP1/6K1 b - -,c6d4
8/1k1n3q/2p5/1pPp2Qp/1P3N2/4R2P/5PK1/r7 w - -,f4g6
3r4/1p4kp/p1p2Pp1/2PbPP1P/5KP1/8/1P6/R7 b - -,g7f7
2r5/2r1kp2/1p1pp1p1/pP2b1Pp/P1P4P/3RNP2/3RPK2/8 b - -,c7c5
r1bqkb1r/ppp2p2/4pp1p/8/3PB3/5N2/PPP1QPPP/R3K2R b KQkq -,c7c6
r2q1rk1/p2n2p1/4pb1p/2pp4/8/1QN1P3/PP2BPPP/3RK2R b K -,a8b8
8/7R/k5pP/2p1N1P1/p3rP2/Pb6/8/3K4 w - -,d1d2
r1bq1rk1/4p1b1/p2p4/2pPn1pp/1pP1Pp2/1P3P1P/P2NQBP1/1NR2RK1 b - -,d8e8
2rqk2r/1b3ppp/p3pn2/1pn5/8/5NP1/PPQ1PPBP/RN1R2K1 b k -,d8b6
3q2k1/5pp1/1p2pb1p/p1n5/2P5/1P2B3/P3QPPP/1B4K1 w - -,e2d2
r4rk1/1bqnbppp/p2pp3/6PP/1P1NnP2/2p1B1N1/P5B1/R2Q1RK1 w - -,g3e4
6k1/1p1r2p1/1pPp3p/4p3/1P2P3/5P1P/R4KP1/8 b - -,b7c6
3r4/1p3p2/p3b3/6kp/1R6/P1B2P2/1P3P1K/8 b - -,d8d3
rnbqk2r/ppp1ppbp/3p1np1/8/3PP3/4BP2/PPPQ2PP/RN2KBNR b KQkq -,c7c6:a7a6
8/7k/6R1/2n2p1P/P1B5/1P2K3/8/r7 w - -,e3f4
rn1qkbnr/pppb1ppp/4p3/8/3Pp3/5N2/PPPN1PPP/R1BQKB1R w KQkq -,d2e4
R2R4/2r2pk1/8/6Pp/2P2p1P/8/7r/5K2 w - -,d8g8
5kr1/pp2rp2/2nqpn1p/3p1p2/3P3P/2PN2P1/PP1QRP1N/4R1K1 b - -,f8g7
8/3r1k1p/5b2/5pp1/8/1R1N1KPP/8/8 w - -,d3c5
6B1/ppp5/2k2Bb1/7p/4n2P/8/PP3PK1/8 w - -,f6d4
2rr4/1p3p1k/p1p3p1/2P1p2p/3nP2P/4KPP1/PP4B1/2R1R3 b - -,c8c7
3rkb1r/nbq2ppp/pp1ppB2/8/1PP5/2NQ1NP1/P3PPBP/2RR2K1 b k -,g7f6
6k1/4pp1p/1qNp1bp1/2nP4/2B1P3/1Pp3P1/r3RP1P/3Q2K1 b - -,a2e2
4k2r/np1b3p/1q2pp1p/pP1pP3/P2b4/1N1B1N2/2r2PPP/3Q1RK1 w k -,b3d4
5r1k/3P2bp/PR4p1/R3p3/4q3/1N4Q1/KPn4P/5r2 b - -,e4c4
2r2rk1/3n3p/p1p1p1q1/Pp2P1p1/3P2Pb/4B3/1P1N2QP/R4RK1 w - -,g2e4
8/1b4kp/p5p1/1ppP1p2/8/1P4q1/1Pr2PPP/3R1K2 w - -,h2g3
r3r1k1/p1q3pp/1pp1np2/2Pp4/1P6/2Q3PP/PN2PRK1/3R4 b - -,b6c5
1r2n1k1/p7/5p1p/2r1N2P/1pP3R1/8/PBP5/2K1R3 b - -,g8h8
r1b1r1k1/pp2qpbp/3p1np1/1BpP4/1n2P3/2N2N2/PP3PPP/RQBR2K1 b - -,c8d7
rnq2rk1/pp1b1pbp/2pp1np1/3Pp3/2P1P1P1/1QN1BP2/PP1N3P/R3KB1R b KQ g3,b8a6
r2qk2r/3n1ppp/p2bp3/1p1p3n/3P4/3QB1P1/PP1NPPBP/R4RK1 b kq -,d7b6
r1q2rk1/pp2bpp1/1np1p2p/8/3PbB2/1Q2P2P/PP2BPP1/2R1NRK1 b - -,b6d5
r2q1rk1/1bpn1pbp/1pnpp1p1/p7/2PP4/P1N1PN1P/1P2BPPB/R2Q1RK1 w - a6,a1c1
3R4/8/5kp1/P4n2/3p4/1R4P1/6K1/7r b - -,h1a1
8/8/5n2/5P1p/7K/k7/8/8 b - -,a3b4
r2q1rk1/1p3ppp/p1n2bn1/3p4/5Bb1/P1N1P2P/1P2NPP1/1BRQ1RK1 b - -,g4e2
r3k2r/3q2bp/p1p2np1/2p5/Q1B2Bb1/2N5/PP4PP/4RRK1 b kq -,e8f8
