8/6r1/6Pp/p1k4P/Kp3R2/8/PP6/8 w - -,f4f7
4r3/p4k2/1pbqpP2/2p1Rp1p/3p1P2/3P2P1/PPP1Q2K/4R3 b - -,f7f6
4r3/2q3kp/2p2pp1/2P5/1PQp4/3P2P1/5R1P/R3r1K1 w - -,a1e1
3r4/6kp/p3Q1p1/2q5/3r1PP1/1P1b1B2/P4R1P/5RK1 w - -,f1e1
6R1/8/8/1PP5/8/4P2k/4K1p1/5r2 b - -,g2g1q
2q1rnk1/r4pp1/p1pBP2p/b1P5/1P6/PQ6/5PPP/3RR1K1 b - -,e8e6
r2q1rk1/ppp2pbp/2n2np1/3Pp3/2p1P1b1/2N1BNP1/PP3PBP/R2Q1RK1 b - -,c6a5
r1br2k1/ppq2p1p/2n3p1/4p3/5b2/2P2N1P/PP1NQPP1/R3RBK1 b - -,f4h6
2kr3r/1pqbbp1p/p3p3/2npP3/3B1PB1/P1N3P1/1PPQ3P/R3K2R w KQ -,d2e3
2rr2k1/p4p2/1p2pb2/2p4p/2P3N1/P2P1qPK/Q2B3P/1R3R2 b - -,h5g4
r1b1k2r/1pqp1ppp/p1nbpn2/8/3NP3/2NBB3/PPP2PPP/R2Q1R1K b kq -,h7h5
r2qk2r/2p2ppp/p2p1n2/npb1p3/P3P3/1BP2Q1P/1P1P1PP1/RNB2RK1 w kq -,b3c2
8/8/r5P1/7P/3b1KB1/2kp4/8/8 b - -,d4g7
3r2k1/7p/p1q3p1/1p2Q1N1/3p1P2/6KP/PP4P1/8 w - -,g5e6
nk3b1r/2n2p2/2qNp1p1/1p1pP2p/2pP1B1P/2P3P1/R1B2PK1/Q7 w - -,d6f7
r1b1k2r/pppn1ppp/3qpn2/3p4/3P4/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,b1d2
r1bq1rk1/ppp1bppp/1n3n2/8/2BP4/2N2N2/PP3PPP/R1BQ1RK1 w - -,c4b3
r3r1k1/3nqp1p/p1p3p1/1p1p3n/PP1P4/2NQP2P/3N1PP1/R4RK1 w - -,a1b1
1n4k1/p4p1p/b1n1p3/2p5/2P2P2/P3P3/7P/2R1NBK1 w - -,g1f2
3rr3/pp1kb2p/2n1R1pB/3p4/8/1BP5/P4PPP/4R1K1 b - -,e7f6
r1bqk2r/pp1n1pp1/5n1p/2bp4/8/2N1PN2/PPQB1PPP/R3KB1R b KQkq -,e8g8
2rr2k1/p3qpp1/Pnp1p1b1/bp4p1/3PP1P1/3BQ1BP/NP3P2/2RR2K1 w - -,d3e2
8/5k2/5p2/3R2p1/3pr1P1/8/5K2/8 w - -,f2f3
8/1p2kp2/1n2p1p1/p1p5/2Pb3p/PB5P/1P1RK1P1/8 b - -,e6e5
4rrk1/pn3p2/6p1/1QBp1q2/P7/2P5/5PPP/2R3K1 w - -,c5f8
4r1k1/ppp1rppp/2q2b2/P1P5/2Qp1B2/nP5P/3RNPP1/6KR w - -,c4b4
2r1kb1r/pp1bnpp1/1qn1p3/3pP3/3P2p1/5N1P/PPN1BP2/1RBQ1RK1 w k -,h3g4
2k4r/pp3p2/2p1p1p1/2n4p/2Pb1PnP/1PN3P1/P4PB1/3R2K1 w - -,d1d4
2r2r2/pp2qpkp/1n4p1/4p3/3n4/2N3PP/PP2PPB1/R1QR2K1 w - -,g1f1
b5k1/p3q2p/P2Np1p1/7r/3p2Q1/4r1P1/1PP2P1P/R3R1K1 w - -,f2e3
rn3rk1/pQ2ppbp/1q2bnp1/2pp4/2PP1B2/2N1P3/PP3PPP/2R1KBNR w K -,b7b6
r2r2k1/2q1bppp/2p5/ppn1pP2/8/P1N1Q1P1/1PP2PBP/R2R2K1 w - -,f5f6
rnb1k2r/pp2ppbp/3p1np1/2q4P/4P3/2N5/PPPBBPP1/R2QK1NR b KQkq -,e8g8
r1b3k1/1pp1qp1p/p2r2pQ/3Pp3/2n1P2P/2N2P2/PP3NP1/1K1R3R w - -,h6c1
r4rk1/pp2q1pp/2n1p3/3p1p2/3PpP2/2P1P2P/PP1NQ1P1/R3R1K1 b - -,e7h4
r4k1r/4b3/ppq3p1/2pR1pNp/5p2/7P/PPQ3P1/3R2K1 w - -,g5f3
8/6b1/8/2k2pp1/2n5/3NpPP1/4K3/8 b - -,c5d4
r2q1rk1/1bp2ppp/pbnp1n2/1p2p3/3PP3/1BP1BN1P/PP3PP1/RN1Q1RK1 w - -,b1d2
4B3/5p1p/6p1/p5P1/P2k1K1P/1b6/8/8 w - -,e8b5
2b5/1p6/p1p2r2/P1P1p1kp/2B1P3/5RP1/2P3K1/8 b - -,c8h3
4k2r/1p2bp2/3Bqn1p/pP2p1p1/2N5/QP3P2/6PP/3R2K1 b - -,b7b6
8/1pr1pq1p/p1bp2pk/8/P3pP2/4Q2P/1R4P1/2R4K w - -,f4f5
r4rk1/1qpnbppp/1p1p4/p2Pp3/2P1P1P1/4B3/PP1Q1PNP/2R2RK1 b - -,f8c8
r4rk1/p4pbp/2p3p1/3n4/5B2/1P3N2/P4PPP/2KR1R2 w - -,f4e5
r2q1rk1/pb1nbppp/2p1pn2/1p4B1/3P4/2NBPN2/PP3PPP/2RQK2R w K -,e1g1
r4rk1/p2nppbp/b2p2p1/2p5/N3P3/1BP1BP2/PP4PP/R3K2R b KQ -,d7e5
rn1q1rk1/p3bppp/1pp5/3pP3/3P2b1/P2Q1N2/1PBB1PPP/R3K2R b KQ -,g7g6
6k1/3q4/4p1p1/2pr2P1/1pN1R2P/pP6/P1P5/2K1R3 b - -,d7g7:d5d4
r1b1k2r/pp2bp2/8/3p1p1P/5q2/3B4/5PP1/BR1Q2K1 w kq -,a1h8
8/6k1/3r4/pB1P2P1/Pn3p2/8/1P6/3R2K1 w - -,b5c4
r1bqk1nr/1p3p1p/p2pp1p1/8/P2bP3/8/1P1PBPPP/RNBQK2R w KQkq -,e1g1
r1bqk1nr/p3ppbp/2pp2p1/2p5/4P3/3P1N1P/PPP2PP1/RNBQ1RK1 b kq -,e7e5
2r1k2r/p2p1p1p/bp2p3/4n1p1/4PP2/PNPP2P1/2KR2BP/7R b k f3,g5f4
7R/K3k3/pB6/P7/8/8/8/5q2 b - -,e7d7
3r2k1/3r3p/1ppn1pp1/p1p1p3/P1PPP3/2P1K2P/1B1N1PP1/1R6 b - -,c5d4
1r4k1/5p1p/6p1/1p2p3/1R6/3P2P1/2r1PP1P/4RK2 w - b6,e1b1
1b1rr1k1/1p3ppp/p6q/3p4/1PnNn3/P3P1P1/1BR1NPKP/3Q1R2 w - -,b2c1
1r6/7p/p1knb1p1/1p2P3/PP5P/2P5/4B3/2KR4 b - -,d6f7
2br4/p3kp2/1p1N2p1/P1p1P2p/5P2/4K3/6PP/2R5 b - -,c8d7
8/1p1k1p2/p1pq1n2/4Q2p/7P/3N4/PPPK1PP1/8 w - -,d2e2
8/7p/Rk1p1p2/1B1Pp3/1p2K1P1/8/1PP2r1P/8 b - -,b6b5
r2r2k1/p1p1p2p/1np3p1/4qb2/4N3/1P1PBP2/P3PQ1P/R2R2K1 w - -,a1c1
8/6R1/3k1p2/6Pp/2p3b1/4K3/1P6/8 b - -,d6e6
r1bqk2r/4bppp/ppn1pn2/2p5/P2pPP2/3P1NP1/1PP1N1BP/R1BQ1RK1 b kq -,c8b7
8/1p6/2k1K3/P1P5/1B2r3/P7/8/8 w - -,e6f5
4r3/p3b2p/3pknp1/P4p2/1B2p3/1PP3P1/3RNP1P/5K2 b - -,f6d5
r2q1rk1/pp3ppp/5n2/b2p4/3n4/P1N2B2/1P1B1PPP/R2Q1RK1 w - -,d2g5
q7/3k4/3n3p/PbQpB3/2p3p1/6P1/5PBP/6K1 b - -,a8c6
r1br2k1/1p3p1p/1nn3pQ/p3pPP1/Pq1pP3/1N1B4/1PPN3P/2K2RR1 b - -,b4f8
r2qk2r/1b3pp1/p1n1p2p/3pP2P/1b3B2/2NP1N1R/1P3PP1/R2QK3 w Qkq -,e1f1
r1b2rk1/p6p/1p1n2p1/3Pbp2/8/2N1BR1P/PP2B1P1/3R2K1 b - -,c8d7
4Q3/6p1/7p/4k3/3q3P/2p5/P5PK/8 b - -,e5f4
rr4k1/1p1bqppp/2p1p3/2PpP3/1P1Q4/3P2P1/5PBP/R3R1K1 b - -,e7d8
5rk1/3qppbp/b2p2p1/p3P3/2nP1P2/1QN3PP/5BB1/R5K1 b - -,f8c8
2k2b1r/Bp1q1pp1/3pp1b1/7p/4P1P1/2P4P/PP2QP2/R2R2K1 w - h6,e2c4
r2r2k1/pbq1ppbp/1pn3p1/2p1N1B1/2N1P3/2P5/PPQ2PPP/R3RBK1 b - -,c6e5
2r2rk1/1pq1bppp/2n1p3/1P1pPn2/3P4/3Q1N2/2NB1PPP/1RR3K1 b - -,c6b8
5r1k/1p1r2qp/p7/3b1p2/1P1p4/3B3P/P4QP1/3RR1K1 w - -,g1h2
4r2k/pp3nbp/2p2pp1/6q1/3P4/1PPN3B/P1Q3PP/4RK2 b - -,e8e1
2B5/1n6/p1k5/Pp1pB3/1P6/1KP5/2Pb4/8 b - -,d2g5
r1bq1rk1/1p1nbppp/2pp4/p1nPp3/2P1P3/1PN1BP2/P2QN1PP/R3KB1R w KQ -,g2g4
3kr1q1/pp5b/1nn1pp1B/8/2pPp3/2P3N1/PP1QBP2/2K3R1 w - -,g1e1
2rq1rk1/4bppp/pn1p1n2/7b/P2pP3/5N1P/2BN1PP1/R1BQR1K1 w - -,c2d3
r2q1rk1/1bp1bppp/p1np4/P2Bp3/1p2P3/3P1N2/1PP2PPP/R1BQ1RK1 b - -,a8b8
8/5p1p/p7/1pb5/4p3/1P4kP/P1N3P1/5K2 b - -,f7f5
r3k2r/pq2npbp/2b1p1p1/2pp1P2/1p2P2Q/3PNN2/PPPB2PP/4RRK1 b kq -,d5e4
7r/8/5p2/3pk2p/7K/4R3/6P1/8 b - -,e5d4
4k3/7p/8/2pK1P2/2rpP3/3r4/8/3R4 w - -,d1d3
r1b2r2/1p4k1/2p1npp1/p1b1p2p/P1P1P3/1P3P1P/1BNR2PK/3R1B2 b - -,g7f7
2R1n3/p2r1q2/4p1k1/PPQ2p1p/6pP/4P3/5PP1/2R3K1 w - -,c5c6
r2q1rk1/5ppp/p2bpn2/n2p4/Pp1P4/3QPN2/1P1N1PPP/R1B2RK1 w - -,b2b3
8/6p1/5p2/7p/pP1k3P/Pr3P2/6P1/2BK4 w - -,d1c2
5r1k/p4p1p/5q1r/3P1Bp1/4PPRb/7Q/P6P/6RK w - -,h3g2
r1bq1rk1/1p1nppbp/1np3p1/p7/P2PP3/1QN1B3/1P2BPPP/R3K1NR w KQ -,d4d5
2rq2k1/5rb1/R1b1p1pp/1ppnPp2/3p1P2/3P1B1N/1PPB2PP/4QR1K b - -,d8d7
4k3/2n2q1r/r3ppN1/p2p1P2/1ppP4/2P2P2/PP2QK2/6RR w - -,g6h8
2r2r1k/2qn1pp1/2p2np1/ppb5/4P3/PB3PP1/1PQBN2P/3R1R1K b - -,c7a7
r3k2r/3qnp2/3p2pB/p1pPp2p/Pp2P2P/3P1NP1/1P3PK1/R2Q3R b kq -,h8h6
8/5pp1/7p/r3kPP1/1p5P/8/3K4/8 b - -,h6g5
1kn5/2Nr2p1/1p6/1P2P3/5P2/4B3/1KR5/8 w - -,c7a6
r5k1/ppp2rbp/2n1qp1n/2P1p1p1/Q3P3/2N2NB1/PP3PPP/R4RK1 w - -,h2h3
2r4k/5RRp/7p/4p3/4q3/6QP/1Pr3PK/8 w - -,g7h7
r2qk2r/pp1nbppp/1n1p2b1/3Pp1P1/7N/2N1B2P/PPP1QP2/2KR1BR1 b kq -,a8c8
3n4/2n1k1pp/p3r3/8/P3N3/5P2/1PP3PP/2KR4 b - -,d8b7
r4r2/1p3pkp/p1p2np1/8/3q4/4PB1P/PP3PP1/R4RK1 w - -,e3d4
8/8/2Np2pb/3P4/5k2/8/4K3/8 w - -,c6e7
r3k2r/1p1q1pb1/p1b1p1p1/3pPnBp/3P3P/2N4R/PP1Q1PPN/2R1K3 w kq -,e1f1
2Q2k2/pR2rp2/8/4b1PB/8/8/2nq1P2/6K1 b - -,f8g7
8/3Q4/1K6/4k3/4n3/2r1p3/8/8 w - -,d7e7
3r2k1/5ppp/3qp3/P5Q1/1p2P3/1P4PP/1B3PK1/8 b - -,f7f6
r1nqkb1r/2p2ppp/p1n1p3/1p1p3b/3P4/2P1PN1P/PPBN1PP1/R1BQK2R w KQkq -,a2a4
8/p4k2/1p2b1p1/4bpB1/4p3/P1P1K3/1P1N4/8 w - -,d2b1
3R4/2r5/2P5/1P2pp2/1k2n1p1/N5K1/8/8 w - -,g3g2
r2q1rk1/pbp1bppp/1p2pn2/n7/2pPP3/P1N1BNP1/1PQ2PBP/R2R2K1 b - -,d8c8
r7/5k2/5b1p/P2R4/2N2PP1/1p6/1P5P/5K2 w - -,d5b5
8/8/8/1R4p1/2P2b1p/p2K3P/k7/8 w - -,d3c2
rn1q1rk1/pbp1bppp/1p2pn2/3p4/3P1B2/3BPN1P/PPPN1PP1/R2QK2R w KQ d6,c2c3:f3e5
3rr1k1/pp1bqpp1/5n1p/2bp4/3n4/P2PBNPP/1P3PBK/2RQ3R w - -,f3d4
2r2rk1/3b2pp/p2p2q1/1p1Ppp2/3nP3/BP1B1P2/P2Q2PP/2KR3R w - -,c1b1
2rq4/3p1r1k/1p1b1np1/p1pP1p1p/P1Q2P2/2B1R1P1/1P3PBP/4R1K1 w - -,h2h3
r2bk3/5pp1/P1b4p/1p1Np3/1P2P1P1/1B5P/RK6/8 b - -,e8d7
3k4/6p1/4p3/4Pp2/1p5R/8/PPr3PP/6K1 w - -,h4b4
8/p1Rrkp2/1p2p1p1/r6p/P3P2P/1K1P2P1/2R2P2/8 b - e3,e7d8
r1bqnrk1/pp2ppbp/2np2p1/2p5/4P3/1PNP2P1/PBP1NPBP/R2Q1RK1 b - -,f7f5
8/1p5p/1pk3b1/6P1/P1PB1P2/1PKp4/8/8 w - -,d4f6
3r2k1/pbq4p/3r2p1/1p1p1p2/1PpR3P/4PBP1/P2Q1PK1/3R4 w - -,h4h5
3kr2r/pp1n1p2/2pb1p2/3p1B1p/3P3P/1PN3P1/P1P2P2/2KR3R b - -,d7f8
2rq1rk1/1p2ppbp/3pbnp1/p1nN4/2PNP3/1P2BP2/P3B1PP/2RRQ1K1 w - -,d5c3
r1k4r/1p3ppp/p2Pp3/3p4/PRP1n3/8/4BPPP/3R2K1 b - -,e4d6
8/7B/8/p7/n7/1Kp5/3k4/8 b - -,a4c5
r1bq1rk1/pp2bppp/1np1pn2/8/3P1B2/2N1PN2/PPQ1BPPP/R3K2R b KQ -,c6c5
rnbqk2r/pp2bppp/2p2n2/4N3/4P3/2PB4/PP3PPP/RNBQK2R b KQkq -,d8c7
7r/1K6/5k2/1P4r1/P1BR4/8/8/8 b - -,g5g6
r1bqkbnr/pp3ppp/3pp3/8/2BpP3/2N5/PPPP1PPP/R1BQK2R w KQkq -,c3e2
8/6p1/pN1R3p/4ppk1/8/1r4P1/6K1/5R2 w - -,b6d7
2rr2k1/4bppp/1q2p3/3pB3/R2P2P1/1p2Q2P/1Pb1PPB1/2R3K1 b - -,c8a8
8/p4kp1/1p6/8/P6p/2P3bP/1P2r1P1/1R4BK w - -,g1d4
rn1qkb1r/1bp2ppp/p3pn2/8/PppP4/5NP1/1P2PPBP/RNBQ1RK1 b kq -,b7d5
r2qk2r/pp1b1ppp/2n2n2/2bp4/8/4PN2/PP2BPPP/RNBQ1RK1 w kq -,b1c3
3r1r1k/1p2q1pp/3p4/p2P1pPP/P7/2PpP1Q1/1P3R2/1K1R4 w - -,f2f4
r3k2r/1p2ppb1/p1n3pp/8/3P2b1/1PP1BN1P/4BPP1/R4RK1 b kq -,g4d7
1r3rk1/p3ppbp/qn1p1np1/N1pP4/4P3/1PB2N1P/P1Q2PP1/R3R1K1 b - -,b8c8
8/1p2k3/4pb2/p1P2pBp/1Pn4P/2P3P1/4K3/3B4 b - -,f6g5
r4rk1/1q4bp/3p1np1/p1p1pp2/2P1P3/2N2NPP/PP2QP2/3RR1K1 b - -,f6e4
r1b2b2/pp3k1Q/3q2p1/1p6/4n3/8/PPP2PPP/R1B2RK1 b - -,f8g7
r3r1k1/1p4bp/2pp2p1/4p1q1/1PP1P3/6P1/4NPKP/1R1Q1R2 b - -,g5g4
2rr4/2p3k1/bp2qppp/3p4/1P1P4/2Q1PN2/5PPP/2RR2K1 w - -,f3d2
r4rk1/p2n1pp1/2R1p2p/3p4/3N1B2/2NbP2P/1P3PP1/4K2R b K -,e6e5
r7/4Np1k/1p4p1/6Qp/p1b4P/3q1PP1/P3R1K1/8 w - -,e2d2
1rR5/8/4p1p1/1r1p1q1p/4k2P/6P1/2Q2P1K/8 b - -,e4e5
r1bqkbnr/pppp1ppp/2n5/4p3/2P5/P1N5/1P1PPPPP/R1BQKBNR b KQkq -,g7g6
8/p1p1R1b1/1pPk2p1/1P5p/P7/4P1P1/4NPK1/8 b - -,d6e7
8/pp3k1p/6p1/2B5/6P1/1PP1n2P/P7/3n1BK1 b - -,e3f1
5rk1/5ppp/2q1pn2/p7/Pb1P4/2p3P1/2Q1PP1P/R1BR2K1 w - -,c1a3
7k/6p1/Q6p/2q1p1b1/1pB1P3/2p4P/2P3P1/7K b - -,c5f8
r2q1rk1/pppnn1pp/3b1p2/3p4/3P3B/1PPb1N2/P4PPP/RN1Q1RK1 w - -,d1d3
r1bqkbnr/pppp1ppp/2n5/8/4P3/2Pp1N2/PP3PPP/RNBQKB1R w KQkq -,f1d3
7K/5k2/7P/8/R7/8/6r1/8 w - -,h6h7
r1q3k1/6bp/pP4p1/P3pb2/1P1p4/1N1Q4/3BB1PP/1R4K1 w - -,d3c4
q3kb1r/2rn1ppp/p1b1pn2/8/NpP2B2/5NP1/PP3PBP/R2QR1K1 b k -,c7c8
3r2k1/p2n1pp1/1p2p2p/6q1/8/P2BPP2/1P2QP1P/5R1K w - -,f1g1
3r4/p1q1pk1p/1p1r1p2/n1p2Pp1/2P1B3/3P2P1/PR2P2P/2Q2RK1 b - -,a5c6
r6k/6b1/p3pnqp/2B5/4p3/2P5/1PB1Q1PP/5R1K w - -,f1f6
5k2/5p2/6p1/4R1P1/5PK1/1r2P3/8/8 w - -,e3e4
r1b2rk1/ppq1ppbp/2n3p1/2p5/2BPP3/2P1B3/P3NPPP/2RQ1RK1 b - -,b7b6:f8d8:c8g4:e7e6
4r2k/p1nn1qpp/1p6/3pPP2/2pP3r/P1P1NQ2/4R2P/2B1R2K w - -,e3g2
r1bqr1k1/1pp2pb1/3p1npp/p1n3B1/2PNP3/2N3PP/PP3PB1/R2QR1K1 w - -,g5f4
1r3rk1/2q1ppbp/p2p1np1/2pP4/2P5/P5P1/1BQ1PPBP/1R3RK1 b - -,f6d7
3rr1kb/2p1pq1p/p4p1P/1p2PB2/2nP3B/2P5/P1Q2P1K/3RR3 b - -,f6e5
rn1qkb1r/ppp2ppp/4pn2/3p4/3P2b1/4PN2/PPPNBPPP/R1BQK2R b KQkq -,c7c5:f8d6
r1bqr1k1/1p1n1pbp/2pp1np1/4p3/p1PPP3/2N1BNPP/PPQ2PB1/R2R2K1 b - -,d8a5
r1bq1rk1/p1pnnpbp/1p1pp1p1/8/2PPP3/2N2NP1/PPQ2PBP/R1B2RK1 b - -,c8b7
2r3k1/2r1qp1p/2Pp2p1/1pn1p1b1/p3P1P1/P1B2P1P/1PB1Q1K1/3R1R2 b - -,c8b8
8/8/3pk3/6K1/1n6/1B6/8/B7 b - -,d6d5
2k2r1r/pR6/3p2p1/3B4/1PPp3b/P7/3B4/1b4K1 b - -,h4f2
r2q1rk1/1pp1n1pp/1p1p1n2/1B2p3/4P3/1N3Q2/PPP2PPP/R4RK1 w - -,g2g3
r1bqkb1r/pp3ppp/2np4/2p1P3/3p1P2/1P4Q1/PBPP2PP/RN2K1NR b KQkq f3,c8f5
1Rb5/1pr4k/5Qp1/2p2p1p/2B4P/4P1P1/3q1PK1/8 b - -,d2c2
4r1k1/p2qrppp/1p6/2ppP1P1/3n1Q2/1P1PR3/P1N2P1P/2R3K1 b - -,d7f5
8/5k2/2Q4p/6p1/4pq2/3r2R1/4p1PK/8 w - -,c6b7
3qr1k1/R2b2np/3p2p1/1p1Pbp2/1PpBP3/2N2B1P/3Q1PP1/6K1 w - f6,d4e5
3r4/4kp2/3qp3/2rn4/3N2P1/Q1P3RP/5K2/1R6 b - -,d5c3
8/7p/3b4/3bkp2/3r2pP/4K3/1R1N4/8 w - -,b2b6
1r3rk1/2q2pb1/p2pbnp1/1pp4p/4P2P/2P1BP2/PP1QB1P1/R2N1RK1 b - -,b8d8
6qr/2k1bp2/pr1p1n1p/2p1p1pb/B1P1P3/3PB2P/2QN1PP1/1R3RK1 w - -,b1b6
r1bqkb1r/2p1nppp/p1np4/1p2p3/3PP3/1B3N2/PPP2PPP/RNBQ1RK1 b kq -,c6d4
rn1q1rk1/pb1pppbp/1p3np1/2p5/2PP4/2N1PN2/PP1BBPPP/R2Q1RK1 b - -,e7e6
r5k1/2q1b1pp/p2p4/nppPpr2/8/2P4P/PP1NQPP1/R1B2RK1 b - -,a8f8
8/4p3/2p5/5kBp/2r4P/5P1K/3P2P1/8 b - -,e7e5
1r1qk2r/p3ppb1/3pbnp1/1pp5/4P3/2PPB1P1/PP2QNBP/R2R2K1 b k -,d8c8
4k2r/4pp2/2p1q2p/1p2PBp1/2n5/2P3Q1/b2B2PP/5R1K b k -,e6d5
rnq1kbnr/pp2pp1p/2p1b1p1/3pP3/3P2P1/2N4P/PPP2PB1/R1BQK1NR b KQkq -,h7h5
2b1rbkn/1p1n1pp1/r1pp1q1p/p3PP1Q/P2N4/2N1R1BP/B1P3P1/3R3K b - -,f6g5
r2qr1k1/pp2bppb/2p1p2p/3n4/3Pn1P1/P4N1P/NPP1QPBB/3RR1K1 b - -,d5f6
2N5/5kp1/1p3p1p/1p1Pn3/1P3p2/5P1P/6PK/8 b - -,e5d3
r3nk2/2R3p1/3np2p/pp1pN3/5P2/3PP3/P4PBP/6K1 w - -,e5g6
3r1r1k/1ppbq2p/n2p3Q/2nPpp2/p1P1P3/2N3RP/PP3PN1/1K1B2R1 b - -,e7f6
2r1r1k1/5pbp/4b1p1/2R1P3/Q7/6PP/Pq4B1/4R1BK b - -,b2a2
8/3r2p1/6Np/2pP1p2/3kn1PP/4R3/4K3/8 b - -,c5c4
8/2r1k3/1p1p1p1p/pP1Rp1pP/RPrbB1P1/5P1K/8/8 w - -,d5d4
8/5p2/4p3/4k1p1/R3P1Pp/P1r4P/6K1/8 b - -,e5f4
r2q1rk1/pp3ppp/1np2b2/7b/3P4/1BP2N1P/P2B1PP1/R2QR1K1 w - -,g2g4
4r1k1/1pq2pb1/2ppn3/4n1pb/2P1P3/rP1NBPP1/3QN1B1/3R1RK1 w - -,d3c1
8/1p1k1r2/3P2pp/p7/P2R2KP/1P4P1/8/8 b - -,f7f5
8/3kb3/PR6/2p1B3/2K4p/8/r6P/8 w - -,c4b3
8/r4p2/4p3/1B2k1pp/P3R3/3K1P1P/5bP1/8 b - -,e5d6
8/8/6p1/5p1p/pb1R1N2/1k2P1P1/5PKP/8 b - -,b4c3
5rr1/p1p5/npqpk2p/5p2/2PBpPPQ/2P5/P6P/2KR3R b - g3,c6c4
