8/8/8/8/1PNn1p2/2nN2k1/4p3/2K5 w - -,c4e5
4R3/8/4n3/2K2k2/8/8/8/8 w - -,c5d6
r2b1rk1/p1q2ppp/5n2/2pp2B1/3N2b1/3BQ3/PPP2PPP/R3R1K1 w - -,d4b5
8/8/8/6p1/R6k/3r2p1/6K1/8 b - -,g5g4
8/2p4p/6p1/6K1/3k3P/8/8/8 w - -,g5h6
8/5p1r/R7/p1kN4/2Pn1p2/1P6/P4PK1/8 b - -,h7g7
8/8/2k1pB2/3p3p/3P3P/4K1b1/8/8 b - -,c6d7
6k1/pp4pp/8/2pp4/7P/3q3r/PP4QB/6RK b - -,g7g6
2bq2k1/p4Rbp/1p4p1/2pPp1P1/2PnN3/1P1Q2BP/P5B1/6K1 b - -,g8f7
r4rk1/1p3ppp/1bp5/p4b2/P2q1B2/6R1/1P2BPPP/2Q2RK1 b - -,f8e8
r2n1rk1/1pp1q1pp/1p1p1n2/3pp3/4P3/2NQ1N1P/PPP2PP1/2KR3R w - -,c3d5
6k1/5pp1/1p2pn2/3p3p/3P4/b1BNPPP1/7P/6K1 b - -,f6d7
r5k1/ppqrbppp/2n1p1b1/8/3P2P1/PNN1P2P/1P4B1/R2Q1RK1 b - -,a8d8
r6k/ppp5/2q3b1/2B1Pppp/1PQ2nP1/2P2P1P/P6K/3RR3 w - -,c4f1
r6r/pp1bb1kp/1q2ppp1/2pp3n/3P2N1/2PBP3/PP1NQPPP/R3K2R w KQ -,a1b1
r4rk1/pp3pp1/2n2q1p/5b2/2B4R/2P2NP1/P1Q2PP1/3RK3 w - -,c4d3
r4rk1/ppqnbpp1/4p2p/2pn4/4NP2/3P3N/PPPBQ1PP/R4RK1 b - -,d7f6
r7/5p1k/2pR2pp/6q1/p1P1Pn2/5PP1/P6Q/3R1K2 b - -,f4h5
2r4k/6p1/p6p/1p1Q4/5P2/1Pq3PK/P3R2P/8 b - -,c8f8
1r6/p4k1p/brnpppp1/2p5/1P2PP1P/P1KPN1P1/8/R3RB2 w - -,e3c2
r1br2k1/ppq3bp/3ppn2/2p2p2/8/2PBPN2/PPQN1PPP/3RK2R b K -,d6d5
2r2r2/pp2npk1/3Rb1pp/8/5P2/2N2B2/PP4PP/4RK2 b - -,e7f5
6k1/2K3pp/8/P4p2/R3p3/8/1r5P/8 b - -,e4e3
r2qkb1r/pp2n1pp/2n1bp2/2p1pP2/3pP3/3P1NPP/PPP1N1B1/R1BQK2R b KQkq -,e6f7
5b2/8/2B4p/6pP/8/p4P2/K5k1/8 b - -,g2h1
1r2rbk1/1nq2p1p/ppbp1np1/2p5/P1P1PPP1/1PN3NP/2QR1BB1/3R2K1 b - -,f8g7
r2qkbnr/1p1n4/p1p1pp1p/2Pp1bp1/1P1P4/2N1PNB1/P3BPPP/R1Q1K2R w KQkq -,e1g1
r1bq1rk1/1p2ppbp/p1np1np1/2p5/2B1P3/P1NP1N1P/1PP2PP1/R1BQ1RK1 w - -,a1b1
8/8/5pk1/2R4p/1p2K3/1P6/7P/4b3 w - -,c5c1
7k/p2nppb1/2p3pp/q1Pp4/3P1PP1/2N1P2P/PQ6/5BK1 w - -,c3d1
3q1rk1/rb1nbppp/pp1n4/2p1p3/2PpPP2/1P1P2P1/PB1NQ1BP/R3NRK1 b - f3,e5f4
8/P2Q4/5kp1/4p3/1P5P/r7/4KP2/6r1 b - -,a3a2
4bb1r/1p3kpp/p2q1n2/P2p2B1/1P1N4/2P4Q/5PPP/R5K1 b - -,e8d7
8/4kp2/4p3/p1p1P3/P2r4/1P2KP2/2P1R3/8 b - -,d4d5
1r3rk1/pB2pp1p/6p1/5b2/3b4/1P4P1/1P2PP1P/R1B2RK1 w - -,b7d5
6k1/2r2p1p/p2Np1p1/2Pnq3/1PR4P/5QP1/5P2/6K1 b - h3,h7h5
r4rk1/p1qn1pp1/1p1ppn1p/2p5/2PPb3/B1PBP2P/P1Q2PP1/R4RK1 w - -,d3e4
4k3/6R1/4p1p1/1p1r3p/4KP2/nPB5/2P4P/8 b - -,a3c2
8/8/B7/b7/P2k4/1K1N3r/8/8 b - -,h3h7
r2q1rk1/1p1n1ppp/2p2n2/1p1p4/5B2/1Q1P1BPP/PP2PP2/R4RK1 b - -,f8e8
8/5qkp/p2p2p1/nppP4/5rNP/1PP2P2/P2Q2K1/7R w - -,d2e3
8/5p2/1pb5/p4k2/2KP2pP/1P6/P2B1N1b/8 w - -,h4h5
rnbq1rk1/ppn1ppbp/6p1/2p5/8/1QN2NP1/PP1PPPBP/R1B2RK1 w - -,d2d3
3q2rk/pp1n4/2p1Q2P/3P4/2P5/8/PP3P2/1K1R4 b - -,c6c5
r2qk2r/ppp2ppp/2nbbn2/3p4/3P1B2/2NB4/PPP1NPPP/R2Q1RK1 w kq -,d1d2
8/r2b2kp/2p5/4pp2/p1BK4/P5P1/1R5P/8 w - -,d4e5
7r/3k1ppp/1r6/p2pPb2/2B2P2/b6P/5PP1/3R1RK1 b - -,d7e7
5b1r/3rpk1p/R5p1/1p1n4/8/4B3/1P2BPPP/5RK1 b - -,d5e3
8/8/3k2Bp/p3p2P/P1pb3R/6r1/2K5/8 b - -,d6c5
5rk1/pb1rqppp/3bp3/2ppB3/2P1n3/1P2PN2/P1Q1BPPP/R4RK1 b - -,d5c4
8/5kp1/3B1bp1/5p2/r3p3/8/P3RPKP/8 w - -,f2f3
1R6/2r1b1kp/4p1p1/1pn1P3/p2B1P2/Pp3K2/8/2R5 b - -,c5a6
3r1rk1/pb5p/4p2b/6p1/Q4p2/2NBq2P/PPP4R/1K1R4 b - -,f4f3
r1bq1rk1/ppp3p1/5b1p/3pnp2/4P3/2P3P1/PPNNPPBP/R2Q1RK1 b - -,f5e4
r2q1rk1/pp3p1b/5n2/P2Np1p1/3b4/2N3PB/1P2PP1P/R2QK2R w KQ -,h3g2
3rr1k1/5pb1/p5pp/qpp1P3/5P2/P1P4Q/1P1BB2P/4K1R1 b - -,a5a4
8/8/7p/p3R1p1/P5k1/3r4/6KP/8 w - -,e5e4
8/1B5p/3k2p1/pbb2p2/5P2/1P5P/P3K1P1/4N3 w - -,e2f3
3r2k1/5p2/3p2p1/p2R3p/1p2q2P/1P4P1/P2QPP2/6K1 w - -,d5a5
r4rk1/2p3p1/1bp1q2p/4Pp2/3P1Q1P/4BP2/5PK1/R4R2 w - -,g2h2
8/5k1p/8/6Pp/4KN1P/8/r7/4B3 w - -,e4f5
r3k3/3nbpp1/p1R4r/3pp1p1/N2Pn1P1/4PP2/PP1BB2P/1K5R w q -,c6h6
3r2k1/3q1pp1/1p2rn1p/p1pnp3/2Q5/PP1PP1PP/1B3PBK/3RR3 b - -,d7d6
r1bb1rk1/1p4pp/p2Np3/4p3/1P6/5B2/P4PPP/2RR2K1 b - -,d8b6
2b2rk1/4q1bp/r2p1p2/2p2Pp1/ppP1P1QP/3R2N1/PP4P1/2B2RK1 b - h3,h7h6
5rk1/3R1p1p/pq2nQp1/4N1P1/8/4P2P/5PK1/8 b - -,b6b2
1k1r1r2/ppq2p2/2p1pn2/2P1Nb1p/5Q2/1B4P1/PPP4P/2KRR3 b - -,b8c8
R7/1r1p2pk/3Qp2p/2P2p2/3P2n1/4P1P1/5q1P/5N1K w - -,d6f4
5k1r/5ppp/p3pb2/1pr5/4PP2/3B4/PPP4P/1K1R3R b - -,g7g5
r3N1k1/p5bp/q1p3p1/2B5/5PP1/7P/bPQ5/2KR1R2 b - -,a8e8
1r3k2/5ppp/p4n2/3p4/3n4/P1B1PP2/3RK1PP/8 w - -,d2d4
r1b3r1/1p2bk2/1pn1pn2/3p2p1/3P2P1/3B4/PP2NP1N/R1B1R1K1 w - -,f2f3
r2qnrk1/pbpn2bp/1p1p1pp1/4p3/2PPP3/2N1BN2/PPQ1BPPP/R3R1K1 w - e6,d4d5
3q4/bb2rpk1/p4Np1/1p2p2n/3nP1NQ/PP5P/2B1RPP1/2B3K1 w - -,f6h5
1r2r1k1/p2q1pp1/n3b2p/1p1np3/2P5/B2P2PP/P1Q1NPBK/1RR5 b - -,b5c4
1k6/6p1/p3p3/np1b4/3N4/1P4Pr/P4P1P/2R3K1 b - -,h3h8
2r5/q2k1p2/bbp1p3/p1ppP1Pp/P1Pr4/BP1P2PK/2R2P2/2R1QN2 w - -,e1e3
2r2rk1/pp2ppbp/5np1/3QB3/3P4/6P1/P2NPPKP/2R2R2 b - -,f6d5
6k1/pp2pp1p/2b3p1/2P5/3r4/6P1/PP2PPBP/R5K1 w - -,g2c6
r1bqkb1r/pp1n1ppp/4pn2/3p4/3P1B2/P4N2/1PQ1PPPP/RN2KB1R b KQkq -,d8a5
rnb2rk1/p2pqp2/7p/1ppPB1p1/1b2n3/2NBPN2/PP3PPP/R2QK2R b KQ -,f7f5
2rr4/1bq2pk1/1p3b1p/4pPn1/1nN1P1P1/P2BQNK1/1B5R/3R4 w - -,f3g5
4r3/Q4pkp/p1R1rnp1/3p4/8/1P2B2P/P3qPP1/2R3K1 w - -,c6c7
1b2r1k1/1p3r2/p3b1Bp/3p2p1/1P1B1p1q/P1R1P2P/5PP1/2R2QK1 b - -,f4f3
r5k1/p2RbR1p/qpp1r1p1/4p3/8/1Q2P1P1/PP2P1BP/6K1 b - -,g8f7
3r1rk1/2pn1p1b/1p1p1q2/p3p1pp/P2PPnP1/Q1P1NPBP/2P3B1/3RR1K1 b - -,d8c8
r1b4r/1p2k2p/p2p4/2n3P1/P1q1PP2/2N2R2/2P4P/R2Q3K w - -,c3d5
6k1/2r5/p6p/2b1R1p1/5p2/P6P/5PP1/2B3K1 w - -,c1b2
2r5/3k3p/p2p2p1/1p1Pb3/4P3/2N4P/PP2K1P1/2R5 w - -,a2a3
rnbq1rk1/pp2npb1/2p3pp/3pp3/2P5/NQ1P1NP1/PP2PPBP/R1B2RK1 w - -,f1d1
2bqrbk1/1pp2ppp/3p3r/Q3n3/N1P5/1P2P1P1/PB2BP1P/R4RK1 b - -,c8h3
8/2bP4/p1P1k3/2B2ppp/8/6P1/P4P1P/5K2 b - -,g5g4
1r1q1rk1/p4p1p/2pp3R/2p1p3/4Pnb1/1P1P1N2/P1PN1PP1/R3KQ2 b Q -,f7f5
8/5p2/4p2k/p4p2/6nP/P3R1K1/6P1/2N5 b - -,g4e3
r1bq1rk1/pppn1p1p/3p1bp1/4p2n/2PPP3/2N1BN2/PPQ1BPPP/R4RK1 b - -,c7c6
8/8/3R4/8/1P3KP1/7r/3p4/3k4 b - -,d1e2
6k1/5pp1/pB2b2p/4P3/1r2q3/6P1/P4Q1K/2R5 b - -,e4e5
8/3n4/8/8/PP2p3/5k2/8/4K3 b - -,e4e3
r7/p3kpbp/1np1p1p1/8/2P1N3/1P2B1P1/P4PKP/3rR3 w - -,e1d1
r4r2/2n1Np1k/3p1P2/p1pPqbp1/1pP1P1P1/1P6/P2Q2B1/4R1K1 w - -,d2g5
5rk1/2r1p2p/1p1q1pp1/p1bP4/P1P1PP2/1N1Q2P1/7P/1RR4K b - -,c5b4
8/3r2pk/p3n2p/5q2/5p1P/1PB5/P1Pr1R2/1K1Q4 w - -,f2d2
8/8/5k1p/5R2/4K1P1/r4P2/8/8 b - -,f6g6
r2q1rk1/ppp3pp/1n1n1p2/5b2/3P4/3B1N2/PP3PPP/RN1QR1K1 w - -,b1c3
2kn1Q2/8/2r5/3K4/8/8/8/8 b - -,c6e6
5b1k/1p5p/1Np5/6R1/2P1r3/P7/1P2K3/8 w - -,e2d3
8/3kb3/R2pp1pp/1p6/5P1P/1r3NP1/6K1/8 b - -,b3b2
4r1k1/1q3p1p/p5p1/3P2B1/1p6/1P1R4/1PP2PPP/2R3K1 b - -,e8e5
r1bq1r2/pp4bk/2np2pp/2p1p3/4Pp2/1QPPN3/PP1NBPPP/R4RK1 w - -,e3d5
4r1k1/pq3pb1/3P1npp/2p2b2/2B5/P1N2N2/1P1Q1PPP/4R1K1 b - -,e8e1
4r3/3b1k1p/pp4p1/2pP1p2/5N1P/6P1/PP1Q1R1K/4q3 w - -,d2c2
2r2b2/5knQ/p4Bp1/1p3bP1/8/2P2P2/qP5P/2KR3R b - -,a2b1
4r2r/ppb2pk1/2p3p1/2Pp1q2/1P1PbP1p/1R2R2P/P3N1P1/3QB1K1 w - -,a2a4
r2qk2r/pbpnbppp/1p2pn2/8/4P3/2PB1NP1/PP1NQP1P/R1B1K2R b KQkq -,e8g8
4n3/6k1/1pn5/p3KPN1/8/P6P/1P3R2/8 w - -,e5d5
8/4kp1r/4p2p/p2n3P/1pr5/P4R2/1PPB1RP1/2K5 w - -,a3b4
1r6/p3bpk1/n3p1p1/1N1pP2p/3P1P2/P4N1P/2R3P1/6K1 w - -,a3a4
6k1/p5b1/1pp3pp/4p3/2P1P3/n5P1/PN3BKP/8 b - -,g8f7
r1b1kb1r/ppq2ppp/2n1pn2/2p5/2N5/6P1/PPQPPPBP/R1BNK2R w KQkq -,d2d3
3r2k1/1qr2p1p/p5p1/Q1bp1p2/8/3RPN1P/P4PP1/R5K1 w - -,a1d1
8/5ppk/5nbp/3n4/1p6/1P3PP1/P2R1K1P/5B2 w - -,f1c4
2r1k2r/1p2ppb1/p2p3p/3Qn1p1/1q2P2P/6B1/PPPR1PP1/1K3B1R w k -,a2a3
rn1qk2r/ppp2p2/4b2p/3p2p1/3b1p1P/3B4/PPP3P1/RNBQR2K b kq -,b8c6
6k1/8/2n1p3/3pP1P1/P2n2KP/B3RP2/8/1r6 b - -,b1g1
8/5p2/r5kp/8/4NK2/1R6/8/8 w - -,b3g3
r1b1r3/1pq2pkp/2p2np1/p3p3/PnB1P3/2N2N1P/1PP2PP1/R1Q2RK1 w - -,f1e1
r5k1/p4p1p/2p3p1/6QP/4P3/5PP1/Pnp1b3/3r1BK1 w - -,h5h6
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/1P4P1/P3PPBP/RNBQK1NR b KQkq -,b8d7
1r3rk1/p3ppbp/2p3p1/5b2/N4P2/8/PPP1KPBP/2R4R b - -,b8b4
3q4/pp4pk/5b1p/1N6/PPB1bp2/7Q/2n3PP/5R1K w - -,h3e6
rnb1kbnr/ppp3pp/4p3/3q1p2/3P4/3B2N1/PPP2PPP/R1BQK1NR b KQkq -,d5g2
8/p2r2bk/1p2r1pp/1P1ppn2/5p2/B2PP1P1/P1R2PKP/3N1R2 b - -,g6g5
8/2b1rpkp/6p1/p1r3P1/2NR2K1/1P3RP1/1P6/8 w - -,f3d3
r3k2r/pp3ppp/2p1bn2/q3B3/4P3/2N4P/PPQ2PP1/2KR1B1R b kq -,a5e5
1R3b2/6kp/1n2rpp1/1B1p4/1P4P1/2B4P/5P2/6K1 b - g3,g7f7
r2q1r2/p3n2k/1p5b/2ppp3/8/2P3P1/PPN3BP/R2Q1R1K w - -,f1f8
r4bk1/7r/pqp1R1Q1/8/4N3/7P/PP4P1/R6K b - -,f8g7
3b1k2/5p2/2b1q1pp/1p2p2N/p3P2P/2P2RQ1/Pr3PP1/6K1 w - -,f3d3
r1qr2k1/1b1n1pbp/pp2pnp1/8/2P2B2/2NQ1N1P/PP3PP1/3RRBK1 w - -,c3a4
8/6p1/2kp1p1p/Pp1Rr2P/1P2PKP1/8/8/8 b - -,e5e8
1rb1r3/2Qn1pk1/p2P1qpp/1p2p3/4B3/2P2N2/PP3PPP/3RR1K1 b - -,f6d8
r2r2k1/pppb1pbp/2n2np1/4p3/8/BPN3PP/P1P1PPB1/3RNRK1 b - -,e5e4
r1b1kb1r/ppq2ppp/2n2n2/2pp4/3P4/5N2/PPPNBPPP/R1BQ1RK1 w kq -,f1e1:e2b5
r1b1k2r/1pppqppp/2n2n2/p7/4P3/P1N5/1PPNQPPP/R3KB1R b KQkq -,e8g8
r3rnk1/1pp1nppp/1b6/1q1pP1N1/1P1P3P/2B1N1P1/2Q2PK1/R6R w - -,f2f4
2r1k2r/1p1q1pp1/p3nnp1/2bp4/5N2/3BPP1P/PPQB2P1/1K1R3R w k -,f4e6
8/8/1p6/p7/2K5/r7/5kp1/2R5 w - -,c1c2
r1bq1r1k/ppp3b1/2n3pp/1PP1p3/6pP/PQ1PP1P1/1B2K1B1/R6R b - -,c6e7
8/7p/1pK5/p1p2kp1/Pr6/1P4RP/8/8 w - -,c6c7
r5k1/p4pp1/1p3b1p/4p3/4b3/PP5P/2PB1PP1/1R2NK2 b - -,a8c8
3rnrk1/pp1q1p1p/8/P2pP1p1/3P4/1Q3B2/1P3PPP/2R2RK1 w - g6,c1c5
r4rk1/3qnb1p/2p3p1/p2pbp2/4P3/NP1P2P1/P5BP/1RBQ1R1K b - -,f7e6
2rq2k1/3b1p1n/rp1p1bp1/2nPp2p/1RP1P3/2N1BN1P/2B2PP1/1R1Q2K1 b - -,c8a8
4r1k1/pppq1rbp/3p2n1/1P2ppn1/2P5/P1NPP1P1/2Q3KP/2B1RRN1 w - -,c3e2
r2qkbnr/pppbpppp/2n5/4N3/Q1Pp4/6P1/P2PPP1P/RNB1KB1R w KQkq -,e5d7
1r1r2k1/p1qn1pp1/3ppn1p/2p5/2P1N3/1P4P1/P1QNPP1P/2RR2K1 b - -,f6e8
8/5B2/R5pk/5p1p/8/p5K1/8/4r3 b - -,e1e7
r1b1k1nr/ppp1qppp/3p4/b2Pp3/2BnP3/1QP2N2/P4PPP/RNB1K2R w KQkq -,f3d4
r4rk1/pp2b1pp/n1p1b3/4p3/2P1N3/1P4PP/P2R1PB1/R1B3K1 b - -,a6c5
1n1r1r2/p1n3k1/3Rp2p/1pp1P1p1/2P1R1N1/1P4B1/P4P2/6K1 w - -,e4e1
r1b1r1k1/5pp1/1q1p1n1p/n3p3/1pP1PP2/3P2P1/2N3BP/1RBQ1R1K b - -,b4b3
r3b1k1/pp2bppp/3ppn2/4qPP1/3NP3/2PQ4/P1PB4/2KR1R2 b - -,f6e4
rnbq1rk1/pp2bppp/2p2n2/3p2B1/3P4/2N1PN2/PP2BPPP/R2QK2R b KQ -,b8d7
8/p4r2/P2k3p/2R3p1/5pP1/5P1P/5PK1/8 w - -,c5a5
2r1r1k1/1pqnbppp/p1bpp3/8/P3P3/2N1B1PP/1PPRQPB1/3R2K1 w - -,f2f4
r3r1k1/1p2qp1p/1npp2p1/p1n1bP2/P3PBP1/1bN3NP/2PQ2B1/R3R1K1 w - -,f4e5
r1b2rk1/p1qn1pbp/2pp1np1/1p2P1B1/4P3/P1N2N2/1PPQBPPP/R3R1K1 b - -,d6e5
3rrbk1/5ppp/pq2p3/1pp1P3/P4P2/1PN2QPP/2PR2K1/3R4 w - -,a4b5
rqr3k1/3n1pb1/3p1npp/p2Pp3/1pN1P1P1/3N1P2/PP2QB1P/2R2RK1 b - -,h6h5
3r2k1/p2q3p/4p1p1/1pB1P3/8/2P4R/PPQ3PP/7K b - -,d7d5
6k1/5p1p/B5pb/2r5/P7/2p2P2/2Rr2PP/2R2K2 b - -,d2d6
8/p3b1k1/1p1n4/2pB2p1/P1P2PK1/4B3/8/8 w - -,f4g5
r1b1rnk1/ppq3pp/4pp2/8/2P1R3/1P3NP1/PQ3PBP/2R3K1 w - -,c1e1
8/2p3p1/1p2r3/p2kp2p/P3R2P/1P2KP2/2P3P1/8 b - -,c7c6
8/2k5/1p1r1p2/p3P3/2Pp2P1/1P4R1/P3K1p1/8 b - -,f6e5
2rqkb1r/3n1pp1/p2pb3/1p1np2p/4P3/1N2BPP1/PPPQ3P/2KR1B1R w k -,e4d5
r1b1kbnr/pp3ppp/1qn1p3/2ppP3/3P4/2PB1N2/PP3PPP/RNBQK2R b KQkq -,c5d4:c8d7:g8h6
r3k2r/1bqpbpp1/pp2p2p/4P3/2PR1B2/2N3P1/PP2QP1P/4K1R1 b kq -,e8g8
r1bqr1k1/1p1n1pbp/p2p1np1/P1pP4/2N5/2N3P1/1P2PPBP/R1BQK2R b KQ -,d7e5
Br3b1r/3k1ppp/2p1pn2/2n5/P7/B1N3P1/3PPP1P/R4RK1 w - -,a8c6
8/2b2p2/1kP3p1/1P2P2p/r4P1P/3R2P1/8/5K2 b - -,b6b5
r3k2r/ppqbnppp/2n1p3/1BppP3/P2P4/2P2N2/2PB1PPP/R2QK2R w KQkq -,e1g1
3r4/pk2qrp1/2p1p1Rp/1p1bP2P/2p3R1/2P1Q3/P3BPP1/4K3 b - -,d8d7
7r/2k2p2/pp2p3/4P2P/q1Pp1P2/3P1K2/3Q3R/8 b - -,a4c6
r2qnrk1/1p1b1pbp/2pp2P1/p1nPp1P1/2P1P3/2N1BB2/PP3P2/R2QK1NR b KQ -,f7g6
r1b2rk1/ppqn1pb1/2pp1npp/4p3/3PP2B/2P2N2/PPQNBPPP/R4RK1 w - e6,d4e5
3r2k1/p1pq2p1/1p1p2np/2PPpr2/1P2N3/5PP1/P2Q3P/3R1RK1 b - -,g6e7
4qr1k/rpp3p1/p1nppn1p/4p3/4P3/1QPPN2P/PP3PPN/3R1RK1 b - -,f6h5
r3k2r/pbqnppb1/1n1p2p1/2p3Pp/3PPP1P/2PBBN2/P2QN3/R3K2R w KQkq -,e1g1
4r1k1/2Q4p/2p2Bpq/p2p1b2/1b1P4/1PN3P1/1P3P1P/5RK1 b - -,e8c8
r4rk1/p1pn1ppp/1p2p3/6B1/3Pn3/P3PN2/1P3PPP/R3KR2 w Q -,e1e2
r4rk1/1p1n1pp1/p1bQpn1p/2q5/P3P3/2N2NP1/1P3PBP/3R1RK1 w - -,e4e5
r2qk2r/pp1bppbp/2np1np1/2p5/2PP4/2N1PNP1/PP3PBP/R1BQ1RK1 b kq d3,e8g8
1r6/2r1b2k/R1n3p1/4p2p/2BpN2P/1P4PK/P2R1P2/8 b - -,e7b4
