6k1/2p2pp1/8/2R1P3/P5r1/8/2b2B1K/8 b - -,c2a4
1q1r2k1/1r3ppn/p2p2np/2pPpN2/2N1PP2/1P4PP/P1Q4K/3R1R2 w - -,c4a5
r2qkbnr/pppn1ppp/3p4/4p3/3P2b1/4PN2/PPP1BPPP/RNBQK2R w KQkq e6,c2c4
rnbqr1k1/ppp2pbp/5pp1/8/2pP4/3BPN2/PP3PPP/RN1Q1RK1 w - -,d3c4
1r1q1rk1/pb1p2bp/np3np1/2pP1p2/2P5/P1N1PB1N/1PQB2PP/R4RK1 b - -,f6e8
1rbq1rk1/pp2bppp/2pp1n2/P3n3/2BNP3/2N5/1PP1QPPP/R1B2RK1 w - -,c4b3
8/8/8/1k4B1/1P4K1/4p3/8/8 b - -,b5b4
r3q3/2R2pk1/p4b1p/6p1/1PQ2p2/7P/P4PP1/4N1K1 w - -,e1f3
3r2k1/5p1p/6p1/R7/P2b4/2n5/5PPP/2B2BK1 w - -,c1e3
r5k1/p6p/8/2QN4/3p4/PP5P/5KP1/1q6 w - -,d5e7
3r2k1/1p2qpp1/5n1p/8/1b6/1P2NNPP/2R2PK1/1Q6 b - -,b7b6
r1b1k2r/1p2ppbp/p4np1/3q4/5P2/2pB4/PP1PN1PP/R1BQ1RK1 w kq -,d2c3
r4rk1/pb2qpp1/1p2p2N/3n4/7Q/3B4/PPP2PPP/2KRR3 b - -,g7h6
8/5pp1/4bk2/3p4/2pN4/2P1KP2/R5PP/1r6 b - -,b1c1
3r1b1k/R4Q2/3p3p/1B1Pp3/4P3/5P1K/6PP/4q3 b - -,d8d7
5k2/1p6/4P3/2n1K2p/7P/2N5/8/8 b - -,f8e7
3k4/1p6/p3B1pp/3b3P/8/1P6/PKP5/8 w - -,e6d5
8/4Bp2/4b1p1/1Kp1Pk1p/5P2/6P1/r3R2P/8 w - -,e2a2
r3r1k1/3b1pp1/2p1p1q1/1p6/p2P4/P2Q4/BPP5/1K1R3R w - -,d3h3
5r1k/5p2/3q3p/1p1Pr3/5N1P/pPRQ4/P5PK/8 b - -,e5d5
3k4/8/6p1/8/5R1p/1K5P/6r1/8 w - -,f4h4
3r2k1/5ppp/8/1Bpnp2q/P4n1P/1PB2PQ1/8/R1R4K b - -,d8d6
2r1k3/1r2b1p1/pn2pp2/1p5p/3B4/2P1N3/PP2RPPP/3R1K2 w - -,f2f4
8/8/5b2/7b/2N1kB1P/6P1/6K1/8 b - -,e4f5
1r1q1rk1/1pp3bp/p1n2pp1/3p1n2/3P1B2/1QP2N2/PP3PPP/RN2R1K1 w - -,b1d2
r2qk2r/ppp1p1bp/2n3p1/3pP3/3P2b1/2N1QN2/PPP3PP/R3KB1R w KQkq -,e1c1
2rqrnk1/1b3ppp/pp2p3/3pP3/N1P1B3/1P4P1/PB2QP1P/2R1R1K1 b - -,d5e4
r4rk1/p1q3pp/1p1bp3/3P1pR1/6Q1/2P5/P2B1PPP/R5K1 w - f6,g4f3
6k1/R4p1p/6p1/8/P3n3/8/6PP/2r3BK w - -,h2h3
7r/pk1rq1p1/1pn4p/3pPP1P/2nP2P1/P2Q1RBK/P7/4R3 b - -,b7a8:e7g5
2rr2k1/pb3p1p/1p1bpnp1/n7/2PP4/P2BPNP1/1B1N1K1P/2R1R3 w - -,f2e2
r1bq1rk1/pp3pbp/2nPp1p1/2p2n2/8/N2P1NP1/PPP1QPBP/R1B2RK1 b - -,d8d6
8/1Q6/1p3r2/4p1kp/PP6/4K3/8/8 b - -,h5h4
3r1rk1/p1q3p1/1p6/nQbP1p2/2p2P2/2P4P/P1BB2K1/1R3R2 w - -,b1d1
rn1qkb1r/pp3ppp/2pp1n2/4p3/8/1P2PQ1P/PBPP1PP1/RN2KB1R w KQkq -,c2c4
2r1k2r/pp3p1p/2b1pPp1/q3Q1B1/1bB4P/8/PPP3P1/2KR3R w k -,e5e2
1q1r1rk1/1p1bbppn/p1n1p2p/4P3/P1B4P/1P3N2/1B1NQPP1/2RR2K1 w - -,e2e4
8/p4p2/1p1p1pk1/4p3/2P1P2p/6qP/P5P1/3Q3K w - -,d1e2
r1b1qrk1/pp1n2bp/2p2np1/4p3/2P1Pp2/BPN2NP1/P1Q2PBP/R4RK1 b - -,c6c5
r3k2r/pppqnp1p/2np2p1/4b3/2P5/2NBBPP1/PP3P1P/2RQK2R w Kkq -,f3f4
1rq2rk1/3bbpp1/p1npp1np/1pp5/3PPP2/2P1NNP1/PP1BQ1BP/3R1RK1 b - -,c6d8
r2qr2k/2p4p/ppnp1n2/4pP2/2P5/P1BP1P1N/1P4QP/2KR3R w - -,f3f4
r4rk1/pppqbppp/4b3/3p4/3P4/4B3/PPPQBPPP/R4RK1 w - -,c2c3
8/1p1b2R1/p2kpr2/3p4/3P1P2/P2B1K2/1P6/8 w - -,g7h7
6k1/pp2q1n1/4pr2/2p3Q1/2P4r/1P1R4/P4PB1/6KR b - -,h4d4
1r3r1k/7P/3Q4/R1p4q/1p2p3/1n5P/1P4B1/R5K1 w - -,g2e4
r5k1/2q1rppp/1p1p1bn1/p2P4/P1P1n1B1/6BR/1PQ1N1PP/5R1K w - -,e2f4
3b4/8/p5p1/8/P3kPP1/6BP/4K3/8 b - -,d8c7
1r5k/6bp/3q1pp1/1b1N4/p1PP1P2/1n1Q2PP/2rN2BK/5R2 w - -,d2e4
r7/3n4/2p1B1p1/2k1p3/3bP2P/r1pR1NP1/P1K5/R7 b - -,d7f6
5rk1/R4p2/4pQp1/3b3p/3P3P/1q6/5PP1/2R3K1 b - -,b3b2
r2q1rk1/pp2bppb/2p1p2p/4N3/PPNPn3/BQ3PP1/4P2P/R2R2K1 b - -,e4d6
r1bq4/pp2nrpk/2n2P1B/2ppp1N1/3P2Q1/P1P5/2P2PPP/R3K2R b KQ -,h7g8
r1b2rk1/pp1nq1pp/2p1p3/5p2/2PPn3/5NP1/P1N1PPBP/R1Q2RK1 b - -,e6e5
2r3kr/pp1bqpp1/2n1p2p/3pP2P/2n5/1NPB2Q1/P1P2PP1/2B1RRK1 b - -,b7b6
3r2k1/5p2/4b1p1/P7/4Pp1p/2QB1P2/1PP4q/2K2R2 w - -,a5a6
2r2rk1/5ppp/2R5/2nPp3/1p6/2P1n1P1/5QBP/6K1 b - -,b4b3
8/r5pp/3k1n2/pR5P/P2r1N2/KP2R3/8/8 w - -,b5f5
r5k1/2q1ppbp/3p2p1/2pPn3/1r2PB2/2N3PP/PP1Q1PK1/1R2R3 w - -,f4e5
7k/1p1rQ1p1/1q2b2p/p1p1Pp1B/P1P1pP2/1P6/6PP/4R2K w - -,e7e8
r1br2k1/p3bppp/1p2pn2/3q4/3P4/P4N1P/BP2QPP1/R1BR2K1 b - -,d5e4
8/1p3p1k/p2P1R1P/6p1/P1b5/3r4/3K4/8 w - -,d2c2
2r2b2/2P1k3/6Rp/p7/P7/6B1/5P1P/6K1 w - -,g6a6
r4rk1/5pp1/p2b1n1p/4Pq2/PpB1bN2/4B3/1P1Q1PPP/2R2RK1 b - -,f5e5
8/3n2pk/1p3n1p/4p3/1P2b1P1/2B4P/8/3R1BK1 w - -,f1b5
2r3k1/4q1p1/rp2p2p/p1p1N3/PnQ2P2/4P1P1/1P5P/R4RK1 b - -,a6a7
r1b1k2r/ppppq1bp/2n3p1/4p3/2P5/P2P1Q2/1P3PPP/R1B1KBNR w KQkq -,g1e2
1B6/3k4/8/1P1p1Pbp/3Pp1p1/4P1K1/6P1/8 w - -,b8f4
r2r2k1/ppp2ppp/2n1b1q1/b2nP3/Q5P1/P1N2N1P/1P1BPP2/R3KB1R w KQ -,f1g2
8/8/R1p1kr2/P5R1/5B2/4P1K1/8/3r3b w - -,g5e5
1r1q1rk1/p1pn2pp/4b3/2b1pp2/8/2N1PQ2/PPP1BPPP/R1B1K2R w KQ f6,f3h3
r7/2R2p1p/p5p1/1pN1nk2/4P2P/6P1/PP3K2/8 b - e3,f5g4
5k2/6p1/4N2p/4p3/1nN3P1/2b1PP2/6KP/8 b - -,f8f7
r7/p2nk3/4p3/1p2P1bp/3p4/3P1NP1/PP6/R3R1K1 b - -,g5e3
8/5R2/K1k5/4b3/2N5/8/8/1r6 b - -,b1a1
5rk1/2p3pp/4q3/rp1pPp2/2nP1PP1/3R3P/P5Q1/R1B3K1 b - -,g7g6
8/pp6/2pb4/3p1k1p/2PP1np1/1P2B2P/P4K2/6N1 w - -,h3g4
4r1k1/5p1p/3p1rp1/8/1pP1n3/4P1P1/PR3P1P/1R3BK1 b - -,e8e5
8/8/2Q1p3/6p1/1p1qk2p/1P5P/P5P1/7K b - -,d4d5
4b1k1/p4p1p/1n1p2p1/1p1P2q1/1P1P2P1/3N1Q1P/P5B1/6K1 w - -,f3e4
r1b1r1k1/2q2p1p/1ppp2p1/p1n1b3/P1P1P3/1PNB1P2/3Q1BPP/1R2R2K w - -,d3c2
2rqnrk1/3n1p1p/6p1/p1bpP3/Pp1p1P2/1P3N1P/1BQ1B1P1/R4R1K w - -,a1c1
r1bq1rk1/pppn3p/3p1bp1/3Pp2n/2P1Pp2/2N2P2/PP3BPP/1K1RQBNR b - -,f6e7
2r2rk1/p4pp1/1p2p2p/2b1n3/N1B2qn1/1P2P2P/PB3PP1/2RR1K2 w - -,e3f4
3k1r2/1b6/p4pQp/n3B1p1/Pp1pB3/1q3P2/1P4PP/4R1K1 b - -,b3e6
r1b1r1k1/1pq3pp/2pb1p2/p1n1p3/2P1P3/1P2BNPP/P1Q2PB1/R4RK1 b - -,b7b6
r2qkb1r/np1b1ppp/4p3/pPnp4/5B2/1QP1PN2/P4PPP/RN2KB1R w KQkq -,b3b2
r3k2r/pp1bb1pp/2pp1n2/6B1/4P3/2PN1P2/PP1N2PP/R3K2R w KQ -,h2h4
5r1k/3b1rq1/7p/p1QPR1pP/PpP3P1/1P2RP2/8/2K5 w - -,c5a5
1r5k/pp1R1r1p/2P4p/4p3/8/6P1/5P2/1R4K1 b - -,f7d7
1rbqr1k1/2pn1pbp/p4np1/1p2p3/2P1P3/1PN2NP1/P3QPBP/R1BR2K1 w - -,g2h3
4R3/3r1p2/6p1/4pk1p/8/r7/4K3/1R6 b - -,f5e4
r2qk2r/pp1n1pp1/4p2p/2PpP3/1B1Q4/8/PPP2nPP/R3K1NR b KQkq -,f2h1
8/1p6/pB6/5kbp/1PP1pp2/6P1/P3KP2/8 b - -,f5g4
6k1/1N2nppb/p3p2p/3pPn2/3P4/1PrB1NP1/P4P1P/3R2K1 b - -,e7c6
2R2bk1/4qp2/3p2p1/3Pn1P1/4P3/4BP1Q/4r1BP/6K1 w - -,f3f4
1b6/1r1q2kp/R3p1p1/3nPp2/P4P2/3r2P1/1P4NP/2Q2RBK b - -,d5b4
8/p1kr1pb1/1pn3pp/2p1p3/P1N1P1PP/2PN4/1P2KP2/7R b - -,d7d8
r2q1r1k/1ppbbppp/p1n3n1/3Bp3/4P3/2P1BN2/PP1N1PPP/R2Q1RK1 b - -,f7f6
6r1/8/3k4/R2b4/3B1pp1/3K1P2/2P3P1/8 w - -,c2c4
r2qkb1r/2pb1ppp/p1pp1n2/8/3NP3/5Q2/PPP2PPP/RNB2RK1 b kq -,c6c5
4r1k1/1p3pb1/p1p3pp/2P5/1P1rN1n1/5Pn1/P5PP/1Q3R1K w - -,h2g3
5r2/pp4bk/3p3p/2p1pr1p/8/2PPR3/PP3PPN/R5K1 w - -,e3f3
3r4/p5k1/6p1/1p2pp2/2p2q1p/2P5/PP3PB1/4RK1N b - -,d8d3
r3qrk1/1p3pp1/p3pn1p/Pp6/1b1PP3/3N2P1/1PQ2PBP/R2R2K1 b - -,a8c8
5rk1/4qp1p/p2pp1p1/2B5/4PPQ1/1r1P4/6PP/R1R4K b - -,d6c5
3rnk2/pp1q1pb1/2p3p1/2P4p/1PQp4/3B3P/P2N1PP1/4R1K1 b - -,e8f6
r2r2k1/1bqnbppp/p1n5/1pp1P3/4BB2/P4N1P/1P3PP1/R1Q1RNK1 b - -,c7b6
8/3r1k1p/4bpp1/p7/4B3/bP3N1P/P3KPP1/1R6 b - -,f7e7
6k1/pbr1bpp1/1p2p2p/4N3/2P1pP2/1P2P1Pq/PB2Q2P/3R2K1 w - -,e2g4
8/2p2p2/4p1k1/4P3/R5P1/2n3r1/3B1K2/8 b - -,g3d3
r1bq1rk1/pppnbpp1/4pn1p/3p4/2PP3B/2N1PN2/PP3PPP/R2QKB1R w KQ -,c4d5:d1c2:a1c1:c4c5
2r3k1/p4pbp/6p1/8/1n3Bn1/8/PPP3PP/2K1NB1R b - -,b4a2
r1b1k2r/ppp2ppp/2nb3n/3p4/3P2P1/2N2N1P/PPP1KPB1/R1B4R b kq -,c6b4
r2qkbnr/1b1n1ppp/p1p1p3/1p4N1/P1pP4/2N3P1/1P2PPBP/R1BQ1RK1 b kq a3,f8e7
8/6Q1/2q1p3/p1P1p1k1/3r1p2/PP6/6P1/3R3K b - -,g5f5
6rk/1Pp4p/2P3r1/3pp3/6nP/4Pp1n/R4P1P/4BR1K w - -,a2b2
3q3k/2r3b1/R2pQnpp/1B1P1p2/1P3P2/7P/3B2P1/6K1 b - -,f6e4
3r4/p3npkp/1p1p4/4pp2/PP6/2P2P1P/4BKP1/3R4 b - a3,d6d5
6k1/3R1pb1/6p1/4P2p/5P2/1r2BKPP/8/8 w - -,d7d8
1q3rk1/6p1/6b1/p2p2Pp/3Br2K/1PP1P3/P2Q4/R5R1 w - -,h4h3
2r5/4pk1p/pn1p1pp1/1prP4/5P2/P1P2BP1/1P1R1K1P/3R4 w - -,d2e2
r3r1k1/2n1ppbp/pq4p1/Rp1bN3/3PBB2/2P4P/1P2QPP1/R5K1 b - -,e8d8
r2q1rk1/1p3ppp/p4n2/2bpn3/3N4/3BP2P/PP2QPP1/R1B2RK1 w - -,d4f3
1rbq2k1/5rbp/1p1n2p1/1NpPpp2/4P3/4BP1P/1P2B1PK/R2Q1R2 b - -,d6b5
1rb1q1k1/3n1pbp/p2Q2p1/2N5/1pP1r3/1P2B1PP/P3NP2/3R1RK1 b - -,e4e3
2r1r1k1/pp1bq1pp/3bpn2/1P1pN3/5P2/3B1R2/PB2Q1PP/2R3K1 w - -,c1f1
5R2/pp5r/4p2k/4Bb1P/5P2/3p4/PP1K3R/5r2 b - -,h7d7
8/1p1k2n1/p2p2p1/P2P1pP1/2P5/1K5P/3B4/8 w - -,c4c5
r4k2/2R2p1p/P5p1/8/4r3/8/6PP/R5K1 w - -,g1f2
r4rk1/p1q2pbp/2ppbnp1/4p3/2N1P3/1P1B4/PBPQ1PPP/R3R1K1 b - -,f8d8
2r3k1/3n1rbp/3n2pB/1qp1p3/3pP1N1/1p1N1PPP/P1R1Q1K1/2R5 w - -,a2b3
rnbqkb1r/1pp2ppp/p4n2/3pP3/3P4/2N5/PP3PPP/R1BQKBNR b KQkq -,f6e4
7r/pp1k1p2/2pbp3/6p1/3P1Pq1/2P1Q1Br/PP5P/R5RK w - g6,a1f1
3r2k1/1b2qp1p/1Q4p1/8/3pP3/5P2/6PP/B4RK1 w - -,f1d1
r1b1kb1r/2qn1pp1/p2ppn1p/8/1p1NP1PP/4BP2/PPPQN3/2KR1B1R b kq h3,d7e5:d6d5
8/6r1/6N1/4kB2/4P3/5Kp1/8/8 b - -,e5f6
6k1/q5p1/4p3/1p1b4/1p6/5P2/PPR5/1KN4R w - -,c1b3
r4rk1/3q1nbp/2p3p1/p2Ppb1n/8/3PB1P1/P1NQNPBP/1R3RK1 b - -,c6d5
6k1/1p1b1p2/3R1Qp1/2p5/PpP5/2q5/6PK/8 w - -,f6d8
r4r2/3k3p/2pNbpp1/2P5/1B5P/P5R1/5PP1/6K1 b - h3,f6f5
4r2k/pp3p2/2p2P1p/8/3PN2P/P3R3/1PQ2P1b/1K5q w - -,b1a2
6k1/8/5p2/5P1p/4P2r/4K3/8/1R6 b - -,h4h2
2rq1rk1/p2bb1p1/2p1pn1p/4B3/1p1PNN2/nP1B1Q2/P4PPP/2R2RK1 b - -,f6d5
5k2/1rb2pp1/4p2p/3pP3/3Nn3/7P/P4PPB/4R1K1 b - -,b7b4
r4rk1/pp5p/2p2qp1/2P1b3/4P1B1/P1N4P/1P3P2/1RB1R1K1 w - -,c1e3
5k2/p4p2/5p2/PP4p1/5nP1/7P/R4P2/1r3BK1 b - -,f4h3
1r1q1r1k/1p4pp/pNnpb3/3Nppb1/2B1P3/8/PPP2PPP/R2Q1RK1 w - f6,e4f5
r2qr1k1/ppnn1pp1/2pBp1b1/2Pp2Pp/3P1P1P/P1Q1P1N1/1P6/R3KB1R b KQ -,a7a6
2r2rk1/p2qnpbp/1p2p1p1/4P3/2pP1PP1/P3RN2/1Pb2BBP/R4QK1 w - -,e3c3
r3k2r/p2b1ppp/1qp1p1n1/3pP3/3Q4/1PP5/P2NBPPP/R4RK1 b kq -,e8g8
r3r1k1/1b1n2bp/p1qpp1p1/1p3pP1/4PP1Q/1P1BBR2/P1P4P/3NR1K1 w - f6,f3h3
rn3rk1/p5pp/1pp1b3/2bpPp1q/8/1PN1P1PP/PBQ2PB1/2R2RK1 w - -,c3e2
3bk3/1prb1p1p/3Rp3/p4p2/1PP5/P3NBP1/5P1P/5K2 b - -,c7c8
3r1k2/5p1p/3p1b2/1PP1q1p1/r7/4B1N1/P4PPP/1BRR2K1 w - -,c5c6
r1bqk2r/ppp1bppp/2np1n2/1B6/3QP3/4BP2/PPP3PP/RN2K1NR w KQkq -,c2c4
r5r1/2p5/p2bkn2/4p1pp/4Pp2/5P1P/PPPBKP1N/3R2R1 b - -,d6c5
1rbq1rk1/p1p2ppp/1bB5/3n4/3P4/2N5/PP3PPP/R1BQ1RK1 b - -,d5e7
r4rk1/pp1qbppp/4b3/3pB3/3P4/7P/PPB2PP1/R2Q1RK1 b - -,f7f6
rn1qk2r/1p3ppp/2p2n2/pP2p3/PbPp4/1Q2PP2/1B1P1PBP/RN2K2R b KQkq -,e8g8
2b1qr1k/p5pp/2p1p3/1pPnNrB1/3P3P/P5P1/1P2QP2/R3R1K1 w - -,e5d3
r2q1rk1/1bpnnpbp/1p1p2p1/p3p3/3PP3/2P2NP1/PP1NQPBP/R1B1R1K1 w - -,d2f1
rnbqk2r/1p2bppp/p2ppn2/8/3NPP2/3B4/PPP3PP/RNBQ1R1K b kq f3,d8c7
r4rk1/1p2q3/p1pbpn1p/P1Np1pp1/1PPPn3/4PBP1/5P1P/R1RQB1K1 w - g6,f3g2
r5qr/p1k2p2/1pnNp1p1/n2pP2p/3B1PP1/P1PQ3P/2P3K1/R6R w - -,a1b1
1kbr3r/ppq2p2/2p1nnp1/3p4/3P1NP1/2NBPPQ1/PP6/1KR3R1 b - -,e6f4
1r4k1/1P3p1p/6p1/p2R4/8/6P1/5P1P/6K1 w - -,d5a5
r1bqk2r/bpp2pp1/p1n2n1p/4p3/4P1P1/1BpP1N1P/PP2QP2/R1B1KN1R w KQkq -,b2c3
3R4/8/8/8/4k1K1/3pr3/8/8 w - -,d8e8
4r1k1/2b1r1p1/p4q1p/1pp1pP2/2PpR1Q1/PP1P3P/3B2P1/5RK1 w - b6,g4f3
2k4r/1p1r4/p1p2b2/2P1p1pp/4R3/2P1B1PP/P1K2P2/3R4 b - -,d7d5
r2q1r1k/pp4bp/1n1p2p1/2pP1B1n/5P2/2N5/PP2N1PP/R1BQ1RK1 b - -,g6f5
2k1rb1r/pp3p2/2p1nP2/4PB1p/2P5/2P4P/P2K3B/4R2R b - -,f8h6
r7/3k3p/p1p2n2/2Pp2p1/PP1Pr3/2BN2P1/7P/3R2K1 b - -,d7c7
2r3k1/rqp1bppp/1p2pn2/p5N1/3P4/P5P1/1PQBPP1P/R2R2K1 w - -,a1c1
6R1/1q2k1p1/p6p/1p3p2/2n1p3/1B5P/PP2RPP1/6K1 b - -,e7f6
1r4k1/5pp1/8/1P1n1P2/4R3/1P4K1/2r1B1R1/8 b - -,d5c3
rnbqk1nr/pp2ppbp/2pp2p1/8/2BPP3/5N2/PPP2PPP/RNBQK2R w KQkq -,d1e2:c4b3:e1g1:b1c3:a2a4
rn1qkb1r/1p1b1ppp/p2ppn2/6B1/3NPP2/2N2Q2/PPP3PP/R3KB1R b KQkq -,b8c6
r2r2k1/pp2np1p/6p1/3pq3/1Pn3P1/2Q1P2P/5PB1/R1B1R1K1 w - -,c1b2
8/1p6/p5kP/6N1/4p3/P1P3n1/1P1K4/8 w - -,h6h7
r4rk1/pb1pq1pp/np1p4/3P4/5P2/2N1p1P1/PP2P1BP/R2Q1RK1 w - -,d1d4
r1bqkbnr/pp1p1ppp/2n1p3/8/Q7/6P1/PPP1PPBP/RNB1K1NR b KQkq -,g8f6
r1b2b2/2kr1p2/p1p1pNp1/4PnBp/2P5/3B3P/PPK3P1/4R2R b - -,d7d4
3r3k/ppp3p1/4Qb1p/3P4/2q5/P3B2P/6P1/6RK w - -,g1d1
8/5pk1/1R4p1/7p/p1b2K1P/P3P3/8/8 w - -,f4g5
r5k1/3n1ppp/p1pqr3/3p1b2/N5B1/1P2P3/P4PPP/2RQ1RK1 b - -,e6h6
3rnrk1/p3qpp1/1p4b1/1Bp4p/4P2P/1QB2P2/PP3KP1/3R3R w - -,d1d8
8/8/1kp2Nb1/p6R/P1pK4/6P1/1r6/8 w - -,h5g5
r1b2rk1/p4pbp/1pn3p1/3Nq1Pn/8/1NQ1BP2/PPP4P/2KR1B1R b - -,e5d5
4r2r/ppkn3p/5p2/PPb1p3/R1P1Rp1P/5N2/1B3PP1/6K1 w - -,a4a1
r1bqk1nr/ppp1ppbp/2np2p1/8/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq -,g1f3:d2d3:e2e4:e2e3
2r5/6pk/1R5p/4N3/r1b1pP2/P1RpP3/6PP/6K1 w - -,b6d6
8/4pk1p/4rbp1/2B5/2R2P2/4P3/6PK/8 b - -,e6c6
2k1r1r1/pp3p2/1npP1p2/7q/6b1/Q1P1B3/PP2BPPP/R3K2R w KQ -,a3a7
8/4k1p1/3RPpK1/r7/2p3pP/6P1/8/2R5 b - -,e7d6
4k2r/1bqnbppp/3p4/npp1pP2/4P3/2PP1NPB/1P2QR1P/2B2NK1 w k -,c1g5
3r2k1/p4rq1/1p4p1/4Ppn1/3n3N/PP3PP1/2QR4/3R2K1 w - -,d2d4
b7/4pnk1/2qb1pp1/1R6/6P1/P6Q/5N2/5BK1 w - -,h3e3
