8/4k3/2K1p3/4p2p/4P2P/5P2/8/8 b - -,e7f7
3r1rk1/pp2q1bp/2pp3n/5b2/2P5/BPN2pPP/P2Q1PB1/2RR2K1 w - -,g2f1
2kr3r/ppp2ppp/2n5/q2n2B1/1b4b1/2N2N2/PPP2PPP/R1Q2RK1 w - -,g5d8
8/8/4n2p/K1k4P/2P1pp2/8/3BR3/1r6 w - -,a5a6
r1bq1r1b/1p1n1k1P/3p4/3Np1pQ/2P1P1P1/1p6/P6R/R3KB2 b Q -,f7g7
2r2k2/1p1R3p/p7/6R1/5p2/2P1bN2/Pr4PK/8 b - -,c8c6
8/2r1k3/2P1Bp1p/5PbP/6P1/3R4/2Kp4/8 w - -,e6d5
6k1/4r1p1/5pBp/3b4/8/8/1R4PP/6K1 b - -,e7b7
4rr2/ppnk2pp/3p4/3b1p1P/3PpB1R/P1N1PP2/1P3KP1/2R5 w - -,c1g1
2r2r2/6kp/pq3npb/1p1p4/3Np2Q/2P3P1/PPN2PBP/5RK1 b - -,c8e8
5rk1/1p2pp2/1p2bb1p/3p1N2/4n3/1N1B2B1/r5PP/1R3R1K b - -,e4g3
rn1qrbk1/pb1p1ppp/1p2pn2/8/N1PP1B2/3B1N2/PP3PPP/R2Q1RK1 w - -,a4c3
6k1/3b1pp1/p4b1p/q7/3P1P2/1rN2BP1/3Q3P/3R2K1 w - -,c3e4
8/1p1b2k1/p5p1/2ppn3/5bP1/P1P2P2/1P2R1K1/6R1 b - -,d7c6
7R/8/8/8/5kn1/6r1/2K5/8 b - -,f4e4
r1n1k2r/1pbq1b1p/p1n2p2/2p1pPp1/2PpP1P1/3P1BN1/PP5P/R1BQNR1K w kq -,g3h5
6k1/6pp/1ppq1p2/p1n1pP2/P1P5/1PQ2P1P/6P1/2Rr1BK1 w - -,c1c2
rnbq1r2/1p4bk/2pp1npp/p3p3/2P1P2N/P1NQ2P1/1P3PBP/1RB2RK1 b - -,b8a6
8/2k2p2/2P1p3/4P3/2R2P2/2K5/2P5/5r2 w - -,c3d3
4k3/5p2/8/p1PN4/n2P1B2/8/2K5/7r b - -,h1h4
4r1k1/ppp2pp1/7p/2R1p3/1Pq1P3/P3QP2/5P1P/6K1 b - -,c4a6
6k1/1br2pp1/p3p2p/1pp1n3/1P1rP3/P2P2PP/2RN1P2/2R2BK1 w - -,d2b3
1qr2r2/1p1bppbk/p1np1np1/7p/P1PNP3/1PN1BP2/3QB1PP/2RR2K1 w - -,g1h1
3rk2r/1bq1bppp/ppnppn2/8/2P1P3/PPN1QN1P/3RBPP1/R1B3K1 w k -,c1b2
r1bq1rk1/6b1/p2p2np/2pPppp1/R3P3/3B1P2/1PPNQ1PP/2B2RK1 w - -,g2g3
8/p2p1pbk/1p3qpp/1b1P1n2/8/B5P1/PP1N1PBP/2Q3K1 w - -,d2f3
r2q1rk1/4bppp/p2p1nb1/2p5/2pPP1P1/4BN1P/PPB2P2/R2QR1K1 w - -,e3d2
8/5p2/7p/4r2R/K3k3/6P1/8/8 w - -,h5h6
4r1k1/1p1q1pp1/5r2/3P2Qp/5R2/1B3bP1/P4P1P/4R1K1 w - -,e1e6
4k2r/npR2p1p/6p1/1r2P3/p4P2/P3KN2/6PP/7R w k -,f3d4
r1b1k1r1/1p1p3p/p3pp2/3nB1P1/8/5N2/P1P4P/R3KB1R w KQq -,g5f6
3rk3/pp1nbpp1/2pq1n2/3p3r/3P2p1/1PNBP1P1/PB2QPK1/2R1R3 w - -,e1h1
1k6/pp2R3/4p3/5p2/2p2K2/8/P1Pr4/8 b - -,d2c2
r3kb1r/1p2pppp/1Qp2n2/pB1P1P2/Pq6/2N2P2/1P4PP/R3K2R b KQkq -,c6b5
5nk1/1bp1Qp2/1p2p3/1P5P/r2P4/8/5PP1/4R1K1 w - -,e1e3
5k2/4Rp1P/8/4p1P1/4r3/6K1/8/8 b - -,f8g7
8/3k4/3b1p1r/p7/Pp1P4/5R1P/1P2R1K1/8 b - -,d6e7
1b1r4/p4pk1/2R4p/r5p1/P1R5/3P2PP/4PP2/5K2 w - -,d3d4
8/3b4/5p2/p1k5/2p2K2/P1P5/2B5/8 b - -,c5b5
r2qk2r/1p1bbppp/1n2p3/3pP3/1B1P4/pP1BNN2/P4PPP/R2QR1K1 b kq -,e7b4
1r6/2pb1rkp/p2p1npb/1pPPpp2/1PN1P3/P1N2PP1/4K1BP/1R3R2 w - -,c4e3
r1bqk2r/1p1pbppp/p1n1p1n1/2p5/3PP3/2P2N2/PP3PPP/RNBQRBK1 b kq d3,c5d4
rq3rk1/pb2bppp/1p1ppn2/1N6/Pn2PP2/2N1BB2/1PP2QPP/R4RK1 b - -,d6d5
2r5/p1rn2kp/Pp1q1pp1/1Qpp4/3P3P/1P2PNP1/2R2P2/2R2K2 b - -,d6e6
rnbq1rk1/pp2bppp/4pn2/3p4/2Pp4/1P1BPN2/P4PPP/RNBQ1RK1 w - -,e3d4
r2k4/1p1r4/2p1bpp1/p1n1p2p/P1P1P3/1P3PKP/3R2P1/N2R1B2 w - -,g3f2
4r1k1/1ppb1qrp/p3p3/2Pp1pP1/1B1P1P2/P2B1P2/1P5Q/2K4R b - -,g7g6
8/8/8/8/5kpp/4p3/3bR3/5K2 w - -,f1g2
8/8/5k2/P5pp/3n4/6P1/2B2PK1/8 b - -,d4c6
8/ppb1k2p/6p1/1NP1P3/5P2/2P5/2K4P/8 b - -,c7b8
8/r1b2ppk/p1r2n1p/2p5/R5P1/2N1B2P/1P3PK1/R7 w - -,c3b5
8/2bkB3/r3bp2/6pp/2NpB3/3P2P1/1R2KP1P/8 b - -,d7e7
r1bqk1nr/1ppp1ppp/2n1p3/p7/1bPP4/5NP1/PP1BPP1P/RN1QKB1R b KQkq -,d7d6
r1q2rk1/1p2bppp/p1b1p3/4B3/4B3/1P6/P1P1QPPP/3R1RK1 w - -,e4d3
1r3rk1/1p1qbppp/p1npb3/2p1p3/P1B1Pn2/1PNP1N1P/1BPQ1PPK/R3R3 w - -,c3e2
6k1/p2q1pp1/1p2rn2/7p/2QP4/P4P2/5N1P/R1B3K1 b - -,e6e1
r2qkb1r/pp1n1ppp/2p2n2/3pNb2/3P1P2/4P3/PP1N2PP/R1BQKB1R b KQkq f3,d7e5
3r2k1/p1r2p1p/1p2p1p1/8/3P4/1bP1RP1P/P5P1/3R2K1 w - -,a2b3
8/7k/p1r4p/8/2p5/2K5/P7/7R b - -,h7g7
5r2/p6k/b5p1/5p2/4p1P1/1Bb1B3/n2p2NP/5R1K w - -,f1b1
2k5/1p6/1K2p1p1/P2pPp2/5P1B/4P2p/5n2/5B2 b - -,h3h2
6k1/7p/pR2p3/P3Np2/3rn3/8/1P4K1/8 b - -,d4d6
8/8/1p6/2pPpB2/P1N1P1pk/2P4p/5r2/7K w - -,c4e3
8/7R/4pk2/3p4/1r3P2/4K3/7P/8 b - -,b4b3
8/pp2r3/2b2kpp/2P5/3KpPN1/P7/7P/6R1 b - -,f6f5
4r3/p5kp/6p1/2Pn1p2/5P2/3P4/PN1Bn1RP/1r1N1K2 b - -,e2f4
4r1k1/ppb2p2/3r1q1p/2p4Q/P2n1P2/3BN2R/1P4PP/5RK1 b - -,d4f3
4r3/1r3k1p/3qnpp1/Qp1p1P2/p2P2P1/2P1R3/PP1N4/2K1R3 b - -,g6f5
8/8/7n/7P/8/7K/5k2/4n3 w - -,h3h4
6k1/4ppbp/p5p1/1p1P1b2/1N6/8/PP1N1nPP/3K3R w - -,d1e1
rn1q1rk1/pbp1bppp/1p2p3/3N4/8/3P1NP1/PP1BPPBP/R2Q1RK1 b - -,b7d5
r2r2k1/1bq1bppp/pp2p3/3pP3/Pn2nP2/1PN2N2/1BP1B1PP/2R1QR1K w - -,c3e4
2B5/8/8/6kp/P7/6p1/4K1b1/8 w - -,a4a5
8/p2r2p1/1pR3kp/3N1R2/4P3/1n3P2/r5PP/6K1 b - -,g6h7
3r1r2/pp4pk/2p1pb1p/4B2n/4NP1P/4K3/PPP2P2/6RR w - -,g1d1
4qrk1/2b3p1/p2p3p/P1pPp3/1pP1Nr2/4R2P/1P2QPP1/4R1K1 w - -,e2d1
2rqr1k1/2pnNppp/1p1p4/p3P3/2Q2P2/2P4P/PP3BP1/3RR1K1 b - -,e8e7
rnbqr1k1/1p3p1p/p2p1bp1/2pP2Bn/P3P3/2NB1N1P/1P3PP1/R2Q1RK1 w - -,g5h6
4R3/p2r2k1/1p1p2r1/3B1p2/1PP5/5K2/P7/8 b - -,g7f6
rn3rk1/pbq1ppbp/1p4p1/2p5/2BPP3/2P1B3/P3NPPP/2RQ1RK1 w - -,f2f3
rnb2rk1/pp1q1pbp/4p1p1/2pP4/4P3/1QP2N2/P4PPP/R1B1KB1R w KQ -,f1c4
1k2r3/3bbR2/3pp2r/Qp2p3/2q1P1B1/2N4P/1PP5/1K1R4 b - -,c4c6
2r5/p5p1/3nPk2/3P4/1P3NR1/2p5/P1K4P/8 b - -,d6f5
8/8/r1B2k2/2K2b2/5P1P/4R3/8/8 b - -,a6a2
1r1q3k/R3bp1p/3p1p2/3bp1r1/1pP1P3/3B1Q2/1P3PPP/R5K1 w - -,e4d5
rnbqk2r/pp1p1ppp/4pn2/8/1bPN4/2N5/PP1BPPPP/R2QKB1R b KQkq -,b8c6:e8g8
8/8/8/8/3kp3/R7/1r6/4K3 b - -,b2c2
8/2p5/3k3p/4p1p1/2B2p2/4KPP1/4P2P/8 w - -,g3f4
2r2rk1/pp3pp1/4p2p/4P3/1b1P4/3R2PN/PP5P/1K3R2 b - -,f8d8
5k2/8/K5p1/2P5/8/4R1P1/1r6/8 b - -,b2c2
5rk1/1ppn2p1/p2brpq1/2p1pN1p/4P2P/P2PB3/1PP1QPP1/R4RK1 b - -,g6e8
r3k2r/1p2bppp/1pn2n2/3Npb2/8/3P1NP1/PP2PPBP/R1B2RK1 b kq -,f6d5
1r2k2r/3b1p2/1q6/3pP3/p2P3p/4B1P1/R2Q2KP/5R2 w k -,f1f6
r2qk1nr/1pp3pp/p1np4/8/B1b1p3/2PP3R/PP3PPP/RNbQN1K1 w kq -,d1c1
8/4k2p/R5p1/1N1p4/n1r4P/P1p3P1/P1K2P2/8 b - -,e7f8
8/2k5/2p1p3/1pPp1p1r/pP1q1Pp1/P5P1/4KNR1/6Q1 w - -,f2d3
r1bqrbk1/1p3ppp/2pp1n2/p7/2P1P3/1nN1B1PP/PPQ2PB1/R4RK1 w - -,a2b3
r2q1rk1/pp2bppp/8/8/1PPp4/P2R2B1/4QPPP/4K2R b K -,f8e8
5k2/1b5Q/p2bpp1P/1p6/8/8/PPP2PPK/3r4 w - -,h2h3
r2qr1k1/ppp1bppp/2bp1n2/6B1/3QP3/2N2N2/PPP2PPP/1K1RR3 b - -,f6d7
R7/6k1/4p1p1/4P2p/P3KP1P/r7/8/8 w - -,a4a5
6k1/5pp1/2n1pbp1/3p4/1P6/P4P1P/6P1/2B3K1 w - -,g1f1
5b2/5k2/p4pp1/8/P1pp1PP1/5K1P/8/2B5 b - -,f6f5
r2qk2r/1p1b1p1p/p1nppnpQ/8/4P3/1NNB4/PPP2PPP/R4RK1 w kq -,a1d1
1k1r3r/p1pb1Qpp/1p6/2n1P1q1/3N4/2N5/PPP3PP/3R1RK1 w - -,f7f4
Q4bk1/5pp1/1p2q1p1/pr1p2P1/8/1P1RPN1P/5PK1/8 b - -,b5c5
r4qk1/2p1nr2/3bQ3/1p2p1N1/1P1pP3/P2P4/2R2PPP/R5K1 w - -,f2f4
r1b1n1k1/pp3ppp/8/2p5/2Pp4/3P2P1/PP1N1PBP/R5K1 b - -,a8b8
2r1kb1r/1bq2ppp/p1Nppn2/1p6/4P1P1/2N1BP2/PPP2Q1P/2KR1B1R b k -,c7c6
8/7R/4pkpP/8/1K6/8/7r/8 w - -,b4c4
8/3k4/4pK1B/1p3p2/6r1/8/4R1P1/8 b - -,b5b4
r3k2r/pp2bp2/1qn1b3/4pp2/8/1NP3p1/P1QNPPBP/1R3RK1 w kq -,h2g3
5rk1/1pq4p/4p1pb/1pPpp3/1P2P3/3B1rP1/4QPKP/R4R2 w - -,e2f3
1r4k1/2q1rpp1/1p1N1n1p/2n1pB2/2P3b1/5NP1/P1Q2PP1/2RR2K1 b - -,e5e4
8/3nk1pp/1p1q1p2/pQ1PpP2/P1r1P3/6P1/7P/5BK1 w - -,f1c4
r1b2rk1/1p3p1p/n1pp2p1/p1q2P2/P1PRP3/2N2QPP/6BK/R7 w - -,a1d1
r1b2rk1/ppp1qppp/1b1p1n2/4n1B1/1PB1P3/1QPP1N2/P5PP/RN2K2R w KQ -,b1d2
5k2/1R3p2/4bKp1/5p1p/5P2/6P1/7P/8 b - -,f8g8
r1bq1rk1/p3ppbp/2pp2p1/3nP3/3P4/2N2N2/PP3PPP/R1BQ1RK1 w - -,f1e1
2b2rk1/r4ppp/p4P2/1pq1p1P1/4Q3/2PB4/PP5P/2KR3R b - -,g7g6
8/5Qpk/4p2p/p7/1b3NP1/5q1P/8/7K w - -,h1h2
r4rk1/pp2pp1p/4b1p1/4P3/3qBn2/1QN5/PP3PPP/R4RK1 w - -,b3c2
3r1r1k/pp2np2/1q2bN1p/3pPpp1/7N/2PR4/PP1Q1PPP/5RK1 b - -,h8g7
R7/3r4/7P/p1p5/1k3PK1/8/8/8 w - -,a8b8
r2q1rk1/5pp1/3bpn1p/p2bN3/3P1B2/3B3P/1P2QPP1/R1R3K1 b - -,d8b6
5r2/pp5k/2p1QBp1/6Pp/7P/1P1q2K1/8/8 w - -,g3h2
7r/4k3/4p1p1/p3b3/P3N3/1r6/5PB1/2R3K1 b - -,h8d8
1n6/8/1r3k1p/RBpP3P/2P5/P7/K4P2/8 b - -,f6e5
r3r1k1/p4ppp/1p3q2/2pp4/3Pn3/1P1QPNP1/5P1P/R4RK1 w - -,f3e5
2r2rk1/3q2bp/1n4p1/2p5/3pn3/1P1N2P1/1BQ2PNP/4RRK1 b - -,e4g5
8/4r3/P4pk1/R7/P2K2P1/8/8/8 b - -,e7a7
5rkn/pp4p1/2rNp2p/q2pP2P/B2P4/4R3/PQ1N1PP1/6K1 b - -,a5a4
r5k1/6bp/6p1/p1R1pp2/4p3/1PB3P1/4PP1P/6K1 b - -,a8b8
4rr1k/2q3pp/p5b1/1p3pBB/4p2Q/2Pn4/PP2R1PP/5R1K b - -,g6h5
8/4B1k1/6P1/p1p1Nb1K/P1P1n3/8/8/8 b - -,e4g3
r2qr1k1/pp3pbp/2p2pn1/8/2PP2b1/P3BN2/3QB1PP/4RRK1 w - -,h2h3
1r6/1pn2kp1/p1p5/2P2pP1/P2P4/2N1PK2/5P2/7R b - -,c7e6
8/1p1kppr1/pr1p2np/6p1/4P3/5P1P/PPPR2P1/1K3B1R w - -,f1c4
8/2k5/1p2rp2/2rN3p/2P2RP1/6KP/5P2/8 b - -,c7b7
1kn4r/2N3p1/1p2p3/1P2P3/q2Q1P2/4B3/1KR5/8 b - -,a4d4
2q3k1/2r3p1/4b2p/p1n1Np2/2PR1PP1/P1Q1P2P/1PB5/K7 w - -,c3d2
1rr3k1/5pbp/6p1/Q1nn4/3p4/P5PP/1P3P2/R1B1N1K1 w - -,a1b1
2rnr1k1/3qbppp/1p3n2/pN1pB3/P1PPp3/1P5P/3QBPP1/2RR2K1 b - -,d8c6
1rb2rk1/1p2n2p/p2ppppQ/8/q3P3/3P1NPP/1P3PB1/1R3RK1 b - -,c8d7
2k5/R7/4pp2/2K5/2P2r2/5P2/8/8 w - -,c5b5
r2qk2r/pppnbppp/2b1p3/8/2PPn3/3B1N2/PP2QPPP/R1B2RK1 w kq -,d3e4
2r2rk1/pp1b1p1p/3n2p1/3P4/2PQ1p2/1P6/P5PP/3N2K1 b - -,f8e8
r3k2r/pp1qppbp/2n3p1/1B1p4/3P1B2/2P1P3/P4PPP/R2Q1RK1 b kq -,a7a6
2r1r1k1/1p3pp1/p4n2/3pnqp1/5N2/PP3P2/2PQ1BPP/2RR2K1 w - -,f4d3
r1b2rk1/ppp1bppp/8/3q4/3P1p2/5N2/PPP3PP/R1BQ1RK1 w - -,c1f4
r1q2rk1/ppp1ppbp/bnn3p1/8/3PP3/P1N2NP1/1PQ2PBP/R1BR2K1 b - e3,e7e5
3r2k1/8/4pPp1/1PP4p/1K1pp3/8/8/3R4 w - -,c5c6
8/1pkr1b1p/p4Q2/4P3/2qNp1P1/2N5/PPP5/1K1R4 b - -,d7d4
k7/5R1R/8/p1p1p2P/2PbP2B/8/rr3PK1/8 w - -,h7h8
1r1q1r2/p4pkp/2npb1p1/2p5/2P1P3/1PR1Q3/P4PP1/1B3RK1 b - -,d8f6
r4rk1/1pqbnpp1/3Np2p/2P5/p7/P1R5/1P1Q1PPP/1B2R1K1 b - -,d7c6
5rk1/pp4pp/qbp2r2/3p1p2/1PnN4/P1PQPPP1/7P/2BRR1K1 w - -,g1h1
3r1rk1/ppq1bppp/1np1pnb1/8/P1B2P2/2NPBQN1/1PP3PP/4RR1K w - -,c4b3
8/1R6/pP1r1k2/2p3p1/6P1/P7/8/4K3 b - -,f6e5
r1bq1rk1/pppn1pb1/6pp/3Np2n/2P1P3/4BN1P/PP1QBPP1/R4RK1 b - -,c7c6
1r6/3b1p2/3k1p1p/1p1N4/2ppPP2/1P3BP1/1KP4P/8 w - -,d5f6
6k1/2nn1pp1/7p/2pP4/2P4P/3N2P1/5P2/5BK1 b - -,c7e8
5bk1/5p1p/4Q1p1/8/2P2P2/1P4PP/6BK/8 b - -,f7e6
r2q1rk1/pp2ppbp/2n1b1p1/2Pp4/3Pn3/2N1BN1P/PP2BPP1/R2Q1RK1 b - -,e4c5
8/4bk2/4pB1p/7N/5P1n/5b1K/8/1B6 b - -,e7f6
6k1/5pp1/7p/8/bp2P3/3BN3/3b1PPP/5K2 w - -,f1e2
8/1R4N1/5pk1/p4P1p/P2n3K/1P5P/1r4P1/8 b - -,g6h6
n7/np3pk1/4p1p1/pP1pP3/3P1PP1/1P1B4/1KN5/8 b - -,b7b6
8/5k2/8/pBpb2p1/P3r3/R7/2P5/6K1 w - g6,a3c3
rn1qkb1r/1bp1pppp/p4n2/1p6/2pP4/2N2NP1/PP2PPBP/R1BQK2R w KQkq -,e1g1
rnb1kb1r/1pqp1ppp/p3pn2/8/2PNP3/2N5/PP2BPPP/R1BQK2R b KQkq -,b7b6:f8e7:f8b4:d7d6:b8c6:f8d6
2bk1r2/1p5p/r1npp1p1/p4p2/NbP2P2/1P3BP1/1P2PBKP/R2R4 b - -,c8d7
3q1rk1/3nppbp/rn1p2p1/2pP4/4PN2/1PN1BP2/P2Q2PP/R3K2R w KQ -,e1g1
8/p7/1p1k3p/3p1P2/3P1Ppb/2K1B3/P6P/8 w - -,a2a4
rnb2rk1/ppp1qp1p/3p2p1/4b3/3BN3/7P/PPP1BPP1/R2QK1NR w KQ -,g1f3
r3k2r/1p2pp2/1q6/pN1p1p2/2P5/P2Q4/1P3P1b/1RB2R1K w kq -,d3f5
2rr2k1/pb4bp/1pn1p1p1/8/2PP2n1/P1BB1NP1/3NK2P/3RR3 w - -,h2h3
3r2k1/5pnp/3P1qp1/p3r3/1pP1b3/1P3P2/1P1QNR1P/3R2K1 w - -,f3e4
6k1/2Q2pp1/4p1n1/6p1/p2q2P1/3r3P/PPR2PBK/8 w - -,c7b8
3q1rk1/5pp1/1n2p2p/1B3n2/3PN3/8/1P1Q1PPP/3R2K1 b - -,d8d5
2b1r1k1/p5b1/2p2qpp/5p2/3Np3/1PP3NP/P2Q1PP1/3R2K1 w - -,d4e2
r5k1/5p2/2n3pR/3Np3/2p1P1P1/1pP2N2/1P6/1K6 b - -,g8g7
6k1/pp2r3/3R4/3p4/8/1P4P1/1r6/3R3K w - -,d6d8
1r1rbkn1/p3ppbp/Bp4p1/1N2P3/1P1n1P2/P3B2P/3R1KP1/3R4 w - -,b5d4
2r2bk1/1pr2p1p/1n2p1p1/pP1q4/P1nP4/1Q1B1N1P/2R2PP1/R3B1K1 w - -,c2e2:a1d1
2r1r1k1/pb2qppp/1p2pn2/4N3/P1PP4/bnBB2N1/4QPPP/3R1RK1 b - -,a3b4
4r1k1/pq1npp1p/1p1p1np1/2rN4/2PQ4/1P2N1P1/P3PP1P/R2R2K1 w - -,a1c1
2kr3r/1ppbn1pp/p2b1p2/2p5/4PN2/2N1B3/PPPR1PPP/R5K1 b - -,h8e8
r7/1p1R3p/2b1k1p1/1pn1p1P1/2p1P3/P1P1KN2/1PB3P1/1R6 b - -,c5d7
5r2/1p6/p2bkp2/P2Rp2p/2P1P1p1/1P4P1/7P/4BK2 b - -,f8f7
r3kb1r/pp3p2/1qn1p1p1/2ppPn1p/2PP1P2/1P3N2/P3NBPP/R2Q1RK1 b kq c3,a8d8
8/1pk5/p1pr1rp1/P2pNp1p/1P1K1P1P/1B2P3/8/2R5 b - -,f6f8
r2q1rk1/1b3p1p/p1n1pbp1/1p6/3PN2P/1BPQ4/P4PP1/R1B1R1K1 b - -,f6h4
8/3k1ppp/2p1p3/4P3/1Pp2P2/r7/P3KP1P/2R5 b - -,a3a2
2r2rk1/1p3ppp/p3P1b1/q3n3/1b1N1B2/5P1P/4B1P1/2RQ1RK1 w - -,d4b3
2b5/8/5q2/1p5B/7k/2P1Q3/2K5/8 w - -,h5e2
8/3nk1pp/3bpn2/8/6rQ/2R3P1/K7/8 w - -,h4h3
r1bq1rk1/1pp2ppp/p3pb2/nB1p4/3PP3/2N2N2/PPP2PPP/R2QR1K1 w - -,b5d3
6k1/1bB1b1pp/p1p1pp2/1p6/2P2P2/1P1P4/P4PBP/6K1 w - -,c4b5
r1b1kb1r/2qp1ppp/p1n1p2n/1pp1P3/6P1/1P3N1P/PBPPQPB1/RN2K2R b KQkq -,c8b7
8/8/5k2/Np4p1/2P5/5PK1/P7/3n4 b - -,b5c4
8/4k3/4p2p/1Br5/8/5pK1/2nR1P2/8 b - -,c5b5
8/8/8/8/2n5/8/2kb4/K7 b - -,d2c1
r2qk2r/pp3ppp/2p2n2/2b1p3/2BnP3/2NP3P/PPP3P1/R1BQK2R w KQkq -,a2a3
r5k1/6p1/1p2p2p/2nn1p2/1N6/5PP1/PP1BP1KP/2R5 b - -,d5b4
r1b1k2r/ppq1ppbp/2np2p1/7n/4P3/2NBBN2/PP2QPPP/R2R2K1 b kq -,e8g8
1k6/1p2b2p/4N1p1/4P2n/1q3p1P/1B1R1P2/P6R/2K5 b - -,b4e1
R1r1nk2/5p2/pBP1b2p/P1K1p3/4P1p1/5P2/3RB2P/8 b - -,c8a8
1r6/4rkp1/ppR4p/3P4/8/6P1/PP1R1PK1/8 b - -,e7d7
3rr1k1/1pp2pp1/5n1p/2Pn4/pPb1p3/P3P1PP/1B3P2/2RR1BK1 w - -,f1c4
4r3/2R2pkp/6p1/2pN4/8/8/3b1PK1/5B2 b - -,d2b4
r3rnk1/pp2qp2/2pp1npb/5b1p/PPPPp3/1QN1P3/1B1NBPPP/4RRK1 w - -,d4d5
r7/2p1n3/3b1k2/1p2pP2/1P1pP1P1/P2P4/2R4P/R5K1 b - g3,a8h8
r1b1Rbk1/pp3p1p/6p1/1q3p2/3Q1P2/2P5/PP4PP/1K3n1R w - -,d4d8
1rb1r3/1pkp4/pR2p3/P1P2p1p/1P3Pp1/6P1/1R3KBP/8 b - -,b8a8
r4rk1/pb1n1pbp/q4np1/Bp2p3/1Q2P3/1P3NNP/P4PP1/R3RBK1 b - -,b7c6
r2q1rk1/2nnbppb/4p2p/pppP4/8/PPBPPNPB/2QN1P1P/R3R1K1 b - -,c7d5
1r2r1k1/1p1q1ppp/2p2b2/p2n4/P1BP1P2/1Q3R2/1P2N1PP/3R3K b - -,d5b4
1r3r1k/pp4p1/8/4NQ1p/5p2/7P/PPP2PP1/R3R1K1 b - -,f8f5
3rr3/ppp2pbk/2b3pp/8/P3P3/4BP2/1P4PP/R1Q3K1 w - -,a1a3
8/r5k1/2RN3p/3n2p1/p7/P4P1P/6PK/8 b - -,d5e7
r4rk1/2p1q1n1/3p1n2/pb1P1Pp1/1p1b2B1/4NR1R/PPP3QB/3N3K w - -,g2d2
7R/8/8/8/5p1p/5krK/8/8 w - -,h3h2
2r5/p4pk1/1p4p1/3b3p/1P1K4/P4P2/1R4P1/1N6 b - -,c8d8
rn1r2k1/1p2qppb/2p1pn1p/p1P4P/3P1B2/1Q4N1/PP2BPP1/3RK2R b K -,a5a4
2bqnr1k/1p4pp/1rp5/p1Np1p2/3P1B2/P3PP2/1PQ3PP/2KR3R w - -,b2b3
8/8/p7/8/4R3/2k1p1Kp/8/8 b - -,a6a5
r1bq1rk1/1pp3bp/n2p2p1/p2Ppp1n/2P1P3/2NBBP2/PP1QN1PP/R4RK1 b - -,c8d7
r3k2r/pp1bnppp/1qn1p3/3pP3/1b1P4/3B1N2/PPNB1PPP/R2QK2R b KQkq -,b4d2
r1b4r/1pk3pp/p2b4/4pp2/8/4BB2/PPP1KPPP/R2R4 w - -,f3d5
2r3k1/pp3ppp/1B2p3/4P1q1/2r5/P5P1/1P2QP1P/R3R1K1 b - -,a7b6
r3k2r/ppnqpbb1/1np4p/P4pp1/1P6/2NPBNP1/4PPBP/1RQR2K1 b kq -,b6d5
1k5r/p4pp1/1p1r1n1p/2p5/3n4/P1N1R1P1/1P3PBP/3R2K1 b - -,h8d8
8/1p6/2k5/P1P2K2/1B2r3/P7/8/8 b - -,e4e8
2kb2r1/Rp2nppp/4p3/1PPpP3/3N4/8/3BKPPP/8 w - -,a7a8
