8/1p6/4k3/1PP4p/5K2/1b6/N7/8 b - -,b3a2
8/3k4/3b3p/p4K2/2B2P2/2BP4/8/5r2 b - -,f1f4
r3k2r/1bpnqpb1/p2p1n2/1p3pNp/3P3P/P1NBB3/1PPQ2P1/2KR3R b kq -,f6e4
r3k2r/3p1pp1/p3pB1p/8/5PPP/5b2/PPPR3R/2K2B2 b kq -,g7f6
r1bqkb1r/1ppn1ppp/3p1n2/pP2p3/2P5/4P3/PB1P1PPP/RN1QKBNR w KQkq -,d2d4
r3r1k1/p2p1p2/1p4p1/2pQq3/8/8/PP3PPP/R2R2K1 w - -,d5e5
r1bR2k1/p3bppp/2p1pn2/8/4p3/2N1BP2/PPP1B1PP/2K4R b - -,e7d8
rnbq1rk1/pp3ppp/4pn2/2bp4/5B2/2P1PN2/PP1N1PPP/R2QKB1R w KQ -,f1d3
2r2Qnk/6pp/1p5q/4P1b1/3pB1P1/PP6/3B3p/5R1K w - -,f8c8
8/pp1rkp2/1bp1bn2/6B1/2P4P/5N2/P1B2PP1/1R4K1 w - -,f3e5
1Q6/4qpkp/1p4p1/8/4b3/5N1P/P5PK/8 w - -,b8b6
5rk1/1p2b1pp/p2Bq3/2P5/P3R3/1P5P/2Pr2PK/4R3 w - -,e4e6
r2r2k1/pbq2pb1/1p2pnpp/2p5/3PP3/2PB1N2/P2BQPPP/RR4K1 w - -,a2a4
8/3n4/3q2kp/2p2pp1/p1P1p3/P3Q1PP/1P2NK2/8 w - -,f2e1
4rrk1/1bq2ppp/p2bp3/1p2N3/2pPnP2/2P1B2Q/PP2B1PP/4RRK1 b - -,f7f6
6k1/1p1b1p2/3R1Qp1/2p5/PpP5/1q6/6PK/8 b - -,b3c3
8/2kr4/7R/7p/PKB5/1P6/7r/8 b - -,h5h4
3r2k1/p1q2p2/1p3bpp/1P2p3/2p1P2P/1nP3P1/1PQ1NP2/R4BK1 w - -,a1d1
8/8/2Bb1k2/R7/1p6/pb5P/1P4K1/8 w - -,b2a3
3q1r2/p6p/1kp5/3P4/2B1b2b/P3Q3/1P2N1Pp/2R4K b - -,c6c5
1rbqr3/p4pk1/2p3p1/3pP3/3b1P2/1PNB2P1/P2BQ1Kn/4RR2 w - -,f4f5
2r3k1/p4pp1/1p1q3p/7P/6P1/1N1pB3/8/1R1B2K1 w - -,e3f2
5rk1/pq6/1p6/4B1pp/2P3P1/1P2RNK1/P7/8 b - -,h5h4
2r2r2/p2bppkp/6p1/qp1p3P/3P4/1RPBP3/P2Q1PP1/4K2R b K -,a5b6
4r1k1/1pq3b1/p2p2Pp/3P1p2/3p1P2/3Pr3/PPPQ2B1/1R2R1K1 b - -,c7e7
6k1/2Rnrpp1/3p3p/5Q2/1q1P4/6P1/1B3P1P/6K1 b - -,b4b2
1k1r3r/ppp1q1pp/2p1bp2/2n1p3/4P3/2NPQN1P/PPP2PP1/2KR3R w - -,d3d4
1r4k1/1p3pp1/5nq1/5b1p/r1P1pP2/B1Q1P3/PR4PP/4KB1R w K -,a3d6
r1bqk2r/1p1n1ppp/p2ppn2/8/1b2P3/1NNQ4/PPP1BPPP/R1B2RK1 b kq -,e8g8
3r4/R2P4/1p2p1pk/4p2p/4P3/8/P4PPP/6K1 b - -,h6g5
2kr1b1r/p4p2/4pP2/2n4q/P2pBB2/1p4P1/1P3P1P/RQR3K1 b - -,e6e5
3Q4/p3npk1/4r3/PP3q2/3p1Bp1/3P2Pp/1R2PP1K/8 w - -,d8d4
8/p6p/3k2p1/1Pp5/2P1K1P1/7P/1P6/8 b - -,d6e6
1r2r1k1/p1bn1p1p/8/4q3/8/P3pB1Q/1P2N1PP/1RB4K w - -,c1e3
8/4pk1p/6p1/5p2/r2b1P2/3PBK1P/P1R3P1/8 w - -,e3d4
2k3r1/pbqnbp1r/1pn1p3/2p1P3/1PPpNPp1/P2P2P1/2NBQ1B1/RR4K1 b - -,g8h8
8/8/2k3Kp/8/5P2/8/7n/8 w - -,g6h6
2kr4/1p3pp1/p3p2p/qn1b4/5P1B/P1rBQ3/1PPR2PP/1KR5 w - -,b2c3
2r5/4kp2/p2p1p2/1p3P2/3pPb1P/PP6/1P2B3/1K1R4 w - -,h4h5
8/1p6/p7/P2b1p2/1R1N1pk1/1P5r/5K2/8 w - -,b4b6
8/5ppk/7p/3p4/R2N1P2/2PK2Pb/2R4P/6q1 b - -,h3f1
3r4/5k1p/1p2p1p1/p1n2p2/2P2P2/1PN1RK2/P4P1P/8 b - -,h7h6
5r2/5p1k/5Pp1/pp5p/1Nr5/2P5/PP4PP/3R1R1K w - -,b4d5
3R4/5pkp/4p3/4n1p1/1p2P3/2r1P3/4BK1P/8 b - -,c3c2
4r3/8/1P1p2k1/3P3p/1P6/4R2P/5PK1/8 b - -,g6f7
3r2k1/r4pbp/4p1p1/1qR5/pn1P3P/5Q2/1P1BNPP1/R5K1 b - -,b5b8
r2q1rk1/1pp2pbp/p4np1/3Pp3/2Q1P3/2N1BP2/PP3P1P/R2R2K1 b - -,f6e8
r4rk1/p1nqp1bp/2p1P3/1p1p2Np/3P2b1/2N1Q3/PPP1B1P1/1K1R3R b - -,g4e6
r1b3k1/p1p1q1bp/4rp2/2p5/2Qp4/5N2/PPP2PPP/R1BR2K1 w - -,d1e1
r4r2/2P1p1k1/n2p4/8/PP1Nq1P1/3B3Q/7P/2R1R1K1 b - -,e4d4
r1bqk2r/p2n1pp1/1p1bpn1p/2pp4/3P1P1B/2PBPN2/PP1N2PP/R2QK2R b KQkq -,c8b7
1rr3k1/1q1bbppp/2np1n2/1p2p3/p2PP3/P2BBN1P/1P1NQPP1/2R1R1K1 b - -,e7d8
3R4/p6p/4k3/1Pr2p2/4p2p/2P4P/1P3PP1/5K2 w - -,d8b8
r2q1rk1/pp1n2b1/2p2pnp/3pPbp1/1P1P4/1N2BN2/P3BPPP/2RQ1RK1 w - -,e5f6
2rr2k1/2q2pp1/1p2bn1p/p2npB2/1PN5/P1P1NQ2/5PPP/R2R2K1 b - -,e6f5
r4rk1/1p2bppp/q1p1pn2/p4P2/PnNPP3/2N1B3/1P2Q1PP/R4RK1 b - -,f6d7
2r5/4nk2/2q1p1p1/1pp1p1Pp/4P3/1QP1N3/1P1r1PP1/R2R2K1 b - -,c8d8
8/p2r4/2p2rk1/1p2Rp2/5P2/1P3K2/P1P5/4R3 w - -,e1e2
6k1/2q3b1/3p1rpp/p1p1p3/1nP1B3/1PBPP1P1/4Q2P/R5K1 w - -,a1f1
r1b1k2r/3p3p/ppn1pqpn/4bp2/2P2N2/1PN1P3/PB1QBPPP/R3K2R b KQkq -,f6g7
r2qrnk1/1b2bp1p/p2p2pB/np2p3/3PP3/5NN1/PPB2PPP/R2QR1K1 b - -,e5d4
2r1k2r/1p2p1bp/1p2bpp1/3p4/P1P2B2/1P3P2/1K4PP/3R1B1R w k -,c4d5
r1bqkb1r/pp2p1pp/2n2p2/2pn4/8/PP2PN2/1B1P1PPP/RN1QKB1R b KQkq -,e7e5
8/6p1/2N1pkPp/3p4/r3PK2/6P1/8/8 w - -,c6b8
8/5pk1/4p1pp/1R2P3/1P5P/4PK2/1r6/8 w - -,b5b8
3r4/1p3pkp/2n3p1/1p6/3b1QN1/r5P1/5PKP/1R6 w - -,b1b5
1r4k1/2R2p1p/p1p1pbp1/8/5P2/2P1B2P/PP4P1/6K1 w - -,b2b3
8/pp4n1/6k1/3Pp2p/4N1P1/1P4K1/P7/8 w - h6,e4d6
5k2/R4p2/p5p1/4Pb1p/7P/4K3/6P1/8 b - -,f8g7
8/8/2p5/1p1b2p1/p5k1/P5P1/1P3K2/4R3 w - -,e1d1
r3k1nr/3p1ppp/p1b1p3/1p6/1b2P3/2N1BPP1/PPP3P1/R3KB1R w KQkq -,e1c1
r1b2rk1/pp2ppbp/3p1np1/q7/2BBP3/2N2P2/PPPQ2PP/2KR3R b - -,c8e6
1q3rk1/1p4pp/n1p1pb2/1Q1p1p2/1p1P4/1P2PP2/1B1N2PP/R5K1 w - -,b5d3
r3k2r/pppq2pp/4bp2/n2p1p2/3P1b2/PPNBP3/2P2PPP/R2QK2R w KQkq -,e3f4
r1r3k1/Pp2pp1p/4b1p1/q7/4P3/P1NR4/nP3PPP/1Q2KB1R b K e3,a2c3
rnbq1rk1/pp2ppbp/3p1np1/2p3B1/2PPP3/2N5/PP2BPPP/R2QK1NR w KQ c6,d4c5:g1f3:d4d5
6k1/4Rp2/p2p1Ppb/3N3p/r1P4P/6P1/4K3/8 w - -,e7c7
5n2/5K2/7P/3k4/8/8/4pB2/8 b - -,f8h7
3r2k1/pp3ppp/2b1p3/b7/P1P1NP1n/4PB2/3BK1PP/R7 b - -,c6e4
rn1qk2r/pbpp2pp/1p2pn2/5p2/1bP1P3/2NP2P1/PP2NPBP/R1BQK2R b KQkq -,f5e4
r1r3k1/pb1pq1pp/np2pb2/5p2/2PP4/5NP1/Q2BPPBP/2RR2K1 b - -,d7d6
r1r3k1/1b2npbp/pp1pp1p1/2q1P3/P2N1P2/2PP1NP1/1P1Q2BP/R3R2K b - -,c8d8
r3r1k1/2b1q2p/2pn1pp1/1p1p4/1PnP1PPP/1R3QN1/4P1B1/2B2RK1 b - h3,d6e4
8/p1r3k1/R1p4p/5pp1/1P3P2/2P3KP/P4P2/8 b - -,g7h7
3qr1k1/rb3pbp/3p1np1/2p5/2NnPP2/PPN3P1/6BP/1RBQ1RK1 w - -,f1e1
r4rk1/pQpq1ppp/6n1/2bPp3/4P3/2P2N2/P4PPP/R1B1K2R w KQ -,e1g1
5rk1/2p1q1rp/1pRp2n1/pQ1Pp1p1/P3Pp2/5P1P/1PP1NKP1/6R1 w - -,e2c3
8/8/1k6/2p5/P7/1K4p1/3b1pB1/8 b - -,b6c7
8/2p2kbp/3p2p1/rP1P1p2/p1p5/P6P/1P3PP1/1R1B2K1 w - -,d1e2
6k1/p3qpn1/1pQn4/3p2pp/6P1/1PPN1P1P/P1P2B2/6K1 b - -,e7e6
6k1/p3q1pp/1p4n1/8/2P5/1PB1pQ2/P5PP/7K b - -,e3e2
2kn4/1p5p/1K2p1p1/P2pPp2/1N3P2/4P3/6PP/8 w - -,b4d3
r4rk1/pbpnqppp/1p1pp3/3P4/2P5/P1n2NP1/1P2PPBP/2RQ1RK1 w - -,c1c3
4r1k1/pn1qppbp/1pN3p1/3P1b2/1P3B2/6P1/P4PBP/2Q1R1K1 w - -,c6a7
4b3/k3K3/n2p4/1p1Pp3/1P2P3/2N5/4B3/8 b - -,e8g6
8/1p3r1k/p1p2b1p/2P4N/1P2R3/7P/8/6K1 b - -,f6g5
8/7k/8/2p5/2N2P2/4N2P/1b4K1/1r6 b - -,b2d4
r1b1qrk1/ppn2nbp/2pp1pp1/4p3/1PPPP3/2N2NBP/P4PP1/R2QRBK1 b - b3,b7b6
8/p5pk/7p/4Q2P/2p3P1/P7/1P3PK1/2q5 w - -,e5e4
r3r1k1/1b1q1pbp/pp2p1p1/3pP3/P2P2P1/2PB3P/1P3Q1B/R3R1K1 b - -,b7c6
6rk/p2q3p/1pR1p3/3PPp2/4n3/5Q2/PB5P/7K w - -,f3f5
8/3k1p2/3p2p1/8/1PRp4/2nP1P2/r2B2PP/2K5 w - -,d2c3
QR6/5kpp/3p2r1/3P4/2p4K/P1P1n2b/6P1/5r2 b - -,e3f5
8/8/4n3/2p1kp1P/8/3K4/4N3/8 b - -,e5f6
2R3k1/3r1pb1/4n1p1/4P2p/1rp2P1P/p1N1B1P1/P7/2R3K1 b - -,g8h7
Q1bq2k1/3pb1pp/p1n1n3/1pp1P3/8/2N1B3/PPP2PPP/2R1R1K1 w - -,c3d5
5b2/r6k/7p/5p2/2Np1PP1/1p1PpK2/4R2P/8 b - -,f5g4
4bQ2/p6k/4p1p1/3pP2P/P2P4/4R3/5PP1/q5K1 w - -,g1h2
8/3k4/8/5p2/1pK5/8/P5P1/8 b - -,d7e6
r3k2r/ppp2ppp/2nb1n2/3p4/3P3q/2PB1bN1/PP3PPP/R1BQK2R w KQkq -,d1f3
2r3k1/ppr1q1p1/2n1p1pp/1Q1pP3/P2P1P2/1N4P1/1P5P/2R2RK1 w - -,c1c3
rnb1k1nr/pp1pppbp/6p1/q7/3pP3/2N1B3/PPPQ1PPP/R3KBNR w KQkq -,e3d4
r5k1/2p2p2/p4qp1/1p2n1p1/2b1PPP1/2P3QP/PPB5/R1B1K1b1 w Q -,f4e5
rnbqk2r/ppp1b1pp/3ppn2/8/2PPN3/5N2/PPQ2PPP/R1B1KB1R b KQkq -,b8c6
r2r2k1/pp3pbp/2n1pnp1/q3P3/2Pp1P2/2NB1P2/PP1B1Q1P/2RR2K1 b - -,d4c3
4k3/2nn3p/1pNbp1p1/5p2/1PKB1P2/4P2P/5PB1/8 b - -,b6b5
r3r1k1/1bqn1pbp/p1pp1np1/1p2p3/P2PP3/BPP2N1P/2QN1PP1/R3RBK1 b - -,f6h5
8/1B2p3/3p4/8/3bP1p1/3k1rP1/8/1R2K3 w - -,b7a6
r1bqrbk1/1p1n1ppp/p1pp1n2/4p3/P2PP3/2P2NP1/1P1N1PBP/R1BQR1K1 b - a3,b7b6
3r2k1/R5pp/4bp2/8/4P2P/b3B1P1/5PB1/n5K1 b - h3,a1c2
8/1p3p2/p2Rb1k1/6p1/P4pP1/1PP1rN1P/5K2/8 w - -,h3h4
5k2/p6R/1p3bpP/5p2/2N5/P4K2/3r4/7R b - -,d2d4
2r1qr1k/1Nnnp1bp/p1B1b1p1/1p2Np2/PPpP4/6P1/1BQ1PP1P/2R2RK1 w - -,b7c5
r3k2r/p1pp1ppp/b1p5/4P3/2P5/PP4P1/2KBQ2P/R4B1q b kq -,c6c5
2rr4/1b2k2p/3ppp2/p3n1p1/1pP1P3/1P2NPP1/P2R1KBP/3R4 b - -,c8a8
8/6p1/2p4p/p1Pp2kP/r7/5PK1/P3R1P1/8 b - -,a4c4
6k1/p4pp1/4r1n1/1p2rN2/2n5/P7/6PP/3Q1RK1 w - -,h2h4
5r1k/6p1/1P4B1/2bn4/2N5/PP4P1/7P/4R2K w - -,b6b7
r1b1kb1r/1pqn1ppp/p2ppn2/8/3NPPP1/P1N2Q2/1PP4P/R1B1KB1R b KQkq g3,h7h6
Q1b2rk1/p4ppp/1p2p3/2b5/8/3B1N2/PPP2q1P/2KR3R w - -,a8e4
1r6/4p1kp/3p4/5p2/1r3P2/3N3P/1nR2KP1/3R4 w - -,d3b2
rq3rk1/1p1bbppp/p2p1nn1/P2Pp3/1RB1P3/3QBP2/2P1N1PP/1R5K b - -,d7b5
1k2Q3/ppp5/6p1/5n2/3r1P1q/5P1P/PP4B1/4R1K1 b - -,d4d8
5rk1/3b1pbp/Rqn1p1p1/3pP3/1r1P1B2/5NP1/5PBP/R2Q2K1 b - -,b6b7
1r2r1k1/5pb1/6pp/6Q1/2bN4/4PP2/P5PP/2RR3K b - -,h6g5
2k5/8/PB4p1/8/1b1K2P1/2p1P3/8/8 w - -,d4d3
r2q1rk1/pp2bppp/1nb1p3/3nP3/4N3/P2B1N2/1P2QPPP/R1B2RK1 w - -,f1d1
8/3B4/5k2/b7/P7/5KP1/8/8 w - -,f3e4
1k3b2/1b3p1p/pn1p1P1P/4p3/1Pp1P1r1/P1B5/K1P4R/3R4 w - -,c3e5
8/5p1k/p4nqp/2rn4/8/1B3Q2/PP1B1P1P/4R2K b - -,a6a5
r1r2bk1/1p3ppp/1q3n2/p1n2N2/8/P3PP2/1PB3PP/1RBQ1RK1 b - -,c8d8
r6r/p2kppbp/1p4p1/n5B1/R2P4/4P3/P2NKPPP/7R w - -,d2c4
2rq1rk1/1b2bppp/p2p4/1p1Pp3/1P6/4B3/1PP1BPPP/R2Q1RK1 w - -,b2b3
r4rk1/1bpRb1pp/1pq1p3/8/1PB5/2P2P2/P3Q1PP/R1B3K1 b - -,e7d6
r1b2rk1/ppp2ppp/1b4q1/3pP3/5P1n/2P3P1/PP2BB1P/RN1Q1RK1 b - -,c8h3
3r1rk1/pp2np1p/8/6p1/2BP4/1P6/1P1K1PPP/2R4R b - -,d8d4
2br2k1/1p1n1p1p/4pbp1/1pp5/r2P1P2/2P1P1PP/PBN2KB1/R2R4 w - -,g2f1
rnbq1rk1/p1p2ppp/1p3n2/3p4/1b1P4/2NBP3/PP2NPPP/R1BQK2R w KQ -,e1g1
1r2k2r/p1p1p3/1np4p/4p1p1/6q1/2NP3R/PP1QPP1P/R3K3 w Qk -,h3g3
r3r1k1/pp3ppp/1bn2n2/5b2/2Pp4/B2P1NP1/P1K2PBP/RN3R2 b - -,e8e2
rnbqkb1r/ppp3pp/3p1n2/8/2NPp3/2N5/PPP2PPP/R1BQKB1R b KQkq -,f8e7
1r2r1k1/p4pp1/2p4p/1q1n4/2Q5/1P3NP1/P4P1P/R3R1K1 w - -,e1c1
5rk1/p3b1pp/4p1b1/2ppPq2/5P2/1P3BP1/PB1Q3P/2R3K1 w - -,b2a3
3r2k1/p1r2ppp/b1pNp3/2P5/1P2R3/P1n3P1/5PBP/4R1K1 w - -,e4e3
r3kb1r/pp1npppp/2p5/5b2/1n6/1P1P1NP1/1P2PPBP/RNB2RK1 w kq -,c1e3
r2q1k1r/1bppbpNp/p7/8/Pp2Pp2/1B1P4/1PP2PPP/R2QK2R w KQ -,g7f5
r3r1k1/2b2ppp/pp2b2P/4p1P1/4N3/5P2/PPPN4/2K3RR b - -,e6f5
R7/6k1/6pp/P4p2/4p3/6P1/5PKP/r7 w - -,h2h4
5rk1/pp3qp1/8/3pR3/2nP4/P1P2Q1P/3B1PP1/6K1 w - -,f3f7
2qr1rk1/1p3ppp/p1b1p3/4b3/P1P2P2/1P3B2/6PP/R3QRK1 w - -,e1e5
r4rk1/2q1bppp/4bn2/np2p3/2p1P3/2P2N2/1PBNQPPP/R1B1R1K1 w - -,d2f1
7r/5p2/1p1npk2/p1p3p1/2PpR3/3P2P1/PP3P2/R5K1 w - -,e4e2
rnbqkb1r/1p1p1ppp/p3pn2/8/2PN4/2N5/PP2PPPP/R1BQKB1R w KQkq -,a2a3:d4c2:e2e4:g2g3
1r2qrk1/1p1b2bp/p2p2p1/P7/1pPpPP2/1N1B4/1P4PP/R3QR1K b - -,b7b5
8/7p/4p1k1/8/2K3p1/2P1P3/5R1P/2r5 b - -,h7h5
r4rk1/4qppp/p2b4/1pn1p3/3nP3/4N1PP/1PP2PB1/R1BQR1K1 b - -,f8d8
2rr2k1/q4ppp/p1n1pb2/2Pp4/p2P4/1R1QPPB1/4N1PP/1R4K1 w - -,b3b7
R7/2r2pk1/5bp1/pr5p/8/3RP1P1/3N1P1P/6K1 w - -,d2e4
r7/5p1k/6pp/8/6PP/4PK2/3R1P2/8 w - -,d2d5
r1b3k1/pp2qpbp/2p1n1p1/4p2n/1PP1P3/P1N1BN1P/2Q1BPP1/3R2K1 w - -,g2g3
2r1k1nr/pp2bppp/1qb1p3/4P3/P1pP4/1pP2N2/1B3PPP/RB1Q1RK1 w k -,f3d2
3qr1k1/2pbbpp1/pr6/3pPN2/3P3p/3Q1N1P/PP3PP1/R2R2K1 w - -,a1b1
r2qk1nr/pp2bppp/2np4/2pNp2b/2B1P3/3P1N1P/PPP2PP1/R1BQ1RK1 b kq -,g8f6
r1bq1rk1/ppp1npbp/3p2p1/4p3/1PPnP3/P1N2N2/3PBPPP/R1BQ1RK1 w - -,d2d3
r2q1rk1/1pp2pbp/2npb1p1/2n5/2P1P3/1PN1B1PP/4NPB1/1R1Q1RK1 b - -,f7f5
1Q6/5ppk/p6p/1p6/4P3/P1rqP1P1/3rPK1P/1R2R3 w - -,b8f4
5b2/2r2p1k/4bNpp/P3pn2/3p4/3P2P1/1RP1NPBP/6K1 b - -,h7h8
8/4R1pk/4p2p/5p2/3PbN2/4P2P/1r3KP1/8 w - -,f2e1
r2r2k1/4b1Pp/p3p3/7p/1p6/1P1BBb2/PP6/1K1R3R w - -,h1f1
