6R1/5p2/7k/p4p2/b7/4KPR1/1pr4P/8 b - -,f5f4:h6h7
2rqk2r/1p1b1pp1/p1pp3p/4p3/PNnPP2b/2P1B3/1P2QPPP/R4RK1 w k -,e2c4
3q2k1/1p4pp/4Q3/5p1b/5P2/8/1P4NP/6K1 b - -,h5f7
8/6k1/8/4N1P1/5PK1/8/1b6/8 w - -,e5d3
r3n1k1/pp3p2/n2pb2p/6p1/2P1P1P1/5P2/PP2B2P/R2R2K1 w - -,g1f2
rnbq1rk1/p1p1ppbp/5np1/1P1P4/3P4/5N2/PP3PPP/RNBQKB1R w KQ -,b1c3
1rb3k1/2pp1p2/3b2pp/3r4/1p6/2PQ2Pq/1P3P1P/R1BB1RK1 w - -,d3d5
r4k2/pR3P1p/3p4/3p1P2/8/5P2/P2n1P2/7K w - -,h1g2
r1bqkb1r/1pp3pp/2n2n2/p2ppp2/8/P2PP1P1/1PPN1PBP/R1BQK1NR w KQkq -,g1e2
2r4r/pbn1k3/4p1pP/1p6/2pP1BN1/2P5/PPB3P1/5RK1 b - -,c7d5
6k1/1R1N1r2/p4p2/1bKPp1p1/4P1Pp/7P/8/8 w - -,c5d6
r3kb1r/ppqb2pp/2p1pp2/8/2PPP3/4BN1P/P3QPP1/1R3RK1 w kq -,e4e5
8/5rpk/1pb1p3/P1b1Qn1p/2P2P2/8/6PP/3R3K b - -,f7f6
r1bqkbnr/pppn3p/4ppp1/3pP3/3P4/3B4/PPPN1PPP/R1BQK1NR w KQkq -,e5f6
r1bqkbnr/pp2pppp/2n5/3pP3/3P1P2/8/PP4PP/RNBQKBNR b KQkq -,d8b6
8/5p2/1pbb4/p4kpp/3P4/1P4P1/P2BKN1P/8 w - -,e2d3
7r/1p2p3/p2b1k2/P1np1p2/2p2P1P/4PK2/1P2B2R/2R5 w - -,c1g1
rnb2rk1/pp2ppbp/1qp2np1/3p4/3P1B2/5NP1/PPPNPPBP/R1Q2RK1 b - -,c8f5
3rrbk1/ppq2b2/2n2ppp/P1pnp3/2N5/2PP2PP/1P1BQPB1/R2RN1K1 w - -,e1c2
2r5/2P1bk1p/4b1p1/4Bp2/4p3/6PP/3Q1P2/6K1 b - -,g6g5
r4rk1/p2nq1bp/1pb3p1/2ppp1N1/3P1PB1/2P1P3/PP5P/R1B1QRK1 b - -,e5e4
8/5p2/R5p1/5k2/p4P2/2P1K3/5P2/r7 b - -,f5g4
4k3/p6r/1p2bB2/1P1pP3/P1p2K2/2P5/8/6R1 w - -,g1g3
r2q1rk1/bppb1ppp/p2p1nn1/4p3/B3P3/2PP1NNP/PP3PP1/R1BQR1K1 b - -,d7a4
r3kb1r/pp1n1ppp/2p1pn2/2Pp1b2/3P1B2/1PN2N2/1P2PPPP/R3KB1R w KQkq -,e2e3:b3b4
8/8/P7/2K5/3n4/1Pk5/8/8 b - -,d4b3
q1r2bk1/1R3pp1/7p/4pQ2/r1p5/7P/P2N1PP1/1R4K1 b - -,f7f6
2rq1rk1/3bppbp/2np1np1/ppp5/3PP3/P1P2N1P/1PB2PP1/R1BQRNK1 b - -,c5d4
rn1q1rk1/pbp2ppp/1p1ppn2/6B1/2PPP3/P1Q2P2/1P4PP/R3KBNR b KQ e3,c7c5
8/8/8/8/2Q1K3/k7/8/3q2r1 w - -,c4c5
2rqk2r/1b2bpp1/pn1ppn2/1p4Bp/3NP2P/P1N2P2/1PPQB1P1/2KR3R w k -,d1g1
4n1k1/R2b4/3p4/3P4/1Pp2pp1/N6P/4BPK1/r7 w - -,h3g4
r4rk1/p3qppb/1bpp1n1p/8/1PP1p1P1/PQNnP1NP/3BKPB1/3R3R b - -,a8d8
1b2rnk1/3r2pp/4p3/2P4P/2qPQpB1/5P2/5BP1/1R2R2K w - -,h1g1
r2qr1k1/1bp2pp1/pbnp1n1p/1p2p3/3PP2B/1BPQ1N2/PP1N1PPP/R3R1K1 b - -,c6a5
8/8/7K/p7/P1p1k1P1/2P5/8/8 w - -,g4g5
1q1r4/1p3pk1/p5p1/2NP4/2Rp1bB1/1Q3K2/PP3P1r/4R3 b - -,d8h8
5n1k/R5p1/1p5p/1Prp4/8/8/5P1P/4R1K1 b - -,f8g6
rnb1kb1r/ppq1pp1p/5np1/2pp4/3P1P2/2P1PN2/PP4PP/RNBQKB1R w KQkq -,f1d3
3rr2k/1Q4pp/pB1b4/3N2P1/2pn1P2/3b2K1/1q4BP/3R3R w - -,h1e1
1b1qr1k1/p4ppp/n4r2/5N2/2Q2P2/4P3/PP4PP/R1B2RK1 b - -,f6f5
2rr2k1/2q1bppp/p1bp4/1pnP2P1/3B1P1P/3Q1B2/PPP5/3RR1K1 w - -,d3e3
8/2R5/p2r1pk1/4p2p/1P6/6P1/P3K2P/8 b - -,g6f5
8/Rp4k1/5p2/2P5/P1B1qbp1/2K5/1PN5/8 b - -,f4b8
rnbq1rk1/1pp1n1bp/3p2p1/p2Ppp2/2P1P3/2N2N1P/PP2BPP1/R1BQ1RK1 w - a6,f3g5
8/p4k2/2r2pp1/4p2p/3b4/1K3P2/P1R3PP/3R4 b - -,c6b6
r4rk1/ppq1p2p/4bpp1/2n5/7Q/2P3P1/P3PPBP/R1B2RK1 w - -,c1f4
8/1q3pk1/6p1/8/R4P2/2N5/1Pn5/K2R4 w - -,a1a2
3n2k1/8/7p/2r3p1/5P2/3R2PK/7P/8 w - -,d3d8
r1b2rk1/1p2qppp/1np1p3/3n4/p2P4/P1NBPN2/1PQ2PPP/2R1K2R b K -,g7g6
r2qr1k1/pp2bppp/1nppbn2/2P3B1/3N4/2N1P3/PPQ1BPPP/R2R2K1 b - -,b6d5
5k2/2n2pp1/p2N3p/1p2p3/4PP2/PP2K1P1/7P/8 b - -,f7f6
6rk/pp1q1pp1/2r1b2p/3pR2P/3P4/P1P2P2/1B4QP/1K2R3 w - -,b1a1
8/6k1/3R2n1/1ppP1p2/7p/5P2/1P4PP/1r3BK1 b - -,b1b2
r1nqkb1r/pp1n1ppp/2p1p3/3pPb2/3P4/1N2BN2/PPP2PPP/R2QKB1R w KQkq -,f1e2
2r1r3/5k1p/2p1p1p1/1p3p2/p1nP2P1/P1P2B2/1P2RPP1/1K2R3 b - -,c4a5
2r1k2r/p2b1pQp/2n1pq2/1pb5/4n3/5NP1/PP3PBP/RNB2RK1 w k -,g7f6
5k2/4ppb1/n1N3p1/2prPn1p/P3NB1P/2P2P2/1PK3P1/7R w - -,g2g4
6k1/q2n1pbp/3R2p1/p1p1p3/PrN2P2/1P5P/2Q3P1/3R3K b - -,d7f8
r4rk1/pb4pp/2q5/1p2pP2/4B1n1/2N1PR2/PP4PP/2QR2K1 b - -,c6h6
2b1r3/6pk/2P4p/1P3P2/1q2P2P/3Q2P1/R5K1/8 w - -,g2f3
r1b1r1k1/2q2pbp/p1pp1np1/1p2nNB1/2P1P1P1/2N2P2/PP1QB2P/3R2RK b - -,c8f5
r3k2r/pp1b1p1p/1q2p2p/3pP3/1b1P4/2N2N2/5PPP/R2QKB1R w KQkq -,d1b3
8/p7/2k4p/4PK1R/2r5/8/8/8 w - -,h5h6
8/1r6/1p1p2kp/p2Nb3/P1P5/1P4P1/6KP/5R2 b - -,e5d4
3nb3/1ppk4/p2p2pp/2PPp3/1P2P1PP/P1N1N1K1/8/8 w - -,e3c4
rnq2rk1/4p1bp/2b2pp1/p1NpP3/2pP1Pn1/P4N2/2PBB1PP/1R1Q1RK1 w - -,f3g5
3r2k1/1p2q3/p2bbp2/3p3p/P2Pn1pP/1Q1BPN2/1B3PP1/2R3K1 w - -,f3e1
r1bqk2r/1p1n1pbp/2pp1np1/p3p3/P2PP3/2N1BP2/1PPQN1PP/2KR1B1R b kq -,a8b8
1k1b1r2/p5p1/Ppb5/2p3Pp/2P4P/5PN1/2K1B3/7R b - -,c6e8
6k1/2q2p1p/p5p1/3B4/1pP2P1b/1P1r2n1/PQ6/3R2K1 w - -,d1d3
8/2kn4/2p2p2/2P2P2/P1KB1P2/8/8/8 w - -,c4d3
r2qkb1r/pp2pppp/5nb1/3pN3/5Q2/4P3/PP1P1PPP/RNB1K2R w KQkq -,b1c3
r1bq1rk1/pp1pbppp/2n1pn2/2p5/2P5/1P2PN2/PB1PBPPP/RN1Q1RK1 b - -,d7d6:d7d5
rnbqr1k1/p3ppbp/2pp1npB/1p6/3PP2P/2N2P2/PPPQ2P1/2KR1BNR b - -,d8a5
r4rk1/p1qnnppp/1ppb4/3p4/3PbPPN/2N1B3/PPPQB2P/R3KR2 w Q -,e1c1
3br3/1k3p2/pn2p1p1/1pBpP2p/3P1P1P/1P2K1P1/1P2B3/7R w - -,h1c1
8/2B2pbp/6p1/3k2P1/p4P1P/3K4/8/8 w - -,d3c2
8/6p1/5k1p/3bp3/8/7P/3Q2P1/5qNK b - -,f6e6
r1bq1rk1/1p2bpp1/p3p2p/2npP3/3NnP1B/1BN5/PPP3PP/R2QR1K1 w - -,h4e7
8/2R5/1b6/4K3/3r4/1P6/1k6/8 b - -,d4d3
5B1r/p5pp/1p6/1k3Q2/2q1p3/6P1/PK5P/8 b - -,b5a6
1k6/p1n2ppp/1p1b4/2p5/8/Pb2BN1P/6P1/1R4K1 b - -,b3d5
r2qkb1r/pp3ppp/8/1B1pnb2/8/4B3/PP1N1PPP/R2Q1RK1 b kq -,f5d7
1rn2r2/3q2bk/1p2bppp/pNpnp3/2N5/PQBPP1P1/1P3PBP/3RR1K1 w - -,d3d4
8/8/8/5pr1/4k3/R6K/8/8 w - -,a3a4
4r1k1/4ppb1/qp3np1/2nP3p/2P5/p1Q1B1PP/P2N1PB1/1R4K1 w - -,c3c2
6k1/4Rp1p/6p1/p7/r2nPn2/5P2/1P1R1KPP/8 w - -,g2g3
3r2kr/2p1Qp2/p6p/1p3B2/3p1P2/6q1/PP6/1K2R3 b - -,d8d5
8/4k3/2K2ppp/4p3/4P1P1/5PP1/8/8 w - -,c6c7
2k5/1p6/p7/2Pqp2p/6p1/2Qp2P1/P2K1P1P/8 b - -,e5e4
8/1p2rB2/p1nkPQ2/3p4/P5P1/4r2K/8/8 w - -,h3g2
r1b2rk1/1nq1bppp/pn1p4/1p1Pp3/4P3/NPP2N1P/2BB1PP1/R2QR1K1 w - -,a1c1
1b6/1p1N1p2/1P1p2pk/4n2p/1P5P/4P1P1/2q2PB1/Q5K1 b - -,c2c8
8/q5kp/4Qpp1/1p1P1n2/5P2/P5P1/1P5P/5K2 w - -,g3g4
8/8/3p4/p3b1k1/P3K2p/7B/8/8 w - -,e4f3
8/5p2/5kpp/Npn5/8/P4KP1/1P3P1P/8 w - -,a5c6
8/p5k1/1p4p1/6P1/P1B1pp1P/1P1r4/5PK1/8 b - -,d3d4
2kr3r/1bq2p1p/ppp1p1p1/2b4n/4PP2/4B1PP/P1P1N1BK/1RQ2R2 b - -,c5e3
2r1k1nr/2qbbppp/ppnpp3/8/P3PP2/1NN3P1/1PP3BP/R1BQ1RK1 w k -,g1h1
1rbq1rk1/4npbp/p1npp1p1/1Pp5/4P3/N1PPBNP1/1P3PBP/R2QR1K1 b - -,a6b5
1rr5/p3kppp/2p1p3/8/2R5/1P4P1/P3PP1P/3R2K1 b - -,b8b6
8/8/2Pkp3/1P6/4pp2/Q7/6PK/4q3 b - -,d6d5
r1q2bk1/1b3p2/r5p1/1Np4p/1nPpPP1P/3R2P1/1B2Q2K/1BR5 w - -,d3a3
5rk1/4bppp/1nqpbn2/1p2p1N1/4P3/1PP1N3/2B2PPP/B2QR1K1 b - -,e6d7
6k1/2pr2p1/2R4p/5P1P/6P1/4K3/8/8 w - -,e3e4
8/8/5k1p/6p1/3P4/P2R2K1/1r5P/8 w - -,d4d5
3rr1k1/pp3pp1/2p4p/5q2/1P1P1P2/P1Q3P1/6RP/3R2K1 b - -,f5e4
r2qkbnr/1b1n1ppp/pp1pp3/8/2PNP3/2N2B2/PP3PPP/R1BQK2R w KQkq -,f3h5
8/R4nr1/3B4/Pp1P1k2/1Pp4p/2P2P2/5P1K/8 b - -,f5f6
8/5pk1/6p1/8/4P1pP/5Q2/3q1PK1/8 w - -,f3g4
8/Q1p2pkp/6p1/4P3/2r2q2/P6P/5PP1/4R1K1 b - -,c4c1
2r4k/p1r3pp/np1b4/3pN3/2pPpPP1/P1R5/1P2PB1P/5RK1 b - -,b6b5
r1bq1rk1/pp4bp/2ppnn2/4pp2/1PP2P2/2NP2PP/P3N1BK/R1BQ1R2 b - -,e5e4
3R2R1/1pr2p2/p1k1p2p/P1P4r/2PP3P/4KP2/8/8 b - -,c7d7
8/p3k3/5pp1/3B3p/1PP1KP1P/8/b4P2/8 w - -,e4d4
2kn4/1r4p1/1p2p1R1/p1p1P2P/P1P1K3/2P5/3B4/8 b - -,b7d7
b5k1/5Qb1/p7/3pN3/3P1P2/Ppq5/5PP1/6K1 b - -,g8h7
2r3k1/1qRn3p/4p1p1/pP2Pp2/Pp1Bp2P/1P4Q1/5PP1/2R3K1 b - -,c8c7
r6r/2k1bpp1/2p3p1/p2p1nP1/1n1P3P/1PN1PR2/1P6/R2KBB2 w - -,a1c1
2r1kb1r/1p1q1p1p/p3pp2/2p5/3P4/8/PPP2PPP/RN1Q1RK1 w k -,d1f3
1nq1kb1r/3b1p1p/1rp1p1p1/R2pPnB1/1p1P4/1B1N1N1P/RPP2PP1/Q5K1 b k -,h7h6
5rk1/5qb1/1p2rn1p/2p1p1p1/2P5/1RBP1PP1/2QNP3/1R4K1 b - -,f7h5
5k2/p3q1b1/2prppp1/Q4n1p/1P1P4/PN4P1/5P1P/2RR2K1 w - h6,b4b5
8/p3Rpkp/6p1/8/8/5P2/B5PP/2r3K1 w - -,g1f2
rr4k1/1b3p1p/5p2/p1Rp4/5P2/P2BP3/6PP/5RK1 b - -,b7a6
r2qkbnr/1p1b1ppp/p1npp3/1Bp5/4PP2/1P3N2/PBPP2PP/RN1QK2R w KQkq -,b5c6
r1b2rk1/2q1bppp/p2p1n2/np2p3/3PP3/5N2/PPB1QPPP/RNBR2K1 w - -,d4d5
1r3rk1/p1p2p2/2p3pp/8/1nBPb3/NP2P3/P2K2PP/R4R2 w - -,g2g4
r2q1rk1/pb2npbp/1pn1p1p1/2pp4/4P3/2PP1NP1/PPQN1PBP/R1B1R1K1 w - -,d2f1
3q2k1/pp3p1p/1np1b1p1/8/4P3/2N5/PPQ1BPPP/6K1 w - -,c2d3
1qr2rk1/5pp1/p3pn1p/1p1b4/7Q/1NPB4/PP3PPP/3RR1K1 w - -,e1e3
8/3k4/7R/1P1Pp2b/1Pp1P3/7r/4K3/8 w - -,e2d2
r5k1/r4ppp/2p2n1n/p1qp4/3N4/P2BP3/5PPP/R2Q1RK1 w - -,d1a4
r1b2rk1/2q1ppbp/p2n2p1/2pPp3/P3P3/2N1B3/1PQ1BPPP/R4RK1 b - -,c8d7
8/3q2pk/bp2pn1p/p2p1p2/3P1P1P/BP2PB2/P5P1/2Q3K1 w - -,a3f8
8/6k1/5pp1/N3p3/1p5p/1Pr5/3B1P2/1b3BK1 w - -,d2c3
6R1/p1r1r2p/1p3kp1/2bB4/2P3K1/1P4P1/P2R3P/8 w - -,h2h4
8/5ppk/Q7/Pp5P/1P6/5P2/8/2q1K3 w - -,e1e2
rn1q1rk1/pbppb1pp/1p2p3/5p2/2PP4/2P2NP1/P1Q1PPBP/R1B2RK1 w - f6,d4d5
8/8/1p1k1pp1/3p1b1p/1P1N1P1P/4P1P1/4K3/8 b - -,f5e4
5rk1/p1br2p1/4n2p/Np2Pp2/1P1p3P/P7/3B1PP1/2R1R1K1 b - -,c7a5
r2q1rk1/1bpn2bp/pp1ppnp1/5p2/3P4/1P1NPN2/PBP1BPPP/R2Q1RK1 b - -,f8e8
r2qr1k1/5pp1/p1npb2p/1pp1p1b1/4P1P1/2PPNQ2/PPB2PP1/R1B1R1K1 w - -,e3f5
1rb1r1k1/2q1b1p1/pppp3p/4p1pn/P1BPP3/2N4P/1PPQ1PPB/3RR1K1 b - -,g8f8
r1bq1rk1/bpp1nppp/p1np4/4p3/1PP5/P1N1P1P1/3PNPBP/R1BQ1RK1 b - b3,c8e6
rn1qkb1r/pp2pppp/2p2n2/3pNb2/8/6P1/PPPPPPBP/RNBQ1RK1 w kq -,c2c4
8/2Qn4/1P4k1/3r4/8/3r1P2/3p2PP/3R2K1 b - -,g6g5
1nrqr3/p1p2pkp/2R2np1/3p4/N7/1P4PP/P2QPPB1/2R3K1 w - -,c6c2
1k4r1/1p6/p2n1p2/P2Ppp2/1P6/4PBPp/5K1P/2R5 b - -,g8g7
6k1/ppq2p2/2P3p1/1P6/7p/P4P2/3KBP2/2R5 w - -,e2f1
rqr3k1/1b4pp/p3Nnn1/1p6/1b2P3/1QN1BP2/PP4PP/2R1R1K1 b - -,c8c4
5r2/p5R1/1p4p1/2p1Qnkp/5n2/7P/P4BK1/8 w - -,g2h2
r1b2rk1/1p2pqb1/p2p1n1p/2pP1ppn/2P5/2N1P1B1/PPQNBPPP/3RR1K1 w - -,d2f1
r2q1rk1/1b1n1ppp/2n1pb2/p1pp1P2/R7/1P1PPNP1/1BPNQ1BP/5RK1 w - -,b2f6
6r1/2pqnk2/pp1p1nrp/3Pp1R1/2P1Pp1P/5P2/PP2NB2/2K2QR1 w - -,g5g6
rn1qk2r/pppb1pbp/3p1np1/8/2PNP3/2N5/PP2BPPP/R1BQK2R b KQkq -,e8g8
r3kb1r/2qnpppp/p4n2/1p1pN3/3P2b1/1Q1BP3/PP3PPP/RNB1K2R w KQkq -,e1g1
2b2rk1/6b1/3p1n1p/1p1Pp1q1/pQ3p2/P2N1P2/1P3BPP/1B3R1K b - -,e5e4
3r1rk1/p3bppp/b3pn2/q1ppn3/2P5/1P2P1P1/PB1NQPBP/R1R3K1 w - -,b2e5
6k1/Q4b2/8/6K1/6BP/8/8/1r6 w - -,g5f6
6k1/2p4r/4q2b/2Bp1p2/3Pr1pp/1P2P1P1/P3QP1P/4RR1K w - -,e2b5
r1bq1rk1/ppp3pp/2n1p3/3pP3/1b6/2NB1N2/PPP1QPPP/R4RK1 b - -,c8d7
8/2K2kpp/5p2/2P5/8/3R2P1/2r2P1P/8 w - -,c5c6
1r2k2r/3b3p/3pp1p1/8/p1PpP3/1P4K1/PN6/3RR3 w k -,d1d4
8/6k1/5p2/1R4p1/1r2P1Kp/3B4/2P3P1/8 b - -,b4a4
r1bqkb1r/pp1npp1p/2pp1np1/8/3PP1P1/2N1B2P/PPP2P2/R2QKBNR b KQkq g3,b7b5
8/r4pbk/3pq1p1/2p4p/4PP2/2P3P1/PR2QK1P/4B3 b - -,a7a4
r4q2/5pbk/2pNnnpp/1pP1p3/1P2P1P1/rR2BP2/2Q4P/2NR2K1 w - -,b3a3
r7/rq2bpk1/n1p1pnp1/1pPp3p/1P1P1P2/1QN1PN1P/1B4P1/4RRK1 b - -,a6c7
2R5/5pkp/1r4p1/p7/1p6/2b2B2/P1P3PP/2K5 w - -,c8c6
5rk1/1p1rbpp1/p2p3p/4p3/1PP1P3/1P6/5PPP/3RNRK1 w - -,e1c2
r4rk1/1p1nbpp1/1qp1p2p/p4b2/2P1P3/PP6/1B1NBPPP/R2Q1RK1 b - -,f5h7
2r2rk1/pp1bbppp/4pn2/1N6/3N4/1Q4P1/P2qPPBP/2R2RK1 w - -,c1d1
4r2r/p4k2/Q4p2/6qp/2P5/3P1B2/b4PPK/5R2 b - -,g5e5
2rq1rk1/1p3ppp/p3pn2/2bbN3/8/1P1BP3/PB3PPP/2RQ1RK1 b - -,d8e7
r2q1rk1/pp1n1ppp/1bp1p1b1/8/P1B1P1P1/1Q3P2/6NP/1RBR3K b - -,d8e8
8/p4pk1/5qp1/8/4Q2P/5pK1/5P2/8 b - -,a7a5
6k1/4p2p/p4r2/1pr3p1/6P1/P1P2K2/1P1RR3/8 w - -,f3g3
7k/1p3ppp/8/3pP3/3P4/Bnq5/5PPP/N3R2K w - -,e1b1
r7/P3k3/R2b2p1/4p3/1P6/4P2P/2r4P/3R2K1 b - -,d6b4
8/8/8/4k3/rpK4p/8/P4R1P/8 w - -,c4b3
8/6p1/3p4/3Ppk1P/1pP4P/1P2R3/1r6/6K1 w - -,e3g3
1rr5/1p2kbp1/pR3p2/4p2p/P3P2P/8/1PP1B1P1/2KR4 w - -,b2b3
1rb1r1k1/pp1n1q1p/2p3p1/4Pp1n/2PPp1P1/1QN1P3/PB4BP/R3R1K1 b - -,h5g7
6b1/6P1/8/1pPk4/p3p3/1PbpB3/P7/2K3R1 w - -,g1g5
r2q1rk1/pbpn1pb1/1p1p1npp/3Pp3/4P3/2N1BB1P/PPPN1PP1/R2QK2R b KQ -,a7a6
4r2k/pp1q2rp/3p1Q2/2b5/4P3/1BP4P/PP3PP1/R4RK1 b - -,d7h3
2rqkb1r/1b1n1ppp/p3pn2/1pp3B1/3P4/1Q3NP1/PP2PPBP/RN3RK1 w k -,b1d2
3nrrk1/pp1bq1bp/3p2p1/2p1pn2/2P1N3/1P1PPN2/PB2Q1PP/R2BR1K1 w - -,d1c2
5b2/5k2/pr4pp/2n2p2/8/1N6/P4PPP/3RR1K1 w - -,b3c5
r1bqn1k1/pn4bp/5r2/1B1p4/Q2Pppp1/P3P2P/3N1PPB/1R2NRK1 w - -,b5e8
2r5/1n3p1k/p5p1/1p5b/6P1/1P2B2P/P1B2K2/2R5 b - g3,h5g4
1q2nrk1/p2n1pp1/1p2p2p/3bP3/3QNP2/1P4PN/P1rR2BP/R5K1 b - -,c2d2
r7/8/4kp2/1R4pp/p6P/P2KP1P1/5P2/8 b - -,g5h4
1r6/1pqk3p/1Qb1p1p1/rBPp4/P7/2P5/5PPP/R3R1K1 w - -,c3c4
2N2k2/6pp/3p4/1P1Pp3/4n3/6P1/7P/6K1 w - -,b5b6
rn1qr1k1/5pbp/p1b2np1/1pp1p3/P3P3/2PP1N1P/1BBN1PP1/1R1QR1K1 b - -,f6h5
2k2r2/2q4p/6r1/1bpQpp2/p1N5/3P1B2/1PP3PP/R5K1 w - -,c4e5
8/6pp/8/7k/5r1P/1K3P1R/8/8 w - -,b3c3
5k2/2p2pp1/1p5p/3P4/pqPP4/5PP1/2Q3KP/8 w - -,c4c5
3r4/1q1n2k1/3RQp1p/2p1p1p1/2B3P1/4PP2/1P4P1/6K1 b - -,b7c7
8/3k4/1Pb5/r1P5/3Np2p/4N3/5PP1/r1R3K1 w - -,c1a1
r2q1rk1/1p2n1b1/2np2pp/2pPpp2/1P6/3P2P1/2N1PPBP/1RBQ1RK1 b - -,c6b4
1k1q1r1r/pp1nb1np/2p2pp1/P2pp3/2PP2P1/1N1BP1BP/1PQ2P2/R3K2R w KQ -,c4c5
8/4kb2/2p2p1p/1pPp1B2/1P1P1PPP/4K3/8/8 b - -,f7e8
2r3r1/5k2/R7/1p2p2p/4Bp1p/PP2nP2/2P1R3/2K5 w - -,a6a7
r3k2r/3nbpp1/3p4/1q2pP1p/p3P1P1/1p2Q2P/PP1N1B2/K1R4R w k -,d2b1
8/8/B6p/4n1p1/3k2P1/6K1/8/8 b - -,d4e3
r1bqr1k1/pp3ppp/3b2n1/3n4/8/PP3N2/1B1NBPPP/R2Q1RK1 w - -,e2b5
8/pp3rkp/5qp1/3p4/2p5/2P3R1/PPB5/1K1Q1R2 b - -,f6f1
8/6k1/1pN2pp1/pP1B1r1p/P1p5/q1P4P/3Q2P1/7K w - -,d5f3
