1k6/8/1K6/8/8/R7/7b/8 w - -,a3a1
2r1r3/1pq3k1/p2p1pp1/P2P3p/2p1PP2/1nQ5/1P3NPP/3RR1K1 w - -,e4e5
4r1k1/p4pp1/1p5p/3Q4/7R/P3q3/1P4PP/3R2K1 w - -,g1f1
4r1nk/1pp2Q2/p2p3p/2PP4/1P1Pq2P/6R1/6PK/8 b - -,e4h4
8/4b3/4P1B1/p7/3p2pp/1PkPn2P/3NK3/8 w - -,h3g4
8/1p1R1rk1/p1p3p1/2P1p3/1P2Pq2/P5Q1/6P1/5bK1 w - -,g3f4
2q2rk1/5pp1/p4b1p/1p5r/4QB2/2P2P1P/PP2RPK1/7R b - -,f8d8
8/5pk1/1b2p1p1/1P2P2p/5P1P/3B1Q1K/8/6q1 b - -,b6d8:b6f2
r2qk2r/p1ppppb1/np1n3p/6p1/3PP3/2PQBP2/PP4PP/RN2K1NR b KQkq -,a6b8
r1b1k2r/ppnp1pbp/1q2p3/2pP1p2/2B5/2P1P2N/PP3PPP/RNQ1K2R w KQkq -,h3f4
q1k4r/7p/4Qp2/pp2pP2/8/8/PPP2PPP/3R2K1 b - -,c8b8
kR6/7P/1p6/8/4p3/6P1/1p3P2/6K1 b - -,a8a7
r4rk1/q2n1ppp/p1pbp3/3p4/2PP4/4P2P/PB2NPP1/1R1Q1RK1 w - -,d1c2
2rr2k1/pbq2ppp/1p2pb2/2ppn3/2P5/PP1P2P1/Q1NBPPBP/1RR3K1 b - -,d5c4
2b3k1/3q1p2/p2ppQp1/1p4Pp/4PP1P/3P1N2/PP6/1K6 b - -,c8b7
8/8/5pp1/1p2k2p/1Pr1P3/1K2R1PP/2P5/8 w - -,h3h4
r3r1k1/1bqn1ppp/1p1p1n2/p3p3/2PPP3/4QNP1/1P1N1PBP/R3R1K1 w - a6,h2h3
r2q1rk1/1p3pbp/3pbnp1/8/4P3/pPN1BP2/P2QB1PP/3RK2R b K -,d8a5
3r4/p3bkp1/4p2p/5p2/1pPq4/1Q3BP1/P3PP1P/R5K1 w - -,a1b1
2r1r1k1/p2n1ppp/1p1pb3/3p2B1/1R6/2PP1B2/P1P2PPP/5RK1 w - -,g5d2
8/6k1/3p1pp1/2pP4/5P1p/5K1P/1r4P1/3R4 w - -,d1d3
8/5pk1/6p1/1p2b3/2q2n1p/5P2/6P1/1R2Q2K b - -,f4d3
4r1k1/1b3pp1/prqp3p/4p3/2P1P3/RP4QP/2B2PP1/R5K1 w - -,a3a5
rnbqk2r/ppp1ppbp/5np1/3p2B1/3P4/2N2P2/PPPQP1PP/R3KBNR b KQkq -,h7h6
2r1k2r/5ppp/R1bbpn2/1qp5/1p1P4/5NP1/1P2PPBP/QN3RK1 w k -,a6a5
r5k1/p4pbp/6p1/p3p3/4P3/3rB1P1/5P1P/RR4K1 w - -,a1a5
6k1/p7/3p4/2BnpbPN/7P/6K1/P1r5/4R3 b - -,c2c5
3r4/4qp1k/r3p1p1/1p2P2p/1p1pQP2/1P1P4/P1R2RP1/6K1 w - -,f2d2
8/5k1p/p4R2/8/8/3P4/5PP1/6K1 b - -,f7f6
r2r2k1/pp3ppp/2pqpn2/3nN3/3PN3/3Q3P/PPP2PP1/3RR1K1 b - -,f6e4
5r1k/4q2p/p1PQnp2/Pp2p1p1/2b1P3/5NP1/7P/R2R3K b - -,e7a7
R7/4p1p1/5p1k/8/7P/3r1PK1/8/8 b - -,e7e5
r5k1/N4ppp/8/3nn3/7P/1P2B2K/1R3Pr1/7R w - -,h3g2
3B4/5p2/1p3P2/p7/6k1/1P1pb3/P7/3K4 b - -,g4f5
r5k1/2Q2pb1/4p1p1/3q3p/3P4/4B1PP/P2R1P2/6K1 w - -,c7c2
5rk1/q3bpp1/4p2p/2NpP3/2nP4/p1QN2P1/Pr3P1P/R3R1K1 w - -,d3b2
8/8/4p3/4kpp1/8/2n2KPP/8/3B4 w - -,d1b3
4R1bk/7P/6P1/1pp4K/8/8/PP1p4/8 b - -,d2d1q
4k3/3r4/4p2P/pP6/5Q2/3b1P2/6PK/4r3 w - -,f4g3
8/6p1/2p1r3/2R3B1/3Pk1KP/n1P5/2P5/8 w - -,g5f4
2r1qr1k/3b2bp/p2p1n2/N2Pp2n/1p3p2/1B3P2/PP1QN1PP/1K1RR1B1 b - -,e8g6
2br2k1/pp2r1pp/2p5/2P2p2/1R3P1P/P2P2P1/4PKB1/1R6 b - h3,g8f7
r2q1rk1/p3ppbp/1p2b1p1/n7/1Q1PP3/2RBBP2/4N1PP/2R3K1 b - -,a8c8
r2q1rk1/pp3ppp/3bbn2/3p4/3P4/1P6/PB1N1PPP/2RQKB1R w K -,f1e2
3r3k/p1qR1pb1/6pp/1PP1p3/2QnN3/5P1P/5BP1/3R3K b - -,d8d7
8/4p1k1/2prPr1p/8/1Pq1Rp2/P2p2P1/3Q1PKP/4R3 b - -,f4f3
7R/4kp2/2b5/8/2P1r3/7P/1B3KP1/8 w - -,b2a3
8/3k4/KP6/2R4p/7P/8/8/r7 w - -,a6b7
4k3/R6p/4NP2/8/p3b3/6PP/r2K4/8 w - -,d2e3
r1R3k1/5pp1/p1b4p/8/2n1PP2/2N5/PPP3PP/4R1K1 b - -,a8c8
1k6/1p1K3p/2PR2p1/1pr2p2/P7/8/7P/8 w - -,a4b5
r4rk1/2b2ppp/p2qp1n1/1pp5/4Q2P/1P1P1N2/PBP1R1P1/5RK1 b - -,d6g3
r1b2rk1/1p1nqpbp/p7/4pB2/8/N1P1B3/PP3PPP/R2QR1K1 b - -,d7f6
8/6kp/1p1p2p1/p1rPp3/P3Pq2/3Q1PRP/1P5K/8 b - -,h7h5
1r4k1/4qpp1/2R4p/3B4/Rp1bP3/1P4P1/3B1P1P/6K1 b - -,g8h7
8/6k1/5b2/4p3/4R2p/4KBrP/8/8 b - -,g3h3
8/5R1p/2p1p1p1/2p1B3/2k2P2/1r5P/6PK/8 w - -,f7h7
r1bqrbk1/1p3ppp/1np2n2/p2p4/P2NPP2/1PN2B2/1BP3PP/R2Q1RK1 w - -,e4e5
3r2k1/pp2rpp1/1qp1b2p/4P3/3pPPn1/1P1B4/P3Q1PP/3NRRK1 b - -,g4e3
r2q1rk1/4ppbp/p3b1p1/1pp1P3/3P4/1nP5/P3BPPP/R1BQ1RK1 w - -,a2b3
r2qr1k1/ppp2ppp/1nnp1b2/7b/2PP4/P2B1P2/1P1NNBPP/R2Q1RK1 b - -,d8d7
2r3k1/3p4/pp2p3/3n2pp/PbNP1pP1/1P5P/1B2PPK1/2R5 b - -,h5g4
2r2k2/1p3pp1/1p6/8/4R3/6P1/5P2/6K1 b - -,c8c6
r4rk1/pp2q1pp/4bp2/nN6/1b1NP3/4B3/1PQ2PPP/R1K2B1R b - -,a8c8
3r4/3rk2p/2pN1pp1/1pP5/pP2P3/Pb3PP1/3K3P/3RR3 b - -,b3g8
1rb1r1k1/1p2ppbp/pNnp1np1/7q/2PN4/1P2PPP1/PB1Q2BP/3R1RK1 w - -,d4c6
r4rk1/pp4b1/3p3p/2pP1bpP/1qP1N3/3BP3/PPQ2P2/R3K2R w KQ -,e1f1
8/8/8/8/3k2p1/p5K1/8/1B6 w - -,b1a2
r1b2rk1/pp3pp1/2p2n1p/2b5/2n5/PN3B1P/1PP2PP1/R1BNR1K1 b - -,c5b6
2kr3r/pppq2p1/1b6/nP1NPp1p/6n1/P3P1P1/2QB1PBP/R3K2R b KQ -,d7b5
rnbq1rk1/p1p1b1p1/1p2pn1p/3p1p2/3P3B/3BPN2/PPP1NPPP/R2Q1RK1 b - -,c7c5
6rk/5prp/3bp3/q4pPQ/2pP1P1P/2P5/5R2/3BR1K1 w - -,h5f3
8/ppR2pkp/8/8/5p1b/1P3P2/P1b4P/7K b - -,c2b1
6k1/p4p1p/1b6/4P3/4K3/PNp4P/6P1/8 b - -,g8f8
r3k2r/q2nnpb1/b1p1p1pp/p2p4/3PP3/2PBBP2/PN1Q2PP/1RN2R1K w kq -,b2a4
r1b2rk1/pp2ppbp/2n3p1/3q4/3N4/4B2P/PPP1BPP1/R2Q1RK1 w - -,e2f3
r4rk1/pp4pp/2p1pn2/4q3/4P3/2NQ4/PP3PPP/R3R1K1 w - -,d3g3
r2qkb1r/pp3pp1/n1p1pnp1/8/2PP4/2N4P/PP2BPP1/R1BQ1RK1 b kq -,f8e7
8/3p1p2/2b5/4p3/p3P3/1K1B1r2/P1P3R1/1k6 w - -,b3a3
8/5k2/p2p1b1p/1p1Pp1pP/1P2P1P1/4B3/P4K2/8 w - -,f2e2
4R3/3r3k/1K5P/5pB1/5P2/6n1/8/8 b - -,g3e4
4r1k1/Qbpnrpp1/2pp3p/p5q1/N3P3/1P1B3P/P1P2PP1/3RR1K1 b - -,b7c8
6k1/1b1r1p2/p3p1nB/1p5R/3q1P1p/7P/PPp3PQ/5R1K w - -,f4f5
3rr1k1/pb2qp1p/1pp1pnp1/2P1Q3/1P1P4/5N2/P1B2PPP/3RR1K1 w - -,c2b3
rn2k2r/pp3ppp/5n2/2p1q3/1b2p1b1/2NPP1P1/PPNB1P1P/R2QKB1R w KQkq -,d3d4
2r1k2r/1p1bbppp/1q2p2n/1P1pP3/Q1nP2P1/P1NB1N1P/1B3P2/R4RK1 w k -,a4b3
8/6R1/1r5p/1k5P/5pK1/4b3/8/8 w - -,g4f3
r1bq1rk1/pppp1ppp/8/1B1Pp3/3b4/3P4/PPP2PPP/R1BQ1RK1 w - -,c2c3
2r2rk1/1p1bn1bp/pq2p1p1/3pn3/1P1P1B2/P2B4/2NQ1PPP/R3R1K1 w - -,d4e5
6k1/1rb4R/6P1/3p1bP1/p1pPpp2/2P5/1P2BK2/7R b - -,f5g6
r3k2r/1bq1bppp/p2p1n2/1p2p3/4PP2/P1N1B3/1PPQB1PP/2KR3R w kq -,e2f3
r2n2rk/1pqn1p1p/p2p2pB/2pPp3/2P1P2P/2NQ4/PP3PP1/R3R1K1 w - -,h6e3
8/2n2Bp1/3k4/1p5P/1p1K4/3P1P2/1P6/8 b - -,c7a6
r2qk2r/ppp4p/2bp4/5p2/2P1pBn1/Q2P2PB/PP2PP1P/R3K2R b KQkq -,e4d3
5bk1/5pp1/2n4p/p1qR4/P3r3/1Q2PNBP/5PP1/6K1 b - -,c5b4
8/8/8/p7/P3k3/1pK5/8/8 w - -,c3b3
8/p4k2/1p1prp2/2p4Q/2P1q2P/6P1/PP5K/5R2 b - -,f7g7
3r2k1/2rn1p2/Bp2p1p1/8/2PPRq1p/5P2/PQ4PP/2R4K b - -,f4g5
r1bq1rk1/pppn2pp/3p1b2/3Pp3/1PP1Pp2/PQNB1N2/5PPP/R3K2R b KQ -,a7a5
r4rk1/ppq1bpp1/2p1pn1p/4N3/3P4/2PQ2N1/PP3PPP/3RR1K1 b - -,c6c5
6k1/1R3p1p/1p4p1/8/P7/6P1/1r1r1P1P/5RK1 b - -,d2d5
8/8/5pk1/8/8/R5K1/8/1r6 b - -,g6g5
4rrk1/p1ppqp1p/b1p3p1/3nQ3/2P5/1P4P1/PB3PBP/RN3RK1 b - -,e7e5
6k1/3rB3/1p1P2p1/pP1Rpp2/P3n3/5K1P/8/8 b - -,g8f7
r3kb1r/p1qp1ppp/1nn1p3/2p1P3/1p2PB1P/5NP1/PPP2PB1/R2Q1RK1 b kq h3,b6c4
5rk1/q5bp/3pRp2/1p1Pn3/1P2NB2/7P/4Q1PK/8 w - -,e4d6
2k5/1p5p/p1n3p1/1bP1ppB1/6P1/P6P/1R2PPBK/r7 w - -,g4f5
3b2k1/pp4pp/2p1b3/5p2/5n2/1PB2N2/P3BPPP/5K2 w - -,f3d4
r1r1n1k1/ppq1p1bp/n2pb1p1/6N1/3B4/P1N5/1P2BPPP/R2Q1RK1 b - -,e6c4
8/1R2p3/4k1pp/4n3/6P1/2r1NK2/8/8 w - -,f3e4
r2q1rk1/pp2n1bp/3pbpp1/2p1p3/P3P3/2NPPNP1/1PPQ2BP/R4RK1 b - a3,h7h6
6r1/6P1/6K1/8/6k1/8/8/8 w - -,g6h7
3r1rk1/1pq1bppb/p1p4p/3nN3/Q2P1P2/P5P1/1P4BP/R1B1R1K1 w - -,c1d2
8/p1rnk2p/6p1/2bBpp2/2N1P1P1/2P2P1P/P1K5/1R6 b - g3,f5f4
6k1/b1p2pp1/p6p/Pp6/1P1Pr3/3q3P/3Q1P2/2K5 b - -,d3a3
r2q1rk1/1p4bp/2ppb1p1/p1n1pp2/2PnPP2/2NPB1PP/PP1QN1B1/R4RK1 w - -,b2b3
q2rrk2/1p2bpp1/2p1p3/2P4p/p2P1BnP/6Q1/PPB2PP1/3RR1K1 w - -,f2f3
r3k1r1/p2n1p1p/4pn2/P7/1R1Np3/B1P5/q1P2PPP/2Q1KR2 b q -,f6d5
6k1/4pp1p/P2p1bp1/R1rP4/8/5B2/5PPP/3R2K1 b - -,c5a5
8/8/p2N4/P2P1k1P/3n1p1P/8/5K2/8 b - -,f5f6
2b2rk1/1r1n1pbp/p2p2p1/3Pp2P/1qp1P1P1/2N1BPN1/PP1Q2R1/2K4R w - -,g3f5
r4rk1/ppp2ppp/2n2bn1/3q4/3P4/P2QBN2/1P1N1PPP/R3R1K1 b - -,a8d8
2kr2nr/ppp1q1pp/2n5/4p3/2PP4/5N1P/PP1Q1PP1/2KR1B1R b - -,e5d4
2rn1k2/pbn3bp/1p3pp1/2p1p3/2P5/P1B1PN1P/1P3PP1/1N1R1BK1 b - -,f8e7
2b2rk1/2q3pp/p2bpn2/3p4/8/2NQBB1P/P1P3P1/1R4K1 b - -,c8b7
4rr1k/p1p1n1pp/1p1p4/8/1PP2P2/P2QNqP1/7P/3RR1K1 w - -,e1f1
rr4k1/1qB2pbp/p3p1p1/R7/1pPP1Q2/7P/1P3PP1/R5K1 w - -,c7b8
r3r1k1/pp1n1pb1/2p1Q2p/8/1P1P3P/5N2/P2N2P1/2R2RK1 b - -,e8e6
r2r4/1b2qp1k/4pp1p/p7/N2P1Q2/P7/1P3PPP/R3R1K1 w - -,a1d1
6k1/1p3p1p/p5p1/N4p2/2b1rP2/2P4P/PP1R2P1/7K b - -,c4a2
6k1/8/P3p3/5pp1/1Pn5/1B5P/8/4K3 b - -,c4b6
r4rk1/ppqn1ppp/2pbpn2/5b2/2B5/P1NP1N1P/1PPBQPP1/R4RK1 w - -,f3h4
2kr3r/ppn1bppp/2p1p3/3n1b2/3P4/PB3NB1/1PP1NPPP/2KR3R w - -,b3c4
r1bqrnk1/4bppp/2p2n2/pp1p2B1/3P4/2NBP1NP/PPQ2PP1/2KR3R w - a6,c1b1
7r/1pp1kpp1/1pb1p2p/4P3/5PP1/8/PPPKB2P/6R1 b - -,h8a8
8/5p1k/4p1p1/2p4p/2Qb3q/pP6/K7/2R5 b - -,h4f4
1r4k1/5ppp/4p3/8/2BB4/1PP5/1q3PPP/R5K1 w - -,a1e1
r4rk1/pp1nbppp/q1p2n2/3p4/3P1Bb1/1QN2NPP/PP2PPB1/R2R2K1 b - -,g4e6
2r2rk1/pb1qnpb1/1pn1p1pp/2pp4/N1P5/PP1P1NP1/2QBPPBP/1RR3K1 b - -,e6e5
3q1r1k/bBr1n1pn/p2p3p/2p1pb2/P3N3/2PPBN1P/3Q1PP1/RR4K1 w - -,b7a6
2b5/1p3p2/p2k3p/3pnPp1/3K2P1/4PN1P/PP4B1/8 b - -,e5c6
1n1q1rk1/6bp/r2pp1p1/2p1P2n/8/5NP1/PP1NQP1P/R1B1K2R b KQ -,d6d5
1r4k1/5p1p/p5p1/b2Q4/N7/6K1/1PP3PP/R2Rrq2 b - -,a5c7
r3k2r/p1p2ppp/2pbb3/8/4PB2/8/PPP3PP/R3KB1R w KQkq -,g2g3
8/3k4/7R/8/p2B4/1p3r1p/1K6/8 b - -,f3f4
2b1B1k1/p1r3pp/5p2/2NR4/1n6/5P2/PP4PP/2KR4 b - -,b4d5
2rqk2r/1p1b1ppp/p3pn2/n2pN3/1b1P1B2/2NBP2P/PP3PP1/2RQ1RK1 b k -,e8g8
8/5pk1/bb2p1p1/2q1P2p/7P/1pB2PP1/1P1QN3/4K3 w - -,c3d4
8/6pp/R7/4kPn1/P5P1/1r6/5K2/8 w - -,a6a7
rnbq1rk1/ppp1bppp/3n4/3p4/3P4/2PB1N2/PPQ2PPP/RNB2RK1 b - -,g7g6
rq2rbk1/1b1n2p1/ppnpp1p1/8/2P1P1Q1/1NN1B3/PP4BP/2R2RK1 w - -,g4g6
r1b2rk1/pppnqpb1/3pp2p/6pn/3PP3/2PB1NB1/PP3PPP/RN1QR1K1 b - -,h5g3
r1k4r/8/bqn2p2/4pP2/1p1nP2p/1Pp1BB1P/2P3RK/3RQ1N1 w - -,e1f2
1r3rk1/pp4p1/2b1pPp1/2q1P1Q1/7P/P2B1p2/1PP5/2KR3R b - -,c6e8
r1bq1rk1/ppp1ppbp/2np1np1/8/3PPP2/2NB1N2/PPP3PP/R1BQK2R w KQ -,c1e3:e1g1:e4e5:d4d5
r3r1k1/5ppp/1p3q2/p1p5/P1P5/3PR1P1/2Q2PKP/5R2 b - -,f6c6
6k1/3rnp1p/p3p1p1/1p2b1B1/P3P3/2P5/1PB1K1PP/7R w - -,a4b5
8/7p/3p2p1/p4p1k/P2RpP2/1P2P2P/2r2PK1/8 b - a3,c2c6
8/4K2p/8/8/p4P2/1k6/6PP/8 w - -,f4f5
8/8/4p3/4N3/5pk1/2R3p1/7r/5K2 b - -,g4f5
r5r1/pp2k1p1/1q6/4n2P/2P3Q1/8/PP3P2/1K2R3 w - -,e1e5
r1b2rk1/ppq2ppp/2n1pn2/2p5/2BP4/P1P1PN2/2Q2PPP/R1B1K2R w KQ -,e1g1
r3kb1r/pp2pppp/2n2n2/2p5/Q1BPq1b1/2P2N2/PP3PPP/RNB1K2R w KQkq -,c1e3
r3r1k1/2qb1pbp/3p2p1/np1Pp2n/2p1P3/2P2Q1P/1PB2PPN/R1B1RNK1 b - -,a5b7
8/4qp2/3p2pk/3P4/5P1P/3Qp1P1/3nP1BK/8 b - -,f7f5
2r1r1k1/1p3pbp/pqn1pn2/3p1p2/3P4/1P2PN1P/P3NPPB/2RQ1RK1 w - -,f3e5
2r1k2r/pb3ppp/1qp1p3/1pn1P3/4P3/P5P1/1P2QPBP/RN3RK1 w k -,b2b4
r2r2k1/1pp2pq1/6np/4b1pB/1P1pP3/P2Q2P1/1B3P1P/2R1R1K1 b - -,a8c8
r1bqnrk1/pp3pp1/2npp2p/1N6/3Pp1P1/Q6P/P1P1NPB1/1R3RK1 w - -,g2e4
2r3k1/5p1p/6p1/2nR4/2p3P1/2B1K2P/8/8 w - -,c3d4
r5k1/1R1R1p2/5p1p/p3pP2/P3P3/6rP/6P1/7K b - -,a8f8
2k5/pbq5/1p2p1Nb/2p2p2/2Pr1P2/1B2QP2/PP2R3/2K5 b - -,h6f4
2rr1k2/1b3pp1/pp5p/4p3/Pb2N1P1/1P1B1P2/2P4P/3R1RK1 w - -,g1f2
8/6R1/4pP2/4P3/pP3r2/P1K3p1/5k2/8 b - b3,a4b3
8/r4rkp/p1Q1pqp1/1p1n4/5p2/PP1R4/5PPP/4R1K1 b - -,f7e7
r1b1kb1r/pp1n1ppp/2n1p3/q2pP3/N1pP1P2/2P1BN2/PP4PP/R2QKB1R w KQkq -,b2b4
8/5kpp/7r/ppp1P3/4PP2/1bN3P1/1P6/5RK1 w - -,c3b5
r5k1/4pp1p/1q1p2p1/2pP4/8/rPQ1P1P1/P2R1PKP/R7 b - -,b6a6
6k1/5p1p/4p3/p1p2bp1/3q4/Q3R2P/Pr2BPP1/6K1 b - -,b2e2
5bk1/8/5BK1/2p3Np/4PP2/5br1/8/R7 w - -,g6f5
8/8/6p1/8/4k3/r5B1/4K2P/8 w - -,e2d2
3r4/6bk/2p1q2p/N3p1p1/Pp1rPp2/1P3P2/1PQR2PP/3R3K b - -,c6c5
4r3/8/1b3kpp/3p1p2/1P6/3K3P/4N1P1/5R2 w - -,f1a1
2r2rk1/1pqnbppp/p2pbn2/P3p3/4P3/1NN1BB2/1PP2PPP/R2QR1K1 b - -,d7c5
6r1/1p3p1k/p1rR1B1p/P3pP2/2Pb4/1P3P2/7P/3R3K w - -,d6c6
8/3B4/8/1kP3p1/3K4/4p1NP/6b1/8 b - -,b5a6
r3r1k1/pppq1pb1/2n4p/3Bpb2/2N3pP/2PP2P1/PP1B1P1N/R2QR1K1 b - -,d7d5
8/p1k5/1p2p2p/P3Pbp1/2K4P/5BP1/1P6/8 w - -,c4d4
r2qnrk1/1b1n1ppp/2pbp3/pp6/1P1P1B2/P1N1PNP1/4BP1P/R2Q1RK1 w - -,d1b3
1q4k1/5p1p/4p1pP/2Q1P1P1/4BP2/2p2K2/P7/4b3 w - -,a2a4
3R4/6pk/pB2r2p/1p5P/8/PPP3K1/1n6/8 w - -,b6f2
r2qk2r/1b1nbppp/p3pn2/8/Pp1N4/1P2P3/1B1NBPPP/R2Q1RK1 w kq -,e2f3
5b2/3B4/3p2kn/p1p1p3/n3P2B/2PP2N1/P1R2K2/1r6 b - -,a4b2
6k1/6bp/1p4p1/2p5/3P1PP1/6RP/1P3r2/7K b - -,c5d4
8/R5bk/1r6/6KP/3p4/3N3P/8/8 w - -,d3f4
1r2q1k1/2p2pp1/8/2P1P2p/PB1Q2b1/2KP4/8/R7 b - -,b8d8
2k5/8/2P2pp1/RP5p/3K4/8/6bP/8 b - -,c8c7
r1bqk1nr/ppp2ppp/2np4/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq -,c2c3:b1c3:h2h3
r2r2k1/pbq1bpp1/1ppp1n1p/4pP2/2P1P3/PPN2N2/1BP1Q1PP/4R1RK b - -,f6h7
r1b2rk1/2p3pp/1pPpp3/p2P1p2/2P2P1q/3QP3/P2B2PP/R4RK1 b - -,e6d5
8/2k5/4RN2/2pP1p2/2n5/2Prp3/5PK1/8 w - -,g2f3
r4rk1/pp1bqpp1/2N1p2p/2bp3n/8/2PBP1B1/PPQN1PPP/R4RK1 b - -,b7c6
5rk1/4nppp/1r6/p2pP3/1ppP2P1/2P1N3/PP3RKP/5R2 b - -,a5a4
8/4k3/PR3ppp/8/4K1P1/7r/5P2/8 b - -,f6f5
r1bqk1nr/1pp2ppp/2npp3/p7/2PP4/P1b2N2/1P1BPPPP/R2QKB1R w KQkq -,d2c3
