3R4/2k2p2/8/1pr5/8/P3Q3/KPq4P/8 w - -,e3e7
1rb1k1nr/p2pppbp/2p3p1/q7/2P1P3/2N5/PP2BPPP/R1BQ1RK1 b k -,g8f6
4B3/6k1/4b1p1/R4p1p/P6P/6K1/4r3/8 w - -,a5a7
3br1k1/5pp1/7p/p1q5/2N1PN2/1P4P1/P4P1P/3Q2K1 b - -,d8b6
2r5/6p1/2r1kb2/1p1p1p2/1P3P2/4P3/3B1P2/2R1RK2 w - -,c1c6
rr3b2/N1Rn1k1p/3Pbp2/4p1p1/6P1/1P2BN1P/P4P2/3R2K1 b - g3,f7g6
2rq3r/pp3k1p/n2bnpp1/8/8/2N2N2/PP2QPPP/R1BR2K1 b - -,c8c6
8/8/1k3K2/2p1p3/4P3/1P3PP1/8/8 b - -,b6b5
r1bq1rk1/ppp2pb1/n2p1np1/3Pp2p/2P1P3/2N1BN1P/PP3PP1/R2QKB1R w KQ -,f3g5
2Q5/5ppk/3p3p/8/1p2P3/1P4P1/3q1PKP/8 w - -,c8f5
5k2/1p2n3/4r2p/1Q1p2pP/3Pp1P1/P3P3/6K1/8 b - -,b7b6
8/4Q3/p3p1pp/Pp1pB1k1/1P1P3q/8/2r3P1/6K1 b - -,g5h5
4n3/p6p/1p1k2p1/2p2p2/P4P2/1P2KBPP/4P3/8 b - -,e8f6
3q2k1/1p1b1ppp/1Q4n1/2BP4/r1N1n3/2P2N1P/PP4P1/R5K1 b - -,d8c8
r4rk1/pbq1ppbp/1p4p1/2p1nP2/4PB2/2P2NP1/PPQ3BP/R4R1K b - -,a8d8
2rq1rk1/4b1pp/3p4/1p1PnpP1/8/2P3Q1/1P4BP/R1B2R1K w - f6,g5f6
r2q1rk1/6pp/p1p1pp2/3n1b2/2BP4/4P3/P2B1PPP/R2Q1RK1 w - -,d1e2
2N3bk/1P4b1/2N4p/5p2/5n2/3r3P/4R2K/4R3 b - -,d3h3
2r1k2r/p2qnpb1/bp2p1p1/n2pP2p/3P4/1P2B1PP/P2QNPB1/R2NR1K1 b k -,e7f5
1r4k1/3qppbp/p2p2p1/2nP4/4P3/1Pr1R3/2Q2PPP/1R4K1 w - -,e3c3
r2r2k1/pbq1pp1p/1p4pb/3n4/P1Np4/3P2P1/1PP2PBP/R1Q1R1K1 w - -,c1h6
2rr2k1/1b3ppp/4pn2/1pb5/5q2/3P1PNP/BR1Q1P2/4K2R b K -,f4d2
b2r1r2/4Rp1p/1N1Pn1p1/1P4k1/8/8/2B3PP/3R2K1 w - -,b6d7
8/4k2p/R5p1/4P3/4rP2/6KP/6P1/8 b - -,g6g5
3r3r/2qnbkp1/5p1p/1ppnpP2/4N1PP/2PP1N2/1P2Q1K1/R1B2R2 w - -,c3c4
1n1r1bk1/1p4pp/1p1r1p2/3Np3/PP2P3/2B2PP1/7P/3RR1K1 b - -,g8f7
2rq1rk1/4bpp1/p1p2n1p/8/N2p2b1/4B1P1/PP2PPBP/2RQ1RK1 w - -,e3d4
3qr1k1/1p3ppp/p2r1N2/6B1/8/5QP1/PP3PK1/3R4 b - -,g7f6
rnbqkbnr/p1pppppp/1p6/8/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq -,c8b7:e7e6
6k1/p3q3/4p1p1/2pbb2p/1p2r3/7R/PPPQB2P/3RK3 w - -,c2c3
4r3/1p6/2p1k2p/p1r1p1p1/P3K3/2BP1PPP/RP2P3/8 w - -,a2a1
r1bq1rk1/pp2bppp/1np1pn2/8/3P1B2/1BN1PN2/PP3PPP/R2Q1RK1 b - -,b6d5
r4rk1/1bqpbppp/p1n1pn2/8/Pp2P3/2NBBN2/1PPQ1PPP/3R1RK1 w - -,c3e2
2k1br2/1p2q2p/p3p3/2p1n3/4BPp1/2P3P1/PPN4P/1R2R1K1 w - -,f4e5
r6r/p1p1kBpp/1pn5/2q1pbN1/4N2P/2PQn3/PP4P1/2KR3R w - -,e4c5
r1bq1rk1/p3bppp/2pp1n2/4p3/2P5/1P2P3/PB2BPPP/RN1Q1RK1 b - c3,d8c7
2rq1rk1/5ppp/pP1bp3/3b1NP1/2p5/2Q1BP2/1PP4P/2KR3R b - -,e6f5
r2r2k1/1p3p2/2q1b1pp/p7/3P1B2/7P/PP2QPP1/1R3RK1 b - -,e6c4
8/8/8/5pk1/2R5/8/5K2/r7 b - -,a1a5
r2q1nk1/5pb1/2p5/1p2PRN1/2pP4/1n2B3/1P4P1/rR2Q1K1 w - -,g1h2
rnb2rk1/ppp1qppp/3ppn2/8/2PP4/P1N2NP1/1P1QPP1P/R3KB1R b KQ -,e6e5
2R5/pb3pkp/1q2p1p1/3pN3/3P4/8/PP1Q1PPP/6K1 b - -,b7c8
3r4/2k2p2/1pp3pr/p2qPpP1/P2P1P2/4Q3/5K2/2R5 w - -,g5h6
rn2rbk1/2p2pp1/p2q1n1p/1p1bp3/3P4/2P1BNNP/PPB2PP1/R2QR1K1 b - -,e5d4
r2qkb1r/1b1n1ppp/p2ppn2/8/Pp1NP3/2N3P1/1PP2PBP/R1BQR1K1 w kq -,c3a2
rnb1k2r/2q1bpp1/pp1ppn1p/8/1PP1P1P1/P1N2N2/2Q1BP1P/R1B1K1R1 b Qkq -,b8d7
8/3B4/3n4/ppk4N/2ppb3/P7/2PK4/8 b - -,c4c3
bq4k1/4b2p/1N1p1np1/pP1PpP2/P5B1/4BPP1/7P/2r2QK1 w - -,f1c1
6R1/8/3p1p2/4bkp1/8/1r1N4/4K3/8 w - -,g8g7
r1b2r2/7k/p1pQ1qnp/5p2/4pB2/P6P/1P3PP1/1BR2RK1 b - -,g6f4
2r2bk1/3r1pp1/3P3p/n3p3/p3P3/PnN1BPP1/1P2B2P/3R1RK1 w - -,c3a4
8/8/2k5/1p2B2p/1K2P1p1/P2n2P1/2B4P/5b2 w - -,c2d3
5nk1/p5p1/1p1q3p/4p3/2PrRp2/1P4P1/P4P1P/1Q3NK1 w - -,g3f4
2rqn1k1/5pbp/1p1pr1p1/pNn1P3/P2B1P2/1P3BQ1/6PP/1R1R3K b - -,d8e7
r7/8/3k2p1/7p/P1RK1P2/6P1/7P/8 b - -,d6e6
8/6k1/5rp1/7p/r6P/4NRP1/5P1K/8 w - -,h2g2
8/3b2pk/q4p1p/r2P1P2/p1p1p3/RrN1P2P/1P3RP1/3Q3K w - -,d1d4
3q1rk1/3rnpb1/1pn1p1pp/p1p5/P1P1P2P/2P2NP1/2Q2P2/R1B1RBK1 b - -,c6b4
8/5p1k/p5p1/Pq5p/5PP1/7P/1P1Q2K1/8 w - -,g2g3
r1b1r1k1/1pp2pp1/p1nb3p/3N4/4P3/3P1NP1/Pq3PBP/R2QR1K1 b - -,c8g4
rnbq1rk1/p1pp2pp/1p2pb2/5p2/2PPn3/1P3NP1/PB2PPBP/RNQ2RK1 b - c3,c8b7
r3k2r/ppqn1ppp/3bpn2/2pp4/3P1P2/2PBPQ1P/PP1N2P1/R1B2RK1 b kq -,e8g8:h7h6
1q1rr1k1/3b1pb1/1ppp1np1/pNn4p/2P1PN1P/1PB2PP1/P2Q2B1/1R2R2K w - -,b5d6
8/r5k1/r7/P1R5/4P3/4KP2/8/8 w - -,c5g5
2r5/5pkp/6p1/2qRp3/4P1P1/N4n2/PP1Q3P/1K6 w - -,d2d1
2r3r1/3k1p2/p1p2p1p/Pp3NbP/3PP1P1/3K4/P1R5/1R6 w - -,c2g2
8/3k2p1/4p2p/5p2/R2P1P2/Prp1PP2/4NK1P/8 w - -,a4c4
8/2p5/3pb3/5kp1/1N6/2n1KPP1/8/3B4 w - -,d1c2
8/pp2rk2/8/3R4/8/1r4P1/8/3R3K w - -,h1g2
3r1rk1/pp1b2pp/2p1n3/1P1p1p2/5Pn1/2NPPN2/P4PBP/R4RK1 w - -,b5c6
r1bqk2r/5pbp/npn1p1p1/1Np3N1/p1P5/P2P2P1/1P2QPBP/R1B2RK1 b kq -,a6b8
4k3/2q1bpp1/4p1r1/r2pP3/1P1BbP1p/1NP5/5RPP/3Q2K1 w - -,b4a5
5qk1/1Q4np/1p2p3/p1p2pP1/P6P/1BPr4/5P2/4R1K1 b - -,d3d6
r3k2r/ppp1b1pp/5pb1/3q4/3P2PN/2Q5/PP3P1P/R1B1R1K1 b kq -,d5d7
r2qrbk1/1bpn1p1p/p2p1np1/1p2p3/P2PP3/2P3NP/1PB2PPN/R1BQR1K1 b - -,c7c5
8/5k2/1n1r1pN1/pp2pP1p/4R2P/PPP2KP1/8/8 b - -,a5a4
4R3/2r5/5pk1/8/pB2P3/P4PK1/2r5/8 b - -,c7c8
2Q5/p1p1q1pk/8/8/2P1p3/4B1P1/P1K1BP1r/6R1 w - -,c8f5
r4rkb/1p1b1p2/2pp1Ppp/4p3/p1PnP3/P1NP2P1/1P3qBP/1R2NR1K w - -,f1f2
8/8/7p/3K3P/6k1/1r6/1p6/1R6 w - -,d5c4
r3k2r/1q1ppp2/5n1p/2p5/6p1/2P1PP2/P1RQ2PP/4K1NR w Kkq -,e1f2
2r3kb/1pq1pp1p/3p2p1/1r6/p2BP3/P2n1P2/QPP1R1PP/1K1R4 w - -,d1d3
rn1q1rk1/pbp1bppp/1p1ppn2/8/3P4/1P1BPN2/PBPN1PPP/R2Q1RK1 b - -,b8d7
rnbqkb1r/pp2pp1p/2p2np1/3P4/Q7/2N2N2/PP1PPPPP/R1B1KB1R b KQkq -,f6d5
2r5/ppr3k1/3q2pp/2Np1p2/P2Pn3/8/1P2QPPP/2R2RK1 w - -,c5b7
8/8/8/4b2R/K1k5/8/1r6/8 w - -,a4a3
r2qk2r/pppnbppp/2np2b1/8/2B1PBP1/2NP1N1P/PPPQ4/2KR3R b kq -,d7e5
6k1/p4pp1/1b3r1p/3R1Nn1/8/2P1P1q1/PP2Q1P1/5K2 b - -,g7g6
rnb1k2r/pp3ppp/4pn2/3p4/1bqN4/2N3P1/PP2PPBP/R1BQ1RK1 w kq d6,c1f4
1R6/8/1P3k2/6p1/8/6PK/1r6/8 w - -,h3g4
6k1/R6p/6p1/PP3p2/5n2/2N4P/1r6/5K2 b - -,f4g2
3r4/3rbkpp/p1p1p1n1/1p1P1p2/2P5/1PNR2PP/PB2KP2/3R4 b - -,b5c4
1k6/8/r7/6PP/8/p1n3K1/R7/8 w - -,a2a1
8/8/r3ppR1/8/5P1b/4P2k/4K3/8 w - -,g6g7
q7/8/1n1p1pk1/1BpPpNpn/2P1P3/P4PPr/5Q2/5KR1 b - -,a8a3
3r1nk1/2q2rbp/1pbpp1p1/p1p3P1/P1P1PP1P/1P2B1N1/2B1QR2/4R1K1 b - -,d8e8
8/pb5p/3k1p2/4p1p1/1PB1P1P1/2K2P2/7P/8 w - -,c4d3
r1nk4/pp1q1N1p/3Pn3/5p2/8/1PQ5/P5PP/4RRK1 b - -,d7f7
8/8/p7/3kp3/3p3p/PP1K1P2/5RP1/1r6 w - -,d3c2
r1bqkbnr/pp2pppp/2n5/2p5/4p3/2N3P1/PPPPNPBP/R1BQK2R b KQkq -,g8f6:c8g4
rn1q1rk1/pbp2ppp/1p2pn2/3p4/1bPP4/1P1BPN2/P2N1PPP/R1BQ1RK1 b - -,a7a5
r3r1k1/pq2nppn/6bp/1p2pN2/2p1P3/2P2Q1P/PPB2PP1/R1B1R1K1 w - -,f5d6
8/R4p2/6p1/1k5p/6PP/4KP2/pr6/8 b - -,b5b4
rn1qk2r/1bp1ppbp/pp1p1np1/8/P2PP3/2NBBN1P/1PP2PP1/R2QK2R b KQkq -,e8g8
2r2rk1/1p2qpb1/p1b1p1pp/3pP3/3N4/1PB5/1PPQ1PPP/R3R1K1 b - -,f8e8
5q1r/2n5/1k2p3/p1pnP3/PpQ2pP1/1P3B2/1B2KP2/2R5 b - -,h8h2
r3kb1r/p3pppp/q2p1n2/1pp1n3/4P3/2PP1PNP/PPB2P2/R1BQK2R b KQkq -,g7g6
r1bqkb1r/6pp/p7/1p1pp3/3N4/3Q4/PPP3PP/R1B2RK1 w kq -,d4b3
8/4k1p1/p4p2/1p1b3p/8/P1B2P2/1P4PP/6K1 w - -,g1f2
2r5/8/3pk1Pp/7P/1p2p3/1P3p2/2P2R2/3K4 b - -,e6f5
r4rk1/1q1npp1p/p2p2p1/1ppP3P/P1P1P3/1PQ3P1/3N1PK1/RR6 b - -,e7e6
3k2rq/pppb4/4p3/2bpn2p/7P/2NB4/PPP1Q1P1/2K2R1R w - -,c1b1
r1b2rk1/ppp1qpbp/6p1/n2Pp3/4P3/2PBB3/P3NPPP/R2Q1RK1 b - -,b7b6
1B2r1k1/1p2bp1p/pq2b1p1/2p5/3p4/1nPP2Q1/1P3PPP/3RRBK1 w - -,b8e5
8/6P1/1pk5/p5R1/7K/8/8/7r w - -,h4g4
4rrk1/p2P4/6p1/2p5/3bbp2/2P2K1P/PP1B4/R6R w - -,f3g4
1k1r3r/p1nnbppp/qp2p3/3pP3/P2P4/1P2BP2/3QNNPP/R4RK1 b - -,a6b7
r4r2/p3Rpkp/Rn4p1/4qp2/2pP4/2P2P1P/1PB2P2/6K1 w - -,e7e5
rn3rk1/p4ppp/1qp2n2/3b4/Q7/P3PN2/1P3PPP/R1B1KB1R b KQ -,b8d7
8/p2k1p2/4n1p1/n3P3/4P1KP/8/8/2R5 b - -,a5c6
r2q1rk1/5ppp/np2p3/p1pnN3/3P4/8/PPPB2PP/2KRQR2 w - -,e1g3
8/1p3k2/1Pb4R/4rP2/p3p1K1/8/4P3/8 w - -,g4g5
r4bk1/pR4pp/5p2/8/8/4B1P1/rP2PP1P/3R2K1 w - -,d1d7
r2R4/5ppk/2p4p/1pP1rb2/1n2p3/qQN3P1/P4PB1/2R3K1 w - -,d8a8
rn3rk1/pbp2ppp/1p2p3/3q4/3Pn3/PP3N2/1BP2PPP/R2QKB1R w KQ -,f1e2
4nrk1/1p2qp1p/pNp3p1/2Pp4/3b1Pb1/8/PP1QBP1P/R3K2R w KQ -,h2h3
1R6/p4pkp/6p1/8/2b1N3/P4PK1/2r3PP/8 w - -,b8c8
r5kb/1R5p/p2B4/2pP1b2/6P1/4P3/6P1/6K1 w - -,g4f5
8/2rpk3/4r1p1/2p2p1p/p1P2P2/P5P1/1P1R3P/2K1Rn2 w - -,e1f1
6k1/1p2pp1p/3p2p1/2nP4/2P5/4P1PP/2B1K3/8 b - -,g8f8
8/1b4kp/p5p1/1ppP1p2/5q2/1P4Q1/1Pr2PPP/3R1K2 b - -,f4g3
r3b1rk/2n2p1p/1p1n1qp1/p1pPN1N1/2P3P1/P3Q2P/1PB3R1/6RK w - -,e3c3
5b2/8/1pp1k1p1/p1p1p2p/2P1P3/PPPN1KPP/8/8 w - -,g3g4
r2qnrk1/pppn2bp/3p2p1/3Pp3/2P1Pp2/2N2P2/PP2BBPP/R2Q1RK1 b - -,g6g5
8/5pk1/p5p1/1R6/8/1P4P1/r6P/6K1 w - -,b5b6
2q2rk1/4ppb1/2b2np1/1r5p/1p1pPP2/1P1N2PP/1RPB2BK/4QR2 w - -,e1e2
3rr1k1/1pqnbppp/2p1p3/4P3/2PB4/1p2Q3/P2N1PPP/3R1RK1 w - -,a2b3
8/B7/2p5/b4k2/P3np1P/5B2/2P3K1/8 b - -,e4g3
8/6k1/2P3p1/3Bp2p/5p1P/7K/2r5/8 w - -,d5e4
rnbqk1nr/ppp2pbp/3p2p1/8/3NP3/2N1B3/PPP2PPP/R2QKB1R b KQkq -,g8f6
8/4k3/8/R7/pr6/5K2/8/8 w - -,f3e3
r3rnk1/1b1n1ppp/p1Nqp3/1p6/8/1P1P2P1/PB2QPBP/R4RK1 w - -,a1c1
r1b2r1k/4p1np/p7/2pP1p2/2B2qP1/P4N1P/1PQ5/1K3RR1 w - -,f3h4
8/2n5/3K4/k7/p1B5/P7/3N4/8 b - -,a5b6
r1b2rk1/pp1nqppp/2p1p3/8/2PPQ3/5NP1/PP3PBP/R4RK1 b - -,e7b4:d7f6
8/8/5k2/7p/8/3B4/3K1bb1/8 w - -,d2e2
8/6pk/5r1p/2p2P1P/2P2P2/1p2P1K1/8/1R6 b - -,f6b6
4r3/1p1b3k/p2b2qp/5p2/1B1P4/PB3RP1/1P2Q3/6K1 w - -,e2f2
3r4/ppn2pkp/2p3p1/2P5/1P2PP2/P4BPP/3r4/2RR2K1 w - -,g1f1
7r/3k1p1p/2p1pp2/1p5b/1B2q3/P5P1/1P3K1P/2R2B1R w - -,f1g2
r1b2rk1/pp2q1pp/1bn1pp2/2p5/2BPP3/2P1BN2/P3QPPP/2R2RK1 b - -,c6a5
8/2k5/8/2PR4/8/4P3/4K3/2r5 b - -,c7c6
8/6k1/7p/1q1pR1p1/2p5/2PpQ2P/1P3PPK/r7 b - -,b5b8
r1bqk2r/1p1nbppp/p2pp1n1/2p5/P1BPP3/2P1BN2/1P3PPP/RN1Q1RK1 w kq -,d1d2
4rk2/6pp/p2PP3/1p1N2b1/3N4/1K6/1P5P/8 w - -,b3b4
1n4k1/1q6/p1pbp1p1/3p1pP1/1P1P1P2/P1B1P3/2K1B3/5Q2 b - -,d6f8
3qrbk1/5pp1/2Q2n1p/8/2Npb3/6P1/3BPPBP/R4K2 w - -,g2e4
3q4/2b2ppk/2Q1pn1p/8/8/1P2PBPP/5P2/2B3K1 w - -,h3h4
8/6p1/2Q3k1/5pP1/3P3P/5PK1/4q3/8 b - -,g6h5
5k2/p4p2/6n1/2p1PQ2/2Pp1P2/3PqNK1/P7/8 w - -,f5e4
3r1rk1/p1p2pbp/1pn2np1/4pP2/q3P3/1NP3PP/PP2Q1BK/R1B2R2 b - -,d8d6
2r1rqk1/1p4bp/2b1ppp1/p2p4/P2P1P2/1PPBR1BP/5QP1/R5K1 b - -,c6d7
rn3rk1/1p1qb1p1/p2ppn1p/4p3/4P3/2N1BP1N/PPP3PP/R2Q1RK1 b - -,d6d5
8/7k/p1PB4/6p1/r3N2p/3K1r2/P1R5/8 w - -,d3e2
rr3n2/1bn2pkp/p2p1q2/1ppPp1BP/P1P1P3/1PNB1P2/3Q1K2/7R b - -,f8d7
