4b3/1p5p/5N2/2P3Pk/n2K4/P7/1p6/1B6 b - -,h5g5
3b4/p7/2p1k1p1/p3p3/P1N1P3/1P3PKP/8/8 b - -,d8c7
r1b2R2/1p6/p1p1p1kp/P3n1b1/4N3/8/1P4PP/5R1K b - -,g5e7
2q3k1/6p1/p3p1p1/1p1p1rbP/3P2Q1/1P2P3/P2NKP2/7R b - -,g6h5
8/1k6/5R1P/1P4K1/8/8/8/6r1 w - -,g5h5
r4rk1/pbq1bppp/1p1ppn2/8/3P1B2/2PB1N2/PP2QPPP/R4RK1 w - -,h2h3
r1bb1rk1/2p3pp/1pP2n2/1N1p1p1q/1p1N4/1P2P1P1/P1Q2PBP/R4RK1 b - -,f6e4
8/5ppk/7p/3r4/1p6/1P4P1/P4P1P/2N4K w - -,h1g2
r1b2rk1/pp1nqpp1/4p2p/2p5/3P4/P1NnPN2/1P3PPP/R2Q1RK1 w - -,d1d3
rnb1kb1r/5ppp/pq1ppn2/1p6/3NP3/1BN2Q2/PPP2PPP/R1B1K2R w KQkq -,c1e3
rn2q1k1/p4pb1/3p2p1/3P3p/4rB1P/P2Q4/1P2NPP1/R4K1R w - -,f4d6
8/8/4r3/P1k2K2/2p2P2/2P5/RP6/8 b - -,e6a6
2brr1k1/qp3pb1/p5pp/P1n5/3pPP2/P2P3P/3B2B1/R1Q1NRK1 w - -,a1b1
8/3Nrpk1/3p2qb/p2P4/4B3/2PQ2p1/PP3PK1/6R1 b - -,e7e4
r2qb1k1/2bn3p/p1p1pr2/2Pp1p2/P2PnN2/3NPpP1/2Q3BP/1RB2RK1 w - -,g2f3
2Q1Nbk1/5p1p/4n1p1/2pp4/P4q2/1P6/5PPP/1R4K1 b - -,e6d4
r4rk1/1R2bp1p/5np1/p1q1B3/4PP2/2NB4/2P3QP/7K b - -,a5a4
r3rn2/5k2/p2qpbpp/1p6/3PQ3/1p3NPB/P1R2P1P/2R3K1 w - -,c2c7
5b2/2p2kp1/1p2rp1p/pP1R1N1P/P3P1P1/5P2/6K1/8 w - -,d5d7
5rk1/2p4p/1pPpb1p1/p5r1/2P1pP1P/P3P3/6P1/2R1B1K1 w - -,h4g5
3rr1k1/p4pp1/Bp5p/4R1qn/3P4/P4bB1/1P1R2PP/3Q2K1 w - -,e5e8
r1b2rk1/2qnppbp/2p2np1/ppPp4/3P4/3BPN1P/PPQBNPP1/R4RK1 b - -,f8e8
1r6/2r1nk2/bq2p2b/pp1pPp1p/2pP1PpP/P1P1N1P1/1PQ2BB1/RR4K1 b - -,a6c8
8/p3kp2/4p1p1/1p2r3/2rp3R/3R1P2/P4P2/3K4 w - -,d3a3
3r2k1/p5pp/1p2p3/3Bnp2/1P5b/N3PP2/P2BK1PP/2R5 b - -,d8d5
2rqr1k1/p3ppbp/1p1p1np1/4n3/2PNP3/1PN1B1PP/P4PK1/2RQ1R2 w - -,d1d2
5rk1/2n1b1pp/2Bp4/3Pp3/1P2N3/1KP2P2/7P/6R1 w - -,g1f1
2bq1nk1/2r1bpp1/1p2p2p/pP1pP3/N2P3P/P2BRNP1/1Q3PK1/8 b - -,c7b7
8/7p/3r4/5R2/2k1KP1P/8/8/8 b - f3,d6d1
5rk1/1prn1bp1/p2p1q1p/P2P1p2/1RN1pP2/2P5/1P4PP/2QR1BK1 w - -,f1e2
8/1R3ppB/3p1k2/3rp3/2n5/P4P2/4K1PP/8 w - -,g2g4
rn3rk1/1bp1qppp/pp1b1n2/3p4/3P4/1PNBPN2/PB3PPP/R2Q1RK1 w - -,a1c1
8/3r1pk1/4pbp1/1p1r4/p2P1P1p/P2R1K1P/1PN3P1/3R4 b - -,g6g5
6k1/5p1p/3R2p1/4P3/8/5K2/r5B1/1Nr5 b - -,c1b1
2rr2k1/pb3p1p/1pnqpp2/2p5/2P5/PP3NPP/2QP1PB1/R3R1K1 b - -,c6a5
8/1r3KP1/3k4/8/8/8/8/8 w - -,f7g6
b2r3k/p3qpp1/N3pr1p/3n4/P2P4/1R3PPB/7P/2QR2K1 w - -,a6c5
r2q1rk1/1ppbppbp/3p1np1/3P4/p1P1P3/P1N1BN1P/1PQ2PP1/R3R1K1 w - -,f3d4
r3r1k1/1ppb1pp1/p2p2qp/8/2nNPn2/2P1NPP1/PPB4P/R2QR2K b - -,f4h3
6k1/p2n1pp1/4b2p/2p4q/4NB1P/5PP1/r3PQ2/3R2K1 b - -,h5f5
4rbk1/1R1R2p1/r4p1p/6P1/3B3P/4P1K1/5P2/8 b - -,f6g5
4r1k1/1p3p2/pP1p1rpp/2pP1q1P/5P2/4PBQ1/7P/4R1RK w - -,h5g6
r2q1r1k/p3p1bp/bp4p1/2nP1p2/P1Q2P2/2N1PN2/1P1B2PP/3R1RK1 w - -,c3b5
5r1k/1p4pp/p2p2rq/3Np3/2PnQ3/P4P2/1P3RPP/3R2K1 b - -,h6h5
4k1r1/1p2bp1p/p4Pp1/P1p1B3/2R4P/2Pr4/1P3P2/4K1R1 b - -,e7d6
r2qk2r/4bppp/p4n2/1pppp3/3PP1b1/1QP1BN2/PP1N1PPP/R3R1K1 w kq b6,f3e5
r2q1rk1/pp3pbp/2p2np1/4p3/2PnP3/P1N1BB2/1P3PPP/R2Q1RK1 b - -,f8e8
2bq1rk1/1p4pp/r1p1p3/p1Pp1p2/3P4/PPQ1PN2/5PPP/R4RK1 w - -,f3e5
r1r1k3/4pn1p/1p2N1bb/3PPp2/5B2/nPpN3P/P3BP2/2R1K1R1 w - -,f4h6
1rbq1rk1/3n1pb1/5npp/pB1pp3/Pp1P4/2P1NP2/1P1QNBPP/R4RK1 b - -,b4c3
r1bq1rk1/4bppp/p2p4/1p6/4Q3/1B6/PPP2PPP/R1BR2K1 b - -,a8b8
r5k1/p4rN1/b2P2Q1/q1p5/1p3p2/7P/PP4P1/3R2KR b - -,f7g7
8/8/4k1p1/4pp1p/p3P2P/4KPP1/1B6/1b6 w - -,b2a3
3rr1k1/qp3pbp/2p3p1/p1n1n3/3BP3/6PP/PPQ1NPB1/3RR1K1 b - -,b7b6
1r6/5p1k/3Rn1rp/p7/R7/4B2P/PP3P2/5K2 w - -,b2b3
r6r/p1bnk1pp/2p1pn2/1p2p3/4P3/2N1BP2/PPPRB1PP/2KR4 b - -,c7b6
rn1q1rk1/p4pbp/3p1np1/2pP4/1p2PP2/2N2B1P/PP4P1/R1BQ1RK1 w - -,c3e2
r1r3k1/pp5p/4p1p1/8/3bP3/8/P1RBKPPP/2R5 b - -,c8f8
r1b1k2r/ppp2ppp/n2q1n2/3Pp3/2P5/4PN2/P2B1PPP/1R1QKB1R b Kkq -,f6e4
r3k2r/p1q1np2/Pppbpp2/3P1b2/Q1PN3p/4B2P/1P2BPP1/R4RK1 b kq -,f5e4
r1r5/ppq1kpp1/4pn1p/2n4P/3Q4/1N2N3/PPP2PP1/2KR3R w - -,g2g4
8/2rbkppp/p1nbpn2/Np6/8/4PN1P/PP3PP1/1B1RB1K1 b - -,h7h6
r1q1r2k/pp4bp/2n1b1p1/2pN2B1/Q1B3n1/5N2/PP4PP/R4RK1 w - -,a1e1
1r2n3/2b3k1/1p6/2p1pB1p/P3P1p1/3P2P1/2KB1P2/1R6 b - -,e8d6
r2q1rk1/ppnb1pbp/3p1np1/2pPp1B1/1PP1P3/P1NB1N1P/5PP1/R2QK2R b KQ b3,b7b6
r1b2rk1/p1p1ppbp/2pq2p1/4P3/3P2n1/6P1/PP3PBP/RNBQ1RK1 b - -,d6d7
r4rk1/1B1b1ppp/1p2pq2/2p5/P1P5/3n4/1P1P1PPP/R1BQR1K1 w - -,e1f1
r2r2k1/2q1bppp/p2pbn2/2p3B1/PpN1P3/1B1Q4/1PP2PPP/R3R1K1 w - -,d3g3
r1bqkb1r/3n1pp1/p2ppn1p/1p6/3NP2B/P1N5/1PP1QPPP/R3KB1R w KQkq -,e1c1
6r1/1p1k2P1/2p5/p5R1/P1P4p/6p1/1P2NnP1/5K2 b - -,d7e7
1rr5/3n1pk1/p3p1p1/P2p3p/R1nP1P2/5P2/N1R1NKPP/8 b - -,b8b5
8/b3k3/4p1p1/1K2Pp1p/3NbP1P/2P3P1/8/3B4 w - -,d1e2
r1bq1rk1/pp2bppp/2pp1n1B/2n5/3NP3/2N3Q1/PPP1BPPP/R3K2R b KQ -,f6e8
2r1r2k/p1q2p1p/1p2nNpP/4Q3/8/P4P2/1PP3P1/1K1R1R2 w - -,e5c7
rnbqk1nr/ppppbppp/8/4p3/N3P3/5N2/PPPP1PPP/R1BQKB1R b KQkq -,b8c6
r4rk1/1p1qbnpp/2n1bp2/p3p3/2PpN2P/PP1P1NP1/5PB1/R1BQR1K1 w - -,h4h5
r1bqk2r/pp2nppp/2n1p3/2bp4/4P3/3B1N2/PPPN1PPP/R1BQ1RK1 b kq -,e8g8
4rr1k/2pbb3/2n1p1qp/pp1p2p1/3P4/PPP1RNPP/3Q1PB1/2NR2K1 w - -,b3b4
8/4np1k/4b1pp/1B2N3/1p6/1P5P/P4PP1/6K1 w - -,e5d3
r6k/1q4pp/p4rn1/3Pp3/1bB1pp2/8/1PQ2PPP/2BR1RK1 b - -,f4f3
1qr1k2r/3bbpp1/2n1p2p/pp1pP2P/1P3B2/P2B4/3N1PP1/2RQR1K1 w k -,d1g4
q2r4/4ppk1/5rpp/1pP1Q3/1P2B3/2n4P/5PPK/1R6 w - -,e4a8
rnbqkb1r/ppp1pppp/5n2/3p4/2P5/6P1/PP1PPPBP/RNBQK1NR b KQkq -,c7c6:d5d4
rr4k1/2Q1p3/2p1qbp1/p1P3p1/3Pp1b1/2B5/PP1R2BP/4R1K1 w - -,e1e4
rnbqk2r/ppp2ppp/3b4/4p3/8/2P2NP1/P1PP1PBP/R1BQK2R b KQkq -,e8g8
2q5/5k2/4pNp1/p2p1nP1/1p1P1P2/1P2P3/P2QK3/8 w - -,f6g4
r1bqk2r/1p2bppp/p1np1n2/2p1p3/P1B1P3/1P1P4/1BP1NPPP/RN1QK2R w KQkq -,e1g1
r4rk1/pb1p1ppp/1p2pn2/2p1q3/2PNP3/BP3Q1P/P2P1PP1/1BR2RK1 b - -,e5d4
r3r1k1/2pb1p1p/p1p3p1/2N1q3/8/1P2P2P/P1Q3P1/2R1R1K1 b - -,a8d8
2k4r/ppp2pp1/2n2q1p/8/2P3b1/1Q2PN2/PP1rBPPP/2K4R w - -,c1d2
4r1k1/1p3pp1/3B1n1p/p1p5/P1q5/1bP2BPP/5P1K/R4Q2 b - -,c4f1
1r3bk1/3b1r2/1P1p2n1/p2Pp1q1/2N1P2p/1Q1N1Pn1/1P2BRPB/4R1K1 w - -,e2f1
8/8/8/8/3K4/4nkb1/8/8 w - -,d4d3
rn2kb1r/pp3pp1/3pbq1p/2p5/4P3/2N5/PPP2PPP/R2QKBNR w KQkq -,d1d2
R4nk1/6b1/P2p4/8/2Ppr2P/5NpK/3B4/8 b - -,e4e7
8/6K1/2p1k1p1/8/6r1/8/2R3P1/8 b - -,e6d5
2rq1rk1/pp1bppbp/3p1npB/8/2BNP3/2N2P2/PPPQ2PP/2KR3R b - -,c8c4
8/1b2qpk1/p4npp/1p2p3/1P3P1N/2P3PP/P6K/3BQ3 b - -,b7e4
6k1/r3bpp1/pp2Nn1p/2p1p3/2P1P3/4BP2/PP1RB1PP/6K1 b - -,f7e6
6nr/5kpp/2pqpb2/3r4/2Qp1P2/N7/PP4PP/R1B1R1K1 w - -,c4d3
4k2r/pp4pp/4b3/2r2p2/8/1Pn5/P1BK1PPP/R3R3 w k -,e1e6
rnbqkb1r/pp1p1ppp/4pn2/2p5/3P4/4P1P1/PPP2PBP/RNBQK1NR b KQkq -,d7d5
8/2n1k1p1/2rb1pp1/1p1p4/1P1N3P/PK2B1P1/5P2/8 w - -,d4c6
8/8/7R/1p6/2p5/P7/1rk5/K7 b - -,c4c3
r4rk1/pp1n2bp/2p2np1/4p3/1PP1P1b1/2N2NP1/PB3PB1/R3R1K1 w - -,f3d2
1r1q1r2/2p2p1k/2Pp2pb/3Npb2/4n2p/1P2P1P1/P2Q1PBP/B1R1R1K1 w - -,d2e2
rnbqkbnr/pppp1ppp/8/3Np3/1PP5/8/P2PPPPP/R1BQKBNR w KQkq -,d1b3:c1b2
7r/8/8/2k1N3/4K3/8/8/3R4 w - -,d1c1
5r2/1ppQ2kp/p2p2p1/3P4/2P1R1P1/Pb1q4/1P6/KN6 b - -,g7h8
2b2k2/1p3pp1/r6p/2p1pP2/2PbP3/1R2NK2/4B1PP/8 b - -,d4e3
4r3/6k1/3pq1P1/6P1/2P2p1P/1P4Q1/P7/R5K1 w - -,g3f4
r3k2r/p2qnpbp/2bpp1p1/1pp5/4PP1Q/2NP1N2/PPPB2PP/R4RK1 w kq b6,a1e1
r7/P7/7p/5K2/7P/4p3/R3Pk2/8 b - -,h6h5
r1bq1rk1/ppb2pp1/2p2nNp/3pp3/PP2P3/1BPP4/3N1PPP/R1BQR1K1 b - -,f7g6
8/8/5pKP/2n5/k1P5/8/8/8 b - -,c5e6
1r1qr1k1/1p1nppBp/p2p2p1/3N4/2P1PP2/1P4P1/P3Q2P/1R1R2K1 b - -,g8g7
8/2k5/p1b2Np1/1pp5/2n1P3/2N2PK1/PPP5/8 w - -,c3d1
8/3q3k/r5p1/8/7P/PQ2B1P1/5P1K/8 w - -,b3b4
r5r1/pppbq2k/3p1b2/3Pn2p/3BPN2/8/PPPQ2R1/2K3R1 w - -,f4h5
2r2rk1/p2qppbp/1p4p1/n1p5/3P4/2P1PNB1/P3KPPP/RQR5 w - -,e2f1
8/p7/3k2p1/PP3p1p/2Pr3P/4NKP1/5P2/8 b - -,d6c5
1R6/7k/2r5/p4PPp/PbN1K3/1P6/8/8 w - -,f5f6
5k2/2p3pn/rp1p1p2/3P1q1Q/P1P2r2/7R/5R2/6K1 w - -,h5f5
1r1r2kb/2qb4/n1pp1pp1/ppnPp1B1/2P1P1P1/2N2N2/PPBQ1P2/2KR2R1 w - -,d5c6
8/2p3p1/2k1p2r/2p1P3/5B2/5K2/8/3R4 b - -,h6h3
8/R7/P2p1k2/2nP3B/r5P1/6K1/8/8 b - -,a4a3
r2qkbnr/pp1n1ppp/2p1p3/3p4/4P3/2NP1Q1P/PPP2PP1/R1B1KB1R w KQkq -,g2g3:c1d2:f3g3:g2g4:a2a3
8/7R/br3p2/3k2p1/8/4KP2/6PP/8 b - -,b6b2
3q1r2/p4p1k/1br2p1p/5P2/1P1PQ2n/P1N5/4N2P/R4RK1 b - -,c6c3
6rk/6p1/pq3n1p/1p2RQ2/3N4/1PP5/b1B3PP/6K1 b - -,b6c7
r3k1nr/1pq2pp1/p2bp3/2p1n1Bp/P1BpP2P/3P1P1R/1PP1NP2/R2QK3 b Qkq -,e5c4
r1bq1rk1/3nppbp/p1pp1np1/1p6/2PPP3/2NBBN1P/PP1Q1PP1/R3K2R w KQ -,e3h6
r2q1rk1/1b1nppbp/p2p1np1/1p1N2B1/3NP3/1B5P/PPP2PP1/R2QR1K1 b - -,d7c5
3n3k/1p3r1p/3qpp2/6p1/2BPQ3/4P1PP/6PK/5R2 w - -,e4g4
8/8/8/2p2k2/2P5/4PK2/8/8 b - -,f5e5
r1b1r1k1/pp1nqpp1/2p4p/3p4/3Pn3/2NBPN1P/PPQ2PP1/R3K2R w KQ -,e1g1
4rrk1/p3qp2/1p3n1p/4P1p1/2pP4/2P3B1/P2Q2PP/1R3RK1 b - -,f6d5
6k1/p2qnbp1/1p5p/1P1p1p1P/3N1N2/4P3/P1Q2PP1/6K1 b - -,f7e8
5r2/pR5p/Pp4p1/2pP1p2/2P3kP/2K3P1/8/8 w - -,b7a7
1r4k1/4R3/4K1p1/p5P1/7P/1P2p3/8/8 w - -,e6d5
4rrk1/pb3qpp/1pnbpp1n/2pp4/2P2P2/PP1PPNP1/1B1N1QB1/R4RK1 w - -,f3h2
8/3b4/1b1P4/8/2k1Bp2/8/6K1/8 b - -,b6e3
2k1r1r1/pp3b1p/2np3b/5p2/3P1Nqp/3BPN2/PPPQ1KPP/R5R1 w - -,g2g3
5k1q/4p3/1p3pQ1/p1pPpP2/P1P1P2p/1P5P/8/7K b - -,h8g7
8/5p2/4k1pN/6P1/4n1KP/8/8/8 w - -,h4h5
2r1b3/p3k1bp/1p2p1p1/1P3p2/P1Pr4/6N1/4BPPP/2RR2K1 b - -,e7d6
r2r2k1/p3pnbp/2p1b1p1/q3P3/3N1B2/2N1Q3/PP3PP1/R3R1K1 b - -,e6d5
1k6/7R/3n4/q1N3P1/p7/5P2/PPP3P1/2KQr3 b - -,e1d1
7R/pp1kp3/8/2P5/P4K2/1P6/2r5/8 w - -,h8b8
1rbq1rk1/4bpp1/p2p1n1p/2p1p3/2P1PP2/2NP3P/1P4PN/R1BQ1RK1 b - -,e5f4
3r1b1k/1p2qpp1/p3p2p/4N3/b2P4/PPr1n1Q1/5PPP/1BBR2K1 w - -,f2e3
8/5p1p/2kbp1pB/p7/Pp1KP1P1/1P3P1P/8/8 w - -,h6g5
r1b1kb1r/pp1n1ppp/2p1pn2/q2p2B1/Q1PP4/2N1PN2/PP3PPP/R3KB1R b KQkq -,a5a4
8/pb2k2p/5p2/4p1p1/1PB1P1P1/2K2P2/7P/8 b - g3,e7d6
8/8/3q1k1Q/p3b1p1/1p6/1P6/P4PK1/4R3 b - -,f6f5
8/6p1/2b2p2/2P2k1p/4p2P/6K1/2r2BP1/4R3 b - -,e4e3
4n3/1P3k2/R2bp1p1/8/2P4p/5P2/6K1/8 b - -,d6c7
r1bq1rk1/1p2b1pp/p2p2n1/3Ppp2/2N5/2PBB3/PP3PPP/R2Q1RK1 b - -,e5e4
r2q1rk1/p2n1pp1/1ppbp1np/3p4/P2Pb3/1QPN2P1/1P2PPBP/R1B1NRK1 b - -,e4g2
r1r3k1/1p3p1p/6p1/1q6/3Pp3/P3P2P/5PP1/1R1R2K1 w - -,b1b5
r1b1rbk1/1p3ppp/p1p5/4pNN1/3pP1P1/3P3P/PPP2P2/2KR3R w - -,f2f4
r1b1kb1r/ppqp1ppp/2n1pn2/8/4P3/PNN1B3/1PP2PPP/R2QKB1R b KQkq -,f8e7:a7a6:d7d6
r2qr1k1/pb2bppp/1ppp1n2/1B2B3/3NP3/2P5/PPQN1PPP/R4RK1 b - -,c6b5
5k2/R5pp/2prn1b1/1P3pP1/8/7P/P7/4RBK1 b - -,c6b5
1r3r2/3b1pbk/3p1pp1/pp1N3p/3PP2P/P4PP1/3KN1B1/R1R5 b - -,f6f5
1n3rk1/p1q1bppp/bp2p3/2p1P3/2Pr1B1P/1P4P1/P2NQPB1/R4RK1 b - -,a6b7
r1bqr1k1/pp3ppp/2p2nn1/3pp3/2P5/1PQPP1P1/P3NPBP/R1B2RK1 w - -,e3e4
2rr2k1/p3ppbp/1n4p1/1R1p4/q2P1BP1/N6P/P1P2P2/2QR2K1 w - -,c1b2
8/2R1pp1p/6p1/2Pk4/8/2r3P1/3K1P1P/8 b - -,c3f3
8/8/6p1/1k5p/3p2rP/1P1K4/5R2/8 w - -,f2f8
1k6/8/1p6/1P5R/2P1pr2/2K5/5P2/8 b - -,f4f2
r1bqk1r1/pppn1p1p/4pn1Q/8/3Pp3/P1P5/2P1NPPP/R1B1KB1R b KQq -,b7b6
1rr4k/p5p1/1p3q2/7R/2Ppp1nP/P5P1/4PPB1/1R1Q2K1 b - -,h8g8
4rrk1/pp3ppp/2pbbn2/q2pN3/3P1P2/P1NBP2P/1P4P1/R3QRK1 b - -,a7a6
8/8/1p2rk2/p5pp/3R4/5P1P/PP3KP1/8 w - -,h3h4
4k3/8/1p6/2PK2p1/1P3rp1/R7/P7/8 b - -,f4b4
8/8/8/R7/1r3pK1/5P2/5k2/8 b - -,f2e3
8/8/8/8/5q2/3Q3K/1p4P1/1k6 b - -,b1a2
8/4R3/BK6/P4b2/3P1k2/4p3/r7/8 b - -,f5e4
4r1r1/2p4k/1p1b4/p2Ppp2/4P1BP/P3BP2/1P1Q2K1/8 w - f6,e4f5
rn2k2r/1p3ppp/p3bn2/2qp4/5Q2/2NBP3/PP3PPP/R3K1NR b KQkq -,b8c6
r1b3k1/pp2qppp/2p5/4r1N1/5Q2/1PP5/2P2PPP/R2R2K1 b - -,e5g5
4k1r1/1p2p1P1/6p1/Pp5p/1PrB4/2P3qP/6P1/R4RNK w - -,f1f3
2rqrbk1/1b3pp1/p1npp1np/2p4N/1p2P3/1PPP1N2/P3QPPP/2BRRBK1 w - -,c3b4
r1br2k1/pp2qpb1/n2ppn1p/1N4p1/2P5/1Q1N2P1/PP1BPPBP/2RR2K1 w - -,d2e3
6rk/5b2/p3p1pp/1p1pP2q/5P1P/P1P3Q1/1PB5/1K4R1 w - -,g3f2
3r4/pp3p1p/3pbk2/2r5/3N1P2/1P6/P2R2PP/4R1K1 b - -,a7a5
2rq1rk1/p5pb/2p1ppnp/1pR1P3/3P1PP1/4n3/PP2B1NP/3Q1RK1 w - -,g2e3
5k2/rp3ppp/1bb1p3/p7/8/P7/1P2NPPP/R3K2R w KQ -,f2f3
8/1r6/pPk1p3/2Pp1p2/1K3P1p/N2bP1pP/P5P1/2R5 w - -,c1c3
8/5p1p/4p1p1/p7/1k6/1Br1N1PP/P4PK1/8 w - -,g2f1
8/8/8/8/5pr1/1R4k1/5p2/5K2 b - -,f4f3
3r2r1/1k1p4/p1qPp2p/1p1nBp2/2p3pP/2P5/PPP1QPP1/2KRR3 w - -,e2d2
r1r2bk1/1bqn1p1p/p2p1np1/PppPp3/4P3/1PP2NNP/2B2PP1/R1BQR1K1 b - -,b5b4
r4bk1/p2n3p/bp1qR1P1/2pP4/8/8/P1Q2PBP/1R4K1 b - -,d6f4
8/5pk1/4p2p/2N1n1p1/1q4P1/8/1r4BP/Q2R3K b - -,b4g4
r2qkb1r/1b1pnppp/p3p3/npp5/4PB2/2PP1N2/PPB2PPP/RN1QK2R w KQkq -,e1g1
1r6/1p5k/2qp3p/p1pNbrpQ/P1P1P3/3P4/1P4K1/R4R2 b - -,f5f1
8/7k/5P1P/6K1/5R2/8/8/6r1 w - -,g5f5
rnbqr1k1/pp2ppbp/6p1/3p4/6N1/1PNP2P1/PB2PPBP/R2Q1RK1 b - -,c8g4
6r1/1p1k4/r1p1pn1p/5pp1/P2P1P2/1P2P3/R2BK1PP/2R5 w - -,e2f3
r1b1k2r/pp3ppp/1qnbpn2/2pp2B1/3P4/2P1PN2/PP1N1PPP/1R1QKB1R w Kkq -,f1d3
8/1p3p1p/p2pbk2/1p3p2/P1PP4/b2B1N1P/6P1/4K3 w - -,c4b5
1n2rk2/3n1p2/p2p1qp1/1p1Pp3/4P3/1P2NPQB/P1R4P/7K b - -,d7c5
r6k/1p1b3p/p2p1Q2/2pPq2p/P7/2N1P2P/1P4P1/5RK1 b - -,e5f6
1r1q2rk/5B1p/2bp4/p3pP1Q/Np6/2P3b1/PP4PP/5R1K w - -,h2g3
8/p1p1k2b/1p1p3b/3Pp2p/2Pr3P/5PR1/PP2Q1K1/8 w - -,g2f1
8/1p6/p2p2p1/P1p1p3/2P1P1k1/1P1NK2n/2P5/8 w - -,b3b4
2r5/2k3p1/p3p3/1p1p1b1p/2rP1P2/2N1K1P1/PP1R3P/7R b - -,c7b6
r4r1k/pp1R4/5npp/5pq1/2B5/2N5/PPP2QPP/5R1K b - -,f6d7
1r4k1/5pb1/1n2b1pp/2R5/p2pP3/P2N1NPP/1P3PB1/6K1 w - -,f3e5
4k2r/1pqbbp2/p3p3/3pPp1p/PPrN1P2/2PR4/6PP/R1BQ3K w k -,c1d2
r5k1/1n2r1pp/5b1P/1p1bNP2/2pP1BR1/2P4K/2B5/4R3 w - -,h6g7
8/1p2kp2/2bnp1p1/p2r4/P6p/1P1B1P1P/2P1NKP1/3R4 w - -,c2c4
r1b2rk1/pp3pp1/2p3qp/4p3/4Pn2/1PPB1N1P/P1Q2PP1/3R1RK1 w - -,f3h4
r1bqkb1r/pp1n2pp/2n1p3/3pPp2/3P1P2/5N2/PP4PP/R1BQKBNR w KQkq f6,f1d3:g1h3
2r2rk1/p2qbpp1/2p2n1p/3p4/8/1PNQ2Pb/PB2PPBP/2R2RK1 w - -,f1d1
r1bqk1nr/pp3pbp/3pp1p1/2p5/4PP2/2NP1N2/PPP3PP/R1BQ1RK1 b kq -,g8e7
1q2r1k1/1b6/2n1N1p1/r3B3/pp6/6Q1/PP3PP1/R3R1K1 b - -,c6e5
r3rnk1/1b3p1p/1pp3p1/p2pP2P/3P1qn1/1P1B1NN1/P1Q2PP1/2R1R1K1 w - -,h5g6
7r/p1prk1pp/2p1p1n1/8/2P5/P3P3/1P2B1PP/R3K2R w KQ -,a1d1
