2Q5/3Q4/5k2/8/8/6Pp/5PKP/2q5 w - -,g2h3
2k5/8/3K4/5bP1/5N2/8/8/8 b - -,c8d8
r2b2Q1/2p1q2R/1p1p1k2/pP1Pp3/P1P5/4B1r1/4KP2/8 w - -,f2g3
8/pp4k1/4P3/4nr2/4B1p1/4bP2/PP4P1/1K5R w - -,e4f5
r2b2k1/p4ppp/1pbP4/3n3q/2NBN3/5P2/P5PP/R3Q1K1 b - -,d5f4
2r2rk1/1p3pp1/p2p1n1p/b1q1p3/1P1nP3/2N4P/2PB1PP1/R2QRNK1 b - b3,a5b4
r2q2rk/1b3p1p/pp1p4/4pNb1/2P1P3/2N4Q/PP3B1P/3R1B1K b - -,g8g6
r4bnr/1p1k2pp/p1n1b3/5pN1/4p3/2N5/PPP2PPP/R1BBR1K1 w - -,d1e2
2b1r3/1p4pk/p1pBppqp/2Pr4/3PRP2/1Q5P/PP4PK/4R3 w - -,b3c3
8/7p/6p1/2p1kp2/8/1P1R2P1/1r3PKP/8 w - -,g2f3
8/1p1r1ppk/p1pP3p/2Q1P3/PP2b1R1/7q/3R2P1/6K1 b - -,h3g4
1r4k1/p4pp1/2BNbn1p/2P5/R7/1P2r1P1/R6P/6K1 w - -,a4a7
r2q1rk1/pb1nbpp1/1pp1pn1p/3p4/2PP3B/2NBPN2/PP2QPPP/R4RK1 w - -,a1c1:a1d1
4r3/8/3R4/7p/pp2PP2/1k2K1P1/nP6/3N4 b - -,e8g8
1k2rbr1/pbp2q2/1pn1pP1p/3p2p1/PP1P4/B1PB4/3NQPPP/R3R1K1 b - -,f7f6
rnbq1rk1/pp2npbp/2pp2p1/4p3/2P1P3/2NP2P1/PP2NPBP/R1BQK2R w KQ -,e1g1
r3kb1r/3npp1p/3B4/1qpP4/1p2Q3/8/PP3PPP/R3K1NR w KQkq -,d6e7
r3k2r/1bq1bppp/p1nppn2/1p6/4PP2/PNNB4/1PP1Q1PP/R1B2RK1 w kq -,c1d2
3rr1k1/1p2q3/p1n1b1pp/2Pp1p2/1b1P4/2N1PN2/BQ2R1PP/5RK1 w - f6,c3d1
r1b1kb1r/1pq2ppp/p1n1pn2/2pp4/3P4/PP1BPN2/1BP2PPP/RN1QK2R w KQkq -,c2c4
rnbq1rk1/pp2ppbp/2p3pn/8/3Pp3/2N2NPP/PPP2PB1/R1BQK2R w KQ -,c3e4
1rbqr1k1/pp3pbp/2np1np1/2p1p3/P3P3/2PP1N2/1P1N1PPP/R1BQRBK1 w - -,b2b3
r2q1rk1/ppp2pbp/2np1np1/4p3/2BPP3/2P2N1P/PP2QPP1/R1B2RK1 b - -,e5d4
1b1rrnk1/pp3ppp/2p2q2/1P6/N1PPp3/PQ4Pb/4BPNP/3R1RK1 w - -,d4d5
2kr1b1r/1ppqpppp/p4n2/3P4/5B2/2N3P1/PPP2P1P/R2QR1K1 w - -,d1d4
8/pp5Q/3q1kr1/8/6p1/P2pR1P1/P4P2/6K1 w - -,h7h8
5rk1/5p1p/2q1bbp1/Q2p4/8/P5P1/1P3P1P/2RR2K1 b - -,c6b7
1rbq1rk1/1p2ppbp/p1np1np1/2p5/P3PP2/2NP1NP1/1PP3BP/R1BQ1RK1 w - -,h2h3
3q2k1/1p3r1p/2p5/R2pPrp1/P2P1P2/2Q3PP/1P2N2K/8 w - -,a5c5
2rq1rk1/p3b1pp/2p1p3/3n4/1n2N3/1P4P1/PB1Q1PBP/R2R2K1 b - -,d8b6
8/2rk1p1p/R4Bp1/2PK2P1/1p5b/8/P7/8 b - -,c7c8
1r2k2r/4bpp1/1p2p3/2ppPb2/5P2/2P1BNp1/PP3K1P/6RR w k -,h2g3
3rkb1r/1p2nppp/p2q1nb1/2pPp3/P1B5/BPN3N1/2PQ1PPP/R3K2R w KQk -,e1c1
r4k2/p1p2pp1/1p2n2p/1b6/8/2P3BP/P2R1PP1/4R1K1 w - -,a2a3
3r3r/2k1qp2/1pp1bNpp/p1p1P3/P3NQ2/1P1P3P/2P2PP1/4R1K1 w - -,e4d6
r4rk1/1bqnbppp/p2pp3/8/2nQP3/1NN1B1PP/RPP2PB1/4R1K1 w - -,b3d2
r2qr1k1/1p1n2bp/2pBb1p1/5p2/1p6/2N3P1/P1Q1PPBP/1R3RK1 w - -,b1b4
r2q1rk1/1b1p2pp/p1n1pn2/6N1/1p5Q/4P1P1/PPP1N1BP/R4RK1 b - -,h7h6
r1bqk2r/p5pp/2ppp1n1/2p2p1Q/4PP2/3PB3/PPP3PP/RN3RK1 w kq -,b1d2
r2r2k1/4qppp/2p1p3/PpnnP3/6Q1/P4B1P/2PBRPP1/R5K1 b - -,f7f5
1r2r1k1/p1pq1ppp/1np5/4p3/Pb2N1b1/3PB1P1/1P1NPP1P/2RQR1K1 b - -,a7a5
r3k2r/pp3p2/2bppp2/7p/1B2qPnP/P7/1PP1Q1P1/2KRN2R w kq -,e2e4
r7/5p1p/5pk1/p6p/R7/4P3/4KPP1/8 w - -,e2f3
8/8/b3pk2/2R3pp/3P4/5K2/6P1/8 w - -,c5c7
rnb1k2r/1p3ppp/p2p1n2/4p1B1/4P3/2qB4/P1PN1PPP/1R1QK2R b Kkq -,b8d7
4r1k1/Bb3pbp/p2R1np1/q7/2P1PQ2/1P4PP/P4PB1/6K1 b - -,a5a2
r2q1rk1/pp2npbp/3Nb1p1/8/3pPB2/6P1/PP3PBP/R2Q1RK1 b - -,g6g5
r1b1k2r/1p1nbppp/1qn1p3/p1ppP3/3P1P2/PPP2N2/6PP/R1BQKBNR w KQkq -,h2h4
4r1k1/pp1b2pp/5n2/3pR3/5N2/3B2P1/PP3P1P/6K1 w - -,e5e8
4r1k1/4Bp2/p4P1p/Pp2Nbp1/1P6/7P/6P1/5BK1 b - -,e8c8
1r2r2k/2b3p1/2Pp1p1p/p7/1PQ5/P3NqP1/1B3P2/2R3K1 w - -,b2d4
r3r1k1/p4pp1/1p1N3p/3B4/2PN2n1/4q1P1/P1Q1P1KP/3n4 b - -,e3f2
r3k3/pp1nbpp1/2p3p1/q1P1p1Pr/3P4/1Q1B2BP/PP2PP2/R4RK1 b q -,h5g5
6k1/r3p3/3pPb1p/2pP4/Pp4P1/1P1B4/6K1/5R2 b - -,g8g7
r1bq1rk1/pp4pp/2pbpnn1/3p1p2/2PP4/BP2PNP1/PQ3PBP/RN3RK1 b - -,f6e4
rn1q1rk1/pb2ppbp/1p4p1/2pN4/2PPn3/BP2PN2/P3BPPP/R2Q1RK1 b - -,b7d5
1r1r2k1/3q2bp/1p2b1p1/p1p1pp2/2P5/P3P1P1/2QN1PBP/1RB1R1K1 w - -,b1b5
2kr3r/pbpqb1p1/1pnpp2p/1B2Pp1P/3P1BnN/2N5/PPP1QPP1/2KR3R b - -,e7h4
rnbqkbnr/pp2pppp/8/2pp4/8/1P3N2/PBPPPPPP/RN1QKB1R b KQkq -,b8c6:e7e6:g8f6:f7f6
8/1p6/2p2p2/5B1P/2k4P/4b3/P1K5/8 w - -,f5c8
4r1k1/p4ppp/1q3n2/3p4/3P4/1P3QP1/PB3P1P/5BK1 w - -,b2c3
n7/4k3/5ppp/4p3/2N1P1PP/8/5K2/8 b - -,a8c7
3r1rk1/1p4b1/1Np1b1p1/2P1p2p/4PnPq/6QP/PP3PBN/4RRK1 b - -,h4e7
3rr3/1p4k1/1q2b1p1/pN3p2/4p3/3R1QPP/PP4BK/5R2 w - -,d3d6
8/8/8/1R6/3k1pP1/r4P1K/8/8 w - -,g4g5
8/k7/2p5/6p1/K1N1P1Pp/6b1/7B/8 w - -,h2g1
8/5pk1/3p3p/3P1Pp1/P2R4/7P/5PK1/r7 w - -,g2f3
6k1/p7/4r3/1P2Pp1p/3R1Pp1/4K1P1/P1r2R1P/8 b - -,c2c3
3r2k1/2R3p1/5p1p/1p2p3/1P2n3/4PN2/4KPPP/8 b - -,d8a8
2kr4/1pq3pp/7n/1Q2p3/2bpP3/P7/5PPP/R3R1K1 w - -,b5b4
8/8/3k1p1p/4pPp1/1PK1P1P1/7P/5b2/3B4 b - -,f2g1
r1b2rk1/1pp3pp/1pn1p3/1BnpP2q/8/1NP2N2/PP2QPPP/R3R1K1 w - -,b3c5
r1b2rk1/pp1nqppp/8/2p1n3/2PpN3/Q2P2P1/P3PPBP/R1B2RK1 b - -,h7h6
r4rk1/p3bp2/1n3np1/1p1p3p/2pPpB2/2P2P1P/PPBN1KP1/R6R w - -,f3e4
r1b2rk1/1ppnqpbp/3p1np1/p2Pp3/2P1P3/1PN1B2P/P2N1PP1/R2QKB1R b KQ -,d7c5
r2r2k1/pp2bppp/4pn2/3q4/P1NB4/1P2PQ2/5PPP/R2R2K1 b - -,d5f3
6k1/6p1/2K4p/7P/3r4/5R2/8/8 b - -,d4d1
2rq4/4b1kp/p1b1P3/1p3p2/8/4QnP1/PP3P1P/RB1R2K1 w - -,e3f3
r2b3k/p2n1p1p/B1pB2pQ/3p1N2/3Pn3/1P2P3/P5PP/5K2 b - -,g6f5
r1b2kr1/pp2n1b1/3qp3/3p2BQ/5Pp1/1N1B4/PP5P/R3R2K b - -,c8d7
2b1rq1k/p5pp/n4r2/2pp4/Q6N/1P2P1PP/P1R2PB1/3R2K1 b - -,g7g5
r2n1bk1/r4p2/P5pp/1B1p4/3p4/3RPP1P/5P2/R1N3K1 b - -,a8b8
r7/1p1Pk2p/6p1/5p2/BP6/1nr1P1P1/7P/1R1R2K1 b - -,b3c1
8/8/6k1/3Pppp1/4P2p/2r2P1P/3R2P1/3K4 w - f6,d2c2
8/4p3/5k2/3P2pK/6B1/5N1P/4r3/8 w - -,h5h6
r1b1kb1r/pp1p1ppp/2n1pn2/q7/2P1P3/P1N1BP2/1P4PP/R2QKBNR b KQkq -,f8e7
8/3B1R2/4p1pk/7p/P3P2n/5P2/r7/6K1 w - -,d7e6
r1bqn1k1/pp3rbp/3pnpp1/4p3/1PP1P1P1/P1N1BN1P/2Q2P2/3RKBR1 b - -,e6g5
8/4kp2/4pp1p/p1b5/8/6P1/PPN2P1P/5K2 w - -,f1e2
r1bqr1k1/pp3pbp/2pP1np1/8/4P3/2NQ4/PP2BPPP/R1B1K2R b KQ -,b7b5
1rb1kb1r/p4ppp/1pp1pn2/1N6/4PP2/4B3/PPP3PP/R3KB1R w KQk -,b5c3
1r4k1/2p3p1/2npp2p/2b4P/3pPP2/R2P1NB1/1RP3P1/6K1 b - -,b8b2
r2qr1k1/ppp2pp1/2npbn1p/4p3/2P5/P1BP1NPP/1P2PPB1/R2Q1RK1 b - -,e5e4
6k1/3r2b1/3n2pp/p2Ppp2/R1pqP1P1/5P1P/2Q1B1K1/1R6 w - -,b1d1
2k1n1rr/2q2p2/2n1p3/pp1pP2P/b1pP1BP1/2P5/2PQB2N/5RRK w - a6,f1a1
r3k1nr/ppp2ppp/2n5/4P3/1bP3B1/4B3/PP1N1PqP/R2QK1NR b KQkq -,g2h1
8/5p1p/6pk/4P3/8/4q2P/4r1P1/2Q3RK w - -,c1f1
8/5p1p/p1kbp3/1p1n4/3Pp3/3K1PP1/NN5P/8 w - -,f3e4
8/4B1k1/4ppb1/8/8/3p2P1/PP2r2P/5RK1 b - -,g6e4
8/5ppk/B1q4p/8/1R2p3/4P1PP/5P2/6K1 b - -,c6a6
r6r/npk5/p3p1p1/2Pn1p2/R2P2PP/5P2/1P1BBK2/7R b - -,f5g4
6k1/1b1p1ppp/8/1NP5/5P2/P3P3/r5PP/6RK b - -,b7c6
6k1/r5p1/n2RP3/7p/p1R5/4N1P1/r4PKP/8 w - -,d6a6
r1b1r1k1/1p3pb1/3p2p1/qPp5/2P1N1np/1Q6/P1N1PPB1/2BR1RK1 b - -,a5a2
r3k1r1/1b1nqpb1/p2pp2p/1pp3p1/3PP1P1/2PB1NN1/PP2QPP1/2KR3R b q -,e8c8
r6k/6bp/p3r3/1p3pp1/PP1Pp3/4P1P1/3N1PBP/R5K1 b - -,e6b6
r5k1/1p3p2/2p2np1/p3p3/2P1P2P/bP2PKNB/P7/3R4 w - a6,g3h1
8/pppk2pp/2p2p2/8/3P1Br1/1PK5/P6P/5R2 b - -,h7h5
N4rk1/1p1qp1np/1Bnp2p1/p4p2/P4P2/1b6/1PP3PP/R2Q1RK1 b - -,b3c4
8/4p2p/3p2p1/1Pr1k3/1r2P3/2N1K1P1/1P3R1P/8 w - -,e3d3
6k1/8/4r2p/p6P/8/3N1Pp1/PP1K2P1/8 b - -,e6c6
r5k1/pbq2pp1/1p2pn1p/3r2PP/3N1P2/2PB3R/PP2Q3/1K1R4 b - -,h6g5
8/r5pp/Prn1pk2/3p4/3Pn3/R2BP1P1/5P1P/2R3K1 w - -,f2f3
6k1/7p/1PR3p1/5p2/2P2P2/1r3r2/5R2/5K2 b - -,f3h3
r2qk2r/pp3pbp/3p1np1/2p1N3/4P3/2P5/PP3PPP/RNBQR1K1 b kq -,d6e5
rn1qk2r/ppp1bppp/4pn2/3p4/6b1/1P3NP1/P1PPPPBP/RNBQ1RK1 w kq -,c1b2
4b3/1p3R1p/pB3p1k/P3pPb1/4P3/5BKP/r7/8 w - -,b6c5
r1bqk2r/ppp2ppp/2n1p3/3BP3/3P4/2b1B3/PP3PPP/R2QK1NR w KQkq -,b2c3
r2q1rk1/1bpn1ppp/1p2pb2/4N3/p4P2/PP6/1BPPQ1PP/2KR1B1R w - -,b3b4
8/8/p2k3p/3p1pp1/PP1P4/2K1P2P/5P2/8 w - f6,b4b5
r7/4kp1p/B1Rp1p1b/4pP2/p3P3/3Q2P1/PP5P/1KN1q3 b - -,e7f8
8/8/8/5b2/2K1k3/8/8/3R4 b - -,f5e6
8/8/5k2/4pPp1/3r4/6KP/5R2/8 b - -,e5e4
1kr5/6p1/p3p3/np1b4/3N1P2/1P4P1/P6P/4R1K1 b - -,a5c6
r1bqr1k1/pppn2np/3p2p1/3Pppb1/1PP1P3/2NN1PP1/P3BB1P/R2Q1RK1 b - -,h7h5
1k1r1q2/1b3p1r/p1p1pP2/Ppp1N2p/2P1R1p1/1P1PQ3/5PPP/3R2K1 w - -,b3b4
2r4r/1p1nkp2/p1b1p1p1/3pP2p/3N1P2/1PP1R1P1/PKB4P/3R4 w - -,c2d3:e3e2
8/1k6/1P4p1/P2pBp2/5P1p/6b1/4K3/8 b - -,g6g5
r1bq1rk1/1pp2ppp/p1np4/4p3/4Pn2/1BPPNNP1/PP3P1P/R2Q1RK1 b - -,f4h3
3b4/1k6/pn2B2p/B1p1p1pP/P3Pp2/1P3P2/6P1/6K1 b - -,d8e7
3qr1k1/4rpbp/1pp2np1/p2p1p2/3P4/2PNPPQ1/PPR3PP/3NR1K1 w - -,c2e2
8/8/5p1p/pBkbP3/P5P1/2K5/7P/8 b - -,f6e5
r2qkb1r/1p1n4/p1p1ppbp/1PPp1np1/P2P4/2NBPNB1/5PPP/R1Q2RK1 b kq -,h6h5
2r3k1/1p1q1p2/6p1/7p/4Q2P/1P4P1/P4P2/4R1K1 w - -,e4f3
2r5/p2r1nk1/1ppq1b2/3R1pp1/2Q5/1P2B1P1/P3PPB1/3R2K1 b - -,c6d5
5k2/1p3pp1/7p/1Nb5/p1P4P/P1R1rPP1/8/5K2 b - -,e3e6
6k1/2pq3p/1p1p1bp1/pP1P1p2/2P2P2/1P1Q1KPP/8/4B3 b - -,d7e7
1r1n2k1/r4p2/P5pp/1Bbp4/8/1R2PP1P/8/R1N3K1 w - -,g1f2
2r3k1/ppr4p/2n1p1pb/3p4/3P1PPP/PP6/4N3/2RRBK2 b - -,h6f8
8/1N3kpp/n4p2/2p5/Pp6/1PnNPP2/5KPP/8 b - -,f7e6
2r4k/pp5p/5rP1/2n5/1P6/3P4/1P5P/1KBR2R1 b - -,c5b3
8/4k1p1/2n5/8/2K2P1p/4PN1P/8/8 w - -,f3h4
r1b1k1nr/pp2bppp/2n5/qBpp4/8/N1P2N2/PP1P1PPP/R1BQ1RK1 w kq -,f1e1
2r3k1/pb4pp/2n1p2r/Q1p2pq1/2P2N2/4PP2/P2RB1PP/3R2K1 w - -,a5c5
r1r2k2/4ppbp/p2pbnp1/1p1N4/2P1P3/1P1B3P/P2B1PP1/2R1R1K1 b - -,b5c4
6k1/7p/2p3p1/1p3pP1/1q1PpP1P/4P3/n1r1B3/R2QK3 w - -,e1f1
r4rk1/pp1qb2p/2p1nnp1/3p1p2/3P4/P1NBPP1P/1PQ2BP1/3R1RK1 w - -,c2b3
r1bqkbnr/p4ppp/2pp4/2p5/4Pp2/2NP4/PPP3PP/R1BQK1NR w KQkq -,c1f4
2r1k2r/pp2ppbp/q5p1/3P1b2/4N3/1Q4BP/PP1N1PP1/R1n3KR w k -,b3e3
2r4k/pp4p1/1b5p/3B4/1PP5/3n4/P3K2P/R1B5 b - -,d3b4
r1r3k1/1b3p1p/1qn1p1p1/2RpPP2/1p1P2P1/3Q1N2/1P5P/2R2B1K b - -,b7a6
8/2r1k2p/2n1npp1/p2Rp2P/1p2K1P1/1P2N3/2P5/R7 b - -,c6d4
r4b1r/pkp2pp1/1pp1b2p/4P3/3RNB1P/8/PPP2PP1/3R2K1 b - -,f8e7
5R2/6p1/KP5p/6k1/5p2/8/8/1r6 b - -,g5g4
rnbq1rk1/pp3pbp/5np1/3p4/8/1P1Q2P1/PBN1PPBP/RN3RK1 b - -,c8f5
2r3k1/2q2ppp/8/1pr1p3/2n1QP2/3R2P1/PpP1R2P/1K2N3 w - -,f4f5
r3k2r/pp1n2pp/2p3Q1/4b1BN/3p4/2P5/PP3PPP/R3K2R b KQkq -,h7g6
r4rk1/5ppp/p1n5/2R5/2p2PP1/2P1B3/1P3Q1P/1q1K3R w - -,e3c1
r1b2rk1/pp3p2/3p3p/2pP1Bq1/2Pb4/2NQn1N1/PP3RPP/R5K1 w - -,c3e4
2r5/1p2r2k/p2R3p/8/4n1nP/1P3PR1/1PB5/2B3K1 w - -,g3g4
r1bqnr1k/ppp4p/3p4/3Ppp2/1PP2n2/2N1NB2/P4PPP/2RQ1R1K w - -,g2g3
r2q1rk1/1ppnppbp/p2p2p1/n7/2PPP3/4B1P1/PP1NbPBP/R2Q1RK1 w - -,d1e2
5n2/5bk1/pR6/2p5/2P2P2/6P1/1P3R1K/8 w - -,b6a6
n7/4k3/3N1ppp/4p3/4P1PP/8/5K2/8 w - -,d6c4
r2qk2r/pb2bppp/1pn1pn2/3p4/3P1B2/2N2NP1/PP2PPBP/R2Q1RK1 w kq -,a1c1
r4rk1/2qbppbp/p1np1np1/1p3P2/3NP3/2N1B3/PPPQB1PP/3R1RK1 w - b6,f5g6
3r4/3r1p2/1p1n1kp1/p1pP3p/7P/P1R2BP1/1P3PK1/4R3 b - -,d7e7
5rk1/4qppp/pp2P3/3P4/P2PQ3/1r6/6PP/4RRK1 b - -,f7f6
1r6/1r1npk1p/3pp1p1/p7/N3P3/1PP2P2/2K3PP/1R3R2 b - -,d7e5
r2r2k1/5ppp/p3p3/4Nn2/1Pp5/3b2BP/R4PP1/2R3K1 b - -,f7f6
8/8/5p2/1p1p1k2/2r2p2/PR6/1K5P/8 b - -,c4c5
2r2b2/1b3p1k/pp1pr1q1/4pNpp/1PP1P3/B7/P2RB1PP/3RQ2K b - -,b7e4
rnbqkb1r/ppp2ppp/5n2/3pp3/8/2P3P1/PP1PPPBP/RNBQK1NR w KQkq d6,d2d4
2rk4/1p3p2/p2pb3/3Nb1p1/4Pp2/8/PPP1B1P1/2K4R w - -,h1h5
rnbqk1nr/ppp1bp2/7p/1B1P2N1/5ppP/2N5/PPPP2P1/R1BQK2R b KQkq -,c7c6
7r/1prnkp2/p1b1p1p1/3pP2p/3N1P2/1PP3P1/PKB1R2P/4R3 b - -,c7c8
r2q1rk1/pp2ppbp/2npbnp1/8/3NP1P1/2N1BP2/PPPQB2P/R3K2R b KQ -,c6d4
8/3RP1pp/4r3/8/2pK4/8/1k4PP/8 b - -,c4c3
2kr1b1r/1pp1pppp/p4n2/2qP4/1n3Bb1/2N2NP1/PPP2PBP/R2Q1RK1 w - -,f4e3
4r3/8/p1p2p2/2k3p1/P1Rnq1Q1/1P6/2P5/3R1K2 b - -,c5b6
rnbq1rk1/pp2bppp/2p2n2/8/2BP4/2N2N1P/PP3PP1/R1BQK2R b KQ -,b8d7
r2q1rk1/1p1bppbp/p1p2np1/2Pp4/3P4/2NBP3/PPQB1PPP/R4RK1 b - -,f6g4
8/5pk1/6p1/Pp6/1Ppq2Q1/6PP/8/5K2 b - -,d4d3
r1b1k2r/2q1bppp/ppnppn2/8/2P1PP2/1NNB4/PP1BQ1PP/R4RK1 b kq -,f6d7
r2qr1k1/1b2bp2/p2p1np1/1pnPp1Bp/P1p1P3/R1P2NNP/1PBQ1PP1/4R1K1 b - -,f6d7
8/5Qpk/7p/ppr2p2/7P/P1P1qP2/6P1/5R1K b - -,e3c3
r3r1k1/7p/p1q1n1p1/1pp1Pp2/P1b4N/4B2P/1P3QP1/2R1R1K1 w - -,b2b3
1r3rk1/3b1p1p/pp4p1/3Bp1b1/PPN1P1P1/2P2P2/7P/R4R1K b - -,g5f4
2kr1n1r/p4p2/2p1b1p1/q3P2p/2p4P/b4NQ1/1PPB2P1/1NKR3R b - -,a3b4
r1b2rk1/1pq1bppp/p1nppn2/8/3NPP2/1BN5/PPP3PP/R1BQ1R1K w - -,f4f5
2r5/pb3p2/1p4pp/3pk3/8/P5KP/BP1R1PP1/8 w - -,h3h4
r2q1rk1/pp1bppbp/3p1np1/1B6/2PnP3/2N1BP2/PP4PP/R2Q1RK1 w - -,e3d4
1r3rk1/R3pp1p/5bp1/3B4/8/1P4P1/1Pb1PP1P/2B2RK1 b - -,c2b3
r1bqk2r/pppp2pp/2n5/b3P1N1/4P1n1/2P5/P4PPP/RNBQK2R w KQ -,d1g4
r1bqk1nr/pp2ppbp/2np2p1/2p5/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 b kq -,e7e5:a7a6:c8g4:c8f5:c8e6:g8f6:e7e6:c8d7:a8b8:d8d7:h7h5:g8h6
1r4k1/5pbp/p2P2p1/3n4/2B2P2/p6P/5BP1/5RK1 b - -,d5c3
3r2k1/p4pbp/2b3p1/8/np6/5N2/PP2BPPP/1RB3K1 w - -,c1e3
8/2n1bkpp/ppn1pp2/3p4/1P1PP3/P2KNPP1/3N3P/2B5 b - -,e7d6
rnb3k1/pp4bp/4p1p1/3pP1Q1/8/1N3q2/P1P2P1P/R3KB1R b KQ -,b8c6
8/8/1kp5/5p1R/3Kb1PP/4P3/5r2/8 b - -,f2d2
2B5/4k3/4P3/3pPnB1/1b1P4/7P/4K3/8 b - -,e7f8
r2qkb1r/5p1p/p1np4/1p1Npb2/8/N7/PPP2PPP/R2QKB1R w KQkq -,c2c3
rn1qkb1r/pp5p/2p1bpp1/3p1p2/3P3P/2NBPQ2/PPP2PP1/R3K1NR b KQkq -,h7h5
8/1b1nkp1p/p3p1p1/1p1pP3/3N1P2/PPrR2P1/2P2K1P/5B2 b - -,c3c7
r1rq2k1/pp1np1bp/2npb3/1N3p2/NPP2P2/P3B3/4B1PP/1R1Q1RK1 w - -,b1c1
4r1k1/4qpp1/2n3r1/p6R/4P1B1/PP4Q1/1B3P2/4R1K1 w - -,g3h3
4r1k1/1ppq1pb1/p5pp/8/3P1Q2/1PP4P/1P4P1/2B2RK1 w - -,b3b4
1r4k1/p2rqpb1/2ppbnp1/nP2p2p/2P1P3/5PP1/P2QN1BP/1NRR3K w - -,d2a5
r4b1k/5ppp/3p4/1p1P4/8/P1P2n2/2B1R2P/1K3R2 b - -,f3e5
1r6/3k1bp1/3P4/p3K1P1/P7/1p6/3R3P/1R6 b - -,b8b4
r4rk1/1b3pbp/pp2p1p1/2qn4/P6Q/1BP2N1P/1P1B1PP1/R3R1K1 b - -,f8e8
r1bq1rk1/ppn2ppp/2np1b2/2p5/2NPP3/1P3N2/PB2BPPP/R2Q1RK1 b - -,d6d5
7r/7P/8/6k1/8/5P1R/5K2/8 b - -,g5g6
1r1k4/3Rpp1p/2Ppn1p1/4b3/B3P1PP/1P2BP2/5K2/8 b - -,d8c8
6R1/8/4p3/2p1k3/4p1pp/1r6/4KP1P/5N2 b - -,b3b2
3qk2r/1p1bbppp/p2ppn2/8/P2NPP2/2P5/2P3PP/R1BQ1R1K b k -,f6e4
3b2k1/5pp1/p6p/8/1Pp1qP2/P7/2N1r1QP/5R1K w - -,f1f2
2rqrnk1/5p1p/p4bpB/np6/4B3/1P3N2/P4PPP/R2QR1K1 w - -,d1d8
8/8/8/6p1/4P3/3k1K1P/4R3/r7 b - -,a1f1
8/5pk1/4p1pp/4Pb2/5P1K/5NP1/5b2/3B4 w - -,d1e2
2r5/2rb4/4pkp1/p2pR2p/Pp1N1P1P/1P4P1/2PK1R2/8 b - -,c7c3
r4bk1/2p2n1p/4p1p1/1p2Pp2/3N1P2/1P1r4/5BPP/R4RK1 b - -,a8a1
7r/2k2p2/1b2p3/1P1p2p1/6P1/3BP3/1P2KP2/R7 w - -,a1c1
r1bqk2r/pp3ppp/2nbpn2/3p4/3P4/1QNBPN2/PP3PPP/R1B2RK1 w kq -,e3e4
2r3k1/5p1p/6p1/1p1P1p2/q7/bQn1PN2/1R3PPP/rB2RK2 w - -,b3a4
3r2k1/p3pp1p/1pb3p1/2q5/2p1PP2/P1N2B1P/1PPr2P1/2R2R1K b - -,d2f2
8/2r2kpp/R4p2/1pp2b2/4q3/1P3N2/P1PQ2PP/2K5 w - -,a6d6
r1bqk2r/1pp2pp1/2np1n2/1p2p2p/1P2P3/P5PP/2PPNPB1/R1BQ1RK1 w kq -,c1b2
