8/5p2/4nkpp/p2RN3/P5PP/2r2PK1/8/8 b - -,g6g5
8/8/1p2B3/2pPp3/P3P2k/2P1N2p/5rp1/7K w - -,h1h2
r2r1k2/pp1n1ppp/2bNpn2/8/1P2P3/2N3P1/P4PBP/R2R2K1 b - b3,a7a6
rn2k2r/1p3n2/pP3b2/1BBPp1qp/4Pp2/Q4P2/PP4P1/1K1R3R b - -,b8d7
8/1Nn1qpkp/b5p1/P2p4/3N1P2/5QPP/6BK/4b3 w - -,d4c6
r4rk1/6pp/2q1p3/2p1Pp2/2Pp1PP1/1PbN4/4QR1P/1R4K1 b - -,g7g6
r4rk1/ppqbp1bp/5pp1/n1p1P3/1nP1NP2/5N1P/PP2Q1P1/RBB2RK1 b - -,b7b6
5r2/5kp1/p3pb1p/1p1p4/8/2r1P1PB/PR3P1P/3R2K1 w - -,b2d2
r1b5/p3bN2/n1p3pk/5p2/1P1Bp2N/1B1n4/P5PP/5RK1 b - -,h6h7
r1q1kb1r/ppp2ppp/1nn1p3/2NbP3/3P4/P2B1P2/1P2N1PP/R1BQK2R w KQkq -,d1c2
3r2k1/p3bpp1/1p2b2p/q2p4/8/P1BQP1P1/1P3PBP/3R2K1 b - -,a5a4
3r1k2/1p3p2/6p1/p3q2p/P1PpP3/1P1Q3P/6P1/5RK1 w - -,f1d1
r1bq1rk1/1ppp1ppp/2n2n2/p1b1p3/2P5/PQNBP1N1/1P1P1PPP/R1B1K2R b KQ -,d7d6
r1b1qrk1/1p4bp/p2p1np1/2pP4/P3P2R/R1N2n2/1P2BPP1/2BQK3 w - -,g2f3
1r1k4/6b1/3P2pp/pPR5/4PpPP/1p3P2/3R2K1/8 w - -,e4e5
1r1q1rk1/5pbp/4b1p1/8/pP1p4/6P1/1B1Q1PBP/RR4K1 w - -,a1a4
r1bq1rk1/3nbppp/1pp1pn2/p2p4/2PPP3/5NP1/PPQN1PBP/R1BR2K1 b - e3,c8a6
2kr1r2/ppp4p/4p1p1/2p4n/2N1P2P/4PP2/PPP1K3/6RR w - -,g1g5
r1b1k2r/bp3ppp/p1n1p3/8/N3n3/1B2PN2/PP1B1PPP/R2R2K1 w kq -,d2e1
1k1r1b2/qp1n1p2/p2pbp2/P2Np3/1PB1P3/2P1N2r/4QP1P/R3K2R b KQ -,f8h6
r1bq1rk1/ppn1p1b1/2pp1npp/5p2/2PP4/1PNBPN2/PBQ2PPP/R4RK1 b - -,f6h5
r3k2r/pp1qbpp1/2npbn1p/2p5/4PB2/2NP3P/PPP1B1PN/R2Q1RK1 w kq -,d1d2
4k3/1R2P3/8/8/8/1p2r1pK/8/8 w - -,h3g2
3q1r2/pp1bppk1/3p1np1/7p/2rNP2P/2N2P2/PPPQ2P1/2KR3R w - -,d2g5:g2g4
1r6/1B2rpk1/1BP3pp/4b3/3p4/1P5P/P4PP1/3R1K2 b - -,f7f6
1r3rk1/p2bn1bp/2np4/q1p2p2/4Pp1N/2PPB2P/P2Q2B1/2RN1RK1 w - -,e3f4
r4rk1/p3npbp/6p1/2p1p3/5PP1/N1Pq1Q1P/PP6/R1B2RK1 b - -,f8d8
r1br2k1/pp3ppp/2n5/4p3/8/P1R3P1/1P2PP1P/2K2BNR b - -,c8e6
rnbqk1nr/p1pp1pbp/1p2p1p1/8/3PP2P/2N5/PPP2PP1/R1BQKBNR w KQkq -,h4h5
8/8/2R5/1K6/3q4/1k6/8/8 b - -,d4d7
5r2/1p6/p7/6k1/8/P2pn1K1/1P1R2PP/1B6 w - -,h2h4
rn1qkb1r/pp3ppp/2pp1n2/4p3/2PPP1b1/2N2N2/PP3PPP/R1BQKB1R w KQkq -,f1e2:d4e5
3r2r1/2q2pbk/p1bpnnpp/P1p1p3/1pP1P1P1/1P1P1NNP/3B1PB1/R1Q1R1K1 b - -,g8h8
3r3k/6b1/6pp/1p1Bp3/1n4P1/3P3P/1B3P2/4NK2 w - -,d5e4
8/5k1p/8/6Pp/r4N1P/5KB1/8/8 b - -,h7h6
8/8/p1p1k3/1pP2Nb1/1P2pnP1/P1B4P/4K3/8 w - -,e2e1
6k1/1p2rpb1/2p3pp/8/8/pP2PRP1/P2r3P/2R2BK1 w - -,f3f2
2r4k/1p1r2pp/1p3p2/3Pp3/pbP1P1PP/1P1K4/4N3/3RR3 w - -,e1f1
6k1/1p4pp/prrp4/3Rp3/P1P1P3/1P1R3P/6P1/6K1 w - -,g1f2
5r2/1b1k2pp/p3p3/1pRpPp2/nP3P2/P2BK3/6PP/5R2 w - -,c5c2
3rk2r/1pb1qp2/2p2nbp/p3p1p1/P3PnP1/2P1NNBP/1PB2P2/R3RQK1 b k -,h6h5
r1bqkb1r/pp3ppp/2n2n2/2pp4/2PP4/2N2N2/PP2BPPP/R1BQK2R b KQkq -,c8e6
1r4k1/R4p2/6p1/7p/7P/6P1/5PK1/8 w - -,g2g1
r1b2rk1/5ppp/pp2pn2/8/3N1q2/1BP4P/PP3PP1/R2QR1K1 w - -,e1e3
1r3rk1/p1qb2bp/2pp1npn/4ppN1/Q1P5/2NP2PP/P2BPPB1/1R3RK1 w - -,d2e3
5r2/1p1kb1p1/B1b1p2p/4q2P/1P1p2P1/P6R/2Q5/2B2NK1 w - -,a6e2
5bk1/1Q3n2/3q4/1P4pp/8/4BNP1/5PK1/8 b - -,h5h4
5r2/1p3kq1/2p1p2r/2PbR1p1/p2P2B1/PnBQ1PP1/6R1/6K1 b - -,f8h8
6k1/6p1/3BP1n1/3pp3/6pP/6P1/5P2/6K1 b - -,e5e4
r3kb1r/pp1bnp1p/2n1p1p1/2p5/4PP2/2P3PN/PP4BP/R1BNK2R b KQkq -,e8c8
2r3k1/2P2pp1/Q6p/8/1B3P2/7P/P1R3P1/3q3K w - -,h1h2
r1b1k2r/1p1nppb1/p2p1npp/q7/3NP1P1/2N1BQ1P/PPP2P2/2KR1B1R w kq -,f3g2
2r2r1k/2qn1p1p/p3p1p1/1p6/3N1P2/P1P3Q1/1P4PP/3R1R1K w - -,f1e1
2rq1rk1/pb1nbpp1/4pn1p/1p1pN3/3P1P2/1P1B3Q/PBPN2PP/3R1RK1 b - f3,f6e4
8/8/p5R1/1p2P3/1np3N1/1PrP1K2/7k/8 b - -,h2g1
r2qr1k1/pbpnnppp/1p1p4/8/3P4/2P2N1P/PPBN1PP1/R2Q1RK1 w - -,c2a4
8/2p2pp1/p2r1n1p/2kPp3/1pP5/1PK2P1P/1P2B1P1/R7 w - -,c3c2
r2q1rk1/ppp2pbp/5np1/3Pp3/1nP1P1b1/2N1BN2/PP4PP/RB1QK2R b KQ -,b7b6
2r1k2r/p2bnp2/1p2p2p/3pP2P/3P4/P1PB1N2/1n1BKP2/6RR w k -,d3a6
3r2k1/p4p1p/Bpr1p1p1/3pPn2/P2P1P2/1Rb1B2P/2P2P2/1R3K2 w - -,b1d1
4r3/2pb2pp/2kb1p2/ppp4N/4P3/P4PB1/1PP3PP/2K1R3 b - -,e8e7
2r5/2r1pk1p/p4pp1/R3p3/4P2P/1P3P2/P3RKP1/8 b - -,c7c6
4rbk1/p2q1r1p/1p2p1p1/1P2pp2/2PnP3/2NPBP2/4Q1PP/1R1R2K1 w - -,e2f2
r2q1r1k/3nbpp1/2p1pn1p/1pPp4/pP1PP1P1/P2N1P2/1B2Q1BP/2R2RK1 b - -,d8c7
8/4k3/4p2P/4P2r/p3K1p1/P2R2P1/8/8 b - -,h5h6
r3b1k1/1R1q3r/3P1n1b/2B2p2/p4p2/3P2P1/3Q2B1/2R2K2 b - -,f4f3
4kb1r/r4p1p/p1bppp2/1pq5/4PP2/2NB4/PPP3PP/1K1RQ2R w k -,e1h4
r3k2r/3pbpp1/pq6/2p1nP2/1pN3n1/3P2P1/PPP2BN1/R2Q1RK1 b kq -,b6h6
2rq1rk1/1b3ppp/2n1pb2/1pp5/3pP3/3P1NN1/BPP2PPP/R1Q1R1K1 w - -,e4e5
5r2/1b1k2pp/n5q1/p1pP2B1/P1p1pP2/1pNn2P1/1P4QP/R3R1K1 b - -,d3e1
r6r/2p3k1/1p1p2p1/1PNPp1P1/p1P1PpbP/R7/3N1K2/R7 b - -,d6c5
1r4k1/3n1pqn/4p1p1/r2p2P1/1bp2P2/2N1B3/1P2RQKP/1BR5 w - -,h2h4
r3k1nr/1pqbppbp/2pp2p1/p7/PnPPPP2/2N1BN1P/1P1QB1P1/R3K2R b KQkq -,e7e6
3r1r2/p5kp/3NR1p1/2P3q1/8/5p1B/P4Q2/5K2 b - -,g5d5
8/p4nk1/q1r2p2/2p2Pp1/P2p4/3P1nP1/2QB2KP/4RB2 b - -,f3e1
4k2r/pp1b1ppp/8/3P4/1b1B1P2/3P4/qP3KPP/2Q2B1R b k -,e8g8
qr4k1/1brn1pb1/pp1ppnp1/7p/1PPP4/PQ2N3/1B1N1PPP/3RRBK1 w - -,d2b1
r5k1/5ppp/p1R1p3/1p6/1P6/4P1P1/1n1N1P1P/6K1 w - -,c6d6
4k3/p2n2pp/n1p5/1qPppp2/8/1P2BBP1/P1R1PP1P/3R2K1 w - -,f3g2
8/5k2/4p3/3r1p1p/P1p4q/2Q4P/1P3RP1/6K1 w - -,a4a5
3r4/1pq3k1/pN1p2p1/Pn2prbp/1PN1Q3/2PR1PPP/6K1/3R4 w - -,b6d5
r4k2/5p1p/3Pb3/8/B2R1pP1/7P/5K2/8 b - -,a8d8
1k1r1bnr/p1pq1ppp/1p2p3/3pP3/2PQ4/4B1P1/PP2PPKP/RN3R2 w - -,c4d5
5rk1/p1q2pp1/2p2n1p/n7/1P6/2Pr3P/P2N1PPb/R1BQ1R1K w - -,d1c2
1r3r1k/2Nn1pbp/2pP2p1/p1p1p3/P1P5/4B2P/1P3PP1/3RR1K1 w - -,c7a6
8/5p1p/2k1p1p1/2b5/b3PP2/2BB4/p5PP/5K2 w - -,f1e1
r2q1rk1/pb2bppp/2p1p3/1p1NP3/8/1Q4P1/PP2PPBP/R1B2RK1 b - -,e6d5
r1b3k1/pp4pp/2p1p1r1/2bpPp2/2P1nq2/1P1BPP1P/PB1QK1P1/2R3R1 b - -,e4g3
rnbqk2r/pp3pbp/2p1p1p1/3pPn2/2PP1B2/2N2N1P/PP3PP1/R2QKB1R b KQkq -,h7h6
8/8/8/3N1k1P/4pp1K/8/8/8 w - -,d5e7
r1b3k1/1p2pp1p/p5p1/3r4/n1qBP3/2P2P2/P1Q3PP/K2R2NR b - -,d5b5
2rqnrk1/1b2bppp/p2pp3/3N4/2P2B2/N7/PP2QPPP/R3R1K1 b - -,e7h4
2kr4/p1q2p1p/bp2pN2/2p1P3/P1pn4/6P1/1PPP2P1/2BQR1K1 b - -,a6b7
r3k2r/1b1pbpp1/pq2pn2/2p1nP2/1p2PN2/3P2P1/PPPN1BB1/R2Q1RK1 b kq -,e6f5
1rN1rnk1/1pqn1pbp/p1p3p1/2P1p3/4P3/5NPP/PPQ2PB1/R1BR2K1 b - -,b8c8
2r1k2r/1p2bp2/pq1pbn1p/4p2P/4P3/2NQ1PB1/PPPN4/2KR3R b k -,h8g8
r3kb1r/p4qpp/4b3/3pQ3/8/1P6/PBK2PPP/4RB1R b kq -,a8c8
r3k2r/p2qn3/1pnpb1p1/2p1bp1p/4PB1P/2NP2P1/PPPQ1NB1/R4RK1 b kq -,e8c8
r2qkb1r/pp3ppp/2n1b3/4p3/1P6/N1P1nP2/P2BQ1PP/R3KBNR b KQkq -,e3f1
4r1k1/pp3ppp/2p5/3rN1q1/1P1P3n/4P2P/P4PP1/2RQ1RK1 w - -,d1g4
3k3r/1p3p2/r2Ppn1p/p1p5/2Pb1Pp1/1P6/P3B1PP/1RBR3K w - -,c1b2
r5k1/pb1q2bp/4p1p1/1pBp4/3P4/1Q2P2P/PP2B1P1/5RK1 b - -,a7a6
r4rk1/np1n1p1p/2b1p1p1/p2pP3/Pq1P1P2/QPNB1N2/6PP/R1R4K b - -,b4a3
r4r1k/ppq2p1p/1npb2p1/3P1b2/8/1BNQ1N2/PP3PPP/R3R1K1 w - -,d3d4
4r1k1/pp3p1p/2n3p1/3p1p2/P7/1PPB1P2/R4KPP/2r2N2 w - -,c3c4
2kr4/pp3q2/2bbR3/2pp4/3P2r1/1QP2N2/PP1N1KP1/R7 w - -,e6e2
rnbqk2r/ppp1bppp/5n2/4N3/2Bp4/2P5/PP3PPP/RNBQK2R b KQkq -,e8g8
r2r1nk1/pp4p1/2nbpqbp/3p4/3P1P2/P1N1B3/1PBQ2PP/R3NRK1 b - f3,a8c8
2k5/1r3pp1/Rq2p1p1/1p1p4/1PpP1P2/2P3PP/1K3P2/Q7 b - -,b6c7
r1bq1rk1/ppp1bppp/4pn2/6B1/3P4/3B1N2/PPP2PPP/R2Q1RK1 b - -,b7b6:c7c5
r1b1k2r/ppppqppp/2n5/4P3/2P2Bn1/2b1PN2/PP3PPP/R2QKB1R w KQkq -,b2c3
r4r2/pb3pkp/2p2qp1/8/3Q1N2/8/PPP2PPP/2KRR3 w - -,e1e7
2r2r2/4bq1k/2bp1p2/p3p1pP/Pp2P3/1P1QBPN1/1P6/1K4RR b - -,c6d7
r1bqk1nr/1p2bppp/p2p2n1/2pPp3/P3P3/5N2/1PP1BPPP/RNBQ1RK1 w kq -,g2g3
3r1rk1/5p1p/1p1Np2b/p2n2N1/Pn5P/6B1/1P3PP1/3RR1K1 w - -,e1e2
rn2kb1r/pp2pppp/2p2n2/q4b2/2BP4/2N2N2/PPPB1PPP/R2QK2R b KQkq -,a5c7:e7e6
r2q1rk1/1p3pp1/1bp1bnnp/pP2p3/P1P1P3/1B3N1P/2Q2PP1/RNB1K2R b KQ -,f6d7
r1bq1rk1/1pnnbppp/p2p4/2pPp3/2P1P1P1/2NB1N1P/PPQ2P2/R1B1K2R w KQ -,a2a4
4r1k1/pp2rp1p/2n2qpQ/8/8/6PP/P2R1PB1/5RK1 w - -,g1h2
5k2/8/1p4Q1/p1p4P/P1P2K2/3P4/8/1q6 b - -,b1c1
4r3/7p/5p2/8/1P2P1P1/5K2/2k1P3/1R6 w - -,b1h1
1br2rk1/4q1pp/Qp6/2ppPp2/P3nP2/1PN1P3/1BR3PP/2R3K1 b - -,e7e6
8/p7/3p3k/2p1q3/2PbB1QP/1P4PK/P7/8 b - -,e5f6
8/1b2np1p/pp1r4/2r2P1k/P7/R2BBP2/5K1P/5R2 b - -,c5f5
1r1r2k1/p3ppbp/2p3p1/4P3/N3q3/1PBn3P/P3RPP1/R5K1 w - -,e2e4
5k1r/6R1/2r2p1n/2p1pP1p/2B1b2P/2P5/5B2/2K3R1 w - -,g7d7
3k4/1pp3r1/p2p1p1p/1b1PpP2/4P1PP/5B2/PP3KR1/8 b - -,c7c6
r2qk2r/pp1n1ppp/2pb1nb1/5p2/2BP4/6N1/PPP1N1PP/R1BQ1RK1 w kq -,g3f5
rnr3k1/pb2qppp/4pn2/1pp3B1/2PP4/P2B4/1PQ1NPPP/2KRR3 b - -,h7h6
5bk1/5pp1/4p1p1/1P1p4/q1nP3P/1R3PP1/3rN3/1Q2BK2 b - -,d2d1
8/8/N5p1/P3k3/8/8/5K2/8 b - -,e5d6
2r2r1k/1p3qpp/p2p4/P2Bp3/3nPP2/1P2Q3/3R2PP/R5K1 b - -,f7h5
3q1rk1/p4pp1/7p/3N1Q2/3b4/8/P4RPP/R5K1 b - -,d4a1
r1bqkb1r/p5p1/2p5/n3p2p/4p1n1/7P/PPPPBPP1/RNBQK2R w KQkq -,h3g4
r3k2r/1ppq2pp/p2pBn2/4p3/P3P3/R3Q3/1PP2PPP/1N3RK1 b kq -,d7e6
1r6/3b1pk1/3p1ppp/3Pq3/6P1/5B1P/P1Q1PP2/2R3K1 b - -,b8b2
r3r1k1/5pp1/2pB3p/p3Pq2/5P2/2PP1Q1P/6P1/5R1K b - -,h6h5
r3kb1r/1b2q3/p3pn1p/1p2p1p1/4P1P1/P1NBB2P/1PP5/R2QK2R b KQkq -,e7c7
5r2/r2b1qbk/1N1p2pp/1pp1pp2/p1P5/PnBPP1P1/1PQ2PBP/1R2R1K1 b - -,d7e6
1r6/3k2pp/2n1bp2/p2p4/2pP2P1/2p1PP2/2N4P/R1B3K1 w - -,e3e4
7k/p1q2p2/1p2pbpp/8/4B3/1PPQ2P1/1P3P1P/6K1 w - -,g1g2
r5k1/pp2rppp/2b5/q1Np4/3Qn3/4P1PP/PP3PB1/2R2RK1 b - -,a5a2
r5k1/pp2Bp2/6p1/2p2q2/2Pb4/1P4P1/P2Q1PKP/4R3 b - -,a8e8
8/r7/8/1p5R/1P1kp3/P7/4KP2/8 w - -,h5b5
8/6k1/5pP1/K2Q3p/7q/1P6/P7/8 b - -,h4g5
5k2/1p4pp/2p2p2/2n1pP2/PpBrPn1P/1P2NP2/2P5/R6K b - -,d4d2
4k1b1/1ppr4/p6p/4nrp1/3N4/P1R1B3/6PP/1R4K1 b - -,f5f7
