2R5/5k2/4p3/3n4/2P5/4r3/5KP1/8 b - -,e3c3
r1bq1r1k/1pp3b1/5p2/1Pn2npp/p1Pp4/P2P1NPP/1BQNRPB1/4R1K1 b - -,g5g4
r5k1/5pb1/p2R2pp/4p3/4P3/4BP2/PP4PP/6K1 b - -,g8f8
r1bq1rk1/pppn1pbp/2np2p1/4p3/2P1PP2/2NP2P1/PP2N1BP/R1BQ1RK1 b - f3,f7f5
6k1/2p3q1/1p1p1Q2/pPnPr1p1/P1P1p1P1/4P2P/2B5/5RK1 b - -,g7f6
8/4k3/p3p3/8/6N1/2K1P1b1/P7/8 w - -,c3b4
2r3n1/1pPR1p1p/1P2pk2/8/5pP1/7P/5P2/6K1 w - -,g1g2
6rk/p1p3rp/1p1qpp2/5n2/2PP1P2/2N1P2R/P3Q1PP/6RK b - -,d6c6
r1b2rk1/1pqpbppp/p1n1pn2/8/4P3/2N3PP/PPP1NPB1/R1BQ1RK1 w - -,g3g4
6k1/3nbppp/4pn2/2pp4/1p1P4/1P2PNP1/2PN1P1P/B4bK1 w - -,g1f1
4q1k1/1ppb2bp/nn1p3r/3P1p2/2PNpP2/1PN1B1P1/Q3B1RP/7K w - -,c3b5
b4rkb/7p/p2p1q2/3P1p2/1Qp1pN2/6P1/PPP3BP/1K1R4 w - -,f4e6
8/p1r2pk1/1b4p1/1P1R4/1KP1n1P1/8/4N3/8 b - -,e4f6
7r/8/1R6/8/1Ppk4/6P1/1KB4P/8 b - -,h8h2
6k1/p4p1p/1p4p1/2pp4/P4q2/1P3P1P/2P1Q1P1/7K w - -,a4a5
r3k2r/1bq1bpp1/pn1ppn1p/1p6/3NP1P1/P1N1B2P/1PP1QPB1/3R1RK1 w kq -,e3c1
rb1q1rk1/p4p2/2p1bnp1/2Ppp2p/1P6/P2BPPN1/1B4PP/R2Q1RK1 w - -,d1c2
8/5pk1/8/5pbp/R5n1/6P1/6KP/8 b - -,g7g6
8/p2r2kp/1q4p1/5p2/4b3/1N6/PK5Q/4R3 b - -,b6f6
8/R7/5P2/8/p1bK4/1k6/8/8 b - -,c4e6
6r1/4p3/2b1k3/1p3p2/5Ppp/P3N3/1P1R1KPP/8 b - -,g4g3
5rk1/1p1b1nbp/p1r2pp1/3p4/3Pp1P1/4BN1P/PPPN1P2/1K1R2R1 w - -,f3e1
1r4k1/pbRn1pp1/1p2p2p/8/3PP3/3B1N1P/P4PP1/6K1 b - -,d7f6
rn2r1k1/ppqb1pbp/3p2p1/2pP4/4P1n1/1QN5/PP1NBPPP/R1B2RK1 b - -,g4e5
2rq3k/pr2p2p/4Qbp1/2Bp1p2/1P1P4/2P2P2/P3R1PP/R5K1 w - -,a1e1
3r1nk1/p2r1pp1/1p1p3p/2q2P2/1PP1R3/P7/2Q1B1PP/4K2R b K b3,c5f5
r7/2q4k/4p2p/1pBn1pp1/1P1Q1P2/4P2P/6PK/3R4 w - g6,g2g3
r1b1k2r/1pq1bpp1/p1nppn1p/8/3NP1P1/2N1BP2/PPPQ3P/2KR1B1R w kq -,c1b1
8/6bk/3p1qpp/p1p1p3/1nP1B1QP/1PBPP1P1/8/6K1 b - h3,h6h5
6k1/p7/8/2pPqp2/2P2p1p/5BbP/6P1/1Q3K2 w - -,d5d6
r1q2rk1/2ppbppp/np2p3/p7/2PPbB2/P1Q2NPB/1P2PP1P/R2R2K1 b - -,c8b7
r4rk1/pb1qn1bp/1pp1ppp1/8/2PPQB2/5N2/PP2BPPP/2RR2K1 w - -,c4c5
r1bqk2r/pp1nn1pp/2p5/b3pp2/2P5/PPN5/1B1QPPPP/R3KBNR w KQkq -,a1d1
r1bqk1nr/1p1nbppp/2p5/p1PpP1B1/8/P1N1PN2/1P3PPP/R2QKB1R w KQkq -,g5e7
r1bqk1nr/p2p1pbp/2p1p1p1/2p5/4P3/2N2N2/PPPP1PPP/R1BQR1K1 b kq -,g8e7
r1bqr1k1/1pp1ppb1/1nn4p/6p1/p2P4/P1N1PNP1/1P3PBP/R1BQR1K1 w - -,d4d5
r4rk1/pppqbppn/2np3p/4p3/3PP3/1PP2N1P/P3QPP1/RNB2RK1 b - d3,g8h8
3q1r1k/1p2ppbp/p1rp2p1/8/2P1P1b1/1PN1B3/P2Q1PPP/2R2RK1 w - -,e3h6
r2qkb1r/pp2pppp/2p2n2/5b2/2BP4/5N2/PPP2PPP/R1BQ1RK1 b kq -,e7e6
1rbq1rk1/1p1nbppp/p1n1p3/2ppP3/P4P2/3P1NP1/1PP1N1BP/R1BQ1RK1 b - -,b7b5
8/6pk/4P2p/p6P/5P2/8/PpQq4/1K6 b - -,d2c2
2rr2k1/pb3p1p/1pnppqp1/8/4P3/1NP5/PP3PPP/R2QRBK1 w - -,d1e2
r1bqk2r/pppp1ppp/2n2n2/8/1bB1P3/2N5/PPQ1NPPP/R1B2RK1 b kq -,e8g8
1R1nrb2/r2bq2k/2pp2pp/p3p3/P1B1P3/1QP1NN2/5PPP/1R4K1 b - -,d8e6
2r3nr/pb1qp1k1/1p1p1pp1/2p4p/1PP1N3/P4PP1/1Q1P1PBP/1R3RK1 w - -,d2d4
r1bqk1nr/1p3pbp/p2pp3/6p1/2BpP3/3P2B1/PPPN1PPP/R2QR1K1 b kq -,h7h5
r4r2/pp1qn1bk/2n1b1pp/2p1p3/2PppP1P/P2P2P1/1P1BN1BN/R1Q1K2R w KQ -,g2e4
3r1b1k/p2q2p1/2p4p/2P1R3/1P6/8/P3Q2P/4B1K1 w - -,e5e4
1q2rrk1/p2n1pb1/1n1P2p1/2p5/4N1Pp/P6P/2Q2PB1/2BR1RK1 w - -,c1g5
8/5RR1/7p/4k3/5pP1/7P/5n1K/2r5 w - -,f7e7
r4rk1/4bpp1/pqn2n1p/2pp1b2/P4B2/1pPP1N1P/1P1QNPP1/RB3RK1 w - -,e2g3
5rk1/1b2p2p/pN2qppb/2P5/PP2pPPB/1P2r2P/2Q5/2R2RK1 w - -,c2c4
3rrb1k/5qpp/2p2n2/1pP5/pP1p1p1Q/P2P3P/1B4P1/1B2RRK1 w - -,h4f4
r1b1rbk1/2q2p2/1pp3pp/2n1p3/p3P1P1/2P1BN1P/PPQ1NPK1/R2R4 b - -,c8e6
rnbqr1k1/ppb2pp1/3p1n1p/2pP4/7B/2N1P3/PP1NBPPP/R2QK2R b KQ -,c8f5
r5k1/p1R4p/p2b1pp1/1b2p3/8/1P2PN2/P2K1P1P/6R1 w - -,c7c1
b1rr4/5p1k/p2pp1pb/7p/4PPnP/1P4P1/PB1Rq1BN/4R2K w - -,d2e2
8/1k1p4/p1QPp3/1p2Br1p/2pR1n1P/2P2Pr1/PPP3p1/2K3R1 b - -,b7c6
3rr1k1/5ppn/1q6/1pbp3p/p4PB1/P2PP1P1/1BNQ3P/3RR1K1 b - -,h5g4
6k1/5p1p/1b3rp1/p7/PP6/3R3P/2R2P2/5K2 w - a6,b4a5
r4rk1/pb2bppp/1p2pn2/8/1PB5/P1N1PP2/1B2K1PP/R6R b - -,f8c8
8/5p2/4k2p/1R4p1/2P3P1/1p3P2/1r3KP1/8 w - -,f2g3
rn1q1rk1/p1p2ppp/bp6/3p4/3Pn3/1P3NP1/P1Q1PPBP/RN3RK1 b - -,b8d7:f8e8
1r1r2k1/p1q2pp1/2p1pnp1/2P5/4PP2/1PQB2P1/1P5P/2KR1R2 b - -,a7a5
8/2Nb3p/1p1p1kp1/1P1P4/2PK3P/8/r7/2R5 w - -,c1e1
2b5/b2p1kp1/2p1n2p/P1p5/8/P5R1/1B4PP/R6K b - -,c8a6
r1b2rk1/2p3pp/pn1p2q1/1p2p3/1P2Pp2/2PP1P1P/1P3BPN/R2QR2K b - -,h7h5
1r1r2k1/2b2ppp/5qn1/3P4/R4P2/1PpQB3/2B2P1P/3R3K w - -,a4c4
4B3/8/1p6/4pb2/P2k4/5PKp/8/8 b - -,d4e3
2r3k1/p2Q1pp1/7p/8/8/P3P1P1/2q2P1P/3R2K1 w - -,d7d3:g1g2
8/5pp1/2p1nn1p/ppk1p3/4P3/PP3PP1/2PKN1BP/8 b - -,c5d6
4r1k1/1pp1P1pp/2q5/p7/P2b4/1QNb4/1P6/K3R2R b - -,c6c4
r4rk1/1p3ppp/3p4/3Pp2b/pPP2n1q/P3QP2/3NB1PP/R1B2RK1 b - -,h4g5:f4e2
4r1k1/3q1pp1/1p3nbp/p1b1R3/P1Np4/1P1P1B1P/5PP1/2BQ2K1 w - -,c1f4
6k1/1pp1r1p1/p7/5rbp/4N3/P1N1pP2/1P2R1KP/3R4 w - -,d1d5
r2q2kr/pb2n1b1/1ppp1npp/1P3p2/2PP1P2/2N1B1P1/P2QN1BP/3R1RK1 w - -,b5c6
8/2b1r1k1/4r2p/p2p1pp1/Pp1P4/1Pp1PPqP/4R3/2B1RQ1K w - -,e2f2
8/8/6k1/7R/3K1P2/5BPP/8/4r3 w - -,h5e5
r4r1k/5pp1/2n1p1qp/2PpP3/2bP1P2/2B1QN2/6PP/R2R2K1 w - -,h2h3
r3kbnr/pp1q1pp1/4p3/7N/3pP3/3P4/PP3PPP/R1BQK2R b KQkq -,d7b5
8/6pp/8/6b1/6P1/4pK1k/8/3B4 b - -,h3h2
r6r/3b1pkp/6p1/qp1P1p2/2BP4/1Q6/P4PPP/2R2RK1 w - -,c4d3
rnb1k2r/pp1pppbp/6p1/2P5/3N1n2/q2BP3/P1PN1PPP/1R1QK2R w Kkq -,d3c4
r1bqk2r/pp3pp1/4p3/2bpP2p/5Q2/3PPN2/PP4PP/RN2K2R w KQkq -,e1g1
r3r1k1/2qb1ppp/pp6/2np4/P2NnP2/2P2NQ1/1PB3PP/R4R1K w - -,g3h4
2rkb2r/1p3p2/p2p1bp1/3n2Np/5P2/1P1RR1PP/PB4B1/6K1 w - -,b2f6
r4rk1/bpq2ppp/p1b5/5P2/2Q5/1P2P3/PB2B1PP/3R1R1K b - -,b7b5
r5k1/4Rp1p/2pp2pB/1b1p4/p2b1P2/8/6PP/4R2K b - -,c6c5
rn1qk2r/1b1pppbp/p5p1/1p1NP3/3N4/3BB3/PPP2PPP/R2Q1RK1 b kq -,b7d5
2rr4/pp1bpk2/5pnb/5N1p/3N1P1P/6B1/PPP3P1/2KRR3 b - -,h6f8
6k1/1b1r2pp/8/2npPp2/rP3P2/p5P1/P5BP/2R2RK1 w - -,b4c5
1qr3k1/1r2bppp/2bpp3/1p6/1Pn1P3/3B2PP/PBR1NP2/2QR2K1 b - -,b7c7
r1b1kb1r/pp3p2/1npRn1p1/4p1Pp/4P2P/1PN1BP1B/P1P1N3/2K4R w kq -,d6d3
nnq3k1/p5p1/1p2p2p/3pPp1P/3P1BPN/P7/1P2QPK1/8 b - -,b8c6
r1b2rk1/p4pb1/q2p1npp/2pP4/1PN5/2N1B2P/1P3PP1/RB1QK2R b KQ -,a6a1
r3k2r/1p1bbp2/pq2pnB1/6pp/8/P1N5/1PP1QBPP/R3R2K b kq -,b6c7
7r/pkp1q3/1n6/5ppp/4p3/PPb1PPP1/1B1rQ1BP/R3R1K1 w - -,b2c3
rn1qk2r/p1pp1ppp/b3pn2/4N3/1b1P4/1P4P1/3BPPBP/RN1QK2R b KQkq -,b4d2
rr4k1/3q1p1p/b3pPp1/3nB3/2p2P2/5Q1P/2PN2PK/2R1R3 b - -,b8c8
5k2/1R6/4KP2/6rp/8/8/8/8 w - -,b7b8
8/6pp/2p2p2/B3p2P/p1k1PnP1/5P2/1P1K4/8 b - -,f4e6
rnb1k2r/pp3ppp/2pp1n2/q3p3/1bPPP3/2N2P2/PP2N1PP/R1BQKB1R w KQkq -,c1e3
r1bqr1k1/pppp1pp1/5n1p/8/4P3/1PN1bP2/1PPQ2PP/R3KB1R w KQ -,d2e3
1r4k1/p3rpbp/n3b1p1/BpP5/4P3/1P4P1/1NR2PBP/5RK1 w - -,b3b4
r2qk2r/pp1bbppp/2n1pn2/3p4/3P1BP1/2NBPP2/PP5P/R2QK1NR w KQkq -,g1e2
2q1rnk1/p2b1pp1/2p4p/2N5/4p1P1/2Q4P/PP3P2/1K1RR3 b - -,d7e6
3r4/1p1q1pbk/p1n3pp/4p3/4Q3/1NP3BP/PP3PP1/4R1K1 w - -,e4e2
3rqrk1/p3pp1p/1p1p2p1/2nN2P1/4PP2/2R4B/1nP4P/3Q1RK1 w - -,d1d4
r2qkb1r/p2n1pp1/4b2p/3Bp3/3p4/1Q1P2P1/PP2PP1P/R1B1K1NR b KQkq -,d8a5
8/p7/8/K5k1/P3r1P1/8/6R1/8 b - -,e4e6
6k1/5ppp/5n2/2Q5/p7/1q3P1P/6P1/7K b - -,g8h8
1kr5/qpp3pp/4rn2/8/1bQp4/5P2/PP4PP/2KR3R w - -,c4b4
3r1r1k/1p3p2/p3pq1p/P1P1Nb1P/2p5/2R1Q1R1/1P3P2/4K3 b - -,d8d5
r4rk1/pp1b1pbp/5np1/2qpB3/8/1P4P1/P2NPPBP/R2Q1RK1 w - -,d2f3
rnbq1rk1/p3ppbp/1p3np1/2pp2B1/3P4/2PBPN2/PP1N1PPP/R2QK2R w KQ c6,e1g1
6k1/5pp1/4p3/2Pp4/3P4/5KP1/2r2P2/7R b - -,f7f6
r5k1/1p4pp/1n1Nbp2/p3p3/P7/3P2P1/2nNPPBP/R5K1 w - -,a1c1
8/3n4/8/P7/1P6/5k2/4p3/4K3 w - -,a5a6
5k2/7p/6p1/PB3p2/1n1p4/1P4P1/5P1P/6K1 b - -,f8e7
2r2rk1/3b1ppp/4p3/ppqpP3/3Q1P2/PBP5/1P4PP/R2R2K1 w - -,d4c5
1r6/2k2r2/p1n5/6Bp/1b2R2P/1PR2p1B/P1P2P2/6K1 w - -,c3c4
r2qk2r/pp2bppp/2n1pn2/3p1b2/3P1P2/2PB1N2/PPQ3PP/RNB2RK1 b kq -,d8c8
r4rk1/p4ppp/1p2p3/2p1P3/2n1P3/P1P2P2/4NRPP/3R2K1 w - -,a3a4
6k1/3q2pp/1n1nrp2/p2p4/3P1Q1B/P2B1P1P/6P1/5RK1 w - -,h4g3
4r3/p2qr1bk/1p1n3p/3p1p2/3P1Pp1/BP4P1/P1R3BP/3R1QK1 b - -,d7e6
rnbqkb1r/pp3ppp/3p1n2/2p1p3/2B1P3/1P6/PBPP1PPP/RN1QK1NR w KQkq -,d2d3
2rr1k2/pp3p1Q/1q2p1p1/3n2N1/3n4/P5B1/1P3PPP/3RR1K1 w - -,h7f7
2br1rk1/5pp1/p3q2p/1p2P3/4P3/3BN1Q1/1bP3PP/R4R1K w - -,a1e1
r3r1k1/p4ppp/2bp4/2p5/5P2/1PnB4/P1PN2PP/4RRK1 b - -,d6d5
r1bqkbnr/pp1p1ppp/2n1p3/2p5/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,a7a6:g8e7
4r2k/1p4b1/2p3qp/p1P3p1/Q3N1n1/5RP1/PP2R1B1/7K w - -,h1g1
2r2rk1/1b1qnppp/pb2p3/1p1p4/3pPP2/3P2P1/PPPBQNBP/2R2R1K w - -,d2b4
8/1Q2kp2/p2p4/P2P1p2/2q2P2/8/8/6K1 b - -,e7f6
8/6pk/8/P2N4/1r4p1/8/8/6K1 b - -,b4b5
r3rbk1/1bqn1ppp/p2ppn2/1pp5/3PP3/2P2NNP/PPB2PP1/R1BQR1K1 w - -,c1d2
r6r/8/2pp1k1p/p4p1b/1ppP2pP/4P1P1/PPP2P1R/2K1N1R1 w - -,e1g2
4rrk1/1q2bpp1/p4n2/3ppPB1/1p2P3/3P4/PP2N1QP/2R2R1K b - -,e8c8
r1b2rk1/2q1p1b1/3n1np1/1NpP1p1p/5P2/1Q2BB1P/PP4P1/2NRK1R1 b - -,c7a5
1R6/5ppk/4p1p1/B7/P3n1P1/1P2P2P/1r3P2/6K1 w - -,a5e1
5r1k/4p1b1/6pp/1pqPnp2/2p5/2P1P2P/r1BNQPP1/1RR3K1 w - -,f2f4
3q1k2/1p4pp/2p1np2/pP2p3/P1P1P3/1B2bP1P/2Q2PK1/8 w - -,f2e3
r7/1pp1k3/2n1b3/4p3/p3P1Pp/1PP4P/P1K3B1/2N2R2 b - -,c6a5
3r2k1/2r2pp1/1R5p/2qp1P2/1p2p1P1/1B2Q1P1/2P2P2/6K1 w - -,e3c5
3r1r1k/pp2p1bp/3n2p1/q7/4QB2/1BP4P/PP3PP1/R4RK1 w - -,f4d6
r2q1rk1/1p2npb1/2p1b1pp/1P1pp3/2P5/1QNP2P1/3NPPBP/1R3RK1 w - -,b5c6
8/4pkn1/2Rp2p1/3P4/pB2KPP1/rP6/1R6/2r5 b - -,a3b3
r2qr1k1/pbpn1ppp/1p6/3p4/3Pn3/P1N1P3/1P2BPPP/2RQNRK1 w - -,e1d3
k2rb2r/p1R3p1/q3p3/3p3p/3B3P/1P1PQ3/P4PP1/1K5R b - -,d8d7
r1bq1rk1/pp2bppp/2n1pn2/3p4/3P4/1PN2NP1/P3PPBP/R1BQ1RK1 b - -,b7b6
2r2nk1/2q3p1/1Rp2p1p/3p1Q1N/3P4/r3P2P/5PP1/2R3K1 b - -,c7b6
3r1rk1/p4pp1/qb2pnp1/8/P2N1P2/1P2PQ2/1B4PP/R1R3K1 b - a3,d8c8
1r3rk1/1p5p/p2p2p1/2pP3q/P2b1Bn1/N1N3Q1/1P3PB1/R4RK1 w - -,g2f3
8/2r2pk1/3R2p1/2n4p/4PN1P/5PK1/6P1/8 b - -,c7a7
8/2r2pk1/p3p2p/1p4p1/3Nb1P1/2P4P/P4KP1/3R4 b - -,c7c3
2r1q1k1/pp1rbpp1/4p1p1/3p1n2/8/P2P2PP/1P1BPPB1/2RQ1RK1 w - -,g3g4
1r3r1k/R3b1p1/1n1p4/2pPpq1p/8/2N1BP1P/1PP1Q1P1/R5K1 b - -,b6c8
4r1k1/3b3p/3p1rp1/3P1p2/2P1P3/p3R2P/P5PN/4R1K1 b - -,e8a8
3B4/6pp/b2k1p2/P3n3/6P1/4KPP1/8/8 w - -,g4g5
rn1qkbnr/1b1p1ppp/p3p3/1pp5/3PP3/3B1N2/PPP1QPPP/RNB1K2R w KQkq c6,d4c5
2k1r3/pbp4p/6p1/2P1r3/5p1P/1P6/P2R1KP1/3R1B2 w - -,f1b5
r4r1k/pp4pp/3p2bn/2p4q/3nN2b/KP1P1p1P/P5Q1/1RB4R w - -,g2h2
8/5p2/3ppk2/2bP3p/P1PN1P2/3K2P1/8/8 b - f3,e6e5
rnbqkbnr/pppp2pp/4p3/5p2/2P1P3/2N5/PP1P1PPP/R1BQKBNR b KQkq e3,f5e4
3r3k/4r1pp/2pNpq2/1pPn4/p2PQP2/P5RP/1P3R1K/8 w - -,g3g5
r1b1kb1r/3p1ppp/2p1p3/4P3/2P1NP2/1P1QB3/5KPP/q4R2 w kq -,f1a1
8/5p1k/p2Q4/2Bp1p2/P2P3b/5K1P/8/6q1 w - -,f3e2
r1b1q1kr/2Nnn1bp/pp1p2p1/5P2/P2P4/2N5/1PP3PP/R1BQK2R b KQ -,e8f7
8/ppp1ppkp/6p1/4P3/2Pq1P2/1P1r2PP/P1Q3RK/8 w - -,c2f2
r2qk2r/1pp1bpp1/p1n1pn1p/3p1b2/2PP1B2/P1N1PN1P/1P2BPP1/R2QK2R b KQkq -,d8d7
2rqkb1r/3n1p1p/p5p1/1N2p3/8/P2B1bQ1/1PP2PPP/2KR3R w k -,g3f3
8/1p3pk1/p1b3pp/8/1P1r2P1/P1N1RPK1/6P1/8 w - -,c3e2
r4rk1/pp1b2pp/1qnbpn2/3p4/1P1P1B2/P2B1N2/4NPPP/R2Q1RK1 b - -,d6f4
8/1p5k/8/3Np2p/5n1p/1P5P/1PP2Pr1/3R3K w - -,d5f4
r4rk1/p3n1bp/2pp3n/q3pp2/2P1P2N/2N2P2/PP2Q1P1/R3K1BR w KQ -,a1d1
r4rk1/pp2pp1p/1qn3pb/3p1b2/3P1P2/QPP2NP1/3NBP1P/R4RK1 b - -,a7a5
3r3r/1kp4p/bnppqbp1/B7/2P1NP2/1P2Q3/P5PP/2KR1B1R b - -,h8e8
r1bq1rk1/5ppp/ppnppn2/8/2P1P3/1NNBQ3/PP3PPP/R2R2K1 b - -,d8c7
8/RP5p/5ppk/6R1/P6P/8/1r3rPK/8 w - -,g5b5
2nr1bk1/1q3p2/ppn4p/2p1p1pP/P1N1P3/2P2BP1/1PQ2P2/R1B3K1 b - -,c8d6
r4rk1/pp1nb1pp/2pp4/8/1qP1PBb1/6P1/PPQN2BP/3RK2R w K -,d1c1
5r1k/p2q3r/3pn1Qp/3p2pN/4p3/7P/PP3PK1/2RR4 b - -,e6f4
r2q1rk1/pppn1ppp/3bpn2/3pN3/3PbBP1/4P2P/PPPN1P2/R2QKB1R w KQ -,f2f3
2r1r1k1/7p/p2B2pP/6P1/6R1/P3b3/KP2R3/8 b - -,c8d8
2rr2k1/1pq1bpp1/p2p1n1p/P1n1p3/1P2P3/2N1BQ1P/b1PN1PP1/R1R3K1 w - -,c3a2
4rrk1/2p1q2p/1pbp1pp1/p1n5/2P1P3/1PQ2PB1/P5PP/3BRRK1 w - -,a2a3
q1r1rbk1/pb1n1pp1/1p1ppn1p/8/3P1P2/2PB2B1/PPNNQ1PP/4RRK1 w - -,f1f2
r2q1k1r/1b1n1p1p/p1p1pp2/1p6/3P4/P2BQN2/1PP2PPP/R3K2R w KQ -,e1g1
r5k1/2Q3b1/p3p2p/1pB2q2/4bPp1/6P1/PPn2N1P/3R2K1 b - -,e4d5
2rr4/pb2qpbk/1p2p1pp/4n1P1/3P3P/2N1B3/PP2QP2/2R2RK1 w - -,d4e5
r3nrk1/pp2q1pp/2ppb3/4p3/1PP5/3RN1P1/P2QPPBP/5RK1 b - b3,a7a6
8/p7/1p3rk1/4Rp2/PP1R2p1/3PK1P1/7r/8 b - -,h2g2
r2q1rk1/ppp2pbp/2n1p1p1/3p4/2PPb3/1PB1PNP1/P2Q1PBP/R2R2K1 b - -,f7f5
rn1qkb1r/1p3pp1/p2pbn2/4p2p/4P3/1NN1BP2/PPPQ2PP/R3KB1R b KQkq -,b8d7
r1bqk2r/pppnppbp/2n3p1/8/2QP1B2/2N2N2/PP2PPPP/3RKB1R b Kkq -,e8g8
1r1q1rk1/p1pn1pbp/2B2pp1/8/2pP2b1/4P1PP/PP2NP2/RN1QK2R b KQ -,g4e6
5rk1/r2nb1p1/4pP2/p2p4/Pp1P3q/3BBQ1P/1P3PP1/2R2RK1 b - -,e7f6
rn1qk1nr/pp1b2pp/3b4/1Pp2p2/2P1p3/1QNpPP1N/P2P2PP/R1B1KB1R b KQkq -,g8f6
r2r2k1/pp3ppp/8/n1P4q/Q7/P3nN2/1P2BKPP/2R4R b - -,e3g4
4r3/3R2k1/2p1pbpp/p1N2p2/1PP1P3/P6P/5PP1/6K1 b - -,g7f8
2rq1rk1/pb1nbppp/1pn1p3/2ppN3/3P1P2/PP1BP3/1BPN2PP/2RQ1RK1 b - f3,f7f6
r1b1r1k1/p1q2pbp/1pn2np1/2p1p3/P1NpP3/1P1P1NP1/2P2PBP/R1BQ1RK1 b - -,e8f8
2R5/7p/3k4/6p1/4K1P1/r1p4P/8/8 b - -,d6d7
r4rk1/1ppbnqpp/1b1p1p2/pP1Pp3/P2P2P1/4P2P/4NPB1/R1BQ1RK1 w - -,c1b2
2rr4/1p2k2p/1n4p1/p3p3/7P/1P1B1PP1/P3K3/1RR5 b - -,b6d5
3nk1Rr/1q2b2p/2pp2p1/p3p1P1/N1Q1P2P/PP2B3/2P5/2K5 b - -,h8g8
4r3/p1R2pk1/6p1/5p2/8/1BP1bKP1/P6P/8 b - -,e3b6
8/5p1p/1pR2kp1/p1p5/Pr6/4KPP1/1P5P/8 b - -,f6e7
rnbq1rk1/pp2npbp/6p1/2p1p3/3pP3/3P1NP1/PPP2PBP/RNBQ1RK1 w - c6,b1d2
4b3/p5pk/r1p2r1p/4N3/4R3/1P5P/P2R1PP1/6K1 b - -,f6e6
r3r1k1/p1p2ppp/1b6/8/4n2B/5N2/PPR2PPP/3R2K1 b - -,f7f6
r1rq2k1/1R1bn1bp/3p1pp1/3Pp3/4P2P/6P1/4NPBK/1Q2BR2 b - -,c8b8
r5k1/qp1n2pp/3p1rb1/1RnPp3/p1N5/2N1QPP1/P2KB2P/3R4 w - -,d2e1
2rr4/1p2kppp/pqn5/3R4/4n3/P1B1P3/1PQ2PPP/4KB1R b K -,e4c3
1r1qnrk1/3bbppp/p1npp3/2p3P1/1pP1PP2/1P1P3P/P3N1B1/RNBQ1RK1 b - -,e6e5
1b6/1p1b1q1k/p3p2r/5p2/1PN1P3/3N1Q1P/2P5/6RK w - -,g1g5
2rrq1k1/p4pp1/1bp1p2p/4Nn2/2RP4/P3B1PP/1P2QP2/2R3K1 b - -,f5d4
r2r2k1/pp2bp2/2p1pnpp/4N2q/3P4/5P2/PPPB2Q1/1K1R3R b - -,h5f5
r1r3k1/1b2q2p/3bp1p1/1N2n1P1/1P1BP3/p2B4/2P2Q2/2KR2R1 b - -,e5d3
r1q4r/3b2k1/3p1p2/p1nPp1p1/1p2P1P1/1PP1R3/5PQ1/R2B1NK1 w - -,f1g3
