8/5p1k/2p2Qp1/p2qP3/5PP1/8/5K2/8 b - -,d5e6
6kn/1B3pp1/7p/R7/1p3P2/7P/PP2r1PK/8 b - f3,e2b2
3rrbk1/1p2qp2/p2p2pp/P1pP4/1nN4P/1P2PPB1/3R1PK1/6QR b - -,f7f5
8/p1p1r1kp/3p1p2/2pPn3/8/PPB3PP/8/5RK1 w - -,g1g2
8/N1p4R/3bk3/1K6/1P6/8/8/2r5 w - -,a7c6
r2qk2r/1pp2pp1/p1npbn1p/2b1p3/4P3/1BPP1N2/PP3PPP/R1BQKN1R w KQkq -,f1g3
2r2rk1/p3q1n1/2p1b2p/2NpPp2/6p1/3BP3/P1Q2PPP/R4RK1 w - -,a1b1
2r1kb1r/1p3qpp/p3N3/1b1P1p2/4pPn1/1BB3P1/PP5P/1K1RQ2R b k -,f8c5
r5k1/pp3p1p/4rQp1/2q1n3/2Pp4/6PP/PP3PB1/R3R1K1 w - -,f6h4
r2q1rk1/pp4b1/2n3pp/nNP1pp2/8/Pb1P1NP1/1BQ2PBP/2R1R1K1 w - -,c2e2
3r1rk1/pb1q1ppp/1p1Np3/2pn4/3P4/1P1BP3/PB3PPP/R2Q1RK1 b - -,d7d6
r3kb1r/pppb1ppp/8/3p4/3Pn2q/3B4/PPP2PPP/RNBQ1RK1 w kq -,c2c4
rn3rk1/pp1q4/2pn2Pp/3p1b2/3P4/P1PBPP2/6R1/2BQK2R w K -,h1h6
r2qkb1r/4pppp/p2p1n2/np5b/Q1B1PB2/2N2N1P/PP3PP1/R4RK1 w kq b6,c4b5
2Q2n2/1p2rk2/p6P/P4K2/1P6/8/8/8 b - -,f7g8
3r2k1/1p5p/2b3p1/3p4/1p1R1P2/1P4P1/P2R2KP/2r2B2 w - -,g2f2
r2qrbk1/1p3ppb/2n2n1p/p3p3/2Pp4/PP1P1NP1/2N2PBP/BR1QR1K1 b - -,d8c7
4r2k/1Qp3p1/P2p3p/8/P1P1r1nb/B2P1B2/3K1P1q/3N1R2 b - -,h2f4
4k3/8/1R3KP1/p7/1p3P2/8/2r5/8 w - -,g6g7
r3r1k1/pp3pp1/1bp1b2p/8/4n3/P1P1N2P/1PB2PP1/R3RNK1 b - -,e4f6
r7/pp2krNQ/2np4/q7/5n2/2P3P1/PB1K4/R6R b - -,a5d5
3N3r/5Q2/pP1q1ppk/5b2/3Pp3/P3P3/5PpP/1R3RK1 w - -,f1c1
6k1/Q4pqp/6p1/1R6/7P/4P1P1/5PK1/2r5 b - -,g7c3
r3k3/1pqb2p1/pbn1p3/3pp1r1/PP5N/2P3B1/3NQPPP/2R2RK1 b q -,a8c8
2R1r1k1/8/pq4p1/4bp2/P2Nb1p1/1P2P3/3BQ1PP/5RK1 b - -,e8c8
2b2r2/1n3k1p/1q2ppp1/1pr5/5P2/4Q1P1/3N1P1P/2R1RBK1 w - -,d2e4
5r1k/1bq1b1pp/p1p2p2/1p2n3/4PB2/1BN3Q1/PP3PPP/2Rr2K1 w - -,c1d1
r1bqkb1r/pppn1pp1/8/4p1Pn/4P3/2N5/PPP4P/R1BQKBNR w KQkq -,f1c4
2rqr1k1/pp1nbp2/2p1n1p1/6Pp/3PP1bP/2NB2B1/PPQRN3/1K5R b - -,c6c5
5r1k/pp4b1/4q2p/6p1/3n2P1/3Q1P2/PP4P1/1K1RR3 b - -,e6f6
2rq2k1/p4nbp/r5p1/2B2b2/1p6/1N1P3P/PPP1NP2/1KQR3R b - -,a6c6
5rk1/p6p/q3p1p1/2b1B3/4Pp1P/2NR1Q2/P5PK/8 w - -,d3d7
rn2kb1r/pp2ppp1/2p2n1p/q2p1b2/3P3B/2N2P2/PPPQP1PP/R3KBNR w KQkq -,e2e4
8/p3pb2/3p2k1/p2Pq1p1/8/P3NPP1/1P1Q1K2/8 w - -,d2c2
5r2/1p1b4/p2kp2R/3p4/3P2B1/P3KP2/1P6/8 b - -,d6e7
rnbqk1nr/pp3ppp/4p3/2p5/1bPP4/2N5/PP3PPP/R1BQKBNR w KQkq -,a2a3
5r1k/p1p1P2p/1p1p4/3Pn1p1/1PP1q3/4N3/P5QP/5R1K b - -,f8f1
r1b2rk1/ppp2pp1/2nb1q1p/4p3/2P5/3PPNP1/PP4BP/RN1Q1RK1 w - -,b1c3
1R4k1/3n1pp1/4p2p/8/8/4N1P1/4PP1P/5K2 b - -,d7b8
3r4/np2k2p/p1b1pp2/PnP5/2B5/1N3PB1/6PP/2R3K1 w - -,c4f1
2r5/4k2b/p2ppp2/1p3P2/4P1Bp/1PP1R2P/P7/1K6 b - -,a6a5
b2r1rk1/p3bp2/1p2p2p/1B3p2/4q3/P4N2/1PP1QPPP/3RR1K1 w - -,e2e4
8/pp5k/2pp3p/7b/1PP2Pq1/2QP4/P6P/5NK1 w - -,f1g3
5rk1/4bp2/Q3p1pp/4n3/3RP2q/1NP5/1KP3P1/3R4 b - -,e7f6
r1bqk1nr/pppn1pbp/3p2p1/4p3/2P1P3/2N3P1/PP1PNPBP/R1BQK2R b KQkq -,g8e7
1k1r4/2q2pQ1/1bb5/pp3PPp/4P2P/1P6/1PP1R3/3KB3 w - -,d1c1
r1b1r1k1/pp3pbp/2p1n1p1/4p1Bn/2P1P3/2NB1N1P/PP3PP1/3RR1K1 w - -,g1h2
8/8/3p1k2/p3p1p1/Pp1pPpP1/1PqP1P1p/1R1R1K1P/2r2B2 b - -,c1d1
r6k/4qpp1/p2p1b2/P2P1Q2/2p2R2/6BP/5PPK/8 b - -,c4c3
6r1/ppk5/5p2/4p2p/2n2p1P/5P2/P3K1P1/3RN3 w - -,d1c1
r4rk1/pnqn1pp1/2ppb2p/8/2PPPN2/2Q1B1PP/P5B1/R4RK1 w - -,d4d5
r2q3k/1p1n1bpp/2p5/1p1p1PP1/1N6/5B2/PPPQ3P/1K2R3 w - -,a2a3
r1bqk1nr/pp2ppbp/2np2p1/8/3PP3/2N1BN2/PP3PPP/R2QKB1R b KQkq -,g8f6
r2q1rk1/pp2ppbp/2npbnp1/2p5/2P5/P1N3P1/1P1PPPBP/R1BQNRK1 w - -,d2d3
8/8/8/K6Q/4q1p1/8/8/5k2 w - -,h5f7
2r1k2r/1p2bp2/p1bp1n1p/N3p1p1/4P3/1R3PB1/PPP3PP/2K2B1R b k -,e8g8
r1bq1rk1/1p2bppp/2p5/p7/Pn2pB2/1B3N1P/1PPQ1PP1/R4RK1 w - -,d2d8
6k1/4npp1/2p5/4P3/2R2Pp1/7P/r7/2B3K1 w - -,h3g4
r1b2rk1/2q2ppp/p1p1pn2/2b5/Pp2P3/3B1Q2/1PP2PPP/RNB2RK1 w - -,c1f4
b2r1rk1/2p1bqp1/p6p/P3pp2/1pP5/1Q1P1PN1/1P3BPP/R3R1K1 b - -,e7d6
8/3R1p2/6p1/ppk2n1p/7P/2K2P2/P7/8 w - -,d7f7
6K1/4r3/1P1nk1pQ/4p2p/7P/5PP1/8/8 b - -,d6e8
r5r1/p1pp1p1k/bp2pp1p/n7/q1PPPP2/2PB4/P1RNQ1PP/5RK1 b - f3,g8g7
r1bq1rk1/ppp2ppp/4pn2/n7/2pP4/P1P3P1/3NPPBP/R1BQ1RK1 b - -,c8d7
2kr1b1r/ppp2ppp/2n1pn2/3P3q/2P3b1/2N2N2/PP2BPPP/R1BQK2R w KQ -,h2h3
r1bq1rk1/pp1pppbp/2n3p1/2p2n2/2P5/P1N2NP1/1P1PPPBP/1RBQK2R w K -,e1g1
4r1k1/p2b1ppp/5n2/q1pp4/5N2/PP1B2QP/2P2PP1/3R2K1 w - -,a3a4
4r1b1/ppp1r1k1/1n1p2p1/8/2P3R1/1PNB4/P2K1PP1/7R b - -,g8f7
r2qkb1r/pp1n1ppp/n1p5/5P2/P1N5/2P2P2/6PP/R1BQKB1R b KQkq -,d8f6
3r1rk1/1pR3p1/3Pqn2/5bQ1/P3p3/4P2P/1B3PB1/R5K1 b - -,d8d7
1r4k1/2q1rpbp/2p3p1/2PpP3/PP1Q1p2/2B4P/R4PP1/4R1K1 b - -,b8e8
4r2k/pp3p2/n4npP/3p2N1/6B1/5P2/PPPK4/4R3 b - -,e8e1
1r3rk1/p2q1pbp/3p2p1/4p2n/b1PPP3/1n1BBN1P/Q4PP1/1R2RNK1 w - -,d3c2
3r2k1/1p4p1/2p4p/5b2/2P2q2/P1R5/4BpPP/4Q1K1 w - -,e1f2
8/7k/4K1pp/4Bp2/4n2N/6P1/5b2/8 b - -,f2g3
2kr3r/1p1qp3/p1np1p2/5Pp1/2P3Q1/6B1/P1P2PPP/R2R2K1 b - -,c6e5
b3q2k/3r1p2/1QBPp2p/P3P1p1/5P2/1P6/6PP/2R3K1 b - -,a8c6
1r1q1rk1/1p1nppbp/p2pb1p1/8/2P5/1PNQ2P1/P2BPPBP/2R2RK1 w - -,e2e4
r2qkn1r/pp2p1bp/4bpp1/3pP1N1/3P4/3B1Q2/PPP3PP/R1B2RK1 w kq -,d3b5
8/r3k1p1/P4p1p/Rp5P/1P3KP1/8/8/8 w - -,f4f5
r2r2k1/1p1bqp1p/p3pnp1/4Q3/3N1P2/5B2/PPP3PP/2KR3R w - -,f4f5
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/P3PN2/1P3PPP/RNBQKB1R b KQkq -,d5c4:b8c6:a7a6
8/5k2/4pb2/5p2/R5pp/B3P3/2K2nPP/8 w - -,a4a7
3r3r/q2pkp2/3Rp1p1/2P5/1Q2P1P1/5PK1/8/3R4 b - -,a7c7
1r2r1k1/1pq2p1p/p1bp2pB/P1p1n3/1nP1PPPb/1PN3NP/3QR1B1/R5K1 w - -,g3f5
r6r/ppp1kpp1/2n2np1/3p4/1b1P4/3B1P2/PPP1N1PP/R1B2RK1 b - -,b4d6
4r1k1/p5pp/8/3pqBQ1/6PP/4PK2/8/8 b - -,g7g6
4b3/1p2k3/3R4/p1P2p1p/5P1P/P3KP2/8/8 w - h6,d6h6
2r3k1/p3bpp1/1q2pn1p/1p2B3/3P4/3QRP2/5KPP/1B6 w - -,e5f6
1r1qr1k1/1p1b1pbp/p4np1/2p2p2/PPP5/2NQP1P1/4NPBP/R2R2K1 w - -,b4c5
5n1k/8/pq1p1p2/nbpPp1pP/2p1P1P1/2P1N3/P7/2QB2RK b - -,b6c7
r2qr1k1/ppp2ppp/2bp1b2/3N4/n3PP2/3Q1B1P/PPP3P1/R1B2RK1 w - -,c2c3
r4rk1/pq2bppp/1p2p3/2nb4/8/1P2PNP1/PB2QPBP/R4RK1 w - -,f1d1
8/1r5p/7R/4kp2/3n4/6P1/1P3PKP/8 w - -,h6h4
6k1/r4p2/1N2p2p/p2b4/P3p2p/1P2P3/5KP1/1Rr5 w - -,b1c1
8/6k1/3q2p1/1P5p/3p1p2/3Q2P1/5P1P/6K1 w - -,g3f4
4k2r/pppbnpp1/4P2p/2p5/5N2/P4N1P/1PPR1PP1/6K1 b - -,d7e6
q3n1k1/5pp1/p2p1b1P/4rP2/3N1Q1n/1P4NP/PB1R3K/8 w - -,d2c2
1r1q1r2/3b2k1/p1np2p1/2p1p3/1pP1Pp1N/3P2PB/PP3R1P/R4QK1 w - -,g3f4
2rq1rk1/p3ppbp/1p4p1/n7/1Q1PBB2/2P3P1/P4P1P/R3R1K1 w - -,a1c1
8/3R2pk/p7/5pN1/P3n1pP/8/6PK/1r6 b - -,e4g5
5bk1/qp4pp/p3ppb1/P7/1P2P3/1NB2P2/6PP/3rQ2K w - -,e1d1
r1bq1rk1/5pbp/n2p2pP/1pnPp1P1/p3P3/2N1BN2/PP3P2/R2QKBR1 b Q -,g7h8
1r4k1/1r4np/p2p2p1/n1pP1p2/q1P1pP2/4P1P1/P2R1R1P/1NQ2BK1 w - -,d2b2
6k1/1R4pp/8/P1p5/8/1P1pK2P/6P1/1r6 b - -,c5c4
2kr4/1b3ppp/p3p3/4P3/2q1pPP1/b1N1B3/1PP1Q2P/1K2R3 b - -,c4b4
r3k2r/pb1qnpb1/1p1pp1pp/2p1n3/4PN1P/3PB1P1/PPP1NPB1/1R1Q1RK1 w kq -,c2c3
r3k2r/1ppqbpp1/p1n1p2p/3nP3/3P4/P2BBN2/1PQ2PPP/2R2RK1 w kq -,f1e1
6k1/1q2ppb1/3p4/3P2Q1/4r3/6B1/5PP1/2R3K1 b - -,e4d4
r1b2rk1/3qb1pp/1pp1p3/1p1n1p1Q/3PN3/1BP3B1/PP3PPP/2KR2R1 w - -,e4g5
2kr3r/ppp1q2p/2n2pn1/8/1bP3b1/4PNB1/PP1NQ1PP/2KR1B1R b - -,h8e8
br4k1/2R2N1p/1p3np1/pB1p4/1p1P4/4P3/PP3PPP/6K1 b - -,b8f8
r5k1/rp2qpp1/2n1p1b1/3p3p/3P3P/1Q2PP2/PP1BB2P/K1R3R1 b - -,a7a2
3r1k2/3npp1p/3p2p1/1Pb3B1/2B1P3/r4P2/6PP/2RR1K2 w - -,c4d5
r2qkbnr/1b3ppp/p7/1p1p4/2p2B2/1PNP2N1/1PP2PPP/R2Q1RK1 b kq -,d8d7
8/8/7R/5k2/5P2/1r2PK2/8/8 w - -,h6h5
1r2bnk1/rpq3p1/2p1p2p/2PpNp2/PR1P4/4PBP1/1Q3P1P/1R4K1 w - -,b4b6
2kr4/1pb2ppp/p3p3/3P3r/P1P1KP2/4B3/5P1P/R2R4 w - -,a1a2
8/5p2/4p1p1/1p2P1P1/1K2kP2/8/3B4/6b1 b - -,g1h2
4r3/1ppb1kr1/3p1qp1/p5R1/PnP1PP2/1PN2B2/3Q4/1K4R1 b - -,f7e7
2kr1br1/1b3p1p/pp1ppq2/4np1Q/2PN4/P1N1P3/1PB2PPP/2KR3R w - -,h5e2
r2qkb1r/pp1n1ppp/2p2n2/3p1b2/8/3P1NP1/PP2PPBP/RNBQ1RK1 w kq -,b1c3
r1bq1rk1/1p1nbppp/4p3/p1npP3/P7/2P2N2/1PBNQPPP/R1B1K2R b KQ -,b7b6
2br2k1/2p2qpp/1p1p1p2/2P2P2/rn2P3/2Q3B1/2R1B1PP/5RK1 w - -,e2b5
8/3Pk2K/6p1/6P1/5nBP/8/8/8 w - -,h7g7
2r2rk1/ppq3b1/n3p1p1/2p2n1p/1P3P2/1QNR2PP/P3NBK1/2R5 w - -,b3e6
8/4B1pk/5p1p/1b2p2P/1P2P3/5P1K/1r4P1/2R5 b - -,h7g8
8/pR5p/3P2k1/3r4/8/1P2B1K1/P7/8 b - -,d5d6
1r3k2/3R1pb1/pNB3n1/2p1p1B1/8/2P3P1/PP2KP2/8 b - -,f7f6
8/1r3k2/p1nr2p1/2R2p1p/P2p1P1P/1p1P4/1R1K1B2/8 w - -,c5c1
7k/3R4/4r3/7p/Pp4p1/4nB2/1P4P1/6K1 w - -,d7d4
1r3r2/6kp/3qbpp1/1P2p3/2pnP3/2N1Q1P1/2P2RBP/1R4K1 b - -,b8b6
8/8/6p1/1K3p1p/4pP1P/2p2k2/3Q1P2/8 w - -,d2e3
8/8/3p1n2/2kPp1rp/Pp2P3/1Pp2KP1/2B5/7R w - -,h1e1
r1b2r1k/ppq3p1/1np2nQp/8/3Pp2N/1BN1P3/PP3PPb/R1BR3K b - -,c8g4
6k1/2p1qpp1/1b2n2p/4N3/3PQ3/1P2B2P/R4PPK/3r4 b - -,g7g6
6k1/1pr2pp1/p3p2p/3pP2Q/1P1P1q1P/PR4R1/2r3PK/8 b - -,c2d2
r1b1r1k1/ppq1bppp/2pp1nn1/3Pp3/2P1P3/2N1BP2/PP1NB1PP/R2Q1RK1 w - -,g2g3
8/3R1pkp/p3r1p1/P5r1/2p1P3/2P1R3/6P1/6K1 w - -,e3f3
2rqr1k1/1p2bppp/p1n1p1n1/3p2P1/3P1B1P/2NBP1Q1/PP3P2/2R2R1K b - -,g6f4
8/8/R3pk1p/1np2p2/5P2/1P3K1P/P7/8 b - -,b5d4
r2qk2r/ppp1bppp/2np1n2/1B2p2b/4P3/1PN4P/PBPPNPP1/R2Q1RK1 b kq -,e8g8
2b1r1k1/p1p2ppp/3q4/1r6/3p4/1P1B1Q1P/P1P2PP1/R4RK1 b - -,b5e5
1k5r/pq1bn3/8/2Q5/4Pp1p/P2P1B1P/1P6/2bNK2R b - -,h8c8
r1b1kb1r/1pqn1p1p/p4n2/5PP1/2Bp4/2N2Q2/PPP2P1P/2KRR3 b kq -,e8d8
2r1r1k1/1b1n1ppp/p1p1pn2/qpPp4/3P3N/1PN1P1P1/P3QPBP/2RR2K1 w - -,f2f4
rnb1nrk1/2q2ppp/p2p4/1p2p3/3NP2Q/1BN5/PPP2PPP/3RR1K1 b - -,e5d4
4r1k1/5pp1/p5p1/1p1R4/4nq2/1P2N2P/P1Q2PP1/6K1 w - -,d5d3
2kq4/6b1/3B3r/1pPPn1p1/p2p1p2/8/PP3NK1/2R1Q3 w - -,e1e4
8/7B/4k3/4b3/6p1/4B1P1/3N1PKP/4r3 w - -,d2c4
1q3rk1/4ppbp/5np1/3p1b2/Q1R5/1P4P1/P3PPBP/2R3K1 w - -,c4c7
rnbqkbnr/pp3ppp/4p3/2Pp4/8/4PN2/PPP2PPP/RNBQKB1R b KQkq -,f8c5
rnbq1rk1/pp2bpp1/2p4p/3p4/3Pn2B/2NBPN2/PP3PPP/R2QK2R w KQ -,h4g3
r1bq1rk1/pp2pp1p/2np2p1/8/1PP1n3/2B5/P1N1BPPP/R2Q1RK1 w - -,c3b2
2r3k1/5rpp/4q3/3pp1B1/Np5Q/3P4/1P5P/1KR5 b - -,h7h6
2k5/pp4p1/7r/2P1pb2/2B4P/KP6/5r2/1n2R1NR w - -,a3b4
8/4r3/2kb2p1/p1p5/P3P1P1/2BK4/1R4P1/8 w - -,b2e2
r1bq1rk1/ppp1ppb1/2np3p/6p1/3PP1n1/2N2NB1/PPPQBPPP/R3K2R b KQ -,e7e5
8/1p1b4/p2P2k1/5p1p/1B1r1K2/P5P1/1P2B3/8 w - -,f4e3
r5k1/1pp3bp/3pp1p1/2n5/2P1P2q/1PN4P/1BQ2PP1/5RK1 w - -,b3b4
2R5/3r4/p1p1kp2/2K3p1/p2PP3/8/1P3P2/8 b - -,d7b7
8/1R3N2/pp4pk/2r2p1p/8/b6P/6P1/5K2 b - -,h6g7
1k1r1r2/pp1n1qp1/2p3p1/2bpp1P1/5PB1/4P2P/PPP3K1/R1BQ1R2 w - -,c1d2
r1bq1rk1/1pp4p/3p2n1/p1nPppp1/2P1P3/1PN3B1/P2QBPPP/1R3RK1 w - -,e4f5
4rk2/6pp/2q3p1/1P1pP3/P7/1p6/5PPP/5RK1 w - -,b5c6
r3k2r/pp1nbpp1/2p1p1p1/3p4/3P1B2/PPq1PP2/R1PNQ1PP/5RK1 b kq -,b7b5
4r3/pnr2pk1/1p4p1/3Pq2p/B2QPRbP/2P3N1/P5P1/5RK1 b - -,e5d4
2r1r1k1/4Q1bp/p3p1p1/P3Pp2/2NBnP1P/1P3B2/6P1/5RK1 b - -,e8e7
8/p1rn1Prk/3p2pp/2qPp3/1pp3Q1/7P/PP3PP1/1BRR2K1 w - -,g4d7
r2qk2r/pp2bppp/2nppn2/2p5/4P1b1/2PP1N2/PPB2PPP/R1BQKN1R b KQkq -,e8g8
r1b2rk1/ppq2ppp/2pb1n2/4n3/2BNP3/2N1B2P/PP3PP1/R2Q1RK1 w - -,c4b3
3qr1k1/ppr2pb1/2n1b2p/2pnp3/8/2PPQNN1/PPBB1PP1/3RR1K1 w - -,e3e4
8/6k1/6p1/R5K1/5PP1/1r6/8/8 w - -,a5a7
b1rrq1k1/p2n1ppp/8/PPpn4/2B1pP2/BN2P3/3Q2PP/2RR2K1 b - -,d7f6
3r1qk1/p4pp1/5n1p/P1p2Pn1/3rp3/1p2N3/1P2BPQP/2R3RK w - -,c1c3
q3brk1/2p2pp1/5b2/2ppN1p1/1P1P4/1QN1R1PP/5P2/6K1 w - -,b4c5
8/5p2/p4P1k/n3r1p1/7p/7P/2B3P1/3R2K1 w - -,d1d7
r3r3/1p6/p2bkp2/3np2p/2Rp2p1/1P1P2P1/1P1BPP1P/R3NK2 w - h6,e2e4
1r2qrk1/2n1pp1p/pp4p1/2BPbR2/P1B5/1RNQ3P/1PP3P1/6K1 b - -,g6f5
3k4/2p4p/B1p2p2/P2p1b1q/3P1BnP/6P1/1P2Q3/6K1 b - -,h5f7
r3kn1r/1pqbbp2/p2p2p1/3np3/2P1P2p/3BBP2/PP1QN1PP/3R1RK1 w kq -,c4d5
r1q2rk1/pb2bppp/1pnpp3/8/1nPN4/3BP2P/PP1NQPPB/R4RK1 w - -,d3b1
1r1q1rk1/3b2bp/p2p2p1/n1pPpp1n/2P1P3/6PP/PBQNNPB1/1R3RK1 w - f6,b2c3
2r2rk1/5ppp/p1npbn2/1p1Np1q1/1PP1P3/6Q1/P1N1BPPP/2RR2K1 b - -,g5g3
1q1r3r/1p3pk1/p5pn/2NPb3/3p2P1/1Q3B2/PP3PK1/2R1R3 b - -,e5f4
rnb1kb1r/pp1q4/5n1p/5pp1/3Pp3/1QN1P1PN/PP4BP/R1B2RK1 b kq -,b8c6
5k1r/3Qb1p1/pq3n2/1p5p/4Np2/8/PP3PPP/2R3K1 w - -,e4f6
5rk1/p6p/r2ppbp1/q7/b1p1P3/2P1BP2/PP1Q2P1/1KNR3R w - -,d1e1
1rbq1rk1/1pp1n1b1/p2p3p/3Pp3/2P1N1nN/3Q1PP1/PP1B2B1/2R2RK1 b - -,g4f6
2r3k1/p4p1p/4n1p1/1R6/8/2B3PP/P4PK1/1B6 b - -,c8c3
2b1r1k1/1p3pbp/1qppn1p1/2n5/2PNP3/1PB2PP1/3Q2BP/2N2R1K w - -,d4e6
8/1p6/pR6/2P1n3/1P2k1p1/Pr6/4BK2/8 b - -,g4g3
2r1r1k1/p1q2pp1/1p3nbp/3Pn3/2P1B3/P3Q2P/1B1N1PP1/2R1R1K1 b - -,f6e4
1rbq1r2/3pppkp/2n3pn/pp2P3/3N2P1/2N4P/PPPQ1PB1/2KRR3 b - -,c6d4
5rk1/4q3/2Np1r2/1P2pP1p/P5pP/5nP1/2BQ4/3R3K b - -,f3d2
r2qk2r/p2nbppp/bpp1pn2/3p4/2PP4/1P3NP1/P1QBPPBP/RN3RK1 w kq -,f1d1:a2a4
rq2rbk1/1b3ppp/pp2Pn2/n7/2P5/2N2NP1/PB2QPBP/R2R2K1 b - -,e8e6
8/5pkp/1b3p2/1b1p4/1p6/1N2P1P1/3NqP1P/Q5K1 b - -,b5d7
8/R4p2/p3n1k1/1p2P1p1/r6p/P1P2K1P/2PB2P1/8 w - -,d2c1
2Q5/6pk/5p1p/2b3q1/1pN1p1P1/1P6/4nPKP/2R5 w - -,c1e1
2kr3r/pppb3p/2nb1pn1/3p2p1/P2P4/1PPB1N1P/3N1PP1/R1B2RK1 w - -,f1e1
5r2/2p4k/3p3p/pPpPp1pP/6r1/P6R/4RPP1/4K3 w - -,h3b3
