7b/p1k5/3p3P/8/2n1P1K1/2p5/P1N5/8 w - -,g4f5
r1b1k2r/1pq1ppbp/p1n2np1/3p4/3P4/2PB1N1P/PPN2PP1/R1BQ1RK1 b kq -,e8g8
rnq2rk1/pb2bppp/1p3n2/2ppN3/3P4/1PN3P1/P1QBPPBP/R4RK1 w - c6,c2d3
r1b1k2r/ppp1bppp/2p3n1/4P1N1/3R1P2/4B1N1/PPP3PP/3R2K1 w - -,g5f3
2b2rk1/2q1r1p1/2p1p1Bp/p1Nn4/1ppP1P2/2P2QP1/7P/4RRK1 w - -,g6c2
3r1rk1/pp3pbp/1qp1p1p1/8/3P4/1BP1Q2P/PP3PP1/R4RK1 w - -,a1d1
r2q4/pp1b2k1/2p1p1p1/3pNp1n/3P4/6P1/PPPQPPB1/1K5R w - -,g2f3
r1b1kb1r/pp2ppp1/3q1n1p/4Q3/4p3/2N5/PPP2PPP/R3KBNR w KQkq -,e5a5
8/4k3/5p2/4pR2/r5Pp/3NK1bP/8/8 w - -,g4g5
3rr2k/p5pp/1p6/3bqp1Q/2B1nN2/P3P1P1/5P1P/2R3K1 b - -,e4f6
rn1q1rk1/ppp1ppbp/3p1np1/8/3P2b1/2N2NP1/PPP1PPBP/R1BQ1RK1 w - -,h2h3
r1bqkb1r/pp2pp1p/1nn3p1/1B6/3P4/P1N5/1P3PPP/R1BQK1NR b KQkq -,a7a6
8/1p4R1/1kp5/p5pr/4P3/PP3PK1/6R1/7r b - -,h1b1
1rb2rk1/p1q1ppb1/1nn3pp/2p5/8/1BPPNN1P/1P3PP1/R1BQR1K1 b - -,g8h7
7k/pb1nb1qp/1p2p1r1/2ppPp2/3P2r1/PP2PN1R/2P1BQ1P/2B2R1K w - -,f3e1
8/p1r3p1/1p1k2p1/3p2K1/2rP2P1/P2R1P2/8/1R6 b - -,c7b7
2n1k3/6p1/5p1p/R7/1rB1PP1P/4K3/8/8 w - -,c4e6
8/5k2/3Bp1p1/4P3/PP1p2P1/8/1r1pK2P/3R4 b - -,b2b3
r1bqk2r/pp1nppb1/2pp2pp/7n/2PP1B2/2N1PN2/PPQ2PPP/R3KB1R w KQkq -,f4g3
8/5k2/1R6/r5p1/4K1P1/5P2/8/8 b - -,a5a4
r3k2r/pp1bqp2/2n2n1p/2b3p1/8/2N2NB1/PP1QPPPP/R3KB1R w KQkq -,a1d1
r2q1rk1/1bpn2pn/1p1pp2p/p7/2PP1P2/PP1N1P2/1B1QB1PP/3R1R1K b - -,h7f6
8/7p/1k1p4/5P2/P1K5/4b2P/8/8 b - -,b6c6
2k4r/p1pp1pb1/1nb1q3/2p1P3/2P3P1/PPNB2B1/5Q2/2K1R3 w - -,d3f5
8/2kr1p2/p6R/4nPp1/1pp5/6P1/PPR4P/7K b - -,a6a5
5k2/1p3p1n/1n2BNp1/p1Np4/P7/1PP5/5K2/8 w - -,f6h7
r3k2r/pq1p1ppp/1p3n2/1Bb1pP2/4P3/P1P5/1P2Q1PP/R1B2R1K w kq -,b5d3
r3k2r/pppqnpbp/2npb1p1/3Np3/2P5/3PP1P1/PP2NPBP/R1BQK2R w KQkq -,a1b1
8/p7/3k1n1p/2p3pP/2P1p1P1/4K3/P3B3/8 b - -,d6e5
8/5p2/1p1kb3/p2p1p2/3P1N2/1P4P1/1P1KR3/7r w - -,e2e1
r2q1rk1/pp1n1pp1/2pn2p1/4p1P1/Pb1PP3/2N1BP2/1P2B2P/R2Q1RK1 w - -,d4e5
8/8/6k1/2Bp4/p1p2p2/P1P2P1b/2r5/3R3K w - -,d1d5
1r5k/6bp/rBR3p1/8/2BP2n1/6P1/5P1P/1R4K1 b - -,a6a4
8/8/4B3/8/5kp1/r7/6K1/8 b - -,a3c3
r2q1rk1/pbpnppbp/1p1p1np1/8/1PPP4/4PN1P/PB2BPP1/RN1QK2R w KQ -,e1g1
r1bq1rk1/pp1nppbp/2p2np1/3p2B1/3P4/2NBPN2/PPP2PPP/R2QR1K1 b - -,f8e8
1r3rk1/2qn1pbp/pp1p2p1/2n1p3/1BP5/P2PPNP1/2QN1PKP/1RR5 b - -,c7c6
2r5/1pr4k/p3p1pp/3p1p2/3P1b2/P1N2B1P/1P2QKPq/2R2R2 b - -,f4c1
r2q1rk1/1b1nbppp/p3pn2/1p2N3/3P4/1BN5/PP2QPPP/R1BR2K1 w - -,d4d5
6k1/p1p1qpp1/2R4p/3PP3/7P/P1Q3K1/4r3/8 b - -,e2e4
2r3k1/p4p2/5q1p/2p1r1p1/2Q5/1P2p1P1/PBP2P2/3R2K1 w - -,f2f4
6k1/1p3p2/2p3pp/p3P3/1b3PP1/5K2/3r3P/2R1R3 b - -,c6c5
6k1/1rp4p/p7/1pPPp1p1/4P1B1/6PK/P4r2/1N1R4 b - -,f2a2
8/6p1/1p3n1p/2pk1P2/P3NP1P/3K4/2P5/8 w - -,e4d2
r1bqk2r/pp1nbppp/2p5/3p3n/3P4/2N1P1B1/PPQ2PPP/R3KBNR w KQkq -,f1d3
7r/1p1k4/p4PR1/3Pp3/8/2P4K/Pr6/3R4 w - -,h3g3
8/8/1p1pBk1p/p1b2P1P/K1P3P1/PP6/8/8 b - -,f6g5
1r4k1/ppR2p1p/5qp1/3p4/3P4/1P2Q2P/P4PP1/6K1 w - -,e3e7
4rk2/1pp1qrpp/1p1pb3/nP3p2/2P2P2/P2BP1R1/1BQ3PP/4R2K w - -,e3e4
r2qbrk1/p3b1pp/2n1p3/3pP3/1p1P4/P4N2/1P3PPP/RBBQR1K1 w - -,d1c2
6r1/4kp1p/p3pp2/2r5/1pnR4/5BP1/PPP4P/1K1R4 b - -,c4e5
2r3k1/pr2nbb1/6p1/q1P2p2/NppN4/1P4P1/P1QB1P2/1K1R3R w - -,d2h6
3r2k1/2pb1pq1/1pnP2p1/p6p/2P2P2/1P3BP1/P2Q1N1P/4R1K1 b - -,c6d4
r3k2r/3bbp1p/1qn1p1p1/1p1pP1N1/pPnP3P/P2B2R1/4NPP1/R1BQK3 w Qkq -,e1f1
2r3k1/1p3pbp/p5p1/3pPq2/1P1B1P2/1P2P1QP/2r5/3R1RK1 w - -,d4c5
2r1r2k/1p1bn1pp/p4p2/2bpn3/3N4/1PP1N1B1/1P3PPP/3RRBK1 b - -,h8g8
r1r3k1/pp1qbppp/2n1pn2/3p4/3P1B2/1QN1P2P/PP2BPP1/R1R3K1 b - -,f6e8
r4rk1/1p1bbppp/4p3/1pnpP3/2pN1P2/P1P1P3/1P1NB1PP/3RR1K1 b - f3,f7f6
1r1r2k1/1pn1qp2/pnp1p1pp/4P3/1PQ5/P3P2P/1B3PP1/1BRR2K1 w - -,c4f4
6k1/5qpp/p2pp3/2p5/Pp2P3/1PbP1NPP/2P2Q2/7K w - -,h1g2
q5k1/1b2bppp/1p2p3/pP1p4/P2Pn3/1Q4P1/N3PPBP/2B3K1 b - -,a8c8
3rr1k1/pb3pp1/1p2pn1p/2qp4/1bP5/1PN1P1P1/P1QR1PBP/B1R3K1 w - -,c2d1
8/8/2bkp1p1/p2p1pP1/1p1P1K2/1P2PP2/P1B5/8 w - -,c2d3
8/5pk1/4p3/1rn5/1p6/8/1R2BPP1/5K2 b - -,b5b6
1rbqkbnr/5ppp/p3p3/1pp1P3/5P2/6P1/PP1PN1BP/2RQNRK1 w k -,d2d4
r1b2rk1/pp2qppp/2n1pn2/2bp4/2P2B2/5NP1/PP1NPPBP/R2Q1RK1 w - -,d2b3
8/5r1k/1P6/8/P6p/2K3p1/4R3/8 w - -,e2e4
4k3/7p/3p2p1/q1pP4/2P5/7P/1Q5K/8 b - -,h7h5
8/1pkB4/p7/2p3q1/1n3P2/8/PP4P1/3R1RK1 b - -,g5f6
8/p2Q2k1/6pp/8/3N2nP/6q1/6B1/7K b - -,g7h8
8/8/p5Q1/Pp1r4/2p1kp2/8/1PP1K3/8 b - -,d5f5
1r2r1k1/p4pbp/3p2p1/3P1q2/2R1p3/1P2BP2/P3QPKP/3R4 b - -,f5h5
r3k2r/6p1/pp1p1p2/2pPn1q1/P3P1bp/2P5/1P1NBQPP/R4RK1 w kq -,d2c4
5r1k/p5p1/2p1b1np/1pP1Pq2/7P/PrB3P1/1P3P2/R2QNRK1 w - -,d1d6
3k4/Rb2r1p1/2p4p/1pPpNP2/1P1P2P1/5K2/7P/8 b - g3,d8c7
r1b2rk1/pp1nqppp/2pb1n2/4p3/2BPP3/2N2N2/PPQ2PPP/R1BR2K1 w - -,h2h3
8/3bkp2/5p2/2bB4/3N1P2/2PK2P1/8/8 b - -,c5b6
8/2N5/5nk1/p4R2/3P4/4P3/1r3PK1/8 w - -,f5a5
r3k2r/ppq2ppp/2n2n2/4p2b/2P5/2BB1N1P/P1P2PP1/R2Q1RK1 b kq -,e8c8
1rbkr3/p2n2p1/2P4p/1p1QP3/1q5P/8/PBP2PP1/2KR1B2 b - -,b4e7
4r3/3k4/Rp3pp1/1N1Pn3/6P1/5K1P/8/8 w - -,f3g3
8/3R1pk1/6p1/5r1p/4N2P/4K1P1/8/8 b - -,g7f8
1k2r3/1bq1r2p/ppn3p1/2p1ppQ1/PnN5/1P1P1NP1/2P2PBP/2R1R1K1 w - -,g5d2
r1b2rk1/pp4pp/2p2q2/3pR3/Pb1Q4/2N2N2/1PP2PPP/R5K1 b - -,b4d6
r4rk1/1p1n1ppp/p1pq4/3p4/PP1P4/3QP3/3N1PPP/R4RK1 w - -,d3c3
2rq1rk1/p3bppb/2p1p2p/2npP3/2PN4/4B3/PP2BPPP/2RQ1RK1 b - -,a7a5
r3k1r1/p1p4p/b1p1p3/4P3/7p/1PB5/P4PPP/3RK2R w Kq -,g2g3
2r1r1k1/pR5p/4q1pb/2p5/2P1p3/4P1P1/P5BP/1Q3R1K b - -,e6c4
r1bqrnk1/ppp1bppp/5n2/3p4/3P4/2PB1NNP/PP3PP1/R1BQ1RK1 b - -,e7d6
8/1p3p2/4k3/2p1P1Pp/p1Pp1K1P/b7/8/8 w - -,g5g6
8/1p2pp1p/3p2p1/kn1PP3/1p1K1P2/1P6/P3B1PP/8 w - -,e2b5
6k1/4nppp/r7/pp6/2R1P3/P2N4/1P3PPP/6K1 w - -,c4d4
1rbq1rk1/1p1npp1p/3p2p1/p1p5/2PbPP2/2NP2PP/PP4BK/R1BQ1R2 w - -,c3b5
8/2k5/2P5/1P1pB1p1/4n1p1/4K3/8/8 b - -,c7b6
8/8/4B1k1/3P4/6p1/3P2P1/6K1/8 b - -,g6f6
1rb5/p4k1p/1rnp2p1/2p1p3/1P2P2P/P1KP2PB/2N5/R3R3 w - -,h3c8
5n2/p1b1rk2/B1p1r1p1/2Pp1n2/3P4/2B4R/1P6/1KN4R b - -,e6e3
4r1rk/pp3q1p/2p3b1/2N1ppP1/2QP4/4PBbP/PP6/2RR1K2 b - -,e5d4
1q1r2k1/1p3pp1/rpp1pn1p/5b2/2PP4/PQ2B1P1/1P3PBP/2RR2K1 w - -,g2f1
4r1k1/bp3pp1/p6p/3Q1N2/1q2P3/8/Pr3PPP/3R1RK1 w - -,f5d6
8/n4k1p/3p4/1p1PpPp1/1P2P1P1/1P6/3K4/1N6 b - -,f7f6
1n6/1k1r3p/p5p1/2P2p2/1PK1pP2/4N1P1/R6P/8 w - -,e3d5
6k1/R7/8/1p6/1q4B1/1P3P2/5BK1/8 w - -,g4e6
r2qkb1r/pp1n1pp1/2p1pnp1/8/2pPP3/2N3P1/PP3PBP/R1BQ1RK1 b kq e3,e6e5
r2b2k1/5p2/4b1p1/pB2p3/1Bn1P3/1NP5/P4PP1/4K2R w K a6,b4c5
1rr3k1/5p2/2n1pqp1/pp1p3p/1P1P4/P1PQ3P/2N1RPP1/4R1K1 w - -,c2a1
2r1k2r/p3bpp1/q3p3/1N1pP2b/P1p2RP1/2R2N1P/5P2/2Q3K1 b k g3,h5g6
r1bq1rk1/p3bppp/1pn1pn2/8/2BP1B2/2NQ1N2/PP3PPP/R4RK1 b - -,c8b7
2r2rk1/5q2/1NNp2p1/1P2p1bp/Q2nP3/3K1P2/6PP/R6R b - -,f7f4
8/4P3/3n4/5kP1/7p/5K1P/8/8 w - -,g5g6
8/Rrk2p2/1p1p1Pp1/2pPn2p/2P5/2P3q1/Q3B3/5K2 b - -,g3c3
rn1qk1nr/pbpp1pbp/1p2p1p1/8/2PPPP2/5N2/PP4PP/RNBQKB1R w KQkq -,b1c3
1r6/2k1K2p/2P3p1/p1R3P1/P4P2/8/8/8 b - -,b8b4
5k2/1p1q2p1/p4bPp/4r2Q/2B5/1PP5/1P6/1K3R2 w - -,h5e5
3r1bk1/5q2/1pp1n2p/4p3/p1b1P1P1/2P1rP2/PPQ1N1K1/R4N1R w - -,f1e3
r1b1r1k1/2p2ppp/1p1b1nn1/1P1p4/3P2q1/2NBPN2/1B3PPP/2RQ1R1K w - -,c3e2
3brrk1/pp1q1p2/2p5/6p1/2P2B2/4NQPb/PP3P1P/R3R1K1 w - g6,a1d1
2k5/8/3K4/3P4/8/8/4R3/3r4 w - -,e2c2
1q1rr1k1/pb3pbp/1pnp1np1/2pP4/4PP2/P2B3P/1P1NNBP1/2RQR1K1 b - -,c6e7
3R1Q2/1p4pk/p3r2p/8/4n2B/7P/P5PK/2q5 b - -,c1c7
r1bqr1k1/1p3pp1/2p2b1p/p2n4/P7/1NP2B1P/1P3PP1/R1BQ1RK1 b - -,c8f5
8/4r3/8/6kp/4p3/6K1/5R2/8 w - -,f2e2
2b3k1/4pq1p/p2p1r1b/nr1P2BQ/2p1B3/6PN/PP3P2/R4RK1 w - -,h5h4
r1bqk2r/pp3pbp/2p2np1/2p5/4PB2/2NP1N2/PPP3PP/R2QK2R w KQkq -,e1g1
8/6R1/2pk1pbp/1p5r/1P2PK1P/3B4/2P5/8 b - -,g6e8
6k1/4pp1p/r1n3p1/1Np1p3/2P2P2/1PQ4P/q5P1/3R3K w - -,f4e5
8/B1kp4/1p3pp1/3n1p1p/3r1P2/P5R1/1PK5/8 b - -,d5f4
r3r1k1/1p2q2p/1n4p1/p7/P2RP3/1P5P/6P1/3QRB1K b - -,a8d8
r1b1kb1r/2qp1ppp/p1n1pn2/1p6/4P3/PNN3P1/1PP2PBP/R1BQK2R w KQkq b6,c1f4
1r2r2k/4q1bp/4n1p1/4pp1n/2R5/4NP1P/1PB2P1Q/2B1R1K1 w - -,c1d2
r5k1/5pp1/5n2/pQ1p3p/P2N4/4P2P/2R2PPK/4q3 w - -,d4f5
8/pp4k1/8/6pp/1P6/P1n1K1P1/3r3P/2R5 b - -,d2e2
1rb2rk1/p3q1pp/2pbp3/3n1p2/8/PN4P1/1PQ1PPBP/1RB2RK1 b - -,c6c5
3r1rk1/3q3p/1p1ppbp1/p1n5/2P2P2/1PB1Q1PB/P6P/3RR2K b - -,f6c3
5rk1/7q/p2r2n1/1pQ5/6p1/PPN2b2/KBP1p3/4R3 b - -,d6d1
5rk1/3br3/p1p4p/1pPp1p1n/3N1p2/3BP2P/PP4PK/2R1R3 w - -,e3f4
r3k2r/pbqnppb1/1ppp1npp/8/2PPP3/2N1BN1P/PP1QBPP1/2R2RK1 b kq -,a7a6
r3kb1r/pp1n1pp1/1qp1pnp1/3p4/2PP4/1QN1P1P1/PP2BP1P/R1B1K2R b KQkq -,f8e7
2r5/2P5/8/p6p/P7/3R2pk/8/6K1 w - -,d3c3
8/1p2qpk1/1p3npp/2p1p3/P1B1P2P/2P2PP1/1P1Q1K2/8 w - -,f2g2
7R/5pp1/3p3b/1P1rp2k/P3b3/4N1R1/3K4/8 w - -,d2e2
2kr3r/pppqn2p/5p1b/1PP1n3/3N2b1/P3P3/1BQN1PPP/R3KB1R b KQ -,c7c6
3r3k/pb2R1np/1p1p2pN/8/P6b/2Q4P/BPP3r1/2BR2K1 w - -,g1h1
6r1/p1p2k1p/bp1p3r/3P4/2P5/2P2P2/P2N1K2/4RR2 b - -,h6h2
6k1/5p2/1p2qn1p/6p1/2P2Q2/2N3PP/1P2P2K/8 w - g6,f4d4
r1bq1rk1/p4pp1/2pb1n1p/3p4/5B2/3B3P/PPP1NPP1/R2Q1RK1 w - -,d1d2
5rk1/rp1bqpb1/3p2pp/2p1p3/p1Pn4/P1NP2P1/1P2PPBP/1RBQR1K1 w - -,e2e3
5rk1/1pR3b1/3r2p1/pB6/P3p2p/3K3P/1P2R1P1/8 w - -,d3e4
3r1rk1/p6p/1p2q1p1/2ppP3/5P2/1P2Q1P1/P6P/R4RK1 w - -,a1e1
1r3k2/1p4p1/6Bp/8/4R3/6P1/7P/7K w - -,h1g2
8/8/6p1/5p2/r7/5P1K/1B2k1P1/8 b - -,g6g5
rnbqkb1r/ppp2ppp/4p3/3pP3/3Pn3/8/PPP1NPPP/R1BQKBNR b KQkq -,f7f6
r2qk2r/pppn1ppp/4pn2/2bp4/5Pb1/1P3NP1/PBPPP1BP/RN1QK2R w KQkq -,e2e3
r2qk2r/1p2bppp/p1ppbn2/4p3/2P1P3/P1NQBP2/1PP1N1PP/R3K2R w KQkq -,a3a4
rn1q1rk1/pbp2ppp/1p1bpn2/3p4/1PPP4/P2BPN2/3N1PPP/R1BQ1RK1 b - b3,c7c5
r2q1rk1/4bppp/p1p5/np1n4/3P4/2N2N1P/PPQ2PP1/R1B1R1K1 w - -,c3e4
r3r1k1/p2b1pp1/1p1b3p/3P3q/3N4/1Q5P/PP1B1PP1/R3R1K1 b - -,e8e5
8/k7/8/3KN2r/8/8/1R6/8 w - -,b2b5
r2qk2r/pbpn1pp1/1p1ppn1p/8/2PP3B/2P1PN2/P1Q2PPP/R3KB1R w KQkq -,f1d3
r2r2k1/1p5p/p3B1p1/4R3/5n2/8/PPP2PPP/2KR4 b - -,g8g7
2rq1rk1/pp2ppbp/2np1np1/6B1/2PNP3/1P3P2/P3N1PP/R2Q1R1K b - c3,f6d7
8/pB3p1p/2P3p1/4k3/4b2P/P5P1/8/6K1 b - -,e5d6
2r3k1/4ppbp/2Pq2p1/r1pP4/4QP2/5B1P/6P1/1R3RK1 b - -,g7d4
8/1pk5/2p1b1p1/KPP2p1p/5P1P/5BP1/8/8 b - -,e6d7
8/5Rk1/1pq2r1p/3R3Q/3P1p2/P6p/1P3PP1/6K1 b - -,f6f7
R7/8/5k2/4p2p/3r4/4K2P/p7/8 w - -,a8a2
r1br2k1/1pq1bppp/p1n1pn2/6N1/1P1P4/P1N1BQ2/2B2PPP/2R1R1K1 b - -,c7d7
r1b4r/1p2k1pp/p1n1p3/5p2/2N1p3/P7/1PP1BPPP/2KR3R b - -,c8d7
8/2B5/4kp1n/1p2p3/6PP/2P2K2/8/8 b - -,e6d5
r4rk1/3nnpp1/1q2p2p/3pP3/1PpP4/4NN1P/1PQ2PP1/2R2RK1 b - -,b6b4
r7/8/4k3/2p2p2/P1P1p3/1K5R/6P1/8 w - -,h3h7
2r1bqk1/6pp/p1r1pp2/3p4/3P3P/1P2N1R1/P2Q1PP1/2R3K1 w - -,c1c6
4r1k1/1p1b1p1n/3p2p1/1p4Pp/3PPN1P/8/1P4B1/2R4K b - -,e8c8
r1bq1rk1/pp3ppp/2n2n2/2bp4/8/2NBPN2/PP3PPP/R1BQ1RK1 w - -,a2a3:h2h3
8/2B1b2p/p3k1p1/3p4/P2P1PP1/3K3P/8/8 b - -,e7b4
rnbq1k1r/ppp1bpp1/4p3/3pP2p/3P3P/P1N3Q1/1PP2PP1/R1B1KB1R b KQ -,c7c5
5rk1/p5p1/2p5/q2b4/3PnBp1/P2B4/1PQ4P/2K3R1 w - -,f4e3
r2qr1k1/ppp2ppp/3p4/4nb2/4nN2/2PBB3/PPP2PPP/R2Q1RK1 w - -,f1e1
r1bq1rk1/p1p1b1pp/1p2p3/3pPp2/4N3/1P1BP3/PBP2PPP/R2Q1RK1 b - -,f5e4
3BR2Q/5r1p/p1kp2qp/1p1b1p2/1P3P2/4P3/6P1/6K1 w - -,e8g8
4r1k1/pb3qp1/1p5p/3pr3/2p4P/5P1N/PP6/2KQ2RR w - -,d1d4
1k1rr3/1pqbbpp1/p3p2p/3pPP2/3N1QP1/2NR4/PPP4P/1K2R3 b - -,c7b6
r1r3k1/1q1b1pp1/p2p2np/1p1Pp3/4P3/PQ1B1N2/1PR2PPP/2R3K1 w - -,a3a4
4rk2/pp3p2/3p1np1/1P2p2p/P3P3/2P2PP1/3N2KP/2R5 b - -,e8c8
8/p4R2/6k1/6pp/3b4/P4R1P/r4NPK/4r3 b - -,d4e5
1r2n1k1/p4p2/2p1p1pp/8/2P1N3/2q2PP1/PP5P/2KR4 w - -,e4c3
8/5p2/3kp3/1Kp4p/3bPPpP/6P1/2R5/8 w - -,c2a2
3r2rk/7p/pp2q1P1/2pNb2P/P1PpPp2/1P3Q2/6R1/3R1K2 w - -,f1e2
8/Q7/3P1bk1/2P2p1r/1q2pPpP/6P1/4B1K1/7R b - -,h5h7
3r3k/ppq1r1p1/2p1p1Bp/3n2P1/8/1Q2P3/PP3PP1/R2R2K1 w - -,b3c4
3r4/1p3kb1/p3p2p/4Pp2/bPB2p1P/P4N2/5PP1/4RK2 w - -,e1c1
8/p2P1k2/R5p1/2b4p/6PP/5b2/5P1K/2r5 b - -,c1d1
7k/7p/p1p2np1/Pp1b1p2/1P1P1P2/5B2/1B3KPP/4r3 w - -,f2e1
8/1nk5/pp2r1p1/3p1p1p/P1rPp2P/R1P1P1P1/3BKP2/1R6 b - -,e6c6
2rbr1k1/1p3pp1/pBb1pn1p/4N3/2P5/2N2P2/PP4PP/2RR2K1 w - -,d1d8
2r2rk1/b4ppp/pq2pn2/1p1b3Q/8/1NPB2B1/PP3PPP/3R1RK1 w - -,h5h4
2r5/2Pr2kp/6p1/3N4/P6b/8/2B1R1KB/8 w - -,c2e4
r1b2rk1/pp1nppbp/6p1/q1PQ4/2P2B2/2P1PN2/P4PPP/2R1KB1R w K -,d5d2
3k4/p6p/1p1p2p1/3P4/4P1K1/5nN1/r7/2R5 b - -,a2a3
8/8/pR6/5k2/3Kp3/3b4/7B/8 w - -,h2c7
5rk1/5ppp/4q3/P7/2RQb3/4P3/6PP/4R1K1 b - -,e4b7
8/b7/8/4pp2/4k1p1/2P3P1/2N1KP2/8 w - f6,c2a3
r4rk1/pp2qpbp/2p2np1/3pN3/1P1P2b1/P1N1P3/4BPPP/2RQ1RK1 b - -,g4e2
8/8/p7/1p3k1P/1P6/P5R1/8/2r3K1 w - -,g1f2
2k1r2r/2pb2p1/1pp2pn1/p6p/PbNNP3/1P2BP2/2PR2PP/3R2K1 w - -,d2e2
1q4k1/3rbp1p/pBR3p1/1p1rp3/4Q3/4P1P1/PP3P1P/5RK1 w - -,f1c1
6k1/q4pp1/1Nn1p2p/Ppp5/3bP3/1P1Q2P1/5PBP/6K1 w - -,e4e5
6k1/6p1/4p1pp/3pB3/p2P2P1/7P/P4PK1/2r5 b - -,c1a1
r1b1kb1r/1p1nqp2/2p2n1p/p3p1p1/P1B1P3/2N1BN1P/1PP2PP1/R2Q1RK1 w kq -,f3d2
rnbqk2r/1p2ppbp/p2p1np1/8/3NP3/2N1B2P/PPP2PP1/R2QKB1R w KQkq -,d1d2
8/6p1/4pk2/6R1/5P1P/6P1/1K6/2r5 b - -,c1c8
r4rk1/pq2b1pp/np1p4/2pPpp2/2P1PB2/2N3P1/PP3PKP/R2QR3 w - -,f4d2
2r3k1/2qnrppp/p7/2pPp1P1/2P4P/5P2/P2QB3/R3K2R w KQ -,d5d6
8/7p/2pbb1p1/1p2pp2/4P2k/1P1N1P1P/1PK1N1P1/8 w - -,d3f2
3rr1k1/pp4p1/2p1n3/3p1BP1/1P1P3P/P5R1/8/3R2K1 b - -,e6c7
r2qr2k/5p2/3p1bpp/p1pP3n/PpR1PP2/1P3QP1/5B1P/5RNK b - -,d8d7
7r/5p2/1p3k2/p2b3p/7K/PP3P2/6P1/4RB2 w - -,b3b4
6k1/1n6/1B2p3/P1b2pp1/2P5/1P5P/8/3B1K2 w - -,b6c5
r1r2bk1/1pB2p1p/6p1/R4b2/8/1P2P3/P3BP1P/5RK1 b - -,a8a5
1r2k3/1pRb1p1p/p2r4/3Ppp2/8/1B2P3/PP4PP/5RK1 w - -,b3c2
rn1q2k1/p2p1rp1/1p2p2p/4Pp2/2PPb3/B3QN2/P4PPP/R4RK1 w - -,f1d1
r1b1k3/1pR2p1p/p3p1p1/4P3/3KPP2/3B4/P5PP/8 b - -,b7b6
r4r2/5bkp/1npp2p1/pp1p1p2/3P3P/4P1P1/PPP1NPB1/1K1R3R w - -,e2f4
r2rq1k1/1b2b2p/2n1p1p1/1ppp1p2/5P2/1PNPP1P1/1BP1Q1BP/3R1RK1 b - -,e7f6
r5k1/1b3n1p/p2q4/3Pn1p1/1P1QPp2/5P2/4B1PP/R2R2K1 w - -,b4b5
6k1/1pQ2r2/1P1Kp1p1/3b3p/5P1P/6P1/8/8 b - -,g8g7
r1b2rk1/3nq1pp/ppp5/5p2/2PPp3/2N1P3/P1Q1BPPP/R4RK1 w - -,a1b1
8/2R5/2p2ppB/4pk2/2P3bP/6P1/4PP1K/4r3 w - -,c7c6
5rk1/pb5p/4p1r1/1pQ5/3B4/4P1PP/PP3Pq1/2RR1K2 w - -,f1e2
1r4k1/4bq1p/4b1p1/B1p5/2P5/PP2P3/1Q3PBP/2R3K1 b - -,e6c4
8/R5p1/5k2/p4r2/4K3/8/8/8 b - -,g7g6
1rq1R2k/p4p2/2p2Np1/3p3p/3P1P1Q/3b4/P5PP/6K1 b - -,c8e8
1r6/3kbpBp/8/2pp4/N1n5/4P3/1P2KPPP/2R5 b - -,d7c6
r2qk2r/pbpp1ppp/1p3Nn1/3P1p2/2P5/3B1N2/PP3PPP/R2Q1RK1 b kq -,d8f6
r2qr1k1/1pp2pp1/3p2b1/p2Pb2p/2P5/Q1B1N2P/PP3PP1/R3R1K1 w - -,c4c5
